   The Adhikaraṇavastu	The ADikaraNa-vastu
   adhikaraṇam sasthavire saprātimokṣe saṃghe upanikṣiptaṃ; sasthavireṇāpi	aDikaraNam sa-sTavire sa-prAtimokze saMGe upanikziptan; sa-sTavireNa-api
   saprātimokṣeṇa saṃghena mamaivaṃnāmno 'dhikaraṇasaṃcārakasya bhikṣor	sa-prAtimokzeNa saMGena mama-evaMnAmnaH aDikaraNa-saMcArakasya BikzoH-
   upanikṣiptam, so 'ham evaṃnāmā adhikaraṇasaṃcarako bhikṣur idam	upanikziptam, saH aham evaMnAmA aDikaraNa-saMcarakaH BikzuH idam
   adhikaraṇaṃ sūtravinayamātṛkādharāṇāṃ bhikṣūṇām upanikṣipāmi	aDikaraNam sUtra-vinaya-mAtRkA-DarANAm BikzUNAm upanikzipAmi
   vyupaśamayantu bhavantaḥ sūtravinayamātṛkādharā bhikṣavaḥ idam adhikaraṇam	vyupaSamayantu BavantaH sUtra-vinaya-mAtRkA-DarAH BikzavaH idam aDikaraNam
   yāvat saṃvatsaram upādāya; sūtravinayamātṛkādharair bhikṣubhiḥ tad	yAvat saMvatsaram upAdAya; sUtra-vinaya-mAtRka-aDarEH BikzuBiH tat-
   adhikaraṇaṃ vyupaśamayitavyam dharmeṇa vinayena śāstuḥ śāsanena;	aDikaraNam vyupaSamayitavyam DarmeNa vinayena SAstuH SAsanena;
   sūtravinayamātṛkādharair bhikṣubhiḥ tad adhikaraṇaṃ vyupaśamitaṃ	sUtra-vinaya-mAtRka-aDarEH BikzuBiH tat aDikaraNam vyupaSamitam
   suvyupaśamitaṃ vaktavyam	su-vyupaSamitam vaktavyam
   Two presences: pudgala, dharma	TwaH preset-ca-Is: pudgala, Darma
        śuddhakaṃ saṃmukham; kim atra saṃmukham? dve saṃmukhe	SudDakam saMmuKam; kim atra saMmuKam? dve saMmuKe
   pudgalasaṃmukhaṃ dharmasaṃmukhaṃ ca; pudgalasaṃmukham katamat? ye tad	pudgala-saMmuKam Darma-saMmuKam ca; pudgala-saMmuKam katamat? ye tat-
   adhikaraṇaṃ vyupaśamayanti yeṣāṃ ca tad adhikaraṇaṃ vyupaśāmyati te sarve	aDikaraNam vyupaSamayanti yezAm ca tat aDikaraNam vyupaSAmyati te sarve
   samavahitā bhavanti saṃmukhībhūtāḥ; idam ucyate pudgalasaṃmukham;	samavahitAH Bavanti saMmuKIBUtAH; idam ucyate pudgala-saMmuKam;
   dharmasaṃmukhaṃ katamat? yena dharmeṇa yena vinayena yena śāstuḥ śāsanena	Darma-saMmuKam katamat? yena DarmeNa yena vinayena yena SAstuH SAsanena
   tad adhikaraṇaṃ vyupaśāmyati tena dharmeṇa tena vinayena tena śāstuḥ	tat aDikaraNam vyupaSAmyati tena DarmeNa tena vinayena tena SAstuH
   śāsanena tad adhikaraṇaṃ vyupaśamayanti, idam ucyate dharmasaṃmukham;	SAsanena tat aDikaraNam vyupaSamayanti, idam ucyate Darma-saMmuKam;
   sacet sūtravinayamātṛkādharā bhikṣavo na śaknuvanti tad adhikaraṇam	saced sUtra-vinaya-mAtRkA-DarAH BikzavaH na Saknuvanti tat aDikaraNam
   vyupaśamayituṃ tair adhikaraṇasaṃcārakasyaiva bhikṣor upanikṣeptavyam;	vyupaSamayitum tEH aDikaraNa-saMcArakasya-eva BikzoH upanikzeptavyam;
   adhikaraṇasaṃcārakeṇa bhikṣuṇā yasminn āvāse bhikṣuḥ	aDikaraNa-saMcArakeNa BikzuNA yasmin AvAse BikzuH
   sthavirasthavirānyatamaḥ pramukhaḥ pramukhānyatamaḥ jñāto jñātānyatamaḥ	sTavira-sTavirAnyatamaH pramuKaH pramuKAnyatamaH jQAtaH jQAta-anyatamaH
   tasyopanikṣeptavyam; yathāvṛttaṃ cārocayitavyam, śṛṇu tvaṃ sthavira idam	tasya-upanikzeptavyam; yaTAvRttam ca-Arocayitavyam, SRNu tvam sTaviraH idam
   adhikaraṇam amuṣminn āvāse iyaccirakālasamutpannam asminn eva vastuni; tad	aDikaraNam amuzmin AvAse iyat-cira-kAla-samutpannam asmin eva vastuni; tat-
   adhikaraṇaṃ sthalasthair bhikṣubhir na śaktaṃ vyupaśamayitum; taiḥ saṃghe	aDikaraNam sTala-sTEH BikzuBiH na Saktam vyupaSamayitum; tEH saMGe
   upanikṣiptam; saṃghenāpi na śaktam; tenāpi vyūḍhakā bhikṣavaḥ saṃmatāḥ;	upanikziptam; saMGena-api na Saktam; tena-api vyUXakAH BikzavaH saMmatAH;
   vyūḍhakair api bhikṣubhir na śaktam; tair api vyūḍhakavyūḍhakā bhikṣavaḥ	vyUXakEH api BikzuBiH na Saktam; tEH api vyUXaka-vyUXakAH BikzavaH
   saṃmatāḥ; vyūḍhakavyūḍhakair api bhikṣubhir na śaktam; saṃghe	saMmatAH; vyUXaka-vyUXakEH api BikzuBiH na Saktam; saMGe
   upanikṣiptam; saṃghenāpi aham evaṃnāmā adhikaraṇasaṃcārako bhikṣuḥ	upanikziptam; saMGena-api aham evaMnAmA aDikaraNa-saMcArakaH BikzuH
   saṃmataḥ; saṃghe (Adhik-v 88) mayā evaṃnāmnā adhikaraṇasaṃcārakeṇa	saMmataH; saMGe (a-aDik-u 88) mayA evaMnAmnA aDikaraNa-saMcArakeNa
   bhikṣuṇā idam adhikaraṇam sasthavire saprātimokṣe upanikṣiptam;	BikzuNA idam aDikaraNam sa-sTavire sa-prAtimokze upanikziptam;
   sasthavireṇa saprātimokṣeṇa saṃghena na śaktaṃ vyupaśamayitum; tenāpi	sa-sTavireNa sa-prAtimokzeNa saMGena na Saktam vyupaSamayitum; tena-api
   mamaivaṃnāmna adhikaraṇasaṃcārikasya bhikṣor upanikṣiptam; tena	mama-evaMnAmna aDikaraNa-saMcArikasya BikzoH upanikziptam; tena
   mayaivaṃnāmnā adhikaraṇasaṃcārakeṇa bhikṣuṇā tad adhikaraṇaṃ	mayA-evaMnAmnA aDikaraNa-saMcArakeNa BikzuNA tat aDikaraNam
   sūtravinayamātṛkādharāṇāṃ bhikṣūṇām upanikṣiptam; sūtravinayamātṛkādharair	sUtra-vinaya-mAtRkA-DarANAm BikzUNAm upanikziptam; sUtra-vinaya-mAtRkA-DarEH-
   api na śaktam; tair api mamavaṃnāmno adhikaraṇasaṃcārakasya bhikṣor	api na Saktam; tEH api mamavaMnAmnaH aDikaraNa-saMcArakasya BikzoH-
   upanikṣiptam; so 'ham vaṃnāmā adhikaraṇasaṃcārako bhikṣur idam adhikaraṇaṃ	upanikziptam; saH aham vaMnAmA aDikaraNa-saMcArakaH BikzuH idam aDikaraNam
   sthavirasyopanikṣipāmi, vyupaśamayitu sthavira idam adhikaraṇaṃ yāvat	sTavirasya-upanikzipAmi, vyupaSamayitu sTaviraH idam aDikaraNam yAvat-
   paryantam upādāya; sthavirasyāhaṃ bhikṣor āsamudācārikān dharmān	paryantam upAdAya; sTavirasya-aham BikzoH AsamudAcArikAn DarmAn
   prajñāpayāmi; sthavireṇa bhikṣuṇā arthipratyarthikānāṃ bhikṣūṇām antikān	prajQApayAmi; sTavireNa BikzuNA arTi-pratyarTikAnAm BikzUNAm antikAn
   na dantakāṣṭhopasaṃhāraḥ svīkartavyo na gomayopasaṃhāro no	na dantakAzWa-upasaMhAraH svIkartavyaH na gomaya-upasaMhAraH no
   pātrakopasaṃhāraḥ na svādyāyanikā na paripṛcchānikā dātavyā nānyatra	pAtra-kopa-saMhAraH na svAdyAyanikA na paripRcCAnikA dAtavyA na-anyatra
   purataḥ pṛṣṭhataḥ; idaṃ syur vacanīyā āyuṣmanta mā kalaho mā bhaṇḍanaṃ mā	puratas pRzWataH; idam syuH vacanIyAH Ayuzmanta mA kalahaH mA BaNxanam mA
   vigraho mā vivādaḥ; tat kasya hetoḥ? nāsty āyuṣmantaḥ dvayor vivadamānayor	vigrahaH mA vivAdaH; tat kasya hetoH? na-asti AyuzmantaH dvayoH vivadamAnayoH-
   jayaḥ, api tv ekasya jayaḥ, ekasya parājayaḥ; nāsti dvayor yudhyamānayor	jayaH, api tu ekasya jayaH, ekasya parAjayaH; na-asti dvayoH yuDyamAnayoH-
   jayaḥ, api tv ekasya jayaḥ, ekasya parājayaḥ iti sthavireṇa bhikṣuṇā tad	jayaH, api tu ekasya jayaH, ekasya parAjayaH iti sTavireNa BikzuNA tat-
   adhikaraṇam vyupaśamayitavyaṃ dharmeṇa vinayena śāstuḥ śāsanena;	aDikaraNam vyupaSamayitavyam DarmeNa vinayena SAstuH SAsanena;
   sthavireṇa bhikṣuṇā tad adhikaraṇaṃ vyupaśamitaṃ suvyupaśamitaṃ vaktavyam;	sTavireNa BikzuNA tat aDikaraNam vyupaSamitam su-vyupaSamitam vaktavyam;
   evaṃ hi bhikṣavaḥ saṃmukhavinaya adhikaraṇaśamatho bhavati; evaṃ ca punar	evam hi BikzavaH saMmuKa-vinaya aDikaraNa-SamaTaH Bavati; evam ca punar-
   ekeṣām adhikaraṇānāṃ damaś ca bhavati śamaś ca vyupaśamaś ca, yad uta	ekezAm aDikaraNAnAm damaH ca Bavati SamaH ca vyupaSamaH ca, yat uta
   saṃmukhavinayenādhikaraṇaśamathena	saMmuKa-vinayena-aDikaraNa-SamaTena
   The settlement of legal questions by the vote of the majority	The set-tlement of legat questionH bi Te vote of Te majoH-iti-
        kathaṃ ca bhikṣavo yadbhūyaiṣaśalākāgrahaṇam adhikaraṇaśamatho	kaTam ca BikzavaH yat-BUya-eza-SalAkA-grahaNam aDikaraNa-SamaTo
   bhavati? kathaṃ caikeṣām adhikaraṇānāṃ damaś ca bhavati śamaś ca	Bavati? kaTam ca-ekezAm aDikaraNAnAm damaH ca Bavati SamaH ca
   ḥvyupaśamaś caḥ yaduta yadbhūyaiṣīkena śalākāgrahaṇenādhikaraṇaśamathena?	HvyupaSamaH caH yat-uta yat-BUya-EzIkena SalAkA-grahaNena-aDikaraNa-SamaTena?
   pūrvavat sthalasthān upādāya yāvat sthaviraḥ; sacet sthaviro bhikṣus tad	pUrvavat sTala-sTAn upAdAya yAvat sTaviraH; saced sTaviraH BikzuH tat-
   adhikaraṇaṃ na śaknoti vyupaśamayituṃ (Adhik-v 89) tena tad adhikaraṇaṃ	aDikaraNam na Saknoti vyupaSamayitum (a-aDik-u 89) tena tat aDikaraNam
   tasyaivādhikaraṇasaṃcārakasya bhikṣor upanikṣeptavyam; tenāpi (A 342b) tad	tasya-eva-aDikaraNa-saMcArakasya BikzoH upanikzeptavyam; tena-api (A 342b) tat-
   adhikaraṇaṃ saṃghe upanikṣeptavyaṃ; saṃghena tad adhikaraṇaṃ	aDikaraNam saMGe upanikzeptavyan; saMGena tat aDikaraNam
   yadbhūyaiṣīyaśalākāgrahaṇenādhikaraṇaśamathena vyupaśamayitavyam;	yat-BUyEzIya-SalAkA-grahaNena-aDikaraNa-SamaTena vyupaSamayitavyam;
   pañcabhiḥ kāraṇair yadbhūyaiśīkaśalākāgrahaṇam adhikaraṇaśamathaḥ kharaś	paQcaBiH kAraNEH yat-BUyESIka-SalAkA-grahaNam aDikaraNa-SamaTaH KaraH-
   ca bhavati vyāḍaś ca pragāḍhaś ca bhedāśaṅkī cāparāvṛttaprayogī ca; kathaṃ	ca Bavati vyAxaH ca pragAXaH ca Beda-ASaFkI ca-aparAvRtta-prayogI ca; kaTam
   ca kharo bhavati? arthipratyarthikair bhikṣubhiḥ kharaṃ pragṛhīto bhavati,	ca KaraH Bavati? arTi-pratyarTikEH BikzuBiH Karam pragRhItaH Bavati,
   evaṃ kharo bhavati; kathaṃ vyāḍo bhavati? arthipratyarthikā bhikṣavo vyāḍā	evam KaraH Bavati; kaTam vyAxaH Bavati? arTi-pratyarTikA BikzavaH vyAxA
   bhavanti vikrāntāḥ, evaṃ vyāḍo bhavati; kathaṃ pragāḍho bhavati?	Bavanti vikrAntAH, evam vyAxaH Bavati; kaTam pragAXaH Bavati?
   arthipratyarthikair bhikṣubhir pragāḍhaṃ gṛhīto bhavati; evaṃ pragāḍho	arTi-pratyarTikEH BikzuBiH pragAXam gRhItaH Bavati; evam pragAXaH-
   bhavati; kathaṃ bhedāśaṅkī bhavati? caturdaśānāṃ bhedakarāṇāṃ vastūnām	Bavati; kaTam Beda-ASaFkI Bavati? caturdaSAnAm Beda-karANAm vastUnAm
   anyatarānyatarat bhedakaraṃ vastu sādhu ca suṣṭhu ca sūdgṛhītaṃ bhavati,	anyatara-anyatarat Beda-karam vastu sADu ca suzWu ca su-udgRhItam Bavati,
   evaṃ bhedāśaṅkī bhavati; katham aparāvṛttaprayogī bhavati? sthalasthān	evam Beda-ASaFkI Bavati; kaTam aparAvRtta-prayogI Bavati? sTala-sTAn
   upādāya yāvat sthaviraḥ, evam aparāvṛttaprayogī bhavati; ebhiḥ pañcabhir	upAdAya yAvat sTaviraH, evam aparAvRtta-prayogI Bavati; eBiH paQcaBiH-
   dharmaiḥ samanvāgataḥ yadbhūyaiṣīkaśalākāgrahaṇaśamathaḥ kharaś ca bhavati	DarmEH samanvAgataH yat-BUya-ezIka-SalAkA-grahaNa-SamaTaH KaraH ca Bavati
   vyāḍaś ca pragāḍhaś ca bhedāśaṅkī cāparāvṛttaprayogī ca; tataḥ	vyAxaH ca pragAXaH ca Beda-ASaFkI ca-aparAvRtta-prayogI ca; tatas-
   śalākācārako bhikṣuḥ saṃmantavyaḥ; pañcabhir dharmaiḥ samanvāgataḥ	SalAkA-cArakaH BikzuH saMmantavyaH; paQcaBiH DarmEH samanvAgataH
   śalākācārako bhikṣur asaṃmato na saṃmantavyaḥ saṃmataś cāvakāśayitavyaḥ;	SalAkA-cArakaH BikzuH asaMmataH na saMmantavyaH saMmataH ca-avakASayitavyaH;
   katamaiḥ pañcabhih? chandād gacchati dveṣān mohād bhayād gacchati	katamEH paQcaBih? CandAt gacCati dvezAt mohAt BayAt gacCati
   cāritācāritaṃ ca śalākāṃ na jānāti; ebhiḥ pañcabhir dharmaiḥ samanvāgataḥ	cArita-AcAritam ca SalAkAm na jAnAti; eBiH paQcaBiH DarmEH samanvAgataH
   śalākācārako bhikṣur asaṃmato na saṃmantavyaḥ saṃmataś cāvakāśayitavyaḥ;	SalAkA-cArakaH BikzuH asaMmataH na saMmantavyaH saMmataH ca-avakASayitavyaH;
   pañcabhis tu dharmaiḥ samanvāgataḥ śalākācārako bhikṣur asaṃmataḥ	paQcaBiH tu DarmEH samanvAgataH SalAkA-cArakaH BikzuH asaMmataH
   saṃmantavyaḥ saṃmataś ca nāvakāśayitavyaḥ; katamaiḥ pañcabhiṛ? na chandād	saMmantavyaH saMmataH ca na-avakASayitavyaH; katamEH paQcaBiR? na CandAt-
   gacchati na dveṣān mohād bhayād gacchati cāritācāritaṃ ca śalākāṃ jānāti;	gacCati na dvezAt mohAt BayAt gacCati cArita-AcAritam ca SalAkAm jAnAti;
   ebhiḥ pañcabhir dharmaiḥ samanvāgataḥ śalākācārako bhikṣur asaṃmataḥ	eBiH paQcaBiH DarmEH samanvAgataH SalAkA-cArakaH BikzuH asaMmataH
   saṃmantavyaḥ saṃmataś ca nāvakāśayitavyaḥ (Adhik-v 90)	saMmantavyaH saMmataH ca na-avakASayitavyaH (a-aDik-u 90)
   The four methods of votation	The fouH meTA-udH of vA-utation
        catvāri śalākācāraṇāni; katamāmi catvāri? channaṃ vivṛtaṃ	catvAri SalAkA-cAraNAni; katamAmi catvAri? Cannam vivRtam
   sakarṇatuntunakaṃ sarvasāṃghikaṃ ca; channaṃ śalākācāraṇaṃ katamat?	sa-karNa-tuntunakam sarva-sAMGikam ca; Cannam SalAkA-cAraNam katamat?
   yathāpitat śalākācārakasya bhikṣor evaṃ bhavati, asminn evāvāse prabhūtāḥ	yaTApitat SalAkA-cArakasya BikzoH evam Bavati, asmin eva-AvAse praBUtAH
   sthavirā bhikṣavo adharmavādināḥ alpās tu navakā bhikṣavo dharmavādinaḥ;	sTavirAH BikzavaH aDarma-vAdinAH alpAH tu navakAH BikzavaH Darma-vAdinaH;
   ahaṃ ced vivṛte śalākāṃ cārayeyaṃ sthānam etad vidyate yan navakā	aham ced vivRte SalAkAm cArayeyam sTAnam etat vidyate yat navakA
   bhikṣavaḥ sthavirāṇāṃ bhikṣūṇām anuvidhīyamānāḥ prabhūtām adharmaśalākāṃ	BikzavaH sTavirANAm BikzUNAm anuviDIyamAnAH praBUtAm aDarma-SalAkAm
   gṛhṇīyuḥ; yanv aham channe śalākāṃ cārayeyam iti sa channe śalākāṃ	gRhNIyuH; yanu aham Canne SalAkAm cArayeyam iti sa Canne SalAkAm
   cārayati; idam ucyate channam śalākācārṇam; (A 343a) ḥvivṛtaṃ	cArayati; idam ucyate Cannam SalAkA-ca-arNam; (A 343a) HvivRtam
   śalākācāraṇaṃ katamat?ḥ yathāpitat śalākācārakasya bhikṣor evaṃ bhavati,	SalAkA-cAraNam katamat?H yaTApitat SalAkA-cArakasya BikzoH evam Bavati,
   asminn āvāse prabhūtāḥ sthavirā bhikṣavo dharmavādinaḥ alpās tu navakā	asmin AvAse praBUtAH sTavirAH BikzavaH Darma-vAdinaH alpAH tu navakA
   bhikṣavaḥ adharmavādinaḥ; ahaṃ cec channe śalākāṃ cārayeyaṃ sthānam etad	BikzavaH aDarma-vAdinaH; aham ced Sanne SalAkAm cArayeyam sTAnam etat-
   vidyate yan navakā bhikṣavaḥ adharmaśalākāṃ gṛhṇīyuḥ; yanv aham vivṛte	vidyate yat navakAH BikzavaH aDarma-SalAkAm gRhNIyuH; yanu aham vivRte
   śalākāṃ cārayeyam; vivṛte śalākāṃ cārayataḥ sthānam etad vidyate yan	SalAkAm cArayeyam; vivRte SalAkAm cArayataH sTAnam etat vidyate yat-
   navakā bhikṣavaḥ sthavirāṇāṃ bhikṣūṇām anuvidhīyamānāḥ prabhūtaṃ	navakAH BikzavaH sTavirANAm BikzUNAm anuviDIyamAnAH praBUtam
   dharmaśalākāṃ gṛhṇīyuḥ iti; sa vivṛte śalākāṃ cārayati, idam ucyate	Darma-SalAkAm gRhNIyuH iti; sa vivRte SalAkAm cArayati, idam ucyate
   vivṛtaṃ śalākācāraṇam; sakarṇatuntunakaṃ śalākācāraṇaṃ katamat? yathāpitac	vivRtam SalAkA-cAraNam; sa-karNa-tuntunakam SalAkA-cAraNam katamat? yaTApita-c
   chalākācārako bhikṣuḥ karṇamūle gatvā tuntunāyate, āyuṣmann upādhyāyena te	CalAka-AcArakaH BikzuH karNa-mUle gatvA tuntunAyate, Ayuzman upADyAyena te
   dharmaśalākā gṛhītā, tvam api dharmaśalākāṃ gṛhāṇa, ācāryeṇa	Darma-SalAkA gRhItA, tvam api Darma-SalAkAm gRhANa, AcAryeNa
   samānopādhyāyena samānācāryeṇa ālaptakena saṃlaptakena saṃstutakena	samAna-upADyAyena samAna-AcAryeNa Alaptakena saMlaptakena saMstutakena
   sapremakena te dharmaśalākā gṛhītā, tvam api dharmaśalākāṃ gṛhāṇa iti;	sa-premakena te Darma-SalAkA gRhItA, tvam api Darma-SalAkAm gRhANa iti;
   idam ucyate sakarṇatuntunakaṃ śalākācāraṇam; sarvasāṃghikaṃ śalākācāraṇaṃ	idam ucyate sa-karNa-tuntunakam SalAkA-cAraNam; sarva-sAMGikam SalAkA-cAraNam
   katamat? yathāpitac chalākācārakasya bhikṣor evaṃ bhavati, asminn āvāse	katamat? yaTApitat SalAkA-cArakasya BikzoH evam Bavati, asmin AvAse
   prabhūtā bhikṣavo glānāḥ, ahaṃ ced ḥasaṃniṣaṇṇeḥ asaṃnipatite sarvasaṃghe	praBUtAH BikzavaH glAnAH, aham ced Ha-saMnizaNNeH asaMnipatite sarva-saMGe
   śalākāṃ cārayeyaṃ sthānam etad vidyate prabhūtā bhikṣavaḥ adharmaśālākāṃ	SalAkAm cArayeyam sTAnam etat vidyate praBUtAH BikzavaH aDarma-SAlAkAm
   gṛhṇiyuḥ na tv ahaṃ sarvasaṃghe saṃniṣaṇṇe saṃnipatite śalākāṃ cārayeyam	gRhNiyuH na tu aham sarva-saMGe saMnizaNNe saMnipatite SalAkAm cArayeyam
   iti sa sarvasaṃghe saṃniṣaṇṇe saṃnipatite śalākāṃ cārayati, idam ucyate	iti sa sarva-saMGe saMnizaNNe saMnipatite SalAkAm cArayati, idam ucyate
   sarvasāṃghikaṃ śalākācāraṇam (Adhik-v 91)	sarva-sAMGikam SalAkA-cAraNam (a-aDik-u 91)
   The ten distributions of voting tickets that are not legally valid	The tet diH-tri-butia-unH of voting ticketH Tat are na-ut legallI valid
        daśa adhārmikāṇi śalākāgrahaṇāni, daśa dhārmikāṇi; daśa adhārmikāṇi	daSa aDArmikANi SalAkA-grahaNAni, daSa DArmikANi; daSa aDArmikANi
   ṣalākāgrahaṇāni katamāni? adharmeṇa śalākāṃ gṛhṇānti, vyagrāḥ śalākāṃ	zalAka-agrahaNAni katamAni? aDarmeNa SalAkAm gRhNAnti, vyagrAH SalAkAm
   gṛhṇānti, alpamātrāvaramātrakeṇa śalākāṃ gṛhṇanti; bhedāśaṅkinaḥ śalākāṃ	gRhNAnti, alpa-mAtra-avara-mAtrakeNa SalAkAm gRhNanti; Beda-aSaFkinaH SalAkAm
   gṛhṇanti; aparāvṛttaprayogena śalākāṃ gṛhṇanti; na gatiṃgatisārathitayā	gRhNanti; aparAvRtta-prayogena SalAkAm gRhNanti; na gatiMgati-sAraTitayA
   śalākāṃ gṛhṇanti; apy eva śalākāgrahaṇe saṃgho bhetsyati iti śalākāṃ	SalAkAm gRhNanti; api eva SalAkA-grahaNe saMGaH Betsyati iti SalAkAm
   gṛhṇanti; apy eva ṣalākāgrahaṇe prabhūtatarā bhikṣavaḥ adharmavādinaḥ	gRhNanti; api eva zalAka-agrahaNe praBUtatarAH BikzavaH aDarma-vAdinaH
   bhaviṣyantīti; jānan śalākāgrahaṇena saṃgho bhetsyatīti śalākāṃ gṛhṇanti;	Bavizyanti-iti; jAnan SalAkA-grahaNena saMGaH Betsyati-iti SalAkAm gRhNanti;
   apy eva jānan śalākāgrahaṇena prabhūtatarā bhikṣavaḥ adharmavādino	api eva jAnan SalAkA-grahaNena praBUtatarA BikzavaH aDarma-vAdinaH-
   bhaviṣyantīti śalākāṃ gṛhṇanti	Bavizyanti-iti SalAkAm gRhNanti
        katham adharmeṇa śalākāṃ gṛhṇanti? na vinayānulomena śalākāṃ	kaTam aDarmeNa SalAkAm gRhNanti? na vinaya-anulomena SalAkAm
   gṛhṇanti, evam adharmeṇa śalākāṃ gṛhṇanti; kathaṃ vyagrāḥ śalākāṃ	gRhNanti, evam aDarmeNa SalAkAm gRhNanti; kaTam vyagrAH SalAkAm
   gṛhṇanti? na saṃghasāmagryāṃ śalākāṃ gṛhṇanti, evaṃ vyagrāḥ śalākāṃ	gRhNanti? na saMGa-sAmagryAm SalAkAm gRhNanti, evam vyagrAH SalAkAm
   gṛhṇanti; katham alpamātrāvaramātrakeṇa (A 343b) śalākāṃ gṛhṇanti?	gRhNanti; kaTam alpa-mAtra-avara-mAtrakeNa (A 343b) SalAkAm gRhNanti?
   saṃvarakaraṇīyaṃ deśanākaraṇīyam iti viditvā śalākāṃ gṛhṇanti, evam	saMvara-karaNIyam deSanA-karaNIyam iti viditvA SalAkAm gRhNanti, evam
   alpamātrāvaramātrakeṇa śalākāṃ gṛhṇanti; kathaṃ bhedāśaṅkinaḥ śalākāṃ	alpa-mAtra-avara-mAtrakeNa SalAkAm gRhNanti; kaTam Beda-aSaFkinaH SalAkAm
   gṛhṇanti? caturdaśānāṃ bhedakarāṇāṃ vastūnām anyatamānyatamad bhedakaraṃ	gRhNanti? caturdaSAnAm Beda-karANAm vastUnAm anyatama-anyatamat Beda-karam
   vastu sādhu ca suṣṭhu ca sūdgṛhītaṃ bhavati, evaṃ bhedāśaṃkinaḥ śalākāṃ	vastu sADu ca suzWu ca su-udgRhItam Bavati, evam Beda-aSaMkinaH SalAkAm
   gṛhṇanti; kathaṃ aparāvṛttaprayogena śalākāṃ gṛhṇanti? na sthalasthān	gRhNanti; kaTam aparAvRtta-prayogena SalAkAm gRhNanti? na sTala-sTAn
   upādāya yāvan na sthaviraḥ; evam aparāvṛttaprayogena śalākāṃ gṛhṇanti;	upAdAya yAvat na sTaviraH; evam aparAvRtta-prayogena SalAkAm gRhNanti;
   kathaṃ na gatiṃgatisārathitayā śalākāṃ gṛhṇanti? ye te bhikṣavo bhavanti	kaTam na gatiMgati-sAraTitayA SalAkAm gRhNanti? ye te BikzavaH Bavanti
   sūtradharā vinayadharā mātṛkādharās tasmin dharmavinaye gataya ucyante;	sUtraDarAH vinaya-DarAH mAtRkA-DarAH tasmin Darma-vinaye gatayaH ucyante;
   sārathayas tān avalokya śalākām gṛhṇanti; evaṃ na gatiṃgatisārathitayā	sAraTayaH tAn avalokya SalAkAm gRhNanti; evam na gatiMgati-sAraTitayA
   śalākāṃ gṛhṇanti; katham apy eva śalākāgrahaṇena saṃgho bhetsyatīti	SalAkAm gRhNanti; kaTam api eva SalAkA-grahaNena saMGaH Betsyati-iti
   śalākāṃ gṛhnanti? apy eva śalākāgrahaṇena (Adhik-v 92) saṃgho ḥbhedaṃ	SalAkAm gRhnanti? api eva SalAkA-grahaNena (a-aDik-u 92) saMGaH HBedam
   gamiṣyatīty evaṃcittāḥ śalākāṃ gṛhṇanti; evam apy eva śalākāgrahaneṇa	gamizyati-iti evaMcittAH SalAkAm gRhNanti; evam api eva SalAkA-grahaneNa
   saṃghoḥ bhetsyatīti śalākāṃ gṛhṇanti; katham apy eva śalākāgrahaṇena	saMGoH Betsyati-iti SalAkAm gRhNanti; kaTam api eva SalAkA-grahaNena
   prabhūtatarā bhikṣavaḥ adharmavādino bhaviṣyantīti śalākāṃ gṛhṇanti? apy	praBUtatarAH BikzavaH aDarma-vAdinaH Bavizyanti-iti SalAkAm gRhNanti? api-
   eva śalākāgrahaṇena prabhūtatarā bhikṣavaḥ adharmaṃ samādāya vartiṣyante	eva SalAkA-grahaNena praBUtatarAH BikzavaH aDarmam samAdAya vartizyante
   iti śalākāṃ gṛhṇanti; evam apy eva śalākāgrahaṇena prabhūtatarā bhikṣavaḥ	iti SalAkAm gRhNanti; evam api eva SalAkA-grahaNena praBUtatarAH BikzavaH
   adharmavādino bhaviṣyantīti śalākāṃ gṛhṇanti; kathaṃ jānan śalākāgrahaṇena	aDarma-vAdinaH Bavizyanti-iti SalAkAm gRhNanti; kaTam jAnan SalAkA-grahaNena
   saṃgho bhetsyati iti śalākāṃ gṛhṇanti; jānan śalākāgrahaṇena saṃgho bhedaṃ	saMGaH Betsyati iti SalAkAm gRhNanti; jAnan SalAkA-grahaNena saMGaH Bedam
   gamiṣyati ity evaṃcittā śalākāṃ gṛhṇanti; evaṃ jānan śalākāgrahaṇena	gamizyati iti evaMcittA SalAkAm gRhNanti; evam jAnan SalAkA-grahaNena
   saṃgho bhetsyati iti śalākāṃ gṛhṇanti; kathaṃ jānan śalākāgrahaṇena	saMGaH Betsyati iti SalAkAm gRhNanti; kaTam jAnan SalAkA-grahaNena
   prabhūtatarā bhikṣavaḥ adharmavādina bhaviṣyanti iti śalākāṃ gṛhṇanti;	praBUtatarAH BikzavaH aDarma-vAdina Bavizyanti iti SalAkAm gRhNanti;
   jānan śalākāgrahaṇena prabhūtatārā bhikṣavaḥ adharmaṃ samādāya vartiṣyanta	jAnan SalAkA-grahaNena praBUta-tArAH BikzavaH aDarmam samAdAya vartizyanta
   ity evaṃcittāḥ śalākāṃ gṛhṇanti; evaṃ jānan śalākāgrahaṇena prabhūtatarā	iti evaMcittAH SalAkAm gRhNanti; evam jAnan SalAkA-grahaNena praBUtatarA
   bhikṣavo adharmavādino bhaviṣyanti iti śalākāṃ gṛhṇanti; imāni daśa	BikzavaH aDarma-vAdinaH Bavizyanti iti SalAkAm gRhNanti; imAni daSa
