   āryaśālistambakamahāyānasūtraṭīkā	Arya-SAli-stambaka-mahAyAna-sUtrawIkA
   tasmāt sūtre -ṣaṇṇāṃ dhātūnāṃ samavāyāt	tasmAt sUtre -zaNNAm DAtUnAm samavAyAt-
   pṛthivyaptejovāyvākāśa-vijñānādistvādhyātmikasya pratītyasamutpādasya	pRTivI-ap-tejaH-vAyu-AkASa--vijQAna-AdiH-tu-ADyAtmikasya pratItyasamutpAdasya
   pratyayopanibandho draṣṭavyaḥ | ityuktam |	pratyaya-upanibanDaH drazwavyaH | iti-uktam |
   kāṭhinyānugrahau pākaḥ śvāsavṛddhiranāvṛtiḥ |	kAWinya-anugrahO pAkaH SvAsa-vRdDiH-anAvRtiH |
   tatra adhyātma-pṛthivīdhātuḥ katamaḥ?	tatra aDyAtma--pRTivI-DAtuH katamaH?
   yatkāyasambaddha-kaṭhina-karkaśa-rūkṣa-kharagata-keśa-roma-nakha-danta-sveda-mala-carma-māṃsa-snāyu-asthayādi-sadṛśam,	yad-kAya-sambadDa--kaWina--karka-Sa--rUkza--Kara-gata--keSa--roma-naKa-danta--sveda-mala--carma--mAMsa--snAyu--asTayA-Adi--sadRSam,
   anyacca asmin kāye yatkiñcidasti tatsarvaṃ saṃgṛhya pṛthivīdhāturucyate |	anyat-ca asmin kAye yat-kiQcid-asti tat-sarvam saMgRhya pRTivI-DAtuH-ucyate |
   anugraha tu saṃgrahaḥ, sambandho-mṛduḥ, āliṅganaṃ, piṇḍīkaraṇaṃ snigdhatā	anugraha tu saMgrahaH, sambanDo--mRduH, AliFganaM, piNxIkaraNam snigDa-tA
   ca |	ca |
   tadyathā-aśru-sveda-kapha-siṃghāṇaka-majjā-śukra-mūtra-uccāra-rakta-lasīkā-mastaka-grahaṇī-pakvāśayādiḥ	tat-yaTA-aSru--sveda--kaPa---siMGANa-ka-majjA--Sukra--mUtra-uccAra--rakta--lasIkA-mastaka--grahaNI-pakvASaya-AdiH
   anyaccāsmin kāye tādṛśaṃ snigdha-svabhāvaṃ syājjaladhāturucyate |	anyat-ca-asmin kAye tAdRSam snigDa--svaBAvam syAt-jalaDAtuH-ucyate |
   pāko nāma	pAkaH nAma
   pācanam-pāka-pācana-pācaka-uṣṇāgnistāpa-tāpana-vṛtiryaścaitatkāyamadhye	pAcanam-pAka--pAcana--pAcaka--uzNa-agniH-tApa-tApana-vRtiH-yaH-ca-etat-kAya-maDye
   aśita-pīta-khāditānāṃ samyaksupācakaḥ | anyacca yatkiñcitkaṃ tādṛśaṃ	aSita--pIta--KAditAnAm samyak-supAcakaH | anyat-ca yat-kiQcitkam tAdRSam
   tatsarvaṃ tu tejodhāturucyate | śvāsa iti vāyudhātuḥ | śvāsastu ucchvāsaḥ,	tat-sarvam tu tejaH-DAtuH-ucyate | SvAsaH iti vAyuDAtuH | SvAsaH-tu ucCvAsaH,
   āśvāso, bhāṣaṇaṃ, pralāpo, gamanāgamanaṃ kṣayo vṛddhiriti | kāyasya	ASvAso, BAzaNan, pralApo, gamana-Agamanam kzayaH vRdDiH-iti | kAyasya
   vistāraḥ, saṅkocaḥ, kampanaṃ, calanaṃ, utkṣepaḥ, poṣaṇaṃ, vṛddhiḥ,	vistAraH, saFkocaH, kampanan, calanan, utkzepaH, pozaNan, vRdDiH,
   pīnasaḥ, kāsaḥ, chikkā, ūrdhvavāyuradhovāyuranyaccāpi etatkāyamadhye	pInasaH, kAsaH, CikkA, UrDva-vAyuH-aDas-vAyuH-anyat-ca-api etad-kAya-maDye
   yatkiñcit tādṛśamasti tatsarvam ekataḥ piṇḍīkṛtya vāyudhāturityucyate |	yat-kiQcid tAdRSam-asti tat-sarvam ekatas piNxIkRtya vAyuDAtuH-iti-ucyate |
   ākāśamiti anāvṛtatvādākāśam | āvaraṇaṃ sapratighaṃ saṃvṛtañca |	AkASam-iti anAvRta-tvAt-AkASam | AvaraNam sa-pratiGam saMvRtaQca |
   rājī-koṣa-antārandhra-mukharandhra-karṇapuṭa-nāsāpuṭa-netrachidrādayaḥ	rAjI--koza-antA-ranDra---muKa-ranDra-karNa-puwa-nAsA-puwa--netra-Cidra-AdayaH
   kāyāntaḥ koṣaścāyam ākāśadhāturityucyate |	kAya-antar kozaH-ca-ayam AkASa-DAtuH-iti-ucyate |
   nāmarūpānuvṛttiśca pañcavijñānasaṃyutaḥ |	nAma-rUpa-anuvRttiH-ca paQca-vijQAna-saMyutaH |
   tasmāt kliṣṭaṃ manaścaivādhyātmika pratyayā ime ||	tasmAt klizwam manaH-ca-eva-ADyAtmika pratyayAH ime ||
   tatra nāmānuvṛttiḥ rūpānuvṛttiśca ādhyātmikavijñānadhāturityucyate |	tatra nAma-anuvRttiH rUpa-anuvRttiH-ca ADyAtmika-vijQAna-DAtuH-iti-ucyate |
   pañcavijñānasaṃyutaḥ iti tāni pañcavijñānakāyāni, tataḥ kliṣṭaṃ manaścāpi	paQca-vijQAna-saMyutaH iti tAni paQca-vijQAnakAyAni, tatas klizwam manaH-ca-api
   iti kleśamayaṃ manaḥ, tāni ca caturmahābhūtāni ekataḥ piṇḍīkṛtya	iti kleSa-mayam manaH, tAni ca catur-mahABUtAni ekatas piNxIkRtya
   naḍakalāpayogena nāmarūpamityucyate | tatra nāmeti catvāro	naxa-kalApa-yogena nAma-rUpam-iti-ucyate | tatra nAma-iti catvAraH-
   'rūpaskandhāḥ-vedanā, saṃjñā, saṃskāro vijñānaṃ ceti | rūpaṃ nāma pitroḥ	arUpa-skanDAH--vedanA, saMjQA, saMskAraH vijQAnam ca-iti | rUpam nAma pitroH
   śukraśoṇitodbhūtaṃ antarābhavamāśritya yat prathamaṃ	Sukra-SoNita-udBUtam antarA-aBavam-ASritya yat praTamam
   nāmarūpābhinirvartanaṃ tanniśritya	nAma-rUpa-aBinirvartanam tat-niSritya
   pūrvaṃnāmarūpābhinirvartanaṃ-manovijñānaṃ sāsravaṃ nivṛta-vyākṛta	pUrvaMnAma-rUpa-aBinirvartanaM-manaH-vijQAnam sa-Asravam nivRta--vyAkRta
   svabhāvam ātmamohādicatuḥkleśātmakam | ātmamohaḥ, ātmamānam, ātmadṛṣṭiḥ,	svaBAvam Atma-moha-Adi-catur-kleSa-Atmakam | Atma-mohaH, Atma-mAnam, Atma-dRzwiH,
   ātmotkarṣaścetyetatkleśasaṃyutaṃ kliṣṭaṃ mana iti ekataḥ piṇḍīkṛtaṃ	Atma-utkarzaH-ca-iti-etat-kleSa-saMyutam klizwam manaH iti ekatas piNxIkRtam
   nāmarūpamityucyate |	nAma-rUpam-iti-ucyate |
   dhātūnāṃ sannipātād vai śarīrotpāda iṣyate |	DAtUnAm sannipAtAt vE SarIra-utpAdaH izyate |
   anantaroditāḥ ṣaḍdhātavaḥ | sannipātād vai iti tu vaikalyābhāvāt |	anantara-uditAH zaz-DAtavaH | sannipAtAt vE iti tu vEkalya-aBAvAt |
   śarīramiti tu bhūta-bhautika-saṃnipāta-piṇḍam | utpādo nāma prādurbhāvaḥ |	SarIram-iti tu BUta-BOtika--saMnipAta--piNxam | utpAdaH nAma prAdurBAvaH |
   iṣyate iti tu anumatam | asya kartrādi na vartate iti bhāvaḥ |	izyate iti tu anumatam | asya kartR-Adi na vartate iti BAvaH |
   ātmātmīyavikalpānāmutpādastairna manyate |	Atma-AtmIya-vikalpAnAm-utpAdaH-tEH-na manyate |
   iti tu asmābhirete utpāditā iti ca tairvayamutpāditā iti te 'nyonya	iti tu asmABiH-ete utpAditAH iti ca tEH-vayam-utpAditAH iti te anyonya
   vikalpaṃ notpādayanti |	vikalpam na-utpAdayanti |
   teṣu satsu samutpādaḥ teṣvasatsu na saṃbhavaḥ |	tezu satsu samutpAdaH tezu-asatsu na saMBavaH |
   pratyayeṣu asatsu śarīrotpādo na yujyate | yadā	pratyayezu asatsu SarIra-utpAdaH na yujyate | yadA
   ādhyātmikapratyayādi-vaikalyābhāvastadā saṃnipātāt śarīramutpadyate |	ADyAtmika-pratyaya-Adi--vEkalya-aBAvaH-tadA saMnipAtAt SarIram-utpadyate |
   vaikalye śarīraṃ na utpādyate |	vEkalye SarIram naH utpAdyate |
   naivātmādimayāste hi nāpyanyaccāpi kiñcana |	na-eva-Atma-Adi-mayA-AH-te hi na-api-anyat-ca-api kiQcana |
   tatra pṛthivīdhātustu nātmā ahaṃmameti manyanā-viyuktatvāt | 'na	tatra pRTivI-DAtuH-tu na-AtmA ahaMmam-eti manyanA--viyukta-tvAt | ana
   sattvāstu' citta-mano-vijñāna-viyuktatvāt | na jīvaḥ calatvābhāvāt | na	sattvAH-tu-a citta--mano--vijQAna--viyukta-tvAt | na jIvaH calatva-aBAvAt | na
   jantustu janyajanaka virahitatvāt | 'na manujo' manuviyuktatvāt | 'na	jantuH-tu janya-janaka virahita-tvAt | anaH manujaH-a manu-viyukta-tvAt | ana
   mānava' stu antaḥ sthitamānavāsadṛśatvāt | 'na strī', na pumān - na	mAnava-a stu antar sTita-mAna-vAsadRSa-tvAt | anaH strI-a, na pumAn  na
   napuṃsakastu ādhyātmikastrī puruṣa-napuṃsakātmakaḥ | na cāhaṃ mam iti tu	napuMsakaH-tu ADyAtmika-strI puruza-napuMsaka-AtmakaH | na ca-aham mam iti tu
   ātmātmīya-manyanā-viyuktatvāt |	Atma-AtmIya-manyanA--viyukta-tvAt |
   nāpyanyaccāpi kiñcana iti tu īśvarādi-kartṛ-kriyā-karma-virahitatvāt |	na-api-anyat-ca-api kiQcanaH iti tu ISvara-Adi--kartR-kriyA-karma--virahita-tvAt |
   tadvat jalam, agnirvāyurākāśo vijñānadhātuścāpi nātmā, na sattvo, na jīvo,	tadvat jalam, agniH-vAyuH-AkASaH vijQAna-DAtuH-ca-api na-AtmA, na sattvo, na jIvaH-,
   na jantuḥ, na manujo, na mānavo, na strī, na pumān, na napuṃsakam na cāhaṃ	na jantuH, na manujo, na mAnavaH-, na strI, na pumAn, na napuMsakam na ca-aham
   na mama syāt | na ceśvarādi anyat kiñcid iti jñātavyam |	na mama syAt | na ca-ISvara-Adi anyat kiQcid iti jQAtavyam |
   yaikapiṇḍādisaṃjñā sāvidyā tribhavachādikā |	yA-eka-piNxa-Adi-saMjQA sA-avidyA tri-Bava-CAdikA |
   tatra katamāvidyā? ucyate | tribhavachādiketyucyate | tribhavastu	tatra katamA-vidyA? ucyate | tri-Bava-CAdikA-iti-ucyate | tri-BavaH-tu
   bhavatrayam kāmabhavaḥ, rūpabhavaḥ, arūpabhavaśca | te 'pi	Bava-trayam kAma-BavaH, rUpa-BavaH, arUpa-BavaH-ca | te api
   sattvabhājanaloke vyavahāreṇa dvividhāḥ vyavasthāpitāḥ |	sattva-BAjana-loke vyavahAreNa dviviDAH vyavasTApitAH |
   atha ca dhātu-gati-yoni-bhedena krama-trayeṇa sthāpitaḥ | kathamiti cet |	aTa ca DAtu--gati--yoni-Bedena krama-trayeNa sTApitaH | kaTam-iti ced |
   ucyate - tatra kāmadhātuḥ ṣaṭtriṃśadāśrayanikāyavijñaptyavabhāsaṃ	ucyate  tatra kAmaDAtuH zawtriMSat-ASraya-nikAya-vijQapti-avaBAsam
   sādhāraṇāsādhāraṇa-svabhāvena ekapiṇḍatvena kalpayan saṃjñayā grahaṇatvād	sADAraNA-sADAraNa--svaBAvena eka-piNxa-tvena kalpayan saMjQayA grahaNa-tvAt-
   avidyeti ucyate | tatra ṣaṭtriṃśadāśrayanikāyāstu aṣṭau uṣṇasvabhāvā	avidyA-iti ucyate | tatra zawtriMSat-ASrayanikAyAH-tu azwO uzNa-svaBAvA
   mahānarakāḥ, śītasvabhāvāḥ aṣṭau mahānarakāḥ |	mahAnarakAH, SIta-svaBAvAH azwO mahA-narakAH |
   saṃjīva-kālasūtra-saṃghāta-raurava-mahāraurava-tapana-pratāpanāvīcayo-'ṣṭoṣṇanarakāḥ	saMjIva--kAla-sUtra--saMGAta-rOrava--mahArOrava--tapana--pratApanA-vIcayo--azwa-uzNa-narakAH
   | hāhādhara-apapa-aṭaṭa-hāhāvat-arbuda-nirarbuda-padma-mahāpadma-utpalāni	| hAhADara--apapa-awawa-hAha-avat-arbuda--nirarbuda--padma--mahApadma--utpalAni
   śītasvabhāvatvād aṣṭau śītanarakāśca | pratyekaḥ prādeśikaśca narakaḥ,	SIta-svaBAva-tvAt azwO SIta-narakAH-ca | pratyekaH prAdeSikaH-ca narakaH,
   pretāśrayaḥ, tiryagāśrayaḥ, asurāāśrayaḥ | caturdvīpāḥ, aṣṭau	preta-ASrayaH, tiryak-ASrayaH, asurAa-ASrayaH | catur-dvIpAH, azwO
   antardvīpāśca |	antar-dvIpAH-ca |
   tatra pretāśrayastu marau aṭavīkāntāre ca | tadbhinnastu vibhāgaḥ -	tatra preta-ASrayaH-tu marO awavI-kAntAre ca | tad-BinnaH-tu viBAgaH -
   grāma-nagara-nigama-śmaśāna-parvata-aṭavī-karvaṭa-dvīpa-nadī-vāyu-sāgara-palvala-taḍāga-kūpa-udyānasthāna-devālaya-mātṛgṛha-nāgaloka-maru-saras-vṛkṣa-śūnyālaya-mahāpatha-nadītaṭa-araṇyavāsa-prapāta-setu-kaulasthāna-mukha-mahāpatha-āpaṇa-catvara-śrṛṅgāṭaka-pāvanatīrthasthāna-jalāśayādiṣu	grAma-nagara--nigama--SmaSAna--parvata--awavI--karvawa--dvIpa--nadI--vAyu--sAgara--palvala--taxAga-kUpa--udyAna-sTAna--deva-Alaya--mAtR-gRha-nAga
   sthitvā svakarmavaśena vijñaptyavabhāsa-vikalpodbhavānāṃ yadajñānaṃ	sTitvA sva-karma-vaSena vijQapti-avaBAsa--vikalpa-udBavAnAm yat-ajQAnam
   seyamavidyā ityucyate | tiryaksthānaṃ madhye-sāgaram | yonisthānāni	sA-iyam-avidyA iti-ucyate | tiryak-sTAnam maDye--sAgaram | yoni-sTAnAni
   catvāri-aṇḍajo, jarāyujaḥ, saṃsvedajaḥ, upapādukaśca | yonyāśrayabhedena	catvAri-aNxa-jo, jarAyu-jaH, saMsveda-jaH, upapAdukaH-ca | yoni-ASraya-Bedena
   vividhā tiryagjagad vijñaptyavabhāsita-vikalpavāsanāliptasantānāḥ |	viviDA tiryak-jagat vijQapti-avaBAsita-vikalpa-vAsanA-lipta-santAnAH |
   tadanyathāvibhaktāḥ -	tad-anyaTA-viBaktAH -
   gardabha-sūkara-vānara-gaja-uṣṭra-aśva-mṛga-mahiṣa-gau-gavaya-camarī-śva-śrṛgāla-nakula-mūṣaka-siṃha-vyāghra-tarakṣu-ṛkṣa-vṛka-mārjāra-mīna-kacchapa-makara-śiśumāra-sarpa-pipīlikā-lūtā-pataṃga-tittiri-pipīlaka-kṛmi-valmīka-godhā-kīṭa-jalavāsi-śuka-śārikā-kokilā-mayūra-haṃsa-krauñca-vaka-kāka-gṛdhra-ullūka-jīvañjīva-suparṇādayo	gardaBa--sUkara--vAnara--gaja--uzwra--aSva--mRga--mahiza--gO-ga-vaya--camarI--Sva--SrR-gAla--nakula-mUzaka-siMha--vyAGra--tarakzu-Rkza--vRka-mAr
   'niścita-gatitvāt svakarmavāsanā-pāratantryeṇa avabhāsākāraṃ sthitaṃ tu	aniScita-gati-tvAt sva-karma-vAsanA--pAratantryeNa avaBAsa-AkAram sTitam tu
   yadajñānaṃ tadapi avidyā ityucyate | asurāṇāṃ caturāśrayastu sumeroścatuḥ	yat-ajQAnam tat-api avidyA iti-ucyate | asurANAm catur-ASrayaH-tu sumeroH-catuH
   pariṣaṇḍamadhye 'sti |	parizaNxa-maDye asti |
   tadbhinnavibhāgena sthitaṃ parvata-aṭavī-vana-udyāna-nadī-grāmādiṣu	tad-Binna-viBAgena sTitam parvata--awavI--vana--udyAna--nadI--grAma-Adizu
   svakarma-vaśāt prajñaptāvabhāsa-vikalpanodbhūtamanyasthānānāṃ yadajñānaṃ	sva-karma--vaSAt prajQapta-avaBAsa--vikalpana-udBUtam-anya-sTAnAnAm yat-ajQAnam
   tadapi avidyetyucyate | naraka-sattvānāṃ	tat-api avidyA-iti-ucyate | naraka--sattvAnAm
   svakarmavaśitānukūlavikalpanodbhavānāṃ tu anavataptamahāsāgarād	sva-karma-vaSita-anukUla-vikalpana-udBavAnAm tu anavatapta-mahA-sAgarAt-
   viṃśatisāhasra-yojanādhobhājanasya vijñapti-svabhāvamūlabhūteṣu	viMSati-sAhasra--yojana-aDas-BAjanasya vijQapti--svaBAva-mUla-BUtezu
   anyasthāneṣvabhi-nirvṛttiḥ | tato 'nyatra pratyekasattvasya	anya-sTAnezu-aBi-nirvRttiH | tatas anyatra pratyeka-sattvasya
   narakādi-bhājanasya vijñapti-vikalpanodbhūtasya	naraka-Adi-BAjanasya vijQapti-vikalpana-udBUtasya
   parvata-aṭavī-maru-darī-prapāta-nadī-tīrādisthānābhinirvṛttaṃ	parvata--awavI--maru--darI--prapAta--nadI--tIra-Adi-sTAna-aBinirvRttam
   yadajñānamidamapya-vidyetyucyate | catvāro dvīpāstu pūrvasyāṃ videhaḥ,	yat-ajQAnam-idam-api-a-vidyA-iti-ucyate | catvAraH dvIpAH-tu pUrvasyAm videhaH,
   dakṣiṇasyāṃ jambūdvīpaḥ, paścimāyāṃ aparagodānīyaḥ, uttarasyāṃ, ca	dakziNasyAm jambUdvIpaH, paScimAyAm apara-godAnIyaH, uttarasyAM, ca
   kururiti | aṣṭāvantardvīpāstu pūrvayāṃ videhaparṣado deho videhaśca |	kuruH-iti | azwO=-antar-dvIpAH-tu pUrvayAm videha-parzadaH dehaH videhaH-ca |
   dakṣiṇasyāṃ-jambūdvīpa-parṣadaḥ capalaka uttaramantrī ca |	dakziNasya-aM-jambUdvIpa-parzadaH capalakaH uttara-mantrI ca |
   paścimasyāma-paragodānīya-parṣadaḥ cāmaraścāparacāmaraśca |	paScimasya-ama-paraga-udAnIya--parzadaH cAmaraH-ca-apara-cAmaraH-ca |
   uttarasyāṃ kuru-parṣadaḥ kuruḥ kauravaśca | tedvīpopadvīpānāṃ prabhedena	uttarasyAm kuru--parzadaH kuruH kOravaH-ca | tedvIpa-upadvIpAnAm praBedena
   vividhā-kāreṇa bhinnāḥ | svavijñānāvabhāsavikalpanāvaśenodbhūtaṃ	viviDa-a-kAreNa BinnAH | sva-vijQAna-avaBAsa-vikalpanA-vaSena-udBUtam
   vibhinnaprapaṃca-vāsanāliptaṃ tādṛśaṃ yadajñānam idamapi avidyetyucyate |	viBinna-prapaMca--vAsana-Aliptam tAdRSam yat-ajQAnam idam-api avidyA-iti-ucyate |
   ṣaḍdevānāṃ	zaz-devAnAm
   sattva-bhājanāvabhāsa-vijñaptyavabhāsaviśeṣa-sādhāraṇāsādhāraṇāśeṣasvabhāveṣu	sattva--BAjana-avaBAsa--vijQapti-avaBAsa-viSeza--sADAraNA-sADAraNa-aSeza-svaBAvezu
   piṇḍagrahaṇa-kalpanā-vaśenodbhūtam yadajñānamidamapi avidyetyucyate |	piNxa-grahaNa--kalpanA-vaSena-udBUtam yat-ajQAnam-idam-api avidyA-iti-ucyate |
   tatra ṣaḍdevanikāyā iti | caturmahārājakāyikāḥ - trāyastriṃśo, yāmaḥ,	tatra zaz-deva-nikAyAH iti | catur-mahA-rAja-kAyikAH  trAyastriMSo, yAmaH,
   tuṣito, nirmāṇaratayaḥ paranirmitavaśavartinaśca | anye ca	tuzito, nirmANaratayaH paranirmitavaSavartinaH-ca | anye ca
   vidyādhara-siddhaḥ, ṛṣirgaruḍa-gandharvaḥ-kinnara-mahoraga, yakṣādayaḥ,	vidyADara-sidDaH, RziH-garuxa--ganDarvaH--kinnara--mahA-uraga, yakza-AdayaH,
   nakṣatra-graha-tārā-candra-sūryā saparivārāḥ saprāsādāḥ,	nakzatra--graha-tArA--candra--sUryAH sa-parivArAH sa-prAsAdAH,
   utpāda-vināśa-svakarmavaśena vijñaptyākārāvabhāsa-vikalpanā-vāsanānugāmino	utpAda--vinASa--sva-karma-vaSena vijQapti-AkAra-avaBAsa--vikalpanA-vAsanA-anugAminaH-
   'ṇḍaja-jarāyuja-saṃsvedaja-upapādukāśca | yonyāśraya bhedena	aNxa-ja--jarAyu-ja--saMsveda-ja-upapAdukAH-ca | yoni-ASraya Bedena
   vividha-tiryagjagad-vijñaptyavabhāsita-vikalpa-vāsanāliptasantānāḥ	viviDa-tiryak-jagat--vijQapti-avaBAsita--vikalpa---vAsana-Alipta-santAnAH
   gadarbha-sūkara-vānara-gaja-uṣṭra-aśva-mṛga-mahiṣa-gau-gavaya-camarī-śva-śrṛgāla-nakula-mūṣaka-siṃha-vyāghra-tarakṣu-ṛkṣa-vṛka-mārjāra-mīna-kacchapa-makara-śiśumāra-sarpa-pipīlikā-lūtā-pataṃga-tittiri-pipīlaka-kṛmi-vālmīki-godhā-yūkā-kīṭa-jalavāsi-śuka-śārikā-kokila-mayūra-haṃsa-krauñca-vaka-kāka-gṛdhra-ulūka-jīvañjīva-suparṇādayo-'niścitagatitvāt	gadarBa--sUkara--vAnara--gaja--uzwra--aSva--mRga--mahiza--gO-ga-vaya--camarI--Sva--SrR-gAla--nakula-mUzaka-siMha--vyAGra--tarakzu-Rkza--vRka-mAr
   svakarma-vāsanāpāratantryeṇa prajñaptyavabhāsākāra-sthitāḥ | evaṃ	sva-karma--vAsanA-pAratantryeNa prajQapti-avaBAsa-AkAra--sTitAH | evam
   pṛthaggati-yoni-bahutva-bhedena vibhinna-sattvabhājanalokā ityākhyātāḥ	pRTak-gati--yoni-bahu-tva--Bedena viBinna--sattva-BAjana-lokAH iti-AKyAtAH
   sādhāraṇā-sādhāraṇaviśeṣādipiṇḍagrahodbhūta ekataḥ saṃkṣipya	sADAraNA-sADAraNa-viSeza-Adi-piNxa-graha-udBUtaH ekatas saMkzipya
   kāmadhāturityucyate | parañcoktam -	kAmaDAtuH-iti-ucyate | paraQca-uktam -
   dhātugatiyonibhedaiḥ kāmabhavastu ṣaṭtriṃśat |	DAtu-gati-yoni-BedEH kAma-BavaH-tu zawtriMSat |
   narā dvādaśa, ṣaḍ devāḥ ṣoḍaśa narakāstathā |	narAH dvAdaSa, zaw devAH zoxaSa narakAH-taTA |
   sāsurapretatiryañcaḥ |	sa-asura-preta-tiryaQcaH |
   tādṛśa-vibhinna-vikalpavāsanodbhūtaṃ yadajñānam, aparicchinnam,	tAdRSa--viBinna--vikalpa-vAsanA-udBUtam yat-ajQAnam, aparicCinnam,
   avyaktā-varaṇam, anavabodham, aparijñātāmisraṃ	avyakta-a-varaNam, anavaboDam, aparijQAtAmisram
   pūrvānta-aparānta-madhya-hetu-karma-phala-satya-ratna-duḥkha-samudaya-nirodha-mārgakaṃ	pUrva-anta-a-para-anta--maDya--hetu--karma--Pala--satya-ratna--duHKa--samudaya--niroDa--mArgakam
   yadajñānaṃ sāvidyā| tridhātvavacchādi ketyucyate | tasmāt sūtre- yeṣāmeva	yat-ajQAnam sa-avidyA| triDAtu-avacCAdi kA-iti-ucyate | tasmAt sUtre yezAm-eva
   ṣaṇṇāṃ dhātūnāmeka-saṃjñā, piṇḍasaṃjñā, nityasaṃjñā, dhruvasaṃjñā,	zaNNAm DAtUnAm-eka--saMjQA, piNxa-saMjQA, nitya-saMjQA, Druva-saMjQA,
   śāśvatasaṃjñā, sukhasaṃjñā, ātmasaṃjñā, satva(saṃjñā), jīva(saṃjñā),	SASvata-saMjQA, suKa-saMjQA, Atma-saMjQA, satva(-saMjQA), jIva(-saMjQA),
   puruṣasaṃjñā, pudgala(saṃjñā), manuja(saṃjñā), mānava(saṃjñā),	puruza-saMjQA, pudgala(-saMjQA), manuja(-saMjQA), mAnava(-saMjQA),
   ahaṃkāra-mamakārasaṃjñā | evamādi vividhamajñānamiyamucyate 'vidyeti	ahaMkAra--mamakAra-saMjQA | evamAdi viviDam-ajQAnam-iyam-ucyate avidyA-iti
   deśitam | tatra pṛthivīdhātoraṣṭadravyatvād ekasaṃjñā na yujyate |	deSitam | tatra pRTivI-DAtoH-azwa-dravya-tvAt eka-saMjQA na yujyate |
   paramāṇūnāṃ parasparaṃ saṃcayātmakatvāt piṇḍagrāho na yujyate |	paramANUnAm parasparam saMcaya-Atmaka-tvAt piNxa-grAhaH na yujyate |
   hetupratyayayoḥ sambaddhapravṛteḥ nityasaṃjñā na yujyate | cirakālam	hetu-pratyayayoH sambadDa-pravRteH nitya-saMjQA na yujyate | cira-kAlam
   asthitatvād dhruvasaṃjñā na yujyate | sahotpāda-vināśatvān na	asTita-tvAt Druva-saMjQA na yujyate | saha-utpAda--vinASa-tvAt na
   śāśvatasaṃjñā | saṃskāra-vipariṇāma-duḥkhānvitatvān na sukhasaṃjñā |	SASvata-saMjQA | saMskAra--vipariNAma--duHKa-anvita-tvAt na suKa-saMjQA |
   ṣaṭtriṃśad-vidhāśucidravyasamavāyān na śuci saṃjñā |	zawtriMSat--viDa-aSuci-dravya-samavAyAt na Suci saMjQA |
   bhūta-bhautika-dravya-vaipulyān na ātmasaṃjñā |	BUta-BOtika-dravya--vEpulyAt naH Atma-saMjQA |
   cittacaitasikādhiṣṭhānatvān na sattvasaṃjñā | kriyābhāvān na jīvasaṃjñā |	citta-cEtasikA-aDizWAna-tvAt na sattva-saMjQA | kriyA-BAvAt na jIva-saMjQA |
   api ca | gamanāgamanarahitatvān na pudgalasaṃjñā asti |	api ca | gamana-Agamana-rahita-tvAt na pudgala-saMjQA asti |
   ahaṃmamamanyanāvirahitvān na manuja-mānavasaṃjñā |	ahaMmama-manyanA-virahitvAt na manuja--mAnava-saMjQA |
   ahaṃmametyādi-rahitatvān manujādisaṃjñā na yujyate | evaṃ ṣaṇṇāṃ dhātūnāṃ	ahaMmama-ityAdi-rahita-tvAt manuja-Adi-saMjQA na yujyate | evam zaNNAm DAtUnAm
   tadanityādisvabhāvasya yadajñānaṃ iyamavidyetyucyate |	tad-anitya-Adi-svaBAvasya yat-ajQAnam iyam-avidyA-iti-ucyate |
   tatra avidyeti tu vidyā na bhūtatvād avidyā | na tu vidyābhāvaḥ, abhāvastu	tatra avidyA-iti tu vidyA na BUta-tvAt avidyA | na tu vidyA-BAvaH, aBAvaH-tu
   na kiñcidapi | avidyā vidyābhinnā vidyāntaramevasti | tasmād abhāvo	na kiQcid-api | avidyA vidyA-BinnA vidyA-antaram-evasti | tasmAt aBAvaH-
   niṣedho 'pi nāsti, paratvamapi nāsti | atha kimiti cet? virodhaḥ | avidyā	nizeDaH api nAsti, paratvam-api na-asti | aTa kim-iti cet? viroDaH | avidyA
   tu na vidyābhāvaḥ vidyādharmato viruddhā avidyeti ucyate |	tu na vidyA-BAvaH vidyADarmataH virudDA avidyA-iti ucyate |
   paranirmitavaśavarti taddevo - pariprabhṛti	paranirmitavaSavarti tat-devaH  paripraBRti
   saptadaśāśrayākāravijñaptyavabhāso rūpadhātuḥ | tadudbhavaḥ sattva	saptadaSa-ASraya-AkAra-vijQapti-avaBAsaH rUpa-DAtuH | tad-udBavaH sattva
   bhājanaloka-svabhāvaḥ sādhāraṇaḥ, asādhāraṇaśca viśeṣavikalpavaśasambhavaḥ	BAjana-loka--svaBAvaH sADAraNaH, asADAraNaH-ca viSeza-vikalpa-vaSa-samBavaH
   | āśrayāstu caturdhyānānāṃ trividhabhāvanānvitatvād brahmakāyikādayo	| ASrayAH-tu catur-DyAnAnAm triviDa-BAvanA-anvita-tvAt brahmakAyikAdayaH-
   dvādaśa, caturthadhyānasya miśrabhāvanānvitatvāt pañcāvāsāḥ	dvAdaSa, caturTa-DyAnasya miSra-BAvanA-anvita-tvAt paQca-AvAsAH
   pañcaśuddhāvāsāḥ | tatra prathame tu	paQca-SudDa-AvAsAH | tatra praTame tu
   brahmakāyika-brahmapurohita-mahābrahmāṇaḥ | dvitīye tu	brahmakAyika--brahma-purohita--mahAbrahmANaH | dvitIye tu
