   (PSP_4:1)	(PSu _4:1)
   sattvānāṃ sārthavāho bhavati. iti dvīpakāritram	sattvAnAm sArTavAhaH Bavati. iti dvIpa kAritram
   kathaṃ ca subhūte bodhisattvo mahāsattvo 'nuttarāṃ samyaksaṃbodhim	kaTam ca suBUte boDisattvaH mahAsattvaH anuttarAm samyaksaMboDim
   abhisaṃbudhya lokasya pariṇāyako bhavati? iha subhūte bodhisattvo	aBisaMbuDya lokasya pariNAyakaH Bavati? iha suBUte boDisattvaH 
   mahāsattvaḥ sattvanikāye mahākaruṇām utpādyānuttarāṃ samyaksaṃbodhim	mahAsattvaH sattva nikAye mahA karuNAm utpAdya anuttarAm samyaksaMboDim
   abhisaṃbudhya rūpasyānutpādāyānirodhāyāsaṃkleśāyāvyavadānāya sattvānāṃ	aBisaMbuDya rUpasya anutpAdAya aniroDAya asaMkleSAya avyavadAnAya sattvAnAm
   dharman deśayati saṃprakāśayati, vedanāyāḥ saṃjñāyāḥ saṃskārāṇāṃ,	Darman deSayati saMprakASayati, vedanAyAH saMjQAyAH saMskArANAM,
   vijñānasyānutpādāyānirodhāyāsaṃkleśāyāvyavadānāya dharman deśayati	vijQAnasya anutpAdAya aniroDAya asaMkleSAya avyavadAnAya Darman deSayati
   saṃprakāśayati. evaṃ dānaśīlakṣāntivīryadhyānaprajñāpāramitāyā	saMprakASayati. evam dAna SIla kzAnti vIrya DyAna prajQApAramitAyAH 
   anutpādāyānirodhāyāsaṃkleśāyāvyavadānāya dharman deśayati saṃprakāśayati.	anutpAdAya aniroDAya asaMkleSAya avyavadAnAya Darman deSayati saMprakASayati.
   upāyapāramitāyāḥ praṇidhānapāramitāyā balapāramitāyā jñānapāramitāyāś	upAya pAramitAyAH praNiDAna pAramitAyAH bala pAramitAyAH jQAna pAramitAyAH 
   cānutpādāyānirodhāyāsaṃkleśāyāvyavadānāya dharman deśayati saṃprakāśayati.	ca anutpAdAya aniroDAya asaMkleSAya avyavadAnAya Darman deSayati saMprakASayati.
   adhyātmaśūnyatāyā bahirdhāśūnyatāyā adhyātmabahirdhāśūnyatāyā yāvad	aDyAtma SUnyatAyAH bahirDA SUnyatAyAH aDyAtma bahirDA SUnyatAyAH yAvat 
   abhāvasvabhāva śūnyatāyāś cānutpādāyānirodhāyāsaṃkleśāyāvyavadānāya	aBAva svaBAva SUnyatAyAH ca anutpAdAya aniroDAya asaMkleSAya avyavadAnAya
   dharman deśayati saṃprakāśayati. saptatriṃśadbodhipakṣyāṇāṃ dharmāṇām	Darman deSayati saMprakASayati. saptatriMSat boDi pakzyANAm DarmANAm
   āryasatyānām apramāṇadhyānārūpyasamāpattīnām abhijñānāṃ	Arya satyAnAm apramANa DyAna ArUpya samApattInAm aBijQAnAm
   cānutpādāyānirodhāyāsaṃkleśāyā vyavadānāya dharman deśayati	ca anutpAdAya aniroDAya asaMkleSAyAH vyavadAnAya Darman deSayati
   saṃprakāśayati. aṣṭānāṃ vimokṣāṇāṃ navānupūrvavihārasamāpattīnāṃ	saMprakASayati. azwAnAm vimokzANAm nava anupUrva vihAra samApattInAm
   śūnyatānimittāpraṇihitānāṃ cānutpādāyānirodhāyāsaṃkleśāyāvyavadānāya	SUnyatA nimitta apraNihitAnAm ca anutpAdAya aniroDAya asaMkleSAya avyavadAnAya
   dharman deśayati saṃprakāśayati. evaṃ sarvasamādhīnām (PSP_4:101)	Darman deSayati saMprakASayati. evam sarva samADInAm (PSu _4:101)
   sarvadhāraṇīmukhānāṃ daśānāṃ balānāṃ caturṇāṃ vaiśāradyānāṃ catasṛṇāṃ	sarva DAraNI muKAnAm daSAnAm balAnAm caturNAm vESAradyAnAm catasRNAm
   pratisaṃvidām aṣṭādaśānām āveṇikānāṃ buddhadharmāṇāṃ	pratisaMvidAm azwAdaSAnAm AveNikAnAm budDa DarmANAm
   cānutpādāyānirodhāyāsaṃkleśāyāvyavadānāya dharman deśayati saṃprakāśayati.	ca anutpAdAya aniroDAya asaMkleSAya avyavadAnAya Darman deSayati saMprakASayati.
   sarvākārajñatāyā anutpādāyānirodhāyāsaṃkleśāyāvyavadānāya dharman deśayati	sarva AkAra jQa tAyAH anutpAdAya aniroDAya asaMkleSAya avyavadAnAya Darman deSayati
   saṃprakāśayati. pratyekabodher anutpādāyānirodhāyāsaṃkleśāyāvyavadānāya	saMprakASayati. pratyeka boDeH anutpAdAya aniroDAya asaMkleSAya avyavadAnAya
   dharman deśayati saṃprakāśayati.	Darman deSayati saMprakASayati.
   srotaāpattiphalasyānutpādāyānirodhāyāsaṃkleśāyāvyavadānāya dharman	srotaApatti Palasya anutpAdAya aniroDAya asaMkleSAya avyavadAnAya Darman
   deśayati saṃprakāśayati. evaṃ	deSayati saMprakASayati. evam
   sakṛdāgāmiphalasyānāgāmiphalasyārhattvaphalasyānutpādāyānirodhāyāsaṃkleśāyāvyavadānāya	sakRdAgAmi Palasya anAgAmi Palasya arhat tva Palasya anutpAdAya aniroDAya asaMkleSAya avyavadAnAya
   dharman deśayati saṃprakāśayati. evaṃ hi subhūte bodhisattvo mahāsattvo	Darman deSayati saMprakASayati. evam hi suBUte boDisattvaH mahAsattvaH 
   'nuttarāṃ samyaksaṃbodhim abhisaṃbudhya sattvānāṃ pariṇāyako bhavati. iti	anuttarAm samyaksaMboDim aBisaMbuDya sattvAnAm pariNAyakaH Bavati. iti
   pariṇāyakakāritram	pariNAyaka kAritram
   kathañ ca subhūte bodhisattvo mahāsattvo 'nuttarāṃ samyaksaṃbodhim	kaTan ca suBUte boDisattvaH mahAsattvaH anuttarAm samyaksaMboDim
   abhisaṃboddhukāmaḥ sattvānāṃ gatir bhavati? iha subhūte bodhisattvo	aBisaMbodDu kAmaH sattvAnAm gatiH Bavati? iha suBUte boDisattvaH 
   mahāsattvo mūḍhānāṃ gatikānāṃ sattvānām antaśo 'nuttarāṃ samyaksaṃbodhim	mahAsattvaH mUXAnAm gatikAnAm sattvAnAm antaSas anuttarAm samyaksaMboDim
   abhisaṃbudhya gatir bhavati. ākāśagatikaṃ rūpam iti sattvānāṃ dharman	aBisaMbuDya gatiH Bavati. AkASa gatikam rUpam iti sattvAnAm Darman
   deśayati, vedanā saṃjñā saṃskārā, ākāśagatikaṃ vijñānam iti sattvānāṃ	deSayati, vedanA saMjQA saMskArA, AkASa gatikam vijQAnam iti sattvAnAm
   dharman deśayati. ākāśagatikā skandhadhātvāyatanapratītyasamutpādāḥ	Darman deSayati. AkASa gatikA skanDa DAtu Ayatana pratItyasamutpAdAH
   pratītyasamutpādāṅgāni ceti sattvānāṃ dharman deśayati. evaṃ	pratItyasamutpAda aFgAni ca iti sattvAnAm Darman deSayati. evam
   sarvapāramitāḥ sarvaśūnyatāḥ sarvasamādhayaḥ sarvadhāraṇīmukhāni	sarva pAramitAH sarva SUnyatAH sarva samADayaH sarva DAraNI muKAni
   saptatriṃśadbodhipakṣyā dharmā apramāṇadhyānārūpyasamāpattaya āryasatyāny	saptatriMSat boDi pakzyAH DarmAH apramANa DyAna ArUpya samApattayaH Arya satyAni 
   aṣṭavimokṣā navānupūrvavihārasamāpattayaḥ śūnyatānimittāpraṇihitāny	azwa vimokzAH nava anupUrva vihAra samApattayaH SUnyatA nimitta apraNihitAni 
   abhijñādaśabalavaiśāradyapratisaṃvido 'ṣṭādaśāveṇikabuddhadharmā	aBijQA daSa bala vESAradya pratisaMvidaH azwAdaSa AveNika budDa DarmA
   ākāśagatikā iti sattvānāṃ dharman deśayati. ākāśagatikā sarvajñateti	AkASa gatikAH iti sattvAnAm Darman deSayati. AkASa gatikA sarvajQa tA iti
   sattvānāṃ dharman deśayati. anāgatigatikā rūpaśūnyatā sā nāgacchati na	sattvAnAm Darman deSayati. anAgati gatikA rUpa SUnyatA sA na AgacCati na
   gacchatīti sattvānāṃ dharman deśayati, vedanā saṃjñā saṃskārā,	gacCati iti sattvAnAm Darman deSayati, vedanA saMjQA saMskArA,
   anāgatigatikā vijñānaśūnyatā sā nāgacchati na gacchatīti sattvānāṃ dharman	anAgati gatikA vijQAna SUnyatA sA na AgacCati na gacCati iti sattvAnAm Darman
   deśayati. anāgatigatikā skandhadhātvāyatanapratītyasamutpādasya	deSayati. anAgati gatikA skanDa DAtu Ayatana pratItyasamutpAdasya
   pratītyasamutpādāṅgānāñ ca śūnyatā sā nāgacchati na gacchatīti sattvānāṃ	pratItyasamutpAda aFgAnAn ca SUnyatA sA na AgacCati na gacCati iti sattvAnAm
   dharman deśayati. evam anāgatigatikā	Darman deSayati. evam anAgati gatikA
   sarvapāramitāsarvaśūnyatāsarvavimokṣasamādhisamāpattidhāraṇīmukhaśūnyatā	sarva pAramitA sarva SUnyatA sarva vimokza samADi samApatti DAraNI muKa SUnyatA
   sā nāgacchati na gacchatīti sattvānāṃ dharman deśayati. (PSP_4:102)	sA na AgacCati na gacCati iti sattvAnAm Darman deSayati. (PSu _4:102)
   anāgatigatikā	anAgati gatikA
   smṛtyupasthānasamyakprahāṇarddhipādendriyabalabodhyaṅgamārgaśūnyatā sā	smRti upasTAna samyak prahANa RdDi pAda indriya bala boDi aFga mArga SUnyatA sA
   nāgacchati na gacchatīti sattvānāṃ dharman deśayati. anāgatigatikā	na AgacCati na gacCati iti sattvAnAm Darman deSayati. anAgati gatikA
   apramāṇadhyānārūpyasamāpattiśūnyatā sā nāgacchati na gacchatīti sattvānāṃ	apramANa DyAna ArUpya samApatti SUnyatA sA na AgacCati na gacCati iti sattvAnAm
   dharman deśayati. anāgatigatikā śūnyatānimittāpraṇihitābhijñāśūnyatā sā	Darman deSayati. anAgati gatikA SUnyatA nimitta apraNihita aBijQA SUnyatA sA
   nāgacchati na gacchatīti sattvānāṃ dharman deśayati. anāgatigatikā	na AgacCati na gacCati iti sattvAnAm Darman deSayati. anAgati gatikA
   daśatathāgatabalavaiśāradyapratisaṃvidāveṇikabuddhadharmaśūnyatā sā	daSa taTAgata bala vESAradya pratisaMvid AveNika budDa Darma SUnyatA sA
   nāgacchati na gacchatīti sattvānāṃ dharman deśayati. anāgatigatikā	na AgacCati na gacCati iti sattvAnAm Darman deSayati. anAgati gatikA
   sarvākārajñatāśūnyatā sā nāgacchati na gacchatīti sattvānāṃ dharman	sarva AkAra jQa tA SUnyatA sA na AgacCati na gacCati iti sattvAnAm Darman
   deśayati. evaṃ hi subhūte bodhisattvo mahāsattvo 'nuttarāṃ samyaksaṃbodhim	deSayati. evam hi suBUte boDisattvaH mahAsattvaH anuttarAm samyaksaMboDim
   abhisaṃbudhya sattvānāṃ gatir bhavati. tat kasya hetoḥ? śūnyatāgatikā hi	aBisaMbuDya sattvAnAm gatiH Bavati. tat kasya hetoH? SUnyatA gatikAH hi
   subhūte sarvadharmās te tāṅ gatin na vyativartante. tat kasya hetoḥ? na hi	suBUte sarva DarmAH te tAF gatin na vyativartante. tat kasya hetoH? na hi
   subhūte śūnyatāyā āgatir vā gatir vopalabhyate. ānimittagatikā hi subhūte	suBUte SUnyatAyAH AgatiH vA gatiH vA upalaByate. Animitta gatikA hi suBUte
   sarvadharmās te tāṅ gatin na vyativartante. tat kasya hetoḥ? na hi subhūte	sarva DarmAH te tAF gatin na vyativartante. tat kasya hetoH? na hi suBUte
   ānimittasyāgatir vā gatir vopalabhyate. apraṇihitagatikā hi subhūte	Animittasya AgatiH vA gatiH vA upalaByate. apraNihita gatikA hi suBUte
   sarvadharmās te tāṅ gatin na vyativartante. tat kasya hetoḥ? na hi subhūte	sarva DarmAH te tAF gatin na vyativartante. tat kasya hetoH? na hi suBUte
   'praṇihitasyāgatir vā gatir vopalabhyate. anabhisaṃskāragatikā hi subhūte	apraNihitasya AgatiH vA gatiH vA upalaByate. anaBisaMskAra gatikA hi suBUte
   sarvadharmās te tāṅ gatin na vyativartante. tat kasya hetoḥ? na hi subhūte	sarva DarmAH te tAF gatin na vyativartante. tat kasya hetoH? na hi suBUte
   'nabhisaṃskārasyāgatir vā gatir vopalabhyate. ity anābhogakāritram	anaBisaMskArasya AgatiH vA gatiH vA upalaByate. iti anABoga kAritram
   anutpādagatikā hi subhūte sarvadharmās te tāṅ gatin na vyativartante. tat	anutpAda gatikAH hi suBUte sarva DarmAH te tAF gatin na vyativartante. tat 
   kasya hetoḥ? na hi subhūte 'nutpādasyāgatir vā gatir vopalabhyate.	kasya hetoH? na hi suBUte anutpAdasya AgatiH vA gatiH vA upalaByate.
   anirodhagatikā hi subhūte sarvadharmās te tāṅ gatin na vyativartante. tat	aniroDa gatikAH hi suBUte sarva DarmAH te tAF gatin na vyativartante. tat 
   kasya hetoḥ? na hi subhūte 'nirodhasyāgatir vā gatir vopalabhyate.	kasya hetoH? na hi suBUte aniroDasya AgatiH vA gatiH vA upalaByate.
   asaṃkleśāvyavadānagatikā hi subhūte sarvadharmās te tāṅ gatin na	asaMkleSa avyavadAna gatikAH hi suBUte sarva DarmAH te tAF gatin na
   vyativartante. tat kasya hetoḥ? na hi subhūte 'saṃkleśāvyavadānasyāgatir	vyativartante. tat kasya hetoH? na hi suBUte asaMkleSa avyavadAnasya AgatiH 
   vā gatir vopalabhyate. ajātābhāvagatikā hi subhūte sarvadharmās te tāṅ	vA gatiH vA upalaByate. ajAta aBAva gatikAH hi suBUte sarva DarmAH te tAF
   gatin na vyativartante. tat kasya hetoḥ? na hi subhūte 'jātābhāvasyāgatir	gatin na vyativartante. tat kasya hetoH? na hi suBUte ajAta aBAvasya AgatiH 
   vā gatir vopalabhyate. svapnagatikā hi subhūte sarvadharmās te tāṅ gatin	vA gatiH vA upalaByate. svapna gatikAH hi suBUte sarva DarmAH te tAF gatin
   na vyativartante. tat kasya hetoḥ? na hi subhūte svapnasyāgatir vā gatir	na vyativartante. tat kasya hetoH? na hi suBUte svapnasya AgatiH vA gatiH 
   vopalabhyate. māyāgatikā hi subhūte sarvadharmās te tāṅ gatin na	vA upalaByate. mAyA gatikAH hi suBUte sarva DarmAH te tAF gatin na
   vyativartante. tat kasya hetoḥ? na hi subhūte māyāyā āgatir vā gatir	vyativartante. tat kasya hetoH? na hi suBUte mAyAyAH AgatiH vA gatiH 
   (PSP_4:103) vopalabhyate. pratiśrutkāgatikā hi subhūte sarvadharmās te tāṅ	(PSu _4:103) vA upalaByate. pratiSrutka AgatikAH hi suBUte sarva DarmAH te tAF
   gatin na vyativartante. tat kasya hetoḥ? na hi subhūte pratiśrutkāyā	gatin na vyativartante. tat kasya hetoH? na hi suBUte pratiSrutkAyA
   āgatir vā gatir vopalabhyate. pratibhāsagatikā hi subhūte sarvadharmās te	AgatiH vA gatiH vA upalaByate. pratiBAsa gatikAH hi suBUte sarva DarmAH te
   tāṅ gatin na vyativartante. tat kasya hetoḥ? na hi subhūte	tAF gatin na vyativartante. tat kasya hetoH? na hi suBUte
   pratibhāsasyāgatir vā gatir vopalabhyate. nirmitagatikā hi subhūte	pratiBAsasya AgatiH vA gatiH vA upalaByate. nirmita gatikA hi suBUte
   sarvadharmās te tāṅ gatin na vyativartante. tat kasya hetoḥ? na hi subhūte	sarva DarmAH te tAF gatin na vyativartante. tat kasya hetoH? na hi suBUte
   nirmitasyāgatir vā gatir vopalabhyate. marīcīgatikā hi subhūte	nirmitasya AgatiH vA gatiH vA upalaByate. marIcI gatikA hi suBUte
   sarvadharmās te tāṅ gatin na vyativartante. tat kasya hetoḥ? na hi subhūte	sarva DarmAH te tAF gatin na vyativartante. tat kasya hetoH? na hi suBUte
   marīcyā āgatir vā gatir vopalabhyate. gandharvanagaragatikā hi subhūte	marIcyA AgatiH vA gatiH vA upalaByate. ganDarvanagara gatikA hi suBUte
   sarva dharmās te tāṅ gatin na vyativartante. tat kasya hetoḥ? na hi	sarva DarmAH te tAF gatin na vyativartante. tat kasya hetoH? na hi
   subhūte gandharvanagarasyāgatir vā gatir vopalabhyate.	suBUte ganDarvanagarasya AgatiH vA gatiH vA upalaByate.
   anantāparyantagatikā hi subhūte sarvadharmās te tāṅ gatin na	ananta aparyanta gatikAH hi suBUte sarva DarmAH te tAF gatin na
   vyativartante. tat kasya hetoḥ? na hi subhūte anantāparyantasyāgatir vā	vyativartante. tat kasya hetoH? na hi suBUte ananta aparyantasya AgatiH vA
   gatir vopalabhyate. anuddhārāpratyuddhāragatikā hi subhūte sarvadharmās te	gatiH vA upalaByate. anudDArA pratyudDAra gatikAH hi suBUte sarva DarmAH te
   tāṅ gatin na vyativartante. tat kasya hetoḥ? na hi subhūte	tAF gatin na vyativartante. tat kasya hetoH? na hi suBUte
   'nuddhārāpratyuddhārasyāgatir vā gatir vopalabhyate. anāgatikā hi subhūte	anudDArA pratyudDArasya AgatiH vA gatiH vA upalaByate. anAgatikA hi suBUte
   sarvadharmās te tāṅ gatin na vyativartante. tat kasya hetoḥ? na hi subhote	sarva DarmAH te tAF gatin na vyativartante. tat kasya hetoH? na hi suBote
   'nāgater āgatir vā gatir vopalabhyate. anāyūhāniryūhagatikā hi subhūte	anAgateH AgatiH vA gatiH vA upalaByate. anAyUhAniH yUha gatikA hi suBUte
   sarvadharmās te tāṅ gatin na vyativartante. tat kasya hetoḥ? na hi subhūte	sarva DarmAH te tAF gatin na vyativartante. tat kasya hetoH? na hi suBUte
   'nāyūhāniryūhasyāgatir vā gatir vopalabhyate.	anAyUhAniH yUhasya AgatiH vA gatiH vA upalaByate.
   ayogāviyogāśleṣāviśleṣagatikā hi subhūte sarvadharmās te tāṅ gatin na	ayoga aviyoga ASlezA viSleza gatikAH hi suBUte sarva DarmAH te tAF gatin na
   vyativartante. tat kasya hetoḥ? na hi subhūte	vyativartante. tat kasya hetoH? na hi suBUte
   'yogāviyogāśleṣāviśleṣasyāgatir vā gatir vopalabhyate. ātmagatikā hi	ayoga aviyoga ASlezA viSlezasya AgatiH vA gatiH vA upalaByate. Atma gatikA hi
   subhūte sarvadharmās te tāṅ gatin na vyativartante. tat kasya hetoḥ? na hi	suBUte sarva DarmAH te tAF gatin na vyativartante. tat kasya hetoH? na hi
   subhūte ātmana āgatir vā gatir vopalabhyate. sattvagatikā hi subhūte	suBUte AtmanaH AgatiH vA gatiH vA upalaByate. sattva gatikA hi suBUte
   sarvadharmā,	sarva DarmA,
   jīvajantupoṣapuruṣapudgalamanujamānavakārakavedakajānakapaśyakotthāpakasamutthāpakagatikā	jIva jantu poza puruza pudgalam anujamAnavakAraka vedaka jAnaka paSyakA utTApaka samutTApaka gatikA
   hi subhūte sarvadharmās te tāṅ gatin na vyativartante. tat kasya hetoḥ?	hi suBUte sarva DarmAH te tAF gatin na vyativartante. tat kasya hetoH?
   atyantatayā hi subhūte sattvo na saṃvidyate	atyanta tayA hi suBUte sattvaH na saMvidyate
   jīvajantupoṣapuruṣapudgalamanujamānavakārakavedakajānakapaśyakotthāpakasamutthāpakā	jIva jantu poza puruza pudgalam anujamAnavakAraka vedaka jAnaka paSyakA utTApaka samutTApakA
   na saṃvidyante, kutaḥ punar eṣām āgatir vā gatir vā bhaviṣyati.	na saMvidyante, kutas punar ezAm AgatiH vA gatiH vA Bavizyati.
   nityagatikā hi subhūte sarvadharmās te tāṅ gatin na vyativartante,	nitya gatikAH hi suBUte sarva DarmAH te tAF gatin na vyativartante,
   sukhagatikā hi subhūte sarvadharmās te tāṅ gatin na vyativartante,	suKa gatikAH hi suBUte sarva DarmAH te tAF gatin na vyativartante,
   ātmagatikā hi subhūte sarvadharmās te tāṅ gatin na vyativartante,	Atma gatikAH hi suBUte sarva DarmAH te tAF gatin na vyativartante,
   śubhagatikā (PSP_4:104) hi subhūte sarvadharmās te tāṅ gatin na	SuBa gatikAH (PSu _4:104) hi suBUte sarva DarmAH te tAF gatin na
   vyativartante. tat kasya hetoḥ? atyantatayā hi subhūte nityaṃ sukham ātmā	vyativartante. tat kasya hetoH? atyanta tayA hi suBUte nityam suKam AtmA
   śubhan na saṃvidyate, kutaḥ punar eṣām āgatir vā gatir vā bhaviṣyati.	SuBan na saMvidyate, kutas punar ezAm AgatiH vA gatiH vA Bavizyati.
   anityagatikā hi subhūte sarvadharmās te tāṅ gatin na vyativartante,	anitya gatikAH hi suBUte sarva DarmAH te tAF gatin na vyativartante,
   duḥkhagatikā hi subhūte sarvadharmās te tāṅ gatin na vyativartante,	duHKa gatikAH hi suBUte sarva DarmAH te tAF gatin na vyativartante,
   anātmagatikā hi subhūte sarvadharmās te tāṅ gatin na vyativartante,	anAtma gatikAH hi suBUte sarva DarmAH te tAF gatin na vyativartante,
   aśubhagatikā hi subhūte sarvadharmās te tāṅ gatin na vyativartante. tat	aSuBa gatikAH hi suBUte sarva DarmAH te tAF gatin na vyativartante. tat 
   kasya hetoḥ? atyantatayā hi subhūte anityaṃ duḥkham anātmā aśubhan na	kasya hetoH? atyanta tayA hi suBUte anityam duHKam anAtmA aSuBan na
   saṃvidyate, kutaḥ punar eṣām āgatir vā gatir vā bhaviṣyati. rāgagatikā hi	saMvidyate, kutas punar ezAm AgatiH vA gatiH vA Bavizyati. rAga gatikA hi
   subhūte sarvadharmās te tāṅ gatin na vyativartante, doṣagatikā hi subhūte	suBUte sarva DarmAH te tAF gatin na vyativartante, doza gatikA hi suBUte
   sarvadharmās te tāṅ gatin na vyativartante, mohagatikā hi subhūte	sarva DarmAH te tAF gatin na vyativartante, moha gatikA hi suBUte
   sarvadharmās te tāṅ gatin na vyativartante, dṛṣṭigatikā hi subhūte	sarva DarmAH te tAF gatin na vyativartante, dRzwi gatikA hi suBUte
   sarvadharmās te tāṅ gatin na vyativartante. tat kasya hetoḥ? atyantatayā	sarva DarmAH te tAF gatin na vyativartante. tat kasya hetoH? atyanta tayA
   hi subhūte dṛṣṭikṛtaṃ vastu na saṃvidyate, kuto dṛṣṭikṛtāni bhaviṣyanti?,	hi suBUte dRzwi kRtam vastu na saMvidyate, kutas dRzwi kRtAni Bavizyanti?,
   kuta evāgatir vā gatir vā bhaviṣyati. tathatāgatikā hi subhūte	kutas eva AgatiH vA gatiH vA Bavizyati. taTatA gatikA hi suBUte
   sarvadharmās te tāṅ gatin na vyativartante. tat kasya hetoḥ? na hi subhūte	sarva DarmAH te tAF gatin na vyativartante. tat kasya hetoH? na hi suBUte
   tathatāyā āgatir vā gatir vopalabhyate, dharmadhātugatikā hi subhūte	taTatAyAH AgatiH vA gatiH vA upalaByate, DarmaDAtu gatikA hi suBUte
   sarvadharmās te tāṅ gatin na vyativartante, bhūtakoṭigatikā hi subhūte	sarva DarmAH te tAF gatin na vyativartante, BUtakowi gatikA hi suBUte
   sarvadharmās te tāṅ gatin na vyativartante, samatāgatikā hi subhūte	sarva DarmAH te tAF gatin na vyativartante, samatA gatikA hi suBUte
   sarvadharmās te tāṅ gatin na vyativartante, acintyadhātugatikā hi subhūte	sarva DarmAH te tAF gatin na vyativartante, acintya DAtu gatikA hi suBUte
   sarvadharmās te tāṅ gatin na vyativartante. tat kasya hetoḥ? na hi subhūte	sarva DarmAH te tAF gatin na vyativartante. tat kasya hetoH? na hi suBUte
   dharmadhātor bhūtakoṭeḥ samatāyā acintyadhātor āgatir vā gatir	DarmaDAtoH BUtakoweH samatAyE acintya DAtoH AgatiH vA gatiH 
   vopalabhyate. acalagatikā hi subhūte sarvadharmās te tāṅ gatin na	vA upalaByate. acala gatikAH hi suBUte sarva DarmAH te tAF gatin na
   vyativartante. tat kasya hetoḥ? na hi subhūte 'calasya dharmasyāgatir vā	vyativartante. tat kasya hetoH? na hi suBUte acalasya Darmasya AgatiH vA
   gatir vopalabhyate.	gatiH vA upalaByate.
   iti yānatrayaniryāṇatatphalasākṣātkaraṇakāritram	iti yAna traya niryANa tad Pala sAkzAt karaNa kAritram
   rūpagatikā hi subhūte sarvadharmās te tāṅ gatin na vyativartante. tat	rUpa gatikAH hi suBUte sarva DarmAH te tAF gatin na vyativartante. tat 
   kasya hetoḥ? atyantatayā hi subhūte rūpan na saṃvidyate, kutaḥ punar	kasya hetoH? atyanta tayA hi suBUte rUpan na saMvidyate, kutas punar 
   asyāgatir vā gatir vā bhaviṣyati. vedanā saṃjñā saṃskārāḥ, vijñānagatikā	asya AgatiH vA gatiH vA Bavizyati. vedanA saMjQA saMskArAH, vijQAna gatikA
   hi subhūte sarvadharmās te tāṅ gatin na vyativartante. tat kasya hetoḥ?	hi suBUte sarva DarmAH te tAF gatin na vyativartante. tat kasya hetoH?
   atyantatayā hi subhūte vijñānan na saṃvidyate, kutaḥ punar asyāgatir vā	atyanta tayA hi suBUte vijQAnan na saMvidyate, kutas punar asya AgatiH vA
   gatir vā bhaviṣyati. evaṃ	gatiH vA Bavizyati. evam
   skandhadhātvāyatanapratītyasamutpādapratītyasamutpādāṅgagatikā hi subhūte	skanDa DAtu Ayatana pratItyasamutpAda pratItyasamutpAda aFga gatikA hi suBUte
   sarvadharmās te tāṅ gatin na vyativartante. tat kasya hetoḥ? atyantatayā	sarva DarmAH te tAF gatin na vyativartante. tat kasya hetoH? atyanta tayA
   hi subhūte skandhadhātvāyatanapratītyasamutpādapratītyasamutpādāṅgāni na	hi suBUte skanDa DAtu Ayatana pratItyasamutpAda pratItya samutpAda aFgAni na
   saṃvidyante, (PSP_4:105) kutaḥ punar eṣām āgatir vā gatir vā bhaviṣyati.	saMvidyante, (PSu _4:105) kutas punar ezAm AgatiH vA gatiH vA Bavizyati.
   dānapāramitāgatikā hi subhūte sarvadharmās te tāṅ gatin na vyativartante.	dAna pAramitA gatikAH hi suBUte sarva DarmAH te tAF gatin na vyativartante.
   tat kasya hetoḥ? atyantatayā hi subhūte dānapāramitā na saṃvidyate, kutaḥ	tat kasya hetoH? atyanta tayA hi suBUte dAna pAramitA na saMvidyate, kutas 
   punar asyā āgatir vā gatir vā bhaviṣyati. evaṃ śīlapāramitāgatikā hi	punar asyAH AgatiH vA gatiH vA Bavizyati. evam SIla pAramitA gatikA hi
   subhūte sarvadharmās te tāṅ gatin na vyativartante, kṣāntipāramitāgatikā	suBUte sarva DarmAH te tAF gatin na vyativartante, kzAnti pAramitA gatikA
   hi subhūte sarvadharmās te tāṅ gatin na vyativartante, vīryapāramitāgatikā	hi suBUte sarva DarmAH te tAF gatin na vyativartante, vIrya pAramitA gatikA
   hi subhūte sarvadharmās te tāṅ gatin na vyativartante,	hi suBUte sarva DarmAH te tAF gatin na vyativartante,
   dhyānapāramitāgatikā hi subhūte sarvadharmās te tāṅ gatin na	DyAna pAramitA gatikAH hi suBUte sarva DarmAH te tAF gatin na
   vyativartante, prajñāpāramitāgatikā hi subhūte sarvadharmās te tāṅ gatin	vyativartante, prajQApAramitA gatikAH hi suBUte sarva DarmAH te tAF gatin
   na vyativartante. tat kasya hetoḥ? atyantatayā hi subhūte	na vyativartante. tat kasya hetoH? atyanta tayA hi suBUte
   śīlakṣāntivīryadhyānaprajñāpāramitā na saṃvidyate, kutaḥ punar āsām āgatir	SIla kzAnti vIrya DyAna prajQApAramitA na saMvidyate, kutas punar AsAm AgatiH 
   vā gatir vā bhaviṣyati. adhyātmaśūnyatāgatikā hi subhūte sarvadharmās te	vA gatiH vA Bavizyati. aDyAtma SUnyatA gatikAH hi suBUte sarva DarmAH te
   tāṅ gatin na vyativartante, yāvad abhāvasvabhāvaśūnyatāgatikā hi subhūte	tAF gatin na vyativartante, yAvat aBAva svaBAva SUnyatA gatikA hi suBUte
   sarvadharmās te tāṅ gatin na vyativartante. tat kasya hetoḥ? atyantatayā	sarva DarmAH te tAF gatin na vyativartante. tat kasya hetoH? atyanta tayA
   hi subhūte adhyātmaśūnyatā, yāvad abhāvasvabhāvaśūnyatā na saṃvidyate,	hi suBUte aDyAtma SUnyatA, yAvat aBAva svaBAva SUnyatA na saMvidyate,
   kutaḥ punar āsām āgatir vā gatir vā bhaviṣyati. smṛtyupasthānagatikā hi	kutas punar AsAm AgatiH vA gatiH vA Bavizyati. smRti upasTAna gatikA hi
