   bodhicittotpādasūtraśāstra	boDi-citta-utpAda-sUtra-SAstra
   6 | bodhisattvaḥ sarvadātetyucyate | sarvadānaṃ na bahudhanaṃ kintu	6 | boDisattvaH sarva-dAtA-iti-ucyate | sarva-dAnam na bahu-Danam kintu
   dānacittam | yathādharmaṃ dhanamupārjyopādāya yaddadāti taducyate	dAna-cittam | yaTADarmam Danam-upArjya-upAdAya yat-dadAti tat-ucyate
   sarvadānam pariśuddhacittena yadaśāṭhayadānaṃ taducyate sarvadānam |	sarva-dAnam pariSudDa-cittena yat-aSAWaya-dAnam tat-ucyate sarva-dAnam |
   daridrāndṭaṣṭrā dayācittena yaddadāti taducyate sarvadānam |	daridra-an-dwazwrA dayA-cittena yat-dadAti tat-ucyate sarva-dAnam |
   duḥkhitāndṭaṣṭrā karuṇācittena yaddadāti taducyate sarvadānam | daridro	duHKitA-andwazwrA karuNA-cittena yat-dadAti tat-ucyate sarva-dAnam | daridraH-
   'lpadhano 'pi yaddadāti taducyate sarvadānam | spṛhaṇīyāni	alpa-DanaH api yat-dadAti tat-ucyate sarva-dAnam | spRhaNIyAni
   ratnajātānyudāracittena yaddadāti taducyate sarvadānam | apaśyañchīlāśīlaṃ	ratna-jAtAni-udAra-cittena yat-dadAti tat-ucyate sarva-dAnam | apaSyan-SIlA-SIlam
   kṣetrākṣetraṃ yaddadāti taducyate sarvadānam apaśyaz ṇchilāśīlaṃ	kzetrAkzetram yat-dadAti tat-ucyate sarva-dAnam apaSyaH NCilA-SIlam
   kṣetākṣetraṃ yaddadāti taducyate sarvadānam |	kzetAkzetram yat-dadAti tat-ucyate sarva-dAnam |
   agaveṣayandevamānupakalyāṇasukhāni yaddadāti taducyate sarvadānam |	agavezayan-devamAnupakalyANa-suKAni yat-dadAti tat-ucyate sarva-dAnam |
   gaveṣayannanuttarāṃ bodhi yaddadāti taducyate sarvadānam | ditsayā	gavezayan=-anuttarAm boDi yat-dadAti tat-ucyate sarva-dAnam | ditsayA
   dānakāle pradāya yannānuśocati taducyate sarvadānam ||	dAna-kAle pradAya yat-na-anuSocati tat-ucyate sarva-dAnam ||
   7 | yadi puṣpāṇi dadāti labhate dhāraṇīsaptabodhipuṣpāṇi | yadi gandhaṃ	7 | yadi puzpANi dadAti laBate DAraNI-sapta-boDi-puzpANi | yadi ganDam
   dadāti labhate śīlasamādhiprajñāḥ | (śīlasamādhiprajñādhūpaṃ prajvālya)	dadAti laBate SIla-samADi-prajQAH | (SIla-samADi-prajQA-DUpam prajvAlya)
   dhūpayati cātmānam | yadi phalaṃ dadāti labhate pūrayati cānāsravaphalam |	DUpayati ca-AtmAnam | yadi Palam dadAti laBate pUrayati ca-anAsrava-Palam |
   yadyāhāraṃ dadātikāyavāgrū pavalasukhasampannobhavati | yadi vastrāṇi	yadi-AhAram dadAtikA-yava-agrU pavala-suKa-sampanna-uBavati | yadi vastrANi
   dadāti labhate 'vadātaṃ rūpamapanayatyāhrīkyamanapatrāpyam | yadi pradīpaṃ	dadAti laBate avadAtam rUpam-apanayati-AhrIkyam-anapatrApyam | yadi pradIpam
   dadāti buddhacakṣurlabhate bhāsvaraṃ sarvadharmasvabhāvānām | yadi	dadAti budDa-cakzuH-laBate BAsvaram sarva-Darma-svaBAvAnAm | yadi
   hastyaśvarathayānāni dadāti labhate 'nuttaraṃ yānamṛddhiṃca |	hasti-aSva-raTa-yAnAni dadAti laBate anuttaram yAnam-RdDiMca |
   yadyalaṅkārāndadāti labhate 'śītyanuvyañjanāni | yadi ratnāni dadāti	yadi-alaFkArAn-dadAti laBate aSIti-anuvyaQjanAni | yadi ratnAni dadAti
   labhate dvātriṃśanmahāpuruṣalakṣaṇāni | pariśrameṇa [sattva-]sevāṃ	laBate dvAtriMSat-mahApuruza-lakzaNAni | pariSrameNa [sattva-]sevAm
   yadyācarati labhate daśavalāni caturvaiśaradyāni |	yadi-Acarati laBate daSavalAni catur-vESaradyAni |
   saṃkṣepata ucyate | rāṣṭraṃ nagaraṃ dārānputrāñchira ścakṣura hastapādau	saMkzepataH ucyate | rAzwram nagaram dArAn-putrAn-Sira Scakzura hasta-pAdO
   yāvatsarvakāyaṃ dadātyantarā citramātsaryaṃ prāptamanuttarāṃ bodhiṃ	yAvat-sarva-kAyam dadAti-antarA citra-mAtsaryam prAptam-anuttarAm boDim
   parinirvāpayituṃ sattvān | bodhisattvo mahāsattva ācarandānacaryāṃ	parinirvApayitum sattvAn | boDisattvaH mahAsattvaH Acaran-dAna-caryAm
   bhavatyavittadṭaṣṭi rdānādānayoralakṣaṇatvāttatasmātpūrayati dānapāramitām	Bavati-avittad-wazwi rdAna-AdAnayoH-alakzaNa-tvAt-tatasmAt-pUrayati dAna-pAramitAm
   (iti bodhicittotpādasṛtraśāstre dānapāramitā nāma caturtho vargaḥ ||)	(iti boDi-citta-utpAda-sRtra-SAstre dAnapAramitA nAma caturTaH vargaH ||)
   paṃcamo vargaḥ	paMcamaH vargaH
   śīlapāramitā	SIla-pAramitA
   1 | bodhisattvaḥ kathamācaratiśīlam | śīlamātmaparobhayalābhāya	1 | boDisattvaH kaTam-Acarati-SIlam | SIlam-Atma-paroBaya-lABAya
   cedevaṃvidhaṃ śilaṃ niṣpādayati bodhimārgam | bodhisattvaḥ kāmayatevinetuṃ	ced-evaMviDam Silam nizpAdayati boDi-mArgam | boDisattvaH kAmayatevinetum
   sattvānaparhatuṃ duḥkhānyācarati tasmācchīlam | śīlamācaransarvāṇi	sattvAn-aparhatum duHKAni-Acarati tasmAt-SIlam | SIlam-Acaran-sarvANi
   pavitrayati kāyavāṅmanaḥkarmāṇi | akuśalacaryāsu pariharati cittam |	pavitrayati kAya-vAc-manaH-karmANi | akuSala-caryAsu pariharati cittam |
   samyakprabhavati cāvajñāpayituṃ duṣkṛtaṃ śīlavidhātaṃ ca | kṣudreṣvapi	samyak-praBavati ca-avajQApayitum duzkRtam SIla-viDAtam ca | kzudrezu-api
   pātakeṣu cittena vibheti nityamityucyate bodhisattvasyādiśīlacittam |	pAtakezu cittena viBeti nityam-iti-ucyate boDisattvasya-Adi-SIla-cittam |
   2 | śīlācaraṇahetoḥ sarvān parityajati pāpātyayān kuśalāvāsepūtpadyate	2 | SIla-AcaraNa-hetoH sarvAn parityajati pApa-atyayAn kuSala-AvAsa-Ipu-utpadyate
   nityamityasyātmalābhaḥ | śikṣayati sattvānakartuṃ duṣkṛtamiti paralābhaḥ |	nityam-iti-asya-Atma-lABaH | Sikzayati sattvAn-akartum duzkRtam-iti para-lABaH |
   caritvābodhaye śīlaṃ pariṇāmya sattveṣvātmanā salābhinaḥ	caritvA-AboDaye SIlam pariNAmya sattvezu-AtmanA sa-lABinaH
   karotityubhavalābhaḥ | śīlācaraṇahetorlabhate vairāgyaṃ	karotiti-uBava-lABaH | SIla-AcaraNa-hetoH-laBate vErAgyam
   yāvatkṣapayatyāsravānparipūrayati cānuttarāṃ samyaksambodhimiti	yAvat-kzapayati-AsravAn-paripUrayati ca-anuttarAm samyaksamboDim-iti
   niṣyādayati bodhimārgam ||	nizyAdayati boDi-mArgam ||
   3 | śīlaṃ tāvattrividham | prathamaṃ kāyaśīlaṃ dvitīyam vākśīlaṃ tṛtīyaṃ	3 | SIlam tAvat-triviDam | praTamam kAya-SIlam dvitIyam vAc-SIlam tRtIyam
   cittaśīlam | udgṛhṇankāyaśīlaṃ sākalyena	citta-SIlam | udgRhNan-kAya-SIlam sAkalyena
   pariharatihiṃsāstainyakāmamithyācārān | virataḥ prāṇātipātādvirato	pariharati-hiMsA-stEnya-kAma-miTyA-AcArAn | virataH prANa-atipAtAt-virataH-
   'dattādānādvirato 'brahmacaryānnapunarvidadhāti prāṇātipātādīnāṃ	adatta-AdAnAt-virataH abrahmacaryAt-napunar-vidaDAti prANa-atipAta-AdInAm
   hetupratyāyāṃnsteṣāmupāyāṃśca na ca praharato sattvāndaṇḍena	hetu-pratyAyAM=-=-tezAm-upAyAn=-ca na ca praharataH sattvAn-daNxena
   kāṣṭheneṣṭikayā prastareṇa vā | parakīyamarthajātaṃ parakīyaṃ bhogyajātaṃ	kAzWena-izwikayA prastareNa vA | parakIyam-arTa-jAtam parakIyam Bogya-jAtam
   yāvattṛṇamātramapi patramātramapi nādattamādatte na ca khalu punaḥ	yAvat-tRNa-mAtram-api patra-mAtram-api na-adattam-Adatte na ca Kalu punar-
   kadācidapimohakaṃ rūpaṃ nirikṣate | caturṣu	kadAcid-api-mohakam rUpam nirikzate | caturzu
   sādarībhavatīryāpatheṣvityucyate kāyaśīlam ||	sa-AdarI-Bava-tIrya-apaTezu-iti-ucyate kAya-SIlam ||
   4 | udgṛhṇanvākśīlaṃ sākalyena prajahāti mṛṣāvādaṃ paiśunyaṃ pāruṣyaṃ	4 | udgRhNanvAc-SIlam sAkalyena prajahAti mRzAvAdam pESunyam pAruzyam
   sambhinnapralāpam | na kadāpi pratārayati na ca saṃgatānbhinatti	samBinna-pralApam | na kadApi pratArayati na ca saMgatAn-Binatti
   nābhyākhyāti na ca kṛtrimāṃ vācamudāharati nāpi	nABi-AKyAti na ca kRtrimAm vAcam-udAharati na-api
   lokāprāsādakamupāyamāracayati bhāṣate viśvastaṃ madhuramakapaṭaṃ bhāṣate	loka-aprAsAdakam-upAyam-Aracayati BAzate viSvastam maDuram-akapawam BAzate
   nityahitam | śikṣayati kuśalamācaritumityucyate vākśīlam ||	nitya-hitam | Sikzayati kuSalam-Acaritum-iti-ucyate vAc-SIlam ||
   5 | udgṛhṇaṃścittaśīlaṃ niruṇaddhi lobhadveṣamithyādṭaṣṭīḥ | nityaṃ	5 | udgRhNan=-citta-SIlam niruNadDi loBa-dveza-miTyAt-wazwIH | nityam
   vidadhāti mṛducittam | nātyayānācarati | śraddhadhāti pāpakarmaṇāmaśūbhaṃ	vidaDAti mRdu-cittam | na-atyayAn-Acarati | SradDaDAti pApa-karmaNAm-aSUBam
   phalaṃ bhavatīti bhavanābalena nāśubhānyacarati | kṣudreṣvapi pāreṣu	Palam Bavati-iti Bavana-abalena na-aSuBAni-acarati | kzudrezu-api pArezu
   janayati gurutara (pāpa)saṃjñām | ajñānataḥ kurvanpāpāni vibheti	janayati gurutaraH (pApa)-saMjQAm | ajQAnataH kurvan-pApAni viBeti
   paścāttatpatte sattveṣu notpādayati dveṣam | dṭaṣṭvā sattvānutpādayati	paScAt-tad-patte sattvezu na-utpAdayati dvezam | dwazwvA sattvAn-utpAdayati
   snehacittam | kṛtaṃ jānāti pratyupakaropyavimatsaracittaḥ | puṇyācaraṇe	sneha-cittam | kRtam jAnAti pratyupakaropya-vimatsara-cittaH | puNya-AcaraNe
   chandaṃ janayan nityaṃ śikṣayati janān | nityaṃbhāvayati maitrīcittam |	Candam janayan nityam Sikzayati janAn | nityaMBAvayati mEtrI-cittam |
   karuṇāyatesarveṣvityucyate cittaśīlam ||	karuNA-Ayate-sarvezu-iti-ucyate citta-SIlam ||
   6 | eteṣāṃ daśakuśalakarmapathānāṃ paṃcākāro lābhaḥ nigṛhyate	6 | etezAm daSa-kuSala-karma-paTAnAm paMcAkAraH lABaH nigRhyate
   duścaritamiti prathamaḥ | utpadyate kuśalacittamiti dvitīyaḥ | nirudhyante	duScaritam-iti praTamaH | utpadyate kuSala-cittam-iti dvitIyaH | niruDyante
   kleśā iti tṛtīyaḥ | paripūryate viśuddhacittamiti caturthaḥ | samedhate	kleSAH iti tRtIyaH | paripUryate viSudDa-cittam-iti caturTaH | sameDate
   śīlamiti paṃcamaḥ ||	SIlam-iti paMcamaH ||
   7 | kuśalamacaranpuruṣo na carati cetpramādamadhigacchati samyaksmṛtim |	7 | kuSalam-acaran-puruzaH na carati ced-pramAdam-aDigacCati samyak-smRtim |
   vivinakti kuśalākuśalam | jñātavyamevaṃvidhaḥ prabhavati puruṣo	vivinakti kuSala-akuSalam | jQAtavyam-evaMviDaH praBavati puruzaH-
   dhruvamācarituṃ daśakuśalakarmāṇi | caturaśītisahasrāṇyamprameyāṇi	Druvam-Acaritum daSa-kuSala-karmANi | caturaSIti-sahasrANi-amprameyANi
   śīlāṅgāni daśakuśaleṣveva śīleṣvantarbhavanti | santīmāni daśakuśalaśīlāni	SIla-aFgAni daSa-kuSalezu-eva SIlezu-antarBavanti | santi-imAni daSa-kuSala-SIlAni
   sarvakuśalaśīlamūlāni | prahāṇātkāyavākcittaśūbhānāṃ	sarva-kuSala-SIla-mUlAni | prahANAt-kAya-vAc-citta-SUBAnAm
   nirodhātsarvākuśaladharmāṇāmucyate śīlamiti ||	niroDAt-sarva-akuSala-DarmANAm-ucyate SIlam-iti ||
   8 | śīlaṃ paṃcavidham | prathamaṃ prātimokṣaśīlam | dvitīyaṃ	8 | SIlam paMcaviDam | praTamam prAtimokza-SIlam | dvitIyam
   dhyānasahacaraśīlam | tṛtīyamanāsravaśīlam | caturthamindriyadamanaśīlam |	DyAna-sahacara-SIlam | tRtIyam-anAsrava-SIlam | caturTam-indriya-damana-SIlam |
   paṃcamamavijñaptiśīlam | caturudīritajñaptikarmaṇopādhyādavāptamucyate	paMcamam-avijQapti-SIlam | catur-udIrita-jQapti-karmaNA-upADyAt-avAptam-ucyate
   prātimokṣaśīlam | caturmauladhyānacaturasamāpattidhyānamucyate dhyānaśīlam	prAtimokza-SIlam | catur-mOla-DyAna-catura-samApatti-DyAnam-ucyate DyAna-SIlam
   | maulacaturdhyānaprathamadhyānāsamāpattirucyate 'nāsravaśīlam |	| mOla-catuH-DyAna-praTama-DyAna-asam-ApattiH-ucyate anAsrava-SIlam |
   damannindriyāṇi vidadhāti samyaksmṛticittam | paśyañchṛṇvanbudhyañjānabrū	daman=-indriyANi vidaDAti samyak-smRti-cittam | paSyan-SRNvan-buDi-aQjAn-abrU
   paśabdagandharasaspraṣṭavyāni notpādayatyasaṃprajanyamityucyata	paSabda-ganDa-rasa-sprazwavyAni na-utpAdayati-asaMprajanyam-iti-ucyata
   indriyadamanaśīlam | utsṛjatyātmabhāvamanāgate 'dhvanyakartuṃ	indriya-damana-SIlam | utsRjati-Atma-BAvam-anAgate aDvanyakartum
   punaraśubhamityucyate 'vijñaptiśīlam|	punar-aSuBam-iti-ucyate avijQapti-SIlam|
   9 | bodhisattva ācarati śīlaṃ śrāvakapratyekabuddhāveṇikam |	9 | boDisattvaH Acarati SIlam SrAvaka-pratyekabudDa-AveNikam |
   aveṇikatvāducyate kuśalaśīlagrahaṇam | kuśalaśīlagrahaṇatvātkaroti	aveNika-tvAt-ucyate kuSala-SIla-grahaNam | kuSala-SIla-grahaNa-tvAt-karoti
   sarvasattvāṃllābhinaḥ gṛhṇan maitrīcittaśīlaṃ paritrāyate sukhayituṃ	sarva-sattvAn=-lABinaH gRhNan mEtrI-citta-SIlam paritrAyate suKayitum
   sattvān | gṛhṇan karuṇācittaśīlaṃ kṣamate sarvaduḥkhānyuddhartuṃ vipattiḥ	sattvAn | gRhNan karuNA-citta-SIlam kzamate sarva-duHKAni-udDartum vipattiH
   | gṛhṇanmuditācittaśīlaṃ nandatyakuśīdatvācca kuśalānyācarati |	| gRhNan-mudita-acitta-SIlam nandati-akuSIda-tvAt-ca kuSalAni-Acarati |
   gṛhṇannupekṣācittaśīlaṃ śavumitrayorbhavatiu samaḥ parihartuṃ rāgadveṣam |	gRhNan=-upekzA-citta-SIlam Savu-mitrayoH-Bavatiu samaH parihartum rAga-dvezam |
   gṛhṇāti dānaśīlaṃ śikṣayituṃ sāntvayituṃ ca sarvasattvāt | gṛhṇan	gRhNAti dAna-SIlam Sikzayitum sAntvayitum ca sarva-sattvAt | gRhNan
   kṣāntiśīlaṃ bhavati nityaṃ mṛducitto dveṣāvaraṇabaprahīṇatvāt |	kzAnti-SIlam Bavati nityam mRdu-cittaH dveza-AvaraNa-baprahINa-tvAt |
   gṛhṇanvīryaśīlaṃ vardhayati pratidinaṃ kuśalakarmāṇyapratinivartanāt |	gRhNan-vIrya-SIlam varDayati pratidinam kuSala-karmANi-apratinivartanAt |
   gṛhṇanśyānaśīlaṃ prajahāti rāgamakuśalaṃ vardhayitudhyānāṅḥāni | gṛhṇan	gRhNan-SyAna-SIlam prajahAti rAgam-akuSalam varDayitu-DyAna-aFHAni | gRhNan
   prajñāśīlaṃ bahu śṛṇoti kuśalamūlaṃ (tatprati) atṛpteḥ | gṛhṇāti	prajQA-SIlam bahu SRNoti kuSala-mUlam (tad-prati) atRpteH | gRhNAti
   kalyāṇamitrasaṃgrahaśīlaṃ paripūrayituṃ bodhimanuttaraṃ mārgam |	kalyANa-mitra-saMgraha-SIlam paripUrayitum boDim-anuttaram mArgam |
   gṛhṇātyakalyāṇabhitraparityāgaśīlaṃ parityaktuṃ trividhaṃ duścaritamaṣṭau	gRhNAti-akalyANa-Bitra-parityAga-SIlam parityaktum triviDam duScaritam-azwO
   bhayasthānānī ||	Baya-sTAnAnI ||
   10 | bodhisattvo gṛhṇanpariśuddhaśīlaṃ na pratiṣṭhito bhavati kāmadhātau	10 | boDisattvaH gRhNan-pariSudDa-SIlam na pratizWitaH Bavati kAmaDAtO
   na ca rūpadhātau nāpi ca pratiṣṭhito bhavatyarūpadhātāviti pariśuddhaśīlam	na ca rUpa-DAtO na-api ca pratizWitaH Bavati-arUpa-DAtO=-iti pariSudDa-SIlam
   | pariharati rāgarajāsyapanayati dveṣāvagṇaṃ niruṇaddhyavidyāvaraṇamiti	| pariharati rAgarajAsi-apanayati dveza-a=-agNam niruNadDi-avidyA-AvaraNam-iti
   pariśuddhaśīlam | parihārati dvāvantau śāśvatam cocchedaṃ	pariSudDa-SIlam | parihArati dvO=-antO SASvatam ca-ucCedam
   cāpratilaumahetupratyayeneti pariśuddhaśīlam| na spṛśati	ca-apratilOma-hetu-pratyayena-iti pariSudDa-SIlam| na spRSati
   rūpavedanāsaṃjñāsaṃskāravijñānāni prajñaptilakṣaṇānīti pariśuddhaśīlam |	rUpa-vedanA-saMjQA-saMskAra-vijQAnAni prajQapti-lakzaNAni-iti pariSudDa-SIlam |
   na badhnāti hetau notpādayati dṭaṣṭīrna pratiṣṭhāpayati vicikitsākaukṛtye	na baDnAti hetO na-utpAdayati dwazwIH-na pratizWApayati vicikitsA-kOkRtye
   iti pariśuddhaśīlam | na pratiṣṭhāpayati	iti pariSudDa-SIlam | na pratizWApayati
   rāgadveṣamohāstrīṇyakuśalamūlānīti pariśuddhaśīlam | na	rAga-dveza-moha-astrINi-akuSala-mUlAni-iti pariSudDa-SIlam | na
   pratiṣṭhāpayatyātmamānaṃ madamānamabhimānaṃ mānātimānaṃ mahāmānaṃ mṛduḥ	pratizWApayati-Atma-mAnam mada-mAnam-aBimAnam mAna-atimAnam mahAmAnam mRduH
   kuśalasnigdho bhavatīti pariśuddhaśīlam | neñjati	kuSala-snigDaH Bavati-iti pariSudDa-SIlam | na-iQjati
   lābhālābhanindāpraśaṃsāyaśo 'yaśasukhaduḥkheṣu nānulipyate lokasatye śūnye	lABa-AlABa-nindA-praSaMsA-yaSaH ayaSa-suKa-duHKezu na-anulipyate loka-satye SUnye
   prajñatau bhavati cānugataḥ paramārthasatyamiti pariśuddhaśīlam |	prajQatO Bavati ca-anugataH parama-arTa-satyam-iti pariSudDa-SIlam |
   akleśamaparitāpaṃ śāntaṃ vimuktilakṣaṇamidaṃśīlam | saṃkṣepata ucyate	akleSam-aparitApam SAntam vimukti-lakzaNam-idaMSIlam | saMkzepataH ucyate
   kāyajīvita nirapekṣo 'nityasaṃjñādarśanenotpādayati vairāgyaṃ sodyogaṃ	kAya-jIvita nirapekzaH anitya-saMjQA-darSanena-utpAdayati vErAgyam sa-udyogam
   kuśalamūlaṃ bhāvayannabhyutsāhena vīryamācaratīti pariśūddhaśīlam |	kuSala-mUlam BAvayan=-aByutsAhena vIryam-Acarati-iti pariSUdDa-SIlam |
   bodhisattvasya śīlamācarato na bhavati pariśūddhacittadṭaṣṭiḥ	boDisattvasya SIlam-AcarataH na Bavati pariSUdDa-cittadwazwiH
   saṃjñāvimuktihetoritīyaṃ śīlapāramitā ||	saMjQA-vimukti-hetoriti-iyam SIla-pAramitA ||
   (iti bodhicittātpādasuitraśāstre śīlapāramitā nāma paṃcamo vargaḥ ||)	(iti boDi-cittAt-pAda-suitra-SAstre SIlapAramitA nAma paMcamaH vargaH ||)
   ṣaṣṭho vargaḥ	zazWaH vargaH
   kṣāntipāramitā	kzAnti-pAramitA
   1 | bodhisattvaḥ kathamācarati kṣāntim | kṣāntirātmaparobhayalābhāya	1 | boDisattvaH kaTam-Acarati kzAntim | kzAntiH-Atma-paroBaya-lABAya
   cedevaṃvidhā kṣāntirniṣpādayati bodhimārgam | bodhisattvaḥ kāmayate	ced-evaMviDA kzAntiH-nizpAdayati boDi-mArgam | boDisattvaH kAmayate
   vinetuṃ sattvānaparhartuṃ duḥkhānyācarati tasmātkṣāntim |	vinetum sattvAn-aparhartum duHKAni-Acarati tasmAt-kzAntim |
   kṣāntimācarataścitaṃ vinītaṃ bhavati | sattvānāmupekṣate balavanmadamānaṃ	kzAntim-AcarataH-citam vinItam Bavati | sattvAnAm-upekzate balavat-mada-mAnam
   (svayaṃ) na cācarati | paśyantudvṛttānutpādayati karuṇām |	(svayan) na ca-Acarati | paSyantudvRttAn-utpAdayati karuNAm |
   mṛdulamudīrayandeśayati kuśalacaryām | vibhajya darśayati yo dvepo yā ca	mRdulam-udIrayan-deSayati kuSala-caryAm | viBajya darSayati yaH dvepaH yA ca
   kṣāntiryaśca tayorvipāka itīdaṃ bodhisattvasyādikṣānticittam ||	kzAntiH-yaH-ca tayoH-vipAkaH iti-idam boDisattvasya-AdikzAnti-cittam ||
   2 | kṣāntyācaraṇahetoḥ pāpakaṃ vidurī bhavati | kāyacittaṃ praśāntaṃ	2 | kzAnti-AcaraNa-hetoH pApakam vidurI Bavati | kAya-cittam praSAntam
   bhavatītyasyātmalābhaḥ | vinayati sattvānanuvartate sarvāniti paralābhaḥ |	Bavati-iti-asya-Atma-lABaH | vinayati sattvAn-anuvartate sarvAn-iti para-lABaH |
   caritvā mahatīmanuttarāṃ kṣānti sattveṣu pariṇāmyātmanā salābhinaḥ	caritvA mahatIm-anuttarAm kzAnti sattvezu pariNAmi-AtmanA sa-lABinaH
   karotītyubhayalābhaḥ | kṣānticaryāhetorlabhate janamataṃ yāvallabhate	karoti-iti-uBaya-lABaH | kzAnti-caryA-hetoH-laBate jana-matam yAvat-laBate
   buddhasya śobhanottamāni lakṣaṇānuvyañjanānīti niṣpādayati bodhimārgam ||	budDasya SoBana-uttamAni lakzaNa-anuvyaQjanAni-iti nizpAdayati boDi-mArgam ||
   3 | kṣāntistrividhā | tadyathā kāyakṣāntirvākkṣānti rmanaḥkṣāntiśceti | kā	3 | kzAntiH-triviDA | tat-yaTA kAya-kzAntiH-vAkkzAnti rmanaHkzAntiH-ca-iti | kA
   nāma kāyakṣāntiḥ | yadi kaścanākrośati nindati tāḍayati yāvatāharati	nAma kAya-kzAntiH | yadi kaScana-AkroSati nindati tAxayati yAvat-A-Aharati
   tatsarvaṃ kṣamate | paśyansattvānatrāṇe bhaye ca vyatiharati tairātmānaṃ	tat-sarvam kzamate | paSyan-sattva-anatrANe Baye ca vyatiharati tEH-AtmAnam
   na ca śrāmyatīti kāyakṣāntiḥ ||	na ca SrAmyati-iti kAya-kzAntiH ||
   4 | kā nāma vākkṣāntiḥ | ākrośakaṃ paśyanna pratyākrośati niḥśabdaṃ	4 | kA nAma vAc-kzAntiH | AkroSakam paSyan-na pratyAkroSati niHSabdam
   kṣamate | ākośakamakāraṇamapyupagataṃ vilokayanmadhurayā girā	kzamate | AkoSakamakAraNam-api-upagatam vilokayat-maDurayA girA
   sampratīcchati | mṛpaiva dūṣyamāṇo nirnimittamabhyākhyātaḥ sarvaṃ kṣamata	sampratIcCati | mRpA-eva dUzyamANaH nirnimittam-aByAKyAtaH sarvam kzamata
   iti vākkṣāntiḥ ||	iti vAc-kzAntiH ||
   5 | kā nāma manaḥkṣānti | dveṣiṇamavalokayannodgṛhṇāti dvepacitaṃ kopito	5 | kAH nAma manaH-kzAnti | dveziNam-avalokayat-na-udgRhNAti dvepa-citam kopitaH-
   na vikarotyātmacittam | nindāpakīrtiṣvati citte bhavati nivaira iti	na vikaroti-Atma-cittam | nindA-apakIrtizu-ati citte Bavati nivEraH iti
   manaḥkṣānti ||	manaH-kzAnti ||
   6 | tāḍitaṃ jagati dvividham | ucitamanucittaṃ ca | satyaparādhe	6 | tAxitam jagati dviviDam | ucitam-anucittam ca | satya-parADe
   saṃdihānena kena cijjanena tāḍitaḥ	saMdiha-anena kena cit-janena tAxitaH
   kṣametāmṛtamivodgṛhṇīyādādaramutpādayettāḍayitari | kasmāt | sādhu śīlaṃ	kzameta-amRtam-iva-udgRhNIyAt-Adaram-utpAdayet-tAxayitari | kasmAt | sADu SIlam
   śikṣayanmāṃ cikitsati pāpādapanayati | yadyanucitameva māmapakaroti	Sikzayat-mAm cikitsati pApAt-apanayati | yadi-anucitam-eva mAm-apakaroti
   māmapahanti tadā cintayenna kṛto mayāparādho 'tītakarmaṇāmevaitatkāritaṃ	mAm-apahanti tadA cintayet-na kRtaH mayA-aparADaH atIta-karmaNAm-eva-etat-kAritam
   tena soḍhavyameca | punarevaṃ vibhāvayedyatvāri bhūtānīmāni	tena soXavyam-eca | punar-evam viBAvayet-yatvAri BUtAni-imAni
   pañcaskaṃghapratyayairabhisaṃhatāni yāni tāḍayante tāḍayanti ca |	paQca-skaMGa-pratyayEH-aBisaMhatAni yAni tAxayante tAxayanti ca |
   punarevaṃ paśyedyatsa puruṣo 'jña ivonmatta iveti mayā karuṇāyitavyaṃ	punar-evam paSyet-yat-sa puruzaH ajQaH iva-unmattaH iva-iti mayA karuNAyitavyam
   kimuta na kṣantavyam ||	kim-uta na kzantavyam ||
   7 | ākrośo dvividhaḥ | ucito 'nucitaśca | ucitamuktaṃ cenmayāpatraptavyam	7 | AkroSaH dviviDaH | ucitaH anucitaH-ca | ucitam-uktam ced-mayA-apatraptavyam
   | anucitamuktaṃ cenmavā na kiṃcidapi kartavyam | dhavaniriva vāyuriva	| anucitam-uktam ced-mavA na kiMcid-api kartavyam | Dava-niH-iva vAyuH-iva
   cātigacchannāpakaroti māmiti soḍhavyam | dviṣṭo 'pyevameva soḍhavyaḥ |	ca-atigacCat-na-apakaroti mAm-iti soXavyam | dvizwaH api-evam-eva soXavyaH |
   kupito mayi mayā soḍhavyaḥ | ahaṃ cettaṃ pratikupyeyaṃ	kupitaH mayi mayA soXavyaH | aham ced-tam pratikupyeyam
   durgatimadhigaccheyamanāgate 'dhvani vedayeyaṃ mahāduḥkham |	durgatim-aDigacCeyam-anAgate aDvani vedayeyam mahA-duHKam |
   pratyayairebhirmama kāyaścedbhidyeta viśīryeta mayā notpādanīyo dvepaḥ |	pratyayEH-eBiH-mama kAyaH-ced-Bidyeta viSIryeta mayA na-utpAdanIyaH dvepaH |
   pratyayānāmatītakarmaṇāmetaditi gambhīraṃ pratyavekṣaṇīyam karūṇācaraṇīyā	pratyayAnAm-atIta-karmaNAm-etat-iti gamBIram pratyavekzaNIyam karUNa-AcaraNIyA
   maitrī ca | karuṇāyitavyaṃ sarveṣu | yadyehaṃ na prabhavāmyevamalpamapi	mEtrI ca | karuNAyitavyam sarvezu | yadyeham na praBavAmi-evam-alpam-api
   duḥkhaṃ soḍhuṃ na ca śaknomi damayituṃ svacittaṃ tatkathamahaṃ	duHKam soXum na ca Saknomi damayitum sva-cittam tat-kaTam-aham
   prabhaviṣyāmi vinetuṃ sattvānvimocayituṃ	praBavizyAmi vinetum sattvAn-vimocayitum
   sarvānakuśaladharmānpūrayitumanuttaraṃ phalam ||	sarvAn-akuSala-DarmAn-pUrayitum-anuttaram Palam ||
