   akāmaḥ svayam arjitam Vi_18.43d	akAmaH svayam arjitam Vi_18.43d
   tad ity ṛco 'syāḥ sāvitryāḥ Vi_55.11c	tat iti RcaH asyAH sAvitryAH Vi_55.11c
   tad enaṃ saṃśayād asmād Vi_10.11c	tat enam saMSayAt asmAt Vi_10.11c
   tad enaṃ saṃśayād asmād Vi_11.12c	tat enam saMSayAt asmAt Vi_11.12c
   tad enaṃ saṃśayād asmād Vi_12.8c	tat enam saMSayAt asmAt Vi_12.8c
   tad enaṃ saṃśayād asmād Vi_13.7c	tat enam saMSayAt asmAt Vi_13.7c
   tad evākṣayam icchatā Vi_92.32d	tat eva-akzayam icCatA Vi_92.32d
   tad evāpnoty ayatnena Vi_51.70c	tat eva-Apnoti ayatnena Vi_51.70c
   tadgatā madhusūdanaḥ Vi_1.13d	tad-gatAH maDusUdanaH Vi_1.13d
   tadduḥkhe yaś ca duḥkhitaḥ Vi_3.98b	tad-duHKe yaH ca duHKitaH Vi_3.98b
   tad devatāḥ pratyabhinandayanti Vi_19.23b	tat devatAH pratyaBinandayanti Vi_19.23b
   tad bhaikṣyabhug japan nityaṃ Vi_53.9c	tat BEkzya-Buj japan nityam Vi_53.9c
   tadyuktipratirūpitaiḥ Vi_7.12d	tad-yukti-pratirUpitEH Vi_7.12d
   tadvat kāmā yaṃ praviśanti sarve Vi_72.7c	tadvat kAmAH yam praviSanti sarve Vi_72.7c
   tadvad eva śilāgatam Vi_23.43d	tadvat eva SilA-gatam Vi_23.43d
   tanmadhye yo na dṛśyeta Vi_12.6a	tad-maDye yaH na dRSyeta Vi_12.6a
   tanmanāḥ sumanā bhūtvā Vi_66.16c	tad-manAH sumanAH BUtvA Vi_66.16c
   tapasā ca tathā dhṛtam Vi_95.15d	tapasA ca taTA DRtam Vi_95.15d
   tapasā vedavittamāḥ Vi_22.90d	tapasA veda-vittamAH Vi_22.90d
   tapasvināṃ yajñahutāṃ ca dehe Vi_99.14d	tapasvinAm yajQa-hutAm ca dehe Vi_99.14d
   tapomadhyaṃ tapo 'ntaṃ ca Vi_95.15c	tapaH-maDyam tapaH antam ca Vi_95.15c
   tapomūlam idaṃ sarvaṃ Vi_95.15a	tapaH-mUlam idam sarvam Vi_95.15a
   tapo hi duratikramam Vi_95.16d	tapaH hi duratikramam Vi_95.16d
   taptakṛcchraṃ viśodhanam Vi_41.5b	taptakRcCram viSoDanam Vi_41.5b
   taptakṛcchreṇa śudhyati Vi_40.2b	taptakRcCreNa SuDyati Vi_40.2b
   tam aśuddhaṃ vijānīyāt Vi_14.5a	tam aSudDam vijAnIyAt Vi_14.5a
   tam aśuddhaṃ vinirdiṣet Vi_11.8b	tam aSudDam vinirdizet Vi_11.8b
   tamasaḥ param ucyate Vi_97.20b	tamasaH param ucyate Vi_97.20b
   tam ācāraṃ niṣeveta Vi_71.90c	tam AcAram nizeveta Vi_71.90c
   tayor anyataraḥ praiti Vi_29.7c	tayoH anyataraH prEti Vi_29.7c
   tayor api ca kartavyaṃ Vi_77.8c	tayoH api ca kartavyam Vi_77.8c
   tayor api ca cintayet Vi_96.23d	tayoH api ca cintayet Vi_96.23d
   tayoḥ puṇyaphalaṃ samam Vi_51.76d	tayoH puNya-Palam samam Vi_51.76d
   tasmāc chrāddhaṃ prayacchata Vi_20.34d	tasmAt SrAdDam prayacCate Vi_20.34d
   tasmāc chrāddhaṃ sadā kāryaṃ Vi_20.36c	tasmAt SrAdDam sadA kAryam Vi_20.36c
   tasmāc chreṣṭho gṛhāśramī Vi_59.27d	tasmAt SrezWaH gRhASramI Vi_59.27d
   tasmāc chreṣṭho gṛhāśramī Vi_59.28d	tasmAt SrezWaH gRhASramI Vi_59.28d
   tasmāt puttra iti proktaḥ Vi_15.44c	tasmAt puttraH iti proktaH Vi_15.44c
   tasmāt puruṣa ity evaṃ Vi_97.15c	tasmAt puruzaH iti evam Vi_97.15c
   tasmāt sarvaprayatnena Vi_45.33c	tasmAt sarva-prayatnena Vi_45.33c
   tasmāt sarvaprayatnena Vi_52.16c	tasmAt sarva-prayatnena Vi_52.16c
   tasmāt sukṛtam ādāya Vi_67.33c	tasmAt sukRtam AdAya Vi_67.33c
   tasmād atithir ucyate Vi_67.34d	tasmAt atiTiH ucyate Vi_67.34d
   tasmād abhyāgatān etān Vi_59.26c	tasmAt aByAgatAn etAn Vi_59.26c
   tasmād etat trayaṃ jyayet Vi_33.6d	tasmAt etat trayam jyayet Vi_33.6d
   tasmād evaṃ viditvainaṃ Vi_20.53c	tasmAt evam viditvA-enam Vi_20.53c
   tasmād yajñe vadho 'vadhaḥ Vi_51.61d	tasmAt yajQe vaDaH avaDaH Vi_51.61d
   tasmān māṃsaṃ vivarjayet Vi_51.71d	tasmAt mAMsam vivarjayet Vi_51.71d
   tasmin prete na vācyo 'sau Vi_5.187c	tasmin prete na vAcyaH asO Vi_5.187c
   tasmai na druhyet kṛtam asya jānan Vi_30.47d	tasmE na druhyet kRtam asya jAnan Vi_30.47d
   tasmai māṃ brūyā nidhipāya brahman Vi_29.10d	tasmE mAm brUyAH niDipAya brahman Vi_29.10d
   tasyādāv eva lakṣayet Vi_11.10b	tasya-AdO eva lakzayet Vi_11.10b
   tasyāpy annaṃ sodakumbhaṃ Vi_21.23c	tasya-api annam sa-udakumBam Vi_21.23c
   tasyāṃ dānopavāsādyam Vi_49.10a	tasyAm dAna-upavAsa-Adyam Vi_49.10a
   tasyotsargeṇa śudhyanti Vi_54.28c	tasya-utsargeNa SuDyanti Vi_54.28c
   tahtā dehāntaraprāptir Vi_20.49c	tahtA deha-antara-prAptiH Vi_20.49c
   taṃ ced abhyudiyāt sūryaḥ Vi_28.53a	tam ced aByudiyAt sUryaH Vi_28.53a
   taṃ ced rathaṃ nāpaharanti vājinas Vi_72.6c	tam ced raTam na-apaharanti vAjinaH Vi_72.6c
   taṃ dṛṣṭvā tatra madhyasthaṃ Vi_1.39c	tam dRzwvA tatra maDya-sTam Vi_1.39c
   taṃ dṛṣṭvā puṇḍarīkākṣaṃ Vi_1.44a	tam dRzwvA puNxarIkAkzam Vi_1.44a
   taṃ manyeta pitaraṃ mātaraṃ ca Vi_30.47c	tam manyeta pitaram mAtaram ca Vi_30.47c
   taṃ saṃtārayati pautravat Vi_15.47d	tam saMtArayati pOtra-vat Vi_15.47d
   tāḍyante musalaiḥ kvacit Vi_43.38b	tAxyante musalEH kvacid Vi_43.38b
   tādyamānāś ca kiṃkaraiḥ Vi_43.37b	tAdyamAnAH ca kiMkarEH Vi_43.37b
   tāni medhyāni nirdiśet Vi_23.51b	tAni meDyAni nirdiSet Vi_23.51b
   tārāgaṇāḍhye gagane vimeghe Vi_99.9b	tArA-gaNa-AXye gagane vimeGe Vi_99.9b
   tāvat kṛtveha māraṇam Vi_51.60b	tAvat kRtvA-iha mAraNam Vi_51.60b
   tāvad aśnanti pitaro Vi_81.21c	tAvat aSnanti pitaraH Vi_81.21c
   tāvan mṛdvāri deyaṃ syāt Vi_23.39c	tAvat mRd-vAri deyam syAt Vi_23.39c
   tāsāṃ praṇāmaṃ satataṃ ca kuryāt Vi_23.61d	tAsAm praNAmam satatam ca kuryAt Vi_23.61d
   tāṃś cārayitvā trīn kṛcchrān Vi_54.26c	tAn cArayitvA trIn kRcCrAn Vi_54.26c
   tiryagyonau tathaiva ca Vi_20.35b	tiryagyonO taTA-eva ca Vi_20.35b
   tiryagyonau prajāyate Vi_93.13d	tiryagyonO prajAyate Vi_93.13d
   tiryagyonau prapadyante Vi_43.45c	tiryagyonO prapadyante Vi_43.45c
   tiryañcaḥ pakṣiṇas tathā Vi_51.63b	tiryaQcaH pakziNaH taTA Vi_51.63b
   tilaiḥ pracchādya vāsobhiḥ Vi_87.8c	tilEH pracCAdya vAsoBiH Vi_87.8c
   tiṣṭhaty ayaṃ devavaro 'sitākṣi Vi_99.6b	tizWati ayam deva-varaH asita-akzi Vi_99.6b
   tīrthānusaraṇaṃ dayā Vi_2.16d	tIrTa-anusaraNam dayA Vi_2.16d
   tīrthānusaraṇena vā Vi_36.8d	tIrTa-anusaraNena vA Vi_36.8d
   tudyamānāś ca kaṇṭakaiḥ Vi_43.35b	tudyamAnAH ca kaNwakEH Vi_43.35b
   tulādhārasya te lokās Vi_10.9c	tulADArasya te lokAH Vi_10.9c
   tulāṃ dhārayato mṛṣā Vi_10.9d	tulAm DArayataH mRzA Vi_10.9d
   tulito yadi vardheta Vi_10.12c	tulitaH yadi varDeta Vi_10.12c
   tulyā daṇḍena cāpy atha Vi_8.37d	tulyAH daNxena ca-api aTa Vi_8.37d
   tuṣṭeṣu tuṣṭāḥ satataṃ bhavanti Vi_19.23c	tuzwezu tuzwAH satatam Bavanti Vi_19.23c
   tūṣṇīṃbhūtā udāsate Vi_8.37b	tUzNIMBUtAH udAsate Vi_8.37b
   te kūṭasākṣiṇāṃ pāpais Vi_8.37c	te kUwa-sAkziNAm pApEH Vi_8.37c
   tena tena vihīnaḥ syād Vi_52.15c	tena tena vihInaH syAt Vi_52.15c
   tena pāpena karmaṇā Vi_93.10d	tena pApena karmaNA Vi_93.10d
   tena svarge mahīyate Vi_25.15d	tena svarge mahIyate Vi_25.15d
   tenaiva cājyaṃ juhuyād Vi_65.15c	tena-eva ca-Ajyam juhuyAt Vi_65.15c
   te patanty andhatāmisre Vi_93.10c	te patanti anDatAmisre Vi_93.10c
   te 'pi kālena nīyante Vi_20.27c	te api kAlena nIyante Vi_20.27c
   tebhyo labdhena bhaikṣyeṇa Vi_28.50a	teByaH labDena BEkzyeNa Vi_28.50a
   teṣām apy etad ādiśet Vi_54.27d	tezAm api etat AdiSet Vi_54.27d
   teṣāṃ tvadbhāra āhitaḥ Vi_1.47d	tezAm tvad-BAraH AhitaH Vi_1.47d
   teṣāṃ svarge gatiḥ parā Vi_100.1d	tezAm svarge gatiH parA Vi_100.1d
   te sarve japayajñasya Vi_55.20c	te sarve japa-yajQasya Vi_55.20c
   tair eva śuklatāṃ candre Vi_1.36a	tEH eva Sukla-tAm candre Vi_1.36a
   tailabindur ivāmbhasi Vi_3.97d	tEla-binduH iva-amBasi Vi_3.97d
   tyaktvā pūrvadhṛtaṃ naraḥ Vi_20.50b	tyaktvA pUrva-DRtam naraH Vi_20.50b
   tyāgināṃ kulayoṣitām Vi_81.23b	tyAginAm kula-yozitAm Vi_81.23b
   trayodaśyāṃ samāhitaḥ Vi_78.52d	trayodaSyAm samAhitaH Vi_78.52d
   trāyante mṛtyunopetaṃ Vi_20.45c	trAyante mRtyunA-upetam Vi_20.45c
   triguṇaṃ tu vanasthānāṃ Vi_60.26c	triguNam tu vana-sTAnAm Vi_60.26c
   tripadā caiva gāyatrī Vi_55.15c	tripadA ca-eva gAyatrI Vi_55.15c
   tribhir eva tu yā bhuktā Vi_5.188a	triBiH eva tu yA BuktAH Vi_5.188a
   tribhir varṣair vyapohati Vi_53.9d	triBiH varzEH vyapohati Vi_53.9d
   tribhiḥ kṛcchrair vyapohati Vi_54.25d	triBiH kRcCrEH vyapohati Vi_54.25d
   tribhya eva tu vedebhyaḥ Vi_55.11a	triByaH eva tu vedeByaH Vi_55.11a
   trirātreṇaiva śudhyati Vi_22.87d	tri-rAtreNa-eva SuDyati Vi_22.87d
   trivargasevāṃ satatānnadānaṃ Vi_59.29a	trivarga-sevAm satata-anna-dAnam Vi_59.29a
   trividhaṃ narakasyedaṃ Vi_33.6a	triviDam narakasya-idam Vi_33.6a
   trisaptāhād athāpi vā Vi_14.4b	tri-sapta-ahAt aTa-api vA Vi_14.4b
   triḥ paṭhed āyataprāṇaḥ Vi_55.9c	tris paWet Ayata-prANaH Vi_55.9c
   trīṇi devāḥ pavitrāṇi Vi_23.47a	trINi devAH pavitrANi Vi_23.47a
   trīṇi varṣāṇy atandritaḥ Vi_55.16b	trINi varzANi atandritaH Vi_55.16b
   trīṇy ājyadohāni rathantaraṃ ca Vi_56.27a	trINi Ajya-dohAni raTantaram ca Vi_56.27a
   tvacevāhir vimucyate Vi_55.13d	tvacA-iva-ahiH vimucyate Vi_55.13d
   tvatto 'ham śrotum icchāmi Vi_1.49a	tvattaH aham Srotum icCAmi Vi_1.49a
   tvadarthaṃ tatprasādataḥ Vi_1.32d	tvad-arTam tad-prasAdataH Vi_1.32d
   tvam agne sarvabhūtānām Vi_11.11a	tvam agne sarva-BUtAnAm Vi_11.11a
   tvam ambhaḥ sarvabhūtānām Vi_12.7a	tvam amBaH sarva-BUtAnAm Vi_12.7a
   tvam eva dhaṭa jānīṣe Vi_10.10c	tvam eva Dawa jAnIze Vi_10.10c
   tvam eva nidrā jagataḥ pradhānā Vi_99.4a	tvam eva nidrA jagataH praDAnAH Vi_99.4a
   tvam eva viṣa jānīṣe Vi_13.6c	tvam eva viza jAnIze Vi_13.6c
   tvam evāgne vijānīṣe Vi_11.11c	tvam eva-agne vijAnIze Vi_11.11c
   tvam evāmbho vijānīṣe Vi_12.7c	tvam eva-amBaH vijAnIze Vi_12.7c
   tvarākrodhavivarjitaḥ Vi_66.16d	tvarA-kroDa-vivarjitaH Vi_66.16d
   tvaṃ gatir brahmavādinām Vi_1.57d	tvam gatiH brahma-vAdinAm Vi_1.57d
   tvaṃ gatiḥ sarvadevānāṃ Vi_1.57c	tvam gatiH sarva-devAnAm Vi_1.57c
   tvaṃ hi me paramā gatiḥ Vi_1.49b	tvam hi me paramA gatiH Vi_1.49b
   tvāṃ dhare dhārayiṣyanti Vi_1.47c	tvAm Dare DArayizyanti Vi_1.47c
   dakṣiṇāhṛdayo yoga- Vi_1.8a	dakziNA-hRdayaH yoga Vi_1.8a
   dagdho vā na vibhāvyate Vi_11.9b	dagDaH vA na viBAvyate Vi_11.9b
   daḍṛśe keśavālayam Vi_1.39d	daxRSe keSava-Alayam Vi_1.39d
   daṇḍakārī narādhamaḥ Vi_5.196d	daNxa-kArI nara-aDamaH Vi_5.196d
   daṇḍaś carati nirbhayaḥ Vi_3.95b	daNxaH carati nirBayaH Vi_3.95b
   daṇḍaṃ prakalpayed rājā Vi_5.195c	daNxam prakalpayet rAjA Vi_5.195c
   daṇḍyaṃ pramocayan daṇḍyād Vi_5.196a	daNxyam pramocayan daNxyAt Vi_5.196a
   dattam akṣayyatāṃ yāti Vi_79.24c	dattam akzayya-tAm yAti Vi_79.24c
   dattvā svargam avāpnoti Vi_88.4c	dattvA svargam avApnoti Vi_88.4c
   dattvaivāpahṛtaṃ dravyaṃ Vi_52.14a	dattvA-eva-apahRtam dravyam Vi_52.14a
   dadarśa madhusūdanam Vi_1.40d	dadarSa maDusUdanam Vi_1.40d
   dadāti yas tu viprāya Vi_87.10c	dadAti yaH tu viprAya Vi_87.10c
   dadyād apaharec cāṃśaṃ Vi_17.17c	dadyAt apaharet ca-aMSam Vi_17.17c
   dadyād asthimatāṃ vadhe Vi_50.47b	dadyAt asTimatAm vaDe Vi_50.47b
   dadyād varṣaṃ dvijanmane Vi_21.23d	dadyAt varzam dvijanmane Vi_21.23d
   dadyus te 'rthaṃ yathākṛtam Vi_6 42b	dadyuH te arTam yaTAkRtam Vi_6 42b
   dantakāṣṭhaṃ kadācana Vi_61.17d	dantakAzWam kadAcana Vi_61.17d
   damaḥ pavitraṃ paramaṃ Vi_72.5a	damaH pavitram paramam Vi_72.5a
   damena sarvam āpnoti Vi_72.5c	damena sarvam Apnoti Vi_72.5c
   darbheṣu vikiraś ca yaḥ Vi_81.23d	darBezu vikiraH ca yaH Vi_81.23d
   darśane pratyaye dāne Vi_6 41a	darSane pratyaye dAne Vi_6 41a
   daśarātreṇa śudhyati Vi_22.85d	daSa-rAtreNa SuDyati Vi_22.85d
   daśa varṣāṇi pañca ca Vi_57.12b	daSa varzANi paQca ca Vi_57.12b
   daśārdhayuktena rathena yāto Vi_72.6a	daSArDa-yuktena raTena yAtaH Vi_72.6a
   dahyante sarvapāpāni Vi_55.8c	dahyante sarva-pApAni Vi_55.8c
   daṃṣṭrāgreṇa samuddhṛtya Vi_1.11a	daMzwrA-agreNa samudDRtya Vi_1.11a
   daṃṣṭriṇām ātatāyinām Vi_5.189b	daMzwriNAm AtatAyinAm Vi_5.189b
   dātāro no 'bhivardhantāṃ Vi_73.28a	dAtAraH naH aBivarDantAm Vi_73.28a
   dānam indriyasaṃyamaḥ Vi_2.16b	dAnam indriya-saMyamaH Vi_2.16b
   dāne ca vidhibodhite Vi_64.40d	dAne ca viDi-boDite Vi_64.40d
   dānenākāryakāriṇaḥ Vi_22.90b	dAnena-akArya-kAriNaH Vi_22.90b
   dāruṇeṣu tathā kvacit Vi_43.40b	dAruNezu taTA kvacid Vi_43.40b
   dāsagopālanāpitāḥ Vi_57.16b	dAsa-gopAla-nApitAH Vi_57.16b
   dāsavargasya tat pitrye Vi_81.24c	dAsa-vargasya tat pitrye Vi_81.24c
   dāhena ca bhuvaḥ śuddhir Vi_23.57a	dAhena ca BuvaH SudDiH Vi_23.57a
   dinam ekam payovrataḥ Vi_50.50d	dinam ekam payaH-vrataH Vi_50.50d
   divasānte visarjayet Vi_13.5d	divasa-ante visarjayet Vi_13.5d
   divi candrabṛhaspatī Vi_49.9b	divi candra-bRhaspatI Vi_49.9b
   divi tiṣṭhanti devatāḥ Vi_19.22b	divi tizWanti devatAH Vi_19.22b
   divye ca śuddhaṃ puruṣaṃ Vi_14.5c	divye ca SudDam puruzam Vi_14.5c
   dīpte hutāśe vimale ca khḍga Vi_99.12c	dIpte hutASe vimale ca KxgaH Vi_99.12c
   dīrgham āyur jijīviṣuḥ Vi_69.17d	dIrGam AyuH jijIvizuH Vi_69.17d
   durbalāś ca tathāpare Vi_45.33b	durbalAH ca taTA-apare Vi_45.33b
   durvibhāvyamukhāmbujam Vi_1.41b	durviBAvya-muKa-ambujam Vi_1.41b
   duṣkṛtaṃ tu prayacchati Vi_67.33d	duzkRtam tu prayacCati Vi_67.33d
   duḥkham aśnanti dāruṇam Vi_43.32d	duHKam aSnanti dAruNam Vi_43.32d
   duḥkhāni vividhāni ca Vi_43.45d	duHKAni viviDAni ca Vi_43.45d
   duḥkhānvitānāṃ mṛtabāndhavānām Vi_19.24a	duHKa-anvitAnAm mRta-bAnDavAnAm Vi_19.24a
   duḥsvapnanāśaṃ bahupuṇyayuktaṃ Vi_100.5c	duHsvapna-nASam bahu-puNya-yuktam Vi_100.5c
   duḥsvapnaṃ durvicintitam Vi_64.41b	duHsvapnam durvicintitam Vi_64.41b
   dūrasthaṃ cāntike ca tat Vi_97.18d	dUra-sTam ca-antike ca tat Vi_97.18d
   dūṣitaṃ keśakīṭaiś ca Vi_23.38c	dUzitam keSa-kIwEH ca Vi_23.38c
   dṛśyete sahitau yasyāṃ Vi_49.9a	dRSyete sahitO yasyAm Vi_49.9a
   dṛṣṭavāṃs tāṃ ca kaśyapaḥ Vi_1.21d	dRzwavAn tAm ca kaSyapaH Vi_1.21d
   dṛṣṭvā lokam anākrandaṃ Vi_20.38a	dRzwvA lokam anAkrandam Vi_20.38a
   dṛṣṭvā śriyaṃ devadevasya viṣṇor Vi_99.1a	dRzwvA Sriyam devadevasya vizNoH Vi_99.1a
   devatātithibhṛtyānāṃ Vi_59.25a	devatA-atiTi-BRtyAnAm Vi_59.25a
   devatāyataneṣu ca Vi_91.19b	devatAyatanezu ca Vi_91.19b
   devatve yātanāsthāne Vi_20.35a	deva-tve yAtanA-sTAne Vi_20.35a
   devadevam abhāṣata Vi_1.48b	devadevam aBAzata Vi_1.48b
   devadeve janārdane Vi_1.19b	devadeve janArdane Vi_1.19b
   devabrāhmaṇapūjanam Vi_2.17b	deva-brAhmaNa-pUjanam Vi_2.17b
   devabrāhmaṇasaṃnidhau Vi_9.33d	deva-brAhmaNa-saMniDO Vi_9.33d
   devamānuṣikaṃ jagat Vi_95.15b	deva-mAnuzikam jagat Vi_95.15b
   deva śārṅgadhanurdhara Vi_1.51b	deva SArFgaDanuH-Dara Vi_1.51b
   devasya pārśve tapanīyavarṇe Vi_99.7d	devasya pArSve tapanIya-varNe Vi_99.7d
   devāgāre kathaṃcana Vi_68.47b	devAgAre kaTaMcana Vi_68.47b
   devān pitṝn manuṣyāṃś ca Vi_67.42a	devAn pitLn manuzyAn ca Vi_67.42a
   devā brahmarṣayaś caiva Vi_20.26c	devAH brahmarzayaH ca-eva Vi_20.26c
   devāya vinivedayet Vi_65.14d	devAya vinivedayet Vi_65.14d
   devāribalasūdana Vi_1.49d	deva-ari-bala-sUdana Vi_1.49d
   devālayeṣu dhvajabhūṣiteṣu Vi_99.10d	devAlayezu Dvaja-BUzitezu Vi_99.10d
   devī strīrūpadhāriṇī Vi_1.21b	devI strI-rUpa-DAriNI Vi_1.21b
   devo vacanam abravīt Vi_1.46d	devaH vacanam abravIt Vi_1.46d
   deśe na ca aśucau nārdre Vi_70.17c	deSe na ca aSucO na-Ardre Vi_70.17c
   dehatyāgo 'nupaskṛtaḥ Vi_16.18b	dehatyAgaH anupaskRtaH Vi_16.18b
   dehaṃ karmanibandhanam Vi_20.50d	deham karma-nibanDanam Vi_20.50d
   dehāc caiva malāś cyutāḥ Vi_23.51d	dehAt ca-eva malAH cyutAH Vi_23.51d
   dehino 'smin yathā dehe Vi_20.49a	dehinaH asmin yaTA dehe Vi_20.49a
   dehe kumāryāś ca tathā surāṇāṃ Vi_99.14c	dehe kumAryAH ca taTA surANAm Vi_99.14c
   daityendraniyutāni ca Vi_20.25b	dEtya-indra-niyutAni ca Vi_20.25b
   daivapitryāthiteyāni Vi_26.7a	dEva-pitryATiteyAni Vi_26.7a
   daive pitrye ca karmaṇi Vi_64.40b	dEve pitrye ca karmaNi Vi_64.40b
   dauhitro 'pi hy aputraṃ Vi_15.47c	dOhitraH api hi aputram Vi_15.47c
   dravyahastaḥ kathaṃcana Vi_23.55b	dravya-hastaH kaTaMcana Vi_23.55b
   dvādaśaite nṛṇāṃ malāḥ Vi_22.81d	dvAdaSA-ete nRNAm malAH Vi_22.81d
   dvāraṃ nāśanam ātmanaḥ Vi_33.6b	dvAram nASanam AtmanaH Vi_33.6b
   dviguṇaṃ daṇḍam āvahet Vi_5.196b	dviguNam daNxam Avahet Vi_5.196b
   dviguṇaṃ dātum arhati Vi_6 43d	dviguNam dAtum arhati Vi_6 43d
   dviguṇaṃ brahmacāriṇām Vi_60.26b	dviguNam brahmacAriNAm Vi_60.26b
   dvijasya bhāryā śūdrā tu Vi_26.5a	dvijasya BAryA SUdrA tu Vi_26.5a
   dvijaḥ śukram akāmataḥ Vi_28.51b	dvijaH Sukram akAmatas Vi_28.51b
   dvīpānām udadhīnāṃ ca Vi_1.15c	dvIpAnAm udaDInAm ca Vi_1.15c
   dveṣyaś cāsya na vidyate Vi_20.43b	dvezyaH ca-asya na vidyate Vi_20.43b
   dvau māsau māghaphālgunau Vi_90.29d	dvO mAsO mAGa-PAlgunO Vi_90.29d
   dhaṭa ity abhidhīyase Vi_10.10b	DawaH iti aBiDIyase Vi_10.10b
   dhanasaubhāgyavardhanam Vi_100.2d	Dana-sOBAgya-varDanam Vi_100.2d
   dhanahiṃsāparas tathā Vi_52.17b	Dana-hiMsA-paraH taTA Vi_52.17b
   dhanahiṃsāparas tayoḥ Vi_52.17d	Dana-hiMsA-paraH tayoH Vi_52.17d
   dhanahiṃsāṃ vivarjayet Vi_52.16d	Dana-hiMsAm vivarjayet Vi_52.16d
   dhanaṃ śuklam udāhṛtam Vi_58.9d	Danam Suklam udAhRtam Vi_58.9d
   dhanikacchandataḥ kriyā Vi_6 42d	Danika=-CandataH kriyA Vi_6 42d
   dhanikasyāpy upāyataḥ Vi_52.14b	Danikasya-api upAyataH Vi_52.14b
   dhanikenopapīḍitaḥ Vi_6 43b	Danikena-upapIxitaH Vi_6 43b
   dhane yasmāt pratiṣṭhitau Vi_52.16b	Dane yasmAt pratizWitO Vi_52.16b
   dhare tava viśālākṣi Vi_1.31a	Dare tava viSAla-akzi Vi_1.31a
   dhare daṇḍavidhir mayā Vi_5.194b	Dare daNxa-viDiH mayA Vi_5.194b
   dharma eko 'nuyāty enaṃ Vi_20.40a	DarmaH ekaH anuyAti enam Vi_20.40a
   dharmakāmo jitendriyaḥ Vi_71.90d	Darma-kAmaH jita-indriyaH Vi_71.90d
   dharmajñā brahmacāriṇaḥ Vi_28.48d	Darma-jQAH brahmacAriNaH Vi_28.48d
   dharmatas trātum arhasi Vi_10.11d	DarmataH trAtum arhasi Vi_10.11d
   dharmatas trātum arhasi Vi_11.12d	DarmataH trAtum arhasi Vi_11.12d
   dharmatas trātum arhasi Vi_12.8d	DarmataH trAtum arhasi Vi_12.8d
   dharmatas trātum arhasi Vi_13.7d	DarmataH trAtum arhasi Vi_13.7d
   dharmadhvajī sadā lubdhaś Vi_93.8a	Darma-DvajI sadA lubDaH Vi_93.8a
   dharmaparyāyavacanair Vi_10.10a	Darma-paryAya-vacanEH Vi_10.10a
   dharmam ekaṃ sahāyārthaṃ Vi_20.38c	Darmam ekam sahAya-arTam Vi_20.38c
   dharmayone varaprada Vi_1.54b	Darma-yone vara-prada Vi_1.54b
   dharmavyapekṣāsu dayānvitāsu Vi_99.22c	Darma-vyapekzAsu dayA-anvitAsu Vi_99.22c
   dharmaśāstram idaṃ śreṣṭhaṃ Vi_100.1a	Darma-SAstram idam SrezWam Vi_100.1a
   dharmasatyamayaḥ śrīmān Vi_1.5a	Darma-satya-mayaH SrImAn Vi_1.5a
   dharmaṃ kuruta mā ciram Vi_20.40d	Darmam kuruta mA ciram Vi_20.40d
   dharmaḥ sāmānya ucyate Vi_2.17d	DarmaH sAmAnyaH ucyate Vi_2.17d
   dharmādharmajña dharmāṅga Vi_1.54a	Darma-aDarma-jQa Darma-aFgaH Vi_1.54a
   dharmān nigadato mama Vi_1.65b	DarmAt nigadataH mama Vi_1.65b
   dharmān vada sanātana Vi_1.48d	DarmAn vada sanAtanaH Vi_1.48d
   dharmārtham iti niścitam Vi_93.14d	Darma-arTam iti niScitam Vi_93.14d
   dharmārthaṃ na kvacid bhavet Vi_26.5b	Darma-arTam na kvacid Bavet Vi_26.5b
   dharmārthau yatra na syātāṃ Vi_29.8a	Darma-arTO yatra na syAtAm Vi_29.8a
   dharmotkaṭe cātyaśanād vimukte Vi_99.19b	Darma-utkawe ca-ati-aSanAt vimukte Vi_99.19b
   dhīras tatra na muhyati Vi_20.49d	DIraH tatra na muhyati Vi_20.49d
   dhyānayogena cārvaṅgi Vi_1.32c	DyAna-yogena cAru-aFgi Vi_1.32c
   dhyāyeta puruṣaṃ viṣṇuṃ Vi_97.16c	DyAyeta puruzam vizNum Vi_97.16c
   dhruvas tasya parājayaḥ Vi_8.39d	DruvaH tasya parAjayaH Vi_8.39d
   dhruvaṃ janma mṛtasya ca Vi_20.29b	Druvam janma mRtasya ca Vi_20.29b
   dhruvaṃ vācaspatiṃ prabhum Vi_1.58d	Druvam vAcaspatim praBum Vi_1.58d
   dhruvākṣara susūkṣmeśa Vi_1.57a	Druva-akzara su-sUkzma-ISa Vi_1.57a
   na kālasya priyaḥ kaścid Vi_20.43a	na kAlasya priyaH kaScid Vi_20.43a
   na kvacit sukham edhate Vi_51.68d	na kvacid suKam eDate Vi_51.68d
   nakhināṃ śṛṅgiṇāṃ caiva Vi_5.189a	naKinAm SRFgiNAm ca-eva Vi_5.189a
   na gaur na narajā malāḥ Vi_23.40b	na gOH na nara-jAH malAH Vi_23.40b
   na ca parvatamastake Vi_70.17d	na ca parvata-mastake Vi_70.17d
   na ca prāṇivadhaḥ svargyas Vi_51.71c	na ca prANi-vaDaH svargyaH Vi_51.71c
   na ca svargaṃ sa gacchati Vi_26.7d	na ca svargam sa gacCati Vi_26.7d
   na ca havyaṃ vahaty agnir Vi_57.12c	na ca havyam vahati agniH Vi_57.12c
