   oṃ atha pañcamo 'dhyāyaḥ	om aTa paQcamaH aDyAyaH
   tadetaddhiraṇyagarbhasya sūtrātmano janma yadavyākṛtasya jagato vyākaraṇam	tat-etat-hiraNyagarBasya sUtra-AtmanaH janma yat-avyAkRtasya jagataH vyAkaraNam
   tatsatyaṃ brahma kutaḥ /	tat-satyam brahma kutas /
   mahattvāt /	mahat-tvAt /
   kathaṃ mahattvamityāha /	kaTam mahat-tvam-iti-Aha /
   yasmātsarvasya sraṣṭṭa /	yasmAt-sarvasya srazwwa /
   katham /	kaTam /
   yatsatyaṃ brahma tat prajāpatiṃ prajānāṃ patiṃ virājaṃ	yat-satyam brahma tat prajApatim prajAnAm patim virAjam
   sūryādikaraṇamasṛjatetyanuṣaṅgaḥ /	sUrya-Adi-karaNam-asRjatA-iti-anuzaFgaH /
   prajāpatirdevānsa virāṭprajāpatirdeva nasṛjata /	prajApatiH-devAn-sa virAj-prajApatiH-deva nasRjata /
   yasmātsarvamevaṃ krameṇa satyādbrahmaṇo jātaṃ tasmānmahatsatyaṃ brahma /	yasmAt-sarvam-evam krameNa satyAt-brahmaNaH jAtam tasmAt-mahat-satyam brahma /
   kathaṃ punaryakṣamiti /	kaTam punar-yakzam-iti /
   ucyate-ta evaṃ sṛṣṭā devāḥ pitaramapi virājamatītya tadeva satyaṃ	ucyate-te evam sRzwAH devAH pitaram-api virAjam-atItya tat-eva satyam
   brahmopāmate /	brahma-upAmate /
   ata etatprathamajaṃ mahadyakṣam /	atas etat-praTama-jam mahat-yakzam /
   tasmātsarvātmanopāsyaṃ tattasyāpi satyasya brahmaṇo nāma satyamiti	tasmAt-sarva-AtmanA-upAsyam tat-tasya-api satyasya brahmaNaH nAma satyam-iti
   tadetattryakṣaram /	tat-etat-tri-akzaram /
   kāni tānyakṣarāṇītyāha-sa ityekamakṣaram /	kAni tAni-akzarANi-iti-Aha-saH iti-ekam-akzaram /
   tītyekamakṣaram /	ti-iti-ekam-akzaram /
   tītīkārānubandho nirdeśārthaḥ /	tItIkAra-anubanDaH nirdeSa-arTaH /
   yamityekamakṣaram /	yam-iti-ekam-akzaram /
   tatra teṣāṃ prathamottame akṣare sakārayakārau satyam /	tatra tezAm praTama-uttame akzare sa-kAraya-kArO satyam /
   mṛtyurūpābhāvāt /	mRtyu-rUpa-aBAvAt /
   madhyato madhye 'nṛtam /	maDyatas maDye anRtam /
   anṛtaṃ hi mṛtyuḥ /	anRtam hi mRtyuH /
   mṛtyvanṛtayostakārasāmānyāt /	mRtyvanRtayoH-takAra-sAmAnyAt /
   tadetadanṛtaṃ takārākṣaraṃ mṛtyurūpamubhayataḥ satyena	tat-etat-anRtam takAra-akzaram mRtyu-rUpam-uBayatas satyena
   sakārayakāralakṣaṇena parigṛhotaṃvyāptamantarbhāvitaṃ satyarūpābhyāmato	sa-kArayakAra-lakzaNena parigRhotaMvi-Aptam-antar-BAvitam satya-rUpAByAm-atas-
   'kiñcitkaraṃ tatsatyabhūyameva satyabāhulyameva bhavati /	akiQcitkaram tat-satya-BUyam-eva satya-bAhulyam-eva Bavati /
   evaṃ satyabāhulyaṃ sarvasya mṛtyoranṛtasyākiñcitkaratvaṃ ca yo	evam satya-bAhulyam sarvasya mRtyoH-anRtasya-akiQcitkara-tvam ca yaH-
   vidvāṃstamevaṃ vidvāṃsamanṛtaṃ kadācitpramādoktaṃ na hinasti //1//	vidvAn=-tam-evam vidvAMsam-anRtam kadAcid-pramAda-uktam na hinasti //1//
   START BrhUp 5,5.2	START BrhUp 5,5.2
   tad yat tat satyam asau sa ādityaḥ |	tat yat tat satyam asO saH AdityaH |
   ya eṣa etasmin maṇḍale puruṣo yaś cāyaṃ dakṣiṇe 'kṣan puruṣas tāv etāv	yaH ezaH etasmin maNxale puruzaH yaH ca-ayam dakziNe akzan puruzaH tO etO=-
   anyo 'nyasmin pratiṣṭhitau |	anyaH anyasmin pratizWitO |
   raśmibhir eṣo 'smin pratiṣṭhitaḥ prāṇair ayam amuṣmin |	raSmiBiH ezaH asmin pratizWitaH prANEH ayam amuzmin |
   sa yadotkramiṣyan bhavati śuddham evaitan maṇḍalaṃ paśyati |	sa yadA-utkramizyan Bavati SudDam eva-etat maNxalam paSyati |
   nainam ete raśmayaḥ pratyāyanti || BrhUp_5,5.2 ||	na-enam ete raSmayaH pratyAyanti || BrhUp_5,5.2 ||
   BrhUpBh_5,5.2 asyādhunā satyasya brahmaṇaḥ saṃsthānaviśeṣa	Brhu-upBh_5,5.2 asya-aDunA satyasya brahmaNaH saMsTAna-viSeza
   upāsanamucyate-tadyat /	upAsanam-ucyate--tat-yat /
   kiṃ tatsatyaṃ brahma prathamajaṃ kimasau saḥ /	kim tat-satyam brahma praTama-jam kim-asO saH /
   ko 'sāvādityaḥ kaḥ punarasāvādityo ya eṣa ka eṣa ya etasminnādityamaṇḍale	kaH asO=-AdityaH kaH punar-asO=-AdityaH yaH eza kaH eza yaH etasmin=-Aditya-maNxale
   puruṣo 'bhimānī so 'sau satyaṃ brahma /	puruzaH aBimAnI saH asO satyam brahma /
   yaścāyamadhyātmaṃ yo 'yaṃ dakṣiṇe 'kṣannakṣaṇi puruṣaḥ /	yaH-ca-ayam-aDyAtmam yaH ayam dakziNe akzat-nakzaNi puruzaH /
   caśabdātsa ca satyaṃ brahmeti saṃbandhaḥ /	caSabdAt-sa ca satyam brahma-iti saMbanDaH /
   tāvetāvādityākṣisthau puruṣāvekasya satyasya brahmaṇaḥ saṃsthānaviśeṣau	tO=-etO=-Aditya-akzi-sTO puruzO=-ekasya satyasya brahmaNaH saMsTAna-viSezO
   yasmāttasmādanyonyasminnitaretarasminnādityaścākṣuṣe cākṣuṣaścā'ditye	yasmAt-tasmAt-anyonyasmin=-itaretarasmin=-AdityaH-cAkzuze cAkzuzaH-cA-aditye
   pratiṣṭhitau /	pratizWitO /
   adhyātmādhidaivatayoranyonyopakāryopakārakatvāt /	aDyAtma-aDidEvatayoH-anyonya-upakArya-upakAraka-tvAt /
   kathaṃ pratiṣṭhitāvityucyate raśmibhiḥ prakāśenānugrahaṃ kurvanneṣa ādityo	kaTam pratizWitO=-iti-ucyate raSmiBiH prakASena-anugraham kurvan=-ezaH AdityaH-
   'smiṃścākṣuṣe 'dhyātme pratiṣṭhitaḥ /	asmin=-cAkzuze aDyAtme pratizWitaH /
   ayaṃ ca cākṣuṣaḥ prāṇairādityamanugṛhṇannamuṣminnāditye 'dhidaive	ayam ca cAkzuzaH prANEH-Adityam-anugRhNan=-amuzmin=-Aditye aDidEve
   pratiṣṭhitaḥ /	pratizWitaH /
   so 'smiñcharīre vijñānamayo bhoktā yadā yasminkāla utkramiṣyanbhavati	saH asmin-SarIre vijQAna-mayaH BoktA yadA yasmin-kAle utkramizyan-Bavati
   tadāsau cākṣuṣa ādityapuruṣo raśmīnupasaṃhṛtya kevalenaudāsīnyena rūpeṇa	tadA-asO cAkzuzaH Aditya-puruzaH raSmIn-upasaMhRtya kevalena-OdAsInyena rUpeNa
   vyavatiṣṭhate /	vyavatizWate /
   tadāyaṃ vijñānamayaḥ paśyati śuddhameva kevalaṃ viraśmyetanmaṇḍalaṃ	tadA-ayam vijQAna-mayaH paSyati SudDam-eva kevalam viraSmi-etat-maNxalam
   candramaṇḍalamiva /	candra-maNxalam-iva /
   tadetadariṣṭadarśanaṃ prāsahgikaṃ pradarśayate /	tat-etat-arizwa-darSanam prAsahgikam pradarSayate /
   kathaṃ nāma puruṣaḥ karaṇīye yatnavānsyāditi /	kaTam nAma puruzaH karaNIye yatnavAn-syAt-iti /
   nainaṃ cākṣuṣaṃ puruṣamurarīkṛtya taṃ pratyanugrahāyaite raśmayaḥ	na-enam cAkzuzam puruza-m-urarIkRtya tam pratyanugrahAya-ete raSmayaH
   svāmikartavyavaśātpūrvamāgacchanto 'pi punastatkarmakṣayamanurudhyamānā	svAmi-kartavya-vaSAt-pUrvam-AgacCantaH api punar-tad-karma-kzayam-anuruDyamAnA
   iva nopayanti na pratyāgacchantyenam /	iva na-upayanti na pratyAgacCanti-enam /
   ato 'vagamyate parasparopakāryopakārakabhāvātsatyasyaivaikasyā'tmanoṃ'śā	atas avagamyate paraspara-upakArya-upakAraka-BAvAt-satyasya-eva-ekasyA-atmanaH-M-aSA
   vetāviti //2//	vetO=-iti //2//
   START BrhUp 5,5.3	START BrhUp 5,5.3
   ya eṣa etasmin maṇḍale puruṣas tasya bhūr iti śiraḥ |	yaH ezaH etasmin maNxale puruzaH tasya BUH iti SiraH |
   ekaṃ śira ekam etad akṣaram |	ekam SiraH ekam etat akzaram |
   bhuva iti bāhū |	BuvaH iti bAhU |
   dvau bāhū dve ete akṣare |	dvO bAhU dve ete akzare |
   svar iti pratiṣṭhā |	svar iti pratizWA |
   dve pratiṣṭhe dve ete akṣare |	dve pratizWe dve ete akzare |
   tasyopaniṣad ahar iti |	tasya-upanizad ahar iti |
   hanti pāpmānaṃ jahāti ca ya evaṃ veda || BrhUp_5,5.3 ||	hanti pApmAnam jahAti ca yaH evam vedaH || BrhUp_5,5.3 ||
   BrhUpBh_5,5.3 tatra yo 'sau ko ya eṣa etasminmaṇḍale puruṣaḥ satyanāmā	Brhu-upBh_5,5.3 tatra yaH asO kaH yaH ezaH etasmin-maNxale puruzaH satya-nAmA
   tasya vyāhṛtayo 'vayavāḥ /	tasya vyAhRtayaH avayavAH /
   katham /	kaTam /
   bhūriti yeyaṃ vyāhṛtiḥ sā tasya śiraḥ /	BUH-iti yA-iyam vyAhRtiH sA tasya SiraH /
   prāthamyāt /	prATamyAt /
   tatra sāmānyaṃ svayamevāha śruti-ekamekasaṃkhyāyiktaṃ	tatra sAmAnyam svayam-eva-Aha Sruti--ekam-eka-saMKyAyiktam
   śirastathaitadakṣaramekaṃ bhūriti /	SiraH-taTA-etat-akzaram-ekam BUH-iti /
   bhuva iti bāhū dvitvasāmānyāddvau bāhū dve ete akṣare /	BuvaH iti bAhU dvi-tva-sAmAnyAt-dvO bAhU dve ete akzare /
   tathā svariti pratiṣṭhā dve pratiṣṭhe dve ete akṣare /	taTA svar-iti pratizWA dve pratizWe dve ete akzare /
   pratiṣṭhe pādau pratitiṣṭhatyābhyāmiti /	pratizWe pAdO pratitizWati-AByAm-iti /
   tasyāsya vyāhṛtyavayavasya satyasya brahmaṇa upaniṣadrahasyamabhidhānam /	tasya-asya vyAhRtyavayavasya satyasya brahmaNaH upanizad-rahasyam-aBiDAnam /
   yenābhidhānenābhidhīyamānaṃ tadbrahmābhimukho bhavati lokavat /	yena-aBiDAnena-aBiDIyamAnam tat-brahma-aBimuKaH Bavati loka-vat /
   kāsāvityāha - ahariti ahariti caitadrūpaṃ hanterjahāteśceti yo veda sa	kA-asO=-iti-Aha  ahar-iti ahar-iti ca-etat-rUpam hanteH-jahAteH-ca-iti yaH veda sa
   hanti jahāti ca pāpmānaṃ ya evaṃ veda //3//	hanti jahAti ca pApmAnam yaH evam vedaH //3//
   START BrhUp 5,5.4	START BrhUp 5,5.4
   yo 'yaṃ dakṣiṇe 'kṣan puruṣas tasya bhūr iti śiraḥ |	yaH ayam dakziNe akzan puruzaH tasya BUH iti SiraH |
   ekaṃ śira ekam etad akṣaram |	ekam SiraH ekam etat akzaram |
   bhuva iti bāhū |	BuvaH iti bAhU |
   dvau bāhū dve ete akṣare |	dvO bAhU dve ete akzare |
   svar iti pratiṣṭhā |	svar iti pratizWA |
   dve pratiṣṭhe dve ete akṣare |	dve pratizWe dve ete akzare |
   tasyopaniṣad aham iti |	tasya-upanizad aham iti |
   hanti pāpmānaṃ jahāti ca ya evaṃ veda || BrhUp_5,5.4 ||	hanti pApmAnam jahAti ca yaH evam vedaH || BrhUp_5,5.4 ||
   BrhUpBh_5,5.4 evaṃ yo 'yaṃ dakṣiṇe 'kṣanpuruṣastasya bhūriti śira ityādi	Brhu-upBh_5,5.4 evam yaH ayam dakziNe akzan-puruzaH-tasya BUH-iti SiraH ityAdi
   sarvaṃ samānam /	sarvam samAnam /
   tasyopaniṣadahamiti /	tasya-upanizad-aham-iti /
   pratyagātmabhūtatvāt /	pratyagAtma-BUta-tvAt /
   pūrvavaddhānterjahāteśceti //4//	pUrvavat-hAnteH-jahAteH-ca-iti //4//
   iti śrīmadbṛhadāraṇyakopaniṣadbhāṣye pañcamādhyāyasya pañcamaṃ brāhmaṇam	iti SrImat-bRhat-AraNyaka-upanizad-BAzye paQcama-aDyAyasya paQcamam brAhmaNam
   START BrhUp 5,6.1	START BrhUp 5,6.1
   manomayo 'yaṃ puruṣo bhāḥsatyaḥ |	manaH-mayaH ayam puruzaH BAs-satyaH |
   tasminn antar hṛdaye yathā vrīhir vā yavo vā |	tasmin antar hRdaye yaTA vrIhiH vA yavaH vA |
   sa eṣa sarvasyeśānaḥ sarvasyādhipatiḥ sarvam idaṃ praśāsti yad idaṃ kiñca	saH eza sarvasya-ISAnaH sarvasya-aDipatiH sarvam idam praSAsti yat idam kiQca
   || BrhUp_5,6.1 ||	|| BrhUp_5,6.1 ||
   BrhUpBh_5,6.1 upādhīnāmanekatvādanekaviśeṣaṇatvācca tasyaiva prakṛtasya	Brhu-upBh_5,6.1 upADInAm-aneka-tvAt-aneka-viSezaNa-tvAt-ca tasya-eva prakRtasya
   brahmaṇo manaupādhiviśiṣṭasyopāsanaṃ vidhitsannāhamanomayo manaḥprāyo	brahmaNaH manOpADi-viSizwasya-upAsanam viDitsanna-aha-manaH-mayaH manaH-prAyo
   manasyupalabhyamānatvāt /	manasi-upalaByamAna-tvAt /
   manasā copalabhata iti manomayo 'yaṃ puruṣo bhāḥ satyo bhā eva satyaṃ	manasA ca-upalaBate iti manaH-mayaH ayam puruzaH BAs satyaH BAs eva satyam
   sadbhāvaḥ svarūpaṃ yasya so 'yaṃ bhāḥ satyo bhāsvara ityetat /	sadBAvaH svarUpam yasya saH ayam BAs satyaH BAsvaraH iti-etat /
   manasaḥ sarvārthāvabhāsamatvānmanomayatvāccāsya bhāsvaratvāt /	manasaH sarva-arTa-avaBAsamatvAt-manaH-maya-tvAt-ca-asya BAsvara-tvAt /
   tasminnantarhṛdaye hṛdayasyāntastasminnityetat /	tasmin=-antar-hRdaye hRdayasya-antar-tasmin=-iti-etat /
   yathā vrīhirvā yavo vā pariṇamata evaṃ parimāṇastasminnantarhṛdaye	yaTA vrIhiH-vA yavaH vA pariNamate evam parimANaH-tasmin=-antar-hRdaye
   yogibhirdṛśyata ityarthaḥ /	yogiBiH-dRSyate iti-arTaH /
   sa eṣa sarvasyeśānaḥ sarvasya svabhedajātasyeśānaḥ svāmī /	saH eza sarvasya-ISAnaH sarvasya sva-Beda-jAtasya-ISAnaH svAmI /
   svāmitve 'pi sati kaścidamātyāditantro 'yaṃ tu na tathā kiṃ	svAmi-tve api sati kaScid-amAtya-Adi-tantraH ayam tu na taTA kim
   tarhyadhipatiradhiṣṭhāya pālayitā /	tarhi-aDipatiH-aDizWAya pAlayitA /
   sarvamidaṃ praśāsti yadidaṃ kiñca yatkiñccitsarvaṃ jagattatsarvaṃ praśāsti	sarvam-idam praSAsti yat-idam kiQca yat-kiQccit-sarvam jagat-tat-sarvam praSAsti
   eṃ manomayasyopāsanāttathārūpāpattireva phalam /	em manaH-mayasya-upAsanAt-taTArUpa-ApattiH-eva Palam /
   taṃ tathā yathepāsate tadeva bhavatīti brāhmaṇam //1//	tam taTA yaTepAsate tat-eva Bavati-iti brAhmaNam //1//
   iti śrīmadbṛhadāraṇyakopaniṣadbhāṣye pañcamādhyāyasya ṣaṣṭhaṃ brāhmaṇam	iti SrImat-bRhat-AraNyaka-upanizad-BAzye paQcama-aDyAyasya zazWam brAhmaNam
   START BrhUp 5,7.1	START BrhUp 5,7.1
   vidyud brahmety āhuḥ |	vidyut brahma-iti AhuH |
   vidānād vidyut |	vidAnAt vidyut |
   vidyaty enaṃ pāpmano ya evaṃ veda vidyud brahmeti |	vidyati enam pApmanaH yaH evam veda vidyut brahma-iti |
   vidyud dhy eva brahma || BrhUp_5,7.1 ||	vidyut Di eva brahma || BrhUp_5,7.1 ||
   BrhUpBh_5,7.1 tathaivopāsanāntaraṃ satyasya brahmaṇo	Brhu-upBh_5,7.1 taTA-eva-upAsana-antaram satyasya brahmaNaH-
   viśiṣṭaphalamārabhyate - vidyudbrahmetyāhuḥ /	viSizwa-Palam-AraByate  vidyut-brahma-iti-AhuH /
   vidyuto brahmaṇo nirvacanamucyate - vidānādavakhaṇḍanāttamaso	vidyutaH brahmaNaH nirvacanam-ucyate  vidAnAt-avaKaNxanAt-tamasaH-
   medhāndhakāraṃ vidārya hyavabhāsate 'to vidyut /	meDa-anDakAram vidArya hi-avaBAsate atas vidyut /
   evaṃ guṇaṃ vidyudbrahmeti yo vedāsai vidyatyavakhaṇḍayati vināśayati	evam guNam vidyut-brahma-iti yaH vedAsE vidyati-avaKaNxayati vinASayati
   pāpmana enamātmānaṃ prati pratikūlabhūtāḥ pāpmāno ye tānsarvānpāpmano	pApmanaH enam-AtmAnam prati pratikUla-BUtAH pApmAnaH ye tAn-sarvAn-pApmanaH-
   'khaṇḍayatītyarthaḥ /	aKaNxayati-iti-arTaH /
   ya evaṃ veda vidyudbrahmeti tasyānurūpaṃ phalam /	yaH evam veda vidyut-brahma-iti tasya-anurUpam Palam /
   vidyuddhi yasmādbrahma //1//	vidyut-hi yasmAt-brahma //1//
   iti śrīmadbṛhadāraṇyakopaniṣadbhāṣye pañcamādhyāyasya saptamaṃ brāhmaṇam	iti SrImat-bRhat-AraNyaka-upanizad-BAzye paQcama-aDyAyasya saptamam brAhmaNam
   START BrhUp 5,8.1	START BrhUp 5,8.1
   vācaṃ dhenum upāsīta |	vAcam Denum upAsIta |
   tasyāś catvāraḥ stanāḥ |	tasyAH catvAraH stanAH |
   svāhākāro vaṣaṭkāro hantakāraḥ svadhākāraḥ |	svAhAkAraH vazawkAraH hantakAraH svaDAkAraH |
   tasyai dvau stanau devā upajīvanti |	tasyE dvO stanO devAH upajIvanti |
   svāhākāraṃ ca vaṣaṭkāraṃ ca |	svAhAkAram ca vazawkAram ca |
   hantakāraṃ manuṣyāḥ |	hantakAram manuzyAH |
   svadhākāraṃ pitaraḥ |	svaDAkAram pitaraH |
   tasyāḥ prāṇa ṛṣabho mano vatsaḥ || BrhUp_5,8.1 ||	tasyAH prANaH RzaBaH manaH vatsaH || BrhUp_5,8.1 ||
   BrhUpBh_5,8.1 punarupāsanāntaraṃ tasyaiva brahmaṇo vāgvai brahmeti vāgiti	Brhu-upBh_5,8.1 punar-upAsana-antaram tasya-eva brahmaNaH vAc-vE brahma-iti vAc-iti
   śabdasrayī tāṃ vācaṃ dhenuṃ dhenuriva dhenuryathā dhenuścaturbhiḥ stanaiḥ	Sabda-srayI tAm vAcam Denum DenuH-iva DenuH-yaTA DenuH-caturBiH stanEH
   stanyaṃ payaḥ kṣarati vatsāyaivaṃ vāgdhenurvakṣyamāṇaiḥ stanaiḥ paya	stanyam payaH kzarati vatsAya-evam vAgDenuH-vakzyamANEH stanEH paya
   ivānnaṃ kṣarati devādibhyaḥ /	iva-annam kzarati deva-AdiByaH /
   ke punaste stanā ye vā te yebhyaḥ kṣarati /	ke punar-te stanAH ye vA te yeByaH kzarati /
   tasyā etasyā vāco dhenvā dvau stanau devā upajīvanti vatsasthānīyāḥ /	tasyAH etasyAH vAcaH DenvAH dvO stanO devAH upajIvanti vatsa-sTAnIyAH /
   kau tau /	kO tO /
   svāhākāraṃ ca vaṣaṭkāraṃ ca /	svAhAkAram ca vazawkAram ca /
   ābhyāṃ hi havirdīyate devebhyaḥ /	AByAm hi haviH-dIyate deveByaH /
   hantakāraṃ manuṣyāḥ /	hantakAram manuzyAH /
   hanteti manuṣyebhyo 'nnaṃ prayacchanti /	hantA-iti manuzyeByaH annam prayacCanti /
   svadhākāraṃ ca vaṣaṭkāraṃ ca /	svaDAkAram ca vazawkAram ca /
   ābhyāṃ hi havirdīyate devebhyaḥ /	AByAm hi haviH-dIyate deveByaH /
   hantakāraṃ manuṣyāḥ /	hantakAram manuzyAH /
   hanteti manuṣyebhyo 'nnaṃ prayacchanti svadhākāraṃ ca vaṣaṭkāraṃ ca /	hantA-iti manuzyeByaH annam prayacCanti svaDAkAram ca vazawkAram ca /
   ābhyāṃ hi havirdīyate devebhyaḥ /	AByAm hi haviH-dIyate deveByaH /
   hantakāraṃ manuṣyāḥ /	hantakAram manuzyAH /
   hanteti manuṣyebhyo 'nnaṃ prayacchanti /	hantA-iti manuzyeByaH annam prayacCanti /
   svadhākāraṃ pitaraḥ /	svaDAkAram pitaraH /
   svadhākāreṇa hi pitṛbhyaḥ svadhāṃ prayacchanti /	svaDAkAreNa hi pitRByaH svaDAm prayacCanti /
   tasyā dhenvā vācaḥ prāṇa ṛṣabhaḥ /	tasyAH DenvAH vAcaH prANaH RzaBaH /
   prāṇena hi vākprasūyate /	prANena hi vAc-prasUyate /
   mano vatsaḥ /	manaH vatsaH /
   manasā hi prasrāvyate /	manasA hi prasrAvyate /
   manasā hyālocite viṣaye vākpravartate /	manasA hi-Alocite vizaye vAc-pravartate /
   tasmānmano vatsasthānīyam /	tasmAt-manaH vatsa-sTAnIyam /
   evaṃ vāgdhenūpāsakastādbhāvyameva pratipadyate //1//	evam vAgDenu-upAsakaH-tAd-BAvyam-eva pratipadyate //1//
   iti śrīmadbṛhadāraṇyakopaniṣadbhāṣye pañcamādhyāyasyāṣṭamaṃ brāhmaṇam	iti SrImat-bRhat-AraNyaka-upanizad-BAzye paQcama-aDyAyasya-azwamam brAhmaNam
   START BrhUp 5,9.1	START BrhUp 5,9.1
   ayam agnir vaiśvānaro yo 'yam antaḥ puruṣe |	ayam agniH vESvAnaraH yaH ayam antar puruze |
   yenedam annaṃ pacyate |	yena-idam annam pacyate |
   yad idam adyate |	yat idam adyate |
   tasyaiṣa ghoṣo bhavati |	tasya-eza GozaH Bavati |
   yam etat karṇāv apidhāya śṛṇoti |	yam etat karNO apiDAya SRNoti |
   sa yadotkramiṣyan bhavati nainaṃ ghoṣaṃ śṛṇoti || BrhUp_5,9.1 ||	sa yadA-utkramizyan Bavati na-enam Gozam SRNoti || BrhUp_5,9.1 ||
   BrhUpBh_5,9.1 ayamagnirvaiśvānanaraḥ	Brhu-upBh_5,9.1 ayam-agniH-vESvAna-naraH
   pūrvavadupāsanāntaramayamagnirvaiśvānaraḥ /	pUrvavat-upAsana-antara-m-ayam-agniH-vESvAnaraH /
   ko 'yamagnirityāha-yo 'yamantaḥpuruṣe /	kaH ayam-agniH-iti-Aha-yaH ayam-antaHpuruze /
   kiṃ śarīrārambhako netyucyate-yenāgninā vaiśvānarākhyenedamannaṃ pacyate /	kim SarIra-AramBakaH na-iti-ucyate-yena-agninA vESvAnara-AKyena-idam-annam pacyate /
   kiṃ tadannam /	kim tat-annam /
   yadidamadyate bhujyate 'nnaṃ prajābhijaṭhiro 'gnirityarthaḥ /	yat-idam-adyate Bujyate annam prajA-aBijaWiraH agniH-iti-arTaH /
   tasya sākṣādupalakṣaṇārthamidamāha-tasyāgnerannaṃ pacato jāṭharasyaiṣa	tasya sAkzAt-upalakzaNa-arTam-idam-Aha-tasya-agneH-annam pacataH jAWarasya-eza
   ghoṣo bhavati /	GozaH Bavati /
   ko 'sau /	kaH asO /
   yaṃ ghoṣametaditi kriyāviśeṣaṇaṃ karṇāvapidhāyāṅgulībhyāmapidhānaṃ kṛtvā	yam Gozam-etat-iti kriyA-viSezaNam karNO=-apiDAya-aFgulIByAm-apiDAnam kRtvA
   śṛṇoti taṃ prajāpatimupāsīta vaiśvānaramagnim /	SRNoti tam prajApatim-upAsIta vESvAnaram-agnim /
   atrāpi tādbhāvyaṃ phalam /	atra-api tAdBAvyam Palam /
   tatra prāsaṅgikamidamariṣṭalakṣaṇamucyate-so 'tra śarīre bhoktā	tatra prAsaFgikam-idam-arizwa-lakzaNam-ucyate--saH atra SarIre BoktA
   yadotkramiṣyanbhavati nainaṃ ghoṣaṃ śṛṇoti //1//	yadA-utkramizyan-Bavati na-enam Gozam SRNoti //1//
   iti śrīmadbṛhadāraṇyakopaniṣadbhāṣye pañcamādhyāyasya navamaṃ brāhmaṇam	iti SrImat-bRhat-AraNyaka-upanizad-BAzye paQcama-aDyAyasya navamam brAhmaNam
   START BrhUp 5,10.1	START BrhUp 5,10.1
   yadā vai puruṣo 'smāl lokāt praiti sa vāyum āgacchati |	yadA vE puruzaH asmAt lokAt prEti sa vAyum AgacCati |
   tasmai sa tatra vijihīte yathā rathacakrasya kham |	tasmE sa tatra vijihIte yaTA raTa-cakrasya Kam |
   tena sa ūrdhva ākramate |	tena saH UrDvaH Akramate |
   sa ādityam āgacchati |	saH Adityam AgacCati |
   tasmai sa tatra vijihīte |	tasmE sa tatra vijihIte |
   yathā lambarasya kham |	yaTA lambarasya Kam |
   tena sa ūrdhva ākramate |	tena saH UrDvaH Akramate |
   sa candramasam āgacchati |	sa candramasam AgacCati |
   tasmai sa tatra vijihīte |	tasmE sa tatra vijihIte |
   yathā dundubheḥ kham |	yaTA dunduBeH Kam |
   tena sa ūrdhva ākramate |	tena saH UrDvaH Akramate |
   sa lokam āgacchaty aśokam ahimam |	sa lokam AgacCati aSokam ahimam |
   tasmin vasati śāśvatīḥ samāḥ || BrhUp_5,10.1 ||	tasmin vasati SASvatIH samAH || BrhUp_5,10.1 ||
   BrhUpBh_5,10.1 sarveṣāmasminprakaraṇa upāsanānāṃ gatiriyaṃ phalaṃ	Brhu-upBh_5,10.1 sarvezAm-asmin-prakaraNaH upAsanAnAm gatiH-iyam Palam
   cocyate-yadā vai puruṣo vidvānasmāllokātpraiti śarīraṃ parityajati sa tadā	ca-ucyate-yadA vE puruzaH vidvAn-asmAt-lokAt-prEti SarIram parityajati sa tadA
   vāyumāgacchatyantarikṣe tiryagbhūto vāyuḥ stimito 'bhedyastiṣṭhati /	vAyum-AgacCati-antarikze tiryak-BUtaH vAyuH stimitaH aBedyaH-tizWati /
   sa vāyustatra svātmani tasmai samprāptāya vijihote svātmāvayavānvigamayati	sa vAyuH-tatra sva-Atmani tasmE samprAptAya vijihote sva-Atma-avayavAn-vigamayati
   cchidrīkarotyātmānamityarthaḥ /	cCidrIkaroti-AtmAnam-iti-arTaH /
   kiṃparimāmaṃ chidramiti /	kiMparimAmam Cidram-iti /
   ucyate-yathā ratha vakrasya khaṃ chidraṃ prasiddhaparimāṇam /	ucyate--yaTA raTa vakrasya Kam Cidram prasidDa-parimANam /
   tena chidreṇa sa vidvānūrdhva ākramata ūrdhvaḥ sangacchati sa	tena CidreNa sa vidvAn-UrDvaH AkramataH UrDvaH sangacCati sa
   ādityamāgacchati /	Adityam-AgacCati /
   ādityo brahmalokaṃ jigamiṣormārganirodhaṃ kṛtvā sthitaḥ so 'pyevaṃvida	AdityaH brahma-lokam jigamizoH-mArga-niroDam kRtvA sTitaH saH api-evaMvida
   upāsakāya dvāraṃ prayacchati /	upAsakAya dvAram prayacCati /
   tasmai sa tatra vijihote /	tasmE sa tatra vijihote /
   yathā lambarasya khaṃ vāditraviśeṣasya cchidraparimāmaṃ tena sa ūrdhva	yaTA lambarasya Kam vAditra-viSezasya cCidra-parimAmam tena saH UrDva-
   ākramate sa candramasamāgacchati /	Akramate sa candramasam-AgacCati /
   so 'pi tasmai tatra vijihīte /	saH api tasmE tatra vijihIte /
   yathā dundubheḥ khaṃ prasiddhaṃ tena sa ūrdhva ākramate sa lokaṃ	yaTA dunduBeH Kam prasidDam tena saH UrDvaH Akramate sa lokam
   prajāpatilokamāgacchati /	prajApati-lokam-AgacCati /
   kiṃviśiṣṭam /	kiMviSizwam /
   aśokaṃ mānasena duḥkhena vivarjitamityetat /	aSokam mAnasena duHKena vivarjitam-iti-etat /
