   pañcakramaḥ	paQcakramaH
   śauṣīryaṃ nāsti te kāye māṃsāsthirudhiraṃ na ca |	SOzIryam na-asti te kAye mAMsa-asTi-ruDiram na ca |
   indrāyudhamivākāśe kāyaṃ darśitavānasi || Pk_3.2 ||	indrAyuDam-iva-AkASe kAyam darSitavAn-asi || Pk_3.2 ||
   nāmayā nāśuciḥ kāye kṣuttṛṣṇāsambhavo na ca |	nAmayA na-aSuciH kAye kzut-tRzNA-samBavaH na ca |
   tvayā lokānuvṛttyarthaṃ darśitā laukikī kriyā || Pk_3.3 ||	tvayA loka-anuvRtti-arTam darSitA lOkikI kriyA || Pk_3.3 ||
   dakacandravadagrāhya sarvadharmeṣvaniśrita |	daka-candra-vat-agrAhya sarva-Darmezu-aniSritaH |
   anahaṅkāra nirmoha nirālamba namo 'stu te || Pk_3.4 ||	anahaFkAra nirmoha nirAlamba namaH astu te || Pk_3.4 ||
   sadā samāhitaścāsi gacchaṃstiṣṭhan svapaṃstathā |	sadA samAhitaH-ca-asi gacCan=-tizWan svapan=-taTA |
   īrṣyāpatheṣu sarveṣu nirālamba namo 'stu te || Pk_3.5 ||	IrzyA-paTezu sarvezu nirAlamba namaH astu te || Pk_3.5 ||
   vikurvasi mahāṛddhyā māyopamasamādhinā |	vikurvasi mahARdDyA mAyA-upama-samADinA |
   nirnānātvaṃ samāpanna nirālamba namostu te || Pk_3.6 ||	nirnAnAtvam samApan-na nirAlamba namoH-tu te || Pk_3.6 ||
   evaṃ vajraguraṃ sadbhūtaguṇena saṃstutya śravaṇārtham adhyeṣayed anayā	evam vajra-guram sat-BUta-guNena saMstutya SravaNa-arTam aDyezayet anayA
   gāthayā-	gATayA-
   sarvajña jñānasandoha bhavacakraviśodhaka |	sarvajQa jQAna-sanda-uha Bava-cakra-viSoDaka |
   adya vyākhyānaratnena prasādaṃ kuru me vibho || Pk_3.7 ||	adya vyAKyAna-ratnena prasAdam kuru me viBo || Pk_3.7 ||
   tvatpādapaṅkajaṃ muktvā nāstyanyaccharaṇaṃ vibho |	tvad-pAda-paFkajam muktvA na-asti-anyat-SaraNam viBo |
   tasmāt prasīda buddhāgra jagadvīra mahāmune || Pk_3.8 ||	tasmAt prasIda budDa-agra jagat-vIra mahA-mune || Pk_3.8 ||
   evaṃ śrutvā tu tad vākyam adhyeṣaṇaviśāradam |	evam SrutvA tu tat vAkyam aDyezaNa-viSAradam |
   śiṣyakāruṇyamutpādya svādhiṣṭhānamathārabhet || Pk_3.9 ||	Sizya-kAruNyam-utpAdya svADizWAnam-aTa-AraBet || Pk_3.9 ||
   svādhiṣṭhānakramo nāma saṃvṛteḥ satyadarśanam |	svADizWAna-kramaH nAma saMvRteH satya-darSanam |
   gurupādaprasādena labhyate tacca nānyathā || Pk_3.10 ||	guru-pAda-prasAdena laByate tat-ca na-anyaTA || Pk_3.10 ||
   svādhiṣṭhānakramo yena sādhakena na labhyate |	sva-aDizWAna-kramaH yena sADakena na laByate |
   sūtrāntatantrakalpeṣu vṛthā tasya pariśramaḥ || Pk_3.11 ||	sUtrAnta-tantra-kalpezu vRTA tasya pariSramaH || Pk_3.11 ||
   svādhiṣṭhānakramaṃ labdhvā sarvabuddhāmayaḥ prabhuḥ |	sva-aDizWAna-kramam labDvA sarva-budDa-AmayaH praBuH |
   janmanīhaiva buddhatvaṃ niḥsandehaṃ prapadyate || Pk_3.12 ||	janmani-iha-eva budDa-tvam niHsandeham prapadyate || Pk_3.12 ||
   svādhiṣṭhānasamādhiśca prabhāsvarapadaṃ tathā |	svADizWAna-samADiH-ca praBAsvara-padam taTA |
   satyadvayamiti khyātaṃ phalahetuviśeṣataḥ || Pk_3.13 ||	satya-dvayam-iti KyAtam Pala-hetu-viSezataH || Pk_3.13 ||
   svādhiṣṭhānānupūrveṇa prāpyate hi prabhāsvaram |	sva-aDizWAna-AnupUrveNa prApyate hi praBAsvaram |
   tasmād vajraguruḥ pūrvaṃ svādhiṣṭhānaṃ pradarśayet || Pk_3.14 ||	tasmAt vajraguruH pUrvam svADizWAnam pradarSayet || Pk_3.14 ||
   asvatantraṃ jagat sarvaṃ svatantraṃ naiva jāyate |	asvatantram jagat sarvam svatantram na-eva jAyate |
   hetuḥ prabhāsvaraṃ tasya sarvaśūnyaṃ prabhāsvaram || Pk_3.15 ||	hetuH praBAsvaram tasya sarva-SUnyam praBAsvaram || Pk_3.15 ||
   yena cittena bālāśca saṃsāre bandhanaṃ gatāḥ |	yena cittena bAlAH-ca saMsAre banDanam gatAH |
   yoginastena cittena sugatānāṃ gatiṃ gatāḥ || Pk_3.16 ||	yoginaH-tena cittena sugatAnAm gatim gatAH || Pk_3.16 ||
   na cātrotpadyate kaścin maraṇaṃ nāpi kasyacit |	na ca-atra-utpadyate kaScid maraNam na-api kasyacid |
   saṃsāra eva jñātavyaścittarūpākṛtiṣṭhitaḥ || Pk_3.17 ||	saMsAraH eva jQAtavyaH-citta-rUpa-akRtizWitaH || Pk_3.17 ||
   vāyuyogād vinā cittasvarūpaṃ naiva gṛhyate |	vAyu-yogAt vinA citta-svarUpam na-eva gRhyate |
   cittāt prakṛtihetutvāt karmajanmasamudbhavaḥ || Pk_3.18 ||	cittAt prakRti-hetu-tvAt karma-janma-samudBavaH || Pk_3.18 ||
   tadeva vāyusaṃyuktaṃ vijñānatritayaṃ punaḥ |	tat-eva vAyu-saMyuktam vijQAna-tritayam punar |
   jāyate yogināṃ mūrttirmāyādehastaducyate || Pk_3.19 ||	jAyate yoginAm mUrttiH-mAyA-dehaH-tat-ucyate || Pk_3.19 ||
   tasmādeva jagat sarvaṃ māyopama ihocyate |	tasmAt-eva jagat sarvam mAyA-upamaH iha-ucyate |
   māyopamasamādhiṣṭhaḥ sarvaṃ paśyati tādṛśam || Pk_3.20 ||	mAyA-upama-samADizWaH sarvam paSyati tAdRSam || Pk_3.20 ||
   rūpaṃ ca vedanā caiva saṃjñā saṃskāra eva ca |	rUpam ca vedanA ca-eva saMjQA saMskAraH eva ca |
   vijñānaṃ pañcamaṃ caiva catvāro dhātavastathā || Pk_3.21 ||	vijQAnam paQcamam ca-eva catvAraH DAtavaH-taTA || Pk_3.21 ||
   akṣāṇi viṣayāścaiva jñānapañcakameva ca |	akzANi vizayAH-ca-eva jQAna-paQcakam-eva ca |
   adhyātmabāhyato bhinnaṃ sarvaṃ māyaiva nānyathā || Pk_3.22 ||	aDyAtma-bAhyatas Binnam sarvam mAyA-eva na-anyaTA || Pk_3.22 ||
   darpaṇapratibimbena māyādehaṃ ca lakṣayet |	darpaNa-pratibimbena mAyA-deham ca lakzayet |
   varṇān indrāyudheneva vyāpitvamudakendunā || Pk_3.23 ||	varNAn indrAyuDena-iva vyApi-tvam-udaka-indunA || Pk_3.23 ||
   darpaṇe vimale vyaktaṃ dṛśyate pratibimbavat |	darpaNe vimale vyaktam dRSyate pratibimba-vat |
   bhāvābhāvāvinirmukto vajrasattvaḥ sucitritaḥ || Pk_3.24 ||	BAva-aBAva-avinirmuktaH vajra-sattvaH su-citritaH || Pk_3.24 ||
   sarvākāravaropeto asecanakavigrahaḥ |	sarva-AkAra-vara-upetaH asecanaka-vigrahaH |
   darśayet taṃ suśiṣyāya svādhiṣṭhānaṃ taducyate || Pk_3.25 ||	darSayet tam su-SizyAya svADizWAnam tat-ucyate || Pk_3.25 ||
   iyameva hi saṃlakṣyā māyā nirdoṣalakṣaṇā |	iyam-eva hi saMlakzyAH mAyA nirdoza-lakzaNA |
   māyaiva saṃvṛteḥ satyaṃ kāyaḥ sāmbhogikaśca saḥ || Pk_3.26 ||	mAyA-eva saMvRteH satyam kAyaH sAmBogikaH-ca saH || Pk_3.26 ||
   saiva gandharvasattvaḥ syād vajrakāyaḥ sa eva hi |	sA-eva ganDarva-sattvaH syAt vajra-kAyaH saH eva hi |
   vajrasattvaḥ svayaṃ tasmāt svasya pūjāṃ pravartayet || Pk_3.27 ||	vajra-sattvaH svayam tasmAt svasya pUjAm pravartayet || Pk_3.27 ||
   ātmā vai sarvabuddhatvaṃ sarvasauritvameva ca |	AtmA vE sarva-budDa-tvam sarva-sOri-tvam-eva ca |
   tasmāt sarvaprayatnena hyātmānaṃ pūjayet sadā || Pk_3.28 ||	tasmAt sarva-prayatnena hi-AtmAnam pUjayet sadA || Pk_3.28 ||
   mantramudrāprayogaṃ ca maṇḍalādivikalpanam |	mantra-mudrA-prayogam ca maNxala-Adi-vikalpanam |
   balihomakriryāṃ sarvāṃ kuryān māyopamāṃ sadā || Pk_3.29 ||	bali-homa-kriryAm sarvAm kuryAt mAyA-upamAm sadA || Pk_3.29 ||
   śāntikaṃ pauṣṭikaṃ cāpi tathā vaśyābhicārikam |	SAntikam pOzwikam ca-api taTA vaSya-ABicArikam |
   ākarṣaṇādi yat sarvaṃ kuryād indrāyudhopamam || Pk_3.30 ||	AkarzaNa-Adi yat sarvam kuryAt indrAyuDa-upamam || Pk_3.30 ||
   śṛṅgārādyupabhogaṃ ca gītavādyādisevanam |	SRFgAra-Adi-upaBogam ca gIta-vAdya-Adi-sevanam |
   kalāsu ca pravṛttiṃ ca kuryād udakacandravat || Pk_3.31 ||	kalAsu ca pravRttim ca kuryAt udaka-candra-vat || Pk_3.31 ||
   rūpe śabde tathā gandhe rase spraṣṭavya eva ca |	rUpe Sabde taTA ganDe rase sprazwavyaH eva ca |
   cakṣurādipravṛttiṃ ca māyāvad upalakṣayet || Pk_3.32 ||	cakzuH-Adi-pravRttim ca mAyA-vat upalakzayet || Pk_3.32 ||
   bahunātra kimuktena vajrayāne tu tattvataḥ |	bahunA-atra kim-uktena vajrayAne tu tattvataH |
   yad yad ālambayed yogī tad tad māyaiva kalpayet || Pk_3.33 ||	yat yat Alambayet yogI tat tat mAyA-eva kalpayet || Pk_3.33 ||
   darpaṇe pratibimbaṃ ca svapnaṃ māyāṃ ca budbudam |	darpaNe pratibimbam ca svapnam mAyAm ca budbudam |
   indrajālaṃ ca sādṛśyaṃ yaḥ paśyed sa prabhuḥ smṛtaḥ || Pk_3.34 ||	indrajAlam ca sAdRSyam yaH paSyet sa praBuH smRtaH || Pk_3.34 ||
   dṛśyate spṛśyate caiva yathā māyā jagat sadā |	dRSyate spRSyate ca-eva yaTA mAyA jagat sadA |
   na copalambhaḥ saṃvṛtyā māyāvat parikīrtitaḥ || iti || Pk_3.35 ||	na ca-upalamBaH saMvRtyA mAyA-vat parikIrtitaH || iti || Pk_3.35 ||
   yad yad indriyamārgatvaṃ māyā tattat svabhāvataḥ |	yat yat indriya-mArga-tvam mAyA tat-tat svaBAvataH |
   asamāhitayogena sarvaṃ buddhamayaṃ vahet || Pk_3.36 ||	asamAhita-yogena sarvam budDa-mayam vahet || Pk_3.36 ||
   sarvatra sarvataḥ sarvaṃ sarvathā sarvadā svayam |	sarvatra sarvatas sarvam sarvaTA sarvadA svayam |
   sarvabuddhamayaṃ siddhaṃ svamātmānaṃ sa paśyati || Pk_3.37 ||	sarva-budDa-mayam sidDam svam-AtmAnam sa paSyati || Pk_3.37 ||
   gacchaṃstiṣṭhan mahāsattvaḥ sarvasaukhamayaḥ prabhuḥ |	gacCan=-tizWan mahAsattvaH sarva-sOKa-mayaH praBuH |
   vihārāhārapānādīnākāśāllabhate kṣaṇāt || Pk_3.38 ||	vihAra-AhAra-pAna-AdIn-AkASAt-laBate kzaNAt || Pk_3.38 ||
   bhaveyurbhavacchettāraḥ śāstāraḥ pravare jane |	BaveyuH-Bavat-CettAraH SAstAraH pravare jane |
   pūjyante sasuraiḥ sarvaiḥ praṇipatya muhurmuhuḥ || Pk_3.39 ||	pUjyante sa-surEH sarvEH praNipatya muhur-muhur || Pk_3.39 ||
   yathā śāstari sambaddhe lokayātrāhitaiṣiṇi |	yaTA SAstari sambadDe lokayAtrA-hita-eziNi |
   evameva mahāyogī viśvajñānārthasaṅgrahād || Pk_3.40 ||	evam-eva mahA-yogI viSva-jQAna-arTa-saFgrahAt || Pk_3.40 ||
   nāsti kiñcid asādhyaṃ vai vajrasattvena lakṣitam |	na-asti kiQcid asADyam vE vajra-sattvena lakzitam |
   svayaṃ pratyusidhyanti sarvamudrā mahāsukhāḥ || Pk_3.41 ||	svayam pratyusiDyanti sarva-mudrAH mahA-suKAH || Pk_3.41 ||
   kleśāḥ karmapathā dehaḥ kartāraśca phalaṃ ca vai |	kleSAH karma-paTAH dehaH kartAraH-ca Palam ca vE |
   marīcisvapnasaṅkāśā gandharvanagaropamāḥ || Pk_3.42 ||	marIci-svapna-saFkASAH ganDarvanagara-upamAH || Pk_3.42 ||
   imaṃ samādhimajñātvā saṃvṛtāvupalambhataḥ |	imam samADim-ajQAtvA saMvRtO=-upalamBataH |
   jāyante vividhā rogāsteṣāṃ māyā bhiṣagjitam || Pk_3.43 ||	jAyante viviDAH rogAH-tezAm mAyA Bizagjitam || Pk_3.43 ||
   svādhiṣṭhānopadeśastu yena nāsādyate guroḥ |	svADizWAna-upadeSaH-tu yena na-AsAdyate guroH |
   śāśvatocchedamālambya sa vaivartī bhavet punaḥ || Pk_3.44 ||	SASvata-ucCedam-Alambya sa vEvartI Bavet punar || Pk_3.44 ||
   sarvapūjāṃ parityajya gurupūjāṃ samārabhet |	sarva-pUjAm parityajya guru-pUjAm samAraBet |
   tena tuṣṭena tallabhyaṃ sarvajñajñānamuttamam || Pk_3.45 ||	tena tuzwena tat-laByam sarvajQa-jQAnam-uttamam || Pk_3.45 ||
   kiṃ tena na kṛtaṃ puṇyaṃ kiṃ vā nopāsitaṃ tapaḥ |	kim tena na kRtam puNyam kim vA na-upAsitam tapaH |
   anuttarakṛdācāryavajrasattvaprapūjanāt || Pk_3.46 ||	anuttara-kRt-AcArya-vajra-sattva-prapUjanAt || Pk_3.46 ||
   yad yadiṣṭataraṃ kiñcid viśiṣṭatarameva ca |	yat yat-izwataram kiQcid viSizwataram-eva ca |
   tat taddhi gurave deyaṃ tadevākṣayamicchatā || Pk_3.47 ||	tat tat-hi gurave deyam tat-eva-akzayam-icCatA || Pk_3.47 ||
   ācāryo harate pāpam ācāryo harate bhayam |	AcAryaH harate pApam AcAryaH harate Bayam |
   ācāryastārayet pāraṃ duḥkhārṇavamahābhayāt || Pk_3.48 ||	AcAryaH-tArayet pAram duHKa-arNava-mahA-BayAt || Pk_3.48 ||
   yo 'haṅkāra[ma]lāliptaḥ sadbhūtakramadharṣakaḥ |	yaH ahaFkAra[m-a]la-AliptaH sat-BUta-krama-DarzakaH |
   sāvajñastattvadharmeṣu tasya tattvaṃ na darśayet || Pk_3.49 ||	sa-avajQaH-tattva-Darmezu tasya tattvam na darSayet || Pk_3.49 ||
   satyavāggurubhaktaśca viviktaścaikasandhiokaḥ |	satya-vAc-guru-BaktaH-ca viviktaH-ca-ekasanDiokaH |
   samayācārarakṣī ca kramaṃ tasya pradarśayet || Pk_3.50 ||	samaya-AcAra-rakzI ca kramam tasya pradarSayet || Pk_3.50 ||
   || svādhiṣṭhānakramastṛtīyaḥ samāptaḥ ||	|| sva-aDizWAna-kramaH-tRtIyaH samAptaH ||
   kṛtiriyamācāryanāgārjunapādānām | granthapramāṇamasya ṣaṭpañcāśat |	kRtiH-iyam-AcArya-nAgArjuna-pAdAnAm | granTa-pramANam-asya zawpaQcASat |
   abhisambodhikramaḥ caturthaḥ	aBisamboDi-kramaH caturTaH
   namaḥ śrīvajrasattvāya	namaH SrI-vajra-sattvAya
   vajrasattvaṃ namaskṛtya sarvaśūnyopadeśakam |	vajra-sattvam namaskRtya sarva-SUnya-upadeSakam |
   caturtho hyābhisambodhikramo 'yaṃ vakṣyate mayā || Pk_4.1 ||	caturTaH hi-ABisamboDi-kramaH ayam vakzyate mayA || Pk_4.1 ||
   asau svayambhūrbhagavān eka evādhidaivataḥ |	asO svayamBUH-BagavAn ekaH eva-aDidEvataH |
   upadeśapradānāt tu vajrācāryo 'dhikastataḥ || Pk_4.2 ||	upadeSa-pradAnAt tu vajra-AcAryaH aDikaH-tatas || Pk_4.2 ||
   tatsamārādhanaṃ kṛtvā varṣaṃ māsamathāpi vā |	tad-samArADanam kRtvA varzam mAsam-aTa-api vA |
   tasmai tuṣṭāya gurave pūjāṃ kuryāt tu śaktitaḥ || Pk_4.3 ||	tasmE tuzwAya gurave pUjAm kuryAt tu Saktitas || Pk_4.3 ||
   yathāsvabhāvato mudrāṃ nivedyāsmai suśikṣitām |	yaTA-svaBAvataH mudrAm nivedya-asmE su-SikzitAm |
   gaṇamaṇḍalamadhye tu kuryāt pūjāṃ yathāvidhi || Pk_4.4 ||	gaNa-maNxala-maDye tu kuryAt pUjAm yaTAviDi || Pk_4.4 ||
   tatastuṣṭo mahāyogī pañcakāmopabhogataḥ |	tatas-tuzwaH mahA-yogI paQca-kAma-upaBogataH |
   ālokasyodayaṃ kuryāt samāpattividhānataḥ || Pk_4.5 ||	Alokasya-udayam kuryAt samApatti-viDAnataH || Pk_4.5 ||
   kalaśādau susaṃsthāpya bodhicittaṃ prayatnataḥ |	kalaSa-AdO su-saMsTApya boDi-cittam prayatnataH |
   ardharātre cābhisiñcet suśiṣyaṃ kṛpayā guruḥ || Pk_4.6 ||	arDarAtre ca-aBisiQcet su-Sizyam kRpayA guruH || Pk_4.6 ||
   abhiṣekaṃ tu samprāpya pratyūṣamaye punaḥ |	aBizekam tu samprApya pratyUza-maye punar |
   sampūjyārādhayet stotrairguruṃ śiṣyaṃ kṛtāñjaliḥ || Pk_4.7 ||	sampUjya-ArADayet stotrEH-gurum Sizyam kRtAQjaliH || Pk_4.7 ||
   traidhātukavinirmukta ākāśasamatāṃ gataḥ |	trEDAtuka-vinirmuktaH AkASa-sama-tAm gataH |
   nopariṣyasi kāmeṣu nirālamba namo 'stu te || Pk_4.8 ||	na-uparizyasi kAmezu nirAlamba namaH astu te || Pk_4.8 ||
   aniḥśrito 'si skandheṣu dhātuṣvāyataneṣu ca |	aniHSritaH asi skanDezu DAtuzu-Ayatanezu ca |
   viparyāsavinirmukta nirālamba namo 'stu te || Pk_4.9 ||	viparyAsa-vinirmukta nirAlamba namaH astu te || Pk_4.9 ||
   avikalpitasaṅkalpa apratiṣṭhitamānasa |	avikalpita-saFkalpa apratizWita-mAnasa |
   acintyamanasikāra nirālamba namo 'stu te || Pk_4.10 ||	acintya-manasikAra nirAlamba namaH astu te || Pk_4.10 ||
   anālayaṃ yathākāśaṃ niṣprapañcaṃ nirañcanam |	anAlayam yaTA-AkASam nizprapaQcam niraQcanam |
   ākāśasamacitto 'si nirālamba namo 'stu te || Pk_4.11 ||	AkASa-sama-cittaH asi nirAlamba namaH astu te || Pk_4.11 ||
   draṣṭukāmo 'bhisambodhiṃ sarvaśūnyasvabhāvikām |	drazwu-kAmaH aBisamboDim sarva-SUnya-sva-BAvikAm |
   stutvā kṛtāñjaliḥ śiṣyo guraṃ sañcodayet punaḥ || Pk_4.12 ||	stutvA kRtAQjaliH SizyaH guram saQcodayet punar || Pk_4.12 ||
   prayaccha me mahānātha abhisambodhidarśanam |	prayacCa me mahAnATa aBisamboDi-darSanam |
   karmajanmavinirmuktam ābhāsatrayavarjitam || Pk_4.13 ||	karma-janma-vinirmuktam ABAsa-traya-varjitam || Pk_4.13 ||
   prayaccha me mahācārya vajrajñānamanuttaram |	prayacCa me mahA-AcArya vajra-jQAnam-anuttaram |
   sarvabuddhamahājñānaṃ sarvatāthāgatālayam || Pk_4.14 ||	sarva-budDa-mahA-jQAnam sarva-tATAgata-Alayam || Pk_4.14 ||
   prayaccha me mahāvajra kāyavākcittaśodhanam |	prayacCa me mahA-vajra kAya-vAc-citta-SoDanam |
   anādinidhanaṃ śāntaṃ sarvakleśaviśodhanam || Pk_4.15 ||	anAdi-niDanam SAntam sarva-kleSa-viSoDanam || Pk_4.15 ||
   evamārādhito yogī sadbhūtaguṇakīrtanaiḥ |	evam-ArADitaH yogI sat-BUta-guNa-kIrtanEH |
   śiṣye kāruṇyamutpādya kramamevamathārabhet || Pk_4.16 ||	Sizye kAruNyam-utpAdya kramam-evam-aTa-AraBet || Pk_4.16 ||
   āloko rātribhāgaḥ sphuṭaravikiraṇaḥ syād divālokabhāsaḥ |	AlokaH rAtri-BAgaH sPuwaravikiraNaH syAt divAloka-BAsaH |
   sandhyālokopalabdhaḥ prakṛtibhirasakṛd yujyate svābhiretat |	sanDyA-loka-upalabDaH prakRtiBiH-asakRt yujyate svABiH-etat |
   no rātrirnāpi sandhyā na ca bhavati divā yaḥ prakṛtyā vimuktaḥ	naH rAtriH-na-api sanDyA na ca Bavati divA yaH prakRtyA vimuktaH
   sa syād bodhikṣaṇo 'yaṃ varagurukathito yogināmeva gamyaḥ || Pk_4.17 ||	sa syAt boDikzaNaH ayam vara-guru-kaTitaH yoginAm-eva gamyaH || Pk_4.17 ||
   naiśaṃ dhvāntaṃ vinaṣṭaṃ vyapagatamakhilaṃ sāndhyatejastu yasmin	nESam DvAntam vinazwam vyapagatam-aKilam sa-anDya-tejaH-tu yasmin
   bhāsvānnodeti yāvat kṣaṇa iha vimale darśayed bhūtakoṭim |	BAsvAn-na-udeti yAvat kzaNaH iha vimale darSayet BUtakowim |
   śiṣyāyācāryamukhyo vinihatatimiro bāhyasambodhidṛṣṭyā |	SizyAya-AcArya-muKyaH vinihata-timiraH bAhya-samboDi-dRzwyA |
   prāpnotyadhyātmasaukhyaṃ vyapagatakaluṣaṃ buddhabodhiṃ kṣaṇena || Pk_4.18	prApnoti-aDyAtma-sOKyam vyapagata-kaluzam budDa-boDim kzaNena || Pk_4.18
   anādibhūtaṃ tvathavādibhūtaṃ amadhyabhūtaṃ tvatha madhyabhūtam |	anAdi-BUtam tu-aTavA-Adi-BUtam amaDya-BUtam tu-aTa maDya-BUtam |
   anantabhūtaṃ tvathavāntabhūtaṃ tat sarvaśūnyaṃ pravadanti santaḥ ||	ananta-BUtam tu-aTavA-anta-BUtam tat sarva-SUnyam pravadanti santaH ||
   Pk_4.19 ||	Pk_4.19 ||
   gamanāgamanaṃ ca yatra nāsti kṣayavṛddhī na cāpyabhāvabhāvau |	gamana-Agamanam ca yatra na-asti kzaya-vRdDI na ca-api-aBAva-BAvO |
   ativismayarūpam arūpyavismayaṃ sthitimannāpi na cāpi gatvaram || Pk_4.20	ati-vismaya-rUpam arUpya-vismayam sTitimat-na-api na ca-api gatvaram || Pk_4.20
   yadasti-nāstivyavahāramuktaṃ na puṇyarūpaṃ na ca pāparūpam |	yat-asti-nAsti-vyavahAram-uktam na puNya-rUpam na ca pApa-rUpam |
   na puṇyapāpātmakamagrabhūtaṃ tat sarvaśūnyaṃ pravadanti buddhāḥ || Pk_4.21	na puNya-pApa-Atmakam-agra-BUtam tat sarva-SUnyam pravadanti budDAH || Pk_4.21
   evaṃvidhaṃ tattvamavāpya yogī carācarātmā jagadekabandhuḥ |	evaMviDam tattvam-avApya yogI carAcara-AtmA jagat-eka-banDuH |
   yaḥ paryaṭejjñānamayo nṛsiṃhaḥ kṛtsnaṃ jagat so 'vyayakāyalābhī || Pk_4.22	yaH paryawet-jQAna-mayaH nRsiMhaH kRtsnam jagat saH avyayakAya-lABI || Pk_4.22
   sa jihyakāyo 'pyavijihyakāyaḥ so 'nāsano 'pyāsanabandhadhīraḥ |	sa jihya-kAyaH api-avijihya-kAyaH saH anAsanaH api-Asana-banDa-DIraH |
   samīlitākṣo 'pi vibuddhanetraḥ samāhitaḥ sanna samāhitau'sau || Pk_4.23 ||	sa-mIlita-akzaH api vibudDa-netraH samAhitaH sat-na samAhitO-asO || Pk_4.23 ||
   sa vāgyuto vāgasamanvito 'pi bhogānvitaḥ so 'pi virupavṛttiḥ |	sa vAc-yutaH vAc-a-samanvitaH api Boga-anvitaH saH api virupavRttiH |
   sa lokanāthaḥ parabhṛtyabhūto yastattvavit kṣīṇasamastadoṣaḥ || Pk_4.24 ||	sa lokanATaH para-BRtya-BUtaH yaH-tattva-vid kzINa-samasta-dozaH || Pk_4.24 ||
   prāptopadeśakaḥ śiṣyo dvidhā yogamathābhyaset |	prApta-upadeSakaH SizyaH dviDA yogam-aTa-aByaset |
   piṇḍagrāhakrameṇaiva tathā caivānubhedataḥ || Pk_4.25 ||	piNxa-grAha-krameNa-eva taTA ca-eva-anuBedataH || Pk_4.25 ||
   śirasaḥ pādato cāpi yāvaddhṛdayamāgataḥ |	SirasaH pAdataH ca-api yAvat-hRdayam-AgataH |
   bhūtakoṭiṃ viśed yogī piṇḍagrāha iti smṛtaḥ || Pk_4.26 ||	BUtakowim viSet yogI piNxa-grAhaH iti smRtaH || Pk_4.26 ||
   sthāvaraṃ jaṅgamaṃ caiva pūrvaṃ kṛtvā prabhāsvaram |	sTAvaram jaFgamam ca-eva pUrvam kRtvA praBAsvaram |
   paścāt kuryāt tathātmānam anubhedakramo hyayam || Pk_4.27 ||	paScAt kuryAt taTA-AtmAnam anuBeda-kramaH hi-ayam || Pk_4.27 ||
   śvāsavāto yathādarśe layaṃ gacchati sarvataḥ |	SvAsa-vAtaH yaTA-AdarSe layam gacCati sarvatas |
   bhūtakoṭiṃ tathā yogī praviśocca muhurmuhuḥ || Pk_4.28 ||	BUtakowim taTA yogI praviSa-ucca muhur-muhur || Pk_4.28 ||
   gacchaṃstiṣṭhan svapan bhuñjannunmiṣan nimiṣan hasan |	gacCan=-tizWan svapan BuQjan=-unmizan nimizan hasan |
   anena dhyānayogena sadā tiṣṭhati tattvavit || Pk_4.29 ||	anena DyAna-yogena sadA tizWati tattva-vid || Pk_4.29 ||
   sattvārtho 'pi kadācit syāt tattatsārūpyaraśminā |	sattva-arTaH api kadAcid syAt tad-tad-sArUpya-raSminA |
   vāyuvijñānayuktena svādhiṣṭhānakrameṇa tu || Pk_4.30 ||	vAyu-vijQAna-yuktena sva-aDizWAna-krameNa tu || Pk_4.30 ||
   yathā nadījalāt svacchānmīnamuttiṣṭhate drutam |	yaTA nadI-jalAt svacCAn-mInam-uttizWate drutam |
   sarvaśūnyāt tathā svacchānmāyājālamudīryate || Pk_4.31 ||	sarva-SUnyAt taTA svacCAn-mAyA-jAlam-udIryate || Pk_4.31 ||
   pañcabuddhakulāyattā mahāmudrādikalpanā |	paQca-budDa-kula-AyattA mahAmudrA-Adi-kalpanA |
   pañcaraśmisamucchreyā gagane śakracāpavat || Pk_4.32 ||	paQca-raSmi-samucCreyAH gagane Sakra-cApa-vat || Pk_4.32 ||
   mudrābandhaṃ prakuryād vā mantraṃ cāpi japed yadi |	mudrA-banDam prakuryAt vA mantram ca-api japet yadi |
   sarvamanyat prakuryācca sarvaśūnyapade sthitaḥ || Pk_4.33 ||	sarvam-anyat prakuryAt-ca sarva-SUnya-pade sTitaH || Pk_4.33 ||
   sarvabhuk sarvapaścaiva sarvavandī ca sarvagaḥ |	sarva-Buj sarvapaH-ca-eva sarva-vandI ca sarva-gaH |
   sarvakṛt sarvaliṅgī ca sarvaśūnyena sidhyati || Pk_4.34 ||	sarva-kRt sarva-liFgI ca sarva-SUnyena siDyati || Pk_4.34 ||
   prāptopadeśaḥ subhagaḥ suśiṣyo baudhau hi cittaṃ paramārthanāma |	prApta-upadeSaH suBagaH su-SizyaH bODO hi cittam paramArTa-nAma |
   guroḥ sakāśāt punarādadīta kṛtāñjalirdhāritapuṣpahastaḥ || Pk_4.35 ||	guroH sakASAt punar-AdadIta kRtAQjaliH-DArita-puzpa-hastaH || Pk_4.35 ||
   sarvabhāvavigataṃ skandhadhātvāyatanagrāhyagrāhakavarjitaṃ	sarva-BAva-vigatam skanDa-DAtu-Ayatana-grAhya-grAhaka-varjitam
   dharmanairātmyasamatayā svacittam ādyanutpannaṃ śūnyatāsvabhāvamiti |	Darma-nErAtmya-sama-tayA sva-cittam Adi-anutpannam SUnyatA-svaBAvam-iti |
