   akramaḥ kṛṣṇa pūjyante JCand_2.27c	akramaH kRzNa pUjyante JCand-_2.27c
   nūtanārthasamarthakaḥ JCand_5.38b	nUtana-arTa-samarTakaH JCand-_5.38b
   netrāṇy āsann aharmukhe JCand_5.17d	netrANi Asan ahar-muKe JCand-_5.17d
   netrānandī tuṣārāṃśur JCand_2.21c	netra-AnandI tuzArAMSuH JCand-_2.21c
   netre karṇāntaviśrānte JCand_5.87c	netre karNa-anta-viSrAnte JCand-_5.87c
   nendur nārko 'yam aurvāgniḥ JCand_3.4c	na-induH na-arkaH ayam Orva-agniH JCand-_3.4c
   neyārthaṃ lakṣaṇātyanta- JCand_2.11a	neya-arTam lakzaNa-atyanta JCand-_2.11a
   -naiva vīrā nipātitāḥ JCand_3.5d	-na-eva vIrAH nipAtitAH JCand-_3.5d
   naur artho vāridher yathā JCand_8.5b	nOH arTaH vAriDeH yaTA JCand-_8.5b
   -ntarasaṃkramitādikam JCand_8.3b	-ntara-saMkramita-Adikam JCand-_8.3b
   nyasteyaṃ paśya kandarpa- JCand_2.35a	nyasteyam paSya kandarpa JCand-_2.35a
   nyūnaṃ tvatkhaḍgasaṃbhūta- JCand_2.18a	nyUnam tvad-Kaxga-saMBUta JCand-_2.18a
   nyūnābhyadhikayor mithaḥ JCand_5.93b	nyUna-aByaDikayoH miTas JCand-_5.93b
   pakṣacchedapurandaraḥ JCand_5.19d	pakzacCeda-purandaraH JCand-_5.19d
   paṅkajaṃ tena siddhayati JCand_1.13b	paFkajam tena sidDayati JCand-_1.13b
   paṅkajaṃ paśyatas tasyā JCand_5.31c	paFkajam paSyataH tasyAH JCand-_5.31c
   paṅkajaṃ vā sudhāṃśur vety JCand_5.32c	paFkajam vA suDAMSuH vA-iti JCand-_5.32c
   paṭo 'yaṃ dagdha ityādau JCand_9.7c	pawaH ayam dagDaH ityAdO JCand-_9.7c
   patatprakarṣaṃ hīnānu- JCand_2.20a	patat-prakarzam hIna-anu JCand-_2.20a
   padam āhus tadeva tat JCand_2.5b	padam AhuH tat-eva tat JCand-_2.5b
   padam ekam api kvacit JCand_1.14d	padam ekam api kvacid JCand-_1.14d
   padāḍhye lalitopamā JCand_5.15b	pada-AXye lalitA-upamA JCand-_5.15b
   padārthāntaravarṇanam JCand_5.37b	padArTa-antara-varNanam JCand-_5.37b
   pade tadaṃśe vākyāṃśe JCand_2.39a	pade tad-aMSe vAkya-aMSe JCand-_2.39a
   padaikadeśe racanā- JCand_7.9c	pada-eka-deSe racanA JCand-_7.9c
   padmarāgāruṇaṃ nāsā- JCand_5.101c	padmarAga-aruNam nAsA JCand-_5.101c
   padmaṃ muktvā gatā candraṃ JCand_5.92c	padmam muktvA gatA candram JCand-_5.92c
   padmākarapraviṣṭānāṃ JCand_5.34c	padma-Akara-pravizwAnAm JCand-_5.34c
   padmāni ca mukhāni ca JCand_5.35d	padmAni ca muKAni ca JCand-_5.35d
   padmānīva vinidrāṇi JCand_5.17c	padmAni-iva vinidrANi JCand-_5.17c
   padmair vairāyate śaśī JCand_5.29d	padmEH vErAyate SaSI JCand-_5.29d
   parāgair asmi dhūsarā JCand_5.109d	parAgEH asmi DUsarA JCand-_5.109d
   pariṇāmo 'nayor yasminn JCand_5.22a	pariNAmaH anayoH yasmin JCand-_5.22a
   parityajyāsphuṭakramam JCand_7.10d	parityajya-asPuwa-kramam JCand-_7.10d
   parivṛttir vinimayo JCand_5.93a	parivRttiH vinimayaH JCand-_5.93a
   parisaṃkhyā niṣidhyaikam JCand_5.94a	parisaMKyAH niziDya-ekam JCand-_5.94a
   paruṣāyāṃ śaṣau svataḥ JCand_6.25d	paruzAyAm SazO svatas JCand-_6.25d
   paryastāpahnutir yatra JCand_5.25a	paryasta-apahnutiH yatra JCand-_5.25a
   paryāyaparivartanāt JCand_4.8b	paryAya-parivartanAt JCand-_4.8b
   paryāyaś ced anekatra JCand_5.92a	paryAyaH ced anekatra JCand-_5.92a
   paryāyeṇa dvayos tac ced JCand_5.13a	paryAyeNa dvayoH tat ced JCand-_5.13a
   paryāyoktiṃ pracakṣate JCand_5.69b	paryAyoktim pracakzate JCand-_5.69b
   paśya nīlotpaladvandvān JCand_5.46c	paSya nIlotpala-dvandvAn JCand-_5.46c
   paśya lākṣārasāsiktaṃ JCand_5.76c	paSya lAkzA-rasa-Asiktam JCand-_5.76c
   paśya saudhāgrasaṃsaktaṃ JCand_5.44c	paSya sODa-agra-saMsaktam JCand-_5.44c
   pāñcālikī ca lāṭīyā JCand_6.22a	pAQcAlikI ca lAwIyAH JCand-_6.22a
   pāṇir eṣaḥ samāgataḥ JCand_2.20d	pANiH ezaH samAgataH JCand-_2.20d
   pātaglānyādibhiḥ kramāt JCand_6.7b	pAta-glAni-AdiBiH kramAt JCand-_6.7b
   pālayiṣyati te gotram JCand_2.38c	pAlayizyati te gotram JCand-_2.38c
   pihitaṃ paravṛttānta- JCand_5.108a	pihitam para-vRttAnta JCand-_5.108a
   pīyūṣavarṣaprabhavaṃ JCand_10.5a	pIyUza-varza-praBavam JCand-_10.5a
   punaruktapratīkāśaṃ JCand_5.7a	punarukta-pratIkASam JCand-_5.7a
   punaruktaḥ sudhākaraḥ JCand_2.31d	punaruktaH suDAkaraH JCand-_2.31d
   punaruktārthasannibham JCand_5.7b	punarukta-arTa-sanniBam JCand-_5.7b
   punaḥ svaguṇasamprāptir JCand_5.102a	punar sva-guNa-samprAptiH JCand-_5.102a
   puṃsi śauryādayo yathā JCand_4.10d	puMsi SOrya-AdayaH yaTA JCand-_4.10d
   pūraṇaikaprayojanam JCand_2.6b	pUraNa-eka-prayojanam JCand-_2.6b
   pūrvārvācī ca rūḍhitaḥ JCand_9.1b	pUrvArvAcI ca rUXitaH JCand-_9.1b
   pṛthakkathitasādṛśyaṃ JCand_5.20a	pRTak-kaTita-sAdRSyam JCand-_5.20a
   paurvāparyavyatikrame JCand_5.42b	pOrvAparya-vyatikrame JCand-_5.42b
   prakṛter bhūṣaṇaṃ girām JCand_4.11d	prakRteH BUzaNam girAm JCand-_4.11d
   prajalpan matpade lagnaḥ JCand_5.27c	prajalpan mad-pade lagnaH JCand-_5.27c
   pratāpadhavaladyutiḥ JCand_2.35b	pratApa-Davala-dyutiH JCand-_2.35b
   pratikūlākṣaraṃ viduḥ JCand_2.15b	pratikUla-akzaram viduH JCand-_2.15b
   praticchandabhidābhṛtām JCand_5.119b	praticCanda-BidABRtAm JCand-_5.119b
   pratibhāti mukheṣviva JCand_5.123d	pratiBAti muKezu-iva JCand-_5.123d
   pratibhaiva śrutābhyāsa- JCand_1.6a	pratiBA-eva Sruta-aByAsa JCand-_1.6a
   prativastūpamā matā JCand_5.54b	prativastUpamA matA JCand-_5.54b
   pratiṣedhaḥ prasiddhānāṃ JCand_3.5a	pratizeDaH prasidDAnAm JCand-_3.5a
   pratiṣedho vicāraṇāt JCand_5.71b	pratizeDaH vicAraNAt JCand-_5.71b
   pratīpam upamānasya JCand_5.99a	pratIpam upamAnasya JCand-_5.99a
   pratyanīkaṃ balavataḥ JCand_5.98a	pratyanIkam balavataH JCand-_5.98a
   pradīpaṃ vardhayetyatra JCand_9.7a	pradIpam varDaya-iti-atra JCand-_9.7a
   prabandhe ceti ṣoḍhāsau JCand_7.10a	prabanDe ca-iti zoXA-asO JCand-_7.10a
   prabandhe 'pi dvādaśa syur JCand_7.11c	prabanDe api dvAdaSa syuH JCand-_7.11c
   prabhāvādivibhāvabhūḥ JCand_6.9b	praBAva-Adi-viBAvaBUH JCand-_6.9b
   prabhṛtīva mahībhujaḥ JCand_3.11d	praBRti-iva mahIBujaH JCand-_3.11d
   prabhedair yaugikas tridhā JCand_1.11b	praBedEH yOgikaH triDA JCand-_1.11b
   prabhedaiḥ sa punas tridhā JCand_1.9d	praBedEH sa punar triDA JCand-_1.9d
   pramukhas tv asphuṭakramāt JCand_7.5d	pramuKaH tu asPuwa-kramAt JCand-_7.5d
   prayānti vyavasāyinaḥ JCand_5.66d	prayAnti vyavasAyinaH JCand-_5.66d
   prayogo gamanādiṣu JCand_2.3d	prayogaH gamana-Adizu JCand-_2.3d
   prayojanam api dvidhā JCand_9.3b	prayojanam api dviDA JCand-_9.3b
   prayojanāc ca saṃbaddhaṃ JCand_9.1c	prayojanAt ca saMbadDam JCand-_9.1c
   pravāhapratimaṃ vacaḥ JCand_2.12d	pravAha-pratimam vacaH JCand-_2.12d
   praśnottaraṃ krameṇoktau JCand_5.107a	praSna-uttaram krameNa-uktO JCand-_5.107a
   praśrayādisvarūpayā JCand_6.19b	praSraya-Adi-svarUpayA JCand-_6.19b
   prasarantaṃ viśṛṅkhalam JCand_2.40b	prasarantam viSRFKalam JCand-_2.40b
   prasarād amanoharam JCand_2.11b	prasarAt amanoharam JCand-_2.11b
   prasiddhyā vidyayā vāpi JCand_2.34c	prasidDyA vidyayA vA-api JCand-_2.34c
   prastutaṃ hīnam ucyate JCand_5.60b	prastutam hInam ucyate JCand-_5.60b
   prastutāprastutānāṃ ca JCand_5.52a	prastuta-aprastutAnAm ca JCand-_5.52a
   prastute 'prastutasya cet JCand_5.61b	prastute aprastutasya ced JCand-_5.61b
   prāksiddhasvaguṇotkarṣo JCand_5.105a	prAc-sidDa-sva-guNa-utkarzaH JCand-_5.105a
   prācīnācalacūḍāgra- JCand_5.51e	prAcIna-acala-cUxa-agra JCand-_5.51e
   prāptotkaṭadhiyāṃ vṛthā JCand_6.27d	prApta-utkawa-DiyAm vRTA JCand-_6.27d
   prāyaḥ śabdaḥ pravartate JCand_10.1b	prAyas SabdaH pravartate JCand-_10.1b
   prāyeṇāmī hy alaṃkārā JCand_5.122c	prAyeNa-amI hi alaMkArAH JCand-_5.122c
   prāsāditve yathottaram JCand_2.20b	prAsAdi-tve yaTottaram JCand-_2.20b
   priye gṛhāgate prātaḥ JCand_5.108c	priye gRha-Agate prAtar JCand-_5.108c
   prauḍhāyāṃ ca kamūrdhatā JCand_6.24d	prOXAyAm ca kamUrDa-tA JCand-_6.24d
   prauḍhoktis tadaśaktasya JCand_5.47a	prOXA-uktiH tad-aSaktasya JCand-_5.47a
   barhī jahre kṛśas tṛṣam JCand_6.28b	barhI jahre kRSaH tRzam JCand-_6.28b
   bahubhirbahudhollekhād JCand_5.23a	bahuBiH-bahuDA-ulleKAt JCand-_5.23a
   binā vinayasampadam JCand_5.60d	binA vinaya-sampadam JCand-_5.60d
   bibharti vasudhāṃ bhavān JCand_5.52d	biBarti vasuDAm BavAn JCand-_5.52d
   bījamālā latāmiva JCand_1.6d	bIjamAlA latAm-iva JCand-_1.6d
   bodhitapratibodhitaḥ JCand_7.14d	boDita-pratiboDitaH JCand-_7.14d
   brahmāṇḍaṃ tvadyaśaḥpūra- JCand_2.26a	brahmANxam tvad-yaSaH-pUra JCand-_2.26a
   brūta kiṃ sevyatāṃ candra- JCand_2.33c	brUta kim sevyatAm candra JCand-_2.33c
   bhagnaprakramam ārabdha- JCand_2.27a	Bagna-prakramam ArabDa JCand-_2.27a
   bhaṅgam eti bhavaklamaḥ JCand_5.78d	BaFgam eti Bava-klamaH JCand-_5.78d
   bhaṅgaśleṣaḥ padastomasy- JCand_5.63a	BaFga-SlezaH pada-stomasy JCand-_5.63a
   bhadrāyām iti vṛttayaḥ JCand_6.26d	BadrAyAm iti vRttayaH JCand-_6.26d
   bhayasthāyī bhayānakaḥ JCand_6.10d	Baya-sTAyI BayAnakaH JCand-_6.10d
   bhavantam athavā doṣaṃ JCand_2.41c	Bavantam aTavA dozam JCand-_2.41c
   bhavec chrutikaṭur varṇaḥ JCand_2.2a	Bavet SrutikawuH varNaH JCand-_2.2a
   bhavet parikarāṅkuraḥ JCand_5.40b	Bavet parikara-aFkuraH JCand-_5.40b
   bhaved arthāntaranyaso JCand_5.67a	Bavet arTa-antaranyasaH JCand-_5.67a
   bhaved āvṛttidīpakam JCand_5.53b	Bavet AvRtti-dIpakam JCand-_5.53b
   bhaved evam ananvayaḥ JCand_5.12d	Bavet evam ananvayaH JCand-_5.12d
   bhājāṃ gumphaḥ samuccayaḥ JCand_5.96b	BAjAm gumPaH samuccayaH JCand-_5.96b
   bhāratī bhāti gambhīrā JCand_7.1c	BAratI BAti gamBIrA JCand-_7.1c
   bhāvaśāntinibandhanāḥ JCand_5.116b	BAva-SAnti-nibanDanAH JCand-_5.116b
   bhāvasya śāntir udayaḥ JCand_6.20a	BAvasya SAntiH udayaH JCand-_6.20a
   bhāvānāmudayaḥ sandhiḥ JCand_5.117a	BAvAnAm-udayaH sanDiH JCand-_5.117a
   bhāvābhāsāś ca kīrtitāḥ JCand_6.19d	BAva-ABAsAH ca kIrtitAH JCand-_6.19d
   bhāvāḥ sāhityavedibhiḥ JCand_6.14d	BAvAH sAhitya-vediBiH JCand-_6.14d
   bhāvikaṃ bhūtabhāvyartha- JCand_5.112a	BAvikam BUta-BAvi-arTa JCand-_5.112a
   bhāvair garvādibhiryutaḥ JCand_6.9d	BAvEH garva-AdiBiH-yutaH JCand-_6.9d
   bhāvair mohādibhir yukto JCand_6.10c	BAvEH moha-AdiBiH yuktaH JCand-_6.10c
   bhāsate janarañjanaḥ JCand_5.59b	BAsate jana-raQjanaH JCand-_5.59b
   bhinnā nātiśayoktitaḥ JCand_5.122d	BinnA na-atiSaya-uktitaH JCand-_5.122d
   bhinno 'bhinnatayā guṇaḥ JCand_5.90b	BinnaH aBinnatayA guNaH JCand-_5.90b
   -bhiprāyā punaruktatā JCand_5.4b	-BiprAyA punar-ukta-tA JCand_5.4b
   bhītayā mānavatyaiva JCand_4.2c	BItayA mAnavatyA-eva JCand-_4.2c
   bhūtādikālabhedena JCand_7.16a	BUta-Adi-kAla-Bedena JCand-_7.16a
   bhūyasām anukūlake JCand_5.120b	BUyasAm anukUlake JCand-_5.120b
   bhūyasām ekasambandha- JCand_5.96a	BUyasAm eka-sambanDa JCand-_5.96a
   bhṛṅgas tāmarasaṃ yathā JCand_5.16d	BRFgaH tAmarasam yaTA JCand-_5.16d
   bheda eva na lakṣyate JCand_5.34b	BedaH eva na lakzyate JCand-_5.34b
   bhedakātiśayoktiś ced JCand_5.45a	Bedaka-atiSaya-uktiH ced JCand-_5.45a
   -bhedabhinnā ca kutracit JCand_9.15b	-Beda-BinnA ca kutracid JCand-_9.15b
   bhedavac cen na lakṣyate JCand_5.33b	Beda-vat ced na lakzyate JCand-_5.33b
   bhedā dvādaśa tad yathā JCand_7.6d	BedAH dvAdaSa tat yaTA JCand-_7.6d
   bhedāḥ ṣaṭ cānayoḥ kramāt JCand_7.4d	BedAH zaw ca-anayoH kramAt JCand-_7.4d
   bhedāḥ syur ekapañcāśat JCand_7.12c	BedAH syuH ekapaQcASat JCand-_7.12c
   bhedau dvau śabdaśaktijau JCand_7.6b	BedO dvO Sabda-Sakti-jO JCand-_7.6b
   bhraśyanti ca tava dviṣaḥ JCand_5.96d	BraSyanti ca tava dvizaH JCand-_5.96d
   bhrāntāpahnutir anyasya JCand_5.26a	BrAnta-apahnutiH anyasya JCand-_5.26a
   maccitaṃ te śaśiśriyi JCand_2.10b	mad-citam te SaSi-Sriyi JCand-_2.10b
   maccitte 'sti trilocanaḥ JCand_5.38d	mad-citte asti trilocanaH JCand-_5.38d
   maṇḍapādyā yathākramam JCand_1.10d	maNxapa-AdyAH yaTAkramam JCand-_1.10d
   matam etena dūṣyate JCand_1.5b	matam etena dUzyate JCand_1.5b
   matir vyādhis tathonmādas JCand_6.17c	matiH vyADiH taTA-unmAdaH JCand-_6.17c
   madguṇās trasareṇavaḥ JCand_1.4d	mad-guNAH trasareNavaH JCand-_1.4d
   madhuraṃ madhu pīyūṣaṃ JCand_5.90c	maDuram maDu pIyUzam JCand-_5.90c
   madhurāyāṃ samākrāntā JCand_6.23a	maDurAyAm samAkrAntA JCand-_6.23a
   manuṣye bhavataḥ kvāpi hy JCand_5.120c	manuzye BavataH kvApi hi JCand-_5.120c
   manda nandī harāntike JCand_5.110d	manda nandI hara-antike JCand-_5.110d
   mayūkhastenāsau sukavijayadevena racite JCand_6.29c	mayUKaH-tena-asO su-kavi-jaya-devena racite JCand-_6.29c
   mayūkhastenāsau sukavijayadevena racite JCand_7.18c	mayUKaH-tena-asO su-kavi-jaya-devena racite JCand-_7.18c
   mayūkhastenāsau sukavijayadevena racite JCand_8.11c	mayUKaH-tena-asO su-kavi-jaya-devena racite JCand-_8.11c
   mayūkhastenāsau sukavijayadevena racite JCand_9.17c	mayUKaH-tena-asO su-kavi-jaya-devena racite JCand-_9.17c
   mayūkhas tenāsau sukavijayadevena racite JCand_10.7c	mayUKaH tena-asO su-kavi-jaya-devena racite JCand-_10.7c
   mastapiṣṭakaṭīloṣṭa- JCand_2.10c	masta-pizwa-kawI-lozwa JCand-_2.10c
   mahādevaḥ satrapramukhamakhavidyaikacaturaḥ JCand_1.16a	mahAdevaH satra-pramuKa-maKa-vidyA-eka-caturaH JCand-_1.16a
   mahādevaḥ satrapramukhamakhavidyaikacaturaḥ JCand_2.45a	mahAdevaH satra-pramuKa-maKa-vidyA-eka-caturaH JCand-_2.45a
   mahādevaḥ satrapramukhamakhavidyaikacaturaḥ JCand_3.12a	mahAdevaH satra-pramuKa-maKa-vidyA-eka-caturaH JCand-_3.12a
   mahādevaḥ satrapramukhamakhavidyaikacaturaḥ JCand_4.13a	mahAdevaH satra-pramuKa-maKa-vidyA-eka-caturaH JCand-_4.13a
   mahādevaḥ satrapramukhamakhavidyaikacaturaḥ JCand_5.125a	mahAdevaH satra-pramuKa-maKa-vidyA-eka-caturaH JCand-_5.125a
   mahādevaḥ satrapramukhamakhavidyaikacaturaḥ JCand_6.29a	mahAdevaH satra-pramuKa-maKa-vidyA-eka-caturaH JCand-_6.29a
   mahādevaḥ satrapramukhamakhavidyaikacaturaḥ JCand_7.18a	mahAdevaH satra-pramuKa-maKa-vidyA-eka-caturaH JCand-_7.18a
   mahādevaḥ satrapramukhamakhavidyaikacaturaḥ JCand_8.11a	mahAdevaH satra-pramuKa-maKa-vidyA-eka-caturaH JCand-_8.11a
   mahādevaḥ satrapramukhamakhavidyaikacaturaḥ JCand_9.17a	mahAdevaH satra-pramuKa-maKa-vidyA-eka-caturaH JCand-_9.17a
   mahādevaḥ satrapramukhamakhavidyaikacaturaḥ JCand_10.7a	mahAdevaH satra-pramuKa-maKa-vidyA-eka-caturaH JCand-_10.7a
   mahādevāṅgajanmanaḥ JCand_10.6b	mahAdeva-aFga-janmanaH JCand-_10.6b
   mātsaryahastaniṣpeṣa- JCand_6.8c	mAtsarya-hasta-nizpeza JCand-_6.8c
   mādhuryavacaso viduḥ JCand_5.8d	mADurya-vacasaH viduH JCand-_5.8d
   mādhuryaṃ punaruktasya JCand_4.6a	mADuryam punar-uktasya JCand-_4.6a
   mānacchedāya subhruvām JCand_3.10d	mAna=-CedAya suBruvAm JCand-_3.10d
   mānasaṃ mama gāhate JCand_8.6d	mAnasam mama gAhate JCand-_8.6d
   mānaṃ muñca priye kiṃcil JCand_4.9c	mAnam muQca priye kiMcid JCand-_4.9c
   māyādikavibhāvabhūḥ JCand_6.12b	mAyA-Adika-viBAvaBUH JCand-_6.12b
   mālādīpakam ucyate JCand_5.88b	mAlAdIpakam ucyate JCand-_5.88b
   mālā paraṃparā caiṣāṃ JCand_5.120a	mAlA paraMparA ca-ezAm JCand-_5.120a
   māṃ vilokya smitaṃ manāk JCand_5.36d	mAm vilokya smitam manAk JCand-_5.36d
   mithaḥ pūrvāparārthayoḥ JCand_2.30d	miTas pUrva-apara-arTayoH JCand-_2.30d
   mithaḥ pṛthagvākyapadaiḥ JCand_2.25a	miTas pRTak-vAkya-padEH JCand-_2.25a
   milan malayajālepa JCand_6.2c	milat malayaja-Alepa JCand-_6.2c
   mīlanāmīlanād dvidhā JCand_9.2b	mIlana-AmIlanAt dviDA JCand-_9.2b
   mīlitaṃ bahusādṛśyād JCand_5.33a	mIlitam bahu-sAdRSyAt JCand-_5.33a
   mukhaṃ candraśriyaṃ dhatte JCand_2.42a	muKam candra-Sriyam Datte JCand-_2.42a
   mukhaṃ nālakṣi subhruvām JCand_5.34d	muKam na-alakzi suBruvAm JCand-_5.34d
   mukhaṃ me gāhate manaḥ JCand_5.31d	muKam me gAhate manaH JCand-_5.31d
   mukhīcandrakirīṭayoḥ JCand_2.33d	muKI-candra-kirIwayoH JCand-_2.33d
   mukhendum avalokaya JCand_2.38b	muKa-indum avalokaya JCand-_2.38b
   mukhyayā svābhidheyayā JCand_10.4d	muKyayA sva-aBiDeyayA JCand-_10.4d
   mukhyārthasyāvivakṣāyāṃ JCand_9.1a	muKya-arTasya-avivakzAyAm JCand-_9.1a
   'mukhyenārthe virodhakṛt JCand_2.28b	amuKyena-arTe viroDa-kRt JCand-_2.28b
   muñca mānaṃ dinaṃ prāptaṃ JCand_5.110c	muQca mAnam dinam prAptam JCand-_5.110c
   mudhā nindanti saṃsāraṃ JCand_3.2c	muDA nindanti saMsAram JCand-_3.2c
   medhāṃ budhaḥ sudhām indur JCand_5.52c	meDAm buDaH suDAm induH JCand-_5.52c
   moghārambhaṃ stumaḥ śambhum JCand_2.22c	moGa-AramBam stumaH SamBum JCand-_2.22c
   mohādyā yatra saṃmatāḥ JCand_6.11d	moha-AdyAH yatra saMmatAH JCand-_6.11d
   mauktikaṃ cel latāṃ sūte JCand_5.48e	mOktikam ced latAm sUte JCand-_5.48e
   mauktikaṃ te 'dharaśritam JCand_5.101d	mOktikam te aDara-Sritam JCand-_5.101d
   maunam evottaraṃ dadau JCand_5.22d	mOnam eva-uttaram dadO JCand-_5.22d
   -mbaraṃ tārātaraṅgitam JCand_2.17d	-mbaram tArA-taraFgitam JCand-_2.17d
   mlāyanti yadi padmāni JCand_5.106c	mlAyanti yadi padmAni JCand-_5.106c
   yatkīrtir vibhramaśrāntā JCand_5.30c	yad-kIrtiH viBrama-SrAntAH JCand-_5.30c
   yatra syād upameyatā JCand_5.14b	yatra syAt upameya-tA JCand-_5.14b
   yatra syān na punaḥ śatror JCand_5.4c	yatra syAt na punar SatroH JCand-_5.4c
   yatrāsau vetasī pāntha JCand_5.107c	yatra-asO vetasI pAnTa JCand-_5.107c
   yatraikasyaiva jāgṛtaḥ JCand_5.12b	yatra-ekasya-eva jAgRtaH JCand-_5.12b
   yatropamānacitreṇa JCand_5.18a	yatra-upamAna-citreNa JCand-_5.18a
   yathānusāram abhyūhed JCand_2.39c	yaTA-anusAram aByUhet JCand-_2.39c
   yathāprākprāntakāraṇaiḥ JCand_5.86b	yaTA-prAc-prAnta-kAraNEH JCand_5.86b
   yathāsaṃkhyaṃ dvidhārthāś cet JCand_5.91a	yaTA-saMKyam dviDA-arTAH ced JCand-_5.91a
   yatheṣṭair aṣṭamādibhiḥ JCand_6.21b	yaTezwEH azwama-AdiBiH JCand-_6.21b
   yady anāsthā manīṣiṇām JCand_5.124b	yadi anAsTA manIziNAm JCand-_5.124b
   yady anekārthasaṃśrayaḥ JCand_5.64b	yadi aneka-arTa-saMSrayaH JCand-_5.64b
   yadvastuno 'nyathā rūpaṃ JCand_5.103a	yat-vastunaH anyaTA rUpam JCand-_5.103a
   yad vyajyamānaṃ manasaḥ JCand_8.1a	yat vyajyamAnam manasaH JCand-_8.1a
   yan nāśrayati sajjanam JCand_5.100d	yat na-ASrayati sat-janam JCand-_5.100d
   yamakaṃ prathamā dhurya- JCand_5.8c	yamakam praTamA Durya JCand-_5.8c
   yayārthaṃ spaṣṭam ācaṣṭe JCand_10.1c	yayA-arTam spazwam Acazwe JCand-_10.1c
   yayā vyāptaṃ jagat tasyāṃ JCand_5.82c	yayA vyAptam jagat tasyAm JCand-_5.82c
   yaśaḥpuṣpaṃ nabhastaṭam JCand_2.18b	yaSaHpuzpam naBaH-tawam JCand-_2.18b
   yasmād antaḥsthitaḥ sarvaḥ JCand_4.3a	yasmAt antar-sTitaH sarvaH JCand-_4.3a
   yasminn upahato lupto JCand_2.16a	yasmin upahataH luptaH JCand-_2.16a
   yasmin viśeṣasāmānya- JCand_5.68a	yasmin viSeza-sAmAnya JCand-_5.68a
   yaṃ prastūya prakāśante JCand_1.4c	yam prastUya prakASante JCand-_1.4c
   yaḥ śatrūn samapūrayat JCand_2.24b	yaH SatrUn samapUrayat JCand-_2.24b
   yācakāḥ kalpaśākhinaḥ JCand_5.115d	yAcakAH kalpa-SAKinaH JCand-_5.115d
   yā dātuḥ saumyatā seyaṃ JCand_5.57c	yA dAtuH sOmya-tA sA-iyam JCand-_5.57c
   yāmīti priyapṛṣṭāyā JCand_5.43c	yAmi-iti priya-pRzwAyAH JCand-_5.43c
   yuktārthatāṃ tāṃ ca vinā JCand_1.14a	yukta-arTa-tAm tAm ca vinA JCand-_1.14a
   yuktir viśeṣasiddhiś ced JCand_3.9a	yuktiH viSeza-sidDiH ced JCand-_3.9a
   yuktyāsvādyalasadrasaikavasatiḥ sāhityasārasvata- JCand_1.3a	yukti-AsvAdi-alasat-rasa-eka-vasatiH sAhitya-sArasvata JCand-_1.3a
   yuktyaikasyāvadhāraṇam JCand_3.4b	yuktyA-ekasya-avaDAraNam JCand-_3.4b
   yugapat kāryakāraṇe JCand_5.41b	yugapad kArya-kAraNe JCand-_5.41b
   yuddhyante 'tra surāsurāḥ JCand_5.112d	yudDi-ante atra sura-asurAH JCand-_5.112d
   yuvām eveha vikhyātau JCand_3.8c	yuvAm eva-iha viKyAtO JCand-_3.8c
   yena baddho 'mbudhir yasya JCand_2.23c	yena badDaH ambuDiH yasya JCand-_2.23c
   ye ṣoḍaśādyā dviguṇās JCand_7.11a	ye zoxaSa-AdyAH dviguNAH JCand_7.11a
   yair jagat prīyate hanti JCand_5.85c	yEH jagat prIyate hanti JCand-_5.85c
   yogābhāsais tridhādimaḥ JCand_1.10b	yoga-ABAsEH triDA-AdimaH JCand-_1.10b
   raktaś cumbati candramāḥ JCand_5.61d	raktaH cumbati candramAH JCand-_5.61d
   raktaṃ tvaccaraṇadvayam JCand_5.76d	raktam tvad-caraNa-dvayam JCand-_5.76d
   ratir devādiviṣayā JCand_6.14a	ratiH deva-Adi-vizayA JCand-_6.14a
   ratyākhyasthāyibhāvātmā JCand_6.4a	rati-AKya-sTAyi-BAva-AtmA JCant-_6.4a
   ramaṇaṃ śaraṇaṃ gatā JCand_4.4d	ramaNam SaraNam gatAH JCand-_4.4d
   rasabhāvatadābhāsa- JCand_5.116a	rasa-BAva-tad-ABAsa JCand-_5.116a
   rasabhāvatadābhāsa- JCand_7.5c	rasa-BAva-tad-ABAsa JCand-_7.5c
   rasavatpreyaūrjasvi- JCand_5.116c	rasavat-preya-Urjasvi JCand-_5.116c
   rasādyanucite varṇe JCand_2.15a	rasa-Adi-anucite varNe JCand-_2.15a
   rasādyākhyo 'sphuṭakramaḥ JCand_7.10b	rasa-Adi-AKyaH asPuwa-kramaH JCand-_7.10b
   raso nālakṣi lākṣāyāś JCand_5.33c	rasaH na-alakzi lAkzAyAH JCand-_5.33c
   rahor dvedhā tu saṃyogaḥ JCand_6.25c	rahoH dveDA tu saMyogaH JCand-_6.25c
   rājate bhujabhūruhaḥ JCand_5.20d	rAjate Buja-BUruhaH JCand-_5.20d
   rāmasyānucarā vayam JCand_2.23d	rAmasya-anucarAH vayam JCand-_2.23d
   rāvaṇaṃ raṇadāruṇam JCand_2.15d	rAvaNam raNa-dAruNam JCand-_2.15d
   ripuṃ hatvā yaśaḥ kṛtvā JCand_4.7c	ripum hatvA yaSaH kRtvA JCand-_4.7c
   rūḍhayaugikatanmiśraiḥ JCand_1.9c	rUXa-yOgika-tad-miSrEH JCand-_1.9c
   rūpakātiśayoktiś ced JCand_5.46a	rUpaka-atiSaya-uktiH ced JCand-_5.46a
