   Mahāyānasūtrālaṃkāraḥ	MahAyAna sUtra alaMkAraH
   tato 'sau bhāvanāmārge pariśiṣṭāsu bhūmiṣu /	tatas asO BAvanA mArge pariSizwAsu BUmizu /
   jñānasya dvividhasyeha bhāvanāyai prayujyate // MSA_14.42 //	jQAnasya dviviDasya iha BAvanAyE prayujyate // MSAH _14.42 //
   nivirkalpaṃ ca tajjñānaṃ buddhadharmaviśodhakaṃ /	nivirkalpam ca tat jQAnam budDa Darma viSoDakam /
   anyadyathāvyavasthānaṃ satvānāṃ paripācakaṃ // MSA_14.43 //	anyat yaTAvyavasTAnam satvAnAm paripAcakam // MSAH _14.43 //
   bhāvanāyāśca niryāṇaṃ dvayasaṃkhyeyasamāptitaḥ /	BAvanAyAH ca niryANam dvaya saMKyeya samAptitaH /
   paścimāṃ bhāvanāmetya bodhisatvau 'bhiṣiktakaḥ // MSA_14.44 //	paScimAm BAvanAm etya boDisatvO aBiziktakaH // MSAH _14.44 //
   vajropamaṃ samādhānaṃ vikalpābhedyametya ca /	vajra upamam samADAnam vikalpa aBedyam etya ca /
   niṣṭhāśrayaparāvṛttiṃ sarvāvaraṇanirmalāṃ // MSA_14.45 //	nizWA ASraya parAvRttim sarva AvaraNa nirmalAm // MSAH _14.45 //
   sarvākārajñatāṃ caiva labhate 'nuttaraṃ padaṃ /	sarva AkAra jQa tAm ca eva laBate anuttaram padam /
   yatrasthaḥ sarvasatvānāṃ hitāya pratipadyate // MSA_14.46 //	yatrasTaH sarva satvAnAm hitAya pratipadyate // MSAH _14.46 //
   kathaṃ tathā durlabhadarśane munau bhavenmahārthaṃ na hi nityadarśanaṃ /	kaTam taTA durlaBa darSane munO Bavet mahA arTam na hi nitya darSanam /
   bhṛśaṃ samāpyāyitacetasaḥ sadā prasādavegairasamaśravodbhavaiḥ //	BRSam samApyAyita cetasaH sadA prasAda vegEH asamaSrava udBavEH //
   MSA_14.47 //	MSAH _14.47 //
   a[pra]codyamānaḥ satataṃ ca saṃmukhaṃ tathāgatairdharmasu[mu]khe	a[pra]codyamAnaH satatam ca saMmuKam taTAgatEH Darma su[ mu]Ke
   vyavasthitaḥ /	vyavasTitaH /
   nigṛhya keśeṣviva doṣagahvarāt nikṛṣya bodhau sa balānniveśyate //	nigRhya keSezu iva doza gahvarAt nikRzya boDO sa balAt niveSyate //
   MSA_14.48 //	MSAH _14.48 //
   sa sarvalokaṃ suviśuddhadarśanairakalpabodhairabhibhūya sarvathā /	sa sarva lokam su viSudDa darSanEH akalpa boDEH aBiBUya sarvaTA /
   mahāndhakāraṃ vidhamayya bhāsate jaganmahāditya ivātyudārataḥ // MSA_14.49	mahA anDakAram viDamayya BAsate jagat mahA AdityaH iva ati udArataH // MSAH _14.49
   buddhāḥ samyakpraśaṃsāṃ vidadhati satataṃ svārthasamyakprayukte,	budDAH samyak praSaMsAm vidaDati satatam sva arTa samyak prayukte,
   nindāmīrṣyāprayukte sthitivicayapare cāntarāyānukūlān /	nindAm IrzyA prayukte sTiti vicaya pare ca antarAya anukUlAn /
   dharmān sarvaprakārānvidhivadiha jinā darśayantyagrasatve, yān varjyāsevya	DarmAn sarva prakArAn viDivat iha jinAH darSayanti agra satve, yAn varjya Asevya
   yoge bhavati vipulatā saugate śāsane 'smim // MSA_14.50 //	yoge Bavati vipula tA sOgate SAsane asmim // MSAH _14.50 //
   iti satataśubhācayaprapūrṇaḥ suvipulametya sa cetasaḥ samādhiṃ /	iti satata SuBa Acaya prapUrNaH su vipulam etya sa cetasaH samADim /
   munisatatamahāvavādalabdho bhavati guṇārṇavapārago 'grasatvaḥ // MSA_14.51	muni satata mahAvavAda labDaH Bavati guNa arNava pAragaH agrasatvaH // MSAH _14.51
   mahāyānasūtrālaṃkāre avavādānuśāsanyadhikāraścaturdaśaḥ	mahAyAna sUtra alaMkAre avavAda anuSAsanI aDikAraH caturdaSaH
   pañcadaśo 'dhikāraḥ	paQcadaSaH aDikAraH
   uddānama	uddAnam a
   upāyasahitakarmavibhāge catvāraḥ ślokāḥ	upAya sahita karma viBAge catvAraH SlokAH
   adhimukterbahulatā dharmaparyeṣṭideśane /	aDimukteH bahula tA Darma paryezwi deSane /
   pratipattistathā samyagavavādānuśāsanaṃ // MSA_15.1 //	pratipattiH taTA samyak avavAda anuSAsanam // MSAH _15.1 //
   yathā pratiṣṭhā vanadehiparvatapravāhinīnāṃ pṛthivī samantataḥ /	yaTA pratizWA vana dehi parvata pravAhinInAm pRTivI samantataH /
   tathaiva dānādiśubhasya sarvato budheṣu karma trividhaṃ nirucyate //	taTA eva dAna Adi SuBasya sarvatas buDezu karma triviDam nirucyate //
   MSA_15.2 //	MSAH _15.2 //
   suduṣkaraiḥ karmabhirudyatātmānāṃ vicitrarūpairbahukalpanirgataiḥ /	su duzkarEH karmaBiH udyata AtmAnAm vicitra rUpEH bahu kalpa nirgatEH /
   na kāyavāk cittamayasya karmaṇo jinātmajānāṃ bhavatīha saṃnatiḥ //	na kAya vAc citta mayasya karmaNaH jina AtmajAnAm Bavati iha saMnatiH //
   MSA_15.3 //	MSAH _15.3 //
   yathā viṣācchastramahāśanād[ne] ripornivārayedātmahitaḥ svamāśrayaṃ /	yaTA vizAt Sastra mahA aSana Ad[ne] ripoH nivArayet Atma hitaH svam ASrayam /
   nihinayānadvividhājjinātmajo nivārayetkarma tathā trayātmakaṃ // MSA_15.4	nihina yAnat viviDAt jina AtmajaH nivArayet karma taTA traya Atmakam // MSAH _15.4
   na karmiṇaḥ karma na karmaṇaḥ kriyāṃ sadāvikalpaḥ samudīkṣate tridhā /	na karmiNaH karma na karmaNaH kriyAm sadA avikalpaH samudIkzate triDA /
   tato 'sya tatkarma viśuddhipāragaṃ bhavatyanantaṃ tadupāyasaṃgrahāt //	tatas asya tat karma viSudDi pAragam Bavati anantam tad upAya saMgrahAt //
   MSA_15.5 //	MSAH _15.5 //
   mahāyānasūtrālaṃkāre upāyasahitakarmādhikāraḥ pañcadaśaḥ	mahAyAna sUtra alaMkAre upAya sahita karma aDikAraH paQcadaSaH
   ṣoḍaśo 'dhikāraḥ	zoxaSaH aDikAraH
   pāramitāprabhedasaṃgrahe uddānaślokaḥ	pAramitA praBeda saMgrahe uddAnaSlokaH
   saṃkhyāvibhāge ṣṭ ślokāḥ	saMKyA viBAge zw SlokAH
   sāṃkhyātha tallakṣaṇamānupūrvī niruttirabhyāsaguṇaśca tāsāṃ /	sAMKyA aTa tad lakzaNam AnupUrvI niruttiH aByAsa guNaH ca tAsAm /
   prabhedanaṃ saṃgrahaṇaṃ vipakṣo jñeyo guṇo 'nyonyaviniścayaśca // MSA_16.1	praBedanam saMgrahaNam vipakzaH jQeyaH guNaH anyonya viniScayaH ca // MSAH _16.1
   bhogātmabhāvasaṃpatparicārārambhasaṃpadabhyudayaḥ /	Boga Atma BAva saMpad pari cAra AramBa saMpad aByudayaH /
   kleśāvaśagatvamapi ca kṛtyeṣu sadāviparyāsaḥ // MSA_16.2 //	kleSa a= aSaga tvam api ca kRtyezu sadA aviparyAsaH // MSAH _16.2 //
   satvārtheṣu suyuktastyāgānupaghātamarṣaṇaiḥ kurute /	satva arTezu su yuktaH tyAga anupaGAta marzaNEH kurute /
   sanidānasthitimuktyā ātmārthaṃ sarvathā carati // MSA_16.3 //	sa nidAna sTiti muktyA Atma arTam sarvaTA carati // MSAH _16.3 //
   avighātairaviheṭhairviheṭhasaṃmarṣaṇaiḥ kriyākhedaiḥ /	aviGAtEH aviheWEH viheWa saMmarzaNEH kriyA KedEH /
   āvarjanaiḥ sulapitaiḥ parārtha ātmārtha etasmāt // MSA_16.4 //	AvarjanEH su lapitEH para arTaH Atma arTaH etasmAt // MSAH _16.4 //
   bhogeṣu cānabhiratistīvrā gurutādvaye akhedaśca /	Bogezu ca anaBiratiH tIvrAH guru tA dvaye aKedaH ca /
   yogaśca nirvikalpaḥ samastamidamuttamaṃ yānaṃ // MSA_16.5 //	yogaH ca nirvikalpaH samastam idam uttamam yAnam // MSAH _16.5 //
   viṣayeṣvasaktimārgastadāptivikṣepasaṃyameṣvaparaḥ /	vizayezu asakti mArgaH tad A Apti vikzepa saMyamezu aparaH /
   sattvāvisṛjanavardhana āvaraṇaviśodhaneṣvaparaḥ // MSA_16.6 //	sattva avisRjana varDanaH AvaraNa viSoDanezu aparaH // MSAH _16.6 //
   śikṣātrayamadhikṛtya ca ṣaṣṭ pāramitā jinaiḥ samākhyātāḥ /	SikzA trayam aDikRtya ca zazz pAramitAH jinEH samAKyAtAH /
   ādyā tisro dvedhā antyadvayatastisṛṣvekā // MSA_16.7 //	AdyA tisraH dveDA antya dvayataH tisRzu ekA // MSAH _16.7 //
   dānaṃ vipakṣahīnaṃ jñānena gataṃ ca nivikalpena /	dAnam vipakza hInam jQAnena gatam ca nivikalpena /
   sarvecchāparipūrakamapi satvavipācakaṃ tredhā // MSA_16.8 //	sarva icCA paripUrakam api satva vipAcakam treDA // MSAH _16.8 //
   śīlaṃ vipakṣahīnaṃ jñānena gataṃ ca nirvikalpena /	SIlam vipakza hInam jQAnena gatam ca nirvikalpena /
   sarvecchāparipūrakamapi satvavipācakaṃ tredhā // MSA_16.9 //	sarva icCA paripUrakam api satva vipAcakam treDA // MSAH _16.9 //
   kṣāntirvipakṣahīnā jñānena gatā ca nirvikalpena /	kzAntiH vipakza hInA jQAnena gatA ca nirvikalpena /
   sarvecchāparipūrā api satvavipācikā tredhā // MSA_16.10 //	sarva icCA paripUrAH api satva vipAcikA treDA // MSAH _16.10 //
   vīryaṃ vipakṣahīnaṃ jñānena gataṃ ca nivikalpena /	vIryam vipakza hInam jQAnena gatam ca nivikalpena /
   sarvecchāparipūrakamapi satvāvipācakaṃ tredhā // MSA_16.11 //	sarva icCA paripUrakam api satva avipAcakam treDA // MSAH _16.11 //
   dhyānaṃ vipakṣahīnaṃ jñānena gataṃ ca nirvikalpena /	DyAnam vipakza hInam jQAnena gatam ca nirvikalpena /
   sarvecchāparipūrakamapi satvavipācakaṃ tredhā // MSA_16.12 //	sarva icCA paripUrakam api satva vipAcakam treDA // MSAH _16.12 //
   prajñā vipakṣahīnā jñānena gatā ca nirvikalpena /	prajQA vipakza hInA jQAnena gatA ca nirvikalpena /
   sarvecchāparipūrā api satvavipācikā tredhā // MSA_16.13 //	sarva icCA paripUrAH api satva vipAcikA treDA // MSAH _16.13 //
   pūrvottaraviśrayataścotpattestatkrameṇa nirdeśaḥ /	pUrvottara viSrayataH ca utpatteH tad krameNa nirdeSaH /
   hīnotkarṣasthānādaudārikasūkṣmataścāpi // MSA_16.14 //	hIna utkarza sTAnAt OdArika sUkzmataH ca api // MSAH _16.14 //
   dāridyasyāpanayācchaityasya ca lambhanāt kṣayāt kruddheḥ /	dAridyasya apanayAt SEtyasya ca lamBanAt kzayAt krudDeH /
   varayogamanodhāraṇaparamātha[rtha]jñānataścoktiḥ // MSA_16.15 //	vara yoga manaH DAraNa parama aTa [rTa] jQAnataH ca uktiH // MSAH _16.15 //
   bhāvanopadhimāśritya manaskāraṃ tathāśayaṃ /	BAvanA upaDim ASritya manaskAram taTA ASayam /
   upāyaṃ ca vibhutvaṃ ca sarvāsāmeva kathyate // MSA_16.16 //	upAyam ca viBu tvam ca sarvAsAm eva kaTyate // MSAH _16.16 //
   pratipādanamarthasya cetanā mūlaniścitā /	pratipAdanam arTasya cetanA mUla niScitAH /
   bhogātmabhāvasaṃpattī dvayānugrahapūrakaṃ // MSA_16.17 //	Boga Atma BAva saMpattI dvaya anugrahapUrakam // MSAH _16.17 //
   amātsaryayutaṃ tacca dṛṣṭadharmāmiṣābhaye /	amAtsarya yutam tat ca dRzwa Darma Amiza aBaye /
   dānameva[vaṃ] parijñāya paṇḍitaḥ samudānayet // MSA_16.18 //	dAnam eva[vaM] parijQAya paNxitaH samudAnayet // MSAH _16.18 //
   ṣaḍaṅga[ṅgaṃ]śamabhāvāntaṃ sugatisthitidāyakaṃ /	zaxaFga [FgaM]Sama BAva antam su gati sTiti dAyakam /
   pratiṣṭhāśāntanirbhītaṃ puṇyasaṃbhārasaṃyutaṃ // MSA_16.19 //	pratizWA SAnta nirBItam puNya saMBAra saMyutam // MSAH _16.19 //
   saṃketadharmatālabdhaṃ savaṃrastheṣu vidyate /	saMketa Darma tA labDam sa vaMra sTezu vidyate /
   śīlamevaṃ parijñāya paṇḍitaḥ samudānayet // MSA_16.20 //	SIlam evam parijQAya paNxitaH samudAnayet // MSAH _16.20 //
   marṣādhivāsanajñānaṃ kāruṇyāddharmasaṃśrayāt /	marza aDivAsana jQAnam kAruNyAt Darma saMSrayAt /
   pañcānuśaṃsamākhyātaṃ dvayorarthakaraṃ ca tat // MSA_16.21 //	paQca anuSaMsam AKyAtam dvayoH arTa karam ca tat // MSAH _16.21 //
   tapaḥ prābalyasaṃyuktaṃ teṣu tattrividhaṃ mataṃ /	tapaH prAbalya saMyuktam tezu tat triviDam matam /
   kṣāntimevaṃ parijñāya paṇḍitaḥ samudānayet // MSA_16.22 //	kzAntim evam parijQAya paNxitaH samudAnayet // MSAH _16.22 //
   dvayorarthaṃ sa kurūte ātmanaśca parasya ca /	dvayoH arTam sa kurUte AtmanaH ca parasya ca /
   yaḥ paraṃ kupitaṃ jñātvā svayaṃ tatropaśāmyati // MSA_16.22* //	yaH param kupitam jQAtvA svayam tatra upaSAmyati // MSAH _16.22* //
   || iti ||	|| iti ||
   utsāhaḥ kuśale samyak śraddhācchandapratiṣṭhitaḥ /	utsAhaH kuSale samyak SradDAcCanda pratizWitaH /
   smṛtyādiguṇavṛddhau ca saṃkleśaprātipakṣikaḥ // MSA_16.23 //	smRti Adi guNa vRdDO ca saMkleSa prAtipakzikaH // MSAH _16.23 //
   alobhādiguṇopetasteṣu saptavidhaśca saḥ /	aloBa Adi guNa upetaH tezu saptaviDaH ca saH /
   vīryameva parijñāya paṇḍitaḥ samudānayeta // MSA_16.24 //	vIryam eva parijQAya paNxitaH samudAnayeta // MSAH _16.24 //
   sthitiścetasa adhyātmaṃ smṛtivīryapratiṣṭhitaṃ /	sTitiH cetasaH aDyAtmam smRti vIrya pratizWitam /
   sukhopapattaye 'bhijñāvihāravaśavartakam // MSA_16.25 //	suKa upapattaye aBijQA vihAra vaSavartakam // MSAH _16.25 //
   dharmāṇāṃ pramukhaṃ teṣu vidyate trividhaśca saḥ /	DarmANAm pramuKam tezu vidyate triviDaH ca saH /
   dhyānamevaṃ parijñāya paṇḍitaḥ samudānayet // MSA_16.26 //	DyAnam evam parijQAya paNxitaH samudAnayet // MSAH _16.26 //
   samyakpravicayo jñeyaḥ śa[sa]mādhānapratiṣṭhitaḥ /	samyak pravicayaH jQeyaH Sa[sa]m ADAna pratizWitaH /
   suvimokṣāya saṃkleśātprajñājīvasudeśanaḥ // MSA_16.27 //	su vimokzAya saMkleSAt prajQA jIva sudeSanaH // MSAH _16.27 //
   dharmāṇāmuttarasteṣu vidyate trividhaśca saḥ /	DarmANAm uttaraH tezu vidyate triviDaH ca saH /
   prajñāmevaṃ parijñāya paṇḍitaḥ samudānayet // MSA_16.28 //	prajQAm evam parijQAya paNxitaH samudAnayet // MSAH _16.28 //
   sarve śuklā dharmā vikṣiptasamāhitobhayā jñeyāḥ /	sarve SuklAH DarmAH vikzipta samAhita uBayAH jQeyAH /
   dvābhyāṃ dvābhyāṃ dvābhyāṃ pāramitābhyāṃ parigṛhītāḥ // MSA_16.29 //	dvAByAm dvAByAm dvAByAm pAramitAByAm parigRhItAH // MSAH _16.29 //
   na ca saktaṃ na ca saktaṃ na ca saktaṃ saktameva na ca dānaṃ /	na ca saktam na ca saktam na ca saktam saktam eva na ca dAnam /
   na ca saktaṃ na ca saktaṃ na ca saktaṃ bodhisattvānām // MSA_16.30 //	na ca saktam na ca saktam na ca saktam boDisattvAnAm // MSAH _16.30 //
   na ca saktaṃ na ca saktaṃ na ca saktaṃ saktameva na ca śīlaṃ /	na ca saktam na ca saktam na ca saktam saktam eva na ca SIlam /
   na ca saktaṃ na ca saktaṃ na ca saktaṃ bodhisatvānām // MSA_16.31 //	na ca saktam na ca saktam na ca saktam boDisatvAnAm // MSAH _16.31 //
   na ca saktā na ca saktā na ca saktā sattikā na kṣāntiḥ /	na ca saktA na ca saktA na ca saktA sattikA na kzAntiH /
   na ca saktā na ca saktā na ca saktā bodhisattvānām // MSA_16.32 //	na ca saktA na ca saktA na ca saktAH boDisattvAnAm // MSAH _16.32 //
   na ca saktaṃ na ca saktaṃ na ca saktaṃ saktameva ca na vīryaṃ /	na ca saktam na ca saktam na ca saktam saktam eva ca na vIryam /
   na ca saktaṃ na ca saktaṃ na ca saktaṃ bodhisattvānām // MSA_16.33 //	na ca saktam na ca saktam na ca saktam boDisattvAnAm // MSAH _16.33 //
   na ca saktaṃ na ca saktaṃ na ca saktaṃ saktameva na ca dhyānaṃ /	na ca saktam na ca saktam na ca saktam saktam eva na ca DyAnam /
   na ca saktaṃ na ca saktaṃ na ca saktaṃ bodhisattvānām // MSA_16.34 //	na ca saktam na ca saktam na ca saktam boDisattvAnAm // MSAH _16.34 //
   na ca saktā na ca saktā na ca saktā saktikā na ca prajñā /	na ca saktA na ca saktA na ca saktA saktikA na ca prajQA /
   na ca saktā na ca sakta na ca saktā bodhisattvānām // MSA_16.35 //	na ca saktA na ca sakta na ca saktAH boDisattvAnAm // MSAH _16.35 //
   tyaktaṃ buddhasutaiḥ svajīvitamapi prāpyārthinaṃ sarvadā kāruṇyātparato na	tyaktam budDa sutEH sva jIvitam api prApya arTinam sarvadA kAruNyAt paratas na
   ca pratikṛtirneṣṭaṃ phalaṃ prārthitaṃ /	ca pratikRtiH na izwam Palam prArTitam /
   dānenaiva ca tena sarvajanatā bodhitraye ropitā dānaṃ jñānaparigraheṇa ca	dAnena eva ca tena sarva janatA boDi traye ropitA dAnam jQAna parigraheNa ca
   punarloke 'jñayaṃ sthāpitam // MSA_16.36 //	punar loke ajQayam sTApitam // MSAH _16.36 //
   āttaṃ buddhasutairyamodyamamayaṃ śīlatrayaṃ sarvadā svargo nābhimataḥ	Attam budDa sutEH yama udyama mayam SIla trayam sarvadA svargaH nABimataH
   sametya ca punaḥ saktirna tatrāhitā /	sametya ca punar saktiH na tatra AhitAH /
   śīlenaiva ca tena sarvajanatā bodhitraye ropitā śīlaṃ jñānaparigraheṇa ca	SIlena eva ca tena sarva jana tA boDi traye ropitA SIlam jQAna parigraheNa ca
   punarloke 'kṣayaṃ sthāpitam // MSA_16.37 //	punar loke akzayam sTApitam // MSAH _16.37 //
   kṣāntaṃ buddhasutaiḥ suduṣkaramatho sarvāpakāraṃ nṛṇāṃ na	kzAntam budDa sutEH su duzkaram aTo sarva apakAram nRNAm na
   svargārthamasa[śa]ktimato na ca bhayānnaivopakārekṣaṇāt /	svarga arTam asa[ Sa]ktimataH na ca BayAt na eva upakAra IkzaNAt /
   kṣāntyānuttarayā ca sarvajanatā bodhitraye ropitā kṣāntirjñānaparigraheṇa	kzAntyA anuttarayA ca sarva janatA boDi traye ropitA kzAntiH jQAna parigraheNa
   ca punarloke 'kṣayā sthāpitā // MSA_16.38 //	ca punar loke akzayA sTApitAH // MSAH _16.38 //
   vīryaṃ buddhasutaiḥ kṛtaṃ nirūpamaṃ saṃnāhayogātmakaṃ hantuṃ kleśagaṇaṃ	vIryam budDa sutEH kRtam nirUpamam saMnAha yoga Atmakam hantum kleSa gaNam
   svato 'pi parataḥ prāptuṃ ca bodhiṃ parāṃ /	svatas api paratas prAptum ca boDim parAm /
   vīryeṇaiva ca tena sarvajanatā bodhitraye ropitā vīryaṃ jñānaparigraheṇa	vIryeNa eva ca tena sarva janatA boDi traye ropitA vIryam jQAna parigraheNa
   ca punarloke 'kṣayaṃ sthāpitam // MSA_16.39 //	ca punar loke akzayam sTApitam // MSAH _16.39 //
   dhyānaṃ buddhasutaiḥ samādhibahulaṃ saṃpāditaṃ sarvathā	DyAnam budDa sutEH samADi bahulam saMpAditam sarvaTA
   śreṣṭhairdhyānasukhairvihṛtya kṛpayā hīnāpapattiḥ śritā /	SrezWEH DyAna suKEH vihRtya kRpayA hIna ApapattiH SritA /
   dhyānenaiva ca tena sarvajanatā bodhitraye ropitā dhyānaṃ jñānaparigraheṇa	DyAnena eva ca tena sarva jana tA boDi traye ropitA DyAnam jQAna parigraheNa
   ca punarloke 'kṣayaṃ sthāpitam // MSA_16.40 //	ca punar loke akzayam sTApitam // MSAH _16.40 //
   jñātaṃ buddhasutaiḥ satatvamakhilaṃ jñeyaṃ ca yatsarvathā saktirnaiva ca	jQAtam budDa sutEH sata tvam aKilam jQeyam ca yat sarvaTA saktiH na eva ca
   nirvṛtau prajanitā buddhaiḥ[ddheḥ] kutaḥ saṃvṛtau /	nirvRtO prajanitAH budDEH[dDeH] kutas saMvRtO /
   jñānenaiva ca tena sarvajanatā bodhitraye ropitā jñānaṃ satvaparigraheṇa	jQAnena eva ca tena sarva janatA boDi traye ropitA jQAnam satva parigraheNa
   punarloke 'kṣayaṃ sthāpitam // MSA_16.41 //	punar loke akzayam sTApitam // MSAH _16.41 //
   audāryānāmiṣatvaṃ ca mahārthākṣayatāpi ca /	OdArya anAmiza tvam ca mahArTa akzayatA api ca /
   dānādīnāṃ samastaṃ hi jñeyaṃ guṇacatuṣṭayam // MSA_16.42 //	dAna AdInAm samastam hi jQeyam guNa catuzwayam // MSAH _16.42 //
   darśanapūraṇatuṣṭiṃ yācanake 'tuṣṭimapi samāśāstiṃ /	darSana pUraNa tuzwim yAcanake atuzwim api samASAstim /
   abhibhavati sa tāṃ dātā kṛpālurādhikyayogena // MSA_16.43 //	aBiBavati sa tAm dAtA kRpAlurADikya yogena // MSAH _16.43 //
   prāṇānbhogāndārānsatveṣu sadānya[tya]janakṛpālutvāt /	prANAn BogAn dArAn satvezu sadAnya[ti a]jana kRpAlu tvAt /
   āmodate nikāmaṃ tadviratiṃ pālayetra katham // MSA_16.44 //	Amodate nikAmam tat viratim pAlayetra kaTam // MSAH _16.44 //
   nirapekṣaḥ samacitto nirbhīḥ sarvapradaḥ kṛpāhetoḥ /	nirapekzaH sama cittaH nirBIH sarva pradaH kRpA hetoH /
   mithyāvādaṃ brūyātparopaghātāya kathamāryaḥ // MSA_16.45 //	miTyAvAdam brUyAt para upaGAtAya kaTam AryaH // MSAH _16.45 //
   samahitakāmaḥ sakṛpaḥ paraduḥkhotpādane 'tibhīrūśca /	sama hita kAmaH sakRpaH para duHKa utpAdane ati BIrUH ca /
   satvavinaye suyukteḥ suvidūre trividhavāgdoṣāt // MSA_16.46 //	satva vinaye su yukteH su vidUre triviDa vAc dozAt // MSAH _16.46 //
   sarvapradaḥ kṛpāluḥ pratītyadharmodaye sukuśalaśca /	sarva pradaH kRpAluH pratItyaDarma udaye su kuSalaH ca /
   adhivāsayetkathamasau sarvākāraṃ manaḥ kleśam // MSA_16.47 //	aDivAsayet kaTam asO sarva AkAram manaH kleSam // MSAH _16.47 //
   upakarasaṃjñāmodaṃ hyapakāriṇiparahita saṃjñāṃ[parahite sadā] duḥkhe /	upakara saMjQA Amodam hi apakAriNiparahita saMjQAm[parahite sadA] duHKe /
   labhate yadā kṛpāluḥ kṣamitavyaṃ ..........[kiṃ kutasyasya] // MSA_16.48	laBate yadA kRpAluH kzamitavyam ..........[kim kutasyasya] // MSAH _16.48
   paraparasaṃjñāpagamātsvato 'dhikatarātsadā parasnehāt /	para para saMjQA apagamAt svataH aDikatarAt sadA para snehAt /
   duṣkaracaraṇātsakṛpe hyaduṣkaraṃ vīryaṃ // MSA_16.49 //	duzkara caraNAt sakRpe hi aduzkaram vIryam // MSAH _16.49 //
   alpasukhaṃ hyātmasukhaṃ līnaṃ parihāṇikaṃ kṣayi samohaṃ /	alpa suKam hi Atma suKam lInam parihANikam kzayi sa moham /
   dhyānaṃ mataṃ trayāṇāṃ viparyayādvodhisatvānām // MSA_16.50 //	DyAnam matam trayANAm viparyayAt voDisatvAnAm // MSAH _16.50 //
   āmoṣaistamasi yathā dīpairnunnaṃ[śchanne] tathā trayajñānaṃ /	AmozEH tamasi yaTA dIpEH nunnaM[H Canne] taTA traya jQAnam /
   dinakarakiraṇauriva tu jñānamatulyaṃ kṛpālunām // MSA_16.51 //	dinakara kiraNOH iva tu jQAnam atulyam kRpAlunAm // MSAH _16.51 //
   āśrayādvastuto dānaṃ nimittātpariṇāmanāt /	ASrayAt vastutas dAnam nimittAt pariNAmanAt /
   hetuto jñānataḥ kṣetranniśrayācca paraṃ matam // MSA_16.52 //	hetutaH jQAnataH kzetrat niSrayAt ca param matam // MSAH _16.52 //
   āśrayādvastutaḥ śīlaṃ nimittātpariṇāmanāt /	ASrayAt vastutas SIlam nimittAt pariNAmanAt /
   hetuto jñānataḥ kṣetrānniśrayācca paraṃ matam // MSA_16.53 //	hetutaH jQAnataH kzetrAn niSrayAt ca param matam // MSAH _16.53 //
   [āśrayādvastutaḥ kṣāntinimittātpariṇāmanāt /	[a ASrayAt vastutas kzAnti nimittAt pariNAmanAt /
   hetuto jñānataḥ kṣetrānniśrayācca parā matā	hetutaH jQAnataH kzetrAt niSrayAt ca parA matA
   āśrayādvastuto vīryaṃ nimittātpariṇāmanāt /	ASrayAt vastutas vIryam nimittAt pariNAmanAt /
   hetuto jñānataḥ kṣetrānniśrayācca paraṃ matam // MSA_16.54 //	hetutaH jQAnataH kzetrAn niSrayAt ca param matam // MSAH _16.54 //
   āśrayādvastuto dhyānaṃ nimittātpariṇāmanāt /	ASrayAt vastutas DyAnam nimittAt pariNAmanAt /
   hetuto jñānataḥ kṣetrānniśrayācca paraṃ matam // MSA_16.55 //	hetutaH jQAnataH kzetrAn niSrayAt ca param matam // MSAH _16.55 //
   āśrayādvastutaḥ prajñā nimittātpariṇāmanāt /	ASrayAt vastutas prajQA nimittAt pariNAmanAt /
   hetuto jñānataḥ kṣetranniśrayācca parā matā // MSA_16.56 //	hetutaH jQAnataH kzetrat niSrayAt ca parA matA // MSAH _16.56 //
   ekasatvasukhaṃ dānaṃ bahukalpavighātakṛt /	eka satva suKam dAnam bahu kalpa viGAta kRt /
   priyaṃ syadvodhisatvānāṃ prāgeva tadviparyayāt // MSA_16.57 //	priyam syat voDisatvAnAm prAk eva tad viparyayAt // MSAH _16.57 //
   yadarthamicchanti dhanāni dehinastadeva dhīrā visṛjanti dehiṣu /	yad arTam icCanti DanAni dehinaH tat eva DIrAH visRjanti dehizu /
   śarīrahetordhanamiṣyate janaistadeva dhīraiḥ śataśo visṛjyate // MSA_16.58	SarIra hetoH Danam izyate janEH tat eva DIrEH SataSas visRjyate // MSAH _16.58
   śarīrāmevotsṛjato na duḥkhyate yadā manaḥ kā draviṇe 'vare kathā /	SarIrAm eva utsRjataH na duHKyate yadA manaH kAH draviNe avare kaTA /
   tadasya lokottaramiti yanmudaṃ sa tena tattasya taduttaraṃ punaḥ //	tat asya lokottaram iti yat mudam sa tena tat tasya tad uttaram punar //
   MSA_16.59 //	MSAH _16.59 //
   pratigrahairiṣṭanikāmalabdharna tuṣṭimāyāti tathārthiko 'pi /	pratigrahEH izwa nikAma labDar na tuzwim AyAti taTA arTikaH api /
   sarvāstidānena yatheha dhīmān tuṣṭiṃ vrajatyarthijanasya tuṣṭyā //	sarvAstidAnena yaTA iha DImAn tuzwim vrajati arTi janasya tuzwyA //
   MSA_16.60 //	MSAH _16.60 //
   saṃpūrṇabhogo na tathāstimantamātmānamanvīkṣati yācako 'pi /	saMpUrNa BogaH na taTA astimantam AtmAnam anvIkzati yAcakaH api /
   sarvāstidānādadhano 'pi dhīmānātmānamanveti yathāstimantaṃ // MSA_16.61 //	sarva astidAnAt aDanaH api DImAn AtmAnam anveti yaTA astimantam // MSAH _16.61 //
