   śrīśivamahāpurāṇam	SrI-Siva-mahApurANam
   śivaśaktisvarūpeṇanapunarjāyate bhuvi // ŚivP_1,17.143ab/	Siva-Sakti-svarUpeNana-punar-jAyate Buvi // ŚivS-_1,17.143ab/
   nābheradho brahmabhāgamākaṃṭhaṃviṣṇubhāgakam // ŚivP_1,17.143cd/	nABeH-aDas brahma-BAgam-AkaMWaMvizNu-BAgakam // ŚivS-_1,17.143cd/
   mukhaṃliṃgamitiproktaṃśivabhaktaśarīrakam // ŚivP_1,17.144ab/	muKaMliMga-miti-proktaMSiva-Bakta-SarIrakam // ŚivS-_1,17.144ab/
   mṛtāndāhādiyuktānvādāhādirahitānmṛtān // ŚivP_1,17.144cd/	mRtAn-dAha-Adi-yukta-anvAdAha-Adi-rahitAn-mRtAn // ŚivS-_1,17.144cd/
   uddiśyapūjayedādipitaraṃśivamevahi // ŚivP_1,17.145ab/	uddiSya-pUjayet-Adi-pitaraMSivam-eva-hi // ŚivS-_1,17.145ab/
   pūjāṃkṛtvādimātuścaśivabhaktāṃśca pūjayet // ŚivP_1,17.145cd/	pUjA-aMkRtvA-Adi-mAtuH-ca-Siva-BaktAn=-ca pUjayet // ŚivS-_1,17.145cd/
   pitṛlokaṃsamāsādyakramānmuktobhavenmṛtaḥ // ŚivP_1,17.146ab/	pitR-lokaMsam-AsAdya-kramAt-muktoBavet-mRtaH // ŚivS-_1,17.146ab/
   kriyāyuktadaśabhyaścatapoyuktoviśiṣyate // ŚivP_1,17.146cd/	kriyA-yukta-daSaByaH-catapaH-yuktaH-viSizyate // ŚivS-_1,17.146cd/
   tapoyuktaśatebhyaścajapayuktoviśiṣyate // ŚivP_1,17.147ab/	tapaH-yukta-SateByaH-ca-japa-yuktaH-viSizyate // ŚivS-_1,17.147ab/
   japayuktasahasrebhyaḥ śivajñānī viśiṣyate // ŚivP_1,17.147cd/	japa-yukta-sahasreByaH Siva-jQAnI viSizyate // ŚivS-_1,17.147cd/
   śivajñāniṣulakṣeṣu dhyānayukto viśiṣyate // ŚivP_1,17.148ab/	Siva-jQAnizu-lakzezu DyAna-yuktaH viSizyate // ŚivS-_1,17.148ab/
   dhyānayukteṣu koṭibhyaḥ samādhistho viśiṣyate // ŚivP_1,17.148cd/	DyAna-yuktezu kowiByaH samADi-sTaH viSizyate // ŚivS-_1,17.148cd/
   uttarottara vai śiṣṭyātpūjāyāmuttarottaram // ŚivP_1,17.149ab/	uttarottara vE SizwyAt-pUjAyAm-uttarottaram // ŚivS-_1,17.149ab/
   phalaṃvaiśiṣṭyarūpañcadurvijñeyaṃmanīṣibhiḥ // ŚivP_1,17.149cd/	PalaMvESizwya-rUpaQcaduH-vijQeyaMmanIziBiH // ŚivS-_1,17.149cd/
   tasmādvaiśivabhaktasyamahimānaṃvettikonaraḥ // ŚivP_1,17.150ab/	tasmAt-vESiva-Baktasya-mahimAnaMvetti-konaraH // ŚivS-_1,17.150ab/
   śivaśaktyoḥ pūjanaṃ ca śivabhaktasya pūjanam // ŚivP_1,17.150cd/	Siva-SaktyoH pUjanam ca Siva-Baktasya pUjanam // ŚivS-_1,17.150cd/
   kuruteyonarobhaktyāsaśivaḥ śivamedhate // ŚivP_1,17.151ab/	kuruteyonaroBakti-Asa-SivaH Sivam-eDate // ŚivS-_1,17.151ab/
   ya imaṃ paṭhate 'dhyāyamarthavadvedasaṃmatam // ŚivP_1,17.151cd/	yaH imam paWate aDyAyam-arTavat-veda-saMmatam // ŚivS-_1,17.151cd/
   śivajñānībhavedvipraḥśivena sahamodate // ŚivP_1,17.152ab/	Siva-jQAnI-Bavet-vipraHSivena sahamodate // ŚivS-_1,17.152ab/
   śrāvayecchivabhaktāṃścaviśeṣajño manīśvarāḥ // ŚivP_1,17.152cd/	SrAvayet-Siva-BaktAn=-ca-viSeza-jQaH mani-ISvarAH // ŚivS-_1,17.152cd/
   śivaprasādaśiddhiḥ syācchivasyakṛpayā budhāḥ // ŚivP_1,17.153ab/	Siva-prasAda-SidDiH syAt-Sivasya-kRpayA buDAH // ŚivS-_1,17.153ab/
   iti śrīśivamahāpurāṇe vidyeśvarasaṃhitāyāṃ saptadaśo 'dhyāyaḥ	iti SrI-Siva-mahApurANe vidyeSvara-saMhitAyAm saptadaSaH aDyAyaH
   Chapter 18	ChapteH 18
   ṛṣya ūcuḥ	RzyaH UcuH
   baṃdhamokṣasvarūpaṃ hi brūhi sarvārthavittama // ŚivP_1,18.1ab/	baMDa-mokza-svarUpam hi brUhi sarva-arTa-vittamaH // ŚivS-_1,18.1ab/
   sūta uvāca	sUtaH uvAca
   baṃdhamokṣaṃtathopāyaṃvakṣye 'haṃśṛṇutādarāt // ŚivP_1,18.1cd/	baMDam-okzaMtaTA-upAyaMvakzye ahaMSRNuta-AdarAt // Śivj-_1,18.1cd/
   prakṛtyādyaṣṭabaṃdhenabaddhojīvaḥ sa ucyate // ŚivP_1,18.2ab/	prakRti-Adi-azwa-baMDena-badDojIvaH saH ucyate // ŚivS-_1,18.2ab/
   prakṛtyādyaṣṭabaṃdhenanirmuktomukta ucyate // ŚivP_1,18.2cd/	prakRti-Adi-azwa-baMDena-nirmuktaH-muktaH ucyate // Śivj-_1,18.2cd/
   prakṛtyādivaśīkāromokṣa ityucyatesvataḥ // ŚivP_1,18.3ab/	prakRti-Adi-vaSIkAromokzaH iti-ucyatesvatas // ŚivS-_1,18.3ab/
   baddhajīvastunirmuktomuktajīvaḥ sa kathyate // ŚivP_1,18.3cd/	badDa-jIvaH-tunirmuktaH-mukta-jIvaH sa kaTyate // Śivj-_1,18.3cd/
   prakṛtyagretatobuddhirahaṃkāroguṇātmakaḥ // ŚivP_1,18.4ab/	prakRti-agretataH-budDiH-ahaMkAraH-guNa-AtmakaH // ŚivS-_1,18.4ab/
   pañcatanmātramityeteprakṛtyādyaṣṭakaṃviduḥ // ŚivP_1,18.4cd/	paQcatanmAtram-iti-eteprakRti-Adi-azwakaMviduH // Śivj-_1,18.4cd/
   prakṛṭyādyaṣṭajodehodehajaṃkarma ucyate // ŚivP_1,18.5ab/	prakRwyAdi-azwa-jaH-dehaH-deha-jaMkarmaH ucyate // ŚivS-_1,18.5ab/
   punaścakarmajodehojanmakarmapunaḥpunaḥ // ŚivP_1,18.5cd/	punar-cakarma-jaH-dehaH-janma-karma-punar-punar // Śivj-_1,18.5cd/
   śarīraṃtrividhaṃjñeyaṃsthūlaṃsūkṣmaṃcakāraṇam // ŚivP_1,18.6ab/	SarIraMtri-viDaMjQeyaMsTUlaMsUkzmaMca-kAraNam // ŚivS-_1,18.6ab/
   sthūlaṃvyāpāradaṃproktaṃsūkṣmamiṃdriyabhogadam // ŚivP_1,18.6cd/	sTUlaMvyApAra-daMproktaMsUkzmam-iMdriya-Boga-dam // Śivj-_1,18.6cd/
   kāraṇaṃtvātmabhogārthaṃjīvakarmānurūpataḥ // ŚivP_1,18.7ab/	kAraNaMtvAtma-Boga-arTaMjIva-karma-anurUpataH // ŚivS-_1,18.7ab/
   sukhaṃ duḥkhaṃ puṇyapāpaiḥ karmabhiḥ phalamaśnute // ŚivP_1,18.7cd/	suKam duHKam puNya-pApEH karmaBiH Palam-aSnute // Śivj-_1,18.7cd/
   tasmāddhikarmarajjvā hi baddho jīvaḥ punaḥ punaḥ // ŚivP_1,18.8ab/	tasmAt-hikarma-rajjvA hi badDaH jIvaH punar punar // ŚivS-_1,18.8ab/
   śarīratrayakarmabhyāṃ cakravadbhrāmyate sadā // ŚivP_1,18.8cd/	SarIra-traya-karmaByAm cakra-vat-BrAmyate sadA // Śivj-_1,18.8cd/
   cakrabhramanivṛtyarthaṃ cakrakartāramīḍayet // ŚivP_1,18.9ab/	cakra-Brama-nivRti-arTam cakrakartAram-Ixayet // ŚivS-_1,18.9ab/
   prakṛtyādi mahācakraṃ prakṛteḥ parataḥ śivaḥ // ŚivP_1,18.9cd/	prakRti-Adi mahA-cakram prakRteH paratas SivaH // Śivj-_1,18.9cd/
   cakrakartāmaheśo hi prakṛteḥ paratoyataḥ // ŚivP_1,18.10ab/	cakrakartA-maheSaH hi prakRteH para-toyataH // ŚivS-_1,18.10ab/
   pibativāthavamatijīvanbālojalaṃyathā // ŚivP_1,18.10cd/	pibativATavam-atijIvan-bAlaH-jalaMyaTAH // ŚivS-_1,18.10cd/
   śivastathā prakṛtyādi vaśīkṛtyādhitiṣṭhati // ŚivP_1,18.11ab/	SivaH-taTA prakRti-Adi vaSIkRtya-aDitizWati // ŚivS-_1,18.11ab/
   sarvaṃvaśīkṛtaṃyasmāttasmācchiva iti smṛtaḥ // ŚivP_1,18.11cd/	sarvaMvaSIkRtaMyasmAt-tasmAt-SivaH iti smRtaH // Śivj-_1,18.11cd/
   śiva eva hi sarvajñaḥ paripūrṇaśca niḥspṛhaḥ // ŚivP_1,18.11ef/	SivaH eva hi sarvajQaH paripUrNaH-ca niHspRhaH // ŚivS-_1,18.11ef/
   sarvajñatātṛptiranādibodhaḥ svataṃtratā nityamaluptaśaktiḥ //	sarvajQa-tA-tRptiH-anAdi-boDaH sva-taMtratA nityam-alupta-SaktiH //
   ŚivP_1,18.12ab/	ŚivS-_1,18.12ab/
   anaṃtaśaktiścamaheśvarasya yanmānasaiśvaryamavaiti vedaḥ //	anaMtaSaktiH-ca-maheSvarasya yat-mAnasa-ESvaryam-avEti vedaH //
   ŚivP_1,18.12cd/	Śivj-_1,18.12cd/
   ataḥ śivaprasādena prakṛtyādivaśaṃbhavet // ŚivP_1,18.13ab/	atas Siva-prasAdena prakRti-Adi-vaSaMBavet // ŚivS-_1,18.13ab/
   śivaprasādalābhārthaṃ śivamevaprapūjayatet // ŚivP_1,18.13cd/	Siva-prasAda-lABa-arTam Sivam-eva-prapUjayatet // Śivj-_1,18.13cd/
   niḥspṛhasya ca pūrṇasyatasya pūjākathaṃ bhavet // ŚivP_1,18.14ab/	niHspRhasya ca pUrNasyatasya pUjA-kaTam Bavet // ŚivS-_1,18.14ab/
   śivoddeśakṛtaṃ karma prasādajanakaṃ bhavet // ŚivP_1,18.14cd/	Siva-uddeSa-kRtam karma prasAda-janakam Bavet // Śivj-_1,18.14cd/
   liṃgeberebhaktajaneśivamuddiśyapūjayet // ŚivP_1,18.15ab/	liMgebereBakta-janeSivam-uddiSya-pUjayet // ŚivS-_1,18.15ab/
   kāyenamanasāvācādhanenāpiprapūjayet // ŚivP_1,18.15cd/	kAyena-manasA-avAcA-Danena-apiprapUjayet // Śivj-_1,18.15cd/
   pujayā tu maheśo hi prakṛteḥ paramaḥ śivaḥ // ŚivP_1,18.16ab/	pujayA tu maheSaH hi prakRteH paramaH SivaH // ŚivS-_1,18.16ab/
   prasādaṃkurutesatyaṃpūjakasyaviśeṣataḥ // ŚivP_1,18.16cd/	prasAdaMkurutesati-aMpUjakasya-viSezataH // ŚivS-_1,18.16cd/
   śivaprasādātkarmādyaṃkrameṇasvavaśaṃbhavet // ŚivP_1,18.17ab/	Siva-prasAdAt-karma-Adi-aMkrameNa-svavaSaMBavet // ŚivS-_1,18.17ab/
   karmārabhyaprakṛtyaṃtaṃyadāsarvaṃ vaśaṃbhavet // ŚivP_1,18.17cd/	karma-AraBya-prakRti-aMtaMyadA-sarvam vaSaMBavet // Śivj-_1,18.17cd/
   tadāmukta itiproktaḥsvātmārāmovirājate // ŚivP_1,18.18ab/	tadA-amuktaH iti-proktaH-svAtma-ArAma-uvirAjate // ŚivS-_1,18.18ab/
   prasādātparameśasyakarma dehoyadāvaśaḥ // ŚivP_1,18.18cd/	prasAdAt-parameSasya-karma dehoyada-avaSaH // ŚivS-_1,18.18cd/
   tadāvaiśivaloketuvāsaḥsālokyamucyate // ŚivP_1,18.19ab/	tadA-vESiva-loketu-vAsaH-sAlokyam-ucyate // ŚivS-_1,18.19ab/
   sāmīpyaṃyātisāṃbasyatanmātrecavaśaṃgate // ŚivP_1,18.19cd/	sAmIpi-aMyAti-sAMbasya-tanmAtrecava-SaMgate // Śivj-_1,18.19cd/
   tadātuśivasāyujyamāyudhādyaiḥ kriyādibhiḥ // ŚivP_1,18.20ab/	tadA-atu-Siva-sAyujyam-AyuDa-AdyEH kriyA-AdiBiH // ŚivS-_1,18.20ab/
   mahāprasādalābhecabuddhiścāpivaśābhavet // ŚivP_1,18.20cd/	mahA-prasAda-lABeca-budDiH-ca-api-vaSA-aBavet // ŚivS-_1,18.20cd/
   buddhistukāryaṃprakṛtestatsṛṣṭiritikathyate // ŚivP_1,18.21ab/	budDiH-tu-kAryaMprakRteH-tad-sRzwiH-itikaTyate // ŚivS-_1,18.21ab/
   punarmahāprasādenaprakṛtirvaśameṣyati // ŚivP_1,18.21cd/	punar-mahA-prasAdena-prakRtiH-vaSam-ezyati // Śivj-_1,18.21cd/
   śivasyamānasaiśvaryaṃtadā 'yatnaṃbhaviṣyati // ŚivP_1,18.22ab/	SivasyamAna-sESvaryaMtadA ayatnaMBavizyati // ŚivS-_1,18.22ab/
   sārvajñādyaṃśivaiśvaryaṃlabdhvāsvātmani rājate // ŚivP_1,18.22cd/	sArvajQa-Adi-aMSi-vESvaryaMlabDvA-asu-Atmani rAjate // Śivj-_1,18.22cd/
   tatsāyujyamitiprāhurvedāgamaparāyaṇāḥ // ŚivP_1,18.23ab/	tad-sAyujya-miti-prAhuH-veda-Agama-parAyaNAH // ŚivS-_1,18.23ab/
   evaṃkrameṇamuktiḥsyālliṃgādaupūjayāsvataḥ // ŚivP_1,18.23cd/	evaMkrameNa-muktiHsyAt-liMgAt-OpUjayAsu-atas // ŚivS-_1,18.23cd/
   ataḥśivaprasādārthaṃkriyādyaiḥpūjayecchivam // ŚivP_1,18.24ab/	atas-Siva-prasAda-arTaMkriyA-AdyEH-pUjayet-Sivam // ŚivS-_1,18.24ab/
   śivakriyā śivatapaḥ śivamaṃtrajapaḥ sadā // ŚivP_1,18.24cd/	Siva-kriyA Siva-tapaH Siva-maMtra-japaH sadA // ŚivS-_1,18.24cd/
   śivajñānaṃśivadhyānamuttarottaramabhyaset // ŚivP_1,18.25ab/	Siva-jQAnaMSiva-DyAnam-uttarottaram-aByaset // ŚivS-_1,18.25ab/
   āsupterāmṛteḥkālaṃnayedvaiśivaciṃtayā // ŚivP_1,18.25cd/	AsupteH-AmRteH-kAlaMnayet-vESiva-ciMtayA // Śivj-_1,18.25cd/
   sadyādibhiścakusumairarcayecchiṃvameṣyati // ŚivP_1,18. 26ab/	sadya-AdiBiH-cakusumEH-arcayet-SiMvam-ezyati // ŚivS-_1,18. 26ab/
   ṛṣaya ūcuḥ	RzayaH UcuH
   liṃgādauśivapūjāyāvidhānaṃbrūhisarvataḥ // ŚivP_1,18.26cd/	liMga-AdOSiva-pUjAyAviDAnaMbrUhi-sarvataH // ŚivS-_1,18.26cd/
   sūta uvāca	sUtaH uvAca
   liṃgānāṃcakramaṃvakṣyeyathāvacchṛṇuta dvijāḥ // ŚivP_1,18.27ab/	liMgAnAMcakram-aMvakzyeyaTAvat-SRNuta dvijAH // ŚivS-_1,18.27ab/
   tadevaliṃgaṃ prathamaṃ praṇavaṃ sārvakāmikam // ŚivP_1,18.27cd/	tat-eva-liMgam praTamam praNavam sArvakAmikam // ŚivS-_1,18.27cd/
   sūkṣmapraṇavarūpaṃhisūkṣmarūpaṃtuniṣphalam // ŚivP_1,18.28ab/	sUkzma-praNava-rUpaMhi-sUkzma-rUpaMtu-nizPalam // ŚivS-_1,18.28ab/
   sthūlaliṃgaṃ hi sakalaṃtatpañcākṣaramucyate // ŚivP_1,18.28cd/	sTUlaliMgam hi sakalaMtat-paQcAkzaram-ucyate // ŚivS-_1,18.28cd/
   tayoḥ pūjātapaḥ proktaṃsākṣānmokṣaprade ubhe // ŚivP_1,18.29ab/	tayoH pUjA-AtapaH proktaMsAkzAn-mokza-prade uBe // ŚivS-_1,18.29ab/
   pauruṣaprakṛtibhūtāniliṃgānisubahūnica // ŚivP_1,18.29cd/	pOruza-prakRti-BUta-aniliMgA-nisu-bahUnica // Śivj-_1,18.29cd/
   tāni vistaratovaktuṃ śivo vettinacāparaḥ // ŚivP_1,18.30ab/	tAni vistaratovaktum SivaH vetti-naca-aparaH // ŚivS-_1,18.30ab/
   bhūvikārāṇiliṃgānijñātāniprabravīmivaḥ // ŚivP_1,18.30cd/	BU-vikArANi-liMga-anijQAta-aniprabravIm-ivaH // Śivj-_1,18.30cd/
   svayaṃbhūliṃgaṃprathamaṃbiṃduliṃgaṃdvitīyakam // ŚivP_1,18.31ab/	svayaMBU-liMgaMpraTam-aMbiMdu-liMgaMdvitIyakam // ŚivS-_1,18.31ab/
   pratiṣṭhitaṃcaraṃcaivaguruliṃgaṃtu pañcamam // ŚivP_1,18.31cd/	pratizWitaMcaraMca-eva-guru-liMgaMtu paQcamam // Śivj-_1,18.31cd/
   devarṣitapasā tuṣṭaḥ sānnidhyārthaṃtutatravai // ŚivP_1,18.32ab/	deva-Rzi-tapasA tuzwaH sAnniDya-arTaMtutatra-vE // ŚivS-_1,18.32ab/
   pṛthivyantargataḥśarvobījaṃ vai nādarūpataḥ // ŚivP_1,18.32cd/	pRTivI-antargataH-SarvaH-bIjam vE nAda-rUpataH // ŚivS-_1,18.32cd/
   sthāvarāṃkuravadbhūmimudbhidya vyakta eva saḥ // ŚivP_1,18.33ab/	sTAvara-aMkura-vat-BUmim-udBidya vyaktaH eva saH // ŚivS-_1,18.33ab/
   svayaṃbhūtaṃ jātamiti svayaṃbhūriti taṃ viduḥ // ŚivP_1,18.33cd/	svayaMBUtam jAtam-iti svayaMBUH-iti tam viduH // Śivj-_1,18.33cd/
   talliṃgapūjayā jñānaṃ svayameva pravardhate // ŚivP_1,18.34ab/	tad-liMga-pUjayA jQAnam svayam-eva pravarDate // ŚivS-_1,18.34ab/
   suvarṇarajatādau vā pṛthivyāṃsthiṃḍilepivā // ŚivP_1,18.34cd/	suvarNa-rajata-AdO vA pRTivyAMsTiMxilepivA // Śivj-_1,18.34cd/
   svahastāllikhitaṃ liṃgaṃ śuddhapraṇavamaṃtrakam // ŚivP_1,18.35ab/	sva-hastAt-liKitam liMgam SudDa-praNava-maMtrakam // ŚivS-_1,18.35ab/
   yaṃtraliṃgaṃ samālikhya pratiṣṭhāvāhanaṃ caret // ŚivP_1,18.35cd/	yaMtra-liMgam samAliKya pratizWA-vAhanam caret // Śivj-_1,18.35cd/
   biṃdunādamayaṃliṃgaṃsthāvaraṃjaṃgamaṃcayat // ŚivP_1,18.36ab/	biMdu-nAda-mayaMliMgaMsTO=-araMjaMgamaMcayat // ŚivS-_1,18.36ab/
   bhāvanāmayametaddhi śivadṛṣṭaṃ na saṃśayaḥ // ŚivP_1,18.36cd/	BAvanA-mayam-etat-hi Siva-dRzwam na saMSayaH // Śivj-_1,18.36cd/
   yatra viśvasyate śaṃbhustatra tasmai phalapradaḥ // ŚivP_1,18.37ab/	yatra viSvasyate SaMBuH-tatra tasmE Pala-pradaH // ŚivS-_1,18.37ab/
   svahastāllikhyate yaṃtre sthāvarādāvakṛtrime // ŚivP_1,18.37cd/	sva-hastAt-liKyate yaMtre sTAvarA-dO=-akRtrime // Śivj-_1,18.37cd/
   āvāhyapūjayecchaṃbhuṃṣoḍaśairupacārakaiḥ // ŚivP_1,18.38ab/	AvAhya-pUjayet-SaMBuMzoxaSEH-upacArakEH // ŚivS-_1,18.38ab/
   svayamaisvaryamāpnotijñānamabhyāsatobhavet // ŚivP_1,18.38cd/	svayamEsvaryam-Apnoti-jQAnam-aByAsatoBavet // Śivj-_1,18.38cd/
   devaiśca ṛṣibhiścāpisvātmasiddhyarthamevahi // ŚivP_1,18.39ab/	devEH-ca RziBiH-ca-api-sva-Atma-sidDi-arTam-eva-hi // ŚivS-_1,18.39ab/
   samaṃtreṇātmahastenakṛtaṃyacchuddhamaṃḍale // ŚivP_1,18.39cd/	samaMtreNa-Atma-hastena-kRtaMyat-SudDa-maMxale // ŚivS-_1,18.39cd/
   śuddhabhāvanayā caivasthāpitaṃ liṃgamuttamam // ŚivP_1,18.40ab/	SudDa-BAvanayA ca-eva-sTApitam liMgam-uttamam // ŚivS-_1,18.40ab/
   talliṃgaṃpauruṣaṃ prāhustatpratiṣṭhitamucyate // ŚivP_1,18.40cd/	tad-liMgaMpOruzam prAhuH-tat-pratizWitam-ucyate // ŚivS-_1,18.40cd/
   talliṃgapūjayānityaṃpauruṣaiśvaryamāpnuyāt // ŚivP_1,18.41ab/	tad-liMga-pUjaya-aniti-aMpOruza-ESvaryam-ApnuyAt // ŚivS-_1,18.41ab/
   mahadbhirbrāhmaṇaiścāpirājabhiścamahādhanaiḥ // ŚivP_1,18.41cd/	mahadBiH-brAhmaNEH-ca-api-rAjaBiH-ca-mahADanEH // Śivj-_1,18.41cd/
   śilpinākalpitaṃliṃgaṃmaṃtreṇasthāpitaṃcayat // ŚivP_1,18.42ab/	SilpinA-kalpitaMliMgaMmaMtreNa-sTApitaMcayat // ŚivS-_1,18.42ab/
   pratiṣṭhitaṃprākṛtaṃhiprākṛtaiśvaryabhogadam // ŚivP_1,18.42cd/	pratizWitaMprAkRtaMhi-prAkRta-ESvarya-Boga-dam // Śivj-_1,18.42cd/
   yadūrjitaṃcanityaṃ ca taddhi pauruṣamucyate // ŚivP_1,18.43ab/	yat-UrjitaMca-nityam ca tat-hi pOruzam-ucyate // ŚivS-_1,18.43ab/
   yaddurbalamanityaṃ ca taddhi prākṛtamucyate // ŚivP_1,18.43cd/	yat-durbalam-anityam ca tat-hi prAkRtam-ucyate // Śivj-_1,18.43cd/
   liṃgaṃnābhistathājihvānāsāgrañcaśikhākramāt // ŚivP_1,18.44ab/	liMgaMnABiH-taTA-ajihvA-nAsa-AgraQca-SiKA-kramAt // ŚivS-_1,18.44ab/
   kaṭyādiṣutrilokeṣu liṃgamādhyātmikaṃcaram // ŚivP_1,18.44cd/	kawi-Adizu-tri-lokezu liMgam-ADyAtmi-kaMcaram // ŚivS-_1,18.44cd/
   parvataṃpauruṣaṃ proktaṃbhūtalaṃ prākṛtaṃ viduḥ // ŚivP_1,18.45ab/	parvataMpOruzam proktaMBU-talam prAkRtam viduH // ŚivS-_1,18.45ab/
   vṛkṣādi pauruṣaṃ jñeyaṃ gulmādi prākṛtaṃ viduḥ // ŚivP_1,18.45cd/	vRkza-Adi pOruzam jQeyam gulma-Adi prAkRtam viduH // Śivj-_1,18.45cd/
   ṣāṣṭikaṃ prākṛtaṃ jñeyaṃ śāligodhūmapauruṣam // ŚivP_1,18.46ab/	zAzwikam prAkRtam jQeyam SAli-goDUma-pOruzam // ŚivS-_1,18.46ab/
   aiśvaryaṃ pauruṣaṃ vidyādaṇimādyaṣṭasiddhidam // ŚivP_1,18.46cd/	ESvaryam pOruzam vidyAt-aNima-Adi-azwa-sidDi-dam // Śivj-_1,18.46cd/
   sustrīdhanādiviṣayaṃ prākṛtaṃ prāhurāstikāḥ // ŚivP_1,18.47ab/	sustrI-Dana-Adi-vizayam prAkRtam prAhuH-AstikAH // ŚivS-_1,18.47ab/
   prathamaṃ caraliṃgeṣu rasaliṃgaṃ prakathyate // ŚivP_1,18.47cd/	praTamam caraliMgezu rasaliMgam prakaTyate // ŚivS-_1,18.47cd/
   rasaliṃgaṃbrāhmaṇānāṃsarvābhīṣṭapradaṃbhavet // ŚivP_1,18.48ab/	rasaliMgaMbrAhmaNAnAMsarva-aBIzwa-pradaMBavet // ŚivS-_1,18.48ab/
   bāṇaliṃgaṃkṣatriyāṇāṃ mahārājyapradaṃśubham // ŚivP_1,18.48cd/	bANa-liMgaMkzatriyANAm mahA-rAjya-pradaMSuBam // Śivj-_1,18.48cd/
   svarṇaliṃgaṃ tu vaiśyānāṃmahādhanapatitvadam // ŚivP_1,18.49ab/	svarNa-liMgam tu vESyAnAMmahADana-pati-tva-dam // ŚivS-_1,18.49ab/
   śilāliṃgaṃtuśūdrāṇāṃmahāśuddhikaraṃśubham // ŚivP_1,18.49cd/	SilA-liMgaMtu-SUdrANAMmahA-SudDi-karaMSuBam // ŚivS-_1,18.49cd/
   sphāṭikaṃbāṇaliṃgaṃ ca sarveṣāṃsarvakāmadam // ŚivP_1,18.50ab/	sPAwi-kaMbANa-liMgam ca sarveza-aMsarva-kAma-dam // ŚivS-_1,18.50ab/
   svīyābhāve 'nyadīyaṃtupūjāyāṃnaniṣiddhyate // ŚivP_1,18.50cd/	svIya-aBAve anyadIyaMtu-pUjAyAMna-nizidDyate // ŚivS-_1,18.50cd/
   strīṇāṃtupārthivaṃliṃgaṃsabhatḥṇāṃviśeṣataḥ // ŚivP_1,18.51ab/	strINAMtu-pArTivanliMgaMsa-BatHNAMviSezataH // ŚivS-_1,18.51ab/
   vidhavānāṃpravṛttānāṃsphāṭikaṃ parikīrtitam // ŚivP_1,18.51cd/	viDavAnAMpravRttAnAMsPAwikam parikIrtitam // Śivj-_1,18.51cd/
   vidhavānāṃ nivṛttānāṃ rasaliṃgaṃ viśiṣyate // ŚivP_1,18.52ab/	viDavAnAm nivRttAnAm rasaliMgam viSizyate // ŚivS-_1,18.52ab/
   bālyevāyauvanevāpivārdhakevāpisuvratāḥ // ŚivP_1,18.52cd/	bAlyA-iva-ayOvaneva-api-va-arDaka-ivApi-suvratAH // ŚivS-_1,18.52cd/
   śuddhasphaṭikaliṃgaṃtustrīṇāṃtatsarvabhogadam // ŚivP_1,18.53ab/	SudDa-sPawika-liMgaMtuH-trINAMtat-sarva-Boga-dam // ŚivS-_1,18.53ab/
   pravṛttānāṃpīṭhapūjāsarvābhīṣṭapradā bhuvi // ŚivP_1,18.53cd/	pravRttAnAMpIWa-pUjA-sarva-aBIzwa-pradA Buvi // Śivj-_1,18.53cd/
   pātreṇaivapravṛttastusarvapūjāṃsamācaret // ŚivP_1,18.54ab/	pAtreNa-eva-pravRttaH-tu-sarva-pUjA-aMsam-Acaret // ŚivS-_1,18.54ab/
   abhiṣekāṃtenaivedyaṃśālyannenasamācaret // ŚivP_1,18.54cd/	aBizeka-aMtena-eva-idyaMSAlyannena-samAcaret // Śivj-_1,18.54cd/
   pūjāṃtesthāpayelliṃgaṃsaṃpuṭeṣupṛthaggṛhe // ŚivP_1,18.55ab/	pUjA-aMtesTApayet-liMgaMsaMpuwa-izu-pRTak-gRhe // ŚivS-_1,18.55ab/
   karapūjānivṛttānāṃsvabhojyaṃtunivedayet // ŚivP_1,18.55cd/	kara-pUjA-nivRttAnAMsu-aBojyaMtunivedayet // Śivj-_1,18.55cd/
   nivṛttānāṃparaṃsūkṣmaliṃgamevaviśiṣyate // ŚivP_1,18.56ab/	nivRttAnAMparaMsUkzma-liMgam-eva-viSizyate // ŚivS-_1,18.56ab/
   vibhūtyabhyarcanaṃ kuryādvibhūtiṃcanivedayet // ŚivP_1,18.56cd/	viBUti-aByarcanam kuryAt-viBUtiMcanivedayet // Śivj-_1,18.56cd/
   pūjāṃkṛtvāthatalliṃgaṃśirasādhārayetsadā // ŚivP_1,18.57ab/	pUjA-aMkRtvA-aTa-tad-liMgaMSiH-asADArayet-sadA // ŚivS-_1,18.57ab/
   vibhūtistrividhāproktālokavedaśivāgnibhiḥ // ŚivP_1,18.57cd/	viBUtiH-triviDA-prokta-Aloka-veda-Siva-agniBiH // Śivj-_1,18.57cd/
   lokāgnijamatho bhasmadravyaśuddhyarthamāvahet // ŚivP_1,18.58ab/	loka-agnijam-aTaH Basma-dravya-SudDi-arTam-Avahet // ŚivS-_1,18.58ab/
   mṛddāruloharūpāṇāṃdhānyānāṃcatathaivaca // ŚivP_1,18.58cd/	mRd-dAru-loha-rUpANa-aMDAn-yAnAMca-taTA-eva-ca // Śivj-_1,18.58cd/
