   Abhidharmadīpaḥ	ABiDarma-dIpaH
   yadiṣṭaphaladaṃ karma kuśalaṃ tadudāhṛtam /	yat-izwa-Pala-dam karma kuSalam tat-udAhRtam /
   viparyayeṇākuśalamavyākṛtamato 'nyathā // [174] //	viparyayeNa-akuSalam-avyAkRtam-atas anyaTA // [174] //
   kāmāptaṃ prathamaṃ puṇyamapuṇyamaśubhātmakam /	kAma-Aptam praTamam puNyam-apuNyam-aSuBa-Atmakam /
   ūrdhvabhūmikamānejyaṃ vipākaṃ pratyanejanāt // [175] //	UrDva-BUmikamAnA-ijyam vipAkam pratyanejanAt // [175] //
   sukhavedyaṃ śubha(bhaṃ) karma dhyānādarvākturīyakāt /	suKa-vedyam SuBa(BaM) karma DyAnAt-arvAk-turIyakAt /
   upekṣāvedyamanyatra duḥkhavedyantu pāpakam // [176] //	upekzA-vedyam-anyatra duHKa-vedyantu pApakam // [176] //
   adho 'pi madhyamaṃ karma dhyānenā ntyepi nirvṛteḥ /	aDas api maDyamam karma DyAnenA ntyepi nirvRteH /
   yugapattrivipākeṣṭerdhyānāntaravipākataḥ // [177] //	yugapad-tri-vipAka-izweH-DyAna-antara-vipAkataH // [177] //
   punaścaturvidhaṃ karma dṛṣṭavedyādibhedataḥ /	punar-caturviDam karma dRzwa-vedya-Adi-BedataH /
   janmanastribhirākṣepo dṛṣṭadharmāhvayādṛte // [178] //	janmanaH-triBiH-AkzepaH dRzwa-Darma-AhvayAt-Rte // [178] //
   caturṇāmapi cākṣepaḥ sarvatra narakādṛte /	caturNAm-api ca-AkzepaH sarvatra narakAt-Rte /
   na tatreṣṭaphalābhāvācchubhaṃ yasmādvipacyate // [179] //	na tatra-izwa-Pala-aBAvAt-SuBam yasmAt-vipacyate // [179] //
   notpadyavedyakṛttatra yadviraktaḥ pṛthagjanaḥ /	na-utpadya-vedya-kRt-tatra yat-viraktaH pRTagjanaH /
   sthiro nāparakṛccāryaścalo 'pi bhavamūlayoḥ // [180] //	sTiraH na-apara-kRt-cAryaH-calaH api Bava-mUlayoH // [180] //
   yadārtraraudracittena karmābhīkṣṇaṃ niṣevyate /	yadA-Artra-rOdra-cittena karma-aBIkzNam nizevyate /
   satkṣetre kriyate yacca phalaṃ tasya niyamyate // [181] //	sat-kzetre kriyate yat-ca Palam tasya niyamyate // [181] //
   kṣetrāśayaviśeṣācca phalaṃ sadyo vipacyate /	kzetra-ASaya-viSezAt-ca Palam sadyas vipacyate /
   nirodhavyutthitādau ca sadyaḥ kālaphalakriyā // [182] //	niroDa-vyutTita-AdO ca sadyas kAlaPala-kriyA // [182] //
   tadbhūmyapunarutpatteḥ vipākaniyataṃ ca yat /	tad-BUmi-apunarutpatteH vipAka-niyatam ca yat /
   tacca dṛṣṭaphalaṃ vidyāt karmādaḥ paripūrakam // [183] //	tat-ca dRzwa-Palam vidyAt karma-AdaH paripUrakam // [183] //
   kuśalasyāvicārasya caitasikyeva vedanā /	kuSalasya-avicArasya cEtasikI-A-iva vedanA /
   vipākaḥ kāyikī tviṣṭā duḥkhavedyasya karmaṇaḥ // [184] //	vipAkaH kAyikI tu-izwAH duHKa-vedyasya karmaNaH // [184] //
   sapākamaśubhaṃ kṛṣṇaṃ sapākaṃ rūpajaṃ sitam /	sa-pAkam-aSuBam kRzNam sa-pAkam rUpa-jam sitam /
   śubhāśubhaṃ dvidhā kāye(me) nirmalaṃ tatprahāṇakṛt // [185] //	SuBa-aSuBam dviDA kAye(-me) nirmalam tad-prahANa-kRt // [185] //
   casasro dṛkpathā dṛṣṭau cetanābhāvanāpathāt /	casasraH dRS-paTA dRzwO cetanA-BAvanA-paTAt /
   ānantaryapathāḥ kāme karmaitatkṛṣṇanāśakṛt // [186] //	Anantarya-paTAH kAme karma-etat-kRzNa-nASa-kRt // [186] //
   navame cetanā yā tu sā kṛṣṇākṛṣṇayā [ghā]tinī /	navame cetanA yA tu sA kRzNA-kRzNayA [GA]tinI /
   antānantaryamārgasthā dhyāne dhyāne sitasya tu // [187] //	anta-Anantarya-mArga-sTAH DyAne DyAne sitasya tu // [187] //
   kāyādyakuśalaṃ karma sarvaṃ duścaritaṃ matam /	kAya-Adi-akuSalam karma sarvam duScaritam matam /
   abhidhyādīnyapi trīṇi manoduścaritatrayam // [188] //	aBiDyAdIni-api trINi manaH-duScarita-trayam // [188] //
   śubhaṃ tatsānabhidhyādi proktaṃ sucaritatrayam /	SuBam tat-sAnaBiDi-A-Adi proktam su-carita-trayam /
   dvayaṃmaulamadaḥ karma mārgā daśa śubhāśubhāḥ // [189] //	dvayaMmOla-madaH karma mArgAH daSa SuBa-aSuBAH // [189] //
   [abhidharmadīpe vibhāṣāprabhāyāṃ [vṛttau] caturthādhyāyasya dvitīyaḥ pādaḥ	[aBi-Darma-dIpe viBAzA-praBAyAm [vRttO] caturTa-aDyAyasya dvitIyaH pAdaH
   caturthādhyāye tṛtīyapādaḥ /	caturTa-aDyAye tRtIya-pAdaH /
   kāritāḥ ṣaḍavijñaptidvaryātmaikaste 'pi ṣaṭ kṛtāḥ /	kAritAH zaz-avijQapti-dvarI-AtmA-ekaH-te api zax kRtAH /
   śubhāḥ sapta dvidhā jñeyā ekavai(dhai)te samāhitāḥ // [190] //	SuBAH sapta dviDA jQeyAH eka-vE(DE)te samAhitAH // [190] //
   yā sāmanteṣvavijñaptiḥ pṛṣṭheṣu tu viparyayaḥ /	yA sAmantezu-avijQaptiH pRzWezu tu viparyayaH /
   prayogastu trimūlotthaḥ [abhidhyādyāstrimūlajāḥ] // [191] //	prayogaH-tu trimUla-utTaH [aBiDi-AdyAH-tri-mUla-jAH] // [191] //
   [kuśalāḥ prayogapṛṣṭhāśca kuśalatrayamūlajāḥ] /	[kuSalAH prayoga-pRzWAH-ca kuSala-traya-mUla-jAH] /
   dveṣeṇa vadhapāruṣyavyāpattīnāṃ samāpanam // [192] //	dvezeNa vaDa-pAruzya-vyApattInAm samApanam // [192] //
   steyasyānyāṅganāyāterabhidhyāyāśca lobhataḥ /	steyasya-anya-aFganA-AyAteH-aBiDyAyAH-ca loBataH /
   mithyādṛśastu mohena tadanyeṣāṃ tribhirmatam // [193] //	miTyA-dRSaH-tu mohena tad-anyezAm triBiH-matam // [193] //
   caturṇāmapyadhiṣṭhānaṃ jñeyameṣāṃ yathākramam /	caturNAm-api-aDizWAnam jQeyam-ezAm yaTAkramam /
   prāṇinaścātha bhogāśca nāmarūpaṃ ca nāma ca // [194] //	prANinaH-ca-aTa BogAH-ca nAma-rUpam ca nAma ca // [194] //
   prāṇātipāto dhīpūrvamabhrāntyā paramāraṇam /	prANa-atipAtaH DI-pUrvam-aBra-antyA para-mAraNam /
   atyaktānyadhanādānamadattādānamucyate // [195] //	atyakta-ani-a-Dana-AdAnam-adattA-dAnam-ucyate // [195] //
   parastrīgamanaṃ kāmamithyācāro vikalpavān /	para-strI-gamanam kAma-miTyA-AcAraH vikalpavAn /
   arthajñāyānyathāvādo drohabuddhyā mṛṣāvacaḥ // [196] //	arTa-jQAya-anyaTA-vAdaH droha-budDyA mRzA-vacaH // [196] //
   dṛṣṭyā śrutyādibhiścākṣairmaṇa(na)sā yacca gṛhyate /	dRzwyA Sruti-AdiBiH-ca-akzEH-maNa(na)sA yat-ca gRhyate /
   dṛṣṭaṃ śrutaṃ mataṃ jñātamityuktaṃ tadyathākramam // [197] //	dRzwam Srutam matam jQAtam-iti-uktam tat-yaTAkramam // [197] //
   paiśunyaṃ bhedakṛdvākyaṃ pāruṣyaṃ tu yadapriyam /	pESunyam Beda-kRt-vAkyam pAruzyam tu yat-apriyam /
   kliṣṭaṃ saṃbhinnalāpitvamanye gītakathādivat // [198] //	klizwam saMBinna-lApi-tvam-anye gIta-kaTA-Adi-vat // [198] //
   parasvāsatspṛhābhidhyā vyāpā[daḥ] sattvagocaraḥ /	para-sva-asat-spRhA-aBiDyA vyApA[-daH] sattva-gocaraH /
   vidveṣānānantadṛṣṭistu mithyādṛṣṭi [rahetukā] // [199] //	vidvezAn-Ananta-dRzwiH-tu miTyA-dRzwi [ra-hetukA] // [199] //
   cetanā na kriyāmārgastaistu sattā pravartate /	cetanA na kriyA-mArgaH-tEH-tu sattA pravartate /
   yugapadyāva[daṣṭā] bhiraśubhaiścetanaiḥ saha // [200] //	yugapad-ya-ava[dazwA] BiH-aSuBEH-cetanEH saha // [200] //
   [śubhaistu] daśabhiryāvatsārvaṃ(rdhaṃ) naikāṣṭapañcabhiḥ /	[SuBEH-tu] daSaBiH-yAvat-sArvaM(rDaM) na-eka-azwa-paQcaBiH /
   vilāpadveṣapāruṣyāṇyu(ṇi)ṣa (sa)nti narake dvidhā // [201] //	vilApa-dveza-pAruzyANi-u(Ni)zaH (sa)nti narake dviDA // [201] //
   tadvadeva matābhidhyā mithyādṛṣṭistathaiva ca /	tadvat-eva mata-aBiDyA miTyAdRzwiH-taTA-eva ca /
   abhidhyāditrayaṃ tadvatkurau pralapanaṃ dvidhā // [202] //	aBiDyAdi-trayam tadvat-kurO pralapanam dviDA // [202] //
   aśubhāstu daśānyatra sarvatra kuśalāstrayaḥ /	aSuBAH-tu daSa-anyatra sarvatra kuSalAH-trayaH /
   ārūpyāryāsaṃjñināṃ ca rūpiṇaḥ sapta lābhataḥ // [203] //	ArUpya-AryA-saMjQinAm ca rUpiNaH sapta lABataH // [203] //
   kurūnsanarakānhitvā sarvatrānyatra te dvidhā /	kurUn-sa-narakAn-hitvA sarvatra-anyatra te dviDA /
   sarve vipākaniṣyandādhipatyaphaladā daśa // [204] //	sarve vipAka-nizyanda-ADipatya-Pala-dAH daSa // [204] //
   duḥkhopasaṃhṛterduḥkhamalpāyuṣṭvantu māraṇāt /	duHKa-upasaMhRteH-duHKam-alpa-Ayuzwvantu mAraNAt /
   tejonāśātkṛśaujastvamidaṃ tattrividhaṃ phalam // [205] //	tejaH-nASAt-kRSa-ojaH-tvam-idam tat-triviDam Palam // [205] //
   ānantaryapathe karma phalavatpañcabhiḥ phalaiḥ /	Anantarya-paTe karma Palavat-paQcaBiH PalEH /
   caturbhistvamalenāryaṃ tadvadanyacchabhāśubham // [206] //	caturBiH-tu-amalena-Aryam tadvat-anyat-SaBa-aSuBam // [206] //
   tato 'nyannirmalaṃ jñeyaṃ tribhiravyākṛtaṃ tathā /	tatas anyat-nirmalam jQeyam triBiH-avyAkRtam taTA /
   phalaṃ śubhasya catvāri dvetrīṇi ca śubhādayaḥ // [207] //	Palam SuBasya catvAri dvetrINi ca SuBa-AdayaH // [207] //
   śubhādyāstvaśubhasya dve trīṇi catvāri ca kramāt /	SuBa-AdyAH-tu-aSuBasya dve trINi catvAri ca kramAt /
   avyākṛtasya te tu dve trīṇi trīṇi śubhādayaḥ // [208] //	avyAkRtasya te tu dve trINi trINi SuBa-AdayaH // [208] //
   sarve catvāryatītasya madhyamasya ca bhāvinaḥ /	sarve catvAri-atItasya maDyamasya ca BAvinaH /
   madhyamā dve svakasyaiva trīṇyanāgāmijanmanaḥ // [209] //	maDyamA dve svakasya-eva trINi-anAgAmi-janmanaH // [209] //
   catvāryekabhuvo dve vā trīṇi cāparabhūmikāḥ /	catvAri-eka-BuvaH dve vA trINi ca-apara-BUmikAH /
   śaikṣādyāstrīṇi śaikṣasya ta evāśaikṣakarmaṇaḥ // [210] //	SEkza-AdyAH-trINi SEkzasya te eva-aSEkza-karmaNaH // [210] //
   ekaṃ trīṇi dvayaṃ caiva śaikṣādyāḥ paścimasya tu /	ekam trINi dvayam ca-eva SEkzA-AdyAH paScimasya tu /
   dve dve pañca yathāsaṃkhyaṃ dṛggheyasya tu karmaṇaḥ // [211] //	dve dve paQca yaTAsaMKyam dRS-heyasya tu karmaNaH // [211] //
   trīṇi catvāri caikaṃ ca dṛṣṭiheyādayaḥ smṛtāḥ /	trINi catvAri ca-ekam ca dRzwi-heya-AdayaH smRtAH /
   te tvabhyāsapraheyasya dve catvāri tridhā matāḥ // [212] //	te tu-aByAsa-praheyasya dve catvAri triDA matAH // [212] //
   kramādekadvicatvāri te tvaheyasya karmaṇaḥ /	kramAt-eka-dvi-catvAri te tu-aheyasya karmaNaH /
   ekenākṣipyate[janma] bhūribhiḥ paripūryate // [213] //	ekena-Akzipyate[-janma] BUriBiH paripUryate // [213] //
   kuśalaṃ vāthavā pāpaṃ yadatītaṃ dadatphalam /	kuSalam vA-aTavA pApam yat-atItam dadat-Palam /
   svaṃ kāyavāṅmanaskarma sā karmasvakatā matā // [214] //	svam kAya-vAc-manaskarma sA karma-svakatA matA // [214] //
   saṃvṛtyā skandhasantāne tatkriyāphaladarśaṇā(nā)t /	saMvRtyA skanDa-santAne tad-kriyA-Pala-darSaNA(-nA)t /
   karttṛtā bhoktṛtā coktā niṣiddhā śāśvatasya tu // [215] //	karttR-tA BoktRtA ca-uktA nizidDA SASvatasya tu // [215] //
   syātkarmasvakatā nāsti tasya ceti catuṣkikā /	syAt-karma-svaka-tA na-asti tasya ca-iti catuzkikAH /
   prathamā tatphalasthasya vihāṇā(nā)ttasya karmaṇaḥ // [216] //	praTamA tad-Pala-sTasya vihANA(-nA)ttasya karmaNaH // [216] //
   dvitīyā tatphalasthasya karmaṇā tena cānvayāt /	dvitIyA tad-Pala-sTasya karmaNA tena ca-anvayAt /
   tṛtīyobhayayuktasya caturthyanubhayasya tu // [217] //	tRtIya-uBaya-yuktasya caturTI-anuBayasya tu // [217] //
   syātkarmasvakatā nāpi tatphalaṃ vedayiṣyati /	syAt-karma-svaka-tA na-api tad-Palam vedayizyati /
   tatphalāvasthitasyādyā jñeyā taccarame phale // [218] //	tad-Pala-avasTitasya-AdyAH jQeyA tat-carame Pale // [218] //
   dvitīyā dhruvapākasya tadvipākānavasthite /	dvitIyA Druva-pAkasya tad-vipAkAn-avasTite /
   tṛtīyā dvayasadbhāvā caturthī tūbhayaṃ vinā // [219] //	tRtIyA dvaya-sadBAvA caturTI tu-uBayam vinA // [219] //
   syātkarmaṇānvitaścaiva no ca tatphalavedanam /	syAt-karmaNA-anvitaH-ca-eva no ca tad-Pala-vedanam /
   ādyā dattavipākena niruddhānāgatādinā // [220] //	AdyA datta-vipAkena nirudDAnAgata-AdinA // [220] //
   dvitīyā tu vihīṇe(ne)na dhruvapākena karmaṇā /	dvitIyA tu vihINe(ne)na Druva-pAkena karmaNA /
   tṛtīyā dvayamuktasya caturthī tu dvayādṛte // [221] //	tRtIyA dvayam-uktasya caturTI tu dvayAt-Rte // [221] //
   ayuktavihitaṃ karma kleśopakleśadūṣitam /	ayukta-vihitam karma kleSa-upakleSa-dUzitam /
   śikṣāliṅgādyapetaṃ ca kecidāhurvipaścitaḥ // [222] //	SikzA-liFga-Adi-apetam ca kecid-AhuH-vipaScitaH // [222] //
   abhidharmadīpe vibhāṣāprabhāyāṃ vṛttau caturthasyādhyāyasya tṛtīyaḥ pādaḥ	aBiDarma-dIpe viBAzA-praBAyAm vRttO caturTasya-aDyAyasya tRtIyaH pAdaH
   caturthādhyāye caturthapādaḥ /	caturTa-aDyAye caturTa-pAdaH /
   bodhisattvaḥ kuto yāvadavivartyamanā yataḥ /	boDisattvaH kutas yAvat-avivarti-amanAH yatas /
   baghnāti bodhisannāhamaṅgīkṛtvā jagaddhitam // [223] //	baGnAti boDi-sannAham-aFgIkRtvA jagat-hitam // [223] //
   yadā lākṣaṇikaṃ karma prakarotyanapāyagaḥ /	yadA lAkzaNikam karma prakaroti-anapAya-gaH /
   mahākulaḥ samagrākṣaḥ svaparṣatsaṃgrahe rataḥ // [224] //	mahAkulaH samagrAkzaH sva-parzat-saMgrahe rataH // [224] //
   pumāñjātismaro vāgmī prajñāvīryakriyānvitaḥ /	pumAn-jAtismaraH vAgmI prajQA-vIrya-kriyA-anvitaH /
   tadā devamanuṣyāṇāmabhivyaktiṃ nigacchati // [225] //	tadA deva-manuzyANAm-aBivyaktim nigacCati // [225] //
   sa hi tribhirasaṃkhyeyairdharmakāyaguṇārṇavam /	sa hi triBiH-asaMKyeyEH-Darma-kAya-guNa-arNavam /
   pracinoti tadādhāraṃ kāyaṃ kalpaśatena tu // [226] //	pracinoti tad-ADAram kAyam kalpa-Satena tu // [226] //
   dvātriṃśallakṣaṇopetamaśītivyañja nojjvalam /	dvAtriMSat-lakzaNa-upetam-aSIti-vyaQja na-ujjvalam /
   dviṣatāmapi yaṃ dṛṣṭvā manaḥ sadyaḥ prasīdati // [227] //	dvizatAm-api yam dRzwvA manaH sadyas prasIdati // [227] //
   yugāntavāyuṇā(nā) meruḥ vahniṇā(nā) varuṇālayaḥ /	yugAnta-vAyuNA(nA) meruH vahniNA(nA) varuNAlayaH /
   vajreṇa dhvasyate vajramavikāri tu tanmanaḥ // [228] //	vajreNa Dvasyate vajram-avikAri tu tat-manaH // [228] //
   kāmāptaṃ ṣaṣṭhajaṃ tredhā kṛpāśraddhāparamparam /	kAma-Aptam zazWa-jam treDA kRpA-SradDA-paramparam /
   buddhotpāde naraḥ strī vā tadādyaṃ cittamaśnute // [229] //	budDa-utpAde naraH strI vA tad-Adyam cittam-aSnute // [229] //
   sarvebhyaḥ sarvadā sarvaṃ vadato dānapūraṇam /	sarveByaH sarvadA sarvam vadataH dAna-pUraNam /
   maraṇe 'pi damātyāgaḥ śīlasyotkṛṣṭirucyate // [230] //	maraNe api damA-tyAgaH SIlasya-utkRzwiH-ucyate // [230] //
   vīryasya tiṣyasaṃstutyā dhiyo vajropamātparam /	vIryasya tizya-saMstutyAH DiyaH vajra-upamAt-param /
   `sarvāsāṃ tu kṣayajñāne paripūrirvidhīyate' // [231] //	`sarvAsAm tu kzaya-jQAne paripUriH-viDIyate-a // [231] //
   tripuṇyakṛtivastvādyāstallābhopāyadeśanāḥ /	tripuNya-kRti-vastu-AdyAH-tad-lABa-upAya-deSanAH /
   tathā caturadhiṣṭhānaṃ saptasaddharmaśāsanam // [232] //	taTA catur-aDizWAnam saptasat-Darma-SAsanam // [232] //
   saptayogāstrayaḥskandhā striśikṣādyāśca deśitāḥ /	sapta-yogAH-trayaH-skanDA striSikza-AdyAH-ca deSitAH /
   tathā pāramitāścāpi catasro vinayoditāḥ // [233] //	taTA pAramitAH-ca-api catasraH vinaya-uditAH // [233] //
   bodhipakṣyāśca kaṇṭhoktāḥ saptatriṃśatsvayaṃbhuvā /	boDi-pakzyAH-ca kaNWa-uktAH saptatriMSat-svayaMBuvA /
   hetavaḥ sarvabodhināṃ trividhā mṛdutādibhiḥ // [234] //	hetavaH sarva-boDinAm triviDA mRdu-tA-AdiBiH // [234] //
   tasmānna bodhimārgo 'nyaḥ sūtrādipiṭakatrayāt /	tasmAt-na boDi-mArgaH anyaH sUtra-Adi-piwaka-trayAt /
   ato 'vyamiha yo brūyātsa bhavenmārabhāṣitaḥ // [235] //	atas avyam-iha yaH brUyAt-sa Bavet-mAra-BAzitaH // [235] //
   kalpānāṃ mahatāmetadasaṃkhyeyatrayaṃ matam /	kalpAnAm mahatAm-etat-asaMKyeya-trayam matam /
   sthānāntaramasaṃkhyākhyamadaḥsaṃkhyopari sthitam // [236] //	sTAna-antaram-asaMKya-AKya-madaH-saMKyA-upari sTitam // [236] //
   apakarṣe jinotpattiryāvacchatasamāyuṣaḥ /	apakarze jina-utpattiH-yAvat-Sata-samAyuzaH /
   dvayoḥ pratyekabuddhānāmutkarṣe cakravarti ṇā(nā)m // [237] //	dvayoH pratyekabudDAnAm-utkarze cakravarti NA(nA)m // [237] //
   nādho 'śītisahastrāsau (yo) statsamutpattiriṣyate /	na-aDas aSIti-sahastrA-asO (yo) stat-samutpattiH-izyate /
   te hemarūpyatāmrāyaścakrāḥ puṇyaprabhāvataḥ // [238] //	te hema-rUpya-tAmra-ayaH-cakrAH puNya-praBAvataH // [238] //
   tulye 'pi sādhanopāye tadbhedo 'kṣādibhedataḥ /	tulye api sADana-upAye tad-BedaH akza-Adi-BedataH /
   bhavamokṣārthinormātroḥ pradānaphalabhedavat // [239] //	Bava-mokza-arTinoH-mAtroH pradAna-Pala-Beda-vat // [239] //
   karuṇābhāvanodrekātsvasaṃviccittayostathā /	karuNA-BAvanA-udrekAt-sva-saMvid-cittayoH-taTA /
   parasaṃvidgurostadvattadviśeṣo vidhīyate // [240] //	para-saMvid-guroH-tadvat-tat-viSezaH viDIyate // [240] //
   hetutattvaphalodbhūtaṃ mahattvaṃ śāsitustridhā /	hetu-tattva-Pala-udBUtam mahat-tvam SAsituH-triDA /
   vimuktāvapi tulyāyāṃ trayāṇāṃ bodhi lambhanāt // [241] //	vimuktO=-api tulyAyAm trayANAm boDi lamBanAt // [241] //
   buddhasya saṃmukhīnasya bauddhamākṣipyate vapuḥ /	budDasya saMmuKInasya bOdDam-Akzipyate vapuH /
   saikapuṇyaśatodbhūtamekaikaṃ lakṣaṇaṃ muneḥ // [242] //	sa-eka-puNya-Sata-udBUtam-ekEkam lakzaNam muneH // [242] //
   yathākarmapathāstadvatpuṇyāditrayamiṣyate /	yaTAkarma-paTAH-tadvat-puNya-Adi-trayam-izyate /
   dānaṃ hi dīyate yena svaparārthādyapekṣayā // [243] //	dAnam hi dIyate yena sva-para-arTa-Adi-apekzayA // [243] //
   kāyādikarma tattattvamavijñaptiḥ kvacitpunaḥ /	kAya-Adi-karma tat-tattvam-avijQaptiH kvacid-punar /
   prādhānyānmuninā proktaṃ mahābhogaphalaṃ hi tat // [244] //	prADAnyAt-muninA proktam mahA-Boga-Palam hi tat // [244] //
   svānyobhayārthasiddhyarthaṃ dānaṃ dadati kecana /	sva-anya-uBaya-arTa-sidDi-arTam dAnam dadati kecana /
   sādhuvṛttyanuvṛtyarthaṃ nobhayārthāya cāpare // [245] //	sADu-vRtti-anuvRti-arTam na-uBaya-arTAya ca-apare // [245] //
   dātṛvastvādivaiśiṣṭyāttatphalātiśayaḥ smṛtaḥ /	dAtR-vaH-tu-Adi-vESizwyAt-tad-Pala-atiSayaH smRtaH /
   śraddhādibhirguṇairdātā datte 'taḥ satkriyādibhiḥ // [246] //	SradDA-AdiBiH-guNEH-dAtA datte atas satkriyA-AdiBiH // [246] //
   satkārādiguṇopetaṃ phalaṃ tasmādavāpnute /	satkAra-Adi-guNa-upetam Palam tasmAt-avApnute /
   vastu varṇādisaṃpannaṃ saurūpyādi phalapradam // [247] //	vastu varNa-Adi-saMpannam sOrUpya-Adi Pala-pradam // [247] //
   guṇaduḥkhopakārākhyarṃdharmaiḥ kṣetraṃ viśiṣyate /	guNa-duHKa-upakAra-AKya-rMDarmEH kzetram viSizyate /
   āśayādi mṛdutvādermṛdutvādīni karmaṇaḥ // [248] //	ASaya-Adi mRdu-tva-AdeH-mRdu-tva-AdIni karmaNaH // [248] //
   dharmadātre 'pi bālāya pitre mātre 'tha rogiṇe /	Darma-dAtre api bAlAya pitre mAtre aTa rogiNe /
   ameyaṃ bodhisattvāya dānamanyabhavāya ca // [249] //	ameyam boDisattvAya dAnam-anya-BavAya ca // [249] //
   bodhisattvasya yaddānna(na)manyasyāpi yadaṣṭamam /	boDisattvasya yat-dAnna(na)manyasya-api yat-azwamam /
   vipaścidbhistadākhyātaṃ śreṣṭhaṃ yaccārhato 'rhate // [250] //	vipaScidBiH-tat-AKyAtam SrezWam yat-ca-arhataH arhate // [250] //
   saṃpradhārya yadākṣiptaṃ pūraṇādidṛḍhīkṛtam /	saMpraDArya yadA-Akziptam pUraNa-Adi-dRXIkRtam /
   vigatapratipakṣaṃ ca tatkarmopacitaṃ matam // [251] //	vigata-pratipakzam ca tad-karma-upacitam matam // [251] //
   svasmāttyāgaguṇāpekṣāścaittāścaityārcatādiṣu /	svasmAt-tyAga-guNa-apekzAH-cEttAH-cEtya-arcata-Adizu /
   vinā pratigṛhītrāpi phalaṃ maitrīvihāravat // [252] //	vinA pratigRhItrA-api Palam mEtrI-vihAra-vat // [252] //
   dharmadānasvabhāvo vāktattvanāmādigocaraḥ /	Darma-dAna-svaBAvaH vAc-tattva-nAma-Adi-gocaraH /
   avyākṛtasvabhāvatvānna nāmādyannadānavat // [253] //	avyAkRta-svaBAva-tvAt-na nAma-Adi-anna-dAna-vat // [253] //
   śīlaṃ śubhamayaṃ rūpaṃ vyākhyātaṃ tatprabhedataḥ /	SIlam SuBa-mayam rUpam vyAKyAtam tad-praBedataH /
   śāstre tu tappradhā natvātproktaṃ svargopapattaye // [254] //	SAstre tu tap-praDA na-tvAt-proktam svarga-upapattaye // [254] //
   dauḥśīlyāśubhamūlādyairdoṣairyanna vidūṣitam /	dOHSIlya-aSuBa-mUla-AdyEH-dozEH-yat-na vidUzitam /
   tadvipakṣaśamāṅgaṃ ca yattacchaddhamihocyate // [255] //	tad-vipakza-Sama-aFgam ca yat-tat-SadDam-iha-ucyate // [255] //
   puṇyaṃ samāhitaṃ tvatra bhāvanā cittabhāvanāt /	puNyam samAhitam tu-atra BAvanA citta-BAvanAt /
   pradhānyādapavargāya taduktaṃ sarvadarśinā // [256] //	praDAnyAt-apavargAya tat-uktam sarva-darSinA // [256] //
   puṇyanirvāṇabhāgīyaṃ nirvedhānuguṇaṃ tathā /	puNya-nirvANa-BAgIyam nirveDa-anuguNam taTA /
   śāsane 'sminsamāsena śubhamūlaṃ tridheṣyate // [257] //	SAsane asmin-samAsena SuBa-mUlam triDA-izyate // [257] //
   lipimudrātha gaṇanā kāyavākkarmalakṣaṇā /	lipimudrA-aTa gaNanA kAya-vAc-karma-lakzaNA /
   saṃkhyā khalvapi vijñeyā manaskarmasvabhāvikā // [258] //	saMKyA Kalu-api vijQeyA manaskarma-svaBAvikAH // [258] //
   abhidharmadīpe vibhāṣāprabhāyāṃ vṛttau caturthādhyāyassamāptaḥ //	aBiDarma-dIpe viBAzA-praBAyAm vRttO caturTa-aDyAya-ssamAptaH //
   pañcamo 'dhyāyaḥ / prathamaḥ pādaḥ	paQcamaH aDyAyaH / praTamaH pAdaH
   akāryapravaṇo loko duḥkhabhāgī ca yadvaśāt /	akArya-pravaNaH lokaH duHKa-BAgI ca yad-vaSAt /
   rāgādīn bhavasaṃbandhānkleśānvakṣyāmi tānaham // [259] //	rAga-AdIn Bava-saMbanDAn-kleSAn-vakzyAmi tAn-aham // [259] //
   svaśaktijakriyodbhūtairviśeṣaiste tu nāmabhiḥ /	sva-Sakti-ja-kriyA-udBUtEH-viSezEH-te tu nAmaBiH /
   āttasāmānyasaṃjñākāścodyante 'nuśayādibhi[:] // [260] //	Atta-sAmAnya-saMjQAkAH-ca-udyante anuSaya-AdiBi[:] // [260] //
   rāgapratighasaṃmohamānakāṅkṣākudṛṣṭayaḥ /	rAga-pratiGa-saMmoha-mAna-kAFkzA-ku-dRzwayaH /
   ṣaḍete 'nuśayāḥ proktāḥ śreyodvāravibandhinaḥ // [261] //	zaw-ete anuSayAH proktAH SreyA-udvAra-vibanDinaH // [261] //
   rāgadvedhāt matāḥ sapta dṛṣṭibhedāddaśa smṛtāḥ /	rAga-dveDAt matAH sapta dRzwi-BedAt-daSa smRtAH /
   bhūyo 'ṣṭānavatirjñeyā dhātvākārādibhedataḥ // [262] //	BUyas azwAnavatiH-jQeyAH DAtu-AkAra-Adi-BedataH // [262] //
   kāmarāgo bhavākhyaśca dvidhāḥ rāgaḥ prabhidyate /	kAmarAgaH Bava-AKyaH-ca dviDAH rAgaH praBidyate /
   prāyo bahiṣpravṛttatvādantarvattyādibhedataḥ // [263] //	prAyas bahizpravRtta-tvAt-antarvatti-Adi-BedataH // [263] //
   satkāyāntadvayagrāhau mithyādarśaṇa(na)meva ca /	sat-kAya-anta-dvaya-grAhO miTyA-darSaNa(na)m-eva ca /
   dṛṣṭiśīlavratāmarśāvityetāḥ pañca dṛṣṭayaḥ // [264] //	dRzwi-SIla-vrata-amarSO=-iti-etAH paQca dRzwayaH // [264] //
