   a-u-ma tryakṣaraṃ saṃkhyaṃ JñS_26.11c	a-u-ma tri-akzaram saMKyam JQH-_26.11c
   tūryyānte śiva ityukta MJ_53a	tUryya-ante SivaH iti-uktaH M=-_53a
   tūlaval laghudehaḥ syāt Vṛh_68c	tUla-vat laGu-dehaH syAt VRh_68c
   tṛtīyam yakāralopo GNP_35a	tRtIyam yakAra-lopaH GNP_35a
   tṛtīyam yakāro lopyo JñS_18.8a	tRtIyam yakAraH lopyaH JQH-_18.8a
   tṛṣṇādoṣakṣayāc caiva Vṛh_52c	tRzNA-doza-kzayAt ca-eva VRh_52c
   tejas tathā ca mārutaḥ Vṛh_62b	tejaH taTA ca mArutaH VRh_62b
   tena jñānena vṛddhaḥ syāt JñS_27.1c	tena jQAnena vRdDaH syAt JQH-_27.1c
   tena jñānena he skanda JñS_27.3c	tena jQAnena he skanda JQH-_27.3c
   tena śīlena vṛddhaḥ syāt JñS_27.2a	tena SIlena vRdDaH syAt JQH-_27.2a
   teṣu trikoṇaṃ paramaṃ pravicāryya yuktaṃ MJ_17c	tezu tri-koNam paramam pravicAryya yuktam M=-_17c
   tyajati jñānam uttamam JñS_27.5b	tyajati jQAnam uttamam JQH-_27.5b
   tyajej jñānatamomayam JñS_8.8d	tyajet jQAna-tamaH-mayam JQH-_8.8d
   tyajet śaktiśubhāśubham JñS_8.8b	tyajet Sakti-SuBa-aSuBam JQH-_8.8b
   tyajet śūnyaṃ nirākāraṃ JñS_8.8a	tyajet SUnyam nirAkAram JQH-_8.8a
   tyajed dharmaṃ vādharmaṃ vā JñS_8.8c	tyajet Darmam vA-aDarmam vA JQH-_8.8c
   trayo 'gnināma ity api JñS_25.9d	trayaH agni-nAmaH iti api JQH-_25.9d
   trayo duḥkhavighātāś ca Vṛh_33c	trayaH duHKa-viGAtAH ca VRh_33c
   trikoṇaṃ bhuvanatrayam MJ_33b	tri-koNam Buvanatrayam M=-_33b
   triguṇamūḍhakañ cittaṃ Vṛh_22a	triguNa-mUXakan cittam VRh_22a
   trināḍīṣu vyāpāras tu JñS_12.23c	tri-nAxIzu vyApAraH tu JQH-_12.23c
   trināḍyaḥ pradhānātmakāḥ JñS_12.19d	trinAxyaH praDAna-AtmakAH JQH-_12.19d
   trinetras triśūlahastaḥ MJ_51c	trinetraH triSUla-hastaH M=-_51c
   tripadaṃ puṇḍarīkasya MJ_19a	tri-padam puNxarIkasya M=-_19a
   tripadaṃ puṇḍarīkasya MJ_31a	tri-padam puNxarIkasya M=-_31a
   tripadaṃ maṇḍalatrayaṃ MJ_33a	tri-padam maNxala-trayam M=-_33a
   tripramāṇena vā viduḥ MJ_32b	tri-pramANena vA viduH M=-_32b
   trirūpaṃ trividhaṃ bhasma JñS_25.11a	trirUpam triviDam Basma JQH-_25.11a
   trividhā sādhakasmṛtam JñS_11.14d	triviDA sADaka-smRtam JQH-_11.14d
   triviṣṭapopajīvanam GNP_58d	trivizwapa-upajIvanam GNP_58d
   triśakti etad ucyate JñS_11.5d	tri-Sakti etat ucyate JQH-_11.5d
   triśaktibrahmakaṃ bhavet JñS_11.2b	tri-Sakti-brahmakam Bavet JQH-_11.2b
   triśivas tripuruṣatvam JñS_14.1c	triSivaH tri-puruza-tvam JQH-_14.1c
   triśivaṃ tripuruṣatvam GNP_2c	triSivam tri-puruza-tvam GNP_2c
   tretāṃ svapnapadaṃ viduḥ MJ_40b	tretAm svapna-padam viduH M=-_40b
   tryakṣaraṃ ca padaṃ yuktam MJ_25a	tri-akzaram ca padam yuktam M=-_25a
   tryakṣaraṃ caiva lopyam JñS_18.8c	tri-akzaram ca-eva lopyam JQH-_18.8c
   tryakṣaraṃ praṇavaḥ smṛtam JñS_26.11d	tri-akzaram praNavaH smRtam JQH-_26.11d
   tryaṅgulir nyakpramāṇena MJ_32c	tri-aFguliH nyakpramANena M=-_32c
   tryantaḥkaraṇam ucyate JñS_11.14f	tri-antaHkaraNam ucyate JQH-_11.14f
   tryanto mantrī prakīrtitaḥ Vṛh_35b	tryantaH mantrI prakIrtitaH VRh_35b
   tryavastaḥ puruṣaḥ smṛtaḥ GNP_43b	tryavastaH puruzaH smRtaH GNP_43b
   tryavastaḥ puruṣaḥ smṛtaḥ JñS_19.4d	tryavastaH puruzaH smRtaH JQH-_19.4d
   tvayakasmatva malatva Vṛh_22c	tvayakasmatva mala-tva VRh_22c
   tvaṃ ma ākhyā hi tattvataḥ Vṛh_51d	tvam me AKyA hi tattvataH VRh_51d
   tvām etacchrotum icchāmi Vṛh_5c	tvAm etat-Srotum icCAmi VRh_5c
   dakāraś ca hy upasthe JñS_26.8c	dakAraH ca hi upasTe JQH-_26.8c
   dakṣiṇe ca caturmmukhaḥ MJ_59b	dakziNe ca caturmmuKaH M=-_59b
   dakṣiṇe vā caturmukhaḥ GNP_21b	dakziNe vA caturmuKaH GNP_21b
   dakṣiṇe vā caturmukhaḥ JñS_16.12b	dakziNe vA caturmuKaH JQH-_16.12b
   dakṣiṇe vāmake tathā JñS_25.20d	dakziNe vAmake taTA JQH-_25.20d
   dakṣināgniś ca jaṭhare JñS_25.9c	dakzinA-agniH ca jaWare JQH-_25.9c
   dadyād raktaṃ pitaṃ tathā kapham Vṛh_43b	dadyAt raktam pitam taTA kaPam VRh_43b
   dadhi māṃsaṃ tathā ma-air JñS_24.6c	daDi mAMsam taTA ma-EH JQH-_24.6c
   darppaṇe ca yā māyaiva ? MJ_54c	darppaNe ca yA mAyA-eva ? M=-_54c
   darśanaṃ yugapac caiva JñS_11.11c	darSanam yugapad ca-eva JQH-_11.11c
   daśa nāḍir iti smṛtaḥ JñS_11.7b	daSa nAxiH iti smRtaH JQH-_11.7b
   daśa prāṇavahā etāḥ Vṛh_39a	daSa prANa-vahAH etAH VRh_39a
   daśa prāṇā samākhyātāḥ Vṛh_40c	daSa prANAH samAKyAtAH VRh_40c
   daśamūrtidaśanādi JñS_11.2a	daSamUrti-daSana-Adi JQH-_11.2a
   daśaśaktisamanvitaḥ JñS_12.6d	daSa-Sakti-samanvitaH JQH-_12.6d
   daśākṣarasamāsaṃ tu JñS_26.10c	daSa-akza-rasa-mAsam tu JQH-_26.10c
   daśendriyāṇi kūrmmāś ca MJ_11c	daSa-indriyANi kUrmmAH ca M=-_11c
   daśendriyāṇi rāṣṭraṃ hi MJ_8a	daSa-indriyANi rAzwram hi M=-_8a
   daśendriyāṇi suptāni MJ_3a	daSa-indriyANi suptAni M=-_3a
   dānam adhyayanaṃ śabdas Vṛh_33a	dAnam aDyayanam SabdaH VRh_33a
   divyarūpaś caturbhujaḥ MJ_50b	divya-rUpaH caturBujaH M=-_50b
   divyarūpaś caturmmukhaḥ MJ_49b	divya-rUpaH caturmmuKaH M=-_49b
   divyena śiva vaktreṇa JñS_25.8c	divyena Siva vaktreNa JQH-_25.8c
   diśeṣu vidiśeṣu ca JñS_25.4b	diSezu vidiSezu ca JQH-_25.4b
   dīkṣāvidhividhānakam JñS_1.1b	dIkzA-viDi-viDAnakam JQH-_1.1b
   dīkṣāvidhividhānataḥ GNP_50b	dIkzA-viDi-viDAnataH GNP_50b
   dīpavat nava śaktyarthaṃ JñS_12.2c	dIpa-vat nava Sakti-arTam JQH-_12.2c
   dīrghāyuṣam avāpnoti GNP_56c	dIrGa-Ayuzam avApnoti GNP_56c
   dīrghe kāle ca vā punaḥ Vṛh_31c	dIrGe kAle ca vA punar VRh_31c
   duḥkhāntaṃ bhasmano nityaṃ JñS_25.14c	duHKAntam BasmanaH nityam JQH-_25.14c
   dṛśyate jñānacakṣuṣā JñS_8.4d	dRSyate jQAna-cakzuzA JQH-_8.4d
   dṛṣṭānuśrāvite bhoge Vṛh_27a	dRzwa-anuSrAvite Boge VRh_27a
   devagaṇaguruṃ putram GNP_59b	deva-gaNa-gurum putram GNP_59b
   devagaṇaguruḥ putraḥ GNP_1c	deva-gaNa-guruH putraH GNP_1c
   devatā tu sadāśivaḥ JñS_12.18b	devatA tu sadASivaH JQH-_12.18b
   devatā rudrarucyate JñS_12.22d	devatA rudrarucyate JQH-_12.22d
   devadatta iti sthitaḥ JñS_12.28b	devadattaH iti sTitaH JQH-_12.28b
   devadattadhanañjayaḥ JñS_12.7d	devadatta-DanaQjayaH JQH-_12.7d
   devadatto dhanañjayaḥ Vṛh_40b	devadattaH DanaQjayaH VRh_40b
   devadatto vijṛmbhite Vṛh_46d	devadattaH vijRmBite VRh_46d
   devapratiṣṭhāgrahaṇaṃ pratiṣṭha JñS_22.2a	deva-pratizWA-grahaNam pratizWa JQH-_22.2a
   devamārgapradarśanī JñS_11.16d	devamArga-pradarSanI JQH-_11.16d
   devayoniṣu jāyate Vṛh_29b	devayonizu jAyate VRh_29b
   devayoniṣu jāyate Vṛh_31d	devayonizu jAyate VRh_31d
   devayoniṣu jāyate Vṛh_32d	devayonizu jAyate VRh_32d
   devaḥ sakalaniṣkalaḥ JñS_9.3b	devaH sakala-nizkalaH JQH-_9.3b
   devānukūlabhaktyartham Vṛh_72c	deva-anukUla-Bakti-arTam VRh_72c
   dehaṃ tyaktvā samārutaḥ JñS_25.6b	deham tyaktvA sa-mArutaH JQH-_25.6b
   dehena yātum icchā syād Vṛh_74a	dehena yAtum icCA syAt VRh_74a
   dyutiś ca vā mahādevaḥ MJ_83c	dyutiH ca vA mahAdevaH M=-_83c
   draṣṭā ātmā dṛṣṭas tu saptadhā JñS_12.9d	drazwA AtmA dRzwaH tu saptaDA JQH-_12.9d
   draṣṭātmā byānabāyuṣṭhaṃ JñS_12.11c	drazwAtmA byAna-bAyuzWam JQH-_12.11c
   draṣṭātmā śūnyasaṃjñikaḥ JñS_12.13d	drazwAtmA SUnya-saMjQikaH JQH-_12.13d
   draṣṭā spraṣṭā tu śrotā ca Vṛh_63b	drazwA sprazwA tu SrotA ca VRh_63b
   drenavaś cendriyāṇyeva MJ_5c	drenavaH ca-indriyANi-eva M=-_5c
   dvādaśāṅgulasaṃsthānād GNP_48a	dvAdaSa-aFgula-saMsTAnAt GNP_48a
   dvādaśāṅgulasaṃsthānād JñS_20.4a	dvAdaSa-aFgula-saMsTAnAt JQH-_20.4a
   dvāparaṃ ca suṣuptaṃ nu MJ_40c	dvAparam ca suzuptam nu M=-_40c
   dvāraṃ muhurtaṃ ca na siddhakāryam JñS_22.3a	dvAram muhur-tam ca na sidDa-kAryam JQH-_22.3a
   dvārāntare māsadivasayuktam JñS_22.3d	dvAra-antare mAsa-divasa-yuktam JQH-_22.3d
   dvāsaptativihāgas tu JñS_12.19c	dvAsaptati-vihAgaH tu JQH-_12.19c
   dvitīyaṃ śivalopaś ca GNP_34c	dvitIyam Siva-lopaH ca GNP_34c
   dvitīyaṃ śi-va lopyāś ca JñS_18.7c	dvitIyam Si-va lopyAH ca JQH-_18.7c
   dvidhām upāgato jñeyaḥ JñS_11.21c	dviDAm upAgataH jQeyaH JQH-_11.21c
   dvipānaś caiva brahmāṅgaṃ JñS_12.1c	dvi-pAnaH ca-eva brahma-aFgam JQH-_12.1c
   dvividhaṃ tattvaṃ paramaṃ Vṛh_6a	dviviDam tattvam paramam VRh_6a
   dve hale daśa dhenavaḥ MJ_4b	dve hale daSa DenavaH M=-_4b
   dvau harau dvau ca brāhmaṇau MJ_6b	dvO harO dvO ca brAhmaNO Mt-_6b
   dhakāro hastadakṣiṇe JñS_26.8d	DakAraH hasta-dakziNe JQH-_26.8d
   dharaṇī ca bhavet toyaṃ Vṛh_62a	DaraNI ca Bavet toyam VRh_62a
   dhartātmā haṃśavarṇake JñS_12.12d	Darta-AtmA haMSa-varNake JQH-_12.12d
   dharmasyaiko vinirṇayaḥ Vṛh_25d	Darmasya-ekaH vinirNayaH VRh_25d
   dharmātmā vratasampanno GNP_42c	Darma-AtmA vrata-sampannaH GNP_42c
   dharmātmā vratasaṃpaṇṇo JñS_19.4a	Darma-AtmA vrata-saMpaNNaH JQH-_19.4a
   dharmma tenecchati śubham Vṛh_21b	Darmma tena-icCati SuBam VRh_21b
   dharmmādharmmau ?tathā dharā MJ_15c	Darmma-aDarmmO ?taTA DarA M=-_15c
   dharmmo 'dharmmaś ca dvau harau MJ_7c	DarmmaH aDarmmaH ca dvO harO M=-_7c
   dhāraṇam iti kathyate GNP_7d	DAraNam iti kaTyate GNP_7d
   dhāraṇam iti kathyate JñS_15.5d	DAraNam iti kaTyate JQH-_15.5d
   dhāraṇaṃ vai nigadyate Vṛh_57d	DAraNam vE nigadyate VRh_57d
   dhūmrā eva tathā dhruvā JñS_11.17d	DUmrAH eva taTA DruvA JQH-_11.17d
   dhṛtam oṃkāram eva ca MJ_79b	DRtam oMkAram eva ca M=-_79b
   dhyānāditraye samyamaḥ JñS_19.7d	DyAna-Adi-traye samyamaH JQH-_19.7d
   dhruvaṃ avyayam īśvaram Vṛh_7d	Druvam avyayam ISvaram VRh_7d
   nakāro mukha eva ca JñS_26.9b	nakAraH muKaH eva ca JQH-_26.9b
   na ca śvetena jātibhiḥ JñS_27.4b	na ca Svetena jAtiBiH JQH-_27.4b
   na tayena ca nirbhāvam JñS_8.6b	na tayena ca nirBAvam JQH-_8.6b
   na tiryagūrdhvagamanam JñS_21.1b	na tiryak-UrDva-gamanam JQH-_21.1b
   na tiryagūrdhvagamanaḥ GNP_49b	na tiryak-UrDva-gamanaH GNP_49b
   nadītīrthaṃ ca saptadhā JñS_24.1d	nadItIrTam ca saptaDA JQH-_24.1d
   na dīrghaḥ nāśubhaḥ keśo JñS_27.4a	na dIrGaH na-aSuBaH keSaH JQH-_27.4a
   nadīśreṣṭhā vā cakṣuṣi JñS_24.5b	nadI-SrezWAH vA cakzuzi JQH-_24.5b
   na dūraṃ na samīpasthaṃ JñS_8.4a	na dUram na samIpa-sTam JQH-_8.4a
   nadyāṃ jvalati pāvakaḥ MJ_9b	nadyAm jvalati pAvakaH M=-_9b
   na prakāśati tattvavit JñS_27.8b	na prakASati tattva-vid JQH-_27.8b
   na bhave viśate punaḥ Vṛh_30d	na Bave viSate punar VRh_30d
   na-ma-śi-va-ya ca sthitiḥ JñS_18.6b	na-ma-Si-va-ya ca sTitiH JQH-_18.6b
   na-ma-śi-va-ya līnaṃ tu GNP_33c	na-ma-Si-va-ya lInam tu GNP_33c
   namas te 'stu me vandanam MJ_31bis.b	namaH te astu me vandanam M=-_31bis.b
   na mūlānte ca madhyame JñS_8.4b	na mUla-ante ca maDyame JQH-_8.4b
   na yogī moganiḥspṛhaḥ Vṛh_27d	na yogI moga-niHspRhaH VRh_27d
   narmadā caiva sindhuś ca JñS_24.1a	narmadA ca-eva sinDuH ca JQH-_24.1a
   na vakṣye 'haṃ sureśvari JñS_26.4b	na vakzye aham sureSvari JQH-_26.4b
   navatiṃśati vibhāgāḥ JñS_12.28d	navatiMSati viBAgAH JQH-_12.28d
   na śarīraṃ nirājñānam JñS_8.5b	na SarIram nirAjQAnam JQH-_8.5b
   na śīlo na vayastapaḥ JñS_27.1d	na SIlaH na vayaH-tapaH JQH-_27.1d
   na saṃdeho varānane JñS_27.7b	na saMdehaH varAnane JQH-_27.7b
   nākāśam eva tattvataḥ GNP_8b	na-AkASam eva tattvataH GNP_8b
   nākāśam eva tattvataḥ JñS_15.6b	na-AkASam eva tattvataH JQH-_15.6b
   nāgakūrmārakṛkaro JñS_12.7c	nAga-kUrmAra-kRkaraH JQH-_12.7c
   nāgaḥ kūrmo 'tha kṛkaro Vṛh_40a	nAgaH kUrmaH aTa kRkaraH VRh_40a
   nāge tu ūrdhvagato bāyus JñS_12.25a	nAge tu UrDva-gataH bAyuH JQH-_12.25a
   nāḍayaś caturviṃśakāḥ JñS_11.13d	nAxayaH caturviMSakAH JQH-_11.13d
   nāḍī ca calanaṃ bhavet JñS_20.2d	nAxI ca calanam Bavet JQH-_20.2d
   nāḍīcalanamārgaś ca GNP_45a	nAxI-calana-mArgaH ca GNP_45a
   nāḍīcalanamārgaś ca JñS_20.1a	nAxI-calana-mArgaH ca JQH-_20.1a
   nāḍīcalanasaṃsmṛtaḥ GNP_47b	nAxI-calana-saMsmRtaH GNP_47b
   nāḍī calanaṃ bhavet GNP_46d	nAxI calanam Bavet GNP_46d
   nāḍīcalanaḥ saṃsmṛtaḥ JñS_20.3b	nAxI-calanaH saMsmRtaH JQH-_20.3b
   nāḍīnāṃ cāgamāṃs tathā Vṛh_38d	nAxInAm ca-AgamAn taTA VRh_38d
   nāḍīnāṃ tryadhikāḥ śṛṇu Vṛh_36b	nAxInAm tri-aDikAH SRNu VRh_36b
   nādamūrtinirākṛtiḥ JñS_10.16d	nAda-mUrti-nirAkRtiH JQH-_10.16d
   nādaś ca līyate śūnye GNP_52a	nAdaH ca lIyate SUnye GNP_52a
   nādaś ca līyate śūnye JñS_17.4a	nAdaH ca lIyate SUnye JQH-_17.4a
   nādaś ca līyate śūnye JñS_3.2a	nAdaH ca lIyate SUnye JQH-_3.2a
   nādas tu saptadhā sṃṛtāḥ JñS_10.6d	nAdaH tu saptaDA sMRtAH JQH-_10.6d
   nādād bindusamudbhavaḥ GNP_25b	nAdAt bindu-samudBavaH GNP_25b
   nādād vindusamudbhāvaḥ JñS_17.1b	nAdAt vindu-samudBAvaH JQH-_17.1b
   nādena saṃhṛtyaikadhā GNP_26c	nAdena saMhRtya-ekaDA GNP_26c
   nādhaś ca gamanaṃ cāpi JñS_21.1c	na-aDas ca gamanam ca-api JQH-_21.1c
   nādhastādgamanaś cāpi GNP_49c	na-aDastAt-gamanaH ca-api GNP_49c
   nābhimūle bhavej jāgrat MJ_41a	nABi-mUle Bavet jAgrat M=-_41a
   nābhir hṛt kaṇṭhaḥ tāluś ca JñS_7.1a	nABiH hRd kaNWaH tAluH ca JQH-_7.1a
   nābhihṛdaye kaṇṭhe ca JñS_10.7a	nABi-hRdaye kaNWe ca JQH-_10.7a
   nābhau nābher adhaḥ kande Vṛh_36c	nABO nABeH aDas kande VRh_36c
   nābhau hṛdaye kaṇṭhe ca MJ_71c	nABO hRdaye kaNWe ca M=-_71c
   nāmnā śivapadaṃ tathā MJ_47b	nAmnA Siva-padam taTA M=-_47b
   nāvāsya kiṃ prayojanam MJ_74d	nAvAsya kim prayojanam M=-_74d
   nāsaś cāirāvatī caiva JñS_24.5a	nAsaH ca-AirAvatI ca-eva JQH-_24.5a
   nāsaś caiva tu pañcamaḥ JñS_7.1b	nAsaH ca-eva tu paQcamaH JQH-_7.1b
   nāsāntaḥ sphaṭikaprabhaṃ MJ_36d	nAsA-antaH sPawika-praBam M=-_36d
   nāsti jñānam ataḥ param JñS_25.7d	na-asti jQAnam atas param JQH-_25.7d
   nāsti jñānam ataḥ param JñS_25.8d	na-asti jQAnam atas param JQH-_25.8d
   nikhiladravyasamprāptyai Vṛh_70c	niKila-dravya-samprAptyE VRh_70c
   nitālaṃ ca tad eva ca JñS_24.3b	nitAlam ca tat eva ca JQH-_24.3b
   nitālaṃ mānasaṃ jñeyam JñS_24.8a	nitAlam mAnasam jQeyam JQH-_24.8a
   nityatṛpto virāgataḥ ? MJ_52b	nitya-tRptaH virAgataH ? M=-_52b
   nityaṃ smaranti māmanye MJ_c	nityam smaranti mAm-anye MJ_c
   nityākāreṇa śūnyatvam Vṛh_9c	nitya-AkAreNa SUnya-tvam VRh_9c
   nityānityaṃ vivarjayet JñS_8.7b	nitya-anityam vivarjayet JQH-_8.7b
   nidrāparaṃ suaṃmūḍham Vṛh_24b	nidrA-param suaMmUXam VRh_24b
   nidrā hiṃsā pramāditā Vṛh_19b	nidrA hiMsA pramAditA VRh_19b
   niyamāḥ parikīrtitāḥ Vṛh_61d	niyamAH parikIrtitAH VRh_61d
   niyoktā vaśādhiṣṭhitaḥ JñS_12.13b	niyoktA vaSa-aDizWitaH JQH-_12.13b
   nirakṣaraṃ bhaven nityaṃ MJ_67a	nirakzaram Bavet nityam M=-_67a
   niravaraṇaṃ niḥsādhyaṃ JñS_15.7c	niravaraNam niHsADyam JQH-_15.7c
   nirātmā ity eva tathā JñS_13.2c	nirAtmA iti eva taTA JQH-_13.2c
   nirālambananiḥspṛhaṃ JñS_15.7b	nirAlambana-niHspRham JQH-_15.7b
   nirālambaṃ niḥspṛhaṃ GNP_9b	nirAlambam niHspRham GNP_9b
   nirāvaraṇaṃ niḥsādhyaṃ GNP_9c	nirAvaraNam niHsADyam GNP_9c
   nirāhāraś ca nīrājo ? MJ_52c	nirAhAraH ca nIrAjaH ? M=-_52c
   nirupekṣaṃ nirlakṣaṇaṃ GNP_9a	nirupekzam nirlakzaNam GNP_9a
   nirupekṣaṃ niḥkalpanaṃ JñS_15.7a	nirupekzam niHkalpanam JQH-_15.7a
   nirūpekṣaṃ nirākālpaṃ Vṛh_59a	nirUpekzam nirAka-alpam VRh_59a
   nirgguṇaṃ sarvvabhūtānāṃ MJ_75a	nirgguNam sarvu-aBUtAnAm M=-_75a
   nirghṛṇatvaṃ pramāditā Vṛh_18d	nirGRNa-tvam pramAditA VRh_18d
   nirdvandvaṃ nirvikārañ ca GNP_5a	nirdvandvam nirvikAran ca GNP_5a
   nirdvandvaṃ nirvikārañ ca Vṛh_55a	nirdvandvam nirvikAran ca VRh_55a
   nirdvandvaṃ nirvikāraṃ ca JñS_15.3a	nirdvandvam nirvikAram ca JQH-_15.3a
   nirbāṇaṃ sulabhaṃ caret JñS_19.2b	nirbANam sulaBam caret JQH-_19.2b
   nirbbījaṃ janmanāśanam MJ_65d	nirbbIjam janma-nASanam M=-_65d
   nirlepam antaropamam Vṛh_20b	nirlepam antara-upamam VRh_20b
   nirvāṇaṃ sulabhaṃ caret GNP_41b	nirvANam sulaBam caret GNP_41b
   nirvyāpāraḥ parambrahma JñS_10.16c	nirvyApAraH parambrahma JQH-_10.16c
   nivṛttiś ca pratiṣṭhā ca JñS_11.22c	nivRttiH ca pratizWA ca JQH-_11.22c
   nivṛttiś ca pratiṣṭhā ca JñS_9.4a	nivRttiH ca pratizWA ca JQH-_9.4a
   nivṛttiś ca pratiṣṭhā ca JñS_9.8a	nivRttiH ca pratizWA ca JQH-_9.8a
   niśāntam acalaṃ tathā Vṛh_55b	niSA-antam acalam taTA VRh_55b
   niścitaṃ mokṣakāraṇam JñS_8.1d	niScitam mokza-kAraNam JQH-_8.1d
   niṣaktam acalaṃ tathā JñS_15.3b	nizaktam acalam taTA JQH-_15.3b
   niṣkalāj jāyate nādo GNP_25a	nizkalAt jAyate nAdaH GNP_25a
   niṣkalāj jāyate nādo JñS_17.1a	nizkalAt jAyate nAdaH JQH-_17.1a
   niṣkalātmā ca nirmalaḥ JñS_10.15b	nizkala-AtmA ca nirmalaH JQH-_10.15b
   niṣkalāntam alakṣaṇam Vṛh_48d	nizkala-antam alakzaNam VRh_48d
   niṣkalāntād vijānīyāt JñS_25.6c	nizkala-antAt vijAnIyAt JQH-_25.6c
   niṣkalo vaṣādhisthitaḥ JñS_12.14b	nizkalaH vazADisTitaH JQH-_12.14b
   nissaktam acalaṃ tathā GNP_5b	nissaktam acalam taTA GNP_5b
   nissatvaṃ caiva niṣkalam MJ_67b	nissatvam ca-eva nizkalam M=-_67b
   niḥśabdaṃ tarkayen nityaṃ Vṛh_58c	niHSabdam tarkayet nityam VRh_58c
   niḥśeṣānte mahātmanaḥ JñS_19.3b	niHSeza-ante mahAtmanaH JQH-_19.3b
   niḥśoka iva candramāḥ MJ_76d	niHSokaH iva candramAH Mu-_76d
   niḥspṛhaṃ śāntam avyayam Vṛh_59b	niHspRham SAntam avyayam VRh_59b
   nīrūpaḥ sarvvabhāveṣu MJ_67c	nIrUpaH sarvu-aBAvezu M=-_67c
   pakṣibhūtaḥ sadāśivaḥ JñS_23.2d	pakzi-BUtaH sadASivaH JQH-_23.2d
   pakṣīndraḥ paramaśivaḥ JñS_23.3d	pakzi-indraH parama-SivaH JQH-_23.3d
   paṅcātmā pañcākṣaraś ca JñS_13.1b	paFca-AtmA paQcAkzaraH ca JQH-_13.1b
   pañca karmendriyāni ca JñS_11.8d	paQca karmendriyAni ca JQH-_11.8d
   pañcakālaḥ śivaḥ proktaḥ JñS_9.7a	paQcakAlaH SivaH proktaH JQH-_9.7a
   pañcakālaḥ sa ucyate JñS_9.5d	paQcakAlaH saH ucyate JQH-_9.5d
   pañcakṣaram iti smṛtam JñS_18.6d	paQcakzaram iti smRtam JQH-_18.6d
   pañcapadadhanaṃ prati JñS_27.8d	paQca-pada-Danam prati JQH-_27.8d
   pañcabāyur iti jñeyaḥ JñS_13.1a	paQcabAyuH iti jQeyaH JQH-_13.1a
   pañca buddhindriyāni ca JñS_11.8b	paQca budDindriyAni ca JQH-_11.8b
   pañcabhūtam iti smṛtam JñS_11.3b	paQcaBUtam iti smRtam JQH-_11.3b
   pañcaviṃśati dvibhāgāḥ JñS_12.23d	paQcaviMSati dvi-BAgAH JQH-_12.23d
   pañcaviṃśadvibhāgas tu JñS_12.21c	paQcaviMSat-viBAgaH tu JQH-_12.21c
   pañcaśaktivyavasthitaḥ JñS_9.2b	paQca-Sakti-vyavasTitaH JQH-_9.2b
   pañcaśaktisamāyukta JñS_11.7c	paQca-Sakti-samAyukta JQH-_11.7c
   pañcākṣaram iti smṛtam GNP_33d	paQcAkzaram iti smRtam GNP_33d
   pañcāṇḍaṃ japed yo vidvān GNP_55c	paQca-aNxam japet yaH vidvAn GNP_55c
   patitaḥ nīcalakṣaṇaḥ JñS_27.2b	patitaH nIca-lakzaNaH JQH-_27.2b
   patitaḥ nīcalakṣaṇaḥ JñS_27.2d	patitaH nIca-lakzaNaH JQH-_27.2d
   padaṃ jāgrat tu bramaṇaḥ MJ_46a	padam jAgrat tu bramaNaH M=-_46a
   padaṃ jāgrad idaṃ vāme MJ_31c	padam jAgrat idam vAme M=-_31c
   padaṃ svapnasya dakṣiṇe MJ_31b	padam svapnasya dakziNe Mu-_31b
   padmanāpuṣpucitta īśvareko MJ_18c	padmanApuzpu-cittaH ISvarekaH M=-_18c
   padmanālasya hṛdaye MJ_35a	padmanAlasya hRdaye M=-_35a
   padmanālaṃ hṛdi sthitaṃ MJ_34a	padma-nAlam hRdi sTitam M=-_34a
   padmaṃ turyanagampatam JñS_11.22b	padmam turyana-gampatam JQH-_11.22b
   panthāḥ? prakṛtir ucyate MJ_15d	panTAH? prakRtiH ucyate M=-_15d
   paratra śivatāṃ vrajet JñS_27.6f	paratra Siva-tAm vrajet JQH-_27.6f
   parabhoktā dhanañjaye JñS_12.11d	para-BoktA DanaQjaye JQH-_12.11d
   paramasya mi? saṃsmṛtaḥ GNP_47d	paramasya mi? saMsmRtaH GNP_47d
   paramasyāpi saṃsmṛtaḥ JñS_20.3d	paramasya-api saMsmRtaH JQH-_20.3d
   paramasvargakāraṇam GNP_37d	parama-svarga-kAraNam GNP_37d
   paramasvargakāraṇam JñS_18.10d	parama-svarga-kAraNam JQH-_18.10d
   paramasvargamanyatam JñS_18.11d	parama-svargam-anyatam JQH-_18.11d
   paramasvargamayaṃ matam GNP_38d	parama-svarga-mayam matam GNP_38d
   paramātmanaś ca kaivalyaṃ MJ_47c	paramAtmanaH ca kEvalyam M=-_47c
   paramātmā tathā rudraḥ MJ_69c	paramAtmA taTA rudraH M=-_69c
   paramātmā tathaiva ca MJ_68b	paramAtmA taTA-eva ca M=-_68b
   paramātmā nirātmakam JñS_10.4b	paramAtmA nirAtmakam JQH-_10.4b
   paramārthaṃ tu niḥśabdaṃ GNP_8c	parama-arTam tu niHSabdam GNP_8c
   paramārthāt tu niḥśabdaṃ JñS_15.6c	paramArTAt tu niHSabdam JQH-_15.6c
   paramonāpi tad dhruvaṃ JñS_8.6c	paramaH-nA-api tat Druvam JQH-_8.6c
   paraliṅgaṃ procyate budhaiḥ MJ_22d	para-liFgam procyate buDEH M=-_22d
   paraliṅgāni ye kuryur GNP_17a	para-liFgAni ye kuryuH GNP_17a
