   [I. dānapāramitā]	[I. dAna pAramitA]
   sa samayo yadā + adhigatān dharmān śrutvā sarva kathāṃ visarjayiṣyāmi |	sa samayaH yadA + aDigatAn DarmAn SrutvA sarva kaTAm visarjayizyAmi |
   api tu pratibhātu te | vayaṃ dhārma śravaṇikā iti || pe ||	api tu pratiBAtu te | vayam DArma  SravaNikAH iti || pe ||
   tena tatra + araṇya āyatane prativasatā tṛṇa gulma auṣadhi vanas patīnāṃ	tena tatra + araNya Ayatane prativasatA tRNa gulma  OzaDi   vanas patInAm
   nimittaṃ grahītavyaṃ | katham ete bhavanti | yathā + eṣāṃ bhāvanām	nimittam grahItavyam | kaTam ete Bavanti | yaTA + ezAm BAvanAm
   a svāmikānām a mamānām a parigrahāṇām evaṃ niś ceṣṭānāṃ nir vyāpārāṇāṃ	a svAmikAnAm a mamAnAm a parigrahANAm evam niS cezwAnAm nir vyApArANAm
   bhavaty utpādo bhaṅgaś ca | na ca + eṣāṃ kaś cid utpādayitā | na	Bavati utpAdaH BaFgaH ca | na ca + ezAm kaS cid utpAdayitA | na
   nirodhayitā | evam eva + ayaṃ kāyas tṛṇa kāṣṭha kuḍya pratibhāsa upamo *	niroDayitA | evam eva + ayam kAyaH tRNa  kAzWa  kuxya  pratiBAsa upamaH *
   a svāmiko * a mamo * a parigraho niś ceṣṭo nir vyāpāro	a svAmikaH * a mamaH * a parigrahaH niS cezwaH nir vya apAraH 
   hetu pratyaya yuktyā utpadyate | hetu pratyaya vaikalyān nirudhyate | na	hetu  pratyaya  yuktyA utpadyate | hetu  pratyaya  vEkalyAt niruDyate | na
   punar atra kaś cid dharmaḥ parama arthata utpadyate vā nirudhyate vā + iti	punar atra kaS cid DarmaH parama  arTataH utpadyate vA niruDyate vA + iti
   punaś ca + uktaṃ | tena tatra + araṇya āyatane viharatā evaṃ cittam	punar ca + uktam | tena tatra + araNya Ayatane viharatA evam cittam
   utpādayitavyaṃ | yady apy aham araṇyam āgata eko * a dvitīyo | na me	utpAdayitavyam | yadi api aham araNyam AgataH ekaH * a dvitIyaH | na me
   kaś cit sahāyo yo māṃ su kṛtaṃ duṣ kṛtaṃ vā codayet | api tu khalu punaḥ	kaS cid sahAyaH yaH mAm su kRtam duz kRtam vA codayet | api tu Kalu punar 
   santi + ime deva nāga yakṣā buddhāś ca bhagavanto ye mama citta āśayaṃ	santi + ime deva nAga  yakzAH budDAH ca BagavantaH ye mama citta  ASayam
   jānanti | te mama sākṣiṇaḥ | so * aham iha + araṇya āyatane prativasann	jAnanti | te mama sAkziNaH | saH * aham iha + araNya Ayatane prativasan= 
   a kuśala cittasya vaśaṃ gacchāmi | yadi punar aham iyad dūram āgata eko *	a kuSala  cittasya vaSam gacCAmi | yadi punar aham iyat  dUram AgataH ekaH *
   a dvitīyo * a saṃstabdho * a mamo * a parigrahaḥ kāma vitarkaṃ vā	a dvitIyaH * a saMstabDaH * a mamaH * a parigrahaH kAma vitarkam vA
   vitarkayeyaṃ | vyāpaādaṃ vihinsā vitarkaṃ vā vitarkayeyam anyaṃ vā +	vitarkayeyam | vyApaAdam vihinsA  vitarkam vA vitarkayeyam anyam vA +
   a kuśala vitarkaṃ vitarkayeyaṃ | nir viśeṣo bhaveyaṃ	a kuSala  vitarkam vitarkayeyam | nir viSezaH Baveyam
   saṃsarga saṃgaṇikābhir etaiḥ satvaiḥ | te ca me deva nāga yakṣā	saMsarga  saMgaNikABiH etEH satvEH | te ca me deva nAga yakzA
   visaṃvāditāḥ buddhāś ca bhagavanto * an abhirāddhā bhaviṣyanti + iti ||	visaMvAditAH budDAH ca BagavantaH * an aBirAdDAH Bavizyanti + iti ||
   iti śikṣā samuccaye araṇya saṃvarṇano nāma + ekādaśaḥ paricchedaḥ ||	iti SikzA  samuccaye araNya saMvarNanaH nAma + ekAdaSaH paricCedaH ||
   [XII. cittaparikarma]	[XII. citta parikarma]
   citta parikarma dvādaśaḥ paricchedaḥ ||	citta  parikarma dvAdaSaH paricCedaH ||
   tad evam araṇye vasan samādhānāya yujyate ||	tat evam araNye vasan samADAnAya yujyate ||
   uktaṃ hi bhagavatyāṃ | sa teṣām eva satvānām arthāya dhyāna pāramitāyāṃ	uktam hi BagavatyAm | sa tezAm eva satvAnAm arTAya DyAna  pAramitAyAm
   carann a vikṣipta citto bhavati | tat kasya hetoḥ | tathā hy asya + evaṃ	caran a vikzipta cittaH Bavati | tat kasya hetoH | taTA hi asya + evam
   bhavati | laukikī dhyāna upapattir api tāvad vikṣipta cittasya dur labhā |	Bavati | lOkikI DyAna  upapattiH api tAvat vikzipta  cittasya dur laBA |
   kaḥ punar vādo * an uttarā samyak saṃbodhiḥ | tasmān mayā +	kaH punar vAdaH * an uttarA samyak  saMboDiH | tasmAt mayA +
   a vikṣipta cittena bhavitavyam | yāvann an uttarāṃ samyak saṃbodhim	a vikzipta   cittena Bavitavyam | yAvan an uttarAm samyak  saMboDim
   abhisaṃbuddheyam iti ||	aBisaMbudDA iyam iti ||
   punar asyām uktaṃ | punar a paraṃ subhūte bodhi satvo mahā satvaḥ	punar asyAm uktam | punar a param suBUte boDi  satvaH mahA  satvaH
   prathama citta utpādam upādāya dhyāna pāramitāyāṃ caran	praTama  citta  utpAdam upAdAya DyAna  pAramitAyAm caran
   sarva ākāra jñatā pratisaṃyuktair manasi kārair dhyānaṃ samāpadyate | sa	sarva  AkAra  jQa tA  pratisaMyuktEH manasi kArEH DyAnam samApadyate | sa
   cakṣuṣā rūpāṇi dṛṣṭvā na nimitta grāhī bhavati na + anuvyañjana grāhī |	cakzuzA rUpANi dRzwvA na nimitta grAhI Bavati na + anuvyaQjana  grAhI |
   yato * adhikaraṇam asya cakṣur indriyeṇa + a saṃvara saṃvṛtasya viharato *	yatas * aDikaraNam asya cakzuH  indriyeNa + a saMvara  saMvRtasya viharataH *
   abhidhyā daurmanasye anye vā pāpakā a kuśalā dharmāś cittam anuprāpnuyuḥ |	aBiDyA  dOrmanasye anye vA pApakAH a kuSalAH DarmAH cittam anuprApnuyuH |
   teṣāṃ saṃvarāya pratipadyate | rakṣati cakṣur indriyam | evaṃ śrotreṇa	tezAm saMvarAya pratipadyate | rakzati cakzuH  indriyam | evam SrotreNa
   śabdān śrutvā | ghrāṇena gandhān ghrātvā | jihvayā rasān āsvādya | kāyena	SabdAn SrutvA | GrANena ganDAn GrAtvA | jihvayA rasAn AsvAdya | kAyena
   spraṣṭavyāni spṛṣṭvā | manasā dharmān vijñāya na nimitta grāhī bhavati |	sprazwavyAni spRzwvA | manasA DarmAn vijQAya na nimitta grAhI Bavati |
   na + anuvyañjana grāhī | yato * adhikaraṇam asya mana indriyeṇa +	na + anuvyaQjana grAhI | yatas * aDikaraNam asya manaH indriyeNa +
   a saṃvara saṃvṛtasya pāpakāś cittam anuprāpnuyuḥ | teṣāṃ saṃvarāya	a  saMvara  saMvRtasya pApakAH cittam anuprApnuyuH | tezAm saMvarAya
   pratipadyate | rakṣati mana indriyaṃ | sa gacchann api tiṣṭhann api	pratipadyate | rakzati manaH indriyam | sa gacCan api tizWan api
   niṣaṇṇo * api śayāno * api bhāṣamāṇo * api samāhita avasthām	nizaNNaH * api SayAnaH * api BAzamANaH * api samAhita  ava sTAm
   a samāhita avasthāṃ na vijahāti | sa bhavaty a hasta lolaḥ | a pāda lolo *	a samAhita  avasTAm na vijahAti | sa Bavati a haH ta lolaH | a pAda lolaH *
   a mukha lolo * a prakīrṇa vāk | a vikṣipta indriyo * an uddhato *	a muKa  lolaH * a prakIrNa vAc | a vikzipta indriyaH * an udDataH *
   an unnato * a capalo * an alaso * a saṃbhrānta kāyo * a saṃbhrānta cittaḥ	an unnataH * a capalaH * an alasaH * a saMBrAnta  kAyaH * a saMBrAnta  cittaH
   | śānta kāyaḥ śānta vāk śānta cittaḥ | rahasy a rahasi vā	| SAnta  kAyaH SAnta  vAc SAnta  cittaH | rahasi a rahasi vA
   kalpita īryā pathaḥ saṃtuṣṭaḥ || pe ||	kalpita  IryA  paTaH saMtuzwaH || pe ||
   su bharaḥ su poṣaḥ | su upāsyaḥ kalyāṇa ācāra go caraḥ | saṃgaṇikayā + api	su BaraH su pozaH | su  upAsyaH kalyANa AcAra  go caraH | saMgaNikayA + api
   viveka go caraḥ | lābhe * a lābhe ca samo nir vikāraḥ | an unnato *	viveka  go caraH | lABe * a lABe ca samaH nir vikAraH | an unnataH *
   an avanataḥ | evaṃ sukhe duṣkhe | stutau nindāyāṃ | yaśasy a yaśasi |	an avanataH | evam suKe duzKe | stutO nindAyAm | yaSasi a yaSasi |
   jīvite maraṇe ca samo nir vikāro * an unnato * an avanataḥ | evaṃ śatrau	jIvite maraNe ca samaH nir vikAraH * an unnataH * an avanataH | evam SatrO
   mitre ca | mana apavartini ... | āryeṣv an āryeṣu | śabdeṣu saṃkīrṇeṣv	mitre ca | mana apavartini ... | Aryezu an Aryezu | Sabdezu saMkIrNezu 
   a saṃkīrṇeṣu | priya a priyeṣu ca rūpeṣu samo nir vikāraḥ | an unnato *	a saMkIrNezu | priya  a  priyezu ca rUpezu samaH nir vikAraH | an unnataH *
   an avanataḥ | anurodha virodha apagataḥ | tat kasya hetoḥ | tathā hi sa	an avanataH | anuroDa  viroDa  apagataH | tat kasya hetoH | taTA hi sa
   sva lakṣaṇa śūnyān a saṃbhūtān a niṣpannān an abhinirvṛttān sarva dharmān	sva  lakzaNa  SUnyAn a saMBUtAn a nizpannAn an aBinirvRttAn sarva  DarmAn
   paśyati + iti vistaraḥ ||	paSyati + iti vistaraH ||
   tatra līne manasi muditā bhāvanayā + uttejanaṃ kuryāt | uddhate tv	tatra lIne manasi muditAH BAvanayA + uttejanam kuryAt | udDate tu 
   a nityatā manasi kāraiḥ praśamaḥ ||	a nitya tA  manasi kArEH praSamaH ||
   ubhaya prati pakṣa arthaṃ ca + ārya rāṣṭrapāla uktāṃ gāthāṃ smaret | bahu	uBaya  prati pakza  arTam ca + Arya  rAzwrapAla  uktAm gATAm smaret | bahu
   kalpa koṭībhi kadā ci buddho utpadyate loka hito maha rṣi | labdho *	kalpa  kowIBi kadA ci budDaH utpadyate loka  hitaH maha rzi | labDaH *
   adhunā sa pravaraḥ kṣaṇo * adya tyajati pramādaṃ yadi moktu kāma | iti ||	aDunA sa pravaraH kzaNaH * adya tyajati pramAdam yadi moktu  kAmaH | iti ||
   tathā | mayā + upamaṃ vitatham etat svapna upamaṃ ca saṃskṛtam avekṣya na	taTA | mayA + upamam vitaTam etat svapna  upamam ca saMskRtam avekzya na
   cirād bhaviṣyati viyogaḥ sarva priyaiḥ | na nityam iha kaś cit | udyujya	cirAt Bavizyati viyogaH sarva priyEH | na nityam iha kaS cid | udyujya
   yathā ghaṭata nityaṃ pāramitāsu bhūmiṣu baleṣu | mā jātu sraṃsaya vīryaṃ	yaTA Gawata nityam pAramitAsu BUmizu balezu | mA jAtu sraMsaya vIryam
   yāvan na budhyathā pravara bodhim | iti ||	yAvat na buDyaTA pravara  boDim | iti ||
   ārya lalita vistare * apy uktaṃ | jvalitaṃ tri bhuvaṃ jara vyādhi dukhair	Arya  lalita vistare * api uktam | jvalitam tri Buvam jara  vyADi  duKEH 
   maraṇa agni pradīptam a nātham idam | bhava niḥ śaraṇe sada mūḍha jagad	maraNa  agni  pradIptam a nATam idam | Bava  niH SaraNe sada mUXa jagad
   bhramati bhramaro yathā kumbha gataḥ ||	Bramati BramaraH yaTA kumBa gataH ||
   a dhruvaṃ tri bhuvaṃ śarad abhra nibhaṃ naṭa raṅga samā jagi janma cyutiḥ	a Druvam tri Buvam Sarad  aBra  niBam nawa  raFga  samA jagi janma cyutiH
   | giri nadya samaṃ laghu śīghra javaṃ vrajatāyu jage yatha vidyu nabhe ||	| giri nadya  samam laGu  SIGra  javam vrajata Ayu jage yaTa vidyu naBe ||
   bhuvi deva pure tri apāya pathe bhava tṛṣṇa a vidya vaśā janatā |	Buvi deva pure tri apAya  paTe Bava tRzNa  a vidya  vaSA janatA |
   parivarttiṣu pañca gatiṣv a budhā yatha kumbha karasya hi cakra bhramī ||	parivarttizu paQca  gatizu a buDAH yaTa kumBa karasya hi cakra BramI ||
   priya rūpa varaiḥ sada snigdha rutaiḥ śubha gandha rasair	priya rUpa varEH sada snigDa  rutEH SuBa ganDa  rasEH 
   vara sparśa sukhaiḥ | pariṣiktam idaṃ kali pāśa jagat mṛga lubdhaka pāśi	vara  sparSa  suKEH | pariziktam idam kali pASa jagat mRga lubDaka  pASi
   yathā + eva kapi ||	yaTA + eva kapi ||
   sa bhayāḥ sa raṇāḥ sada vaira karāḥ bahu śoka upadrava kāma guṇāḥ |	sa BayAH sa raNAH sadaH vEra karAH bahu Soka upadrava kAma guNAH |
   asi dhāra samā viṣa pattra nibhāḥ jahita ārya janair yatha mīḍha ghaṭaḥ ||	asi DAra  samAH viza pattra  niBAH jahita  ArI a janEH yaTa mIXa  GawaH ||
   smṛti moṣa karās tamasī karaṇā bhaya hetu karā dukha mūla sadā |	smRti moza karAH tamasI karaNAH Baya hetu karA duKa mUla sadA |
   bhava tṛṣṇa latāya vivṛddhi karāḥ sa bhayāḥ sa raṇā sada kāma guṇāḥ ||	Bava tRzNa  latAya vivRdDi karAH sa BayAH sa raNA sada kAma  guNAH ||
   yatha agni khadāḥ jvalitāḥ sa bhayāḥ tatha kāma ime viditā + ārya janaiḥ |	yaTaH agni KadAH jvalitAH sa BayAH taTa kAmaH ime viditAH + Arya janEH |
   maha paṅka samā aśi śūla samā madhu digdha iva kṣura dhāra samā ||	maha  paFka  samAH aSi  SUla  samA maDu digDaH iva kzura  DAra  samAH ||
   yatha sarpa śiro yatha mīḍha ghaṭaḥ tatha kāma ime viditā viduṣām | tatha	yaTa sarpa  SiraH yaTa mIXa GawaH taTa kAmaH ime viditAH viduzAm | taTa
   śūla sāmā dvi ja peśi samā yatha śvāna karaṃ kiśa vaira tathā +	SUla sAmA dvi  ja  peSi  samAH yaTa SvAna karam kiSa vEra taTA +
   udaka candra nibhā imi kāma guṇāḥ pratibimba ivā giri ghoṣa yathā |	udaka candra  niBAH imi kAma  guNAH pratibimbaH ivA giri Goza yaTA |
   pratibhāsa samā naṭa raṅga nibhā tatha svapna samā viditā + ārya janaiḥ ||	pratiBAsa  samA nawa  raFga  niBA taTa svapna  samAH viditAH + Arya janEH ||
   kṣaṇikā vasikā imi kāma guṇāḥ tatha māya marīci samā	kzaNikA vasikAH imi kAma guNAH taTa mAya  marIci  samA
   alika udaka budbuda phena samā vitathāḥ parikalpa samutthita buddha	alika  uda ka budbuda Pena  samAH vitaTAH parikalpa  samutTita budDa
   budhaiḥ ||	buDEH ||
   prathame vayase vara rūpa dharaḥ priya iṣṭa mato iya bāla cārī |	praTame vayase vara rUpa DaraH priyaH izwa mataH iya bAla  cArI |
   jara vyādhi dukhair hata teja vapuṃ vijahanti mṛgā iva śuṣka nadīm ||	jara  vyADi  duKEH hata  teja  vapum vijahanti mRgAH iva Suzka  nadIm ||
   dhana dhānya varo bahu dravya balī priya iṣṭa mato iya bāla cārī |	Dana DAnya varaH bahu dravya  balI priyaH izwa mataH iya bAla  cArI |
   parihīṇa dhanaṃ puna kṛcchra gataṃ vijahanti narā iva śūnya ṭavīm ||	parihINa  Danam puna kRcCra  gatam vijahanti narAH iva SUnya wavIm ||
   yatha puṣpa drumo sa phalo va drumo naru dāna rataḥ tatha prīti karaḥ |	yaTa puzpa drumaH sa PalaH va drumaH na ru dAna  rataH taTa prIti karaH |
   dhana hīnu jarā arditu yācanako bhavate tada a priya gṛdhra samaḥ ||	Dana hInu jarA  arditu yAcanakaH Bavate tada a priya gRDra  samaH ||
   prabhu dravya balī vara rūpa dharaḥ priya saṅga mana indriya prīti karaḥ |	praBu dravya  balI vara rUpa DaraH priya saFga mana indriya  prIti karaH |
   jarā vyādhi dukha arditu kṣīṇa dhano bhavate tada a priya mṛtyu samaḥ ||	jarA  vyADi  duKa  arditu kzINa DanaH Bavate tada a priya  mRtyu  samaH ||
   jarayā jaritaḥ samatīta vayo druma vidyu hato va yathā bhavati |	jarayA jaritaH samatIta  vayaH druma vidyu  hataH va yaTA Bavati |
   jara jīrṇa agāra yathā sa bhayo jara niḥ śaraṇaṃ laghu brūhi mune ||	jara  jIrNa agAra yaTA sa BayaH jara  niH SaraNam laGu brUhi mune ||
   jara śoṣayate nara nāri gaṇaṃ yatha mālu latā ghana śāla vanam | jara	jara Sozayate nara  nAri  gaNam yaTa mAlu latA Gana SAla vanam | jara
   vīrya parākrama vega harī jara paṅka nimagna yathā puruṣo ||	vIrya  parAkrama vega  harI jara paFka nimagna yaTA puruzaH ||
   jara rūpa su rūpa vi rūpa karī jara teja harī bala sthāma harī | sada	jara rUpa su ru upa vi ru upa karI jara teja  harI bala  sTAm a harI | sada
   saukhya harī paribhāva karī jara mṛtyu karī jara oja harī ||	sOKya harI pariBAva  karI jara mRtyu karI jaraH oja  harI ||
   bahu roga śatair ghana vyādhi dukhaiḥ upasṛṣṭu jagaj jvalanā + iva mṛgāḥ |	bahu  roga SatEH Gana  vyADi  duKEH upasRzwu jagat jvalanAH + iva mRgAH |
   jara vyādhi gataṃ prasamīkṣya jagat dukha niḥ śaraṇaṃ laghu deśaya hī ||	jara vyADi  gatam prasamIkzya jagat duKa  niH SaraNam laGu deSaya hI ||
   śiśirehi yathā hima dhātu mahaṃ tṛṇa gulma vana auṣadhi oja haro | tatha	SiSirehi yaTA hima DAtu maham tRNa gulma vana OzaDi oja  haraH | taTa
   oja haro * ayu vyādhi jage parihīyati indriya rūpa balam ||	oja  haraH * ayu vyADi jage parihIyati indriya   rUpa balam ||
   dhana dhānya mahā artha kṣaya anta karaḥ paribhāva karaḥ sad vyādhi jage |	Dana  DAnya  mahA arTa  kzaya anta karaH pariBAva karaH sat vyADi jage |
   pratighāta karaḥ priya dveṣa karaḥ paridāha karo yatha sūryu nabhe ||	pratiGAta  karaH priya dveza  karaH paridAha  karaH yaTa sUryu naBe ||
   maraṇaṃ cyavanaṃ cyuti kāla kriyā priya dravya janena viyogu sadā |	maraNam cyavanam cyuti kAla kriyA priya dravya  janena viyogu sadA |
   a puna āgamanaṃ ca a saṃgamanaṃ druma pattra phalā nadi śrotu yathā ||	a puna Agamanam ca a  saMgamanam druma pattra PalA nadi Srotu yaTA ||
   maraṇaṃ vaśitān a vaśī kurute maraṇaṃ harate nadi dāru yathā |	maraNam vaSitAn a vaSI  kurute maraNam harate nadi dAru yaTA |
   a sahāya naro vrajate * a dvitīyaḥ svaka karma phala anugato vi vaśaḥ ||	a sahAya naraH vrajate * a dvitIyaH sva ka karma  Pala  anugataH vi vaSaH ||
   maraṇaṃ grasate bahu prāṇi śatān makaro va jala ākari bhūta gaṇān | garuḍo	maraNam grasate bahu prANi SatAn makaraH va jala Akari BUta  gaNAn | garuxaH 
   ura gaṃ mṛga rāja gaja jvalano va tṛṇa auṣadhi bhūta gaṇam | iti ||	ura gam mRga rAja gaja jvalanaH va tRNa  OzaDi  BUta  gaNam | iti ||
   rāja avavādaka sūtre * apy āha | tad yathā mahā rāja catasṛbhyo digbhyaś	rAja  avavAdaka sUtre * api Aha | tat yaTA mahA  rAja catasRByaH digByaH 
   catvāraḥ parvatā āgaccheyur dṛḍhāḥ | sāravanto * a khaṇḍā a cchidrā	catvAraH parvatAH AgacCeyuH dRXAH | sAravantaH * a KaNxA a cCidrA
   a suṣirāḥ su saṃvṛtā eka ghanā nabhaḥ spṛśantaḥ pṛthivīṃ ca + ullikhantaḥ	a suzirAH su  saMvRtAH eka GanAH naBaH spRSantaH pRTivIm ca + ulliKantaH
   sarva tṛṇa kāṣṭha śākhā parṇa palāśa ādi sarva satva prāṇi bhūtāni	sarva tRNa  kAzWa SAKA parNa  palASa  Adi sarva satva  prANi  BUtAni
   nirmathnantas tebhyo na su karaṃ javena vā palāyituṃ balena vā	nirmaTnantaH teByaH na su karam javena vA palAyitum balena vA
   dravya mantra auṣadhibhir vā nivartayitum | evam eva mahā rāja catvāri +	dravya mantra  OzaDiBiH vA nivartayitum | evam eva mahA  rAja catvAri +
   imāni mahā bhayāny āgacchanti yeṣāṃ na su karaṃ javena vā palāyituṃ balena	imAni mahA  BayAni AgacCanti yezAm na su karam javena vA palAyitum balena
   dravya mantra auṣadhair vā nivartanaṃ kartum | katamāni catvāri | jarā	dravya mantra OzaDEH vA nivartanam kartum | katamAni catvAri | jarA
   vyādhir maraṇaṃ vipattiś ca ||	vyADiH maraNam vipattiH ca ||
   jarā mahā rāja āgacchati yauvanaṃ pramathamānā | vyādhir mahā rāja	jarA mahA  rAjaH AgacCati yOvanam pramaTamAnA | vyADiH mahA  rAja
   āgacchaty ārogyaṃ pramathamānaḥ | maraṇam āgacchati jīvitaṃ pramathamānaṃ	AgacCati Arogyam pramaTamAnaH | maraNam AgacCati jIvitam pramaTamAnam
   | vipattir mahā rāja + āgacchati sarvāḥ saṃpattīḥ pramathamānā | tat kasya	| vipattiH mahA   rAja + AgacCati sarvAH saMpattIH pramaTamAnA | tat kasya
   hetoḥ | tad yathā mahā rāja siṃho mṛga rājo rūpa saṃpanno java saṃpannaḥ	hetoH | tat yaTA mahA  rAja siMhaH mRga rAjaH rUpa  saMpannaH java  saMpannaH
   su jāta nakha daṃṣṭrā karālo mṛga gaṇam anupraviśya mṛgaṃ gṛhītvā	su jAta naKa  daMzwrA karAlaH mRga  gaNam anupraviSya mRgam gRhItvA
   yathā kāma karaṇīyaṃ karoti | sa ca mṛgo * ati balaṃ vyāḍa mukham āsādya	yaTA kAma karaNIyam karoti | sa ca mRgaH * ati balam vyAxa  muKam AsAdya
   vi vaśo bhavati | evam eva mahā rāja viddhasya mṛtyu śalyena +	vi vaSaH Bavati | evam eva mahA  rAja vidDasya mRtyu  Salyena +
   apagata madasya + a parāyaṇasya marmasu chidyamāneṣu mucyamāneṣu sandhiṣu	apagata madasya + a parAyaNasya marmasu CidyamAnezu mucyamAnezu sanDizu
   māṃsa śoṇite pariśuṣyamāṇe paritapta tṛṣita vihvala vadanasya	mAMsa  SoNite pariSuzyamANe paritapta  tRzita  vihvala  vadanasya
   kara caraṇa vikṣepa abhiyuktasya + a karmaṇyasya + a samarthasya	kara caraNa  vikzepa  aBiyuktasya + a karmaNi asya + a samarTasya
   lālā siṅghāṇaka pūya mūtra purīṣa upaliptasya īṣaj jīvita avaśeṣasya	lAlA  siFGANa ka pUya  mUtra  purIza  upaliptasya Izat   jIvita  ava Sezasya
   karma bhavāt punar bhavam ālambānasya yama puruṣa bhaya bhītasya	karma BavAt punar Bavam AlambAnasya yama puruza  Baya BItasya
   kāla rātri vaśa gatasya carama āśvāsa praśvāseṣu + uparudhyamāneṣu e	kAla rAtri  vaSa  gatasya carama ASvAsa  praSvAsezu + uparuDyamAnezu e
   kākino * a dvitīyasya + a sahāyasya + imaṃ lokaṃ jahataḥ para lokam	kAkinaH * a dvitIyasya + a sahAyasya + imam lokam jahataH para lokam
   ākrāmato mahā pathaṃ vrajato mahā kāntāraṃ praviśato mahā gahanaṃ	AkrAmataH mahA  paTam vrajataH mahA  kAntAram praviSataH mahA  gahanam
   samavagāhamānasya mahā andha kāraṃ pratipadyamānasya mahā arṇavena +	samavagAhamAnasya mahA  anDa kAram pratipadyamAnasya mahA arNavena +
   urjyamānasya karma vāyunā + āhriyamāṇasya + a nimittī kṛtāṃ diśaṃ gacchato	urjyamAnasya karma  vAyunA + AhriyamANasya + a nimittI  kRtAm diSam gacCataH 
   na + anyat trāṇaṃ na + anyac * charaṇaṃ na + anyat parāyaṇam ṛte dharmāt |	na + anyat trANam na + anyat * CaraNam na + anyat parAyaNam Rte DarmAt |
   dharmo hi mahā rāja tasmin samaye trāṇaṃ layanaṃ śaraṇaṃ parāyaṇaṃ bhavati	DarmaH hi mahA rAja tasmin samaye trANam layanam SaraNam parAyaNam Bavati
   | tad yathā śīta ārttasya + agni pratāpaḥ | agnim apagatasya +	| tat yaTA SIta Arttasya + agni  pratApaH | agnim apagatasya +
   a nirvāpaṇaṃ | uṣṇa ārttasya śaityaṃ | adhvānaṃ pratipannasya śītalaṃ	a nirvApaNam | uzNa  Arttasya SEtyam | aDvAnam pratipannasya SItalam
   chāyā upavanaṃ | pipāsitasya śītala jalaṃ | bubhukṣitasya vā praṇītam	CAyA upavanam | pipAsitasya SItala  jalam | buBukzitasya vA praNItam
   annaṃ | vyādhitasya vaidya oṣadhi paricārakāḥ | bhaya bhītasya balavantaḥ	annam | vyADitasya vEdya  ozaDi  paricArakAH | Baya BItasya balavantaH
   sahāyāḥ | sādhavaḥ prati śaraṇā bhavanti | evam eva mahā rāja viddhasya	sahAyAH | sADavaH prati SaraNAH Bavanti | evam eva mahA  rAja vidDasya
   mṛtyu śalyena + apagata madasya + a trāṇasya + a śaraṇasya + a parāyaṇasya	mRtyu  Salyena + apagata madasya + a trANasya + a SaraNasya + a parAyaNasya
   na + anyat trāṇaṃ na + anyat parāyaṇam anyatra dharmāt | tasmāt tarhi te	na + anyat trANam na + anyat parAyaNam anyatra DarmAt | tasmAt tarhi te
   mahā rāja + a nityatā anudarśinā bhavitavyaṃ kṣaya vyaya anudarśinā	mahA rAja + a nitya tA  anudarSinA Bavitavyam kzaya  vyaya  anu darSinA
   bhavitavyaṃ maraṇa bhaya bhītena | dharmeṇa + eva te mahā rāja rājyaṃ	Bavitavyam maraNa  Baya  BItena | DarmeNa + eva te mahA  rAja rAjyam
   kārayitavyaṃ na + a dharmeṇa | tat kasya hetoḥ | asya + api te mahā rāja +	kArayitavyam na + a DarmeNa | tat kasya hetoH | asya + api te mahA   rAja +
   ātma bhāvasya + evaṃ su ciram api parirakṣitasya su ciram api śucinā	Atma BAvasya + evam su ciram api parirakzitasya su ciram api SucinA
   praṇītena khādanīya bhojanīya āsvādanīyena saṃtarpitasya saṃpravāritasya |	praNItena KAdanIya  BojanIya  AsvAdanIyena saMtarpitasya saMpravAritasya |
   kṣuta pipāsā parigatasya kāla kriyā bhaviṣyati | evaṃ	kzuta  pipAsA  parigatasya kAla kriyA Bavizyati | evam
   kāśi kauśeya dūkūla pattra ūrṇā kṣauma ādibhir vastra viśeṣair	kASi  kOSeya dUkUla pattra  UrNA  kzOma  AdiBiH vastra  viSezEH 
   ācchāditasya carama śayana avasthitasya	AcCAditasya carama Sayana  avasTitasya
   vividha sveda ambu klinna malina vasana āvṛtasya kāla kriyā bhaviṣyati |	viviDa sveda  ambu  klinna  malina  vasana  AvRtasya kAla kriyA Bavizyati |
   evam api te mahā rāja snāna anulepana vāsa dhūpa puṣpa surabhi gandhasya +	evam api te mahA  rAja snAna  anulepana vAsa  DUpa  puzpa  suraBi   ganDasya +
   ātma bhāvasya na cireṇa dur gandhatā bhaviṣyati | evaṃ	Atma BAvasya na cireNa dur ganDa tA Bavizyati | evam
   stry  āgāra madhya gatasya + api te strī gaṇa parivṛtasya	strI   AgAra  maDya  gatasya + api te strI  gaNa  parivRtasya
   nānā vādya gīta tūrya nādyair upagīyamānasya su manasaḥ krīḍato	nAnA  vAdya gIta  tUrya nAdyEH upagIyamAnasya su manasaH krIxataH 
   ramamāṇasya paricārayato maraṇa bhaya bhītasya + atīva	ramamANasya paricArayataH maraNa  Baya BItasya + atIva
   duṣkha daurmanasyābhyāṃ kāla kriyā bhaviṣyati | evam api te mahā rāja	duzKa  dOrmanasyAByAm kAla kriyA Bavizyati | evam api te mahA  rAja
   gṛheṣu + upalepana upalipteṣu su sthāpita argaleṣu su pihita vāta āyaneṣu	gRhezu + upalepana upaliptezu su sTApita  argalezu su pihita  vAta Ayanezu
   bahu gandha dhūpa puṣpa taila varti prajvāliteṣv	bahu ganDa DUpa  puzpa  tEla  varti  prajvAlitezu 
