   praśnopaniṣad	praSna-upanizad
   tṛtīyasyāṃ divi ca yatpratiṣṭhitaṃ devādyupabhogajātaṃ tasyāpi prāṇa	tRtIyasyAm divi ca yat-pratizWitam deva-Adi-upaBoga-jAtam tasya-api prANa
   eveśitā rakṣitā /	eva-ISitAH rakzitA /
   ato māteva putrānasmān rakṣasva pālayasva /	atas mAtA-iva putrAn-asmAn rakzasva pAlayasva /
   tvannimittā hi brāhmyaḥ kṣātriyāśca śriyastāstvaṃ śrīśca śriyaśca prajñāṃ	tvad-nimittAH hi brAhmyaH kzAtriyAH-ca SriyaH-tAH-tvam SrIH-ca SriyaH-ca prajQAm
   ca tvatsthitinimittāṃ vidhehi no vidhasva ityarthaḥ /	ca tvad-sTiti-nimittAm viDehi naH viDasvaH iti-arTaH /
   ityevaṃ sarvātmatayā vāgādibhiḥ prāṇaiḥ stutyā gamitamahimā prāṇaḥ	iti-evam sarva-Atma-tayA vAc-AdiBiH prANEH stutyAH gamita-mahimA prANaH
   prajāpatirattetyavadhṛtam //13//	prajApati-ratta-iti-avaDRtam //13//
   iti dvitīyaḥ praśnaḥ	iti dvitIyaH praSnaH
   tṛtīya praśnaḥ	tRtIya praSnaH
   START PrUp 3.1	START PrUp 3.1
   atha hainaṃ kausalyaś cāśvalāyanaḥ papraccha |	aTa ha-enam kOsalyaH ca-aSvalAyanaH papracCa |
   bhagavan kuta eṣa prāṇo jāyate |	Bagavan kutas eza prANaH jAyate |
   katham āyāty asmin śarīre |	kaTam AyAti asmin SarIre |
   ātmānaṃ vā pravibhajya kathaṃ prātiṣṭhate |	AtmAnam vA praviBajya kaTam prAtizWate |
   kenotkramate |	kena-utkramate |
   kathaṃ bāhyam abhidhatte |	kaTam bAhyam aBiDatte |
   katham adhyātmam iti || PrUp_3.1 ||	kaTam aDyAtmam iti || PrUp_3.1 ||
   PrUpBh_3.1	PrUpB=-_3.1
   atha hainaṃ kausalyaścāśvalāyanaḥ papraccha /	aTa ha-enam kOsalyaH-ca-aSvalAyanaH papracCa /
   prāṇo hyevaṃ prāṇairnirdhāritatattvairupalabdhamahimāpi	prANaH hi-evam prANEH-nirDArita-tattvEH-upalabDa-mahimA-api
   saṃhatatvātsyādasyaḥ kāryatvamataḥ pṛcchāmi bhagavankṛtaḥ kasmātkāraṇādeṣa	saMhata-tvAt-syAt-asyaH kArya-tvam-atas pRcCAmi Bagavan-kRtaH kasmAt-kAraNAt-eza
   āyātyasmiñśarīre /	AyAti-asmin-SarIre /
   kiṃnimittakamasya śarīragrahaṇamityarthaḥ /	kiMnimittakam-asya SarIra-grahaNam-iti-arTaH /
   praviṣṭaśca śarīra ātmānaṃ vā pravibhajya pravibhāgaṃ kṛtvā kathaṃ kena	pravizwaH-ca SarIraH AtmAnam vA praviBajya praviBAgam kRtvA kaTam kena
   prakāreṇa prātiṣṭhate pratitiṣṭhati kena vā	prakAreNa prAtizWate pratitizWati kena vA
   vṛttiviśeṣeṇāsmāccharīrādutkrāmata utkrāmati /	vRtti-viSezeNa-asmAt-SarIrAt-utkrAmataH utkrAmati /
   kathaṃ bāhyamadhibhūtamadhidaivataṃ cābhidhatte dhārayati kathamadhyātmam	kaTam bAhyam-aDiBUtam-aDidEvatam ca-aBiDatte DArayati kaTam-aDyAtmam
   iti, dhārayatīti śeṣaḥ //1//	iti, DArayati-iti SezaH //1//
   evaṃ pṛṣṭaḥ -	evam pRzwaH -
   START PrUp 3.2	START PrUp 3.2
   tasmai sa hovāca |	tasmE sa ha-uvAca |
   atipraśnān pṛcchasi |	ati-praSnAn pRcCasi |
   brahmiṣṭho 'sīti |	brahmizWaH asi-iti |
   tasmāt te 'haṃ bravīmi || PrUp_3.2 ||	tasmAt te aham bravImi || PrUp_3.2 ||
   PrUpBh_3.2	PrUpB=-_3.2
   tasmai sa hovācācāryaḥ, prāṇa eva	tasmE sa ha-uvAca-AcAryaH, prANaH eva
   tāvaddurvijñeyatvādviṣamapraśnārhastasyāpi janmādi tvaṃ pṛcchasyato	tAvat-durvijQeya-tvAt-vizama-praSna-arhaH-tasya-api janma-Adi tvam pRcCasyato
   'tipraśnānpṛcchasi /	ati-praSnAn-pRcCasi /
   brahmiṣṭho 'sītyatiśayena tvaṃ brahmavidatastuṣṭo 'haṃ tasmātte tubhyaṃ	brahmizWaH asi-iti-atiSayena tvam brahma-vidataH-tuzwaH aham tasmAt-te tuByam
   bravīmi yatpṛṣṭaṃ śruṇu //2//	bravImi yat-pRzwam SruNu //2//
   START PrUp 3.3	START PrUp 3.3
   ātmana eṣa prāṇo jāyate |	AtmanaH eza prANaH jAyate |
   yathaiṣā puruṣe chāyaitasminn etadātatam |	yaTA-ezA puruze CAyA-etasmin etat-Atatam |
   manokṛtenāyāty asmiñ śarīre || PrUp_3.3 ||	manaH-kRtena-AyAti asmin SarIre || PrUp_3.3 ||
   PrUpBh_3.3	PrUpB=-_3.3
   ātmanaḥ parasmātpuruṣādakṣarātsatyādeṣa uktaḥ prāṇo jāyate /	AtmanaH parasmAt-puruzAt-akzarAt-satyAt-ezaH uktaH prANaH jAyate /
   kathamityatra dṛṣṭāntaḥ /	kaTam-iti-atra dRzwAntaH /
   yathā loka eṣā puruṣe śiraḥ pāṇyādilakṣaṇe nimitte chāyā naimittikī jāyate	yaTA loke ezA puruze SiraH pANi-Adi-lakzaNe nimitte CAyA nEmittikI jAyate
   tadvadetasminbrahmaṇyetat prāṇākhyaṃ chāyāsthānīyamanṛtarūpaṃ tattvaṃ	tadvat-etasmin-brahmaNi-etat prANa-AKyam CAyA-sTAnIyam-anRtarUpam tattvam
   satye puruṣa ātataṃ samarpitam ityetat /	satye puruzaH Atatam samarpitam iti-etat /
   chāyeva dehe manokṛtena manaḥ saṅkalpecchādiniṣpannakarmanimittenetyetat -	CAyA-iva dehe manaH-kRtena manaH saFkalpa-icCA-Adi-nizpanna-karma-nimittena-iti-etat -
   vakṣyati hi"puṇyena puṇyam"(pra.u.3 / 7) ityādiḥ;tadeva"saktāḥ saha	vakzyati hi"puNyena puNyam"(-pra.u.3 / 7) ityAdiH;ta-deva"-saktAH saha
   karmaṇā"(bṛ.u.4 / 4 / 6) iti ca śrutyantarāt - āyāti āgacchatyasmiñśarīre	karmaNA-a"(bR.u.4 / 4 / 6) iti ca Sruti-antarAt  AyAti AgacCati-asmin-SarIre
   START PrUp 3.4	START PrUp 3.4
   yathā samrāḍ evādhikṛtān viniyuṅkte |	yaTA samrAj eva-aDikRtAn viniyuFkte |
   etān grāmān etān grāmān adhitiṣṭhasveti |	etAn grAmAn etAn grAmAn aDitizWasva-iti |
   evam evaiṣa prāṇa itarān prāṇān pṛthak pṛthag eva saṃnidhatte || PrUp_3.4	evam eva-eza prANaH itarAn prANAn pRTak pRTak eva saMniDatte || PrUp_3.4
   PrUpBh_3.4	PrUpB=-_3.4
   yathā yena prakāreṇa loke rājā samrāḍeva grāmādiṣvadhikṛtānviniyuṅkte /	yaTA yena prakAreNa loke rAjA samrAj-A-iva grAma-Adizu-aDikRtAn-viniyuFkte /
   katham?etāngrāmānetāngrāmānadhitiṣṭhasva iti /	kaTam-?etAn-grAmAn-etAn-grAma-an-aDitizWasva iti /
   evameva yathā dṛṣṭāntaḥ eṣa mukhyaḥ prāṇaḥ itarānprāṇān	evam-eva yaTA dRzwAntaH eza muKyaH prANaH itarAn-prANAn
   cakṣurādīnātmabhedāṃśca pṛthak pṛthageva yathāsthānaṃ saṃnidhatte	cakzuH-AdIn-Atma-BedAn=-ca pRTak pRTak-eva yaTAsTAnam saMniDatte
   viniyuṅkte //4//	viniyuFkte //4//
   tatra vibhāgaḥ -	tatra viBAgaH -
   START PrUp 3.5	START PrUp 3.5
   pāyūpasthe 'pānam |	pAyu-upasTe apAnam |
   cakṣuḥśrotre mukhanāsikābhyāṃ prāṇaḥ svayaṃ pratiṣṭhate |	cakzuH-Srotre muKa-nAsikAByAm prANaH svayam pratizWate |
   madhye tu samānaḥ |	maDye tu samAnaH |
   eṣa hy etad dhutam annaṃ samaṃ nayati |	eza hi etat Dutam annam samam nayati |
   tasmād etāḥ saptārciṣo bhavanti || PrUp_3.5 ||	tasmAt etAH sapta-arcizaH Bavanti || PrUp_3.5 ||
   PrUpBh_3.5	PrUpB=-_3.5
   pāyūpasthe pāyuścopasthaśca pāyūpasthaṃ tasmin, apānamātmabhedaṃ	pAyu-upasTe pAyuH-ca-upasTaH-ca pAyu-upasTam tasmin, apAnam-Atma-Bedam
   mūtrapurīṣādyapanayanaṃ kurvastiṣṭhati saṃnidhatte /	mUtra-purIza-Adi-apanayanam kurvaH-tizWati saMniDatte /
   tathā cakṣuḥśrotre cakṣuśca śrotraṃ ca cakṣuḥśrotraṃ tasmiṃścakṣuḥśrotre,	taTA cakzuH-Srotre cakzuH-ca Srotram ca cakzuH-Srotram tasmin=-cakzuH-Srotre,
   mukhanāsikābhyāṃ ca mukhaṃ ca nāsikā ca tābhyāṃ mukhanāsikābhyāṃ ca	muKa-nAsikAByAm ca muKam ca nAsikA ca tAByAm muKa-nAsikAByAm ca
   nirgacchanprāṇaḥ svayaṃ samrāṭsthānīyaḥ pratiṣṭhate pratitiṣṭhati madhye	nirgacCan-prANaH svayam samrAj-sTAnIyaH pratizWate pratitizWati maDye
   tu prāṇāpānayoḥ sthānayornābhyāṃ samāne 'śitaṃ pītaṃ ca samaṃ nayatīti	tu prANa-apAnayoH sTAnayoH-nAByAm samAne aSitam pItam ca samam nayati-iti
   samānaḥ /	samAnaH /
   eṣa hi yasmādyadetaddhṛtaṃ bhuktaṃ pītaṃ cātmāgre prakṣiptamannaṃ samaṃ	eza hi yasmAt-yat-etat-hRtam Buktam pItam ca-AtmA-agre prakziptam-annam samam
   nayati tasmādaśitapītendhanād agreraudaryāddhṛdayadeśaṃ prāptādetāḥ	nayati tasmAt-aSita-pIta-inDanAt agreH-OdaryAt-hRdaya-deSam prAptAt-etAH
   saptasaṃkhyākā arciṣo dīptayo nirgacchantyo bhavanti śīrṣaṇyaḥ /	sapta-saMKyAkAH arcizaH dIptayaH nirgacCantyaH Bavanti SIrzaNyaH /
   prāṇadvārā darśanaśravaṇādilakṣaṇarūpādiviṣayaprakāśa ityabhiprāyaḥ //5//	prANa-dvArAH darSana-SravaNa-Adi-lakzaNa-rUpa-Adi-vizaya-prakASaH iti-aBiprAyaH //5//
   START PrUp 3.6	START PrUp 3.6
   hṛdi hy eṣa ātmā |	hRdi hi ezaH AtmA |
   atraitad ekaśataṃ nāḍīnām |	atra-etat eka-Satam nAxInAm |
   tāsāṃ śataṃ śatam ekaikasyāḥ |	tAsAm Satam Satam ekEkasyAH |
   dvāsaptatir dvāsaptatiḥ pratiśākhānāḍīsahasrāṇi bhavanti |	dvAsaptatiH dvAsaptatiH pratiSAKA-nAxI-sahasrANi Bavanti |
   āsu vyānaścarati || PrUp_3.6 ||	Asu vyAnaH-carati || PrUp_3.6 ||
   PrUpBh_3.6	PrUpB=-_3.6
   iti hyeṣa puṇḍarīkākāramāṃsapiṇḍaparicchinne hṛdayākāśa eṣa ātmātmanā	iti hi-eza puNxarIka-AkAra-mAMsa-piNxa-paricCinne hRdaya-AkASaH ezaH Atma-AtmanA
   saṃyukto liṅgātmā /	saMyuktaH liFga-AtmA /
   atrāsminhṛdaya etadekaśatam ekottaraśataṃ saṃkhyayā pradhānanāḍīnāṃ	atra-asmin-hRdayaH etat-eka-Satam ekottara-Satam saMKyayA praDAna-nAxInAm
   bhavatīti /	Bavati-iti /
   tāsāṃ śataṃ śatamekaikasyāḥ pradhānanāḍyā bhedāḥ /	tAsAm Satam Satam-ekEkasyAH praDAna-nAxyAH BedAH /
   punarapi dvāsaptatirdvāsaptatirdve dve sahasre adhike saptatiśca sahasrāṇi	punar-api dvAsaptatiH-dvAsaptatiH-dve dve sahasre aDike saptatiH-ca sahasrANi
   sahasrāṇāṃ dvāsaptatiḥ pratiśākhānāḍīsahasrāṇi /	sahasrANAm dvAsaptatiH pratiSAKA-nAxI-sahasrANi /
   pratipratināḍīśataṃ saṃkhyayā pradhānanāḍīnāṃ sahasrāṇi bhavanti /	pratipratinAxI-Satam saMKyayA praDAna-nAxInAm sahasrANi Bavanti /
   āsu nāḍīṣu vyāno vāyuḥ carati vyāno vyāpanāt /	Asu nAxIzu vyAnaH vAyuH carati vyAnaH vyApanAt /
   ādityādiva raśmayo hṛdayāt sarvagāminībhirnāḍībhiḥ sarvadehaṃ saṃvyāpya	AdityAt-iva raSmayaH hRdayAt sarva-gAminIBiH-nAxIBiH sarva-deham saMvyApya
   vyāno vartate /	vyAnaH vartate /
   sandhiskandhamarmadeśeṣu viśeṣeṇa prāṇāpānavṛttyośca madhya	sanDi-skanDa-marma-deSezu viSezeNa prANa-apAna-vRttyoH-ca maDya
   udbhūtavṛttirvīryavatkarmakartā bhavati //6//	udBUta-vRttiH-vIrya-vat-karma-kartA Bavati //6//
   START PrUp 3.7	START PrUp 3.7
   athaikayordhva udānaḥ puṇyena puṇyaṃ lokaṃ nayati |	aTa-ekayA-UrDvaH udAnaH puNyena puNyam lokam nayati |
   pāpena pāpam |	pApena pApam |
   ubhābhyām eva manuṣyalokam || PrUp_3.7 ||	uBAByAm eva manuzya-lokam || PrUp_3.7 ||
   PrUpBh_3.7	PrUpB=-_3.7
   atha yā tu tatraikaśatānāṃ nāḍīnāṃ madhya ūrdhvagā suṣumnākhyā nāḍī	aTa yA tu tatra-eka-SatAnAm nAxInAm maDyaH UrDva-gA suzumnA-AKyA nAxI
   tathaikayordhvaḥ sannudāno vāyurāpādatalamastakavṛttiḥ sañcaranpuṇyena	taTA-ekayA-UrDvaH san=-udAnaH vAyuH-ApAda-tala-mastaka-vRttiH saQcaran-puNyena
   karmaṇā śāstravihitena puṇyaṃ lokaṃ devādisthānalakṣaṇaṃ nayati prāpayati	karmaNA SAstra-vihitena puNyam lokam deva-Adi-sTAna-lakzaNam nayati prApayati
   pāpena tadviparītena pāpaṃ narakaṃ tiryagyonyādilakṣaṇam /	pApena tad-viparItena pApam narakam tiryagyonyAdi-lakzaNam /
   ubhābhyāṃ samapradhānābhyāṃ puṇyapāpābhyāmeva manuṣyalokaṃ	uBAByAm sama-praDAnAByAm puNya-pApAByAm-eva manuzya-lokam
   nayatītyanuvartate //7//	nayati-iti-anuvartate //7//
   START PrUp 3.8	START PrUp 3.8
   ādityo ha vai bāhyaḥ prāṇa udayati |	AdityaH ha vE bAhyaH prANaH udayati |
   eṣa hy enaṃ cākṣuṣaṃ prāṇam anugṛhṇānaḥ |	eza hi enam cAkzuzam prANam anugRhNAnaH |
   pṛthivyāṃ yā devatā saiṣā puruṣasyāpānam avaṣṭabhya |	pRTivyAm yA devatA sA-ezA puruzasya-apAnam avazwaBya |
   antarā yadākāśaḥ sa samānaḥ |	antarA yat-AkASaH sa samAnaH |
   vāyur vyānaḥ || PrUp_3.8 ||	vAyuH vyAnaH || PrUp_3.8 ||
   PrUpBh_3.8	PrUpB=-_3.8
   ādityo ha vai prasiddho hyadhidaivataṃ bāhyaḥ prāṇaḥ sa eṣa	AdityaH ha vE prasidDaH hi-aDidEvatam bAhyaH prANaH saH eza
   udayatyudgacchati /	udayati-udgacCati /
   eṣa hyainam ādhyātmikaṃ cakṣuṣi bhavaṃ cākṣuṣaṃ prāṇaṃ prakāśenānugṛhṇāno	eza hi-a-enam ADyAtmikam cakzuzi Bavam cAkzuzam prANam prakASena-anugRhNAnaH-
   rūpopalabdhau cakṣuṣa ālokaṃ kurvannityarthaḥ /	rUpa-upalabDO cakzuzaH Alokam kurvan=-iti-arTaH /
   tathā pṛthivyāmabhimāninī yā devatā prasiddhā saiṣā putrasya	taTA pRTivyAm-aBimAninI yA devatA prasidDA sA-ezA putrasya
   apānamapānavṛttimavaṣṭabhyākṛṣya vaśīkṛtyādha evāpakarṣaṇenānugrahaṃ	apAnam-apAna-vRttim-avazwaByAkRzya vaSIkRtya-aDas eva-apakarzaNena-anugraham
   kurvatī vartata ityarthaḥ /	kurvatI vartate iti-arTaH /
   anyathā hi śarīraṃ gurutvātpatetsāvakāśe vodgacchet /	anyaTA hi SarIram guru-tvAt-patet-sa-avakASe vA-udgacCet /
   yadetadantarā madhye dyāvāpṛthivyorya ākāśastatstho vāyuḥ ākāśa	yat-etad-antarA maDye dyAvApRTivyoryaH AkASaH-tad-sTaH vAyuH AkASa
   ucyate;mañcaśthavat /	ucyate;-maQcaSTa-vat /
   sa samānaḥ samānamanugṛhṇāno vartata ityarthaḥ /	sa samAnaH samAnam-anugRhNAnaH vartate iti-arTaH /
   samānasyāntarākāśaśthatvasāmānyāt /	samAnasya-antarAkASa-STa-tva-sAmAnyAt /
   sāmānyena ca yo bāhyo vāyuḥ sa vyāptisāmānyād vyāno vyānamanugṛhṇāno	sAmAnyena ca yaH bAhyaH vAyuH sa vyApti-sAmAnyAt vyAnaH vyAnam-anugRhNAnaH-
   vartata ityabhiprāyaḥ //8//	vartate iti-aBiprAyaH //8//
   START PrUp 3.9	START PrUp 3.9
   tejo ha vā udānaḥ |	tejaH ha vE udAnaH |
   tasmād upaśāntatejāḥ |	tasmAt upaSAnta-tejAH |
   punarbhavam indriyair manasi saṃpadyamānaiḥ || PrUp_3.9 ||	punarBavam indriyEH manasi saMpadyamAnEH || PrUp_3.9 ||
   PrUpBh_3.9	PrUpB=-_3.9
   yadvāhyaṃ ha vai prasiddhaṃ sāmānyaṃ tejastaccharīra udāna udānaṃ	yat-vAhyam ha vE prasidDam sAmAnyam tejaH-tad-SarIraH udAnaH udAnam
   vāyumanugṛhṇāti svena prakāśenetyabhiprāyaḥ /	vAyum-anugRhNAti svena prakASena-iti-aBiprAyaH /
   yasmāttejaḥ - svabhāvo bāhyatejo 'nugṛhīta utkrāntikartā tasmādyadā	yasmAt-tejaH  svaBAvaH bAhya-tejaH anugRhItaH utkrAnti-kartA tasmAt-yadA
   laukikaḥ puruṣa upaśāntatejā bhavati;upaśāntaṃ svābhāvikaṃ tejo yasya saḥ,	lOkikaH puruzaH upaSAnta-tejAH Bavati;-upaSAntam svABAvikam tejaH yasya saH,
   tadā taṃ kṣīṇāyuṣaṃ mumūrṣu vidyāt /	tadA tam kzINa-Ayuzam mumUrzu vidyAt /
   sa punarbhavaṃ śarīrāntaraṃ pratipadyate /	sa punarBavam SarIra-antaram pratipadyate /
   katham?sahendriyairmanasi sampadyamānaiḥ praviśadbhirvāgādibhiḥ //9//	kaTam-?sahA-indriyEH-manasi sampadyamAnEH praviSadBiH-vAc-AdiBiH //9//
   START PrUp 3.10	START PrUp 3.10
   yaccittas tenaiṣa prāṇam āyāti |	yat-cittaH tena-eza prANam AyAti |
   prāṇas tejasā yuktaḥ sahātmanā yathā saṃkalpitaṃ lokaṃ nayati || PrUp_3.10	prANaH tejasA yuktaH saha-AtmanA yaTA saMkalpitam lokam nayati || PrUp_3.10
   PrUpBh_3.10	PrUpB=-_3.10
   yaccitto bhavati tenaiva cittena saṃkalpenendriyaiḥ saha prāṇaṃ	yat-cittaH Bavati tena-eva cittena saMkalpena-indriyEH saha prANam
   mukhyaprāṇavṛttimāyāti /	muKya-prANa-vRttim-AyAti /
   maraṇakāle kṣīṇendriyavṛttiḥ sanmukhyayā prāṇavṛttyaivāvatiṣṭhata	maraNa-kAle kzINa-indriya-vRttiH sat-muKyayA prANa-vRttyA-eva-avatizWata
   ityarthaḥ /	iti-arTaH /
   tadābhivadanti jñātaya uchvasiti jīvatīti /	tadA-aBivadanti jQAtayaH uCvasiti jIvati-iti /
   sa ca prāṇastejasodānavṛttyā yuktaḥ sansahātmanā svāminā bhoktā sa	sa ca prANaH-tejasA-udAna-vRttyA yuktaH san-saha-AtmanA svAminA BoktA sa
   evamudānavṛttyaiva yuktaḥ prāṇastaṃ bhoktāraṃ	evam-udAna-vRttyA-eva yuktaH prANaH-tam BoktAram
   puṇyapāpakarmavaśādyathāsaṃkalpitaṃ yathābhipretaṃ lokaṃ nayati prāpayati	puNya-pApa-karma-vaSAt-yaTA-saMkalpitam yaTA-aBipretam lokam nayati prApayati
   START PrUp 3.11	START PrUp 3.11
   ya evaṃ vidvān prāṇaṃ veda |	yaH evam vidvAn prANam veda |
   na hāsya prajā hīyate 'mṛto bhavati |	na ha-asya prajAH hIyate amRtaH Bavati |
   tad eṣa ślokaḥ || PrUp_3.11 ||	tat eza SlokaH || PrUp_3.11 ||
   PrUpBh_3.11	PrUpB=-_3.11
   yaḥ kaścidevaṃ vidvānyathoktaviśeṣaṇairviśiṣṭamutpattyādibhiḥ prāṇaṃ veda	yaH kaScid-evam vidvAn-yaTA-ukta-viSezaNEH-viSizwam-utpatti-AdiBiH prANam veda
   jānāti tasyedaṃ phalam aihikamāmuṣmikaṃ cocyate /	jAnAti tasya-idam Palam Ehikam-Amuzmikam ca-ucyate /
   na hāsya naivāsya viduṣaḥ prajā putrapautrādilakṣaṇā hīyate chidyate /	na ha-asya na-eva-asya viduzaH prajA putra-pOtra-Adi-lakzaNA hIyate Cidyate /
   patite ca śarīre prāṇasāyujyatayāmṛto 'maraṇadharmā bhavati /	patite ca SarIre prANa-sAyujya-tayA-amRtaH amaraNa-DarmA Bavati /
   tadetasminnarthe saṃkṣepābhidhāyaka eṣa śloko mantro bhavati //11//	tat-etasmin=-arTe saMkzepa-aBiDAyakaH eza SlokaH mantraH Bavati //11//
   START PrUp 3.12	START PrUp 3.12
   utpattim āyātiṃ sthānaṃ vibhutvaṃ caiva pañcadhā |	utpattim AyAtim sTAnam viBu-tvam ca-eva paQcaDA |
   adhyātmaṃ caiva prāṇasya vijñāyāmṛtam aśnute vijñāyāmṛtam aśnuta iti ||	aDyAtmam ca-eva prANasya vijQAya-amRtam aSnute vijQAya-amRtam aSnutaH iti ||
   PrUp_3.12 ||	PrUp_3.12 ||
   PrUpBh_3.12	PrUpB=-_3.12
   utpattiṃ paramātmanaḥ prāṇasyāyatimāgamanaṃ manokṛtenāsmin śarīre sthānaṃ	utpattim paramAtmanaH prANasya-Ayatim-Agamanam manaH-kRtena-asmin SarIre sTAnam
   sthitiṃ ca pāyūpasthādisthāneṣu vibhutvaṃ ca svāmyameva samrāḍiva	sTitim ca pAyu-upasTa-Adi-sTAnezu viBu-tvam ca svAmyam-eva samrAj-iva
   prāṇavṛttibhedānāṃ pañcadhā sthāpanaṃ bāhyamādityādirūpeṇa adhyātmaṃ caiva	prANa-vRtti-BedAnAm paQcaDA sTApanam bAhyam-Aditya-Adi-rUpeNa aDyAtmam ca-eva
   cakṣurādyākāreṇa avasthānaṃ vijñāyaivaṃ prāṇamamṛtam aśnuta iti	cakzuH-Adi-AkAreNa avasTAnam vijQAya-evam prANam-amRtam aSnutaH iti
   vijñāyāmṛtamaśnuta iti dvirvacanaṃ praśnārthaparisamāptyartham //12//	vijQAya-amRtam-aSnutaH iti dvis-vacanam praSna-arTa-parisamApti-arTam //12//
   iti tṛtīyaḥ praśnaḥ	iti tRtIyaH praSnaH
   caturthaḥ praśnaḥ	caturTaH praSnaH
   START PrUp 4.1	START PrUp 4.1
   atha hainaṃ sauryāyaṇī gārgyaḥ papraccha |	aTa ha-enam sOryAyaNI gArgyaH papracCa |
   bhagavann etasmin puruṣe kāni svapanti |	Bagavan etasmin puruze kAni svapanti |
   kāny asmiñ jāgrati |	kAni asmin jAgrati |
   katara eṣa devaḥ svapnān paśyati |	kataraH eza devaH svapnAn paSyati |
   kasyaitat sukhaṃ bhavati |	kasya-etat suKam Bavati |
   kasmin nu sarve saṃpratiṣṭhitā bhavantīti || PrUp_4.1 ||	kasmin nu sarve saMpratizWitAH Bavanti-iti || PrUp_4.1 ||
   PrUpBh_4.1	PrUpB=-_4.1
   atha hainaṃ sauryāyaṇī gārgyaḥ papraccha /	aTa ha-enam sOryAyaNI gArgyaH papracCa /
   praśnatrayeṇāparavidyāgocaraṃ sarvaṃ parisamāpya saṃsāraṃ vyākṛtaviṣayaṃ	praSna-trayeNa-apara-vidyA-gocaram sarvam parisamApya saMsAram vyAkRta-vizayam
   sādhyasādhanalakṣaṇamanityam;athedānīmasādhyasādhanalakṣaṇamaprāṇamamanogocaramatīndriyaviṣayaṃ	sADya-sADana-lakzaNam-anityam;aTa-idAnIm-asADya-sADana-lakzaNam-aprANam-amanaH-gocaram-atIndriya-vizayam
   śivaṃ śāntamavikṛtamakṣaraṃ satyaṃ paravidyāgamyaṃ puruṣākhyaṃ	Sivam SAntam-avikRtam-akzaram satyam para-vidyA-agamyam puruza-AKyam
   sabāhyābhyantaramajaṃ vaktavyamityuttaraṃ praśnatrayamārabhyate /	sa-bAhya-aByantaram-ajam vaktavyam-iti-uttaram praSna-trayam-AraByate /
   tatra sudīptādivāgreryasmāt parādakṣarātsarve bhāvā visphuliṅgā iva	tatra su-dIptAt-iva-agreH-yasmAt parAt-akzarAt-sarve BAvAH visPuliFgAH iva
   jāyante tatra caivāpiyanti ityuktaṃ dvitīye muṇḍake;ke te sarve bhāvā	jAyante tatra ca-eva-apiyanti iti-uktam dvitIye muNxa-ke;ke te sarve BAvA
   akṣarādvibhajyante?kathaṃ vā vibhaktāḥ santastatraiva apiyanti?kiṃ	akzarAt-viBajyante?-kaTam vA viBaktAH santaH-tatra-eva apiyanti?kim
   lakṣaṇaṃ vā tadakṣaramiti?etadvivakṣayādhunā praśnān udbhāvayati -	lakzaNam vA tat-akzaram-iti?etat-vivakzaya-aDunA praSnAn udBAvayati -
   bhagavannetasminpuruṣo śiraḥ pāṇyādimati kāni karaṇāni svapanti svāpaṃ	Bagavan=-etasmin-puruzaH SiraH pANi-Adimati kAni karaNAni svapanti svApam
   kurvanti svavyāpārāduparamante?kāni cāsmin jāgrati jāgaraṇamanidrāvasthāṃ	kurvanti sva-vyApArAt-uparam-ante?kAni ca-asmin jAgrati jAgaraNam-anidrA-avasTAm
   svavyāpāraṃ kurvanti kataraḥ kāryakaraṇa lakṣaṇayoreṣa devaḥ	sva-vyApAram kurvanti kataraH kArya-karaNa lakzaNayoH-eza devaH
   svapnānpaśyati?svapno nāma jāgraddarśanānnivṛttasya jāgradvadantaḥśarīre	svapnAn-paSyati?svapnaH nAma jAgrat-darSanAt-nivRttasya jAgradvat-antaH-SarIre
   yaddarśanam /	yad-darSanam /
   tatkiṃ kāryalakṣaṇena devena nirvartyante kiṃ vā karaṇalakṣaṇena	tat-kim kArya-lakzaNena devena nirvartyante kim vA karaNa-lakzaNena
   kenacidityabhiprāyaḥ /	kenacid-iti-aBiprAyaH /
   uparate ca jāgratsvapnavyāpāre yatprasannaṃ nirāyāsalakṣaṇamanābādhaṃ	uparate ca jAgrat-svapna-vyApAre yat-prasannam nirAyAsa-lakzaNam-anAbADam
   sukhaṃ kasyaitadbhavati /	suKam kasya-etat-Bavati /
   tasminkāle jāgratsvapnavyāpārād uparatāḥ santaḥ kasminnu sarve	tasmin-kAle jAgrat-svapna-vyApArAt uparatAH santaH kasmin-nu sarve
   samyagekībhūtāḥ saṃpratiṣṭhitāḥ /	samyak-ekIBUtAH saMpratizWitAH /
   madhuni rasavatsamudrapraviṣṭanadyādivacca vivekānarhāḥ pratiṣṭhitā	maDuni rasavat-samudra-pravizwa-nadi-Adi-vat-ca viveka-anarhAH pratizWitA
   bhavanti saṃgatāḥ saṃpratiṣṭhitā bhavantītyarthaḥ /	Bavanti saMgatAH saMpratizWitAH Bavanti-iti-arTaH /
   nanu nyastadātrādikaraṇāt svavyāpārāduparatāni pṛthakpṛthageva	nanu nyasta-dAtra-Adi-karaNAt sva-vyApArAt-uparatAni pRTak-pRTak-eva
   svātmanyavatiṣṭhanta ityetadyuktam /	sva-Atmani-avatizWantaH iti-etat-yuktam /
