   (Vajraṭ_95)	(Vajraj-_95)
   evaṃ sarvadharmāṇāṃ nairātmyāvagamopāye nirdiṣṭe 'pi kāyajīviteṣvāsajya ye	evam sarva-DarmANAm nErAtmya-avagama-upAye nirdizwe api kAya-jIvitezu-Asajya ye
   lābhasatkārādhyasitāḥ kausīdyalābhasatkārapiṇḍapātānuraktā teṣāṃ	lABa-satkAra-aDyasitAH kOsIdya-lABa-satkAra-piNxapAta-anuraktA tezAm
   tatrānuraktivisaṃyogārthaṃ dvādaśasthānamadhikṛtyāha- yaśca khalu punaḥ	tatra-anurakti-visaMyoga-arTam dvAdaSa-sTAnam-aDikRtya-aha yaH-ca Kalu punar-
   sūbhūte, strī vā puruṣo vā ityādi |	sUBUte, strI vA puruzaH vA ityAdi |
   (Vajraṭ_163)	(Vajraj-_163)
   anena cāsāre 'nekaśatasahasraduḥkhaikasthānatucchātmabhāve tasmin snihyan	anena ca-AsAre aneka-Sata-sahasra-duHKa-eka-sTAna-tucCa-Atma-BAve tasmin snihyan
   etāvacchariraparityāgenāpi yatpuṇyaṃ na prāptam, tadantarāyakaratvāttasmin	etAvat-SariH-aparityAgena-api yat-puNyam na prAptam, tad-antarAya-kara-tvAt-tasmin
   kāyajīvite nirapekṣacittatayā sarvātmanāsmin (dharmaparyāye) yogaḥ	kAya-jIvite nirapekza-citta-tayA sarva-AtmanA-asmin (Darma-paryAye) yogaH
   karaṇīya iti paridipitam | anenārthataḥ kausīdyādayo vipakṣatvena darśitāḥ	karaNIyaH iti paridipitam | anena-arTataH kOsIdya-AdayaH vipakza-tvena darSitAH
   | tatprahāṇāya saddharmasamādānāya ca chandaḥ praṇidhānañcāpi nirdiṣṭe |	| tad-prahANAya sat-Darma-samAdAnAya ca CandaH praNiDAnaQcA-api nirdizwe |
   ito dharmaparyāyāt ityupalakṣaṇamātroktyā samastamahāyānaśravaṇādīni	itas Darma-paryAyAt iti-upalakzaNa-mAtra-uktyA samasta-mahAyAna-SravaNa-AdIni
   ābadhyante | bahutaraṃ puṇyam ityanena ādāryamuktam |	AbaDyante | bahutaram puNyam iti-anena AdAryam-uktam |
   dharmavegena iti dharmaśraddhābalenetyarthaḥ | āryasubhūtiḥ aśrūṇi	Darma-vegena iti Darma-SradDA-balena-iti-arTaH | Arya-suBUtiH aSrUNi
   prāmuñcat tadapi bhagavato 'dhiṣṭhānenānyeṣu kusīdeṣu janeṣu	prAmuQcat tat-api BagavataH aDizWAnena-anyezu kusIdezu janezu
   adbhutamahāyānadharmasyābhidhānena paramaśraddhotpādārthe draṣṭavyam |	adButa-mahAyAna-Darmasya-aBiDAnena parama-SradDA-utpAda-arTe drazwavyam |
   tasmād hastena aśrūṇi pramṛjya bhagavantametadavocat āścaryaṃ bhagavan,	tasmAt hastena aSrUNi pramRjya Bagavantam-etat-avocat AScaryam Bagavan-,
   yāvadayaṃ dharmaparyāyastathāgatena bhāṣitaḥ ityāha | yāvad iti	yAvat-ayam Darma-paryAyaH-taTAgatena BAzitaH iti-Aha | yAvat iti
   kāritraviśeṣaḥ | yāvatā prakāreṇa deśānārhāstān bodhisattvānupadiśantviti	kAritra-viSezaH | yAvatA prakAreNa deSAn-ArhAH-tAn boDisattvAn-upadiSantu-iti
   vākyārthaḥ |	vAkya-arTaH |
   kasmādityākāṅkṣāyāṃ yato me jñānamutpannam ityakathayat | yataḥ	kasmAt-iti-AkAFkzAyAm yatas me jQAnam-utpannam iti-akaTayat | yatas-
   ityāryasatyagocarajñānotpādamārabhya etatparyantaṃ dharmaparyāyasya	iti-Arya-satya-gocara-jQAna-utpAdam-AraByaH etat-paryantam Darma-paryAyasya
   paramapuṇyaphalasya yathoktā deśanā śrāvaka-pratyekabuddhanāmagocarā	parama-puNya-Palasya yaTA-uktA deSanA SrAvaka--pratyekabudDa-nAma-gocarA
   naivaṃ śrutapūrvetyarthaḥ | etena (Vajraṭ_164) daurlabhyaṃ proktam | evaṃ	na-evam Sruta-pUrvA-iti-arTaH | etena (Vajraj-_164) dOrlaByam proktam | evam
   viśiṣṭaṃ puṇyaṃ śrutvā yeṣāṃ vīryamārabhya pravṛttānāmasmin dharme	viSizwam puNyam SrutvA yezAm vIryam-AraBya pravRttAnAm-asmin Darme
   yathārutasaṃjñā bhavati teṣāṃ taddoṣaparijihīrṣayā parameṇāścaryeṇa	yaTA-aruta-saMjQA Bavati tezAm tad-doza-parijihIrzayA parameNa-AScaryeNa
   ityavocat | vipulapuṇyānyutpādayato 'dhamapuruṣasya	iti-avocat | vipula-puNyAni-utpAdayataH aDama-puruzasya
   tādṛgduṣkaraśraddhādhimuktito	tAdRS-duzkara-SradDa-aDimuktitaH-
   'tyantagambhīrapudgala-dharmanairatmyādhimuktiśca mameva	atyanta-gamBIra-pudgala--Darma-nEratmya-aDimuktiH-ca mama-iva
   pudgalanairātmyamātraśuddhajñānena, parameṇa te āścaryeṇaṃ samanvāgatā	pudgala-nErAtmya-mAtra-SudDa-jQAnena, parameNa te AScaryeNam samanvAgatA
   bhaviṣyanti | bhūtasaṃjñām ityaviparītārthasaṃjñām, na tu	Bavizyanti | BUta-saMjQAm iti-aviparIta-arTa-saMjQAm, na tu
   śabdābhiniveśenedaṃ bhūtatvamiti saṃjñā | evamatra paramārthabhipretya	Sabda-aBiniveSena-idam BUta-tvam-iti saMjQA | evam-atra parama-arTa-Bipretya
   sarvadharmaniḥsvabhāvatvaṃ nirdiṣṭam, na tu saṃvṛtim, niḥsvabhāvatāyā	sarva-Darma-niHsvaBAva-tvam nirdizwam, na tu saMvRtim, niHsvaBAva-tAyA
   abhāvāttatra | tasmānna darśanadinā virodha ityabhiprāyaḥ |	aBAvAt-tatra | tasmAt-na darSana-dinA viroDaH iti-aBiprAyaH |
   nanu bhūtasaṃjñāyāṃ satyāṃ, saṃjñāyā api sattvaṃ paramārthataḥ syāt,	nanu BUta-saMjQAyAm satyAM, saMjQAyAH api sattvam paramArTataH syAt-,
   asatsu ca saṃjñeyeṣu saṃjñāyā apyabhāvaḥ prasajyeta, tasmāt kathaṃ	asatsu ca saMjQeyezu saMjQAyAH api-aBAvaH prasajyeta, tasmAt kaTam
   paramārthataḥ sarvadharmaniḥsvabhāvatvaṃ sidhyedityupālambhaṃ vicintya	paramArTataH sarva-Darma-niHsvaBAva-tvam siDyet-iti-upAlamBam vicintya
   tatkasya hetoḥ? ityavocat | yā caiṣā bhagavan, bhūtasaṃjñā ityuadatarat |	tat-kasya hetoH? iti-avocat | yA ca-ezA Bagavan, BUta-saMjQAH iti-uadatarat |
   saṃjñānāma na kācana, ekānekasvabhāvena viyogāt, paramārthataḥ sā	saMjQA-nAma na kAcana, eka-aneka-svaBAvena viyoga-at, paramArTataH sA
   asaṃjñaiva | ata eva nocyate bhūtasaṃjñeyaṃ bhūtasaṃjñātveneti darśitam,	asaMjQA-eva | atas eva na-ucyate BUta-saMjQA-iyam BUta-saMjQA-tvena-iti darSitam,
   yato hyavicāraramaṇīyamātrataḥ vidyate tasmāt tāṃ tathāgato bhāṣate	yatas hi-avicAra-ramaNIya-mAtrataH vidyate tasmAt tAm taTAgataH BAzate
   bhūtasaṃjñā, anyathā sarvathābhāvānna bhāṣeta | tataḥ	BUta-saMjQA, anyaTA sarvaTA-aBAvAt-na BAzeta | tatas-
   paramārthavyavasthāyāṃ kathaṃ yogasamāpattyā pratipattavyam, kathaṃ ca	parama-arTa-vyavasTAyAm kaTam yoga-samApattyA pratipattavyam, kaTam ca
   vikṣepo nigrahītavya ityubhayaṃ darśitaṃ gāmbhīryañcāpi nigaditam,	vikzepaH nigrahItavyaH iti-uBayam darSitam gAmBIryaQcA-api nigaditam,
   adhyāropāpavādāntāvapi parihṛtau |	aDyAra-upa-apavAda-antO=-api parihRtO |
   teṣu kusīdeṣvevāścaryotpādanārtham na mama bhagavan, āścaryaṃ yadahamimaṃ	tezu kusIdezu-eva-AScarya-utpAdana-arTam na mama Bagavan, AScaryam yat-aham-imam
   dharmaparyāyaṃ bhāṣyamāṇamavakalpayāmi, adhimucye, ye 'pi te bhagavan,	Darma-paryAyam BAzyamANam-avakalpayAmi, aDimucye, ye api te Bagavan-,
   sattvā bhaviṣyantyanāgate 'dhvani paścime kāle paścime (Vajraṭ_165) samaye	sattvAH Bavizyanti-anAgate aDvani paScime kAle paScime (Vajraj-_165) samaye
   paścimāyāṃ pañcaśatyāṃ ye imaṃ bhagavan, dharmaparyāyam udgrahīṣyanti,	paScimAyAm paQcaSatyAm ye imam Bagavan, Darma-paryAyam udgrahIzyanti,
   dhārayiṣyanti, paryavāpsyanti, te paramāścaryeṇa samanvāgatā bhaviṣyanti	DArayizyanti, paryavApsyanti, te parama-AScaryeNa samanvAgatAH Bavizyanti
   ityāha |	iti-Aha |
   atrāyaṃ sāmānyena samāsārthaḥ- anāgate saddharmavipralopakāle ye	atra-ayam sAmAnyena samAsa-arTaH anAgate sat-Darma-vipralopa-kAle ye
   bodhisattvā imaṃ dharmaparyāyaṃ dhārayiṣyanti, na te pudgalādibhirgṛhītā	boDisattvAH imam Darma-paryAyam DArayizyanti, na te pudgala-AdiBiH-gRhItA
   bhaviṣyanti, mayyapyevaṃ sambhāvanāyāṃ saddharmotthānakāle 'pi	Bavizyanti, mayi-api-evam samBAvanAyAm sadDarma-utTAna-kAle api
   yuṣmākametādṛśapratipattyabhāve idamatyantaṃ lajjāsthānaṃ tat	yuzmAkam-etAdRSa-pratipatti-aBAve idam-atyantam lajjA-sTAnam tat-
   syādityucyate | tatra 'aham'; iti padgalanairātmyaṃ bodhyate, imaṃ	syAt-iti-ucyate | tatra aaham-a; iti padgala-nErAtmyam boDyate, imam
   ityanena pudgaladharmanairātmyaṃ prakāśyate, bhāṣyamāṇam iti tu sākṣāt	iti-anena pudgala-Darma-nErAtmyam prakASyate, BAzyamANam iti tu sAkzAt-
   prākāśyamānaṃ bhagavatā, avakalpayāmi iti prasādākāraḥ prasannatā	prAkASyamAnam BagavatA, avakalpayAmi iti prasAda-AkAraH prasanna-tA
   saṃdarśyate, adhimucye iti sampratyayaśca, te sattvāḥ ityanena bhagavan,	saMdarSyate, aDimucye iti sampratyayaH-ca, te sattvAH iti-anena Bagavan-,
   anāgate kalpe bhāvinaḥ | atrodgrahīṣyantītyādīni yāni padāni tāni	anAgate kalpe BAvinaH | atra-udgrahIzyanti-ityAdIni yAni padAni tAni
   pūrvamevoktāni |	pUrvam-eva-uktAni |
   taccaivaṃ nirucyate- pudgalanairātmyamātramavaganturmama bhagavataḥ	tat-ca-evam nirucyate pudgala-nErAtmya-mAtram-avagantuH-mama BagavataH
   sakāśāt sākṣāt śravaṇabalena yaddhi nairātmyadvayapratipādake 'smin dharme	sakASAt sAkzAt SravaNa-balena yat-hi nErAtmya-dvaya-pratipAdake asmin Darme
   prasādasampratyayamātraṃ jātaṃ tannaivāścaryam | ye bhagavan (teṣu)	prasAda-sampratyaya-mAtram jAtam tat-na-eva-AScaryam | ye Bagavan (tezu)
   kalpeṣu asmin [dharme] dhāraṇādikrameṇa īdṛśaṃ dharmaparyāyamadhigamya	kalpezu asmin [Darme] DAraNa-Adi-krameNa IdRSam Darma-paryAyam-aDigamya
   paryavāpsyanti te paramāścaryeṇa samanvāgatā bhaviṣyanti | bhagavan,	paryavApsyanti te parama-AScaryeNa samanvAgatAH Bavizyanti | Bagavan-,
   (teṣu) kalpeṣu bahulatayā mahāyānaviprakṛṣṭā bhavanti, teṣu (Vajraṭ_166)	(tezu) kalpezu bahula-tayA mahAyAna-viprakRzwAH Bavanti, tezu (Vajraj-_166)
   śraddhotpādastvatidurlabha ityabhiprāyaḥ |	SradDA-utpAdaH-tu-ati-durlaBaH iti-aBiprAyaH |
   etena kausīdyaṃ prahāya saddharmagrahaṇādau chandena praṇidhānena ca	etena kOsIdyam prahAya sadDarma-grahaNa-AdO Candena praNiDAnena ca
   sthātavyamityādarśitam | na kevalaṃ teṣu āgamayoga evāpitu (teṣu)	sTAtavyam-iti-AdarSitam | na kevalam tezu Agama-yogaH eva-api-tu (tezu)
   pratipattisampadamapi darśayitum api tu khalu punarbhagavan ityavocat |	pratipatti-sampadam-api darSayitum api tu Kalu punar-Bagavan iti-avocat |
   ātmā ityādivacanam, tūpalakṣaṇam, atasteṣāṃ dharmasaṃjñā (api) na	AtmA iti-Adi-vacanam, tu-upalakzaNam, atas-tezAm Darma-saMjQA (api) na
   pravartiṣyate, dvayornairātmyayoryugapadadhigamāt |	pravartizyate, dvayoH-nErAtmyayoH-yugapad-aDigamAt |
   yadyanātmādikaṃ sat tadā saṃjñāpi tatra niyamena pravartayediti vicintya	yadi-anAtma-Adikam sat tadA saMjQA-api tatra niyamena pravartayet-iti vicintya
   tatkasya hetoḥ? iti pṛṣṭvā ātmasaṃjñā ityudatārīt |	tat-kasya hetoH? iti pRzwvA Atma-saMjQA iti-udatArIt |
   yathātmetyādyuktastathā ayamahamityayātmasaṃjñā yā sarvajanaprasiddhā,	yaTA-AtmA-ityAdi-uktaH-taTA ayam-aham-ityaya-Atma-saMjQA yA sarva-jana-prasidDA,
   tasyā api parikṣākṣamatvādakiñcanatve sati ātmādyanubhavābhāvādasatyāḥ kā	tasyAH api parikzA-kzam-atvAda-kiQcana-tve sati Atma-Adi-anuBava-aBAvAt-asatyAH kA
   kathā | anena tāvad yogasamāpattiḥ nirdiṣṭā |	kaTA | anena tAvat yoga-samApattiH nirdizwA |
   nanu cāsattve satyātmādestadviparyayeṇa nātmasaṃjñā pravartiṣyata iti kuta	nanu ca-asattve satya-Atma-AdeH-tad-viparyayeNa na-Atma-saMjQA pravartizyate iti kuta
   ityābhyantarotthitaṃ praśnaṃ vicārya tatkasya hetoḥ? ityavocat |	iti-AByantara-utTitam praSnam vicArya tat-kasya hetoH? iti-avocat |
   sarvasaṃjñāpagatā hi buddhā bhagavantaḥ ityudatarat | atrāyamarthaḥ-	sarva-saMjQA-apagatAH hi budDAH BagavantaH iti-udatarat | atra-ayam-arTaH-
   samastabhāvānāṃ yathāvattattvādhigamena 'buddhā bhagavantaḥ'; ityucyate |	samasta-BAvAnAm yaTAvat-tattva-aDigamena abudDAH BagavantaH-a; iti-ucyate |
   paramārthataḥ kasyāpi saṃjñeyasyābhāvāt, na kutrāpi te saṃjñā pravartate,	paramArTataH kasya-api saMjQeyasya-aBAvAt, na kutra-api te saMjQA pravartate,
   anyathā viparyāsaḥ syāt | bodhisattvāstu buddhānunuśikṣāmanuvartante,	anyaTA viparyAsaH syAt | boDisattvAH-tu budDa-anunuSikzAm-anuvartante,
   anyathā kathaṃ tatpadaṃ prāpnuyuḥ, tasmāt buddhairbhagavadbhiryathā	anyaTA kaTam tat-padam prApnuyuH, tasmAt budDEH-BagavadBiH-yaTA
   sarvasaṃjñāpagatatvaṃ śikṣitaṃ tathā bodhisattvairapi śikṣitavyam | tasmād	sarva-saMjQA-apagata-tvam Sikzitam taTA boDisattvEH-api Sikzitavyam | tasmAt-
   ye bodhisattvāstasyāmanuśikṣante teṣāmātmādisaṃjñā niyamato na pravartate	ye boDisattvAH-tasyAm-anuSikzante tezAm-Atma-Adi-saMjQA niyamataH na pravartate
   (Vajraṭ_167) evametat iti vineyānāṃ niścayāpādanārthaṃ svayamabhyupagamya	(Vajraj-_167) evam-etat iti vineyAnAm niScaya-ApAdana-arTam svayam-aByupagamya
   bhagavatā dviruktam | itaḥ pūrvamanārabdhavīryānadhikṛtyābhihitam |	BagavatA dvis-uktam | itas pUrvam-anArabDa-vIryA-an-aDikRtya-aBihitam |
   samprati pudgalā dharmagāmbhīryaṃ śrutvā trasyanti | ataḥ	samprati pudgalAH Darma-gAmBIryam SrutvA trasyanti | atas-
   prathamataramanārabdhavīryāṇāṃ teṣām anārabdhavīryatvāpanayanārthaṃ ye	praTamataram-anArabDa-vIryANAm tezAm anArabDa-vIrya-tva-apanayana-arTam ye
   sattvāḥ ityādyāha | santrāse sati nārabhante vīryam, śrāvakayāne 'smin	sattvAH iti-Adi-Aha | santrAse sati na-AraBante vIryam, SrAvaka-yAne asmin
   bhagavatā dharmamātramidaṃ pudgalāsattvamityuktam, mahāyāne tu tadapi	BagavatA Darma-mAtram-idam pudgala-asattvam-iti-uktam, mahAyAne tu tat-api
   dharmamātraṃ mithyeti deśitam, tasmād	Darma-mAtram miTyA-iti deSitam, tasmAt-
   anādikālīnasahajātmadṛṣṭisamprayuktāntaḥkaraṇā abhāvitātmānaḥ	anAdi-kAlIna-sahaja-Atma-dRzwi-samprayukta-antaHkaraNAH aBAvita-AtmAnaH
   pudgalanairātmyaṃ śrutvā nāstyahamiti trasiṣyanti | tanniṣedhāryaṃ no	pudgala-nErAtmyam SrutvA na-asti-aham-iti trasizyanti | tat-nizeDa-Aryam no
   trasiṣyanti iti deśitam | ye dharmamātre 'bhiniviṣṭāste	trasizyanti iti deSitam | ye Darma-mAtre aBinivizwAH-te
   dharmanairātmyadeśanāśravaṇakāle santrasiṣyanti, yad dharmamātraṃ	Darma-nErAtmya-deSanA-SravaNa-kAle santrasizyanti, yat Darma-mAtram
   tasyāpyasattve 'aho ! na mayā bhāvyam'; iti matvā daśadigavalokanenāpi	tasya-api-asattve aaho ! na mayA BAvyam-a; iti matvA daSa-diS-avalokanena-api
   śaraṇābhāvāt santrāse tadapākaraṇāya na santrasiṣyanti ityuddiṣṭam |	SaraNa-aBAvAt santrAse tad-apAkaraNAya na santrasizyanti iti-uddizwam |
   cintākāle ubhayābhāvayogasyāśakyatvāt santrasiṣyanti	cintA-kAle uBaya-aBAva-yogasya-aSakya-tvAt santrasizyanti
   'kathamasmābhirnairātmyadvayamadhigantavyam';	akaTam-asmABiH-nErAtmya-dvayam-aDigantavyam-a;
   ityādimasantrāsāpasāraṇārthaṃ na santrāsamāpatsyante ityuktam |	ityAdim-asantrAsa-apasAraNa-arTam na santrAsam-Apatsyante iti-uktam |
   anye tāvannairātmyadvayānavabodhād yo hi trāso mṛdu-madhyādhimātrātmakaḥ	anye tAvat-nErAtmya-dvayAn-avaboDAt yaH hi trAsaH mRdu-maDya-aDimAtra-AtmakaH
   sa ebhistribhiḥ padaiḥ yathākramamudīrita ityevaṃ manyante, apare tu	saH eBiH-triBiH padEH yaTAkramam-udIritaH iti-evam manyante, apare tu
   trividhastrāsaḥ śravaṇa-manana-bhāvanākāle bhavatītyabhyupagacchanti |	triviDaH-trAsaH SravaNa-manana-BAvanA-kAle Bavati-iti-aByupagacCanti |
   samprati lābhasatkāreṣu vītarāgatvāt 'te paramāścaryeṇa samanvāgatā	samprati lABa-satkArezu vIta-rAga-tvAt ate parama-AScaryeNa samanvAgatA
   bhaviṣyantīti |'; śrotukāmānāṃ hitāya svayaṃ pūrvaṃ praśnamuthyāpya	Bavizyanti-iti |a; Srotu-kAmAnAm hitAya svayam pUrvam praSna-m-uTyApi-a
   tatkasya hetoḥ? ityavocat | paramapāramiteyaṃ ityuktam | prajñāpāramiteyaṃ	tat-kasya hetoH? iti-avocat | parama-pAramitA-iyam iti-uktam | prajQApAramitA-iyam
   bodherāsānnahetuḥ | asyā abhāvena dānādipāramitānāmabhāvāt sarvapāramitāsu	boDerAsa-anna-hetuH | asyAH aBAvena dAna-Adi-pAramitAnAm-aBAvAt sarva-pAramitAsu
   śreṣṭhā | na kevalaṃ mayaiveyaṃ paramā paramā proktā, (Vajraṭ_168) api tu	SrezWA | na kevalam mayA-eva-iyam paramA paramA proktA, (Vajraj-_168) api tu
   sarvabuddhairapīyaṃ parametyukteti darśanārthaṃ yāṃ ca paramapāramitāṃ iti	sarva-budDEH-api-iyam paramA-iti-uktA-iti darSana-arTam yAm ca parama-pAramitAm iti
   nigaditam |	nigaditam |
   anena 'ekabuiddhena deśitamapi aviparītārthatvena gṛhyate	anena aeka-buidDena deSitam-api aviparIta-arTa-tvena gRhyate
   sarvabuddhaikābhipretatve khalu kimucyatām'; ityevaṃ dīpitam | (yadi)	sarva-budDa-eka-aBipreta-tve Kalu kim-ucyatAm-a; iti-evam dIpitam | (yadi)
   asmābhiḥ sarvaiḥ paramā saṃsādhitā syāt, kathaṃ na (vayaṃ)	asmABiH sarvEH paramA saMsADitA syAt, kaTam na (vayaM)
   parameṇāścaryeṇa samanvāgatā bhaviṣyāmaḥ? anena paramatvadarśanena hriyaḥ	parameNa-AScaryeNa samanvAgatAH BavizyAmaH? anena paramatva-darSanena hriyaH
   dvitīyaṃ sthānaṃ nirdiśyate, tathā hi- dharmo 'yaṃ (etāvān)	dvitIyam sTAnam nirdiSyate, taTA hi DarmaH ayam (etAvAn)
   śreṣṭhastathāpi tvaṃ yallābhasatkārādhyavasitaḥ pramādena sthitastadatīva	SrezWaH-taTA-api tvam yat-lABa-satkAra-aDyavasitaH pramAdena sTitaH-tat-atIva
   lajjājanakamityucyate | anena cittapragrahaḥ sandarśitaḥ |	lajjA-janakam-iti-ucyate | anena citta-pragrahaH san-darSitaH |
   13. duḥkhādhivāsana-sthānam :	13. duHKa-aDivAsana-sTAnam :
   evaṃ hrīsthāne deśite 'pi ye duḥkhe 'kṣāntyā vīryātiśayamārabdhuṃ	evam hrI-sTAne deSite api ye duHKe akzAntyA vIrya-atiSayam-ArabDum
   notsahante, teṣāṃ duḥkhākṣāntervyapagamārthaṃ trayodaśasthānamadhikṛtyāha	na-utsahante, tezAm duHKa-akzAnteH-vyapagama-arTam trayodaSa-sTAnam-aDikRtya-Aha
   apia tu khalu punaḥ subhūte ityādi | kimatra kṣāntiḥ? kena lakṣaṇena sā	apia tu Kalu punar suBUte ityAdi | kim-atra kzAntiH? kena lakzaNena sA
   kṣāntirjñāyate? tasyāḥ ya ākāraḥ, yathā vākāraḥ, yaścākṣānteḥ pratipakṣaḥ	kzAntiH-jQAyate? tasyAH yaH AkAraH, yaTA vA-AkAraH, yaH-ca-akzAnteH pratipakzaH
   so 'nena sthānena darśyate | kīdṛśī kṣāntiriti cet?	saH anena sTAnena darSyate | kIdRSI kzAntiH-iti ced-?
   sarvadharmānupalambhasvabhāvaḥ, ataḥ yā tathāgatasya kṣāntipāramitā saiva	sarva-Darma-anupalamBa-svaBAvaH, atas yA taTAgatasya kzAnti-pAramitA sA-eva
   apāramitā ityuktam | paramārthataḥ kā kṣāntiḥ, yena kṣāntiḥ, yatra	apAramitA iti-uktam | paramArTataH kA kzAntiH, yena kzAntiH, yatra
   kṣāntiḥ, yaśca kṣamyaḥ, yā ca kṣāntiḥ, teṣāṃ sarveṣāmanupalambhāt	kzAntiH, yaH-ca kzamyaH, yA ca kzAntiH, tezAm sarvezAm-anupalamBAt-
   (Vajraṭ_169) saiva apāramitā | evaṃ paramārthato 'nutpannatvāt nāsti tatra	(Vajraj-_169) sA-eva apAramitA | evam paramArTataH anutpanna-tvAt na-asti tatra
   pāraṃ gatetyabhisandhiḥ | anena tasyāḥ kṣānteḥ svabhāvenānutpannatvaṃ	pAram gata-iti-aBisanDiH | anena tasyAH kzAnteH svaBAvena-anutpanna-tvam
   gāmbhīryaṃ cāpi darśitam |	gAmBIryam ca-api darSitam |
   evaṃ sarvadharmānupalambhamanasikāreṇa kutaḥ bodhisattvānāṃ kṣāntiriti	evam sarva-Darma-anupalamBa-manasikAreNa kutas boDisattvAnAm kzAntiH-iti
   vicintya tatkasya hetoḥ? iti jñāpakahetau pṛṣṭe yadā subhūte	vicintya tat-kasya hetoH? iti jQApaka-hetO pRzwe yadA suBUte
   ityādyattaramāha | aṅgāni hastapādādīni, pratyaṅgāni aṅgulyādīni | nāpi me	iti-Adyattaram-Aha | aFgAni hasta-pAda-AdIni, pratyaFgAni aFguli-AdIni | na-api me
   kācitsaṃjñā iti paradehasaṃjñā, śastrasaṃjñā, chedasaṃjñā, parasaṃjñā,	kAcid-saMjQAH iti para-deha-saMjQA, Sastra-saMjQA, Ceda-saMjQA, para-saMjQA,
   kṣāntisaṃjñādayaśca | anena sarvadharmānupalambho 'bhihitaḥ |	kzAnti-saMjQA-AdayaH-ca | anena sarva-Darma-anupalamBaH aBihitaH |
   nanu asatyāñca kasyāñcit saṃjñāyāṃ mūrcchāvasthāvad cittābhāvo	nanu asatyAQca kasyAQcid saMjQAyAm mUrcCA-avasTA-vat citta-aBAvaH-
   bhaviṣyatīti cet? tatra nāpi asaṃjñā vā babhūva ityāha | tasmin kāle	Bavizyati-iti cet? tatra na-api asaMjQA vA baBUva iti-Aha | tasmin kAle
   sarvadharmanairātmyāvabodhakaṃ yogijñānaṃ tathyasaṃvṛtisvabhāvabhipretam |	sarva-Darma-nErAtmya-avaboDakam yogi-jQAnam taTya-saMvRti-svaBA=-aBipretam |
   tacca kathamiti cittagataṃ praśnaṃ vikalpya svayaṃ tatkasya hetoḥ?	tat-ca kaTam-iti citta-gatam praSnam vikalpya svayam tat-kasya hetoH?
   ityuktvā sacet sūbhūte ityudatarat | vyāpādasaṃjñāpi asyāyamabhiprāyaḥ-	iti-uktvA saced sUBUte iti-udatarat | vyApAda-saMjQA-api asya-ayam-aBiprAyaH-
   yatra ātmasaṃjñā, tatra nūnaṃ tanmatreṇātmasneho jāyate |	yatra Atma-saMjQA, tatra nUnam tat-matreNa-Atma-snehaH jAyate |
   evamātmasnehasamprayoge 'vaśyaṃ sva-paravikalpau jāyete | tenaivaṃ ya	evam-Atma-sneha-samprayoge avaSyam sva-para-vikalpO jAyete | tena-evam ya
   ātmopakāritvenopādattāsteṣvātmīyatvaṃ parikalpyate, itareṣu ca paratvaṃ	Atma-upakAri-tvena-upAdattAH-tezu-AtmIya-tvam parikalpyate, itarezu ca para-tvam
   kalpyate | ata evātmānurūpā pravṛtiḥ | tatrātmani ātmīyeṣu ca pravṛttau	kalpyate | atas eva-Atma-anurUpA pravRtiH | tatra-Atmani AtmIyezu ca pravRttO
   anurāgaḥ, tadviparīteṣu ca dveṣaḥ | tābhyāṃ sambaddhaḥ samasto doṣarāśiḥ	anurAgaH, tad-viparItezu ca dvezaH | tAByAm sambadDaH samastaH doza-rASiH
   sambhavati | ata evoktam :	samBavati | atas eva-uktam :
   ātmani sati parasaṃjñā sva-paravibhāgāt parigrahadveṣau |	Atmani sati para-saMjQA sva-para-viBAgAt parigraha-dvezO |
   anayoḥ sampratibaddhāḥ sarve doṣāḥ prajāyante || iti ||	anayoH sampratibadDAH sarve dozAH prajAyante || iti ||
   yatra vyāpādādidoṣaustatra kathaṃ kṣāntivādīti prasetsyati, yena	yatra vyApAda-Adi-dozOH-tatra kaTam kzAntivAdI-iti prasetsyati, yena
   kṣāntibalena kaliṅgarājā eva sattvaḥ narakaṃ gamiṣyatītyabhipretam | anena	kzAnti-balena kaliFga-rAjAH eva sattvaH narakam gamizyati-iti-aBipretam | anena
   kṛtāpakāre 'pi (Vajraṭ_170) sati nirvikāratayā niyataṃ	kRta-apakAre api (Vajraj-_170) sati nirvikAra-tayA niyatam
   vyāpādādisambhavābhāvatayā ātmādisaṃjñāvyapagamahetutayā ca īdṛśyāḥ	vyApAda-Adi-samBava-aBAva-tayA Atma-Adi-saMjQA-vyapagama-hetu-tayA ca IdRSyAH
   kṣānterjñānamādarśitam |	kzAnteH-jQAnam-AdarSitam |
   anenaiva ca trividhāḥ kṣāntayo 'pi tāvannirdiśyante | atra kaliṅgarājā	anena-eva ca triviDAH kzAntayaH api tAvat-nirdiSyante | atra kaliFgarAjA
   ityanena apakāramarṣaṇakṣāntiḥ paridīpitā, aṅga-pratyaṅga ityanena	iti-anena apakAra-marzaNa-kzAntiH paridIpitA, aFga--pratyaFgaH iti-anena
   duḥkhādhivāsanakṣāntiḥ me tasmin samaye ityādinā ca dharmanidhyānakṣāntiḥ	duHKa-aDivAsana-kzAntiH me tasmin samaye ityAdinA ca Darma-niDyAna-kzAntiH
