   śivopaniṣad	Siva-upanizad-
   gaṇāḥ pravrajitāḥ śāntāḥ $ bhūtim ālabhya pañcadhā &	gaNAH pravrajitAH SAntAH $ BUtim AlaBya paQcaDA &
   śiro-lalāṭe hṛd-bāhvor % bhasma-snāna-phalaṃ labhet // 5.22 //	Siro-lalAwe hRd-bAhvoH % Basma--snAna--Palam laBet // 5.22 //
   saṃvatsaraṃ tad-ardhaṃ vā $ caturdaśy-aṣṭamīṣu ca &	saMvatsaram tad--arDam vA $ caturdaSI--azwamIzu ca &
   yaḥ kuryād bhasmanā snānaṃ % tasya puṇya-phalaṃ śṛnu // 5.23 //	yaH kuryAt BasmanA snAnam % tasya puNya-Palam SRnu // 5.23 //
   śiva-bhasmani yāvantaḥ $ sametāḥ paramā1ṇavaḥ &	Siva--Basmani yAvantaH $ sametAH parama-a1NavaH &
   tāvad-varṣa-sahasrāṇi % śiva-loke mahīyate // 5.24 //	tAvat--varza--sahasrANi % Siva-loke mahIyate // 5.24 //
   eka-viṃśa-kulo1petaḥ $ patnī-putrā1di-saṃyutaḥ &	eka-viMSa--kula-u1petaH $ patnI--putra-a1di--saMyutaH &
   mitra-svajana-bhṛtyaiś ca % samastaiḥ parivāritaḥ // 5.25 //	mitra--sva-jana--BRtyEH ca % samastEH parivAritaH // 5.25 //
   tatra bhuktvā mahā-bhogān $ icchayā sārva-kāmikān &	tatra BuktvA mahA-BogAn $ icCayA sArva--kAmikAn &
   jñāna-yogaṃ samāsādya % pralaye muktim āpnuyāt // 5.26 //	jQAna--yogam samAsAdya % pralaye muktim ApnuyAt // 5.26 //
   bhasma bhasmā1ntikaṃ yena $ gṛhītaṃ naiṣṭhika-vratam(?) &	Basma Basma-a1ntikam yena $ gRhItam nEzWika-vratam-(?) &
   anena vai sa dehena % rudraś caṅkramate kṣitau // 5.27 //	anena vE sa dehena % rudraH caFkramate kzitO // 5.27 //
   bhasma-snāna-rataṃ śāntaṃ $ ye namanti dine dine &	Basma--snAna---ratam SAntam $ ye namanti dine dine &
   te sarva-pāpa-nirmuktā % narā yānti śivaṃ puram // 5.28 //	te sarva-pApa--nirmuktAH % narAH yAnti Sivam puram // 5.28 //
   ity etat paramaṃ snānam $ āgneyaṃ śiva-nirmitam &	iti etat paramam snAnam $ Agneyam Siva--nirmitam &
   tri-saṃdhyam ācaren nityaṃ % jāpī yogam avāpnuyāt // 5.29 //	tri-saMDyam Acaret nityam % jApI yogam avApnuyAt // 5.29 //
   bhasmā8nīya pradadyād yaḥ $ snānā1rthaṃ śiva-yogine &	Basma-A8nIya pradadyAt yaH $ snAna-a1rTam Siva-yogine &
   kalpaṃ śiva-pure bhogān % bhuktvā9nte syād dvijottamaḥ // 5.30 //	kalpam Siva-pure BogAn % BuktvA-a9nte syAt dvijottamaH // 5.30 //
   āgneyaṃ vāruṇaṃ māntraṃ $ vāyavyaṃ tv aindra-pañcamam &	Agneyam vAruNam mAntram $ vAyavyam tu Endra-paQcamam &
   mānasaṃ śānti-toyaṃ ca % jñāna-snānaṃ tathā9ṣṭamam // 5.31 //	mAnasam SAnti-toyam ca % jQAna--snAnam taTA-a9zwamam // 5.31 //
   āgneyaṃ rudra-mantreṇa $ bhasma-snānam anuttamam &	Agneyam rudra-mantreNa $ Basma--snAnam anuttamam &
   ambhasā vāruṇaṃ snānam % kāryaṃ vāruṇa-mūrtinā // 5.32 //	amBasA vAruNam snAnam % kAryam vAruNa--mUrtinA // 5.32 //
   mūrdhānaṃ pāṇinā0labhya $ śivai1kādaśikāṃ japet &	mUrDAnam pANinA-a0laByaH $ SivE1kAdaSikAm japet &
   dhyāyamānaḥ śivaṃ śāntam % mantra-snānaṃ paraṃ smṛtam // 5.33 //	DyAyamAnaH Sivam SAntam % mantra--snAnam param smRtam // 5.33 //
   gavāṃ khura-puṭo1tkhāta- $ pavano1ddhūta-reṇunā &	gavAm Kura--puwa-u1tKAta $ pavanaH-1dDUta-reNunA &
   kāryaṃ vāyavyakaṃ snānam % mantreṇa marud-ātmanā // 5.34 //	kAryam vAyavyakam snAnam % mantreNa marud-a-AtmanA // 5.34 //
   vyabhre 'rke varṣati snānaṃ $ kuryād aindrīṃ diśaṃ sthitaḥ &	vyaBre arke varzati snAnam $ kuryAt EndrIm diSam sTitaH &
   ākāśa-mūrti-mantreṇa % tad aindram iti kīrtitam // 5.35 //	AkASa--mUrti-mantreNa % tat Endram iti kIrtitam // 5.35 //
   udakaṃ pāṇinā gṛhya $ sarva-tīrthāni saṃsmaret &	udakam pANinA gRhya $ sarva-tIrTAni saMsmaret &
   abhyukṣayec chiras tena % snānaṃ mānasam ucyate // 5.36 //	aByukzayet SiraH tena % snAnam mAnasam ucyate // 5.36 //
   pṛthivyāṃ yāni tīrthāni $ sarāṃsy āyatanāni ca &	pRTivyAm yAni tIrTAni $ sarAMsi AyatanAni ca &
   teṣu snātasya yat puṇyaṃ % tat puṇyaṃ kṣānti-vāriṇā // 5.37 //	tezu snAtasya yat puNyam % tat puNyam kzAnti-vAriNA // 5.37 //
   na tathā śudhyate tīrthais $ tapobhir vā mahā2dhvaraiḥ &	na taTA SuDyate tIrTEH $ tapoBiH vA mahA2DvarEH &
   puruṣaḥ sarva-dānaiś ca % yathā kṣāntyā viśuddhyati // 5.38 //	puruzaH sarva-dAnEH ca % yaTA kzAntyA viSudDi-ati // 5.38 //
   ākruṣṭas tāḍitas tasmād $ adhikṣiptas tiras-kṛta &	AkruzwaH tAxitaH tasmAt $ aDikziptaH tiras-kRta &
   kṣamed akṣama-mānānāṃ % svarga-mokṣa-jigīṣayā // 5.39 //	kzamet akzama-mAnAnAm % svarga-mokza-jigIzayA // 5.39 //
   yai9va brahma-vidāṃ prāptir $ yai9va prāptis tapasvinām &	yE9va brahma--vidAm prAptiH $ yE9va prAptiH tapasvinAm &
   yai9va yogā1bhiyuktānāṃ % gatiḥ sai9va kṣamāvatām // 5.40 //	yA-e9va yogA1BiyuktAnAm % gatiH sE9va kzamAvatAm // 5.40 //
   jñānā1malā1mbhasā snātaḥ $ sarvadai9va muniḥ śuciḥ &	jQAna-a1mala-a1mBasA snAtaH $ sarva-dE9va muniH SuciH &
   nirmalaḥ suviśuddhaś ca % vijñeyaḥ sūrya-raśmivat // 5.41 //	nirmalaH su-viSudDaH ca % vijQeyaH sUrya-raSmi-vat // 5.41 //
   medhyā1medhya-rasaṃ yadvad $ api vatsa vinā karaiḥ &	meDyA1-meDya--rasam yadvat $ api vatsa vinA karEH &
   nai7va lipyati tad doṣais % tadvaj jñānī sunirmalaḥ // 5.42 //	na-e7va lipyati tat dozEH % tadvat jQAnI su-nirmalaH // 5.42 //
   eṣām ekatame snātaḥ $ śuddha-bhāvaḥ śivaṃ vrajet &	ezAm ekatame snAtaH $ SudDa-BAvaH Sivam vrajet &
   aśuddha-bhāvaḥ snāto 'pi % pūjayann āpnuyāt phalam // 5.43 //	aSudDa-BAvaH snAtaH api % pUjayan ApnuyAt Palam // 5.43 //
   jalaṃ mantraṃ dayā dānaṃ $ satyam indriya-saṃyamaḥ &	jalam mantram dayA dAnam $ satyam indriya--saMyamaH &
   jñānaṃ bhāvā3tma-śuddhiś ca % śaucam aṣṭa-vidhaṃ śrutam // 5.44 //	jQAnam BAvA3tma--SudDiH ca % SOcam azwa-viDam Srutam // 5.44 //
   aṅguṣṭha-tala-mūle ca $ brāhmaṃ tīrtham avasthitam &	aFguzWa--tala-mUle ca $ brAhmam tIrTam avasTitam &
   tenā8camya bhavec chuddhaḥ % śiva-mantreṇa bhāvitaḥ // 5.45 //	tena-a8camya Bavet SudDaH % Siva-mantreNa BAvitaH // 5.45 //
   yad adhaḥ kanyakāyāś ca $ tat tīrthaṃ daivam ucyate &	yat aDas kanyakAyAH ca $ tat tIrTam dEvam ucyate &
   tīrthaṃ pradeśinī-mūle % pitryaṃ pitṛ-vidhodayam(?) // 5.46 //	tIrTam pradeSinI--mUle % pitryam pitR-viDa-udayam(?) // 5.46 //
   madhyamā1ṅguli-madhyena $ tīrtham āriṣam ucyate &	maDyamA-a1Fguli--maDyena $ tIrTam Arizam ucyate &
   kara-puṣkara-madhye tu % śiva-tīrthaṃ pratiṣṭhitam // 5.47 //	kara--puzkara--maDye tu % Siva-tIrTam pratizWitam // 5.47 //
   vāma-pāṇi-tale tīrtham $ aumam nāma prakīrtitam &	vAma--pANi--tale tIrTam $ Omam nAma prakIrtitam &
   śivo1mā-tīrtha-saṃyogāt % kuryāt snānā1bhiṣecanam // 5.48 //	SivaH-1mA-tIrTa--saMyogAt % kuryAt snAna-a1Bizecanam // 5.48 //
   devān daivena tīrthena $ tarpayed akṛtā1mbhasā &	devAn dEvena tIrTena $ tarpayet akRta-a1mBasA &
   uddhṛtya dakṣiṇaṃ pāṇim % upavītī sadā budhaḥ // 5.49 //	udDRtya dakziNam pANim % upavItI sadA buDaH // 5.49 //
   prācīnā3vītinā kāryaṃ $ pitṝṇāṃ tila-vāriṇā &	prAcInA3vItinA kAryam $ pitLNAm tila--vAriNA &
   tarpaṇaṃ sarva-bhūtānām % āriṣeṇa nivītinā // 5.50 //	tarpaNam sarva-BUtAnAm % ArizeNa nivItinA // 5.50 //
   savya-skandhe yadā sūtram $ upavīty ucyate tadā &	savya--skanDe yadA sUtram $ upavItI ucyate tadA &
   prācīnā3vīty asavyena % nivītī kaṇṭha-saṃsthite // 5.51 //	prAcInA3vIti asavyena % nivItI kaNWa--saMsTite // 5.51 //
   pitṝṇāṃ tarpaṇaṃ kṛtvā $ sūryāyā8rghyaṃ prakalpayet &	pitLNAm tarpaNam kRtvA $ sUryAya-a8rGyam prakalpayet &
   upasthāya tataḥ sūryaṃ % yajec chivam anantaram // 5.52 //	upasTAya tatas sUryam % yajet Sivam anantaram // 5.52 //
   // iti śivopaniṣadi śiva-bhasma-snānādhyāyaḥ pañcamaḥ //	// iti Siva-upanizadi Siva--Basma--snAna-aDyAyaH paQcamaH //
   atha bhaktyā śivaṃ pūjya $ naivedyam upakalpayet &	aTa BaktyA Sivam pUjya $ nEvedyam upakalpayet &
   yad annam ātmanā9śnīyāt % tasyā8gre vinivedayet // 6.1 //	yat annam AtmanA9SnIyAt % tasya-a8gre vinivedayet // 6.1 //
   yaḥ kṛtvā bhakṣya-bhojyāni $ yatnena vinivedayet &	yaH kRtvA Bakzya--BojyAni $ yatnena vinivedayet &
   śivāya sa śive loke % kalpa-koṭiṃ pramodate // 6.2 //	SivAya sa Sive loke % kalpa--kowim pramodate // 6.2 //
   yaḥ pakvaṃ śrīphalaṃ dadyāc $ chivāya vinivedayet &	yaH pakvam SrIPalam dadyAt $ SivAya vinivedayet &
   guror vā homayed vā9pi % tasya puṇya-phalaṃ śṛṇu // 6.3 //	guroH vA homayet vA-a9pi % tasya puNya-Palam SRNu // 6.3 //
   śrīmadbhiḥ sa mahā-yānair $ bhogān bhuṅkte śive pure &	SrImadBiH sa mahA-yAnEH $ BogAn BuFkte Sive pure &
   varṣāṇām ayutaṃ sā3graṃ % tad-ante śrī-patir bhavet // 6.4 //	varzANAm ayutam sa-a3gram % tad--ante SrI-patiH Bavet // 6.4 //
   kapittham ekaṃ yaḥ pakvam $ īśvarāya nivedayet &	kapitTam ekam yaH pakvam $ ISvarAya nivedayet &
   varṣa-lakṣaṃ mahā-bhogaiḥ % śiva-loke mahīyate // 6.5 //	varza-lakzam mahA-BogEH % Siva-loke mahIyate // 6.5 //
   ekam āmra-phalaṃ pakvaṃ $ yaḥ śambhor vinivedayet &	ekam Amra--Palam pakvam $ yaH SamBoH vinivedayet &
   varṣāṇām yutaṃ bhogaiḥ % krīḍate sa śive pure // 6.6 //	varzANAm yutam BogEH % krIxate sa Sive pure // 6.6 //
   ekaṃ vaṭa-phalaṃ pakvaṃ $ yaḥ śivāya nivedayet &	ekam vawa--Palam pakvam $ yaH SivAya nivedayet &
   varṣa-lakṣaṃ mahā-bhogaiḥ % śiva-loke mahīyate // 6.7 //	varza-lakzam mahA-BogEH % Siva-loke mahIyate // 6.7 //
   yaḥ pakvaṃ dāḍimaṃ cai7kaṃ $ dadyād vikasitaṃ navam &	yaH pakvam dAximam cE7kam $ dadyAt vikasitam navam &
   śivāya gurave vā9pi % tasya puṇya-phalaṃ śṛṇu // 6.8 //	SivAya gurave vA9pi % tasya puNya-Palam SRNu // 6.8 //
   yāvat tad-bīja-saṃkhyānaṃ $ śobhanaṃ parikīrtitam &	yAvat tad-bIja--saMKyAnam $ SoBanam parikIrtitam &
   tāvad-aṣṭā1yutāny uccaiḥ % śiva-loke mahīyate // 6.9 //	tAvat--azwa-a1yutAni uccEs % Siva-loke mahIyate // 6.9 //
   drākṣā-phalāni pakvāni $ yaḥ śivāya nivedayet &	drAkzA--PalAni pakvAni $ yaH SivAya nivedayet &
   bhaktyā vā śiva-yogibhyas % tasya puṇya-phalaṃ śṛṇu // 6.10 //	BaktyA vA Siva-yogiByaH % tasya puNya-Palam SRNu // 6.10 //
   yāvat tat-phala-saṃkhyānam $ ubhayor viniveditam &	yAvat tat-Pala--saMKyAnam $ uBayoH viniveditam &
   tāvad-yuga-sahasrāṇi % rudra-loke mahīyate // 6.11 //	tAvat--yuga--sahasrANi % rudra--loke mahIyate // 6.11 //
   drākṣā-phaleṣu yat puṇyaṃ $ tat kharjūra-phaleṣu ca &	drAkzA--Palezu yat puNyam $ tat KarjUra--Palezu ca &
   tad eva rāja-vṛkṣeṣu % pārāvata-phaleṣu ca // 6.12 //	tat eva rAja--vRkzezu % pArAvata-Palezu ca // 6.12 //
   yo nāraṅga-phalaṃ pakvaṃ $ vinivedya maheśvare &	yaH nAraFga--Palam pakvam $ vinivedya maheSvare &
   aṣṭa-lakṣaṃ mahā-bhogaiḥ % kṛḍate sa śive pure // 6.13 //	azwa-lakzam mahA-BogEH % kRxate sa Sive pure // 6.13 //
   bījapūreṣu tasyā7rdhaṃ $ tad-ardhaṃ likuceṣu ca &	bIjapUrezu tasya-a7rDam $ tad--arDam likucezu ca &
   jambū-phaleṣu yat puṇyaṃ % tat puṇyaṃ tindukeṣu ca // 6.14 //	jambU--Palezu yat puNyam % tat puNyam tindukezu ca // 6.14 //
   panasaṃ nārikelaṃ vā $ śivāya vinivedayet &	panasam nArikelam vA $ SivAya vinivedayet &
   varṣa-lakṣaṃ mahā-bhogaiḥ % śiva-loke mahīyate // 6.15 //	varza-lakzam mahA-BogEH % Siva-loke mahIyate // 6.15 //
   puruṣaṃ ca priyālaṃ ca $ madhūka-kusumāni ca &	puruzam ca priyAlam ca $ maDUka--kusumAni ca &
   jambū-phalāni pakvāni % vaikaṅkata-phalāni ca // 6.16 //	jambU--PalAni pakvAni % vEkaFkata-PalAni ca // 6.16 //
   nivedya bhaktyā śarvāya $ pratyekaṃ tu phale phale &	nivedya BaktyA SarvAya $ pratyekam tu Pale Pale &
   daśa-varṣa-sahasrāṇi % rudra-loke mahīyate // 6.17 //	daSa--varza--sahasrANi % rudra--loke mahIyate // 6.17 //
   kṣīrikāyāḥ phalaṃ pakvaṃ $ yaḥ śivāya nivedayet &	kzIrikAyAH Palam pakvam $ yaH SivAya nivedayet &
   varṣa-lakṣaṃ mahā-bhogair % modate sa śive pure // 6.18 //	varza-lakzam mahA-BogEH % modate sa Sive pure // 6.18 //
   vālukā-trapusā3dīni $ yaḥ phalāni nivedayet &	vAlukA-trapu-sA3dIni $ yaH PalAni nivedayet &
   śivāya gurave vā8pi % pakvaṃ ca karamardakam // 6.19 //	SivAya gurave vA8pi % pakvam ca karamardakam // 6.19 //
   daśa-varṣa-sahasrāṇi $ rudra-loke mahīyate &	daSa--varza--sahasrANi $ rudra--loke mahIyate &
   badarāṇi supakvāni % tintiḍīka-phalāni ca // 6.20 //	badarANi su-pakvAni % tintixIka-PalAni ca // 6.20 //
   darśanīyāni pakvāni hy $ āmalakyāḥ phalāni ca &	darSanIyAni pakvAni hi $ AmalakyAH PalAni ca &
   evam ādīni cā7nyāni % śāka-mūla-phalāni ca // 6.21 //	evam AdIni ca-a7nyAni % SAka--mUla--PalAni ca // 6.21 //
   nivedayati śarvāya $ śṛṇu yat phalam āpnuyāt &	nivedayati SarvAya $ SRNu yat Palam ApnuyAt &
   ekai7kasmin phale bhogān % prāpnuyād anupūrvaśaḥ // 6.22 //	ekE7kasmin Pale BogAn % prApnuyAt anupUrvaSas // 6.22 //
   pañca-varṣa-sahasrāṇi $ rudra-loke mahīyate &	paQca--varza--sahasrANi $ rudra--loke mahIyate &
   godhūma-candakā3dyāni % sukṛtaṃ saktu-bharjitam // 6.23 //	goDUma--candaka-a3dyAni % sukRtam saktu-Barjitam // 6.23 //
   nivedayīta śarvāya $ tasya puṇya-phalaṃ śṛṇu &	nivedayIta SarvAya $ tasya puNya-Palam SRNu &
   yāvat tad-bīja-saṃkhyānaṃ % śubhaṃ bhraṣṭaṃ nivedayet // 6.24 //	yAvat tad-bIja--saMKyAnam % SuBam Brazwam nivedayet // 6.24 //
   tāvad-varṣa-sahasrāṇi $ rudra-loke mahīyate &	tAvat--varza--sahasrANi $ rudra--loke mahIyate &
   yaḥ pakvānī7kṣu-daṇḍāni % śivāya vinivedayet // 6.25 //	yaH pakvAnI7kzu--daNxAni % SivAya vinivedayet // 6.25 //
   gurave vā9pi tad bhaktyā $ tasya puṇya-phalaṃ śṛṇu &	gurave vA9pi tat BaktyA $ tasya puNya-Palam SRNu &
   ikṣu-parṇāni cai7kai1kaṃ % varṣa-lokaṃ pramodate // 6.26 //	ikzu--parNAni cE7kE1kam % varza--lokam pramodate // 6.26 //
   sākaṃ śiva-pure bhogaiḥ $ pauṇḍraṃ pañca-guṇaṃ phalam &	sAkam Siva-pure BogEH $ pONxram paQca-guNam Palam &
   nivedya parame3śāya % śukti-mātra-rasasya tu // 6.27 //	nivedya parame3SAya % Sukti--mAtra--rasasya tu // 6.27 //
   varṣa-koṭiṃ mahā-bhogaiḥ $ śiva-loke mahīyate &	varza--kowim mahA-BogEH $ Siva-loke mahIyate &
   nivedya phāṇitaṃ śuddhaṃ % śivāya gurave 'pi vā // 6.28 //	nivedya PANitam SudDam % SivAya gurave api vA // 6.28 //
   rasāt sahasra-guṇitaṃ $ phalaṃ prāpnoti mānavaḥ &	rasAt sahasra--guNitam $ Palam prApnoti mAnavaH &
   guḍasya phalam ekaṃ yaḥ % śivāya vinivedayet // 6.29 //	guxasya Palam ekam yaH % SivAya vinivedayet // 6.29 //
   amba-koṭiṃ śive loke $ mahā-bhogaiḥ pramodate &	amba--kowim Sive loke $ mahA-BogEH pramodate &
   khaṇḍasya pala-naivedyaṃ % guḍāc chata-guṇaṃ phalam // 6.30 //	KaNxasya pala--nEvedyam % guxAt Sata-guNam Palam // 6.30 //
   khaṇḍāt sahasra-guṇitaṃ $ śarkarāyā nivedane &	KaNxAt sahasra--guNitam $ SarkarAyAH nivedane &
   matsaṇḍikāṃ mahā-śuddhāṃ % śaṃkarāya nivedayet // 6.31 //	mad-saNxikAm mahA--SudDAm % SaMkarAya nivedayet // 6.31 //
   kalpa-koṭiṃ naraḥ sāgraṃ $ śiva-loke mahīyate &	kalpa--kowim naraH sAgram $ Siva-loke mahIyate &
   pariśuddhaṃ bhṛṣṭam ājyaṃ % siddhaṃ cai7va susaṃskṛtam // 6.32 //	pariSudDam BRzwam Ajyam % sidDam ca-e7va susaMskRtam // 6.32 //
   māsaṃ nivedya śarvāya $ śṛṇu yat phalam āpnuyāt &	mAsam nivedya SarvAya $ SRNu yat Palam ApnuyAt &
   aśeṣa-phala-dānena % yat puṇyaṃ parikīrtitam // 6.33 //	aSeza--Pala-dAnena % yat puNyam parikIrtitam // 6.33 //
   tat puṇyaṃ prāpnuyāt sarvaṃ $ mahā-dāna-nivedane &	tat puNyam prApnuyAt sarvam $ mahA-dAna--nivedane &
   panasāni ca divyāni % svādūni surabhīṇi ca // 6.34 //	panasAni ca divyAni % svAdUni suraBINi ca // 6.34 //
   nivedayet tu śarvāya $ tasya puṇya-phalaṃ śṛṇu &	nivedayet tu SarvAya $ tasya puNya-Palam SRNu &
   kalpa-koṭiṃ naraḥ sāgraṃ % śiva-loke vyavasthitaḥ // 6.35 //	kalpa--kowim naraH sAgram % Siva-loke vyavasTitaH // 6.35 //
   piban śivā7mṛtaṃ divyaṃ $ mahā-bhogaiḥ pramodate &	piban SivA7-mRtam divyam $ mahA-BogEH pramodate &
   dine dine ca yas tv āpaṃ % vastra-pūtaṃ samācaret // 6.36 //	dine dine ca yaH tu Apam % vastra--pUtam samAcaret // 6.36 //
   sukhāya śiva-bhaktebhyas $ tasya puṇya-phalaṃ śṛṇu &	suKAya Siva-BakteByaH $ tasya puNya-Palam SRNu &
   mahā-sarāṃsi yaḥ kuryād % bhavet puṇyaṃ śivā1grataḥ // 6.37 //	mahA--sarAMsi yaH kuryAt % Bavet puNyam SivA1gratas // 6.37 //
   tat puṇyaṃ sakalaṃ prāpya $ śiva-loke mahīyate &	tat puNyam sakalam prApya $ Siva-loke mahIyate &
   yad iṣṭam ātmanaḥ kiṃcid % anna-pāna-phalā3dikam // 6.38 //	yat izwam AtmanaH kiMcid % anna--pAna--PalA3dikam // 6.38 //
   tat tac chivāya deyaṃ syād $ uttamaṃ bhogam icchatā &	tat tat SivAya deyam syAt $ uttamam Bogam icCatA &
   na śivaḥ paripūrṇatvāt % kiṃcid aśnāti kasyacit // 6.39 //	na SivaH paripUrNa-tvAt % kiMcid aSnAti kasyacid // 6.39 //
   kintv īśvara-nibhaṃ kṛtvā $ sarvam ātmani dīyate &	kintu ISvara--niBam kRtvA $ sarvam Atmani dIyate &
   na rohati yathā bījaṃ % svastham āśraya-varjitam // 6.40 //	na rohati yaTA bIjam % svasTam ASraya--varjitam // 6.40 //
   puṇya-bījaṃ tathā sūkṣmaṃ $ niṣphalaṃ syān nirāśrayam &	puNya-bIjam taTA sUkzmam $ nizPalam syAt nirASrayam &
   sukṣetreṣu yathā bījam % uptaṃ bhavati sat-phalam // 6.41 //	su-kzetrezu yaTA bIjam % uptam Bavati sat-Palam // 6.41 //
   alpam apy akṣayaṃ tadvat $ puṇyaṃ śiva-samāśrayāt &	alpam api akzayam tadvat $ puNyam Siva--samASrayAt &
   tasmād īśvaram uddiśya % yad yad ātmani rocate // 6.42 //	tasmAt ISvaram uddiSya % yat yat Atmani rocate // 6.42 //
   tat tad īśvara-bhaktebhyaḥ $ pradātavyaṃ phalā1rthinā &	tat tat ISvara--BakteByaH $ pradAtavyam Pala-a1rTinA &
   yaḥ śivāya guror vā8pi % racayen maṇi-bhūmikam // 6.43 //	yaH SivAya guroH vA-a8pi % racayet maNi-BUmikam // 6.43 //
   naivedya bhojanā1rthaṃ yaḥ $ pattraiḥ puṣpaiś ca śobhanam &	nEvedya Bojana-A1rTam yaH $ pattrEH puzpEH ca SoBanam &
   yāvat tat pattra-puṣpāṇāṃ % parisaṃkhyā vidhīyate // 6.44 //	yAvat tat pattra-puzpANAm % parisaMKyA viDIyate // 6.44 //
   tāvad-varṣa-sahasrāṇi $ sura-loke mahīyate &	tAvat--varza--sahasrANi $ sura--loke mahIyate &
   palāśa-kadalī-padma- % pattrāṇi ca viśeṣataḥ // 6.45 //	palASa--kadalI--padma % pattrANi ca viSezataH // 6.45 //
   dattvā śivāya gurave $ śṛṇu yat phalam āpnuyāt &	dattvA SivAya gurave $ SRNu yat Palam ApnuyAt &
   yāvat tat-pattra-saṃkhyānam % īśvarāya niveditam // 6.46 //	yAvat tat-pattra--saMKyAnam % ISvarAya niveditam // 6.46 //
   tāvad-abdā1yutānāṃ sa $ loke bhogān avāpnuyāt &	tAvat--abdA1yutAnAm sa $ loke BogAn avApnuyAt &
   yāvat tāmbula-pattrāṇi % pūgāṃś ca vinivedayet // 6.47 //	yAvat tAmbula--pattrANi % pUgAn ca vinivedayet // 6.47 //
   tāvanti varṣa-lakṣāṇi $ śiva-loke mahīyate &	tAvanti varza-lakzANi $ Siva-loke mahIyate &
   yac chuddhaṃ śaṅkha-cūrṇaṃ vā % gurave vinivedayet // 6.48 //	yat SudDam SaFKa--cUrNam vA % gurave vinivedayet // 6.48 //
   tāmbūla-yoga-siddhy-arthaṃ $ tasya puṇya-phalaṃ śṛṇu &	tAmbUla--yoga--sidDi--arTam $ tasya puNya-Palam SRNu &
   yāvat tāmbūla-pattrāṇi % cūrṇamānena bhakṣayet // 6.49 //	yAvat tAmbUla-pattrANi % cUrNamAnena Bakzayet // 6.49 //
   tāvad-varṣa-sahasrāṇi $ rudra-loke mahīyate &	tAvat--varza--sahasrANi $ rudra--loke mahIyate &
   jātī-phalaṃ sa-kaṅkolaṃ % latā-kastūriko2tpalam // 6.50 //	jAtI--Palam sa--kaFkolam % latA-kastUri-ko2tpalam // 6.50 //
   ity etāni sugandhīni $ phalāni vinivedayet &	iti etAni suganDIni $ PalAni vinivedayet &
   phale phale mahā-bhogair % varṣa-lakṣaṃ tu yatnataḥ // 6.51 //	Pale Pale mahA--BogEH % varza-lakzam tu yatnatas // 6.51 //
   kāmikena vimānena $ krīḍate sa śive pure &	kAmikena vimAnena $ krIxate sa Sive pure &
   truṭi-mātra-pramāṇena % karpūrasya śive gurau // 6.52 //	truwi--mAtra--pramANena % karpUrasya Sive gurO // 6.52 //
   varṣa-koṭiṃ mahā-bhogaiḥ $ śiva-loke mahīyate &	varza--kowim mahA-BogEH $ Siva-loke mahIyate &
   pūga-tāmbūla-pattrāṇām % ādhāraṃ yo nivedayet // 6.53 //	pUga-tAmbUla-pattrANAm % ADAram yaH nivedayet // 6.53 //
   varṣa-koṭy-aṣṭakaṃ bhogaiḥ $ śiva-loke mahīyate &	varza--kowI--azwakam BogEH $ Siva-loke mahIyate &
   yaś cūeṇā3dhāra-sat-pātraṃ % kasyā7pi vinivedayet // 6.54 //	yaH cUeNa-a3DAra--sat--pAtram % kasya-a7pi vinivedayet // 6.54 //
   modate sa śive loke $ varṣa-koṭīś caturdaśa &	modate sa Sive loke $ varza-kowIH caturdaSa &
   mṛt-kāṣṭha-vaṃśa-khaṇḍāni % yaḥ pradadyāc chivā3śrame // 6.55 //	mRt-kAzWa--vaMSa--KaNxAni % yaH pradadyAt SivA3Srame // 6.55 //
   prāpnuyād vipulān bhogān $ divyāñ chiva-pure naraḥ &	prApnuyAt vipulAn BogAn $ divyAn Civa-pure naraH &
   māṇikyaṃ kalaśaṃ pātrīṃ % sthālyā3dīn bhāṇḍa-saṃpuṭān // 6.56 //	mANikyam kalaSam pAtrIm % sTAlyA3dIn BANxa--saMpuwAn // 6.56 //
   dattvā śivā1grajas tebhyaḥ $ śiva-loke mahīyate &	dattvA SivA1grajaH teByaH $ Siva-loke mahIyate &
   toyā3dhāra-pidhānāni % mṛd-vastra-tarujāni vā // 6.57 //	toyA3-DAra--piDAnAni % mRd-vastra-tarujAni vA // 6.57 //
   vaṃśā3lābu-samutthāni $ dattvā0pnoti śivaṃ puram &	vaMSa-a3lAbu--samutTAni $ dattvA-a0pnoti Sivam puram &
   pañca-saṃmārjanī-toyaṃ % gomayā1ñjana-karpaṭān // 6.58 //	paQca--saMmArja-nI--toyam % gomaya-a1Qjana--karpawAn // 6.58 //
   mṛt-kumbha-pīṭikāṃ dadyād $ bhogāñ chiva-pure labhet &	mRt--kumBa--pIwikAm dadyAt $ BogAn Civa-pure laBet &
   yaḥ puṣpa-dhūpa-gandhānāṃ % dadhi-kṣīra-ghṛtā1mbhasām // 6.59 //	yaH puzpa-DUpa-ganDAnAm % daDi-kzIra--GRta-a1mBasAm // 6.59 //
   dadyād ādhāra-pātrāṇi $ śiva-loke sa gacchati &	dadyAt ADAra--pAtrANi $ Siva-loke sa gacCati &
   vaṃśa-tālā3di-saṃbhūtaṃ % puṣpā3dhāra-karaṇḍakam // 6.60 //	vaMSa-tAlA3di-saMBUtam % puzpA3DAra--karaNxakam // 6.60 //
