   śrīrāmajayam	SrI-rAma-jayam
   tadanuvṛttirvyattheti vācyam, tasya śnamakajādau vyabhitārāditi cet, na;	tad-anuvRttiH-vyatTa-iti vAcyam, tasya Snamaka-ja-AdO vyaBitArAt-iti cet, na;
   śnami mitvena, bahuci purastādgrahaṇena, akaci prāk ṭegrahaṇena tasya	Snami mitvena, bahuci purastAt-grahaNena, akaci prAk wegrahaNena tasya
   bādhe 'pyatrotsargasya	bADe api-atra-utsargasya
   tyāge mānābhāvāt/	tyAge mAna-aBAvAt/
   ata eva"tasminnaṇi ca"ityanena yuṣmākādyādeśavidhānaṃ caritārtham,	atas eva"-tasmin=-aNi ca"iti-anena yuzmAkA-AdyAdeSa-viDAnam caritArTam,
   anyathā'kaṅādeśameva	anyaTA-akaFAdeSam-eva
   vidadyāt/ ākaṅi	vidadyAt/ AkaFi
   tavakādyādeśayoretadapavādayoruktanyāyenāntyādeśatvāpattiḥ,	tavaka-Adi-AdeSayoH-etad-apavAdayoH-ukta-nyAyena-antya-AdeSa-tva-ApattiH,
   atastadvidhānam, idamevaca tajjñapakam/	atas-tad-viDAnam, idam-eva-ca tad-jQapakam/
   yadyapi virodhe bādhakatvamiti vārtikamate 'yaṃ nyāyaḥ, bhāṣyakārastu	yadi-api viroDe bADaka-tvam-iti vArtika-mate ayam nyAyaH, BAzya-kAraH-tu
   vināpi virodhaṃ satyapi sambhave bādhakatvamicchati,	vinA-api viroDam sati-api samBave bADaka-tvam-icCati,
   ityanabhihitasūtrasthakaiyaṭarītyā nāyaṃ niyamaḥ, tathāpi	iti-anaBihita-sUtra-sTa-kEyawarI-ityA na-ayam niyamaH, taTA-api
   yuṣmakādyā'deśavidhānajñāpita utsargaḥ svīkriyata eveti prakṛte na doṣaḥ/	yuzmakA-AdyA-adeSa-viDAna-jQApitaH utsargaH svIkriyate eva-iti prakRte na dozaH/
   etad bhāṣyamapi tatsvīkāre mānam/	etat BAzyam-api tad-svIkAre mAnam/
   evañca maparyantānuvṛttiḥ 'tvatkṛtam' ityādau	evaQca maparyanta-anuvRttiH atvat-kRtam-a ityAdO
   maparyantasyā'deśavidhānārthā/ tatra ca antaraṅgatvāt tvamāvityeva siddhe	maparyantasyA-adeSa-viDAna-arTA/ tatra ca antaraFga-tvAt tvam-O=-ityeva sidDe
   vyarthā saṃtajjñapikā/ jñāpite tvasminnetadviṣaye tavādīnāmaprāptyā	vyarTA saMtajjQapikA/ jQApite tu-asmin=-etat-vizaye tava-AdInAm-aprAptyA
   tadapavādatvābhāvena maparyantasyavā'deśārthaṃ sā caritārtheti tadāśayaḥ/	tad-apavAda-tva-aBAvena maparyantasyavA-adeSa-arTam sA caritArTa-iti tad-ASayaH/
   yattu haradattenāntaraṅgapravṛttau pratyaya uttarapade ca	yat-tu haradattena-antaraFga-pravRttO pratyayaH uttara-pade ca
   maparyantāsambhavena tadanuvṛttirvyarthā satī jñapiketyuktam, tat, na;	maparyanta-asamBavena tad-anuvRttiH-vyarTA satI jQapikA-iti-uktam, tat, na;
   antaraṅgāṇāmapyapavādabādhyatvena tadviṣaye tadapravṛtteḥ/	antaraFgANAm-api-apavAda-bADya-tvena tad-vizaye tad-apravRtteH/
   vastuta idaṃ jñāpakaṃ vārtikarītyaiva, bhāṣyarītyā tu vācanika evāyamartha	vastutas idam jQApakam vA-Arti-karItyA-eva, BAzya-rItyA tu vAcanikaH eva-ayam-arTa
   ityāhuḥ/	iti-AhuH/
   iyam"supo dhātu"iti lugviṣayaiveti kecit/"eṅhrasvātsambuddheḥ" "na	iyam-"supaH DAtu"-iti lugvizayA-eva-iti kecit/"eFhrasvAt-sambudDeH" "na
   yāsayoḥ"iti sūtrasthākaraprāmāṇyena lugmātra viṣayā/ ādye 'he trapu'	yAsayoH"iti sUtra-sTAkara-prAmANyena lugma-atra vizayA/ Adye ahe trapu-a
   ityādāvanena nyāyena lopaṃ bādhitvā lug bhavatīti bhāṣye	iti-AdA=-anena nyAyena lopam bADitvA luj Bavati-iti BAzye
   uktam/ antye 'ntaraṅgāṃśca vidhīn sarvo 'pi lugbādhate, na tu sublugeva/	uktam/ antye antaraFgAn=-ca viDIn sarvaH api lugba-ADate, na tu sublugA-iva/
   ata eva"sanīsraṃsaḥ"ityādau nalopo na bhavati/ 'pañcabhiḥ khaṭvābhiḥ	atas eva"sanIsraMsaH"iti-AdO na-lopaH na Bavati/ apaQcaBiH KawvABiH
   krītaḥ, pañcakhaṭvaḥ' ityādāvekādeśāt prāgeva ṭāpo luk/ anyathā	krItaH, paQca-KawvaH-a iti-AdO=-eka-AdeSAt prAk-eva wApaH luk/ anyaTA
   kṛtaikādeśasya lukyakāraśravaṇaṃ na syāditi kaiyaṭe uktam/	kRta-ekA-deSasya lukya-kAra-SravaNam na syAt-iti kEyawe uktam/
   etadvirodhād yat"tadrājasya"iti sūtre kaiyaṭenoktam ' aṅgānatikrānto	etat-viroDAt yat"-tad-rAjasya"-iti sUtre kEyawena-uktam a aFgAn-atikrAntaH-
   'tyaṅgaḥ' ityatra	atyaFgaHa iti-atra
   supoluki bahuvacana paratvābhāvāt "tadrājasya"iti lug na syāditi	su-poluki bahuvacana paratva-aBAvAt "tad-rAjasya"-iti luj na syAt-iti
   śaṅkāparabhāṣyavyākhyāvasare antaraṅgānapīti nyāyenāyaṃ luk subluko	SaFkA-para-BAzya-vyAKyA-avasare antaraFgAn-api-iti nyAyena-ayam luc sublukaH-
   bādhakaḥ syādityāśaṅkya subluka evānena balavatvaṃ bodhyata iti	bADakaH syAt-iti-ASaFkya sublukaH eva-anena balava-tvam boDyate iti
   tatprauḍhyeti draṣṭavyam/ lugapekṣayā luko balavatvasya	tat-prOXyA-iti drazwavyam/ lugapa-IkzayA lukaH balavatu-asya
   vaktumaśakyatvāditi tadā śaṅkā samādhānaṃ vaktuṃ yuktam/	vaktum-aSakya-tvAt-iti tadA SaFkA samADAnam vaktum yuktam/
   anena nyāyenāntaraṅganimittavināśakalukastatprayojakasamāsādīnāṃ ca	anena nyAyena-antaraFga-nimitta-vinASa-kalukaH-tad-prayojaka-samAsa-AdInAm ca
   prābalyaṃ bodhyata ityanyatra vistaraḥ//	prAbalyam boDyate iti-anyatra vistaraH//
   nanvevam saumendre 'ntaraṅgatvādādguṇe	nanu-evam sOmendre antaraFga-tvAdAt-guNe
   pūrvapadātparendraśabdābhāvena"nendrasyapaparasya"iti vṛddhiniṣedho	pUrva-padAt-para-indra-Sabda-aBAvena"na-indrasya-pa-parasya"iti vRdDi-nizeDaH-
   vyarthaḥ/ antādivadbhāvastūbhayata āśrayaṇe niṣiddhaḥ/	vyarTaH/ anta-Adi-vat-BAvaH-tu-uBayatas ASrayaNe nizidDaH/
   kiñca vṛddhirapyatra na prāpnoti, antādivatvobhayābhāve 'pi	kiQca vRdDiH-api-atra na prApnoti, anta-Adivatva-uBaya-aBAve api
   pūrvāntavatvenaikādeśaviśiṣṭe pūrvapadatvenendraśabdasya 'ekadeśavikṛta'	pUrva-antava-tvena-eka-AdeSa-viSizwe pUrva-padatvena-indra-Sabdasya aeka-deSa-vikRta-a
   nyāyena 'ubhayata āśrayaṇe nāntādivat' ityasyābhāvena tadāśrayaṇena	nyAyena auBayatas ASrayaNe na-anta-Adiva-t-a iti-asya-aBAvena tad-ASrayaNena
   vottarapadatve 'pi tasyānackatvādekasyaikādeśena parasya	vA-uttara-pada-tve api tasya-anacka-tvAt-ekasya-ekAdeSena parasya
   nityena"yasyeti"lopenāpahārāt/	nityena"yasya-iti"-lopena-apahArAt/
   na ca parādivadbhāvenaikādeśaviśiṣṭasyottarapadatvamevāstviti tatsambhava	na ca para-Adi-vat-BAvena-eka-AdeSa-viSizwasya-uttara-pada-tvam-eva-astu-iti tad-samBava
   iti vācyam; uttarapadādyacsthānikatvād	iti vAcyam; uttara-padAt-yat-sTAnika-tvAt-
   vṛddhestadabhāvenāprāptestādrūpyānatideśāt/	vRdDeH-tad-aBAvena-aprApteH-tAdrUpyAn-atideSAt/
   anyathā 'khaṭvābhiḥ' ityādāvapi pūrvāntavatvenādantatve bhisa	anyaTA aKawvABiHa iti-AdO=-api pUrva-antava-tvena-Adanta-tve Bisa
   aisāpattiriti bhāṣye spaṣṭam/	EsApattiH-iti BAzye spazwam/
   ata eva 'pūrveṣukāmaśamaḥ' ityādāvantaraṅgatvād guṇe	atas eva apUrvA-izu-kAma-SamaHa iti-AdO=-antaraFga-tvAt guNe
   vṛddhirnasyādityāśaṅkitam/ tadekadeśamātrasya vikārābhāvācca/ taduktaṃ	vRdDiH-nasyAt-itya-ASaFkitam/ tad-eka-deSa-mAtrasya vikAra-aBAvAt-ca/ tad-uktam
   bhāṣye 'indredvavacau, ekaḥ"yasyeti"lopenāpahṛto 'para ekādeśena, tato	BAzye aindret-vavacO, ekaH"yasya-iti"-lopena-apahRtaH aparaH ekAdeSena, tatas-
   'nacka indra śabdaḥ	anackaH indra SabdaH
   sampannastatra kaḥ prasaṅgo vṛddheriti/	sampannaH-tatra kaH prasaFgaH vRdDeH-iti/
   marudādibhirindrasya dvandve indrasyaiva pūrva nipātaḥ, ata āha :-	marut-AdiBiH-indrasya dvandve indrasya-eva pUrva nipAtaH, atas Aha :-
   pūrvottarapadanimittakāryāt pūrvamantaraṅge 'pyekādeśo na // Paribh_53 //	pUrva-uttara-pada-nimitta-kAryAt pUrvam-antaraFge api-ekAdeSaH na // PariB_53 //
   atra ca"nendrasya"iti niṣedha eva jñāpaka iti"antādivacca" "vipratiṣedhe	atra ca"na-indrasya"iti nizeDaH eva jQApakaH iti"anta-Adi-vat-ca" "vipratizeDe
   param"iti	param"-iti
   sūtrayorbhāṣye spaṣṭam//	sUtrayoH-BAzye spazwam//
   nanvevamapi 'pradhāya, prasthāya' ityādāvantaraṅgatvādvitvādiṣu kṛteṣu	nanu-evam-api apraDAya, prasTAya-a iti-AdO=-antaraFga-tvAt-vi-tva-Adizu kRtezu
   lyap syādata āha :-	lyaB syAt-atas Aha :-
   antaraṅgānapi vidhīn bahiraṅgo lyabbādhate // Paribh_54 //	antaraFgAn-api viDIn bahiraFgaH lyabbADate // PariB_54 //
   "ado jagdhiḥ"iti sūtre ti kitītyeva siddhe lyabgrahaṇamasyā	"adaH jagDiH"iti sUtre ti kitI-iti-eva sidDe lyabgrahaNam-asya-a
   jñapakamiti"ado jagdhiḥ"ityatra bhāṣye spaṣṭam//	jQapakam-iti"adaH jagDiH"iti-atra BAzye spazwam//
   nanvevamapi"iyāya"ityādau dvitve kṛte 'ntaraṅgatvāt savarṇadīrghatve	nanu-evam-api"iyAya"-iti-AdO dvi-tve kRte antaraFga-tvAt savarNa-dIrGa-tve
   tadasiddhirata āha :-	tat-asidDiH-atas Aha :-
   vārṇādāṅgaṃ balīyo bhavati // Paribh_55 //	vArNAda-aFgam balIyaH Bavati // PariB_55 //
   tenāntaraṅgamapi savatṇadīrghaṃ bādhitvā vṛddhiriti	tena-antaraFgam-api sa-vatNa-dIrGam bADitvA vRdDiH-iti
   tatsiddhiḥ/"abhyāsasyāsavarṇe"itīyaṅ	tad-sidDiH/"aByAsasya-asavarNe"itIyaF
   vidhāyaka sūtrasthamasavarṇagrahaṇamasyā jñāpakam/ taddhi 'īṣatuḥ'	viDAyaka sUtra-sTam-asavarNa-grahaNam-asyAH jQApakam/ tat-hi aIzatuH-a
   ityādāviyaṅādivyāvṛtyartham/ etatparibhāṣābhāve tu 'īṣatuḥ'	iti-Ada-aviyaFa-Adi-vyAvRti-arTam/ etad-pariBAzA-BAve tu aIzatuH-a
   ityādāvantaraṅgeṇa savarṇadīrgheṇa bādhāttadvyartham/ iyaṅuvaṅau	iti-AdO=-antaraFgeNa savarNa-dIrGeNa bADAt-tat-vyarTam/ iyaFu-vaFO
   hyabhyāsasambandhanimittakatvād bahiraṅgau/	hi-aByAsa-sambanDa-nimittaka-tvAt bahis-aFgO/
   na ceyaṅādirapavādaḥ, 'yenanāprāpti' nyāyena 'iyati' ityādisakalalakṣya	na ca-iyaFAdiH-apavAdaH, ayenana-aprApti-a nyAyena aiyati-a ityAdi-sakala-lakzya
   prāpta yaṇapavādatvasyaiva nirṇayāditi prāñcaḥ/	prApta yaNa-pavAda-tvasya-eva nirNayAt-iti prAQcaH/
   pare tu - etatparibhāṣābhāve"abhyāsasya"iti sūtrameva vyartham/	pare tu  etad-pariBAzA-BAve"aByAsasya"iti sUtram-eva vyarTam/
   na ca 'iyāya' 'iyeṣa' ityādau caritārtham, tayorapi pūrvapravṛttaguṇasya	na ca aiyAya-a aiyeza-a ityAdO caritArTam, tayoH-api pUrva-pravRtta-guNasya
   pūrvapravṛttavṛddheśca	pUrva-pravRtta-vRdDeH-ca
   "dvirvacaneci"iti rūpātideśenāpahāre dvitve kṛte punaḥ prāpte guṇavṛddhī	"dvis-vacaneci"-iti rUpa-ati-deSena-apahAre dvi-tve kRte punar prApte guNa-vRdDI
   bādhitvāntaraṅgatvāt savarṇadīrdhāpatteḥ/ na ca 'iyati' ityādau	bADitva-antaraFga-tvAt savarNa-dIrDA-patteH/ na ca aiyati-a iti-AdO
   taccaritārtham, tāvanmātraprayojakatve 'uḥ' ityeva brūyāt/	tad-caritArTam, tAvat-mAtra-prayojaka-tve auHa iti-eva brUyAt-/
   yvorityanuvartate,"iṇo yaṇ"iti	yvoH-iti-anuvarta-te,"iNaH yaN"iti
   sāhacaryād vyākhyānācca ṛdhātoreva grahaṇam/ ataḥ ivarṇasyeyaṅityarthaḥ/	sAhacaryAt vyAKyAnAt-ca RDAtoH-eva grahaNam/ atas iva-RNasya-iyaF-iti-arTaH/
   "abhyāsasyātau"iti	"aByAsasya-atO"iti
   "abhyāsasyārteḥ"iti vā gurutvānna yuktam/	"aByAsasya-ArteH"-iti vA guru-tvAt-na yuktam/
   na ca"e,ai,o,au"śabdebhya ācārakvibantebhyo liṭīyaṅādyarthaṃ	na ca"e,E,o,O"-SabdeByaH AcAra-kvibanteByaH liwIyaFa-Adi-arTam
   tatsūtranāvaśyakam, tathā"uvoṇakīyiṣati"ityādyarthamāvaśyakamiti vācyam,	tad-sUtra-nAvaSya-kam, taTA-a"uvoNakIyizati"-iti-Adi-arTam-AvaSyakam-iti vAcyam,
   ṣāṣṭhaprathamānhikāntastha bhāṣya prāmāṇyena teṣāmanabhidhānāt/	zAzWa-praTamAn-hikA-antasTa BAzya prAmANyena tezAm-anaBiDAnAt/
   antye dvitīyadvirvacanasyaiva satvena tvadukta prayogasyaiva durlabhatvāt/	antye dvitIya-dvis-vacanasya-eva satvena tvad-ukta prayogasya-eva durlaBa-tvAt/
   evañca sampūrṇa sūtrasya jñāpakatā yuktā/	evaQca sampUrNa sUtrasya jQApaka-tA yuktA/
   yadyapi bhāṣye 'yadayamabhyāsasyāsavarṇa ityasavarṇagrahaṇaṃ karoti' iti	yadi-api BAzye ayat-ayam-aByAsasya-asavarNaH iti-asavarNa-grahaNam karoti-a iti
   granthenāsavarṇagrahaṇasyaiva	granTena-AsavarNa-grahaNasya-eva
   jñāpakatā labhyate, tathāpi 'na hyantareṇa guṇavṛddhī asavarṇaparābhyāso	jQApaka-tA laByate, taTA-api ana hi-antareNa guNa-vRdDI asavarNa-para-aByAsaH-
   bhavati' iti tadupapādana granthena sampūrṇa sūtrasyaiva jñāpakatā	Bavati-a iti tad-upapAdana granTena sampUrNa sUtrasya-eva jQApaka-tA
   labhyate/	laByate/
   agre 'pi 'naitadasti jñāpakam, atyarthametat syāt' ityanena sūtra	agre api anEtat-asti jQApakam, atyarTam-etat syAt-a iti-anena sUtra
   sārthakyameva darśitam/ asavarṇagrahaṇasyaiva jñāpakatve tu	sArTakyam-eva darSitam/ asavarNa-grahaNasya-eva jQApaka-tve tu
   tadvyāvartyapradarśanena tat sārthakyameva darśitaṃ syāt/	tad-vyAvartya-pradarSanena tat sArTakyam-eva darSitam syAt-/
   na ca 'akṛtavyūha' paribhāṣayā 'iyeṣa' ityādau savarṇadīrdhāprāptiḥ, yadi	na ca aakRta-vyUha-a pariBAzayA aiyeza-a ityAdO savarNa-dIrDA-prAptiH, yadi
   dīrdhonasyāt, tarhi	dIrDA-Unasya-at, tarhi
   guṇaḥ syāditi sambhāvanāyāḥ satvena paribhāṣāpravṛtteḥ sūpapādatvāditi	guNaH syAt-iti samBAvanAyAH satvena pariBAzA-pravRtteH sUpa-pAda-tvAt-iti
   kathaṃ sampūrṇa sūtrasya jñāpakateti vācyam, tasyā asatvāt/ satve	kaTam sampUrNa sUtrasya jQApakatA-iti vAcyam, tasyAH asatvAt/ satve
   vaitadbhāṣyaprāmāṇyena yatrāntaraṅgakāryapravṛttiyogyakālottarameva	vEtad-BAzya-prAmANyena yatra-antaraFga-kArya-pravRtti-yogya-kAla-uttaram-eva
   tannimittavināśaka bahiraṅgavidheḥ praptiḥ, tatraiva	tad-nimitta-vinASaka bahis-aFga-viDeH praptiH, tatra-eva
   tatparibhāṣāpravṛttisvīkārācca/	tad-pariBAzA-pravRtti-svIkArAt-ca/
   na cāntaraṅgatvād dīrdhopi 'iyāya' ityādau	na ca-antaraFga-tvAt dIrDopi aiyAya-a iti-AdO
   pūrvāntavatvenābhyāsatvādivarṇatvācca ṇalyasavarṇa iyaṅvidhānena sūtraṃ	pUrva-antava-tvena-aByAsa-tva-Adi-varNa-tvAt-ca Nalya-savarNaH iyaFviDAnena sUtram
   caritārtham/	caritArTam/
   na ca"aci śnu"ityanena siddhiḥ, vṛddhibādhanārthatvāditi vācyam/	na ca"aci Snu"iti-anena sidDiH, vRdDi-bADana-arTa-tvAt-iti vAcyam/
   pratyāsatyāsavarṇa padena abhyāsottarakhaṇḍasambandhyasavarṇāca eva	pratyAsatya-asavarNa padena aByAsa-uttara-KaNxa-sambanDya-savarNAcaH eva
   grahaṇāt, śāstrabādhakalpanāpekṣayā	grahaNa-at, SAstra-bADa-kalpanA-apekzayA
   paribhāṣājñāpakatvasyaivaucityāccetyāhuḥ/	pariBAzA-jQApaka-tvasya-eva-OcityAt-ca-iti-AhuH/
   sā ceyaṃ dharmigrāhakamānādāṅgavārṇayoḥ samānakāryitva eva/	sA ca-iyam Darmi-grAhaka-mAnAdAFga-vArNayoH samAna-kAryitvaH eva/
   yattu samānanimittakatvarūpasamānāśrayatva evaiṣeti, tat, na ; jñāpite	yat-tu samAna-nimittaka-tva-rUpa-samAna-ASraya-tvaH eva-ezA-iti, tat, na ; jQApite
   'pi"iyāya""iyeṣa"ityādyasiddheḥ, sūtravaiyarthyasya tadavasthātvācca/	api-"iyAya"-"iyA-Iza"-iti-Adi-a-sidDeH, sUtra-vEyarTyasya tad-avasTA-tvAt-ca/
   "syonaḥ"ityatra tu vakṣyamāṇarītyāsyā anityatvādapravṛttau	"syonaH"iti-atra tu vakzyamANa-rItyA-asyAH anitya-tvAt-apravRttO
   guṇādantaraṅgatvād yaṇādeśaḥ/	guNAt-antaraFga-tvAt yaNa-AdeSaH/
   na caivamapi 'iyāya' ityādāviyaṅ durlabhaḥ, tatra kartavye vṛddhyādeḥ	na ca-evam-api aiyAya-a iti-AdO=-iyaF durlaBaH, tatra kartavye vRdDi-AdeH
   sthānivatvena 'asavarṇe' iti pratiṣedhāditi vācyam,	sTAniva-tvena aasavarNe-a iti pratizeDAt-iti vAcyam,
   sūtrārambhasāmarthyādeva stthānivatvāpravṛtteḥ/ tacca sāmānyāpekṣam/	sUtra-AramBa-sAmarTyAt-eva stTa-anivatva-apravRtteH/ tat-ca sAmAnya-apekzam/
   abhyāsakārye taduttarakhaṇḍādeśasya tatkāryapratibandhakībhūtaṃ	aByAsa-kArye tad-uttara-KaNxa-AdeSasya tad-kArya-pratibanDakIBUtam
   sthānivatvaṃ neti/	sTAniva-tvam na-iti/
   ata eva 'ārati' ityādau yaṇādeśasya sthānivatvādabhyāsasya"ḍhralope"iti	atas eva aArati-a ityAdO yaNa-AdeSasya sTAniva-tvAt-aByAsasi-a"Xra-lope"iti
   dīrdho durlabha ityapāstam/ dīrghavidhau tanniṣedhācca/	dIrDaH durlaBaH iti-apAstam/ dIrGa-viDO tat-nizeDAt-ca/
   "ariyiyāt"ityatra sthānivatveneyaṅ bhavatyeva, tasya	"ariyiyAt"iti-atra sTAniva-tvena-iyaF Bavati-eva, tasya
   sthānivatvasyābhyāsakārya pratibandhakatvābhāvāt/	sTAnivatu-asya-aByAsa-kArya pratibanDaka-tva-aBAvAt/
   'iyañcāṅgasambandhinyāṅga eva' iti"svarito vā"iti sūtre bhāṣye/ tatra hi	aiyaQca-aFga-sambanDinyAFgaH eva-a iti"svaritaH vA"iti sUtre BAzye/ tatra hi
   'kumāryai' ityādo yaṇuttaramāḍuktaḥ/	akumAryE-a iti-AdaH yaNuttara-mAxuktaH/
   iyañcānityā 'chvoḥ' iti satugnirdeśāt/ anyathāntaraṅgatvāt pūrvaṃ tukaḥ	iyaQca-anityAH aCvoH-a iti sa-tugniH-deSAt/ anyaTA-antaraFga-tvAt pUrvam tukaH
   śādeśe tuko 'prāptyā tadvaiyarthyaṃ spaṣṭamevetyanyatra vistaraḥ//	SAdeSe tukaH aprAptyA tad-vEyarTyam spazwam-eva-iti-anyatra vistaraH//
   nanvevam 'seduṣaḥ' ityādau kvasontaraṅgatvādiṭi, tataḥ samprasāraṇe 'pīṭaḥ	nanu-evam aseduzaH-a ityAdO kvasa-untaraFga-tva-Adiwi, tatas samprasAraNe apIwaH
   śravaṇāpattiriti cet, atra kecit--	SravaNa-ApattiH-iti cet, atra kecit--
   akṛtavyūhāḥ pāṇinīyāḥ // Paribh_56 //	akRta-vyUhAH pANinIyAH // PariB_56 //
   na kṛto viśiṣṭa ūhaḥ -- niścayaḥ, śāstrapravṛttiviṣayo yairityarthaḥ/	na kRtaH viSizwaH UhaH - niScayaH, SAstra-pravRtti-vizayaH yEH-iti-arTaH/
   bhāvi nimittavināśa ityadyāhāraḥ/ bahiraṅgeṇāntaraṅgasya nimittavināśe	BAvi nimitta-vinASaH iti-adya-AhAraH/ bahis-aFgeNa-antaraFgasya nimitta-vinASe
   paścāt sambhāvite 'ntaraṅgaṃ neti yāvat/	paScAt samBAvite antaraFgam na-iti yAvat-/
   atra ca - jñāpakam,"samarthānāṃ prathamāt"iti sūtre samarthānāmiti/ taddhi	atra ca  jQApakam,"-samarTAnAm praTamAt"iti sUtre samarTAnAm-iti/ tat-hi
   sūtthitādibhyaḥ	sUtTita-AdiByaH
   kṛtadīrghebhyaḥ pratyayotpatyartham/ anyathāntaraṅgatvād dīrdhe kṛta eva	kRta-dIrGeByaH pratyaya-utpati-arTam/ anyaTA-antaraFga-tvAt dIrDe kRtaH eva
   pratyayaprāptyā tadvyarthatā spaṣṭa eva/	pratyaya-prAptyA tad-vyarTa-tA spazwaH eva/
   na cātraikādeśapravṛtti samaye vṛddhyaprāptyaikādeśe kṛta ādeśe vṛddheḥ	na ca-atra-eka-AdeSa-pravRtti samaye vRdDi-aprAptyA-ekAdeSe kRtaH AdeSe vRdDeH
   praptāvapi tannimittavināśābhāva iti vācyam, taddavāraiva	praptO=-api tad-nimitta-vinASa-aBAvaH iti vAcyam, tad-davAra-eva
   tannimittavināśasatvenākṣateḥ/	tad-nimitta-vinASa-satvena-akzateH/
   na ca sautthitau bahiraṅgatayā vṛddherasiddhatvānna tannimittavināśa iti	na ca sOtTitO bahis-aFga-tayA vRdDeH-asidDa-tvAt-na tad-nimitta-vinASaH iti
   vācyam, samarthagrahaṇenaitad	vAcyam, samarTa-grahaNena-etat-
   viṣaye tasyā apravṛtterapi jñāpanāt/	vizaye tasyAH apravRtteH-api jQApanAt-/
   yattu samarthagrahaṇenāntaraṅgaparibhāṣāyā anityatvameva jñāpyata iti/	yat-tu samarTa-grahaNena-antaraFga-pariBAzAyAH anitya-tvam-eva jQApyate iti/
   tanna, asiddha paribhāṣāyā samakālaprāpta bahiraṅgasya pūrvaṃ	tat-na, asidDa pariBAzAyA sama-kAla-prApta bahis-aFgasya pUrvam
   jātabahiraṅgasya cāntaraṅge kartavye 'siddhatvaṃ bodhyate, na tu jāte	jAta-bahis-aFgasya ca-antaraFge kartavye asidDa-tvam boDyate, na tu jAte
   'ntaraṅge tasya tatva bodhyate, mānābhāvāt, phalābhāvācca/	antaraFge tasya tatva boDyate, mAna-aBAvAt, Pala-aBAvAt-ca/
   evañca sūtthitāvekādeśasya paribhāṣāsādhyatvābhāvena	evaQca sUtTitO=-eka-AdeSasya pariBAzA-sADya-tva-aBAvena
   tadanityatvajñāpanāsambhavāt/"antaraṅgānapi	tad-anitya-tva-jQApanA-samBa-vAt/"antaraFgAn-api
   vidhīn"ityāderapyasyāmevāntarbhāvaḥ/	viDIn"-iti-AdeH-api-asyAm-eva-antarBAvaH/
   etat pravṛttau ca nimittavināśasambhāvanāpi nimittam/ ata eva 'gomaddaṇḍī'	etat pravRttO ca nimitta-vinASa-samBAvanA-api nimittam/ atas eva agomat-daNxI-a
   ityādau halṅyādi lopo na/	ityAdO halFya-Adi lopaH na/
   anyathā halṅyādi lopa kāle sāmāsika luko 'prāptyā taduttaraṃ	anyaTA halFya-Adi lopa kAle sAmAsika lukaH aprAptyA tad-uttaram
   cāpahāryābhāvādaprāptyā lopasyaivāpatteḥ/ asti cātrāpi 'yadi lopo na syāt,	cApahArya-aBAvAt-aprAptyA lopasya-eva-ApatteH/ asti ca-atra-api ayadi lopaH na syAt-,
   tarhi luk syāt' iti sambhāvanā/	tarhi luc syAt-a iti samBAvanA/
   "alloponaḥ"iti sūtrastha taparakaraṇaṃ tu	"alla-uponaH"-iti sUtra-sTa tapara-karaNam tu
   paribhānityatvajñāpanenacaritārtham/ taddhi 'āna' ityādo lopavāraṇāya/	pariBAnitya-tva-jQApanena-carita-arTam/ tat-hi aAna-a iti-AdaH lopa-vAraNAya/
   anyathā dīrīghābhāve lopasambhāvanayaitatparibhāṣābalāt dīrghāprāptau	anyaTA dIrIGa-aBAve lopa-samBA-vanayA-etat-pariBAzA-balAt dIrGa-aprAptO
   tadvaiyarthyaṃ spaṣṭamevetyāhuḥ/	tad-vEyarTyam spazwam-eva-iti-AhuH/
   "samarthānām"iti sūtre kaiyaṭastu samarthavacaneneyaṃ paribhāṣā	"samarTAnAm-"iti sUtre kEyawaH-tu samarTa-vacanena-iyam pariBAzA
   jñāpyate"akṛtavyūhāḥ pāṇinīyāḥ"iti/ tena 'papuṣaḥ'	jQApyate"a-kRta-vyUhAH pANinIyAH-"iti/ tena apapuzaH-a
   itiyādāvantaraṅgātpūrvaṃ kṛto 'pīḍāgamo nivartata iti vadan 'na kṛto	itiyAdO=-antaraFgAt-pUrvam kRtaH apIxa-AgamaH nivartate iti vadan ana kRtaH-
   vyūhaḥ viśiṣṭastarko nimittakāraṇavināśe 'pi kāryasthitirūpo yaiḥ'	vyUhaH viSizwaH-tarkaH nimitta-kAraNa-vinASe api kArya-sTiti-rUpaH yEH-a
   ityarthamabhipraiti/ 'nimittāpāye naimittikasyāpyapāyaḥ' iti yāvat/	iti-arTam-aBiprEti/ animitta-apAye nEmittikasya-api-apAyaH-a iti yAvat-/
   sūtthitādiñi vṛddhau dīrghanivṛttau sāvuttthitirmābhūditi samarthānāmiti/	su-utTita-AdiQi vRdDO dIrGa-nivRttO sO=-uttTitiH-mABUt-iti samarTAnAm-iti/
   lokanyāya siddhaścāyamarthaḥ/ tathā hi loke nimittaṃ dvividhaṃ	loka-nyAya sidDaH-ca-ayam-arTaH/ taTA hi loke nimittam dviviDam
   dṛṣṭam--kāryasthito niyāmakaṃ tadaniyāmakaṃ ca/	dRzwam---kArya-sTitaH niyAmakam tat-aniyAmakam ca/
   ādyaṃ yathā nyāyanaye 'pekṣā buddhiḥ, tannāśe dvitvanāśābhyupagamāt/	Adyam yaTA nyAya-naye apekzA budDiH, tad-nASe dvi-tva-nASa-aByupagamAt/
