   // nyāyavārttikatātparyapariśuddhiḥ //	// nyAyavArttika tAtparya pariSudDiH //
   pratīyetetyevamāditarkasahāyaṃ pratyakṣameva	pratIyeta iti evamAdi tarka sahAyam pratyakzam eva
   paṭaśuklatvayorbhedamākalayatīti parihārārthaḥ //	pawa Sukla tvayoH Bedam Akalayati iti parihAra arTaH //
   syādetat /	syAt etat /
   ekāntābhede hi sarvametad dūṣaṇam /	ekAnta aBede hi sarvam etat dUzaNam /
   vayaṃ tvanekāntavādinaḥ /	vayam tu anekAnta vAdinaH /
   tathā hi bhedamādāyāpaunarūktyam, abhedamādāya ca sāmānādhikaraṇyamityata	taTA hi Bedam AdAya apOna rUkti am, aBedam AdAya ca sAmAnADikaraNyam iti ata
   āha  na caikaṃ vastviti /	Aha  na ca ekam vastu iti /
   bhedābhedayoḥ parasparavirodhādityarthaḥ /	Beda aBedayoH paraspara viroDAt iti arTaH /
   bhedo hi laukikaparīkṣakaprasiddhaḥ /	BedaH hi lOkika parIkzaka prasidDaH /
   abhede tu sāmānādhikaraṇyapratipattiḥ pramāṇamityāha paraḥ /	aBede tu sAmAnADikaraNya pratipattiH pramANam iti Aha paraH /
   sā cābhedaṃ nollikhatīti cintitamadhastādityato	sA ca aBedam na ulliKati iti cintitam aDastAdityataH 
   lokaprasiddhayorbhedābhedayorasaṃkīrṇatayā virodha eva,	loka prasidDayoH Beda aBedayoH asaMkIrNa tayA viroDaH eva,
   laukikabhedābhedātiriktastu bhedābhedanāmā samavāyo vā syāt, vājñmātraṃ	lOkika Beda aBeda atiriktaH tu Beda aBeda nAmA samavAyaH vA syAt, vA ajQmAtram
   vā, ubhayathāpi na no darśanahānirityāśayavānupasaṃharati  tasmāditi //	vA, uBayaTA api na naH darSana hAniH iti ASayavAn upasaMharati  tasmAt iti //
   nanu yadyapi sāmānādhikaraṇyapratipattina tādātmyamullikhati, tathāpi	nanu yadi api sAmAnADikaraNya pratipattina tAdAtmyam ulliKati, taTA api
   bhedasambandhābhyāṃ vyāvartamānā abhedaṃ vā abhedasambandhaṃ vā sādhayet /	Beda sambanDAByAm vyAvartamAnAH aBedam vA aBeda sambanDam vA sADayet /
   tathā hi prayogaḥ, paṭaśuklatve na bhinne sambaddhe, sāmānādhikaraṇyāt /	taTA hi prayogaH, pawa Sukla tve na Binne sambadDe, sAmAnADikaraNyAt /
   ye punarbhinne sambaddhe na te samānādhikaraṇe yathā dadhikuṇḍe /	ye punar Binne sambadDe na te samAna aDikaraNe yaTA daDikuNxe /
   na ca tatheme /	na ca taTA ime /
   tasmānna tathetyāśayavānāśaṅkate   sambandhe 'pīti //	tasmAt na taTA iti ASa yavAn ASaFka te    sambanDe api iti //
   bhavedevam, yadi bhedasanbandhābhyāmasya vyatirekaḥ svābhāvikaḥ syāt /	Bavet evam, yadi Beda san banDAByAm asya vyatirekaH svABAvikaH syAt /
   kiṃ tu raktaḥ paṭaḥ, agnirmāṇavaka itivat śabdavṛttibhedopādhikaḥ /	kim tu raktaH pawaH, agniH mANavakaH iti vat Sabda vRtti Beda upADikaH /
   śabdavṛttibhedastu saḍketopādhika ityāha   na śabdeti /	Sabda vRtti BedaH tu saxketa upADikaH iti Aha   na Sabda iti /
   sāmānādhikaraṇyāditi /	sAmAnADikaraNyAt iti /
   ca heturyathā bhedasambandhābhyāṃ vyāvartate tathā	ca hetuH yaTA Beda sambanDAByAm vyAvartate taTA
   abhedasambandhābhyāmapītyasādhāraṇaḥ /	aBeda sambanDAByAm api iti asADAraNaH /
   abhinnaṃ ca tatsambandhi ceti sādhyam, na	aBinnam ca tad sambanDi ca iti sADyam, na
   caivaṃbhūtamubhayavādisaṃpratipannaṃ kiñcidasti yato vyāvṛtterasādhāraṇo	ca evaMBUtam uBaya va Adi saMpratipannam kiQcid asti yatas vyAvRtteH asADAraNaH 
   hetuḥ syāditi cet na, ubhayavyavacchedaparyavasānasya	hetuH syAt iti ced na, uBaya vyavacCeda paryavasAnasya
   manorathenāpyasiddheḥ //	manoraTena api asidDeH //
   yo hyabhinnaḥ sa kathaṃ sambaddhaḥ, sambandhasya bhedādhiṣṭhānatvāt /	yaH hi aBinnaH sa kaTam sambadDaH, sambanDasya Beda aDizWAna tvAt /
   yaḥ sambaddhaḥ sa kathamabhinnaḥ, tenaiva tasyāsambandhāt /	yaH sambadDaH sa kaTam aBinnaH, tena eva tasya asambanDAt /
   bhinno 'pīti cet? tathāpi bhedamādāyaiva sambandho na punarabhedamādāya /	BinnaH api iti cet? taTA api Bedam AdAya eva sambanDaH na punar aBedam AdAya /
   tathā ca sambandho bhedenaiva vyāptaḥ /	taTA ca sambanDaH Bedena eva vyAptaH /
   abhedastvasambandhenaiveti katham abhinne sambandhe iti pratijñā na	aBedaH tu asambanDena eva iti kaTam aBinne sambanDe iti pratijQA na
   vyāhatā? prakārabhedamādāyeti cet   na, tasyābhāvāt, na hi dravyasya	vyAhatA? prakAra Bedam AdAya iti cet   na, tasya aBAvAt, na hi dravyasya
   guṇatvamapyasti, guṇasya vā dravyatvamapi, yenābhedaḥ syāt //	guNa tvam api asti, guNasya vA dravya tvam api, yena aBedaH syAt //
   uktaprakāreṇa ca bheda eva /	ukta prakAreNa ca BedaH eva /
   sattvenābheda iti cet? kimidaṃ sattvaṃ sattā vā, svarūpaṃ vā? svarūpaṃ	sattvena aBedaH iti cet? kim idam sattvam sattA vA, svarUpam vA? svarUpam
   tāvad	tAvat 
   guṇo guṇa eva, dravyaṃ dravyameva /	guNaH guNaH eva, dravyam dravyam eva /
   sattā tu tābhyāmasādhāraṇābhyāṃ sādhāraṇī bhinnā kathamiva tayoḥ	sattA tu tAByAm asADAraNAByAm sADAraNI BinnA kaTam iva tayoH
   svabhāvaḥ? kenacidākāreṇa tatheti cet? na	svaBAvaH? kenacid AkAreNa taTA iti cet? na
   vaidravyaguṇakarmasādhāraṇādākārādasādhāraṇamākāraṃ sattāyāḥ paśyāmo yena	vEdravya guNa karma sADAraNAt AkArAdasADAraNam AkAram sattAyAH paSyAmaH yena
   sā tathā syāt /	sA taTA syAt /
   evaṃ teṣāmapi dravyaguṇakarmaṇāṃ parasparāsaḍkīrṇāt rūpānna svabhāvāntaraṃ	evam tezAm api dravya guNa karmaNAm paraspara asaxkIrNAt rUpAt na svaBAva antaram
   paśyāmaḥ pratīyamānarūpamevābhinnamityucyamāne sattā vā na syāt, tāni vā	paSyAmaH pratIyamAna rUpam eva aBinnam iti ucyamAne sattA vA na syAt, tAni vA
   na syurityuktaprāyam /	na syuH iti ukta prAyam /
   tasmāt dravyaguṇayoḥ sattaiva	tasmAt dravya guNayoH sattA eva
   sādhāraṇaṃ svarūpaṃ svabhāvo dharmo viśeṣaṇamityarthaḥ /	sADAraNam svarUpam svaBAvaH DarmaH viSezaNam iti arTaH /
   dravyatvaguṇayordravyameva svabhāvo dharmī viśeṣyamityarthaḥ	dravya tva guNayoH dravyam eva svaBAvaH DarmI viSezyam iti arTaH
   viśeṣyasyaikasyaiva viśeṣaṇadvayadvārobhayaśabdabuddhiviṣayatvād	viSezyasya ekasya eva viSezaNa dvaya dvAra uBaya Sabda budDi vizaya tvAt 
   guṇaguṇyādīnāmevābhedaṃ bhedābhedau vā pare menire iti	guNa guNyAdInAm eva aBedam Beda aBedO vA pare menire iti
   yadyupanibandhenāha  śabdānāṃ tviti //	yadi upanibanDena aha   SabdAnAm tu iti //
   nanvekāntabhinnānāṃ kālato deśato vā vivekakhyātirūpalabdhā /	nanu ekAnta BinnAnAm kAlataH deSataH vA viveka KyAti rUpa labDA /
   sā guṇaguṇibhyāṃ vyāvartamānā svavyāpyamaikāntikaṃ bhedamapi	sA guNa guNiByAm vyAvartamAnA sva vyApyam EkAntikam Bedam api
   vyāvartayatīti ata āha  ayutasiddhyeti /	vyAvartayati iti atas Aha  ayuta sidDyA iti /
   astyevāsau, na tu sphuṭataro nirluṭhitagarbhatayā /	asti eva asO, na tu sPuwataraH nirluWita garBa tayA /
   na ca tannivṛttimātreṇa bhedanivṛttiḥ,	na ca tad nivRtti mAtreNa Beda nivRttiH,
   lohadahanayorabhedaprasaḍgādityarthaḥ //	loha dahanayoH aBeda prasaxgAt iti arTaH //
   syādetat /	syAt etat /
   bhinnasaṃmbandhyanubhave 'pi kutaḥ sambandhānubhava ityata āha   na	Binna saMmbanDI anuBave api kutas sambanDa anuBavaH iti atas Aha   na
   cāsāviti /	ca asO= iti /
   na hyagṛhyāmāṇe viśeṣaṇe viśiṣṭapratipattiḥ /	na hi agRhyAmANe viSezaNe viSizwa pratipattiH /
   na ca buddhyā bodhyamanumīyate pratyakṣocchedaprasaḍgādityarthaḥ /	na ca budDyA boDyam anumIyate pratyakza ucCeda prasaxgAt iti arTaH /
   yo viśeṣaṇaviśeṣyabhāvaḥ sarvaḥ saṃndhāntarapūrvakaṃ iti vyāptirihaiva	yaH viSezaNa viSezya BAvaH sarvaH saMnDa antara pUrvakam iti vyAptiH iha eva
   bhajyata iti pareṇāpi svīkaraṇīyameva /	Bajyate iti pareNa api svIkaraNIyam eva /
   na hyasau samavāyamabhāvaṃ vā abhyupagacchan viśeṣaṇatāmasya na svīkaroti	na hi asO samavAyam aBAvam vA aByupagacCan viSezaNa tAm asya na svIkaroti
   anyathā samavāyābhāvaviśiṣṭapratītimeva na svīkuryāt /	anyaTA samavAya aBAva viSizwa pratItim eva na svIkuryAt /
   kiṃ tu	kim tu
   sambandhāntararahito viśeṣaṇaviśeṣyabhāvaḥ pratyakṣāḍgaṃ na bhavatīti	sambanDa antara rahitaH viSezaNa viSezya BAvaH pratyakzAxgam na Bavati iti
   kadācid brūyāt /	kadAcid brUyAt /
   atastaṃ samānanyāyena nivārayati  tat	atas tam samAna nyAyena nivArayati   tat
   kimatreti /	kim atra iti /
   yathā vinaiva sambandhāntareṇa tadviśiṣṭapratipattiḥ, tathā tasyā	yaTA vinA eva sambanDa antareNa tad viSizwa pratipattiH, taTA tasyAH 
   evaindriyakatvanāntarīyakaḥ sākṣātkāraḥ pratīyate, vipakṣe	eva Endriyaka tvana AntarIyakaH sAkzAtkAraH pratIyate, vipakze
   tvanavasthāprasaṅgalakṣaṇastarkaḥ samāna ityarthaḥ //	tu anavasTA prasaFga lakzaNaH tarkaH samAnaH iti arTaH //
   na ca guṇakarmasāmānyeṣvapi viśeṣaṇatvamātreṇaiva grahaṇamastu, kṛtaṃ	na ca guNa karma sAmAnyezu api viSezaNa tva mAtreNa eva grahaNam astu, kRtam
   samavāyādineti vācyam /	samavAya AdinA iti vAcyam /
   śabdasya svāśrayāviśeṣaṇasyāpi samavāyena grahaṇāt /	Sabdasya sva ASraya aviSezaNasya api samavAyena grahaNAt /
   so 'pi tṛtīyo 'stviti cet   na, gandharasayoratathābhūtayorapi	saH api tRtIyaH astu iti cet   na, ganDa rasayoH ataTABUtayoH api
   saṃyuktasamavāyena grahaṇāt /	saMyukta samavAyena grahaNAt /
   so 'pi caturtho 'stviti cet   na, śabdarūpatvayorapi pratīyamānatvāt /	saH api caturTaH astu iti cet   na, Sabda rUpa tvayoH api pratIyamAna tvAt /
   viśeṣaṇabhāvenaiveti cet   na, dravyaguṇakarmasāmānyānāṃ sambandhābhāve	viSezaNa BAvena eva iti cet   na, dravya guNa karma sAmAnyAnAm sambanDa aBAve
   viśeṣaṇabhāvasyaivānupapatteḥ /	viSezaNa BAvasya eva anupapatteH /
   sambandhaśca prasādhitaḥ /	sambanDaH ca prasADitaH /
   ato na samavāyābhāvavat pratyakṣabādhaḥ, nāpyanavasthā,	atas na samavAya aBAva vat pratyakza bADaH, na api anavasTA,
   sambandhāntaranirapekṣasambandha eva viśrānteḥ iti //	sambanDa antara nirapekza sambanDaH eva viSrAnteH iti //
   syādetat /	syAt etat /
   bhūtalameva ghaṭābhāvastacca saṃyogādeva pratīyate /	BU talam eva Gawa aBAvaH tat ca saMyogAt eva pratIyate /
   ataḥ kiṃ tadarthena viśeṣaṇabhāvenetyata āha   na ceti /	atas kim tad arTena viSezaNa BAvena iti atas Aha   na ca iti /
   satyapi ghaṭādau bhūtarasya bhāvāt /	sati api Gawa AdO BUtarasya BAvAt /
   bhūtalavyavahāravat ghaṭābhāvavyavahāraprasaḍgāditi śeṣaḥ //	BU tala vyavahAra vat Gawa aBAva vyavahAra prasaxgAt iti SezaH //
   na ca kevalyamiti /	na ca kevalyam iti /
   kevalyaṃ hi bhūtaladharmo ghaṭādyavirodhī yudyucyeta na ghaṭādinā saha	kevalyam hi BU tala DarmaH Gawa Adi aviroDI yudyucyeta na Gawa AdinA saha
   saṃbhavet, tathā ca sa doṣastadavastha eva, virodhī cet? sa	saMBavet, taTA ca sa dozaH tad avasTaH eva, viroDI cet? sa
   tāvannobhayavādisiddhadravyādiṣvanyatamaḥ, teṣāṃ ghaṭena saha saṃbhavāt,	tA= at na uBaya vAdi sidDa dravya Adizu anyatamaH, tezAm Gawena saha saMBavAt ,
   abhāvavyavahārakāle 'pi ca keṣāñcidasaṃbhavāt, bhūtaladharmāṇāṃ ca teṣāṃ	aBAva vyavahAra kAle api ca kezAQcid asaMBavAt, BU tala DarmANAm ca tezAm
   ghaṭaināvināśādanāvṛteśca /	Gawa enA vinASAt anAvRteH ca /
   tadatiriktaṃ tu daśamaṃ dravyam, pañcaviśatitamo vā guṇaḥ, ṣaṣṭhaṃ vā	tat atiriktam tu daSamam dravyam, paQca viSatitamaH vA guNaH, zazWam vA
   karma, sāmānyaviśeṣasamavāyā na saṃbhavantyeva, tasya	karma, sAmAnya viSeza samavAyAH na saMBavanti eva, tasya
   dravyādyanyatamatvena tadavinābhāvidharmāpatteḥ /	dravya Adi anyatama tvena tad avinABAvi Darma ApatteH /
   anāpattau vā tattvānupapatteḥ //	anApattO vA tattva anupapatteH //
   sa khalvayaṃ saptamaḥ padārtho bhavet? tatrāpyasau bhāvaniṣedhākāro vā	sa Kalu ayam saptamaH padArTaH Bavet? tatra api asO BAva nizeDa AkAraH vA
   syāt, anyathā vā? na tāvadanyathā /	syAt, anyaTA vA? na tAvat anyaTA /
   tathā sati avirodhitvaprasaṃgāt /	taTA sati aviroDi tva prasaMgAt /
   niṣedhākāro 'pi yadyanutpanno 'pi na nivartate, tadā ghaṭādivyavahāraḥ	nizeDa AkAraH api yadi anutpannaH api na nivartate, tadA Gawa Adi vyavahAraH
   kadācidapi na syāt /	kadAcid api na syAt /
   utpanno vā yadi nivarteta, tadā vinaṣṭo 'pi ghaṭaḥ kadācidupalabhyeta /	utpannaH vA yadi nivarteta, tadA vinazwaH api GawaH kadAcid upalaByeta /
   ataḥ padārthānāṃ saptamo niṣedharūpo 'nutpannapradhvaṃsī ca utpannavināśī	atas padArTAnAm saptamaH nizeDa rUpaH anutpanna praDvaMsI ca utpanna vinASI
   ca bhūtalādidharmaḥ kaivalyamabhāva iti ekor'tha iti /	ca BU tala Adi DarmaH kEvalyam aBAvaH iti ekor aTa iti /
   tadidamuktam  na ghaṭābhāvādanyo ghaṭābhāva evetyarthaḥ //	tat idam uktam  na Gawa aBAvAt anyaH Gawa aBAvaH eva iti arTaH //
   syādetat yadyapi jñeyarūpaṃ tattvāntaraṃ nāsti, tathāpi jñānarūpaṃ	syAt etat yadi api jQeya rUpam tattva antaram nAsti, taTA api jQAna rUpam
   bhaviṣyati /	Bavizyati /
   viṣayaśca tasya dṛśye pratiyogini bhūtalamevetyata āha  na ceti, yathā	vizayaH ca tasya dRSye pratiyogini BU talam eva iti atas Aha  na ca iti, yaTA
   bhūtalapakṣe ghaṭavatyapi prasaḍgo bhavati, tathā bhūtalajñānapakṣe	BU tala pakze GawavatI api prasaxgaH Bavati, taTA BU tala jQAna pakze
   ghaṭavabhdūtalajñāne 'pi prasaṅga ityarthaḥ //	Gawa vaBdU tala jQAne api prasaFgaH iti arTaH //
   nanu dṛśye pratiyoginītyuktaṃ ghaṭavabhdūtalajñāne tu ghaṭo na dṛśyaḥ kiṃ	nanu dRSye pratiyogini iti uktam Gawa vaBdU tala jQAne tu GawaH na dRSyaH kim
   tu dṛśyamāna ityata āha   nahīti /	tu dRSyamAnaH iti atas Aha   nahi iti /
   na hi darśanānarhe dṛśyata ityarthaḥ /	na hi darSana anarhe dRSyate iti arTaH /
   darśanārhe hi ghaṭaḥ tatra yadi na nāsti tadā	darSana arhe hi GawaH tatra yadi na na asti tadA
   bhūtalavadakāmenāpyupalabhyetaiva, bhūtalamapi vā nopalabhyeta,	BU tala vat a kAmena api upalaByeta eva, BU talam api vA na upalaByeta,
   tulyayogakṣematvāt /	tulya yogakzema tvAt /
   tasmād bhūtalopalabdhāvapi tadanupalambhastadabhāvamādāyaivopapadyata iti	tasmAt BU tala upalabDO= api tad anupalamBaH tad aBAvam AdAya eva upapadyate iti
   yadyapyupalabhyābhāvamaḍgīkārayituṃ śakyate tarkagatyā paraḥ, tathāpi	yadi api upalaBya aBAva maxgIkArayitum Sakyate tarka gatyA paraH, taTA api
   svavacanavirodhamapyapaśyantaṃ prati kiṃ tenāpītyāśayavānāha   dṛśye	sva vacana viroDam api apaSyantam prati kim tena api iti ASa yavAn Aha   dRSye
   'nupalabhyamāna iti //	anupalaByamAnaH iti //
   anupalambho hyupalambhābhāvāka vā syāt, dṛśye smaryamāṇe bhūlopalambha eva	anupalamBaH hi upalamBa aBAvAka vA syAt, dRSye smaryamANe BUla upalamBaH eva
   vā, ghaṭopalambhe vā smaryamāṇe kevalātmopalambhaḥ? na tāvad	vA, Gawa upalamBe vA smaryamANe kevala Atma upalamBaH? na tAvat 
   dvitīyatṛtīyau, smaryamāṇe dṛśyamāne ghaṭe bhūtalopalambhe sati	dvitIya tRtIyO, smaryamANe dRSyamAne Gawe BU tala upalamBe sati
   ghaṭavatyapi prasaṅgasya	GawavatI api prasaFgasya
   durnivāratvāt /	durnivAra tvAt /
   tasmādupalambhābhāva evānupalambhaḥ //	tasmAt upalamBa aBAvaH eva anupalamBaH //
   nanvnenaiva sarvavyavahāropapatto kimupalabhyābhāvenetyata	nanu nena eva sarva vyavahAra upapattaH kim upalaBya aBAvena iti ata
   āha  kimaparāddhamupalabhyābhāveneti /	Aha  kim aparAdDam upalaBya aBAvena iti /
   tathā hi yathopalambhaniṣedhakāt	taTA hi yaTA upalamBa nizeDakAt
   pramāṇādupalambhābhāvasiddhistathopalabhyaniṣedhakāt	pramANAt upalamBa aBAva sidDiH taTA upalaBya nizeDakAt 
   pramāṇabalādevopalabhyābhāvasiddhirapi bhavati /	pramANa balAt eva upalaBya aBAva sidDiH api Bavati /
   bhavati hi ghaṭaṃ nopalabhaitivat ghaṭo nāstīti pratītiḥ /	Bavati hi Gawam na upalaBA eti vat GawaH na asti iti pratItiH /
   na caikaviṣayatvamanayoḥ, nimīlitalocanasya hyupalambhābhāvaniścaya	na ca eka vizaya tvam anayoH, nimIlita locanasya hi upalamBa aBAva niScaya
   upalabhyābhāve ca sandeho jijñāsā ca kathañcid bhūtalaniścaye 'pi /	upalaBya aBAve ca sandehaH jijQAsA ca kaTaQcid BU tala niScaye api /
   na caitadekatraikadā saṃbhavatītyāśayavānupasaṃharati   tasmāditi /	na ca etat ekatra ekadA saMBavati iti ASa yavAn upasaMharati   tasmAt iti /
   asaditi sanniṣedha ityarthaḥ //	asat iti sannizeDaH iti arTaH //
   sa ca dṛśyānupalabdharevāvagamyate,	sa ca dRSya anupalabDa reva avagamyate,
   akṣavyāpārasyādhikaraṇagrahaṇopakṣīṇatvāditi kecit /	akza vyApArasya aDikaraNa grahaNa upakzINa tvAt iti kecid /
   tadanupapannam, andhasyāpi tvagindriyopanīte ghaṭādau	tad anupapannam, anDasya api tvac indriya upanIte Gawa AdO
   rūpaviśeṣābhāvapratītiprasaḍgāt /	rUpa viSeza aBAva pratIti prasaxgAt /
   asti hi tasyādhikaraṇasya grahaṇam, asti ca pratiyogismaraṇam, asti ca	asti hi tasya aDikaraNasya grahaNam, asti ca pratiyogi smaraNam, asti ca
   nīle śuklatvasya yogyasyābhāvo 'nupalabdhiśca //	nIle Sukla tvasya yogyasya aBAvaH anupalabDiH ca //
   adhikaraṇagrāhakeṇendriyeṇa grāhyābhāvavādino 'pi samānametaditi cet   na,	aDikaraNa grAhakeNa indriyeNa grAhya aBAva vAdinaH api samAnam etat iti cet   na,
   pratiyogigrāhakeṇendriyeṇa	pratiyogi grAhakeNa indriyeNa
   tadabhāvo gṛhyate bhāvāyattatvāt tasyeti siddhāntamarmatvāt /	tad aBAvaH gRhyate BAva Ayatta tvAt tasya iti sidDAnta marma tvAt /
   mamāpi yadabhāvo 'nupalabdhyā bodhyaḥ tadgrāhakeṇendriyeṇādhikaraṇagrahaṇe	mama api yad aBAvaH anupalabDyA boDyaH tad grAhakeNa indriyeNa aDikaraNa grahaNe
   sa gṛhyata iti siddhāntasāramiti cet   na, vāyau tvagindriyopanīte	sa gRhyate iti sidDAnta sAram iti cet   na, vAyO tvac indriya upanIte
   rūpābhāvapratītyanudayaprasaḍgāt /	rUpa aBAva prati iti anudaya prasaxgAt /
   na hi rūpagrāhakeṇa tatrādhikaraṇamupanītam /	na hi rUpa grAhakeNa tatra aDikaraNam upanItam /
   tatrāpi tāvaccakṣurindriyaṃ saṃbaddhamiti cet? evaṃ tarhi tasya	tatra api tAvat cakzuH indriyam saMbadDam iti cet? evam tarhi tasya
   nādhikaraṇagrahaṇe vyāpāraḥ, nāpi pratiyogismaraṇe rūpābhāvapratītyā ca	na aDikaraNa grahaNe vyApAraH, na api pratiyogi smaraNe rUpa aBAva pratItyA ca
   niyamena apekṣata ityāyātam,	niyamena apekzate iti AyAtam,
   ananyathāsiddhamaindriyakatvamabhāvasyetyanyathāsiddhatvapralāpaṃ	ananyaTA sidDam Endriyaka tvam aBAvasya iti anyaTA sidDa tva pralApam
   gajanimīlanenāvadhīrya viddhavadāha   indriyavyāpāre sati tatpratyayāditi	gaja nimIlanena avaDIrya vidDa vat Aha   indriya vyApAre sati tad pratyayAt iti
   āntarālikameva vyāpāraṃ vyavadhāyakamiti bhrāntaṃ pratibodhayannāha   na	AntarAlikam eva vyApAram vyavaDAyakam iti BrAntam pratiboDayan= Aha   na
   ca pratiyogīti //	ca pratiyogi iti //
   pratiyogismaraṇamityatra vākchalavādinamutthāpya bodhayati   na ca	pratiyogi smaraNam iti atra vAc Cala vAdinam utTApya boDayati   na ca
   śabdasmaraṇādīnāmiti /	Sabda smaraNa AdInAm iti /
   abhāvajñānotpattāvindriyārthasannikarṣo na kāraṇaṃ vyabhicārāditi vādinam	aBAva jQAna utpattO= indriya arTa sannikarzaH na kAraNam vyaBicArAt iti vAdinam
   utthāpayati   nanu svarūpeti /	utTApayati    nanu svarUpA iti /
   tadiyamiti /	tat iyam iti /
   pramāṇāntaraṃ tu tena saṃbhavatītyabhimānaḥ parasyetyarthaḥ /	pramANa antaram tu tena saMBavati iti aBimAnaH parasya iti arTaH /
   seyamanupalabdhiḥ sattāmātraiṇābhāvaṃ gamayeta, svajñānena vā? na	sA iyam anupalabDiH sattA mAtra eNABAvam gamayeta, sva jQAnena vA? na
   tāvadādyaḥ, tadānīṃ gehasya viprakṛṣṭasya vyavahitatvena	tAvat AdyaH, tadAnIm gehasya viprakRzwasya vyavahita tvena
   yogyānupalabdherasattvāt /	yogyA anupalabDeH asattvAt /
   na dvitīyaḥ, anavasthāprasaḍgāt, anupalabdherapyabhāvarūpatayā	na dvitIyaH, anavasTA prasaxgAt, anupalabDeH api aBAva rUpa tayA
   anupalabdhyantarasādhanīyatvāt //	anupalabDi antara sADanIya tvAt //
   yogyasya smaraṇābhāvastāvadastīti cet   na, abhāve	yogyasya smaraNa aBAvaH tAvat asti iti cet   na, aBAve
   viparyayasaṃśayābhāvaprasaṃgāt /	viparyaya saMSaya aBAva prasaMgAt /
   bhavati hi kadācit pratiyogyadhikaraṇayoḥ smaraṇe 'pyasato 'pi	Bavati hi kadAcid pratiyogi aDikaraNayoH smaraNe api asataH api
   sabhdāvapratītiḥ, sato 'bhāvapratyayaḥ, kathamanyathā nāstītyuktvā jhaṭiti	saBdOva pratItiH, sataH aBAva pratyayaH, kaTam anyaTA na asti iti uktvA Jawiti
   saṃjātavādhaḥ prāha, na hi na hi bhrānto 'smi, dṛṣṭa evāsau tatra mayeti,	saMjAta vADaH prAha, na hi na hi BrAntaH asmi, dRzwaH eva asO tatra mayA iti,
   astīti vā prathamamuktvā paścānnāstīti /	asti iti vA praTamam uktvA paScAt na asti iti /
   kimāsīnnaveti nāvadhārayāmīti veti /	kim AsIt navA iti na avaDArayAmi iti vA iti /
   na hi pratiyoginamadhikaraṇaṃ vānupalabdhamevānyathākāraṃ smarati /	na hi pratiyoginam aDikaraNam vA anupalabDam eva anyaTA AkAram smarati /
   na ca svarasasiddhasya smaraṇasyānupalabhyamānasyaiva viparyayaḥ	na ca svarasa sidDasya smaraNasya anupalaByamAnasya eva viparyayaH
   saṃbhavati /	saMBavati /
   iyatī ca sāmāgrī yaduta pratiyogyadhikaraṇasmaraṇaṃ tattāsmaraṇaṃ ceti /	iyatI ca sAma agrI yat uta pratiyogi aDikaraNa smaraNam tat tAsmaraNam ca iti /
   na vā sādhāraṇaṃ pramākaraṇamadūṣayanta eva doṣā viparyayahetavaḥ,	na vA sADAraNam pramAkaraNam adUzayantaH eva dozAH viparyaya hetavaH,
   sarvatrānāśvāsaprasaḍgāt /	sarva tra anASvAsa prasaxgAt /
   tvayāpyetat samarthanīyamiti cet   na, yogyāsmaraṇasya mayā	tvayA api etat samarTanIyam iti cet   na, yogyA smaraNasya mayA
   liṅgatveneṣṭatvāt /	liFga tvena izwa tvAt /
   liṅgaviparyayasaṃśayābhyāṃ ca tallaiḍgikasaṃśayaviparyayayoḥ sulabhatvāt /	liFga viparyaya saMSayAByAm ca tad lExgika saMSaya viparyayayoH sulaBa tvAt /
   yadā tu sunipuṇaikajñānagrahaṇayogyasya caitrasya	yadA tu su nipuNa eka jQAna grahaNa yogyasya cEtrasya
   gehasmaraṇai'pyasmaraṇalakṣaṇaṃ liṅgamavadhāryate, tadā	geha smaraNE api asmaraNa lakzaNam liFgam avaDAryate, tadA
   liḍgipratītiraviparītā bhavatyeva /	lixgi pratItiH aviparItA Bavati eva /
   ata eva kṣaṇaṃ dhyātvetyāha /	atas eva kzaNam DyAtvA iti Aha /
   anyathā dhyānamapyanupapannam /	anyaTA DyAnam api anupapannam /
   asmaraṇamātrasya hi vyabhicāram upalabhya tadanādṛtya viśiṣṭāsmaraṇaṃ	asmaraNa mAtrasya hi vyaBicAram upalaBya tad anAdRtya viSizwa asmaraNam
   jñātukāmasya praṇidhānamupapadyate /	jQAtu kAmasya praNiDAnam upapadyate /
   tasmāt liṅgatvenaiva asmaraṇamupayujyate /	tasmAt liFga tvena eva asmaraNam upayujyate /
   kiṃ tu tadapi kathaṃ jñātavyamityavaśiṣyate? tatrāha   naitaditi /	kim tu tat api kaTam jQAtavyam iti avaSizyate? tatra aha   na etat iti /
   vyadhikaraṇatāṃ parihartuṃ prayogaṃ darśayati   tathā hīti //	vyaDikaraNa tAm parihartum prayogam darSayati    taTA hi iti //
   na cāvacchedyāvacchedakayorvaiyadhikaraṇyaṃ doṣaḥ, viśeṣaṇa eva	na ca avacCedyAvacCedakayoH vEyaDikaraNyam dozaH, viSezaNaH eva
   tanniyamāt, atra tūpalakṣaṇatvāt, vaiyadhikaraṇye	tad niyamAt, atra tu upalakzaNa tvAt, vEyaDikaraNye
   'pyupalakṣaṇatvāvirodhāt, na[?]atāvanmātreṇaivopayogāt /	api upalakzaNa tva aviroDAt, na[?]atAvat mAtreNa eva upayogAt /
   upalakṣitaṃ tu sādhyasamānādhikaraṇameva /	upalakzitam tu sADya samAna aDikaraNam eva /
