   Pañcaviṃśatisāhasrikā Prajñāpāramitā	PaQcaviMSati sAhasrikA PrajQApAramitA
   mahāsattvasyodāracittatā yayā sarvasattvānām agratāṃ kārayiṣyati, tena ca	mahAsattvasya udAra citta tA yayA sarva sattvAnAm agra tAm kArayizyati, tena ca
   cittena na manyate.	cittena na manyate.
   punar aparaṃ subhūte bodhisattvena mahāsattvena akampyacittena	punar aparam suBUte boDisattvena mahAsattvena akampya cittena
   bhavitavyaṃ, tatreyaṃ bodhisattvasya mahāsattvasyākampyacittatā yat	Bavitavyan, tatra iyam boDisattvasya mahAsattvasya akampya citta tA yat 
   sarvākārajñatāpratisaṃyuktam api manasikāran na manyate, iyaṃ subhūte	sarva AkAra jQa tA pratisaMyuktam api manasikArat na manyate, iyam suBUte
   bodhisattvasya mahāsattvasyākampyacittatā.	boDisattvasya mahAsattvasya akampya citta tA.
   punar aparaṃ subhūte bodhisattvena mahāsattvena sarvasattvānām antike	punar aparam suBUte boDisattvena mahAsattvena sarva sattvAnAm antike
   hitasukhacittena bhavitavyaṃ, tatreyaṃ bodhisattvasya mahāsattvasya	hita suKa cittena Bavitavyan, tatra iyam boDisattvasya mahAsattvasya
   hitasukhacittatā yā sarvasattvānāṃ paritrāṇatā yaḥ sarvasattvānām	hita suKa citta tA yA sarva sattvAnAm paritrANa tA yaH sarva sattvAnAm
   aparityāgaḥ, tena ca na manyate, iyaṃ subhūte bodhisattvasya mahāsattvasya	aparityAgaH, tena ca na manyate, iyam suBUte boDisattvasya mahAsattvasya
   hitasukhacittatā. evaṃ hi subhūte bodhisattvo mahasattvaḥ	hita suKa citta tA. evam hi suBUte boDisattvaH mahasattvaH
   prajñāpāramitāyāṃ caran sarvasattvānām agratāṃ kārayiṣyati.	prajQApAramitAyAm caran sarva sattvAnAm agra tAm kArayizyati.
   (PvsP1 2: 30)	(Pu sP1 2: 30)
   punar aparaṃ subhūte bodhisattvena mahāsattvena dharmārāgeṇa bhavitavyaṃ	punar aparam suBUte boDisattvena mahAsattvena Darma arAgeNa Bavitavyam
   dharmaratena dharmārāmatāyogam anuyuktena bhavitavyaṃ, tatra katamo	Darma ratena Darma ArAma tA yogam anuyuktena Bavitavyan, tatra katamaH 
   dharmo? yad uta sarvadharmāṇām asaṃbhedaḥ, ayam ucyate dharmaḥ, tatra	Darmo? yat uta sarva DarmANAm asaMBedaH, ayam ucyate DarmaH, tatra
   katamā dharmaratir? yā dharme 'bhiratir iyam ucyate dharmaratiḥ, tatra	katamA Darma ratiH ? yA Darme aBiratiH iyam ucyate Darma ratiH, tatra
   katamā dharmārāmatā? yā tasya dharmasya bhāvanā bahulīkaraṇatā, iyam	katamA Darma arAma tA? yA tasya Darmasya BAvanA bahulIkaraNa tA, iyam
   ucyate dharmārāmatā. evaṃ hi subhūte bodhisattvena mahāsattvena	ucyate Darma arAma tA. evam hi suBUte boDisattvena mahAsattvena
   prajñāpāramitāyāṃ caratā mahataḥ sattvarāśer mahataḥ sattvanikāyasyāgratā	prajQApAramitAyAm caratA mahataH sattva rASeH mahataH sattva nikAyasya agra tA
   kārayitavyā anupalambhayogena.	kArayitavyAH anupalamBa yogena.
   punar aparaṃ subhūte bodhisattvena mahāsattvena prajñāpāramitāyāṃ caratā	punar aparam suBUte boDisattvena mahAsattvena prajQApAramitAyAm caratA
   adhyātmaśūnyatāyāṃ sthitvā bahirdhāśūnyatāyāṃ sthitvā	aDyAtma SUnyatAyAm sTitvA bahirDA SUnyatAyAm sTitvA
   adhyātmabahirdhāśūnyatāyāṃ sthitvā yāvad abhāvasvabhāvaśūnyatāyāṃ sthitvā	aDyAtma bahirDA SUnyatAyAm sTitvA yAvat aBAva svaBAva SUnyatAyAm sTitvA
   mahataḥ sattvarāśer mahataḥ sattvanikāyasyāgratā kārayitavyā	mahataH sattva rASeH mahataH sattva nikAyasya agra tA kArayitavyA
   anupalambhayogena.	anupalamBa yogena.
   punar aparaṃ subhūte bodhisattvena mahāsattvena prajñāpāramitāyāṃ caratā	punar aparam suBUte boDisattvena mahAsattvena prajQApAramitAyAm caratA
   saptatriṃśad bodhipakṣeṣu dharmeṣu sthitvā baleṣu vaiśāradyeṣu	saptatriMSat boDi pakzezu Darmezu sTitvA balezu vESAradyezu
   pratisamvitsv aṣṭādaśāveṇikeṣu buddhadharmeṣu sthitvā mahataḥ sattvarāśer	pratisamvitsu azwAdaSa AveNikezu budDa Darmezu sTitvA mahataH sattva rASeH 
   mahataḥ sattvanikāyasyāgratā kārayitavyā anupalambhayogena.	mahataH sattva nikAyasya agra tA kArayitavyAH anupalamBa yogena.
   punar aparaṃ subhūte bodhisattvena mahāsattvena prajñāpāramitāyāṃ caratā	punar aparam suBUte boDisattvena mahAsattvena prajQApAramitAyAm caratA
   vajropamasamādhau sthitvā yāvad ākāśāsaṅgavimuktinirupalepasamādhau	vajra upama samADO sTitvA yAvat AkASa AsaFga vimukti nirupalepa samADO
   sthitvā mahataḥ sattvarāśer mahataḥ sattvanikāyasyāgratā kārayitavyā	sTitvA mahataH sattva rASeH mahataH sattva nikAyasya agra tA kArayitavyA
   anupalambhayogena, eteṣu subhūte dharmeṣu sthitvā bodhisattena	anupalamBa yogena, etezu suBUte Darmezu sTitvA boDisattena
   mahāsattvena prajñāpāramitāyāṃ caratā mahataḥ sattvarāśer mahataḥ	mahAsattvena prajQApAramitAyAm caratA mahataH sattva rASeH mahataH
   sattvanikāyasyāgratā kārayitavyā, tenocyate bodhisattvo mahāsattvaḥ.	sattva nikAyasya agra tA kArayitavyA, tena ucyate boDisattvaH mahAsattvaH.
   iti sarvasattvāgratācittamahattvam	iti sarva sattva agra tA citta mahat tvam
   atha khalv āyuṣmān śāriputro bhagavantam etad avocat: mamāpi bhagavan	aTa Kalu AyuzmAn SAriputraH Bagavantam etat avocat: mama api Bagavan
   pratibhāti yenārthena bodhisattvo mahāsattva ity ucyate.	pratiBAti yena arTena boDisattvaH mahAsattvaH iti ucyate.
   bhagavān āha: pratibhātu te śāriputra yenārthena bodhisattvo mahāsattva	BagavAn Aha: pratiBAtu te SAriputra yena arTena boDisattvaH mahAsattva
   ity ucyate.	iti ucyate.
   śāriputra āha: ātmadṛṣṭer bhagavan sattvadṛṣṭer jīvadṛṣṭer jantudṛṣṭer	SAriputraH Aha: Atma dRzweH Bagavan sattva dRzweH jIva dRzweH jantu dRzweH 
   poṣapuruṣapudgalamanujamānavakārakavedakajānakapaśyakadṛṣṭer (PvsP1 2: 31)	poza puruza pudgalam anujamAnavakAraka vedaka jAnaka paSyaka dRzweH (PvsP1 2: 31)
   cchedadṛṣṭeḥ śāśvatadṛṣṭer astidṛṣṭer nāstidṛṣṭeḥ skandhadṛṣṭer	cCeda dRzweH SASvata dRzweH asti dRzweH nAsti dRzweH skanDa dRzweH 
   dhātudṛṣṭer āyatanadṛṣṭeḥ pratītyasamutpādadṛṣṭer bodhipakṣadharmadṛṣṭer	DAtu dRzweH Ayatana dRzweH pratItyasamutpAda dRzweH boDi pakza Darma dRzweH 
   balavaiśāradyadṛṣṭer āveṇikabuddhadharmadṛṣṭeḥ sattvaparipācanadṛṣṭer	bala vESAradya dRzweH AveNika budDa Darma dRzweH sattva paripAcana dRzweH 
   buddhakṣetrapariśodhanadṛṣṭer bodhisattvadṛṣṭer buddhadṛṣṭer	budDa kzetra pariSoDana dRzweH boDisattva dRzweH budDa dRzweH 
   dharmacakrapravartanadṛṣṭer iti, āsāṃ sarvāsāṃ dṛṣṭīnāṃ prahāṇāya dharmaṃ	Darma cakra pravartana dRzweH iti, AsAm sarvAsAm dRzwInAm prahANAya Darmam
   deśayaty anupalambhayogena, tenārthena bodhisattvo mahāsattva ity ucyate.	deSayati anupalamBa yogena, tena arTena boDisattvaH mahAsattvaH iti ucyate.
   subhūtir āha: kena kāraṇenāyuṣman śāriputra bodhisattvasya mahāsattvasya	suBUtiH Aha: kena kAraNena Ayuzman SAriputra boDisattvasya mahAsattvasya
   rūpadṛṣṭir bhavati, vedanāsaṃjñāsaṃskāravijñānadṛṣṭir bhavati?	rUpa dRzwiH Bavati, vedanA saMjQA saMskAra vijQAna dRzwiH Bavati?
   śāriputra āha: ihāyuṣman subhūte bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ	SAriputraH Aha: iha Ayuzman suBUte boDisattvaH mahAsattvaH prajQApAramitAyAm
   carann anupāyakuśalo bhavati, sa rūpam upalabhya dṛṣṭim utpādayaty	caran anupAya kuSalaH Bavati, sa rUpam upalaBya dRzwim utpAdayati 
   upalambhayogena, evaṃ vistareṇa vyastasamastaṃ	upalamBa yogena, evam vistareNa vyasta samastam
   skandhadhātvāyatanapratītyasamutpādaṃ yāvaj	skanDa DAtu Ayatana pratItyasamutpAdam yAvat 
   jarāmaraṇaśokaparidevaduḥkhadaurmanasyopāyāsān upalabhya dṛṣṭim utpādayaty	jarA maraNa Soka parideva duHKa dOrmanasya upAyAsAn upalaBya dRzwim utpAdayati 
   upalambhayogena, evaṃ	upalamBa yogena, evam
   smṛtyupasthānasamyakprahāṇarddhipādendriyabalabodhyaṅgamārgapāramitābhijñākṣarāpramāṇadhyānārūpyasamāpattīr	smRti upasTAna samyak prahANa RdDi pAda indriya bala boDi aFga mArga pAramitA aBijQA akzarA pramANa DyAna ArUpya samApattIH 
   upalabhya dṛṣṭim utpādayaty upalambhayogena, evaṃ	upalaBya dRzwim utpAdayati upalamBa yogena, evam
   daśabalavaiśāradyapratisaṃvidaṣṭādaśāveṇikān buddhadharmān upalabhya	daSa bala vESAradya pratisaMvid azwAdaSa AveNikAn budDa DarmAn upalaBya
   dṛṣṭim utpādayaty upalambhayogena.	dRzwim utpAdayati upalamBa yogena.
   iti prahāṇamahattvam	iti prahANa mahat tvam
   atha khalv āyuṣmān subhūtir bhagavantam etad avocat: mamāpi bhagavan	aTa Kalu AyuzmAn suBUtiH Bagavantam etat avocat: mama api Bagavan
   pratibhāti yenārthena bodhisattvo mahāsattva ity ucyate.	pratiBAti yena arTena boDisattvaH mahAsattvaH iti ucyate.
   bhagavān āha: pratibhātu te subhūte.	BagavAn Aha: pratiBAtu te suBUte.
   subhūtir āha: yad api bhagavan bodhicittam asamasamacittam	suBUtiH Aha: yat api Bagavan boDi cittam asamasama cittam
   asādhāraṇacittaṃ sarvaśrāvakapratyekabuddhaiḥ tatrāpi citte 'saktaḥ. tat	asADAraNa cittam sarva SrAvaka pratyekabudDEH tatra api citte asaktaH. tat 
   kasya hetoḥ? tathā hi tat sarvajñatācittam anāsravam aparyāpannaṃ	kasya hetoH? taTA hi tat sarvajQa tA cittam anAsravam aparyApannam
   traidhātuke tatrāpi citte 'saktas tena bodhisattvo mahāsattva iti saṃkhyāṃ	trEDAtuke tatra api citte asaktaH tena boDisattvaH mahAsattvaH iti saMKyAm
   gacchati.	gacCati.
   śāriputra āha: katamad āyuṣman subhūte bodhisattvasya mahāsattvasya	SAriputraH Aha: katamat Ayuzman suBUte boDisattvasya mahAsattvasya
   asamasamacittam asādhāraṇacittaṃ sarvaśrāvakapratyekabuddhaiḥ?	asama sama cittam asADAraNa cittam sarva SrAvaka pratyekabudDEH?
   (PvsP1 2: 32)	(Pu sP1 2: 32)
   subhūtir āha: ihāyuṣman śāriputra bodhisattvo mahāsattvaḥ	suBUtiH Aha: iha Ayuzman SAriputra boDisattvaH mahAsattvaH
   prathamacittotpādam upādāya na kasyacid dharmasya utpādaṃ vā nirodhaṃ vā	praTama citta utpAdam upAdAya na kasyacid Darmasya utpAdam vA niroDam vA
   samanupaśyati, na hāniṃ na vṛddhiṃ nāgatiṃ na gatiṃ na saṃkleśaṃ na	samanupaSyati, na hAnim na vRdDim na Agatim na gatim na saMkleSam na
   vyavadānaṃ yatra cāyuṣman śāriputra na saṃkleśo na vyavadānaṃ na gatir	vyavadAnam yatra ca Ayuzman SAriputra na saMkleSaH na vyavadAnam na gatiH 
   nāgatir na hānir na vṛddhir notpādo na nirodhaḥ, tac ca na śrāvakacittaṃ	na agatiH na hAniH na vRdDiH na utpAdaH na niroDaH, tat ca na SrAvaka cittam
   na pratyekabuddhacittam, idaṃ śāriputra bodhisattvasya mahāsattvasya	na pratyekabudDa cittam, idam SAriputra boDisattvasya mahAsattvasya
   asamasamacittam asādhāraṇacittaṃ sarvaśrāvakapratyekabuddhaiḥ.	asama sama cittam asADAraNa cittam sarva SrAvaka pratyekabudDEH.
   śāriputra āha: yad āyuṣmān subhūtir evam āha, tatrāpi	SAriputraH Aha: yat AyuzmAn suBUtiH evam Aha, tatra api
   śrāvakapratyekabuddhacitte 'sakta iti, nanv āyuṣman subhūte rūpam apy	SrAvaka pratyekabudDa citte asaktaH iti, nanu Ayuzman suBUte rUpam api 
   asaktaṃ prakṛtiśūnyatām upādāya, vedanā saṃjñā saṃskārā vijñānam apy	asaktam prakRti SUnyatAm upAdAya, vedanA saMjQA saMskArAH vijQAnam api 
   asaktam.	asaktam.
   subhūtir āha: evam etad āyuṣman śāriputra rūpam apy asaktaṃ vedanā saṃjñā	suBUtiH Aha: evam etat Ayuzman SAriputra rUpam api asaktam vedanA saMjQA
   saṃskārā vijñānam apy asaktaṃ, yāvad vyastasamastāḥ	saMskArAH vijQAnam api asaktan, yAvat vyasta samastAH
   skandhadhātvāyatanapratītyasamutpādā yāvaj jarāmaraṇam apy asaktaṃ, evam	skanDa DAtu Ayatana pratItyasamutpAdAH yAvat jarA maraNam api asaktan, evam
   apramāṇadhyānārūpyasamāpattayo 'py asaktāḥ, yāvat saptatriṃśad bodhipakṣā	apramANa DyAna ArUpya samApattayaH api asaktAH, yAvat saptatriMSat boDi pakzA
   dharmā balāni vaiśāradyāni pratisaṃvido 'ṣṭādaśāveṇikā buddhadharmā apy	DarmAH balAni vESAradyAni pratisaMvidaH azwAdaSa AveNikAH budDa DarmAH api 
   asaktāḥ.	asaktAH.
   śāriputra āha: yad apy āyuṣmān subhūtir idam āha, yad api tat	SAriputraH Aha: yat api AyuzmAn suBUtiH idam Aha, yat api tat 
   sarvajñatācittam anāsravam aparyāpannam iti, nanv āyuṣman subhūte	sarvajQa tA cittam anAsravam aparyApannam iti, nanu Ayuzman suBUte
   bālapṛthagjanānām api cittam anāsravam aparyāpannaṃ prakṛtiśūnyatām	bAla pRTagjanAnAm api cittam anAsravam aparyApannam prakRti SUnyatAm
   upādāya, nanu sarvaśrāvakapratyekabuddhasamyaksaṃbuddhānām api cittam	upAdAya, nanu sarva SrAvaka pratyekabudDa samyaksaMbudDAnAm api cittam
   anāsravam aparyāpannaṃ prakṛtiśūnyatām upādāya.	anAsravam aparyApannam prakRti SUnyatAm upAdAya.
   subhūtir āha: evam etad āyuṣman śāriputra.	suBUtiH Aha: evam etat Ayuzman SAriputra.
   śāriputra āha: rūpam api subhūte anāsravam aparyāpannaṃ prakṛtiśūnyatām	SAriputraH Aha: rUpam api suBUte anAsravam aparyApannam prakRti SUnyatAm
   upādāya, vedanā saṃjñā saṃskārā vijñānam apy āyuṣman subhūte anāsravam	upAdAya, vedanA saMjQA saMskArAH vijQAnam api Ayuzman suBUte anAsravam
   aparyāpannaṃ prakṛtiśūnyatām upādāya, nanv āyuṣman subhūte saptatriṃśad	aparyApannam prakRti SUnyatAm upAdAya, nanu Ayuzman suBUte saptatriMSat 
   bodhipakṣā dharmā daśa tathāgatabalāni catvāri vaiśāradyāni catasraḥ	boDi pakzAH DarmAH daSa taTAgata balAni catvAri vESAradyAni catasraH
   pratisaṃvido 'ṣṭādaśāveṇikā buddhadharmā anāsravā aparyāpannāḥ	pratisaMvidaH azwAdaSa AveNikAH budDa DarmAH anAsravAH aparyApannAH
   prakṛtiśūnyatām upādāya.	prakRti SUnyatAm upAdAya.
   subhūtir āha: evam etad āyuṣman śāriputra yathā vadasi bālapṛthagjanānām	suBUtiH Aha: evam etat Ayuzman SAriputra yaTA vadasi bAla pRTagjanAnAm
   api cittam anāsravam aparyāpannaṃ prakṛtiśūnyatām (PvsP1 2: 33) upādāya,	api cittam anAsravam aparyApannam prakRti SUnyatAm (Pu sP1 2: 33) upAdAya,
   yāvat sarvaśrāvakapratyekabuddhasamyaksaṃbuddhānām api cittam anāsravam	yAvat sarva SrAvaka pratyekabudDa samyaksaMbudDAnAm api cittam anAsravam
   aparyāpannaṃ prakṛtiśūnyatām upādāya, yāvat saptatriṃśad bodhipakṣā dharmā	aparyApannam prakRti SUnyatAm upAdAya, yAvat saptatriMSat boDi pakzAH DarmA
   daśa tathāgatabalāni catvāri vaiśāradyāni catasraḥ pratisaṃvido	daSa taTAgata balAni catvAri vESAradyAni catasraH pratisaMvidaH 
   'ṣṭādaśāveṇikā buddhadharmā anāsravā aparyāpannāḥ prakṛtiśūnyatām upādāya.	azwAdaSa AveNikAH budDa DarmAH anAsravAH aparyApannAH prakRti SUnyatAm upAdAya.
   śāriputra āha: yad api tad āyuṣmān subhūtir evam āha, acittatvāt tatrāpi	SAriputraH Aha: yat api tat AyuzmAn suBUtiH evam Aha, acitta tvAt tatra api
   citte asakta iti, nanv āyuṣman subhūte 'rūpe 'pi rūpam asaktam avedanāyām	citte asaktaH iti, nanu Ayuzman suBUte arUpe api rUpam asaktam avedanAyAm
   api vedanā asaktāsaṃjñāyām api saṃjñā asaktāsaṃskāreṣv api saṃskārā	api vedanA asaktA saMjQAyAm api saMjQA asakta asaMskArezu api saMskArA
   asaktāvijñāne 'pi vijñānam asaktam.	asakta avijQAne api vijQAnam asaktam.
   subhūtir āha: evam etad āyuṣman śāriputra.	suBUtiH Aha: evam etat Ayuzman SAriputra.
   śāriputra āha: nanv āyuṣman subhūte 'smṛtyupasthāneṣv api smṛtyupasthānāny	SAriputraH Aha: nanu Ayuzman suBUte asmRti upasTAnezu api smRti upasTAnAni 
   asaktāni, evaṃ	asaktAni, evam
   samyakprahāṇarddhipādendriyabalabodhyaṅgamārgapāramitāpramāṇadhyānārūpyasamāpattyabhijñābalavaiśāradyāni	samyak prahANa RdDi pAda indriya bala boDi aFga mArga pAramitA pramANa DyAna ArUpya samApatti aBijQA bala vESAradyAni
   yāvad āveṇikabuddhadharmeṣv api āveṇikabuddhadharmā asaktāḥ.	yAvat AveNika budDa Darmezu api AveNika budDa DarmAH asaktAH.
   subhūtir āha: evam etad āyuṣman śāriputra yathā vadasi, rūpe 'py āyuṣman	suBUtiH Aha: evam etat Ayuzman SAriputra yaTA vadasi, rUpe api Ayuzman
   śāriputra rūpam asaktaṃ vedanā saṃjñā saṃskārā vijñāne 'pi vijñānam	SAriputra rUpam asaktam vedanA saMjQA saMskArAH vijQAne api vijQAnam
   asaktam, evaṃ vyastasamastā api skandhadhātava āyatanāni satyāni	asaktam, evam vyasta samastAH api skanDa DAtavaH AyatanAni satyAni
   pratītyasamutpādo 'pramāṇadhyānārūpyasamāpattayaḥ, pāramitā abhijñā	pratItyasamutpAdaH apramANa DyAna ArUpya samApattayaH, pAramitA aBijQA
   bodhipakṣā dharmā balāni vaiśāradyāni pratisaṃvidaḥ, āveṇikeṣu	boDi pakzAH DarmAH balAni vESAradyAni pratisaMvidaH, AveNikezu
   buddhadharmeṣv āveṇikā buddhadharmā asaktāḥ, evaṃ hy āyuṣman śāriputra	budDa Darmezu AveNikAH budDa DarmAH asaktAH, evam hi Ayuzman SAriputra
   bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ caraṃs tenāpi bodhicittena	boDisattvaH mahAsattvaH prajQApAramitAyAm caran tena api boDi cittena
   asamasamacittena sarvaśrāvakapratyekabuddhair asādhāraṇacittena na manyate	asama sama cittena sarva SrAvaka pratyekabudDEH asADAraNa cittena na manyate
   nābhiniviśate sarvadharmānupalambhayogena.	na aBiniviSate sarva Darma anupalamBa yogena.
   ity adhigamamahattvam	iti aDigama mahat tvam
   ity uktaḥ pratipattyuddeśaḥ	iti uktaH pratipatti uddeSaH
   pūrṇo maitrāyaṇīputra āha: mamāpi bhagavan pratibhāti yenārthena	pUrNaH mEtrAyaNI putraH Aha: mama api Bagavan pratiBAti yena arTena
   bodhisattvo mahāsattva ity ucyate.	boDisattvaH mahAsattvaH iti ucyate.
   bhagavān āha: pratibhātu te pūrṇa.	BagavAn Aha: pratiBAtu te pUrNa.
   pūrṇa āha: mahāsannāhasannaddhaḥ sa bhagavan sattvo mahāyānasaṃprasthitaḥ	pUrNaH Aha: mahA sannAhasannadDaH sa Bagavan sattvaH mahAyAna saMprasTitaH
   sa sattvo mahāyānasamārūḍhaḥ sa sattvas tena bhagavan bodhisattvo	sa sattvaH mahAyAna samArUXaH sa sattvaH tena Bagavan boDisattvaH 
   mahāsattva ity ucyate.	mahAsattvaH iti ucyate.
   (PvsP1 2: 34)	(Pu sP1 2: 34)
   śāriputra āha: kiyatā ayuṣman pūrṇa bodhisattvo mahasattvo	SAriputraH Aha: kiyatA ayuzman pUrNa boDisattvaH mahasattvaH 
   mahāsannāhasannaddha ity ucyate?	mahAsannAha sat nadDaH iti ucyate?
   pūrṇa āha: ihāyuṣman śāriputra bodhisattvo mahāsattvo na prādeśikānāṃ	pUrNaH Aha: iha Ayuzman SAriputra boDisattvaH mahAsattvaH na prAdeSikAnAm
   sattvānāṃ kṛtena bodhāya caran dānapāramitāyāṃ sthitvā dānaṃ dadāti, api	sattvAnAm kRtena boDAya caran dAna pAramitAyAm sTitvA dAnam dadAti, api
   tu sarvasattvānāṃ kṛtena dānapāramitāyāṃ sthitvā dānaṃ dadāti, evaṃ	tu sarva sattvAnAm kRtena dAna pAramitAyAm sTitvA dAnam dadAti, evam
   śīlapāramitāyāṃ kṣāntipāramitāyāṃ vīryapāramitāyāṃ dhyānapāramitāyāṃ na	SIla pAramitAyAm kzAnti pAramitAyAm vIrya pAramitAyAm DyAna pAramitAyAm na
   prādeśikānāṃ sattvānāṃ kṛtena bodhāya caran prajñāpāramitāyāṃ sthitvā	prAdeSikAnAm sattvAnAm kRtena boDAya caran prajQApAramitAyAm sTitvA
   prajñāpāramitāṃ bhāvayati, api tu sarvasattvānāṃ kṛtena prajñāpāramitāyāṃ	prajQApAramitAm BAvayati, api tu sarva sattvAnAm kRtena prajQApAramitAyAm
   sthitvā prajñāpāramitāṃ bhāvayati, na sattvaparicchedena bodhisattvo	sTitvA prajQApAramitAm BAvayati, na sattva paricCedena boDisattvaH 
   mahāsattvo mahāsannāhaṃ saṃnahyate, iyataḥ sattvān parinirvāpayiṣyāmi,	mahAsattvaH mahAsanna aham saMnahyate, iyataH sattvAn parinirvApayizyAmi,
   iyataḥ sattvān na parinirvāpayiṣyāmīti, iyataḥ sattvān bodhāya	iyataH sattvAt na parinirvApayizyAmi iti, iyataH sattvAn boDAya
   pratiṣṭhāpayiṣyāmi, iyataḥ sattvān bodhāya na pratiṣṭhāpayiṣyāmīti, api tu	pratizWApayizyAmi, iyataH sattvAn boDAya na pratizWApayizyAmi iti, api tu
   khalu punaḥ sarvasattvānāṃ kṛtena sannāhaṃ saṃnahyate, evaṃ cāsya bhavati,	Kalu punar sarva sattvAnAm kRtena sanna aham saMnahyate, evam ca asya Bavati,
   ātmanā ca dānapāramitāṃ paripūrayiṣyāmi sarvasattvāṃś ca dānapāramitāyāṃ	AtmanA ca dAna pAramitAm paripUrayizyAmi sarva sattvAn ca dAna pAramitAyAm
   niyojayiṣyāmīti, evaṃ śīlapāramitāyāṃ kṣāntipāramitāyāṃ vīryapāramitāyāṃ	niyojayizyAmi iti, evam SIla pAramitAyAm kzAnti pAramitAyAm vIrya pAramitAyAm
   dhyānapāramitāyāṃ, ātmanā ca prajñāpāramitāṃ paripūrayiṣyāmi,	DyAna pAramitAyAn AtmanA ca prajQApAramitAm paripUrayizyAmi,
   sarvasattvāṃś ca prajñāpāramitāyāṃ niyojayiṣyāmīti, evam	sarva sattvAn ca prajQApAramitAyAm niyojayizyAmi iti, evam
   apramāṇadhyānārūpyasamāpattīḥ, ātmanā ca bhāvayiṣyāmi sarvasattvāṃś ca	apramANa DyAna ArUpya samApattIH, AtmanA ca BAvayizyAmi sarva sattvAn ca
   tāsu pratiṣṭhāpayiṣyāmīti, yāvat saptatriṃśad bodhipakṣeṣu dharmeṣu	tAsu pratizWApayizyAmi iti, yAvat saptatriMSat boDi pakzezu Darmezu
   daśabalavaiśāradyāṣṭādaśāveṇikeṣu buddhadharmeṣv ātmanā ca sthāsyāmi	daSa bala vESAradya azwAdaSa AveNikezu budDa Darmezu AtmanA ca sTAsyAmi
   sarvasattvāṃś ca teṣu pratiṣṭhāpayiṣyāmīti, iyatāyuṣman śāriputra	sarva sattvAn ca tezu pratizWApayizyAmi iti, iyatA Ayuzman SAriputra
   bodhisattvo mahāsattvo mahāsannāhasannaddha ity ucyate.	boDisattvaH mahAsattvaH mahAsannAha sat nadDaH iti ucyate.
   iti pratipattisvarūpam	iti pratipatti svarUpam
   punar aparaṃ śāriputra bodhisattvasya mahāsattvasya prajñāpāramitāyāṃ	punar aparam SAriputra boDisattvasya mahAsattvasya prajQApAramitAyAm
   carato dānaṃ dadataḥ sarvākārajñatāpratisaṃyuktair manasikārair yāvad	carataH dAnam dadataH sarva AkAra jQa tA pratisaMyuktEH manasikArEH yAvat 
   dānasya sarvasattvasādhāraṇaṃ kṛtvānuttarāyai samyaksaṃbodhaye niryātanā,	dAnasya sarva sattva sADAraNam kRtvA anuttarAyE samyaksaMboDaye niryAtanA,
   ayaṃ bodhisattvasya mahāsattvasya prajñāpāramitāyāṃ carato dānaṃ dadato	ayam boDisattvasya mahAsattvasya prajQApAramitAyAm carataH dAnam dadataH 
   dānapāramitāsannāhaḥ.	dAna pAramitA AsannAhaH.
   punar aparaṃ śāriputra bodhisattvasya mahāsattvasya prajñāpāramitāyāṃ	punar aparam SAriputra boDisattvasya mahAsattvasya prajQApAramitAyAm
   carato dānaṃ dadataḥ sarvākārajñatāpratisaṃyuktair manasikārair yā	carataH dAnam dadataH sarva AkAra jQa tA pratisaMyuktEH manasikArEH yA
   śrāvakapratyekabuddhamanasikārāṇāṃ parivarjanatā, ayaṃ bodhisattvasya	SrAvaka pratyekabudDa manasikArANAm parivarjana tA, ayam boDisattvasya
   mahāsattvasya prajñāpāramitāyāṃ carato dānaṃ (PvsP1 2: 35) dadataḥ	mahAsattvasya prajQApAramitAyAm carataH dAnam (PvsP1 2: 35) dadataH
   śīlapāramitāsannāhaḥ.	SIla pAramitA AsannAhaH.
   punar aparaṃ śāriputra bodhisattvasya mahāsattvasya prajñāpāramitāyāṃ	punar aparam SAriputra boDisattvasya mahAsattvasya prajQApAramitAyAm
   carato dānaṃ dadataḥ sarvākārajñatāpratisaṃyuktair manasikārair yā teṣāṃ	carataH dAnam dadataH sarva AkAra jQa tA pratisaMyuktEH manasikArEH yA tezAm
   kṣamaṇā rocanā vyupaparīkṣaṇā, ayam ucyate bodhisattvasya mahāsattvasya	kzamaNA rocanA vyupaparIkzaNA, ayam ucyate boDisattvasya mahAsattvasya
   prajñāpāramitāyāṃ carato kṣāntipāramitāsannāhaḥ.	prajQApAramitAyAm carataH kzAnti pAramitA AsannAhaH.
   punar aparaṃ śāriputra bodhisattvasya mahāsattvasya prajñāpāramitāyāñ	punar aparam SAriputra boDisattvasya mahAsattvasya prajQApAramitAyAn 
   carato dānaṃ dadataḥ sarvākārajñatāpratisaṃyuktair manasikārair yā	carataH dAnam dadataH sarva AkAra jQa tA pratisaMyuktEH manasikArEH yA
   vīryāsraṃsanatā tat kuśalamūlaṃ sarvasattvasādhāraṇaṃ kṛtvā anuttarāyai	vIrya AsraMsana tA tat kuSala mUlam sarva sattva sADAraNam kRtvA anuttarAyE
   samyaksaṃbodhaye pariṇāmayati, ayaṃ bodhisattvasya mahāsattvasya	samyaksaMboDaye pariNAmayati, ayam boDisattvasya mahAsattvasya
