   Abhinavagupta: Mālinīślokavārttika	ABinava-gupta: MAlinISloka-vArttika
   īśvaro 'tha navā pūrvapakṣe saṃbhava eva ca // 2.189 //	ISvaraH aTa navA pUrva-pakze saMBavaH eva ca // 2.189 //
   nasaṃbhave sa kutrāṃśe caiśvaryam adhigacchatu	na-saMBave sa kutra-aMSe ca-ESvaryam aDigacCatu
   karmataḥ sarvam evedaṃ syāt sṛṣṭipralayādikam // 2.190 //	karmataH sarvam eva-idam syAt sRzwi-pralaya-Adikam // 2.190 //
   atha karmānapekṣo vā karmaṇāṃ rodhanaṃ tataḥ	aTa karma-anapekzaH vA karmaNAm roDanam tatas-
   sadā niruddhāny eveśaḥ karmāṇi kurutāṃ vibhuḥ // 2.191 //	sadA nirudDAni eva-ISaH karmANi kurutAm viBuH // 2.191 //
   nanu teṣāṃ svabhāvo 'yaṃ yadbhogaprasavātmatā	nanu tezAm svaBAvaH ayam yat-Boga-prasava-Atma-tA
   kathaṃ svabhāva eṣa syād yaḥ paropādhitāṃ gataḥ // 2.192 //	kaTam svaBAvaH eza syAt yaH para-upADitAm gataH // 2.192 //
   anapekṣo hi bhāvānāṃ svabhāvaḥ karmaṇāṃ tataḥ	anapekzaH hi BAvAnAm svaBAvaH karmaNAm tatas-
   īśaiṣaṇānapekṣāṇāṃ yadrūpaṃ tatsvakaṃ vapuḥ // 2.193 //	ISEzaNa-anapekzANAm yat-rUpam tat-svakam vapuH // 2.193 //
   kiṃ ca pralayalīnāni karmāṇi sthitibhāñjy api	kim ca pralaya-lInAni karmANi sTiti-BAQji api
   kiṃ prabodhayate devaḥ kiṃ nu dṛ[sṛ]ṣṭair hi taiḥ kṛtam // 2.194 //	kim praboDayate devaH kim nu dR[sR]zwEH hi tEH kRtam // 2.194 //
   malapākāya cet so 'pi sudūram apasāritaḥ	mala-pAkAya ced saH api su-dUram apasAritaH
   kiṃ cātmā vibhur evaiṣa sa kiṃ nāma karoti hi // 2.195 //	kim ca-AtmA viBuH eva-eza sa kim nAma karoti hi // 2.195 //
   iti pūrvaṃ vicāraś ca vistareṇa prapañcitaḥ	iti pUrvam vicAraH ca vistareNa prapaQcitaH
   mṛddaṇḍacakrasūtreṣu dhīmān karteśvaraḥ sthitaḥ // 2.196 //	mRd-daNxa-cakra-sUtrezu DImAn karteSvaraH sTitaH // 2.196 //
   kumbhakārasya kartṛtvaṃ kutrāṃśe nv avatiṣṭhatām	kumBakArasya kartR-tvam kutra-aMSe nu avatizWatAm
   akṛṣṭapacyabījeṣu prarohaprasavādike // 2.197 //	akRzwa-pacya-bIjezu praroha-prasava-Adike // 2.197 //
   pūrvaṃ karotu hetutvaṃ na sasyeṣv iti ko nayaḥ	pUrvam karotu hetu-tvam na sasyezu iti kaH nayaH
   idaṃ duṣkṛtam etac ca sukṛtaṃ phalabhedataḥ // 2.198 //	idam duzkRtam etat ca sukRtam Pala-BedataH // 2.198 //
   iti yat pravibhaktaṃ kiṃ tatrāsyecchaiva jṛmbhate	iti yat praviBaktam kim tatra-asya-icCA-eva jRmBate
   svatantro yady asau kasmāt parapīḍākārīṃ nijām // 2.199 //	svatantraH yadi asO kasmAt para-pIxA-kArIm nijAm // 2.199 //
   icchāṃ gṛhṇāti yo nityaṃ karuṇārasanirbharaḥ	icCAm gRhNAti yaH nityam karuNA-rasa-nirBaraH
   nanu svabhāvāttattādṛk karmātaḥ phaladāyakam // 2.200 //	nanu svaBAvAt-tat-tAdRS karma-ataH Pala-dAyakam // 2.200 //
   prāyaścittādikaraṇāc chāmyec ceti vicārayan	prAyaScitta-Adi-karaNAt SAmyet ca-iti vicArayan
   devas tathaiva tanute śāstraṃ citropadeśakam // 2.201 //	devaH taTA-eva tanute SAstram citra-upadeSakam // 2.201 //
   śaivaṃ, svabhāva edādṛk karmaṇām iti ko nayaḥ	SEvaM, svaBAvaH edAdRS karmaNAm iti kaH nayaH
   bījam aṅkurasaṃsūtisvabhāvam iti mādṛśaḥ // 2.202 //	bIjam aFkura-saMsUti-svaBAvam iti mAdRSaH // 2.202 //
   pūrvavṛddhavyavahṛter vijñātuṃ prabhaviṣṇavaḥ	pUrva-vRdDa-vyavahRteH vijQAtum praBavizNavaH
   īśvaras tu nijecchayā vinā na hi kadācana // 2.203 //	ISvaraH tu nija-icCayA vinA na hi kadAcana // 2.203 //
   avalokitavān karmaphalavaicitryacāturīm	avalokitavAn karma-Pala-vEcitrya-cAturIm
   tasmād devaḥ sarvakartā yadi syāt	tasmAt devaH sarva-kartA yadi syAt-
   kartāraḥ syur nātmavargāḥ kathaṃcid	kartAraH syuH na-Atma-vargAH kaTaMcid-
   no kartāras te 'pi cet karmavandhyān	no kartAraH te api ced karma-vanDyAn
   uddiśyainān sarvakartā na devaḥ // 2.204 //	uddiSya-enAn sarva-kartA na devaH // 2.204 //
   itthaṃ ca bhedadṛṣṭyedaṃ karma nāma na mu[yu]ktimat	itTam ca Beda-dRzwyA-idam karma nAma na mu[yu]ktimat-
   etāvān atra saṃkṣopo vyāso 'nyatra tu darśitaḥ // 2.205 //	etAvAn atra saMkzopaH vyAsaH anyatra tu darSitaH // 2.205 //
   saṃvedanātmako deva ekas tasmāt svataḥ khalu	saMvedana-AtmakaH devaH ekaH tasmAt svatas Kalu
   sarvakartā sa vaicitryāt karmayogīti bhaṇyate // 2.206 //	sarva-kartA sa vEcitryAt karma-yogI-iti BaNyate // 2.206 //
   māyā ca nāma viśvasya yā kāraṇam iti sthitā	mAyA ca nAma viSvasya yA kAraNam iti sTitA
   sā dharaṇyantatattvāṃśagarbhā nityā yadi sphuṭam // 2.207 //	sA DaraNI-anta-tattva-aMSa-garBAH nityAH yadi sPuwam // 2.207 //
   pralayo na kadācit syān nanu sa vyaktibhāvataḥ	pralayaH na kadAcid syAt nanu sa vyakti-BAvataH
   vyaktiṃ nāma na jānīmo vijñānaṃ grāhyatā yataḥ // 2.208 //	vyaktim nAma na jAnImaH vijQAnam grAhyatA yatas // 2.208 //
   tadīśvaraparajñānagrāhyatāsti sadātanī	tad-ISvara-para-jQAna-grAhya-tA-asti sa-dAtanI
   tasyām avidyamānāyām īśvaraḥ kāraṇaṃ kutaḥ // 2.209 //	tasyAm avidyamAnAyAm ISvaraH kAraNam kutas // 2.209 //
   sphuṭaṃ prakurute kumbhaṃ tadvad īśe bhaviṣyati	sPuwam prakurute kumBam tadvat ISe Bavizyati
   maivam antarbahīrūpakaraṇapravibhedataḥ // 2.210 //	mA-evam antar-bahIrUpa-karaNa-praviBedataH // 2.210 //
   sphuṭāsphuṭādivijñānaṃ yuktaṃ kumbhakṛti sphuṭam	sPuwa-asPuwa-Adi-vijQAnam yuktam kumBakRti sPuwam
   īśvarasya sphuṭodārapūrvavijñānaśālinaḥ // 2.211 //	ISvarasya sPuwa-udAra-pUrva-vijQAna-SAlinaH // 2.211 //
   ko na jñāto bhaved bhāgo yatrāpi vyaktyapekṣitā	kaH na jQAtaH Bavet BAgaH yatra-api vyakti-apekzitA
   satkāryavādināṃ deśe kāraṇe 'pi sphuṭaṃ sthitam // 2.212 //	satkArya-vAdinAm deSe kAraNe api sPuwam sTitam // 2.212 //
   viśvam ityapi māyāyāṃ sphuṭaṃ syād asamañjasam	viSvam iti-api mAyAyAm sPuwam syAt asamaQjasam
   vyāpakāś ca śivātmānas tattvaiḥ sākaṃ parasparam // 2.213 //	vyApakAH ca Siva-AtmAnaH tattvEH sAkam parasparam // 2.213 //
   kathaṃ ca nāma vidyantāṃ vyāpakatvatirohiteḥ	kaTam ca nAma vidyantAm vyApaka-tva-tirohiteH
   vikāsaḥ paramo vyāptiḥ saṃvido bheda ucyate // 2.214 //	vikAsaH paramaH vyAptiH saMvidaH BedaH ucyate // 2.214 //
   māyīyaṃ kañcukavrātaṃ yathā karaṇasaṃcayaḥ	mAyIyam kaQcuka-vrAtam yaTA karaNa-saMcayaH
   vicāritaḥ pūrvam eva kāryavargaś ca carcitaḥ // 2.215 //	vicAritaH pUrvam eva kArya-vargaH ca carcitaH // 2.215 //
   yāvac chivapadādhyāsavandhyaṃ viśvaṃ na visphuret	yAvat Siva-pada-aDyAsa-vanDyam viSvam na visPuret-
   tatsvātantryakathāmātram etad ity avadhāryatām // 2.216 //	tad-svAtantrya-kaTA-mAtram etat iti avaDAryatAm // 2.216 //
   evaṃ malādyabhāve hi kā dīkṣā ko hi dīkṣakaḥ	evam mala-Adi-aBAve hi kA dIkzA kaH hi dIkzakaH
   dīkṣāpātraṃ ca ko vā syād iti kiṃcin na yujyate // 2.217 //	dIkzA-pAtram ca kaH vA syAt iti kiMcid na yujyate // 2.217 //
   śiṣye 'dhvany anale kumbhe maṇḍale srukkarādike	Sizye aDvani anale kumBe maNxale sruc-kara-Adike
   samastādhvakṛto nyāsaḥ kathaṃ vāpy upapadyatām // 2.218 //	samasta-aDva-kRtaH nyAsaH kaTam vA-api upapadyatAm // 2.218 //
   nahi tāvanta eva syur nanu saṃkalpanāvaśāt	na-hi tAvantaH eva syuH nanu saMkalpanA-vaSAt-
   śodhyaśodhakabhāvo 'yaṃ sarva evodito nanu // 2.219 //	SoDya-SoDaka-BAvaH ayam sarve eva-uditaH nanu // 2.219 //
   kalpitaṃ cet phalet satyaṃ manorājyārjitaśriyaḥ	kalpitam ced Palet satyam manoH-Ajya-arjita-SriyaH
   jayanti nākasāmrājyalābhaviśrāntiyogataḥ // 2.220 //	jayanti nAka-sAmrAjya-lABa-viSrAnti-yogataH // 2.220 //
   kiṃ nāma balavadrūpasaṃkalpapathavartinaḥ	kim nAma balavat-rUpa-saMkalpa-paTa-vartinaH
   phalanti na tathā bhāvā dhyānādiviṣanāśavat // 2.221 //	Palanti na taTA BAvAH DyAna-Adi-viza-nASa-vat // 2.221 //
   saṃkalpadārḍhyam ity eva dhyānaṃ saṃśayarūṣitam	saMkalpa-dArXyam iti eva DyAnam saMSaya-rUzitam
   dhyānaṃ ca na phaled eva svayaṃ pakṣadvayāgrahāt // 2.222 //	DyAnam ca na Palet eva svayam pakza-dvaya-agrahAt // 2.222 //
   hanta saṃkalpanāyogād yadi jāyeta tatphalam	hanta saMkalpanA-yogAt yadi jAyeta tad-Palam
   kim asaṃvinmayān bhāvān bāhyān kāṃścit abhīpsasi // 2.223 //	kim asaMvid-mayAn BAvAn bAhyAn kAMScid aBIpsasi // 2.223 //
   saṃkalpenaiva saṃskāraḥ kuṇḍāgniguruśiṣyagaḥ	saMkalpena-eva saMskAraH kuNxa-agni-guru-Sizya-gaH
   sa eva ca phalābhāsī tatsaṃvid avaśiṣyate // 2.224 //	saH eva ca Pala-ABAsI tad-saMvid avaSizyate // 2.224 //
   saṃvidaś ca svatantrāyās tathārūpāvabhāsanam	saMvidaH ca svatantrAyAH taTArUpa-avaBAsanam
   dīkṣeti kila mantavyaṃ muñcyante jantavo yayā // 2.225 //	dIkzA-iti kila mantavyam muQcyante jantavaH yayA // 2.225 //
   ata eva tilājyādeḥ svarūpe grahaṇe mitau	atas eva tila-Ajya-AdeH svarUpe grahaNe mitO
   kramo vā niyamo neha kaścic chāstre nirūpitaḥ // 2.226 //	kramaH vA niyamaH na-iha kaScid SAstre nirUpitaH // 2.226 //
   nanu mantreṣu kiṃ nāma niyamaḥ sarvavarṇabhāk	nanu mantrezu kim nAma niyamaH sarva-varNa-BAj-
   rūpaṃ paraṃ hi kathitaṃ dīkṣāpi na tathā katham // 2.227 //	rUpam param hi kaTitam dIkzA-api na taTA kaTam // 2.227 //
   evam evārṇadāhasya yadbhavatsaṃmataṃ hitam	evam eva-arNa-dAhasya yat-Bavat-saMmatam hitam
   kiṃ tu tāvati ye rūḍhiṃ na prāptās tān prati dhruvam // 2.228 //	kim tu tAvati ye rUXim na prAptAH tAn prati Druvam // 2.228 //
   māntro 'yaṃ niyamaḥ prokta upayogaṃ ca gacchati	mAntraH ayam niyamaH proktaH upayogam ca gacCati
   pratibuddhā hi te mantrā vimarśapathavartinaḥ // 2.229 //	pratibudDAH hi te mantrAH vimarSa-paTa-vartinaH // 2.229 //
   svatantrasyaiva ciddhāmna svātantryāt kartṛtāmayāḥ	svatantrasya-eva cit-DAmna svAtantryAt kartR-tA-AmayAH
   mantrā viśanty evācāryaṃ taṃ tādātmyaniyogataḥ // 2.230 //	mantrAH viSanti eva-AcAryam tam tAdAtmya-niyogataH // 2.230 //
   svatantrīkurvate yānti karaṇāny api kartṛtām	svatantrIkurvate yAnti karaNAni api kartR-tAm
   itthaṃ dīkṣādividhaye ye 'py anye vidhayo matāḥ // 2.231 //	itTam dIkzA-Adi-viDaye ye api anye viDayaH matAH // 2.231 //
   kiṃ nāma kurvatāṃ kṛtyaṃ niṣedhaṃ tv api vā katham	kim nAma kurvatAm kRtyam nizeDam tu api vA kaTam
   te 'py atraivopapadyante tat sarvaṃ vihitaṃ tv iha // 2.232 //	te api atra-eva-upapadyante tat sarvam vihitam tu iha // 2.232 //
   sarvaṃ caitad amutraiva pratiṣiddhaṃ yataḥ sphuṭam	sarvam ca-etat amutra-eva pratizidDam yatas sPuwam
   pratiṣedhe darśite 'sya kiṃ cādvaitapathāśritaḥ // 2.233 //	pratizeDe darSite asya kim ca-advEta-paTa-ASritaH // 2.233 //
   pratiṣedho 'pi vihitaḥ so 'pi ca pratiṣidhyate	pratizeDaH api vihitaH saH api ca pratiziDyate
   itthaṃ svasaṃvidambhodhiḥ svātmani procchalaty alam // 2.234 //	itTam sva-saMvid-amBoDiH sva-Atmani procCalati alam // 2.234 //
   itthaṃ ca viśvam evedaṃ jagadānandasundaram	itTam ca viSvam eva-idam jagat-Ananda-sundaram
   tadvipakṣaṃ ca bhedāṃśam itthaṃ kṣapayatetarām // 2.235 //	tad-vipakzam ca Beda-aMSam itTam kzapayatA-itarAm // 2.235 //
   parameśamukhodbhūtajñānacandrasya sarvataḥ	parameSa-muKa-udBUta-jQAna-candrasya sarvatas-
   tāvatā svaprabhābhārabhāsvarāḥ sumarīcayaḥ // 2.236 //	tAvatA sva-praBA-BAra-BAsvarAH su-marIcayaH // 2.236 //
   śivacandrāṃśusaṃghātapātamātravilāpitaḥ	Siva-candra-aMSu-saMGAta-pAta-mAtra-vilApitaH
   samastabhāvaśītāṃśukālakūṭo rasāyate // 2.237 //	samasta-BAva-SItAMSu-kAlakUwaH rasAyate // 2.237 //
   tatrāniśaṃ nimajjantas tadrasāpānaghūrṇitāḥ	tatra-aniSam nimajjantaH tad-rasa-apAna-GUrNitAH
   tadrasībhūya tiṣṭhāmaḥ śuddhās tāpatrayojjhitāḥ // 2.238 //	tad-rasIBUya tizWAmaH SudDAH tApa-traya-ujJitAH // 2.238 //
   parameśamukhaṃ tu śaktir uktā bhavatīcchā nanu sodbhavaṃ gatā	parameSa-muKam tu SaktiH uktA Bavati-icCA nanu sodBavam gatA
   pratipadyata īśvarādibhinnasthitivijñānaśaśāṅkaśaktivṛttam // 2.239 //	pratipadyate ISvara-Adi-Binna-sTiti-vijQAna-SaSAFka-Sakti-vRttam // 2.239 //
   śaśinaḥ kila tasya sarvato yaḥ paripūrṇaḥ prasṛto marīcipuñjaḥ	SaSinaH kila tasya sarvatas yaH paripUrNaH prasRtaH marIci-puQjaH
   iyam eva hi sā kriyātmikoktā parameśasya jaganmayī svaśaktiḥ // 2.240 //	iyam eva hi sA kriyA-AtmikA-uktA parameSasya jagat-mayI sva-SaktiH // 2.240 //
   tad idaṃ trikaśaktinirbharaṃ paramaṃ bhairavam eva jṛmbhate	tat idam trika-Sakti-nirBaram paramam BEravam eva jRmBate
   na tu tadvyatireki saṃbhavet svavijṛmbhā vijayo 'sya kīrtitaḥ // 2.241 //	na tu tad-vyatireki saMBavet sva-vijRmBA vijayaH asya kIrtitaH // 2.241 //
   tata eva jagaj jayanty amī sphuṭam arthaḥ prakaṭo 'pi yujyate naḥ	tatas eva jagat jayanti amI sPuwam arTaH prakawaH api yujyate naH
   bahuvācakayoga īdṛśaṃ tat paripūrṇatvam amuṣya vākyabhedam // 2.242 //	bahu-vAcaka-yogaH IdRSam tat paripUrNa-tvam amuzya vAkya-Bedam // 2.242 //
   ity eka eva śloko 'yaṃ cidātmā bhairavaḥ svayam	iti ekaH eva SlokaH ayam cit-AtmA BEravaH svayam
   samastabhāvasaṃdarbhanirbharo vyākṛtaḥ sphuṭam // 2.243 //	samasta-BAva-saMdarBa-nirBaraH vyAkRtaH sPuwam // 2.243 //
   saṃsāragaranāśāya tārkṣyādhiṣṭhitadṛṣṭayaḥ	saMsAra-gara-nASAya tArkzya-aDizWita-dRzwayaH
   viṣam evopayuñjānāḥ prāpnuvanty amṛtīṃ sthitim // 2.244 //	vizam eva-upayuQjAnAH prApnuvanti amRtIm sTitim // 2.244 //
   iti darśitam etāvat svaprakāśasvasaṃvidā	iti darSitam etAvat sva-prakASa-sva-saMvidA
   siddhaṃ tadvyatirekeṇa na kiṃcid eva kalpate // 2.245 //	sidDam tat-vyatirekeNa na kiMcid eva kalpate // 2.245 //
   yāvatsvasaṃvidviśrāntaṃ yat tāvat tat sad eva hi	yAvat-sva-saMvid-viSrAntam yat tAvat tat sat eva hi
   kālāntaravyapekṣe hi satyatvaṃ syān na kutracit // 2.246 //	kAla-antara-vyapekze hi satya-tvam syAt na kutracid // 2.246 //
   saṃvidaḥ kālayogaś ca vistareṇa nivāritaḥ	saMvidaH kAla-yogaH ca vistareNa nivAritaH
   tat svasaṃvid yathā deśaṃ vitared vartate tathā // 2.247 //	tat sva-saMvid yaTA deSam vitaret vartate taTA // 2.247 //
   tathā saṃvidy akṣamayyāṃ nikaṣāśmani ropitam	taTA saMvidi akza-mayyAm nikaza-aSmani ropitam
   na yat tat saṃśayāyaiva śāstre 'py uktam avastu tat // 2.248 //	na yat tat saMSayAya-eva SAstre api uktam avastu tat // 2.248 //
   svasaṃvid anupārohi pralāpān na viśiṣyate	sva-saMvid anupArohi pralApAt na viSizyate
   tac cchāstraṃ prakriyā sā ca yat saṃvidi vivartate // 2.249 //	tat cSAstram prakriyA sA ca yat saMvidi vivartate // 2.249 //
   hṛdayāj jagato jātāḥ sarvasyaite kṣayodayāḥ	hRdayAt jagataH jAtAH sarvasya-ete kzaya-udayAH
   svapnasyeva suṣuptākhyāt svasaṃvicchāstracarcitāḥ // 2.250 //	svapnasya-iva suzupta-AKyAt sva-saMvid-SAstra-carcitAH // 2.250 //
   rūpālokamanaskārasāmagrī saṃhṛtiḥ sthitiḥ	rUpa-Aloka-manaskAra-sAmagrI saMhRtiH sTitiH
   sṛṣṭir nimeṣonmeṣau ca satāṃ saṃkocakalpanam // 2.251 //	sRzwiH nimeza-unmezO ca satAm saMkoca-kalpanam // 2.251 //
   ityādikā mātṛmeyamānarūpā sthitiḥ sadā	iti-AdikA mAtR-meyamAna-rUpA sTitiH sadA
   svasaṃvidaḥ supūrṇāyāḥ prapañcaracanā svayam // 2.252 //	sva-saMvidaH su-pUrNAyAH prapaQca-racanA svayam // 2.252 //
   sarvasarvātmadigdeśakālākārā svayaṃ hi sā	sarva-sarva-Atma-diS-deSa-kAla-AkArA svayam hi sA
   satyamithyātvanirṇītis tata eva hi jāyate // 2.253 //	satya-miTyA-tva-nirNItiH tatas eva hi jAyate // 2.253 //
   ācāryotpaladevo 'pi tadetadupadiṣṭavān	AcArya-utpaladevaH api tat-etat-upadizwavAn
   bahiḥ sadasadātmāpi svasaṃvidi madīyadṛk // 2.254 //	bahis sat-asat-AtmA-api sva-saMvidi madIya-dRS // 2.254 //
   paśyatv iti svatantrasya niyatiḥ sendriyābhidhā	paSyatu iti svatantrasya niyatiH sa-indriya-aBiDA
   saiva rūdhā śivād ā ca krimeḥ svāṃ saṃvidaṃ śritā // 2.255 //	sA-eva rUDA SivAt A ca krimeH svAm saMvidam SritA // 2.255 //
   tad eva deve saṃsāraḥ sa śivaḥ parameīŭvaraḥ	tat eva deve saMsAraH sa SivaH parameIŭvaraH
   tatra viśrāntim āpanno mukta ity abhidhīyate // 2.256 //	tatra viSrAntim ApannaH muktaH iti aBiDIyate // 2.256 //
   etatprasādāj jīvanti brahmādyāḥ sthāvarāntakāḥ	etad-prasAdAt jIvanti brahma-AdyAH sTAvara-antakAH
   aviluptā sadā seyaṃ saṃvittir iti gṛhyatām // 2.257 //	aviluptA sadA sA-iyam saMvittiH iti gRhyatAm // 2.257 //
   vibhānty api hi sā devī na tayā rahitaṃ kvacit	viBAnti api hi sA devI na tayA rahitam kvacid-
   ātmānaṃ sādhayet kvāpi kvāpi dūṣayate kvacit // 2.258 //	AtmAnam sADayet kvApi kvApi dUzayate kvacid // 2.258 //
   anyathaiva sthāpayate na ca yāti vikāritām	anyaTA-eva sTApayate na ca yAti vikAritAm
   sādhandūṣaṇānyatvavandhyāpi parameśvarī // 2.259 //	sADandUzaNa-anyatva-vanDyA-api parameSvarI // 2.259 //
   bhāsate ca tathātvena tat svatantrā sphuṭā hi sā	BAsate ca taTA-tvena tat svatantrA sPuwA hi sA
   śrīmān maheśvaro devaḥ pūrveṣām api yo guruḥ // 2.260 //	SrImAn maheSvaraH devaH pUrvezAm api yaH guruH // 2.260 //
   sa etad eva provāca lokānugrahahetutaḥ	saH etat eva provAca loka-anugraha-hetutaH
   mūḍhāḥ kiṃ niḥsāre vāyasaviraṭitakalpe	mUXAH kim niHsAre vAyasa-virawita-kalpe
   tiṣṭatha vacasi vṛthaivaṃ svāṃ saṃvidam āvarjya	tizwaTa vacasi vRTA-evam svAm saMvidam Avarjya
   saṃviddevatayaiva yad ādiṣṭaṃ nikaṭe 'py atha	saMvid-deva-tayA-eva yat Adizwam nikawe api aTa
   sarva ādriyamāṇās tattaddeśe jīvanmuktā bhavanti // 2.261 //	sarve AdriyamANAH tad-tad-deSe jIvanmuktAH Bavanti // 2.261 //
   tad atra nītau saṃvittir evāsau gurur ucyate	tat atra nItO saMvittiH eva-asO guruH ucyate
   giraty eva yato viśvaṃ sṛṣṭisaṃhṛtiyogataḥ // 2.262 //	girati eva yatas viSvam sRzwi-saMhRti-yogataH // 2.262 //
   tad atra mukhyā yā rūḍhiḥ saṃbandhaḥ para ucyate	tat atra muKyAH yA rUXiH saMbanDaH paraH ucyate
   enayā yad yad ādiṣṭaṃ jñānaṃ sāṃsiddhikaṃ tu tat // 2.263 //	enayA yat yat Adizwam jQAnam sAMsidDikam tu tat // 2.263 //
   yatrāsmadguruvargasya sthitā nityāvasthitiḥ	yatra-asmad-guru-vargasya sTitA nitya-avasTitiH
   traiyambakādisaṃtānabhedo yasmāt pravartate // 2.264 //	trEyambaka-Adi-saMtAna-BedaH yasmAt pravartate // 2.264 //
   yatroktaṃ pūrvam ajñānatādātmyaṃ naśyatītyapi	yatra-uktam pUrvam ajQAna-tAdAtmyam naSyati-iti-api
   svasaṃvidas tu vaicitryaṃ gṛhṇatyā bhāty ayaṃ tataḥ // 2.265 //	sva-saMvidaH tu vEcitryam gRhNatyA BAti ayam tatas // 2.265 //
   antarālamahaddivyādivyādi śāstrasaṃgamaḥ	antarAla-mahat-divya-Adi-vyAdi SAstra-saMgamaH
   tattvavannijavāgaṃśūn guror ātmavinirmitān // 2.266 //	tattva-vat-nija-vAgaMSUn guroH Atma-vinirmitAn // 2.266 //
   prādhānyaṃ prakaṭaṃ svasaṃvidaḥ	prADAnyam prakawam sva-saMvidaH
   gurutaḥ kila śāstrataḥ svataḥ	gurutaH kila SAstrataH svatas-
   tad ayaṃ mukhyatayā kṛtaḥ śramaḥ // 2.267 //	tat ayam muKya-tayA kRtaH SramaH // 2.267 //
   śāstravṛttiparatantrito guruḥ	SAstra-vRtti-para-tantritaH guruH
   svātmasaṃvidi ca tatpratiṣṭhitam	sva-Atma-saMvidi ca tat-pratizWitam
   tena sarvam idam ātmasaṃvidā	tena sarvam idam Atma-saMvidA
   siddhim eti nahi jātv asahyatām // 2.268 //	sidDim eti na-hi jAtu asahyatAm // 2.268 //
   etac chāstraṃ prayatnena carcyatāṃ he mumukṣavaḥ	etat SAstram prayatnena ca-RcyatAm he mumukzavaH
   mā vṛthaivāyur āyastam anyaśāstreṣu nīyatām // 2.269 //	mA vRTA-eva-AyuH Ayastam anya-SAstrezu nIyatAm // 2.269 //
   abhedadṛṣṭir yā kācid bhedadṛṣṭir athāpi vā	aBeda-dRzwiH yA kAcid Beda-dRzwiH aTa-api vA
   sātraivāyāti nirvāhaṃ tenaitat pravicāryatām // 2.270 //	sA-atra-eva-AyAti nirvAham tena-etat pravicAryatAm // 2.270 //
   svapnakālaparijñānavī[tanidro] yathā tathā	svapna-kAla-parijQAna-vI[ta-nidro] yaTA taTA
   etacchāstrasamabhyāsaprabuddhahṛdayaḥ sadā // 2.271 //	etat-SAstra-samaByAsa-prabudDa-hRdayaH sadA // 2.271 //
   svasaṃvid eva tac chāstraṃ sā cāpekṣāvivarjitā	sva-saMvid eva tat SAstram sA ca-apekzA-vivarjitA
   tathā yady abhidhīyeta svataḥ prāmāṇyam ucyatām // 2.272 //	taTA yadi aBiDIyeta svatas prAmANyam ucyatAm // 2.272 //
   śāsanaṃ śāsitavyaṃ ca śāsakaṃ ceti yat kila	SAsanam SAsitavyam ca SAsakam ca-iti yat kila
   tattatrākālakalitaṃ svātantryādvaitasundaram // 2.273 //	tad-tatra-akAla-kalitam svAtantrya-at-vEta-sundaram // 2.273 //
   tām avasthitim ātmīyāṃ garbhīkṛtyānapāyinīm	tAm avasTitim AtmIyAm garBIkRtya-anapAyinIm
   śrīkaṇṭhanāthaḥ provāca śrīmatkiraṇaśāsane // 2.274 //	SrIkaNWa-nATaH provAca SrImat-kiraNa-SAsane // 2.274 //
   sarvam etat pravṛttyarthaṃ śrot\rr ṇāṃ tu vibhedataḥ	sarvam etat pravRtti-arTam Srot\rH NAm tu viBedataH
   arthabhedāt tu bhedo 'yam upacārāt prakalpate // 2.275 //	arTa-BedAt tu BedaH ayam upacArAt prakalpate // 2.275 //
   phalabhedo na kalpyo 'tra kalpyaś ced ayathātatham	Pala-BedaH na kalpyaH atra kalpyaH ced ayaTAtaTam
   daśakāṣṭādaśāṣṭāṣṭabhedabhinnam idaṃ vibhoḥ // 2.276 //	daSaka-azwAdaSa-azwa-azwa-Beda-Binnam idam viBoH // 2.276 //
   śivasadbhāvalābhaikaphalaṃ tallābhaprotsuke	Siva-sadBAva-lABa-eka-Palam tad-lABa-protsuke
   adhikāriṇy aṇau jātikulavarṇādyanādarāt // 2.277 //	aDikAriNi aNO jAti-kula-varNa-Adi-anAdarAt // 2.277 //
   pravṛttam ekavākyatvaṃ yāvad āsādya vartate	pravRttam eka-vAkya-tvam yAvat AsAdya vartate
   aṅgāṅgivṛttavaicitryāt tāvad ekam idaṃ viduḥ // 2.278 //	aFga-aFgi-vRtta-vEcitryAt tAvat ekam idam viduH // 2.278 //
   trikaśāstraṃ tathābhūto gurur atrādvayātmakaḥ	trika-SAstram taTABUtaH guruH atra-advaya-AtmakaH
   tadanantaravākyāṃśapuñjaḥ prakaraṇāni ca // 2.279 //	tad-anantara-vAkya-aMSa-puQjaH prakaraNAni ca // 2.279 //
   māyīyabhedavṛttāntasphuṭabhāve bhavanti ca	mAyIya-Beda-vRttAnta-sPuwa-BAve Bavanti ca
   tathāpi śivasaṃprāptir mukhyam ante phalaṃ sthitam // 2.280 //	taTA-api Siva-saMprAptiH muKyam ante Palam sTitam // 2.280 //
   adhikārī caika eva śivatāvāptibhājanam	aDikArI ca-ekaH eva Siva-tA-avApti-BAjanam
   tathāpi tāvanmātre ca jāte prakaraṇātmani // 2.281 //	taTA-api tAvat-mAtre ca jAte prakaraNa-Atmani // 2.281 //
   yādṛk phalaṃ sphutaṃ mukhyaṃ paryantaphalam aṅgi vā	yAdRS Palam sPutam muKyam paryanta-Palam aFgi vA
