   dvitīya uddyotaḥ	dvitIyaH uddyotaH
   yamake ca prabandhena buddhipūrvakaṃ kriyamāṇe niyamenaiva	yamake ca prabanDena budDi pUrvakam kriyamANe niyamena eva
   yatnāntaraparigraha āpatati śabdaviśeṣānveṣaṇarūpaḥ /	yatna antara parigrahaH Apatati Sabda viSeza anvezaNa rUpaH /
   alaṅkārāntareṣvapi tattulyamiti cet   naivam; alaṅkārāntarāṇi hi	alaFkAra antarezu api tad tulyam iti cet   nA evam; alaFkAra antarANi hi
   nirūpapyamāṇadurghaṭanānyapi rasasamāhitacetasaḥ locanam lakṣamamiti /	nirUpapyamANa durGawanAni api rasa samAhita cetasaH locanam lakzamam iti /
   byāpakamityarthaḥ /	byApakam iti arTaH /
   'prabandhena kriyamāṇa' ita sambandhaḥ /	aprabanDena kriyamANa a ita sambanDaH /
   ata eva buddhipūrvakatvamavaśyambhāvīti buddhipūrvakaśabda upāttaḥ /	atas eva budDi pUrvaka tvam avaSyamBAvI iti budDi pUrvaka SabdaH upAttar /
   rasasamavadhānādanyo yatnoyatnāntaram /	rasa samavaDAnAt anyaH yatna uyatna antaram /
   nirūpyamāṇāni santi durghaṭanāni /	nirUpyamANAni santi durGawanAni /
   buddhipūrvaṃ cikīrṣitānyapi kartumaśakyānītyarthaḥ /	budDi pUrvam cikIrzitAni api kartum aSakyAni iti arTaH /
   tathā nirūpyamāṇe durghaṭanāni kathametāni racitānītyevaṃ	taTA nirUpyamANe durGawanAni kaTam etAni racitAni iti evam
   vismayāvahānītyarthaḥ /	vismaya AvahAni iti arTaH /
   bālapriyā prakṛte tatpadena vyāpakamātraṃ	bAla priyA prakRte tad padena vyApaka mAtram
   vivakṣitamityāha   vyāpakamityartha iti /	vivakzitam iti Aha    vyApakam iti arTaH iti /
   jñāpakamityartha iti pāṭhena bhāvyamiti kecit /	jQApakam iti arTaH iti pAWena BAvyam iti kecid /
   apṛthagyatnanirvartyatvamalaṅkārasya rasāṅgatvavyāpakamiti 'rasāṅgatva'	apRTak yatna nirvartya tvam alaFkArasya rasAFga tva vyApakam iti arasA aFga tva a
   ityādi vṛtyartha iti bhāvaḥ /	ityAdi vRti arTaH iti BAvaH /
   uktamarthaṃ sādhayituṃ vyatirekaṃ darśayati vṛttau'yo rasam' ityādi /	uktam arTam sADayitum vyatirekam darSayati vRttO ayaH rasam a ityAdi /
   yo 'laṅkāro niṣpadyata ityanvayaḥ /	yaH alaFkAraH nizpadyate iti anvayaH /
   'tāṃ vāsanā'mit /	atAm vAsanA amiD /
   rasabandhādhyavasāyavāsanāmityarthaḥ /	rasa banDa aDyavasAya vAsanAm iti arTaH /
   'atyūhya' atilaṅdhya parityajyeti yāvat /	aatyUhya a atilaFDya parityajya iti yAvat /
   'āsthitasya' āśritavataḥ /	aAsTitasya a ASritavataH /
   kaverityanenāsya sambandhaḥ /	kaveH iti anena asya sambanDaH /
   'sa na rasāṅgam' iti /	asa na rasAFgam a iti /
   tasminnalaṅkāre rasāṅgatvaṃ nāstītyarthaḥ /	tasmin= alaFkAre rasAFga tvam na asti iti arTaH /
   yamakādinibandhe yatnāntaramāvaśyakamityāha   'yamaka' ityādi /	yamaka Adi nibanDe yatna antaram AvaSyakam iti Aha    ayamaka a ityAdi /
   'prabandhena' avicchedena /	aprabanDena a avicCedena /
   asya 'buddhipūrvakam' ityanenānvayabhramaḥ syādato 'nvayaṃ darśayati	asya abudDi pUrvakam a iti anena anvaya BramaH syAt atas anvayam darSayati
   locane   kriyamāṇa iti /	locane   kriyamANaH iti /
   yatnāntaraparigraha ityatra yatnāntarapadaṃ vivṛṇoti   rasetyādi /	yatna antara parigrahaH iti atra yatna antara padam vivRNoti    rasa ityAdi /
   rasasamavadhānāt rasaniṣpādakāt /	rasa samavaDAnAt rasa nizpAdakAt /
   nirūpyamāṇadurghaṭanānītyetatprakṛtānuguṇyena dvedhā	nirUpyamANa durGawanAni iti etat prakRta anuguNyena dveDA
   vyācaṣṭe   nirūpyamāṇānītyādi /	vyAcazwe    nirUpyamANAni ityAdi /
   kartumaśakyānītyatra pratibhānavataḥ kaverahampūrvikayā parāpatanti /	kartum aSakyAni iti atra pratiBAnavataH kavera hampUrvikayA parApatanti /
   yathā kādambaryāṃ kādambarīdarśanāvasare /	yaTA kAdambaryAm kAdambarI darSana avasare /
   yathā ca māyārāmaśirodarśanena vihvalāyāṃ sītādevyāṃ setau /	yaTA ca mAyA rAma SiraH darSanena vihvalAyAm sItA devyAm setO /
   yuktaṃ caitat, yato rasā vācyaviśeṣairevākṣeptavyāḥ /	yuktam ca etat, yatas rasAH vAcya viSezEH eva AkzeptavyAH /
   tatpratipādakaiśca śabdaistatprakāśino vācyaviśeṣā eva rūpakādayo	tad pratipAdakEH ca SabdEH tad prakASinaH vAcya viSezAH eva rUpa kAdayaH 
   'laṅkārāḥ /	alaFkArAH /
   tasmānna teṣāṃ bahiraṅgatvaṃ rasābhivayaktau /	tasmAt na tezAm bahis aFga tvam rasa aBivayaktO /
   yamakaduṣkaramārgeṣu tu tatsthitameva /	yamaka duzkara mArgezu tu tat sTitam eva /
   yattu rasavanti kānicidyamakādīni dṛśyante, tatra rasādīnāmaṅgatā	yat tu rasavanti kAnicid yamaka AdIni dRSyante, tatra rasa AdInAm aFga tA
   yamakādīnāṃ tvaṅgitaiva /	yamaka AdInAm tu aFgitA eva /
   rasābhāse cāṅgatvamapyaviruddham /	rasa ABAse ca aFga tvam api avirudDam /
   aṅgitayā tu vyaṅgye rase nāṅgatvaṃ pṛthakprayatnanirvartyatvādyamakādeḥ /	aFgitayA tu vyaFgye rase na aFga tvam pRTak prayatna nirvartya tva Adyamaka AdeH /
   asyaivārthasya saṅgrahaślokāḥ     rasavanti hi vastūni sālaṅkārāṇi kānicit	asya eva arTasya saFgraha SlokAH    rasavanti hi vastUni sa alaFkArANi kAnicid 
   ekenaiva prayatnena nirvartyante māhākaveḥ //	ekena eva prayatnena nirvartyante mAhAkaveH //
   yamakādinibandhe tu pṛthagyatno 'sya jāyate /	yamaka Adi nibanDe tu pRTak yatnaH asya jAyate /
   śaktasyāpi rase 'ṅgatvaṃ tasmādeṣāṃ na vidyate //	Saktasya api rase aFga tvam tasmAt ezAm na vidyate //
   rasābhāsāṅgabhāvastu yamakāderna vāryate /	rasa ABAsa aFga BAvaH tu yamaka AdeH na vAryate /
   dhvanyātmabhūte śṛṅgāre tvaṅgatā nopapadyate //	Dvani Atma BUte SRFgAre tu aFgatA na upapadyate //
   locanam ahampūrvaḥ agmya ityarthaḥ /	locanam ahampUrvaH agmyaH iti arTaH /
   ahamādāhamādau pravarta ityarthaḥ /	aham AdAham AdO pravartaH iti arTaH /
   ahampūrva ityasya bhāvo 'hampūrvikā /	ahampUrvaH iti asya BAvaH aham pUrvikA /
   ahamiti nipāto vibhaktipratirūpako 'smadarthavṛttiḥ /	aham iti nipAtaH viBakti pratirUpakaH asmad arTa vRttiH /
   etaditi /	etat iti /
   ahaṃpūrvikayā parāpatanamityarthaḥ /	ahaMpUrvikayA parApatanam iti arTaH /
   kānicaditi /	kAnicat iti /
   kālidāsādikṛtānītyarthaḥ /	kAli dAsa Adi kRtAni iti arTaH /
   śaktasyāpi pṛthagyatno jāyata iti sambandhaḥ /	Saktasya api pRTak yatnaH jAyate iti sambanDaH /
   eṣāmiti /	ezAm iti /
   yamakādīnam /	yamaka AdInam /
   'dhvanyātmabhūte śṛṅgāre iti yaduktaṃ tat prādhānyanārdhaślokena saṅgṛhīte	aDvani Atma BUte SRFgAre iti yat uktam tat prADAnyana arDa Slokena saFgRhIte
   dhvanyātmabhūta iti // 16 //	Dvani Atma BUtaH iti // 16 //
   bālapriyā kaveriti, vismayāvahānītyatra sahṛdayasyeti ca śeṣaḥ /	bAlapriyA kaveriti, vismaya AvahAni iti atra sahRdayasya iti ca SezaH /
   ahampūrvikayetyetadvyācaṣṭe   ahamityādi /	ahampUrvikayA iti etat vyAcazwe   aham ityAdi /
   pūrva ityasya vyākhyā agṣa iti /	pUrvaH iti asya vyAKyA agze iti /
   paryavasitamāha  ahamādāvityādi /	paryavasitam Aha  aham AdO= ityAdi /
   vṛttau 'tatpratipādakaiśca śabdai'riti /	vRttO atad pratipAdakEH ca SabdE ariti /
   ākṣeptavyā ityanenāsya sambandhaḥ /	AkzeptavyAH iti anena asya sambanDaH /
   'tatprakāśina' iti /	atad prakASina a iti /
   atra tatpadena śabdasya parāmarśaḥ /	atra tad padena Sabdasya parAmarSaH /
   'teṣām' iti /	atezAm a iti /
   rūpakādīnāmityarthaḥ /	rUpaka AdInAm iti arTaH /
   'tadi'ti /	atadi ati /
   bahiraṅgatvamityarthaḥ /	bahis aFga tvam iti arTaH /
   'rasābhāse cāṅgatva'miti /	arasa ABAse ca aFga tva am iti /
   yamakādīnāmityanuṣaṅgaḥ /	yamaka AdInAm iti anuzaFgaH /
   uktānarthān vṛttikāraḥ ślokaiḥ saṅgṛhṇāti   'rasavantī'tyādi /	uktAn arTAn vRtti kAraH SlokEH saFgRhNAti    arasavantI atyAdi /
   'mahākaverekena prayatnenaiva tathāvidhāni vastūni nirvartyante'	amahA kaveH ekena prayatnena eva taTAviDAni vastUni nirvartyante a
   ityanvayaḥ /	iti anvayaH /
   locane 'nvayaṃ darśayati   śaktasyāpīti // 16 //	locane anvayam darSayati     Saktasya api iti // 16 //
   idānīṃ dhvanyātmabhūtasya śṛṅgārasya vyañjako 'laṅkāravarga ākhyāyate   	idAnIm DvanyAtma BUtasya SRFgArasya vyaQjakaH alaFkAra vargaH AKyAyate   
   dhvany ātma bhūte śṛṅgāre samīkṣya viniveśitaḥ /	Dvany Atma  BUte SRFgAre samIkzya viniveSitaH /
   rūpakādir alaṅkāra varga eti yathārthatām // DhvK_2.17 //	rUpaka AdiH alaFkAra vargaH eti yaTArTa tAm // DhvK_2.17 //
   dhvanyātmabhūte śṛṅgāre samīkṣya viniveśitaḥ /	Dvani Atma BUte SRFgAre samIkzya viniveSitaH /
   rūpakādiralaṅkāravarga eti yathārthatām // 17 //	rUpaka AdiH alaFkAra vargaH eti yaTArTa tAm // 17 //
   alaṅkāro he bāhyālaṅkārasāmyādaṅginaścārutvaheturucyate /	alaFkAraH he bAhya alaFkAra sAmyAt aFginaH cAru tva hetuH ucyate /
   vācyālaṅkāravargaśca rūpakādiryāvānukto vakṣyate ca kaiścit,	vAcya alaFkAra vargaH ca rUpakAdiH yAvAn uktaH vakzyate ca kEScit,
   alaṅkārāmāmanantatvāt /	alaFka ArAmAm ananta tvAt /
   sa sarvo 'pi yadi samīkṣya viniveśyate tadalakṣyakramavyaṅgyasya	sa sarvaH api yadi samIkzya viniveSyate tad alakzya krama vyaFgyasya
   dhvaneraṅginaḥ sarvasyaiva cārutvaheturniṣpadyate /	DvaneH aFginaH sarvasya eva cAru tva hetuH nizpadyate /
   eṣā cāsya viniveśane samīkṣā   	ezA ca asya viniveSane samIkzA   
   vivakṣā tatparatvena nāṅgitvena kadācana /	vivakzA tad paratvena na aFgi tvena kadAcana /
   kāle ca grahaṇa tyāgau nātinirvahaṇaiṣitā // DhvK_2.18 //	kAle ca grahaNa tyAgO na ati nirvahaNa ezitAH // DhvK_2.18 //
   nirvyūḍhāv api cāṅgatve yatnena pratyavekṣaṇam /	nirvyUXO api ca aFga tve yatnena pratyavekzaNam /
   vivakṣā tatparatvena nāṅgitvena kadācana /	vivakzA tad paratvena na aFgi tvena kadAcana /
   kāle ca grahaṇatyāgau nātinirvahaṇaiṣitā // 18 //	kAle ca grahaNa tyAgO na ati nirvahaNa ezitAH // 18 //
   nirvyūḍhāvapi cāṅgatve yatnena pratyavekṣaṇam /	nirvyUXO= api ca aFga tve yatnena pratyavekzaNam /
   locanam itānīmiti /	locanam itAnIm iti /
   heyavarga uktaḥ, upādeyavargastu vaktavya iti bhāvaḥ /	heya vargaH uktaH, upAdeya vargaH tu vaktavyaH iti BAvaH /
   vyañjaka iti /	vyaQjakaH iti /
   yaśca yathā cetyadhyāhāhaḥ /	yaH ca yaTA ca iti aDyAha ahaH /
   yathārthatāmiti /	yaTArTa tAm iti /
   cārutvahetutāmityarthaḥ /	cAru tva hetu tAm iti arTaH /
   ukta iti /	uktaH iti /
   bhāmahādibhiralaṅkāralakṣaṇakāraiḥ /	BAmaha AdiBiH alaFkAra lakzaNa kArEH /
   vakṣyate cetyatra hetumāha   alaṅkārāṇāmanantatvāditi /	vakzyate ca iti atra hetum Aha   alaFkArANAm ananta tvAt iti /
   pratabhānantyāt anyairapi bhāvibhiḥ kaiścidityarthaḥ // 17 //	prataBA anantyAt anyEH api BAviBiH kEScid iti arTaH // 17 //
   samīkṣyeti /	samIkzya iti /
   samīkṣyetyanena śabdena kārikāyāmukteti bhāvaḥ /	samIkzya iti anena Sabdena kArikAya amuktA iti BAvaH /
   ślokapādeṣu caturṣu ślokārdhe cāṅgatvasādhanamidam; rūpakādiriti pratyekaṃ	Sloka pAdezu caturzu Sloka arDe ca aFga tva sADanam idam; rUpakAdiH iti pratyekam
   sambandhaḥ /	sambanDaH /
   yamalaṅkāraṃ tadaṅgatayā vivakṣati nāṅgitvena, yamavasare gṛhṇāti,	yam alaFkAram tad aFgatayA vivakzati na aFgi tvena, yama vasare gRhNAti,
   yamavasare tyajati, yaṃ nātyantaṃ nirveḍhumicchati, yaṃ yatnādaṅgatvena	yam a vasare tyajati, yam na atyantam nirveXum icCati, yam yatnAt aFga tvena
   pratyavekṣate, sa evamupanibadhyamāno rasābhivyaktiheturbhavatīti vitataṃ	pratyavekzate, saH evam upanibaDyamAnaH rasa aBivyakti hetuH Bavati iti vitatam
   mahāvākyam /	mahA vAkyam /
   tanmahāvākyamadhye codāharamāvakāśamudāhalaraṇasvarūpaṃ tadyojanaṃ	tat mahA vAkya maDye ca udAharam AvakASa mudAha laraNa svarUpam tat yojanam
   tatsamarthanaṃ ca nirūpayituṃ granthāntaramati vṛtigranthasya sambandhaḥ /	tad samarTanam ca nirUpayitum granTa antaram ati vRti granTasya sambanDaH /
   bālapriyā yaśceti /	bAla priyAH yaH ca iti /
   yo 'laṅkāro yathā vyañjakaḥ, tathā ākhyāyata ityarthaṃ iti bhāvaḥ /	yaH alaFkAraH yaTA vyaQjakaH, taTA AKyAyate iti arTam iti BAvaH /
   'yathārthatām' ityasyānvarthatāmityarthaṃ darśayati   cārutveti /	ayaTArTa tAm a iti asya anvarTatAm iti arTam darSayati   cAru tvA iti /
   alaṅkārāṇāmanantatvātkaiścidityasya	alaFkArANAm ananta tvAt kEScid iti asya
   vivaraṇam   pratibhānantyādanyairityādi // 17 //	vivaraNam    pratiBA Ananti AdanyEH ityAdi // 17 //
   'eṣā samīkṣe'ti vṛttāvuktaṃ, samīkṣāyāḥ ko 'tra prastāva ityata āha	aezA samIkze ati vRttO= uktaM, samIkzAyAH kaH atra prastAvaH iti atas Aha
   locane   samīkṣyetyādi /	locane    samIkzya ityAdi /
   samīkṣyetyaneneti /	samIkzya iti anena iti /
   'samīkṣya viniveśita' ityatra samīkṣyaśabdenetyarthaḥ /	asamIkzya viniveSita a iti atra samIkzya Sabdena iti arTaH /
   kārikādvayasārārthakathanapūrvakaṃ pūrvāparagranthasambandhaṃ	kArikA dvaya sAra arTa kaTana pUrvakam pUrva apara granTa sambanDam
   darśayati   yamalaṅkāramityādi /	darSayati    yam alaFkAram ityAdi /
   rūpakādir alaṅkāra vargasyāṅgatva sādhanam // DhvK_2.19 //	rUpaka AdiH alaFkAra  vargasya aFga tva  sADanam // DhvK_2.19 //
   rūpakādiralaṅkāravargasyāṅgatvasādhanam // 19 //	rUpaka AdiH alaFkAra vargasya aFga tva sADanam // 19 //
   rasabandheṣvatyādṛtamanāḥ kaviryamalaṅkāraṃ tadaṅgatayā vivakṣati /	rasa banDezu atyAdRta manAH kaviryam alaFkAram tad aFgatayA vivakzati /
   yathā     calāpāṅgāṃ dṛṣṭiṃ spṛśasi bahuśo vepathumatīṃ rahasyākhyāyīva	yaTA    cala apAFgAm dRzwim spRSasi bahuSas vepaTumatIm rahasyAKyAyI iva
   svanasi mṛdu karṇāntikacaraḥ /	svanasi mRdu karNa antika caraH /
   karau vyādhunvatyāḥ pibasi ratisarvasvamadharaṃ vayaṃ	karO vyADunvatyAH pibasi rati sarva svam aDaram vayam
   tattvānveṣānmadhukara hastāstvaṃ khalu kṛtī //	tattva anvezAt maDukara hastAH tvam Kalu kRtI //
   atra hi bhramarasvabhāvoktiralaṅkāro rasānuguṇaḥ /	atra hi Bramara svaBAva uktiH alaFkAraH rasa anuguNaH /
   locanam calāpāṅgāmiti /	locanam cala apAFgAm iti /
   he madhukara, vayamevaṃvidhābhilāṣacāṭupravaṇā api	he maDukara, vayam evaMviDa aBilAza cAwu pravaNAH api
   tattvānveṣamādvastuvṛtte 'nviṣyamāṇe hatā āyāsamātrapātrībhūtā jātāḥ /	tattvAnvezamAdvastu vRtte anvizyamANe hatAH AyAsa mAtra pAtrIBUtAH jAtAH /
   tvaṃ khalviti nipātenāyatnasiddhaṃ tataiva caritārthatvamiti śakuntalāṃ	tvam Kalu iti nipAtena Ayatna sidDam tatA eva caritArTa tvam iti SakuntalAm
   pratyabhilāṣiṇo duṣyantasyeyamuktiḥ /	pratyaBilAziNaH duzyantasya iya muktiH /
   tathāhikathametadīyakaṭākṣagocarā bhūyāsma,	taTA hi kaTam etat Iya kawAkza gocarA BUya asma,
   kathameṣāsmadabhiprāyavyañjakaṃ rahovacanamākarṇyāt, kathaṃ nu	kaTam eza asmad aBiprAya vyaQjakam rahaH vacanam AkarNya at, kaTam nu
   haṭhādanicchantatyā api paricumbanaṃ vidheyāsmeti yadasmākaṃ	haWAt anicCantatyAH api paricumbanam viDeya asma iti yat asmAkam
   manorājyapadavīmadhiśete tattavāyatnasiddham /	manorAjya padavIm aDiSete tad tava Ayatna sidDam /
   bhramaro hi nīlotpaladhiyā tadāśaṅkākarīṃ dṛṣṭiṃ punaḥpunaḥ spṛśati /	BramaraH hi nIlotpala DiyA tad ASaFkA karIm dRzwim punar punar spRSati /
   śravaṇāvakāśaparyantatvācca netrayorutpalaśaṅkānapagamāttatraiva	SravaNa avakASa paryanta tvAt ca netrayoH utpala SaFkA anapagamAt tatra eva
   dandhvanyamāna āste /	danDvanyamAnaH Aste /
   sahajasaukumāryatrāsakātarāyāśca ratinidhānabhūtaṃ	sahaja sOkumArya trAsa kAtarAyAH ca rati niDAna BUtam
   vikasitāravindakuvalayāmodamadhuramadharaṃ pibatīti	vikasita aravinda kuvalaya Amoda maDuram aDaram pibati iti
   bhramarasvabhāvoktiralaṅkāro 'ṅgatāmeva prakṛtarasasyopagataḥ /	Bramara svaBAva uktiH alaFkAraH aFga tAm eva prakRta rasasya upagataH /
   anye tu bhramarasvabhāve bālapriyā calāpāṅgāmiti /	anye tu Bramara svaBAve bAla priyA cala apAFgAm iti /
   śloko 'yamasmābhiḥ śākuntalavyākhyāyāṃ savistaraṃ vyākhyātaḥ /	SlokaH ayam asmABiH SAkuntala vyAKyAyAm sa vistaram vyAKyAtaH /
   vayamityanena gamyamarthamāha  evamityādi /	vayam iti anena gamyam arTamAha  evam ityAdi /
   evaṃvidhāḥ vakṣyamāṇāḥ abhilāṣā yeṣāṃ te /	evaMviDAH vakzyamANAH aBilAzAH yezAm te /
   cāṭau cāṭuvacane pravaṇāstatparāśca /	cAwO cAwu vacane pravaNAH tatparAH ca /
   ayatnetyādi vyaṅgyārthakathanam /	ayatna ityAdi vyaFgya arTa kaTanam /
   'katham' ityādi 'siddham' ityantaṃ duṣyantavacanarūpema nirdiṣṭam /	akaTam a ityAdi asidDam a iti antam duzyanta vacana rUpema nirdizwam /
   bhramaro hītyādivyākhyāturvacanam /	BramaraH hi ityAdi vyAKyAtuH vacanam /
   tatraiva śravaṇāvakāśe eva /	tatra eva SravaNa avakASe eva /
   dandhvanyamāna iti /	danDvanyamAnaH iti /
   atiśayena dhvaniṃ kurvannityarthaḥ /	atiSayena Dvanim kurvan= iti arTaH /
   'bhramarasvabhāvoktiri'tyādigranthamarthato vyacaṣṭe   iti	aBramara svaBAva uktiH i atyAdi granTam arTataH vyacazwe   iti
   bhramarasvabhāvoktirityādi /	Bramara svaBAva uktiH ityAdi /
   samāsoktivyatirekayoḥ satve 'pyatra svabhāvokteḥ	samAsokti vyatirekayoH satve api atra svaBAva ukteH
   purasphūrtikatvāttanmātramuktam /	pura sPUrtika tvAt tanmAtram uktam /
   prakṛtarasasyeti /	prakRta rasasya iti /
   vipralambhasyetyarathaḥ /	vipralamBasya iti araTaH /
   aṅgatāmevopagata iti /	aFgatAm eva upagataH iti /
   'nāṅgitvene'ti na prādhānyena /	anAFgi tvene ati na prADAnyena /
   kadācidrasāditātparyeṇa vivakṣito 'pi hmalaṅkāraḥ kaścidaṅgitvena	kadAcid rasAdi tAtparyeNa vivakzitaH api hmalaFkAraH kaScid aFgi tvena
   vivakṣito dṛśyate /	vivakzitaH dRSyate /
   yathā     cakrābhighātaprasabhājñayaiva cakāra yo rāhuvadhūjanasya /	yaTA    cakra aBiGAta prasaBa AjQayA eva cakAra yaH rAhu vaDU janasya /
   āliṅganoddāmavilāsavandhyaṃ ratotsavaṃ cumbanamātraśeṣam //	AliFgana uddAma vilAsa vanDyam rata utsavam cumbana mAtra Sezam //
   atra hi paryāyoktasyāṅgitvena vivakṣā rasāditātparye satyapīti /	atra hi paryAya uktasya aFgi tvena vivakzA rasa Adi tAtparye satyapi iti /
   locanam uktiryasyeti bhramarasvabhāvoktiratra rūpakavyātireka ityāhuḥ /	locanam uktiH yasya iti Bramara svaBAva uktiH atra rUpakavyAtirekaH iti AhuH /
   cakrābhighāta eva prasabhājñā alaṅghanīyo niyogastayā yo rāhudayitānāṃ	cakra aBiGAtaH eva prasaBa AjQA alaFGanIyaH niyogaH tayA yaH rAhu dayitAnAm
   ratotsavaṃ cumbanamātraśeṣaṃ cakāra /	rata utsavam cumbana mAtra Sezam cakAra /
   yata āliṅganamuddāmaṃ pradhānaṃ yeṣu vilāseṣu tairvandhyaḥ śūnyo 'sau	yatas AliFganam uddAmam praDAnam yezu vilAsezu tEH vanDyaH SUnyaH asO
   ratotsavaḥ /	rata utsavaH /
   atrāha kaścit  'paryāyoktamevātra kaveḥ prādhānyena vivakṣitaṃ, na tu	atra Aha kaScit   aparyAya uktam eva atra kaveH prADAnyena vivakzitaM, na tu
   rasādi /	rasa Adi /
   tatkathamucyate rasāditātparye satyapī'ti /	tat kaTam ucyate rasa Adi tAtparye sati apI ati /
   maivam; vāsudevapratāpo hyatra vivakṣitaḥ /	mA evam; vAsudeva pratApaH hi atra vivakzitaH /
   sa cātra cārutvahetutayā na cakāsti, api tu paryāyoktamevala /	sa ca atra cAru tva hetu tayA na cakAsti, api tu paryAya uktam evala /
   yadyapi cātra kāvye na kāciddoṣāśaṅkā, tathāpi	yadi api ca atra kAvye na kAcid doza ASaFkA, taTA api
   dṛṣṭāntavadetat   yatprakṛtasya poṣaṇīyasya svarūpatiraskārako 'ṅgabhūto	dRzwAntavat etat   yat prakRtasya pozaNIyasya svarUpa tiraskArakaH aFga BUtaH 
   'pyalaṅkāraḥ sampadyate /	api alaFkAraH sampadyate /
   tataśca kvacidanaucityamāgacchatītyayaṃ granthakṛta āśayaḥ /	tatas ca kvacid anOcityam AgacCati iti ayam granTa kRtaH ASayaH /
   bālapriyā tathāvidhabhramaraceṣṭāyāḥ kāmoddīpakatvāditi bhāvaḥ /	bAla priyA taTAviDa Bramara cezwAyAH kAma uddIpaka tvAt iti BAvaH /
   rūpaketi /	rUpaka iti /
   rūpakasahito vyatireko rūpakavyatirekaḥ, bhramare nāyakatvāropādrūpakaṃ,	rUpaka sahitaH vyatirekaH rUpaka vyatirekaH, Bramare nAyaka tva AropAt rUpakaM,
   caturthapāde vyatirekaśca /	caturTa pAde vyatirekaH ca /
   vastuto 'tra na rūpakaṃ, kintu samāsoktirityāśayenāsvarasasūcanāya anya	vastutas atra na rUpakaM, kintu samAsa uktiH iti ASayena asvarasa sUcanAya anya
   iti /	iti /
   vṛttau 'aṅgitvene'tyasya vivaraṇam   'prādhānyene'ti /	vRttO aaFgi tvene atyasya vivaraNam     aprADAnyene ati /
   'kadācidi'ti /	akadAcid i ati /
   kvacitkāvye ityarthaḥ /	kvacid kAvye iti arTaH /
   locane  cakretyādi /	locane   cakra ityAdi /
   cakreṇābhighātaḥ abhito hananaṃ sa eva /	cakreNa aBiGAtaH aBitas hananam saH eva /
   na tu rasādīti /	na tu rasa Adi iti /
   'prādhānyena vivakṣitam' ityasyānuṣaṅgaḥ /	aprADAnyena vivakzitam a iti asya anuzaFgaH /
   rasāditātparye satyapīti vṛttigranthānuvādaḥ /	rasa Adi tAtparye satyapi iti vRtti granTa anuvAdaH /
   prativakti  maivamityādi /	prativakti  mA evam ityAdi /
   vivakṣita iti /	vivakzitaH iti /
   prādhānyeneti śeṣaḥ /	prADAnyena iti SezaH /
   tathācātra vīrarase tātparyamastīti bhāvaḥ /	taTA ca atra vIra rase tAtparyam asti iti BAvaH /
   viśeṣamāha   sa ceti /	viSezam Aha    sa ca iti /
   api tu paryāyoktameveti /	api tu paryAya uktam eva iti /
   cārutvahetutayā cakāstītyasyānuṣaṅgaḥ /	cAru tva hetu tayA cakAsti iti asya anuzaFgaH /
   śaṅkate   yadyapītyādi /	SaFkate   yadi api ityAdi /
   na kadādiddoṣāśaṅketi /	na kadAdiddoza ASaFkA iti /
   camatkāravighātakaṃ kimapi na śaṅkanīyamityarthaḥ /	camatkAra viGAtakam kim api na SaFkanIyam iti arTaH /
   tathā ca paryāyoktasya prādhānye 'pi na kṣatiriti bhāvaḥ /	taTA ca paryAya uktasya prADAnye api na kzatiH iti BAvaH /
   samādhatte   tathāpītyādi /	samADatte   taTA api ityAdi /
   dṛṣṭāntavaditi /	dRzwAnta vat iti /
   dṛṣṭāntena tulyamityarthaḥ /	dRzwAntena tulyam iti arTaH /
   etaditi /	etat iti /
   cakretyādyudāharaṇamityarthaḥ /	cakra ityAdi udAharaNam iti arTaH /
   bhāvaṃ vivṛṇoti   yadityādi /	BAvam vivRNoti   yat ityAdi /
   'aṅgabhuto 'pyalaṅkāraḥ poṣamīyasya prakṛtasya	aaFga ButaH api alaFkAraH pozamIyasya prakRtasya
   svarūpatiraskārakassampadyate yadi'ti sambandhaḥ /	sva rUpa tiraskAraka ssampadyate yadi ati sambanDaH /
   kvaciditi śeṣaḥ /	kvacid iti SezaH /
   tatra dṛṣṭāntaḥ prakṛtaśloka iti bhāvaḥ /	tatra dRzwAntaH prakRta SlokaH iti BAvaH /
   tataḥ kimata āha  tataśceti /	tatas kim atas Aha  tatas ca iti /
   kvacidanaucityamiti /	kvacid anOcityam iti /
   asyodāharaṇaṃ "srastaḥ sragdāmaśobhā"mityādikaṃ kāvyānuśāsanādāvuktam /	asya udAharaNam "srastaH sraj dAma SoBA"m iti Adikam kAvya anuSAsana AdO= uktam /
   upaṣṭambhakamāha   tathā ceti /	upazwamBakam Aha    taTA ca iti /
   aṅgatvena vivaśritamapa yamavasare gṛhṇāti nānavasare /	aFga tvena vivaSritam apa yama vasare gRhNAti na anavasare /
   avasare gṛhītiryathā      uddāmotkalikāṃ vipāṇḍurarucaṃ prārabdhajṛmbhāṃ	avasare gRhItiH yaTA     uddAma utkalikAm vipANxura rucam prArabDa jRmBAm
   kṣaṇā  dāyāsaṃ śvasanodgamairaviralairātanvatīmātmanaḥ /	kzaNA dAyAsam Svasana udgamEH aviralEH AtanvatIm AtmanaH /
   adyodyānalatāmimāṃ samadanāṃ nārīmivānyāṃ dhruvaṃ paśyan kopavipāṭaladyuti	adya udya analatAm imAm sa madanAm nArIm iva anyAm Druvam paSyan kopa vipAwala dyuti
