   (KpSū 1)	(KpSU 1)
   yo na śakyaṃ kenacidgaṇayituṃ anyatra svayaṃ tathāgatena /	yaH na Sakyam kenacid gaNayitum anyatra svayam taTAgatena /
   bodhiprāptaścāhaṃ yena yena gaccheyaṃ yatra yatra ca pādatalena pṛthivīṃ	boDi prAptaH ca aham yena yena gacCeyam yatra yatra ca pAda talena pRTivIm
   spṛśeyaṃ tatra tatra sahasrapatrāṇi padmāni suvarṇāvabhāsāni	spRSeyam tatra tatra sahasra patrANi padmAni suvarNa avaBAsAni
   prādurbhaveyuḥ, te ca padmāḥ śūnyeṣu buddhakṣetreṣu gatvā mama varṇaśabdaṃ	prAdurBaveyuH, te ca padmAH SUnyezu budDa kzetrezu gatvA mama varNa Sabdam
   ghoṣaṃ niścārayeyuḥ; te ca sattvā mama nāma varṇaṃ yaśaśca śrutvā	Gozam niScArayeyuH; te ca sattvAH mama nAma varNam yaSaH ca SrutvA
   prītiprasādaprāmodyamutpādayeyuḥ, te prasādajātā mama buddhakṣetra	prIti prasAda prAmodyam utpAdayeyuH, te prasAda jAtAH mama budDa kzetra
   upapattimākāṅkṣeyuḥ, tatra ca tāni kuśalamūlāni pariṇāmayeyuḥ, te	upapattim AkAFkzeyuH, tatra ca tAni kuSala mUlAni pariNAmayeyuH, te
   tataścyavitvā mama buddhakṣetra upapadyeyuḥ / apagataśramaṇamalaśca me	tatas cyavitvA mama budDa kzetre upapadyeyuH / apagata SramaNa malaH ca me
   śrāvakasaṅgho bhavet,	SrAvaka saFGaH Bavet ,
   apagataśramaṇavākyāpagataśramaṇakauṭilyāpagataśramaṇaśāṭhyā apagataparṣā	apagata SramaNa vAkya apagata SramaNa kOwilya apagata SramaNa SAWyA apagata parzA
   (KpSū 173) bhaveddharmagurukā na pariṣkāragurukā na lābhasatkāragurukā,	(KpSU 173) Bavet Darma gurukA na parizkAra gurukA na lABa satkAra gurukA,
   anityaduḥkhānātmaśūnyatābhiratā ārabdhavīryā ca sā	anitya duHKAnAtma SUnyatA aBiratA ArabDa vIryA ca sA
   parṣadbhaveddharmaśravaṇā saṅghaprāgbhārā / ye ca tatrāvaivartikā	parzad Bavet Darma SravaNA saFGa prAgBArA / ye ca tatra avEvartikA
   bodhisattvā bhaveyuste 'nāgatapraviṣṭāḥ smṛtiṃ pratilabheyuste	boDisattvAH BaveyuH te anAgata pravizwAH smRtim pratilaBeyuH te
   jātivyativṛttā prajñāpāramitāpratisaṃyuktāṃ kathāṃ kathayeyuḥ,	jAti vyativRttA prajQApAramitA pratisaMyuktAm kaTAm kaTayeyuH,
   yāvadbodhiparyantena te dharmā na saṃpramoṣaṃ gaccheyuḥ /	yAvat boDi paryantena te DarmAH na saMpramozam gacCeyuH /
   yāvadbodhiprāptaścāhaṃ daśamahākalpasahasrāṇi tiṣṭheyaṃ, parinirvṛtasya ca	yAvat boDi prAptaH ca aham daSa mahAkalpa sahasrANi tizWeyan, parinirvRtasya ca
   me kalpasahasraṃ saddharmastiṣṭhet" /	me kalpa sahasram sadDarmaH tizWet" /
   bhagavān āha   "sādhu sādhu satpuruṣa, pariśuddhaṃ te buddhakṣetraṃ	BagavAn Aha  "sADu sADu sat puruza, pariSudDam te budDa kzetram
   parigṛhītaṃ / bhaviṣyasi tvamakṣobhyānāgate 'dhvani atikrānte hyekasmin	parigRhItam / Bavizyasi tvam akzoBya anAgate aDvani atikrAnte hi ekasmin
   gaṅgānadīvālikāsame 'saṃkhyeya 'nupraviṣṭe dvitīye purastimāyāṃ diśi, ataḥ	gaFgA nadI vAlikA same asaMKyeya anupravizwe dvitIye purastimAyAm diSi, atas 
   sahasrime buddhakṣetre 'bhiratirnāma lokadhāturbhaviṣyati, evaṃrūpayā	sahasrime budDa kzetre aBiratiH nAma lokaDAtuH Bavizyati, evaMrUpayA
   guṇavyūhayā saṃpannā yathā tvayā praṇidhānaṃ kṛtaṃ / tatra tvaṃ anuttarāṃ	guNa vyUhayA saMpannA yaTA tvayA praNiDAnam kRtam / tatra tvam anuttarAm
   samyaksaṃbodhimabhisaṃbhotsyase, evamevākṣobhyo nāma bhaviṣyasi tathāgato	samyaksaMboDim aBisaMBotsyase, evam eva akzoByaH nAma Bavizyasi taTAgataH 
   yāvadbuddho bhagavān" /	yAvat budDaH BagavAn" /
   akṣobhya āha   "yadi me bhadanta bhagavannevaṃrūpāśā paripūryeta	akzoByaH Aha  "yadi me Badanta Bagavan= evaMrUpa ASA paripUryeta
   tatsarvatra lokadhātuṣu sattvāḥ skandhadhātvāyatanaparigṛhītā (KpSū 174)	tat sarvatra lokaDAtuzu sattvAH skanDa DAtu Ayatana parigRhItA (KpSU 174)
   ye ca sattvāḥ sattvasaṃgraheṇa saṃgṛhītāste sarve maitracittā	ye ca sattvAH sattva saMgraheNa saMgRhItAH te sarve mEtra cittA
   bhavantvavairacittā akaluṣacittāste evaṃrūpaṃ kāyasukhaṃ saṃvedayeyuḥ	Bavantu avEra cittAH akaluza cittAH te evaMrUpam kAya suKam saMvedayeyuH
   tadyathāpi nāma daśabhūmisthitasya bodhisattvasya padmasamādhiṃ	tat yaTA api nAma daSa BUmi sTitasya boDisattvasya padma samADim
   samāpannasya yenāśayaprahāṇaviśuddhirbhavati, evaṃrūpeṇa sattvāḥ	samApannasya yena ASaya prahANa viSudDiH Bavati, evaMrUpeNa sattvAH
   kāyacaitasikena sukhena samārpitā bhavantu / yadāhaṃ bhagavataḥ	kAya cEtasikena suKena sama arpitAH Bavantu / yadA aham BagavataH
   pañcamaṇḍalena pādau vandeta tadā sarvapṛthivī svarṇāvabhāsā bhavatu" / sa	paQcamaNxalena pAdO vandeta tadA sarva pRTivI svarNa avaBAsAH Bavatu" / sa
   ca kulaputra ratnagarbhasya tathāgatasya pañcamaṇḍalena pādau vandati tadā	ca kula putra ratna garBasya taTAgatasya paQcamaNxalena pAdO vandati tadA
   ca tasmin samaye sarvasattvā evaṃrūpeṇa sukhena samarpitā yathā	ca tasmin samaye sarva sattvAH evaMrUpeNa suKena samarpitAH yaTA
   praṇidhānaṃ kṛtaṃ, tadā dharaṇī sarvā svarṇāvabhāsā dṛśyate /	praNiDAnam kRtaM, tadA DaraNI sarvA svarNa avaBAsA dRSyate /
   ratnagarbhastathāgata āha  	ratnagarBaH taTAgataH Aha  
   "uttiṣṭha pravaramati akṣobhya cakrasaṃsthita karatala pravaracakra /	"uttizWa pravaram ati akzoBya cakra saMsTita kara tala pravara cakra /
   sthāpitā bahutṛṣṇā karuṇacitte bhaviṣyasi tvaṃ śubhamati jagati śāstā" //	sTApitA bahu tRzNA karuNa citte Bavizyasi tvam SuBam ati jagati SAstA" //
   (KpSū 175)	(KpSU 175)
   atha khalu kulaputra samudrareṇurbrāhmaṇo daśamaṃ rājaputraṃ himaṇiṃ	aTa Kalu kula putra samudra reNuH brAhmaNaH daSamam rAja putram himaNim
   nāmāmantrayate sma / peyālaṃ himaṇī rājaputra evaṃrūpaṃ praṇidhānamakārṣīt	nAma Amantrayate sma / peyAlam himaNI rAja putraH evaMrUpam praNiDAnam akArzIt 
   tadyathākṣobhyena kṛtaṃ / "yadi me bhadanta bhagavan nevaṃrūpāśā	tat yaTA akzoByena kRtam / "yadi me Badanta Bagavat nevaMrUpa ASA
   paripūryeta tatsarvasattvā buddhālaṃbanamanaskāraṃ pratilabhantu /	paripUryeta tat sarva sattvAH budDa alaMbana manaskAram pratilaBantu /
   sarveṣāṃ coragasāracandanagandho haste prādurbhavatu, te ca sarve taṃ	sarvezAm ca uraga sAra candana ganDaH haste prAdurBavatu, te ca sarve tam
   gandhaṃ buddhavigraheṣu pariṇāmayantu" /	ganDam budDa vigrahezu pariNAmayantu" /
   bhagavān āha   "sādhu sādhu kulaputra, udāraṃ te praṇidhānaṃ kṛtaṃ, yacca	BagavAn Aha  "sADu sADu kula putra, udAram te praNiDAnam kRtaM, yat ca
   tvayā sarvasattvā uragasāracandanahastā sthāpitā	tvayA sarva sattvAH uraga sAra candana hastA sTApitA
   buddhamanaskāraścāśayenotpāditaḥ, tena tvaṃ kulaputra gandhahastirnāma	budDa manaskAraH ca ASayena utpAditaH, tena tvam kula putra ganDahastiH nAma
   bhavasva / bhaviṣyasi tvaṃ gandhahaste 'tikrāntānāṃ	Bavasva / Bavizyasi tvam ganDa haste atikrAntAnAm
   gaṅgānadīvālikāsamānāmasaṃkhyeyānāṃ avaśiṣṭe dvitīye nadīgaṅgāvālikāsame	gaFgA nadI vAlikA samAnAm asaMKyeyAnAm avaSizwe dvitIye nadI gaFgA vAlikA same
   'saṃkhyeye 'kṣobhye tathāgate 'rhati samyaksaṃbuddhe parinirvṛte saddharme	asaMKyeye akzoBye taTAgate arhati samyaksaMbudDe parinirvRte sadDarme
   'ntarhite saptame dviase tvaṃ gandhahaste tatra lokadhātāvanuttarāṃ	antarhite saptame dviase tvam ganDa haste tatra loka DAtO= anuttarAm
   samyaksaṃbodhimabhisaṃbhotsyase, suvarṇapuṣpo nāma bhaviṣyasi tathāgato	samyaksaMboDim aBisaMBotsyase, suvarNapuzpaH nAma Bavizyasi taTAgataH 
   'rhan samyaksaṃbuddho yāvadbuddho bhagavān" /	arhan samyaksaMbudDaH yAvat budDaH BagavAn " /
   gandhahastirapyāha   "yadi me bhadanta bhagavannevaṃrūpāśā (KpSū 176)	ganDahastiH api Aha  "yadi me Badanta Bagavan= evaMrUpa ASA (KpSU 176)
   paripūryeta tadyadāhaṃ bhagavataḥ pañcamaṇḍalena pādau vandeyaṃ tadā	paripUryeta tat yadA aham BagavataH paQcamaNxalena pAdO vandeyam tadA
   sarvasminnārāme campakapuṣpavarṣaṃ pravarṣatu" / yadā khalu kulaputra	sarvasmin= ArAme campaka puzpa varzam pravarzatu" / yadA Kalu kula putra
   gandhahastirbodhisattvo ratnagarbhasya tathāgatasya pañcamaṇḍalena pādau	ganDahastiH boDisattvaH ratna garBasya taTAgatasya paQcamaNxalena pAdO
   vandati tadā sarvasminnārāme campakapuṣpavarṣamabhiprāvarṣat /	vandati tadA sarvasmin= ArAme campaka puzpa varzam aBiprAvarzat /
   ratnagarbhastathāgata āha  	ratnagarBaH taTAgataH Aha  
   "uttiṣṭha pravaraguṇa sugandhacittāvarṣita imi varacampakapuṣpāḥ /	"uttizWa pravara guNa suganDa citta AvarzitaH imi vara campaka puzpAH /
   darśaya śubhapatha varapraṇītaṃ sthāpaya bahujagamabhaye pāre" //	darSaya SuBa paTa vara praNItam sTApaya bahu jagam aBaye pAre" //
   atha khalu kulaputra samudrareṇurbrāhmaṇa ekādaśamaṃ rājaputraṃ siṃhaṃ	aTa Kalu kula putra samudra reNuH brAhmaNaH ekAdaSamam rAja putram siMham
   nāmāmantrayāmāsa / peyālaṃ, yathā gandhahastinā praṇidhānaṃ kṛtaṃ,	nAma amantrayAmAsa / peyA alaM, yaTA ganDa hastinA praNiDAnam kRtaM,
   ratnagarbhāya tathāgatāya ratnamayaṃ dhvajaṃ niryātitaṃ /	ratna garBAya taTAgatAya ratna mayam Dvajam niryAtitam /
   ratnagarbhastathāgata āha   "sādhu sādhu satpuruṣa, ratnaketurnāma	ratnagarBaH taTAgataH Aha  "sADu sADu sat puruza, ratnaketuH nAma
   bhavasva, bhaviṣyasi tvaṃ ratnaketo 'nāgate (KpSū 177) 'dhvani atikrānte	Bavasva, Bavizyasi tvam ratnaketaH anAgate (KpSU 177) aDvani atikrAnte
   gaṅgānadīvālikāsame 'saṃkhyeye 'vaśiṣṭe dvitīye gaṅgānadīvālikāsame	gaFgA nadI vAlikA same asaMKyeye avaSizwe dvitIye gaFgA nadI vAlikA same
   'saṃkhyeye tatrābhiratyāṃ lokadhātau parinirvṛte svarṇapuṣpe tathāgate	asaMKyeye tatra aBiratyAm lokaDAtO parinirvRte svarNa puzpe taTAgate
   tasya ca saddharme 'ntarhite trayāṇāṃ antarakalpānāmatyayena	tasya ca sadDarme antarhite trayANAm antara kalpAnAm atyayena
   tadbuddhakṣetraṃ jayasomaṃ nāma bhaviṣyati, tatra tvamanuttarāṃ	tat budDa kzetram jayasomam nAma Bavizyati, tatra tvam anuttarAm
   samyaksaṃbodhimabhisaṃbhotsyase nāgavinarditeśvaraghoṣo nāma bhaviṣyasi	samyaksaMboDim aBisaMBotsyase nAgavinarditeSvaraGozaH nAma Bavizyasi
   yāvadbuddho bhagavān / evaṃrūpaṃ te buddhakṣetraṃ bhaviṣyati buddhakṣetre	yAvat budDaH BagavAn / evaMrUpam te budDa kzetram Bavizyati budDa kzetre
   guṇavyūhena yathākṣobhyasya tathāgatasya" /	guNa vyUhena yaTAkzoByasya taTAgatasya" /
   ratnaketurāha   "yadi me bhadanta bhagavannevaṃrūpāśā paripūryeta	ratnaketuH Aha  "yadi me Badanta Bagavan= evaMrUpa ASA paripUryeta
   tadyadāhaṃ bhagavataḥ pādau vande tadā sarvasattvā evaṃrūpāṃ smṛtiṃ	tat yadA aham BagavataH pAdO vande tadA sarva sattvAH evaMrUpAm smRtim
   pratilabheyuḥ, yathā bodhisattvā ye mahābodhiṃ saṃprasthitāḥ	pratilaBeyuH, yaTA boDisattvAH ye mahAboDim saMprasTitAH
   sarvasattvānāmarthāya karuṇāyamānāḥ saṃbodhau prasthitā na nivarteyuḥ" /	sarva sattvAnAm arTAya karuNAyamAnAH saMboDO prasTitAH na nivarteyuH" /
   evameva kulaputra ratnaketurbodhisattvo ratnagarbhasya tathāgatasya pādau	evam eva kula putra ratna ketuH boDisattvaH ratna garBasya taTAgatasya pAdO
   vanditvā, evameva sattvā evaṃrūpāṃ smṛtiṃ pratilabdhavanto yaduta	vanditvA, evam eva sattvAH evaMrUpAm smRtim pratilabDavantaH yat uta
   karuṇācittāḥ sarvasattvāḥ sthāpitāḥ /	karuNA cittAH sarva sattvAH sTApitAH /
   atha khalu kulaputra ratnagarbhastathāgato ratnaketuṃ bodhisattvamāha  	aTa Kalu kula putra ratnagarBaH taTAgataH ratnaketum boDisattvam Aha  
   (KpSū 178)	(KpSU 178)
   "uttiṣṭha dhairya sumate paramarūpa sattvahetu sudṛḍhakṛta pratijñā /	"uttizWa DErya sumate parama rUpa sattva hetu su dRXa kRta pratijQA /
   sthāpayasi bahujana virajacitte bhaviṣyase naravaro pravarabuddhaḥ" //	sTApayasi bahu jana viraja citte Bavizyase nara varaH pravara budDaH" //
   evaṃ peyālaṃ, mārdavapūrvaṃgamaiḥ pañcabhi rājaputraśatairevaṃrūpaṃ	evam peyA alaM, mArdava pUrvaMgamEH paQcaBi rAja putra SatEH evaMrUpam
   praṇidhānaṃ kṛtaṃ, kṛtvaivaṃrūpā buddhakṣetraguṇavyūhāḥ parigṛhītā yathā	praNiDAnam kRtaM, kRtvA evaMrUpAH budDa kzetra guNa vyUhAH parigRhItAH yaTA
   gaganamudreṇa bodhisattvena praṇidhānaṃ kṛtaṃ, buddhakṣetraguṇavyūhāśca	gagana mudreNa boDisattvena praNiDAnam kRtaM, budDa kzetra guNa vyUhAH ca
   parigṛhītāḥ / sarve ca ratnagarbheṇa tathāgatenānuttarāyāṃ samyaksaṃbodhau	parigRhItAH / sarve ca ratna garBeNa taTAgatena anuttarAyAm samyaksaMboDO
   vyākṛtāḥ / "evamevaikakāle 'nyonyeṣu lokadhātuṣvanuttarāṃ samyaksaṃbodhim	vyAkRtAH / "evam eva eka kAle anyonyezu lokaDAtuzu anuttarAm samyaksaMboDim
   spṛśiṣyatha" /	spRSizyaTa" /
   apare catvāraḥ śatā rājaputrāṇāṃ yairevaṃrūpaṃ buddhakṣetraṃ parigṛhītaṃ	apare catvAraH SatA rAja putrANAm yEH evaMrUpam budDa kzetram parigRhItam
   yathā vajracchedaprajñāvabhāsena, te 'pi sarve ratnagarbheṇa tathāgatena	yaTA vajra= Ceda prajQA avaBAsena, te api sarve ratna garBeNa taTAgatena
   vyākṛtā anuttarāyāṃ samyaksaṃbodhau anyonyeṣu lokadhātuṣu /	vyAkRtAH anuttarAyAm samyaksaMboDO anyonyezu lokaDAtuzu /
   aparairekonanavatibhī rājaputrairevaṃrūpaṃ praṇidhānaṃ kṛtaṃ, evaṃrūpaṃ ca	aparEH ekaH nanavatiBiH rAja putrEH evaMrUpam praNiDAnam kRtaM, evaMrUpam ca
   buddhakṣetraṃ parigṛhītaṃ (KpSū 179.#) yathā samantabhadreṇa /	budDa kzetram parigRhItam (KpSU 179.#) yaTA samantaBadreNa /
   sarvaiścaturaśītibhiḥ koṭṭarājasahasraiḥ pṛthakpṛthagviśiṣṭaṃ praṇidhānaṃ	sarvEH caturaSItiBiH kowwa rAja sahasrEH pRTak pRTak viSizwam praNiDAnam
   kṛtaṃ, pṛthakpṛthaśca buddhakṣetraguṇavyūhāḥ parigṛhītāḥ / sarve ca	kRtaM, pRTak pRTaH ca budDa kzetra guNa vyUhAH parigRhItAH / sarve ca
   ratnagarbheṇa tathāgatena vyākṛtā anuttarāyāṃ samyaksaṃbodhau, anyonyeṣu	ratna garBeNa taTAgatena vyAkRtAH anuttarAyAm samyaksaMboDO, anyonyezu
   lokadhātuṣvekakāle bodhiṃ prāpsyanti /	lokaDAtuzu eka kAle boDim prApsyanti /
   evameva tribhiḥ prāṇakoṭibhiḥ pṛthakpṛthak praṇidhānaṃ kṛtaṃ,	evam eva triBiH prANa kowiBiH pRTak pRTak praNiDAnam kRtaM,
   pṛthakpṛthaśca buddhakṣetraguṇavyūhāśca parigṛhītāḥ / sarve ca	pRTak pRTaH ca budDa kzetra guNa vyUhAH ca parigRhItAH / sarve ca
   ratnagarbheṇa tathāgatena vyākṛtāanuttarāyāṃ samyaksaṃbodhau, "evameva	ratna garBeNa taTAgatena vyAkRtAa nuttarAyAm samyaksaMboDO, "evam eva
   yūyamapyekakāle 'nyonyeṣu lokadhātuṣvanuttarāṃ	yUyam api eka kAle anyonyezu lokaDAtuzu anuttarAm
   samyaksaṃbodhimabhisaṃbhotsyadhve" //	samyaksaMboDim aBisaMBotsyaDve" //
   atha khalu kulaputra samudrareṇorbrāhmaṇasyāśītiputrā ratnagarbhasya	aTa Kalu kula putra samudra reNoH brAhmaNasya aSIti putrAH ratna garBasya
   tathāgatasya bhrātaraḥ, teṣāṃ jyeṣṭhaḥ samudreśvarabhuvirnāma māṇavaḥ /	taTAgatasya BrAtaraH, tezAm jyezWaH samudreSvara BuviH nAma mANavaH /
   atha khalu kulaputra samudrareṇurbrāhmaṇaḥ samudreśvarabhuviṃ māṇavaṃ	aTa Kalu kula putra samudra reNuH brAhmaNaH samudra ISvara Buvim mANavam
   āmantrayāmāsa / "pratigṛhāṇa tvaṃ māṇava pariśuddhāṃ	AmantrayAmAsa / "pratigRhANa tvam mANava pariSudDAm
   buddhakṣetraguṇavyūhāṃ" / samudreśvarabhuvirmāṇavāha   (KpSū 180) "tvaṃ	budDa kzetra guNa vyUhAn" / samudra ISvara BuvirmANavAha  (KpSU 180) "tvam
   tāvattāta prathamataraṃ siṃhanādaṃ nadasva" / samudrareṇurāha   " tvaṃ	tAvat tAta praTamataram siMhanAdam nada sva" / samudra reNuH Aha  " tvam
   tāvat putra praṇidhānaṃ kuruṣva, paścādahaṃ praṇidhānaṃ kariṣye" / sa āha	tAvat putra praNiDAnam kuruzva, paScAt aham praNiDAnam karizye" / saH Aha
     "kiṃ tāvat pariśuddhaṃ buddhakṣetraṃ pratigṛhṇāmyutāhosvidapariśuddhaṃ?"	 "kim tAvat pariSudDam budDa kzetram pratigRhNAmi uta Ahosvit apariSudDaM?"
   / agrapurohita āha   "ye mahākaruṇāsamanvāgatā bodhisattvāste kliṣṭaṃ	/ agra purohitaH Aha  "ye mahA karuNA samanvAgatAH boDisattvAH te klizwam
   buddhakṣetraṃ parigṛhṇanti, kliṣṭāśayāṃ viparītadṛṣṭikāṃ sattvānvaineyān	budDa kzetram parigRhNanti, klizwa ASayAm viparIta dRzwikAm sattvAn vEneyAn
   pratigṛhṇanti / yathā punastvaṃ māṇava svaṃ jāniṣe" /	pratigRhNanti / yaTA punar tvam mANava svam jAnize" /
   atha khalu kulaputra samudreśvarabhuvirmāṇavako yena ratnagarbhas	aTa Kalu kula putra samudra ISvara BuviH mANavakaH yena ratna garBas
   tathāgatastenopasamakrāmadupasaṃkramya ratnagarbhasya tathāgatasya purataḥ	taTAgataH tena upasamakrAmat upasaMkramya ratna garBasya taTAgatasya puratas 
   sthitvaivamāha   "evamahaṃ bhadanta bhagavannanuttarāṃ	sTitvA evam Aha  "evam aham Badanta Bagavan= anuttarAm
   samyaksaṃbodhimākāṅkṣāmi, aśītivarṣasāhasrikāyāṃ prajāyāṃ pravarāṃ bodhiṃ	samyaksaMboDim AkAFkzAmi, aSIti varza sAhasrikAyAm prajAyAm pravarAm boDim
   spṛśeyaṃ / yathaitarhi bhagavan sattvā mandarāgā mandadveṣā mandamohā	spRSeyam / yaTA etarhi Bagavan sattvAH manda rAgAH manda dvezA manda mohA
   udvignāśayāḥ saṃsāre bhayadoṣadarśinastathā tatra buddhakṣetre sattvā	udvigna ASayAH saMsAre Baya doza darSinaH taTA tatra budDa kzetre sattvA
   bhaveyuḥ, yatrāhamabhisaṃbuddheyaṃ, te ca mamāntike pravrajeyuḥ, tribhiśca	BaveyuH, yatra aham aBisaMbudDeyan, te ca mama antike pravrajeyuH, triBiH ca
   yānairahaṃ sattvānāṃ dharmaṃ deśayeyaṃ / yadi bhadanta bhagavannevaṃrūpā	yAnEH aham sattvAnAm Darmam deSayeyam / yadi Badanta Bagavan= evaMrUpA
   āśā paripūryeta tad vyākarotu māṃ bhagavānanuttarāyāṃ samyaksaṃbodhau" /	ASA paripUryeta tat vyAkarotu mAm BagavAn anuttarAyAm samyaksaMboDO" /
   (KpSū 181)	(KpSU 181)
   ratnagarbhastathāgata āha   "bhaviṣyasi tvaṃ māṇavānāgate 'dhvani	ratnagarBaH taTAgataH Aha  "Bavizyasi tvam mANavAn Agate aDvani
   atikrānta ekagaṅgānadīvālikāsame 'saṃkhyeye 'nupraviṣṭe dvitīye	atikrAntaH ekagaFgA nadI vAlikA same asaMKyeye anupravizwe dvitIye
   gaṅgānadīvālikāsame 'saṃkhyeye utpalasantīraṇe kalpe cāturdvīpikā baliṣṭhā	gaFgA nadI vAlikA same asaMKyeye utpala santi IraNe kalpe cAturdvIpikA balizWA
   nāma bhaviṣyati, imaṃ buddhakṣetramaśītivarṣasāhasrikāyāṃ prajāyāṃ	nAma Bavizyati, imam budDa kzetram aSIti varza sAhasrikAyAm prajAyAm
   bodhimabhiprapsyasi, ratnakūṭo nāma tathāgato bhaviṣyasi yāvadbuddho	boDim aBiprapsyasi, ratnakUwaH nAma taTAgataH Bavizyasi yAvat budDaH 
   bhagavān" /	BagavAn " /
   sa āha   "yadi me bhadanta bhagavannevaṃrūpā āśā paripūryeta tadiha	saH Aha  "yadi me Badanta Bagavan= evaMrUpA ASA paripUryeta tat iha
   sarvatrārāme lohitamuktiḥ pravarṣatu, sarvavṛkṣebhyaśca pañcāṅgikaṃ tūryaṃ	sarvatra ArAme lohita muktiH pravarzatu, sarva vRkzeByaH ca paQca AFgikam tUryam
   niścaratu" / yadā ca kulaputra samudreśvarabhuvirmāṇavako ratnagarbhasya	niScaratu" / yadA ca kula putra samudra ISvara BuviH mANavakaH ratna garBasya
   tathāgatasya pañcamaṇḍalena pādau vandati tadā sarvatrārāme	taTAgatasya paQcamaNxalena pAdO vandati tadA sarvatra ArAme
   lohitamuktimayavarṣaṃ pravarṣitaṃ, sarvavṛkṣebhyaśca pañcāṅgikaṃ tūryaṃ	lohita mukti maya varzam pravarzitaM, sarva vRkzeByaH ca paQca AFgikam tUryam
   niścaritaṃ /	niScaritam /
   ratnagarbhastathāgata āha  	ratnagarBaH taTAgataH Aha  
   "uttiṣṭha sthāmavara akṣayaprajñākoṣā sattvānukaṃpaka hiteṣiṇa maitracittā	"uttizWa sTAma vara akzaya prajQA kozA sattva anukaMpaka hita iziNa mEtra cittA
   abhiprāya tubhya paripūryatu śuddha sattvāna arthakaru bheṣyasi buddha	aBiprAya tuBya paripUryatu SudDa sattvAnaH arTa karu Bezyasi budDa
   loke" //	loke" //
   (KpSū 182)	(KpSU 182)
   dvitīyaśca brāhmaṇasya putraḥ saṃbhavo nāma, sa evaṃ vadati yathā	dvitIyaH ca brAhmaNasya putraH saMBavaH nAma, saH evam vadati yaTA
   samudreśvarabhuviḥ / ratnagarbhastathāgata āha   "tvamapi	samudra ISvara BuviH / ratnagarBaH taTAgataH Aha  "tvam api
   māṇavotpalasantīraṇe kalpo 'syāṃ cāturdvīpikāyāṃ lokadhātau baliṣṭhe	mANava utpala santi IraNe kalpaH asyAm cAturdvIpikAyAm lokaDAtO balizWe
   buddhakṣetre vardhamānāśītivarṣasāhasrikāyāṃ prajāyāṃ vairocanakusumo nāma	budDa kzetre varDamAna aSIti varza sAhasrikAyAm prajAyAm vErocanakusumaH nAma
   tathāgato bhaviṣyasi yāvadbuddho bhagavān" /	taTAgataH Bavizyasi yAvat budDaH BagavAn" /
   peyālaṃ, tṛtīyastvāha   "dvivarṣasahasrasya jyotigandho nāma bhaviṣyasi	peyA alan, tRtIyaH tu Aha  "dvi varza sahasrasya jyotiganDaH nAma Bavizyasi
   yāvadbuddho bhagavān" / vyākaraṇaṃ peyālaṃ, evaṃ sumanastathāgataḥ	yAvat budDaH BagavAn" / vyAkaraNam peyA alan, evam sumanaH taTAgataH
   śailarājā saṃvṛtalocano brahmottaro jambūcchāyaḥ pūrṇamuttaro ratnaśailaḥ	SElarAjA saMvRta locanaH brahma uttaraH jambu ucCAyaH pUrNam uttaraH ratnaSElaH
   samudragarbho nārāyaṇaḥ śikhī kanakamunirmunīndraḥ kauṇḍinyaḥ siṃhavikramo	samudragarBaH nArAyaNaH SiKI kanaka muniH muni indraH kONxinyaH siMha vikramaH 
   jñānadhvajo buddhaśravo 'parājito vikasitojjayo hiteṣī prajñāvabhāso	jQAna DvajaH budDaSravaH aparAjitaH vikasita ujjayaH hitezI prajQA avaBAsaH 
   mahendraḥ śāntaprajñākaro nando nyagrodharājaḥ kanakalocanaḥ sahitaḥ	mahA indraH SAnta prajQA karaH nandaH nyagroDa rAjaH kanaka locanaH sahitaH
   sūryanandiḥ ratnaśikhī sumetro brahmaḥ sundo brahmarṣabhaḥ praṇādo	sUrya nandiH ratnaSiKI sumetraH brahmaH sundaH brahmarzaBaH praNAdaH 
   dharmacandraḥ (KpSū 183) arthadarśī yaśonandī yaśottaraḥ abhirūpaḥ	DarmacandraH (KpSU 183) arTa darSI yaSaH nandI yaSa uttaraH aBirUpaH
   sugandhaścaturaḥ pravaralocanaḥ sunijastaḥ sārthavrataḥ sumanoratho	suganDaH caturaH pravara locanaH su nijaH taH sArTavrataH sumanoraTaH 
   varaprajñaḥ kanakadhvajaḥ sunetro devaśuddhaḥ śuddhodanaḥ sudarśanaḥ	vara prajQaH kanakaDvajaH su netraH devaSudDaH SudDodanaH sudarSanaH
   virūḍhadhvajo virūpākṣo brahmasvaraḥ śrīsaṃbhavaḥ śrīmahāvirajo	virUXa DvajaH virUpAkzaH brahma svaraH SrI saMBavaH SrI mahAvirajaH 
   maṇibhadraḥ mārīciḥ śākyamunirghoṣeśvaraḥ satyasaṃbhavaḥ śreṣṭhaḥ	maNiBadraH mArIciH SAkya muniH Goza ISvaraH satya saMBavaH SrezWaH
   saṃbhavapuṣpaḥ sukusumaḥ akṣobhyaḥ sūryagarbho ratīśvaro nāgadanto	saMBavapuzpaH sukusumaH akzoByaH sUrya garBaH rati ISvaraH nAgadantaH 
   vajraprabhāsaḥ kīrtirājā vyāghraraśmiḥ sanetyajñānasaṃbhavaḥ gandhasvaraḥ	vajra praBAsaH kIrti rAjA vyAGra raSmiH sanetyajQAna saMBavaH ganDa svaraH
