   śrīgaṇeśāya namaḥ	SrI gaNeSAya namaH
   ratnākarāstathā nadyasteṣāṃ varṣeṣu saptasu /	ratna AkarAH taTA nadyaH tezAm varzezu saptasu /
   prathamaḥ sūryasaṃkāśaḥ kumudo nāma parvataḥ // BndP_1,19.35 //	praTamaH sUrya saMkASaH kumudaH nAma parvataH // Bndu _1,19.35 //
   sarvadhātumayaiḥ śṛṅgaiḥ śilājālasamākulaiḥ /	sarva DAtu mayEH SRFgEH SilA jAla samAkulEH /
   dvitīyaḥ parvataścātra hyuttamo nāma viśrutaḥ // BndP_1,19.36 //	dvitIyaH parvataH ca atra hi uttamaH nAma viSrutaH // Bndu _1,19.36 //
   haritālamayaiḥ śṛṅgairdivamāvṛtya tiṣṭhati /	haritAla mayEH SRFgEH divam AvRtya tizWati /
   tṛtiyaḥ parvatastatra balāhaka iti śrutaḥ // BndP_1,19.37 //	tRtiyaH parvataH tatra balAhakaH iti SrutaH // Bndu _1,19.37 //
   jātyañjanamayaiḥ śṛṅgairdivamāvṛtya tiṣṭhati /	jAti aQjana mayEH SRFgEH divam AvRtya tizWati /
   caturthaḥ parvato droṇo yatra sā vai sahoṣadhiḥ // BndP_1,19.38 //	caturTaH parvataH droNaH yatra sA vE saha uzaDiH // Bndu _1,19.38 //
   viśalyakaraṇī caiva mṛtasañjīvinī tathā /	viSalya karaNI ca eva mRta saQjIvinI taTA /
   kaṅkastu pañcamastatra parvataḥ sumahodayaḥ // BndP_1,19.39 //	kaFkaH tu paQcamaH tatra parvataH su mahA udayaH // Bndu _1,19.39 //
   nityapuṣpaphalopeto vṛkṣavīrutsamāvṛtaḥ /	nitya puzpa Pala upetaH vRkza vIruD samAvRtaH /
   ṣaṣṭhastu parvatastatra mahiṣo meghasannibhaḥ // BndP_1,19.40 //	zazWaH tu parvataH tatra mahizaH meGa sanniBaH // Bndu _1,19.40 //
   yasminso 'gnirnivasati mahiṣo nāma vārijaḥ /	yasmin saH agniH nivasati mahizaH nAma vArijaH /
   saptamaḥ parvatastatra kakudmānnāma bhāṣyate // BndP_1,19.41 //	saptamaH parvataH tatra kakudmAn nAma BAzyate // Bndu _1,19.41 //
   tatra ratnānyanekāni svayaṃ rakṣati vāsavaḥ /	tatra ratnAni anekAni svayam rakzati vAsavaH /
   prajāpatimupādāya prajābhyo vidhivatsvayam // BndP_1,19.42 //	prajApatim upAdAya prajAByaH viDivat svayam // Bndu _1,19.42 //
   ityete parvatāḥ sapta śālmale maṇibhūṣaṇāḥ /	iti ete parvatAH sapta SAlmale maNi BUzaNAH /
   teṣāṃ varṣāṇi vakṣyāmi sarpaiva tu śubhāni vai // BndP_1,19.43 //	tezAm varzANi vakzyAmi sarpa eva tu SuBAni vE // Bndu _1,19.43 //
   kumudasya smṛtaṃ śvetamuttamasya ca lohitam /	kumudasya smRtam Svetam uttamasya ca lohitam /
   balāhakasya jīmūtaṃ droṇasya haritaṃ smṛtam // BndP_1,19.44 //	balAhakasya jImUtam droNasya haritam smRtam // Bndu _1,19.44 //
   kaṅkasya vaidyutaṃ nāma mahiṣasya ca mānasam /	kaFkasya vEdyutam nAma mahizasya ca mAnasam /
   kakudaḥ supradaṃ nāma saptaitāni tu saptadhā // BndP_1,19.45 //	kakudaH su pradam nAma sapta etAni tu saptaDA // Bndu _1,19.45 //
   varṣāṇi parvatāścaiva nadīsteṣu nibodhata /	varzANi parvatAH ca eva nadIH tezu niboData /
   jyotiḥ śāntistathā tuṣṭā candrā śukrā vimocanī // BndP_1,19.46 //	jyotiH SAntiH taTA tuzwA candrA SukrAH vimocanI // Bndu _1,19.46 //
   nivṛttiḥ saptamī tāsāṃ prativarṣaṃ tu tāḥ smṛtāḥ /	nivRttiH saptamI tAsAm prativarzam tu tAH smRtAH /
   tāsāṃ samīpagāścānyāḥ śataśo 'tha sahasraśaḥ // BndP_1,19.47 //	tAsAm samIpa gAH ca anyAH SataSas aTa sahasraSas // Bndu _1,19.47 //
   na saṃkhyāṃ parisaṃkhyātuṃ śaknuyātko 'pi mānavaḥ /	na saMKyAm parisaMKyAtum SaknuyAt kaH api mAnavaH /
   ityeṣa saṃniveśo vaḥ śālmalasya prakīrttitaḥ // BndP_1,19.48 //	iti eza saMniveSaH vaH SAlmalasya prakIrttitaH // Bndu _1,19.48 //
   plakṣavṛkṣeṇa saṃkhyātastasya madhye mahā drumaḥ /	plakza vRkzeNa saMKyAtaH tasya maDye mahA drumaH /
   śālmalirvipulaskandhastasya nāmnā sa ucyate // BndP_1,19.49 //	SAlmaliH vipula skanDaH tasya nAmnA saH ucyate // Bndu _1,19.49 //
   śālmalastu samudreṇa surodena samāvṛtaḥ /	SAlmalaH tu samudreNa surodena samAvRtaH /
   vistarācchālmalasvaiva same na tu samantataḥ // BndP_1,19.50 //	vistarAt SAlmalasva eva same na tu samantataH // Bndu _1,19.50 //
   uttareṣu tu dharmajñādvīpeṣu śṛṇuta prajāḥ /	uttarezu tu Darma jQA dvIpezu SRNuta prajAH /
   yathāśrutaṃ yathānyāyaṃ bruvato me nibodhata // BndP_1,19.51 //	yaTASrutam yaTAnyAyam bruvataH me niboData // Bndu _1,19.51 //
   kuśadvīpaṃ pravakṣyāmi caturthaṃ tu samāsataḥ /	kuSadvIpam pravakzyAmi caturTam tu samAsatas /
   surodakaḥ parivṛtaḥ kuśadvīpena sarvataḥ // BndP_1,19.52 //	surodakaH parivRtaH kuSa dvIpena sarvatas // Bndu _1,19.52 //
   śālmalasya tu vistārāddviguṇena samantataḥ /	SAlmalasya tu vistArAt dviguNena samantataH /
   saptaiva ca girīṃstatra varṇyamānānnibodhata // BndP_1,19.53 //	sapta eva ca girIn= tatra varNyamAnAn niboData // Bndu _1,19.53 //
   kuśadvīpe tu vijñeyaḥ parvato vidrumaśca yaḥ /	kuSadvIpe tu vijQeyaH parvataH vidrumaH ca yaH /
   dvīpasya prathamastasya dvitīyo hemaparvataḥ // BndP_1,19.54 //	dvIpasya praTamaH tasya dvitIyaH hemaparvataH // Bndu _1,19.54 //
   tṛtīyo dyutimānnāma jīmūtasadṛśo giriḥ /	tRtIyaH dyutimAn nAma jImUta sadRSaH giriH /
   caturthaḥ puṣpavānnāma pañcamastu kuśeśayaḥ // BndP_1,19.55 //	caturTaH puzpavAn nAma paQcamaH tu kuSeSayaH // Bndu _1,19.55 //
   ṣaṣṭho harigirirnāma saptamo mandaraḥ smṛtaḥ /	zazWaH harigiriH nAma saptamaH mandaraH smRtaH /
   mandā iti hyapā nāma mandaro dāraṇādayam // BndP_1,19.56 //	mandAH iti hi apAH nAma mandaraH dAraNAt ayam // Bndu _1,19.56 //
   teṣāmantaraviṣakaṃbho dviguṇaḥ pravibhāgataḥ /	tezAm antara viza kaMBaH dviguNaH praviBAgataH /
   udbhidaṃ prathamaṃ varṣaṃ dvitīyaṃ veṇumaṇḍalam // BndP_1,19.57 //	udBidam praTamam varzam dvitIyam veNu maNxalam // Bndu _1,19.57 //
   tṛtīyaṃ vai rathākāraṃ caturthaṃ lavaṇaṃ samṛtam /	tRtIyam vE raTa AkAram caturTam lavaNam samRtam /
   pañcamaṃ dhṛtimadvarṣaṃ ṣaṣṭhaṃ varṣaṃ prabhākaram // BndP_1,19.58 //	paQcamam DRtimat varzam zazWam varzam praBAkaram // Bndu _1,19.58 //
   saptamaṃ kapilaṃ nāma sarve te varṣa bhāvakāḥ /	saptamam kapilam nAma sarve te varza BAvakAH /
   eteṣu devagandharvāḥ prajāstu jagadīśvarāḥ // BndP_1,19.59 //	etezu deva ganDarvAH prajAH tu jagat ISvarAH // Bndu _1,19.59 //
   viharanti ramante ca hṛṣyamāṇāstu sarvaśaḥ /	viharanti ramante ca hRzyamANAH tu sarvaSas /
   na teṣu dasyavaḥ saṃti mleccha jātaya eva ca // BndP_1,19.60 //	na tezu dasyavaH saMti mlecCa jAtayaH eva ca // Bndu _1,19.60 //
   gauraprāyo janaḥ sarvaḥ kramācca mriyate tathā /	gOra prAyaH janaH sarvaH kramAt ca mriyate taTA /
   tatrāpi nadyaḥ saptaiva dhūtapāpāśivā tathā // BndP_1,19.61 //	tatra api nadyaH sapta eva DUta pApa aSivA taTA // Bndu _1,19.61 //
   pavitrā saṃtatiścaiva vidyuddaṃbhā mahī tathā /	pavitrA saMtatiH ca eva vidyut daMBA mahI taTA /
   anyāstābhyo 'parijñātāḥ śataśo 'tha sahasraśaḥ // BndP_1,19.62 //	anyAH tAByaH aparijQAtAH SataSas aTa sahasraSas // Bndu _1,19.62 //
   abhigacchanti tāḥ sarvā yato varṣati vāsavaḥ /	aBigacCanti tAH sarvAH yatas varzati vAsavaH /
   ghṛtodena kuśadvīpo bāhyataḥ parivāritaḥ // BndP_1,19.63 //	GRtodena kuSadvIpaH bAhyatas parivAritaH // Bndu _1,19.63 //
   vijñeyaḥ sa tu vistārātkuśadvīpasamena tu /	vijQeyaH sa tu vistArAt kuSa dvIpa samena tu /
   ityeṣa sanniveśo vaḥ kuśadvīpasya kīrttitaḥ // BndP_1,19.64 //	iti eza sanniveSaH vaH kuSadvIpasya kIrttitaH // Bndu _1,19.64 //
   kraiñcadvīpasya vistāraṃ vakṣyāmyahamataḥ param /	krEQcadvIpasya vistAram vakzyAmi aham atas param /
   kuśadvīpasya vistārāddviguṇaḥ sa tu vai smṛtaḥ // BndP_1,19.65 //	kuSadvIpasya vistArAt dviguNaH sa tu vE smRtaH // Bndu _1,19.65 //
   ghṛtodakasamudro vai kraiñca dvīpena saṃyutaḥ /	GRta udaka samudraH vE krEQca dvIpena saMyutaH /
   tasmindvīpe nagaśreṣṭhaḥ kraiñcastu prathamo giriḥ // BndP_1,19.66 //	tasmin dvIpe naga SrezWaH krEQcaH tu praTamaH giriH // Bndu _1,19.66 //
   kraiñcātparo vāmanako vāmanādandhakārakaḥ /	krEQcAt paraH vAmanakaH vAmanAt anDakArakaH /
   andhakārātparaścāpi divāvṛnnāma parvataḥ // BndP_1,19.67 //	anDakArAt paraH ca api divAvRt nAma parvataH // Bndu _1,19.67 //
   divāvṛtaḥ paraścāpi dvivido girisattamaḥ /	divAvRtaH paraH ca api dvividaH giri sattamaH /
   dvividātparataścāpi puṇḍarīko mahāgiriḥ // BndP_1,19.68 //	dvividAt paratas ca api puNxarIkaH mahA giriH // Bndu _1,19.68 //
   puṇḍarīkātparaścāpi procyate dundubhisvanaḥ /	puNxarIkAt paraH ca api procyate dunduBi svanaH /
   ete ratnamayāḥ sapta kraiñcadvīpasya parvatāḥ // BndP_1,19.69 //	ete ratna mayAH sapta krEQcadvIpasya parvatAH // Bndu _1,19.69 //
   bahupuṣpaphalopetanānāvṛkṣalatāvṛtāḥ /	bahu puzpa Pala upeta nAnA vRkza latA AvRtAH /
   paraspareṇa dviguṇā vistṛtā harṣavarddhanāḥ // BndP_1,19.70 //	paraspareNa dviguNAH vistRtAH harza vardDanAH // Bndu _1,19.70 //
   varṣāṇi tatra vakṣyāmi nāmatastānnibodhata /	varzANi tatra vakzyAmi nAmataH tAn niboData /
   kraiñcasya kuśalo deśo vāmanasya manonugaḥ // BndP_1,19.71 //	krEQcasya kuSalaH deSaH vAmanasya manonugaH // Bndu _1,19.71 //
   manonugātparaścoṣṇastṛtīyaṃ varṣamucyate /	manonugAt paraH ca uzNaH tRtIyam varzam ucyate /
   uṣṇātparaḥ pīvarakaḥ pīvarādandhakārakaḥ // BndP_1,19.72 //	uzNAt paraH pIvarakaH pIvarAt anDakArakaH // Bndu _1,19.72 //
   andhakārātparaścāpi munideśaḥ smṛto budhaiḥ /	anDakArAt paraH ca api muni deSaH smRtaH buDEH /
   munideśātparaścaiva procyate dundubhisvanaḥ // BndP_1,19.73 //	munideSAt paraH ca eva procyate dunduBi svanaH // Bndu _1,19.73 //
   siddhacāraṇasaṃkīrṇo gauraprayo janaḥ smataḥ /	sidDa cAraNa saMkIrNaH gOra prayaH janaH smataH /
   tatrāpi nadyaḥ saptaiva prativarṣa smṛtāḥ śubhāḥ // BndP_1,19.74 //	tatra api nadyaH sapta eva prativarza smRtAH SuBAH // Bndu _1,19.74 //
   gaurī kumudvatī caiva saṃdhyā rātrirmanojavā /	gOrI kumudvatI ca eva saMDyA rAtriH manojavAH /
   khyātiśca puṇḍarīkā ca gaṅgāḥ saptavidhāḥ smṛtāḥ // BndP_1,19.75 //	KyAtiH ca puNxarIkA ca gaFgAH saptaviDAH smRtAH // Bndu _1,19.75 //
   tāsāṃ sahasraśaścānyā nadyo yāstu samīpagāḥ /	tAsAm sahasraSas ca anyAH nadyaH yAH tu samIpa gAH /
   abhigacchanti tāḥ sarvā vipulāḥ subahūdakāḥ // BndP_1,19.76 //	aBigacCanti tAH sarvAH vipulAH su bahu udakAH // Bndu _1,19.76 //
   kraiñcadvīpaḥ samudreṇa dadhimaṇḍaudakena tu /	krEQcadvIpaH samudreNa daDimaNxa Odakena tu /
   āvṛtaḥ sarvataḥ śrīmānkraiñcadvīpasamena tu // BndP_1,19.77 //	AvRtaH sarvatas SrImAn krEQcadvIpa samena tu // Bndu _1,19.77 //
   plakṣadvīpādayo hyete samāsena prakīrttitāḥ /	plakzadvIpa AdayaH hi ete samAsena prakIrttitAH /
   teṣāṃ nisargodvīpānāmānupūrvyeṇa sarvaśaḥ // BndP_1,19.78 //	tezAm nisarga udvIpAnAm AnupUrvyeNa sarvaSas // Bndu _1,19.78 //
   na śakyo vistarādvaktuṃ divyavarṣaśatairapi /	na SakyaH vistarAt vaktum divya varza SatEH api /
   nisargo yaḥ prajānāṃ tu saṃhāro yaśca tāsu vai // BndP_1,19.79 //	nisargaH yaH prajAnAm tu saMhAraH yaH ca tAsu vE // Bndu _1,19.79 //
   śākadvīpaṃ pravakṣyāmi yathāvadiha niścayāt /	SAkadvIpam pravakzyAmi yaTAvat iha niScayAt /
   śṛṇudhvaṃ tu yathātathyaṃ bruvato me yathārthavat // BndP_1,19.80 //	SRNuDvam tu yaTAtaTyam bruvataH me yaTArTa vat // Bndu _1,19.80 //
   kraiñcadvīpasya vistārāddviguṇāstasya vistaraḥ /	krEQcadvIpasya vistArAt dviguNAH tasya vistaraH /
   parivārya samudraṃ sa dadhimaṇḍodakaṃ sthitaḥ // BndP_1,19.81 //	parivArya samudram sa daDimaNxa udakam sTitaH // Bndu _1,19.81 //
   tatra puṇyā janapadāścirāttu mriyate janaḥ /	tatra puNyAH janapadAH cirAt tu mriyate janaH /
   kuta eva ca durbhikṣaṃ jarāvyādhibhayaṃ kutaḥ // BndP_1,19.82 //	kutas eva ca durBikzam jarA vyADi Bayam kutas // Bndu _1,19.82 //
   tatrāpi parvatāḥ śabhrāḥ saptaiva maṇibhūṣaṇāḥ /	tatra api parvatAH SaBrAH sapta eva maNi BUzaNAH /
   ratnākarāstathā nadyasteṣāṃ nāmāni me śṛṇu // BndP_1,19.83 //	ratna AkarAH taTA nadyaH tezAm nAmAni me SRNu // Bndu _1,19.83 //
   devarṣigandharvayutaḥ prathamo merurucyate /	deva Rzi ganDarva yutaH praTamaH meruH ucyate /
   prāgāyataḥ sa sauvarṇo hyudayo nāma parvataḥ // BndP_1,19.84 //	prAc AyataH sa sOvarNaH hi udayaH nAma parvataH // Bndu _1,19.84 //
   vṛṣṭyarthaṃ jaladāstatra prabhaṃvati ca yānti ca /	vRzwi arTam jaladAH tatra praBaMvati ca yAnti ca /
   tasyāpareṇa sumahāñjaladhāro mahāgiriḥ // BndP_1,19.85 //	tasya apareNa su mahAn jala DAraH mahA giriH // Bndu _1,19.85 //
   yato nityamupādatte vāsavaḥ paramaṃ jalam /	yatas nityam upAdatte vAsavaH paramam jalam /
   tato varṣaṃ prabhavati varṣākāle prajāsviha // BndP_1,19.86 //	tatas varzam praBavati varzA kAle prajAsu iha // Bndu _1,19.86 //
   tasyottare raivatako yatra nityaṃ pratiṣṭhitam /	tasya uttare rEvatakaH yatra nityam pratizWitam /
   revatī divi nakṣatraṃ pitāmahakṛto vidhiḥ // BndP_1,19.87 //	revatI divi nakzatram pitAmaha kRtaH viDiH // Bndu _1,19.87 //
   tasyāpareṇa sumahān śyāmo nāma mahāgiriḥ /	tasya apareNa su mahAn SyAmaH nAma mahA giriH /
   tasmācchyāmatvamāpannāḥ prajāḥ pūrvamimāḥ kila // BndP_1,19.88 //	tasmAt SyAma tvam ApannAH prajAH pUrvam imAH kila // Bndu _1,19.88 //
   tasyāpareṇa sumahānnājato 'stagiriḥ smṛtaḥ /	tasya apareNa su mahAn nAjataH astagiriH smRtaH /
   tasyāpare cāṃbikeyo durgaśailo mahāgiriḥ // BndP_1,19.89 //	tasya apare ca aMbikeyaH durgaSElaH mahA giriH // Bndu _1,19.89 //
   aṃbikeyātparo ramyaḥ sarvauṃṣadhisamanvitaḥ /	aMbikeyAt paraH ramyaH sarva oMzaDi samanvitaH /
   kesarī kesarayuto yato vāyuḥ prajāpatiḥ // BndP_1,19.90 //	kesarI kesara yutaH yatas vAyuH prajApatiH // Bndu _1,19.90 //
   udayātprathamaṃ varṣaṃ mahāttajjaladaṃ smṛtam /	udayAt praTamam varzam mahAt tat jaladam smRtam /
   dvitīyaṃ jaladhārasya sukumāramiti smṛtam // BndP_1,19.91 //	dvitIyam jalaDArasya sukumAram iti smRtam // Bndu _1,19.91 //
   raivatasya tu kaumāraṃ śyāmasya ca maṇīvakam /	rEvatasya tu kOmAram SyAmasya ca maNIvakam /
   astasyāpi śubhaṃ varṣaṃ vijñeyaṃ kusumottaram // BndP_1,19.92 //	astasya api SuBam varzam vijQeyam kusuma uttaram // Bndu _1,19.92 //
   ambikeyasya modākaṃ kesarasya mahādrumam /	ambikeyasya modAkam kesarasya mahA drumam /
   dvīpasya parimāṇaṃ tu hrasvadīrghatvameva ca // BndP_1,19.93 //	dvIpasya parimANam tu hrasva dIrGa tvam eva ca // Bndu _1,19.93 //
   kraiñcadvīpena vikhyātaṃ tasya keturmahādrumaḥ /	krEQcadvIpena viKyAtam tasya ketuH mahAdrumaH /
   śāko nāma mahotsedhastasya pūjyā mahānugāḥ // BndP_1,19.94 //	SAkaH nAma mahA utseDaH tasya pUjyAH mahA anugAH // Bndu _1,19.94 //
   tatra puṇyā janapadāścāturvarṇyasamanvitāḥ /	tatra puNyAH janapadAH cAturvarNya samanvitAH /
   nadyaścāpi mahāpuṇyā gaṅgāḥ saptavidhāstathā // BndP_1,19.95 //	nadyaH ca api mahA puNyAH gaFgAH saptaviDAH taTA // Bndu _1,19.95 //
   sukumārī kumārī ca nalinī veṇukā ca yā /	sukumArI kumArI ca nalinI veNukA ca yA /
   ikṣuśca veṇukā caiva gabhastiḥ saptamī tathā // BndP_1,19.96 //	ikzuH ca veNukA ca eva gaBastiH saptamI taTA // Bndu _1,19.96 //
   nadyaścānyāḥ puṇyajalāḥ śītatoyavahāḥ śubhāḥ /	nadyaH ca anyAH puNya jalAH SIta toya vahAH SuBAH /
   sahasraśaḥ samākhyātā yato varṣati vāsavaḥ // BndP_1,19.97 //	sahasraSas samAKyAtAH yatas varzati vAsavaH // Bndu _1,19.97 //
   na tāsāṃ nāmadheyāni parimāṇaṃ tathaiva ca /	na tAsAm nAmaDeyAni parimANam taTA eva ca /
   śakyaṃ vai parisaṃkhyātuṃ puṇyāstāḥ sariduttamāḥ // BndP_1,19.98 //	Sakyam vE parisaMKyAtum puNyAH tAH sarit uttamAH // Bndu _1,19.98 //
   tāḥ pibanti sadā hṛṣṭā nadīrjanapadāstu te /	tAH pibanti sadA hRzwAH nadIH janapadAH tu te /
   śāṃśapāyanavistīrṇo dvīpo 'sau cakrasaṃsthitaḥ // BndP_1,19.99 //	SAMSapAyana vistIrNaH dvIpaH asO cakra saMsTitaH // Bndu _1,19.99 //
   nadījalaiḥ praticchannaḥ parvataiścābhrasannibhaiḥ /	nadI jalEH praticCannaH parvatEH ca aBra sanniBEH /
   sarvadhātuvicitraiśca maṇividrumabhūṣitaiḥ // BndP_1,19.100 //	sarva DAtu vicitrEH ca maNi vidruma BUzitEH // Bndu _1,19.100 //
   nagaraiścaiva vividhaiḥ sphītairjanapadairapi /	nagarEH ca eva viviDEH sPItEH janapadEH api /
   vṛkṣaiḥ puṣpaphalopetaiḥ samantāddhanadhānyavān // BndP_1,19.101 //	vRkzEH puzpa Pala upetEH samantAt Dana DAnyavAn // Bndu _1,19.101 //
   kṣīrodena samudreṇa sarvataḥ parivāritaḥ /	kzIrodena samudreNa sarvatas parivAritaH /
   śākadvīpasya vistārātsamena tu samaṃntataḥ // BndP_1,19.102 //	SAkadvIpasya vistArAt samena tu samaM= tataH // Bndu _1,19.102 //
   tasmiñjanapadāḥ puṇyāḥ parvatāḥ saritaḥ śubhāḥ /	tasmin janapadAH puNyAH parvatAH saritaH SuBAH /
   varṇāśramasamākīrṇā deśāste sapta vai smṛtāḥ // BndP_1,19.103 //	varNa ASrama samAkIrNAH deSAH te sapta vE smRtAH // Bndu _1,19.103 //
   na saṃkaraśca teṣvasti varṇāśramakṛtaḥ kvacit /	na saMkaraH ca tezu asti varNa ASrama kRtaH kvacid /
   dharmasya cāvyabhīcārādekāntasukhitāḥ prajāḥ // BndP_1,19.104 //	Darmasya ca avyaBIcArAt ekAnta suKitAH prajAH // Bndu _1,19.104 //
   na teṣu lobho māyā vā hīrṣāsūyākṛtaḥ kutaḥ /	na tezu loBaH mAyA vA hIrza asUyA kRtaH kutas /
   viparyayo na teṣvasti kālātsvābhāvikaṃ param // BndP_1,19.105 //	viparyayaH na tezu asti kAlAt svABAvikam param // Bndu _1,19.105 //
   karāvāptirna teṣvasti na daṇḍo na ca daṇḍyakāḥ /	kara avAptiH na tezu asti na daNxaH na ca daNxyakAH /
   svadharmeṇaiva dharma jñāste rakṣanti parasparam // BndP_1,19.106 //	svaDarmeNa eva DarmaH jQAH te rakzanti parasparam // Bndu _1,19.106 //
   etāvadeva śakyaṃ vai tasmindvīpe prabhāṣitum /	etAvat eva Sakyam vE tasmin dvIpe praBAzitum /
   etāvadeva śrotavyaṃ śākadvīpanivāsinām // BndP_1,19.107 //	etAvat eva Srotavyam SAkadvIpa nivAsinAm // Bndu _1,19.107 //
   puṣkaraṃ saptamaṃ dvīpaṃ pravakṣyāmi nibodhata /	puzkaram saptamam dvIpam pravakzyAmi niboData /
   puṣkareṇa tu dvīpena vṛtaḥ kṣīrodako bahiḥ // BndP_1,19.108 //	puzkareNa tu dvIpena vRtaH kzIrodakaH bahis // Bndu _1,19.108 //
   śākadvīpasya vistārāddviguṇena saṃmatataḥ /	SAkadvIpasya vistArAt dviguNena saMmatataH /
   puṣkare parvataḥ śrīmāneka eva mahāśilaḥ // BndP_1,19.109 //	puzkare parvataH SrImAn ekaH eva mahA SilaH // Bndu _1,19.109 //
   citrairmaṇimayaiḥ śṛṅgaiḥ śilājālaiḥ samucchritaḥ /	citrEH maNi mayEH SRFgEH SilA jAlEH samucCritaH /
   dvīpasya tasya pūrvarddhe citrasānuḥ sthito mahān // BndP_1,19.110 //	dvIpasya tasya pUrva RdDe citrasAnuH sTitaH mahAn // Bndu _1,19.110 //
   sa maṇḍalasahasrāṇi vistīrṇaḥ pañcaviṃśatiḥ /	sa maNxala sahasrANi vistIrNaH paQcaviMSatiH /
   urddhaṃ caiva catustriṃśatsahasrāṇi mahītalāt // BndP_1,19.111 //	urdDam ca eva catustriMSat sahasrANi mahI talAt // Bndu _1,19.111 //
   dvīpardhasya parikṣiptaḥ parvato mānasottaraḥ /	dvIparDasya parikziptaH parvataH mAnasottaraH /
   sthito velāsamīpe tu navacandra ivoditaḥ // BndP_1,19.112 //	sTitaH velA samIpe tu nava candraH iva uditaH // Bndu _1,19.112 //
   yojanānāṃ sahasrāṇi ūrdhvaṃ pañcāśaducchritaḥ /	yojanAnAm sahasrANi UrDvam paQcASat ucCritaH /
   tāvadeva ca vistīrṇaḥ sarvataḥ parimaṇḍalaḥ // BndP_1,19.113 //	tAvat eva ca vistIrNaH sarvatas parimaNxalaH // Bndu _1,19.113 //
   sa eva dvīpapaścārddhe mānasaḥ pṛthivīdharaḥ /	saH eva dvIpapaSca ardDe mAnasaH pRTivIDaraH /
   eka eva mahāsāraḥ sanniveśo dvidhā kṛtaḥ // BndP_1,19.114 //	ekaH eva mahAsAraH sanniveSaH dviDA kRtaH // Bndu _1,19.114 //
   svādūdakenodadhinā sarvataḥ parivāritaḥ /	svAdu udakena udaDinA sarvatas parivAritaH /
   puṣkaradvīpavistārādvistīrṇo 'sau samantataḥ // BndP_1,19.115 //	puzkara dvIpa vistArAt vistIrNaH asO samantataH // Bndu _1,19.115 //
   tasmindvīpe smṛtau dvau tu puṇyau janapadau śubhau /	tasmin dvIpe smRtO dvO tu puNyO janapadO SuBO /
   abhito mānasasyātha parvatasya tu maṇḍale // BndP_1,19.116 //	aBitas mAnasasya aTa parvatasya tu maNxale // Bndu _1,19.116 //
   mahāvītaṃ tu yadvarṣa bāhyato mānasasya tat /	mahAvItam tu yat varza bAhyatas mAnasasya tat /
   tsyaivābhyantareṇāpi dhātakīkhaṇḍamucyate // BndP_1,19.117 //	tsya eva aByantareNa api DAtakIKaNxam ucyate // Bndu _1,19.117 //
   daśavarṣasahasrāṇi tatra jīvati mānavāḥ /	daSa varza sahasrANi tatra jIvati mAnavAH /
   arogāḥ sukhabāhulyā mānasīṃ siddhimāsthitāḥ // BndP_1,19.118 //	arogAH suKa bAhulyAH mAnasIm sidDim AsTitAH // Bndu _1,19.118 //
   masasāyuśca rūpaṃ ca tasminvarṣadvaye smṛtam /	masasA AyuH ca rUpam ca tasmin varza dvaye smRtam /
   adhamottamā na teṣvasti tulyāste rūpaśīlataḥ // BndP_1,19.119 //	aDama uttamAH na tezu asti tulyAH te rUpa SIlataH // Bndu _1,19.119 //
   na tatra dasyurdamako nerṣyāsūyā bhayaṃ tathā /	na tatra dasyuH damakaH na IrzyA asUyA Bayam taTA /
   nigraho na ca daṇḍo 'sti na lobho na parigrahaḥ // BndP_1,19.120 //	nigrahaH na ca daNxaH asti na loBaH na parigrahaH // Bndu _1,19.120 //
   satyānṛtaṃ na tatrāsti dharmādharmauṃ tathaiva ca /	satya anRtam na tatra asti Darma aDarmOm taTA eva ca /
   varṇāśramau vā vārtā vā pāśupālyaṃ vaṇikpathaḥ // BndP_1,19.121 //	varNa ASramO vA vArtA vA pASupAlyam vaNikpaTaH // Bndu _1,19.121 //
   trayī vidyā daṇḍanītiḥ śuśrūṣā śilpameva ca /	trayI vidyA daNxanItiH SuSrUzA Silpam eva ca /
   varṣadvaye sarvametatpuṣkarasya na vidyate // BndP_1,19.122 //	varza dvaye sarvam etat puzkarasya na vidyate // Bndu _1,19.122 //
   na tatra varṣaṃ nadyo vā śītoṣṇaṃ vāpi vidyate /	na tatra varzam nadyaH vA SIta uzNam vA api vidyate /
   udbhidānyudakānyatra giriprasravaṇāni ca // BndP_1,19.123 //	udBidAni udakAni atra giri prasravaNAni ca // Bndu _1,19.123 //
   uttarāṇāṃ kurūṇāṃ ca tulyakālo janastathā /	uttarANAm kurUNAm ca tulya kAlaH janaH taTA /
   sarvarttususukhastatra jarākramavivarjitaḥ // BndP_1,19.124 //	sarva Rttu su suKaH tatra jarA krama vivarjitaH // Bndu _1,19.124 //
   ityeṣa dhātakīkhaṇḍe mahā vīte tathaiva ca /	iti eza DAtakIKaNxe mahA vIte taTA eva ca /
   ānupūrvyādvidhiḥ kṛtsnaḥ puṣkarasya prakīrttitaḥ // BndP_1,19.125 //	AnupUrvyAt viDiH kRtsnaH puzkarasya prakIrttitaH // Bndu _1,19.125 //
   svādūdakenodadhinā puṣkaraḥ parivāritaḥ /	svAdu udakena udaDinA puzkaraH parivAritaH /
   vistārānmaṇḍalāccaiva puṣkarasya samena tu // BndP_1,19.126 //	vistArAt maNxalAt ca eva puzkarasya samena tu // Bndu _1,19.126 //
