   1. jñānādhikāraḥ //	1. jQAna-aDikAraH //
   yugapadekābhāsanibandhanaś caiṣāṃ samanvayaḥ / sa abhinnaḥ pramātṛlīnatayā	yugapad-eka-ABAsa-nibanDanaH ca-ezAm samanvayaH / sa aBinnaH pramAtR-lIna-tayA
   kalpate /	kalpate /
   pratyakṣānupalambhānāṃ tattadbhinnāṃśapātinām /	pratyakza-anupalamBAnAm tad-tad-Binna-aMSa-pAtinAm /
   kāryakāraṇatāsiddhi- hetutaikapramātṛjā // Ipk_1,7.4 //	kArya-kAraNa-tA-sidDi hetu-ta-eka-pramAtR-jAH // Ipk-_1,7.4 //
   Ipv: kāryakāraṇabhāva iva tatsiddhir api pratyakṣānupalambhair	Ipv: kArya-kAraNa-BAvaH iva tad-sidDiH api pratyakza-anupalamBEH-
   ekapramātṛmukhena samanvayam āgatya kriyate, asamanvitāḥ	eka-pramAtR-muKena samanvayam Agatya kriyate, asamanvitAH
   pratyakṣānupalambhāḥ kramikasvaviṣayamātrajñāpanakṣīṇā	pratyakza-anupalamBAH kramika-sva-vizaya-mAtra-jQApana-kzINA
   nānyonyāpekṣopalakṣaṇakṣamāḥ //	na-anyonya-apekzA-upalakzaNa-kzamAH //
   smṛtau yaiva svasaṃvittiḥ pramāṇaṃ svātmasaṃbhave /	smRtO yA-eva sva-saMvittiH pramANam sva-Atma-saMBave /
   pūrvānubhavasadbhāve sādhanaṃ saiva nāparam // Ipk_1,7.5 //	pUrva-anuBava-sadBAve sADanam sA-eva na-aparam // Ipk-_1,7.5 //
   Ipv: pūrvānubhasvasaṃvedanasya abhāvāt smṛtisvasaṃvedanam eva	Ipv: pUrva-anuBa-sva-saMvedanasya aBAvAt smRti-sva-saMvedanam eva
   atraikārthābhāsamayapramātṛrūpaṃ smṛtisvarūpa iva pramāṇam / smṛteḥ	atra-eka-arTa-ABAsa-maya-pramAtR-rUpam smRti-svarUpaH iva pramANam / smRteH
   pūrvānubhavābhāsābhāve kāryakāraṇabhāvāsiddher na kāryaliṅgatā //	pUrva-anuBava-ABAsa-aBAve kArya-kAraNa-BAva-asidDeH na kArya-liFga-tA //
   bādhyabādhakabhāvo 'pi svātmaniṣṭhāvirodhinām /	bADya-bADaka-BAvaH api sva-Atma-nizWA-viroDinAm /
   jñānānām udiyād eka- pramātṛpariniṣṭhiteḥ // Ipk_1,7.6 //	jQAnAnAm udiyAt eka pramAtR-parinizWiteH // IpS-_1,7.6 //
   Ipv: bhinnasvābhāsamātraniṣṭhānāṃ jñānānāṃ ko virodhaḥ, tat kathaṃ	Ipv: Binna-su-ABAsa-mAtra-nizWAnAm jQAnAnAm kaH viroDaH, tat kaTam
   bādhyabādhkatvam / ekaprāmātṛviśrāntau tu yuktam //	bADya-bADka-tvam / eka-prAmAtR-viSrAntO tu yuktam //
   viviktabhūtalajñānaṃ ghaṭābhāvamatir yathā /	vivikta-BU-tala-jQAnam Gawa-aBAva-matiH yaTA /
   tathā cecchuktikājñānaṃ rūpyajñānāpramātvavit // Ipk_1,7.7 //	taTA ced-SuktikA-jQAnam rUpya-jQAna-apramAtva-vid // IpS-_1,7.7 //
   Ipv: iha bhūtale ghaṭo nāstīti ghaṭābhāvajñānaṃ kevalabhūtalajñānam eva	Ipv: iha BU-tale GawaH na-asti-iti Gawa-aBAva-jQAnam kevala-BU-tala-jQAnam eva
   śūnyabhūtalasya ghaṭābhāvarūpatvāt / tathaiva yadi śuktikārajatayor	SUnya-BU-talasya Gawa-aBAva-rUpa-tvAt / taTA-eva yadi SuktikAra-jatayoH-
   aparasparātmatvāc chuktikājñānaṃ rajatājñānam iti pratyakṣaṃ bādhakam //	aparaspara-Atma-tvAt SuktikA-jQAnam rajata-ajQAnam iti pratyakzam bADakam //
   naivaṃ śuddhasthalajñānāt siddhyet tasyāghaṭātmanā /	na-evam SudDa-sTala-jQAnAt sidDyet tasya-aGawA-AtmanA /
   na tūpalabdhiyogyasyāpy atrābhāvo ghaṭātmanaḥ // Ipk_1,7.8 //	na tu-upalabDi-yogyasya-api atra-aBAvaH Gawa-AtmanaH // IpS-_1,7.8 //
   Ipv: kevalabhūtalajnānād bhūtalasyāghaṭātmatā sidhyati, na tu tatrādhāre	Ipv: kevala-BUta-lajnAnAt BU-talasya-aGawa-Atma-tA siDyati, na tu tatra-ADAre
   bhinno darśanayogyo 'pi ghaṭo nāsti //	BinnaH darSana-yogyaH api GawaH na-asti //
   viviktaṃ bhūtalaṃ śaśvad bhāvānāṃ svātmaniṣṭhiteḥ /	viviktam BU-talam SaSvat BAvAnAm sva-Atma-nizWiteH /
   tat kathaṃ jātu tajjñānaṃ bhinnasyābhāvasādhanam // Ipk_1,7.9 //	tat kaTam jAtu tat-jQAnam Binnasya-aBAva-sADanam // Ipk-_1,7.9 //
   Ipv: bhūtalam abhūtalaviviktaṃ sadaiva tat kathaṃ tajjñānaṃ kadācid eva	Ipv: BU-talam aBU-tala-vi-viktam sadA-eva tat kaTam tat-jQAnam kadAcid eva
   tatra bhinnaghaṭābhāvaṃ sādhayet / bhinnaghaṭaviviktatā ca bhūtalasya	tatra Binna-Gawa-aBAvam sADayet / Binna-Gawa-vivikta-tA ca BU-talasya
   kadācit kaṃ rūpaṃ syād yadi ghaṭasahitatāpi kadācit svarūpaṃ bhavet, na tv	kadAcid kam rUpam syAt yadi Gawa-sahita-tA-api kadAcid svarUpam Bavet, na tu-
   evam / padārtau dvav eva svātmapariniṣṭhitau, sāhityaṃ na tadatiriktam	evam / pada-ArtO dva eva sva-Atma-parinizWitO, sAhityam na tat-atiriktam
   ubhayātmakam ekarūpam / jñānam ekaṃ tūbhayābhāsasaṃsargātmakam apy	uBaya-Atmakam eka-rUpam / jQAnam ekam tu-uBaya-ABAsa-saMsarga-Atmakam api-
   ekābhāsajñānāntarābhāvarūpam / vastu punaḥ svātmaniṣṭham eva	eka-ABAsa-jQAna-antara-aBAva-rUpam / vastu punar sva-Atma-nizWam eva
   paricchinattīti na vastubalena pradeśadarśanāt pradeśasiddhivad	paricCinatti-iti na vastu-balena pradeSa-darSanAt pradeSa-sidDi-vat-
   ghaṭābhāvasiddhiḥ / ubhayābhāsaikajñānātmakakāryābhāvāt tu syāt / na	Gawa-aBAva-sidDiH / uBaya-ABAsa-eka-jQAna-Atmaka-kArya-aBAvAt tu syAt / na
   caivaṃ vyavadhānena pratītiḥ pradeśadarśanād eva tatsiddheḥ //	ca-evam vyavaDAnena pratItiH pradeSa-darSanAt eva tad-sidDeH //
   kim tv ālokacayo 'ndhasya sparśo voṣṇādiko mṛduḥ /	kim tu Aloka-cayaH anDasya sparSaH vA-uzNa-AdikaH mRduH /
   tatrāsti sādhayet tasya svajñānam aghaṭātmatām // Ipk_1,7.10 //	tatra-asti sADayet tasya sva-jQAnam aGawa-Atma-tAm // IpS-_1,7.10 //
   Ipv: pradeśeṣv ālokapuraṃ santamase mṛdum uṣṇādikaṃ sparśaṃ vā	Ipv: pradeSezu Aloka-puram santamase mRdum uzNa-Adikam sparSam vA
   ghaṭarūpasparśābhāvātmakam anubhūyālokādi ghaṭābhāvo 'trāsti, ghaṭo	Gawa-rUpa-sparSa-aBAva-Atmakam anuBUya-Aloka-Adi Gawa-aBAvaH atra-Asti, GawaH-
   nāstīti vyavahartuṃ yuktam //	na-asti-iti vyavahartum yuktam //
   piśācaḥ syād anāloko 'py ālokābhyantare yathā /	piSAcaH syAt anAlokaH api Aloka-aByantare yaTA /
   adṛśyo bhūtalasyānta na niṣedhyaḥ sa sarvathā // Ipk_1,7.11 //	adRSyaH BU-talasya-anta na nizeDyaH sa sarvaTA // Ipk-_1,7.11 //
   Ipv: na caivam ālokasya piśācānyatvāt tatra piśācaniṣedhaprasaṅgaḥ, sa hy	Ipv: na ca-evam Alokasya piSAca-anya-tvAt tatra piSAca-nizeDa-prasaFgaH, sa hi-
   adṛśyo 'nyatve 'pi yathā mṛdgolakasyāpy antaranivāryas tathālokasyāntare /	adRSyaH anya-tve api yaTA mRd-golakasya-api antara-nivAryaH taTA-Alokasya-antare /
   tatas tasya anyamata ivāsmanmate 'pi nādṛśyatvād abhāvasiddhiḥ //	tatas tasya anyam-atas iva-asmad-mate api na-adRSya-tvAt aBAva-sidDiH //
   evaṃ rūpyavidābhāva- rūpā śuktimatir bhavet /	evam rUpya-vidA-BAva rUpA Sukti-matiH Bavet /
   na tv ādyarajatajñapteḥ syād aprāmāṇyavedikā // Ipk_1,7.12 //	na tu Adya-rajata-jQapteH syAt aprAmANya-vedikA // Ipk-_1,7.12 //
   Ipv: śuktijñānam eva rajatajñānābhāvarūpaṃ sidhyati,	Ipv: Sukti-jQAnam eva rajata-jQAna-aBAva-rUpam siDyati,
   tadānīntanaśuktijñānānubhavena na bhinnasyātītasya rūpyajñānasyāprāmāṇyam	tad-AnIntana-Sukti-jQAna-anuBavena na Binnasya-atItasya rUpya-jQAnasya-aprAmANyam
   dharmyasiddher api bhaved bādhā naivānumānataḥ /	Darmya-sidDeH api Bavet bADAH na-eva-anumAnataH /
   svasaṃvedanasiddhā tu yuktā saikapramātṛjā // Ipk_1,7.13 //	sva-saMvedana-sidDA tu yuktA sa-eka-pramAtR-jAH // IpS-_1,7.13 //
   Ipv: śuktikājñānakāle ca na pūrvaṃ rajatajñānam asti / tataḥ sa dharmī na	Ipv: SuktikA-jQAna-kAle ca na pUrvam rajata-jQAnam asti / tatas sa DarmI na
   siddha iti nānumānena bādhā, ekapramātṛmayasvasaṃvedane tv	sidDaH iti na-anumAnena bADA, eka-pramAtR-maya-sva-saMvedane tu-
   ekadeśāvaṣṭambhyubhayajñānamayasaṃbandhabhāsanāt sidhyati / paścātsaṃvādaḥ	eka-deSO=-azwamBi-uBaya-jQAna-maya-saMbanDa-BAsanAt siDyati / paScAt-saMvAdaH
   pratyakṣasvasaṃvedane pūrvasyāpi tasya bhāsanād ekaṃ pramāṇam itarad	pratyakza-sva-saMvedane pUrvasya-api tasya BAsanAt ekam pramANam itarad
   anyatheti bhavati / saṃvādo 'py ekapramātṛkṛtaḥ //	anyaTA-iti Bavati / saMvAdaH api eka-pramAtR-kRtaH //
   ittham atyarthabhinnārthāvabhāsakhacite vibhau /	itTam atyarTa-Binna-arTa-avaBAsa-Kacite viBO /
   samalo vimalo vāpi vyavahāro 'nubhūyate // Ipk_1,7.14 //	sa-malaH vimalaH vA-api vyavahAraH anuBUyate // IpS-_1,7.14 //
   Ipv: māyāśaktyā bhedaviṣayo 'yaṃ sarvo vyavahāras tathājñānaināṃ śuddho	Ipv: mAyA-SaktyA Beda-vizayaH ayam sarvaH vyavahAraH taTA-ajQAna-enAm SudDaH-
   'jñānāndhānāṃ tu malinas tattadbhinnārthāvabhāsabhāji bhagavati	ajQAna-anDAnAm tu malinaH tad-tad-Binna-arTa-avaBAsa-BAji Bagavati
   saṃbhāvyate 'nubhavena //	saMBAvyate anuBavena //
   iti jñānādhikāre saptamam āhnikam //	iti jQAna-aDikAre saptamam Ahnikam //
   tātkālikākṣasāmakṣya- sāpekṣāḥ kevalaṃ kva cit /	tAtkAlikA-akzasAmakzya sa-apekzAH kevalam kva cit /
   ābhāsā anyathānyatra tv andhāndhatamasādiṣu // Ipk_1,8.1 //	ABAsA anyaTA-anyatra tu anDa-anDatamasa-Adizu // IpS-_1,8.1 //
   Ipv: ābhāsāḥ kadācit sannihitapratyakṣākṣiptā ghaṭo 'yam iti	Ipv: ABAsAH kadAcid sannihita-pratyakza-AkziptAH GawaH ayam iti
   vyavahārahetavaḥ, andhatamasādau tu pūrvānubhavotthitāḥ //	vyavahAra-hetavaH, anDatama-sAdO tu pUrva-anuBava-utTitAH //
   viśeṣo 'rthāvabhāsasya sattāyāṃ na punaḥ kva cit /	viSezaH arTa-avaBAsasya sattAyAm na punar kva cit /
   vikalpeṣu bhaved bhāvi- bhavadbhūtārthagāmiṣu // Ipk_1,8.2 //	vikalpezu Bavet BAvi Bavat-BUta-arTa-gAmizu // Ipk-_1,8.2 //
   Ipv: smṛtyutprekṣārūpeṣu pratyakṣapṛṣṭhapātiṣu svatantreṣu vānyeṣu	Ipv: smRti-utprekzA-rUpezu pratyakza-pRzWa-pAtizu svatantrezu vA-anyezu
   vikalpeṣu kālatrayaviṣayeṣv arthāvabhāso 'ntas tulya evāvasthitaḥ //	vikalpezu kAla-traya-vizayezu arTa-avaBAsaH antar tulyaH eva-avasTitaH //
   sukhādiṣu ca saukhyādi- hetuṣv api ca vastuṣu /	suKa-Adizu ca sOKya-Adi hetuzu api ca vastuzu /
   avabhāsasya sadbhāve 'py atītatvāt tathā sthitiḥ // Ipk_1,8.3 //	avaBAsasya sadBAve api atIta-tvAt taTA sTitiH // IpS-_1,8.3 //
   Ipv: sukhaduḥkhādyābhāsās tatsādhanābhāsāś ca sadaivāntaḥ santo 'pi na	Ipv: suKa-duHKa-Adi-ABAsAH tad-sADana-ABAsAH ca sadA-eva-antar santaH api na
   tadāhlādādimayīṃ sthitiṃ kurvanty atītatvād bahis tadānīm abhāvāt	tad-AhlAt-Adi-mayIm sTitim kurvanti atIta-tvAt bahis tadAnIm aBAvAt-
   tadātvaviśiṣṭānāṃ ca tathākāritvāt //	tadAtva-viSizwAnAm ca taTA-AkAritvAt //
   gāḍham ullikhyamāne tu vikalpena sukhādike /	gAXam ulliKyamAne tu vikalpena suKa-Adike /
   tathā sthitis tathaiva syāt sphuṭam asyopalakṣaṇāt // Ipk_1,8.4 //	taTA sTitiH taTA-eva syAt sPuwam asya-upalakzaNAt // Ipk-_1,8.4 //
   Ipv: kutaś cit prayatnaniveśāt svatantravikalpollikhitaṃ sphuṭam eva	Ipv: kutas cit prayatna-niveSAt svatantra-vikalpa-ulliKitam sPuwam eva
   sukhādi jātaṃ vikāsādihetuḥ //	suKa-Adi jAtam vikAsa-Adi-hetuH //
   bhāvābhāvāvabhāsānāṃ bāhyatopādhir iṣyate /	BAva-aBAva-avaBAsAnAm bAhya-tA-upADiH izyate /
   nātmā sattā tatas teṣām āntarāṇāṃ satāṃ sadā // Ipk_1,8.5 //	na-AtmA sattA tatas tezAm AntarANAm satAm sadA // Ipk-_1,8.5 //
   Ipv: sarveṣām ābhāsānāṃ bhāvābhāvaviṣayānām abahīrūpatve 'pi sattāsty eva	Ipv: sarvezAm ABAsAnAm BAva-aBAva-vizayAnAm abahIrUpa-tve api sattA-asti eva
   smṛtyādau, bāhyatvam hi teṣām upādhir na svarūpam /	smRti-AdO, bAhya-tvam hi tezAm upADiH na sva-rUpam /
   abhāvābhāsasyāntaḥsattāyām api bahirabhāvāt tathātvam //	aBAva-ABAsasya-antar-sattAyAm api bahis-aBAvAt taTAtvam //
   āntaratvāt pramātraikye naiṣāṃ bhedanibandhanā /	Antara-tvAt pramAtR-a-Ekye na-ezAm Beda-nibanDanAH /
   arthakriyāpi bāhyatve sā bhinnābhāsabhedataḥ // Ipk_1,8.6 //	arTa-kriyA-api bAhya-tve sA Binna-ABAsa-BedataH // Ipk-_1,8.6 //
   Ipv: antaś ca sarveṣām eva nīlasukhādyā bhāsānām sadā sattve 'pi	Ipv: antar ca sarvezAm eva nIla-suKa-AdyAH BAsAnAm sadA sattve api
   pramātṛmātrarūpatvāt kāryakāraṇādibhedāśrayā nārthakriyā, pramātur bhede	pramAtR-mAtra-rUpa-tvAt kArya-kAraNa-Adi-Beda-ASrayAH na-arTa-kriyA, pramAtuH Bede
   'pi bauddhacākṣuṣatvādibhedenābhāsabhedād ābhāsāśritārthakāritāpi bhidyate	api bOdDa-cAkzuza-tva-Adi-Bedena-ABAsa-BedAt ABAsA-ASrita-arTa-kAritA-api Bidyate
   rūpādīnām //	rUpa-AdInAm //
   cinmayatve 'vabhāsānām anta eva sthitiḥ sadā /	cit-maya-tve avaBAsAnAm antaH eva sTitiH sadA /
   māyayā bhāsamānānāṃ bāhyatvād bahir apy asau // Ipk_1,8.7 //	mAyayA BAsamAnAnAm bAhya-tvAt bahis api asO // IpS-_1,8.7 //
   Ipv: citsvarūpatvenābhāsānāṃ sadāntastattva eva sthitiḥ / māyāśaktyā bahiḥ	Ipv: cit-svarUpa-tvena-ABAsAnAm sadA-antaH-tattvaH eva sTitiH / mAyA-SaktyA bahis-
   pratyakṣatvena prakāśyamāneṣu bhāveṣu prakāśāvyatirikteṣu bahirābhāsa ity	pratyakza-tvena prakASyamAnezu BAvezu prakASa-avyatiriktezu bahis-ABAse iti-
   ucyate, tad api teṣām āntaratvam eva sisṛkṣādau tu bhāvānām api //	ucyate, tat api tezAm Antara-tvam eva sisRkzA-AdO tu BAvAnAm api //
   vikalpe yo 'yam ullekhaḥ so 'pi bāhyaḥ pṛthakprathaḥ /	vikalpe yaH ayam ulleKaH saH api bAhyaH pRTak-praTaH /
   pramātraikātmyam āntaryaṃ tato bhedo hi bāhyatā // Ipk_1,8.8 //	pramAtR-a-EkAtmyam Antaryam tatas BedaH hi bAhya-tA // IpS-_1,8.8 //
   Ipv: vikalpe ghaṭādyullekhaś cakṣurādyagocare 'pi pṛthagābhāsād bāhya eva	Ipv: vikalpe Gawa-Adi-ulleKaH cakzuH-Adi-agocare api pRTak-ABAsAt bAhyaH eva
   / ahaṃvimarśo hy āntaratvaṃ, idam iti tu bāhyatā / evaṃ ca ghaṭādīnām	/ ahaMvimarSaH hi Antara-tvan, idam iti tu bAhya-tA / evam ca Gawa-AdInAm
   ubhayī bāhyatā bāhyāntaḥkaraṇadvayīvedyatā, sukhādes tv	uBayI bAhya-tA bAhya-antaHkaraNa-dvayI-vedya-tA, suKa-AdeH tu-
   ekāntaḥkaraṇavedyataiva //	ekAntaHkaraNa-vedya-tA-eva //
   ullekhasya sukhādeś ca prakāśo bahir ātmanā /	ulleKasya suKa-AdeH ca prakASaH bahis AtmanA /
   icchāto bhartur adhyakṣa- rūpo 'kṣādibhuvāṃ yathā // Ipk_1,8.9 //	icCAtaH BartuH aDyakza rUpaH akza-Adi-BuvAm yaTA // Ipk-_1,8.9 //
   Ipv: ullekhasukhaduḥkhalajjādīnāṃ cākṣuṣānāṃ rūpādīnām iveśvarasya śaktyā	Ipv: ulleKa-suKa-duHKa-lajjA-AdInAm cAkzuzAnAm rUpa-AdInAm iva-ISvarasya SaktyA
   sākṣātkaraṇarūpo bauddhaḥ prakāśaḥ //	sAkzAtkaraNa-rUpaH bOdDaH prakASaH //
   tadaikyena vinā na syāt saṃvidāṃ lokapaddhatiḥ /	tad-Ekyena vinA na syAt saMvidAm loka-padDatiH /
   prakāśaikyāt tad ekatvaṃ mātaikaḥ sa iti sthitam // Ipk_1,8.10 //	prakASa-EkyAt tat eka-tvam mAtA-ekaH saH iti sTitam // Ipk-_1,8.10 //
   Ipv: tattadvibhinnasaṃvidanusandhānena hi vyavahāraḥ / ekaś ca prakāśātmā	Ipv: tad-tad-viBinna-saMvid-anusanDAnena hi vyavahAraH / ekaH ca prakASa-AtmA
   tadanusandhānarūpaḥ sa eva caikaḥ pramātā paramātmasaṃjñaḥ //	tad-anusanDAna-rUpaH saH eva ca-ekaH pramAtA paramAtma-saMjQaH //
   sa eva vimṛśattvena niyatena maheśvaraḥ /	saH eva vimRSat-tvena niyatena maheSvaraH /
   vimarśa eva devasya śuddhe jñānakriye yataḥ // Ipk_1,8.11 //	vimarSaH eva devasya SudDe jQAna-kriye yatas // Ipk-_1,8.11 //
   Ipv: sa paramātmā cidrūpovimarśākhyenaiva mukhyasvabhāvenāvyabicāriṇā	Ipv: sa paramAtmA cit-rUpaH-vimarSa-AKyena-eva muKya-svaBAvena-AvyabicAriNA
   maheśvaraḥ / cittattvasya viśvātmanaḥ śivasaṃjñasyāhaṃvimarśanam eva	maheSvaraH / cit-tattvasya viSva-AtmanaH Siva-saMjQasya-ahaMvimarSanam eva
   śuddhe jñānakriye, bhinnābhinnajñeyakāryagate tv īśvarasya śuddhāśuddhe,	SudDe jQAna-kriye, Binna-aBinna-jQeya-kArya-gate tu ISvarasya SudDa-aSudDe,
   bhinnārthaviṣaye tu puṃsaḥ sattvarajovṛttirūpe prakāśapravṛttisaṃjñe	Binna-arTa-vizaye tu puMsaH sattva-rajaH-vRtti-rUpe prakASa-pravRtti-saMjQe
   tamasā saṃkucite 'śuddhe eva//	tamasA saMkucite aSudDe eva//
   iti jñānādhikāre 'ṣṭamāhnikam //	iti jQAna-aDikAre azwam-Ahnikam //
   iti jñānādhikāraḥ //	iti jQAna-aDikAraH //
   kriyādhikāraḥ //	kriyA-aDikAraH //
   prathamam āhnikam//	praTamam Ahnikam-//
   ata eva yad apy uktaṃ kriyā naikasya sakramā /	atas eva yat api uktam kriyA na-ekasya sa-kramAH /
   eketyādi pratikṣiptaṃ tad ekasya samarthanāt // Ipk_2,1.1 //	eka-ityAdi pratikziptam tat ekasya samarTanAt // Ipk-_2,1.1 //
   Ipv: ekacittattvasamarthanād ekasaṃbandhī vyāpāra eka eveti kriyāpy	Ipv: ekacid-tattva-samarTanAt eka-saMbanDI vyApAraH ekaH eva-iti kriyA-api-
   apakṛtadūṣaṇā //	apakRta-dUzaNAH //
   sakramatvaṃ ca laukikyāḥ kriyāyāḥ kālaśaktitaḥ /	sa-krama-tvam ca lOkikyAH kriyAyAH kAla-SaktitaH /
   ghaṭate na tu śāśvatyāḥ prābhavyāḥ syāt prabhor iva // Ipk_2,1.2 //	Gawate na tu SASvatyAH prABavyAH syAt praBoH iva // IpS-_2,1.2 //
   Ipv: māyāśakter bhinnabhāvāvabhāsānāṃ kriyā ca kālaśaktivaśāt sakramā na	Ipv: mAyA-SakteH Binna-BAva-avaBAsAnAm kriyA ca kAla-Sakti-vaSAt sa-kramAH na
   tv ātmavimarśarūpānādinidhanā prabhoḥ svabhāvabhūtā //	tu Atma-vimarSa-rUpa-anAdi-niDanA praBoH svaBAva-BUtAH //
   kālaḥ sūryādisaṃcāras tattatpuṣpādijanma vā /	kAlaH sUrya-Adi-saMcAraH tad-tad-puzpa-Adi-janma vA /
   śītoṣṇe vātha tallakṣyaḥ krama eva sa tattvataḥ // Ipk_2,1.3 //	SIta-uzNe vA-aTa tat-lakzyaH kramaH eva sa tattvataH // IpS-_2,1.3 //
   Ipv: sā sā prasiddhā kriyā kālaḥ śītādi vā tadupalakṣitaḥ	Ipv: sA sA prasidDA kriyA kAlaH SIta-Adi vA tad-upalakzitaH
   sarvabhinnāvabhāsamānabhāvopādhibhūtaḥ krama eva vāsau tasyaivopayogāt //	sarva-Binna-avaBAsamAna-BAva-upADi-BUtaH kramaH eva vA-asO tasya-eva-upayogAt //
   kramo bhedāśrayo bhedo 'py ābhāsasadasattvataḥ /	kramaH Beda-ASrayaH BedaH api ABAsa-sada-sattvataH /
   ābhāsasadasattve tu citrābhāsakṛtaḥ prabhoḥ // Ipk_2,1.4 //	ABAsasada-sattve tu citra-ABAsa-kRtaH praBoH // IpS-_2,1.4 //
   Ipv: anyonyābhāsaśūnyabhinnabhāvāvabhāsavaicitryakriyaiva prabhor bhāveṣu	Ipv: anyonya-ABAsa-SUnya-Binna-BAva-avaBAsa-vEcitrya-kriyA-eva praBoH BAvezu
   kramahetuḥ //	krama-hetuH //
   mūrtivaicitryato deśa- kramam ābhāsayaty asau /	mUrti-vEcitryataH deSa kramam ABAsayati asO /
   kriyāvaicitryanirbhāsāt kālakramam apīśvaraḥ // Ipk_2,1.5 //	kriyA-vEcitrya-nirBAsAt kAla-kramam api-ISvaraH // IpS-_2,1.5 //
   Ipv: anekasyānyonyabhedābhāsād deśakramaḥ kriyāmukhena kālakramo 'pi /	Ipv: anekasya-anyonya-Beda-ABAsAt deSa-kramaH kriyA-muKena kAla-kramaH api /
   ekasya tu bhāvasya tattajjanmasattāvipariṇāmādikriyābhedāt kālakrama eva	ekasya tu BAvasya tad-tad-janma-sattA-vipariNAma-Adi-kriyA-BedAt kAla-kramaH eva
   sarvatrābhāsabhedo 'pi bhavet kālakramākaraḥ /	sarvatra-ABAsa-BedaH api Bavet kAla-krama-AkaraH /
   vicchinnabhāsaḥ śūnyāder mātur bhātasya no sakṛt // Ipk_2,1.6 //	vicCinna-BAsaH SUnya-AdeH mAtuH BAtasya no sakRt // Ipk-_2,1.6 //
   Ipv: sarvatrārthe vicitro 'vabhāsaḥ śūnyadehāder eva pramātuḥ	Ipv: sarvatra-arTe vicitraH avaBAsaH SUnya-deha-AdeH eva pramAtuH
   kālakramābhāsahetur, sa hi prākkālo na tathā tadānīṃ bhāsate smṛtiṃ vihāya	kAla-krama-ABAsa-hetur, sa hi prAk-kAlaH na taTA tadAnIm BAsate smRtim vihAya
   svavartamānāpekṣayā cāsau bhūtabhaviṣyatte vyavaharati / sakṛdvibhātasya	sva-vartamAna-apekzayA ca-asO BUta-Bavizyat-te vyavaharati / sakRt-viBAtasya
   tu bhāsanakriyāvicchedād āvṛttigaṇanābhāvān nātmanīvārtheṣv api kālabhedaḥ	tu BAsana-kriyA-vicCedAt AvRtti-gaNanA-BAvAn na-Atmani-iva-arTezu api kAla-BedaH
   deśakramo 'pi bhāveṣu bhāti mātur mitātmanaḥ /	deSa-kramaH api BAvezu BAti mAtuH mita-AtmanaH /
   svātmeva svātmanā pūrṇā bhāvā bhānty amitasya tu // Ipk_2,1.7 //	sva-AtmA-iva sva-AtmanA pUrNAH BAvAH BAnti amitasya tu // IpS-_2,1.7 //
   Ipv: parimitaṃ pramātaram apekṣya bhāvas tato 'nyonyaṃ ca bhinnā	Ipv: parimitam pramAtaram apekzya BAvaH tatas anyonyam ca BinnA
   dūrādivyapadeśabhājaś ca, prakāśaikarūpatvena tv īśvarasya na kvāpy	dUra-Adi-vyapadeSa-BAjaH ca, prakASa-eka-rUpa-tvena tu ISvarasya na kvApi-
   \var{kvāpy\lem \em kvapy \ed} aprakāśasaṃbhavāt paramāṇav api /	\var{kvApy\lem \em ku-api \ed} aprakASa-saMBavAt paramANav api /
   prakāśaghanasya nātmano bhinnaṃ dūraṃ vānyānyato vā kiṃcid ābhāti //	prakASa-Ganasya na-AtmanaH Binnam dUram vA-anyAni-atas vA kiMcid ABAti //
   kiṃ tu nirmāṇaśaktiḥ sāpy evaṃ viduṣa īśituḥ /	kim tu nirmANa-SaktiH sA-api evam viduzaH ISituH /
   tathā vijñātṛvijñeya- bhedo yad avabhāsyate // Ipk_2,1.8 //	taTA vijQAtR-vijQeya BedaH yat avaBAsyate // IpS-_2,1.8 //
   Ipv: evaṃ pūrṇatayā prakāśamānasyāpi parameśvarasya saiṣā sṛṣṭiśaktir yaj	Ipv: evam pUrNa-tayA prakASamAnasya-api parameSvarasya sA-ezA sRzwi-SaktiH yaj
   jñātṛjñeyasvabhāvā bhāvāḥ svato 'nyonyaṃ ca vibhāgenāvasīyante, na ca	jQAtR-jQeya-svaBAvAH BAvAH svatas anyonyam ca viBAgena-avasIyante, na ca
   tathāvasāyena tasya svarūpasthitis tirodhīyate //	taTA-avasAyena tasya svarUpa-sTitiH tiroDIyate //
   iti kriyādhikāre prathamam āhnikam //	iti kriyA-aDikAre praTamam Ahnikam //
   dvitīyam āhnikam //	dvitIyam Ahnikam //
   kriyāsaṃbandhasāmānya- dravyadikkālabuddhayaḥ /	kriyA-saMbanDa-sAmAnya dravya-diS-kAla-budDayaH /
   satyāḥ sthairyopayogābhyām ekānekāśrayā matāḥ // Ipk_2,2.1 //	satyAH sTErya-upayogAByAm eka-aneka-ASrayAH matAH // IpS-_2,2.1 //
   Ipv: kriyāvad anye 'pi saṃbandhādaya ekānekaviṣayā api satyābhāsāḥ,	Ipv: kriyAvat anye api saMbanDa-AdayaH eka-aneka-vizayAH api satya-ABAsAH,
   sarvadopayoginām eṣām arthavattvenāpariharaṇīyatvāt //	sarvadA-upayoginAm ezAm arTavat-tvena-apariharaNIya-tvAt //
