   prathamaṃ kośasthānam	praTamam koSa sTAnam
   yadi hi dauḥśīlyādabhikṣuḥ syāt śikṣādattako na syāt /	yadi hi dOHSIlyAt aBikzuH syAt SikzAdattakaH na syAt /
   na vayaṃ brūmaḥ sahādhyāpattyā sarvaḥ pārājikaḥ iti /	na vayam brUmaH saha aDyApattyA sarvaH pArAjikaH iti /
   yastu pārājikaḥ so 'vaśyamabhikṣuḥ /	yaH tu pArAjikaH saH avaSyam aBikzuH /
   kaścittu saṃtānaviśeṣānna pārājika ekacittenāpyapraticchādanāditi	kaScid tu saMtAna viSezAt na pArAjikaH ekacittena api apraticCAdanAt iti
   vyavasthāpitaṃ dharmasvāminā /	vyavasTApitam Darma svAminA /
   yadi tarhi pārājiko na bhikṣuḥ kiṃ punarna pravrājyate /	yadi tarhi pArAjikaH na BikzuH kim punar na pravrAjyate /
   tīvrānapatrāpyavipāditatvāt saṃtateḥ saṃvarābhavyatvānna tu khalu	tIvra anapatra api avipAdita tvAt saMtateH saMvara aBavya tvAt na tu Kalu
   bhikṣubhāvāpekṣayā /	Bikzu BAva apekzayA /
   tathā hyasau nikṣiptaśikṣo 'pi na pravrājyate /	taTA hi asO nikzipta SikzaH api na pravrAjyate /
   kaścāyamanarthe nirbandho yadyasau tathābhūto 'pi bhikṣurnamo 'stu tasmai	kaH ca ayam anarTe nirbanDaH yadi asO taTABUtaH api BikzuH namaH astu tasmE
   tādṛśāya bhikṣutvāya /	tAdRSAya Bikzu tvAya /
   saddharmāntardhāne bu vinayakarmābhāvādapūrvasaṃvaralābho nāsti /	sadDarma antarDAne bu vinaya karma aBAvAt apUrva saMvara lABaH na asti /
   labdhasya tu nāsti tyāgaḥ /	labDasya tu na asti tyAgaH /
        atha dhyānānāsravasaṃvarayoḥ kathaṃ tyāgaḥ /	aTa DyAnAn Asrava saMvarayoH kaTam tyAgaH /
        bhūmisaṃcārahānibhyāṃ dhyānāptaṃ tyajyate śubham /	BUmi saMcAra hAniByAm DyAna Aptam tyajyate SuBam /
   sarvameva dhyānāptaṃ kuśalaṃ dvābhyāṃ kāraṇābhyāṃ parityajyate /	sarvam eva DyAna Aptam kuSalam dvAByAm kAraNAByAm parityajyate /
   upapattito vā bhūmisaṃcārādūrdhvaṃ cāvaśyaṃ parihāṇito vā	upapattitaH vA BUmi saMcArAt UrDvam ca avaSyam parihANitaH vA
   samāpatternikāyasabhāgatvācca kiñcit /	samApatteH nikAya sa BAga tvAt ca kiQcid /
   yathā ca rūpāptaṃ kuśalaṃ bhūmisaṃcārahānibhyāṃ tyajyate	yaTA ca rUpa Aptam kuSalam BUmi saMcAra hAniByAm tyajyate
        tathārūpyāptamāryaṃ tu phalāptyuttaptihānibhiḥ // VAkK_4.40 //	taTArUpya Aptam Aryam tu Pala Apti uttapti hAniBiH // VAkK_4.40 //
   anāsravaṃ tu kuśalaṃ tribhiḥ kāraṇaiḥ parityakṣyate /	anAsravam tu kuSalam triBiH kAraNEH parityakzyate /
   phalaprāptitaḥ pūrvako mārgaḥ parityakṣyate /	Pala prAptitaH pUrvakaH mArgaH parityakzyate /
   indriyottāpanena mṛddhindriyamārgaḥ /	indriya uttApanena mRd Dindriya mArgaH /
   parihāṇita uttaro mārgaḥ /	parihANitaH uttaraH mArgaH /
   phalaṃ phalaviśiṣṭo vā /	Palam Pala viSizwaH vA /
   evaṃ tāvat saṃvarāstyajyante /	evam tAvat saMvarAH tyajyante /
        asaṃvaraḥ saṃvarāptimṛtyudvivyañjanodayaiḥ /	asaMvaraH saMvara Apti mRtyu dvivyaQjana udayEH /
   tribhiḥ kāraṇairasaṃvaracchedaḥ /	triBiH kAraNEH asaMvara= CedaH /
   saṃvaraprāptitaḥ /	saMvara prAptitaH /
   yadi saṃvaraṃ samādatte dhyānasaṃvaraṃ vā labhate /	yadi saMvaram samAdatte DyAna saMvaram vA laBate /
   hetupratyayabalena samādhilābhāt /	hetu pratyaya balena samADi lABAt /
   tenāsaṃvaśchidyate /	tena asaMvaH Cidyate /
   pratidvandvabalīyastvāt /	pratidvandva balIyaH tvAt /
   maraṇenāśrayatyāgāt /	maraNena ASraya tyAgAt /
   dvivyañjanotpādenāśrayavikopanāditi /	dvi vyaQjana utpAdena ASraya vikopanAt iti /
   śastrajālatyāge 'pyakaraṇāśayataḥ /	Sastra jAla tyAge api akaraNa ASayataH /
   saṃvaramantareṇāsaṃvaracchedo nāsti /	saMvaram antareNa asaMvara= CedaH na asti /
   nidānaparivarjane 'pyauṣadhamantareṇa pravṛddharogāvinivṛttivat /	nidAna parivarjane api OzaDam antareNa pravRdDa roga avinivRtti vat /
   ya āsaṃvarika upavāsaṃ gṛhṇāti kimasau tasmātsaṃvarātpunarasaṃvaraṃ	yaH AsaMvarikaH upavAsam gRhNAti kim asO tasmAt saMvarAt punar asaMvaram
   gacchatyāhosvinnaivasaṃvaraṃ nāsaṃvaram /	gacCati Aha usvit na eva saMvaram na asaMvaram /
   asaṃvaramityeke /	asaMvaram iti eke /
   tyāgāśayasyānātyantikatvāt /	tyAga ASayasya anAtyantika tvAt /
   pradīptaivāyaḥpiṇḍaḥ punaḥ śyāmatāṃ nāprayujyamāno gacchatītyapare /	pradIptA eva ayaH piNxaH punar SyAma tAm na aprayujyamAnaH gacCati iti apare /
   tallābhasya vijñaptyadhīnatvāt /	tad lABasya vijQapti aDIna tvAt /
        atha saṃvarāsaṃvaravinirmuktā kathamavijñaptistyajyate /	aTa saMvarA saMvara vinirmuktA kaTam avijQaptiH tyajyate /
        vegādānakriyārthāyurmūlacchedaistu madhyamā // VAkK_4.41 //	vega AdAna kriyA arTa AyuH mUla= CedEH tu maDyamA // VAkK_4.41 //
   yena hyasau prasādakleśavegenāvijñaptirākṣiptā bhavati tasya cchedātsā 'pi	yena hi asO prasAda kleSa vegena avijQaptiH AkziptA Bavati tasya cCedAt sA api
   cchidyate /	cCidyate /
   kumbhakāracakreṣugativat /	kumBakAra cakra izu gati vat /
   ādānatyāgādapi cchidyate /	AdAna tyAgAt api cCidyate /
   yadi samādānaṃ tyajatyalaṃ samādāneneti /	yadi samAdAnam tyajati alam samAdAnena iti /
   kriyāvicchedādapi vicchidyate yathāsamāttamakurvataḥ /	kriyA vicCedAt api vicCidyate yaTAsamAttam akurvataH /
   arthavicchedādapi vicchidyate /	arTa vicCedAt api vicCidyate /
   katamasyārthasya /	katamasya arTasya /
   caityārāmavihāraśayanāsana yantrajālādino vastunaḥ /	cEtya ArAma vihAra Sayana Asana yantra jAla AdinaH vastunaH /
   āyuṣo 'pi kuśalalmūlānāmapi cchedādvicchidyate /	AyuzaH api kuSalalmUlAnAm api cCedAt vicCidyate /
   yadā kuśalamūlāni samucchettumārabhata ityebhiḥ ṣadbhiḥ	yadA kuSala mUlAni samucCettum AraBate iti eBiH zadBiH
   kāraṇairavijñaptirmadhyamā tyajyate /	kAraNEH avijQaptiH maDyamA tyajyate /
        kāmāptaṃ kuśalārūpaṃ mūlacchedordhvajanmataḥ /	kAma Aptam kuSala arUpam mUla= Ceda UrDva janmataH /
   kāmāvacaraṃ kuśalamarūpasvabhāvaṃ dvābhyāṃ kāraṇābhyāṃ parityajyate /	kAma avacaram kuSalam arUpa svaBAvam dvAByAm kAraNAByAm parityajyate /
   kuśalamūlasamucchedādrūpārūpyadhātūpapattito vā /	kuSala mUla samucCedAt rUpArUpya DAtu upapattitaH vA /
        pratipakṣodayāt kliṣṭamarūpaṃ tu vihīyate // VAkK_4.42 //	pratipakzodayAt klizwam arUpam tu vihIyate // VAkK_4.42 //
   kliṣṭaṃ tvarūpasvabhāvaṃ sarvameva pratipakṣodayādvihīyate /	klizwam tu arUpa svaBAvam sarvam eva pratipakza udayAt vihIyate /
   yasyopakleśaprakārasya yaḥ prahāṇamārgastenāsau saparivāraḥ parityajyate	yasya upakleSa prakArasya yaH prahANa mArgaH tena asO sa parivAraH parityajyate
   nānyathā /	na anyaTA /
   atha keṣāṃ sattvānāmasaṃvaro bhavati keṣāṃ saṃvaraḥ /	aTa kezAm sattvAnAm asaMvaraH Bavati kezAm saMvaraH /
        nṛṇāmasaṃvaro hitvā śaṇḍapaṇḍadvidhākṛtīn /	nRNAm asaMvaraH hitvA SaNxa paNxa dviDA AkRtIn /
        kuruṃśca	kurun= ca
   manuṣyagatāvevāsaṃvaro nānyatra /	manuzya gatO= eva asaMvaraH na anyatra /
   tatrāpi śaṇḍhapaṇḍakobhayavyañjanānutarakauravāṃśca hitvā /	tatra api SaNXa paNxaka uBaya vyaQjana anutara kOravAn= ca hitvA /
        saṃvaro 'pyevaṃ devānāṃ ca	saMvaraH api evam devAnAm ca
   saṃvaro hi manuṣyāṇāmeva yathoktaṃ hitvā devānāṃ ceti gatidvaye saṃvaraḥ /	saMvaraH hi manuzyANAm eva yaToktam hitvA devAnAm ca iti gati dvaye saMvaraH /
   śaṇḍhādīnāṃ saṃvaro nāstīti kathaṃ gamyate /	SaNXa AdInAm saMvaraH na asti iti kaTam gamyate /
   sūtrādvinayācca /	sUtrAt vinayAt ca /
   sūtra uktaṃ yataśca mahānāma gṛhī avadātavasanaḥ puruṣaḥ puruṣendriyeṇa	sUtraH uktam yatas ca mahAnAma gRhI avadAta vasanaH puruzaH puruza indriyeNa
   samanvāgato buddhaṃ śaraṇaṃ gacchati yāvadvācaṃ bhāṣate upāsakaṃ māṃ	samanvAgataH budDam SaraNam gacCati yAvat vAcam BAzate upAsakam mAm
   dhāraya iyatā copāsako bhavatī"ti /	DAraya iyatA ca upAsakaH BavatI"ti /
   vinaye 'pi tadrūpo nāśayitavya uktaḥ /	vinaye api tad rUpaH nASayitavyaH uktaH /
   kiṃ punaḥ kāraṇameṣāṃ saṃvaro nāsti /	kim punar kAraNam ezAm saMvaraH na asti /
   ubhayāśrayakleśādhimātratayā	uBaya ASraya kleSa aDimAtra tayA
   pratisaṃkhyānākṣamatvāttīvrahrīvyapatrāpyābhāvācca /	pratisaMKyAna akzama tvAt tIvra hrIvI apatrApya aBAvAt ca /
   asaṃvarastarhi kasmānnāsti /	asaMvaraH tarhi kasmAt na asti /
   pāpe 'pyasthirāśayatvāt /	pApe api asTirASaya tvAt /
   yatraiava ca saṃvarastatrāsaṃvaro 'pi pratidvandvabhāvāt /	yatra eava ca saMvaraH tatra asaMvaraH api pratidvandva BAvAt /
   uttarakoravāṇāṃ samādānasamādhyabhāvāt pāpakriyāśayābhāvācca	uttarakoravANAm samAdAna samADyaBAvAt pApa kriyA ASaya aBAvAt ca
   saṃvarāsaṃvarābhāvaḥ /	saMvarA saMvara aBAvaH /
   āpāyikānāmapi tīvraṃ hrīvyapatrāpyaṃ nāsti yadyogād yadvipādanācca	ApAyikAnAm api tIvram hrI vyapatrApyam na asti yat yogAt yad vipAdanAt ca
   saṃvarāsaṃvarau syātām /	saMvarA saMvarO syAtAm /
   api khalvāśraya eva sa teṣāṃ tādṛśa ūṣarakṣetrabhūtaḥ	api KalvASrayaH eva sa tezAm tAdRSaH Uzara kzetra BUtaH
   śaṇḍapaṇḍakobhayavyañjanottarakauravāpāyikānāṃ yatrāśraye saṃvaro pi na	SaNxa paNxaka uBaya vyaQjana uttara kOrava ApAyikAnAm yatra ASraye saMvaraH pi na
   virohatyasaṃvaro 'pyūṣara iva kṣetre sasyamapyatimātraṃ kakvamapīti /	virohati asaMvaraH api UzaraH iva kzetre sasyam api atimAtram kakvam api iti /
   yattarhi sūtra uktam "aṇḍajo bhikṣavo nāgo 'ṣṭamyāṃ pakṣasya	yat tarhi sUtraH uktam "aNxa jaH BikzavaH nAgaH azwamyAm pakzasya
   bhāvanādabhyudgamyāṣṭāṅgasamanvāgatamupavāsamupavasatī"ti /	BAvanAt aByudgamya azwa aFga samanvAgatam upavAsam upavasatI"ti /
   sucaritamātraṃ tatteṣāṃ na saṃvaraḥ /	su carita mAtram tat tezAm na saMvaraH /
   tasmādevamanuṣyāṇāmeva saṃvaraḥ /	tasmAt eva manuzyANAm eva saMvaraH /
   tatra punaḥ	tatra punar 
        nṛṇāṃ trayaḥ // VAkK_4.43 //	nRNAm trayaH // VAkK_4.43 //
   manuṣyāṇāṃ sarve trayaḥ prātimokṣādisaṃvarāḥ saṃvidyante /	manuzyANAm sarve trayaH prAtimokza Adi saMvarAH saMvidyante /
        kāmarūpajadevānāṃ dhyānajaḥ	kAmarUpa ja devAnAm DyAna jaH
   dhyānasaṃvaraḥ kāmarūpadhātūpapannānāṃ devānāmurdhvaṃ nāsti /	DyAna saMvaraH kAmarUpa DAtu upapannAnAm devAnAm urDvam na asti /
        anāsravaḥ punaḥ /	anAsravaH punar /
        dhyānāntarāsaṃjñisattvavarjyānāmapyarūpiṇām // VAkK_4.44 //	DyAna antarA saMjQi sattva varjyAnAm api arUpiNAm // VAkK_4.44 //
   anāsravasaṃvarastu kāmarūpadhātūpapannānāmapyasti	anAsrava saMvaraH tu kAmarUpa DAtu upapannAnAm api asti
   dhyānāntarikāsaṃjñisatvopapannānvarjayitvā /	DyAna antarikA saMjQi satva upapannAn varjayitvA /
   ārūpyopapannānāmapi teṣāṃ tu samanvāgamato 'sti na saṃmukhībhāvataḥ /	ArUpya upapannAnAm api tezAm tu samanvAgamataH asti na saMmuKIBAvataH /
   ataḥ paramidānīṃ karmanirdeśādhikārātsūtrīddiṣṭānāṃ karmaṇāṃ nirdeṣa	atas param idAnIm karma nirdeSa aDikArAt sUtrI ddizwAnAm karmaNAm nirdeza
   ārapsyate /	Arapsyate /
   trīṇi karmāṇi /	trINi karmANi /
   kuśalaṃ karmākuśalamavyākṛtaṃ kameti /	kuSalam karma akuSalam avyAkRtam kam a iti /
   tatra	tatra
        kṣemākṣemetaratkarma kuśalākuśaletarat /	kzemAkzema itarat karma kuSala akuSala itarat /
   idaṃ kuśalādīnāṃ lakṣaṇam /	idam kuSala AdInAm lakzaNam /
   kṣemaṃ karma kuśalaṃ yadiṣṭavipākaṃ nirvāṇaprāpakaṃ ca duḥkhaparitrāṇāt /	kzemam karma kuSalam yat izwa vipAkam nirvANa prApakam ca duHKa paritrANAt /
   tatkālamatyantaṃ ca akṣemamakuśalaṃ kṣemapratidvandvabhāvena yasyāniṣṭo	tad kAlam atyantam ca akzemam akuSalam kzema pratidvandva BAvena yasya anizwaH 
   vipākaḥ /	vipAkaH /
   tābhyāmitaratkarma naiva kṣemaṃ nākṣemaṃ yattatkuśalākuśalābhyāmitarat	tAByAm itarat karma na eva kzemam na akza imam yat tat kuSala akuSalAByAm itarat 
   veditavyam /	veditavyam /
   avyākṛtamityarthaḥ /	avyAkRtam iti arTaH /
   punaḥ	punar 
        puṇyāpuṇyamaviñjaṃ ca sukhavedyādi ca trayam // VAkK_4.45 //	puNya apuNyam aviQjam ca suKa vedya Adi ca trayam // VAkK_4.45 //
   trīṇī karmāṇi puṇyamapuṇyamāneñjaṃ ca /	trINI karmANi puNyam apuNyamAneQjam ca /
   punaḥ trīṇi /	punar trINi /
   sukhavedanīyaṃ karma duḥkhavedanīyamaduḥkhāsukhavedanīyaṃ ca /	suKa vedanIyam karma duHKa vedanI yam aduHKa asuKa vedanIyam ca /
   tatra tāvat	tatra tAvat 
        kāmadhātau śubhaṃ karma puṇyamāneñjamūrdhvajam /	kAmaDAtO SuBam karma puNyamAna iQjam UrDvajam /
   śubhamiti vartate /	SuBam iti vartate /
   rūpārūpyāvacaraṃ kuśalaṃ karmāneñjam /	rUpArUpya avacaram kuSalam karma aneQjam /
   nanu ca trīṇi dhyānāni señjitānyuktāni bhagavatā /	nanu ca trINi DyAnAni sa iQjitAni uktAni BagavatA /
   "yadatra vitarkitaṃ vicāritamidamatrāryā iñjitamityāhurityevamādi /	"yat atra vitarkitam vicAritam idam atra AryAH iQjitam iti AhuH iti evamAdi /
   samādau sāpakṣālatāṃ teṣāmadhikṛtyaivamuktam /	samAdO sa apakzAla tAm tezAm aDikRtya evam uktam /
   āniñjānyapi tu tānyuktānyāniñjasūtre /	AniQjAni api tu tAni uktAn yAn iQja sUtre /
   āniñjasaṃpreyagāminīṃ pratipadamārabhya /	AniQja saMpreya gAminIm pratipadam AraBya /
   kiṃ punaḥ kāraṇaṃ señjitamevānyatrāniñjamuktam /	kim punar kAraNam sa iQjitam eva anyatra aniQjam uktam /
        tadbhūmiṣu yataḥ karmavipākaṃ prati neñjati // VAkK_4.46 //	tat BUmizu yatas karma vipAkam prati na iQjati // VAkK_4.46 //
   kāmāvacaraṃ hi vipākaṃ prati kampate /	kAma avacaram hi vipAkam prati kampate /
   kathaṃ kampate /	kaTam kampate /
   avyavasthānāt /	avyavasTAnAt /
   anyagati kamapi hyanyasyāṃ gatau vipacyate /	anyagati kam api hi anyasyAm gatO vipacyate /
   anyadevanaikāyikaṃ cānya devanikāye /	anya deva nEkAyikam ca anya deva nikAye /
   yadeva hi pramāṇabalavarṇakarmānyabhūmika sukhabhogādi saṃvartanīyaṃ karma	yat eva hi pramANa bala varNa karma anya BUmika suKa Boga Adi saMvartanIyam karma
   deveṣu vipacyate tadeva kadācidanyapratyayavaśānmanuṣyatiryakapreteṣu	devezu vipacyate tat eva kadAcid anya pratyaya vaSAn manuzya tiryaka pretezu
   vipacyate /	vipacyate /
   rūpārūpyāvacaraṃ tu karmānyabhūmikamanyasyāṃ bhūmau vipaktuṃ na	rUpArUpya avacaram tu karma anyaBUmikam anyasyAm BUmO vipaktum na
   jātūtsahate /	jAtu utsahate /
   tasmādvyavasthitavipākatvādāneñjamityucyate /	tasmAt vyavasTita vipAka tva AdAneQjam iti ucyate /
   apuṇyaṃ tu karmākuśalamiti prasiddhaṃ loke /	apuNyam tu karma akuSalam iti prasidDam loke /
   yaśca lokato 'rthaḥ prasiddhaḥ kiṃ tatra yatnena /	yaH ca lokataH arTaH prasidDaH kim tatra yatnena /
   kṛtaḥ puṇyādīnāṃ karmaṇāṃ nirdeśaḥ /	kRtaH puNya AdInAm karmaNAm nirdeSaH /
   sukhavedanīyādīnāṃ kartavyaḥ /	suKa vedanIya AdInAm kartavyaH /
   sa eṣa kriyate /	saH eza kriyate /
        sukhavedyaṃ śubhaṃ dhyānādātṛtīyāt	suKa vedyam SuBam DyAnAt AtRtIyAt 
   kuśalaṃ karma sukhavedanīyaṃ yāvat tṛtīyāddhyānāt /	kuSalam karma suKa vedanIyam yAvat tRtIyAt DyAnAt /
   eṣā hi bhūmiḥ sukhāyā vedanāyā yaduta kāmadhātustrīṇi ca dhyānāni /	ezA hi BUmiH suKAyAH vedanAyAH yat uta kAmaDAtuH trINi ca DyAnAni /
        ataḥ param	atas param
        aduḥkhāsukhavedyaṃ tu	aduHKa asuKa vedyam tu
   śubhamiti vartate /	SuBam iti vartate /
   tṛtīyadhyānāt pareṇa kuśalaṃ karmāduḥkhāsukhavedanīyaṃ sukhaduḥkhavedanā	tRtIya DyAnAt pareNa kuSalam karma aduHKa asuKa vedanIyam suKa duHKa vedanA
   'bhāvāt /	aBAvAt /
        duḥkhavedyamihāśubham // VAkK_4.47 //	duHKa vedyam iha aSuBam // VAkK_4.47 //
   akuśalaṃ karma duḥkhavedanīyam /	akuSalam karma duHKa vedanIyam /
   ihagrahaṇaṃ kāmadhātāveva tadbhāvajñāpanārtham /	ihagrahaNam kAmaDAtO= eva tad BAva jQApana arTam /
   na caiṣāṃ vedanaiva phalam /	na ca ezAm vedanA eva Palam /
   kiṃ tarhi /	kim tarhi /
   sasaṃbhārā /	sa saMBArAH /
        adho 'pi madhyamastyeke /	aDas api maDyam asti eke /
   anye punarāhuḥ tadetanmadhyamaduḥkhāsukhavedanīyaṃ	anye punar AhuH tat etat maDyama duHKa asuKa vedanIyam
   karmoktametaccaturthadhyānādadho 'pyasti /	karma uktam etat caturTa DyAnAt aDas api asti /
   kiṃ kāraṇam /	kim kAraNam /
        dhyānāntaravipākataḥ /	DyAna antara vipAkataH /
   itarathā hi dhyānāntarakarmaṇo vipāko na syāddhyānāntaraṃ vā	itaraTAH hi DyAna antara karmaNaH vipAkaH na syAt DyAna antaram vA
   kasyacitkarmaṇaḥ /	kasyacid karmaNaH /
   tatra sukhaduḥkhayorabhāvāt /	tatra suKa duHKayoH aBAvAt /
   dhyānāntarakarmaṇo dhyāna eva sukhendrīyaṃ vipāka ityeke /	DyAna antara karmaNaH DyAnaH eva suKa indrI iyam vipAkaH iti eke /
   naiva tasya vedanā vipāka ityapare /	na eva tasya vedanA vipAkaH iti apare /
   tadetaducchāstram /	tat etat ucCa astram /
   śāstre hi paṭhitaṃ "syātkarmaṇaścaitasikyeva vedanā vipāko vipacyeta /	SAstre hi paWitam "syAt karmaNaH cEtasikyA iva vedanA vipAkaH vipacyeta /
   syātkuśalasyāvitarkasya karmaṇa" iti /	syAt kuSalasya avitarkasya karmaNa" iti /
        apurvācaramaḥ pākastrayāṇāṃ ceṣyate yataḥ // VAkK_4.48 //	apurvAcaramaH pAkaH trayANAm ca izyate yatas // VAkK_4.48 //
   yataścoktaṃ sūtre "syāttrayāṇāṃ karmaṇāmapūrvācaramo vipāko vipacyeta /	yatas ca uktam sUtre "syAt trayANAm karmaNAm apUrvAcaramaH vipAkaH vipacyeta /
   syātsukhavedanīyasya rūpaṃ duḥkhavedanīyasya cittacaittā dharmāḥ /	syAt suKa vedanIyasya rUpam duHKa vedanIyasya citta cEttAH DarmAH /
   aduḥkhāsukhavedanīyasya cittaviprayuktā" ityato	aduHKa asuKa vedanIyasya citta viprayuktA" iti atas 
   'pyastyaduḥkhāsukhavedanīyaṃ karmādhastāt /	api asti aduHKa asuKa vedanIyam karma aDastAt /
   nahi kāmadhātoranyatrāsti yugapatkarmatrayasya vipāke saṃyogaḥ /	nahi kAmaDAtoH anyatra asti yugapad karma trayasya vipAke saMyogaH /
   kimidānīṃ tatkukśalamāhosvidakuśalaṃ /	kim idAnIm tad kukSalam Ahosvid akuSalam /
   durbalaṃ tu tat /	durbalam tu tat /
   evaṃ tarhi "sukhavedyaṃ śubhaṃ dhyānādātṛtīyā" "diṣṭa vipākaṃ ca kuśala"	evam tarhi "suKa vedyam SuBam DyAnAt AtRtIyA" "dizwa  vipAkam ca kuSala"
   mityasya virodhaḥ /	miti asya viroDaH /
   bāhulika eṣa nirdeśo draṣṭavyaḥ /	bAhulikaH eza nirdeSaH drazwavyaH /
   kathaṃ punaravedanāsvabhāvaṃ karma sukhādivedinīyamityucyate /	kaTam punar avedanA svaBAvam karma suKa Adi vedinIyam iti ucyate /
   sukhavedanāyai hitaṃ sukhavedanoyaṃ sukho 'sya vedanīya iti vā /	suKa vedanAyE hitam suKa vedanoyam suKaH asya vedanIyaH iti vA /
   kaśca vedanīyaḥ /	kaH ca vedanIyaH /
   yo vipākaḥ /	yaH vipAkaH /
   sa hyasau vidyate sukhasya vā vedanīyaṃ yena sukhaṃ vedayate /	sa hi asO vidyate suKasya vA vedanIyam yena suKam vedayate /
   snānīyakapāyavat /	snAnIya kapAya vat /
   evaṃ duḥkhavedanīyamaduḥkhāsukhavedanīyaṃ ca draṣṭavyam /	evam duHKa vedanI yam aduHKa asuKa vedanIyam ca drazwavyam /
   api ca /	api ca /
        svabhāvasaṃprayogābhyāmālambanavipākataḥ /	svaBAva saMprayogAByAm Alambana vipAkataH /
        saṃmukhībhāvataśceti pañcadhā vedanīyatā // VAkK_4.49 //	saMmuKIBAvataH ca iti paQcaDA vedanIya tA // VAkK_4.49 //
   svabhāvavedanīyatā vedanānām /	svaBAva vedanIya tA vedanAnAm /
   svabhāvenaiva vedanīyatvāt /	svaBAvena eva vedanIya tvAt /
   saṃprayogavedanīyatā sparśasya /	saMprayoga vedanIya tA sparSasya /
   "sukhavedanīyaḥ sparśaḥ" iti /	"suKa vedanIyaH sparSaH" iti /
   ālambanavedanīyatā viṣayāṇām /	Alambana vedanIya tA vizayANAm /
   yathoktaṃ "cakṣuṣā rūpāṇi dṛṣṭvā rūpapratisaṃvedī bhavati notu	yaTA uktam "cakzuzA rUpANi dRzwvA rUpa pratisaMvedI Bavati na utu
   rūparāgapratisaṃvedī"tyevamādi /	rUpa rAga pratisaMvedI"ti evamAdi /
   vedanayā hi tāmālambamānaḥ pratisaṃvedayate /	vedanayA hi tAm AlambamAnaH pratisaMvedayate /
   vipākavedanīyatā karmaṇaḥ /	vipAka vedanIyatA karmaNaH /
   "dṛṣṭadharmavedanīyaṃ karme"ti vistaraḥ /	"dRzwa Darma vedanIyam karme"ti vistaraH /
   saṃmukhībhāvavedanīyatā /	saMmuKIBAva vedanIya tA /
   yathoktaṃ "yasmin samaye sukhāṃ vedanāṃ vedayate dve asya vedane	yaToktam "yasmin samaye suKAm vedanAm vedayate dve asya vedane
   tasminsamaye niruddhe bhavata" iti /	tasmin samaye nirudDe Bavata" iti /
   nahi yasminsamaye sukhā vedanā vartate tasminpunaranyā vedanā 'sti sa yāṃ	na hi yasmin samaye suKA vedanA vartate tasmin punar anyA vedanA asti sa yAm
   tāṃ vedayate /	tAm vedayate /
   saṃmukhīkurvastu tāṃ vedayata ityucyate /	saMmuKIkurvaH tu tAm vedayate iti ucyate /
   ato vipākasya vedanīyatvāt karmāpyucyate sukhavedanīyamityevamādi /	atas vipAkasya vedanIya tvAt karma api ucyate suKa vedanIyam iti evamAdi /
        niyatāniyataṃ tacca	niyata aniyatam tat ca
   taccaitatsukhavedanīyādi trividhaṃ karma niyataṃ cāniyataṃ ca veditavyam /	tat ca etat suKa vedanIya Adi triviDam karma niyatam ca aniyatam ca veditavyam /
   nāvaśyavedanīyamaniyatam /	na avaSya vedanIyam aniyatam /
        niyataṃ trividhaṃ punaḥ /	niyatam triviDam punar /
        dṛṣṭadharmādivedyatvāt	dRzwa Darma Adi vedya tvAt
   dṛṣṭadharmavedanīyamupapadyavedanīyamaparaparyāyavedanīyaṃ	dRzwa Darma vedanIyam upapadya vedanIyam apara paryAya vedanIyam
   cetyetattrividhaṃ karma niyatamityetaccaturvidhaṃ karma bhavati	ca iti etat triviDam karma niyatam iti etat caturviDam karma Bavati
   sahāniyatavedanīyena /	saha aniyata vedanIyena /
        pañcadhā karma kecana // VAkK_4.50 //	paQcaDA karma kecana // VAkK_4.50 //
   apare punaḥ pañcavidhaṃ karmecchanti /	apare punar paQcaviDam karma icCanti /
   aniyatavedanīyaṃ dvidhā kṛtvā /	aniyata vedanIyam dviDA kRtvA /
   vipākena niyatamaniyataṃ ceti /	vipAkena niyatam aniyatam ca iti /
   tatra dṛṣṭadharmavedanīyaṃ yatra janmani kṛtaṃ tatraiva vipacyate /	tatra dRzwa Darma vedanIyam yatra janmani kRtam tatra eva vipacyate /
   upapadyavedanīyaṃ dvitīye janmani /	upapadya vedanIyam dvitIye janmani /
   aparaparyāyavedanīyaṃ tasmātpareṇa /	apara paryAya vedanIyam tasmAt pareNa /
   janmāntare 'pyasti dṛṣṭadharmavedanīyasya karmaṇo vipāka	janma antare api asti dRzwa Darma vedanIyasya karmaNaH vipAka
   ārambhavaśāttannāmavyavasthānamityapare /	AramBa vaSAt tad nAma vyavasTAnam iti apare /
   mā bhūdyadevamiṣṭakarma tasyālpiṣṭho vipākaḥ iti /	mA BUt yat evam izwa karma tasya alpizWaH vipAkaH iti /
   tadevaṃ necchanti vaibhāṣikāḥ /	tat evam na icCanti vEBAzikAH /
   asti hi karma saṃnikṛṣṭaphalaṃ na viprakṛṣṭaphalamasti	asti hi karma saMnikRzwa Palam na viprakRzwa Palam asti
   viparyayādbāhyabījavat /	viparyayAt bAhya bIja vat /
   yathā tripakṣā suvarcalā tribhiḥ pakṣaiḥ phalaṃ dadhāti yavagodhūmādayaḥ	yaTA tri pakzA suvarcalA triBiH pakzEH Palam daDAti yava goDUma AdayaH
   ṣaḍbhirmāsairiti /	zaxBiH mAsEH iti /
        catuṣkoṭikamityanye	catuzkowikam iti anye
