   Sātvatatantra, prathamaḥ paṭalaḥ	SAtvata-tantra, praTamaH pawalaH
   udyannavīnajaladābham akuṇṭhadhiṣṇyaṃ vidyotitānalamanoharapītavāsam /	udyanna-vIna-jalada-ABam akuNWa-DizNyam vidyotita-anala-manohara-pIta-vAsam /
   bhāsvanmayūkhamukuṭāṅgadahārayuktaṃ kāñcīkalāpavalayāṅgulibhir vibhātam //	BAsvat-mayUKa-mukuwa-aFgada-hAra-yuktam kAQcI-kalApa-valaya-aFguliBiH viBAtam //
   SatvT_6.8	SatvT_6.8
   brahmādidevagaṇavanditapādapadyaṃ śrīsevitaṃ sakalasundarasaṃniveśam /	brahma-Adi-deva-gaNa-vandita-pAda-padyam SrI-sevitam sakala-sundara-saMniveSam /
   gogopavanitāmunivṛndajuṣṭaṃ kṛṣṇaṃ purāṇapuruṣaṃ manasā smarāmi //	go-gopa-vanitA-muni-vRnda-juzwam kRzNam purANapuruzam manasA smarAmi //
   SatvT_6.9	SatvT_6.9
   oṃ namo vāsudevāya kṛṣṇāya paramātmane /	om namaH vAsudevAya kRzNAya paramAtmane /
   praṇatakleśasaṃhartre paramānandadāyine // SatvT_6.10	praNata-kleSa-saMhartre parama-Ananda-dAyine // SatvT_6.10
   oṃ śrīkṛṣṇaḥ śrīpatiḥ śrīmān śrīdharaḥ śrīsukhāśrayaḥ /	om SrI-kRzNaH SrIpatiH SrImAn SrIDaraH SrI-suKa-ASrayaH /
   śrīdātā śrīkaraḥ śrīśaḥ śrīsevyaḥ śrīvibhāvanaḥ // SatvT_6.11	SrIdAtA SrIkaraH SrISaH SrI-sevyaH SrI-viBAvanaH // SatvT_6.11
   paramātmā paraṃ brahma pareśaḥ parameśvaraḥ /	paramAtmA param brahma para-ISaH parameSvaraH /
   parānandaḥ paraṃ dhāma paramānandadāyakaḥ // SatvT_6.12	parAnandaH param DAma parama-Ananda-dAyakaH // SatvT_6.12
   nirālambo nirvikāro nirlepo niravagrahaḥ /	nirAlambaH nirvikAraH nirlepaH niravagrahaH /
   nityānando nityamukto nirīho nispṛhapriyaḥ // SatvT_6.13	nitya-AnandaH nitya-muktaH nirIhaH nispRha-priyaH // SatvT_6.13
   priyaṃvadaḥ priyakaraḥ priyadaḥ priyasaṃjanaḥ /	priyaMvadaH priya-karaH priya-daH priya-saMjanaH /
   priyānugaḥ priyālambī priyakīrtiḥ priyāt priyaḥ // SatvT_6.14	priya-anugaH priya-AlambI priya-kIrtiH priyAt priyaH // SatvT_6.14
   mahātyāgī mahābhogī mahāyogī mahātapāḥ /	mahA-tyAgI mahA-BogI mahA-yogI mahA-tapAH /
   mahātmā mahatāṃ śreṣṭho mahālokapatir mahān // SatvT_6.15	mahAtmA mahatAm SrezWaH mahA-loka-patiH mahAn // SatvT_6.15
   siddhārthaḥ siddhasaṃkalpaḥ siddhidaḥ siddhasādhanaḥ /	sidDArTaH sidDa-saMkalpaH sidDi-daH sidDa-sADanaH /
   siddheśaḥ siddhamārgāgraḥ siddhalokaikapālakaḥ // SatvT_6.16	sidDa-ISaH sidDa-mArga-agraH sidDa-loka-eka-pAlakaH // SatvT_6.16
   iṣṭo viśiṣṭaḥ śiṣṭeṣṭo mahiṣṭho jiṣṇur uttamaḥ /	izwaH viSizwaH Sizwa-izwaH mahizWaH jizNuH uttamaH /
   jyeṣṭhaḥ śreṣṭhaś ca sarveṣṭo viṣṇur bhrājiṣṇur avyayaḥ // SatvT_6.17	jyezWaH SrezWaH ca sarva-izwaH vizNuH BrAjizNuH avyayaH // SatvT_6.17
   vibhuḥ śambhuḥ prabhur bhūmā svabhūḥ svānandamūrtimān /	viBuH SamBuH praBuH BUmA svaBUH sva-Ananda-mUrtimAn /
   prītimān prītidātā ca prītidaḥ prītivardhanaḥ // SatvT_6.18	prItimAn prIti-dAtA ca prIti-daH prIti-varDanaH // SatvT_6.18
   yogeśvaro yogagamyo yogīśo yogapāragaḥ /	yogeSvaraH yoga-gamyaH yogi-ISaH yoga-pAragaH /
   yogadātā yogapatir yogasiddhividhāyakaḥ // SatvT_6.19	yoga-dAtA yogapatiH yoga-sidDi-viDAyakaH // SatvT_6.19
   satyavrataḥ satyaparaḥ trisatyaḥ satyakāraṇaḥ /	satyavrataH satya-paraH trisatyaH satya-kAraNaH /
   satyāśrayaḥ satyaharaḥ satpāliḥ satyavardhanaḥ // SatvT_6.20	satya-ASrayaH satya-haraH sat-pAliH satya-varDanaH // SatvT_6.20
   sarvānandaḥ sarvaharaḥ sarvagaḥ sarvavaśyakṛt /	sarva-AnandaH sarva-haraH sarva-gaH sarva-vaSya-kRt /
   sarvapātā sarvasukhaḥ sarvaśrutigaṇārṇavaḥ // SatvT_6.21	sarva-pAtA sarva-suKaH sarva-Sruti-gaNa-arNavaH // SatvT_6.21
   janārdano jagannātho jagattrātā jagatpitā /	janArdanaH jagannATaH jagat-trAtA jagat-pitA /
   jagatkartā jagaddhartā jagadānandamūrtimān // SatvT_6.22	jagat-kartA jagat-DartA jagat-Ananda-mUrtimAn // SatvT_6.22
   dharāpatir lokapatiḥ svarpatir jagatāṃpatiḥ /	DarApatiH loka-patiH su-arpatiH jagatAMpatiH /
   vidyāpatir vittapatiḥ satpatiḥ kamalāpatiḥ // SatvT_6.23	vidyA-patiH vitta-patiH sat-patiH kamalA-patiH // SatvT_6.23
   caturātmā caturbāhuś caturvargaphalapradaḥ /	catur-AtmA catur-bAhuH caturvarga-Pala-pradaH /
   caturvyūhaś caturdhāmā caturyugavidhāyakaḥ // SatvT_6.24	catur-vyUhaH caturDAmA caturyuga-viDAyakaH // SatvT_6.24
   ādidevo devadevo deveśo devadhāraṇaḥ /	AdidevaH devadevaH deveSaH devaDAraNaH /
   devakṛd devabhṛd devo deveḍitapadāmbujaḥ // SatvT_6.25	deva-kRt devaBRt devaH devexita-pada-ambujaH // SatvT_6.25
   viśveśvaro viśvarūpī viśvātmā viśvatomukhaḥ /	viSveSvaraH viSvarUpI viSvAtmA viSvatomuKaH /
   viśvasūr viśvaphalado viśvago viśvanāyakaḥ // SatvT_6.26	viSvasUH viSva-Pala-daH viSvagaH viSva-nAyakaH // SatvT_6.26
   bhūtakṛd bhūtabhṛd bhāvo bhūtātmā bhūtabhāvanaḥ /	BUta-kRt BUta-BRt BAvaH BUtAtmA BUtaBAvanaH /
   bhūtido bhūtivistāro vibhūtir bhūtipālakaḥ // SatvT_6.27	BUti-daH BUti-vistAraH viBUtiH BUtipAlakaH // SatvT_6.27
   nārāyaṇo nāraśāyī nārasūr nārajīvanaḥ /	nArAyaNaH nAraSAyI nArasUH nArajIvanaH /
   nāraikaphalado nāramuktido nāranāyakaḥ // SatvT_6.28	nAra-eka-Pala-daH nAra-mukti-daH nAranAyakaH // SatvT_6.28
   sahasrarūpaḥ sāhasranāmā sāhasravigrahaḥ /	sahasra-rUpaH sAhasra-nAmA sAhasra-vigrahaH /
   sahasraśīrṣā sāhasrapādākṣibhujaśīrṣavān // SatvT_6.29	sahasra-SIrzA sAhasra-pAda-akzi-Buja-SIrzavAn // SatvT_6.29
   padmanābhaḥ padmagarbhaḥ padmī padmanibhekṣaṇaḥ /	padmanABaH padma-garBaH padmI padma-niBa-IkzaNaH /
   padmaśāyī padmamālī padmāṅkitapadadvayaḥ // SatvT_6.30	padma-SAyI padmamAlI padma-aFkita-pada-dvayaH // SatvT_6.30
   vīryavān sthairyavān vāgmī śauryavān dhairyavān kṣamī /	vIryavAn sTEryavAn vAgmI SOryavAn DEryavAn kzamI /
   dhīmān dharmaparo bhogī bhagavān bhayanāśanaḥ // SatvT_6.31	DImAn Darma-paraH BogI BagavAn Baya-nASanaH // SatvT_6.31
   jayanto vijayo jetā jayado jayavardhanaḥ /	jayantaH vijayaH jetA jaya-daH jaya-varDanaH /
   amāno mānado mānyo mahimāvān mahābalaḥ // SatvT_6.32	amAnaH mAnadaH mAnyaH mahimAvAn mahA-balaH // SatvT_6.32
   saṃtuṣṭas toṣado dātā damano dīnavatsalaḥ /	saMtuzwaH toza-daH dAtA damanaH dIna-vatsalaH /
   jñānī yaśasvān dhṛtimān sahaojobalāśrayaḥ // SatvT_6.33	jQAnI yaSasvAn DRtimAn sahaojaH-bala-ASrayaH // SatvT_6.33
   hayagrīvo mahātejā mahārṇavavinodakṛt /	hayagrIvaH mahA-tejAH mahA-arNava-vinoda-kRt /
   madhukaiṭabhavidhvaṃsī vedakṛd vedapālakaḥ // SatvT_6.34	maDu-kEwaBa-viDvaMsI veda-kRt vedapAlakaH // SatvT_6.34
   sanatkumāraḥ sanakaḥ sanandaś ca sanātanaḥ /	sanatkumAraH sanakaH sanandaH ca sanAtanaH /
   akhaṇḍabrahmavratavān ātmā yogavivecakaḥ // SatvT_6.35	aKaNxa-brahma-vratavAn AtmA yoga-vivecakaH // SatvT_6.35
   śrīnārado devaṛṣiḥ karmākarmapravartakaḥ /	SrI-nAradaH devaRziH karma-akarma-pravartakaH /
   sātvatāgamakṛl lokahitāhitaprasūcakaḥ // SatvT_6.36	sAtvata-Agama-kRt loka-hita-ahita-prasUcakaH // SatvT_6.36
   ādikālo yajñatattvaṃ dhātṛnāsāpuṭodbhavaḥ /	Adi-kAlaH yajQa-tattvam DAtR-nAsA-puwa-udBavaH /
   dantāgranyastabhūgolo hiraṇyākṣabalāntakaḥ // SatvT_6.37	danta-agra-nyasta-BU-golaH hiraNyAkza-bala-antakaH // SatvT_6.37
   pṛthvīpatiḥ śīghravego romāntargatasāgaraḥ /	pRTvIpatiH SIGra-vegaH roma-antargata-sAgaraH /
   śvāsāvadhūtahemādriḥ prajāpatipatistutaḥ // SatvT_6.38	SvAsa-avaDUta-hema-adriH prajApati-pati-stutaH // SatvT_6.38
   ananto dharaṇībhartā pātālatalavāsakṛt /	anantaH DaraNI-BartA pAtAla-tala-vAsakRt /
   kāmāgnijavano nāgarājarājo mahādyutiḥ // SatvT_6.39	kAma-agni-javanaH nAga-rAja-rAjaH mahA-dyutiH // SatvT_6.39
   mahākūrmo viśvakāyaḥ śeṣabhṛk sarvapālakaḥ /	mahA-kUrmaH viSva-kAyaH Seza-BRk sarva-pAlakaH /
   lokapitṛgaṇādhīśaḥ pitṛstutamahāpadaḥ // SatvT_6.40	loka-pitR-gaNa-aDISaH pitR-stuta-mahA-padaH // SatvT_6.40
   kṛpāmayaḥ svayaṃ vyaktir dhruvaprītivivardhanaḥ /	kRpA-mayaH svayam vyaktiH Druva-prIti-vivarDanaH /
   dhruvastutapado viṣṇulokado lokapūjitaḥ // SatvT_6.41	Druva-stuta-padaH vizNu-loka-daH loka-pUjitaH // SatvT_6.41
   śuklaḥ kardamasaṃtaptas tapastoṣitamānasaḥ /	SuklaH kardama-saMtaptaH tapaH-tozita-mAnasaH /
   mano'bhīṣṭaprado harṣabindvañcitasarovaraḥ // SatvT_6.42	manaH-aBIzwa-pradaH harza-bindu-aQcita-sarovaraH // SatvT_6.42
   yajñaḥ suragaṇādhīśo daityadānavaghātakaḥ /	yajQaH sura-gaNa-aDISaH dEtya-dAnava-GAtakaH /
   manutrātā lokapālo lokapālakajanmakṛt // SatvT_6.43	manutrAtA lokapAlaH lokapAlaka-janma-kRt // SatvT_6.43
   kapilākhyaḥ sāṃkhyapātā kardamāṅgasamudbhavaḥ /	kapila-AKyaH sAMKya-pAtA kardama-aFga-samudBavaH /
   sarvasiddhagaṇādhīśo devahūtigatipradaḥ // SatvT_6.44	sarva-sidDa-gaNa-aDISaH devahUti-gati-pradaH // SatvT_6.44
   datto 'tritanayo yogī yogamārgapradarśakaḥ /	dattaH atri-tanayaH yogI yoga-mArga-pradarSakaH /
   anasūyānandakaraḥ sarvayogijanastutaḥ // SatvT_6.45	anasUyA-Ananda-karaH sarva-yogi-jana-stutaH // SatvT_6.45
   nārāyaṇo naraṛṣir dharmaputro mahāmanāḥ /	nArAyaNaH nara-RziH DarmaputraH mahAmanAH /
   maheśaśūladamano maheśaikavarapradaḥ // SatvT_6.46	maheSa-SUla-damanaH maheSa-eka-vara-pradaH // SatvT_6.46
   ākalpāntatapodhīro manmathādimadāpahaḥ /	Akalpa-anta-tapaH-DIraH manmaTa-Adi-mada-apahaH /
   ūrvaśīsṛgjitānaṅgo mārkaṇḍeyapriyapradaḥ // SatvT_6.47	UrvaSIsRgjita-anaFgaH mArkaNxeya-priya-pradaH // SatvT_6.47
   ṛbhavo nābhisukhado merudevīpriyātmajaḥ /	RBavaH nABi-suKa-daH merudevI-priya-AtmajaH /
   yogirājadvijasraṣṭā yogacaryāpradarśakaḥ // SatvT_6.48	yogi-rAja-dvijasrazwA yoga-caryA-pradarSakaH // SatvT_6.48
   aṣṭabāhur dakṣayajñapāvano 'khilasatkṛtaḥ /	azwa-bAhuH dakza-yajQa-pAvanaH aKila-satkRtaH /
   dakṣeśadveṣaśamano dakṣajñānapradāyakaḥ // SatvT_6.49	dakza-ISa-dveza-SamanaH dakza-jQAna-pradAyakaH // SatvT_6.49
   priyavratakulotpanno gayanāmā mahāyaśāḥ /	priyavrata-kula-utpannaH gaya-nAmA mahA-yaSAH /
   udārakarmā bahuvinmahāguṇagaṇārṇavaḥ // SatvT_6.50	udAra-karmA bahu-vid-mahA-guNa-gaNa-arNavaH // SatvT_6.50
   haṃsarūpī tattvavaktā guṇāguṇavivecakaḥ /	haMsa-rUpI tattva-vaktA guNa-aguNa-vivecakaH /
   dhātṛlajjāpraśamano brahmacārijanapriyaḥ // SatvT_6.51	DAtR-lajjA-praSamanaH brahmacAri-jana-priyaH // SatvT_6.51
   vaiśyaḥ pṛthuḥ pṛthvidogdhā sarvajīvanadohakṛt /	vESyaH pRTuH pRTvidogDA sarva-jIvana-doha-kRt /
   ādirājo janāvāsakārako bhūsamīkaraḥ // SatvT_6.52	AdirAjaH jana-AvAsa-kArakaH BU-samIkaraH // SatvT_6.52
   praceto'bhiṣṭutapadaḥ śāntamūrtiḥ sudarśanaḥ /	pracetaH-aBizwuta-padaH SAnta-mUrtiH sudarSanaH /
   divārātrigaṇādhīśaḥ ketumān ajanāśrayaḥ // SatvT_6.53	divA-rAtri-gaNa-aDISaH ketumAn ajana-ASrayaH // SatvT_6.53
   śrīkāmadevaḥ kamalākāmakelivinodakṛt /	SrI-kAmadevaH kamalA-kAma-keli-vinoda-kRt /
   svapādaratido 'bhīṣṭasukhado duḥkhanāśanaḥ // SatvT_6.54	sva-pAda-rati-daH aBIzwa-suKa-daH duHKa-nASanaH // SatvT_6.54
   vibhur dharmabhṛtāṃ śreṣṭho vedaśīrṣo dvijātmajaḥ /	viBuH Darma-BRtAm SrezWaH vedaSIrzaH dvija-AtmajaH /
   aṣṭāśītisahasrāṇāṃ munīnām upadeśadaḥ // SatvT_6.55	azwASIti-sahasrANAm munInAm upadeSa-daH // SatvT_6.55
   satyaseno yakṣarakṣodahano dīnapālakaḥ /	satyasenaH yakza-rakzodahanaH dInapAlakaH /
   indramitraḥ surārighnaḥ sūnṛtādharmanandanaḥ // SatvT_6.56	indra-mitraH sura-ari-GnaH sUnRta-aDarmanandanaH // SatvT_6.56
   harir gajavaratrātā grāhapāśavināśakaḥ /	hariH gaja-vara-trAtA grAha-pASa-vinASakaH /
   trikūṭādrivanaślāghī sarvalokahitaiṣaṇaḥ // SatvT_6.57	trikUwa-adri-vana-SlAGI sarva-loka-hita-ezaNaH // SatvT_6.57
   vaikuṇṭhaśubhrāsukhado vikuṇṭhāsundarīsutaḥ /	vEkuNWa-SuBra-asuKa-daH vikuNWA-sundarI-sutaH /
   ramāpriyakaraḥ śrīmān nijalokapradarśakaḥ // SatvT_6.58	rama-apriya-karaH SrImAn nija-loka-pradarSakaH // SatvT_6.58
   vipraśāpaparīkhinnanirjarārtinivāraṇaḥ /	vipra-SApa-parIKinna-nirjara-Arti-nivAraNaH /
   dugdhābdhimathano vipro virājatanayo 'jitaḥ // SatvT_6.59	dugDa-abDi-maTanaH vipraH virAja-tanayaH ajitaH // SatvT_6.59
   mandārādridharaḥ kūrmo devadānavaśarmakṛt /	mandAra-adri-DaraH kUrmaH deva-dAnava-Sarma-kRt /
   jambūdvīpasamaḥ sraṣṭā pīyūṣotpattikāraṇam // SatvT_6.60	jambUdvIpa-samaH srazwA pIyUza-utpatti-kAraNam // SatvT_6.60
   dhanvantarī rukśamano 'mṛtadhuk rukpraśāntakaḥ /	DanvantarI ruj-Sa-manaH amRta-Duk ruj-praSAntakaH /
   āyurvedakaro vaidyarājo vidyāpradāyakaḥ // SatvT_6.61	Ayurveda-karaH vEdya-rAjaH vidyA-pradAyakaH // SatvT_6.61
   devābhayakaro daityamohinī kāmarūpiṇī /	deva-aBaya-karaH dEtya-mohinI kAmarUpiNI /
   gīrvāṇāmṛtapo duṣṭadaityadānavavañcakaḥ // SatvT_6.62	gIrvANAm-RtapaH duzwa-dEtya-dAnava-vaQcakaH // SatvT_6.62
   mahāmatsyo mahākāyaḥ śalkāntargatasāgaraḥ /	mahA-matsyaH mahA-kAyaH Salka-antargata-sAgaraH /
   vedāridaityadamano vrīhibījasurakṣakaḥ // SatvT_6.63	vedAri-dEtya-damanaH vrIhi-bIja-surakzakaH // SatvT_6.63
   pucchāghātabhramatsindhuḥ satyavratapriyapradaḥ /	pucCa-AGAta-Bramat-sinDuH satya-vrata-priya-pradaH /
   bhaktasatyavratatrātā yogatrayapradarśakaḥ // SatvT_6.64	Bakta-satyavrata-trAtA yoga-traya-pradarSakaH // SatvT_6.64
   narasiṃho lokajihvaḥ śaṅkukarṇo nakhāyudhaḥ /	narasiMhaH loka-jihvaH SaFkukarNaH naKAyuDaH /
   saṭāvadhūtajalado dantadyutijitaprabhaḥ // SatvT_6.65	sawA-avaDUta-jaladaH danta-dyuti-jita-praBaH // SatvT_6.65
   hiraṇyakaśipudhvaṃsī bahudānavadarpahā /	hiraNyakaSipuDvaMsI bahu-dAnava-darpa-hA /
   pravadastutapādābjo bhaktasaṃsāratāpahā // SatvT_6.66	pravada-stuta-pAda-abjaH Bakta-saMsAra-tApa-hAH // SatvT_6.66
   brahmendrarudrabhītighno devakāryaprasādhakaḥ /	brahma-indra-rudra-BIti-GnaH deva-kArya-prasADakaH /
   jvalajjvalanasaṃkāśaḥ sarvabhītivināśakaḥ // SatvT_6.67	jvalat-jvalana-saMkASaH sarva-BIti-vinASakaH // SatvT_6.67
   mahākaluṣavidhvaṃsī sarvakāmavarapradaḥ /	mahAkaluza-viDvaMsI sarva-kAma-vara-pradaH /
   kālavikramasaṃhartā grahapīḍāvināśakaḥ // SatvT_6.68	kAla-vikrama-saMhartA graha-pIxA-vinASakaH // SatvT_6.68
   sarvavyādhipraśamanaḥ pracaṇḍaripudaṇḍakṛt /	sarva-vyADi-praSamanaH pracaNxa-ripu-daNxa-kRt /
   ugrabhairavasaṃtrastaharārtivinivārakaḥ // SatvT_6.69	ugra-BErava-saMtrasta-hara-Arti-vinivArakaH // SatvT_6.69
   brahmacarmāvṛtaśirāḥ śivaśīrṣaikanūpuraḥ /	brahmacarma-AvRta-SirAH Siva-SIrza-eka-nUpuraH /
   dvādaśādityaśīrṣaikamaṇir dikpālabhūṣaṇaḥ // SatvT_6.70	dvAdaSa-Aditya-SIrza-eka-maNiH dikpAla-BUzaNaH // SatvT_6.70
   vāmano 'ditibhītighno dvijātigaṇamaṇḍanaḥ /	vAmanaH aditi-BIti-GnaH dvijAti-gaNa-maNxanaH /
   tripadavyājayāñcāptavalitrailokyasampadaḥ // SatvT_6.71	tripada-vyAjayAQca-Apta-vali-trElokya-sampadaH // SatvT_6.71
   pannakhakṣatabrahmāṇḍakaṭāho 'mitavikramaḥ /	pannaKa-kzata-brahmANxa-kawAhaH amita-vikramaH /
   svardhunītīrthajanano brahmapūjyo bhayāpahaḥ // SatvT_6.72	svarDunI-tIrTa-jananaH brahma-pUjyaH Baya-apahaH // SatvT_6.72
   svāṅghrivārihatāghaugho viśvarūpaikadarśanaḥ /	sva-aFGri-vAri-hata-aGa-oGaH viSva-rUpa-eka-darSanaH /
   balipriyakaro bhaktasvargadogdhā gadādharaḥ // SatvT_6.73	bali-priya-karaH Bakta-svarga-dogDA gadADaraH // SatvT_6.73
   jāmadagnyo mahāvīryaḥ parśubhṛt kārtavīryajit /	jAmadagnyaH mahA-vIryaH parSuBRt kArtavIrya-jit /
   sahasrārjunasaṃhartā sarvakṣatrakulāntakaḥ // SatvT_6.74	sahasrArjuna-saMhartA sarva-kzatra-kula-antakaH // SatvT_6.74
   niḥkṣatrapṛthvīkaraṇo vīrajid viprarājyadaḥ /	niHkzatra-pRTvIkaraNaH vIra-jit vipra-rAjya-daH /
   droṇāstravedapravado maheśagurukīrtidaḥ // SatvT_6.75	droNa-astra-veda-pravadaH maheSa-guru-kIrti-daH // SatvT_6.75
   sūryavaṃśābjataraṇiḥ śrīmaddaśarathātmajaḥ /	sUrya-vaMSa-abja-taraNiH SrImat-daSaraTa-AtmajaH /
   śrīrāmo rāmacandraś ca rāmabhadro 'mitaprabhaḥ // SatvT_6.76	SrI-rAmaH rAmacandraH ca rAmaBadraH amita-praBaH // SatvT_6.76
   nīlavarṇapratīkāśaḥ kausalyāprāṇajīvanaḥ /	nIla-varNa-pratIkASaH kOsalyA-prANa-jIvanaH /
   padmanetraḥ padmavakraḥ padmāṅkitapadāmbujaḥ // SatvT_6.77	padma-netraH padma-vakraH padma-aFkita-pada-ambujaH // SatvT_6.77
   pralambabāhuś cārvaṅgo ratnābharaṇabhūṣitaḥ /	pralamba-bAhuH cAru-aFgaH ratna-ABaraNa-BUzitaH /
   divyāmbaro divyadhanur diṣṭadivyāstrapāragaḥ // SatvT_6.78	divya-ambaraH divya-DanuH dizwa-divya-astra-pAragaH // SatvT_6.78
   nistriṃśapāṇivīreśo 'parimeyaparākramaḥ /	nistriMSa-pANi-vIra-ISaH aparimeya-parAkramaH /
   viśvāmitragurur dhanvī dhanurvedavid uttamaḥ // SatvT_6.79	viSvAmitra-guruH DanvI Danurveda-vid uttamaH // SatvT_6.79
   ṛjumārganimitteṣu saṃghatāḍitatāḍakaḥ /	Rju-mArga-nimittezu saMGa-tAxita-tAxakaH /
   subāhur bāhuvīryāḍhyabahurākṣasaghātakaḥ // SatvT_6.80	subAhuH bAhu-vIrya-AXya-bahu-rAkzasa-GAtakaH // SatvT_6.80
   prāptacaṇḍīśadordaṇḍacaṇḍakodaṇḍakhaṇḍanaḥ /	prApta-caNxISa-doH-daNxa-caNxa-kodaNxa-KaNxanaH /
   janakānandajanako jānakīpriyanāyakaḥ // SatvT_6.81	janakAnanda-janakaH jAnakI-priya-nAyakaH // SatvT_6.81
   arātikuladarpaghno dhvastabhārgavavikramaḥ /	arAti-kula-darpa-GnaH Dvasta-BArgava-vikramaH /
   pitṛvāksaktarājyadhīr vanavāsakṛtotsavaḥ // SatvT_6.82	pitR-vAc-sakta-rAjya-DIH vana-vAsa-kRta-utsavaH // SatvT_6.82
   virādharādhadamanaś citrakūṭādrimandiraḥ /	virADa-rADa-damanaH citrakUwa-adri-mandiraH /
   dvijaśāpasamucchannadaṇḍakāraṇyakarmakṛt // SatvT_6.83	dvija-SApa-samucCanna-daNxaka-araNya-karma-kRt // SatvT_6.83
   caturdaśasahasrograrākṣasaghnaḥ kharāntakaḥ /	caturdaSa-sahasra-ugra-rAkzasa-GnaH Kara-antakaH /
   triśiraḥprāṇaśamano duṣṭadūṣaṇadūṣaṇaḥ // SatvT_6.84	triSiraH-prANa-SamanaH duzwa-dUzaNa-dUzaNaH // SatvT_6.84
   chadmamārīcamathano jānakīvirahārtihṛt /	Cadma-mArIca-maTanaH jAnakI-viraha-Arti-hRt /
   jaṭāyuṣaḥ kriyākārī kabandhavadhakovidaḥ // SatvT_6.85	jawAyuzaH kriyA-kArI kabanDa-vaDa-kovidaH // SatvT_6.85
   ṛṣyamūkaguhāvāsī kapipañcamasakhyakṛt /	RzyamUka-guhA-vAsI kapi-paQcama-saKya-kRt /
   vāmapādāgranikṣiptadundubhyasthibṛhadgiriḥ // SatvT_6.86	vAma-pAda-agra-nikzipta-dunduBi-asTi-bRhadgiriH // SatvT_6.86
   sakaṇṭakāradurbhedasaptatālaprabhedakaḥ /	sa-kaNwa-kAra-durBeda-sapta-tAla-praBedakaH /
   kiṣkindhādhipavālighno mitrasugrīvarājyadaḥ // SatvT_6.87	kizkinDA-aDipa-vAli-GnaH mitra-sugrIva-rAjya-daH // SatvT_6.87
   āñjaneyasvalāṅgūladagdhalaṅkāmahodayaḥ /	AQjaneya-sva-lAFgUla-dagDa-laFkA-mahA-udayaH /
   sītāvirahavispaṣṭaroṣakṣobhitasāgaraḥ // SatvT_6.88	sItA-viraha-vispazwa-roza-kzoBita-sAgaraH // SatvT_6.88
   girikūṭasamutkṣepasamudrādbhutasetukṛt /	giri-kUwa-samutkzepa-samudra-adButa-setu-kRt /
   pādaprahārasaṃtrastavibhīṣaṇabhayāpahaḥ // SatvT_6.89	pAda-prahAra-saMtrasta-viBIzaNa-Baya-apahaH // SatvT_6.89
   aṅgadoktiparikliṣṭaghorarāvaṇasainyajit /	aFgada-ukti-pariklizwa-Gora-rAvaNa-sEnya-jit /
   nikumbhakumbhadhūmrākṣakumbhakarṇādivīrahā // SatvT_6.90	nikumBa-kumBa-DUmrAkza-kumBa-karNa-Adi-vIra-hA // SatvT_6.90
   kailāsasahanonmattadaśānanaśiroharaḥ /	kElAsa-sahana-unmatta-daSa-Anana-SiraH-haraH /
   agnisaṃsparśasaṃśuddhasītāsaṃvaraṇotsukaḥ // SatvT_6.91	agni-saMsparSa-saMSudDa-sItA-saMvaraNa-utsukaH // SatvT_6.91
   kapirākṣasarājāṅgaprāptarājyanijāśrayaḥ /	kapi-rAkzasa-rAja-aFga-prApta-rAjya-nija-ASrayaH /
   ayodhyādhipatiḥ sarvarājanyagaṇaśekharaḥ // SatvT_6.92	ayoDyA-aDipatiH sarva-rAjanya-gaNa-SeKaraH // SatvT_6.92
   acintyakarmā nṛpatiḥ prāptasiṃhāsanodayaḥ /	acintya-karmA nRpatiH prApta-siMhAsana-udayaH /
   duṣṭadurbuddhidalano dīnahīnaikapālakaḥ // SatvT_6.93	duzwa-durbudDi-dalanaH dIna-hIna-ekapAlakaH // SatvT_6.93
   sarvasampattijananas tiryaṅnyāyavivecakaḥ /	sarva-sampatti-jananaH tiryak-nyAya-vivecakaH /
   śūdraghoratapaḥpluṣṭadvijaputraikajīvanaḥ // SatvT_6.94	SUdra-Gora-tapaH-pluzwa-dvija-putra-eka-jIvanaH // SatvT_6.94
   duṣṭavākkliṣṭahṛdayaḥ sītānirvāsakārakaḥ /	duzwa-vAc-klizwa-hRdayaH sItA-nirvAsa-kArakaH /
   turaṃgamedhakratuyāṭ śrīmatkuśalavātmajaḥ // SatvT_6.95	turaMgameDa-kratu-yAj SrImat-kuSa-lava-AtmajaH // SatvT_6.95
   satyārthatyaktasaumitriḥ sūnnītajanasaṃgrahaḥ /	satya-arTa-tyakta-sOmitriH sUnnIta-jana-saMgrahaH /
   satkarṇapūrasatkīrtiḥ kīrtyālokāghanāśanaḥ // SatvT_6.96	satkarNa-pUra-satkIrtiH kIrti-Aloka-aGa-nASanaH // SatvT_6.96
   bharato jyeṣṭhapādābjaratityaktanṛpāsanaḥ /	BarataH jyezWa-pAda-abja-rati-tyakta-nRpAsanaH /
   sarvasadguṇasampannaḥ koṭigandharvanāśakaḥ // SatvT_6.97	sarva-sat-guNa-sampannaH kowi-ganDarva-nASakaH // SatvT_6.97
   lakṣmaṇo jyeṣṭhanirato devavairigaṇāntakaḥ /	lakzmaNaH jyezWa-nirataH deva-vEri-gaNa-antakaH /
   indrajitprāṇaśamano bhrātṛmān tyaktavigrahaḥ // SatvT_6.98	indrajit-prANa-SamanaH BrAtRmAn tyakta-vigrahaH // SatvT_6.98
