   1st kāṇḍa	1st kANxa
   śrutāyām aśrutāyāṃ vā kriyāyāṃ so 'bhidhīyate // BVaky_3,7.156 //	SrutAyAm aSrutAyAm vA kriyAyAm saH aBiDIyate // BVakI _3,7.156 //
   dviṣṭho 'py asau parārthatvād guṇeṣu vyatiricyate /	dvizWaH api asO parArTa tvAt guNezu vyatiricyate /
   tatrābhidhīyamānaḥ san pradhāne 'py upayujyate // BVaky_3,7.157 //	tatra aBiDIyamAnaH san praDAne api upayujyate // BVakI _3,7.157 //
   nimittaniyamaḥ śabdāt saṃbandhasya na gṛhyate /	nimitta niyamaH SabdAt saMbanDasya na gRhyate /
   karmapravacanīyais tu sa viśeṣo 'varudhyate // BVaky_3,7.158 //	karma pravacanIyEH tu sa viSezaH avaruDyate // BVakI _3,7.158 //
   sādhanair vyapadiṣṭe ca śrūyamāṇakriye punaḥ /	sADanEH vyapadizwe ca SrUyamANa kriye punar /
   proktā pratipadaṃ ṣaṣṭhī samāsasya nivṛttaye // BVaky_3,7.159 //	proktA pratipadam zazWI samAsasya nivRttaye // BVakI _3,7.159 //
   niṣṭhāyāṃ karmaviṣayā ṣaṣthī ca pratiṣidhyate /	nizWAyAm karma vizayA zazTI ca pratiziDyate /
   śeṣalakṣaṇayā ṣaṣṭhyā samāsastatra neṣyate // BVaky_3,7.160 //	Seza lakzaNayA zazWyA samAsaH tatra na izyate // BVakI _3,7.160 //
   anyena vyapadiṣṭasya yasyānyatropajāyate /	anyena vyapadizwasya yasya anyatra upajAyate /
   vyatirekaḥ sa dharmau dvau labhate viṣayāntare // BVaky_3,7.161 //	vyatirekaH sa DarmO dvO laBate vizaya antare // BVakI _3,7.161 //
   prādhānyaṃ svaguṇe labdhvā pradhāne yāti śeṣatām /	prADAnyam sva guNe labDvA praDAne yAti Seza tAm /
   sahayoge svayoge 'taḥ pradhānatvaṃ na hīyate // BVaky_3,7.162 //	saha yoge sva yoge atas praDAna tvam na hIyate // BVakI _3,7.162 //
   [iti śeṣādhikāraḥ]	[iti Seza aDikAraH]
   siddhasyābhimukhībhāva  mātraṃ saṃbodhanaṃ viduḥ /	sidDasya aBimuKIBAva mAtram saMboDanam viduH /
   prāptābhimukhyo hy arthātmā kriyāsu viniyujyate // BVaky_3,7.163 //	prApta aBimuKyaH hi arTa AtmA kriyAsu viniyujyate // BVakI _3,7.163 //
   saṃbodhanaṃ na vākyārtha iti pūrvebhya āgamaḥ /	saMboDanam na vAkya arTaH iti pUrveByaH AgamaH /
   uddeśena vibhaktyarthā vākyārthāt samapoddhṛtāḥ // BVaky_3,7.164 //	uddeSena viBakti arTAH vAkya arTAt samapa udDRtAH // BVakI _3,7.164 //
   vibhaktyarthe 'vyayībhāva  vacanād avasīyatām /	viBakti arTe avyayIBAva vacanAt avasIyatAm /
   anyo dravyād vibhaktyarthaḥ so 'vyayenābhidhīyate // BVaky_3,7.165 //	anyaH dravyAt viBakti arTaH saH avyayena aBiDIyate // BVakI _3,7.165 //
   dravyaṃ tu yad yathābhūtaṃ tad atyantaṃ tathā bhavet /	dravyam tu yat yaTABUtam tat atyantam taTA Bavet /
   kriyāyoge 'pi tasyāsau dravyātmā nāpahīyate // BVaky_3,7.166 //	kriyA yoge api tasya asO dravya AtmA na apahIyate // BVakI _3,7.166 //
   tasmād yat karaṇaṃ dravyaṃ tat karma na punar bhavet /	tasmAt yat karaNam dravyam tat karma na punar Bavet /
   sarvasya vānyathābhāvas tasya dravyātmano bhavet // BVaky_3,7.167 //	sarvasya vA anyaTA BAvaH tasya dravya AtmanaH Bavet // BVakI _3,7.167 //
   3,8: Kriyāsamuddeśa	3,8: KriyA samuddeSa
   yāvat siddham asiddhaṃ vā sādhyatvenābhidhīyate /	yAvat sidDam asidDam vA sADya tvena aBiDIyate /
   āśritakramarūpatvāt tat kriyeti pratiyate // BVaky_3,8.1 //	ASrita krama rUpa tvAt tat kriyA iti pratiyate // BVakI _3,8.1 //
   kāryakāraṇabhāvena dhvanatīty āśritakramaḥ /	kArya kAraNa BAvena Dvanati iti ASrita kramaH /
   dhvaniḥ kramanivṛttau tu dhvanir ity eva kathyate // BVaky_3,8.2 //	DvaniH krama nivRttO tu DvaniH iti eva kaTyate // BVakI _3,8.2 //
   śvete śvetata ity etac chvetatvena prakāśate /	Svete SvetataH iti etat Sveta tvena prakASate /
   āśritakramarūpatvād abhidhānaṃ pravartate // BVaky_3,8.3 //	ASrita krama rUpa tvAt aBiDAnam pravartate // BVakI _3,8.3 //
   guṇabhūtair avayavaiḥ samūhaḥ kramajanmanām /	guNa BUtEH avayavEH samUhaH krama janmanAm /
   buddhyā prakalpitābhedaḥ kriyeti vyapadiśyate // BVaky_3,8.4 //	budDyA prakalpita aBedaH kriyA iti vyapadiSyate // BVakI _3,8.4 //
   samūhaḥ sa tatbābhūtaḥ pratibhedam samūhisu /	samUhaH sa tad bABUtaH pratiBedam samUhisu /
   samāpyate tato bhede kālabhedasya saṃbhavaḥ // BVaky_3,8.5 //	samApyate tatas Bede kAla Bedasya saMBavaH // BVakI _3,8.5 //
   kramāt sadasatāṃ teṣām ātmāno na samūhinām /	kramAt sat asatAm tezAm AtmAnaH na samUhinAm /
   sadvastuviṣayair yānti saṃbandhaṃ cakṣurādibhiḥ // BVaky_3,8.6 //	sat vastu vizayEH yAnti saMbanDam cakzuH AdiBiH // BVakI _3,8.6 //
   yathā gaur iti samghātaḥ sarvo nendriyagocaraḥ /	yaTA gOH iti samGAtaH sarvaH na indriya gocaraH /
   bhāgaśas tūpalabdhasya buddhau rūpaṃ nirūpyate // BVaky_3,8.7 //	BAgaSas tu upalabDasya budDO rUpam nirUpyate // BVakI _3,8.7 //
   indriyair anyathāprāptau bhedāmśopanipātibhiḥ /	indriyEH anyaTA prAptO Beda amSa upa nipAtiBiH /
   alātacakravad rūpaṃ kriyāṇāṃ parikalpyate // BVaky_3,8.8 //	alAta cakra vat rUpam kriyANAm parikalpyate // BVakI _3,8.8 //
   yathā ca bhāgāḥ pacater udakāsecanādayaḥ /	yaTA ca BAgAH pacateH udakA secana AdayaH /
   udakāsecanādināṃ jñeyā bhāgās tathāpare // BVaky_3,8.9 //	udaka Asecana AdinAm jQeyAH BAgAH taTA apare // BVakI _3,8.9 //
   yaś cāpakarṣaparyantam anuprāptaḥ pratīyate /	yaH ca apakarza paryantam anuprAptaH pratIyate /
   tatraikasmin kriyāśabdaḥ kevale na prayujyate // BVaky_3,8.10 //	tatra ekasmin kriyA SabdaH kevale na prayujyate // BVakI _3,8.10 //
   pūrvottarais tathā bhāgaiḥ samavasthāpitakramaḥ /	pUrva uttarEH taTA BAgEH samavasTApita kramaH /
   ekaḥ so 'py asadadhyāsād ākhyātair abhidhīyate // BVaky_3,8.11 //	ekaH saH api asat aDyAsAt AKyAtEH aBiDIyate // BVakI _3,8.11 //
   kālānupāti yad rūpaṃ tad astīty anugamyate /	kAlAnupAti yat rUpam tat asti iti anugamyate /
   paritas tu paricchinnaṃ bhāva ity eva kathyate // BVaky_3,8.12 //	paritas tu paricCinnam BAvaH iti eva kaTyate // BVakI _3,8.12 //
   vyavahārasya siddhatvān na ceyaṃ guṇakalpanā /	vyavahArasya sidDa tvAt na ca iyam guNa kalpanA /
   upacāro hi mukhyasya saṃbhavād avatiṣṭhate // BVaky_3,8.13 //	upacAraH hi muKyasya saMBavAt avatizWate // BVakI _3,8.13 //
   āhitottaraśaktitvāt pratyekaṃ vā samūhinaḥ /	Ahita uttara Sakti tvAt pratyekam vA samUhinaH /
   anekarūpā lakṣyante kramavanta ivākramāḥ // BVaky_3,8.14 //	aneka rUpAH lakzyante kramavantaH iva AkramAH // BVakI _3,8.14 //
   anantaraṃ phalaṃ yasyāḥ kalpate tām kriyām viduḥ /	anantaram Palam yasyAH kalpate tAm kriyAm viduH /
   pradhānabhūtāṃ tādarthyād anyāsāṃ tu tadākhyatā // BVaky_3,8.15 //	praDAna BUtAm tAdarTyAt anyAsAm tu tad AKya tA // BVakI _3,8.15 //
   *kriyāpravṛttau yo hetus tadarthaṃ yad viceṣṭitam /	*kriyA pravRttO yaH hetuH tad arTam yat vicezwitam /
   anapekṣya prayuñjīta gacchatīty avadhārayan // BVaky_3,8.16 *//	anapekzya prayuQjIta gacCati iti avaDArayan // BVakI _3,8.16 *//
   satsu pratyayarūpo 'sau bhāvo yāvan na jāyate /	satsu pratyaya rUpaH asO BAvaH yAvat na jAyate /
   tāvat pareṣāṃ rūpeṇa sādhyaḥ sann abhidhīyate // BVaky_3,8.17 //	tAvat parezAm rUpeNa sADyaH san aBiDIyate // BVakI _3,8.17 //
   siddhe tu sādhanākāṅkṣā kṛtārthatvān nivartate /	sidDe tu sADana AkAFkzA kRtArTa tvAt nivartate /
   na kriyāvācināṃ tasmāt prayogas tatra vidyate // BVaky_3,8.18 //	na kriyA vAcinAm tasmAt prayogaH tatra vidyate // BVakI _3,8.18 //
   sa cāpūrvāparibhūta ekatvād akramātmakaḥ /	sa ca apUrvA pariBUtaH ekatvAt akrama AtmakaH /
   pūrvāparāṇāṃ dharmeṇa tadarthenānugamyate // BVaky_3,8.19 //	pUrva aparANAm DarmeNa tad arTena anugamyate // BVakI _3,8.19 //
   asan nivartate tasmād yat sat tad upalabhyate /	asat nivartate tasmAt yat sat tat upalaByate /
   tayoḥ sadasatoś cāsāv ātmaika iva gṛhyate // BVaky_3,8.20 //	tayoH sat asatoH ca asO AtmA ekaH iva gRhyate // BVakI _3,8.20 //
   jātim anye kriyām āhur anekavyaktivartinīm /	jAtim anye kriyAm AhuH aneka vyakti vartinIm /
   asādhyā vyaktirūpeṇa sā sādhyevopalabhyate // BVaky_3,8.21 //	asADyA vyakti rUpeNa sA sADi eva upalaByate // BVakI _3,8.21 //
   ante yā vā kriyābhāge jātiḥ saiva kriyā smṛtā /	ante yA vA kriyA BAge jAtiH sA eva kriyA smRtA /
   sā vyakter anuniṣpāde jāyamāneva gamyate // BVaky_3,8.22 //	sA vyakteH anunizpAde jAyamAnA iva gamyate // BVakI _3,8.22 //
   svavyāpāraviśiṣṭānām sattā vā, kartṛkarmanām /	sva vyApAra viSizwAnAm sattA vA, kartR karmanAm /
   kriyā vyāpārabhedeṣu sattā vā samavāyinī // BVaky_3,8.23 //	kriyA vyApAra Bedezu sattA vA samavAyinI // BVakI _3,8.23 //
   antye vātmani yā sattā sā kriyā kaiś cid iṣyate /	antye vA Atmani yA sattA sA kriyA kEH cit izyate /
   bhāva eva hi dhātvartha ity avicchinna āgamaḥ // BVaky_3,8.24 //	BAvaH eva hi DAtu arTaH iti avicCinnaH AgamaH // BVakI _3,8.24 //
   buddhiṃ tajjātim anye tu buddhisattām athāpare /	budDim tad jAtim anye tu budDi sattAm aTa apare /
   pratyastarūpāṃ bhāveṣu kriyeti pratijānate // BVaky_3,8.25 //	pratyasta rUpAm BAvezu kriyA iti pratijAnate // BVakI _3,8.25 //
   āvirbhāvatirobhāvau janmanāśau tathāparaiḥ /	AvirBAva tiroBAvO janma nASO taTA aparEH /
   ṣaṭsu bhāvavikāreṣu kalpitau vyāvahārikau // BVaky_3,8.26 //	zawsu BAva vikArezu kalpitO vyAvahArikO // BVakI _3,8.26 //
   tābhyāṃ sarvapravṛttīnām abhedenopasamgrahaḥ /	tAByAm sarva pravRttInAm aBedena upasamgrahaH /
   janmaivāśritasārūpyaṃ sthitir ity abhidhīyate // BVaky_3,8.27 //	janma eva ASrita sArUpyam sTitiH iti aBiDIyate // BVakI _3,8.27 //
   *jāyamānān na janrnānyad vināśe 'py apadārthatā /	*jAyamAnAn na janrna anyat vinASe api apadArTa tA /
   ato bhāvavikāreṣu sattaikā vyavatiṣṭhate // BVaky_3,8.28 *//	atas BAva vikArezu sattA ekA vyavatizWate // BVakI _3,8.28 *//
   *pūrvabhāgas tu yaj jātāt taj janmety apadiśyate /	*pUrva BAgaH tu yat jAtAt tat janma iti apadiSyate /
   āśritakramarūpeṇa nimittatve vivakṣite // BVaky_3,8.29 //	ASrita krama rUpeNa nimitta tve vivakzite // BVakI _3,8.29 //
   ākhyātaśabdair artho 'sāv evaṃbhūto 'bhidhīyate /	AKyAta SabdEH arTaH asO evaMBUtaH aBiDIyate /
   nāmaśabdāḥ pravartante saṃharanta iva kramam // BVaky_3,8.30 //	nAma SabdAH pravartante saMharantaH iva kramam // BVakI _3,8.30 //
   phalaṃ phalāpadeśo vā vastu vā tadvirodhi yat /	Palam Pala apadeSaH vA vastu vA tad viroDi yat /
   tad anyad eva pūrveṣāṃ nāga ity apadiśyate // BVaky_3,8.31 //	tat anyat eva pUrvezAm nAgaH iti apadiSyate // BVakI _3,8.31 //
   naivāsti naiva nāstīti vastuno grahanād vinā /	na eva asti na eva na asti iti vastunaH grahanAt vinA /
   kalpate pararūpeṇa vastv anyad anugamyate // BVaky_3,8.32 //	kalpate para rUpeNa vastu anyat anugamyate // BVakI _3,8.32 //
   bhāvābhāvau ghaṭādinām aspṛśann api pāṇinā /	BAva aBAvO Gawa AdinAm aspRSan api pANinA /
   kaś cid vedāprakāśe 'pi prakāśe tata eva vā // BVaky_3,8.33 //	kaH cit veda aprakASe api prakASe tatas eva vA // BVakI _3,8.33 //
   vyāpi saukṣmyaṃ kva cid yāti kva cit saṃhanyate punaḥ /	vyApi sOkzmyam kva cit yAti kva cit saMhanyate punar /
   akurvāṇo 'tha vā kiṃ cit svaśaktyaivaṃ prakāśate // BVaky_3,8.34 //	akurvANaH aTa vA kim cit sva SaktyA evam prakASate // BVakI _3,8.34 //
   sarvarūpasya tattvasya yat krameṇeva darśanam /	sarva rUpasya tattvasya yat krameNa iva darSanam /
   bhāgair iva prakḷptiś ca tāṃ kriyām apare viduḥ // BVaky_3,8.35 //	BAgEH iva prak?ptiH ca tAm kriyAm apare viduH // BVakI _3,8.35 //
   sattā svaśaktiyogena sarvarūpā vyavasthitā /	sattA sva Sakti yogena sarva rUpA vyavasTitAH /
   sādhyā ca sādhanaṃ caiva phalaṃ bhoktā phalasya ca // BVaky_3,8.36 //	sADyA ca sADanam ca eva Palam BoktA Palasya ca // BVakI _3,8.36 //
   kriyām anye tu manyante kva cid apy anapāśritām /	kriyAm anye tu manyante kva cit api anapASritAm /
   sādhanaikārthakāritve pravṛttim anapāyinīm // BVaky_3,8.37 //	sADana eka arTa kAri tve pravRttim anapAyinIm // BVakI _3,8.37 //
   sāmānyabhūtā sā pūrvaṃ bhāgaśaḥ pravibhajyate /	sAmAnya BUtA sA pUrvam BAgaSas praviBajyate /
   tato vyāpārarūpeṇa sādhyeva vyavatiṣṭhate // BVaky_3,8.38 //	tatas vyApAra rUpeNa sADyeva vyavatizWate // BVakI _3,8.38 //
   prakṛtiḥ sādhanānāṃ sā prathamaṃ tac ca kārakam /	prakRtiH sADanAnAm sA praTamam tat ca kArakam /
   vyāpārāṇāṃ tato 'nyatvam aparair upavarṇyate // BVaky_3,8.39 //	vyApArANAm tatas anya tvam aparEH upavarNyate // BVakI _3,8.39 //
   bahūnāṃ saṃbhave 'rthānāṃ ke cid evopakārinaḥ /	bahUnAm saMBave arTAnAm ke cit eva upakArinaH /
   saṃsarge kaś cid esāṃ tu prādhānyena pratīyate // BVaky_3,8.40 //	saMsarge kaH cit esAm tu prADAnyena pratIyate // BVakI _3,8.40 //
   sādhyatvāt tatra cākhyātair vyāpārāḥ siddhasādhanāḥ /	sADya tvAt tatra ca AKyAtEH vyApArAH sidDa sADanAH /
   prādhānyenābhidhīyante phalenāpi pravartitāḥ // BVaky_3,8.41 //	prADAnyena aBiDIyante Palena api pravartitAH // BVakI _3,8.41 //
   ekatvāvṛttibhāvābhyāṃ bhedābhedasamanvaye /	ekatva AvRtti BAvAByAm Beda aBeda samanvaye /
   saṃkhyās tatropalabhyante saṃkhyeyāvayavakriyāḥ // BVaky_3,8.42 //	saMKyAH tatra upalaByante saMKyeya avayava kriyAH // BVakI _3,8.42 //
   siddhasyārthasya pākādeḥ kathaṃ sādhanayogitā /	sidDasya arTasya pAka AdeH kaTam sADana yogitAH /
   sādhyatve vā tiṅantena kṛtāṃ bhedo na kaś cana // BVaky_3,8.43 //	sADya tve vA tiFantena kRtAm BedaH na kaH cana // BVakI _3,8.43 //
   tatra kārakayogāyā yady ākhyātaṃ nibandhanam /	tatra kAraka yogAyAH yadi AKyAtam nibanDanam /
   ṣaṣṭhvāḥ sā lena saṃbandhe vyudastā kartṛkarmanoḥ // BVaky_3,8.44 //	zazWvAH sA lena saMbanDe vyudastA kartR karmanoH // BVakI _3,8.44 //
   ekābhidhāna eko 'rtho yugapac ca dvidharmabhāk /	eka aBiDAnaH ekaH arTaH yugapad ca dvi Darma BAj /
   na saṃbhavati siddhatve sa sādhyaḥ syāt kathaṃ punaḥ // BVaky_3,8.45 //	na saMBavati sidDa tve sa sADyaH syAt kaTam punar // BVakI _3,8.45 //
   etāvat sādhanaṃ sādhyam etāvad iti kalpanā /	etAvat sADanam sADyam etAvat iti kalpanA /
   śāstra eva na vākye 'sti vibhāgaḥ paramārthataḥ // BVaky_3,8.46 //	SAstre eva na vAkye asti viBAgaH paramArTataH // BVakI _3,8.46 //
   ākhyātaśabde bhāgābhyāṃ sādhyasādhanavartitā /	AKyAta Sabde BAgAByAm sADya sADana vartitA /
   prakalpitā yathā śāstre sa ghañādisv api kramaḥ // BVaky_3,8.47 //	prakalpitAH yaTA SAstre sa GaQA Adisu api kramaH // BVakI _3,8.47 //
   sādhyatvena kriyā tatra dhāturūpanibandhanā /	sADya tvena kriyA tatra DAtu rUpa nibanDanAH /
   sattvabhāvas tu yas tasyāḥ sa ghañādinibandhanaḥ // BVaky_3,8.48 //	sattva BAvaH tu yaH tasyAH sa GaQA Adi nibanDanaH // BVakI _3,8.48 //
   bandhutābhedarūpeṇa bandhuśabde vyavasthitā /	banDu tA Beda rUpeNa banDu Sabde vyavasTitAH /
   samūho bandhvavasthā tu pratyayenābhidhīyate // BVaky_3,8.49 //	samUhaH banDU avasTA tu pratyayena aBiDIyate // BVakI _3,8.49 //
   tatra yam prati sādhyatvam asiddhā taṃ prati kriyā /	tatra yam prati sADya tvam asidDA tam prati kriyA /
   siddhā tu yasmin sādhyatvaṃ na tam eva punaḥ prati // BVaky_3,8.50 //	sidDA tu yasmin sADya tvam na tam eva punar prati // BVakI _3,8.50 //
   rājñaḥ putrasya napteti na rājñi vyatiricyate /	rAjQaH putrasya naptA iti na rAjQi vyatiricyate /
   putrasyārthaḥ pradhānatvaṃ na cāsya vinivartate // BVaky_3,8.51 //	putrasya arTaH praDAna tvam na ca asya vinivartate // BVakI _3,8.51 //
   mṛgo dhāvati paśyeti sādhyasādhanarūpatā /	mRgaH DAvati paSya iti sADya sADana rUpa tA /
   tathā viṣayabhedena saraṇasyopapadyate // BVaky_3,8.52 //	taTA vizaya Bedena saraNasya upapadyate // BVakI _3,8.52 //
   lakṛtyaktakhalarthānāṃ tathāvyayakṛtām api /	lakRti akta KalarTAnAm taTA avyaya kRtAm api /
   rūḍhiniṣṭhāghañādinām dhātuḥ sādhyasya vācakaḥ // BVaky_3,8.53 //	rUXi nizWA GaQa AdinAm DAtuH sADyasya vAcakaH // BVakI _3,8.53 //
   sādhyasyāpariniṣpatteḥ so 'yam ity anupagrahaḥ /	sADyasya aparinizpatteH saH ayam iti anupagrahaH /
   tiṅantair antareṇevam upamānaṃ tato na taiḥ // BVaky_3,8.54 //	tiFantEH antareNa ivam upamAnam tatas na tEH // BVakI _3,8.54 //
   sādhanatvaṃ prasiddhaṃ ca tiṅkṣu saṃbandhināṃ yataḥ /	sADana tvam prasidDam ca tiFkzu saMbanDinAm yatas /
   tenādhyāropa eva syād upamā tu na vidyate // BVaky_3,8.55 //	tena aDyAropaH eva syAt upamA tu na vidyate // BVakI _3,8.55 //
   nyūneṣu ca samāptārtham upamānaṃ vidhīyate /	nyUnezu ca samApta arTam upamAnam viDIyate /
   kriyā caivāśraye sarvā tatra tatra samāpyate // BVaky_3,8.56 //	kriyA ca eva ASraye sarvA tatra tatra samApyate // BVakI _3,8.56 //
   yenaiva hetunā haṃsaḥ patatīty abhidhīyate /	yena eva hetunA haMsaH patati iti aBiDIyate /
   ātau tasya samāptatvād upamārtho na vidyate // BVaky_3,8.57 //	AtO tasya samApta tvAt upamA arTaH na vidyate // BVakI _3,8.57 //
   kriyāṇāṃ jātibhinnānāṃ sādṛśyaṃ nāvadhāryate /	kriyANAm jAti BinnAnAm sAdRSyam na avaDAryate /
   siddheś ca prakrame sādhyam upamātum na śakyate // BVaky_3,8.58 //	sidDeH ca prakrame sADyam upamAtum na Sakyate // BVakI _3,8.58 //
   vanam vṛkṣā iti yathā bhedābhedavyapāśrayāt /	vanam vRkzAH iti yaTA Beda aBeda vyapASrayAt /
   arthātmā bhidyate bhāve sa bāhyābhyantare kramaḥ // BVaky_3,8.59 //	arTa AtmA Bidyate BAve sa bAhya aByantare kramaH // BVakI _3,8.59 //
   sāmānye bhāva ity atra yal liṅgam upalabhyate /	sAmAnye BAvaH iti atra yat liFgam upalaByate /
   bhedānāṃ anumeyatvān na tat teṣu vivakṣyate // BVaky_3,8.60 //	BedAnAm anumeya tvAt na tat tezu vivakzyate // BVakI _3,8.60 //
   nirdeśe caritārthatvāl liṅgaṃ bhāve 'vivaksitam /	nirdeSe caritArTa tvAt liFgam BAve avivaksitam /
   upamānavidhitvāc ca bhāvād anyat pacādisu // BVaky_3,8.61 //	upamAna viDi tvAt ca BAvAt anyat paca Adisu // BVakI _3,8.61 //
   bhavatau yat pacādināṃ tāvad atropadiśyate /	BavatO yat paca AdinAm tAvat atra upadiSyate /
   na ca liṅgam pacādināṃ bhavatau samavasthitam // BVaky_3,8.62 //	na ca liFgam paca AdinAm BavatO samavasTitam // BVakI _3,8.62 //
   ekaś ca so 'rthaḥ sattākhyaḥ katham cit kaiś cid ucyate /	ekaH ca saH arTaH sattA AKyaH kaTam cit kEH cit ucyate /
   liṅgāni cāsya bhidyante pacirūpādibhedavat // BVaky_3,8.63 //	liFgAni ca asya Bidyante paci rUpa Adi Beda vat // BVakI _3,8.63 //
   ācāryo mātulaś ceti yathaiko vyapadiśyate /	AcAryaH mAtulaH ca iti yaTA ekaH vyapadiSyate /
   sambandhibhedād arthātmā sa vidhiḥ paktibhāvayoḥ // BVaky_3,8.64 //	sambanDi BedAt arTa AtmA sa viDiH pakti BAvayoH // BVakI _3,8.64 //
   3,9: Kālasamuddeśaḥ	3,9: KAla samuddeSaH
   vyāpāravyatirekeṇa kālam eke pracakṣate /	vyApAra vyatirekeNa kAlam eke pracakzate /
   nityam ekaṃ vibhu dravyaṃ parimāṇaṃ kriyāvatām // BVaky_3,9.1 //	nityam ekam viBu dravyam parimANam kriyAvatAm // BVakI _3,9.1 //
   diṣṭiprasthasuvarṇādi mūrtibhedāya kalpate /	dizwi prasTa suvarNa Adi mUrti BedAya kalpate /
   kriyābhedāya kālas tu saṃkhyā sarvasya bhedikā // BVaky_3,9.2 //	kriyA BedAya kAlaH tu saMKyA sarvasya BedikAH // BVakI _3,9.2 //
   utpattau ca sthitau caiva vināśe cāpi tadvatām /	utpattO ca sTitO ca eva vinASe ca api tadvatAm /
   nimittaṃ kālam evāhur vibhaktenātmanā sthitam // BVaky_3,9.3 //	nimittam kAlam eva AhuH viBaktena AtmanA sTitam // BVakI _3,9.3 //
   tam asya lokayantrasya sūtradhāraṃ pracakṣate /	tam asya lokayantrasya sUtra DAram pracakzate /
   pratibandhābhyanujñābhyāṃ tena viśvaṃ vibhajyate // BVaky_3,9.4 //	pratibanDa aByanujQAByAm tena viSvam viBajyate // BVakI _3,9.4 //
   yadi na pratibadhnīyāt pratibandhaṃ ca notsṛjet /	yadi na pratibaDnIyAt pratibanDam ca na utsRjet /
   avasthā vyatikīryeran paurvāparyavinākṛtāḥ // BVaky_3,9.5 //	avasTAH vyatikIryeran pOrvAparya vinAkRtAH // BVakI _3,9.5 //
   tasyātmā bahudhā bhinno bhedair dharmāntarāśrayaiḥ /	tasya AtmA bahuDA BinnaH BedEH Darma antara ASrayEH /
   na hi bhinnam abhinnaṃ vā vastu kiṃ cana vidyate // BVaky_3,9.6 //	na hi Binnam aBinnam vA vastu kim cana vidyate // BVakI _3,9.6 //
   naiko na cāpy aneko 'sti na śuklo nāpi cāsitaḥ /	na ekaH na ca api anekaH asti na SuklaH na api ca asitaH /
   dravyātmā sa tu saṃsargād evaṃrūpaḥ prakāśate // BVaky_3,9.7 //	dravya AtmA sa tu saMsargAt evaMrUpaH prakASate // BVakI _3,9.7 //
   saṃsargināṃ tu ye bhedā viśeṣās tasya te matāḥ /	saMsarginAm tu ye BedAH viSezAH tasya te matAH /
   sa bhinnas tair vyavasthānāṃ kālo bhedāya kalpate // BVaky_3,9.8 //	sa BinnaH tEH vyavasTAnAm kAlaH BedAya kalpate // BVakI _3,9.8 //
   viśiṣṭakālasaṃbandhād vṛttilābhaḥ prakalpate /	viSizwa kAla saMbanDAt vRtti lABaH prakalpate /
   śaktīnāṃ saṃprayogasya hetutvenāvatiṣṭhate // BVaky_3,9.9 //	SaktInAm saMprayogasya hetu tvena avatizWate // BVakI _3,9.9 //
   janmābhivyaktiniyamāḥ prayogopanibandhanāḥ /	janma aBivyakti niyamAH prayoga upanibanDanAH /
   nityādhīnasthititvāc ca sthitir niyamapūrvikā // BVaky_3,9.10 //	nitya aDIna sTiti tvAt ca sTitiH niyama pUrvikAH // BVakI _3,9.10 //
   sthitasyānugrahas tais tair dharmaiḥ saṃsargibhis tataḥ /	sTitasya anugrahaH tEH tEH DarmEH saMsargiBiH tatas /
   pratibandhas tirobhāvaḥ prahāṇam iti cātmanaḥ // BVaky_3,9.11 //	pratibanDaH tiroBAvaH prahANam iti ca AtmanaH // BVakI _3,9.11 //
   pratyavasthaṃ tu kālasya vyāpāro 'tra vyavasthitaḥ /	pratyavasTam tu kAlasya vyApAraH atra vyavasTitaH /
   kāla eva hi viśvātmā vyāpāra iti kathyate // BVaky_3,9.12 //	kAlaH eva hi viSvAtmA vyApAraH iti kaTyate // BVakI _3,9.12 //
   mūrtīnāṃ tena bhinnānām ācayāpacayāḥ pṛthak /	mUrtInAm tena BinnAnAm Acaya apacayAH pRTak /
   lakṣyante pariṇāmena sarvāsāṃ bhedayoginā // BVaky_3,9.13 //	lakzyante pariNAmena sarvAsAm Beda yoginA // BVakI _3,9.13 //
   jalayantrabhramāveśa  sadṛśībhiḥ pravṛttibhiḥ /	jalayantra Brama AveSa sadRSIBiH pravRttiBiH /
   sa kalāḥ kalayan sarvāḥ kālākhyāṃ labhate vibhuḥ // BVaky_3,9.14 //	sa kalAH kalayan sarvAH kAla AKyAm laBate viBuH // BVakI _3,9.14 //
   pratibhaddhāś ca yās tena citrā viśvasya vṛttayaḥ /	pratiBadDAH ca yAH tena citrAH viSvasya vRttayaH /
   tāḥ sa evānujānāti yathā tantuḥ śakuntikāḥ // BVaky_3,9.15 //	tAH saH eva anujAnAti yaTA tantuH SakuntikAH // BVakI _3,9.15 //
   viśiṣṭakālasaṃbandhāl labdhapākāsu śaktiṣu /	viSizwa kAla saMbanDAt labDa pAkAsu Saktizu /
   kriyābhivyajyate nityā prayogākhyena karmaṇā // BVaky_3,9.16 //	kriyA aBivyajyate nityA prayoga AKyena karmaNA // BVakI _3,9.16 //
   jātiprayuktā tasyāṃ tu phalavyaktiḥ prajāyate /	jAti prayuktA tasyAm tu Pala vyaktiH prajAyate /
   kuto 'py adbhutayā vṛttyā śaktibhiḥ sā niyamyate // BVaky_3,9.17 //	kutas api adButayA vRttyA SaktiBiH sA niyamyate // BVakI _3,9.17 //
   tatas tu samavāyākhyā śaktir bhedasya bādhikā /	tatas tu samavAya AKyA SaktiH Bedasya bADikA /
