   // śrīmate nigamāntamahādeśikāya namaḥ //	// SrImate nigama-anta-mahA-deSikAya namaH //
   upalambhavirodhaśābdapratyakṣalakṣaṇasaṃkarādiprasaṅgo 'tra vipakṣe	upalamBa-viroDa-SAbda-pratyakza-lakzaNa-saMkara-Adi-prasaFgaH atra vipakze
   bādhakaḥ /	bADakaH /
   naivaṃ pūrvasya, śabdajanyapratyakṣamantareṇāpi	na-evam pUrvasya, Sabda-janya-pratyakzam-antareNa-api
   yogajādṛṣṭajanitasākṣātkārāt praṇidhānaviśeṣaprasāditaparamātmasaṃkalpādvā	yoga-ja-adRzwa-janita-sAkzAtkArAt praNiDAna-viSeza-prasAdita-paramAtma-saMkalpAt-vA
   niḥśreyasasiddheriti //	niHSreyasa-sidDeH-iti //
   pratyakṣaṃ cidacinmayaṃ jagadidaṃ yasyetyanuśrūyate	pratyakzam cit-acit-mayam jagat-idam yasya-iti-anuSrUyate
   yaścānanyadhiyāmanantavibhavaḥ pratyakṣatāmaśnute /	yaH-ca-ananya-DiyAm-ananta-viBavaH pratyakzatAm-aSnute /
   yaścaiko yugapatsadā svata idaṃ viśvaṃ darīdṛśyate prājñaṃ taṃ	yaH-ca-ekaH yugapad-sadA svatas idam viSvam darI-dRSyate prAjQam tam
   pratipannamokṣaṇavidhādakṣaṃ didṛkṣemahi //	pratipanna-mokzaNa-viDAt-akzam didRkzemahi //
   iti śrīkavitārkikasiṃhasya sarvatantrasvatantrasya śrīmadveṅkaṭanāthasya	iti SrI-kavi-tArkika-siMhasya sarva-tantra-svatantrasya SrImat-veFkawa-nATasya
   vedāntācāryasya kṛtiṣu nyāyapariśuddhau pratyakṣādhyāye dvitīyamāhnikam //	vedAnta-AcAryasya kRtizu nyAya-pariSudDO pratyakza-aDyAye dvitIyam-Ahnikam //
   samāptaśca pratyakṣādhyāyaḥ //	samAptaH-ca pratyakza-aDyAyaH //
   // śrīmate nigamāntamahādeśikāya namaḥ //	// SrImate nigama-anta-mahA-deSikAya namaH //
