   Ḍhuṇḍhukanātha: Rasendracintāmaṇi	ḌhuNXuka-nATa: RasendracintAmaNi
   evaṃ vidhānato vaṅgo mriyate nātra saṃśayaḥ // RCint_6.50 //	evam viDAnataH vaFgaH mriyate na-atra saMSayaH // RCint-_6.50 //
   <lead:: māraṇa>	<lead:: mAraNa>
   nāgaṃ kharparake nidhāya kunaṭīcūrṇaṃ dadīta drute	nAgam Karparake niDAya kunawI-cUrNam dadIta drute
   nimbūtthadravagandhakena puṭitaṃ bhasmībhavatyāśu tat /	nimbu-utTa-drava-ganDakena puwitam BasmIBavati-ASu tat /
   evaṃ tālakavāpatastu kuṭilaṃ cūrṇīkṛtaṃ tatpuṭed gandhāmlena	evam tAlaka-vApataH-tu kuwilam cUrNIkRtam tat-puwet ganDa-amlena
   samastadoṣarahitaṃ yogeṣu yojyaṃ bhavet // RCint_6.51 //	samasta-doza-rahitam yogezu yojyam Bavet // RCint-_6.51 //
   <sindūra:: production>	<sindUra:: productiA-Un>
   bhūbhujaṅgamagastiṃ ca piṣṭvā pātraṃ pralepayet /	BUBujaFgam-agastim ca pizwvA pAtram pralepayet /
   tatra savidrute nāge vāsāpāmārgasambhavam // RCint_6.52 //	tatra sa-vidrute nAge vAsa-apAmArga-samBavam // RCint-_6.52 //
   kṣāraṃ vimiśrayettatra caturthāṃśaṃ gurūktitaḥ /	kzAram vimiSrayet-tatra caturTa-aMSam guru-uktitaH /
   praharaṃ pācayeccullyāṃ vāsādarvyā vighaṭṭayan // RCint_6.53 //	praharam pAcayet-cullyAm vAsA-darvyA viGawwayan // RCint-_6.53 //
   tata uddhṛtya taccūrṇaṃ vāsānīrairvimardayet /	tatas udDRtya tat-cUrNam vAsA-nIrEH-vimardayet /
   puṭetpunaḥ samuddhṛtya taddraveṇa vimardayet /	puwet-punar samudDRtya tad-draveNa vimardayet /
   evaṃ saptapuṭairnāgaḥ sindūro jāyate dhruvam // RCint_6.54 //	evam sapta-puwEH-nAgaH sindUraH jAyate Druvam // RCint-_6.54 //
   <iron:: māraṇam>	<iron:: mAraNam>
   lauhaṃ patrasatīvataptam asakṛt kvāthe kṣipettraiphale cūrṇībhūtam ataḥ	lOham patra-satIva-taptam asakRt kvATe kzipet-trEPale cUrNIBUtam atas-
   punastriphalaje kvāthe paced gojale /	punar-triPala-je kvATe pacet go-jale /
   matsyākṣītriphalā etena puṭayedyāvannirutthaṃ bhavet paścādājyamadhuplutaṃ	matsyAkzI-triPalA etena puwayet-yAvat-nirutTam Bavet paScAt-Ajya-maDu-plutam
   supuṭitaṃ siddhaṃ bhaved āyasam // RCint_6.55 //	su-puwitam sidDam Bavet Ayasam // RCint-_6.55 //
   atra matsyākṣī machechī /	atra matsyAkzI maCeCI /
   prakṛtatricatuḥpuṭe manaḥśilāṃ kiṃcid dadyāt // RCint_6.56 //	prakRta-tri-catur-puwe manaHSilAm kiMcid dadyAt // RCint-_6.56 //
   <iron:: māraṇa>	<iron:: mAraNa>
   pariplutaṃ dāḍimapatravārā lauhaṃ rajaḥ svalpakaṭorikāyām /	pariplutam dAxima-patra-vArA lOham rajaH su-alpa-kaworikAyAm /
   mriyeta vastrāvṛtamarkabhāsā yojyaṃ puṭaiḥ syāt triphalādikānām //	mriyeta vastra-AvRtam-arka-BAsA yojyam puwEH syAt triPalA-AdikAnAm //
   RCint_6.57 //	RCint-_6.57 //
   puṭabāhulyaṃ guṇādhikyāya śatādipuṭapakṣe mudganibhaṃ kṛtvā puṭān	puwa-bAhulyam guNa-ADikyAya Sata-Adi-puwa-pakze mudga-niBam kRtvA puwAn
   dadyādvastrapūtaṃ ca na kuryāt /	dadyAt-vastra-pUtam ca na kuryAt /
   triphalādir amṛtasāralauhe vakṣyate // RCint_6.58 //	triPalA-AdiH amRta-sAra-lOhe vakzyate // RCint-_6.58 //
   <iron:: māraṇa:: vāritara>	<iron:: mAraNa:: vAritara>
   sūtakāddviguṇaṃ gandhaṃ dattvā kṛtvā ca kajjalīm /	sUtakAt-dviguNam ganDam dattvA kRtvA ca kajjalIm /
   dvayoḥ samaṃ lohacūrṇaṃ mardayetkanyakādravaiḥ // RCint_6.59 //	dvayoH samam loha-cUrNam mardayet-kanyakA-dravEH // RCint-_6.59 //
   yāmayugmaṃ tataḥ piṇḍaṃ kṛtvā tāmrasya pātrake /	yAma-yugmam tatas piNxam kRtvA tAmrasya pAtrake /
   gharme dhṛtvoruvūkasya patrairācchādayed budhaḥ // RCint_6.60 //	Garme DRtvA-uruvUkasya patrEH-AcCAdayet buDaH // RCint-_6.60 //
   yāmārdhenoṣṇatā bhūyāddhānyarāśau nyasettataḥ /	yAma-arDena-uzNatA BUyAt-DAnya-rASO nyaset-tatas /
   dattvopari śarāvaṃ tu tridinānte samuddharet // RCint_6.61 //	dattvA-upari SarAvam tu tri-dina-ante samudDaret // RCint-_6.61 //
   piṣṭvā ca gālayedvastrādevaṃ vāritaraṃ bhavet /	pizwvA ca gAlayet-vastrAt-evam vAritaram Bavet /
   evaṃ sarvāṇi lohāni svarṇādīnyapi mārayet // RCint_6.62 //	evam sarvANi lohAni svarNa-AdIni-api mArayet // RCint-_6.62 //
   <iron:: checking the vāritara state>	<iron:: Ceckinc Te vAritara state>
   sarvametanmṛtaṃ lauhaṃ dhmātavyaṃ mitrapañcakaiḥ /	sarvam-etat-mRtam lOham DmAtavyam mitrapaQcakEH /
   yadyevaṃ syānnirutthānaṃ sevyaṃ vāritaraṃ hi tat // RCint_6.63 //	yadi-evam syAt-nirutTAnam sevyam vAritaram hi tat // RCint-_6.63 //
   <mitrapañcaka>	<mitrapaQcaka>
   madhusarpistathā guñjā ṭaṅkaṇaṃ guggulustathā /	maDu-sarpiH-taTA guQjA waFkaNam gugguluH-taTA /
   mitrapañcakametattu gaṇitaṃ dhātumelane // RCint_6.64 //	mitrapaQcakam-etat-tu gaNitam DAtu-melane // RCint-_6.64 //
   <iron:: mṛta:: checking the mṛta-state>	<iron:: mRta:: Ceckinc Te mRta-H-tate>
   madhvājyaṃ mṛtalauhaṃ ca sarūpyaṃ sampuṭe kṣipet /	maDu-Ajyam mRta-lOham ca sarUpyam sampuwe kzipet /
   ruddhvā dhmāte ca saṃgrāhyaṃ rūpyaṃ vai pūrvamānakam /	rudDvA DmAte ca saMgrAhyam rUpyam vE pUrva-mAnakam /
   tadā lauhaṃ mṛtaṃ vidyādanyathā mārayetpunaḥ // RCint_6.65 //	tadA lOham mRtam vidyAt-anyaTA mArayet-punar // RCint-_6.65 //
   <iron:: māraṇa:: nirutthāna>	<iron:: mAraNa:: nirutTAna>
   gandhakenotthitaṃ lauhaṃ tulyaṃ khalve vimardayet /	ganDakena-utTitam lOham tulyam Kalve vimardayet /
   dinaikaṃ kanyakādrāvaiḥ ruddhvā gajapuṭe pacet /	dina-ekam kanyakA-drAvEH rudDvA gajapuwe pacet /
   ityevaṃ sarvalauhānāṃ kartavyeyaṃ nirutthitiḥ // RCint_6.66 //	iti-evam sarva-lOhAnAm kartavyA-iyam nirutTitiH // RCint-_6.66 //
   yavavṛddhyā prayoktavyaṃ hema guñjāṣṭakaṃ raviḥ /	yava-vRdDyA prayoktavyam hema guQjA-azwakam raviH /
   tāraṃ taddviguṇaṃ lauhamanyattu triguṇādhikam // RCint_6.67 //	tAram tad-dviguNam lOham-anyat-tu triguNa-aDikam // RCint-_6.67 //
   <kiṭṭa (rust!):: age => quality>	<kiwwaH (ruH-t!):: age => quality>
   śatordhvam uttamaṃ kiṭṭaṃ madhyaṃ cāśītivārṣikam /	Sata-UrDvam uttamam kiwwam maDyam ca-aSIti-vArzikam /
   adhamaṃ ṣaṣṭivarṣīyaṃ tato hīnaviṣopamam // RCint_6.68 //	aDamam zazwi-varzIyam tatas hIna-viza-upamam // RCint-_6.68 //
   <maṇḍūra:: production>	<maNxUra:: productiA-Un>
   akṣāṅgārairdhametkiṭṭaṃ lohajaṃ tadgavāṃ jalaiḥ /	akza-aFgArEH-Damet-kiwwam loha-jam tat-gavAm jalEH /
   secayettaptataptaṃ ca saptavāraṃ punaḥ punaḥ // RCint_6.69 //	secayet-tapta-taptam ca sapta-vAram punar punar // RCint-_6.69 //
   cūrṇayitvā tataḥ kvāthair dviguṇaistriphalodbhavaiḥ /	cUrNayitvA tatas kvATEH dviguNEH-triPalA-udBavEH /
   āloḍya bharjayedvahnau maṇḍūraṃ jāyate varam // RCint_6.70 //	Aloxya Barjayet-vahnO maNxUram jAyate varam // RCint-_6.70 //
   <svarṇa, rūpya>	<svarNa, rUpya>
   āyurlakṣmīprabhādhīsmṛtikaramakhilavyādhividhvaṃsi puṇyam /	AyuH-lakzmI-praBA-DI-smRti-karam-aKila-vyADi-viDvaMsi puNyam /
   bhūtāveśapraśāntismarabhavasukhadaṃ saukhyapuṣṭiprakāśi /	BUta-AveSa-praSAnti-smara-Bava-suKa-dam sOKya-puzwi-prakASi /
   gāṅgeyaṃ cātha rūpyaṃ gadaham ajarākāri mehāpahāri /	gAFgeyam ca-aTa rUpyam gadaham ajarA-kAri meha-apahAri /
   kṣīṇānāṃ puṣṭikāri sphuṭam atikaraṇaṃ kāraṇaṃ vīryavṛddheḥ // RCint_6.71	kzINAnAm puzwi-kAri sPuwam ati-karaNam kAraNam vIrya-vRdDeH // RCint-_6.71
   <gold:: medic. properties>	<gold:: medic. properties>
   madhuraṃ kaṭukaṃ pāke suvarṇaṃ vīryaśītalam /	maDuram kawukam pAke suvarNam vIrya-SItalam /
   sarvadoṣapraśamanaṃ viṣaghnaṃ garanāśanam // RCint_6.72 //	sarva-doza-praSamanam viza-Gnam gara-nASanam // RCint-_6.72 //
   alakṣmīkalipāpānāṃ prayogastasya nāśanaḥ /	alakzmI-kali-pApAnAm prayogaH-tasya nASanaH /
   āyurmedhāsmṛtikaraḥ puṣṭikāntivivardhanaḥ // RCint_6.73 //	AyuH-meDA-smRti-karaH puzwi-kAnti-vivarDanaH // RCint-_6.73 //
   sarvauṣadhiprayogair ye vyādhayo na vinirjitāḥ /	sarva-ozaDi-prayogEH ye vyADayaH na vinirjitAH /
   karmabhiḥ pañcabhiścāpi suvarṇaṃ teṣu yojayet // RCint_6.74 //	karmaBiH paQcaBiH-ca-api suvarNam tezu yojayet // RCint-_6.74 //
   śilājatuprayogaiśca tāpyasūtakayostathā /	SilAjatu-prayogEH-ca tApya-sUtakayoH-taTA /
   anyai rasāyanaiścāpi prayogo hemna uttamaḥ // RCint_6.75 //	anyEH rasAyanEH-ca-api prayogaH hemnaH uttamaH // RCint-_6.75 //
   tāpyasūtakayorityatra sāmānyasaṃskṛtasūtako jñeyaḥ /	tApya-sUtakayoH-iti-atra sAmAnya-saMskRta-sUtakaH jQeyaH /
   viśeṣasaṃskṛtasūtakasya tu vyomagāmitvādipradatvāt // RCint_6.76 //	viSeza-saMskRta-sUtakasya tu vyoma-gAmi-tva-Adi-prada-tvAt // RCint-_6.76 //
   madhvāmalakacūrṇaṃ tu suvarṇaṃ ceti tattrayam /	maDu-Amalaka-cUrNam tu suvarNam ca-iti tat-trayam /
   prāśyāriṣṭagṛhīto'pi mucyate prāṇasaṃśayāt // RCint_6.77 //	prASya-arizwa-gRhItaH-api mucyate prANa-saMSayAt // RCint-_6.77 //
   medhākāmastu vacayā śrīkāmaḥ padmakeśaraiḥ /	meDA-kAmaH-tu vacayA SrI-kAmaH padma-keSarEH /
   śaṅkhapuṣpyā vayo'rthī ca vidāryā ca prajārthakaḥ // RCint_6.78 //	SaFKapuzpyA vayaH-arTI ca vidAryA ca prajA-arTakaH // RCint-_6.78 //
   <copper:: medic. properties>	<ca-upper:: medic. properties>
   gulmapāṇḍupariṇāmaśūlahṛllekhanaṃ kṛmiharaṃ viśodhanam /	gulma-pANxu-pariNAma-SUla-hRt-leKanam kRmi-haram viSoDanam /
   plīhakuṣṭhajaṭharāmaśūlajicchleṣmavātaharaṇaṃ ravināma // RCint_6.79 //	plIha-kuzWa-jaWara-Ama-SUla-jit-Slezma-vAta-haraNam ravi-nAmaH // RCint-_6.79 //
   <pittala, kāṃsya>	<pittala, kAMsya>
   rītikā śleṣmapittaghnī kāṃsyamuṣṇaṃ ca lekhanam // RCint_6.80 //	rItikA Slezma-pitta-GnI kAMsyam-uzNam ca leKanam // RCint-_6.80 //
   <tin:: medic. properties>	<tin:: medic. properties>
   vaṅgo dāhaharaḥ pāṇḍujantumehavināśanaḥ // RCint_6.81 //	vaFgaH dAha-haraH pANxu-jantu-meha-vinASanaH // RCint-_6.81 //
   <lead:: medic. properties>	<lead:: medic. properties>
   daśanāgabalaṃ dhatte vīryāyuḥkāntivardhanaḥ /	daSa-nAga-balam Datte vIrya-AyuH-kAnti-varDanaH /
   rogān hanti mṛto nāgaḥ sevyo raṅgo'pi tadguṇaḥ // RCint_6.82 //	rogAn hanti mRtaH nAgaH sevyaH raFgaH-api tad-guNaH // RCint-_6.82 //
   tṛṣṇāmaśothaśūlārśaḥkuṣṭhapāṇḍutvamehajit /	tRzNA-Ama-SoTa-SUla-arSaH-kuzWa-pANxu-tva-meha-jit /
   vayasyo gurucakṣuṣyaḥ saro medo'nilāpahaḥ /	vayasyaH guru-cakzuzyaH saraH medaH-anila-apahaH /
   tārasya rañjako nāgo vātapittakaphāpahaḥ // RCint_6.83 //	tArasya raQjakaH nAgaH vAta-pitta-kaPa-apahaH // RCint-_6.83 //
   <iron:: medic. properties>	<iron:: medic. properties>
   āyuḥpradātā balavīryakartā rogāpahartā kadanasya kartā /	AyuH-pradAtA bala-vIrya-kartA roga-apahartA kadanasya kartA /
   ayaḥsamānaṃ nahi kiṃcidasti rasāyanaṃ śreṣṭhatamaṃ narāṇām // RCint_6.84	ayaH-samAnam na-hi kiMcid-asti rasAyanam SrezWatamam narANAm // RCint-_6.84
   <iron:: Reihenfolge der Gṃte>	<iron:: ReihenfA-ulge deH GMte>
   sāmānyād dviguṇaṃ krauñcaṃ kaliṅgo'ṣṭaguṇastataḥ /	sAmAnyAt dviguNam krOQcam kaliFgaH-azwaguNaH-tatas /
   kalerdaśaguṇaṃ bhadraṃ bhadrādvajraṃ sahasradhā // RCint_6.85 //	kaleH-daSaguNam Badram BadrAt-vajram sahasraDA // RCint-_6.85 //
   vajrācchataguṇaṃ pāṇḍir niraṅgaṃ daśabhirguṇaiḥ /	vajrAt-SataguNam pANxiH niraFgam daSaBiH-guNEH /
   tasmāt sahasraguṇitam ayaḥ kāntaṃ mahābalam // RCint_6.86 //	tasmAt sahasra-guNitam ayaH kAntam mahA-balam // RCint-_6.86 //
   yallohaṃ yadguṇaṃ proktaṃ tatkiṭṭaṃ cāpi tadguṇam // RCint_6.87 //	yat-loham yad-guNam proktam tat-kiwwam ca-api tad-guNam // RCint-_6.87 //
   RCint, 7	RCint, 7
   atha viṣoparasasādhanādhyāyaṃ vyācakṣmahe // RCint_7.1 //	aTa viza-uparasa-sADana-aDyAyam vyAcakzmahe // RCint-_7.1 //
   viṣaṃ hi nāma nikhilarasāyanānām ūrjasvalam	vizam hi nAma niKila-rasAyanAnAm Urjasvalam
   akhilavyādhividhvaṃsavidhāyakatām āsādayati // RCint_7.2 //	aKila-vyADi-viDvaMsa-viDAyaka-tAm AsAdayati // RCint-_7.2 //
   tatkhalvaṣṭādaśaprakāraṃ bhavati /	tad-Kalu-azwAdaSa-prakAram Bavati /
   yatra saktukamustakakaurmadārvīkasārṣapasaikatavatsanābhaśvetaśṛṅgibhedāni	yatra saktukamustaka-kOrmadArvIka-sArzapa-sEkata-vatsanABa-Sveta-SRFgi-BedAni
   prayogārtham āharaṇīyāni bhavanti // RCint_7.3 //	prayoga-arTam AharaNIyAni Bavanti // RCint-_7.3 //
   <saktuka>	<saktuka>
   citramutpalakandābhaṃ supiṣṭaṃ saktuvadbhavet /	citram-utpala-kanda-ABam su-pizwam saktu-vat-Bavet /
   saktukaṃ tadvijānīyāddīrghavegaṃ maholbaṇam // RCint_7.4 //	saktukam tat-vijAnIyAt-dIrGa-vegam mahA-ulbaNam // RCint-_7.4 //
   <mustaka>	<mustaka>
   hrasvavegaṃ ca rogaghnaṃ mustakaṃ mustakākṛti /	hrasva-vegam ca roga-Gnam mustakam mustaka-AkRti /
   <kaurma, dārvīka>	<kOrma, dArvIka>
   kūrmākṛti bhavetkaurmaṃ dārvīko 'hiphaṇākṛti // RCint_7.5 //	kUrma-AkRti Bavet-kOrmam dArvIkaH ahi-PaNA-AkRti // RCint-_7.5 //
   <sārṣapa>	<sA-Arzapa>
   jvarahṛtsārṣapaṃ romasarṣapāmakaṇācitam /	jvara-hRt-sArzapam roma-sarzapa-Ama-kaNa-Acitam /
   sthūlasūkṣmaiḥ kaṇairyuktaḥ śvetapītair viromakaḥ // RCint_7.6 //	sTUla-sUkzmEH kaNEH-yuktaH Sveta-pItEH viromakaH // RCint-_7.6 //
   <saikata>	<sEkata>
   jvarādisarvarogaghnaḥ kandaḥ saikatamucyate // RCint_7.7 //	jvara-Adi-sarva-roga-GnaH kandaH sEkatam-ucyate // RCint-_7.7 //
   <vatsanābha>	<vatsanABa>
   yaḥ kando gostanākāro na dīrghaḥ pañcamāṅgulāt /	yaH kandaH gostana-AkAraH na dIrGaH paQcama-aFgulAt /
   na sthūlo gostanādūrdhvaṃ dvividho vatsanābhakaḥ // RCint_7.8 //	na sTUlaH gostanAt-UrDvam dviviDaH vatsanABakaH // RCint-_7.8 //
   āśukārī laghustyāgī śuklakṛṣṇo'nyathā bhavet /	ASukArI laGuH-tyAgI Sukla-kRzNaH-anyaTA Bavet /
   prayojyo rogaharaṇe jāraṇāyāṃ rasāyane // RCint_7.9 //	prayojyaH roga-haraNe jAraNAyAm rasAyane // RCint-_7.9 //
   <śvetaśṛṅgī>	<SvetaSRFgI>
   gośṛṅgavaddvidhā śṛṅgī śvetaḥ syād bahirantare // RCint_7.10 //	go-SRFga-vat-dviDA SRFgI SvetaH syAt bahis-antare // RCint-_7.10 //
   etāni saktukādyāni vātādau raktamelanenonmādasannipātādau ca prayojyāni //	etAni saktuka-AdyAni vAta-AdO rakta-melanena-unmAda-sannipAta-AdO ca prayojyAni //
   RCint_7.11 //	RCint-_7.11 //
   kālakūṭameṣaśṛṅgīdardurahālāhalakarkoṭagranthihāridraraktaśṛṅgīkeśarayamadaṃṣṭrāprabhedena	kAlakUwa-mezaSRFgI-dardurahAlAhala-karkowa-granTi-hAridra-rakta-SRFgI-keSara-yam-a-daMzwrA-praBedena
   daśaviṣāṇi parivarjanīyāni // RCint_7.12 //	daSa-vizANi parivarjanIyAni // RCint-_7.12 //
   <kālakūṭa>	<kAlakUwa>
   vṛttakando bhavetkṛṣṇo jambīraphalavacca yaḥ /	vRttakandaH Bavet-kRzNaH jambIra-Pala-vat-ca yaH /
   taṃ kālakūṭaṃ jānīyāt ghrāṇamātrānmṛtipradam // RCint_7.13 //	tam kAlakUwam jAnIyAt GrANa-mAtrAt-mRti-pradam // RCint-_7.13 //
   <meṣaśṛṅgī>	<mezaSRFgI>
   meṣaśṛṅgākṛtiḥ kando meṣaśṛṅgīti kīrtyate /	mezaSRFga-AkRtiH kandaH mezaSRFgI-iti kIrtyate /
   <dardura>	<dardura>
   dardurākṛtikaḥ kando darduraḥ kathitastu saḥ // RCint_7.14 //	dardura-AkRtikaH kandaH darduraH kaTitaH-tu saH // RCint-_7.14 //
   <halāhala>	<halAhala>
   antarnīlaṃ bahiḥ śvetaṃ vijānīyāddhalāhalam /	antar-nIlam bahis Svetam vijAnIyAt-halAhalam /
   <karkoṭa>	<karkowa>
   karkoṭābhaṃ tu karkoṭaṃ kharaṃ bāhye'ntare mṛdu // RCint_7.15 //	karkowa-ABam tu karkowam Karam bAhye-antare mRdu // RCint-_7.15 //
   <hāridra>	<hAridra>
   haridrāgranthivadgranthiḥ kṛṣṇavarṇo'tibhīṣaṇaḥ /	haridrA-granTi-vat-granTiH kRzNa-varNaH-ati-BIzaNaH /
   mūlāgrayoḥ suvṛttaḥ syādāyataḥ pītagarbhakaḥ /	mUla-agrayoH su-vRttaH syAt-AyataH pItagarBakaH /
   kañcukāḍhyaḥ snigdhaparvā hāridraḥ syācca kandakaḥ // RCint_7.16 //	kaQcuka-AXyaH snigDa-parvA hAridraH syAt-ca kandakaH // RCint-_7.16 //
   <raktaśṛṅgī>	<raktaSRFgI>
   gośṛṅgāgre'tha saṃkṣipte nāśayāsṛk pravartate /	go-SRFga-agre-aTa saMkzipte na-ASaya-asRk pravartate /
   kando laghur gostanavad raktaśṛṅgīti tadviṣam // RCint_7.17 //	kandaH laGuH go-stana-vat raktaSRFgI-iti tat-vizam // RCint-_7.17 //
   <kesara>	<kesara>
   śuklābhaṃ yatkeśaraṃ syādgarbhe tatkeśaraṃ viduḥ /	Sukla-ABam yat-keSaram syAt-garBe tat-keSaram viduH /
   <yamadaṃṣṭrā>	<yama-daMzwrA>
   śvadaṃṣṭrārūpasaṃsthānā yamadaṃṣṭreti socyate // RCint_7.18 //	SvadaMzwrA-rUpa-saMsTAnA yama-daMzwrA-iti sA-ucyate // RCint-_7.18 //
   rasavāde dhātuvāde viṣavāde kvacitkvacit /	rasa-vAde DAtuvAde viza-vAde kvacid-kvacid /
   daśaitāni prayujyante na bhaiṣajye rasāyane // RCint_7.19 //	daSa-etAni prayujyante na BEzajye rasAyane // RCint-_7.19 //
   uddharet phalapāke tu navaṃ snigdhaṃ ghanaṃ guru /	udDaret Pala-pAke tu navam snigDam Ganam guru /
   avyāhataṃ viṣaharairvātādibhir aśoṣitam // RCint_7.20 //	avyAhatam viza-harEH-vAta-AdiBiH aSozitam // RCint-_7.20 //
   <poison:: śodhana>	<poison:: SoDana>
   viṣabhāgān caṇakavatsthūlān kṛtvā tu bhājane /	viza-BAgAn caNaka-vat-sTUlAn kRtvA tu BAjane /
   tatra gomūtrakaṃ kṣiptvā pratyahaṃ nityanūtanam // RCint_7.21 //	tatra go-mUtrakam kziptvA pratyaham nitya-nUtanam // RCint-_7.21 //
   śoṣayet tridinād ūrdhvaṃ dhṛtvā tīvrātape tataḥ /	Sozayet tri-dinAt UrDvam DRtvA tIvra-Atape tatas /
   prayogeṣu prayuñjīta bhāgamānena tadviṣam // RCint_7.22 //	prayogezu prayuQjIta BAga-mAnena tat-vizam // RCint-_7.22 //
   <poison:: śuddha:: storage>	<poison:: SudDa:: stora-ge>
   raktasarṣapatailena lipte vāsasi dhārayet /	rakta-sarzapa-tElena lipte vAsasi DArayet /
   viṣaṃ śuddhaṃ prayatnena nānyatra guṇahānitaḥ // RCint_7.23 //	vizam SudDam prayatnena na-anyatra guNa-hAnitaH // RCint-_7.23 //
   <poison:: māraṇa>	<poison:: mAraNa>
   samaṭaṅkaṇasampiṣṭaṃ tadviṣaṃ mṛtamucyate /	sama-waFkaNa-sampizwam tat-vizam mRtam-ucyate /
   yojayet sarvarogeṣu na vikāraṃ karoti tat // RCint_7.24 //	yojayet sarva-rogezu na vikAram karoti tat // RCint-_7.24 //
   <poison:: subtypes:: color, caste>	<poison:: subti-pes:: color, caH-te>
   śveto raktaśca pītaśca kṛṣṇaśceti caturvidhaḥ /	SvetaH raktaH-ca pItaH-ca kRzNaH-ca-iti caturviDaH /
   brāhmaṇaḥ kṣatriyo vaiśyaḥ kramājjñeyaśca śūdrakaḥ // RCint_7.25 //	brAhmaNaH kzatriyaH vESyaH kramAt-jQeyaH-ca SUdrakaH // RCint-_7.25 //
   sarvarogaharo vipraḥ kṣatriyo rasavādakṛt /	sarva-roga-haraH vipraH kzatriyaH rasavAda-kRt /
   vaiśyo'pi rogahartā syācchūdraḥ sarvatra ninditaḥ // RCint_7.26 //	vESyaH-api roga-hartA syAt-SUdraH sarvatra ninditaH // RCint-_7.26 //
   brāhmaṇo dīyate roge kṣatriyo viṣabhakṣaṇe /	brAhmaNaH dIyate roge kzatriyaH viza-BakzaNe /
   vaiśyo vyādhiṣu sarveṣu sarpadaṃṣṭre ca śūdrakaḥ // RCint_7.27 //	vESyaH vyADizu sarvezu sarpa-daMzwre ca SUdrakaH // RCint-_7.27 //
   śaradgrīṣmavasanteṣu varṣāsu na tu dāpayet /	Sarad-grIzma-vasantezu varzAsu na tu dApayet /
   caturmāse haredrogān kuṣṭhalūtādikānapi // RCint_7.28 //	catur-mAse haret-rogAn kuzWa-lUtA-AdikAn-api // RCint-_7.28 //
   <poison:: quantities>	<poison:: quantities>
   yavāṣṭakaṃ bhavedyāvadabhyastaṃ tilamātrayā /	yava-azwakam Bavet-yAvat-aByastam tila-mAtrayA /
   sarvarogopaśamanaṃ dṛṣṭipuṣṭikaraṃ bhavet // RCint_7.29 //	sarva-roga-upaSamanam dRzwi-puzwi-karam Bavet // RCint-_7.29 //
   prathame sārṣapī mātrā dvitīye sarṣapadvayam /	praTame sArzapI mAtrA dvitIye sarzapa-dvayam /
   tṛtīye ca caturthe ca pañcame divase tathā // RCint_7.30 //	tRtIye ca caturTe ca paQcame divase taTA // RCint-_7.30 //
   ṣaṣṭhe ca saptame caiva kramavṛddhyā vivardhayet /	zazWe ca saptame ca-eva krama-vRdDyA vivarDayet /
   saptasarṣapamātreṇa prathamaṃ saptakaṃ nayet // RCint_7.31 //	sapta-sarzapa-mAtreNa praTamam saptakam nayet // RCint-_7.31 //
   <poison:: rules for consume>	<poison:: ruleH foH ca-unsume>
   kramahānyā tathā deyaṃ dvitīye saptake viṣam /	krama-hAnyA taTA deyam dvitIye saptake vizam /
   yavamātraṃ viṣaṃ deyaṃ tṛtīye saptake kramāt // RCint_7.32 //	yava-mAtram vizam deyam tRtIye saptake kramAt // RCint-_7.32 //
   vṛddhahānyā ca dātavyaṃ caturthe saptake tathā /	vRdDa-hAnyA ca dAtavyam caturTe saptake taTA /
   yavamātraṃ grasetsvastho guñjāmātraṃ tu kuṣṭhavān // RCint_7.33 //	yava-mAtram graset-svasTaH guQjA-mAtram tu kuzWavAn // RCint-_7.33 //
   aśītiryasya varṣāṇi vasuvarṣāṇi yasya vā /	aSItiH-yasya varzANi vasu-varzANi yasya vA /
   viṣaṃ tasmai na dātavyaṃ dattaṃ vai doṣakārakam // RCint_7.34 //	vizam tasmE na dAtavyam dattam vE doza-kArakam // RCint-_7.34 //
   dātavyaṃ sarvarogeṣu ghṛtāśini hitāśini /	dAtavyam sarva-rogezu GRta-ASini hita-ASini /
   kṣīrāśini prayoktavyaṃ rasāyanarate nare // RCint_7.35 //	kzIra-ASini prayoktavyam rasAyana-rate nare // RCint-_7.35 //
   brahmacaryapradhānaṃ hi viṣakalpe samācaret /	brahmacarya-praDAnam hi viza-kalpe samAcaret /
   pathyaiḥ susthamanā bhūtvā tadā siddhirna saṃśayaḥ // RCint_7.36 //	paTyEH susTa-manAH BUtvA tadA sidDiH-na saMSayaH // RCint-_7.36 //
   <poison:: 8 vegas>	<poison:: 8 vegas>
   mātrādhikaṃ yadā martyaḥ pramādādbhakṣayedviṣam /	mAtrA-aDikam yadA martyaH pramAdAt-Bakzayet-vizam /
   aṣṭau vegāstadā caiva jāyante tasya dehinaḥ // RCint_7.37 //	azwO vegAH-tadA ca-eva jAyante tasya dehinaH // RCint-_7.37 //
   saṃtāpaḥ prathame vege dvitīye vepathurbhavet /	saMtApaH praTame vege dvitIye vepaTuH-Bavet /
   vege tṛtīye dāhaḥ syāccaturthe patanaṃ bhuvi // RCint_7.38 //	vege tRtIye dAhaH syAt-caturTe patanam Buvi // RCint-_7.38 //
   phenaṃ tu pañcame vege ṣaṣṭhe vikalatā bhavet /	Penam tu paQcame vege zazWe vikala-tA Bavet /
   jaḍatā saptame vege maraṇaṃ cāṣṭame bhavet // RCint_7.39 //	jaxa-tA saptame vege maraNam ca-azwame Bavet // RCint-_7.39 //
   <poison:: healing the vegas>	<poison:: healinc Te vegas>
