   atha trayoviṃśaṃ pūraṇam	aTa trayoviMSam pUraNam
   tasmādārjavavarjanādūrjasvinaste vayam evadūtyāya sthāpanīyāḥ	tasmAt Arjava varjanAt UrjasvinaH te vayam eva dUtyAya sTApanIyAH
   prasthāpanīyāśca | asmāsu cāham evaprahāpaṇīyaḥ | yataḥ kovido' smi |	prasTApanIyAH ca | asmAsu ca aham eva prahApaNIyaH | yatas kovidaH a smi |
   [33] dūtī sahāsamāha sma lālāṭika bhavān yadi kovidas tarhy anyaḥ ko'	[33] dUtI sahAsam Aha sma lAlAwika BavAn yadi kovidaH tarhi anyaH kaH a
   vidaḥ |	vidaH |
   [34] madhumaṅgalaḥ sotprāsam uvāca jalpāki kalayāmi bhavatī tasyāḥ sabhāyā	[34] maDu maFgalaH sa utprAsam uvAca  jalpAki kalayAmi BavatI tasyAH saBAyA
   vindur asti | tathāpi trayītanor mamāgrataḥ sthitir api tava na sthiratāṃ	vinduH asti | taTA api trayI tanoH mama agratas sTitiH api tava na sTira tAm
   labheta |	laBeta |
   [35] dūtī sāvajñam uvāca viśāradāyā mama purataḥ śāradas tvaṃ kiyad vā	[35] dUtI sa avajQam uvAca  viSAradAyAH mama puratas SAradaH tvam kiyat vA
   vaditāsi | tasmān nīvākavalitam ākalaya |	vaditA asi | tasmAt nIvAkavalitam Akalaya |
   [36] madhumaṅgalaḥ sa roṣaṃ śrī kṛṣṇam avalocya vakti sma para vaktavyā	[36] maDu maFgalaH sa  rozam SrI  kRzNam avalocya vakti sma para vaktavyA
   khalv iyaṃ vaktavyā bhavatīti nāsmākaṃ vaktavyā bhavitum arhati | kintu	Kalu iyam vaktavyA Bavati iti na asmAkam vaktavyA Bavitum arhati | kintu
   seyaṃ tāvad atra nirudhyatām yāvad ahaṃ tad vṛttam avabudhya sudhy agraṇīr	sA iyam tAvat atra niruDyatAm yAvat aham tat vRttam avabuDya suDy a graNIH 
   bhavantam avaruṇadhmi |	Bavantam avaruNaDmi |
   [37] dūtī sa hāsam uvāca nūnaṃ bhavatāṃ dūtaḥ so' yam agrata eva vyagratām	[37] dUtI sa hAsam uvAca  nUnam BavatAm dUtaH saH a yam agratas eva vyagra tAm
   avāpa | yan māmatra ruddhann eva tatra jigamiṣati | tasmān na mādṛg iva	avApa | yat mAm atra rudDan eva tatra jigamizati | tasmAt na mAdRS iva
   niḥśaṅkaṃ so' yam iti bhavatāṃ kalaṅkāya paraṃ pratipatsyate | yuktam eva	niHSaFkam saH a yam iti BavatAm kalaFkAya param pratipatsyate | yuktam eva
   ca tat tad āvayoḥ | svāmi guṇā hi parijanam anuyanti |	ca tat  tad  AvayoH | svAmi guNAH hi parijanam anuyanti |
   [38] kṛṣṇa uvāca bhāmini svāmi guṇatvaṃ punaḥ prakārāntareṇa mantavyam |	[38] kRzNaH uvAca  BAmini svAmi guNa tvam punar prakAra antareNa mantavyam |
   sā khalu vāmā vayaṃ tu dakṣiṇā iti |	sA Kalu vAmAH vayam tu dakziNAH iti |
   [39] dūty uvāca yūyaṃ khalv apasavyā iti satyam eva yataḥ sveṣāṃ	[39] dUti uvAca  yUyam Kalu apasavyAH iti satyam eva yatas svezAm
   dakṣiṇatāvācitve' pi pratikūlatāṃ na jahītha |	dakziNa tA vAci tve a pi pratikUla tAm na jahITa |
   [40] madhumaṅgalas tu tad aśṛṇvann iva provāca mahārāja vāmātvam eva khalu	[40] maDumaFgalaH tu tat aSRNvan iva provAca  mahA rAja vAmAtvam eva Kalu
   tāsāṃ balāya kalpate yasmād abalāḥ |	tAsAm balAya kalpate yasmAt abalAH |
   [41] dūty uvāca doṣa jñāḥ khalu bhavantaḥ katham iva guṇānusandhānaṃ	[41] dUti uvAca  doza  jQAH Kalu BavantaH kaTam iva guNa anusanDAnam
   kurvantu |	kurvantu |
   [42] madhumaṅgala uvāca doṣaika dṛk purobhāgīty evaṃ yac chābdikair matam	[42] maDu maFgalaH uvAca  doza eka  dRS puroBAgI iti evam yac SA AbdikEH matam
   tasmāt tvam eva purataḥ sudhībhis tābhir āhitā |	tasmAt tvam eva puratas suDIBiH tABiH AhitAH |
   [43] dūty uvāca asaṅkhyāvatāṃ bhavatāṃ purataḥ katham eka saṅkhyāvatī	[43] dUtI uvAca  asaFKyAvatAm BavatAm puratas kaTam eka saFKyAvatI
   pratyuttaraṃ dadyām | bhavāṃs tu tatrānubandha eva | tathāpi sarve	pratyuttaram dadyAm | BavAn tu tatra anubanDaH eva | taTA api sarve
   śṛṇvantu | tāsām abalātvaṃ khalu virodhi lakṣaṇayā yataḥ śastra śarīratvam	SRNvantu | tAsAm abalA tvam Kalu viroDi  lakzaNayA yatas Sastra  SarIra tvam
   eva dṛśyate | tad etac ca tan mukhyām upalakṣya lakṣyatām |	eva dRSyate | tat etat ca tan muKyAm upalakzya lakzyatAm |
   keśāḥ pāśāś cala nayana yugaṃ vāṇa yugmaṃ namad bhrūś	keSAH pASAH cala  nayana   yugam vANa  yugmam namat  BrU S
   cāpaḥ karṇāvari paridadhatau nāsikā divya śastrī |	cApaH karNa a= ari  paridaDatO nAsikA divya Sa strI |
   dantā vajrāṇy apara tad aparaṃ tarkyam evaṃ tad etac 	dantAH vajrANi apara tat  aparam tarkyam evam tat etat  
   chastrai rādhā svayam udayati ko vā balīyān ato' nyaḥ ||JGc_1,30.15||	CastrEH rADA svayam udayati kaH vA balIyAn atas a nyaH ||JGc_1,30.15||
   [44] atra ko vā balīyān ato' nya iti kṛṣṇam eva kaṭākṣeṇa paśyantī prāha	[44] atra kaH vA balIyAn atas a nyaH iti kRzNam eva kawAkzeNa paSyantI prAha
   sma  [45] evaṃ vivadamānayor anayoḥ kṛṣṇas tu tayā prastutaṃ tasyāḥ	sma [45] evam vivadamAnayoH anayoH kRzNaH tu tayA prastutam tasyAH
   saundaryam avadhārya kṣaṇaṃ dhīratāṃ saṃdhārya provāca dūti jātita eva	sOndaryam avaDArya kzaNam DIra tAm saMDArya provAca  dUti jAtitaH eva
   pratīpadarśiny asi | kiṃ bruve | kintu madīya dūta nirmitā rāja nītir iyaṃ	pratIpa darSinI asi | kim bruve | kintu madIya dUta nirmitA rAja nItiH iyam
   na tu bhītiḥ |	na tu BItiH |
   [46] tato bhavatī tāvad atra sthitim anubhavatu | mama dūtas tatra	[46] tatas BavatI tAvat atra sTitim anuBavatu | mama dUtaH tatra
   gacchatu | tataḥ saṃcārakāṇām ācāreṇa samācāreṇa sācāre labdha pracāre	gacCatu | tatas saMcArakANAm AcAreNa samAcAreNa sa AcAre labDa  pracAre
   yathāyatham ācaritavyam |	yaTAyaTam Acaritavyam |
   [47] punar madhumaṅgalaṃ praty uvāca bhadraṃ svayam eva tatra gamyatām iti	[47] punar maDu maFgalam prati uvAca Badram svayam eva tatra gamyatAm iti
   [48] dūty uvāca 	[48] dUtI uvAca 
   nyāye yuktau pramāṇe ca sthito madhyastha ucyate |	nyAye yuktO pramANe ca sTitaH maDyasTaH ucyate |
   paraṃ madhye sthito yaḥ syāt sa madhya sthāvaraḥ smṛtaḥ ||JGc_1,30.16||	param maDye sTitaH yaH syAt sa maDya  sTAvaraH smRtaH ||JGc_1,30.16||
   [49] so' yaṃ punaś cheka eva | tataḥ śikṣām api nārhatīti svairam eva	[49] saH a yam punar CekaH eva | tatas SikzAm api na arhati iti svEram eva
   gacchatu |	gacCatu |
   [50] madhumaṅgalas tu viśastā khalv iyaṃ kathaṃ śastaṃ vadatu nāmeti	[50] maDumaFgalaH tu viSastA Kalu iyam kaTam Sastam vadatu nAma iti
   nivedya yathādiśanti mahārāja mahāśayā iti prasthitavān | prasthāya ca	nivedya yaTA AdiSanti mahA rAja  mahA ASayAH iti prasTitavAn | prasTAya ca
   tāsāṃ sthānam āsīdann āśī rāśibhiḥ prasādam āsādayāmāsa |	tAsAm sTAnam AsIdan ASI rASiBiH prasAdam AsAdayAmAsa |
   [51] sarvāś ca namaskṛtya sa smitaṃ kṛtyaṃ pṛcchanti sma |	[51] sarvAH ca namaskRtya sa  smitam kRtyam pRcCanti sma |
   [52] madhumaṅgalas tu bhavatīnām etan nṛtya darśanam eva kṛtyam iti procya	[52] maDumaFgalaH tu BavatInAm etan  nRtya  darSanam eva kRtyam iti procya
   pratyuvāca kiṃ ca bhavatīnāṃ dūtī tatra gatā vartate brūte ca | asmākaṃ	pratyuvAca kim ca BavatInAm dUtI tatra gatA vartate brUte ca | asmAkam
   rājñī sārvabhaumaṃ bhavantaṃ militum icchatīti | tad avadhārya vismayād	rAjQI sArvaBOmam Bavantam militum icCati iti | tat avaDArya vismayAt 
   asmākaṃ rājñā cājñāpitam | sā khalu parānugatā jātāstīti śrūyate | tasmād	asmAkam rAjQA ca AjQApitam | sA Kalu para anugatA jAtA asti iti SrUyate | tasmAt 
   etan na śraddadhyāma | ataḥ svasya svasā kācid asmāsu kasmaicana	etat na SraddaDyAma | atas svasya svasA kAcid asmAsu kasmEcana
   vivahanāya dīyatām | tadā tasyāḥ śvovasīyasāya syād iti |	vivahanAya dIyatAm | tadA tasyAH SvovasIyasAya syAt iti |
   [53] sarvāḥ sa bhrū vijṛmbham āhuḥ sma vācāṭa tāpāṭavamaya dhūrtatāyā	[53] sarvAH sa BrU  vijRmBam AhuH sma vAca Awa tApa awavam aya   DUrta tAyAH 
   mūrtir evāyaṃ sphuṭam anyathākāraṃ vadann asmān vañcayitum evānañcitavān	mUrtiH eva ayam sPuwam anyaTA AkAram vadan asmAn vaQcayitum eva anaQcitavAn
   asti | sa kadācid evaṃ na kadvadāyate | sā punar asmākaṃ saṃcārikā nemāṃ	asti | sa kadAcid evam na kadvat Ayate | sA punar asmAkam saMcArikA na imAm
   kucaratām ācaret | kintu baddheti saṃbadhyate |	kucaratAm Acaret | kintu badDA iti saMbaDyate |
   [54] viśākhovāca yathākāraṃ tathākāraṃ vā vadatu | so' yaṃ kathaṃkāraṃ	[54] viSAKA uvAca  yaTa AkAram taTA AkAram vA vadatu | saH a yam kaTaMkAram
   yūyam idaṃ vicārayatha | yato viprasyāsya kṛtaṃ khalu viprakṛtam eva	yUyam idam vicAra yaTa | yatas viprasya asya kRtam Kalu viprakRtam eva
   bhaṇyate | katham iva prakṛtaṃ syāt |	BaNyate | kaTam iva prakRtam syAt |
   [55] madhumaṅgala uvāca ko vātra mama lābhaḥ |	[55] maDu maFgalaH uvAca kaH vA atra mama lABaH |
   [56] viśākhovāca aye bhadra vipra labdhamapi tathaivānusandheyam |	[56] viSAKA uvAca aye Badra vipra labDam api taTA eva anusanDA iyam |
   [57] tad evaṃ pratyādiṣṭas tu madhumaṅgala uvāca sarva klamatha mathanānāṃ	[57] tat evam pratyAdizwaH tu maDu maFgalaH uvAca  sarva klamaTa  maTanAnAm
   śamatha damatha satpatha prathana parāṇām atha kathaṃ na bhavaty asmākam	SamaTa dam aTa  sat paTa  praTana  parANAm aTa kaTam na Bavati asmAkam
   evāyaṃ doṣaḥ | yat khalu sandhy anusandhānam etābhis tu yuddham	eva ayam dozaH | yat Kalu sanDi  anu sanDAnam etABiH tu yudDam
   evānubaddham asti |	eva anubadDam asti |
   [58] atha śrī rādhikābhidadhāti sma kiṃ balaḥ saṃvalate bhavadīyaḥ sa rājā	[58] aTa SrI rADika aBidaDAti sma kim balaH saMvalate BavadIyaH sa rAjA
   | yasmād etāvad garvāyase |	| yasmAt etAvat garvAyase |
   [59] madhumaṅgala uvāca 	[59] maDu maFgalaH uvAca 
   uccāṭanaṃ guṇa gaṇa prathanād vikṛṣṭir	uccAwanam guNa  gaNa  praTanAt vikRzwiH 
   vaṃśī kalād vikalanaṃ vara rūpa vṛndāt |	vaMSI kalAt vikalanam vara  rUpa vRndAt |
   stambho vilāsa valayād vaśatā ca vāṇī	stamBaH vilAsa  valayAt vaSatA ca vANI
   mādhuryataḥ sumukhi yasya balī tataḥ kaḥ ||JGc_1,30.17||	mADuryataH su muKi yasya balI tatas kaH ||JG= _1,30.17||
   kiṃ ca 	kim ca 
   drāghiṣṭa kṣepiṣṭha preṣṭha variṣṭha sthaviṣṭha baṃhiṣṭhāḥ |	drAGizwa  kzepizWa  prezWa  varizWa  sTa vizWa  baMhizWAH |
   asman nṛpateḥ purataḥ sarve garveṇa ricyante ||JGc_1,30.18||	asman  nRpateH puratas sarve garveNa ricyante ||JGc_1,30.18||
   api ca 	api ca 
   vṛndiṣṭha kṣodiṣṭha jyeṣṭha gariṣṭha hrasiṣṭha sādhiṣṭhāḥ |	vRndizWa  kzodizWa  jyezWa   garizWa  hrasizWa  sADizWAH |
   asman nṛpater agre viparītābhā parītāḥ syuḥ ||JGc_1,30.19||	asman  nRpateH agre viparIta ABA  parItAH syuH ||JGc_1,30.19||
   [60] atha śrī rādhā tu tad avadhāraṇād antaḥ prema bādhāṃ katham api	[60] aTa SrI  rADA tu tad  avaDAraNAt antaH  prema  bADAm kaTam api
   samādhāya lalitā mukham īkṣitavatī | lalitā tu sa vipralāpam ālalāpa 	samADAya lalitA muKam IkzitavatI | lalitA tu sa vipralApam AlalApa 
   sa veṇur mūka vadhiro yatrāgād vāvadūkatām |	sa veNuH mUka  vaDiraH yatra agAt vAvadUka tAm |
   tatrāyaṃ kiṃ na vāgmī syād brahma vaṃśa samudbhavaḥ ||JGc_1,30.20||	tatra ayam kim na vAgmI syAt brahma  vaMSa  samudBavaH ||JGc_1,30.20||
   [61] kintu yathāsmākaṃ dūtī niruddhā tathā tam etam api nirudhya yuddhāya	[61] kintu yaTA asmAkam dUtI nirudDA taTA tam etam api niruDya yudDAya
   saṃnahyāmaḥ | anantaraṃ tu parama pracaṇḍāḥ sva pitṛ purohita paugaṇḍāḥ	saMnahyAmaH | anantaram tu parama   pracaNxAH sva  pitR  purohita pOgaNxAH
   samādiśyantām | te ca strī veśam evāsya balāt kurvantu | kṛte ca tad veśe	samAdiSyantAm | te ca strI  veSam eva asya balAt kurvantu | kRte ca tad  veSe
   śrī vrajarāja purohita bhāgineyaḥ so' yaṃ na cārbhakas tatra gacchann	SrI  vraja rAja  purohita BAgineyaH saH a yam na ca arBakaH tatra gacCan= 
   asmadīya saṃdeśa varṇāṃs tat karṇābhyarṇān karotu | asmākam anyā kanyā na	asmadIya  saMdeSa   varNAn tat karNa aByarNAn karotu | asmAkam anyA kanyA na
   vidyate | kintu siṃhala dvīpād dīpābhā padminīyam ekā jita sarvātirekā	vidyate | kintu siMhala dvIpAt dIpa ABA padminIyam ekA jita  sarva atirekA
   nītāsti | sā tu svayaṃ rājñā pariṇīyatām |	nItA asti | sA tu svayam rAjQA pariNIyatAm |
   [62] tatra padminī prāyeṇa duṣkula sadmajeti nāvajñātavyā |	[62] tatra padminI  prAyeNa duzkula  sadmajA iti na avajQAtavyAH |
   viṣād apy amṛtaṃ grāhyam	vizAt api amRtam grAhyam
   amedhyād api kāñcanam |	ameDyAt api kAQcanam |
   nīcād apy uttamāṃ vidyāṃ	nIcAt api uttamAm vidyAm
   strī ratnaṃ duṣkulād api ||[GarP 1.110] iti hi smaryate |	strI  ratnam duzkulAt api ||[GarP 1.110] iti hi smaryate |
   [63] madhumaṅgala uvāca nanu bhavatyaś ca padminyas tarhi tā eva kathaṃ	[63] maDu maFgalaH uvAca nanu BavatyaH ca padminyaH tarhi tAH eva kaTam
   kule nānarhitāḥ |	kule na anarhitAH |
   [64] lalitā sa roṣam uvāca 	[64] lalitA sa  rozam uvAca 
   āvṛtā jagati padminī yayā padmayā jitavatī sadāpi tām |	AvRtA jagati padminI yayA padmayA jitavatI sadA api tAm |
   rādhikādir api padminītayā bhaṇyatāṃ tatir aho mṛgī dṛśām ||JGc_1,30.21||	rADikA AdiH api padminI tayA BaNya tAm tatiH aho mRgI dRSAm ||JGc_1,30.21||
   [65] atha śrī rādhikā hasitvā cillī cālanayā lasitvā ca	[65] aTa SrI rADikA hasitvA cillI  cAlanayA lasitvA ca
   sva pitṛ purohita bālakānāṃ pañcāśataṃ tad veśāyādiśya	sva pitR  purohita  bAlakAnAm paQcASatam tat  veSAya AdiSya
   rāja purohita svasrīyeṇa ca tathā saṃdiśya yuddha kautukāyābhiniviśya	rAja  purohita svasrIyeNa ca taTA saMdiSya yudDa  kOtukAya aBiniviSya
   tasya strī veśasya purataḥ sthitiṃ nidiśya cāmūbhiś camūru cakṣuś camūbhir	tasya strI  veSasya puratas sTitim nidiSya ca amUBiH cam Uru  cakzu S camUBiH 
   abhikrantavatī yuddhābhimukhatayā ca sthitavatī kṛṣṇaṃ ca manasyāhitavatī	aBikrantavatI yudDa aBimuKa tayA ca sTitavatI kRzNam ca manasi A ahitavatI
   | tatra ca 	| tatra ca 
   abībhaṣad ayaṃ horīm ababhāṣad iyaṃ tathā |	abIBazat ayam horIm abaBAzat iyam taTA |
   adīdipad asau bhāvam asau ca tam adīdipat ||JGc_1,30.22||	adIdipat asO BAvam asO ca tam adIdipat ||JGc_1,30.22||
   [66] tataś ca rājāyamāna gokula yuvarājas taṃ nikāra prakāraṃ	[66] tatas ca rAjAyamAna  go kula   yuvarAjaH tam nikAra  prakAram
   baṭu mukhataḥ kaṭu nibhaṃ karṇa puṭam ānīya tāṃ dūtīṃ	bawu muKataH kawu niBam karNa puwam AnIya tAm dUtIm
   sva pakṣa rakṣitābhiḥ kābhiścit pragalbhatā lakṣitābhis tādṛśa strībhiḥ	sva pakza  rakzitABiH kABiScit pragalBa tA  lakzitABiH tAdRSa  strIBiH
   puruṣa veśāṃ vidhāya tena baṭunā saṃdideśa | tasyāḥ kanyāyāḥ so' yam	puruza  veSAm viDAya tena bawunA saMdideSa | tasyAH kanyAyAH saH a yam
   evadhanyo vara iti |	eva DanyaH varaH iti |
   [67] saṃdiśya ca tām api madhumaṅgalavat puraḥ praḥīyābhiṣeṇayāmāsa |	[67] saMdiSya ca tAm api maDu maFgala vat puras praHIya aBizeNayAmAsa |
   [68] tad evaṃ mithaḥ kṛte niyate netroḥ kābhiścid anyābhiḥ kutuka kṛte	[68] tat evam miTas kRte niyate netroH kABiScid anyABiH kutuka kRte
   taṭasthatayā tatra saṅghaṭamānābhiḥ prakaṭa haṭhatayā dvayos	tawasTa tayA tatra saFGawamAnABiH prakawa haWa tayA dvayoH 
   tat tad veśa viśeṣiṇoḥ kṛta sandhe paṭāñcala bandhe jāte cobhayataś ca	tat  tad  veSa  viSeziNoH kRta sanDe pawa aQcala banDe jAte ca uBayatas ca
   nānā hāsa prabandhe śrī rādhā pakṣa lakṣitābhir mṛgākṣībhir idam ākhyāyi |	nAnA hAsa  prabanDe SrI  rADA  pakza  lakzitABiH mRga akzIBiH idam AKyAyi |
   [69] varṣīyasānena vareṇāsmat padminīyaṃ dharṣitā | tasmād yuddhārtham	[69] varzIyasA anena vareNa asmat  padminIyam DarzitA | tasmAt yudDa arTam
   udyamaḥ saṃbadhyatām |	udyamaH saMbaDyatAm |
   [70] tataḥ saṃbaddheṣu śuṣirādibhiḥ sārdhaṃ yuddha vādyārtham ānaddheṣu |	[70] tatas saMbadDezu Suzira AdiBiH sArDam yudDa  vAdya arTam AnadDezu |
   narmāṅga gālir udaka kṣipa yantra yuktir	narma aFga gAliH udaka  kzipa yantra  yuktiH 
   daṇḍī prapātana nivartana keli rītiḥ |	daNxI  prapAtana  nivartana  keli rItiH |
   kāntākṛti vyati kṛta grahaṇaṃ sakhīnāṃ	kAnta AkRti vyati kRta  grahaNam saKInAm
   sāhāyakaṃ yudhi babhau hari horikāyāḥ ||JGc_1,30.23||	sAhAyakam yuDi baBO hari horikAyAH ||JGc_1,30.23||
   [71] cirataś ca kṛṣṇa keli kalāvakalana kevalatayā	[71] cirataH ca kRzNa  keli kalA avakalana  kevala tayA
   vikalita sva sva keli kalaha pralāpeṣu rāma śrīdāma sudāmādi kalāpeṣu	vikalita  sva  sva  keli  kalaha  pralApezu rAma  SrI dAma  su dAma Adi  kalApezu
   tal līlā tṛṣṇak kṛṣṇa eva sva preyasībhiḥ saha sahasāhava nibhaṃ viharati	tal lIlA  tRzNak  kRzNaH eva sva  preyasIBiH saha saha sA Ahava  niBam viharati
   sma |	sma |
   [72] prathamaṃ tāvad asāv amūś ca parasparaṃ snigdhā vyatiṣajya	[72] praTamam tAvat asO amUH ca parasparam snigDAH vyatizajya
   vyatibiddhā babhūvuḥ, yataḥ 	vyatibidDAH baBUvuH, yatas  
   bhrū kārmukā netra bāṇā ye teṣāṃ māra saṃyati |	BrU kArmukAH netra bANAH ye tezAm mAra   saMyati |
   aṅgāstrāṇāṃ hanta kiṃ syād aparāddha pṛṣatkatā ||JGc_1,30.24||	aFga astrANAm hanta kim syAt aparAdDa pRzatka tA ||JGc_1,30.24||
   [73] atha punar daṇḍādaṇḍidaṇḍanapūrvakaṃ bāhābāhavibahalamevāyaṃ	[73] aTa punar daNxAt aNxi daNxana pUrvakam bAhA bAha vibahalam eva ayam
   harirāhavamuvāha | tathā hi 	hariH Ahavam uvAha | taTA hi 
   dorāndolanam aṅgulī parimalaṃ keśa grahaṃ veśanut	dorAn dolanam aFgulI  parimalam keSa  graham veSa nud 
   pāṇyoś cañcalatāṃ tathā para paraṃ vācyāṃ vicārāt param |	pANyoH caQcala tAm taTA para param vAcyAm vicArAt param |
   kurvaṃs tat para dāra sainyam aviśat kṛṣṇas tathā svaṃ yathā	kurvan tat  para dAra  sEnyam aviSat kRzNaH taTA svam yaTA
   kutrāgād iti veda na sma janatā sāpy astu nāpi svayam ||JGc_1,30.25||	kutra agAt iti veda na sma janatA sA api astu na api svayam ||JGc_1,30.25||
   [74] tataś ca kramaśaḥ para parātikrama pūrvakam apūrvotsāha vṛtayoḥ	[74] tatas ca kramaSas para para atikrama  pUrvakam apUrva utsAha vRtayoH
   sakhībhir āvṛtayor asādhāraṇa krīḍā raṇa javayo rādhā mādhavayor eva	saKIBiH AvRtayoH asADAraNa  krIxA a raNa  javayaH rADA  mADavayoH eva
   vyatiṣaṅgaḥ prasaṅga māyātaḥ | tatra ca | yathā yathaṃ	vyatizaFgaH prasaFga m AyAtaH | tatra ca | yaTA yaTam
   tat kautukāvakalanataḥ sva sva vyāpāraṃ parityajya rajyamāna citratayā	tat  kOtuka avakalanataH sva  sva  vyApAram parityajya rajyamAna  citra tayA
   citrāyamāṇā vara varṇinyaḥ sauvarṇa varṇākāratayā vṛṇvānā mithas tad	citrAyamANAH vara varNinyaH sOvarNa  varNa AkAra tayA vRNvAnAH miTas tat 
   varṇayāmāsuḥ |	varNayAmAsuH |
   [76] tatha hi gītam 	[76] taTa hi gItam 
   paśya paśya sakhi horīyuddham |	paSya paSya saKi horI yudDam |
   rādhā mādhava kṛtam anurahasaṃ suciraṃ bhavad anuruddham ||dhru||	rADA  mADava  kRtam anurahasam su ciram Bavat  anurudDam ||Dru||
   daṇḍādaṇḍi gate parikhaṇḍita taratamato vyatirodham |	daNxAdaNxi  gate pariKaNxita taratamatas vyatiroDam |
   vyatiṣañjanam iha bhāti taḍid ghana ruci jaya lasad udbodham ||	vyatizaQjanam iha BAti taxit   Gana ruci  jaya lasat  udboDam ||
   mastaka vastra skhalanārambhāt pihite tan mukha yugale |	mastaka vastra  sKalana AramBAt pihite tan  muKa  yugale |
   bhramara varāyitam ekenāsminn anyasmin bahu kamale ||	Bramara varAyitam ekena asmin anyasmin bahu kamale ||
   bhuja bhujagena harer bahudhāraci hṛdi tasyāḥ phaṇa līlā |	Buja  Bujagena hareH bahuDA araci hRdi tasyAH PaNa  lIlA |
   cakravāka yuga gīrṇir avākali yatra muhuḥ kṛti śīlā ||	cakravAka   yuga  gIrNiH avAkali yatra muhur kRti  SIlAH ||
   api punar asminn avakalayata kila niravaniruha tati deśam |	api punar asmin avakalayata kila niravaniruha tati  deSam |
   abhinava kanaka latā parivalayita taruṇa tamāla kuleśam ||	aBinava kanaka latA  parivalayita taruNa  tamAla   kuleSam ||
   taṃ yuvatī kula sāhāyaka kṛta bala rādhā vaśa balinam |	tam yuvatI  kula  sAhAyaka kRta bala  rADa a vaSa  balinam |
   racayati nayati ca nija viṣaye diśi rabhasarasād api valinam ||	racayati nayati ca nija  vizaye diSi raBasa rasAt api valinam ||
   nītaṃ taṃ nava pīta paṭaṃ mṛga nābhi jalair abhiṣiktam |	nItam tam nava pIta pawam mRga nABi  jalEH aBiziktam |
   tanute sutanū tatir iha vitanu pramada madād atiriktam ||	tanute sutanU tatiH iha vitanu  pramada  madAt atiriktam ||
   seyaṃ rādhā svayam iha muralīṃ yad bata harati sa yatnam |	sA iyam rADA svayam iha muralIm yat bata harati sa yatnam |
   na tad adbhutam iva yad aharad asya prathamaṃ hṛn maṇi ratnam ||	na tat adButam iva yat aharat asya praTamam hRn maNi ratnam ||
   atha rāmādiḥ sakhi janatā taṃ paśyantī viniruddham |	aTa rAma AdiH saKi janatA tam paSyantI vinirudDam |
   sandhim adhitsata visṛjantī tāḥ prati dūtaṃ guṇa śuddham ||	sanDim aDitsata visRjantI tAH prati dUtam guNa  SudDam ||
   rāmaḥ sa yadā phālguna parvaṇi deyaṃ mene dātum |	rAmaH sa yadA PAlguna parvaNi deyam mene dAtum |
   pratibhuvam ādāyātha tadā harir ābhir amanyata rātum ||	pratiBuvam AdAya aTa tadA hariH ABiH amanyata rAtum ||
   jāte sandhāv akhilenāpi ca śaṃsati divye loke |	jAte sanDO aKilena api ca SaMsati divye loke |
   nija nija kāntā moha virohaṇa gītiḥ sa sa viluloke ||iti|| ||JGc_1,30.26||	nija  nija  kAntA  moha  virohaNa gItiH sa sa viluloke ||iti|| ||JGc_1,30.26||
   [77] evaṃ sthite parasparaṃ carcarikā racana nicāyane vismāyake jāte	[77] evam sTite parasparam carcarikA racana  nicAyane vismAyake jAte
   samāja dvaye ca mithaḥ kiṃcid dūraṃ yāte kasmād apy akasmān mūḍha dhīḥ	samAja  dvaye ca miTas kiMcid dUram yAte kasmAt api akasmAt mUXa DIH
   śaṅkhacūḍaḥ samāgataḥ | sa tu vigīta evety alam ati tad vistareṇa |	SaFKacUxaH samAgataH | sa tu vigItaH eva iti alam ati tad  vistareNa |
   [78] atha samāpanam 	[78] aTa samApanam 
   śaṅkhacūḍaṃ nihatavān yan maṇiṃ dattavān api |	SaFKacUxam nihatavAn yat maNim dattavAn api |
   rādhe kāntas tavāyaṃ tat kṛtavāṃs tvat kṛte dvayam ||JGc_1,30.27||	rADe kAntaH tava ayam tat kRtavAn tvat kRte dvayam ||JGc_1,30.27||
   iti śrī śrī gopāla campūm anu	iti SrI  SrI  gopAla campUm anu
   nirvrīḍa horikā vikrīḍanaṃ nāma	nirvrIxa horikA  vikrIxanam nAma
   triṃśaṃ pūraṇam	triMSam pUraNam
   athaikatriṃśaṃ pūraṇam	aTa ekatriMSam pUraNam
   nānā rāga vicitra caritra citram	nAnA  rAga  vicitra  caritra  citram
   [1] atha snigdhakaṇṭhaḥ prabhāta kathāṃ prathayāmāsa [2] tad evaṃ	[1] aTa snigDa kaNWaH praBAta  kaTAm praTayAmAsa  [2] tat evam
   pratikṣaṇam eva parama prema lakṣaṇa līlāṃ phullad ullāsataḥ sa	pratikzaNam eva parama  prema  lakzaNa  lIlAm Pullad ullAsataH sa
   gokula bandhur daśamaṃ saṃvatsaraṃ saṃvalate sma |	go kula banDuH daSamam saMvatsaram saMvalate sma |
   [3] sa tu nṛśaṃsaḥ kaṃsaḥ kramaśaḥ sarveṣu nirmita nija garveṣu tarhi	[3] sa tu nRSaMsaH kaMsaH kramaSas sarvezu nirmita  nija  garvezu tarhi
   nistarhiteṣu vaira śuddhiṃ prati pratigata buddhiḥ sarvataḥ śreṣṭhatayā	nistarhitezu vEra  SudDim prati pratigata  budDiH sarvatas SrezWa tayA
   rakṣitāvariṣṭa keśināv āhūya saṃrabha māṇatayā sabhayatayā cābhihitavān |	rakzitO= arizwa keSinO AhUya saMraBa mANa tayA sa Baya tayA ca aBihitavAn |
