   akasmānmṛtyurāyāto Bca_7.8c	akasmAt-mRtyuH-AyAtaH Bca_7.8c
   na jāne kena muhyāmi Bca_4.27c	na jAne kena muhyAmi Bca_4.27c
   na jñātāḥ kva gatā iti Bca_8.20d	na jQAtAH kva gatAH iti Bca_8.20d
   naṭavatso 'pyaśāśvataḥ Bca_9.66b	nawa-vat-saH api-aSASvataH Bca_9.66b
   na tadasti na yatpuṇyam Bca_5.100c	na tat-asti na yat-puNyam Bca_5.100c
   na tiṣṭhati na gacchati Bca_9.143b	na tizWati na gacCati Bca_9.143b
   na tu buddhaiḥ samāḥ kecid Bca_6.116c	na tu budDEH samAH kecid Bca_6.116c
   na tu māyāvadityatra Bca_9.5c	na tu mAyA-vat-iti-atra Bca_9.5c
   na tvavicchinnapuṇyatvaṃ Bca_1.17c	na tu-avicCinna-puNya-tvam Bca_1.17c
   na tvārabhya nivartanam Bca_7.47d	na tu-AraBya nivartanam Bca_7.47d
   na tvevāvanatiṃ yāmi Bca_4.44c	na tu-eva-avanatim yAmi Bca_4.44c
   na duḥkhaṃ kaścidicchati Bca_6.34d	na duHKam kaScid-icCati Bca_6.34d
   na duḥkhī tyaktapāpatvāt Bca_7.27a	na duHKI tyakta-pApa-tvAt Bca_7.27a
   na dṛṣṭaṃ sāramatra te Bca_5.64b	na dRzwam sAram-atra te Bca_5.64b
   na doṣo yogisaṃvṛtyā Bca_9.8a	na dozaH yogi-saMvRtyA Bca_9.8a
   na dviṣetkastamātmānaṃ Bca_8.121c	na dvizet-kaH-tam-AtmAnam Bca_8.121c
   na narāmaralokavandanīyo Bca_1.9c	na nara-amara-loka-vandanIyaH Bca_1.9c
   na nāma sādhyaṃ buddhatvaṃ Bca_8.131a	na nAma sADyam budDa-tvam Bca_8.131a
   na nidrāṃ na dhṛtiṃ yāti Bca_6.3c	na nidrAm na DRtim yAti Bca_6.3c
   nanu tatpramitaṃ mṛṣā Bca_9.139b	nanu tad-pramitam mRzA Bca_9.139b
   nanu nivartate saukhyaṃ Bca_6.58a	nanu nivartate sOKyam Bca_6.58a
   nanu bhāvā vicāritāḥ Bca_9.131b	nanu BAvAH vicAritAH Bca_9.131b
   nanvasiddhaṃ mahāyānaṃ Bca_9.42a	nanu-asidDam mahAyAnam Bca_9.42a
   nanvetattadupasthitam Bca_6.102d	nanu-etat-tad-upasTitam Bca_6.102d
   na paśyati yathābhūtaṃ Bca_8.7a	na paSyati yaTABUtam Bca_8.7a
   na paśyecchatruvaccainaṃ Bca_8.124c	na paSyet-Satru-vat-ca-enam Bca_8.124c
   na pīṭhādīn vinikṣipet Bca_5.72b	na pIWa-AdIn vinikzipet Bca_5.72b
   na puṇyāya na cāyuṣe Bca_6.90b	na puNyAya na ca-Ayuze Bca_6.90b
   na putro na pitā yataḥ Bca_9.65b	na putraH na pitA yatas Bca_9.65b
   na pūyaṃ lasikāpi vā Bca_9.58d	na pUyam lasikA-api vA Bca_9.58d
   na prapāto na vairiṇaḥ Bca_8.84b	na prapAtaH na vEriNaH Bca_8.84b
   na prāptaṃ bhagavatpūjā- Bca_7.37a	na prAptam Bagavat-pUjA Bca_7.37a
   na prītisukhamaśnute Bca_6.3b	na prIti-suKam-aSnute Bca_6.3b
   na prītyupāyo 'sti dayāmayānām Bca_6.123d	na prIti-upAyaH asti dayA-mayAnAm Bca_6.123d
   na balārthaṃ na cārogye Bca_6.90c	na bala-arTam na ca-Arogye Bca_6.90c
   na bālaḥ kasyacinmitram Bca_8.24a	na bAlaH kasyacid-mitram Bca_8.24a
   na bāhūtkṣepakaṃ kaṃcic Bca_5.95a	na bAhu-utkzepakam kaMcid Bca_5.95a
   na bāhū mardayetsamam Bca_5.92d	na bAhU mardayet-samam Bca_5.92d
   na bhadrakamidaṃ nāthā Bca_2.66c	na Badrakam-idam nATAH Bca_2.66c
   na bhaviṣyāmyahaṃ yadā Bca_2.59d	na BavizyAmi-aham yadA Bca_2.59d
   na bhavetkasyacidduḥkhaṃ Bca_6.34c	na Bavet-kasyacid-duHKam Bca_6.34c
   na bhavettattvamīdṛśam Bca_9.158d	na Bavet-tattvam-IdRSam Bca_9.158d
   na bhasmāpyupalabhyate Bca_4.31b	na Basma-api-upalaByate Bca_4.31b
   na bhāvayati tāṃ katham Bca_9.55d	na BAvayati tAm kaTam Bca_9.55d
   na mado na ca vismayaḥ Bca_8.109b	na madaH na ca vismayaH Bca_8.109b
   na mado na ca vismayaḥ Bca_8.116b	na madaH na ca vismayaH Bca_8.116b
   na mayā pratyavekṣitaṃ Bca_2.39b	na mayA pratyavekzitam Bca_2.39b
   na mariṣyāmi kiṃ nvaham Bca_2.40d	na marizyAmi kim nu-aham Bca_2.40d
   namaḥ karomyupādhyāyān Bca_2.25c	namaH karomi-upADyAyAn Bca_2.25c
   na māyācittasaṃbhavaḥ Bca_9.12b	na mAyA-citta-saMBavaH Bca_9.12b
   na mithyājīvitaṃ ciram Bca_6.56b	na miTyA-jIvitam ciram Bca_6.56b
   na miśraṃ na pṛthak kvacit Bca_9.104b	na miSram na pRTak kvacid Bca_9.104b
   na medo 'ntrāṇi nāpyaham Bca_9.59b	na medaH antrANi na-api-aham Bca_9.59b
   na yāmi narakānyadi Bca_6.50b	na yAmi narakAn-yadi Bca_6.50b
   na yuktaṃ syandituṃ svārtham Bca_8.138c	na yuktam syanditum sva-arTam Bca_8.138c
   na yuktaṃ svārthadṛṣṭyādi Bca_8.138a	na yuktam sva-arTa-dRzwi-Adi Bca_8.138a
   na yuktā me sukhāsikā Bca_2.59b	na yuktA me suKAsikA Bca_2.59b
   na yujyate mama dveṣo Bca_6.64c	na yujyate mama dvezaH Bca_6.64c
   narakādiprapātinaḥ Bca_8.82b	naraka-Adi-prapAtinaH Bca_8.82b
   narakādivyathāsmṛteḥ Bca_8.84d	naraka-Adi-vyaTA-smRteH Bca_8.84d
   narakādiṣu ca vyathā Bca_8.71d	naraka-Adizu ca vyaTA Bca_8.71d
   narakādiṣu pacyate Bca_8.126b	naraka-Adizu pacyate Bca_8.126b
   narakādiṣvapi vadhyaghātakāḥ Bca_4.35b	naraka-Adizu-api vaDya-GAtakAH Bca_4.35b
   narakādau paratra ca Bca_8.40d	naraka-AdO paratra ca Bca_8.40d
   narakān dīrghavedanān Bca_6.48d	narakAn dIrGa-vedanAn Bca_6.48d
   narakeṣu sahasraśaḥ Bca_6.74b	narakezu sahasraSas Bca_6.74b
   narakeṣvāvasatīti nātha āha Bca_1.34d	narakezu-Avasati-iti nATaH Aha Bca_1.34d
   na rasaṃ cakṣurīkṣate Bca_7.61b	na rasam cakzuH-Ikzate Bca_7.61b
   navanītaṃ samutthitaṃ Bca_3.31d	navanItam samutTitam Bca_3.31d
   na vastrādi pradīyate Bca_5.68b	na vastra-Adi pradIyate Bca_5.68b
   na vāñchasyaśuciṃ kṛmim Bca_8.60b	na vAQCasi-aSucim kRmim Bca_8.60b
   na vāritaṃ ca guṇibhiḥ Bca_6.77c	na vAritam ca guNiBiH Bca_6.77c
   na vinānena mārgeṇa Bca_9.41c	na vinA-anena mArgeNa Bca_9.41c
   na vipākaphalākāṅkṣā Bca_8.109c	na vipAka-Pala-AkAFkzA Bca_8.109c
   na vimukhatāmupayāntyasādhayitvā Bca_4.37d	na vimuKa-tAm-upayAnti-asADayitvA Bca_4.37d
   na vimocyaṃ hi sadaiva bodhicittaṃ Bca_1.8d	na vimocyam hi sadA-eva boDi-cittam Bca_1.8d
   na śakyaṃ kenacit kvacit Bca_6.52b	na Sakyam kenacid kvacid Bca_6.52b
   na śastraṃ na viṣaṃ nāgnir Bca_8.84a	na Sastram na vizam na-agniH Bca_8.84a
   na śikṣā rakṣituṃ śakyā Bca_5.1c	na SikzA rakzitum SakyA Bca_5.1c
   na śiroveṣṭhite vadet Bca_5.88b	na SiraH-vezWite vadet Bca_5.88b
   na śiṃghānaṃ na ca śleṣmā Bca_9.58c	na SiMGAnam na ca SlezmA Bca_9.58c
   na śurā na ca te prājñāḥ Bca_4.28c	na SurAH na ca te prAjQAH Bca_4.28c
   naśyatvanyacca kuśalaṃ Bca_5.22c	naSyatu-anyat-ca kuSalam Bca_5.22c
   naśyanti yeṣāṃ bhaiṣajyaṃ Bca_2.56c	naSyanti yezAm BEzajyam Bca_2.56c
   na śroṣyantyapi kecana Bca_8.148d	na Srozyanti-api kecana Bca_8.148d
   naṣṭaśalyavyathāpohe Bca_7.22c	nazwa-Salya-vyaTA-apohe Bca_7.22c
   naṣṭe 'sminnāstyahaṃ punaḥ Bca_9.74d	nazwe asmin-na-asti-aham punar Bca_9.74d
   na sattveṣviti kaḥ kramaḥ Bca_6.113d	na sattvezu-iti kaH kramaH Bca_6.113d
   na sarvakāmairapi saumanasyam Bca_6.123b	na sarva-kAmEH-api sOmanasyam Bca_6.123b
   na saṃcintyopajāyate Bca_6.27d	na saMcintya-upajAyate Bca_6.27d
   na saṃstavānubandhena Bca_8.15c	na saMstava-anubanDena Bca_8.15c
   na siddho 'sau tavāditaḥ Bca_9.42d	na sidDaH asO tava-Aditas Bca_9.42d
   na strīṣu puruṣaṃ vinā Bca_5.89b	na strIzu puruzam vinA Bca_5.89b
   na sthāsyatīti bhṛtyāya Bca_5.68a	na sTAsyati-iti BRtyAya Bca_5.68a
   na sthaulyaṃ cetsukhādanyat Bca_9.135a	na sTOlyam ced-suKAt-anyat Bca_9.135a
   na smṛtāvavatiṣṭhate Bca_5.25d	na smRtO=-avatizWate Bca_5.25d
   na svataḥ kiṃ tu kāryataḥ Bca_6.114b	na svatas kim tu kAryataH Bca_6.114b
   na svārthena vinā prītir Bca_8.24c	na sva-arTena vinA prItiH Bca_8.24c
   na svārthe 'pyupajāyate Bca_1.25d	na sva-arTe api-upajAyate Bca_1.25d
   na svīkaroṣi he mūḍha Bca_5.61a	na svIkarozi he mUXa Bca_5.61a
   na hastau nāpyayaṃ pārśvau Bca_9.80a	na hastO na-api-ayam pArSvO Bca_9.80a
   na hi kālopapannena Bca_6.105a	na hi kAla-upapannena Bca_6.105a
   na hi kiṃcidapūrvamatra vācyaṃ Bca_1.2a	na hi kiMcid-apUrvam-atra vAcyam Bca_1.2a
   na hi tadvidyate kiṃcid Bca_5.100a	na hi tat-vidyate kiMcid Bca_5.100a
   na hi vīryaṃ vinā puṇyaṃ Bca_7.1c	na hi vIryam vinA puNyam Bca_7.1c
   nahi vaitanikopāttaṃ Bca_5.69c	na-hi vEtanikopAttam Bca_5.69c
   nahi sarvānyaśatrūṇāṃ Bca_4.32a	na-hi sarva-anya-SatrUNAm Bca_4.32a
   na hi so 'nyamapekṣate Bca_9.124b	na hi saH anyam-apekzate Bca_9.124b
   na hi sphaṭikavannīlaṃ Bca_9.19c	na hi sPawika-vat-nIlam Bca_9.19c
   nahīdṛśairmaccaritair Bca_4.17a	nahi-IdRSEH-mad-caritEH Bca_4.17a
   na hṛṣyasi prakupyasi Bca_6.82d	na hRzyasi prakupyasi Bca_6.82d
   nākartumīśaḥ sāmagryāṃ Bca_9.125c	na-akartum-ISaH sAmagryAm Bca_9.125c
   nākāśamīśo 'ceṣṭatvāt Bca_9.121a	na-AkASam-ISaH acezwa-tvAt Bca_9.121a
   nāgantukaguṇāṃśena Bca_8.164a	na-Agantuka-guNa-aMSena Bca_8.164a
   nāgāmikāyaduḥkhānme Bca_8.97c	na-AgAmikAya-duHKAt-me Bca_8.97c
   nāṅgulyā kārayetkiṃcid Bca_5.94a	na-aFgulyA kArayet-kiMcid Bca_5.94a
   nājātena hi bhāvena Bca_9.148c	na-ajAtena hi BAvena Bca_9.148c
   nāṇoraṇau praveśo 'sti Bca_9.95a	na-aNA-uraNO praveSaH asti Bca_9.95a
   nātaḥparā vañcanāsti Bca_4.23a	na-atas-parA vaQcanA-asti Bca_4.23a
   nāto 'nyatra kuhasthitāḥ punarime mathnanti kṛtsnaṃ jagat Bca_4.47b	na-atas anyatra kuha-sTitAH punar-ime maTnanti kRtsnam jagat Bca_4.47b
   nātmā pūrvaniṣedhataḥ Bca_9.121b	na-AtmA pUrva-nizeDataH Bca_9.121b
   nāthanirvāṇaśayyāvac Bca_5.96a	nATa-nirvANa-SayyA-vat Bca_5.96a
   nāthānāmagrataḥ sthitaḥ Bca_2.65b	nATAnAm-agratas sTitaH Bca_2.65b
   nādya cetkriyate yatnas Bca_4.12c	na-adya ced-kriyate yatnaH Bca_4.12c
   nānādhimuktikāḥ sattvā Bca_8.22a	nAnA-aDimuktikAH sattvAH Bca_8.22a
   nānāpratyayasaṃbhavā Bca_9.12d	nAnA-pratyaya-saMBavAH Bca_9.12d
   nānāvidhapralāpeṣu Bca_5.45a	nAnAviDa-pralApezu Bca_5.45a
   nānopakaraṇākārair Bca_3.9c	nAnA-upakaraNa-AkArEH Bca_3.9c
   nāntarāle manaḥ sthitam Bca_9.103b	na-antarAle manaH sTitam Bca_9.103b
   nāntrāṇi cūṣitavyāni Bca_5.65c	na-antrANi cUzitavyAni Bca_5.65c
   nānyacca pāpaṃ prakaromi bhūyaḥ Bca_2.9d	na-anyat-ca pApam prakaromi BUyas Bca_2.9d
   nānyaccintyaṃ tvayādhunā Bca_8.137d	na-anyat-cintyam tvayA-aDunA Bca_8.137d
   nānyasya tadvyathābhāgaḥ Bca_8.33c	na-anyasya tad-vyaTA-BAgaH Bca_8.33c
   nāpaneyā kadācana Bca_5.29b	na-apaneyA kadAcana Bca_5.29b
   nāpyananyeti kalpyate Bca_9.27b	na-api-ananyA-iti kalpyate Bca_9.27b
   nāpyantarna bahiścittam Bca_9.103c	na-api-antar-na bahis-cittam Bca_9.103c
   nābhaviṣyadiyaṃ daśā Bca_8.157d	na-aBavizyat-iyam daSA Bca_8.157d
   nābhāvakāle bhāvaścet Bca_9.148a	na-aBAva-kAle BAvaH-ced Bca_9.148a
   nābhāvasya vikāro 'sti Bca_9.147a	na-aBAvasya vikAraH asti Bca_9.147a
   nābhyastaṃ kuśalaṃ mayā Bca_4.23d	na-aByastam kuSalam mayA Bca_4.23d
   nāmamātre 'pi kiṃ śramaḥ Bca_9.119d	nAma-mAtre api kim SramaH Bca_9.119d
   nāmedhyamayamanyasya Bca_8.56a	na-ameDya-mayam-anyasya Bca_8.56a
   nārakāgniḥ suduḥsahaḥ Bca_4.25b	nAraka-agniH su-duHsahaH Bca_4.25b
   nārakāṇāṃ bhayāni ca Bca_10.16b	nArakANAm BayAni ca Bca_10.16b
   nālaṃ pūrayituṃ vāñchāṃ Bca_8.175c	na-alam pUrayitum vAQCAm Bca_8.175c
   nāvakāśaḥ pradātavyaḥ Bca_5.82c	na-avakASaH pradAtavyaH Bca_5.82c
   nāvaguṇṭhitamastake Bca_5.88d	na-avaguNWita-mastake Bca_5.88d
   nāvadhyāyanti taravo Bca_8.26a	na-avaDyAyanti taravaH Bca_8.26a
   nāvasaro bhavaduḥkhavimukteḥ Bca_8.79d	na-avasaraH Bava-duHKa-vimukteH Bca_8.79d
   nāśakākrośakeṣu ca Bca_6.64b	nASaka-AkroSakezu ca Bca_6.64b
   nāśakto 'haṃ yathā janaḥ Bca_7.50d	na-aSaktaH aham yaTA janaH Bca_7.50d
   nāśayatyapi saṃmohaṃ Bca_1.30a	nASayati-api saMmoham Bca_1.30a
   nāśayāmīti cintayan Bca_1.21b	nASayAmi-iti cintayan Bca_1.21b
   nāśrīyate tatkathamajñasattvaiḥ Bca_1.13d	na-ASrIyate tat-kaTam-ajQa-sattvEH Bca_1.13d
   nāsadutpadyate kiṃcid Bca_9.135c	na-asat-utpadyate kiMcid Bca_9.135c
   nāsti kiṃcidahetutaḥ Bca_9.142b	na-asti kiMcid-ahetutaH Bca_9.142b
   nāsti cet saṃpradhāryate Bca_9.47b	na-asti ced saMpraDAryate Bca_9.47b
   nāsti sattvārthadhātinaḥ Bca_4.9d	na-asti sattva-arTa-DAtinaH Bca_4.9d
   nāsti saṃmohavat satī Bca_9.47d	na-asti saMmoha-vat satI Bca_9.47d
   nāsthi nāpyasmi śoṇitam Bca_9.58b	na-asTi na-api-asmi SoNitam Bca_9.58b
   nāsphālayetkapāṭaṃ ca Bca_5.72c	na-AsPAlayet-kapAwam ca Bca_5.72c
   nāhaṃ taddhi na vidyate Bca_9.74b	na-aham tat-hi na vidyate Bca_9.74b
   nāhaṃ māṃsaṃ na ca snāyur Bca_9.60a	na-aham mAMsam na ca snAyuH Bca_9.60a
   nāhaṃ vasā na ca svedo Bca_9.59a	na-aham vasA na ca svedaH Bca_9.59a
   nikṛṣṭadāsavaccainaṃ Bca_8.163c	nikRzwa-dAsa-vat-ca-enam Bca_8.163c
   nigṛhṇīyād dṛḍhaṃ śūraḥ Bca_5.54c	nigRhNIyAt dRXam SUraH Bca_5.54c
   nigrāhyastadatikrame Bca_8.167d	nigrAhyaH-tad-atikrame Bca_8.167d
   nighnanti kecidātmānam Bca_6.36c	niGnanti kecid-AtmAnam Bca_6.36c
   nijaṃ tadrūpamucyatām Bca_9.67b	nijam tat-rUpam-ucyatAm Bca_9.67b
   nityaṃ jīvantu sukhitā Bca_10.33c	nityam jIvantu suKitA Bca_10.33c
   nityaṃ lokasya kāraṇam Bca_9.127d	nityam lokasya kAraNam Bca_9.127d
   nityaṃ sarvārthasiddhaye Bca_3.15d	nityam sarva-arTa-sidDaye Bca_3.15d
   nityaṃ smitamukho bhavet Bca_5.71b	nityam smita-muKaH Bavet Bca_5.71b
   nityaṃ syāt saṃghasāmagrī Bca_10.42c	nityam syAt saMGa-sAmagrI Bca_10.42c
   nityodvego 'smi nāyakāḥ Bca_2.32b	nitya-udvegaH asmi nAyakAH Bca_2.32b
   nityo hyacetanaścātmā Bca_6.29a	nityaH hi-acetanaH-ca-AtmA Bca_6.29a
   nidrayopadravairbāla- Bca_9.160c	nidrayA-upadravEH-bAla Bca_9.160c
   nidrāpāśrayatṛṣṇayā Bca_7.3b	nidrA-apASraya-tRzNayA Bca_7.3b
   nidrālasyāgame tadvat Bca_7.71c	nidrA-Alasya-Agame tadvat Bca_7.71c
   nidhānamidamakṣayaṃ Bca_3.28d	niDAnam-idam-akzayam Bca_3.28d
   nidhiḥ syāmahamakṣayaḥ Bca_3.9b	niDiH syAm-aham-akzayaH Bca_3.9b
   nidhyāyantīva satataṃ Bca_5.35c	niDyAyanti-iva satatam Bca_5.35c
   nindantyalābhinaṃ sattvam Bca_8.23a	nindanti-alABinam sattvam Bca_8.23a
   nindyamānamitastataḥ Bca_8.150d	nindyamAnam-itas-tatas Bca_8.150d
   nimajjettatra karmaṇi Bca_7.65b	nimajjet-tatra karmaNi Bca_7.65b
   niyataṃ tāvadācaret Bca_5.97d	niyatam tAvat-Acaret Bca_5.97d
   niyataṃ yāti durgatim Bca_8.9b	niyatam yAti durgatim Bca_8.9b
   niyamastatra kiṃkṛtaḥ Bca_8.102d	niyamaH-tatra kiMkRtaH Bca_8.102d
   niyojayati nāyakaḥ Bca_7.25b	niyojayati nAyakaH Bca_7.25b
   nirantaratve 'pyekatvaṃ Bca_9.94c	nirantara-tve api-ekatvam Bca_9.94c
   nirapekṣastyajāmyeṣa Bca_3.10c	nirapekzaH-tyajAmi-eza Bca_3.10c
   niravadyaṃ sukhodayam Bca_6.77b	niravadyam suKa-udayam Bca_6.77b
   niravadhikālamanuprayacchataḥ Bca_1.33b	niravaDi-kAlam-anuprayacCataH Bca_1.33b
   niraṃśasya ca saṃsargaḥ Bca_9.96a	niraMSasya ca saMsargaH Bca_9.96a
   nirākāśaḥ samaśca saḥ Bca_9.95b	nirAkASaH samaH-ca saH Bca_9.95b
   nirātmake kalāpe 'smin Bca_9.102c	nirAtmake kalApe asmin Bca_9.102c
   nirāyāsā śivodayā Bca_8.38b	nirAyAsA Siva-udayA Bca_8.38b
   nirālambā praśāmyate Bca_9.35d	nirAlambA praSAmyate Bca_9.35d
   nirāśo yastu sarvatra Bca_8.176c	nirASaH yaH-tu sarvatra Bca_8.176c
   nirāśrayatvānnodeti Bca_9.111c	nirASraya-tvAt-na-udeti Bca_9.111c
   nirindriyeṇeva mayā Bca_5.34c	nirindriyeNa-iva mayA Bca_5.34c
   nirudyamaphalākāṅkṣin Bca_7.13a	nirudyama-Pala-AkAFkzin Bca_7.13a
   nirūpyaḥ sarvayatnena Bca_5.40a	nirUpyaH sarva-yatnena Bca_5.40a
   niroddhumapi nehate Bca_6.28d	nirodDum-api na-Ihate Bca_6.28d
   nirdvandvā nirupāyāstāḥ Bca_10.28c	nirdvandvAH nirupAyAH-tAH Bca_10.28c
   nirbhayo vihariṣyāmi Bca_8.29c	nirBayaH viharizyAmi Bca_8.29c
   nirbhīrbhave sattvahitaṃ karomi Bca_2.9b	nirBIH-Bave sattva-hitam karomi Bca_2.9b
   nirmalasya kulasyāsya Bca_3.26c	nirmalasya kulasya-asya Bca_3.26c
   nirmāṇamiva nirmānaṃ Bca_5.57c	nirmANam-iva nirmAnam Bca_5.57c
   nirmāṇavadaceṣṭeṣu Bca_6.31c	nirmANa-vat-acezwezu Bca_6.31c
   niryātayāmyeṣa saputrakebhyaḥ Bca_2.6b	niryAtayAmi-eza sa-putrakeByaH Bca_2.6b
   nirvāṇamapi duḥsthitam Bca_9.45d	nirvANam-api duHsTitam Bca_9.45d
   nirvāṇārthi ca me manaḥ Bca_3.11b	nirvANa-arTi ca me manaH Bca_3.11b
   nirvātukāmāṃśca jinān Bca_3.5a	nirvAtu-kAmAn=-ca jinAn Bca_3.5a
   nirvāsitasyāpi tu nāma śatror Bca_4.45a	nirvAsitasya-api tu nAma SatroH Bca_4.45a
   nirvikalpyena cetasā Bca_8.140d	nirvikalpyena cetasA Bca_8.140d
   nirvikārasya kā kriyā Bca_6.29d	nirvikArasya kA kriyA Bca_6.29d
   nirvṛtaḥ paramārthena Bca_9.13c	nirvRtaH parama-arTena Bca_9.13c
   nirvṛtānirvṛtānāṃ ca Bca_9.151c	nirvRta-anirvRtAnAm ca Bca_9.151c
   nirvyāpāraśca tatrātmety Bca_9.72c	nirvyApAraH-ca tatra-AtmA-iti Bca_9.72c
   nivāraṇagatiḥ kutaḥ Bca_9.161d	nivAraNa-gatiH kutas Bca_9.161d
   niścayaṃ kuru me manaḥ Bca_8.137b	niScayam kuru me manaH Bca_8.137b
   niścalādapi te trāsaḥ Bca_8.48a	niScalAt-api te trAsaH Bca_8.48a
   niśceṣṭā na ca devatāḥ Bca_9.120b	niScezwAH na ca devatAH Bca_9.120b
   niśceṣṭānyena cālyate Bca_8.178b	niScezwA-anyena cAlyate Bca_8.178b
   niṣiddhamapyanujñātaṃ Bca_5.84c	nizidDam-api-anujQAtam Bca_5.84c
   niṣīdantu svaśobhāmir Bca_10.36c	nizIdantu sva-SoBAmiH Bca_10.36c
   niṣkarmā sa sukhī katham Bca_7.63d	nizkarmA sa suKI kaTam Bca_7.63d
   niṣkṛtiḥ kā parā bhavet Bca_6.119d	nizkRtiH kA parA Bavet Bca_6.119d
   niṣphalā netravikṣepā Bca_5.35a	nizPalA netra-vikzepAH Bca_5.35a
   niṣphalārambhi vā manaḥ Bca_5.54b	nizPala-AramBi vA manaH Bca_5.54b
   nihanmi svārthaceṭaṃ tvāṃ Bca_8.172c	nihanmi sva-arTa-cewam tvAm Bca_8.172c
   niḥkleśasyāpi karmaṇaḥ Bca_9.46d	niHkleSasya-api karmaNaH Bca_9.46d
   niḥśabdasaumyavanamārutavījyamānaiḥ Bca_8.86c	niHSabda-sOmya-vana-mAruta-vIjyamAnEH Bca_8.86c
   niḥśabdo nibhṛtaścaran Bca_5.73b	niHSabdaH niBRtaH-caran Bca_5.73b
   niḥśeṣākāśavāsināṃ Bca_3.20b	niHSeza-AkASa-vAsinAm Bca_3.20b
   niḥsariṣyāmi vā kathaṃ Bca_2.60b	niHsarizyAmi vA kaTam Bca_2.60b
   niḥsareyaṃ tataḥ katham Bca_2.63d	niHsareyam tatas kaTam Bca_2.63d
   nīcaṃ karma karotyanyaḥ Bca_7.51a	nIcam karma karoti-anyaH Bca_7.51a
   nīcairanyo 'yamuccakaiḥ Bca_8.160b	nIcEs-anyaH ayam-uccakEs Bca_8.160b
   nīco 'haṃ kila nirguṇaḥ Bca_8.142d	nIcaH aham kila nirguNaH Bca_8.142d
   nītaṃ tu parakarmaṇā Bca_8.75d	nItam tu para-karmaNA Bca_8.75d
   nīyamānamadho hriyā Bca_8.44b	nIyamAnam-aDas hriyA Bca_8.44b
   nīyamāno viśuṣyati Bca_2.44b	nIyamAnaH viSuzyati Bca_2.44b
   nīlatve 'nyamapekṣate Bca_9.19d	nIlatve anyam-apekzate Bca_9.19d
   nīlameva hi ko nīlaṃ Bca_9.21a	nIlam-eva hi kaH nIlam Bca_9.21a
   nṛhe nidhirivotthitaḥ Bca_6.107b	nRhe niDiH-iva-utTitaH Bca_6.107b
   netarārthaṃ tyajecchreṣṭhām Bca_5.83c	na-itara-arTam tyajet-SrezWAm Bca_5.83c
   nendriyeṣu na rūpādau Bca_9.103a	na-indriyezu na rUpa-AdO Bca_9.103a
   neṣṭaṃ jale sthale bhogye Bca_5.91c	na-izwam jale sTale Bogye Bca_5.91c
   neṣyate viṣabhāgaśca Bca_8.9c	na-izyate viza-BAgaH-ca Bca_8.9c
   naikayā'nyastriyā kuryād Bca_5.93a	na-ekayA-anya-striyA kuryAt Bca_5.93a
   naikasya sarvasāmarthyaṃ Bca_9.13a	na-ekasya sarva-sAmarTyam Bca_9.13a
   naiva prakāśyate dīpo Bca_9.19a	na-eva prakASyate dIpaH Bca_9.19a
   naivāntarna bahiḥ kāyaḥ Bca_9.83a	na-eva-antar-na bahis kAyaH Bca_9.83a
   naivāvasādaḥ kartavyaḥ Bca_7.17a	na-eva-avasAdaH kartavyaH Bca_7.17a
   -naivāsya karuṇā jane Bca_8.146b	-na-eva-asya karuNA jane Bca_8.146b
   naiveha pratiṣidhyate Bca_9.26b	na-eva-iha pratiziDyate Bca_9.26b
   naivotsāho 'sya dātavyo Bca_8.166a	na-eva-utsAhaH asya dAtavyaH Bca_8.166a
   naiṣāmahaṃ svadoṣeṇa Bca_4.13c	na-ezAm-aham sva-dozeNa Bca_4.13c
   notpannapūrvaḥ svapne 'pi Bca_1.24c	na-utpanna-pUrvaH svapne api Bca_1.24c
   nodaraṃ nāpyayaṃ pṛṣṭhaṃ Bca_9.79c	na-udaram na-api-ayam pRzWam Bca_9.79c
   nodāradharmapātraṃ ca Bca_5.90a	na-udAra-Darma-pAtram ca Bca_5.90a
   nodyogo me kevalaṃ mandabuddheḥ Bca_4.46c	na-udyogaH me kevalam manda-budDeH Bca_4.46c
   nopasarpeyurantikam Bca_8.31d	na-upasarpeyuH-antikam Bca_8.31d
   noraḥ sphuṭati me katham Bca_7.34d	na-uraH sPuwati me kaTam Bca_7.34d
   norū kāyaḥ kaṭirna ca Bca_9.79b	na-UrU kAyaH kawiH-na ca Bca_9.79b
   noro bāhū na cāpi saḥ Bca_9.79d	na-uraH bAhU na ca-api saH Bca_9.79d
   noṣmā vāyurahaṃ na ca Bca_9.60b	na-UzmA vAyuH-aham na ca Bca_9.60b
   nauyānayātrārūḍhāśca Bca_10.24a	nOyAna-yAtrA-ArUXAH-ca Bca_10.24a
   nyakvāraḥ paruṣaṃ vākyam Bca_6.53a	nyakvAraH paruzam vAkyam Bca_6.53a
   pakṣibhyaḥ sarvavṛkṣebhyo Bca_10.37a	pakziByaH sarva-vRkzeByaH Bca_10.37a
   pakṣimatsyamṛgān hanti Bca_8.122c	pakzi-matsya-mRgAn hanti Bca_8.122c
   paṅktisenādivanmṛṣā Bca_8.101b	paFkti-senA-Adi-vat-mRzA Bca_8.101b
   paṭādestu sukhādi syāt Bca_9.132a	pawa-AdeH-tu suKa-Adi syAt Bca_9.132a
   paṭārgheṇaiva karpāsa- Bca_9.137a	pawa-arGeNa-eva karpAsa Bca_9.137a
