   Paraśurāmakalpasūtra	ParaSurAma-kalpa-sUtra
   (aṃ) ckauṃ iti citreti pañcadaśa nityāḥ	(aM) ckOm iti citrA-iti paQcadaSa nityAH
   prathamatryasrarekhāsthitapañcadaśasvareṣu pūjyaḥ | visṛṣṭau ṣoḍaśīṃ	praTama-tri-asra-reKA-sTita-paQcadaSa-svarezu pUjyaH | visRzwO zoxaSIm
   mūlavidyayā cābhyarcya || Parks_4.9 ||	mUla-vidyayA ca-aByarcya || ParkH-_4.9 ||
   madhye prāktryasram adhyāntaḥ munivedanāgasaṅkhyān yathāsampradāyaṃ	maDye prAktri-asram aDyAntaH muni-veda-nAga-saFKyAn yaTA-sampradAyam
   pādukān divyasiddhamānavaughasiddhān iṣṭvā paścāt svaśirasi nāthaṃ yajet |	pAdukAn divya-sidDa-mAnavOGa-sidDAn izwvA paScAt sva-Sirasi nATam yajet |
   etallayāṅgapūjanam iti śivam || Parks_4.10 ||	etad-laya-aFga-pUjanam iti Sivam || ParkH-_4.10 ||
   5. Khaṇḍa: Lalitānavāvaraṇapūjā	5. KhaNxa: Lalita-anava-AvaraNa-pUjA
   atha prāthamike caturasre	aTa prATamike catur-asre
   aṇimālaghimāmahimeśitvavaśitvaprākāmyabhuktīcchāprāptisarvakāmasiddhyantāḥ	aNimAlaGimA-mahimeSitva-vaSi-tva-prAkAmya-Bukti-icCA-prApti-sarva-kAma-sidDi-antAH
   madhyame caturasre brāhmyādyāmahālakṣmyantāḥ tṛtīye caturasre	maDyame catur-asre brAhmI-AdyAm-ahAlakzmI-antAH tRtIye catur-asre
   saṃkṣobhaṇadrāvaṇakarṣaṇavaśyonmādanamahāṅkuśakhecarībījayonitrikhaṇḍāḥ	saMkzoBaNa-drAvaNa-karzaNa-vaSya-unmAdana-mahA-aFkuSa-KecarI-bIja-yoni-triKaNxAH
   sarvapūrvās tāḥ sampūjyāḥ || Parks_5.1 ||	sarva-pUrvAH tAH sampUjyAH || ParkH-_5.1 ||
   etāḥ prakaṭayoginyas trailokyamohanacakre samudrāḥ sasiddhayaḥ sāyudhāḥ	etAH prakawa-yoginyaH trElokya-mohana-cakre samudrAH sa-sidDayaH sa-AyuDAH
   saśaktayaḥ savāhanāḥ saparivārāḥ sarvopacāraiḥ sampūjitāḥ santv iti tāsām	sa-SaktayaH sa-vAhanAH sa-parivArAH sarva-upacArEH sampUjitAH santu iti tAsAm
   eva samaṣṭyarcanaṃ kṛtvā || Parks_5.2 ||	eva samazwi-arcanam kRtvA || ParkH-_5.2 ||
   karaśuddhim uccārya tripurācakreśvarīm avamṛśya drām iti	kara-SudDim uccArya tripurA-cakreSvarIm avamRSya drAm iti
   sarvasaṃkṣobhiṇīmudrāṃ pradarśayet | cakrayoginīcakreśīnāṃ nāmāni bhinnāni	sarva-saMkzoBiNI-mudrAm pradarSayet | cakra-yogi-nIca-kreSInAm nAmAni BinnAni
   | śiṣṭaṃ samānam || Parks_5.3 ||	| Sizwam samAnam || ParkH-_5.3 ||
   ṣoḍaśapatre kāmākarṣiṇī nityākaleti nityākalāntāḥ	zoxaSa-patre kAma-AkarziNI nityAkalA-iti nityAkalA-antAH
   buddhyākarṣiṇīahaṅkārākarṣiṇīśabdākarṣiṇīsparśākarṣiṇīrūpākarṣiṇīrasākarṣiṇīgandhākarṣiṇīcittākarṣiṇīdhairyākarṣiṇīsmṛtyākarṣiṇīnāmākarṣiṇībījākarṣiṇīātmākarṣiṇīamṛtākarṣiṇīśarīrākarṣiṇī	budDi-AkarziNIahaFkAra-AkarziNI-Sabda-AkarziNI-sparSa-Aka-rziNI-rUpAkarziNI-rasa-AkarziNI-ganDAkarziNI-citta-AkarziNI-DErya-AkarziNI-smRti-AkarziNInAm
   etā guptayoginyaḥ sarvāśāparipūrake cakre samudrāḥ ity ādi pūrvavat	etAH gupta-yoginyaH sarva-ASAparipUrake cakre samudrAH iti Adi pUrvavat-
   ātmarakṣām uccārya tripureśīm iṣṭvā drīṃ iti sarvavidrāviṇīṃ pradarśayet	Atma-rakzAm uccArya tripureSIm izwvA drIm iti sarva-vidrAviNIm pradarSayet-
   || Parks_5.4 ||	|| ParkH-_5.4 ||
   dikpatre kusumāmekhalāmadanāmadanāturārekhāveginyaṅkuśāmālinīr	diS-patre kusumA-meKalA-madanA-madana-Atura-areKA-veginI-aFkuSA-mAlinIH-
   anaṅgapūrvāḥ saṃmṛśyaitā guptatarayoginyaḥ sarvasaṃkṣobhaṇacakre samudrāḥ	anaFga-pUrvAH saMmRSya-etAH guptatara-yoginyaH sarva-saMkzoBaNa-cakre samudrAH
   ity ādi pūrvavad ātmāsanam uccārya tripurasundarīm iṣṭvā klīm iti	iti Adi pUrvavat Atma-Asanam uccArya tripurasundarIm izwvA klIm iti
   sarvākarṣiṇīmudrāṃ pradarśayet || Parks_5.5 ||	sarva-AkarziNI-mudrAm pradarSayet || ParkH-_5.5 ||
   bhuvanāre	BuvanAre
   saṃkṣobhiṇīdrāviṇyākarṣiṇyāhlādinīsaṃmohinīstambhinījṛmbhiṇīvaśaṅkarīrañjanyunmādinyarthasādhinīsampattipūraṇīmantramayīdvandvakṣayaṅkarīḥ	saMkzoBiNI-drAviNI-AkarziNI-AhlAdinI-saMmohinI-stamBinI-jRmBiNI-iva-SaFkarI-raQjanI-unmAdini-arTa-sADinI-sampatti-pUraNI-mantra-mayI-dvandva-kzaya
   sarvādīr avamṛśyaitāḥ sampradāyayoginyaḥ sarvasaubhāgya [158] dāyakacakre	sarva-AdIH avamRSya-etAH sampradAya-yoginyaH sarva-sOBAgya [158] dAyaka-cakre
   samudrāḥ ity ādi mantraśeṣaḥ cakrāsanam uccārya tripuravāsinīṃ cakreśvarīm	samudrAH iti Adi mantra-SezaH cakrAsanam uccArya tripuravAsinIm cakreSvarIm
   iṣṭvā blūṃ iti sarvavaśaṅkarīmudrām udghāṭayet || Parks_5.6 ||	izwvA blUm iti sarva-vaSaFkarI-mudrAm udGAwayet || ParkH-_5.6 ||
   bahirdaśāre	bahis-daSa-are
   siddhipradāsampatpradāpriyaṅkarīmaṅgalakāriṇīkāmapradāduḥkhavimocinīmṛtyupraśamanīvighnanivāriṇyaṅgasundarīsaubhāgyadāyinīḥ	sidDi-pradA-sampad-pradA-priyaFkarI-maFgala-kAriNI-kAma-pradA-duHKa-vimocinI-mRtyu-praSamanIviGna-nivAriNI-aFga-sundarI-sOBAgya-dAyinIH
   sarvapūrvāḥ sampūjyaitāḥ kulottīrṇayoginyaḥ sarvārthasādhakacakre	sarva-pUrvAH sampUjya-etAH kula-uttIrNa-yoginyaH sarva-arTa-sADaka-cakre
   manuśeṣam uktvā mantrāsanam uccārya tripurāśrīcakreśvarīṃ pratyavamṛśya sa	manu-Sezam uktvA mantrAsanam uccArya tripura-aSrI-cakra-ISvarIm pratyavamRSya sa
   ity unmādinīmudrāṃ dadyāt || Parks_5.7 ||	iti unmAdinI-mudrAm dadyAt || ParkH-_5.7 ||
   antardaśāre	antardaSa-are
   jñānaśaktyaiśvaryapradājñānamayīvyādhivināśinyādhārasvarūpāpāpaharānandamayīrakṣāsvarūpiṇīpsitaphalapradāḥ	jQAna-Sakti-ESvarya-pradA-jQAna-mayI-vyADi-vinASini-ADAra-svarUpa-apApa-hara-Ananda-mayI-rakzA-svarUpiNi-Ipsita-Pala-pradAH
   sarvopapadāḥ [159] yaṣṭavyā etāni garbhayoginyaḥ sarvarakṣākaracakre	sarva-upapadAH [159] yazwavyAH etAni garBa-yoginyaH sarva-rakzA-kara-cakre
   śiṣṭaṃ tadvat sādhyasiddhāsanam uccārya tripuramālinī mānyā krom iti	Sizwam tadvat sADya-sidDAsanam uccArya tripura-mAlinI mAnyA krom iti
   sarvamahāṅkuśāṃ darśayet || Parks_5.8 ||	sarva-mahA-aFkuSAm darSayet || ParkH-_5.8 ||
   aṣṭāre vaśinyādyaṣṭakaṃ namaḥsthāne pūjāmantrasannāma etā rahasyayoginyaḥ	azwAre vaSinI-Adi-azwakam namaH-sTAne pUjA-mantra-sannAmaH etAH rahasya-yoginyaH
   sarvarogaharacakre śiṣṭaṃ spaṣṭaṃ mūrtividyām uccārya tripurāsiddhām	sarva-roga-hara-cakre Sizwam spazwam mUrti-vidyAm uccArya tripura-asidDAm
   ārādhya śivabhṛguṛddhiyukphreṃ iti khecarī deyā || Parks_5.9 ||	ArADya Siva-BRguRdDi-yukPrem iti KecarI deyAH || ParkH-_5.9 ||
   bāṇabījāny uccārya sarvajṛmbhaṇebhyo bāṇebhyo namaḥ dhaṃ thaṃ	bANa-bIjAni uccArya sarva-jRmBaNeByaH bANeByaH namaH Dam Tam
   sarvasaṃmohanāya dhanuṣe āṃ hrīṃ sarvavaśīkaraṇāya pāśāya kroṃ	sarva-saMmohanAya Danuze Am hrIm sarva-vaSIkaraNAya pASAya krom
   sarvasthambhanāyāṅkuśāya namaḥ iti mahātryasrabāhyacaturdikṣu	sarva-sTamBanAya-aFkuSAya namaH iti mahAtri-asra-bAhya-catur-dikzu
   bāṇādyāyudhapūjā || Parks_5.10 ||	bANa-Adi-AyuDa-pUjA || ParkH-_5.10 ||
   trikoṇe vākkāmaśaktisamastapūrvāḥ kāmeśvarīvajreśvarībhagamālinīmahādevyaḥ	trikoNe vAc-kAma-Sakti-samasta-pUrvAH kAmeSvarI-vajra-ISvarI-Baga-mAlinI-mahAdevyaH
   bindau caturthī || Parks_5.11 ||	bindO caturTI || ParkH-_5.11 ||
   tisṛṇām āsām anantaram abhedāya mūladevyāḥ pūjā | kāmeśvaryādicaturthī	tisRNAm AsAm anantaram aBedAya mUladevyAH pUjA | kAmeSvaryAdi-caturTI
   nityānāṃ ṣoḍaśī cakradevīnāṃ navamī binducakrasthā cety ekaiva | na tatra	nityAnAm zoxaSI cakra-devInAm navamI bindu-cakra-sTA ca-iti ekA-eva | na tatra
   mantradevatābhedaḥ kāryaḥ | tanmahādevyā eva | caturṣu sthaleṣu	mantra-devatA-BedaH kAryaH | tat-mahAdevyAH eva | caturzu sTalezu
   viśeṣārcanam āvartate || Parks_5.12 ||	viSeza-arcanam Avartate || ParkH-_5.12 ||
   etā atirahasyayoginyaḥ sarvasiddhiprade cakre | pariśiṣṭaṃ draṣṭavyam |	etAH ati-rahasya-yoginyaH sarva-sidDi-prade cakre | pariSizwam drazwavyam |
   āvāhanīm uccārya tripurāmbāṃ sambhāvya hsauṃ iti bījamudrākṛtiḥ ||	AvAhanIm uccArya tripura-ambAm samBAvya hsOm iti bIja-mudrA-AkRtiH ||
   Parks_5.13 ||	ParkH-_5.13 ||
   binducakre mūlena devīm iṣṭvā eṣā parāpararahasyayoginī sarvānandamaye	bindu-cakre mUlena devIm izwvA ezA parApara-rahasya-yoginI sarva-Ananda-maye
   cakre samudrā sasiddhiḥ sāyudhā saśaktiḥ savāhanā saparivārā sarvopacāraiḥ	cakre samudrA sa-sidDiH sa-AyuDA sa-SaktiH sa-vAhanA sa-parivArA sarva-upacArEH
   saṃpūjitāstv iti punar mūlam uccārya, mahācakreśvarīm iṣṭvā vāgbhavena	saMpUjitAH-tu iti punar mUlam uccArya, mahA-cakra-ISvarIm izwvA vAc-Bavena
   yoniṃ pradarśya || Parks_5.14 ||	yonim pradarSya || ParkH-_5.14 ||
   pūrvavad dhūpadīpamudrātarpaṇanaivedyādi dattvā || Parks_5.15 ||	pUrvavat DUpa-dIpa-mudrA-tarpaNa-nEvedya-Adi dattvA || ParkH-_5.15 ||
   bindunā mukhaṃ bindudvayena kucau saparārdhena yoniṃ kṛtvā kāmakalām iti	bindunA muKam bindu-dvayena kucO sa-parArDena yonim kRtvA kAma-kalAm iti
   dhyātvā || Parks_5.16 ||	DyAtvA || ParkH-_5.16 ||
   saubhāgyahṛdayam āmṛśya || Parks_5.17 ||	sOBAgya-hRdayam AmRSya || ParkH-_5.17 ||
   vāmabhāgavihitatrikoṇavṛttacaturasre gandhākṣatārcite vāgbhavam uccārya	vAma-BAga-vihita-trikoNa-vRtta-caturasre ganDa-akzata-arcite vAc-Bavam uccArya
   vyāpakamaṇḍalāya namaḥ ity ardhabhaktabharitāmbhasā	vyApaka-maNxalAya namaH iti arDa-Bakta-Barita-amBasA
   ādimopādimamadhyamabhājanaṃ tatra nyasya || Parks_5.18 ||	Adimopa-Adim-amaDyama-BAjanam tatra nyasya || ParkH-_5.18 ||
   praṇavamāyānte sarvavighnakṛdbhyaḥ sarvabhūtebhyo huṃ svāhā iti triḥ	praNava-mAyA-ante sarva-viGna-kRdByaH sarva-BUteByaH hum svAhA iti tris-
   paṭhitvā baliṃ dattvā || Parks_5.19 ||	paWitvA balim dattvA || ParkH-_5.19 ||
   pradakṣiṇanamaskārajapastotraiḥ santoṣya || Parks_5.20 ||	pradakziNa-namaskAra-japa-stotrEH santozya || ParkH-_5.20 ||
   tadrūpiṇīm ekāṃ śaktiṃ bālayopacāraiḥ sampūjya tāṃ mapañcakena santarpya	tad-rUpiNIm ekAm Saktim bAlayA-upacArEH sampUjya tAm mapaQcakena santarpya
   || Parks_5.21 ||	|| ParkH-_5.21 ||
   śiṣṭaiḥ sārdhaṃ cidagnau haviśśeṣaṃ hutvā || Parks_5.22 ||	SizwEH sArDam cit-agnO haviSSezam hutvA || ParkH-_5.22 ||
   khecarīṃ baddhvā kṣamasveti visṛjya tām ātmani saṃyojayet iti śivam ||	KecarIm badDvA kzamasva-iti visRjya tAm Atmani saMyojayet iti Sivam ||
   Parks_5.23 ||	ParkH-_5.23 ||
   6. Khaṇḍa: Śyāmākrama	6. KhaNxa: ŚyAm-Akrama
   iyam eva mahatī vidyā siṃhāsaneśvarī sāmrājñī, tasyāḥ pradhānasacivapadaṃ	iyam eva mahatI vidyA siMhAsana-ISvarI sAmrAjQI, tasyAH praDAna-saciva-padam
   śyāmā, tatkramavimṛṣṭiḥ sadā kāryā || Parks_6.1 ||	SyAmA, tad-krama-vimRzwiH sadA kAryA || ParkH-_6.1 ||
   pradhānadvārā rājaprasādanaṃ hi nyāyyam || Parks_6.2 ||	praDAna-dvArAH rAja-prasAdanam hi nyAyyam || ParkH-_6.2 ||
   brāhme muhūrte cotthāya śayane sthitvaiva śrīpādukāṃ praṇamya prāṇān	brAhme muhUrte ca-utTAya Sayane sTitvA-eva SrI-pAdukAm praNamya prANAn
   āyamya mūlādidvādaśāntaparyantaṃ jvalantīṃ parasaṃvidaṃ vicintya manasā	Ayamya mUla-Adi-dvAdaSAnta-paryantam jvalantIm para-saMvidam vicintya manasA
   mūlaṃ triśo japtvā bahir nirgatya vimuktamalamūtro	mUlam triSas japtvA bahis nirgatya vimukta-mala-mUtraH-
   dantadhāvanajihvāgharṣaṇakaphavimocananāsaśodhanaviṃśatigaṇḍūṣān vidhāya	danta-DAvana-jihvA-GarzaNa-kaPa-vimocana-nAsa-SoDana-viMSati-gaNxUzAn viDAya
   || Parks_6.3 ||	|| ParkH-_6.3 ||
   mantrabhasmajalasnāneṣv iṣṭaṃ vidhāya vastraṃ paridhāya || Parks_6.4 ||	mantra-Basma-jala-snAnezu izwam viDAya vastram pariDAya || ParkH-_6.4 ||
   sandhyām upāsya savitṛmaṇḍale devīṃ sāvaraṇaṃ vicintya mūlena trir arghyaṃ	sanDyAm upAsya savitR-maNxale devIm sa-AvaraNam vicintya mUlena tris arGyam
   dattvā yathāśakti santarpya || Parks_6.5 ||	dattvA yaTASakti santarpya || ParkH-_6.5 ||
   yāgagṛhaṃ praviśyāsane ādhāraśaktikamalāsanāya nama ity upaviśya ||	yAga-gRham praviSya-Asane ADAra-Sakti-kam-ala-AsanAya namaH iti upaviSya ||
   Parks_6.6 ||	ParkH-_6.6 ||
   samastaprakaṭaguptasiddhayoginīcakraśrīpādukābhyo nama iti śirasy añjalim	samasta-prakawa-gupta-sidDa-yoginI-cakra-SrI-pAdukAByaH namaH iti Sirasi aQjalim
   ādhāya svagurupādukāpūjāṃ ca vidhāya || Parks_6.7 ||	ADAya sva-guru-pAdukA-pUjAm ca viDAya || ParkH-_6.7 ||
   aiṃ hraḥ astrāya phaṭ ity astramantreṇa aṅguṣṭhādikaniṣṭhāntaṃ karatalayoḥ	Em hraH astrAya Paw iti astra-mantreNa aFguzWa-Adi-kanizWA-antam kara-talayoH
   kūrparayoḥ dehe ca vyāpakatvena vinyasya || Parks_6.8 ||	kUrparayoH dehe ca vyApaka-tvena vinyasya || ParkH-_6.8 ||
   yaṃ iti vāyuṃ piṅgalayākṛṣya deham upaviśoṣya, raṃ iti vāyum ākṛṣya dehaṃ	yam iti vAyum piFgalayA-AkRzya deham upaviSozya, ram iti vAyum AkRzya deham
   dagdhvā, vaṃ iti vāyum ākṛṣyāmṛtena dagdhadehabhasma siktvā, laṃ iti vāyum	dagDvA, vam iti vAyum AkRzya-amRtena dagDa-deha-Basma siktvA, lam iti vAyum
   ākṛṣya dṛḍhaṃ vidhāya, haṃsa iti vāyum ākṛṣya śivacaitanyam utpādya ||	AkRzya dRXam viDAya, haMsaH iti vAyum AkRzya Siva-cEtanyam utpAdya ||
   Parks_6.9 ||	ParkH-_6.9 ||
   mūlam ekaśa uccārya vāyum ākṛṣya triśaḥ uccārya kumbhayitvā sakṛd uccārya	mUlam ekaSas uccArya vAyum AkRzya triSas uccArya kumBayitvA sakRt uccArya
   recayet | evaṃ recakapūrakakumbhakaṃ tridhā saptadhā daśadhā ṣoḍaśadhā vā	recayet | evam recaka-pUraka-kumBakam triDA saptaDA daSaDA zoxaSaDA vA
   viracya tejomayatanuḥ || Parks_6.10 ||	viracya tejaH-maya-tanuH || ParkH-_6.10 ||
   ṣaḍaṅgaṃ bālāsahitāṃ mātṛkāṃ mūlahṛnmukheṣu ratiprītimanobhavān vinyasya	zaz-aFgam bAlA-sahitAm mAtRkAm mUla-hRd-muKezu rati-prIti-manoBavAn vinyasya
   || Parks_6.11 ||	|| ParkH-_6.11 ||
   mūlaṃ saptadaśadhā khaṇḍayitvā ṣaṭ brahmabile trīṇi lalāṭe catvāri	mUlam saptadaSaDA KaNxayitvA zax brahmabile trINi lalAwe catvAri
   bhrūmadhye dakṣavāmekṣaṇayoḥ ṣaṭ cāṣṭau saptāsye dakṣavāmaśrutikaṇṭheṣv	BrU-maDye dakza-vAma-IkzaNayoH zaw ca-azwO sapta-Asye dakza-vAma-Sruti-kaNWezu-
   ekaikaṃ dakṣavāmāṃsayor aṣṭau ca daśa hṛdi daśa dakṣavāmastanayor aṣṭāv	ekEkam dakza-vAmAMsayoH azwO ca daSa hRdi daSa dakza-vAma-stanayoH azwO=-
   aṣṭau nava nābhau dviḥ svādhiṣṭhāne ṣaḍ ādhāra evaṃ vinyasya || Parks_6.12	azwO nava nABO dvis svADizWAne zaw ADAraH evam vinyasya || ParkH-_6.12
   punar ādhārādibrahmabilaparyantaṃ saptadaśakhaṇḍān uktasthāneṣu vinyasya	punar ADAra-Adi-brahma-bila-paryantam saptadaSa-KaNxAn ukta-sTAnezu vinyasya
   || Parks_6.13 ||	|| ParkH-_6.13 ||
   amṛtodadhimadhyaratnadvīpe muktāmālādyalaṅkṛtaṃ caturdvārasahitaṃ maṇḍapaṃ	amRta-udaDi-maDya-ratna-dvIpe muktA-mAlA-Adi-alaFkRtam catur-dvAra-sahitam maNxapam
   vicintya tasya prāgādicaturdvāreṣu sāṃ sarasvatyai, lāṃ lakṣmyai, śaṃ	vicintya tasya prAc-Adi-catur-dvArezu sAm sarasvatyE, lAm lakzmyE, Sam
   śaṅkhanidhaye, paṃ padmanidhaye namaḥ lāṃ indrāya vajrahastāya	SaFKa-niDaye, pam padma-niDaye namaH lAm indrAya vajrahastAya
   surādhipataye airāvatavāhanāya saparivārāya namaḥ rāṃ agnaye śaktihastāya	sura-aDipataye ErAvata-vAhanAya sa-parivArAya namaH rAm agnaye Sakti-hastAya
   tejo'dhipataye ajavāhanāya saparivārāya namaḥ ṭāṃ yamāya daṇḍahastāya	tejaH-aDipataye ajavAhanAya sa-parivArAya namaH wAm yamAya daNxa-hastAya
   pretādhipataye mahiṣavāhanāya saparivārāya namaḥ kṣāṃ nirṛtaye	preta-aDipataye mahizavAhanAya sa-parivArAya namaH kzAm nirRtaye
   khaḍgahastāya rakṣo'dhipataye naravāhanāya saparivārāya namaḥ vāṃ varuṇāya	Kaxga-hastAya rakzaH-aDipataye naravAhanAya sa-parivArAya namaH vAm varuNAya
   pāśahastāya jalādhipataye makaravāhanāya saparivārāya namaḥ yāṃ vāyave	pASa-hastAya jala-aDipataye makara-vAhanAya sa-parivArAya namaH yAm vAyave
   dhvajahastāya prāṇādhipataye ruruvāhanāya saparivārāya namaḥ sāṃ somāya	Dvaja-hastAya prANa-aDipataye ruruvAhanAya sa-parivArAya namaH sAm somAya
   śaṅkhahastāya nakṣatrādhipataye aśvavāhanāya saparivārāya namaḥ hāṃ	SaFKa-hastAya nakzatra-aDipataye aSva-vAhanAya sa-parivArAya namaH hAm
   īśānāya triśūlahastāya vidyādhipataye vṛṣabhavāhanāya saparivārāya namaḥ	ISAnAya triSUla-hastAya vidyA-aDipataye vRzaBa-vAhanAya sa-parivArAya namaH
   oṃ brahmaṇe padmahastāya satyalokādhipataye haṃsavāhanāya saparivārāya	om brahmaNe padma-hastAya satya-loka-aDipataye haMsavAhanAya sa-parivArAya
   namaḥ śrīṃ viṣṇave cakrahastāya nāgādhipataye garuḍavāhanāya saparivārāya	namaH SrIm vizNave cakrahastAya nAga-aDipataye garuxa-vAhanAya sa-parivArAya
   namaḥ oṃ vāstupataye brahmaṇe namaḥ ity ekādaśadikṣu ekādaśadevān arcayet	namaH om vAstupataye brahmaNe namaH iti ekAdaSa-dikzu ekAdaSa-devAn arcayet-
   || Parks_6.14 ||	|| ParkH-_6.14 ||
   śyāmākramamantrāṇām ādau tritārīkumārīyogaḥ kumārīyogo vā, tritārī	SyAmA-krama-mantrANAm AdO tritArI-kumArI-yogaH kumArI-yogaH vA, tritArI
   pūrvoktā kumārī bālā śeṣam uttānam || Parks_6.15 ||	pUrva-uktA kumArI bAlA Sezam uttAnam || ParkH-_6.15 ||
   gandhadravyeṇa liptāṅgas tāmbūlāmoditavadanaḥ prasannamanā bhūtvā ||	ganDa-dravyeNa lipta-aFgaH tAmbUla-Amodita-vadanaH prasanna-manAH BUtvA ||
   Parks_6.16 ||	ParkH-_6.16 ||
   suvarṇarajatatāmracandanamaṇḍaleṣu	suvarNa-rajata-tAmra-candana-maNxalezu
   bindutrikoṇapañcakoṇāṣṭadalaṣoḍaśadalāṣṭadalacaturdalacaturasrātmakaṃ	bindu-trikoNa-paQca-koNa-azwa-dala-zoxaSa-dala-azwa-dala-catur-dala-caturasra-Atmakam
   cakrarājaṃ vilikhya || Parks_6.17 ||	cakrarAjam viliKya || ParkH-_6.17 ||
   mūlena trivārajaptena śuddhajalena caturasravṛttaṣaṭkoṇatrikoṇabindūn	mUlena tri-vAra-japtena SudDa-jalena caturasra-vRtta-zawkoNa-trikoNa-bindUn
   praveśena matsyamudrayā vidhāya aṃ ātmatattvāya ādhāraśaktaye vauṣaṭ ity	praveSena matsya-mudrayA viDAya am Atma-tattvAya ADAra-Saktaye vOzaw iti-
   ādhāraṃ pratiṣṭhāpya dhūmrārcir ūṣmā jvalinī jvālinī visphuliṅginī suśrīḥ	ADAram pratizWApya DUmra-arciH UzmA jvalinI jvAlinI visPuliFginI suSrIH
   surūpā kapilā havyavāhā kavyavāhety agnikalā abhyarcya uṃ vidyātattvāya	surUpA kapilA havyavAhA kavya-vAha-iti agni-kalAH aByarcya um vidyA-tattvAya
   padmānanāya vauṣaṭ iti pātraṃ pratiṣṭhāpya tapinī tāpinī dhūmrā marīcir	padma-AnanAya vOzaw iti pAtram pratizWApya tapinI tApinI DUmrA marIciH-
   jvālinī ruciḥ suṣumnā bhogadā viśvā bodhinī dhāriṇī kṣamā iti pātre	jvAlinI ruciH suzumnA BogadA viSvA boDinI DAriNI kzamA iti pAtre
   sūryakalā abhyarcya maṃ śivatattvāya somamaṇḍalāya namaḥ iti śuddhajalam	sUrya-kalAH aByarcya mam Siva-tattvAya soma-maNxalAya namaH iti SudDa-jalam
   āpūrya amṛtā mānadā pūṣā tuṣṭiḥ puṣṭī ratiḥ dhṛtiḥ śaśinī candrikā kāntir	ApUrya amRtA mAnadA pUzA tuzwiH puzwI ratiH DRtiH SaSinI candrikA kAntiH-
   jyotsnā śrīḥ prītir aṅgadā pūrṇā pūrṇāmṛtā ceti candrakalā abhyarcya	jyotsnA SrIH prItiH aFgadA pUrNA pUrNA-amRtA ca-iti candra-kalAH aByarcya
   agnīśāsuravāyuṣu madhye dikṣu ca ṣaḍaṅgāni vinyasya astreṇa saṃrakṣya	agnISa-asura-vAyuzu maDye dikzu ca zaz-aFgAni vinyasya astreNa saMrakzya
   kavacenāvakuṇṭhya dhenuyonī pradarśya mūlamantreṇa saptaśo 'bhimantrya	kavacena-avakuNWya Denu-yonI pradarSya mUlamantreNa saptaSaH aBimantrya
   tajjalavipruḍbhiḥ yāgagṛhaṃ pūjopakaraṇāni cāvokṣya || Parks_6.18 ||	tad-jala-vipruxBiH yAga-gRham pUjA-upakaraNAni ca-avokzya || ParkH-_6.18 ||
   tābhir īkārāṅkitatrikoṇavṛttacaturasraṃ maṇḍalaṃ vidhāya tasmin puṣpāṇi	tABiH IkAra-aFkita-trikoNa-vRtta-caturasram maNxalam viDAya tasmin puzpANi
   vikīrya pūrvavad ādhāraṃ pratiṣṭhāpya agnikalā abhyarcya pātraṃ	vikIrya pUrvavat ADAram pratizWApya agni-kalAH aByarcya pAtram
   pratiṣṭhāpya tasmin pātre hrīṃ aiṃ mahālakṣmīśvari paramasvāmini ūrdhva	pratizWApya tasmin pAtre hrIm Em mahAlakzmISvari parama-svAmini UrDva-
   [199] śūnyapravāhini somasūryāgnibhakṣiṇi paramākāśabhāsure āgacchāgaccha	[199] SUnya-pravAhini soma-sUrya-agni-BakziNi parama-AkASa-BAsure AgacCa-AgacCa
   viśa viśa pātraṃ pratigṛhṇa pratigṛhṇa huṃ phaṭ svāheti puṣpāñjaliṃ	viSa viSa pAtram pratigRhNa pratigRhNa hum Paw svAhA-iti puzpa-aQjalim
   vikīrya sūryakalā abhyarcya	vikIrya sUrya-kalAH aByarcya
   brahmāṇḍākhaṇḍasambhūtam aśeṣarasasambhṛtam |	brahmANxa-aKaNxa-samBUtam aSeza-rasa-samBRtam |
   āpūritaṃ mahāpātraṃ pīyūṣarasam āvaha ||	ApUritam mahA-pAtram pIyUza-rasam Avaha ||
   ity ādimam āpūrya dvitīyaṃ nikṣipya akathāditrirekhāṅkitakoṇatraye	iti Adimam ApUrya dvitIyam nikzipya akaTA-Adi-tri-reKA-aFkita-koNa-traye
   halakṣān madhye haṃsaṃ ca vilikhya mūlena daśadhā abhimantrya candrakalāḥ	halakzAn maDye haMsam ca viliKya mUlena daSaDA aBimantrya candra-kalAH
   abhyarcya agnīśāsuravāyuṣu madhye dikṣu, ṣaḍaṅgāni vinyasya astreṇa	aByarcya agnISa-asura-vAyuzu maDye dikzu, zaz-aFgAni vinyasya astreNa
   saṃrakṣya kavacenāvakuṇṭhya, dhenuyonī pradarśayet || Parks_6.19 ||	saMrakzya kavacena-avakuNWya, Denu-yonI pradarSayet || ParkH-_6.19 ||
   cakramadhye śrīmātam uktvā gīśvarīmūrtaye namaḥ iti mūrtiṃ kalpayitvā	cakra-maDye SrI-mAtam uktvA gISvarI-mUrtaye namaH iti mUrtim kalpayitvA
   bhūyaḥ śrīmātam uktvā gīśvaryamṛtacaitanyam āvāhayāmi ity āvāhya,	BUyas SrI-mAtam uktvA gISvari-amRta-cEtanyam AvAhayAmi iti AvAhya,
