   haṭha-yoga-pradīpikā	haWa-yoga--pradIpikA
   yāvat-tulyā bhavet saṅkhyā tato mudrāṃ visarjayet // HYP_3.15 //	yAvat--tulyA Bavet saFKyA tatas mudrAm visarjayet // HYc-_3.15 //
   na hi pathyam apathyaṃ vā rasāḥ sarve'pi nīrasāḥ /	na hi paTyam apaTyam vA rasAH sarve-api nIrasAH /
   api bhuktaṃ viṣaṃ ghoraṃ pīyūṣam api jīryati // HYP_3.16 //	api Buktam vizam Goram pIyUzam api jIryati // HYc-_3.16 //
   kṣaya-kuṣṭha-gudāvarta-gulmājīrṇa-purogamāḥ /	kzaya--kuzWa--guda-Avarta-gulma-ajIrNa--purogamAH /
   tasya doṣāḥ kṣayaṃ yānti mahāmudrāṃ tu yo'bhyaset // HYP_3.17 //	tasya dozAH kzayam yAnti mahAmudrAm tu yaH-aByaset // HYc-_3.17 //
   kathiteyaṃ mahāmudrā mahā-siddhi-karā nṝṇām /	kaTitA-iyam mahAmudrA mahA--sidDi--karAH nLNAm /
   gopanīyā prayatnena na deyā yasya kasyacit // HYP_3.18 //	gopanIyA prayatnena na deyA yasya kasyacid // HYc-_3.18 //
   atha mahā-bandhaḥ-	aTa mahA-banDaH-
   pārṣṇiṃ vāmasya pādasya yoni-sthāne niyojayet /	pArzNim vAmasya pAdasya yoni-sTAne niyojayet /
   vāmorūpari saṃsthāpya dakṣiṇaṃ caraṇaṃ tathā // HYP_3.19 //	vAma-Uru-upari saMsTApya dakziNam caraNam taTA // HYc-_3.19 //
   pūrayitvā tato vāyuṃ hṛdaye cubukaṃ dṛḍham /	pUrayitvA tatas vAyum hRdaye cubukam dRXam /
   niṣpīḍyaṃ vāyum ākuñcya mano-madhye niyojayet // HYP_3.20 //	nizpIxyam vAyum AkuQcya mano--maDye niyojayet // HYc-_3.20 //
   dhārayitvā yathā-śakti recayed anilaṃ śanaiḥ /	DArayitvA yaTA-Sakti recayet anilam SanEs /
   savyāṅge tu samabhyasya dakṣāṅge punar abhyaset // HYP_3.21 //	savya-aFge tu samaByasya dakza-aFge punar aByaset // HYc-_3.21 //
   matam atra tu keṣāṃcit kaṇṭha-bandhaṃ vivarjayet /	matam atra tu kezAMcid kaNWa-banDam vivarjayet /
   rāja-danta-stha-jihvāyā bandhaḥ śasto bhaved iti // HYP_3.22 //	rAja--danta--sTa-jihvAyAH banDaH SastaH Bavet iti // HYc-_3.22 //
   ayaṃ tu sarva-nāḍīnām ūrdhvaṃ gati-nirodhakaḥ /	ayam tu sarva-nAxInAm UrDvam gati-niroDakaH /
   ayaṃ khalu mahā-bandho mahā-siddhi-pradāyakaḥ // HYP_3.23 //	ayam Kalu mahA-a-banDaH mahA--sidDi-pradAyakaH // HYc-_3.23 //
   kāla-pāśa-mahā-bandha-vimocana-vicakṣaṇaḥ /	kAla-pASa--mahA-banDa--vimocana--vicakzaNaH /
   triveṇī-saṅgamaṃ dhatte kedāraṃ prāpayen manaḥ // HYP_3.24 //	triveNI--saFgamam Datte kedAram prApayet manaH // HYc-_3.24 //
   rūpa-lāvaṇya-sampannā yathā strī puruṣaṃ vinā /	rUpa-lAvaNya--sampannA yaTA strI puruzam vinA /
   mahā-mudrā-mahā-bandhau niṣphalau vedha-varjitau // HYP_3.25 //	mahA-mudrA--mahA-banDO nizPalO veDa--varjitO // HYc-_3.25 //
   atha mahā-vedhaḥ-	aTa mahA-veDaH-
   mahā-bandha-sthito yogī kṛtvā pūrakam eka-dhīḥ /	mahA-a-banDa--sTitaH yogI kRtvA pUrakam eka-DIH /
   vāyūnāṃ gatim āvṛtya nibhṛtaṃ kaṇṭha-mudrayā // HYP_3.26 //	vAyUnAm gatim AvRtya niBRtam kaNWa--mudrayA // HYc-_3.26 //
   sama-hasta-yugo bhūmau sphicau sanāḍayec chanaiḥ /	sama-hasta-yugaH BUmO sPicO sanAxayet SanEs /
   puṭa-dvayam atikramya vāyuḥ sphurati madhyagaḥ // HYP_3.27 //	puwa--dvayam atikramya vAyuH sPurati maDya-gaH // HYc-_3.27 //
   soma-sūryāgni-sambandho jāyate cāmṛtāya vai /	soma--sUrya-agni--sambanDaH jAyate ca-amRtAya vE /
   mṛtāvasthā samutpannā tato vāyuṃ virecayet // HYP_3.28 //	mRta-avasTA samutpannA tatas vAyum virecayet // HYc-_3.28 //
   mahā-vedho'yam abhyāsān mahā-siddhi-pradāyakaḥ /	mahA-a-veDaH-ayam aByAsAt mahA--sidDi-pradAyakaH /
   valī-palita-vepa-ghnaḥ sevyate sādhakottamaiḥ // HYP_3.29 //	valI--palita--vepa--GnaH sevyate sADaka-uttamEH // HYc-_3.29 //
   etat trayaṃ mahā-guhyaṃ jarā-mṛtyu-vināśanam /	etat trayam mahA--guhyam jarA--mRtyu--vinASanam /
   vahni-vṛddhi-karaṃ caiva hy aṇimādi-guṇa-pradam // HYP_3.30 //	vahni-vRdDi-karam ca-eva hi aNima-Adi--guNa--pradam // HYc-_3.30 //
   aṣṭadhā kriyate caiva yāme yāme dine dine /	azwaDA kriyate ca-eva yAme yAme dine dine /
   puṇya-saṃbhāra-sandhāya pāpaugha-bhiduraṃ sadā /	puNya--saMBAra--sanDAya pApa-oGa--Biduram sadA /
   samyak-śikṣāvatām evaṃ svalpaṃ prathama-sādhanam // HYP_3.31 //	samyak--SikzAvatAm evam su-alpam praTama--sADanam // HYc-_3.31 //
   atha khecarī-	aTa KecarI-
   kapāla-kuhare jihvā praviṣṭā viparītagā /	kapAla-kuhare jihvA pravizwA viparIta-gAH /
   bhruvor antargatā dṛṣṭir mudrā bhavati khecarī // HYP_3.32 //	BruvoH antargatA dRzwiH mudrA Bavati KecarI // HYc-_3.32 //
   chedana-cālana-dohaiḥ kalāṃ krameṇātha vardhayet tāvat /	Cedana--cAla-na-dohEH kalAm krameNa-aTa varDayet tAvat /
   sā yāvad bhrū-madhyaṃ spṛśati tadā khecarī-siddhiḥ // HYP_3.33 //	sA yAvat BrU-maDyam spRSati tadA KecarI--sidDiH // HYc-_3.33 //
   snuhī-patra-nibhaṃ śastraṃ sutīkṣṇaṃ snigdha-nirmalam /	snuhI--patra--niBam Sastram su-tIkzNam snigDa--nirmalam /
   samādāya tatas tena roma-mātraṃ samucchinet // HYP_3.34 //	samAdAya tatas tena roma--mAtram samucCinet // HYc-_3.34 //
   tataḥ saindhava-pathyābhyāṃ cūrṇitābhyāṃ pragharṣayet /	tatas sEnDava--paTyAByAm cUrNitAByAm praGarzayet /
   punaḥ sapta-dine prāpte roma-mātraṃ samucchinet // HYP_3.35 //	punar sapta-dine prApte roma--mAtram samucCinet // HYc-_3.35 //
   evaṃ krameṇa ṣaṇ-māsaṃ nityaṃ yuktaḥ samācaret /	evam krameNa zaN-mAsam nityam yuktaH samAcaret /
   ṣaṇmāsād rasanā-mūla-śirā-bandhaḥ praṇaśyati // HYP_3.36 //	zaz-mAsAt rasanA--mUla--SirA--banDaH praNaSyati // HYc-_3.36 //
   kalāṃ parāṅmukhīṃ kṛtvā tripathe pariyojayet /	kalAm parAFmuKIm kRtvA tripaTe pariyojayet /
   sā bhavet khecarī mudrā vyoma-cakraṃ tad ucyate // HYP_3.37 //	sA Bavet KecarI mudrA vyoma-cakram tat ucyate // HYc-_3.37 //
   rasanām ūrdhvagāṃ kṛtvā kṣaṇārdham api tiṣṭhati /	rasanAm UrDva-gAm kRtvA kzaNa-arDam api tizWati /
   viṣair vimucyate yogī vyādhi-mṛtyu-jarādibhiḥ // HYP_3.38 //	vizEH vimucyate yogI vyADi--mRtyu--jarA-AdiBiH // HYc-_3.38 //
   na rogo maraṇaṃ tandrā na nidrā na kṣudhā tṛṣā /	na rogaH maraNam tandrA na nidrA na kzuDA tRzA /
   na ca mūrcchā bhavet tasya yo mudrāṃ vetti khecarīm // HYP_3.39 //	na ca mUrcCA Bavet tasya yaH mudrAm vetti KecarIm // HYc-_3.39 //
   pīḍyate na sa rogeṇa lipyate na ca karmaṇā /	pIxyate na sa rogeNa lipyate na ca karmaNA /
   bādhyate na sa kālena yo mudrāṃ vetti khecarīm // HYP_3.40 //	bADyate na sa kAlena yaH mudrAm vetti KecarIm // HYc-_3.40 //
   cittaṃ carati khe yasmāj jihvā carati khe gatā /	cittam carati Ke yasmAt jihvA carati Ke gatAH /
   tenaiṣā khecarī nāma mudrā siddhair nirūpitā // HYP_3.41 //	tena-ezA KecarI nAma mudrA sidDEH nirUpitAH // HYc-_3.41 //
   khecaryā mudritaṃ yena vivaraṃ lambikordhvataḥ /	KecaryA mudritam yena vivaram lambikA-UrDvatas /
   na tasya kṣarate binduḥ kāminyāḥ śleṣitasya ca // HYP_3.42 //	na tasya kzarate binduH kAminyAH Slezitasya ca // HYc-_3.42 //
   calito'pi yadā binduḥ samprāpto yoni-maṇḍalam /	calitaH-api yadA binduH samprAptaH yoni--maNxalam /
   vrajaty ūrdhvaṃ hṛtaḥ śaktyā nibaddho yoni-mudrayā // HYP_3.43 //	vrajati UrDvam hRtaH SaktyA nibadDaH yoni-mudrayA // HYc-_3.43 //
   ūrdhva-jihvaḥ sthiro bhūtvā somapānaṃ karoti yaḥ /	UrDva-jihvaH sTiraH BUtvA soma-pAnam karoti yaH /
   māsārdhena na sandeho mṛtyuṃ jayati yogavit // HYP_3.44 //	mAsa-arDena na sandehaH mRtyum jayati yoga-vid // HYc-_3.44 //
   nityaṃ soma-kalā-pūrṇaṃ śarīraṃ yasya yoginaḥ /	nityam soma-kalA--pUrNam SarIram yasya yoginaH /
   takṣakeṇāpi daṣṭasya viṣaṃ tasya na sarpati // HYP_3.45 //	takzakeNa-api dazwasya vizam tasya na sarpati // HYc-_3.45 //
   indhanāni yathā vahnis taila-varti ca dīpakaḥ /	inDanAni yaTA vahniH tEla-varti ca dIpakaH /
   tathā soma-kalā-pūrṇaṃ dehī dehaṃ na muñcati // HYP_3.46 //	taTA soma-kalA--pUrNam dehI deham na muQcati // HYc-_3.46 //
   gomāṃsaṃ bhakṣayen nityaṃ pibed amara-vāruṇīm /	go-mAMsam Bakzayet nityam pibet amara-vAruNIm /
   kulīnaṃ tam ahaṃ manye cetare kula-ghātakāḥ // HYP_3.47 //	kulInam tam aham manye ca-itare kula-GAtakAH // HYc-_3.47 //
   go-śabdenoditā jihvā tat praveśo hi tāluni /	go--Sabdena-uditA jihvA tat praveSaH hi tAluni /
   go-māṃsa-bhakṣaṇaṃ tat tu mahā-pātaka-nāśanam // HYP_3.48 //	go--mAMsa--BakzaNam tat tu mahA-pAtaka-nASanam // HYc-_3.48 //
   jihvā-praveśa-sambhūta-vahninotpāditaḥ khalu /	jihvA--praveSa--samBUta--vahninA-utpAditaH Kalu /
   candrāt sravati yaḥ sāraḥ sā syād amara-vāruṇī // HYP_3.49 //	candrAt sravati yaH sAraH sA syAt amara-vAruNI // HYc-_3.49 //
   cumbantī yadi lambikāgram aniśaṃ jihvā-rasa-syandinī	cumbantI yadi lambikA-agram aniSam jihvA-rasa-syandinI
   sa-kṣārā kaṭukāmla-dugdha-sadṛśī madhvājya-tulyā tathā /	sa-kzArA kawuka-amla--dugDa--sadRSI maDu-Ajya--tulyA taTA /
   vyādhīnāṃ haraṇaṃ jarānta-karaṇaṃ śastrāgamodīraṇaṃ	vyADInAm haraNam jarA-anta-karaNam Sastra-Agama-udIraNam
   tasya syād amaratvam aṣṭa-guṇitaṃ siddhāṅganākarṣaṇam // HYP_3.50 //	tasya syAt amara-tvam azwa--guNitam sidDa-aFganA-AkarzaNam // HYc-_3.50 //
   mūrdhnaḥ ṣoḍaśa-patra-padma-galitaṃ prāṇād avāptaṃ haṭhād	mUrDnaH zoxaSa-patra--padma--galitam prANAt avAptam haWAt-
   ūrdvhāsyo rasanāṃ niyamya vivare śaktiṃ parāṃ cintayan /	UrdvhAsyaH rasanAm niyamya vivare Saktim parAm cintayan /
   utkallola-kalā-jalaṃ ca vimalaṃ dhārāmayaṃ yaḥ piben	utkallola--kalA--jalam ca vimalam DArA-mayam yaH pibet-
   nirvyādhiḥ sa mṛṇāla-komala-vapur yogī ciraṃ jīvati // HYP_3.51 //	nirvyADiH sa mRNAla--komala-vapuH yogI ciram jIvati // HYc-_3.51 //
   yat prāleyaṃ prahita-suṣiraṃ meru-mūrdhāntara-sthaṃ	yat prAleyam prahita-suziram meru--mUrDa-antara--sTam
   tasmiṃs tattvaṃ pravadati sudhīs tan-mukhaṃ nimnagānām /	tasmin tattvam pravadati suDIH tan-muKam nimnagAnAm /
   candrāt sāraḥ sravati vapuṣas tena mṛtyur narāṇāṃ	candrAt sAraH sravati vapuzaH tena mRtyuH narANAm
   tad badhnīyāt sukaraṇam adho nānyathā kāya-siddhiḥ // HYP_3.52 //	tat baDnIyAt su-karaNam aDas na-anyaTA kAya--sidDiH // HYc-_3.52 //
   suṣiraṃ jñāna-janakaṃ pañca-srotaḥ-samanvitam /	suziram jQAna--janakam paQca-srotaH--samanvitam /
   tiṣṭhate khecarī mudrā tasmin śūnye nirañjane // HYP_3.53 //	tizWate KecarI mudrA tasmin SUnye niraQjane // HYc-_3.53 //
   ekaṃ sṛṣṭimayaṃ bījam ekā mudrā ca khecarī /	ekam sRzwi-mayam bIjam ekA mudrA ca KecarI /
   eko devo nirālamba ekāvasthā manonmanī // HYP_3.54 //	ekaH devaH nirAlambaH eka-avasTA manonmanI // HYc-_3.54 //
   atha uḍḍīyāna-bandhaḥ-	aTa uxxIya-ana-banDaH-
   baddho yena suṣumṇāyāṃ prāṇas tūḍḍīyate yataḥ /	badDaH yena suzumNAyAm prANaH tu-uxxIyate yatas /
   tasmād uḍḍīyanākhyo'yaṃ yogibhiḥ samudāhṛtaḥ // HYP_3.55 //	tasmAt uxxIyana-AKyaH-ayam yogiBiH samudAhRtaH // HYc-_3.55 //
   uḍḍīnaṃ kurute yasmād aviśrāntaṃ mahā-khagaḥ /	uxxInam kurute yasmAt aviSrAntam mahA-KagaH /
   uḍḍīyānaṃ tad eva syāt tava bandho'bhidhīyate // HYP_3.56 //	uxxIyAnam tat eva syAt tava banDaH-aBiDIyate // HYc-_3.56 //
   udare paścimaṃ tānaṃ nābher ūrdhvaṃ ca kārayet /	udare paScimam tAnam nABeH UrDvam ca kArayet /
   uḍḍīyāno hy asau bandho mṛtyu-mātaṅga-kesarī // HYP_3.57 //	uxxIyAnaH hi asO banDaH mRtyu--mAtaFga-kesarI // HYc-_3.57 //
   uḍḍīyānaṃ tu sahajaṃ guruṇā kathitaṃ sadā /	uxxIyAnam tu sahajam guruNA kaTitam sadA /
   abhyaset satataṃ yas tu vṛddho'pi taruṇāyate // HYP_3.58 //	aByaset satatam yaH tu vRdDaH-api taruNAyate // HYc-_3.58 //
   nābher ūrdhvam adhaś cāpi tānaṃ kuryāt prayatnataḥ /	nABeH UrDvam aDas ca-api tAnam kuryAt prayatnataH /
   ṣaṇmāsam abhyasen mṛtyuṃ jayaty eva na saṃśayaḥ // HYP_3.59 //	zaz-mAsam aByaset mRtyum jayati eva na saMSayaH // HYc-_3.59 //
   sarveṣām eva bandhānāṃ uttamo hy uḍḍīyānakaḥ /	sarvezAm eva banDAnAm uttamaH hi uxxIyAnakaH /
   uḍḍiyāne dṛḍhe bandhe muktiḥ svābhāvikī bhavet // HYP_3.60 //	uxxiyAne dRXe banDe muktiH svABAvikI Bavet // HYc-_3.60 //
   atha mūla-bandhaḥ-	aTa mUla-banDaH-
   pārṣṇi-bhāgena sampīḍya yonim ākuñcayed gudam /	pArzNi-BAgena sampIxya yonim AkuQcayet gudam /
   apānam ūrdhvam ākṛṣya mūla-bandho'bhidhīyate // HYP_3.61 //	apAnam UrDvam AkRzya mUla-banDaH-aBiDIyate // HYc-_3.61 //
   adho-gatim apānaṃ vā ūrdhvagaṃ kurute balāt /	aDas--gatim apAnam vA UrDva-gam kurute balAt /
   ākuñcanena taṃ prāhur mūla-bandhaṃ hi yoginaḥ // HYP_3.62 //	AkuQcanena tam prAhuH mUla-banDam hi yoginaH // HYc-_3.62 //
   gudaṃ pārṣṇyā tu sampīḍya vāyum ākuñcayed balāt /	gudam pArzNyA tu sampIxya vAyum AkuQcayet balAt /
   vāraṃ vāraṃ yathā cordhvaṃ samāyāti samīraṇaḥ // HYP_3.63 //	vAram vAram yaTA ca-UrDvam samAyAti samIraNaH // HYc-_3.63 //
   prāṇāpānau nāda-bindū mūla-bandhena caikatām /	prANa-apAnO nAda-bindU mUla-banDena ca-ekatAm /
   gatvā yogasya saṃsiddhiṃ yacchato nātra saṃśayaḥ // HYP_3.64 //	gatvA yogasya saMsidDim yacCataH na-atra saMSayaH // HYc-_3.64 //
   apāna-prāṇayor aikyaṃ kṣayo mūtra-purīṣayoḥ /	apAna--prANayoH Ekyam kzayaH mUtra--purIzayoH /
   yuvā bhavati vṛddho'pi satataṃ mūla-bandhanāt // HYP_3.65 //	yuvA Bavati vRdDaH-api satatam mUla-banDanAt // HYc-_3.65 //
   apāna ūrdhvage jāte prayāte vahni-maṇḍalam /	apAnaH UrDva-ge jAte prayAte vahni--maNxalam /
   tadānala-śikhā dīrghā jāyate vāyunāhatā // HYP_3.66 //	tadA-anala--SiKA dIrGA jAyate vAyunA-AhatA // HYc-_3.66 //
   tato yāto vahny-apānau prāṇam uṣṇa-svarūpakam /	tatas yAtaH vahni--apAnO prANam uzNa--svarUpakam /
   tenātyanta-pradīptas tu jvalano dehajas tathā // HYP_3.67 //	tena-atyanta--pradIptaH tu jvalanaH deha-jaH taTA // HYc-_3.67 //
   tena kuṇḍalinī suptā santaptā samprabudhyate /	tena kuNxalinI suptA santaptA samprabuDyate /
   daṇḍāhatā bhujaṅgīva niśvasya ṛjutāṃ vrajet // HYP_3.68 //	daNxa-AhatA BujaFgI-iva niSvasya Rju-tAm vrajet // HYc-_3.68 //
   bilaṃ praviṣṭeva tato brahma-nāḍyaṃ taraṃ vrajet /	bilam pravizwA-iva tatas brahma-nAxyam taram vrajet /
   tasmān nityaṃ mūla-bandhaḥ kartavyo yogibhiḥ sadā // HYP_3.69 //	tasmAt nityam mUla-banDaH kartavyaH yogiBiH sadA // HYc-_3.69 //
   atha jalandhara-bandhaḥ-	aTa jalanDara--banDaH-
   kaṇṭham ākuñcya hṛdaye sthāpayec cibukaṃ dṛḍham /	kaNWam AkuQcya hRdaye sTApayet cibukam dRXam /
   bandho jālandharākhyo'yaṃ jarā-mṛtyu-vināśakaḥ // HYP_3.70 //	banDaH jAlanDara-AKyaH-ayam jarA--mRtyu--vinASakaH // HYc-_3.70 //
   badhnāti hi sirājālam adho-gāmi nabho-jalam /	baDnAti hi sirA-jAlam aDas--gAmi naBo--jalam /
   tato jālandharo bandhaḥ kaṇṭha-duḥkhaugha-nāśanaḥ // HYP_3.71 //	tatas jAlanDaraH banDaH kaNWa--duHKa-oGa--nASanaH // HYc-_3.71 //
   jālandhare kṛte bandhe kaṇṭha-saṃkoca-lakṣaṇe /	jAlanDare kRte banDe kaNWa--saMkoca--lakzaNe /
   na pīyūṣaṃ pataty agnau na ca vāyuḥ prakupyati // HYP_3.72 //	na pIyUzam patati agnO na ca vAyuH prakupyati // HYc-_3.72 //
   kaṇṭha-saṃkocanenaiva dve nāḍyau stambhayed dṛḍham /	kaNWa--saMkocanena-eva dve nAxyO stamBayet dRXam /
   madhya-cakram idaṃ jñeyaṃ ṣoḍaśādhāra-bandhanam // HYP_3.73 //	maDya-cakram idam jQeyam zoxaSa-ADAra--banDanam // HYc-_3.73 //
   mūla-sthānaṃ samākuñcya uḍḍiyānaṃ tu kārayet /	mUla-sTAnam samAkuQcya uxxiyAnam tu kArayet /
   iḍāṃ ca piṅgalāṃ baddhvā vāhayet paścime pathi // HYP_3.74 //	ixAm ca piFgalAm badDvA vAhayet paScime paTi // HYc-_3.74 //
   anenaiva vidhānena prayāti pavano layam /	anena-eva viDAnena prayAti pavanaH layam /
   tato na jāyate mṛtyur jarā-rogādikaṃ tathā // HYP_3.75 //	tatas na jAyate mRtyuH jarA-roga-Adikam taTA // HYc-_3.75 //
   bandha-trayam idaṃ śreṣṭhaṃ mahā-siddhaiś ca sevitam /	banDa--trayam idam SrezWam mahA--sidDEH ca sevitam /
   sarveṣāṃ haṭha-tantrāṇāṃ sādhanaṃ yogino viduḥ // HYP_3.76 //	sarvezAm haWa-tantrANAm sADanam yoginaH viduH // HYc-_3.76 //
   yat kiṃcit sravate candrād amṛtaṃ divya-rūpiṇaḥ /	yat kiMcid sravate candrAt amRtam divya--rUpiNaH /
   tat sarvaṃ grasate sūryas tena piṇḍo jarāyutaḥ // HYP_3.77 //	tat sarvam grasate sUryaH tena piNxaH jarA-yutaH // HYc-_3.77 //
   atha viparīta-karaṇī mudrā-	aTa viparIta-karaNI mudrA-
   tatrāsti karaṇaṃ divyaṃ sūryasya mukha-vañcanam /	tatra-asti karaNam divyam sUryasya muKa--vaQcanam /
   gurūpadeśato jñeyaṃ na tu śāstrārtha-koṭibhiḥ // HYP_3.78 //	guru-upadeSataH jQeyam na tu SAstra-arTa--kowiBiH // HYc-_3.78 //
   ūrdhva-nābher adhas tālor ūrdhvaṃ bhānur adhaḥ śaśī /	UrDva-nABeH aDas tAloH UrDvam BAnuH aDas SaSI /
   karaṇī viparītākhā guru-vākyena labhyate // HYP_3.79 //	karaNI viparItA-AKA guru-vAkyena laByate // HYc-_3.79 //
   nityam abhyāsa-yuktasya jaṭharāgni-vivardhanī /	nityam aByAsa--yuktasya jaWara-agni-vivarDanI /
   āhāro bahulas tasya sampādyaḥ sādhakasya ca // HYP_3.80 //	AhAraH bahulaH tasya sampAdyaH sADakasya ca // HYc-_3.80 //
   alpāhāro yadi bhaved agnir dahati tat-kṣaṇāt /	alpa-AhAraH yadi Bavet agniH dahati tat-kzaNAt /
   adhaḥ-śirāś cordhva-pādaḥ kṣaṇaṃ syāt prathame dine // HYP_3.81 //	aDaH-SirAH ca-UrDva-pAdaH kzaNam syAt praTame dine // HYc-_3.81 //
   kṣaṇāc ca kiṃcid adhikam abhyasec ca dine dine /	kzaNAt ca kiMcid aDikam aByaset ca dine dine /
   valitaṃ palitaṃ caiva ṣaṇmāsordhvaṃ na dṛśyate /	valitam palitam ca-eva zaz-mAsa-UrDvam na dRSyate /
   yāma-mātraṃ tu yo nityam abhyaset sa tu kālajit // HYP_3.82 //	yAma--mAtram tu yaH nityam aByaset sa tu kAla-jit // HYc-_3.82 //
   atha vajrolī-	aTa vajrolI-
   svecchayā vartamāno'pi yogoktair niyamair vinā /	sva-icCayA vartamAnaH-api yoga-uktEH niyamEH vinA /
   vajrolīṃ yo vijānāti sa yogī siddhi-bhājanam // HYP_3.83 //	vajrolIm yaH vijAnAti sa yogI sidDi-BAjanam // HYc-_3.83 //
   tatra vastu-dvayaṃ vakṣye durlabhaṃ yasya kasyacit /	tatra vastu--dvayam vakzye durlaBam yasya kasyacid /
   kṣīraṃ caikaṃ dvitīyaṃ tu nārī ca vaśa-vartinī // HYP_3.84 //	kzIram ca-ekam dvitIyam tu nArI ca vaSa-vartinI // HYc-_3.84 //
   mehanena śanaiḥ samyag ūrdhvākuñcanam abhyaset /	mehanena SanEs samyak UrDva-AkuQcanam aByaset /
   puruṣo'py athavā nārī vajrolī-siddhim āpnuyāt // HYP_3.85 //	puruzaH-api aTavA nArI vajrolI--sidDim ApnuyAt // HYc-_3.85 //
   yatnataḥ śasta-nālena phūtkāraṃ vajra-kandare /	yatnatas Sasta-nAlena PUtkAram vajra--kandare /
   śanaiḥ śanaiḥ prakurvīta vāyu-saṃcāra-kāraṇāt // HYP_3.86 //	SanEs SanEs prakurvIta vAyu--saMcAra--kAraNAt // HYc-_3.86 //
   nārī-bhage padad-bindum abhyāsenordhvam āharet /	nArI--Bage padad--bindum aByAsena-UrDvam Aharet /
   calitaṃ ca nijaṃ bindum ūrdhvam ākṛṣya rakṣayet // HYP_3.87 //	calitam ca nijam bindum UrDvam AkRzya rakzayet // HYc-_3.87 //
   evaṃ saṃrakṣayed binduṃ jayati yogavit /	evam saMrakzayet bindum jayati yoga-vid /
   maraṇaṃ bindu-pātena jīvanaṃ bindu-dhāraṇāt // HYP_3.88 //	maraNam bindu--pAtena jIvanam bindu--DAraNAt // HYc-_3.88 //
   sugandho yogino dehe jāyate bindu-dhāraṇāt /	suganDaH yoginaH dehe jAyate bindu--DAraNAt /
   yāvad binduḥ sthiro dehe tāvat kāla-bhayaṃ kutaḥ // HYP_3.89 //	yAvat binduH sTiraH dehe tAvat kAla-Bayam kutas // HYc-_3.89 //
   cittāyattaṃ nṝṇāṃ śukraṃ śukrāyattaṃ ca jīvitam /	citta-Ayattam nLNAm Sukram Sukra-Ayattam ca jIvitam /
   tasmāc chukraṃ manaś caiva rakṣaṇīyaṃ prayatnataḥ // HYP_3.90 //	tasmAt Sukram manaH ca-eva rakzaNIyam prayatnataH // HYc-_3.90 //
   ṛtumatyā rajo'py evaṃ nijaṃ binduṃ ca rakṣayet /	RtumatyAH rajaH-api evam nijam bindum ca rakzayet /
   meḍhreṇākarṣayed ūrdhvaṃ samyag abhyāsa-yoga-vit // HYP_3.91 //	meXreNa-Akarzayet UrDvam samyak aByAsa--yoga-vid // HYc-_3.91 //
   atha sahajoliḥ-	aTa sahajoliH-
   sahajoliś cāmarolir vajrolyā bheda ekataḥ /	sahajoliH ca-amaroliH vajrolyAH BedaH ekatas /
   jale subhasma nikṣipya dagdha-gomaya-sambhavam // HYP_3.92 //	jale su-Basma nikzipya dagDa--gomaya-samBavam // HYc-_3.92 //
   vajrolī-maithunād ūrdhvaṃ strī-puṃsoḥ svāṅga-lepanam /	vajrolI--mETunAt UrDvam strI--puMsoH sva-aFga--lepanam /
   āsīnayoḥ sukhenaiva mukta-vyāpārayoḥ kṣaṇāt // HYP_3.93 //	AsInayoH suKena-eva mukta--vyApArayoH kzaNAt // HYc-_3.93 //
   sahajolir iyaṃ proktā śraddheyā yogibhiḥ sadā /	sahajoliH iyam proktA SradDeyAH yogiBiH sadA /
   ayaṃ śubha-karo yogo bhoga-yukto'pi muktidaḥ // HYP_3.94 //	ayam SuBa-karaH yogaH Boga--yuktaH-api mukti-daH // HYc-_3.94 //
   ayaṃ yogaḥ puṇyavatāṃ dhīrāṇāṃ tattva-darśinām /	ayam yogaH puNyavatAm DIrANAm tattva--darSinAm /
   nirmatsarāṇāṃ vai sidhyen na tu matsara-śālinām // HYP_3.95 //	nirmatsarANAm vE siDyet na tu matsara--SAlinAm // HYc-_3.95 //
   atha amarolī-	aTa amarolI-
   pittolbaṇatvāt prathamāmbu-dhārāṃ	pitta-ulbaNa-tvAt praTama-ambu--DArAm
   vihāya niḥsāratayānty adhārām /	vihAya niHsAratayAnti aDArAm /
   niṣevyate śītala-madhya-dhārā	nizevyate SItala--maDya--DArA
   kāpālike khaṇḍamate'marolī // HYP_3.96 //	kApAlike KaNxa-mate-amarolI // HYc-_3.96 //
   amarīṃ yaḥ piben nityaṃ nasyaṃ kurvan dine dine /	amarIm yaH pibet nityam nasyam kurvan dine dine /
   vajrolīm abhyaset samyak sāmarolīti kathyate // HYP_3.97 //	vajrolIm aByaset samyak sAmarolI-iti kaTyate // HYc-_3.97 //
   abhyāsān niḥsṛtāṃ cāndrīṃ vibhūtyā saha miśrayet /	aByAsAt niHsRtAm cAndrIm viBUtyA saha miSrayet /
   dhārayed uttamāṅgeṣu divya-dṛṣṭiḥ prajāyate // HYP_3.98 //	DArayet uttamAFgezu divya-dRzwiH prajAyate // HYc-_3.98 //
   puṃso binduṃ samākuñcya samyag abhyāsa-pāṭavāt /	puMsaH bindum samAkuQcya samyak aByAsa--pAwavAt /
   yadi nārī rajo rakṣed vajrolyā sāpi yoginī // HYP_3.99 //	yadi nArI rajaH rakzet vajrolyA sA-api yoginI // HYc-_3.99 //
