   prathamas+sargas+	praTama-s+sarga-s+
   iti+ariṣṭaripukūjitais+tamas+dyām+bruvāṇam+iva dūram+udyayau // Rc_2.56 //	iti+arizwaripu-kUjita-Es+tama-s+dyAm+bruvANam-+iva dUram-+udyayO // Rt-_2.56 //
   kevalam+śakunayas+na nīḍagās+śākhinas+api śayitās+samantataḥ &	kevalam-+Sakunayas+na nIxa-gAs+-SAKina-s+api SayitAs+-samantataH &
   jajñire timirataskarāvalīlupyamānavibhavās+ca bhūbhṛtaḥ // Rc_2.57 //	jajQire timira-taskara-avalI-lupyamAna-viBavAs+-ca BUBRtaH // Rt-_2.57 //
   na sthalī na pulinam+na sindhavas+na+acalās+na taravas+cakāśire &	na sTalI na pulinam+na sinDavas+na+a-calAs+na taravas+cakASire &
   dūṣitadvitayavādam+udbabhau+ekam+eva timiram+vibhūtimat // Rc_2.58 //	dUzita-dvitaya-vAdam-+udbaBO+ekam-+eva timiram-+viBUtimat // Rt-_2.58 //
   tatra mugdhapṛṣatas+tamoghane pārśvagām+api mṛgīm+ahārayat &	tatra mugDa-pRzata-s+tamaH-Gane pArSva-gAm+-api mRgIm-+ahArayat &
   prāpa kokayuvatis+yadṛcchayā patyus+ādhitaralasya saṃgamam // Rc_2.59 //	prApa koka-yuvati-s+ya-dRcCayA patyu-s+ADi-taralasya saMgamam // Rt-_2.59 //
   vṛddham+aṅkam+anayat+śiśubhramāt+cumbati sma dayitā+iti yūthapam &	vRdDam-+aFka-m+anayat+SiSuBra-mAt+cumbati sma dayitA+-iti yUTapam &
   svīyam+api+uditasaṃśayas+śanais+aṅgam+aṅgam+amṛśat+valīmukhaḥ // Rc_2.60	svIyam-+api-+udita-saMSaya-s+Sa-nEs+aFgam-+aFgam+a-mRSat+-valI-muKaH // Rt-_2.60
   sarvatas+parigatā+iva parvatais+ācitā+iva tarubhis+nirantaram &	sarvatas+-parigatA+-iva parvatEs+AcitA+-iva taruBis+-nirantaram &
   āplutā+iva salilais+itas+tatas+śakyate sma cirasaṃstutā+api bhūḥ //	AplutA+iva salila-es+ita-s+tatas+Sakyate sma cira-saMstutA+-api BUH //
   Rc_2.61 //	Rt-_2.61 //
   dikṣu dakṣam+avanau+anākulam+khe+atikhelam+aṭavīṣu bhīṣaṇam &	dikzu dakzam+avanO+ana-Akula-m+Ke+ati-Kelam-+awavIzu BIzaNam &
   mattam+adriṣu darīṣu durjayam+prādurāsa viṣame samam+tamaḥ // Rc_2.62 //	mattam+adrizu darIzu durjayam-+prAdurAsa vizame samam-+tamaH // Rt-_2.62 //
   bhejus+aikyam+iva tulyavaiśasās+sāyam+eva malinais+mukhais+diśaḥ &	Beju-s+Ekyam-+iva tulya-vESasAs+sAyam+eva malina-es+muKa-es+diSaH &
   gṛhyamāṇaśikharā tamaścayais+dyaus+papāta vasudhāsakhītale // Rc_2.63 //	gRhyamANa-SiKarA tamaH-cayEs+dya-os+papAta vasuDA-saKI-tale // Rt-_2.63 //
   pratyabhāt+na puratas+na pṛṣṭhatas+pārśvayos+ca viśadam+na kiṃcana &	pratyaBAt+na puratas+na pRzWatas+-pArSvayoH-+ca viSadam+na kiMcana &
   vyānaśe bhuvanam+añjanācalaprasthapaṅktinibiḍam+niśātamaḥ // Rc_2.64 //	vyAnaSe Buvanam-+aQjana-acala-prasTa-paFkti-nibixa-m+niSAtamaH // Rt-_2.64 //
   na dvitīyam+anubhūyate sma vastu+antikāt+api tamas+tiraskṛtam &	na dvitIyam-+anuBUyate sma vastu+antikAt+api tamas+tiraskRtam &
   kevalātmaviṣayam+tadā+abhavat+jñānam+ulbaparivāsinām+iva // Rc_2.65 //	kevala-Atma-vizayam+tadA+aBavat+-jQAnam-+ulba-parivAsinAm-+ivaH // Rt-_2.65 //
   dūramiśritaparasparāṅgakais+api+ayogajanitajvarais+iva &	dUra-miSrita-paraspara-aFga-kEs+api+a-yoga-janita-jvarEs+ivaH &
   durlabhānanavilokanāmṛtais+dūyate sma mithunais+mithas+bhṛśam // Rc_2.66	durlaBa-Anana-vilokana-amRtEs+dUyate sma miTunEs+miTas+-BRSam // Rt-_2.66
   sas+atiśītahimaśīkaras+marut+nūnam+ulmukacayān+avākirat &	sas+ati-SIta-hima-SIka-ras+-marut+-nUnam-+ulmuka-cayAn-+avAkirat &
   yat+cukūja bhṛśam+ārtikāhalam+cakravākayuvatis+tapasvinī // Rc_2.67 //	yat+cukUja BRSa-m+ArtikAhalam-+cakravAka-yuvati-s+tapasvinI // Rt-_2.67 //
   uccacāra na vanasthalīṣu+asau marmaras+patitapatranisvanaḥ &	uccacAra na vana-sTalIzu+asO marma-ras+patita-patra-nisvanaH &
   na+avirāsa karikṛṣṭasallakībhaṅgayonis+asakṛt+caṭatkṛtiḥ // Rc_2.68 //	na+a-virAsa kari-kRzwa-sallakI-BaFga-yoni-s+asa-kRt+-cawatkRtiH // Rt-_2.68 //
   tasthus+āsthitamanuṣyamūrtayas+yāmikās+iva vidūratas+adrayaḥ &	tasTu-s+AsTita-manuzya-mUrtayas+yAmikA-s+iva vidUratas+a-drayaH &
   prahvabālaviṭapāgrapāṇayas+tau parītya taravas+siṣevire // Rc_2.69 //	prahva-bAla-viwapa-agra-pANaya-s+tO parItya taravas+-sizevire // Rt-_2.69 //
   drāk+nidāgham+anudadrajas+adhunāt+viślathām+bṛhatikām+asārayat &	drAk+nidA-Gam+anudat-raja-s+aDunAt+viSlaTAm+bRhatikAm+asArayat &
   pratyapadyata vanānilas+tayos+ekasannihitayāmikavratam // Rc_2.70 //	pratyapadyata vana-anila-s+tayos+eka-sannihita-yAmika-vratam // Rt-_2.70 //
   sānujasya tamasi pramīlatas+tasya bhāvimamatāhṛtās+iva &	sa-anujasya tamasi pramIlata-s+tasya BAvim-amatA-hRta-as+iva &
   ujjvalāyataviṣāṇasūcitās+cakrire parikaram+mataṅgajāḥ // Rc_2.71 //	ujjvala-Ayata-vizANa-sUcita-as+cakrire parikaram+mataFga-jAH // Rt-_2.71 //
   dīpakṛtyam+akarot+upāntike niṣprakamparuciroṣadhīgaṇaḥ &	dIpa-kRti-am+akarot-+upAntike nizprakampa-rucira-uzaDI-gaNaH &
   tenus+adrivanamadhyasuptayos+maṅgalāni vanadevatās+tayoḥ // Rc_2.72 //	tenu-s+adri-vana-maDya-suptayos+-maFgalAni vana-devatA-s+tayoH // Rt-_2.72 //
   ehi jānaki bhujāntaram+kharas+prastaras+ayam+asi kim+parāṅmukhī &	ehi jAnaki BujAntara-m+Ka-ras+prastara-s+ayam-+asi kim-+parAFmuKI &
   matkapolam+upadhāya supyatām+aprasaktis+iyatī kadā nu te // Rc_2.73 //	mad-kapolam-+upaDAya supya-tAm+a-prasakti-s+iyatI kadA nu te // Rt-_2.73 //
   kṣiptam+aṃśukam+idam+mayā+urasi prīyatām+tava nirānandas+stanaḥ &	kziptam-+aMSukam-+idam-+mayA-a+urasi prIyatAm+tava nirAnanda-s+stanaH &
   nīvinodini kare kuru kṣamām+āyatākṣi nudasi+iva kim+punaḥ // Rc_2.74 //	nIvinodini kare kuru kzamAm+a-Ayata-akzi nudasi+iva kim+punaH // Rt-_2.74 //
   suptavākyam+iti maithilīpates+maithilīvirahadūyamānayā &	supta-vAkyam-+iti mETilI-pates+mETilI-viraha-dUyamAnayA &
   diksakhīnivahavāritāsrayā śuśruve vasudhayā+upasannayā // Rc_2.75 //	diS-saKI-nivaha-vArita-asrayA SuSruve vasuDayA-a+upasannayA // Rt-_2.75 //
   mat+bibheti virahī raghūdvahas+mat+vinā ca na jagat+pramodate &	mat+biBeti virahI raGu-udvahas+mat+vinA ca na jagat+-pramodate &
   tat+karomi kim+iti+iva cintayan+na+ujjagāma sahasā niśākaraḥ // Rc_2.76 //	tat+karomi kim-+iti+-iva cintayan+na+-ujjagAma sahasA niSAkaraH // Rt-_2.76 //
   na sma bhāti kim+api sphuṭam+puras+kiṃcit+īritakareṇa kevalam &	na sma BAti kim-+api sPuwam-+puras+-kiMcit+Irita-kareNa kevalam &
   dṛśyate sma divi dūravartinā tarjyamānam+iva kenacit+tamaḥ // Rc_2.77 //	dRSyate sma divi dUra-vartinA tarjyamAnam-+iva kenacit+tamaH // Rt-_2.77 //
   jāyate sma ghanamālatīguṇaśreṇigarbhakabarīmanoharam &	jAyate sma Gana-mAlatI-guNa-SreNi-garBa-kabarI-manoharam &
   meghavāhanadigaṅganāmukhe mugdhacandrakarakarburam+tamaḥ // Rc_2.78 //	meGavAhana-digaFganA-muKe mugDa-candra-kara-karburam-+tamaH // Rt-_2.78 //
   sānurāgam+upagūḍham+agrimais+aṃśubhis+śaśabhṛtas+davīyasaḥ &	sa-anurAgam+upagUXam+agri-mEs+aMSuBi-s+SaSaBRta-s+davIyasaH &
   unnanāma namucidviṣas+diśi srastastaṃtamasabhāram+ambaram // Rc_2.79 //	unna-nAma namucit-viza-s+diSi srasta-staMtama-sa-BAram-+ambaram // Rt-_2.79 //
   ujjvalāgrakiraṇapraveśakaproktasatvarasamāgamas+api san &	ujjvala-agra-kiraNa-praveSaka-prokta-satvara-sam-Agamas+api san &
   prekṣyate sma janitotsukas+cirāt+vyomaraṅgamukhasaṃmukhas+śaśī // Rc_2.80	prekzyate sma janita-utsuka-s+cirAt+-vyoma-raFga-muKa-saMmuKa-s+SaSI // Rt-_2.80
   audayena śaśinas+gabhastinā bhinnaśeṣatimiram+vyarājata &	Odayena SaSina-s+gaBastinA Binna-Seza-timiram-+vyarAjata &
   mṛjyamānam+iva śakradiṅmukham+kuṅkumena mṛganābhoyogin // Rc_2.81 //	mRjyamAnam-+iva Sakra-diFmuKa-m+kuFkumena mRganABaH-yogin // Rt-_2.81 //
   tam+babhāra na vidhus+navodayam+kim+tu kuṅkumavilepanāruṇam &	tam+baBAra na viDu-s+nava-udayam-+kim+tu kuFkuma-vilepana-aruNam &
   ekam+utsukavaśāt+payodharam+vyācakāra haridigvilāsinī // Rc_2.82 //	ekam-+utsuka-vaSAt+-payoDaram-+vyAcakAra hari-diS-vilAsinI // Rt-_2.82 //
   āttajaitranijapuṣpadhanvanas+manmathasya bhuvanāni jeṣyataḥ &	Atta-jEtra-nija-puzpa-Danvana-s+manmaTasya BuvanAni jezyataH &
   unnanāma puratas+śaśicchalāt+pūrṇarukmakalaśas+payonidheḥ // Rc_2.83 //	unna-nAma puratas+-Sa-Sit-SalAt+-pUrNa-rukma-kalaSa-s+payoniDeH // Rt-_2.83 //
   dik+sarāgamukhasannidhāpitasphītacandracaṣakā śatakratoḥ &	dik+sa-rAga-muKa-sanniDApita-sPIta-candracazakA SatakratoH &
   kṣībabhāvam+iva bibhratī babhau viślathācchatimirāṃśukoccayā // Rc_2.84 //	kzIba-BAvam-+iva biBratI baBO viSlaTa-acCa-timira-aMSuka-uccayA // Rt-_2.84 //
   nandayan+bhuvanam+unmukham+cirāt+mandayan+smaraviruddham+udyamam &	nandayan+-Buvanam-+unmuKam-+cirAt+mandayan+-smara-virudDam-+udyamam &
   krandayan+virahiṇas+vihaṅgamān+sāndrayan+pramadam+indus+udyayau // Rc_2.85	krandayan+-virahiNa-s+-vihaFgamAn+sAndrayan+-pramadam-+indu-s+udyayO // Rt-_2.85
   locanālinivahaikapaṅkajam+cittahaṃsaśayanīyasaikatam &	loca-nAli-nivaha-eka-paFkajam-+citta-haMsa-SayanIya-sEkatam &
   ujjagāma ratikelimandiram+yāminīyuvatijīvitam+śaśī // Rc_2.86 //	ujjagAma rati-keli-mandiram+yAminI-yuvati-jIvitam+SaSI // Rt-_2.86 //
   āliliṅga rajanīm+ahāsayat+bidyamānamukulām+kumudvatīm &	AliliFga rajanIm+a-hAsayat+-bidyamAna-mukulAm-+kumudvatIm &
   agrahīt+uḍuvadhūkarān+karais+dyām+prasādam+anayat+samam+śasśī // Rc_2.87	agra-hIt+uxu-vaDU-karAn-+karEs+dyAm-+prasAda-m+anayat+-samam+SasSI // Rt-_2.87
   ādade viyat+alāñchanavratam+lāñchanam+nijam+agūhat+aṃśubhiḥ &	Adade viyat+alAn-Cana-vrata-m+lAQCanam+nijam+agUhat+aMSuBiH &
   prāhiṇot+apasṛtāsu kaumudīm+dikṣu dakṣatanayāparigrahī // Rc_2.88 //	prAhiNot+apasRtAsu kOmudIm+dikzu dakza-tanayA-parigrahI // Rt-_2.88 //
   vyāpya dūram+atha nirmalam+viyat+vītapaṅkam+iva paṅkajākaram &	vyApya dUram-+aTa nirmalam-+viyat+vIta-paFkam-+iva paFkaja-Akaram &
   rejus+agrakiraṇās+kṣapāpates+pūtakokanadakandakomalāḥ // Rc_2.89 //	reju-s+agra-kiraNAs+-kzapA-pates+-pUta-kokanada-kanda-komalAH // Rt-_2.89 //
   khe kakupsu bhuvi ca kṣapāpates+petus+ūḍhanicayās+marīcayaḥ &	Ke kakupsu Buvi ca kzapA-pates+-petu-s+UXa-nicaya-as+-marIcayaH &
   yatra tatra kuharāṇi kānicit+kampamānam+aviśat+niśātamaḥ // Rc_2.90 //	yatra tatra kuharANi kAnicit+-kampa-mAnam-+a-viSat+-niSAtamaH // Rt-_2.90 //
   kṣiptam+indurucibhis+vyalambata tryambakasya śikhinas+ca diṅmukhe &	kziptam-+indu-ruciBis+vyalambata tryambakasya SiKinas+ca diFmuKe &
   tatra nunnam+anubandhaniḥsaham+kāndiśīkam+iva niṣṭhitam+tamaḥ // Rc_2.91	tatra nunnam+anubanDa-niHsaham-+kAn-diSIkam-+iva nizWitam-+tamaH // Rt-_2.91
   kandarāṇi ca mahāmahībhṛtām+koṭarāṇi ca jaranmahīruhām &	kandarANi ca mahA-mahIBRtAm+kowarANi ca jaran-mahIruhAm &
   adhyuvāsa kamalodarāṇi ca dhvāntam+adhvagavadhūmukhāni ca // Rc_2.92 //	aDyuvAsa kamala-udarANi ca DvAntam+a-Dvaga-vaDU-muKAni ca // Rt-_2.92 //
   svīcakāra karakoṭilālanālambitoḍutatimekhalām+divam &	svIcakAra kara-kowi-lAlana-Alambita-uxutati-meKalAm-+divam &
   rāgabhaṅgam+atisaṃstavāt+gatām+devarājadiśam+indus+atyajat // Rc_2.93 //	rAga-BaFgam+ati-saMstava-at+-gatAm+deva-rAja-diSam-+indu-s+atyajat // Rt-_2.93 //
   ātatāna gaganāṅgaṇādhikais+medinīm+amṛtavarṣibhis+vidhuḥ &	AtatAna gagana-aFgaNa-aDikEs+medinIm-+a-mRta-varziBi-s+viDuH &
   viprayuktajanadhūmaketubhis+ketakāgraśucibhis+marīcibhiḥ // Rc_2.94 //	viprayukta-jana-DUma-ketuBi-s+ketaka-agra-Suci-Bis+marIciBiH // Rt-_2.94 //
   saṃkucadbhis+abhirāmatādhike sādhu candramasi puṣkarais+kṛtam &	saMkucadBis+aBiH-Ama-tA-aDike sADu candramasi puzkarEs+kRtam &
   udyatā jayini kāminīmukhe tena sāhasam+anuṣṭhitam+punaḥ // Rc_2.95 //	udyatAH jayini kAminI-muKe tena sAhasam-+anuzWitam+punar // Rt-_2.95 //
   uccakhāna ruṣam+uccamaṇḍalas+khaṇḍanām+agamayat+viṣahyatām &	uccaKAna ruzam-+ucca-maNxala-s+KaNxa-nAm+a-gamayat+-vizahyatAm &
   mānapaṅkam+apanīya kāminīs+kāntahastam+anayat+niśāpatiḥ // Rc_2.96 //	mAna-paFkam-+apanIya kAminI-s+kAnta-hasta-m+anayat+niSApatiH // Rt-_2.96 //
   vyaktavartmabilavāhinīvanagrāmagulmagahanādribhedayā &	vyakta-vartma-bila-vAhinI-vana-grAma-gulma-gahana-adri-BedayA &
   saumyatādhikaviśeṣayā+ajani jyotsnayā divasaniḥspṛhas+janaḥ // Rc_2.97 //	sOmya-tA-aDika-viSeza-yA+ajani jyotsnayA divasa-niHspRha-s+janaH // Rt-_2.97 //
   pīyate sma kumudam+na locanais+candrikā tapati rohitacchadam &	pIyate sma kumudam+na loca-nEs+candrikA tapati rohita=-Cadam &
   prādurāsa param+utpiban+alis+saurabham+niravalambam+ambuni // Rc_2.98 //	prAdurAsa param+utpiban+ali-s+-sOraBa-m+niravalambam-+ambuni // Rt-_2.98 //
   ekikā+iva nijavṛndamadhyagā+api+uccukūja sabhayā sitacchadī &	ekikA+iva nija-vRnda-maDya-gA+api+uccukUja sa-BayA sitacCadI &
   dantamūlam+asakṛt+ca saṃśayāt+āmamarśa kariṇas+kareṇukā // Rc_2.99 //	danta-mUlam-+asakRt+ca saMSayAt-+Am-amarSa kariNa-s+kareNukAH // Rt-_2.99 //
   ketakīṣu kadalīṣu vālukāsu+aśmasu sphuṭitakairave+ambhasi &	ketakIzu kadalIzu vAlukAsu-+aSmasu sPuwita-kErave+amBasi &
   lambhitā+iva laharīparamparām+ullalāsa śaśikāntivāhinī // Rc_2.100 //	lamBitA-a+-iva laharI-paramparAm+ullalAsa SaSi-kAnti-vAhinI // Rt-_2.100 //
   prāptasūkṣmaghanapallavāntarais+citritās+śaśikarais+itas+tataḥ &	prApta-sUkzma-Gana-pallava-antarEs+ci-trita-As+Sa-Si-karA-es+ita-s+tataH &
   bibhrati sma tarumūlaśāyinas+śambarās+pṛṣatayūthavibhramam // Rc_2.101 //	biBrati sma taru-mUla-SAyinas+-Samba-rAs+-pRzata-yUTa-viBramam // Rt-_2.101 //
   kṛcchralabdhanagaśṛṅgasandhayas+dattamanmathajayābhisandhayaḥ &	kRcCra-labDa-naga-SRFga-sanDayas+datta-manmaTa-jaya-aBisanDayaH &
   maithilītaravadhūdurāsadam+rāghavāṅkam+aviśat+śaśitviṣaḥ // Rc_2.102 //	mETilI-itara-vaDU-durAsadam-+rAGava-aFkam+a-viSat+-SaSi-tvizaH // Rt-_2.102 //
   jāgarṣi kāśmari niṣīdasi kovidāra kutra+asi vatsa kṛtamāla tamāla paśya &	jAgarzi kASmari nizIdasi kovidAra kutra+asi vatsa kRta-mAla tamAla paSya &
   kim+vartate raghupates+iti satvarābhis+uktam+drumaugham+avalokya	kim-+vartate raGupates+iti sa-tvara-aBis+uktam-+druma-oGam-+avalokya
   vanasthalībhiḥ // Rc_2.103 //	vanasTalIBiH // Rt-_2.103 //
   anyonyadūrapariṣaktaviśālasāndraśākhāśatais+tarubhis+antarayāṃbabhūve &	anyonya-dUra-parizakta-viSAla-sAndra-SAKA-Sata-es+taruBi-s+antarayAMbaBUve &
   udbhūtaghoravirahajvaralaṅghitasya candrātapas+sa khalu	udBUta-Gora-viraha-jvara-laFGitasya candrAtapas+sa Kalu
   dāśarathes+apathyaḥ // Rc_2.104 //	dASaraTes+apaTyaH // Rt-_2.104 //
   kumudavanam+ahetu	kumuda-vanam+a-hetu
   tyaktanidram+tadā+āsīt+gaganam+uḍuvitānais+dhik+vṛthā+eva praphullam &	tyakta-nidram+tadA+A-sIt+-gagana-m+uxu-vitA-na-es+Dik+-vRTA+-eva praPullam &
   ajani jagat+adhīśasya+agṛhītes+tadānīm+vidhus+api	ajani jagat+aDISasya+a-gRhItes+tadAnIm-+viDus+api
   vidhavastrīyauvanodbhedaśocyaḥ // Rc_2.105 //	viDava-strI-yOvana-udBeda-SocyaH // Rt-_2.105 //
   śvasiti janakaputrī	Svasiti janakaputrI
   satvaras+bhānuputras+kapipatis+upasannam+suprabhātam+tava+iti &	satvaras+BAnu-putra-s+kapipati-s+upasannam-+su-praBAta-m+tava+-iti &
   jagus+iva raghunāthāya+ardhabuddhās+svanantas+madhuram+apararātre	jagus+iva raGu-nATa-aya+arDa-budDa-as+su-ananta-s+maDuram-+a-pararAtre
   patriṇas+ke+api ke+api // Rc_2.106 //	patriNa-s+ke+-api ke+api // Rt-_2.106 //
   iti+abhinandakṛtau rāmacarite mahākāvye	iti-+aBinanda-kRtO rAma-carite mahAkAvye
   sandhyātamaścandrodayavarṇanas+nāma dvitīyas+sargas+samāptaḥ ||	sanDyAtamaH-candrodaya-varNanas+nAma dvitIya-s+sarga-s+-samAptaH ||
   kavīnām+kim+dattais+nṛpapaśubhis+anyais+avasare	kavInAm-+kim+dattEs+-nRpa-paSuBi-s+a-nyEs+avasare
   param+pṛthvīpālas+kṣaṇam+api sa karṇas+vitaratu &	param+-pRTvIpAla-s+kzaNam-+api sa karNa-s+vitaratu &
   anāttam+tattvajñais+api suvipulārthavyayabhiyā	anAttam+tattva-jQEs+api su-vipula-arTa-vyaya-BiyA
   pratiṣṭhām+yena+uccais+jagati gamitam+rāmacaritam //	pratizWA-Am+yena+-uccEs+jagati gamitam-+rAma-caritam //
   % NB \msC\ reads here (instead of this verse?)	% NB \msC\ readH here (insteat of TiH verse?)
   pālānvayāmbujavanaikavirocanāya tasmai namas+astu yuvarājanareśvarāya &	pAla-anvaya-ambuja-vana-eka-virocanAya tasmE namas+aH-tu yuvarAja-nara-ISvarAya &
   koṭipradānaghaṭitojjvalakīrtimūrtis+yena+amaratvapadavīm+gamitas+abhinandaḥ	kowi-pradAna-Gawita-ujjvala-kIrti-mUrti-s+yena+amara-tva-padavIm+gamita-s+aBinandaH
   tṛtīyas+sargas+	tRtIya-s+sarga-s+
   atha prabuddhas+prathamam+vibuddham+āsīnam+ādāya tadaṅghriyugmam &	aTa prabudDa-s+praTamam-+vibudDam-+AsInam-+AdAya tad-aFGri-yugmam &
   prakāmanidrābhigamābhirāmas+rāmas+sumitrāsutam+iti+uvāca // Rc_3.1 //	prakAma-nidrA-aBigama-aBirAma-s+rAmas+-sumitrAsutam+iti+-uvAca // Rt-_3.1 //
   kim+ittham+eva kṣapitas+niśīthas+kaccit+muhūrārdham+asi prasuptaḥ &	kim-+itTam-+eva kzapita-s+niSITa-s+kaccit+-muhUra-arDam+asi prasuptaH &
   asmin+prasādāvasare dhiyām+ca pratiṣṭhitas+cetasi kas+tava+arthaḥ //	asmin+-prasAda-avasare DiyAm+ca pratizWita-s+cetasi kas+tava-+arTaH //
   Rc_3.2 //	Rt-_3.2 //
   vanaukasas+tasya naveśvarasya bhāvāvabodhāya punar+vimṛśya &	vanOkasa-s+tasya naveSvarasya BAva-avaboDAya punar-+vimRSya &
   yat+prāptakālam+tat+udāhara+āśu prasthānakālas+ayam+atipraśastaḥ // Rc_3.3	yat+-prApta-kAlam-+tat+udAhara+ASu prasTAna-kAla-s+aya-m+ati-praSastaH // Rt-_3.3
   svakāryalābhastimitas+kapis+cet+na kaścit+arthas+anusṛtena tena &	sva-kArya-lABa-stimita-s+kapi-s+cet+na kaScit+arTa-s+anusRtena tena &
   ripau+upetam+varam+arthibhāvāt+vikārasaṃdehasahe na mitre // Rc_3.4 //	ripO+upetam+varam+arTiBA-vAt+-vikAra-saMdeha-sahe na mitre // Rt-_3.4 //
   kāryāntarāśārahitena tena vyaktam+khalena+adya vayam+nirastāḥ &	kArya-antara-ASA-rahitena tena vyaktam+Kalena-+adya vayam+nirastAH &
   dattas+pradīrghāgrahaṇābhidhānas+yena+ayam+ārāt+api nas+ardhacandraḥ //	datta-s+pradIrGa-agrahaNa-aBiDAna-s+yena-+ayam+ArAt+api nas+arDacandraH //
   Rc_3.5 //	Rt-_3.5 //
   ruddhas+tapasvī sa katham+na kaiścit+mohāndhakūpe nipatan+madāndhaḥ &	rudDa-s+tapasvI sa kaTam-+na kEScit+-moha-anDa-kUpe nipatan+mada-anDaH &
   kim+deśakās+te+api hanūmadādyās+sadyas+padam+prāpya samam+vipannāḥ //	kim-+da-ISaka-As+te+-api hanUmat-AdyAs+-sadyas+padam-+prApya samam+vipannAH //
   Rc_3.6 //	Rt-_3.6 //
   riṣṭam+na dṛṣṭam+pavamānasūnos+na ca+agnisūnos+na ca vālisūnoḥ &	rizwam+na dRzwam-+pavamAna-sUnos+na ca+agni-sUnos+na ca vAli-sUnoH &
   sarve+api kiṃkāraṇam+ekadā+eva pramītakalpās+kapidārakās+te // Rc_3.7 //	sarve+-api kiMkAraNam-+eka-dA+A-iva pramIta-kalpAs+ka-pidAraka-As+te // Rt-_3.7 //
   sa durnivāras+haris+adya śetām+āsvāditaiśvaryamadhus+madena &	sa durnivAra-s+hari-s+adya SetAm+a-AsvAdita-ESvarya-maDu-s+madena &
   katham+punar+jāgarakāle+eva suptās+tadāptās+iti me vitarkaḥ // Rc_3.8 //	kaTam-+punar+jAgara-kAle+A-iva suptAs+-tad-Apta-As+iti me vitarkaH // Rt-_3.8 //
   devāt+prasūtena himetarāṃśos+ūrjasvalais+tais+sakhibhis+vṛtena &	devAt+-prasUtena hima-itara-aMSa-Us+Urja-sva-lEs+tA-es+-saKi-Bi-s+vRtena &
   udāradehadyutinā+asmadarthe niranvayam+tena tamas+prapannam // Rc_3.9 //	udAra-deha-dyutinA+-asmad-arTe niranvayam+tena tamas+-prapannam // Rt-_3.9 //
   aho mahat+mohajam+andhakāram+yena+adya madhyesabham+uddhureṇa &	aho mahat+-moha-jam+anDakAram+yena-+adya maDyesaBam+udDureNa &
   utsārya tān+mantrimaṇipradīpān+plavaṅgarājas+prasabham+gṛhītaḥ // Rc_3.10	utsArya tAn-+mantri-maNi-pradIpAn+-plavaFga-rAjas+prasaBam+gRhItaH // Rt-_3.10
   lobhasya mohasya manobhavasya madasya ca+atiprasaras+na ruddhaḥ &	loBasya mohasya manoBavasya madasya ca+ati-prasaras+na rudDaH &
   ruddhas+param+pūrṇamanorathena tena+adya nas+pratyupakāravegaḥ // Rc_3.11	rudDa-s+param+-pUrNa-manoraTena tena-+adya nas+-pratyupakAra-vegaH // Rt-_3.11
   samrāṭpadasthasya padāt+apetās+samprītaye samprati mā sma bhūmaḥ &	samrAwpada-sTasya padAt+a-petAs+-samprItaye samprati mA sma BUmaH &
   dṛṣṭāstrasārās+api tasya bhīros+kim+bhītaye vatsa vayam+na bhūtāḥ //	dRzwa-astra-sArAs+-api tasya BIros+kim-+BItaye vatsa vayam+na BUtAH //
   Rc_3.12 //	Rt-_3.12 //
   sthāne nirastas+sudhiyā+agrajena sa tena māyāmasṛṇas+durātmā &	sTAne nirasta-s+-suDi-yA+agrajena sa tena mAyA-masRNa-s+durAtmA &
   mayā madāndhena punar+vṛthā+eva kroṣṭā mṛgendrasya pade+abhiṣiktaḥ //	mayA mada-anDena punar-+vRTA+A-iva krozwA mRgendrasya pade+aBiziktaH //
   Rc_3.13 //	Rt-_3.13 //
   nirveśaniryātanaśāṭhyanidrām+nīceṣu daṇḍas+paruṣas+nihanti &	nirveSa-niryAtana-SAWya-nidrA-m+nIcezu daNxa-s+paruzas+nihanti &
   tathā+api dākṣiṇyavilambitavyam+idam+dhanus+tam+prati māmakīnam // Rc_3.14	taTA-a+api dAkziNya-vilambitavyam+idam+Danu-s+tam-+prati mAmakInam // Rt-_3.14
   yāvat+na viśrāmyati vegajanmā dikṣu dhvanis+vālibhidas+śarasya &	yAvat+na viSrAmyati vega-janmA dikzu Dvani-s+vAli-Bidas+Sarasya &
   tāvat+punas+taṅkas+iha trilokyām+ākrāntakiṣkindham+upakrameta // Rc_3.15	tAvat+-puna-s+taFka-s+iha trilokya-Am+a-AkrAnta-kizkinDam-+upakrameta // Rt-_3.15
   asmāsu na+āvedayati sma garvāt+kurvīta śeṣārivadham+bhujābhyām &	asmAsu na+a-Avedayati sma garva-at+kurvIta SezAri-vaDam+BujAByAm &
   vidhāya saurājyam+asau+upeyāt+iti+arthitā paśyati na pramāṇam // Rc_3.16	viDAya sOrAjyam-+a-sO+upeyAt+iti+arTitA paSyati na pramANam // Rt-_3.16
   tat+eṣa me nirmalasargasargas+ṣaḍvargaruddhas+ripuvat+sa heyaḥ &	tat+a-iza me nirmala-sarga-sarga-s+zaxvarga-rudDa-s+ripu-vat+sa heyaH &
   na+asau niṣiddhas+tava yānapakṣas+mayā bata prāk+asamāhitena // Rc_3.17 //	na+asO nizidDa-s+tava yAna-pakza-s+mayA bata prAk+a-samAhitena // Rt-_3.17 //
