   REFERENCE SYSTEM:	RA eFA eRENCE SYSTEM:
   viśeṣaśca na sāmānyamantareṇāsti kaścana /	viSezaH ca na sAmAnyam antareNa asti kaScana /
   tasmāt tampayudāhratya sāmānyaṃ lakṣayet sukham // Msv_5,5.11 //	tasmAt tampayudAhratya sAmAnyam lakzayet suKam // Msu _5,5.11 //
   sāmānyarūpamapyetadadhikārād viśiṣyate /	sAmAnya rUpam api etat aDikArAt viSizyate /
   codanā copadeśaśca śāstramevatyudāhṛtam // Msv_5,5.12 //	codanA ca upadeSaH ca SAstram evati udAhRtam // Msu _5,5.12 //
   yathā ca codanāśabdo vaidikyāmeva vartate /	yaTA ca codanA SabdaH vEdikyAm eva vartate /
   na caivañjātīyaka' kaścidupayogo gāmānayetyādivākyasthasya	na ca evan jAtIyaka a kaScid upayogaH gAmAnaya ityAdi vAkya sTasya
   śābdalakṣamasyāstīti tadupekṣyaiva śāstragatameva lakṣaṇaṃ	SAbda lakzam asya asti iti tad upekzya eva SAstra gatam eva lakzaNam
   praṇītamityāha   yatviti ||10||	praNItam iti Aha   yatu iti ||10||
   yatpunaralakṣite sāmānye na viśeṣo lakṣayituṃ śakyata ityuktaṃ	yat punar alakzite sAmAnye na viSezaH lakzayitum Sakyate iti uktam
   tatpariharati   viśeṣaśceti /	tad pariharati   viSezaH ca iti /
   sāmānyalakṣaṇe hi viśeṣo na sidhyati, vyabhicārāt /	sAmAnya lakzaNe hi viSezaH na siDyati, vyaBicArAt /
   viśeṣastu sāmānyāvyabhicārīti tasmin lakṣite tadantargataṃ sāmānyaṃ	viSezaH tu sAmAnya avyaBicArI iti tasmin lakzite tad antargatam sAmAnyam
   sukhameva lakṣitaṃ bhavet /	suKam eva lakzitam Bavet /
   yadā hi vidhāyakavijñānādasannikṛṣṭer'the vijñānaṃ śāstramityuktaṃ	yadA hi viDAyaka vijQAnAt asat nikRzwer aTe vijQAnam SAstram iti uktam
   tadārtād vidhāyakaviśeṣarahitācchabdamātrajñānācchābdamiti	tad A ArtAt viDAyaka viSeza rahitAt Sabda mAtra jQAnAcCAbdam iti
   śakyamavagantumiti na pṛthagucyata iti ||11||	Sakyam avagantum iti na pRTak ucyate iti ||11||
   nanu nedaṃ viśeṣalakṣaṇaṃ viśeṣopādānābhāvādityuktam /	nanu na idam viSeza lakzaNam viSeza upAdAna aBAvAt iti uktam /
   ata āha   sāmānyeti /	atas Aha    sAmAnya iti /
   nāvaśyamupāttameva viśeṣaṇaṃ bhavati, kintu adhikāralabhyamapi,	na avaSyam upAttam eva viSezaNam Bavati, kintu aDikAra laByam api,
   yathāgneyādiṣu vakṣyate, ta(dva)dihāpi	yaTA Agneya Adizu vakzyate, ta(t va)t iha api
   codanālakṣaṇādhikārācchabdavijñānādityukte 'pi vidhāyakaviśeṣaṇaṃ	codanA lakzaNa aDikArAt Sabda vijQAnAt iti ukte api viDAyaka viSezaNam
   pratyeṣyata iti /	pratyezyate iti /
   nanu yadi prakṛtopayogi codaneti /	nanu yadi prakRta upayogi codanA iti /
   paryāyā eta iti bhāva' ||12||	paryAyAH ete iti BAva a ||12||
   ayaṃ cādhikārato viśeṣalābho jaimineraṣyanumataścodanāśabdamaviśeṣitaṃ	ayam ca aDikArataH viSeza lABaH jEmineH azi anumataH codanA Sabdam aviSezitam
   dvitīye sūtre prayuñjānasyetyāha   yathā ceti /	dvitIye sUtre prayuQjAnasya iti Aha   yaTA ca iti /
   evaṃ hi manyate    yadyapi codanāśabda' pravartakavākyamātravacana',	evam hi manyate   yadi api codanA Sabda a pravartaka vAkya mAtra vacana a,
   tathāpi prathamasūtre 'thaśabdena vedā	taTA api praTama sUtre aTa Sabdena vedA
   śabdajñānārthavijñānaśabdau śāstre tathā sthitau // Msv_5,5.13 //	Sabda jQAna arTa vijQAna SabdO SAstre taTA sTitO // Msu _5,5.13 //
   pratyakṣādyapīkṣyatve tadantarbhāvahetukam /	pratyakza Adi api Ikzya tve tad antarBAva hetukam /
   śāstrasyāpyaparīkṣyatvamanayaiva dhiyoditam // Msv_5,5.14 //	SAstrasya api aparIkzya tvam anayA eva DiyA uditam // Msu _5,5.14 //
   dhyayanānantaryasyopāttatvāt tadadhikārādeva codanāśabdo vaidikyāmeva	Dyayana Anantaryasya upAtta tvAt tad aDikArAt eva codanA SabdaH vEdikyAm eva
   codanāyāmavatiṣṭhate,evamihāpi śāstralakṣame codanāprāmāṇyādhikārāt	codanAyAm avatizWate,evam iha api SAstra lakzame codanA prAmANya aDikArAt
   śabdavijñānārthajñānaśabdau viśiṣṭaśabdārthaparau,vidhāyake śabdaśabdo	Sabda vijQAna arTa jQAna SabdO viSizwa Sabda arTa parO,viDAyake Sabda SabdaH 
   vidheye cārthaśabda iti ||13||	viDeye ca arTa SabdaH iti ||13||
   yadyapi vṛttikāramatopanyāsāvasare'pratyakṣādīni hi prasiddhāni pramāṇāni	yadi api vRttikAram atopanyAsa avasare apratyakza AdIni hi prasidDAni pramANAni
   tadantargataṃ śāstram' iti bhāṣyakāreṇoktaṃ tatrāpi	tad antargatam SAstram a iti BAzya kAreNa uktam tatra api
   viśeṣaśāstrāparīkṣāpratijñānaṃ prakṛtopayogitvābhiprāyeṇaiveti	viSeza SAstra aparIkzA pratijQAnam prakRta upayogi tva aBiprAyeNa eva iti
   darśayati   pratyakṣādīti /	darSayati    pratyakza Adi iti /
   idaṃ tu cintanīyam /	idam tu cintanIyam /
   yadi vidhāyakaśabdajanitaṃ vijñānaṃ śāstram, kimidānīmaṅgāni mīmāṃsā	yadi viDAyaka Sabda janitam vijQAnam SAstram, kim idAnIm aFgAni mImAMsA
   karmānuśāsanāni ca na sāstrāṇi, laukikāni ca gāmānayetyādivākyāni śāstrāṇi	karma anuSAsanAni ca na sAstrANi, lOkikAni ca gAmAnaya ityAdi vAkyAni SAstrANi
   yadyevaṃ mahān lokavirodha' /	yadi evam mahAn loka viroDaH a /
   na hi laukikā gāmānayetyādiṣu śāstraśabdamupacaranti /	na hi lOkikAH gAmAnaya ityAdizu SAstra Sabdam upacaranti /
   svavacanavirodhaśva /	sva vacana viroDa Sva /
   yato gāmānayetyādivākyasthaṃ śābdalakṣamamiti hi vadanti /	yatas gAmAnaya ityAdi vAkya sTam SAbdalakzamam iti hi vadanti /
   mīmāṃsādiṣu vedavat tato 'pi vā sātiśayaṃ śāstraśabdopacāramupalabhāmahe /	mImAMsA Adizu veda vat tatas api vA sa atiSayam SAstra Sabda upacAram upalaBAmahe /
   api cāyaṃ śāstraśabdo rūḍho vā syād yaugiko vā, sarvathā, sarvathā ca	api ca ayam SAstra SabdaH rUXaH vA syAt yOgikaH vA, sarvaTA, sarvaTA ca
   vaidāṅgādiṣu vartitumarhati, asti hi teṣu yathāyathamarthānusāsanaṃ,	vEdAFga Adizu vartitum arhati, asti hi tezu yaTAyaTam arTa anusAsanaM,
   rūḍhiśca sātiśeyati varṇitam /	rUXiH ca sa atiSeyati varNitam /
   atrābhidhīyate /	atra aBiDIyate /
   yogarūḍhiriyaṃ paṅkajādivat, ato na tāvadnāmānayetyādiṣvatiprasajyate /	yoga rUXiH iyam paFkaja Adi vat, atas na tAvat nAma anaya iti Adizu ati prasajyate /
   satyapi yoge laukikānāṃ teṣvaprayogāt /	sati api yoge lOkikAnAm tezu aprayogAt /
   puruṣārthopadeśāneva laukikā' śātrsamiti manyante /	puruza arTa upadeSAn eva lOkikAa SAtrsam iti manyante /
   tathā cāṅgānīti teṣāṃ śāstratvam /	taTA ca aFgAni iti tezAm SAstra tvam /
   nanu vidhāyakaṃ śāstramiti śāstralakṣamam,na ca tāni kañcid vidadhati /	nanu viDAyakam SAstram iti SAstra lakzam am,na ca tAni kaQcid vidaDati /
   maivam /	mA evam /
   sarveṣāmevānuṣṭhānopadeśaparatvāt /	sarvezAm eva anuzWAna upadeSa paratvAt /
   vyākaraṇe hi yatsādhubhirbhāṣeta tadebhirityupadiśayate /	vyAkaraNe hi yat sADuBiH BAzeta tat eBiH iti upadiSayate /
   mīmāṃsāyāmapi pratyadhikaraṇaṃ nyāyavyutpādanenānuṣṭhānopadeśa eva	mImAMsAyAm api pratyaDikaraNam nyAya vyutpAdanena anuzWAna upadeSaH eva
   sarvatra /	sarvatra /
   ato yacchāstraṃ tatpravṛttinuvṛttyupadeśakameveti niyama', na	atas yat SAstram tad pravRtti nuvRtti upadeSakam eva iti niyama a, na
   punastadupadeśakaṃ śāstrameveti laukikī prasiddhiriha bhāṣyakāreṇānūditā,	punar tad upadeSakam SAstram eva iti lOkikI prasidDiH iha BAzya kAreNa anUditA,
   napunastannirapekṣaṃ śāstralakṣaṇaṃ praṇītam /	napunaH tad nirapekzam SAstra lakzaNam praNItam /
   ato yadasannikṛṣṭārtha	atas yat asat nikRzwa arTa 
   tatrānumānamavedaṃ bauddhairvaiśiṣikai' śritam /	tatra anumAnam avedam bOdDEH vESizikE a Sritam /
   bheda' sāṅkhyādibhistviṣṭo natūktaṃ bhedakāraṇam // Msv_5,5.15 //	BedaH a sAFKya AdiBiH tu izwaH natu uktam Beda kAraNam // Msu _5,5.15 //
   pūrvasaṃskārayuktāntyavarṇavākyādikalpanā /	pUrva saMskAra yukta antya varNa vAkya Adi kalpanA /
   vivakṣādi ca dhūmādau nāstītyetena bhinnatā // Msv_5,5.16 //	vivakzA Adi ca DUma AdO na asti iti etena Binna tA // Msu _5,5.16 //
   gocaraṃ puruṣaśreyovidhāyakaṃ loke śāstramiti prasiddhaṃ tacchāstram /	gocaram puruza SreyaH viDAyakam loke SAstram iti prasidDam tat SAstram /
   yatpunarasannikṛṣṭārthagocaraṃ vidhāyakamavidhāyakaṃ vā tacchābdamiti	yat punar asannikRzwa arTa gocaram viDAyakam aviDAyakam vA tad SAbdam iti
   viveka' /	viveka a /
   pratyakṣavaccātrāpi śabdatajjñānādiṣu vivakṣāta' pramāṇavikalpā	pratyakza vat ca atra api Sabda tad jQAna Adizu vivakzAta a pramANa vikalpA
   darśayitavyā' /	darSayitavyA a /
   nāvaśyaṃ jñānameva pramāṇityabhiniveṣṭavyama /	na avaSyam jQAnam eva pramANiti aBinivezwavyamaH /
   pūrvapramāṇe cottaraṃ vākyārthajñānaṃ phalaṃ tatprāmāṇye ca	pUrva pramANe ca uttaram vAkya arTa jQAnam Palam tad prAmANye ca
   hānādibuddhiriti viveka iti ||14||	hAna Adi budDiH iti vivekaH iti ||14||
   idaṃ caśāstramanumānādabhinnamiti pramāṇadvayavādino manyante,	idam ca SAstram anumAnAt aBinnam iti pramANa dvaya vAdinaH manyante,
   tānnirākartṛkāmasteṣāṃ matamupanyasati   tatreti /	tAn nirAkartR kAmaH tezAm matam upanyasati   tatra iti /
   idaṃ ca pratijñāmātrameva teṣāmuktama, tadīyābhedahetūpanyāsastu	idam ca pratijQA mAtram eva tezAm uktama, tadIya aBeda hetu upanyAsaH tu
   paroktabhedahetunirāsāvasare kariṣyata iti /	para ukta Beda hetu nirAsa avasare karizyate iti /
   kiṃ punarabhedopanyāsanirāsayo' prayasyate, nanvayaṃ sāṅkhyādibhireva	kim punar aBeda upanyAsa nirAsayaH a prayasyate, nanu ayam sa aFKya AdiBiH eva
   bhedavādibhirabhedo nirākṛta eva, ata āha    bheda iti /	Beda vAdiBiH aBedaH nirAkRtaH eva, atas Aha   BedaH iti /
   na tairasamyagbhedakāraṇamuktamityartha' ||15||	na tEH asamyak Beda kAraNam uktam iti arTa a ||15||
   tāneva taduktān bhedahetūnnirākartṛmupanyasyati   	tAn eva tad uktAn Beda hetUn nirAkartRm upanyasyati   
   pūrvasaṃskāretyuktāntena /	pUrva saMskAra iti ukta antena /
   evaṃ hi tairuktam    śābde hi pūravasaṃskārayukto 'ntyo varṇo, vākyaṃ,	evam hi tEH uktam   SAbde hi pUrava saMskAra yuktaH antyaH varNo, vAkyaM,
   ādyo 'pi vā varṇa', sarve vā pratyekaṃ, sahitā vā, teṣāmeva krama' padānāṃ	AdyaH api vA varNa a, sarve vA pratyekan, sahitAH vA, tezAm eva krama a padAnAm
   vā vākyatvajātireva vāvayavī vā nirdhūtanikhilavarṇādivibhāga' sphoṭo vā	vA vAkya tva jAtiH eva vA avayavI vA nirDUta niKila varNa Adi viBAga a sPowaH vA
   padānyava vā saṃhatyārthamabhidadhati /	padAni ava vA saMhatya arTam aBidaDati /
   ete ca padeṣvapi vikalpā darśayitavyā' /	ete ca padezu api vikalpAH darSayitavyA a /
   tathā vivakṣāprayatnādayaśca śabdaniṣpattihetava iti /	taTA vivakzA prayatna AdayaH ca Sabda nizpatti hetavaH iti /
   sarvamidaṃ dhūmādau na dṛṣṭamiti tadvaidharmyāda(na) numānatvamiti /	sarvam idam DUma AdO na dRzwam iti tad vEDarmya Ada(na) numAna tvam iti /
   atra dūṣaṇamāha    tatreti /	atra dUzaNam Aha   tatra iti /
   bauddhena śābdamanumānādabhinnamanvayavyatirekābhyāmutpatte',	bOdDena SAbdam anumAnAt aBinnam anvaya vyatirekAByAm utpatte a,
   dhūmādagnyanumānavadityukte, yadetad dhūmādivairadharmyeṇa	DUmAt agni anumAna vat iti ukte, yat etat DUma Adi vEra DarmyeNa
   pratyavasthānam,iyaṃ vaidharmyasamā nāma jāti', vikalpāsamā vā /	pratyavasTAnam ,iyam vEDarmya samAH nAma jAti a, vikalpA samA vA /
   kā punarjāti' /	kA punar jAti a /
   sādharmyavaidharmyābhyāṃ pratayvasthānaṃ jāti' /	sADarmya vEDarmyAByAm pratayva sTAnam jAti a /
   vādinā hi pruyakte prayoge prasaṅgo jāyate, sa jāyata iti jātirityucyate,	vAdinA hi pruyakte prayoge prasaFgaH jAyate, sa jAyate iti jAtiH iti ucyate,
   sa ca prasaṅga sādharmyavaidharmyābhyāṃ pratyavasthānam /	sa ca prasaFga sADarmya vEDarmyAByAm pratyavasTAnam /
   yairuktā tatra vaidharmyavikalpasamajātitā /	yEH uktA tatra vEDarmya vikalpa sama jAti tA /
   dhūmānityāviṣāṇyādiviśeṣānna hi bhinnatā // Msv_5,5.17 //	DUmAn iti AvizANi Adi viSezAt na hi Binna tA // Msu _5,5.17 //
   yatrodāharaṇasādharmyeṇa vādinā heturukta', tatra yadā prativādino	yatra udAharaNa sADarmyeNa vAdinA hetuH ukta a, tatra yadA prativAdinaH 
   vaidharmyeṇa pratyavasthānaṃ bhavati /	vEDarmyeNa pratyavasTAnam Bavati /
   yathā    kriyāvānātmā kriyāhetuguṇayogāt loṣṭavaditi vādinokte,	yaTA   kriyAvAn AtmA kriyA hetu guNa yogAt lozwa vat iti vAdinA ukte,
   prativādino vaidharmyeṇa pratyavasthānaṃ bhavati    yathā kriyāvad	prativAdinaH vEDarmyeNa pratyavasTAnam Bavati   yaTA kriyAvat 
   dravyamavibhu daṣṭam, yathā loṣṭam,na tathātmā, tasmānniṣkriya iti /	dravyam aviBu dazwam, yaTA lozwa m,na taTA AtmA, tasmAt nizkriyaH iti /
   seyaṃ vaidharmyasamā jātirutyucyate /	sA iyam vEDarmya samA jAtiH uti ucyate /
   tathā dharmāntaravikalpāt /	taTA Darma antara vikalpAt /
   yadā pritavādinā sādhya(vār)masyāpi vikalpa āpādyate, asau vikalpasamā	yadA prita vAdinA sADya(vAr)masya api vikalpaH ApAdyate, asO vikalpa samA
   nāma jātirucyate /	nAma jAtiH ucyate /
   yathāsminneva prayoge prativādī vadati, kriyāhetuguṇayuktaṃ kiñcidavibhu	yaTA asmin= eva prayoge prativAdI vadati, kriyA hetu guNa yuktam kiQcid aviBu
   dṛṣṭaṃ yathā loṣṭam, kiñcid vibhu yathātmā, evaṃ kiñcit kriyāvad	dRzwam yaTA lozwam, kiQcid viBu yaTA AtmA, evam kiQcid kriyAvat 
   bhaviṣyati kiñcidakriyāvaditi /	Bavizyati kiQcid akriyA vat iti /
   evamihāpi pareṇābedasādhane ukte dhumādivaidharmyamātreṇa pratyavasthāne	evam iha api pareNa abeda sADane ukte Duma Adi vEDarmya mAtreNa pratyavasTAne
   vaidharmyasamā nāma jātirāpādyate /	vEDarmyasamA nAma jAtiH ApAdyate /
   dhūmādagnyanumānaṃ hi vākyavikalpādirahitam /	DUmAt agni anumAnam hi vAkya vikalpa Adi rahitam /
   na ca tathā śābdam /	na ca taTA SAbdam /
   ato nānumānamiti /	atas na anumAnam iti /
   tathā vikalpasamāpyevaṃ darśayitavyā /	taTA vikalpa samApi evam darSayitavyA /
   anvayavyatirekajameva kiñcid vākyavikalpādimad dṛṣṭaṃ yathā śābdam,	anvayavyatireka jam eva kiQcid vAkya vikalpa Adimat dRzwam yaTA SAbdam,
   kiñcicca na, dhūmādināgnijñānam /	kiQcid ca na, DUma AdinA agni jQAnam /
   evaṃ kiñcidanumānaṃ bhaviṣyati, kiñcidananumānamiti /	evam kiQcid anumAnam Bavizyati, kiQcid ana numAnam iti /
   jātidvayapra(tipādanātpra)tyuttaraṃ ca sādhakamiti na vacanīyamiti ||16	jAti dvaya pra(ti pAdanAt pra)ti uttaram ca sADakam iti na vacanIyam iti ||16
   kathaṃ punariyaṃ jāti', evaṃ hi sādhanamidam    śābdamanumānād bhinnaṃ	kaTam punar iyam jAti a, evam hi sADanam idam   SAbdam anumAnAt Binnam
   tadvaidharmyātaṃ pratyakṣavaditi,ata āha   dhūmeti /	tad vEDarmyAtam pratyakza vat iti,ataH Aha   DUma iti /
   na	na
   tāvat trailakṣaṇyapa(rityāgena) vaidharmya tairuktam /	tAvat trElakzaNI apa(ri tyAgena) vEDarmya tEH uktam /
   kiñcid viśeṣaṇamātreṇa tu vaidharmyamaviśiṣṭamarthātmakānānumānānāmiti	kiQcid viSezaNa mAtreNa tu vEDarmyam aviSizwam arTa AtmakAnAnumAnAnAm iti
   teṣāmapyanumānād bhedo bhavet na cāsāvāsti, na hi	tezAm api anumAnAt BedaH Bavet na ca asO= Asti, na hi
   dhūmādīnāṃ                                                        	DUma AdIn AM                                                        
   vailakṣaṇyamityananumāntā bhavati /	vElakzaNyam iti ananumA antA Bavati /
   trailakṣaṇyaparityāmādanityatvaṃ kṛtakatve heturiti /	trElakzaNya parityAmAt anitya tvam kRtaka tve hetuH iti /
   trailakṣaṇyparityāgapratipādane (pya?hya) numānād bheda' sidhyatīti ||17||	trElakzaNI parityAga pratipAdane (pi a?hya) numAnAt BedaH a siDyati iti ||17||
   trailakṣaṇyuparityāgo yāvanna pratipādyate /	trElakzaNI upari tyAgaH yAvat na pratipAdyate /
   tāvadviśeṣamātreṇa vadato jātitā bhavet // Msv_5,5.18 //	tAvat viSeza mAtreNa vadataH jAtitAH Bavet // Msu _5,5.18 //
   yatheṣṭaviniyogena pratītiryāpi śabdata' /	yaTA izwa viniyogena pratItiH yA api Sabdata a /
   na dhūmāderitīhāpi vyabhicāro 'ṅgavṛttibhi' // Msv_5,5.19 //	na DUma AdeH iti iha api vyaBicAraH aFga vRttiBi a // Msu _5,5.19 //
   vailakṣaṇyamātreṇa tu bhedaṃ vadato vailakṣaṇyavacanasya	vElakzaNya mAtreNa tu Bedam vadataH vElakzaNya vacanasya
   jātataivāpadyetetyāha   trailakṣaṇyeti ||18||	jAtatA eva Apadyeta iti Aha    trElakzaNyA iti ||18||
   yadapi cadamaparaṃ śābdānumānayorvailakṣaṇyamuktam    dhūmādayo hi	yat api cadam aparam SAbda anumAnayoH vElakzaNyam uktam    DUma AdayaH hi
   sāvābhāvikenaiva pratibandhena pratibandhakabuddhimanumāne	sAvABAvikena eva pratibanDena pratibanDaka budDim anumAne
   janayatanti, śabdāttu yatheṣṭaviniyuktādevārthapratyayo dṛśyate, ato bheda	janayatanti, SabdAt tu yaTA izwa viniyuktAt eva arTa pratyayaH dRSyate, atas Beda
   iti, tatrāpyāha   yatheti /	iti, tatra api Aha   yaTA iti /
   ayamabhiprāya'    atrāpi yadi kiñcidvaidharmyamātreṇa bheda ucyate, ato	ayam aBiprAya a   atra api yadi kiQcid vEDarmya mAtreNa BedaH ucyate, atas 
   jātireva /	jAtiH eva /
   athāyaṃ prayoga'    śābdamanumānād bhinnaṃ yateṣṭaviniyogenārthapādayatīti	aTa ayam prayoga a   SAbdam anumAnAt Binnam yata izwa viniyogena arTapAdayati iti
   tadayuktam /	tat ayuktam /
   tatrāpi svābhāvikyaivātmaśaktyā rūpādipratipādanāt /	tatra api svABAvikyA eva Atma SaktyA rUpa Adi pratipAdanAt /
   atha svagocare yatheṣṭaviniyogena pratipādanaṃ heturucyate, ato liṅgamapi	aTa sva gocare yaTezwa viniyogena pratipAdanam hetuH ucyate, atas liFgam api
   parārthaprayoge yameva prati prayujyate tameva pratipādayatīti sāmanam /	para arTa prayoge yam eva prati prayujyate tam eva pratipAdayati iti sAmanam /
   atha yatheṣṭaviniyoga' saṅketo 'bhidhīyate, tato 'yamartho bhavati,	aTa yaTezwa viniyoga a saFketaH aBiDIyate, tatas ayam arTaH Bavati,
   yatraiva saṅketyate tameva gamayatīti, tato dṛṣṭāntābhāva', na hi	yatra eva saFketyate tam eva gamayati iti, tatas dRzwAnta aBAva a, na hi
   śabdādanyat saṅketānuvidhānenārthaṃ bodhayati /	SabdAt anyat saFketa anuviDAnena arTam boDayati /
   athāvītamaheturam /	aTa avItamaheturam /
   anumānaṃ hi yatheṣṭaviniyogānanuvidhāyipratipādanam, na cedaṃ tathā, ato	anumAnam hi yaTezwa viniyogAn anuviDAyi pratipAdanam, na ca idam taTA, atas 
   bhinnamiti /	Binnam iti /
   tanna /	tat na /
   vyatirakamātrasyāgamakatvādanvayavyatirekī hi heturiṣyate /	vyatiraka mAtrasya Agamaka tvAt anvayavi atirekI hi hetuH izyate /
   na cāyaṃ heturanumānādabedena vyāpta' kvacidavagata', śabdātirekiṇa'	na ca ayam hetuH anumAnAt abedena vyApta a kvacid avagata a, Sabda atirekiNa a
   kasyacid yatheṣṭaviniyogenāpratipādanāt /	kasyacid yaTA izwa viniyogena apratipAdanAt /
   athāsti hastasaṅketādīnāṃ yathāsamayaṃ pratipādanamityucyate /	aTa asti hasta saFketa AdInAm yaTAsamayam pratipAdanam iti ucyate /
   tat tarhi pramāṇāntaramanumānaṃ vā /	tat tarhi pramANa antaram anumAnam vA /
   na tāvat pramāṇāntaram, tallkṣamābhāvāt /	na tAvat pramANa antaram, tat lkzamA BAvAt /
   ato vyāptibalena jñāyamānamanumānameva tat /	atas vyApti balena jQAyamAnam anumAnam eva tat /
   evaṃ ca sati	evam ca sati
   tenaiva vyabhicāra iti nānumānād vyāvṛttirheto' sidhyati /	tena eva vyaBicAraH iti na anumAnAt vyAvRttiH hetaH a siDyati /
   tadidamuktaṃ vyabhicaro 'ṅgavṛttibhiriti /	tat idam uktam vyaBicaraH aFga vRttiBiH iti /
   aṅgānāṃ hastādīnāṃmākuñcanaprasāraṇādyā vṛttayo 'ṅgavṛttaya iti ||19||	aFgAnAm hasta AdInAMmAkuQcana prasAraNa AdyAH vRttayaH aFga vRttayaH iti ||19||
   hsatasaṃjñādayo ye 'pi yadarthapratipādane /	hsata saMjQA AdayaH ye api yad arTa pratipAdane /
   bhaveyu' kṛtasaṅketāste talliṅgamiti sthiti' // Msv_5,5.20 //	Baveyu a kRta saFketAH te tat liFgam iti sTiti a // Msu _5,5.20 //
   puruṣākṣiptatāyāṃ ca tathaiva vyabhicāritā /	puruza Akzipta tAyAm ca taTA eva vyaBicAritA /
   padavaidikavākyānāṃ na satyavyāpitā bhavet // Msv_5,5.21 //	pada vEdika vAkyAnAm na satya vyApitA Bavet // Msu _5,5.21 //
   etadeva vivṛṇoti    hasteti /	etat eva vivRNoti   hastA iti /
   hastādyaṅgāśritavṛttaya evārthaviśejñānāṅgatayā hastasaṃjñetyucyante /	hasta Adi aFga ASrita vRttayaH eva arTa viSejQAna aFga tayA hasta saMjQA iti ucyante /
   kathaṃ punaridamanumām, na hi hastādisanniveśā'	kaTam punar idam anumAm, na hi hasta Adi sanniveSA a
   saṅkhyāviśeṣādibhirarthairvyāptā' /	saFKyA viSeza AdiBiH arTEH vyAptAa /
   tairvināpi kadācid bhāvāt /	tEH vinA api kadAcid BAvAt /
   kintu aṅgulyādisanniveśātsaṅketakālabhāviśabdasmaraṇenārthaṃ	kintu aFguli Adi sanniveSAt saFketa kAla BAvi Sabda smaraNena arTam
   pratipadyamānā' śabdādeva pratipadyante /	pratipadyamAnA a SabdAt eva pratipadyante /
   tanna /	tat na /
   antareṇāpi śabdasaṅke(ta?taṃ) vyavahāra	antareNa api Sabda saFke(ta?taM) vyavahAra
   evāvyutpannasyāṅgulyādisanniveśadarśinasatdarthāvagate' /	eva avyutpannasya aFguli Adi sanniveSa darSina satdarTa avagate a /
   na cātra vyabhicāra' /	na ca atra vyaBicAra a /
   na hi yādṛśe sanniveśe vyāptiravagatā tādṛśasya vyabhicāro dṛśyate /	na hi yAdRSe sanniveSe vyAptiH avagatA tAdRSasya vyaBicAraH dRSyate /
   tadidaṃ 'tena dharmyantareṣveṣe'tyatra varṇitam /	tat idam atena Darmi antarezu eze atyatra varNitam /
   ato 'numānamevedam /	atas anumAnam eva idam /
   tadidamuktaṃ    te talliṅgamiti sthitiriti /	tad ida m uktaM   te tat liFgam iti sTitiH iti /
   sarvaṃ cedamanvāruhya vārttikakāreṇa dūṣaṇaṃ dattam /	sarvam ca idam anvAruhya vArttikakAreNa dUzaNam dattam /
   na hi yateṣṭaviniyogena śabdādarthapratītirbhavati /	na hi yata izwa viniyogena SabdAt arTa pratItiH Bavati /
   gavādiśabdā hi nijaśaktyanusāreṇaiva svārthaṃ prativedayanti /	gavA Adi SabdAH hi nija Sakti anusAreNa eva sva arTam prativedayanti /
   yadṛcchāśabdāstu hastasaṃjñāditulyāste saṅketānusāreṇārthaṃ bodhayanto	yadRcCA SabdAH tu hasta saMjQA Adi tulyAH te saFketa anusAreNa arTam boDayantaH 
   'numānameveti kiṃ tadbhedapratipādaneneti ||20||	anumAnam eva iti kim tad Beda pratipAdanena iti ||20||
   idamaparaṃ bhedakāraṇaṃ, śabdāddhi puruṣāpekṣor'thaniścaya', na ca tathā	idam aparam Beda kAraNaM, SabdAt hi puruza apekzoH aTa niScaya a, na ca taTA
   śabda ityato bhidyata iti /	SabdaH iti atas Bidyate iti /
   etadapi dūṣayati   puruṣeti /	etat api dUza yati   puruza iti /
   vyatirekaheturvyatirekapuraskāreṇaivārthaṃ sādhayati, prāṇādaya	vyatireka hetuH vyatireka puraskAreNa eva arTam sADayati, prANa Adaya
   ivānātmakād dehād vyāvṛttamātmānam /	iva anAtmakAt dehAt vyAvRttam AtmAnam /
   puruṣāpekṣitā tvanumāne 'pyarthaniścayāṅgamaṅgavṛttiṣu dṛṣṭā /	puruza apekzitA tu anumAne api arTa niScaya aFgam aFga vRttizu dRzwAH /
   yādṛśo hi saṅketo yadarthapratipādane puruṣai' kṛta', tameva	yAdRSaH hi saFketaH yad arTa pratipAdane puruzaH a kRta a, tam eva
   parapuraṣāpekṣayā budhyante /	para puraza apekzayA buDyante /
   ato 'trāpi vyabhicāriteti /	atas atra api vyaBicAritA iti /
   api cāvyāpakatvādasiddho heturityāha    padeti /	api ca avyApaka tvAt asidDaH hetuH iti Aha   padA iti /
   padāni hi svamahimnaivārthaṃ pratipādayanti na puruṣāpekṣayā /	padAni hi sva mahimnA eva arTam pratipAdayanti na puruza apekzayA /
   sambandhānubhavaścāyaṃ so 'nyatrāpi vilakṣaṇa' /	sambanDa anuBavaH ca ayam saH anyatra api vilakzaNa a /
   etasmin puruṣāpekṣo deśāpekṣo 'gnidhūmayo' // Msv_5,5.22 //	etasmin puruza apekzaH deSa apekzaH agni DUmayaH a // Msu _5,5.22 //
   kālādyapekṣayā cānya uktā cānyairabhinnatā /	kAla Adi apekzayA ca anyaH uktA ca anyEH aBinnatA /
