   Rmañj, 1	RmaQj, 1
   śālyannaṃ takrasahitaṃ bhojayed bilvasaṃyutam // Rmañj_6.85 //	SAli-annam takra-sahitam Bojayet bilva-saMyutam // RmaQt-_6.85 //
   sannipāte mahāghore tridoṣe viṣamajvare /	sannipAte mahA-Gore tridoze vizamajvare /
   āmavāte vātaśūle gulme plīhni jalodare // Rmañj_6.86 //	AmavAte vAta-SUle gulme plIhni jala-udare // RmaQt-_6.86 //
   śītapūrve dāhapūrve viṣame satatajvare /	SIta-pUrve dAha-pUrve vizame satata-jvare /
   agnimāṃdye ca vāte ca prayojyo'yaṃ raseśvaraḥ // Rmañj_6.87 //	agni-mAMdye ca vAte ca prayojyaH-ayam raseSvaraH // RmaQt-_6.87 //
   mṛtasaṃjīvanaṃ nāma khyāto'yaṃ rasasāgare // Rmañj_6.88 //	mRtasaMjIvanam nAma KyAtaH-ayam rasa-sAgare // RmaQt-_6.88 //
   <ravisundararasaḥ>	<ravisundara-rasaH>
   dvibhāgatālena hataṃ ca tāmraṃ rasaṃ ca gandhaṃ ca viṣaṃ samaṃ syāt /	dvi-BAga-tAlena hatam ca tAmram rasam ca ganDam ca vizam samam syAt /
   jayapālabījaṃ dviguṇaṃ ca dadyāt trisaptavāreṇa divākarāṃśau // Rmañj_6.89	jayapAla-bIjam dviguNam ca dadyAt tri-sapta-vAreNa divAkara-aMSO // RmaQt-_6.89
   vimardya nimbasvarasena cūrṇaṃ guñjaikamānaṃ sitayā sametam /	vimardya nimba-svarasena cUrNam guQjA-eka-mAnam sitayA sametam /
   jvarāṅkuśo'yaṃ ravisundarākhyo jvarānnihantyaṣṭavidhān samagrān //	jvarAFkuSaH-ayam ravisundara-AKyaH jvarAn-nihanti-azwaviDAn samagrAn //
   Rmañj_6.90 //	RmaQt-_6.90 //
   <sannipātabhairavarasaḥ>	<sannipAta-BErava-rasaH>
   tāmragandharasaśvetaspandāmaricapūtanāḥ /	tAmra-ganDa-rasa-Sveta-spandA-marica-pUtanAH /
   samīnapittajaipālāstulyā ekatra marditāḥ // Rmañj_6.91 //	sa-mIna-pitta-jEpAlAH-tulyAH ekatra marditAH // RmaQt-_6.91 //
   guñjācatuṣṭayaṃ cāsyā navajvaraharaḥ paraḥ /	guQjA-catuzwayam ca-asyAH navajvara-haraH paraH /
   jvarāṅkuśaḥ saṃnipātabhairavo'yaṃ prakāśitaḥ // Rmañj_6.92 //	jvarAFkuSaH saMnipAta-BEravaH-ayam prakASitaH // RmaQt-_6.92 //
   <bhasmeśvararasaḥ>	<Basma-ISvara-rasaH>
   bhasmaṣoḍaśaniṣkaṃ syādāraṇyopalakodbhavam /	Basma-zoxaSa-nizkam syAt-AraNyopalaka-udBavam /
   niṣkatrayaṃ ca maricaṃ viṣaṃ niṣkaṃ ca cūrṇayet // Rmañj_6.93 //	nizka-trayam ca maricam vizam nizkam ca cUrNayet // RmaQt-_6.93 //
   ayaṃ bhasmeśvaro nāma sannipātanikṛntanaḥ /	ayam BasmeSvaraH nAma sannipAta-nikRntanaH /
   pañcaguñjāmito bhakṣedārdrakasya rasena ca // Rmañj_6.94 //	paQca-guQjA-mitaH Bakzet-Ardrakasya rasena ca // RmaQt-_6.94 //
   <pratāpalaṅkeśvararasaḥ>	<pratA-pa-laFkeSvara-rasaH>
   apāmārgasya mūlasya cūrṇaṃ citrakamūlajaiḥ /	apAmArgasya mUlasya cUrNam citraka-mUla-jEH /
   valkalairmardayitvā ca rasaṃ vastreṇa gālayet // Rmañj_6.95 //	valkalEH-mardayitvA ca rasam vastreNa gAlayet // RmaQt-_6.95 //
   tena sūtasamaṃ gandhamabhrakaṃ daradaṃ viṣam /	tena sUta-samam ganDam-aBrakam daradam vizam /
   ṭaṅkaṇaṃ tālakaṃ caiva mardayed dinasaptakam // Rmañj_6.96 //	waFkaNam tAlakam ca-eva mardayet dina-saptakam // RmaQt-_6.96 //
   tridinaṃ muśalīkandairbhāvayed gharmarakṣitam /	tri-dinam muSalI-kandEH-BAvayet Garma-rakzitam /
   mūṣāṃ ca gostanākārāmāpūrya pariḍhakkayet // Rmañj_6.97 //	mUzAm ca gostana-AkArAm-ApUrya pariXakkayet // RmaQt-_6.97 //
   saptabhir mṛttikāvastrair veṣṭayitvā puṭellaghu /	saptaBiH mRttikA-vastrEH vezwayitvA puwet-laGu /
   rasatulyaṃ lohavaṅgau rajataṃ tāmrakaṃ tathā // Rmañj_6.98 //	rasa-tulyam loha-vaFgO rajatam tAmrakam taTA // RmaQt-_6.98 //
   madhūkasārajaladau reṇukā gugguluḥ śilā /	maDUka-sAra-jaladO reNukA gugguluH SilA /
   cavyakaṃ ca samāṃśaṃ syādbhāgārddhaṃ śodhitaṃ viṣam // Rmañj_6.99 //	cavyakam ca sama-aMSam syAt-BAga-ardDam SoDitam vizam // RmaQt-_6.99 //
   tatsarvaṃ mardayetkhalve bhāvayedviṣanīrataḥ /	tat-sarvam mardayet-Kalve BAvayet-viza-nIrataH /
   ātape saptadhā tīvre mardayed ghaṭikādvayam // Rmañj_6.100 //	Atape saptaDA tIvre mardayet GawikA-dvayam // RmaQt-_6.100 //
   kaṭutrayakaṣāyeṇa kanakasya rasena ca /	kawutraya-kazAyeNa kanakasya rasena ca /
   phalatrayakaṣāyeṇa munipuṣparasena ca // Rmañj_6.101 //	Palatraya-kazAyeNa muni-puzpa-rasena ca // RmaQt-_6.101 //
   samudraphalanīreṇa vijayāvāriṇā tathā /	samudra-Pala-nIreNa vijayA-vAriNA taTA /
   citrakasya kaṣāyeṇa jvālāmukhyā rasena ca // Rmañj_6.102 //	citrakasya kazAyeNa jvAlAmuKyAH rasena ca // RmaQt-_6.102 //
   pratyekaṃ saptadhā bhāvyaṃ tadvatpiṣṭaṃ ca bhāvayet /	pratyekam saptaDA BAvyam tadvat-pizwam ca BAvayet /
   sarvasya samabhāgena viṣeṇa paridhūpayet // Rmañj_6.103 //	sarvasya sama-BAgena vizeNa pariDUpayet // RmaQt-_6.103 //
   dinaṃ vimardayitvātha rakṣayetkūpikāntare /	dinam vimardayitvA-aTa rakzayet-kUpikA-antare /
   guñjaikaṃ vahṇinīreṇa śṛṅgaverarasena vā // Rmañj_6.104 //	guQjA-ekam vahNi-nIreNa SRFgavera-rasena vA // RmaQt-_6.104 //
   pradadyādrogiṇe tīvramohavismṛtiśāntaye /	pradadyAt-rogiNe tIvra-moha-vismRti-SAntaye /
   śastreṇa tālumāhatya mardayedārdranīrataḥ // Rmañj_6.105 //	SastreNa tAlum-Ahatya mardayet-Ardra-nIrataH // RmaQt-_6.105 //
   nodghaṭante yadā dantāstadā kuryādamuṃ vidhim /	na-udGawante yadA dantAH-tadA kuryAt-amum viDim /
   secayenmantrayitvātha vārāṃ kumbhaśatair muhuḥ // Rmañj_6.106 //	secayet-mantrayitvA-aTa vArAm kumBa-SatEH muhur // RmaQt-_6.106 //
   bhojanecchā yadā tasya jāyate rogiṇastadā /	Bojana-icCA yadA tasya jAyate rogiNaH-tadA /
   dadhyodanaṃ sitāyuktaṃ dadyāttakraṃ sajīrakam // Rmañj_6.107 //	daDi-odanam sitA-yuktam dadyAt-takram sa-jIrakam // RmaQt-_6.107 //
   pāne pānaṃ sitāyuktaṃ yadīcchati tadā dadet /	pAne pAnam sitA-yuktam yadi-icCati tadA dadet /
   evaṃ kṛte na śāntiḥ syāttāpasya rasajasya ca // Rmañj_6.108 //	evam kRte na SAntiH syAt-tApasya rasa-jasya ca // RmaQt-_6.108 //
   sacandracandanarasollepanaṃ kuru śītalam /	sa-candra-candana-rasa-ullepanam kuru SItalam /
   tūlikāmallikājātīpunnāgabakulāvṛtām // Rmañj_6.109 //	tUlikA-mallikA-jAtI-punnAga-bakula-AvRtAm // RmaQt-_6.109 //
   vidhāya śayyāṃ tatrasthaṃ lepayeccandanair muhuḥ /	viDAya SayyAm tatrasTam lepayet-candanEH muhur /
   hāvabhāvavilāsoktikaṭākṣacañcalekṣaṇaiḥ // Rmañj_6.110 //	hAva-BAva-vilAsa-ukti-kawAkza-caQcala-IkzaNEH // RmaQt-_6.110 //
   pīnottuṅgakucotpīḍaiḥ kāminīparirambhaṇaiḥ /	pIna-uttuFga-kuca-utpIxEH kAminI-pariramBaNEH /
   ramyavīṇāninādādyair gāyanaiḥ śravaṇāmṛtaiḥ // Rmañj_6.111 //	ramya-vINA-ninAda-AdyEH gAyanEH SravaNa-amRtEH // RmaQt-_6.111 //
   puṇyaślokapurāṇānāṃ kathāsambhāṣaṇaiḥ śubhaiḥ /	puNya-Sloka-purANAnAm kaTA-samBAzaNEH SuBEH /
   ebhiḥ prakāraistāpasya jāyate śamanaṃ param // Rmañj_6.112 //	eBiH prakArEH-tApasya jAyate Samanam param // RmaQt-_6.112 //
   varjayenmaithunaṃ tāvadyāvanno balavān bhavet /	varjayet-mETunam tAvat-yAvat-naH balavAn Bavet /
   dadyādvātādirogeṣu sindhuguggulavahṇibhiḥ // Rmañj_6.113 //	dadyAt-vAta-Adi-rogezu sinDu-guggula-vahNiBiH // RmaQt-_6.113 //
   dadyātkaṇāmākṣikābhyāṃ kāmalākṣayapāṇḍuṣu /	dadyAt-kaNA-mAkzikAByAm kAmalA-kzaya-pANxuzu /
   tattadrogānupānena sarvarogeṣu yojayet // Rmañj_6.114 //	tad-tad-roga-anupAnena sarva-rogezu yojayet // RmaQt-_6.114 //
   ayaṃ pratāpalaṅkeśaḥ sannipātanikṛntanaḥ // Rmañj_6.115 //	ayam pratApa-laFkeSaH sannipAta-nikRntanaH // RmaQt-_6.115 //
   <mahodadhirasaḥ>	<mahA-udaDi-rasaH>
   sūtakaṃ gandhakaṃ lohaṃ viṣaṃ cāpi varāṭakam /	sUtakam ganDakam loham vizam ca-api varAwakam /
   tāmrakaṃ vaṅgabhasmātha abhrakaṃ ca samāṃśakam // Rmañj_6.116 //	tAmrakam vaFga-Basma-aTa aBrakam ca sama-aMSakam // RmaQt-_6.116 //
   trikaṭu patramustaṃ ca viḍaṅgaṃ nāgakeśaram /	trikawu patra-mustam ca vixaFgam nAgakeSaram /
   reṇukāmalakaṃ caiva pippalīmūlameva ca // Rmañj_6.117 //	reNukA-Amalakam ca-eva pippalI-mUlam-eva ca // RmaQt-_6.117 //
   eṣāṃ ca dviguṇaṃ bhāgaṃ mardayitvā prayatnataḥ /	ezAm ca dviguNam BAgam mardayitvA prayatnataH /
   bhāvanā tatra dātavyā gajapippalikāmbunā // Rmañj_6.118 //	BAvanA tatra dAtavyA gajapippalikA-ambunA // RmaQt-_6.118 //
   mātrā caṇakamānā tu vaṭikeyaṃ prakīrtitā /	mAtrA caNaka-mAnA tu vawikA-iyam prakIrtitA /
   śvāsaṃ hanti tathā kāsam arśāṃsi ca bhagandaram // Rmañj_6.119 //	SvAsam hanti taTA kAsam arSAMsi ca Bagandaram // RmaQt-_6.119 //
   hṛcchūlaṃ pārśvaśūlaṃ ca karṇarogaṃ kapālikam /	hRd-SUlam pArSva-SUlam ca karNa-rogam kapAlikam /
   haretsaṃgrahaṇīrogamaṣṭau ca jāṭharāṇi ca /	haret-saMgrahaNI-rogam-azwO ca jAWarANi ca /
   pramehaviṃśatiṃ caiva aśmarīṃ ca caturvidhām // Rmañj_6.120 //	prameha-viMSatim ca-eva aSmarIm ca caturviDAm // RmaQt-_6.120 //
   na cānnapāne parihāramasti na śītavātādhvani maithune ca /	na ca-anna-pAne parihAram-asti na SIta-vAta-aDvani mETune ca /
   yatheṣṭaceṣṭābhirataḥ prayoge naro bhavetkāñcanarāśigauraḥ // Rmañj_6.121	yaTezwa-cezwABiH-atas prayoge naraH Bavet-kAQcana-rASi-gOraH // RmaQt-_6.121
   <madodadhivaṭī>	<mada-udaDi-vawI>
   ekaikaṃ viṣasūtaṃ ca jātī ṭaṅkaṃ dvikaṃ dvikam /	ekEkam viza-sUtam ca jAtI waFkam dvikam dvikam /
   kṛṣṇātrikaṃ viśvaṣaṭkaṃ dagdhaṃ kapardikādvikam // Rmañj_6.122 //	kRzNA-trikam viSva-zawkam dagDam kapardikA-dvikam // RmaQt-_6.122 //
   devapuṣpaṃ bāṇamitaṃ sarvaṃ saṃmardya yatnataḥ /	devapuzpam bANa-mitam sarvam saMmardya yatnatas /
   mahodadhyākhyavaṭikā naṣṭasyāgneśca dīpanī // Rmañj_6.123 //	mahodaDi-AKya-vawikA nazwasya-agneH-ca dIpanI // RmaQt-_6.123 //
   <unmattarasaḥ>	<unmatta-rasaH>
   rasaṃ ca gandhakaṃ caiva dhattūraphalajair dravaiḥ /	rasam ca ganDakam ca-eva DattUra-Pala-jEH dravEH /
   mardayed dinamekaṃ ca tulyaṃ trikaṭukaṃ kṣipet // Rmañj_6.124 //	mardayet dinam-ekam ca tulyam trikawukam kzipet // RmaQt-_6.124 //
   unmattākhyaraso nāma sannipātanikṛntanaḥ /	unmatta-AKya-rasaH nAma sannipAta-nikRntanaH /
   kastena na kṛto dharmaḥ kāṃ ca pūjāṃ na so'rhati /	kaH-tena na kRtaH DarmaH kAm ca pUjAm na saH-arhati /
   sannipātārṇave magnaṃ yo'bhyuddharati dehinam // Rmañj_6.125 //	sannipAta-arNave magnam yaH-aByudDarati dehinam // RmaQt-_6.125 //
   <saṃjñākaraṇarasaḥ>	<saMjQA-karaNa-rasaH>
   vacā rasonakaṭukaṃ saindhavaṃ bṛhatīphalam /	vacA rasona-kawukam sEnDavam bRhatI-Palam /
   rudrākṣaṃ madhusāraṃ ca phalaṃ sāmudrakāmṛtam // Rmañj_6.126 //	rudrAkzam maDusAram ca Palam sAmudraka-amRtam // RmaQt-_6.126 //
   samabhāgāni caitāni hyarkakṣīreṇa bhāvayet /	sama-BAgAni ca-etAni hi-arka-kzIreNa BAvayet /
   bhāvayenmatsyapittena trivāraṃ cūrṇayettataḥ // Rmañj_6.127 //	BAvayet-matsya-pittena tri-vAram cUrNayet-tatas // RmaQt-_6.127 //
   dhamanaṃ kathitaṃ śreṣṭhaṃ sannipāte sudāruṇe /	Damanam kaTitam SrezWam sannipAte su-dAruNe /
   kapholvaṇe'tivāte ca apasmāre halīmake // Rmañj_6.128 //	kaPa-ulvaNe-ativAte ca apasmAre halImake // RmaQt-_6.128 //
   śiroroge karṇaroge netraroge vidhānataḥ /	SiraH-roge karNa-roge netra-roge viDAnataH /
   dāpayedghrāṇachidrābhyāṃ saṃjñākaraṇam uttamam // Rmañj_6.129 //	dApayet-GrANa-CidrAByAm saMjQA-karaNam uttamam // RmaQt-_6.129 //
   <candraśekhararasaḥ>	<candraSeKara-rasaH>
   śuddhaṃ sūtaṃ samaṃ gandhaṃ maricaṃ ṭaṅkaṇaṃ tathā // Rmañj_6.130 //	SudDam sUtam samam ganDam maricam waFkaNam taTA // RmaQt-_6.130 //
   catustulyā sitā yojyā matsyapittena bhāvayet /	catur-tulyA sitA yojyAH matsya-pittena BAvayet /
   tridinaṃ mardayettena raso'yaṃ candraśekharaḥ // Rmañj_6.131 //	tri-dinam mardayet-tena rasaH-ayam candraSeKaraH // RmaQt-_6.131 //
   dviguñjamārdrakadrāvairdeyaṃ śītodakaṃ punaḥ /	dvi-guQjam-Ardraka-drAvEH-deyam SIta-udakam punar /
   takrabhaktaṃ ca vṛntākaṃ pathyaṃ tatra nidhāpayet // Rmañj_6.132 //	takra-Baktam ca vRntAkam paTyam tatra niDApayet // RmaQt-_6.132 //
   <kanakasundararasaḥ>	<kanakasundara-rasaH>
   hiṅgulaṃ maricaṃ gandhaṃ pippalīṃ ṭaṅkaṇaṃ viṣam // Rmañj_6.133 //	hiFgulam maricam ganDam pippalIm waFkaNam vizam // RmaQt-_6.133 //
   kanakasya ca bījāni samāṃśaṃ vijayārasaiḥ /	kanakasya ca bIjAni sama-aMSam vijayA-rasEH /
   mardayedyāmamātraṃ tu caṇamātrā vaṭī kṛtā // Rmañj_6.134 //	mardayet-yAma-mAtram tu caNa-mAtrA vawI kRtA // RmaQt-_6.134 //
   bhakṣaṇādgrahaṇīṃ hanyādrasaḥ kanakasundaraḥ /	BakzaNAt-grahaNIm hanyAt-rasaH kanakasundaraH /
   agnimāṃdyaṃ jvaraṃ tīvramatisāraṃ ca nāśayet // Rmañj_6.135 //	agni-mAMdyam jvaram tIvram-atisAram ca nASayet // RmaQt-_6.135 //
   grahaṇīdoṣiṇāṃ takraṃ dīpanaṃ grāhilāghavam /	grahaNI-doziNAm takram dIpanam grAhi-lAGavam /
   pathyaṃ madhurapākitvānna ca pittaprakopanam // Rmañj_6.136 //	paTyam maDura-pAki-tvAt-na ca pitta-prakopanam // RmaQt-_6.136 //
   <rāvavāṇarasaḥ>	<rAvavANa-rasaH>
   sūtakaṃ gandhakaṃ caiva śāṇaṃ śāṇaṃ ca gṛhyate // Rmañj_6.137 //	sUtakam ganDakam ca-eva SANam SANam ca gRhyate // RmaQt-_6.137 //
   daradaṃ ṭaṅkaṇaṃ caiva maricaṃ ca viṣaṃ tathā /	daradam waFkaNam ca-eva maricam ca vizam taTA /
   catvāra auṣadhayaḥ sarve dvidviṭaṅkaṃ ca kathyate // Rmañj_6.138 //	catvAraH OzaDayaH sarve dvi-dvi-waFkam ca kaTyate // RmaQt-_6.138 //
   jaipālabījaṃ saṃyojyaṃ ṭaṅkaṃ ca dikpramāṇataḥ /	jEpAla-bIjam saMyojyam waFkam ca diS-pramANataH /
   tintiḍīrasasaṃmardyaṃ guñjāmātravaṭī kṛtā // Rmañj_6.139 //	tintixI-rasa-saMmardyam guQjA-mAtra-vawI kRtA // RmaQt-_6.139 //
   tulasīpatrasaṃyuktā sarve ca viṣamajvarāḥ /	tulasI-patra-saMyuktA sarve ca vizamajvarAH /
   aikāhikaṃ dvyāhikaṃ ca tryāhikaṃ ca caturthakam // Rmañj_6.140 //	EkAhikam dvyAhikam ca tryAhikam ca caturTakam // RmaQt-_6.140 //
   śītadāhyādikaṃ sarvaṃ nāśayati ca vegataḥ /	SIta-dAhi-Adikam sarvam nASayati ca vegataH /
   pathyaṃ dugdhaudanaṃ deyaṃ dadhibhaktaṃ ca bhojanam // Rmañj_6.141 //	paTyam dugDa-odanam deyam daDi-Baktam ca Bojanam // RmaQt-_6.141 //
   rāmavāṇaraso nāma sarvarogapraṇāśakaḥ // Rmañj_6.142 //	rAmavANarasaH nAma sarva-roga-praNASakaH // RmaQt-_6.142 //
   <candraprabhāvaṭī>	<candra-praBAvawI>
   mṛtaṃ sūtaṃ mṛtaṃ tāmraṃ mṛtaṃ svarṇaṃ samaṃ samam /	mRtam sUtam mRtam tAmram mRtam svarNam samam samam /
   tulyaṃ ca khādiraṃ sāraṃ tathā mocarasaṃ kṣipet // Rmañj_6.143 //	tulyam ca KAdiram sAram taTA mocarasam kzipet // RmaQt-_6.143 //
   dravaiḥ śālmalimūlotthair mardayet praharadvayam /	dravEH SAlmali-mUla-utTEH mardayet prahara-dvayam /
   caṇamātrāṃ vaṭīṃ bhakṣenniṣkaikaṃ jīrakaiḥ saha /	caNa-mAtrAm vawIm Bakzet-nizka-ekam jIrakEH saha /
   tridoṣotthamatīsāraṃ sajvaraṃ nāśayeddhruvam // Rmañj_6.144 //	tridoza-utTam-atIsAram sa-jvaram nASayet-Druvam // RmaQt-_6.144 //
   <citrāmbararasaḥ>	<citra-ambara-rasaH>
   śuddhasūtaṃ mṛtaṃ cābhraṃ gandhakaṃ mardayetsamam /	SudDa-sUtam mRtam ca-aBram ganDakam mardayet-samam /
   lohapātre ghṛtābhyakte yāmaṃ mṛdvagninā pacet // Rmañj_6.145 //	loha-pAtre GRta-aByakte yAmam mRdu-agninA pacet // RmaQt-_6.145 //
   cālayellohadaṇḍena hyavatārya vibhāvayet /	cAlayet-loha-daNxena hi-avatArya viBAvayet /
   tridinaṃ jīrakaiḥ kvāthair māsaikaṃ bhakṣayennaraḥ // Rmañj_6.146 //	tri-dinam jIrakEH kvATEH mAsa-ekam Bakzayet-naraH // RmaQt-_6.146 //
   rasaś citrāmbaro nāma grahaṇīṃ raktasaṃyutām /	rasaH citrAmbaraH nAma grahaNIm rakta-saMyutAm /
   śamayedanupānena āmaśūlaṃ pravāhikām // Rmañj_6.147 //	Samayet-anupAnena Ama-SUlam pravAhikAm // RmaQt-_6.147 //
   <grahaṇīkapāṭarasaḥ>	<grahaNI-kapAwa-rasaH>
   tāramauktikahemāyaḥ sāraś caikaikabhāgikāḥ /	tAra-mOktika-hema-ayaH sAraH ca-ekEka-BAgikAH /
   dvibhāgo gandhakaḥ sūtastribhāgo mardayeddinam // Rmañj_6.148 //	dvi-BAgaH ganDakaH sUtaH-tri-BAgaH mardayet-dinam // RmaQt-_6.148 //
   kapitthasvarasairgāḍhaṃ mṛgaśṛṅge tataḥ kṣipet /	kapitTa-svarasEH-gAXam mRga-SRFge tatas kzipet /
   puṭenmadhyapuṭenaiva tata uddhṛtya mardayet // Rmañj_6.149 //	puwet-maDya-puwena-eva tatas udDRtya mardayet // RmaQt-_6.149 //
   balārasaiḥ saptadhaivam apāmārgarasais tridhā /	balA-rasEH saptaDA-evam apAmArga-rasEH triDA /
   lodhraprativiṣāmustādhātakīndrayavāmṛtāḥ // Rmañj_6.150 //	loDra-prativizA-mustA-DAtakI-indrayava-amRtAH // RmaQt-_6.150 //
   pratyekameṣāṃ svarasairbhāvanā syāttridhā tridhā /	pratyekam-ezAm svarasEH-BAvanA syAt-triDA triDA /
   māṣamātraraso deyo madhunā maricaiḥ saha // Rmañj_6.151 //	mAza-mAtra-rasaH deyaH maDunA maricEH saha // RmaQt-_6.151 //
   hanyātsarvānatīsārāngrahaṇīṃ pañcadhāpi ca /	hanyAt-sarvAn-atIsArAn-grahaNIm paQcaDA-api ca /
   kapāṭo grahaṇīnāma raso'yaṃ cāgnidīpanaḥ // Rmañj_6.152 //	kapAwaH grahaNI-nAma rasaH-ayam ca-agni-dIpanaH // RmaQt-_6.152 //
   <grahaṇīkapāṭarasaḥ>	<grahaNI-kapAwa-rasaH>
   muktāsuvarṇaṃ rasagandhaṭaṅkaṇaṃ ghanaṃ kapardo'mṛtatulyabhāgam /	muktA-suvarNam rasa-ganDa-waFkaNam Ganam kapardaH-amRta-tulya-BAgam /
   sarvaiḥ samaṃ śaṅkhakacūrṇayuktaṃ khalve ca bhāvyo'tiviṣādraveṇa //	sarvEH samam SaFKaka-cUrNa-yuktam Kalve ca BAvyaH-ativizA-draveNa //
   Rmañj_6.153 //	RmaQt-_6.153 //
   golaṃ ca kṛtvā mṛtkarpaṭasthaṃ saṃrudhya bhāṇḍe hi paced dinārdham /	golam ca kRtvA mRd-karpawa-sTam saMruDya BANxe hi pacet dina-arDam /
   susvāṅgaśīto rasa eṣa bhāvyo dhattūravahṇimuśalīdravaiśca // Rmañj_6.154	su-svAFgaSItaH rasaH eza BAvyaH DattUra-vahNi-muSalI-dravEH-ca // RmaQt-_6.154
   lohasya pātre paripācitaśca siddho bhavet saṃgrahaṇīkapāṭaḥ /	lohasya pAtre paripAcitaH-ca sidDaH Bavet saMgrahaNIkapAwaH /
   vātottarāyāṃ maricājyayuktaḥ pittottarāyāṃ madhupippalībhiḥ // Rmañj_6.155	vAta-uttarAyAm marica-Ajya-yuktaH pitta-uttarAyAm maDu-pippalIBiH // RmaQt-_6.155
   śleṣmottarāyāṃ vijayārasena kaṭutrayeṇāpi yuto grahaṇyām // Rmañj_6.156 //	Slezma-uttarAyAm vijayA-rasena kawutrayeNa-api yutaH grahaNyAm // RmaQt-_6.156 //
   kṣaye jvare'pyarśasi viḍvikāre sāmātisāre'rucipīnase ca /	kzaye jvare-api-arSasi viz-vikAre sAma-atisAre-aruci-pInase ca /
   mohe ca kṛcchre gatadhātuvṛddhau guñjādvayaṃ cāpi mahāmayaghnam //	mohe ca kRcCre gata-DAtu-vRdDO guQjA-dvayam ca-api mahA-Amaya-Gnam //
   Rmañj_6.157 //	RmaQt-_6.157 //
   <vajrakapāṭarasaḥ>	<vajra-kapAwa-rasaH>
   mṛtasūtābhrakaṃ gandhaṃ yavakṣāraṃ saṭaṅkaṇam // Rmañj_6.158 //	mRta-sUta-aBrakam ganDam yavakzAram sa-waFkaNam // RmaQt-_6.158 //
   agnimanthaṃ vacāṃ kuryāt sūtatulyām imāṃ sudhīḥ /	agnimanTam vacAm kuryAt sUta-tulyAm imAm suDIH /
   tato jayantījambīrabhṛṅgadrāvair vimardayet // Rmañj_6.159 //	tatas jayantI-jambIra-BRFga-drAvEH vimardayet // RmaQt-_6.159 //
   trivāsaraṃ tato golaṃ kṛtvā saṃśoṣya dhārayet /	tri-vAsaram tatas golam kRtvA saMSozya DArayet /
   lohapātre ca lavaṇaṃ athopari nidhāpayet // Rmañj_6.160 //	loha-pAtre ca lavaNam aTa-upari niDApayet // RmaQt-_6.160 //
   adhovahniṃ śanaiḥ kuryād yāmārdhaṃ ca tad uddharet /	aDas-vahnim SanEs kuryAt yAma-arDam ca tat udDaret /
   rasatulyāmativiṣāṃ dadyānmocarasaṃ tathā // Rmañj_6.161 //	rasa-tulyAm-ativizAm dadyAt-moca-rasam taTA // RmaQt-_6.161 //
   kapitthavijayādrāvairbhāvayet saptadhā bhiṣak /	kapitTa-vijayA-drAvEH-BAvayet saptaDA Bizaj /
   dhātakīndrayavamustālodhrabilvaguḍūcikāḥ // Rmañj_6.162 //	DAtaki-indrayava-mustA-loDra-bilva-guxUcikAH // RmaQt-_6.162 //
   etadrasairbhāvayitvā vāraikaṃ ca viśoṣayet /	etad-rasEH-BAvayitvA vAra-ekam ca viSozayet /
   rasavajraṃ kapāṭākhyaṃ māṣaikaṃ madhunā lihet // Rmañj_6.163 //	rasavajram kapAwa-AKyam mAza-ekam maDunA lihet // RmaQt-_6.163 //
   vahniḥ śuṇṭhī viḍaṅgāpi bilvaṃ ca lavaṇaṃ samam /	vahniH SuNWI vixaFgA-api bilvam ca lavaNam samam /
   pibed uṣṇāmbunā cānu sarvajāṃ grahaṇīṃ jayet // Rmañj_6.164 //	pibet uzNa-ambunA ca-anu sarvajAm grahaNIm jayet // RmaQt-_6.164 //
   <vijayabhairavarasaḥ>	<vijaya-BErava-rasaH>
   sūtakaṃ gandhakaṃ lohaṃ viṣaṃ citrakamabhrakam /	sUtakam ganDakam loham vizam citrakam-aBrakam /
   viḍaṅgaṃ reṇukā mustā elā keśarapatrakam /	vixaFgam reNukA mustA elA keSara-patrakam /
   phalatrayaṃ trikaṭukaṃ śulbabhasma tathaiva ca // Rmañj_6.165 //	Palatrayam trikawukam Sulba-Basma taTA-eva ca // RmaQt-_6.165 //
   etāni samabhāgāni dviguṇo dīyate guḍaḥ /	etAni sama-BAgAni dviguNaH dIyate guxaH /
   kāse śvāse kṣaye gulme pramehe viṣamajvare // Rmañj_6.166 //	kAse SvAse kzaye gulme pramehe vizamajvare // RmaQt-_6.166 //
   sūtāyāṃ grahaṇīmāṃdye śūle pāṇḍvāmaye tathā /	sUtAyAm grahaNI-mAMdye SUle pANxu-Amaye taTA /
   hastapādādirogeṣu guṭikeyaṃ praśasyate // Rmañj_6.167 //	hasta-pAda-Adi-rogezu guwikA-iyam praSasyate // RmaQt-_6.167 //
   <ānandabhairavarasaḥ>	<a-AnandaBErava-rasaH>
   daradaṃ vatsanābhaṃ ca maricaṃ ṭaṅkaṇaṃ kaṇā // Rmañj_6.168 //	daradam vatsanABam ca maricam waFkaNam kaNA // RmaQt-_6.168 //
   cūrṇayetsamabhāgena raso hyānandabhairavaḥ /	cUrNayet-sama-BAgena rasaH hi-AnandaBEravaH /
   guñjaikaṃ tu dviguñjaṃ vā balaṃ jñātvā prayojayet // Rmañj_6.169 //	guQjA-ekam tu dvi-guQjam vA balam jQAtvA prayojayet // RmaQt-_6.169 //
   madhunā lehayeccānu kuṭajasya phalatvacam /	maDunA lehayet-ca-anu kuwajasya Pala-tvacam /
