   Revākhaṇḍa of the Vāyupurāṇa	RevAKaNxaH of Te VAyupurANa
   iti śrutvā tato devāḥ sarve śakrapurogamāḥ /	iti SrutvA tatas devAH sarve Sakra purogamAH /
   brahmaviṣṇumaheśāśca sthāpayāṃcakrur īśvaram // RKV_146.108 //	brahma vizNu maheSAH ca sTApayAMcakruH ISvaram // RKV_146.108 //
   sarvarogopaśamanaṃ sarvapātakanāśanam /	sarva roga upaSamanam sarva pAtaka nASanam /
   yastu saṃvatsaraṃ pūrṇamamāvāsyāṃ tu bhāvitaḥ // RKV_146.109 //	yaH tu saMvatsaram pUrNam amAvAsyAm tu BAvitaH // RKV_146.109 //
   pitṛbhyaḥ piṇḍadānaṃ ca kuryādasmāhake nṛpa /	pitRByaH piNxa dAnam ca kuryAt asmAhake nRpa /
   tripuṣkare gayāyāṃ ca prabhāse naimiṣe tathā // RKV_146.110 //	tripuzkare gayAyAm ca praBAse nEmize taTA // RKV_146.110 //
   yatpuṇyaṃ śrāddhakartḥṇāṃ tadihaiva bhaveddhruvam /	yat puNyam SrAdDa kartHNAm tat iha eva Bavet Druvam /
   tilodakaṃ kuśairmiśraṃ yo dadyāddakṣiṇāmukhaḥ // RKV_146.111 //	tila udakam kuSEH miSram yaH dadyAt dakziNA muKaH // RKV_146.111 //
   manvādau ca yugādau ca vyatīpāte dinakṣaye /	manu AdO ca yuga AdO ca vyatIpAte dinakzaye /
   yo dadyāt pitṛmātṛbhyaḥ so 'śvamedhaphalaṃ labhet // RKV_146.112 //	yaH dadyAt pitR mAtRByaH saH aSvameDa Palam laBet // RKV_146.112 //
   asmāhake naro yastu snātvā sampūjayeddharim /	asmAhake naraH yaH tu snAtvA sampUjayet harim /
   brahmāṇaṃ śaṅkaraṃ bhaktyā kuryāj jāgaraṇakriyām // RKV_146.113 //	brahmANam SaFkaram BaktyA kuryAt jAgaraNa kriyAm // RKV_146.113 //
   sarvapāpavinirmuktaḥ śakrātithyamavāpnuyāt /	sarva pApa vinirmuktaH Sakra AtiTyam avApnuyAt /
   tatra tīrthe naraḥ snātvā yaḥ paśyati janārdanam // RKV_146.114 //	tatra tIrTe naraH snAtvA yaH paSyati janArdanam // RKV_146.114 //
   viśeṣavidhinābhyarcya praṇamya ca punaḥpunaḥ /	viSeza viDinA aByarcya praNamya ca punar punar /
   saputreṇa ca tenaiva pitḥṇāṃ vihitā gatiḥ // RKV_146.115 //	sa putreNa ca tena eva pitHNAm vihitA gatiH // RKV_146.115 //
   ekamūrtistrayo devā brahmaviṣṇumaheśvarāḥ /	eka mUrtiH trayaH devAH brahma vizNu maheSvarAH /
   satkāryakāraṇopetāḥ susūkṣmāḥ sumahāphalāḥ // RKV_146.116 //	satkArya kAraNa upetAH su sUkzmAH su mahA PalAH // RKV_146.116 //
   etatte kathitaṃ rājanmahāpātakanāśanam /	etat te kaTitam rAjan mahApAtaka nASanam /
   asmāhakasya māhātmyaṃ kimanyat paripṛcchasi // RKV_146.117 //	asmAhakasya mAhAtmyam kim anyat paripRcCasi // RKV_146.117 //
   || iti śrīskānde mahāpurāṇa ekāśītisāhasryāṃ saṃhitāyāṃ pañcama	|| iti SrI skAnde mahApurANe ekASIti sAhasryAm saMhitAyAm paQcama
   āvantyakhaṇḍe revākhaṇḍe asmāhakatīrthamāhātmyavarṇanaṃ nāma	Avantya KaNxe revAKaNxe asmAhakatIrTamAhAtmyavarNanam nAma
   ṣaṭcatvāriṃśadadhikaśatatamo 'dhyāyaḥ ||	zawcatvAriMSat aDikaSatatamaH aDyAyaH ||
   RKV adhyāya 147	RKV aDyAya 147
   mārkaṇḍeya uvāca:	mArkaNxeyaH uvAca:
   tato gacchenmahīpāla siddheśvaramanuttamam /	tatas gacCet mahIpAla sidDeSvaram anuttamam /
   narmadādakṣiṇe kūle tīrthaṃ paramaśobhanam // RKV_147.1 //	narmadA dakziNe kUle tIrTam parama SoBanam // RKV_147.1 //
   tatra tīrthe tu yaḥ snātvā pūjayed vṛṣabhadhvajam /	tatra tIrTe tu yaH snAtvA pUjayet vRzaBaDvajam /
   sarvapāpavinirmukto gatiṃ yātyaśvamedhinām // RKV_147.2 //	sarva pApa vinirmuktaH gatim yAti aSvameDinAm // RKV_147.2 //
   tatra tīrthe tu yaḥ snātvā śrāddhaṃ kuryāt prayatnataḥ /	tatra tIrTe tu yaH snAtvA SrAdDam kuryAt prayatnataH /
   pitḥṇāṃ prīṇanārthāya sarvaṃ tena kṛtaṃ bhavet // RKV_147.3 //	pitHNAm prINana arTAya sarvam tena kRtam Bavet // RKV_147.3 //
   tatra tīrthe mṛtānāṃ tu jantūnāṃ nṛpasattama /	tatra tIrTe mRtAnAm tu jantUnAm nRpa sattamaH /
   garbhavāse matisteṣāṃ na jāyeta kadācana // RKV_147.4 //	garBa vAse matiH tezAm na jAyeta kadAcana // RKV_147.4 //
   garbhavāso hi duḥkhāya na sukhāya kadācana /	garBa vAsaH hi duHKAya na suKAya kadAcana /
   tattīrthavāriṇā snātur na punarbhavasambhavaḥ // RKV_147.5 //	tad tIrTa vAriNA snAtuH na punarBava samBavaH // RKV_147.5 //
   || iti śrīskānde mahāpurāṇa ekāśītisāhasryāṃ saṃhitāyāṃ pañcama	|| iti SrI skAnde mahApurANe ekASIti sAhasryAm saMhitAyAm paQcama
   āvantyakhaṇḍe revākhaṇḍe siddheśvaratīrthamāhātmyavarṇanaṃ nāma	Avantya KaNxe revAKaNxe sidDeSvaratIrTamAhAtmyavarNanam nAma
   saptacatvāriṃśadadhikaśatatamo 'dhyāyaḥ ||	saptacatvAriMSat aDika SatatamaH aDyAyaH ||
   RKV adhyāya 148	RKV aDyAya 148
   śrīmārkaṇḍeya uvāca:	SrI mArkaNxeyaH uvAca:
   tato gacchenmahīpāla tīrthamaṅgārakaṃ śivam /	tatas gacCet mahIpAla tIrTam aFgArakam Sivam /
   uttare narmadākūle sarvapāpakṣayaṃkaram // RKV_148.1 //	uttare narmadA kUle sarva pApa kzayaMkaram // RKV_148.1 //
   caturthyaṅgārakadine saṃkalpya kṛtaniścayaḥ /	caturTI aFgAraka dine saMkalpya kRta niScayaH /
   snāyādastaṃ gate sūrye sandhyopāsanatatparaḥ // RKV_148.2 //	snAyAt astam gate sUrye sanDyA upAsana tatparaH // RKV_148.2 //
   pūjayellohitaṃ bhaktyā gandhamālyavibhūṣaṇaiḥ /	pUjayet lohitam BaktyA ganDa mAlya viBUzaNEH /
   saṃsthāpyasthaṇḍile devaṃ raktacandanacarcitam // RKV_148.3 //	saMsTApya sTaNxile devam raktacandana carcitam // RKV_148.3 //
   aṅgārakāyeti namaḥ karṇikāyāṃ prapūjayet /	aFgArakAya iti namaH karNikAyAm prapUjayet /
   kujāya bhūmiputrāya raktāṅgāya suvāsase // RKV_148.4 //	kujAya BUmiputrAya rakta aFgAya su vAsase // RKV_148.4 //
   harakopodbhavāyeti svedajāyātibāhave /	hara kopa udBavAya iti sveda jAya ati bAhave /
   sarvakāmapradāyeti pūrvādiṣu daleṣu ca // RKV_148.5 //	sarva kAma pradAya iti pUrva Adizu dalezu ca // RKV_148.5 //
   evaṃ sampūjya vidhivaddadyādarghyaṃ vidhānataḥ /	evam sampUjya viDivat dadyAt arGyam viDAnataH /
   bhūmiputra mahāvīrya svedodbhava pinākinaḥ // RKV_148.6 //	BUmiputra mahA vIrya sveda udBava pinAkinaH // RKV_148.6 //
   aṅgāraka mahātejā lohitāṅga namo 'stu te /	aFgAraka mahA tejAH lohitAFga namaH astu te /
   karakaṃ vārisaṃyuktaṃ śālitaṃdulapūritam // RKV_148.7 //	karakam vAri saMyuktam SAli taMdula pUritam // RKV_148.7 //
   sahiraṇyaṃ savastraṃ ca modakopari saṃsthitam /	sa hiraNyam sa vastram ca modaka upari saMsTitam /
   brāhmaṇāya nivedyaṃ tatkujo me prīyatāmiti // RKV_148.8 //	brAhmaNAya nivedyam tat kujaH me prIyatAm iti // RKV_148.8 //
   arghaṃ dattvā vidhānena raktacandanavāriṇā /	arGam dattvA viDAnena raktacandana vAriNA /
   raktapuṣpasamākīrṇaṃ tilataṃdulamiśritam // RKV_148.9 //	rakta puzpa samAkIrNam tila taMdula miSritam // RKV_148.9 //
   kṛtvā tāmramaye pātre maṇḍale vartule śubhe /	kRtvA tAmra maye pAtre maNxale vartule SuBe /
   kṛtvā śirasi tatpātraṃ jānubhyāṃ dharaṇīṃ gataḥ // RKV_148.10 //	kRtvA Sirasi tat pAtram jAnuByAm DaraNIm gataH // RKV_148.10 //
   mantrapūtaṃ mahābhāga dadyād arghyaṃ vicakṣaṇaḥ /	mantra pUtam mahABAga dadyAt arGyam vicakzaNaH /
   tato bhuñjīta maunena kṣāratilāmlavarjitam // RKV_148.11 //	tatas BuQjIta mOnena kzAra tila amla varjitam // RKV_148.11 //
   snigdhaṃ mṛdusamadhuram ātmanaḥ śreya icchatā /	snigDam mRdu sa maDuram AtmanaH SreyaH icCatA /
   evaṃ caturthe samprāpte caturthyaṅgārake nṛpa // RKV_148.12 //	evam caturTe samprApte caturTI aFgArake nRpa // RKV_148.12 //
   sauvarṇaṃ kārayeddevaṃ yathāśakti surūpiṇam /	sOvarNam kArayet devam yaTASakti surUpiNam /
   sthāpayet tāmrake pātre guḍapīṭhasamanvite // RKV_148.13 //	sTApayet tAmrake pAtre guxa pIWa samanvite // RKV_148.13 //
   gandhapuṣpādibhirdevaṃ pūjayed guḍasaṃsthitam /	ganDa puzpa AdiBiH devam pUjayet guxa saMsTitam /
   īśānyāṃ sthāpayeddevaṃ guḍatoyasamanvitam // RKV_148.14 //	ISAnyAm sTApayet devam guxa toya samanvitam // RKV_148.14 //
   kāsāreṇa tathāgneyyāṃ sthāpayet karakaṃ param /	kAsAreNa taTA AgneyyAm sTApayet karakam param /
   raktatandulasaṃmiśraṃ nairṛtyāṃ vāyugocare // RKV_148.15 //	rakta tandula saMmiSram nErRtyAm vAyu gocare // RKV_148.15 //
   sthāpayenmodakaiḥ sārdhaṃ caturthaṃ karakaṃ budhaḥ /	sTApayet modakEH sArDam caturTam karakam buDaH /
   sūtreṇa veṣṭitagrīvaṃ gandhamālyair alaṃkṛtam // RKV_148.16 //	sUtreNa vezwita grIvam ganDa mAlyEH alaMkRtam // RKV_148.16 //
   śaṅkhatūryaninādena jayaśabdādimaṅgalaiḥ /	SaFKa tUrya ninAdena jaya Sabda Adi maFgalEH /
   raktāmbaradharaṃ vipraṃ raktamālyānulepanam // RKV_148.17 //	rakta ambara Daram vipram rakta mAlya anulepanam // RKV_148.17 //
   vedimadhyagataṃ vāpi mahadāsanasaṃsthitam /	vedi maDya gatam vA api mahat Asana saMsTitam /
   surūpaṃ subhagaṃ śāntaṃ sarvabhūtahite ratam // RKV_148.18 //	surUpam suBagam SAntam sarva BUta hite ratam // RKV_148.18 //
   vedavidyāvratasnātaṃ sarvaśāstraviśāradam /	veda vidyA vrata snAtam sarva SAstra viSAradam /
   pūjayitvā yathānyāyaṃ vācayetpāṇḍunandana // RKV_148.19 //	pUjayitvA yaTAnyAyam vAcayet pANxu nandanaH // RKV_148.19 //
   raktāṃ gāṃ ca tato dadyād raktenānaḍuhā saha /	raktAm gAm ca tatas dadyAt raktena anaxuhA saha /
   prīyatāṃ bhūmijo devaḥ sarvadaivatapūjitaḥ // RKV_148.20 //	prIyatAm BUmi jaH devaH sarva dEvata pUjitaH // RKV_148.20 //
   vipraṃ pradakṣiṇīkṛtya patnīputrasamanvitaḥ /	vipram pradakziNIkRtya patnI putra samanvitaH /
   pitṛmātṛsuhṛtsārddhaṃ kṣamāpya ca visarjayet // RKV_148.21 //	pitR mAtR suhRd sArdDam kzamApya ca visarjayet // RKV_148.21 //
   evaṃ kṛtasya tasyātha tasmiṃstīrthe viśeṣataḥ /	evam kRtasya tasya aTa tasmin= tIrTe viSezataH /
   yatpuṇyaṃ phalamuddiṣṭaṃ tatte sarvaṃ vadāmyaham // RKV_148.22 //	yat puNyam Palam uddizwam tat te sarvam vadAmi aham // RKV_148.22 //
   sapta janmāni rājendra surūpaḥ subhago bhavet /	sapta janmAni rAja indra surUpaH suBagaH Bavet /
   tīrthasyāsya prabhāvena nātra kāryā vicāraṇā // RKV_148.23 //	tIrTasya asya praBAvena na atra kAryA vicAraNAH // RKV_148.23 //
   akāmo vā sakāmo vā tatra tīrthe mṛto naraḥ /	akAmaH vA sa kAmaH vA tatra tIrTe mRtaH naraH /
   aṅgārakapuraṃ yāti devagandharvapūjitaḥ // RKV_148.24 //	aFgAraka puram yAti deva ganDarva pUjitaH // RKV_148.24 //
   upabhujya yathānyāyaṃ divyānbhogānanuttamān /	upaBujya yaTAnyAyam divyAn BogAn anuttamAn /
   iha mānuṣyaloke vai rājā bhavati dhārmikaḥ // RKV_148.25 //	iha mAnuzya loke vE rAjA Bavati DArmikaH // RKV_148.25 //
   surūpaḥ subhagaścaiva sarvavyādhivivarjitaḥ /	surUpaH suBagaH ca eva sarva vyADi vivarjitaH /
   jīvedvarṣaśataṃ sāgraṃ sarvalokanamaskṛtaḥ // RKV_148.26 //	jIvet varza Satam sAgram sarva loka namaskRtaH // RKV_148.26 //
   || iti śrīskānde mahāpurāṇe ekāśītisāhasryāṃ saṃhitāyāṃ pañcama	|| iti SrI skAnde mahApurANe ekASIti sAhasryAm saMhitAyAm paQcama
   āvantyakhaṇḍe revākhaṇḍe maṅgaleśvaratīrthamāhātmyavarṇanaṃ	Avantya KaNxe revAKaNxe maFgaleSvaratIrTamAhAtmya varNanam
   nāmāṣṭācatvāriṃśadadhikaśatatamo 'dhyāyaḥ ||	nAma azwAcatvAriMSat aDika SatatamaH aDyAyaH ||
   RKV adhyāya 149	RKV aDyAya 149
   śrīmārkaṇḍeya uvāca:	SrI mArkaNxeyaH uvAca:
   tasyaivānantaraṃ tīrthaṃ liṅgeśvaramiti śrutam /	tasya eva anantaram tIrTam liFgeSvaram iti Srutam /
   darśanād devadevasya yatra pāpaṃ praṇaśyati // RKV_149.1 //	darSanAt devadevasya yatra pApam praNaSyati // RKV_149.1 //
   kṛtvā tu kadanaṃ ghoraṃ dānavānāṃ yudhiṣṭhira /	kRtvA tu kadanam Goram dAnavAnAm yuDizWira /
   vārāhaṃ rūpamāsthāya narmadāyāṃ vyavasthitaḥ // RKV_149.2 //	vArAham rUpam AsTAya narmadAyAm vyavasTitaH // RKV_149.2 //
   tatra tīrthe tu yaḥ snānaṃ kṛtvā devaṃ namasyati /	tatra tIrTe tu yaH snAnam kRtvA devam namasyati /
   sa mucyate nṛpaśreṣṭha mahāpāpaiḥ purākṛtaiḥ // RKV_149.3 //	sa mucyate nRpa SrezWa mahA pApEH purAkRtEH // RKV_149.3 //
   dvādaśyāṃ kṛṣṇapakṣasya śukle ca samupoṣitaḥ /	dvAdaSyAm kRzNa pakzasya Sukle ca samupozitaH /
   gandhamālyairjagannāthaṃ pūjayet pāṇḍunandana // RKV_149.4 //	ganDa mAlyEH jagannATam pUjayet pANxu nandanaH // RKV_149.4 //
   brāhmaṇāṃśca mahābhāga dānasaṃmānabhojanaiḥ /	brAhmaNAn= ca mahABAga dAna saMmAna BojanEH /
   pūjayetparayā bhaktyā tasya puṇyaphalaṃ śṛṇu // RKV_149.5 //	pUjayet parayA BaktyA tasya puNya Palam SRNu // RKV_149.5 //
   satrayājiphalaṃ jantur labhate dvādaśābdakaiḥ /	satra yAji Palam jantuH laBate dvAdaSa abdakEH /
   brāhmaṇānbhojayaṃstatra tadeva labhate phalam // RKV_149.6 //	brAhmaNAn Bojayan= tatra tat eva laBate Palam // RKV_149.6 //
   tarpayitvā pitḥn devān snātvā tadgatamānasaḥ /	tarpayitvA pitHn devAn snAtvA tad gata mAnasaH /
   japed dvādaśanāmāni devasya purataḥ sthitaḥ // RKV_149.7 //	japet dvAdaSa nAmAni devasya puratas sTitaH // RKV_149.7 //
   māsi māsi nirāhāro dvādaśyāṃ kurunandana /	mAsi mAsi nirAhAraH dvAdaSyAm kuru nandana /
   keśavaṃ pūjayen nityaṃ māsi mārgaśire budhaḥ // RKV_149.8 //	keSavam pUjayet nityam mAsi mArgaSire buDaH // RKV_149.8 //
   pauṣe nārāyaṇaṃ devaṃ māghamāse tu mādhavam /	pOze nArAyaNam devam mAGa mAse tu mADavam /
   govindaṃ phālgune māsi viṣṇuṃ caitre samarcayet // RKV_149.9 //	govindam PAlgune mAsi vizNum cEtre samarcayet // RKV_149.9 //
   vaiśākhe madhuhantāraṃ jyeṣṭhe devaṃ trivikramam /	vESAKe maDuhantAram jyezWe devam trivikramam /
   vāmanaṃ tu tathāṣāḍhe śrāvaṇe śrīdharaṃ smaret // RKV_149.10 //	vAmanam tu taTA AzAXe SrAvaNe SrIDaram smaret // RKV_149.10 //
   hṛṣīkeśaṃ bhādrapade padmanābhaṃ tathāśvine /	hRzIkeSam BAdrapade padmanABam taTA ASvine /
   dāmodaraṃ kārttike tu kīrtayan nāvasīdati // RKV_149.11 //	dAmodaram kArttike tu kIrtayan na avasIdati // RKV_149.11 //
   vācikaṃ mānasaṃ pāpaṃ karmajaṃ yatpurā kṛtam /	vAcikam mAnasam pApam karma jam yat purA kRtam /
   tannaśyati na sandeho māsanāmānukīrtanāt // RKV_149.12 //	tat naSyati na sandehaH mAsa nAma anukIrtanAt // RKV_149.12 //
   svayaṃ vinuddhaḥ satatamunmiṣannimiṣaṃstathā /	svayam vinudDaH satatam unmizat nimizan= taTA /
   śīghraṃ prapaśya bhuñjāno mantrahīnaṃ samudgiret // RKV_149.13 //	SIGram prapaSya BuQjAnaH mantra hInam samudgiret // RKV_149.13 //
   paramāpadgatasyāpi jantoreṣā pratikriyā /	parama Apad gatasya api jantoH ezA pratikriyA /
   yanmāsādhipater viṣṇor māsanāmānukīrtanam // RKV_149.14 //	yat mAsa aDipateH vizNoH mAsa nAma anukIrtanam // RKV_149.14 //
   tā niśāste ca divasāste māsāste ca vatsarāḥ /	tAH niSAH te ca divasAH te mAsAH te ca vatsarAH /
   narāṇāṃ saphalā yeṣu cintito bhagavānhariḥ // RKV_149.15 //	narANAm saPalAH yezu cintitaH BagavAn hariH // RKV_149.15 //
   paramāpadgatasyāpi yasya devo janārdanaḥ /	parama Apad gatasya api yasya devaH janArdanaH /
   nāvasarpati hṛtpadmātsa yogī nātra saṃśayaḥ // RKV_149.16 //	na avasarpati hRd padmAt sa yogI na atra saMSayaH // RKV_149.16 //
   te bhāgyahīnā manujāḥ suśocyāste bhūmibhārāya kṛtāvatārāḥ /	te BAgya hInAH manujAH su SocyAH te BUmi BArAya kRta avatArAH /
   acetanāste paśubhiḥ samānā ye bhaktihīnā bhagavatyanante // RKV_149.17 //	acetanAH te paSuBiH samAnAH ye Bakti hInAH Bagavati anante // RKV_149.17 //
   te pūrṇakāryāḥ puruṣāḥ pṛthivyāṃ te svāṅgapātādbhuvanaṃ punanti /	te pUrNa kAryAH puruzAH pRTivyAm te sva aFga pAtAt Buvanam punanti /
   vicakṣaṇā viśvavibhūṣaṇāste ye bhaktiyuktā bhagavatyanante // RKV_149.18	vicakzaNAH viSva viBUzaNAH te ye Bakti yuktAH Bagavati anante // RKV_149.18
   sa eva sukṛtī tena labdhaṃ janmataroḥ phalam /	saH eva sukRtI tena labDam janma taroH Palam /
   citte vacasi kāye ca yasya devo janārdanaḥ // RKV_149.19 //	citte vacasi kAye ca yasya devaH janArdanaH // RKV_149.19 //
   etattīrthavaraṃ puṇyaṃ liṅgo yatra janārdanaḥ /	etat tIrTa varam puNyam liFgaH yatra janArdanaH /
   vañcayitvā ripūnsaṃkhye krodho bhūtvā sanātanaḥ // RKV_149.20 //	vaQcayitvA ripUn saMKye kroDaH BUtvA sanAtanaH // RKV_149.20 //
   upaplave candramaso raveśca yo hyaṣṭakānāmayanadvaye ca /	upaplave candramasaH raveH ca yaH hi azwakAn Am ayana dvaye ca /
   pānīyamapyatra tilairvimiśraṃ dadyāt pitṛbhyaḥ prayato manuṣyaḥ //	pAnIyam api atra tilEH vimiSram dadyAt pitRByaH prayataH manuzyaH //
   RKV_149.21 //	RKV_149.21 //
   ghoṇonmīlitamerurandhranivaho duḥkhābdhimajjatplavaḥ	GoNA unmIlita meru ranDra nivahaH duHKa abDimajjat plavaH
   prādurbhūtarasātalodarabṛhatpaṅkārdhamagnakṣuraḥ /	prAdurBUta rasAtala udara bRhat paFka arDam agna kzuraH /
   phūtkārotkaranunnavātavidaladdigdantinādaśrutinyastastabdhavapuḥ	PUtkAra utkara nunna vAta vidalat digdanti nAda Sruti nyasta stabDa vapuH
   śrutirbhavatu vaḥ kroḍo hariḥ śāntaye // RKV_149.22 //	SrutiH Bavatu vaH kroxaH hariH SAntaye // RKV_149.22 //
   || iti śrīskānde mahāpurāṇa ekāśītisāhasryāṃ saṃhitāyāṃ pañcama	|| iti SrI skAnde mahApurANe ekASIti sAhasryAm saMhitAyAm paQcama
   āvantyakhaṇḍe revākhaṇḍe liṅgavārāhatīrthamāhātmyavarṇanaṃ	Avantya KaNxe revAKaNxe liFga vArAhatIrTamAhAtmya varNanam
   nāmaikonapañcāśadadhikaśatatamo 'dhyāyaḥ ||	nAma ekonapaQcASat aDika SatatamaH aDyAyaH ||
   RKV adhyāya 150	RKV aDyAya 150
   śrīmārkaṇḍeya uvāca:	SrI mArkaNxeyaH uvAca:
   tato gacchenmahārāja kusumeśvaramuttamam /	tatas gacCet mahA rAja kusumeSvaram uttamam /
   dakṣiṇe narmadākūle upapātakanāśanam // RKV_150.1 //	dakziNe narmadA kUle upapAtaka nASanam // RKV_150.1 //
   kāmena sthāpito devaḥ kusumeśvarasaṃjñitaḥ /	kAmena sTApitaH devaH kusumeSvara saMjQitaH /
   khyātaḥ sarveṣu lokeṣu devadevaḥ sanātanaḥ // RKV_150.2 //	KyAtaH sarvezu lokezu devadevaH sanAtanaH // RKV_150.2 //
   kāmo manobhavo viśvaḥ kusumāyudhacāpabhṛt /	kAmaH manoBavaH viSvaH kusumAyuDa cApa BRt /
   sa kāmān dadāti sarvān pūjito mīnaketanaḥ // RKV_150.3 //	sa kAmAn dadAti sarvAn pUjitaH mInaketanaH // RKV_150.3 //
   tena nirdagdhakāyena cārādhya parameśvaram /	tena nirdagDa kAyena ca ArADya parameSvaram /
   anaṅgena tathā prāptamaṅgitvaṃ narmadātaṭe // RKV_150.4 //	anaFgena taTA prAptam aFgi tvam narmadA tawe // RKV_150.4 //
   yudhiṣṭhira uvāca:	yuDizWiraH uvAca:
   aṅgibhṛtasya nāśatvamanaṅgasya tu me vada /	aFgiBRtasya nASa tvam anaFgasya tu me vada /
   na śrutaṃ na ca me dṛṣṭaṃ bhūtapūrvaṃ kadācana // RKV_150.5 //	na Srutam na ca me dRzwam BUta pUrvam kadAcana // RKV_150.5 //
   etatsarvaṃ yathā vṛttamācakṣva dvijasattama /	etat sarvam yaTA vRttam Acakzva dvijasattamaH /
   śrotumicchāmi viprendra bhīmārjunayamaiḥ saha // RKV_150.6 //	Srotum icCAmi vipra indra BIma arjuna yamEH saha // RKV_150.6 //
   śrīmārkaṇḍeya uvāca:	SrI mArkaNxeyaH uvAca:
   ādau kṛtayuge tāta devadevo maheśvaraḥ /	AdO kRta yuge tAta devadevaH maheSvaraH /
   tapaścacāra vipulaṃ gaṅgāsāgarasaṃsthitaḥ // RKV_150.7 //	tapaH cacAra vipulam gaFgAsAgara saMsTitaH // RKV_150.7 //
   tena sampāditā lokāstapasā sasurāsurāḥ /	tena sampAditAH lokAH tapasA sa sura asurAH /
   jagmuste śaraṇaṃ sarve devadevaṃ śacīpatim // RKV_150.8 //	jagmuH te SaraNam sarve devadevam SacIpatim // RKV_150.8 //
   vyāpakaḥ sarvabhūtānāṃ devadevo maheśvaraḥ /	vyApakaH sarva BUtAnAm devadevaH maheSvaraH /
   saṃtāpayati lokāṃstrīṃstannivāraya gopate // RKV_150.9 //	saMtApayati lokAn= trIn= tat nivAraya gopate // RKV_150.9 //
   śrutvā tadvacanaṃ teṣāṃ devānāṃ balavṛtrahā /	SrutvA tat vacanam tezAm devAnAm bala vRtra hA /
   cintayāmāsa manasā tapovighnāyacādiśat // RKV_150.10 //	cintayAmAsa manasA tapaH viGnAyaca AdiSat // RKV_150.10 //
   apsarāṃ menakāṃ rambhāṃ ghṛtācīṃ ca tilottamām /	apsarAm menakAm ramBAm GRtAcIm ca tilottamAm /
   vasantaṃ kokilaṃ kāmaṃ dakṣiṇānilamuttamam // RKV_150.11 //	vasantam kokilam kAmam dakziNa anilam uttamam // RKV_150.11 //
   gatvā tatra mahādevaṃ tapaścaraṇatatparam /	gatvA tatra mahAdevam tapaH caraNa tatparam /
   kṣobhayadhvaṃ yathānyāyaṃ gaṅgāsāgaravāsinam // RKV_150.12 //	kzoBayaDvam yaTAnyAyam gaFgAsAgara vAsinam // RKV_150.12 //
   evamuktāstu te sarve devarājena bhārata /	evam uktAH tu te sarve devarAjena BArata /
   devāpsaraḥsamopetā jagmuste harasannidhau // RKV_150.13 //	deva apsaraH samopetAH jagmuH te hara sanniDO // RKV_150.13 //
   vasantamāse kusumākarākule mayūradātyūhasukokilākule /	vasanta mAse kusumAkara Akule mayUra dAtyUha su kokila Akule /
   pranṛtya devāpsaragītasaṃkule pravāti vāte yamanairṛtākule // RKV_150.14	pranRtya deva apsara gIta saMkule pravAti vAte yama nErRta Akule // RKV_150.14
   tena saṃmūrchitāḥ sarve saṃsargācca khagottamāḥ /	tena saMmUrCitAH sarve saMsargAt ca Kaga uttamAH /
   madhumādhavagandhena sakinnaramahoragāḥ // RKV_150.15 //	maDu mADava ganDena sa kinnara mahA uragAH // RKV_150.15 //
   yāvad ālokate tāvattadvanaṃ vyākulīkṛtam /	yAvat Alokate tAvat tat vanam vyAkulIkRtam /
   vīkṣate madanāviṣṭaṃ daśāvasthāgataṃ janam // RKV_150.16 //	vIkzate madana Avizwam daSa avasTA gatam janam // RKV_150.16 //
   devadevo 'pi devānām avasthātritayaṃ gataḥ /	devadevaH api devAnAm avasTA tritayam gataH /
   sāttvikīṃ rājasīṃ rājaṃstāmasīṃ tāṃ śṛṇuṣva me // RKV_150.17 //	sAttvikIm rAjasIm rAjan= tAmasIm tAm SRNuzva me // RKV_150.17 //
   ekaṃ yogasamādhinā mukulitaṃ cakṣurdvitīyaṃ punaḥ pārvatyā	ekam yoga samADinA mukulitam cakzuH dvitIyam punar pArvatyA
   jaghanasthalastanataṭe śṛṅgārabhārālasam /	jaGana sTala stana tawe SRFgAra BAra alasam /
   anyaddūranirastacāpamadanakrodhānaloddīpitaṃ śambhorbhinnarasaṃ	anyat dUra nirasta cApa madana kroDa anala uddIpitam SamBoH Binna rasam
   samādhisamaye netratrayaṃ pātu vaḥ // RKV_150.18 //	samADi samaye netra trayam pAtu vaH // RKV_150.18 //
   evaṃ dṛṣṭaḥ sa devena saśaraḥ saśarāsanaḥ /	evam dRzwaH sa devena sa SaraH sa SarAsanaH /
   bhasmībhūto gataḥ kāmo vināśaḥ sarvadehinām // RKV_150.19 //	BasmIBUtaH gataH kAmaH vinASaH sarva dehinAm // RKV_150.19 //
   kāmaṃ dṛṣṭvā kṣayaṃ yātaṃ tatra devāpsarogaṇāḥ /	kAmam dRzwvA kzayam yAtam tatra deva apsaraH gaNAH /
   bhītā yathāgataṃ sarve jagmuścaiva diśo daśa // RKV_150.20 //	BItAH yaTAgatam sarve jagmuH ca eva diSaH daSa // RKV_150.20 //
   kāmena rahitā lokāḥ sasurāsuramānavāḥ /	kAmena rahitAH lokAH sa sura asura mAnavAH /
   brahmāṇaṃ śaraṇaṃ jagmurdevā indrapurogamāḥ // RKV_150.21 //	brahmANam SaraNam jagmuH devAH indra purogamAH // RKV_150.21 //
   sīdamānaṃ jagad dṛṣṭvā tamūcuḥ parameṣṭhinam /	sIdamAnam jagat dRzwvA tam UcuH paramezWinam /
