   1. (avidyāpratyayāḥ saṃskārāḥ)	1. (avidyA-pratyayAH saMskArAH)
   punarbhavāya saṃvartate idam atra bhavasya / iyaṃ bhavaprajñaptir	punarBavAya saMvartate idam atra Bavasya / iyam Bava-prajQaptiH-
   yatrāyatyāṃ punarbhavābhinirvartakaṃ karma bhava uktaṃ bhagavatā /	yatra-AyatyAm punarBava-aBinirvartakam karma BavaH uktam BagavatA /
   katamā bhavaprajñaptir yatropapattyāṃgikāḥ (DhskD 13v10) paṃca skandhā	katamA Bava-prajQaptiH yatra-upapatti-AMgikAH (DhskD 13v10) paMca skanDA
   bhava uktā bhagavatā / yad uktaṃ / vijñānaṃ phalgunāhāraṃ yāvad evāyatyāṃ	BavaH uktA BagavatA / yat uktam / vijQAnam Palguna-AhAram yAvat eva-AyatyAm
   punarbhavābhinirvartaye prādurbhāvāya / iyaṃ bhavaprajñaptir	punarBava-aBinirvartaye prAdurBAvAya / iyam Bava-prajQaptiH-
   yatropapattyāṃgikāḥ paṃca skandhā bhava uktaṃ bhagavatā /	yatra-upapatti-AMgikAH paMca skanDA BavaH uktam BagavatA /
   api (DhskD 14r1) khalv evam uktaṃ bhagavatā nidānaparyāye vyākaraṇe	api (DhskD 14r1) Kalu evam uktam BagavatA nidAna-paryAye vyAkaraNe
   āyuṣmaty ānande /	Ayuzmati Anande /
   asti pratyayam ānanda bhavo / vistareṇa yāvat /	asti pratyayam Ananda BavaH / vistareNa yAvat /
   sarvaśo vā punar ānanda upādāne asati api nu bhavaḥ prajñāyeta / no	sarvaSas vA punar AnandaH upAdAne asati api nu BavaH prajQAyeta / no
   bhadanta / tasmāt tarhy ānanda etan nidānaṃ (DhskD 14r2) caiṣa hetur eṣa	Badanta / tasmAt tarhi Anande etat nidAnam (DhskD 14r2) ca-eza hetuH eza
   samudaya eṣa pratyayo bhavasya yad utopādānaṃ / upādānapratyayam ānanda	samudayaH eza pratyayaH Bavasya yat uta-upAdAnam / upAdAna-pratyayam Ananda
   bhava / iti yad uktam idaṃ me tat pratyuktaṃ //	Bava / iti yat uktam idam me tat pratyuktam //
   12. (bhavapratyayā jātiḥ)	12. (Bava-pratyayA jAtiH)
   bhavapratyayā jātiḥ katamā / āha / yathā khalv ihaikatyo rāgaparyavasthito	Bava-pratyayA jAtiH katamA / Aha / yaTA Kalu iha-ekatyaH rAga-paryavasTitaH-
   (DhskD 14r3) dveṣaparyavasthito mohaparyavasthitaḥ kāyena duścaritaṃ	(DhskD 14r3) dveza-paryavasTitaH moha-paryavasTitaH kAyena duScaritam
   carati vācā manasā duścaritaṃ carati / ye te akuśalā kāyasaṃskārā	carati vAcA manasA duScaritam carati / ye te akuSalA kAya-saMskArA
   vāksaṃskārā manaḥsaṃskārā ayam ucyate akuśalaḥ karmabhavaḥ / yad api	vAc-saMskArA manaH-saMskArAH ayam ucyate akuSalaH karma-BavaH / yat api
   taddhetu (DhskD 14r4) tatpratyayaṃ kāyasya bhedān narakeṣūpapadyate /	tad-hetu (DhskD 14r4) tad-pratyayam kAyasya BedAt narakezu-upapadyate /
   tatra yā jātiḥ saṃjātir avakrāntir abhinirvṛttiḥ prādurbhāvaḥ	tatra yA jAtiH saMjAtiH avakrAntiH aBinirvRttiH prAdurBAvaH
   skandhapratilābho dhātupratilābha āyatanapratilābho jīvitendriyasya	skanDa-pratilABaH DAtu-pratilABaH Ayatana-pratilABaH jIvita-indriyasya
   prādurbhāva itīyaṃ jātir (DhskD 14r5) imaṃ bhavaṃ pratītya tad ucyate	prAdurBAvaH iti-iyam jAtiH (DhskD 14r5) imam Bavam pratItya tat ucyate
   bhavapratyayā jātir /	Bava-pratyayAH jAtiH /
   iti yathā narakeṣv evaṃ tiryakpreteṣu /	iti yaTA narakezu evam tiryak-pretezu /
   yathā khalv ihaikatyo manuṣyasukhakānām avekṣāvān bhavati	yaTA Kalu iha-ekatyaH manuzya-suKakAnAm avekzAvAn Bavati
   pratibaddhacittaḥ / tasyaivaṃ bhavaty / aho batāhaṃ manuṣyasubhagānāṃ	pratibadDa-cittaH / tasya-evam Bavati / aho bata-aham manuzya-suBagAnAm
   (DhskD 14r6) sabhāgatāyām upapadyeyam iti / sa tatprārthayamānas taddhetos	(DhskD 14r6) saBA-gatAyAm upapadyeyam iti / sa tad-prArTayamAnaH tad-hetoH-
   tatsaṃvartanīyaṃ kāyena sucaritaṃ carati vācā manasā sucaritaṃ carati / ye	tat-saMvartanIyam kAyena su-caritam carati vAcA manasA su-caritam carati / ye
   te kuśalāḥ kāyasaṃskārā vāksaṃskārā manaḥsaṃskārā (DhskD 14r7) ayam ucyate	te kuSalAH kAya-saMskArAH vAc-saMskArAH manaH-saMskArAH (DhskD 14r7) ayam ucyate
   kuśalaḥ karmabhavaḥ / yad api taddhetu tatpratyayaṃ kāyasya bhedān	kuSalaH karma-BavaH / yat api tad-hetu tad-pratyayam kAyasya BedAn
   manuṣyasubhagānāṃ sabhāgatāyām upapadyate / tatra yā jātiḥ saṃjātir	manuzya-suBagAnAm saBA-gatAyAm upapadyate / tatra yA jAtiH saMjAtiH-
   vistareṇa tad ucyate bhavapratyayā jāti /	vistareNa tat ucyate Bava-pratyayAH jAti /
   yathā manuṣyasubhagānāṃ (DhskD 14r8) evaṃ cāturmahārājikānāṃ	yaTA manuzya-suBagAnAm (DhskD 14r8) evam cAturmahArAjikAnAm
   trayastriṃśānāṃ yāmānāṃ tuṣitānāṃ nirmāṇaratīnāṃ paranirmitavaśavartināṃ /	trayastriMSAnAm yAmAnAm tuzitAnAm nirmANa-ratInAm paranirmita-vaSavartinAm /
   yathā khalv ihaikatyo brahmakāyikānāṃ devānām avekṣāvān bhavati	yaTA Kalu iha-ekatyaH brahmakAyikAnAm devAnAm avekzAvAn Bavati
   pratibaddhacittaḥ tasyaivaṃ bhavaty (DhskD 14r9) / aho batāhaṃ	pratibadDa-cittaH tasya-evam Bavati (DhskD 14r9) / aho bata-aham
   brahmakāyikānāṃ devānāṃ sabhāgatāyām upapadyeyam iti / sa	brahmakAyikAnAm devAnAm saBA-gatAyAm upapadyeyam iti / sa
   tatprārthayamānas taddhetos tatsaṃvartanīyaṃ viviktaṃ kāmair viviktaṃ	tad-prArTayamAnaH tad-hetoH tat-saMvartanIyam viviktam kAmEH viviktam
   pāpakair akuśalair dharmaiḥ savitarkaṃ savicāraṃ vivekajaṃ (DhskD 14r10)	pApakEH akuSalEH DarmEH sa-vitarkam sa-vicAram viveka-jam (DhskD 14r10)
   prītisukhaṃ prathamaṃ dhyānam upasaṃpadya viharati / tathā samāpannasya	prIti-suKam praTamam DyAnam upasaMpadya viharati / taTA samApannasya
   yaḥ kāyasaṃvaro vāksaṃvara ājīvapariśuddhir ayam ucyate kuśalaḥ	yaH kAya-saMvaraH vAc-saMvaraH AjIva-pariSudDiH ayam ucyate kuSalaH
   karmabhavaḥ / yad api taddhetu tatpratyayaṃ kāyasya bhedād (DhskD 14v1)	karma-BavaH / yat api tad-hetu tad-pratyayam kAyasya BedAt (DhskD 14v1)
   brahmakāyikānāṃ devānāṃ sabhāgatāyām upapadyate / tatra jātiḥ saṃjātir	brahmakAyikAnAm devAnAm saBA-gatAyAm upapadyate / tatra jAtiH saMjAtiH-
   vistareṇa yāvad / iyaṃ jātir imaṃ bhavaṃ pratītya tad ucyate bhavapratyayā	vistareNa yAvat / iyam jAtiH imam Bavam pratItya tat ucyate Bava-pratyayA
   jātir iti /	jAtiH iti /
   yathā brahmakāyikānāṃ evaṃ brahmapurohitānāṃ mahābrahmaṇāṃ /	yaTA brahmakAyikAnAm evam brahma-purohitAnAm mahA-brahmaNAm /
   (DhskD 14v2) yathā khalv ihaikatyaḥ parīttābhānāṃ devānām avekṣāvān	(DhskD 14v2) yaTA Kalu iha-ekatyaH parItta-ABAnAm devAnAm avekzAvAn
   bhavati pratibaddhacittaḥ / tasyaivaṃ bhavaty / aho batāhaṃ parīttābhānāṃ	Bavati pratibadDa-cittaH / tasya-evam Bavati / aho bata-aham parItta-ABAnAm
   devānāṃ sabhāgatāyām upapadyeyam iti / sa tatprārthayamāno	devAnAm saBA-gatAyAm upapadyeyam iti / sa tad-prArTayamAnaH-
   vitarkavicārāṇāṃ vyupaśamād (DhskD 14v3) adhyātmasaṃprasādāc cetasa	vitarka-vicArANAm vyupaSamAt (DhskD 14v3) aDyAtma-saMprasAdAt cetasa
   ekotībhāvād avitarkam avicāraṃ samādhijaṃ prītisukhaṃ dvitīyaṃ dhyānam	ekotIBAvAt avitarkam avicAram samADi-jam prIti-suKam dvitIyam DyAnam
   upasaṃpadya viharati / tathā samāpannasya yaḥ kāyasaṃvaro vāksaṃvara	upasaMpadya viharati / taTA samApannasya yaH kAya-saMvaraH vAc-saMvara
   ājīvapariśuddhiḥ ayam ucyate (DhskD 14v4) kuśalaḥ karmabhavaḥ / yad api	AjIva-pariSudDiH ayam ucyate (DhskD 14v4) kuSalaH karma-BavaH / yat api
   taddhetu tatpratyayaṃ kāyasya bhedāt parīttābhanāṃ devānāṃ sabhāgatāyām	tad-hetu tad-pratyayam kAyasya BedAt parItta-ABanAm devAnAm saBA-gatAyAm
   upapadyate / tatra yā jātiḥ saṃjātir vistareṇa jīvitendriyasya	upapadyate / tatra yA jAtiH saMjAtiH vistareNa jIvita-indriyasya
   prādurbhāvaḥ / itīyaṃ jātir imaṃ bhavam* (DhskD 14v5) pratītya tad ucyate	prAdurBAvaH / iti-iyam jAtiH imam Bavam* (DhskD 14v5) pratItya tat ucyate
   bhavapratyayā jātiḥ /	Bava-pratyayA jAtiH /
   yathā parīttābhānām evam apramāṇābhānām ābhāsvarāṇāṃ /	yaTA parItta-ABAnAm evam apramANa-ABAnAm ABAsvarANAm /
   yathā khalv ihaikatyaḥ parīttaśubhānāṃ devānām avekṣāvān bhavati	yaTA Kalu iha-ekatyaH parIttaSuBAnAm devAnAm avekzAvAn Bavati
   pratibaddhacittaḥ / tasyaivaṃ bhavaty / aho batāhaṃ (DhskD 14v6)	pratibadDa-cittaH / tasya-evam Bavati / aho bata-aham (DhskD 14v6)
   parīttaśubhānāṃ devānāṃ sabhāgatāyām upapadyeyaṃ / sa tatprārthayamānas	parIttaSuBAnAm devAnAm saBA-gatAyAm upapadyeyam / sa tad-prArTayamAnaH-
   taddhetos tatsaṃvartanīyaṃ prīter virāgād upekṣako viharati / smṛtaḥ	tad-hetoH tat-saMvartanIyam prIteH virAgAt upekzakaH viharati / smRtaH
   saṃprajānan sukhaṃ ca kāyena pratisaṃvedayate / yat (DhskD 14v7) tad āryā	saMprajAnan suKam ca kAyena pratisaMvedayate / yat (DhskD 14v7) tat AryA
   ācakṣate upekṣakaḥ smṛtimāṃ sukhavihārīti tṛtīyaṃ dhyānam upasaṃpadya	Acakzate upekzakaH smRtimAm suKa-vihArI-iti tRtIyam DyAnam upasaMpadya
   viharati / tathā samāpannasya yaḥ kāyasaṃvaro vāksaṃvaraḥ ājīvapariśuddhir	viharati / taTA samApannasya yaH kAya-saMvaraH vAc-saMvaraH AjIva-pariSudDiH-
   ayam ucyate kuśalaḥ karmabhavaḥ / (DhskD 14v8) yad api taddhetu	ayam ucyate kuSalaH karma-BavaH / (DhskD 14v8) yat api tad-hetu
   tatpratyayaṃ kāyasya bhedāt parīttaśubhānāṃ devānāṃ sabhāgatāyām	tad-pratyayam kAyasya BedAt parIttaSuBAnAm devAnAm saBA-gatAyAm
   upapadyate / tatra yā jātiḥ saṃjātir vistareṇa / iyam ucyate bhavapratyayā	upapadyate / tatra yA jAtiH saMjAtiH vistareNa / iyam ucyate Bava-pratyayA
   jātir iti /	jAtiH iti /
   yathā parīttaśubhānām evam (DhskD 14v9) apramāṇaśubhānāṃ śubhakṛtsnānāṃ /	yaTA parIttaSuBAnAm evam (DhskD 14v9) apramANa-SuBAnAm SuBa-kRtsnAnAm /
   yathā khalv ihaikatyaḥ anabhrakāṇāṃ devānām avekṣāvān bhavati	yaTA Kalu iha-ekatyaH anaBrakANAm devAnAm avekzAvAn Bavati
   pratibaddhacittaḥ / tasyaivaṃ bhavaty / aho batāham anabhrakāṇāṃ devānāṃ	pratibadDa-cittaH / tasya-evam Bavati / aho bata-aham anaBrakANAm devAnAm
   sabhāgatāyām upapadyeyam iti / sa tatprārthayamānas (DhskD 14v10)	saBA-gatAyAm upapadyeyam iti / sa tad-prArTayamAnaH (DhskD 14v10)
   taddhetos tatsaṃvartanīyaṃ sukhasya ca prahāṇād duḥkhasya ca prahāṇāt	tad-hetoH tat-saMvartanIyam suKasya ca prahANAt duHKasya ca prahANAt-
   pūrvam eva ca saumanasyadaurmanasyayor astagamād aduḥkhāsukhaṃ	pUrvam eva ca sOmanasya-dOrmanasyayoH astagamAt aduHKa-asuKam
   upekṣāsmṛtipariśuddhaṃ caturthaṃ dhyānam upasaṃpadya viharati / (DhskD	upekzA-smRti-pariSudDam caturTam DyAnam upasaMpadya viharati / (DhskD
   15r1) tathā samāpannasya yaḥ kāyasaṃvaro vāksaṃvara ājīvapariśuddhir ayam	15r1) taTA samApannasya yaH kAya-saMvaraH vAc-saMvaraH AjIva-pariSudDiH ayam
   ucyate kuśalaḥ karmabhavaḥ / yad api taddhetu tatpratyayaṃ kāyasya bhedād	ucyate kuSalaH karma-BavaH / yat api tad-hetu tad-pratyayam kAyasya BedAt-
   anabhrakāṇāṃ devānāṃ sabhāgatāyām upapadyate (DhskD 15r2) / tatra yā jātiḥ	anaBrakANAm devAnAm saBA-gatAyAm upapadyate (DhskD 15r2) / tatra yA jAtiH
   saṃjātiḥ vistareṇa yāvaj jīvitendriyasya prādurbhāvaḥ / itīyaṃ jātir imaṃ	saMjAtiH vistareNa yAvat jIvita-indriyasya prAdurBAvaH / iti-iyam jAtiH imam
   bhavaṃ pratītya tad ucyate bhavapratyayā jātiḥ /	Bavam pratItya tat ucyate Bava-pratyayA jAtiH /
   yathā anabhrakāṇām evaṃ puṇyaprasavānām (DhskD 15r3)	yaTA anaBrakANAm evam puNya-prasavAnAm (DhskD 15r3)
   asaṃjñisatvasaṃgṛhītānāṃ ca bṛhatphalānāṃ /	asaMjQi-satva-saMgRhItAnAm ca bRhat-PalAnAm /
   yathā khalv ihaikatyaḥ asaṃjñisatvānāṃ devānām avekṣāvān bhavati	yaTA Kalu iha-ekatyaH asaMjQi-satvAnAm devAnAm avekzAvAn Bavati
   pratibaddhacittaḥ / tasyaivaṃ bhavaty / aho batāham asaṃjñisatvānāṃ	pratibadDa-cittaH / tasya-evam Bavati / aho bata-aham asaMjQi-satvAnAm
   devānāṃ sabhāgatāyām (DhskD 15r4) upapadyeyam iti / sa taṃ prārthayamānas	devAnAm saBA-gatAyAm (DhskD 15r4) upapadyeyam iti / sa tam prArTayamAnas
   taddhetos tatsaṃvartanīyaṃ saṃjñām audārikato duḥkhilataḥ sthūlabhittikato	tad-hetoH tat-saMvartanIyam saMjQAm OdArikataH duHKilataH sTUla-Bittikato
   manasikaroti āsaṃjñikaṃ ca śāntataḥ praṇītato niḥsaraṇataḥ / tasya saṃjñām	manasikaroti AsaMjQikam ca SAntataH praNItataH niHsaraNataH / tasya saMjQAm
   audārikato (DhskD 15r5) duḥkhilataḥ sthūlabhittikato manasikurvataḥ	OdArikataH (DhskD 15r5) duHKilataH sTUla-Bittikatas manasikurvataH
   āsaṃjñikaṃ ca śāntataḥ praṇītato niḥsaraṇataḥ saṃjnā antardhīyate	AsaMjQikam ca SAntataH praNItataH niHsaraNataH saMjnA antarDIyate
   āsaṃjñikaṃ ca saṃsthihati / iti yatra mama saṃjñā antarāyaty āsaṃjñikaṃ	AsaMjQikam ca saMsTihati / iti yatra mama saMjQA antarAyati AsaMjQikam
   (DhskD 15r6) ca saṃsthihaty etāvad asaṃjñisamāpattiḥ samāpanna iti	(DhskD 15r6) ca saMsTihatI etAvat asaMjQi-samApattiH samApannaH iti
   vaktavyaṃ / tathā samāpannasya yaḥ kāyasaṃvaro vāksaṃvaraḥ	vaktavyam / taTA samApannasya yaH kAya-saMvaraH vAc-saMvaraH
   ājīvapariśuddhir ayam ucyate kuśalaḥ karmabhavaḥ / yad api taddhetu	AjIva-pariSudDiH ayam ucyate kuSalaH karma-BavaH / yat api tad-hetu
   tatpratyayaṃ (DhskD 15r7) kāyasya bhedād asaṃjñisatvānāṃ devānāṃ	tad-pratyayam (DhskD 15r7) kAyasya BedAt asaMjQi-satvAnAm devAnAm
   sabhāgatāyām upapadyate / tatra yā jātiḥ saṃjātir vistareṇa yāvaj	saBA-gatAyAm upapadyate / tatra yA jAtiH saMjAtiH vistareNa yAvat-
   jīvitendriyasya prādurbhāva iti / itīyaṃ jātir imaṃ bhavaṃ pratītya tad	jIvita-indriyasya prAdurBAvaH iti / iti-iyam jAtiH imam Bavam pratItya tat-
   ucyate (DhskD 15r8) bhavapratyayā jātir iti /	ucyate (DhskD 15r8) Bava-pratyayA jAtiH iti /
   yathā khalv ihaikatyaḥ ākāśānantyāyatanānāṃ devānām avekṣāvān bhavati	yaTA Kalu iha-ekatyaH AkASAnanti-a-AyatanAnAm devAnAm avekzAvAn Bavati
   pratibaddhacittaḥ / tasyaivaṃ bhavaty / aho batāhaṃ ākāśānantyāyatanānāṃ	pratibadDa-cittaH / tasya-evam Bavati / aho bata-aham AkASAnantya-AyatanAnAm
   devānāṃ sabhāgatāyām upapadyeyam (DhskD 15r9) iti / sa tatprārthayamānas	devAnAm saBA-gatAyAm upapadyeyam (DhskD 15r9) iti / sa tad-prArTayamAnaH-
   taddhetos tatsaṃvartanīyaṃ sarvaśo rūpasaṃjñānāṃ samatikramāt	tad-hetoH tat-saMvartanIyam sarvaSas rUpa-saMjQAnAm samatikramAt-
   pratighasaṃjñānām astagamān nānātvasaṃjñānām amanasikārād anantam ākāśam	pratiGa-saMjQAnAm asta-gamAt nAnAtva-saMjQAnAm amanasikArAt anantam AkASam
   ity ākāśānantyāyatanam (DhskD 15r10) upasaṃpadya viharati / tathā	iti AkASAnantya-Ayatanam (DhskD 15r10) upasaMpadya viharati / taTA
   samāpannasya yā cetanā saṃcetanābhisaṃcetanā cetayitaṃ cetanāgataṃ	samApannasya yA cetanA saMcetana-aBisaMcetanA cetayitam cetanA-gatam
   cittābhisaṃskāro manaskarma ayam ucyate kuśalaḥ karmabhavaḥ / yad api	citta-aBisaMskAraH manaskarma ayam ucyate kuSalaH karma-BavaH / yat api
   taddhetu (DhskD 15v1) tatpratyayaṃ kāyasya bhedād ākāśānantyāyatanānāṃ	tad-hetu (DhskD 15v1) tad-pratyayam kAyasya BedAt AkASAnantya-AyatanAnAm
   devānāṃ sabhāgatāyām upapadyate / tatra yā jātiḥ saṃjātir vistareṇa yāvaj	devAnAm saBA-gatAyAm upapadyate / tatra yA jAtiH saMjAtiH vistareNa yAvat-
   jīvitendriyaprādurbhāva / itīyaṃ jātir imaṃ bhavaṃ pratītya tad ucyate	jIvita-indriya-prAdurBAva / iti-iyam jAtiH imam Bavam pratItya tat ucyate
   (DhskD 15v2) bhavapratyayā jātir iti /	(DhskD 15v2) Bava-pratyayA jAtiH iti /
   yathā khalv ihaikatyo vijñānānantyāyatanānāṃ devānām avekṣāvān bhavati	yaTA Kalu iha-ekatyaH vijQAna-Ananti-AyatanAnAm devAnAm avekzAvAn Bavati
   pratibaddhacittaḥ / tasyaivaṃ bhavaty / aho batāhaṃ vijñānānantyāyatanānāṃ	pratibadDa-cittaH / tasya-evam Bavati / aho bata-aham vijQAna-Ananti-AyatanAnAm
   devānāṃ sabhāgatāyām upapadyeyaṃ (DhskD 15v3) iti / sa tatprārthayamānas	devAnAm saBA-gatAyAm upapadyeyam (DhskD 15v3) iti / sa tad-prArTayamAnaH-
   taddhetos tatsaṃvartanīyaṃ sarvaśa ākāśānantyāyatanaṃ samatikramyānantaṃ	tad-hetoH tat-saMvartanIyam sarvaSas AkASAnantya-Ayatanam samatikramya-anantam
   vijñānam iti vijñānānantyāyatanam upasaṃpadya viharati / tathā	vijQAnam iti vijQAna-Ananti-Ayatanam upasaMpadya viharati / taTA
   samāpannasya yā cetanā yāvac cittābhisaṃskāro (DhskD 15v4) manaskarmāyam	samApannasya yA cetanA yAvat citta-aBisaMskAraH (DhskD 15v4) manaskarma-ayam
   ucyate kuśalaḥ karmabhavaḥ / yad api taddhetu tatpratyayaṃ kāyasya bhedād	ucyate kuSalaH karma-BavaH / yat api tad-hetu tad-pratyayam kAyasya BedAt-
   vijñānānantyāyatanānāṃ devānāṃ sabhāgatāyām upapadyate / tatra yā jātiḥ	vijQAna-Ananti-AyatanAnAm devAnAm saBA-gatAyAm upapadyate / tatra yA jAtiH
   saṃjātiḥ vistareṇa (DhskD 15v5) yāvaj jīvitendriyasya prādurbhāva / itīyaṃ	saMjAtiH vistareNa (DhskD 15v5) yAvat jIvita-indriyasya prAdurBAvaH / iti-iyam
   jātir imaṃ bhavaṃ pratītya tad ucyate bhavapratyayā jātir iti /	jAtiH imam Bavam pratItya tat ucyate Bava-pratyayA jAtiH iti /
   yathā khalv ihaikatya ākiṃcanyāyatanānāṃ devānām avekṣāvān bhavati	yaTA Kalu iha-ekatyaH AkiMcanya-AyatanAnAm devAnAm avekzAvAn Bavati
   pratibaddhacittaḥ (DhskD 15v6) / tasyaivaṃ bhavaty / aho batāham	pratibadDa-cittaH (DhskD 15v6) / tasya-evam Bavati / aho bata-aham
   ākiṃcanyāyatanānāṃ devānāṃ sabhāgatāyām upapadyeyam iti / sa	AkiMcanya-AyatanAnAm devAnAm saBA-gatAyAm upapadyeyam iti / sa
   tatprārthayamānas taddhetos tatsaṃvartanīyaṃ sarvaśo vijñānānantyāyatanaṃ	tad-prArTayamAnaH tad-hetoH tat-saMvartanIyam sarvaSas vijQAna-AnantyAyatanam
   samatikramya nāsti (DhskD 15v7) kiṃ cid ity ākiṃcanyāyatanam upasaṃpadya	samatikramya na-asti (DhskD 15v7) kim cit iti AkiMcanya-Ayatanam upasaMpadya
   viharati / tathā samāpannasya yā cetanā saṃcetanā vistareṇa yāvac	viharati / taTA samApannasya yA cetanA saMcetanA vistareNa yA-avat-
   cittābhisaṃskāro manaskarma ayam ucyate kuśalaḥ karmabhavaḥ / (DhskD 15v8)	citta-aBisaMskAraH manaskarma ayam ucyate kuSalaH karma-BavaH / (DhskD 15v8)
   yad api taddhetu tatpratyayaṃ kāyasya bhedād ākiṃcanyāyatanānāṃ devānāṃ	yat api tad-hetu tad-pratyayam kAyasya BedAt AkiMcanya-AyatanAnAm devAnAm
   sabhāgatāyāṃ upapadyate / tatra yā jātiḥ saṃjātiḥ vistareṇa yāvaj	saBA-gatAyAm upapadyate / tatra yA jAtiH saMjAtiH vistareNa yAvat-
   jīvitendriyasya prādurbhāva (DhskD 15v9) / itīyaṃ jātir imaṃ bhavaṃ	jIvita-indriyasya prAdurBAvaH (DhskD 15v9) / iti-iyam jAtiH imam Bavam
   pratītya tad ucyate bhavapratyayā jātir iti /	pratItya tat ucyate Bava-pratyayA jAtiH iti /
   yathā khalv ihaikatyo naivasaṃjñānāsaṃjñāyatanānāṃ devānām avekṣāvān	yaTA Kalu iha-ekatyaH na-eva-saMjQAna-asaMjQA-yatanAnAm devAnAm avekzAvAn
   bhavati pratibaddhacittaḥ / (DhskD 15v10) tasyaivaṃ bhavaty / aho batāhaṃ	Bavati pratibadDa-cittaH / (DhskD 15v10) tasya-evam Bavati / aho bata-aham
   naivasaṃjñānāsaṃjñāyatanānāṃ devānāṃ sabhāgatāyāṃ upapadyeyam iti / sa	na-eva-saMjQAna-asaMjQA-yatanAnAm devAnAm saBA-gatAyAm upapadyeyam iti / sa
   tatprārthayamānas taddhetos tatsaṃvartanīyaṃ ākiṃcanyāyatanaṃ samatikramya	tad-prArTayamAnaH tad-hetoH tat-saMvartanIyam AkiMcanya-Ayatanam samatikramya
   (DhskD 16r1) naivasaṃjñānāsaṃjñāyatanam upasaṃpadya viharati / tathā	(DhskD 16r1) na-eva-saMjQAna-asaMjQA-Ayatanam upasaMpadya viharati / taTA
   samāpannasya yā cetanā vistareṇa yāvac cittābhisaṃskāro manaskarmāyam	samApannasya yA cetanA vistareNa yAvat citta-aBisaMskAraH manaskarma-ayam
   ucyate kuśalaḥ karmabhavaḥ / yad api taddhetu tatpratyayaṃ	ucyate kuSalaH karma-BavaH / yat api tad-hetu tad-pratyayam
   naivasaṃjñānāsaṃjñāyatanānāṃ (DhskD 16r2) devānāṃ sabhāgatāyāṃ upapadyate	na-eva-saMjQAna-asaMjQA-yatanAnAm (DhskD 16r2) devAnAm saBA-gatAyAm upapadyate
   / tatra yā jātiḥ saṃjātir avakrāntir abhinirvṛttiḥ prādurbhāvaḥ	/ tatra yA jAtiH saMjAtiH avakrAntiH aBinirvRttiH prAdurBAvaH
   skandhapratilābho dhātupratilābhaḥ āyatanapratilābhaḥ jīvitendriyasya	skanDa-pratilABaH DAtu-pratilABaH Ayatana-pratilABaH jIvita-indriyasya
   prādurbhāvaḥ (DhskD 16r3) / itīyaṃ jātir imaṃ bhavaṃ pratītya tad ucyate	prAdurBAvaH (DhskD 16r3) / iti-iyam jAtiH imam Bavam pratItya tat ucyate
   bhavapratyayā jātir iti /	Bava-pratyayA jAtiH iti /
   api khalv evam uktam bhagavatā mahānidānaparyāye vyākaraṇe āyuṣmaty ānande	api Kalu evam uktam BagavatA mahAnidAna-paryAye vyAkaraNe Ayuzmati Anande
   asti pratyayam ānanda jātir / iti pṛṣṭair astīti (DhskD 16r4) vacanīyaṃ /	asti pratyayam Ananda jAtiH / iti pRzwEH asti-iti (DhskD 16r4) vacanIyam /
   kiṃpratyayā jātir iti / bhavapratyayā iti vacanīyaṃ / bhavapratyayā ānanda	kiMpratyayA jAtiH iti / Bava-pratyayAH iti vacanIyam / Bava-pratyayAH Ananda
   jātir / iti me yad uktam idaṃ me tat pratyuktaṃ /	jAtiH / iti me yat uktam idam me tat pratyuktam /
   bhavaś ced ānanda na syād api nu matsyānāṃ matsyatve pakṣiṇānāṃ vā	BavaH ced Ananda na syAt api nu matsyAnAm matsya-tve pakziNAnAm vA
   pakṣitve (DhskD 16r5) sarīsṛpāṇāṃ sarīsṛpatve catuṣpadānāṃ vā catuṣpadatve	pakzi-tve (DhskD 16r5) sarIsRpANAm sarIsRpa-tve catuzpadAnAm vA catuzpada-tve
   nāgānāṃ vā nāgatve yakṣāṇāṃ vā yakṣatve bhūtānāṃ vā bhūtatve gandharvāṇāṃ	nAgAnAm vA nAga-tve yakzANAm vA yakza-tve BUtAnAm vA BUta-tve ganDarvANAm
   vā gandharvatve devānāṃ vā devatve manuṣyāṇāṃ vā manuṣyatve (DhskD 16r6)	vA ganDarva-tve devAnAm vA deva-tve manuzyANAm vA manuzya-tve (DhskD 16r6)
   teṣāṃ teṣām ānanda satvānāṃ tasmin tasmin satvanikāye api nu kasya cit kaś	tezAm tezAm Ananda satvAnAm tasmin tasmin satva-nikAye api nu kasya cit kaS
   cid bhavaḥ syān / no bhadanta / sarvaśo vā punar ānanda bhave asaty api nu	cit BavaH syAt / naH Badanta / sarvaSas vA punar Ananda Bave asati api nu
   kasya cit kā cij jātiḥ prajñāyeta / no bhadanta / (DhskD 16r7) tasmāt	kasya cit kA cit jAtiH prajQAyeta / naH Badanta / (DhskD 16r7) tasmAt-
   tarhy ānandaitan nidānam eṣa samudaya eṣa hetur eṣa pratyayo jātyā yad uta	tarhi Ananda-etat nidAnam eza samudayaH eza hetuH eza pratyayaH jAtyA yat uta
   bhavaḥ / bhavapratyayā ānanda jātir / iti me yad uktam idaṃ me tat	BavaH / Bava-pratyayAH Ananda jAtiH / iti me yat uktam idam me tat-
   pratyuktaṃ /	pratyuktam /
