   Padmagupta (alias Parimala):	Padmagupta (aliaH Parimala):
   asty eva bhakteṣv ativatsalatvāt balād guṇāropaṇakautukaṃ te // PNc_9.31	asti eva Baktezu ati-vatsala-tvAt balAt guNa-AropaNa-kOtukam te // PNc_9.31
   anena me ko 'pi hṛdi praharṣas tava prasādātiśayena jātaḥ /	anena me kaH api hRdi praharzaH tava prasAda-atiSayena jAtaH /
   anārdratām indumarīcisakhye kiyac ciraṃ candramaṇir bibharti // PNc_9.32	anArdra-tAm indu-marIci-saKye kiyat ciram candramaNiH biBarti // PNc_9.32
   vidhāya tattādṛśam indrajālaṃ sā kena nītā phaṇirājakanyā /	viDAya tat-tAdRSam indrajAlam sA kena nItA PaNi-rAja-kanyA /
   apaśyato hetum ihopapannaṃ kim apy aho vismayate mano me // PNc_9.33 //	apaSyataH hetum iha-upapannam kim api aho vismayate manaH me // PNc_9.33 //
   ajñānam asmin viṣaye kim anyat mamaitad arhasy apanetum amba /	ajQAnam asmin vizaye kim anyat mama-etat arhasi apanetum amba /
   dināntasammūrcchitam andhakāraṃ niśāmukhasyeva śaśāṅkalekhā // PNc_9.34 //	dina-anta-sammUrcCitam anDakAram niSA-muKasya-iva SaSAFka-leKAH // PNc_9.34 //
   puno narmadāvākyam	punaH narmadA-vAkyam
   uktveti tūṣṇīm abhavan nṛsomaḥ sā somasūtiḥ sarid ity uvāca /	uktvA-iti tUzNIm aBavat nR-somaH sA somasUtiH sarit iti uvAca /
   atretivṛttaṃ kathayāmy aśeṣaṃ niśamyatāṃ mālavalokapālaḥ // PNc_9.35 //	atra-iti-vRttam kaTayAmi aSezam niSamyatAm mAlava-lokapAlaH // PNc_9.35 //
   gṛhadevatāvācaḥ	gRha-devatA-vAcaH
   yadaiva sā tarjitacandrakāntir ajāyatendīvarapatranetrā /	yadA-eva sA tarjita-candra-kAntiH ajAyata-indIvara-patra-netrA /
   citrasthitānāṃ gṛhadevatānām iti sphuranti sma tadaiva vācaḥ // PNc_9.36	citra-sTitAnAm gRha-devatAnAm iti sPuranti sma tadA-eva vAcaH // PNc_9.36
   ratnākaratvaṃ, bhujagendra jātaṃ kanyā tava śrīḥ śubhalakṣaṇeyam /	ratna-Akara-tvaM, Bujaga-indra jAtam kanyA tava SrIH SuBa-lakzaNA-iyam /
   vakṣaḥsthalaṃ madhyamalokabhartur vibhūṣayitrī puruṣottamasya // PNc_9.37	vakzaH-sTalam maDyama-loka-BartuH viBUzayitrI puruzottamasya // PNc_9.37
   [9.37a: read: ratnākarastvaṃ bhujagendra jātā? or follow /k?]	[9.37a: read: ratna-AkaraH-tvam Bujaga-indra jAtA? oH fa-ullow /k?]
   bhujaṅgavaṃśārṇavakaumudīyam iyaṃ patākāsya rasātalasya /	BujaFga-vaMSa-arNava-kOmudIyam iyam patAkA-asya rasAtalasya /
   upāgateyaṃ nidhanāgradūtī vajrāṅkuśasyāsurapuṅgavasya // PNc_9.38 //	upAgatA-iyam niDana-agra-dUtI vajra-aFkuSasya-asura-puFgavasya // PNc_9.38 //
   [SYNTAX: kulakam]	[SYNTAX: kulakam]
   [NOTE: Vajrāṅkuśa is the eastern guardian of the vajradhātumaṇḍala!]	[NOTE: Vajra-aFkuSaH iH Te eastern guardian of Te vajraDAtu-maNxala!]
   svavīryaparyastapurandareṇa tenāsurendreṇa kadarthitasya /	sva-vIrya-paryasta-purandareNa tena-asura-indreNa kadarTitasya /
   tejaś cirād ucchvasitaṃ tadābhūd iti śrute bhogabhṛtāṃ kulasya // PNc_9.39	tejaH cirAt ucCvasitam tadA-aBUt iti Srute BogaBRtAm kulasya // PNc_9.39
   taddehakāntis timiraṃ vyanaiṣīt yad atra moghīkṛtaratnadīpā /	tad-deha-kAntiH timiram vyanEzIt yat atra moGIkRta-ratna-dIpAH /
   pitrā tad asyāḥ kṛtam arthayuktam āhlādanaṃ nāma śaśiprabheti // PNc_9.40	pitrA tat asyAH kRtam arTa-yuktam AhlAdanam nAma SaSipraBA-iti // PNc_9.40
   tataḥ sudhāsūtikarābhirāmair guṇaiḥ parītā sahajanmabhiḥ sā /	tatas suDA-sUti-kara-aBirAmEH guNEH parItA saha-janmaBiH sA /
   śanaiḥ śanair vṛddhim avāpad atra rasātale bālamṛṇālokeva // PNc_9.41 //	SanEs SanEs vRdDim avApat atra rasAtale bAla-mRNa-AlokA-iva // PNc_9.41 //
   śaśiprābhāpituḥ pratijñā	SaSi-prABApituH pratijQA
   yad arthitābhūd anubaddhamānasaiḥ suraiś ca siddhaiś ca mahoragaiś ca /	yat arTitA-aBUt anubadDa-mAnasEH surEH ca sidDEH ca mahA-uragEH ca /
   teṣāṃ purastād akṛtavyavasthām ity ekadā saṃsadi pannagendraḥ // PNc_9.42	tezAm purastAt akRta-vyavasTAm iti ekadA saMsadi pannaga-indraH // PNc_9.42
   guptābhihito yat tridaśārivīrair vajrāṅkuśākhyasya mahāsurasya /	gupta-aBihitaH yat tridaSa-ari-vIrEH vajrAFkuSa-AKyasya mahA-asurasya /
   asūta līlāgṛhadīrghikeha haimaṃ harer nābhir ivāravindam // PNc_9.43 //	asUta lIlA-gRha-dIrGikA-iha hEmam hareH nABiH iva-aravindam // PNc_9.43 //
   ānīya tad yo duhitur mamāsyāḥ karṇāvataṃsapraṇayīkaroti /	AnIya tat yaH duhituH mama-asyAH karNa-avataMsa-praNayIkaroti /
   tasyeyam iṣvāsabhṛtaḥ kalatraṃ pārthasya pāñcālanṛpātmajeva // PNc_9.44 //	tasya-iyam izvAsa-BRtaH kalatram pArTasya pAQcAla-nRpa-AtmajA-iva // PNc_9.44 //
   [SYNTAX: kulakam]	[SYNTAX: kulakam]
   tenaivam ukte ca tadā pareṣu tam artham aṅgīkṛtavān na ko 'pi /	tena-evam ukte ca tadA parezu tam arTam aFgIkRtavAn na kaH api /
   vanyadvipād udgatadānarājeḥ kaḥ kumbhamuktāphalam ādadīta // PNc_9.45 //	vanya-dvipAt udgata-dAna-rAjeH kaH kumBa-muktAPalam AdadIta // PNc_9.45 //
   tataḥ prabhṛtyadbhutarūparekhā sā bālikābhūd avarā varāpi /	tatas praBRti-adButa-rUpa-reKA sA bAlikA-aBUt avarAH varA-api /
   citte vacas tat kuladevatānāṃ kṛtvāpi tasyāḥ saś ca nānvaśeta // PNc_9.46	citte vacaH tat kula-devatAnAm kRtvA-api tasyAH saH ca na-anvaSeta // PNc_9.46
   sampraty avaimi prathitā yadātaḥ svarge ca bhūmau ca bhuvastale ca /	samprati avEmi praTitA yadA-atas svarge ca BUmO ca BuvaH-tale ca /
   nīto 'si netrātithitāṃ tvam asyāḥ puṇyena janmāntarasambhṛtena // PNc_9.47	nItaH asi netra-atiTitAm tvam asyAH puNyena janma-antara-samBRtena // PNc_9.47
   ānetukāmena bhavantam atra nijaṃ vacas tannayatā pratiṣṭhām /	Anetu-kAmena Bavantam atra nijam vacaH tad-naya-tA pratizWAm /
   āptaprayatnena tathā sa manye phaṇīśvareṇopakṛtaḥ prapañcaḥ // PNc_9.48 //	Apta-prayatnena taTA sa manye PaNi-ISvareNa-upakRtaH prapaQcaH // PNc_9.48 //
   ekaḥ kṣitau sāhasikas tvam eva nānyo 'sti rājan navasāhasāṅkaḥ /	ekaH kzitO sAhasikaH tvam eva na-anyaH asti rAjan nava-sAhasa-aFkaH /
   nisargadurgām api bhūmim etāṃ svodyānavīthīm iva yaḥ praviṣṭaḥ // PNc_9.49	nisarga-durgAm api BUmim etAm sva-udyAna-vITIm iva yaH pravizwaH // PNc_9.49
   tad asya kāryasya puraskṛtasya yatasva sīmāntavilokanāya /	tat asya kAryasya puraskRtasya yatasva sImAnta-vilokanAya /
   vigāhamāno 'mbaram ardhamārgaṃ nivartate jātu kim uṣṇarāśmiḥ // PNc_9.50	vigAhamAnaH ambaram arDa-mArgam nivartate jAtu kim uzNa-rASmiH // PNc_9.50
   ito 'sti gavyūtiśatārdhamātraṃ gatvā purī ratnavatīti nāmnā /	itas asti gavyUti-Sata-arDa-mAtram gatvA purI ratnavatI-iti nAmnA /
   vinirmitā śilpikalāmayena mayena yā nākajigīṣayena // PNc_9.51 //	vinirmitA Silpi-kalA-mayena mayena yA nAka-jigIzayena // PNc_9.51 //
   [NOTE: allusion to aṇahilapura, capital of the solaṅkis?]	[NOTE: allusion taH aNahila-pura, capitat of Te sa-ulaFki-s?]
   tasyāsurendrasya narādhipendra jagaddruhaḥ sā kila rājadhānī /	tasya-asura-indrasya narADipa-indra jagat-druhaH sA kila rAjaDAnI /
   samedhitasyābjabhuvā vareṇa raṇeṣv avadhyo marutāṃ bhaveti // PNc_9.52 //	sameDitasya-abja-BuvA vareNa raNezu avaDyaH marutAm Bava-iti // PNc_9.52 //
   so mauliratnāni mahoragāṇām utkhyāya cotkhāya ca kautukena /	saH mOli-ratnAni mahA-uragANAm utKyAya ca-utKAya ca kOtukena /
   karoti nirvāsitanāyakeṣu nijāṅganāhāralatāntareṣu // PNc_9.53 //	karoti nirvAsita-nAyakezu nija-aFganA-AhAra-latA-antarezu // PNc_9.53 //
   so bāṣpaparyākulalocanāni niḥśvāsabhinnādharapallavāni /	saH bAzpa-paryAkula-locanAni niHSvAsa-Binna-aDara-pallavAni /
   karoti vaktrāṇy amarāṅganānām utsannalīlāsmitacandrikāni // PNc_9.54 //	karoti vaktrANi amara-aFganAnAm utsanna-lIlA-smita-candrikAni // PNc_9.54 //
   kṛtāṅgadaḥ kambalakāliyābhyāṃ yajñopavītīkṛtaśaṅkhacūḍaḥ /	kRta-aFgadaH kambala-kAliyAByAm yajQa-upavItIkRta-SaFKacUxaH /
   sas takṣakāpāditakaṇṭhabhūṣo bibharti līlām aśivaḥ śivasya // PNc_9.55 //	saH takzaka-ApAdita-kaNWa-BUzaH biBarti lIlAm aSivaH Sivasya // PNc_9.55 //
   āstāṃ kim anyaiḥ phaṇibhiḥ saś cintyas tasyāpi śeṣasya ca vāsukeś ca /	AstAm kim anyEH PaNiBiH saH cintyaH tasya-api Sezasya ca vAsukeH ca /
   rāhur yathā viśvabhayaikahetus tārādhipasyāhimadīdhiteś ca // PNc_9.56 //	rAhuH yaTA viSva-Baya-eka-hetuH tArADipasya-ahima-dIDiteH ca // PNc_9.56 //
   khagendrabhaṅgena tathā tathā ca na sarpayajñe janamejayasya /	Kaga-indra-BaFgena taTA taTA ca na sarpa-yajQe janamejayasya /
   nidhānam ātaṅkaparamparāṇāṃ jāto yathā samprati nāgalokaḥ // PNc_9.57 //	niDAnam AtaFka-paramparANAm jAtaH yaTA samprati nAga-lokaH // PNc_9.57 //
   hares tvam aṃśo 'tra kṛtāvatāras tasyāsurendrasya nibarhaṇāya /	hareH tvam aMSaH atra kRta-avatAraH tasya-asura-indrasya nibarhaNAya /
   avaimi lokatrayakaṇṭakasya laṅkādhipasyeva sa maithilīśaḥ // PNc_9.58 //	avEmi lokatraya-kaNwakasya laFkA-aDipasya-iva sa mETilISaH // PNc_9.58 //
   śrīkaṇṭhavaikuṇṭhapurandarādyair upekṣitaṃ yat tridaśair aśaktyā /	SrIkaNWa-vEkuNWa-purandara-AdyEH upekzitam yat tridaSEH aSaktyA /
   kṛtasya tasyāsya bharaṃ visoḍhuṃ sambhāvyase me nṛpate tvam eva //	kRtasya tasya-asya Baram visoXum samBAvyase me nRpate tvam eva //
   PNc_9.59 //	PNc_9.59 //
   kim anyad uttiṣṭha gṛhāṇa yātrāṃ vajrāṅkuśaṃ pratyamitapratāpa /	kim anyat uttizWa gRhANa yAtrAm vajrAFkuSam pratyamita-pratApaH /
   tac cāvataṃsīkuru hemapadmam ānīya, bhūśakra, śaśiprabhāyāḥ // PNc_9.60 //	tat ca-avataMsIkuru hema-padmam AnIya, BU-Sakra, SaSi-praBAyAH // PNc_9.60 //
   sā te samāptādbhutasāhasasya vatsāṅkam abhyetu phaṇīndrakanyā [[vatsāṅka	sA te samApta-adButa-sAhasasya vatsa-aFkam aByetu PaNIndra-kanyA [[vatsa-aFka
   pun?]] /	pun?]] /
   sītā yathā daśaratheḥ salīlam āropitatryambakakārmukasya // PNc_9.61 //	sItA yaTA daSaraTeH sa-lIlam Aropita-tryambaka-kArmukasya // PNc_9.61 //
   [9.61a: read asamāpta# ?]	[9.61a: reat asamApta# ?]
   agādhapātālatalodgatāni vinidrakundacchadasundarāni /	agADa-pAtAla-tala-udgatAni vinidra-kunda=-Cada-sundarAni /
   lokadvaye samprati te yaśāṃsi ākalpapallavīphalavac carantu // PNc_9.62 //	loka-dvaye samprati te yaSAMsi Akalpa-pallavI-Pala-vat carantu // PNc_9.62 //
   prasādam āptena cirād vilīne tasmin surārātighanoparodhe /	prasAdam Aptena cirAt vilIne tasmin sura-arAti-Gana-uparoDe /
   mukhendunā pannagasundarīṇāṃ punaḥ samāgacchatu patralekhā // PNc_9.63 //	muKa-indunA pannaga-sundarINAm punar samAgacCatu patra-leKAH // PNc_9.63 //
   āsīt purastāt tripurāvabhaṅge yan maṇḍalaṃ bālamṛgāṅkamauleḥ /	AsIt purastAt tripura-avaBaFge yat maNxalam bAla-mRgAFka-mOleH /
   mahāsurair bhāvini sāmparāye tavāstu tat saṃyugajāmadagnya // PNc_9.64 //	mahA-asurEH BAvini sAmparAye tava-astu tat saMyuga-jAmadagnyaH // PNc_9.64 //
   panthāḥ śivo 'yaṃ purato 'tra gantā vaṅkurmunir locanagocaraṃ te /	panTAH SivaH ayam puratas atra gantA vaFkuH-muniH locana-gocaram te /
   upācares taṃ ca tathāvidhānāṃ bhaktiṃ hi gāṃ kāmaduhām uśanti // PNc_9.65	upAcareH tam ca taTAviDAnAm Baktim hi gAm kAma-duhAm uSanti // PNc_9.65
   ity udīrya maṇikāntikandalīḥ kalpitaṃ tridaśacāpam asya sā /	iti udIrya maNi-kAnti-kandalIH kalpitam tridaSa-cApam asya sA /
   ā mumoca nijakaṇkaṇaṃ bhuje jyākiṇāṅkakaṭhiṇīkṛtatvaci // PNc_9.66 //	A mumoca nija-kaNkaNam Buje jyAkiNa-aFka-kaWiNIkRta-tvaci // PNc_9.66 //
   narmadoktisvīkāraḥ	narmadA-ukti-svIkAraH
   avadad atha saḥ sāhasonmukhas tām iha hi vayaṃ vacasi sthitās taveti /	avadat aTa saH sAhasa-unmuKaH tAm iha hi vayam vacasi sTitAH tava-iti /
   taḍid iva na cirād udīritāśīḥ sarid api sāsya puras tirobabhūva //	taxit iva na cirAt udIrita-ASIH sarit api sA-asya puras tirobaBUva //
   PNc_9.67 //	PNc_9.67 //
   iti śrīmṛgāṅkadattasūnoḥ parimalāparanāmnaḥ padmaguptasya kṛtau	iti SrI-mRgAFka-datta-sUnoH parimala-apara-nAmnaH padmaguptasya kRtO
   navasāhasāṅkacarite mahākāvye narmadāsaṃvādo nāma navamaḥ sargaḥ	nava-sAhasa-aFka-carite mahAkAvye narmadA-saMvAdaH nAma navamaH sargaH
   daśamaḥ sargaḥ	daSamaH sargaH
   nāyakasya ramāṅgadaṃ prati praśnaḥ	nAyakasya ramAFgadam prati praSnaH
   atha mekalācalasutātirohitau atimātravismayarasārdramānasaḥ /	aTa mekalA-acala-suta-atirohitO atimAtra-vismaya-rasa-Ardra-mAnasaH /
   daśanacchavicchuritapāṭalādharaḥ sa ramāṅgadaṃ nṛpatir ity avocat //	daSana=-Cavi=-Curita-pAwalA-DaraH sa ramAFgadam nRpatiH iti avocat //
   PNc_10.1 //	PNc_10.1 //
   adhirohati svayam acintitāpy aho śubhasampadaṅkam aparāṅmukhe vidhau /	aDirohati svayam acintitA-api aho SuBa-sampad-aFkam aparAFmuKe viDO /
   savapur vilocanapathaṃ yadāvayor amṛtāṃśusūtir iyam āpadāpagā // PNc_10.2	sa-vapuH vilocana-paTam yat-A-AvayoH amRta-aMSu-sUtiH iyam Apad-ApagAH // PNc_10.2
   idam indrajālam iti me samutthitām matim etad arpitam udārayā tayā /	idam indrajAlam iti me samutTitAm matim etat arpitam udArayA tayA /
   vikasanmarīciracitendrakārmukaṃ karavarti ratnavalayaṃ vilumpati //	vikasat-marIci-racita-indra-kArmukam karavarti ratna-valayam vilumpati //
   PNc_10.3 //	PNc_10.3 //
   ayi mekalādritanayāpuraḥkṛte kriyate kim atra vada kṛtyavastuni /	ayi mekalAdri-tanayA-puraHkRte kriyate kim atra vada kRtya-vastuni /
   tava yat sadā nayarahasyavedino na dhiyaś caranty anayapāṃsule pathi //	tava yat sadA naya-rahasya-vedinaH na DiyaH caranti anaya-pAMsule paTi //
   PNc_10.4 //	PNc_10.4 //
   ramāṅgadavākyam	ramAFgada-vAkyam
   iti pārthivena kathite dadhan manāk pulakena cumbitakapolam ānanam /	iti pArTivena kaTite daDan manAk pulakena cumbita-kapolam Ananam /
   idam āttanītipatham ādade vacaḥ smitapuṣpitādharadalo ramāṅgadaḥ //	idam AttanItipaTam Adade vacaH smita-puzpita-aDara-dalaH ramAFgadaH //
   PNc_10.5 //	PNc_10.5 //
   iha kiṃ pratisphurati me tavāgrato nayaśāstranīranidhipāradṛśvanaḥ /	iha kim pratisPurati me tava-agratas naya-SAstra-nIra-niDi-pAradRSvanaH /
   avalīḍhaviśvatamasaḥ puro raver na hi jātu dipakaśikhā prakāśate //	avalIXa-viSvatamasaH puras raveH na hi jAtu dipaka-SiKA prakASate //
   PNc_10.6 //	PNc_10.6 //
   viṣaye 'tra maunam ucitaṃ hi mādṛśām avaśas tathāpi kathayāmi kiṃ cana /	vizaye atra mOnam ucitam hi mAdRSAm avaSaH taTA-api kaTayAmi kim cana /
   kṣitipālamaulimaṇiveṇikātithes tava kena śāsanam idaṃ vilaṅghyate //	kzitipAla-mOli-maNi-veNikA-atiTeH tava kena SAsanam idam vilaFGyate //
   PNc_10.7 //	PNc_10.7 //
   prathamaṃ hi maṇḍalam akhaṇḍaśāktibhir vijigīṣubhiḥ svam abhitaḥ	praTamam hi maNxalam aKaNxa-SAktiBiH vijigIzuBiH svam aBitas-
   prasādhyate /	prasADyate /
   paramaṇḍale tad anu nītipāragair avanīpurandara, karaḥ prasāryate //	para-maNxale tat anu nIti-pAragEH avanIpurandara, karaH prasAryate //
   PNc_10.8 //	PNc_10.8 //
   tad apāsyam evam avitarkitotthite paripanthinām iha vidheyavastuni /	tat apAsyam evam avitarkita-utTite paripanTinAm iha viDeya-vastuni /
   yadi nābhaviṣyad abhimānaśālinas tava rājyam uddhṛtasamastakaṇṭakam //	yadi na-aBavizyat aBimAna-SAlinaH tava rAjyam udDRta-samasta-kaNwakam //
   PNc_10.9 //	PNc_10.9 //
   śrutaśaktisaṅkalitamantraniścayair upalabdhaṣaḍguṇavivekavartmabhiḥ /	Sruta-Sakti-saFkalita-mantra-niScayEH upalabDa-zaxguNa-viveka-vartmaBiH /
   tadupāyatattvam adhigamya dhūḥ kṣites tava mantribhir nṛpa durudvahohyate	tad-upAya-tattvam aDigamya DUH kziteH tava mantriBiH nRpa durudvaha-uhyate
   // PNc_10.10 //	// PNc_10.10 //
   atisāndrakāñcanamarīcipiṅgalaṃ digupāhitapracurapatraśobhinaḥ /	ati-sAndra-kAQcana-marIci-piFgalam diS-upAhita-pracura-patra-SoBinaH /
   tava kośam utsṛjati na kṣaṇaṃ ramā paramāravaṃśasarasīsaroruha //	tava koSam utsRjati na kzaNam ramA paramAravaMSa-sarasI-saroH-uha //
   PNc_10.11 //	PNc_10.11 //
   priyakīrtayo jayapavitritāśayās tarasā tṛṇīkṛtajagattrayā yudhi /	priya-kIrtayaH jaya-pavitri-ta-ASayAH tarasA tRNIkRta-jagattrayAH yuDi /
   jagatīviśeṣaka tavānujīvino nivasanty avantiviṣaye sahasraśaḥ // PNc_10.12	jagatI-viSezaka tava-anujIvinaH nivasanti avanti-vizaye sahasraSas // PNc_10.12
   pṛthivībhṛtaḥ prathitavikrameṇa ye gamitās tvayā vaśam upāyasampadā /	pRTivIBRtaH praTita-vikrameNa ye gamitAH tvayA vaSam upAya-sampadA /
   nayavartmagāḥ kṣitipate tavānyathā na bhavanti bhāvisamarābhiśaṅkayā //	naya-vartma-gAH kzitipate tava-anyaTA na Bavanti BAvi-samara-aBiSaFkayA //
   PNc_10.13 //	PNc_10.13 //
   apakartum atra samaye tavāttabhīr manasāpi hūṇanṛpatir na vāñchati /	apakartum atra samaye tava-Atta-BIH manasA-api hUNa-nRpatiH na vAQCati /
   ibhakumbhabhittidalanodyame harer na kapiḥ kadā cana saṭāṃ vikaṛṣati //	iBa-kumBa-Bitti-dalana-udyame hareH na kapiH kadA cana sawAm vikaRzati //
   PNc_10.14 //	PNc_10.14 //
   asikāntijālajaṭilāgrabāhunā raṇasīmni nātha nihateṣu bhartṛṣu /	asi-kAnti-jAla-jawilA-agra-bAhunA raNa-sImni nATa nihatezu BartRzu /
   bhavatātra vāgaḍavadhūjanaḥ kṛto ratisandhivigrahakathāparāṅmukhaḥ //	BavatA-atra vAgaxa-vaDU-janaH kRtaH rati-sanDi-vigraha-kaTA-parAFmuKaH //
   PNc_10.15 //	PNc_10.15 //
   adhunāpi deva muralāṅganājanais vijayapraśastir iva likhyate tava /	aDunA-api deva murala-aFganA-janEH vijaya-praSastiH iva liKyate tava /
   galadañjanāśrupṛṣatāvalicchalāl lasadindupāṇḍuṣu kapolabhittiṣu //	galat-aQjana-aSru-pRzata-A=-ali=-CalAt lasat-indu-pANxuzu kapola-Bittizu //
   PNc_10.16 //	PNc_10.16 //
   rabhasād apāsya maṇikaṅkaṇāvalīḥ kanakāravindakatakeṣu te 'sinā /	raBasAt apAsya maNi-kaFkaNa-AvalIH kanaka-aravinda-katakezu te asinA /
   na kim arpitāni nṛpa lāṭayoṣitā sphaṭikākṣasūtravalayāni pāṇiṣu //	na kim arpitAni nRpa lAwa-yozitA sPawika-akza-sUtra-valayAni pANizu //
   PNc_10.17 //	PNc_10.17 //
   nayanāmbubhiḥ snapitadhūsarādharāḥ pratibaddharūkṣamalinaikaveṇayaḥ /	nayana-ambuBiH snapita-DUsara-aDarAH pratibadDa-rUkza-malina-eka-veNayaH /
   nihitā na kiṃ mahati śokasāgare jagatīndra kosalapateḥ purandhrayaḥ //	nihitAH na kim mahati Soka-sAgare jagati-indra kosala-pateH puranDrayaH //
   PNc_10.18 //	PNc_10.18 //
   uditena vairitimiradruhābhitas tava nātha vikramamayūkhamālinā /	uditena vEri-timira-druha-aBitaH tava nATa vikrama-mayUKa-mAlinA /
   gamitāḥ prabhāvalayaśūnyatāṃ jhaṭity aparāntapārthivavadhūmukhendavaḥ //	gamitAH praBA-valaya-SUnyatAm Jawiti apara-anta-pArTiva-vaDU-muKa-indavaH //
   PNc_10.19 //	PNc_10.19 //
   ativelam uttaradigantavartinā samaraśramābhyuditagharmabindunā /	ativelam uttara-diS-anta-vartinA samara-Srama-aByudita-Garma-bindunA /
   śaradindunirmalam apāyi bhūbhṛtām asipatrapātrapatitaṃ tvayā yaśaḥ //	Sarad-indu-nirmalam apAyi BUBRtAm asi-patra-pAtra-patitam tvayA yaSaH //
   PNc_10.20 //	PNc_10.20 //
   nijarandhragopanapaṭīyasābhitaḥ pararandhradṛṣṭipaṭucāracakṣuṣā /	nija-ranDra-gopana-pawIyasA-aBitas para-ranDra-dRzwi-pawu-cAra-cakzuzA /
   nayabhinnasāhasabhuvā bhuvastale bhavatā samaṃ kathaya ko viruddhyate //	naya-Binna-sAhasa-BuvA Buvastale BavatA samam kaTaya kaH virudDyate //
   PNc_10.21 //	PNc_10.21 //
   naradeva daivam adhikṛtya yā vipat nipataty avantiviṣaye kathaṃ cana /	naradeva dEvam aDikRtya yA vipad nipatati avanti-vizaye kaTam cana /
   śikhimuktamantrahaviṣā vihanyate tava sā vasiṣṭhamahasā purodhasā //	SiKi-mukta-mantra-havizA vihanyate tava sA vasizWa-mahasA puroDasA //
   PNc_10.22 //	PNc_10.22 //
   nṛpa vāsarāṇi nirupaplavāḥ prajāḥ sukham ātmakarmaṇi ratā nayanti yat /	nRpa vAsarANi nirupaplavAH prajAH suKam Atma-karmaNi ratAH nayanti yat /
   vijayaṃ jayaikasuhṛdo 'sya sarvadā nanu kārmukasya tava tadvijṛmbhitam //	vijayam jaya-eka-suhRdaH asya sarvadA nanu kArmukasya tava tat-vijRmBitam //
   PNc_10.23 //	PNc_10.23 //
   iti kiṃ cid eva na tava svamaṇḍale nṛpa cintyam asty uditaśaktisampadaḥ /	iti kim cit eva na tava sva-maNxale nRpa cintyam asti udita-Sakti-sampadaH /
   adhunā tu nītinihitena cetasā phaṇilokakṛtyam idam eva cintyatām //	aDunA tu nIti-nihitena cetasA PaNi-loka-kRtyam idam eva cintyatAm //
   PNc_10.24 //	PNc_10.24 //
   prabhuśāktir udyamaparatvam arpita- trijagaccamatkṛtir ahaṅkṛtiś ca sā /	praBu-SAktiH udyama-paratvam arpita trijagat-camatkRtiH ahaFkRtiH ca sA /
   asurasya tasya kathitā narendra te nagarī ca mekalanagendrakanyayā //	asurasya tasya kaTitA narendra te nagarI ca mekala-naga-indra-kanyayA //
   PNc_10.25 //	PNc_10.25 //
   abhigamya eva sas tavādhunā ripur marutām udāranijakāryasiddhaye /	aBigamya eva saH tava-aDunA ripuH marutAm udAra-nija-kArya-sidDaye /
   śrutilagnagandhagajabṛṃhitaḥ kṣaṇaṃ nṛpa kesarī kathaya kiṃ vilambate //	Sruti-lagna-ganDa-gaja-bRMhitaH kzaNam nRpa kesarI kaTaya kim vilambate //
   PNc_10.26 //	PNc_10.26 //
   navasāhasāṅka, na tavāsurād ahaṃ kalayāmi samprati kim apy atādṛśam /	nava-sAhasa-aFka, na tava-asurAt aham kalayAmi samprati kim api atAdRSam /
   vidhutiḥ kadā cana vibho na bhūbhṛtaḥ kalaviṅkapakṣapavanena śāṅkyate //	viDutiH kadA cana viBo na BUBRtaH kalaviFka-pakza-pavanena SAFkyate //
   PNc_10.27 //	PNc_10.27 //
   bhavatā yadoccalita eṣa dakṣiṇaś caraṇas tadaiva suravairiyoṣitām /	BavatA yadA-uccalitaH eza dakziNaH caraNaH tadA-eva sura-vEri-yozitAm /
   vigalanti deva nayanodabindavaḥ śaradindupāṇḍuni kapolamaṇḍale //	vigalanti deva nayana-uda-bindavaH Sarad-indu-pANxuni kapola-maNxale //
   PNc_10.28 //	PNc_10.28 //
   vijayaikasadmani guṇaḥ śarāsane tava yāvad atra na nṛpādhirohati /	vijaya-eka-sadmani guNaH SarAsane tava yAvat atra na nRpa-aDirohati /
   tuhinacchaṭādhavalacāmarasmitā vilasanti tāvad asurālaye śriyaḥ //	tuhina=-CawA-Davala-cAmara-smitAH vilasanti tAvat asura-Alaye SriyaH //
   PNc_10.29 //	PNc_10.29 //
   kanakāravindam aravindalocana praṇayena naiva saḥ samarpayiṣyati /	kanaka-aravindam aravinda-locana praNayena na-eva saH samarpayizyati /
   suranirjayārjitamadāvṛte 'ntaraṃ labhate na sāma kila tādṛśaṃ hṛdi //	sura-nirjaya-arjita-mada-AvRte antaram laBate na sAma kila tAdRSam hRdi //
   PNc_10.30 //	PNc_10.30 //
   bhavataḥ kuto 'pi nṛpa yāvad āgamaṃ na sa vetti tāvad abhiyoktum arhasi /	BavataH kutas api nRpa yAvat Agamam na sa vetti tAvat aBiyoktum arhasi /
   sahasānyathā rahasi mantribodhitaḥ paritaḥ svadurghaṭane yatiṣyate //	sahasA-anyaTA rahasi mantri-boDitaH paritas sva-durGawane yatizyate //
   PNc_10.31 //	PNc_10.31 //
   kṛtanūtanārgalakapāṭasaṃpuṭāṃ subhaṭair udāyudhakarair adhiṣṭhitām /	kRta-nUta-nArgala-kapAwa-saMpuwAm su-BawEH udAyuDa-karEH aDizWitAm /
   paritaḥ sukhātaparikhāṃ punaḥ purīṃ racitaikadurgam apathāṃ vidhāsyati //	paritas suKa-AtapariKAm punar purIm racita-eka-durgam apaTAm viDAsyati //
   PNc_10.32 //	PNc_10.32 //
