   Table of the Contents	Table of Te Contents
   BJ_13.05b/.prabhura.gada.śarīraḥ.śīlavān.khyāta.kīrtir.viṣaya.sukha.suveṣo.nirvṛtaś.ca.anaphāyām//(mālinī)	BJ_13.05b/.-praBuH-a.gada.-SarIra-H.SIlavAn-.KyAta.-kIrtiH-.vizaya.-suKa.-su-vezo.-nirvRta-S.ca.anaPAyAm//(-mAlinI)
   BJ_13.06a/.utpanna.bhoga.sukha.bhug.dhana.vāhana.āḍhyas.tyāga.anvito.durudhurā.prabhavaḥ.subhṛtyaḥ/	Bu-_13.06a/.utpanna.-Boga.-suKa-.-Buj-.-Dana.vAhana-.AXya-s.tyAga.anvito.-duruDurA.-praBavaH.-su-BRtyaH/
   BJ_13.06b/.kemadrume.malina.duḥkhita.nīca.niḥsvāḥ.preṣyāḥ.khalāś.ca.nṛpater.api.vaṃśa.jātāḥ//(va.ti)	BJ_13.06b/.kema-drume.-malina.-duHKita.-nIca.-niHsvAH.-prezyAH.KalA-S.ca.-nRpateH-.api.vaMSa.-jAtAH//(va.ti)
   BJ_13.07a/.utsāha.śaurya.dhana.sāhasa.vān.mahījaḥ.saumyaḥ.paṭuḥ.suvacano.nipuṇaḥ.kalāsu/	Bu-_13.07a/.utsAha.-SOrya.Dana.-sAhasa.vAn.-mahIjaH.-sOmyaH.pawuH-.su-vacana-u.-nipuNaH.kalAsu/
   BJ_13.07b/.jīvo.artha.dharma.sukha.bhāṅ.nṛpa.pūjitaś.ca.kāmī.bhṛgur.bahu.dhano.viṣaya.upabhoktā//(va.ti)	BJ_13.07b/.jIvaH-.arTa.-Darma.-suKa.BAF.-nRpa.-pUjita-S.ca.kAmI.BRguH-.bahu.Dano.-vizaya-.upaBoktA//(va.ti)
   BJ_13.08a/.para.vibhava.paricchada.upabhoktā.ravi.tanayo.bahu.kāryakṛd.gaṇeśaḥ/	BJ_13.08a/.para.-viBava.-paricCada.-upaBoktA.-ravi.tanayo.-bahu.-kArya-kRt-.gaNeSaH/
   BJ_13.08b/.aśubha.kṛd.uḍupo.ahni.dṛśya.mūrtir.galita.tanuś.ca.śubho.anyathā.anyad.ūhyam//(puṣpitāgrā)	BJ_13.08b/.a-SuBa.kRt-.uxupaH-.ahni.dRSya.-mUrtiH-.galita.tanu-S.ca.-SuBaH-.anyaTA-.anyat-.Uhyam//(-puzpita-agrA)
   BJ_13.09a/.lagnād.atīva.vasumān.vasumāñ.chaśa.aṅkāt.saumya.grahair.upacaya.upagataiḥ.samastaiḥ/	BJ_13.09a/.lagnAt-.atIva-.vasumAn-.vasu-mAQ.-Ca-Sa.aFkAt.-sOmya.grahEH-.upacaya-.upagatEH.-samastEH/
   BJ_13.09b/.dvābhyāṃ.samo.alpa.vasumāṃś.ca.tad.ūnatāyām.anyeṣv.asatsv.api.phaleṣv.idam.utkaṭena//(va.ti)E13	BJ_13.09b/.dvAByAn.samaH-.alpa.-vasumAMS.-ca.tad-.UnatAyAm.anyezu-.asatsu-.api.-Palezu-.idam-.utkawena//(va.ti-)E13
   BJ_14.dvi.grahayoga	Bu-_14.dvi.graha-yoga
   BJ_14.01a/.tigma.aṃśur.janayaty.uṣeśa.sahito.yantra.aśma.kāraṃ.naraṃ.bhaumena.agharataṃ.budhena.nipuṇaṃ.dhī.kīrti.saukhya.anvitam/	Bu-_14.01a/.tigma-.aMSuH-.-janayati-.uzeSa.-sahita-u.yantra-.aSma.ka-AraM.naraM.BOmena.aGa-rataM.-buDena.-nipuNaM.DI.-kIrti.-sOKya.anvitam/
   BJ_14.01b/.krūraṃ.vāk.patinā.anya.kārya.nirataṃ.śukreṇa.raṅga.āyudhair.labdhasvaṃ.ravijena.dhātu.kuśalaṃ.bha.aṇḍa.prakāreṣu.vā//(śā.vi)	BJ_14.01b/.krUraM.vAk.patinA-a.anya.-kArya.-nirataM.SukreNa-.raFga.a-AyuDEH-.labDa-svaM.ravijena.-DAtu.-kuSalaM.Ba-.aNxa.-prakAra-izu.vA//(SA.
   BJ_14.02a/.kūṭa.stry.āsava.kumbha.paṇyam.aśivaṃ.mātuḥ.sa.vakraḥ.śaśī/sa.jñaḥ.praśrita.vākyam.artha.nipuṇaṃ.saubhāgya.kīrtyā.anvitam/	BJ_14.02a/.kUwa.H-tri-.Asa-va.-kumBa.-paNyam.a-Sivan.mAtuH.-sa.vakraH.SaSI/-sa.jQaH.-praSrita.-vAkyam-.arTa.-nipuNaM.sOBAgya.-kIrtyA-a.anvitam
   BJ_14.02b/.vikrāntaṃ.kula.mukhyam.asthira.matiṃ.vitta.īśvaraṃ.sa.aṅgirā/vastrāṇāṃ.sa.sitaḥ.kriyā.ādi.kuśalaṃ.sa.arkiḥ.punarbhū.sutam//(śā.vi)	Bu-_14.02b/.-vikrAnta-M.kula.-muKyam.a-sTira.matiM.vitta-.ISvaraM.sa-.aFgirA/-vastrANAM.sa.sitaH.-kriyA.Adi-.kuSalaM.sa.arkiH.punarBU.-sut
   BJ_14.03a/.mūla.ādi.sneha.kūṭair.vyavaharati.vaṇig.bāhu.yoddhā.sa.saumye/puryadhyakṣaḥ.sa.jīve.bhavati.nara.patiḥ.prāpta.vitto.dvijo.vā/	BJ_14.03a/.-mUla-.Adi.sneha.-kUwEH-.vyavaharati.vaNij-.bAhu.yodDa-a.sa.-sOmye/-purI-aDyakzaH.-sa.jIve.Bavati.nara.patiH.-prApta.-vitto.-dvijaH-
   BJ_14.03b/.gopo.mallo.atha.dakṣaḥ.para.yuvati.rato.dyūta.kṛt.sāsurejye.duḥkha.ārto.asatya.saṃdhaḥ.sa.savitṛ.tanaye.bhūmije.ninditaś.ca//(śa.vi)	BJ_14.03b/.gopo.mat-laH-.aTa.-dakzaH-.para.-yuvati-.rato.dyUta.-kRt.-sAsu-ra-ijye.-duHKa-.ArtaH-.asatya.saMDaH.-sa.sa-vitR.tanaye.-BUmi-je.nindita-S
   BJ_14.04a/.saumye.raṅga.caro.bṛhaspati.yute.gīta.priyo.nṛtyavid.vāgmī.bhū.gaṇapaḥ.sitena.mṛdunā.māyā.paṭur.laṅghakaḥ/	BJ_14.04a/.-sOmye.raFga-.caro.bRhaspati-.yute.-gIta.-priyo.nRtya-vid-.vAgmI.-BU.-gaNapaH.sitena.-mRdunA-a.mAyA.-pawuH-.-laFGakaH/
   BJ_14.04b/.sad.vidyo.dhana.dāravān.bahu.guṇaḥ.śukreṇa.yukte.gurau.jñeyaḥ.śmaśru.karo.asitena.ghaṭakṛj.jāto.anna.kāro.api.vā//(śā.vi)	Bu-_14.04b/.sad.-vidyo.Dana.dAra-vAn-.bahu.-guNaH.SukreNa.-yukte.-gurO.-jQeyaH.SmaSru.karo.asitena.-Gawa-kRj.-jAtaH-.anna.kAraH-.api.vA//(SA.v
   BJ_14.05a/.asita.sita.samāgame.alpa.cakṣur.yuvati.samāśraya.sampravṛddha.vittaḥ/	Bu-_14.05a/.asita.sita.-samAgame.alpa.-cakzuH-.yuvati.-samASraya.-sampravRdDa.vittaH/
   BJ_14.05b/.bhavati.ca.lipi.pustaka.citra.vettā.kathita.phalaiḥ.parato.vikalpanīyāḥ//(puṣpitāgrā)E14	Bu-_14.05b/.Bavati.ca.li-pi.pustaka.citra-.vettA.-kaTita.PalEH.parato.-vikalpanIyAH//(-puzpita-agrA)E14
   BJ_15.pravrajyāyoga	Bu-_15.-pravrajyA-yoga
   BJ_15.01a/.ekasthaiś.catura.ādibhir.bala.yutair.jātāḥ.pṛthag.vīryagaiḥ/śākyā.jīvika.bhikṣu.vṛddha.carakā.nirgrantha.vanya.āśanāḥ/	Bu-_15.01a/.eka-sTA-ES.catura.a-AdiBiH-.bala.-yutEH-.jAtAH.-pRTak-.vIrya-gEH/SAkyA.-jIvika-.Bikzu.-vRdDa.-carakA.-nirgranTa.-vanya-.ASanAH/
   BJ_15.01b/.māheya.jña.guru.kṣapā.kara.sita.prābhākarīnaiḥ.kramāt/pravrajyā.balibhiḥ.samā.parajitais.tat.svāmibhiḥ.pracyutiḥ//(no	Bu-_15.01b/.mAheya.jQa.-guru-.kzapA.kara.sita.-prABa-AkarInEH.kra-mAt/-pravrajyA-a.-baliBiH.-sama-a.parajitA-eH-.tat.-svAmiBiH.-pracyutiH-//(no
   name)	name)
   BJ_15.02a/.ravi.kupta.karair.adīkṣitā.balibhis.tad.gata.bhaktayo.narāḥ/	BJ_15.02a/.ravi.kupta.karEH-.adIkzitA.-baliBiH-.tad.-gata.-Bakta-yo.-narAH/
   BJ_15.02b/.abhiyācita.mātra.dīkṣitā.nihatair.anya.nirīkṣitair.api//(vaitālīya)	Bu-_15.02b/.aBiyAcita.-mAtra.-dIkzitA.-nihatEH-.anya.-nirIkzitEH-.api-//(vEtAlIya)
   BJ_15.03a/.janma.īśo.anyair.yady.adṛṣṭo.arka.putraṃ.paśyaty.ārkir.janmapaṃ.vā.bala.ūnam/	BJ_15.03a/.janma-.ISaH-.anyEH-.yat-y.a-dRzwaH-.arka.-putraM.paSyati-.Arkir.janma-paM.vA.-bala-.Unam/
   BJ_15.03b/.dīkṣāṃ.prāpnoty.ārki.dṛk.kāṇa.saṃsthe.bhauma.ārky.aṃśe.saura.dṛṣṭe.ca.candre//(mālinī)	BJ_15.03b/.dIkzAM.-prApnoti-.Arki-.dRk.kANa.-saMsTe.BOma.Arky.aMSe.-sOra.dRzwe.-ca.-candre//(mAlinI)
   BJ_15.04a/.sura.guru.śaśi.horā.sva.ārke.dṛṣṭāsu.dharme.gurur.atha.nṛpatīnāṃ.yogajas.tīrtha.kṛt.syāt/	Bu-_15.04a/.sura.-guru.SaSi.-horA.-sva.a-arke.-dRzwA-su.Darme.-guruH-.aTa.-nRpatInAM.yoga-ja-s.tIrTa.kRt.sya-at/
   BJ_15.04b/.navama.bhavana.saṃsthe.mandage.anyair.dṛṣṭe.bhavati.narapa.yoge.dīkṣitaḥ.pārthiva.indraḥ//(mālinī)E15	BJ_15.04b/.nava-ma.Bavana.-saMsTe.manda-ge.anyEH-.dRzwe.-Bavati.nara-pa.yoge.-dIkzitaH.-pArTiva-.indraH//(-mAlinI)E15
   BJ_16.nakṣatraphala	BJ_16.nakzatra-Pala
   BJ_16.01a/.priya.bhūṣaṇaḥ.surūpaḥ.subhago.dakṣo.aśvinīṣu.matimāṃś.ca/	BJ_16.01a/.-priya.-BUzaNaH.-su-rUpaH.-suBagaH-.-dakzaH-.aSvinIzu.matimAMS.ca/
   BJ_16.01b/.kṛta.niścaya.satya.arug.dakṣaḥ.sukhitaś.ca.bharaṇīṣu//(āryā)	BJ_16.01b/.kRta.-niScaya.-satya-.aruj-.-dakzaH.-suKita-S.ca.-BaraNIzu//(AryA)
   BJ_16.02a/.bahu.bhuk.para.dāra.ratas.tejasvī.kṛttikāsu.vikhyātaḥ/	Bu-_16.02a/.bahu.Buk.-para.-dAra-.-rata-s.tejasvI.kRttika-asu.viKyAtaH/
   BJ_16.02b/.rohiṇyāṃ.satya.śuciḥ.priyaṃvadaḥ.sthira.matiḥ.surūpaś.ca//(āryā)	BJ_16.02b/.rohiNyAn.satya.-SuciH.priyaMvadaH-.sTira.matiH.surUpa-S.ca-//(AryA)
   BJ_16.03a/.capalaś.caturo.bhīruḥ.paṭur.utsāhī.dhanī.mṛge.bhogī/	BJ_16.03a/.ca-pala-S.caturo.-BIruH-.pawuH-.utsAhI.-DanI.-mRge.BogI/
   BJ_16.03b/.śaṭha.garvitaḥ.kṛtaghno.hiṃsraḥ.pāpaś.ca.raudra.ṛkṣe//(āryā)	BJ_16.03b/.SaWa.-garvitaH.-kRtaGno.-hiMsraH-.pApa-S.ca.-rOdra-.Rkze//(AryA)
   BJ_16.04a/.dāntaḥ.sukhī.suśīlo.durmedhā.roga.bhāk.pipāsuś.ca/	BJ_16.04a/.da-antaH.-suKI.-su-SIlaH-.durmeDA.-roga.BAk.pipAsuS.ca/
   BJ_16.04b/.alpena.ca.saṃtuṣṭaḥ.punarvasau.jāyate.manujaḥ/(āryā)	BJ_16.04b/.alpena.ca.-saMtuzwaH.punarvasO.jAyate.manujaH-/(AryA)
   BJ_16.05a/.śānta.ātmā.subhagaḥ.paṇḍito.dhanī.dharma.saṃsṛtaḥ.puṣye/	Bu-_16.05a/.Sa-anta.a-AtmA.-suBagaH.-paNxitaH-.DanI.-Darma.-saMsRtaH.puzye/
   BJ_16.05b/.śaṭhaḥ.sarva.bhakṣa.pāpaḥ.kṛtaghna.dhūrtaś.ca.bhaujaṅge//(āryā)	Bu-_16.05b/.SaWaH.-sarva.-Bakza.-pApaH.kRtaGna-.DUrta-S.ca.BOjaFge//(AryA)
   BJ_16.06a/.bahu.bhṛtya.dhano.bhogī.sura.pitṛ.bhakto.mahā.udyamaḥ.pitrye/	BJ_16.06a/.-bahu.BRti-a.Dana-u.-BogI.-sura.-pitR.BaktaH-.-mahA.udyamaH.pitrye/
   BJ_16.06b/.priya.vāg.dātā.dyutimān.aṭano.nṛpa.sevako.bhāgye//(āryā)	Bu-_16.06b/.priya.vAc-.dAtA.-dyutimAn-.awano.-nRpa.-seva-ko.BAgye//(AryA)
   BJ_16.07a/.subhago.vidyā.āpta.dhano.bhogī.sukhabhāk.dvitīya.phālgunyām/	Bu-_16.07a/.suBagaH-.vidyA.Apta.Dana-u.-BogI.-suKa-BAk.-dvitIya.-PAlgunyAm/
   BJ_16.07b/.utsāhī.dhṛṣṭaḥ.pānapo.ghṛṇī.taskaro.haste//(āryā)	BJ_16.07b/.utsA-hI.-DRzwaH.pAn-apo.-GRNI.-taskaro.-haste//(AryA)
   BJ_16.08a/.citra.ambara.mālya.dharaḥ.sulocana.aṅgaś.ca.bhavati.citrāyām/	Bu-_16.08a/.citra-.ambara.-mAlya.-DaraH.-su-locana-.aFga-S.ca.Bavati.-citrAyAm/
   BJ_16.08b/.dānto.vaṇik.kṛpāluḥ.priya.vāg.dharma.āśritaḥ.svātau//(āryā)	BJ_16.08b/.dAnto.vaNik.-kRpAluH.-priya.vAg.-Darma.ASritaH.-svAtO//(AryA)
   BJ_16.09a/.īrṣyur.lubdho.dyutimān.vacana.paṭuḥ.kalaha.kṛd.viśākhāsu/	Bu-_16.09a/.IrzyuH-.lubDa-u.dyutimAn-.vacana.-pawuH.kalaha.-kRt-.viSAKA-asu/
   BJ_16.09b/.āḍhyo.videśa.vāsī.kṣudhālur.aṭano.anurādhāsu//(āryā)	BJ_16.09b/.AXyaH-.videSa.-vAsI.kzuDAluH-.awanaH-.anurADa-Asu-//(AryA)
   BJ_16.10a/.jyeṣṭhāsu.na.bahu.mitraḥ.saṃtuṣṭo.dharma.kṛt.pracura.kopaḥ/	Bu-_16.10a/.jyezWa-asu.na.-bahu-.mitraH.-saMtuzwaH-.-Darma.kRt.-pracura.kopaH/
   BJ_16.10b/.mūle.mānī.dhanavān.sukhī.na.hiṃsraḥ.sthiro.bhogī//(āryā)	Bu-_16.10b/.mUle.mAnI.-Dana-vAn-.suKI.-na.hiMsraH-.sTiro.-BogI//(AryA)
   BJ_16.11a/.iṣṭa.ānanda.kalatro.mānī.dṛḍha.sauhṛdaś.ca.jala.daive/	Bu-_16.11a/.izwa.a-Ananda.kalatra-u.mAnI.dRXa.-sOhRda-S.ca.-jala.dEve/
   BJ_16.11b/.vaiśve.vinīta.dhārmika.bahu.mitra.kṛtajña.subhagaś.ca//(āryā)	BJ_16.11b/.vESve.vinIta.-DArmi-ka.bahu.mitra.-kRtajQa.-suBaga-S.ca//(AryA)
   BJ_16.12a/.śrīmāñ.chravaṇe.śrutavān.udāra.dāro.dhana.anvitaḥ.khyātaḥ/	Bu-_16.12a/.SrI-mAQ.-SravaNe.-SrutavAn-.udAra.dAro.Dana.-anvitaH.KyAtaH/
   BJ_16.12b/.dātā.āḍhyaḥ.śūro.gīta.priyo.dhaniṣṭhāsu.dhana.lubdhaḥ//(āryā)	BJ_16.12b/.dAtA.AXyaH.SUraH-.gIta.-priyo.DanizWA-su.Dana.-lubDaH//(AryA)
   BJ_16.13a/.sphuṭa.vāg.vyasanī.ripuhā.sāhasikaḥ.śatabhiṣaji.durgrāhyaḥ/	BJ_16.13a/.-sPuwa-.vAc-.-vyasanI.ripuhA.-sAhasika-H.Sata-Bizaji.-durgrAhyaH/
   BJ_16.13b/.bhādrapadāsu.dvi.ganaḥ.strī.jita.dhanī.paṭur.adātā.ca//(āryā)	BJ_16.13b/.BAdrapadA-su.dvi.ganaH.-strI-.jita.DanI.-pawuH-.adAtA.-ca//(AryA)
   BJ_16.14a/.vaktā.sukhī.prajāvān.jita.śatrur.dhārmiko.dvitīyāsu/	BJ_16.14a/.vaktA.-suKI.-prajAvAn-.jita.-SatruH-.DArmi-kaH-.dvitIyA-asu/
   BJ_16.14b/.sampūrṇa.aṅgaḥ.subhagaḥ.śūraḥ.śucir.arthavān.pauṣṇe//(āryā)E16	BJ_16.14b/.-sampUrNa-.aFgaH.-suBagaH.-SUraH.SuciH-.arTavAn-.pOzNe//(AryA)E16
   BJ_17.candrarāśiśīla	BJ_17.candrarASi-SIla
   BJ_17.01a/.vṛtta.ātāmra.dṛg.uṣṇa.śāka.laghu.bhuk.kṣipra.prasādo.aṭanaḥ/kāmī.durbala.jānur.asthira.dhanaḥ.śūro.aṅganā.vallabhaḥ/	BJ_17.01a/.vRtta-.AtAmra.-dRS-.uzNa.SAka.-laGu-.Buk.kzipra.-prasAdaH-.awanaH/-kAmI.-durbala.-jAnuH-.asTiH-a.DanaH.-SUraH-.aFganA.vallaBaH/
   BJ_17.01b/.sevājñaḥ.kanakhī.vraṇa.aṅkita.śirā.mānī.saha.uttha.agrajaḥ/śaktyā.pāṇi.tale.aṅkito.aticapalas.toye.atibhīruḥ.kriye//(śā.vi)	BJ_17.01b/.sevA-jQa-H.kanaKI.vraNa-.aFki-ta.SirA-a.mAnI.-saha.utTa-.agrajaH/-SaktyA-a.pANi.tale.aFkitaH-.aticapala-s.-toye.atiBIruH.kriye//(SA
   BJ_17.02a/.kāntaḥ.khela.gatiḥ.pṛthu.ūru.vadanaḥ.pṛṣṭha.āsya.pārśva.aṅkitas.tyāgī.kleśa.sahaḥ.prabhuḥ.kakudavān.kanyā.prajaḥ.śleṣmalaḥ/	BJ_17.02a/.kAntaH.-Kela.-gatiH.-pRTu-.Uru.vadanaH.-pRzWa.Asya.-pArSva-.aFkita-s.tyAgI.-kleSa.-sahaH.praBuH.ka-kudavAn-.kanyA.-prajaH.-Slezma-l
   BJ_17.02b/.pūrvair.bandhu.dhana.ātmajair.virahitaḥ.saubhāgya.yuktaḥ.kṣamī.dīpta.agniḥ.pramadā.priyaḥ.sthira.suhṛn.madhya.antya.saukhyo.gavi//(śā.vi)	Bu-_17.02b/.pUrvEH-.banDu.-Dana.AtmajEH-.virahitaH.sOBAgya.-yuktaH.kzamI.dIpta.agniH.pramadA.-priyaH.-sTira.-suhRn.-maDya.antya.-sOKyaH-.-ga
   BJ_17.03a/.strī.lolaḥ.suratā.upacāra.kuśalas.tāmra.īkṣaṇaḥ.śāstravid.dūtaḥ.kuñcita.mūrdhajaḥ.paṭu.matir.hāsya.iṅgita.dyūtavit/	BJ_17.03a/.-strI.-lolaH-.suratA.-upacAra-.-kuSala-s.-tAmra-.IkzaNaH.SAstra-vid-.dUtaH.-kuQcita.mUrDajaH-.-pawu.matiH-.hAsya-.iFgita.dyUta-vit/
   BJ_17.03b/.cārv.aṅgaḥ.priya.vāk.prabha.kṣaṇa.rucir.gīta.priyo.nṛtyavit.klībair.yāti.ratiṃ.samunnata.nasaś.candre.tṛtīya.ṛkṣage//(śā.vi)	BJ_17.03b/.cAru-.aFgaH.-priya.vAk.-praBa.kzaNa.ruciH-.gIta.-priyo.-nRtya-vit.klIbEH-.yAti-.ratiM.samunnata.nasa-S.candre.tRtIya-.Rkza-ge//(
   BJ_17.04a/.āvakra.drutagaḥ.samunnata.kaṭiḥ.strī.nirjjitaḥ.sat.suhṛd.daivajñaḥ.pracura.ālaya.kṣaya.dhanaiḥ.saṃyujyate.candravat//	BJ_17.04a/.a-avakra.druta-gaH.-samunnata.-kawiH.-strI.-nirjjitaH.sat.-suhRd.dEva-jQaH.-pracura-.Alaya.-kzaya.-DanEH.saMyujyate.-candravat//
   BJ_17.04b/.hrasvaḥ.pīna.galaḥ.sameti.ca.vaṃśa.sāmnā.suhṛd.vatsalas/toya.udyāna.rataḥ.sva.veśma.sahite.jātaḥ.śaśa.aṅke.naraḥ//(śā.vi)	BJ_17.04b/.hra-svaH.pIna.galaH.-sameti.ca.vaMSa.-sAmnA.-suhRd-.vatsala-s/toya-.udyAna-.rataH.-sva.-veSma.-sahite.-jAtaH.-SaSa.aFke.naraH//(S
   BJ_17.05a/.tīkṣṇaḥ.sthūla.hanur.viśāla.vadanaḥ.piṅga.īkṣaṇo.alpa.ātmajaḥ/strī.dveṣī.priya.māṃsa.kānana.nagaḥ.kupyaty.akārye.ciram/	BJ_17.05a/.-tIkzNaH.-sTUla.-hanuH-.viSAla.vadanaH.piFga-.IkzaNaH-.alpa.a-AtmajaH/-strI.-dvezI.-priya.-mAMsa.-kAnana.-nagaH.-kupyati-.akAryet-cira
   BJ_17.05b/.kṣut.tṛṇa.udara.danta.mānasa.rujā.sampīḍitas.tyāgavān/vikrāntaḥ.sthira.dhīḥ.sugarvita.manā.mātur.vidheyo.arka.bhe//(śā.vi)	BJ_17.05b/.kzut.-tRNa-.udara.danta.-mAnasa.-rujA.-sampIxita-s.tyAgavAn-/vikrAntaH.-sTira-.DIH.-su-garvita.manA.m-Atur.-viDeyaH-.arka.Be//(SA.-v
   BJ_17.06a/.vrīḍā.manthara.cāru.vīkṣaṇa.gatiḥ.srasta.aṃsa.bāhuḥ.sukhī/ślakṣṇaḥ.satya.rataḥ.kalāsu.nipuṇaḥ.śāstra.arthavid.dhārmikaḥ/	BJ_17.06a/.-vrIxA.manTara.-cAru.vIkzaNa.-gatiH-.srasta-.aMsa.-bAhuH-.suKI/-SlakzNaH.-satya.rataH.-kalA-asu.-nipuNaH.SAstra-.arTa-vid.DArmikaH/
   BJ_17.06b/.medhāvī.surata.priyaḥ.para.gṛhair.vittaiś.ca.saṃyujyate/kanyāyāṃ.para.deśagaḥ.priya.vacāḥ.kanyā.prajo.alpa.ātmajaḥ//(śā.vi)	Bu-_17.06b/.meDA-vI.-surata.priyaH.para.gRhEH-.vittES.ca.-saMyujyate/kanyAyAM.para.deSa-gaH.-priya.vacA-aH.kanyA.-prajaH-.alpa.AtmajaH//(SA
   BJ_17.07a/.deva.brāhmaṇa.sādhu.pūjana.rataḥ.prājñaḥ.śuciḥ.strī.jitaḥ.prāṃśuś.ca.unnata.nāsikaḥ.kṛśa.calad.gātro.aṭano.artha.anvitaḥ/	Bu-_17.07a/.deva.-brAhmaNa.-sADu.-pUjana-.rataH.-prAjQaH.SuciH.strI-.jitaH.-prAMSu-S.ca.unnata.nAsikaH.kRSa-.-cala-d.gAtraH-.awanaH-.arTa-.anvid-
   BJ_17.07b/.hīna.aṅgaḥ.kraya.vikrayeṣu.kuśalo.deva.dvi.nāmā.sa.ruk.bandhūnām.upakāra.kṛd.viruṣitas.tyaktas.tu.taiḥ.saptame//(śā.vi)	BJ_17.07b/.hIna-.aFgaH.kraya.-vikraya-izu.-kuSalaH-.deva.-dvi.nAmA.sa.ruk.banDU-nAm.upakAra.-kRt-.viruzita-s.tyakta-s.tu.tEH.saptame/-/(SA.vi
   BJ_17.08a/.pṛthula.nayana.vakṣā.vṛtta.jaṅgha.ūru.jānur.janaka.guru.viyuktaḥ.śaiśave.vyādhitaś.ca/	BJ_17.08a/.-pRTula.-nayana.-vakzA.-vRtta-.-jaFGa-.Uru.ja-anur.janaka.guru.-viyuktaH.SESave.-vyADita-S.ca/
   BJ_17.08b/.nara.pati.kula.pūjyaḥ.piṅgalaḥ.krūra.ceṣṭo.jhaṣa.kuliśa.khaga.aṅkaś.channa.pāpo.alijātaḥ//(mālinī)	BJ_17.08b/.nara.pati.-kula.-pUjyaH.piFgalaH.-krUra.-cezwA-u.Jaza-.-kuli-Sa.-Kaga-.aFkaS.Canna.-pApaH-.ali-jAtaH//(mAlinI)
   BJ_17.09a/.vyādirgha.āsya.śiro.dharaḥ.pitṛ.dhanas.tyāgī.kavir.vīryavān/vaktā.sthūla.rada.śravo.adhara.nasaḥ.karma.udyataḥ.śilpavit/	Bu-_17.09a/.vyAdiH-Ga.A-Asya.-Siro.DaraH-.pitR.Dana-s.tyAgI.-kavir.vIryavAn-/vaktA.-sTUla-.rada.-SravaH-.aDara.nasaH.-karma-.udyataH.-Silpa-vit/
   BJ_17.09b/.kubja.aṃśaḥ.kunakhī.sama.aṃsala.bhujaḥ.prāgalbhavān.dharmavid/bandhu.dviṭ.na.balāt.samaiti.ca.vaṃśa.sāmna.eka.sādhyo.aśvajaḥ//(śā.vi)	BJ_17.09b/.kubja-.aMSa-H.-kunaKI.-sama-.aMsala.-BujaH-.prAc-alBavAn-.Darma-vid/banDu.-dviw.na.balAt.-samEti.-ca.-vaMSa.-sAmna-.eka.sADyo.aSva-ja
   BJ_17.10a/.nityaṃ.lālayati.sva.dāra.tanayān.dharma.dhvajo.adhaḥ.kṛśaḥ/svakṣaḥ.kṣāma.kaṭir.gṛhīta.vacanaḥ.saubhāgya.yukto.alasaḥ/	BJ_17.10a/.nityaM.lAlayati.-sva.dAra-.-tanayAn.Darma.DvajaH-.aDaH.-kRSaH/su-akzaH.kzAma.kawir.gRhIta.vacanaH.sOBAgya.-yuktaH-.alasaH/
   BJ_17.10b/.śītālur.manujo.aṭanaś.ca.makare.satva.adhikaḥ.kāvya.kṛl.lubdho.agamya.jara.aṅganāsu.nirataḥ.santyakta.lajjo.aghṛṇaḥ//(śā.vi)	BJ_17.10b/.SIta-Alur.m-anujaH-.awana-S.ca.-makare.-satva-.aDikaH.kA-vya.-kRl.-lubDa-u.agamya.-jara-.aFgana-Asu.-nirataH.-santyakta.-lajjaH-.a-GRNaH//(S
   BJ_17.11a/.karabha.galaḥ.śirāluḥ.khara.lomaśa.dīrgha.tanuḥ.pṛthu.caraṇa.ūru.pṛṣṭha.jaghana.āsya.kaṭir.jaraṭhaḥ//	Bu-_17.11a/.kara-Ba.galaH.-SirAluH.-Kara-.-loma-Sa.-dIrGa-.-tanuH-.pRTu.-caraNa-.Uru.-pRzWa.-jaGana-.Asya.-kawiH-.jaraWaH//
   BJ_17.11b/.para.vanitā.artha.pāpa.nirataḥ.kṣaya.vṛddhi.yutaḥ.priya.kusuma.anulepana.suhṛd.ghaṭajo.adhva.sahaḥ//(troṭaka)	BJ_17.11b/.para.-vanitA-.arTa.-pApa.-nirataH.-kzaya.vRdDi-.yutaH.-priya.-kusuma-.anulepana.-suhRd-.-Gawa-jo.aDva.sahaH//(trowaka)
   BJ_17.12a/.jala.para.dhana.bhoktā.dāra.vāso.anuraktaḥ.sama.rucira.śarīras.tuṅga.nāso.bṛhatkaḥ/	BJ_17.12a/.jala.para.-Dana.-BoktA.dAra-.vAsaH-.anuraktaH.-sama.rucira.-SarIra-s.tuFga-.nAso.-bRhatkaH/
   BJ_17.12b/.abhibhavati.sa.patnān.strī.jitaś.cāru.dṛṣṭir.dyuti.nidhi.dhana.bhogī.paṇḍitaś.ca.antya.rāśau//(mālinī)	BJ_17.12b/.aBiBavati.-sa.patnAn.strI.jita-S.cA-ru.dRzwiH-.dyuti.-niDi.-Dana.-BogI.-paNxita-S.ca.antya.rASO//(-mAlinI)
   BJ_17.13a/.balavati.rāśau.tad.adhipatau.ca.sva.bala.yutaḥ.syād.yadi.tuhina.aṃśuḥ/	Bu-_17.13a/.balavati.rASO.-tad-.aDipatO.-ca.-sva.-bala-.yutaH.sya-Ad.ya-di.tu-hina-.aMSuH/
