   akṣarā kuṭajā tathā YRps_9.7b	akzarA kuwajA taTA YRpH-_9.7b
   puṣpākhyaṃ hyaparaṃ guṇaiśca sahitaṃ sevyaṃ sadā rogahṛt YRps_6.62d	puzpa-AKyam hi-aparam guNEH-ca sahitam sevyam sadA roga-hRt YRpH-_6.62d
   puṣpābhidhaṃ ca kāsīsaṃ YRps_6.63a	puzpa-aBiDam ca kAsIsam YRpH-_6.63a
   puṣpāṃjanamihoditam YRps_6.25d	puzpa-aMjanam-iha-uditam YRpH-_6.25d
   puṣpī ca girikarṇikā YRps_9.26d	puzpI ca girikarNikA YRpH-_9.26d
   puṃvajraṃ yatprocyate cāṣṭadhāraṃ YRps_7.23a	puMvajram yat-procyate ca-azwa-DAram YRpH-_7.23a
   pūtibandho 'dhamādhamaḥ YRps_2.5d	pUtibanDaH aDama-aDamaH YRpH-_2.5d
   pūtilohaṃ nigaditaṃ YRps_4.3a	pUtiloham nigaditam YRpH-_4.3a
   pūrayetkokilaistāṃ tu YRps_10.34a	pUrayet-kokilEH-tAm tu YRpH-_10.34a
   pūrayettamanantaram YRps_10.41d	pUrayet-tam-anantaram YRpH-_10.41d
   pūrayetsatataṃ bhiṣak YRps_4.86b	pUrayet-satatam Bizaj YRpH-_4.86b
   pūrayennimbukadravaiḥ YRps_2.86b	pUrayet-nimbuka-dravEH YRpH-_2.86b
   pūritāṃ tāṃ tu mudrayet YRps_10.45b	pUritAm tAm tu mudrayet YRpH-_10.45b
   pūrvagaṇyastu rogahā YRps_5.63b	pUrva-gaNyaH-tu roga-hA YRpH-_5.63b
   pūrvapiṣṭe nidhāpayet YRps_12.4b	pUrva-pizwe niDApayet YRpH-_12.4b
   pūrvavatpācayed vahnau YRps_11.103a	pUrvavat-pAcayet vahnO YRpH-_11.103a
   pūrvavatpuṭanaṃ kāryaṃ YRps_11.17a	pUrvavat-puwanam kAryam YRpH-_11.17a
   pūrvavaddivasatrayam YRps_1.46b	pUrvavat-divasa-trayam YRpH-_1.46b
   pūrvasmādalpakaṃ guṇaiḥ YRps_6.81d	pUrvasmAt-alpakam guNEH YRpH-_6.81d
   pūrvaṃ pūrvaṃ guṇottarāḥ YRps_6.18b	pUrvam pUrvam guNa-uttarAH YRpH-_6.18b
   pūrvaṃ pūrvaṃ śreṣṭhametatpradiṣṭaṃ YRps_7.21a	pUrvam pUrvam SrezWam-etat-pradizwam YRpH-_7.21a
   pūrvaṃ prakalpitaṃ cūrṇaṃ YRps_4.87a	pUrvam prakalpitam cUrNam YRpH-_4.87a
   pūrvaṃ śreṣṭhaṃ sarvadoṣāpahaṃ syāt YRps_7.23d	pUrvam SrezWam sarva-doza-apaham syAt YRpH-_7.23d
   pūrvaṃ sthālyāṃ sthāpayedgaṃdhakārdham YRps_4.51b	pUrvam sTAlyAm sTApayet-gaMDaka-arDam YRpH-_4.51b
   pūrvāhṇe bhiṣajājñayā YRps_4.53*b	pUrvAhNe Bizaja-AjQayA YRpH-_4.53*b
   pūrvoktaṃ ṭaṃkamānakam YRps_11.64d	pUrva-uktam waMka-mAnakam YRpH-_11.64d
   pūrvoktā mṛttikā yā tu YRps_10.14a	pUrva-uktA mRttikA yA tu YRpH-_10.14a
   pūrvoktāṃ sthālikāṃ samyak YRps_1.54c	pUrva-uktAm sTAlikAm samyak YRpH-_1.54c
   pūrvoktairauṣadhaiḥ sārdhaṃ YRps_1.56a	pUrva-uktEH-OzaDEH sArDam YRpH-_1.56a
   pṛthak kṛtvā tu ravakān YRps_5.41a	pRTak kRtvA tu ravakAn YRpH-_5.41a
   pṛthak samāṃśaṃ kuru yatnatastataḥ YRps_3.53b	pRTak sama-aMSam kuru yatnatas-tatas YRpH-_3.53b
   pṛthagimāśca catuṣpalabhāgikāḥ YRps_3.6c	pRTak-imAH-ca catuzpala-BAgikAH YRpH-_3.6c
   peṣaṇaṃ tu prakartavyaṃ YRps_4.72c	pezaNam tu prakartavyam YRpH-_4.72c
   peṣaṇaṃ tu prakartavyaṃ YRps_5.48c	pezaNam tu prakartavyam YRpH-_5.48c
   peṣaṇājjāyate piṣṭīr YRps_4.28a	pezaNAt-jAyate pizwIH YRpH-_4.28a
   potakī ca viṣaghnī ca YRps_9.16c	potakI ca viza-GnI ca YRpH-_9.16c
   postakaṃ palamekaṃ vai śuṃṭhīkarṣaḥ sitā palaikā ca YRps_13.14/a	postakam palam-ekam vE SuMWI-karzaH sitA pala-ekA ca YRpH-_13.14/a
   prakāraḥ kathito mayā YRps_1.76b	prakAraH kaTitaH mayA YRpH-_1.76b
   prakārāḥ kathitāḥ pañca YRps_2.34c	prakArAH kaTitAH paQca YRpH-_2.34c
   prakārāḥ santi noditāḥ YRps_4.4d	prakArAH santi na-uditAH YRpH-_4.4d
   prakārāḥ santyanekaśaḥ YRps_6.9b	prakArAH santi-anekaSas YRpH-_6.9b
   prakāro dīpanasya hi YRps_1.70b	prakAraH dIpanasya hi YRpH-_1.70b
   prakāśitaṃ vaidyavareṇa samyak YRps_4.57b	prakASitam vEdya-vareNa samyak YRpH-_4.57b
   prakāśito mayā samyak YRps_2.101a	prakASitaH mayA samyak YRpH-_2.101a
   pracakṣate śāstravidaḥ purāṇāḥ YRps_6.57d	pracakzate SAstra-vidaH purANAH YRpH-_6.57d
   prajāyate vistareṇa YRps_1.36c	prajAyate vistareNa YRpH-_1.36c
   prajñāvarṇau karoti hi YRps_5.62d	prajQA-varNO karoti hi YRpH-_5.62d
   praḍhālayettāṃ kadalīdale hi YRps_3.56c	praXAlayet-tAm kadalI-dale hi YRpH-_3.56c
   praḍhālayed bhṛṃgarase trivāram YRps_3.55d	praXAlayet BRMga-rase tri-vAram YRpH-_3.55d
   praṇatapāpaharaṃ bhavapāradam YRps_1.4d	praNata-pApa-haram Bava-pAra-dam YRpH-_1.4d
   pratirasaṃ ca viśoṣya hi bhakṣayed YRps_3.64a	pratirasam ca viSozya hi Bakzayet YRpH-_3.64a
   prativalladvayaṃ kuryāt YRps_11.47c	prativalla-dvayam kuryAt YRpH-_11.47c
   pratyahaṃ kṣālayedrātrau YRps_2.66c	pratyaham kzAlayet-rAtrO YRpH-_2.66c
   pratyekaṃ vai śāṇamātrā vidheyā YRps_8.17b	pratyekam vE SANa-mAtrA viDeyA YRpH-_8.17b
   pratyekaṃ hi vimardayet YRps_1.75b	pratyekam hi vimardayet YRpH-_1.75b
   prathamaścauṣadhādiṣu YRps_5.118d	praTamaH-ca-OzaDa-Adizu YRpH-_5.118d
   prathamaṃ jāritaścaiva YRps_1.130c	praTamam jAritaH-ca-eva YRpH-_1.130c
   prathamaṃ tadudīritam YRps_7.3b	praTamam tat-udIritam YRpH-_7.3b
   prathamaṃ pāradotpattiṃ YRps_1.5a	praTamam pArada-utpattim YRpH-_1.5a
   prathamaṃ mākṣikaṃ svarṇaṃ YRps_5.78c	praTamam mAkzikam svarNam YRpH-_5.78c
   prathamo hemavimalo YRps_5.91a	praTamaH hema-vimalaH YRpH-_5.91a
   pradarśiteyaṃ khalu roganāśinī YRps_3.59b	pradarSitA-iyam Kalu roga-nASinI YRpH-_3.59b
   pradrāvayettaṃ badarasya cāgninā YRps_3.55c	pradrAvayet-tam badarasya ca-agninA YRpH-_3.55c
   pradhamedekabhastrayā YRps_10.37d	praDamet-eka-BastrayA YRpH-_10.37d
   pradhamedvaṃkanālataḥ YRps_10.39b	praDamet-vaMkanAlataH YRpH-_10.39b
   pradhāvitaḥ sūtavaraścaturṣu YRps_1.15a	praDAvitaH sUta-varaH-caturzu YRpH-_1.15a
   pradhmāte kharpare jvālā YRps_5.126a	praDmAte Karpare jvAlA YRpH-_5.126a
   prabhūtabalahetave YRps_6.38d	praBUta-bala-hetave YRpH-_6.38d
   pramehāṇāṃ ca nāśanam YRps_4.113b	pramehANAm ca nASanam YRpH-_4.113b
   pramehān vātajān rogān YRps_4.103a	pramehAn vAta-jAn rogAn YRpH-_4.103a
   prayāntyeva na saṃśayaḥ YRps_5.113b	prayAnti-eva na saMSayaH YRpH-_5.113b
   pravālaṃ ruciraṃ bhavet YRps_11.140b	pravAlam ruciram Bavet YRpH-_11.140b
   pravālābhaḥ śalākāḍhyaḥ YRps_6.76a	pravAla-ABaH SalAkA-AXyaH YRpH-_6.76a
   prasiddhaṃ netrarogahā YRps_6.63b	prasidDam netra-roga-hA YRpH-_6.63b
   prasthamikṣurasasya ca YRps_12.19b	prasTam-ikzu-rasasya ca YRpH-_12.19b
   prasthaṃ sitārdhāḍhakamatra deyam YRps_12.9d	prasTam sita-arDa-AXakam-atra deyam YRpH-_12.9d
   prasthārdhamānāṃ pṛthageva kuryāt YRps_12.9b	prasTa-arDa-mAnAm pRTak-eva kuryAt YRpH-_12.9b
   prasthārdhaṃ śuddhagandhakam YRps_11.39b	prasTa-arDam SudDa-ganDakam YRpH-_11.39b
   praharadvayamātraṃ ced YRps_5.86c	prahara-dvaya-mAtram ced YRpH-_5.86c
   praharayugmamitaṃ ca śilātale YRps_3.10c	prahara-yugma-mitam ca SilA-tale YRpH-_3.10c
   prahitaṃ dvidināvadhi YRps_1.106b	prahitam dvi-dina-avaDi YRpH-_1.106b
   prākāro'sti sa vedaśāstraniratairvipraiśca saṃśobhitaḥ YRps_13.16b	prAkAraH-asti sa veda-SAstra-niratEH-viprEH-ca saMSoBitaH YRpH-_13.16b
   prācyāṃ yāmyāṃ pratīcyāṃ ca YRps_1.19c	prAcyAm yAmyAm pratIcyAm ca YRpH-_1.19c
   prātarutthāya mardayet YRps_6.44b	prAtar-utTAya mardayet YRpH-_6.44b
   prātaḥ prabhakṣediha karṣamātram YRps_12.11b	prAtar praBakzet-iha karza-mAtram YRpH-_12.11b
   prātaḥ sāyaṃ bhakṣitaṃ vallamātraṃ YRps_8.35a	prAtar sAyam Bakzitam valla-mAtram YRpH-_8.35a
   prādeśapramitā tathā YRps_10.38b	prAdeSa-pramitA taTA YRpH-_10.38b
   prādeśamātraṃ kartavyaṃ YRps_10.33a	prAdeSa-mAtram kartavyam YRpH-_10.33a
   prādeśamātrā bhittiḥ syād YRps_10.32c	prAdeSa-mAtrA BittiH syAt YRpH-_10.32c
   prānte tasya parā gatirhi niyataṃ satyaṃ śivenoditam YRps_3.65d	prAnte tasya parA gatiH-hi niyatam satyam Sivena-uditam YRpH-_3.65d
   prāpnoti paramāṃ gatim YRps_1.165d	prApnoti paramAm gatim YRpH-_1.165d
   proktaṃ jāraṇakaṃ tathā YRps_1.24d	proktam jAraNakam taTA YRpH-_1.24d
   proktaṃ mehapraṇāśanam YRps_4.94b	proktam meha-praNASanam YRpH-_4.94b
   proktaṃ vai tadvārinīlaṃ bhiṣagbhir YRps_7.43c	proktam vE tat-vAri-nIlam BizagBiH YRpH-_7.43c
   proktā nāgārjunādibhiḥ YRps_2.76d	proktAH nAgArjuna-AdiBiH YRpH-_2.76d
   procyante 'tra mayā khalu YRps_1.7b	procyante atra mayA Kalu YRpH-_1.7b
   procyante rasaśāstrataḥ YRps_9.22b	procyante rasa-SAstrataH YRpH-_9.22b
   procyante śāstravartmanā YRps_9.12b	procyante SAstra-vartmanA YRpH-_9.12b
   plīhaṃ gulmaṃ gude śūlaṃ YRps_6.66c	plIham gulmam gude SUlam YRpH-_6.66c
   phale dhaurte niveśayet YRps_2.14b	Pale DOrte niveSayet YRpH-_2.14b
   phalguḥ śiṃśī ca mallikā YRps_9.28b	PalguH SiMSI ca mallikA YRpH-_9.28b
   phullikā khaṭikā tadvat YRps_6.12a	PullikA KawikA tadvat YRpH-_6.12a
   phullikā lohamāraṇī YRps_6.13b	PullikA loha-mAraNI YRpH-_6.13b
   baddhastu tena vidhinā YRps_2.11a	badDaH-tu tena viDinA YRpH-_2.11a
   baddhaṃ sūtavaraṃ grāhyaṃ YRps_2.99a	badDam sUta-varam grAhyam YRpH-_2.99a
   baddhaḥ śivasamo bhavet YRps_2.79f	badDaH Siva-samaH Bavet YRpH-_2.79f
   baddhaḥ sūtavaro'pyalam YRps_2.17f	badDaH sUtavaraH-api-alam YRpH-_2.17f
   baddhāṃ tu rasapoṭalīm YRps_1.34b	badDAm tu rasa-powalIm YRpH-_1.34b
   baddhe rasavare sākṣāt YRps_1.149a	badDe rasavare sAkzAt YRpH-_1.149a
   badhyate pāradaḥ svayam YRps_2.69d	baDyate pAradaH svayam YRpH-_2.69d
   badhyate mauktikaṃ śreṣṭha- YRps_11.137c	baDyate mOktikam SrezWa YRpH-_11.137c
   badhyate sūtakaḥ sadā YRps_2.16d	baDyate sUtakaH sadA YRpH-_2.16d
   bandhanasyātha kāraṇam YRps_2.4d	banDanasya-aTa kAraNam YRpH-_2.4d
   bandhanasyāpi pārade YRps_2.12b	banDanasya-api pArade YRpH-_2.12b
   bandhamāpnoti sūtendraḥ YRps_2.27c	banDam-Apnoti sUtendraH YRpH-_2.27c
   bandhamāyāti niścitam YRps_2.31b	banDam-AyAti niScitam YRpH-_2.31b
   bandhamāyāti pāradaḥ YRps_2.63b	banDam-AyAti pAradaH YRpH-_2.63b
   bandhamāyāti vegena YRps_2.55c	banDam-AyAti vegena YRpH-_2.55c
   bandhamāyāti sūtendraḥ YRps_1.130a	banDam-AyAti sUtendraH YRpH-_1.130a
   bandhūkapuṣpasadṛśaṃ YRps_5.104a	banDUka-puzpa-sadRSam YRpH-_5.104a
   babbūlamūlikākvāthaṃ YRps_6.60a	babbUla-mUlikA-kvATam YRpH-_6.60a
   balakaraḥ paramo'pi hi kāntikṛt YRps_3.21d	bala-karaH paramaH-api hi kAnti-kRt YRpH-_3.21d
   balakarā sukarā sukhasiddhidā YRps_3.30f	bala-karA sukarA suKa-sidDi-dA YRpH-_3.30f
   balavattvaṃ viśeṣeṇa YRps_1.69c	balavat-tvam viSezeNa YRpH-_1.69c
   balā cātibalā nāga- YRps_9.24a	balA ca-atibalAH nAga YRpH-_9.24a
   balā dantī mahābalā YRps_9.24b	balA dantI mahA-balA YRpH-_9.24b
   balivasagiricūrṇaiḥ kāntapātre sudagdham YRps_11.35b	balivasa-giri-cUrNEH kAnta-pAtre su-dagDam YRpH-_11.35b
   balivasāṃ ca ghṛtena vimardayed YRps_3.39c	balivasAm ca GRtena vimardayet YRpH-_3.39c
   balivasāṃ ca samāṃ kuru tadbhiṣak YRps_3.19d	balivasAm ca samAm kuru tad-Bizaj YRpH-_3.19d
   bahirmalavināśāya YRps_1.40c	bahis-mala-vinASAya YRpH-_1.40c
   bahudhā bahubhirbudhaiḥ YRps_4.101d	bahuDA bahuBiH-buDEH YRpH-_4.101d
   bahuladoṣaharo'pi bhavettathā YRps_3.5c	bahula-doza-haraH-api Bavet-taTA YRpH-_3.5c
   bahusatvaṃ rasāyanam YRps_6.3b	bahu-satvam rasAyanam YRpH-_6.3b
   baṃgaṃ tu dvividhaṃ proktaṃ YRps_4.79a	baMgam tu dviviDam proktam YRpH-_4.79a
   baṃgaṃ bhāgadvayaṃ tathā YRps_11.95b	baMgam BAga-dvayam taTA YRpH-_11.95b
   baṃgaṃ vallamitaṃ kuru YRps_11.106b	baMgam valla-mitam kuru YRpH-_11.106b
   baṃgaṃ vātakaraṃ rūkṣaṃ YRps_4.91c	baMgam vAta-karam rUkzam YRpH-_4.91c
   baṃgaṃ vātakaraṃ rūkṣaṃ YRps_4.94a	baMgam vAta-karam rUkzam YRpH-_4.94a
   baṃgaṃ stambhayate dhruvam YRps_11.109f	baMgam stamBayate Druvam YRpH-_11.109f
   baṃdhanaṃ kārayed bhiṣak YRps_2.8d	baMDanam kArayet Bizaj YRpH-_2.8d
   baṃdhanaṃ pāradasya ca YRps_2.57d	baMDanam pAradasya ca YRpH-_2.57d
   baṃdhaścaturvidhaḥ prokto YRps_2.2a	baMDaH-caturviDaH proktaH YRpH-_2.2a
   bālaśca kathyate so'pi YRps_1.115c	bAlaH-ca kaTyate saH-api YRpH-_1.115c
   bālānāṃ rogaharaṇaṃ YRps_5.99a	bAlAnAm roga-haraNam YRpH-_5.99a
   bāhyagā sidhyati drutiḥ YRps_1.100d	bAhya-gA siDyati drutiH YRpH-_1.100d
   bāhyadrutikriyākarma YRps_1.99c	bAhyadruti-kriyA-karma YRpH-_1.99c
   bāhyadrutividhānaṃ hi YRps_1.97a	bAhyadruti-viDAnam hi YRpH-_1.97a
   bāhyā sā kathyate drutiḥ YRps_1.99b	bAhyA sA kaTyate drutiH YRpH-_1.99b
   biḍamadhye sadā hitā YRps_6.73d	bixa-maDye sadA hitAH YRpH-_6.73d
   biḍaṃ hi kathyate tadvat YRps_6.90a	bixam hi kaTyate tadvat YRpH-_6.90a
   biḍena ṣoḍaśāṃśena YRps_1.90c	bixena zoxaSa-aMSena YRpH-_1.90c
   biḍena sahitaṃ caiva YRps_1.82a	bixena sahitam ca-eva YRpH-_1.82a
   binduśaḥ kācabhājane YRps_6.48b	binduSaH kAca-BAjane YRpH-_6.48b
   bījapūrarasena vai YRps_6.89b	bIjapUra-rasena vE YRpH-_6.89b
   bījasya kavalaṃ nyaset YRps_1.88d	bIjasya kavalam nyaset YRpH-_1.88d
   bījaṃ ca kalkamiśraṃ hi YRps_1.127a	bIjam ca kalka-miSram hi YRpH-_1.127a
   bījaṃ śāṇapramāṇaṃ hi YRps_2.93c	bIjam SANa-pramANam hi YRpH-_2.93c
   bījānāmāḍhakaṃ navam YRps_12.17b	bIjAnAm-AXakam navam YRpH-_12.17b
   bījāni pāradasyāpi YRps_1.138c	bIjAni pAradasya-api YRpH-_1.138c
   bījānyeraṇḍajānyeva YRps_6.7a	bIjAni-eraNxa-jAni-eva YRpH-_6.7a
   bījānyeva tu mardayet YRps_6.6b	bIjAni-eva tu mardayet YRpH-_6.6b
   buddhivardhanakaraṃ ca dīpanam YRps_7.51b	budDi-varDana-karam ca dIpanam YRpH-_7.51b
   bubhukṣā vyāpakatvaṃ ca YRps_1.66c	buBukzA vyApaka-tvam ca YRpH-_1.66c
   bubhukṣitarasasyāsye YRps_1.104c	buBukzita-rasasya-Asye YRpH-_1.104c
   bṛhatī garuḍī tathā YRps_9.16d	bRhatI garuxI taTA YRpH-_9.16d
   bodhavallī sattvagandhā YRps_9.8c	boDavallI sattva-ganDAH YRpH-_9.8c
   bhakṣaṇaṃ cābhrakasya hi YRps_1.78b	BakzaNam ca-aBrakasya hi YRpH-_1.78b
   bhakṣaṇīyā niśāmukhe YRps_13.4d	BakzaNIyAH niSA-muKe YRpH-_13.4d
   bhakṣayatyeva cābhrasya YRps_1.79c	Bakzayati-eva ca-aBrasya YRpH-_1.79c
   bhakṣayennātra saṃśayaḥ YRps_1.85b	Bakzayet-na-atra saMSayaH YRpH-_1.85b
   bhakṣitaṃ candrikāyuktam YRps_5.28c	Bakzitam candrikA-yuktam YRpH-_5.28c
   bhakṣitaṃ sārayed dhruvam YRps_6.59d	Bakzitam sArayet Druvam YRpH-_6.59d
   bhakṣitaṃ hanti vegena YRps_6.66a	Bakzitam hanti vegena YRpH-_6.66a
   bhakṣitā jvaragaṇān nihantyayaṃ YRps_8.4e	BakzitAH jvara-gaNAn nihanti-ayam YRpH-_8.4e
   bhakṣitā madhunā sārdhaṃ YRps_3.44c	BakzitA maDunA sArDam YRpH-_3.44c
   bhakṣitāścaiva ye nityaṃ YRps_8.26c	BakzitAH-ca-eva ye nityam YRpH-_8.26c
   bhakṣite cābhrasattve tu YRps_1.86a	Bakzite ca-aBra-sattve tu YRpH-_1.86a
   bhakṣito rogahā bhavet YRps_1.162d	BakzitaH roga-hA Bavet YRpH-_1.162d
   bhakṣedrātrau pāyayettaṃḍulodaṃ YRps_8.33a	Bakzet-rAtrO pAyayet-taMxula-udam YRpH-_8.33a
   bharjayed ghṛtamadhye tu YRps_5.48a	Barjayet GRta-maDye tu YRpH-_5.48a
   bharjayeddhūrtatailena YRps_2.32c	Barjayet-DUrta-tElena YRpH-_2.32c
   bharjitaṃ daśavārāṇi YRps_5.31a	Barjitam daSa-vArANi YRpH-_5.31a
   bhallātakabhave taile YRps_4.80a	BallAtaka-Bave tEle YRpH-_4.80a
   bhallātakaiṣṭaṃkaṇaiśca YRps_5.124c	BallAtakEH-waMkaNEH-ca YRpH-_5.124c
   bhallātaṃ vā vedabhāgaṃ tathaiva YRps_8.21d	BallAtam vA veda-BAgam taTA-eva YRpH-_8.21d
   bhavati karmavipākajarogahā YRps_3.13d	Bavati karma-vipAka-ja-roga-hA YRpH-_3.13d
   bhavati khalvatalena ca kuṭṭitaḥ YRps_3.27b	Bavati Kalva-talena ca kuwwitaH YRpH-_3.27b
   bhavati gadagaṇānāṃ nāśanaṃ yena sadyo YRps_8.1a	Bavati gada-gaNAnAm nASanam yena sadyas YRpH-_8.1a
   bhavati tena mahārasapoṭalī YRps_3.30d	Bavati tena mahArasa-powalI YRpH-_3.30d
   bhavati raktarasastalabhasmasāt YRps_3.16d	Bavati rakta-rasaH-tala-BasmasAt YRpH-_3.16d
   bhavati rogavighātakaraḥ svayam YRps_3.12b	Bavati roga-viGAta-karaH svayam YRpH-_3.12b
   bhavati varṇacatuṣṭayabhūṣitam YRps_3.1d	Bavati varNa-catuzwaya-BUzitam YRpH-_3.1d
   bhavati vallamito madhunā yutaḥ YRps_3.34b	Bavati valla-mitaH maDunA yutaH YRpH-_3.34b
   bhavati vājikaraḥ sukhadaḥ sadā YRps_3.17b	Bavati vAji-karaH suKa-daH sadA YRpH-_3.17b
   bhavati śuddhatamo daradodbhavaḥ YRps_3.5d	Bavati SudDatamaH darada-udBavaH YRpH-_3.5d
   bhavati sāratamā rasaparpaṭī YRps_3.41c	Bavati sAratamA rasa-parpawI YRpH-_3.41c
   bhavati sūtavaraḥ sukhadaḥ sadā YRps_3.9d	Bavati sUtavaraH suKa-daH sadA YRpH-_3.9d
   bhavetsukāntaṃ hi nirāmayaṃ ca YRps_6.32d	Bavet-sukAntam hi nirAmayam ca YRpH-_6.32d
   bhavedgurjarake deśe YRps_6.87a	Bavet-gurjarake deSe YRpH-_6.87a
   bhavedviṃśatime puṭe YRps_5.24d	Bavet-viMSatime puwe YRpH-_5.24d
   bhaved vṛntākamūṣikā YRps_10.22b	Bavet vRntAkamUzikA YRpH-_10.22b
   bhastrayā dhmāpayetsamyak YRps_11.70c	BastrayA DmApayet-samyak YRpH-_11.70c
   bhastrikādvitayena ca YRps_5.58d	BastrikA-dvitayena ca YRpH-_5.58d
   bhastrikādvitayena tān YRps_5.40b	BastrikA-dvitayena tAn YRpH-_5.40b
   bhastrikādvitayenaiva YRps_1.95a	BastrikA-dvitayena-eva YRpH-_1.95a
   bhastrikāṃ pradhametkhalu YRps_10.34b	BastrikAm praDamet-Kalu YRpH-_10.34b
   bhasmatvaṃ sūtakasya ca YRps_1.6b	Basma-tvam sUtakasya ca YRpH-_1.6b
   bhasmanā lavaṇenaiva YRps_1.128a	BasmanA lavaNena-eva YRpH-_1.128a
   bhasma bhūtisamo bhavet YRps_2.3d	Basma BUti-samaH Bavet YRpH-_2.3d
   bhasma mūṣopari nyasya YRps_11.113c	Basma mUzA-upari nyasya YRpH-_11.113c
   bhasmībhavati niścitam YRps_4.73b	BasmIBavati niScitam YRpH-_4.73b
   bhasmībhūtaṃ śilājatu YRps_5.111b	BasmIBUtam SilAjatu YRpH-_5.111b
   bhāgamekaṃ tu rajataṃ YRps_4.27a	BAgam-ekam tu rajatam YRpH-_4.27a
   bhāgamekaṃ prakalpayet YRps_13.7d	BAgam-ekam prakalpayet YRpH-_13.7d
   bhāgaṃ caikaṃ miśrayennāgaphenam YRps_8.32b	BAgam ca-ekam miSrayet-nAga-Penam YRpH-_8.32b
   bhāgaṃ vimardyātha mṛtaṃ hi vajram YRps_7.37b	BAgam vimardya-aTa mRtam hi vajram YRpH-_7.37b
   bhāgāstrayaścaiva hi sūtakasya YRps_7.37a	BAgAH-trayaH-ca-eva hi sUtakasya YRpH-_7.37a
   bhāgāṃścatuṣpalāṃstatra YRps_12.20c	BAgAn=-catuzpalAn=-tatra YRpH-_12.20c
   bhāgāṃstrīneva kārayet YRps_11.24b	BAgAn=-trIn-eva kArayet YRpH-_11.24b
   bhāgaikaṃ tāpyakaṃ sūtād YRps_11.24a	BAga-ekam tApyakam sUtAt YRpH-_11.24a
   bhāgaikaṃ trapu cottamam YRps_4.111b	BAga-ekam trapu ca-uttamam YRpH-_4.111b
   bhāgaikaṃ rajatasya hi YRps_11.91b	BAga-ekam rajatasya hi YRpH-_11.91b
   bhāgaikaṃ svarṇagairikam YRps_13.8b	BAga-ekam svarNagErikam YRpH-_13.8b
   bhāgaikaḥ syātpāradaḥ śodhitaśca YRps_8.14a	BAga-ekaH syAt-pAradaH SoDitaH-ca YRpH-_8.14a
   bhāgairvṛddhaṃ kārayecca krameṇa YRps_8.19b	BAgEH-vRdDam kArayet-ca krameNa YRpH-_8.19b
   bhājanāni ca catvāri YRps_2.62c	BAjanAni ca catvAri YRpH-_2.62c
   bhāṇḍe sthāpyaṃ mudritavyaṃ prayatnāt YRps_8.27d	BANxe sTApyam mudritavyam prayatnAt YRpH-_8.27d
   bhārāḍhyā śyāmikā bhavet YRps_6.16d	BAra-AXyA SyAmikA Bavet YRpH-_6.16d
   bhāvanāṃ postatoyena YRps_13.8c	BAvanAm posta-toyena YRpH-_13.8c
   bhāvayeddinasaptakam YRps_11.16d	BAvayet-dina-saptakam YRpH-_11.16d
   bhāvayedvāsaratrayam YRps_11.96d	BAvayet-vAsara-trayam YRpH-_11.96d
   bhāvitaṃ śuddhimṛcchati YRps_6.82b	BAvitam SudDim-RcCati YRpH-_6.82b
   bhāvitā saptavāreṇa YRps_6.19a	BAvitA sapta-vAreNa YRpH-_6.19a
   bhittvā mūṣāgataṃ sūtaṃ YRps_2.49a	BittvA mUzA-gatam sUtam YRpH-_2.49a
   bhuktapākaṃ karoti tat YRps_6.69d	Bukta-pAkam karoti tat YRpH-_6.69d
   bhujagajitarasendro vedhayellakṣavedhī YRps_11.35d	Bujaga-jita-rasendraH veDayet-lakza-veDI YRpH-_11.35d
   bhūgaṇḍādisamastadoṣarahitaṃ śrīpūjyapādoditam YRps_11.90/b	BU-gaNxa-Adi-samasta-doza-rahitam SrI-pUjya-pAda-uditam YRpH-_11.90/b
   bhūgarte golakaṃ nyaset YRps_2.67d	BU-garte golakam nyaset YRpH-_2.67d
   bhūtakaṇḍūkṣayāpahā YRps_6.21d	BUta-kaNxU-kzaya-apahAH YRpH-_6.21d
   bhūtakeśī kṛṣṇalatā YRps_9.2c	BUtakeSI kRzNalatA YRpH-_9.2c
   bhūtanut puṣpahṛt striyāḥ YRps_6.10b	BUta-nud puzpa-hRt striyAH YRpH-_6.10b
   bhūtādidoṣatrayanāśanaṃ paraṃ YRps_7.7c	BUta-Adi-doza-traya-nASanam param YRpH-_7.7c
   bhūtībhavati niścitam YRps_4.32b	BUtIBavati niScitam YRpH-_4.32b
   bhūtonmādanivāraṇaṃ smṛtikaraṃ śophāmayadhvaṃsanaṃ YRps_5.27c	BUta-unmAda-nivAraNam smRti-karam SoPa-Amaya-DvaMsanam YRpH-_5.27c
   bhūtonmādān netrarogān nihanyāt YRps_7.13c	BUta-unmAdAt netra-rogAn nihanyAt YRpH-_7.13c
   bhūdhare kutra cetprāptaṃ YRps_4.22a	BUDare kutra ced-prAptam YRpH-_4.22a
   bhūnāgamṛttikā tulyā YRps_10.13c	BUnAga-mRttikA tulyAH YRpH-_10.13c
   bhūnāgaviṭ tathā kṣaudraṃ YRps_1.124c	BUnAga-viz taTA kzOdram YRpH-_1.124c
   bhūnāgasattvamūṣāyāṃ YRps_11.56a	BUnAga-sattva-mUzAyAm YRpH-_11.56a
   bhūnāgasatvasaṃyuktaṃ YRps_5.76a	BUnAga-satva-saMyuktam YRpH-_5.76a
   bhūnāgasatvena samaṃ vimardya YRps_7.36a	BUnAga-satvena samam vimardya YRpH-_7.36a
