   ācāryadaṇḍinaḥ kāvyādarśaḥ	AcArya-daNxinaH kAvyAdarSaH
   rūpakaṃ viṣamaṃ nāma lalitaṃ jāyate yathā // DKd_2.79 //	rUpakam vizamam nAma lalitam jAyate yaTA // DKd-_2.79 //
   madaraktakapolena manmathas tvan mukhendunā &	mada-rakta-kapolena manmaTaH tvat muKa-indunA &
   nartitabhrūlatenālaṃ mardituṃ bhuvanatrayam // DKd_2.80 //	nartita-BrU-latena-alam marditum Buvanatrayam // DKd-_2.80 //
   haripādaḥ śirolagnajahnukanyājalāṃśukaḥ &	haripAdaH SiraH-lagna-jahnu-kanyA-jala-aMSukaH &
   jayaty asuraniḥśaṅkasurānandotsavadhvajaḥ // DKd_2.81 //	jayati asura-niHSaFka-sura-Ananda-utsava-DvajaH // DKd-_2.81 //
   viśeṣaṇasamagrasya rūpaṃ ketor yadīdṛśam &	viSezaNa-samagrasya rUpam ketoH yat-i-IdRSam &
   pāde tadarpaṇād etat saviśeṣaṇarūpakam // DKd_2.82 //	pAde tad-arpaNAt etat sa-viSezaNa-rUpakam // DKd-_2.82 //
   na mīlayati padmāni na nabho 'py avagāhate &	na mIlayati padmAni na naBaH api avagAhate &
   tvanmukhendur mamāsūnāṃ haraṇāyaiva kalpate // DKd_2.83 //	tvad-muKa-induH mama-asUnAm haraNAya-eva kalpate // DKd-_2.83 //
   akriyā candrakāryāṇām anyakāryasya ca kriyā &	akriyA candra-kAryANAm anya-kAryasya ca kriyA &
   atra saṃdarśyate yasmād viruddhaṃ nāma rūpakam // DKd_2.84 //	atra saMdarSyate yasmAt virudDam nAma rUpakam // DKd-_2.84 //
   gāmbhīryeṇa samudro 'si gauraveṇāsi parvataḥ &	gAmBIryeNa samudraH asi gOraveNa-asi parvataH &
   kāmadatvāc ca lokānām asi tvaṃ kalpapādapaḥ // DKd_2.85 //	kAma-da-tvAt ca lokAnAm asi tvam kalpa-pAdapaH // DKd-_2.85 //
   gāmbhīryapramukhair atra hetubhiḥ sāgaro giriḥ &	gAmBIrya-pramuKEH atra hetuBiH sAgaraH giriH &
   kalpadrumaś ca kriyate tad idaṃ heturūpakam // DKd_2.86 //	kalpadrumaH ca kriyate tat idam heturUpakam // DKd-_2.86 //
   rājahaṃsopabhogārhaṃ bhramaraprārthyasaurabham &	rAjahaMsa-upaBoga-arham Bramara-prArTya-sOraBam &
   sakhi vaktrāmbujam idaṃ taveti śliṣṭarūpakam // DKd_2.87 //	saKi vaktra-ambujam idam tava-iti Slizwa-rUpakam // DKd-_2.87 //
   iṣṭaṃ sādharmyavaidharmyadarśanād gauṇamukhyayoḥ &	izwam sADarmya-vEDarmya-darSanAt gONa-muKyayoH &
   upamāvyatirekākhyaṃ rūpakādvitayaṃ yathā // DKd_2.88 //	upamAvyatireka-AKyam rUpakA-dvitayam yaTA // DKd-_2.88 //
   ayam ālohitacchāyo madena mukhacandramāḥ &	ayam Alohita=-CAyaH madena muKa-candramAH &
   saṃnaddhodayarāgasya candrasya pratigarjati // DKd_2.89 //	saMnadDa-udaya-rAgasya candrasya pratigarjati // DKd-_2.89 //
   candramāḥ pīyate devair mayā tvanmukhacandramāḥ &	candramAH pIyate devEH mayA tvad-muKa-candramAH &
   asamagro 'py asau śaśvadāpūrṇamaṇḍalaḥ // DKd_2.90 //	asamagraH api asO SaSvat-ApUrNa-maNxalaH // DKd-_2.90 //
   mukhacandrasya candratvam ittham anyopatāpinaḥ &	muKa-candrasya candra-tvam itTam anya-upatApinaH &
   na te sundari saṃvādīty etad ākṣeparūpakam // DKd_2.91 //	na te sundari saMvAdi-iti etat Akzepa-rUpakam // DKd-_2.91 //
   mukhendur api te caṇḍi māṃ nirdahati nirdayam &	muKa-induH api te caNxi mAm nirdahati nirdayam &
   bhāgyadoṣān mamaiveti tat samādhānarūpakam // DKd_2.92 //	BAgya-dozAt mama-eva-iti tat samADAna-rUpakam // DKd-_2.92 //
   mukhapaṅkajaraṅge 'smin bhrūlatānartakī tava &	muKa-paFkaja-raFge asmin BrU-latA-nartakI tava &
   līlānṛtyaṃ karotīti ramyaṃ rūpakarūpakam // DKd_2.93 //	lIlA-nRtyam karoti-iti ramyam rUpaka-rUpakam // DKd-_2.93 //
   naitan mukham idaṃ padmaṃ ta netre bhramarāv imau &	na-etat muKam idam padmam te netre BramarO imO &
   etāni kesarāṇy eva naitā dantārciṣas tava // DKd_2.94 //	etAni kesarANi eva na-etAH danta-arcizaH tava // DKd-_2.94 //
   mukhāditvaṃ nivartyaiva padmāditvena rūpaṇāt &	muKa-Adi-tvam nivartya-eva padma-Adi-tvena rUpaNAt &
   udbhāvitaguṇotkarṣaṃ tattvāpahnavarūpakam // DKd_2.95 //	udBAvita-guNa-utkarzam tattva-apahnava-rUpakam // DKd-_2.95 //
   na paryanto vikalpānāṃ rūpakopamayor ataḥ &	na paryantaH vikalpAnAm rUpaka-upamayoH atas &
   diṅmātraṃ darśitaṃ dhīrair anuktam anumīyatām //iti rūpakacakram// //	diS-mAtram darSitam DIrEH anuktam anumIyatAm //-iti rUpaka-cakram// //
   DKd_2.96 //	DKd-_2.96 //
   jātikriyāguṇadravyavācinaikatra vartinā &	jAti-kriyA-guNa-dravya-vAcinA-ekatra vartinA &
   sarvavākyopakāraś cet tam āhur dīpakaṃ yathā // DKd_2.97 //	sarva-vAkya-upakAraH ced tam AhuH dIpakam yaTA // DKd-_2.97 //
   pavano dakṣiṇaḥ pārṇaṃ jīrṇaṃ harati vīrudhām &	pavanaH dakziNaH pArNam jIrNam harati vIruDAm &
   sa evāvanatāṅgīnāṃ mānabhaṅgāya kalpate // DKd_2.98 //	saH eva-avanata-aFgInAm mAna-BaFgAya kalpate // DKd-_2.98 //
   caranti caturambhodhivelodyāneṣu dantinaḥ &	caranti catur-amBoDi-velA-udyAnezu dantinaH &
   cakravālādrikuñjeṣu kundabhāso guṇāś ca te // DKd_2.99 //	cakravAla-adri-kuQjezu kunda-BAsaH guNAH ca te // DKd-_2.99 //
   śyāmalāḥ prāvṛṣeṇyābhir diśo jīmūtapaṅktibhiḥ &	SyAmalAH prAvRzeNyABiH diSaH jImUta-paFktiBiH &
   bhuvaś ca sukumārābhir navaśādvalarājibhiḥ // DKd_2.100 //	BuvaH ca sukumArABiH nava-SAdvala-rAjiBiH // DKd-_2.100 //
   viṣṇunā vikramasthena dānavānāṃ vibhūtayaḥ &	vizNunA vikrama-sTena dAnavAnAm viBUtayaH &
   kvāpi nītāḥ kuto 'py āsann ānītā devetarddhayaḥ // DKd_2.101 //	kvApi nItAH kutas api Asan AnItAH deveta-RdDayaH // DKd-_2.101 //
   ityādidīpakāny uktāny evaṃ madhyāntayor api &	iti-Adi-dIpakAni uktAni evam maDya-antayoH api &
   vākyayor darśayiṣyāmaḥ kāni cit tāni tad yathā // DKd_2.102 //	vAkyayoH darSayizyAmaH kAni cit tAni tat yaTA // DKd-_2.102 //
   nṛtyanti niculotsaṅge gāyanti ca kalāpinaḥ &	nRtyanti nicula-utsaFge gAyanti ca kalApinaH &
   badhnanti ca payodeṣu dṛśo harṣāśrugarbhiṇīḥ // DKd_2.103 //	baDnanti ca payodezu dRSaH harza-aSru-garBiNIH // DKd-_2.103 //
   mando gandhavahaḥ kṣāro vahnir induś ca jāyate &	mandaH ganDavahaH kzAraH vahniH induH ca jAyate &
   carcācandanapātaś ca śastrapātaḥ pravāsinām // DKd_2.104 //	carcA-candana-pAtaH ca Sastra-pAtaH pravAsinAm // DKd-_2.104 //
   jalaṃ jaladharodgīrṇaṃ kulaṃ gṛhaśikhaṇḍinām &	jalam jalaDara-udgIrNam kulam gRha-SiKaNxinAm &
   calaṃ ca taḍitāṃ dāma balaṃ kusumadhanvanaḥ // DKd_2.105 //	calam ca taxitAm dAma balam kusumaDanvanaH // DKd-_2.105 //
   tvayā nīlotpalaṃ karṇe smareṇāstraṃ śarāsane &	tvayA nIlotpalam karNe smareNa-astram SarAsane &
   mayāpi maraṇe cetas trayam etat samaṃ kṛtam // DKd_2.106 //	mayA-api maraNe cetaH trayam etat samam kRtam // DKd-_2.106 //
   śuklaḥ śvetārciṣo vṛddhyai pakṣaḥ pañcaśarasya saḥ &	SuklaH SvetArcizaH vRdDyE pakzaH paQcaSarasya saH &
   sa ca rāgasya rāgo 'pi yūnāṃ ratyutsavaśriyaḥ // DKd_2.107 //	sa ca rAgasya rAgaH api yUnAm rati-utsava-SriyaH // DKd-_2.107 //
   ityādidīpakatve 'pi pūrvapūrvavyapekṣiṇī &	iti-Adi-dIpaka-tve api pUrva-pUrva-vyapekziNI &
   vākyamālā prayukteti tan mālādīpakaṃ matam // DKd_2.108 //	vAkya-mAlA prayuktA-iti tat mAlAdIpakam matam // DKd-_2.108 //
   avalepam anaṅgasya vardhayanti balāhakāḥ &	avalepam anaFgasya varDayanti balAhakAH &
   karśayanti tu dharmasya mārutoddhūtaśīkarāḥ // DKd_2.109 //	karSayanti tu Darmasya mAruta-udDUta-SIkarAH // DKd-_2.109 //
   avalepapadenātra balāhakapadena ca &	avalepa-padena-atra balAhaka-padena ca &
   kriye viruddhe saṃyukte tadviruddhārthadīpakam // DKd_2.110 //	kriye virudDe saMyukte tad-virudDa-arTa-dIpakam // DKd-_2.110 //
   haraty ābhogam āśānāṃ gṛhṇāti jyotiṣāṃ gaṇam &	harati ABogam ASAnAm gRhNAti jyotizAm gaNam &
   ādatte cādya me prāṇān asau jaladharāvalī // DKd_2.111 //	Adatte ca-adya me prANAn asO jalaDara-AvalI // DKd-_2.111 //
   anekaśābdopādānāt kriyaikavātra dīpyate &	aneka-SAbda-upAdAnAt kriyA-eka-vA-atra dIpyate &
   yato jaladharāvalyā tasmād ekārthadīpakam // DKd_2.112 //	yatas jalaDara-AvalyA tasmAt eka-arTa-dIpakam // DKd-_2.112 //
   hṛdyagandhavahās tuṅgās tamālaśyāmalatviṣaḥ &	hRdyaganDa-vahAH tuFgAH tamAla-SyAmala-tvizaH &
   divi bhramanti jīmūtā bhuvi caite mataṅgajāḥ // DKd_2.113 //	divi Bramanti jImUtAH Buvi ca-ete mataFga-jAH // DKd-_2.113 //
   atra dharmair abhinnānām abhrāṇāṃ dantināṃ tathā &	atra DarmEH aBinnAnAm aBrANAm dantinAm taTA &
   bhramaṇenaiva saṃbandha iti śliṣṭārthadīpakam // DKd_2.114 //	BramaNena-eva saMbanDaH iti Slizwa-arTa-dIpakam // DKd-_2.114 //
   anenaiva prakāreṇa śeṣāṇām api dīpake &	anena-eva prakAreNa SezANAm api dIpake &
   vikalpānām avagatir vidhātavyā vicakṣaṇaiḥ //iti dīpakacakram// //	vikalpAnAm avagatiH viDAtavyA vicakzaNEH //iti dIpaka-cakram// //
   DKd_2.115 //	DKd-_2.115 //
   arthāvṛttiḥ padāvṛttir ubhayāvṛttir eva ca &	arTa-AvRttiH padAvRttiH uBayAvRttiH eva ca &
   dīpakasthāna eveṣṭam alaṃkāratrayaṃ yathā // DKd_2.116 //	dIpaka-sTAnaH eva-izwam alaMkAra-trayam yaTA // DKd-_2.116 //
   vikasanti kadambāni sphuṭanti kuṭajadrumāḥ &	vikasanti kadambAni sPuwanti kuwaja-drumAH &
   unmīlanti ca kandalyo dalanti kakubhāni ca // DKd_2.117 //	unmIlanti ca kandalyaH dalanti kakuBAni ca // DKd-_2.117 //
   utkaṇṭhayati meghānāṃ mālā vṛndaṃ kalāpinām &	utkaNWayati meGAnAm mAlA vRndam kalApinAm &
   yūnāṃ cotkaṇṭhayaty eṣa mānasaṃ makaradhvajaḥ // DKd_2.118 //	yUnAm ca-utkaNWayati eza mAnasam makaraDvajaH // DKd-_2.118 //
   jitvā viśvaṃ bhavān atra viharaty avarodhanaiḥ &	jitvA viSvam BavAn atra viharati avaroDanEH &
   viharatv apsarobhis te ripuvargo divaṃ gataḥ //ity āvṛtticakram// //	viharatu apsaroBiH te ripu-vargaH divam gataH //iti AvRtti-cakram// //
   DKd_2.119 //	DKd-_2.119 //
   pratiṣedhoktir ākṣepas traikālyāpekṣayā tridhā &	pratizeDa-uktiH AkzepaH trEkAlya-apekzayA triDA &
   athāsya punar ākṣepyabhedānantyād anantatā // DKd_2.120 //	aTa-asya punar Akzepya-Beda-AnantyAt ananta-tA // DKd-_2.120 //
   anaṅgaḥ pañcabhiḥ puṣpair viśvaṃ vyajayateṣubhiḥ &	anaFgaH paQcaBiH puzpEH viSvam vyajayata-izuBiH &
   ityasaṃbhāvyam athavā vicitrā vastuśaktayaḥ // DKd_2.121 //	iti-asaMBAvyam aTavA vicitrAH vastu-SaktayaH // DKd-_2.121 //
   ityanaṅgajayāyogabuddhir hetubalād iha &	iti-anaFga-jayA-yoga-budDiH hetu-balAt iha &
   pravṛttaiva yad ākṣiptā vṛttākṣepaḥ sa īdṛśaḥ // DKd_2.122 //	pravRttA-eva yat AkziptA vRtta-AkzepaH saH IdRSaH // DKd-_2.122 //
   kutaḥ kuvalayaṃ karṇe karoṣi kalabhāṣiṇi &	kutas kuvalayam karNe karozi kala-BAziNi &
   kim apāṅgam aparyāptam asmin karmaṇi manyase // DKd_2.123 //	kim apAFgam aparyAptam asmin karmaNi manyase // DKd-_2.123 //
   sa vartamānākṣepo 'yaṃ kurvaty evāsitotpalam &	sa vartamAnAkzepaH ayam kurvati eva-asita-utpalam &
   karṇe kā cit priyeṇaivaṃ cāṭukāreṇa rudhyate // DKd_2.124 //	karNe kA cit priyeNa-evam cAwu-kAreNa ruDyate // DKd-_2.124 //
   satyaṃ bravīmi na tvaṃ māṃ draṣṭuṃ vallabha lapsyase &	satyam bravImi na tvam mAm drazwum vallaBa lapsyase &
   anyacumbanasaṃkrāntalākṣāraktena cakṣuṣa // DKd_2.125 //	anya-cumbana-saMkrAnta-lAkzA-raktena cakzuzaH // DKd-_2.125 //
   so 'yaṃ bhaviṣyad ākṣepaḥ prāg evātimanasvinī &	saH ayam Bavizyat AkzepaH prAk eva-ati-manasvinI &
   kadācid aparādho 'sya bhāvīty evam arunddha yat // DKd_2.126 //	kadAcid aparADaH asya BAvi-iti evam arundDa yat // DKd-_2.126 //
   tava tanvaṅgi mithyaiva rūḍham aṅgeṣu mārdavam &	tava tanvaFgi miTyA-eva rUXam aFgezu mArdavam &
   yadi satyaṃ mṛdūny eva kim akāṇḍe rujanti mām // DKd_2.127 //	yadi satyam mRdUni eva kim akANxe rujanti mAm // DKd-_2.127 //
   dharmākṣepo 'yam ākṣiptam aṅganāgātramārdavam &	DarmAkzepaH ayam Akziptam aFganA-gAtra-mArdavam &
   kāmukena yad atraivaṃ karmaṇā tadvirodhinā // DKd_2.128 //	kAmukena yat atra-evam karmaNA tad-viroDinA // DKd-_2.128 //
   sundarī sā na vety eṣa vivekaḥ kena jāyate &	sundarI sA na vA-iti eza vivekaH kena jAyate &
   prabhāmātraṃ hi taralaṃ dṛśyate na tadāśrayaḥ // DKd_2.129 //	praBA-mAtram hi taralam dRSyate na tad-ASrayaH // DKd-_2.129 //
   dharmyākṣepo 'yam ākṣipto dharmī dharmaṃ prabhāhvayam &	DarmyAkzepaH ayam AkziptaH DarmI Darmam praBA-Ahvayam &
   anujñāyaiva yadrūpam atyāścaryaṃ vivakṣatā // DKd_2.130 //	anujQAya-eva yat-rUpam ati-AScaryam vivakzatA // DKd-_2.130 //
   cakṣuṣī tava rajyete sphuraty adharapallavaḥ &	cakzuzI tava rajyete sPurati aDara-pallavaH &
   bhruvau ca bhugne na tathāpy aduṣṭasyāsti me bhayam // DKd_2.131 //	BruvO ca Bugne na taTA-api aduzwasya-asti me Bayam // DKd-_2.131 //
   sa eṣa kāraṇākṣepaḥ pradhānaṃ kāraṇaṃ bhiyaḥ &	saH eza kAraNAkzepaH praDAnam kAraNam BiyaH &
   svāparādho niṣiddho 'tra yat priyeṇa paṭīyasā // DKd_2.132 //	sva-aparADaH nizidDaH atra yat priyeNa pawIyasA // DKd-_2.132 //
   dūre priyatamaḥ so 'yam āgato jaladāgamaḥ &	dUre priyatamaH saH ayam AgataH jalada-AgamaH &
   dṛṣṭaś ca phullā niculā na mṛtā cāsmi kiṃ nv idam // DKd_2.133 //	dRzwaH ca PullAH niculA na mRtA ca-asmi kim nu idam // DKd-_2.133 //
   kāryākṣepaḥ sa kāryasya maraṇasya nivartanāt &	kAryAkzepaH sa kAryasya maraNasya nivartanAt &
   tatkāraṇam upanyasya dāruṇaṃ jaladāgamam // DKd_2.134 //	tad-kAraNam upanyasya dAruNam jalada-Agamam // DKd-_2.134 //
   na ciraṃ mama tāpāya tava yātrā bhaviṣyati &	na ciram mama tApAya tava yAtrA Bavizyati &
   yadi yāsyasi yātavyam alam āśaṅkayātra te // DKd_2.135 //	yadi yAsyasi yAtavyam alam ASaFkayA-atra te // DKd-_2.135 //
   ity anujñāmukhenaiva kantasyākṣipyate gatiḥ &	iti anujQA-muKena-eva kantasya-Akzipyate gatiH &
   maraṇaṃ sūcayantyaiva so 'nujñākṣepa ucyate // DKd_2.136 //	maraNam sUcayantyA-eva saH anujQAkzepaH ucyate // DKd-_2.136 //
   dhanaṃ ca bahu labhyaṃ te sukhaṃ kṣemaṃ ca vartmani &	Danam ca bahu laByam te suKam kzemam ca vartmani &
   na ca me prāṇasaṃdehas tathāpi priya mā sma gāḥ // DKd_2.137 //	na ca me prANa-saMdehaH taTA-api priya mA sma gAH // DKd-_2.137 //
   ity ācakṣāṇayā hetūn priyayātrānubandhinaḥ &	iti AcakzANayA hetUn priya-yAtrA-anubanDinaH &
   prabhutvenaiva ruddhas tat prabhutvākṣepa ucyate // DKd_2.138 //	praBu-tvena-eva rudDaH tat praBu-tvAkzepaH ucyate // DKd-_2.138 //
   jīvitāśā balavatī dhanāśā durbalā mama &	jIvita-ASA balavatI Dana-ASA durbalAH mama &
   gaccha tiṣṭha vā kānta svāvasthā tu niveditā // DKd_2.139 //	gacCa tizWa vA kAnta sva-avasTA tu niveditAH // DKd-_2.139 //
   asāv anādarākṣepo yad anādaravad vacaḥ &	asO anAdara-AkzepaH yat anAdara-vat vacaH &
   priyaprayāṇaṃ rundhatyā prayuktam iha raktayā // DKd_2.140 //	priya-prayANam runDatyA prayuktam iha raktayA // DKd-_2.140 //
   gaccha gacchasi cet kānta panthānaḥ santu te śivāḥ &	gacCa gacCasi ced kAnta panTAnaH santu te SivAH &
   mamāpi janma tatraiva bhūyād yatra gato bhavān // DKd_2.141 //	mama-api janma tatra-eva BUyAt yatra gataH BavAn // DKd-_2.141 //
   ity āśīrvacanākṣepo yad āśīrvādavartmanā &	iti ASIrvacana-AkzepaH yat ASIrvAda-vartmanA &
   svāvasthāṃ sūcayantyaiva kāntayātrā niṣidhyate // DKd_2.142 //	sva-avasTAm sUcayantyA-eva kAnta-yAtrA niziDyate // DKd-_2.142 //
   yadi satyaiva yātrā te kāpy anyā mṛgyatāṃ tvayā &	yadi satyA-eva yAtrA te kA-api anyA mRgyatAm tvayA &
   aham adyaiva ruddhāsmi randhrāpekṣeṇa mṛtyunā // DKd_2.143 //	aham adya-eva rudDA-asmi ranDra-apekzeNa mRtyunA // DKd-_2.143 //
   ity eṣa paruṣākṣepaḥ paruṣākṣarapūrvakam &	iti eza paruzAkzepaH paruza-akzara-pUrvakam &
   kāntasyākṣipyate yasmāt prasthānaṃ premanighnayā // DKd_2.144 //	kAntasya-Akzipyate yasmAt prasTAnam prema-niGnayA // DKd-_2.144 //
   gantā ced gaccha tūrṇaṃ te karṇau yānti purā ravāḥ &	gantA ced gacCa tUrNam te karNO yAnti purA ravAH &
   ārtabandhumukhodgīrṇāḥ prayāṇaparipanthinaḥ // DKd_2.145 //	Arta-banDu-muKa-udgIrNAH prayANa-paripanTinaH // DKd-_2.145 //
   sācivyvākṣepa evaiṣa yad atra pratiṣidhyate &	sAci-vi-vAkzepaH eva-eza yat atra pratiziDyate &
   priyaprayāṇaṃ sācivyaṃ kurvaty evātiraktayā // DKd_2.146 //	priya-prayANam sAcivyam kurvati eva-ati-raktayA // DKd-_2.146 //
   gaccheti vaktum icchāmi matpriya tvatpriyaiṣiṇī &	gacCa-iti vaktum icCAmi mad-priya tvad-priya-eziNI &
   nirgacchati mukhād vāṇī mā gā iti karomi kim // DKd_2.147 //	nirgacCati muKAt vANI mA gAH iti karomi kim // DKd-_2.147 //
   yatnākṣepaḥ sa yatnasya kṛtasyāniṣṭavastuni &	yatnAkzepaH sa yatnasya kRtasya-anizwa-vastuni &
   viparītaphalotpatter ānarthakyopadarśanāt // DKd_2.148 //	viparIta-Pala-utpatteH AnarTakya-upadarSanAt // DKd-_2.148 //
   kṣaṇaṃ darśanavighnāya pakṣmaspandāya kupyataḥ &	kzaNam darSana-viGnAya pakzma-spandAya kupyataH &
   premṇaḥ prayāṇaṃ tvaṃ brūhi mayā tasyeṣṭam iṣyate // DKd_2.149 //	premNaH prayANam tvam brUhi mayA tasya-izwam izyate // DKd-_2.149 //
   so 'yaṃ paravaśākṣepo yat premaparatantrayā &	saH ayam para-vaSa-AkzepaH yat prema-para-tantrayA &
   tayā niṣidhyate yātrānyasyārthasopasūcanat // DKd_2.150 //	tayA niziDyate yAtrA-anyasya-arTasA-upasUcanat // DKd-_2.150 //
   sahiṣye virahaṃ nātha dehy adṛśyāñjanaṃ mama &	sahizye viraham nATa dehi adRSya-aQjanam mama &
   yad aktanetrāṃ kandarpaḥ prahartā māṃ na paśyati // DKd_2.151 //	yat akta-netrAm kandarpaH prahartA mAm na paSyati // DKd-_2.151 //
   duṣkaraṃ jīvanopāyam upanyasyoparudhyate &	duzkaram jIvana-upAyam upanyasya-uparuDyate &
   patyuḥ prasthānam ity āhur upāyākṣepam īdṛśam // DKd_2.152 //	patyuH prasTAnam iti AhuH upAyAkzepam IdRSam // DKd-_2.152 //
   pravṛttaiva prayāmīti vāṇī vallabha te mukhāt &	pravRttA-eva prayAmi-iti vANI vallaBa te muKAt &
   ayatāpi tvayedānīṃ mandapremṇā mamāsti kim // DKd_2.153 //	ayatA-api tvayA-idAnIm manda-premNA mama-asti kim // DKd-_2.153 //
   roṣākṣepo 'yam udriktasnehaniryantritātmanā &	roza-AkzepaH ayam udrikta-sneha-niryantrita-AtmanA &
   saṃrabdhayā priyārabdhaṃ prayāṇaṃ yan niṣidhyate // DKd_2.154 //	saMrabDayA priya-ArabDam prayANam yat niziDyate // DKd-_2.154 //
   mugdhā kāntasya yātroktiśravaṇād eva mūrchitā &	mugDA kAntasya yAtrA-ukti-SravaNAt eva mUrCitA &
   buddhvā vakti priyaṃ dṛṣṭvā kiṃ cireṇāgato bhavān // DKd_2.155 //	budDvA vakti priyam dRzwvA kim cireNa-AgataH BavAn // DKd-_2.155 //
   iti tatkālasaṃbhūtamūrchayākṣipyate gatiḥ &	iti tad-kAla-saMBUta-mUrCayA-Akzipyate gatiH &
   kāntasya kātarākṣyā yan mūrchākṣepa sa īdṛśaḥ // DKd_2.156 //	kAntasya kAtara-akzyAH yat mUrCAkzepa saH IdRSaH // DKd-_2.156 //
   nāghrātaṃ na kṛtaṃ karṇe strībhir madhuni nārpitam &	na-AGrAtam na kRtam karNe strIBiH maDuni na-arpitam &
   tvaddviṣāṃ dīrghikāsyeva viśīrṇaṃ nīlam utpalam // DKd_2.157 //	tvad-dvizAm dIrGikA-asya-iva viSIrNam nIlam utpalam // DKd-_2.157 //
   asāv anukrośākṣepaḥ sānukrośam ivotpale &	asO anukroSAkzepaH sa-anukroSam iva-utpale &
   vyāvartya karma tadyogyaṃ śocyāvasthopadarśanāt // DKd_2.158 //	vyAvartya karma tad-yogyam Socya-avasTA-upadarSanAt // DKd-_2.158 //
   amṛtātmani padmānāṃ dveṣṭari snigdhatārake &	amRta-Atmani padmAnAm dvezwari snigDa-tArake &
   mukhendau tava satyasminn apareṇa kim indunā // DKd_2.159 //	muKa-indO tava sati-asmin apareNa kim indunA // DKd-_2.159 //
   iti mukhyendur ākṣipto guṇān gauṇenduvartinaḥ &	iti muKya-induH AkziptaH guNAn gONa-indu-vartinaH &
   tatsamān darśayitveha śliṣṭākṣepas tathāvidhaḥ // DKd_2.160 //	tad-samAn darSayitvA-iha Slizwa-AkzepaH taTAviDaH // DKd-_2.160 //
   artho na saṃbhṛtaḥ kaś cin na vidyā kā cid arcitā &	arTaH na saMBRtaH kaH cit na vidyA kA cit arcitA &
   na tapaḥ saṃcintaṃ kiṃ cid gataṃ ca sakalaṃ vayaḥ // DKd_2.161 //	na tapaH saMcintam kim cit gatam ca sakalam vayaH // DKd-_2.161 //
   asāv anuśayākṣepo yasmād anuśayottaram &	asO anuSaya-AkzepaH yasmAt anuSaya-uttaram &
   arthārjanāder vyāvṛttir darśiteha gatāyuṣā // DKd_2.162 //	arTa-arjana-AdeH vyAvRttiH darSitA-iha gata-AyuzAH // DKd-_2.162 //
   kim ayaṃ śaradambhodaḥ kiṃ vā haṃsakadambakam &	kim ayam Sarad-amBodaH kim vA haMsa-kadambakam &
   rutaṃ nūpurasaṃvādi śrūyate tan na toyadaḥ // DKd_2.163 //	rutam nUpura-saMvAdi SrUyate tat na toyadaH // DKd-_2.163 //
   ity ayaṃ saṃśayākṣepaḥ saṃśayo yan nivartyate &	iti ayam saMSayAkzepaH saMSayaH yat nivartyate &
   dharmeṇa haṃsasulabhenāspṛṣṭaghanajānitā // DKd_2.164 //	DarmeNa haMsa-sulaBena-aspRzwa-Gana-jAnitAH // DKd-_2.164 //
   citram ākrāntaviśvo 'pi vikramas te na tṛpyati &	citram AkrAnta-viSvaH api vikramaH te na tRpyati &
   kadā vā dṛśyate tṛptir udīrṇasya havir bhujaḥ // DKd_2.165 //	kadA vA dRSyate tRptiH udIrNasya haviH BujaH // DKd-_2.165 //
   ayam arthāntarākṣepaḥ prakrānto yan nivāryate &	ayam arTa-antarAkzepaH prakrAntaH yat nivAryate &
   vismayo 'rthantarasyeha darśanāt tatsadharmaṇaḥ // DKd_2.166 //	vismayaH arTantarasya-iha darSanAt tad-saDarmaNaH // DKd-_2.166 //
   na stūyase narendra tvaṃ dadāsīti kadā cana &	na stUyase narendra tvam dadAsi-iti kadA cana &
   svam eva matvā gṛhṇanti yatas tvad dhanam arthinaḥ // DKd_2.167 //	svam eva matvA gRhNanti yatas tvat Danam arTinaH // DKd-_2.167 //
   ityevamādir ākṣepo hetvākṣepa iti smṛtaḥ &	iti-evamAdiH AkzepaH hetu-AkzepaH iti smRtaH &
   anenaiva diśānye 'pi vikalpāḥ śakyam ūhitum // ity ākṣepacakram// //	anena-eva diSA-anye api vikalpAH Sakyam Uhitum // iti Akzepa-cakram// //
   DKd_2.168 //	DKd-_2.168 //
   jñeyah so 'rthāntaranyāso vastu prastutya kiṃ cana &	jQeyah saH arTa-antaranyAsaH vastu prastutya kim cana &
   tatsādhanasamarthasya nyāso yo 'nyasya vastunaḥ // DKd_2.169 //	tad-sADana-samarTasya nyAsaH yaH anyasya vastunaH // DKd-_2.169 //
   viśvavyāpī viśeṣasthaḥ śleṣāviddho virodhavān &	viSva-vyApI viSeza-sTaH Sleza-AvidDaH viroDavAn &
   ayuktakārī yuktātmā yuktāyukto viparyayaḥ // DKd_2.170 //	ayukta-kArI yukta-AtmA yukta-ayuktaH viparyayaH // DKd-_2.170 //
   ityevamādayo bhedāḥ prayogeṣv asya lakṣitāḥ &	iti-evamAdayaH BedAH prayogezu asya lakzitAH &
   udāharaṇamālaiṣāṃ rūpavyaktyai nidarśyate // DKd_2.171 //	udAharaNa-mAlA-ezAm rUpa-vyaktyE nidarSyate // DKd-_2.171 //
   bhagavantau jagannetre sūryācandramasāv api &	BagavantO jagat-netre sUryAcandramasO api &
   paśya gacchata evāstaṃ niyatiḥ kena laṅghyate // DKd_2.172 //	paSya gacCataH eva-astam niyatiH kena laFGyate // DKd-_2.172 //
   payomucaḥ parītāpaṃ haranty eva śarīriṇām &	payomucaH parItApam haranti eva SarIriNAm &
