   atha prathamo 'dhyāyaḥ	aTa praTamaH aDyAyaH
   taddeśaśuddhiṃ kṛtvaiva mahāśāntiṃ puroditām /	tad deSa SudDim kRtvA eva mahA SAntim purA uditAm /
   kṛtvā nyasyātra ratnaṃ vā suvarṇaṃ kūrcameva vā // BhS_26.156 //	kRtvA nyasya atra ratnam vA suvarNam kUrcam eva vA // BhH _26.156 //
   dhruvādvā hṛdayādarka maṇḍalādvā vidhānataḥ /	DruvAt vA hRdayAt arka maNxalAt vA viDAnataH /
   devamāvāhya tatkāle paścādberaṃ yathāvidhi // BhS_26.157 //	devam AvAhya tad kAle paScAt beram yaTAviDi // BhH _26.157 //
   pūrvadravyeṇa votkṛṣṭadravyeṇāpi prakalpayet /	pUrva dravyeNa vA utkRzwa dravyeNa api prakalpayet /
   kālāpekṣāmakṛtvaiva pratiṣṭhāṃ pūrvavaccaret // BhS_26.158 //	kAla apekzAm akRtvA eva pratizWAm pUrvavat caret // BhH _26.158 //
   madhūcchiṣṭakriyāhīnaṃ beramādāya vaiṣṇavam /	maDUcCizwa kriyA hInam beram AdAya vEzNavam /
   śāntiṃhutvā raudrasaurapāvakān punarācaret // BhS_26.159 //	SAntiMhutvA rOdra sOra pAvakAn punar Acaret // BhH _26.159 //
   anyālaye sthāpitaṃ tu dhruvaṃ kautukameva vā /	anya Alaye sTApitam tu Druvam kOtukam eva vA /
   anyālaye sthāpayeccenmahāśāntiṃ hunedbudhaḥ // BhS_26.160 //	anya Alaye sTApayet ced mahA SAntim hunet buDaH // BhH _26.160 //
   vaiṣṇavāṃntu susaṃpūjya brāhmaṇān bhojayedbahu /	vEzNavAn= tu su saMpUjya brAhmaNAn Bojayet bahu /
   tattatthsāne tu vidhinā saṃsthāpyārcana mācaret // BhS_26.161 //	tad tatTsAne tu viDinA saMsTApya arcana mAcaret // BhH _26.161 //
   grāmādīnāmālayasya nāśeberaṃ tu tadgatam /	grAma AdInAm Alayasya na aSeberam tu tad gatam /
   anyasminnālaye sthāpya yathārhaṃ tu samarcayet // BhS_26.162 //	anyasmin= Alaye sTApya yaTArham tu samarcayet // BhH _26.162 //
   kṛte tu pīṭhasaṃghāte bere tvavanate kramāt /	kRte tu pIWa saMGAte bere tu avanate kramAt /
   dakṣiṇādi bhavenmṛtyurarthanāśo 'bhivardhanam // BhS_26.163 //	dakziNa Adi Bavet mRtyuH arTa nASaH aBivarDanam // BhH _26.163 //
   putrahāni stundabhede dhyānyānāṃ tu vināśanam /	putra hAni stundaBede DyAnyAnAm tu vinASanam /
   uraśchidrer'thanāśaśca kṛśe kārśyaṃ bhajennaraḥ // BhS_26.164 //	uraH Cidrer aTa nASaH ca kRSe kArSyam Bajet naraH // BhH _26.164 //
   sthūle ca mahatīvyādhirdīrghe 'nāyuṣyameva ca /	sTUle ca mahatI vyADiH dIrGe anAyuzyam eva ca /
   hrasve 'durbhikṣamāpnoti nyūnādhikyasamudbhave // BhS_26.165 //	hrasve adurBikzam Apnoti nyUna ADikya samudBave // BhH _26.165 //
   anyeṣvaṅgeṣu hānissyācchāstroktaṃ samyagācaret /	anyezu aFgezu hAni ssyAt SAstra uktam samyak Acaret /
   dhruvasya sthāpanādarvāk prākpratiṣṭhāvidhestathā // BhS_26.166 //	Druvasya sTApanAt arvAk prAc pratizWA viDeH taTA // BhH _26.166 //
   anuktaniṣkṛtiṃ vakṣye kāpilena ghṛtena vai /	anukta nizkRtim vakzye kApilena GRtena vE /
   padmāgnau vaiṣṇavaṃ viṣṇusūktaṃ suktaṃ ca pauruṣam // BhS_26.167 //	padma agnO vEzNavam vizNu sUktam suktam ca pOruzam // BhH _26.167 //
   śrībhūdaivatyamantrāṃśca juhuyādvyāhṛtīrbunaḥ /	SrI BU dEvatya mantrAn= ca juhuyAt vyAhRtIH bunaH /
   tattatkarmapunaḥ kuryādanyathā niṣphalaṃ bhavet // BhS_26.168 //	tat tad karma punar kuryAt anyaTA nizPalam Bavet // BhH _26.168 //
   iti śrīvaikhānase bhagavacchāstre bhṛguproktāyāṃ saṃhitāyāṃ	iti SrI vEKAnase Bagavat SAstre BRgu proktAyAm saMhitAyAm
   prakīrṇādhikāre ṣaḍviṃśo 'dhyāyaḥ.	prakIrNa aDikAre zaxviMSaH aDyAyaH.
   atha saptaviṃśo 'dhyāyaḥ	aTa saptaviMSaH aDyAyaH
   prāyaścittam	prAyaScittam
   ācāryasyartvijāṃ caiva pūjakasya viśeṣataḥ /	AcAryasya RtvijAm ca eva pUjakasya viSezataH /
   yathoktavaraṇe hīne śāntiṃ kuryādyathāvidhi // BhS_27.1 //	yaTA ukta varaNe hIne SAntim kuryAt yaTAviDi // BhH _27.1 //
   abjāgnau tu mahāśāntiṃ daśavāraṃ hunettataḥ /	abja agnO tu mahA SAntim daSa vAram hunet tatas /
   yathoktaṃ varaṇaṃ kṛtvā paścātkarma samācaret // BhS_27.2 //	yaTA uktam varaNam kRtvA paScAt karma samAcaret // BhH _27.2 //
   aṅkurārpaṇakāle tu brahmādīnāmathār'cane /	aFkura arpaNa kAle tu brahma AdInAm aTa aracane /
   havirnivedane vāpi hīne śāntiṃ samācaret // BhS_27.3 //	haviH nivedane vA api hIne SAntim samAcaret // BhH _27.3 //
   taddaivatyaṃ vaiṣṇavaṃ ca hutvā bhyarcya nivedayet /	tat dEvatyam vEzNavam ca hutvA a Byarcya nivedayet /
   aṅkurārpaṇahīne tu vaiṣṇavaṃ viṣṇusūktakam // BhS_27.4 //	aFkura arpaNa hIne tu vEzNavam vizNu sUktakam // BhH _27.4 //
   puruṣasūktaṃ ca brāhmaṃ ca vyāhṛtīśca hunettathā /	puruzasUktam ca brAhmam ca vyAhRtIH ca hunet taTA /
   punarapyaṅkurān kṛtvā paścātkāryaṃ samācaret // BhS_27.5 //	punar api aFkurAn kRtvA paScAt kAryam samAcaret // BhH _27.5 //
   kṛtvāṃkurārpaṇaṃ paścānnācaretkarma cettataḥ /	kRtvA aMkura arpaNam paScAt na Acaret karma ced tatas /
   rājarāṣṭravināśassyānmahāśāntiṃ samācaret // BhS_27.6 //	rAja rAzwra vinASassyAt mahASAntim samAcaret // BhH _27.6 //
   "kṣama'sveti praṇamyaiva punaraṅkuṃmācaret /	"kzama asva iti praNamya eva punar aFkuMma Acaret /
   akṣyunmeṣāttu pūrvaṃ cetpīṭhasaṃghātakarmaṇi // BhS_27.7 //	akzi unmezAt tu pUrvam ced pIWa saMGAta karmaNi // BhH _27.7 //
   alābhe caiva ratnānāṃ vaiṣṇavaṃ viṣṇusūktakam /	alABe ca eva ratnAnAm vEzNavam vizNu sUktakam /
   sūktaṃ tu pauruṣaṃ brāhmaṃ saumyaṃ caiva tu vyāhṛtiḥ // BhS_27.8 //	sUktam tu pOruzam brAhmam sOmyam ca eva tu vyAhRtiH // BhH _27.8 //
   hutvā suvarṇaṃ bahuśa stattatthsāne vinikṣipet /	hutvA suvarNam bahuSas stat tatTsAne vinikzipet /
   akṣyunmeṣaṇakāle tu gavādīnāmasaṃbhave // BhS_27.9 //	akzi unmezaNa kAle tu gavA AdInAm asaMBave // BhH _27.9 //
   darśanadravyarūpāṇāṃ yathālābhaṃ pragṛhya ca /	darSana dravya rUpANAm yaTAlABam pragRhya ca /
   tattaddravyādhidaivatyaṃ vaiṣṇavaṃ juhuyātkramāt // BhS_27.10 //	tad tad dravya aDidEvatyam vEzNavam juhuyAt kramAt // BhH _27.10 //
   tattaddravyaṃ ca saṃpādya vidhivaddarśayetpunaḥ /	tat tat dravyam ca saMpAdya viDivat darSayet punar /
   akṣyunmeṣaṇahīne vā rāhusaurodaye 'tha vā // BhS_27.11 //	akzi unmezaNa hIne vA rAhu sOra udaye aTa vA // BhH _27.11 //
   andhakecaiva nakṣatre kṛte caivākṣimocane /	anDakeca eva nakzatre kRte ca eva akzi mocane /
   sarvanāśo bhavettasmādvaiṣṇavaṃ viṣṇusūktakam // BhS_27.12 //	sarva nASaH Bavet tasmAt vEzNavam vizNu sUktakam // BhH _27.12 //
   navagrahādimantrāśca hutvākṣyunmīlanaṃ caret /	nava graha Adi mantrAH ca hutvA akzyunmIlanam caret /
   pañcagavyādiṣu dravyeṣvadhivāse vivarjite // BhS_27.13 //	paQcagavya Adizu dravyezu aDivAse vivarjite // BhH _27.13 //
   hutvā vaiṣṇavamārṣañca viṣṇusūktaṃ tathaiva ca /	hutvA vEzNavam ArzaQca vizNu sUktam taTA eva ca /
   jalādhivāsaṃ triyahamekāhaṃ vāpi kālayet // BhS_27.14 //	jala aDivAsam triyaham eka aham vA api kAlayet // BhH _27.14 //
   yajñālaye mahāvedyāṃ kṛtāyāmapramāṇataḥ /	yajQa Alaye mahA vedyAm kRta AyAm apramANataH /
   anyadeśakṛtāyāṃ vā vihīnāyāṃ ca śobhanaiḥ // BhS_27.15 //	anya deSa kRtAyAm vA vihInAyAm ca SoBanEH // BhH _27.15 //
   tattaddeśādhidaivatyaṃ vaiṣṇavaṃ viṣṇusūktakam /	tad tad deSa aDidEvatyam vEzNavam vizNu sUktakam /
   śrībhūdaivatyaṃ ca hutvaiva yathoktaṃ punarācaret // BhS_27.16 //	SrI BU dEvatyam ca hutvA eva yaToktam punar Acaret // BhH _27.16 //
   dhruvaberākṣimokṣānte yadi beraṃ na śodhayet /	Druva bera akzi mokza ante yadi beram na SoDayet /
   viparīte 'pi vā hutvā vaiṣṇavaṃ viṣṇusūktakam // BhS_27.17 //	viparIte api vA hutvA vEzNavam vizNu sUktakam // BhH _27.17 //
   puruṣasūktaṃ raudramārṣaṃ vāruṇaṃ ca punaścaret /	puruzasUktam rOdram Arzam vAruNam ca punar caret /
   agnikuṇḍānyavidhinā kṛtānyālakṣya satvaram // BhS_27.18 //	agnikuNxa ani aviDinA kRtAni Alakzya sa tvaram // BhH _27.18 //
   brāhmaṃ saumyamathāgneyaṃ vidhinā kārayettataḥ /	brAhmam sOmyam aTa Agneyam viDinA kArayet tatas /
   apramāṇeṣu kūrcādiṣvājyapātra sruvādiṣu // BhS_27.19 //	apramANezu kUrca Adizu Ajya pAtra sruva Adizu // BhH _27.19 //
   mindāhutī ca sāvitraṃ vyāhṛtīśca hunedbadhaḥ /	mindA hutI ca sAvitram vyAhRtIH ca hunet baDaH /
   pañcāgniṣu yathāsthānaṃ prokṣaṇollekhane kṛte // BhS_27.20 //	paQca agnizu yaTAsTAnam prokzaNa ulleKane kRte // BhH _27.20 //
   mathitāgnāvalābhe tu prāpya cācāryamandiram /	maTita agnO= alABe tu prApya ca AcArya mandiram /
   atha vā śrotriyāgārādāhṛtyāgniṃ samācaret // BhS_27.21 //	aTa vA Srotriya AgArAt AhRtya agnim samAcaret // BhH _27.21 //
   nidhāya gārhapatyegnimāghāraṃ juhuyādbudhaḥ /	niDAya gArhapatyegnim AGAram juhuyAt buDaH /
   vaiṣṇavaṃ bhūmidaivatyamāgneyaṃ ca hunetkramāt // BhS_27.22 //	vEzNavam BUmi dEvatyam Agneyam ca hunet kramAt // BhH _27.22 //
   tamagniṃ vardhayitvātu dakṣiṇāgnau praṇīya ca /	tam agnim varDayitvA atu dakziNa agnO praNIya ca /
   tata āhavanīyāgnāvāvasadhye tataḥ param // BhS_27.23 //	tatas AhavanIya agnO= AvasaDye tatas param // BhH _27.23 //
   sabhye padmānale caivaṃ kramātpraṇayanaṃ caret /	saBye padma anale ca evam kramAt praNayanam caret /
   viparīte praṇayane tattanmantravivarjite // BhS_27.24 //	viparIte praNayane tad tad mantra vivarjite // BhH _27.24 //
   vaiṣṇavaṃ pāvakaṃ brāhmaṃsaumyaṃ hutvā punaścaret /	vEzNavam pAvakam brAhmaMsOmyam hutvA punar caret /
   tattadagniṣu cāghārātpūrvaṃ teṣāmathāntarā // BhS_27.25 //	tat tad agnizu ca AGArAt pUrvam tezAm aTa antarA // BhH _27.25 //
   nagacchedyadi gacchettu tattaddikpāladaivatam /	naga= Cedya di gacCet tu tat tad dikpAla dEvatam /
   vaiṣṇavaṃ pāvakaṃ ceti prāyaścittaṃ hunaitkramāt // BhS_27.26 //	vEzNavam pAvakam ca iti prAyaScittam hunEtkramAt // BhH _27.26 //
   utpanne mathitāgnau tu śānte tatra pramādataḥ	utpanne maTita agnO tu SAnte tatra pramAdataH
   ādau praṇayanādarvāgathavāgniṣu sarvaśaḥ śāntiṃ yathoditāṃ kuryādagni	AdO praNayanAt arvAk aTavA agnizu sarvaSas SAntim yaTA uditAm kuryAt agni
   sūktaṃ sahasraśaḥ) /	sUktam sahasraSas ) /
   taṇḍulair ekajātīyairdviprasthaiḥ pācayeccarum gavyaṃ ca navanītaṃ ca	taNxulEH eka jAtIyEH dvi prasTEH pAcayet carum gavyam ca navanItam ca
   laukikānalasaṃskṛtam // BhS_27.27 //	lOkika anala saMskRtam // BhH _27.27 //
   saṃskārakāle saṃskuryāttadagniṃ mantravattadā /	saMskAra kAle saMskuryAt tat agnim mantravat tadA /
   ājyasthālyāmatha carau makṣikādiḥ patedyadi // BhS_27.28 //	Ajya sTAlyAm aTa carO makzikA AdiH patet yadi // BhH _27.28 //
   tadvyapohyānyadādāya prājāpatyaṃ ca pāvakam /	tad vyapohya an yat AdAya prAjApatyam ca pAvakam /
   vaiṣṇavaṃ ca hunedājye tvalabdhe nūtane pūnaḥ // BhS_27.29 //	vEzNavam ca hunet Ajye tu alabDe nUtane pUnaH // BhH _27.29 //
   vyapohya doṣaṃ taṃ darbhairuddīpyotpūya cācaret /	vyapohya dozam tam darBEH uddIpya utpUya ca Acaret /
   āghārite 'gnau naṣṭe tu "ayaṃ te yoni' muccaran // BhS_27.30 //	AGArite agnO nazwe tu "ayam te yoni a muccaran // BhH _27.30 //
   āropayecca samidhaṃ tadbhasmani yathārhataḥ /	Aropayet ca samiDam tat Basmani yaTArhataH /
   "udbuddhya'sveti nikṣipya vidhinā laukike 'nale // BhS_27.31 //	"udbudDya asva iti nikzipya viDinA lOkike anale // BhH _27.31 //
   vicchinnaṃ mindāhutī ca vaiṣṇavaṃ vyāhṛtipūrvakam /	vicCinnam mindA AhutI ca vEzNavam vyAhRti pUrvakam /
   paristarādidravyāṇāṃ dāhe bhede 'tha nāśane // BhS_27.32 //	paristara Adi dravyANAm dAhe Bede aTa nASane // BhH _27.32 //
   punastattacca saṃyojya mahāvyāhṛtipūrvakam /	punar tad tat ca saMyojya mahAvyAhRti pUrvakam /
   āgneyaṃ mindāhutī ca vaiṣṇavaṃ ca hunedbudhaḥ // BhS_27.33 //	Agneyam mindA hutI ca vEzNavam ca hunet buDaH // BhH _27.33 //
   pātre 'nukte sruvaṃ pātraṃ gṛhṇīyāddhomakarmaṇi /	pAtre anukte sruvam pAtram gRhNIyAt homa karmaNi /
   havirviśeṣe 'nu ktetu ghṛtaṃ vā saghṛtaṃ caru // BhS_27.34 //	haviH viSeze anu ktetu GRtam vA sa GRtam caru // BhH _27.34 //
   dravye pramāṇahīne tu kāpilena ghṛtena vai /	dravye pramANa hIne tu kApilena GRtena vE /
   vaiṣṇavaṃ viṃśatirhutvā paścātkāryaṃ samācaret // BhS_27.35 //	vEzNavam viMSatiH hutvA paScAt kAryam samAcaret // BhH _27.35 //
   prāyaścittānale 'nukte chullyāṃ nityānale 'pi vā /	prAyaScitta anale anukte CullyAm nitya anale api vA /
   kriyāhīne viparyāse mantrāṇāṃ saṃkare 'pi vā // BhS_27.36 //	kriyA hIne viparyAse mantrANAm saMkare api vA // BhH _27.36 //
   vaiṣṇavaṃ vyāhṛtīścaiva vyāhṛtyantaṃ hunetkramāt /	vEzNavam vyAhRtIH ca eva vyAhRtyantam hunet kramAt /
   puṇyāhahīne puṇyāhamantrān dvādaśaśo japet // BhS_27.37 //	puNya aha hIne puNya aha mantrAn dvAdaSaSas japet // BhH _27.37 //
   vāstuhomavihīne tu tanmantrān daśaśo hunet /	vAstu homa vihIne tu tad mantrAn daSaSas hunet /
   prāyaścittaviśeṣe yadyanukte vaiṣṇavaṃ tataḥ // BhS_27.38 //	prAyaScitta viSeze yadi anukte vEzNavam tatas // BhH _27.38 //
   viṣṇusūktaṃ pauruṣaṃ ca sūktaṃ hutvā samācaret /	vizNu sUktam pOruzam ca sUktam hutvA samAcaret /
   ratnapratinidhī rukmaṃ dhātūnāṃ pāradaṃ tathā // BhS_27.39 //	ratna pratiniDiH rukmam DAtUnAm pAradam taTA // BhH _27.39 //
   bījānāṃ ca yavāḥ proktāḥ pūrvālābhe parassmataḥ /	bIjAnAm ca yavAH proktAH pUrva alABe para ssmataH /
   ratnānāṃ praṇidhiṃ gṛhya vaiṣṇavaṃ viṣṇusūktakam // BhS_27.40 //	ratnAnAm praNiDim gRhya vEzNavam vizNu sUktakam // BhH _27.40 //
   digdaivatyaṃ vaiṣṇavaṃ ca dhātūnāmatha tatparam /	diS dEvatyam vEzNavam ca DAtUnAm aTa tad param /
   bījānāṃ praṇidhiṃ gṛhya vāyavyaṃ vaiṣṇavaṃ tathā // BhS_27.41 //	bIjAnAm praNiDim gRhya vAyavyam vEzNavam taTA // BhH _27.41 //
   hune dviṃśativāraṃ tu pratyekaṃ doṣaśāntaye /	hune dviMSati vAram tu pratyekam doza SAntaye /
   vastrelakṣaṇahīne vā yukte chedādinā tataḥ // BhS_27.42 //	vastrelakzaNa hIne vA yukte Ceda AdinA tatas // BhH _27.42 //
   tattyaktvānyaṃ samāhṛtya śrīdaivatyaṃ ca vaiṣṇavam /	tat tyaktvA anyam samAhRtya SrI dEvatyam ca vEzNavam /
   aṇḍajādidvalabdheṣu vastraṃ pratyekamāharet // BhS_27.43 //	aNxa ja Adi dva labDezu vastram pratyekam Aharet // BhH _27.43 //
   vaiṣṇavaṃ śrībhūdaivatyaṃ hutvā kāryaṃ samācaret /	vEzNavam SrI BU dEvatyam hutvA kAryam samAcaret /
   pramāṇahīneṣu punastoraṇādiṣu cātvaraḥ // BhS_27.44 //	pramANa hInezu punar toraNa Adizu ca atvaraH // BhH _27.44 //
   pṛthagdvārādhidaivatyaṃ juhuyādviṃśatiṃ budhaḥ /	pRTak dvAra aDidEvatyam juhuyAt viMSatim buDaH /
   darbharajjvāṃ vihīnāyāṃ hunaidārṣaṃ ca vaiṣṇavam, // BhS_27.45 //	darBa rajjvAm vihInAyAm hunA EdArzam ca vEzNavam, // BhH _27.45 //
   kuṃbhe pramāṇahīne vā doṣayukte 'pi vā tathā /	kuMBe pramANa hIne vA doza yukte api vA taTA /
   vastrābhyāṃ varṇacihnaiśca hīne nātravaseddhariḥ // BhS_27.46 //	vastrAByAm varNa cihnEH ca hIne na atravaset hariH // BhH _27.46 //
   yatnena tāni nikṣipya vaiṣṇavaṃ viṣṇusūktakam /	yatnena tAni nikzipya vEzNavam vizNu sUktakam /
   puruṣasūktaṃ brāhmaṃ ca munimantrāṃśca pāvakam // BhS_27.47 //	puruzasUktam brAhmam ca muni mantrAn= ca pAvakam // BhH _27.47 //
   juhuyāddaśakṛtvantu viprāṇāṃ bhojanaṃ caret /	juhuyAt daSa kRtvantu viprANAm Bojanam caret /
   ācāryadakṣiṇāndadyātsaphalaṃ bhavati dhruvam // BhS_27.48 //	AcArya dakziNAn dadyAt sa Palam Bavati Druvam // BhH _27.48 //
   bhinne tu sādhite kuṃbhe vaiṣṇapaṃ viṣṇusūktakam /	Binne tu sADite kuMBe vEzNapam vizNu sUktakam /
   puruṣasūktaṃ brāhmamaindramāgneyaṃ cārṣameva ca // BhS_27.49 //	puruzasUktam brAhmam Endram Agneyam ca arzam eva ca // BhH _27.49 //
   hutvā viṃśatikṛtvantu dadyādācāryadakṣiṇām /	hutvA viMSati kRtvantu dadyAt AcArya dakziNAm /
   brāhmaṇān bhojayitvaiva saṃpūjyaiva ca vaiṣmavān // BhS_27.50 //	brAhmaNAn BojayitvA eva saMpUjyA eva ca vEzmavAn // BhH _27.50 //
   anyatkuṃbhaṃ samāhṛtya pūrvavatsādhayedbudhaḥ /	anyat kuMBam samAhRtya pUrvavat sADayet buDaH /
   spṛṣṭe tu sāthite kuṃbhe patitaiḥ kukkuṭādibhiḥ // BhS_27.51 //	spRzwe tu sATite kuMBe patitEH kukkuwa AdiBiH // BhH _27.51 //
   tadvyapohyāryadādāya pūrvavatsādhayettathā /	tat vyapohya arya dAdAya pUrvavat sADayet taTA /
   vaiṣṇavaṃ viṣṇusūktaṃ ca puruṣasūktaṃ tathaiva ca // BhS_27.52 //	vEzNavam vizNu sUktam ca puruzasUktam taTA eva ca // BhH _27.52 //
   brāhmaṃ sauramathāgneyamaṣṭādhikaśataṃ yajet /	brAhmam sOram aTa Agneyam azwa aDika Satam yajet /
   ācāryadakṣiṇāṃ dadyādvaiṣṇavān pūjayedvidhiḥ // BhS_27.53 //	AcArya dakziNAm dadyAt vEzNavAn pUjayet viDiH // BhH _27.53 //
   sparśaduṣṭe tathā bere snapanaṃ śāstrataścaret /	sparSa duzwe taTA bere snapanam SAstrataH caret /
   pūrvoktāṃ niṣkṛtiṃ kṛtvā paścātkāryaṃ samācaret // BhS_27.54 //	pUrva uktAm nizkRtim kRtvA paScAt kAryam samAcaret // BhH _27.54 //
   nruvādīnāmalābhetu sruveṇaiva huneddhaviḥ /	nruvAdInAm alABetu sruveNa eva hunet haviH /
   śvakukkuṭādyaissaṃspṛṣṭe kuṇḍe taṃ taṃ vyapohya ca // BhS_27.55 //	Sva kukkuwa AdyEH saMspRzwe kuNxe tam tam vyapohya ca // BhH _27.55 //
   kuṇḍaṃ tu pūrvavatkṛtvā kṛtvāghāraṃ yathāvidhi /	kuNxam tu pUrvavat kRtvA kRtvA AGAram yaTAviDi /
   āgneyaṃ vaiṣṇavaṃ pañcavāruṇaṃ mūlahomakam // BhS_27.56 //	Agneyam vEzNavam paQca vAruNam mUla homakam // BhH _27.56 //
   śataśo juhuyātkuryādbrāhmaṇānāṃ ca bhojanam /	SataSas juhuyAt kuryAt brAhmaNAnAm ca Bojanam /
   alābhe samidhāṃ kṛhya pālāśīrvaṭasaṃbhavāḥ // BhS_27.57 //	alABe samiDAm kRhya pAlASIH vawa saMBavAH // BhH _27.57 //
   āgneyaṃ vaiṣṇavaṃ brāhmaṃ hutvākāryaṃ samācaret /	Agneyam vEzNavam brAhmam hutvA akAryam samAcaret /
   darbhān kuśānvā samidho māsātītān pragṛhya ca // BhS_27.58 //	darBAn kuSAn vA samiDaH mAsa atItAn pragRhya ca // BhH _27.58 //
   vāruṇaṃ vaiṣṇavaṃ brāhmaṃ saumyamāgneyameva ca /	vAruNam vEzNavam brAhmam sOmyam Agneyam eva ca /
   ādityaṃ juhuyāccaiva doṣa śāntirbhavettathā // BhS_27.59 //	Adityam juhuyAt ca eva doza SAntiH Bavet taTA // BhH _27.59 //
   dadhi kṣīraṃ gṛhītaṃ cedājaṃ māhiṣameva vā /	daDi kzIram gRhItam ced Ajam mAhizam eva vA /
   vaiṣṇavaṃ brāhmamāgneyaṃ sauraṃ ca vyāhṛtīrhunet // BhS_27.60 //	vEzNavam brAhmam Agneyam sOram ca vyAhRtIH hunet // BhH _27.60 //
   anuktadeśādānītā mṛdo vā vālukās tathā /	anukta deSAt AnItAH mRdaH vA vAlukAH taTA /
   agnikuṇḍārthamāhṛtya vāruṇaṃ vaiṣṇave hunet // BhS_27.61 //	agni kuNxa arTam AhRtya vAruNam vEzNave hunet // BhH _27.61 //
   ārdraṃ sadhūmaṃ durgandhaṃ lepayuktaṃ sakaṇṭakam /	Ardram sa DUmam durganDam lepa yuktam sa kaNwakam /
   jantuyuktaṃ kṣipedvahnāvindhanaṃ tatparityajet // BhS_27.62 //	jantu yuktam kzipet vahnO= inDanam tat parityajet // BhH _27.62 //
   anyatprakṣipya cāgneyaṃ vaiṣṇavaṃ vyāhṛtīrhunet /	anyat prakzipya ca Agneyam vEzNavam vyAhRtIH hunet /
   vastrādidravye darbheṣu prapāyāṃ kūṭa eva vā // BhS_27.63 //	vastra Adi dravye darBezu prapAyAm kUwaH eva vA // BhH _27.63 //
   dagdhāyāmagninā brāhmaṃ vaiṣṇavaṃ saurameva ca /	dagDAyAm agninA brAhmam vEzNavam sOram eva ca /
   āgneyaṃ vaiṣṇavamiti pratyekaṃ daśaśo hunet // BhS_27.64 //	Agneyam vEzNavam iti pratyekam daSaSas hunet // BhH _27.64 //
   kalaśanyāsaracanāviparyāne tu vaiṣṇavam /	kalaSa nyAsa racanA viparyAne tu vEzNavam /
   paṅktīśadaivatyaṃ ca hunettataśśāstravadācaret // BhS_27.65 //	paFkti ISa dEvatyam ca hunet tatas SAstra vat Acaret // BhH _27.65 //
   snapane tu viparyāne berasya juhuyādbudhaḥ /	snapane tu viparyAne berasya juhuyAt buDaH /
   pañcavāruṇamantrāṃśca vaiṣṇavaṃ ca yathāvidhi // BhS_27.66 //	paQca vAruNa mantrAn= ca vEzNavam ca yaTAviDi // BhH _27.66 //
   śayane cedviparyāso vaiṣṇavaṃ śrīmahīmanūn /	Sayane ced viparyAsaH vEzNavam SrI mahI manUn /
   kalaśasnānaśayane pratyekaṃ daśaśo hunet // BhS_27.67 //	kalaSa snAna Sayane pratyekam daSaSas hunet // BhH _27.67 //
   hīne vā viparīte vā tatra hautrapraśaṃsane /	hIne vA viparIte vA tatra hOtra praSaMsane /
   brāhmaṃ munīndramantrāṃścahunetpāriṣadāmapi // BhS_27.68 //	brAhmam muni indra mantrAn= cahunet pArizadAm api // BhH _27.68 //
   avāhanādāvarcāyāṃ viparīte vivarjite /	avAhanAt O= arcAyAm viparIte vivarjite /
   vaiṣṇavaṃ viṣṇusūktaṃ ca brāhmaṃ raundraṃ huneddaśa // BhS_27.69 //	vEzNavam vizNu sUktam ca brAhmam rOndram hunet daSa // BhH _27.69 //
   sarveṣāmuktahomānāṃ viparīte vivarjite /	sarvezAm ukta homAnAm viparIte vivarjite /
   padmāgnau vaiṣṇavaṃ viṣṇusūktaṃ sūktaṃ ca pauruṣam // BhS_27.70 //	padma agnO vEzNavam vizNu sUktam sUktam ca pOruzam // BhH _27.70 //
   śayānamuddhareddevamakāle cāpyamantrakam /	SayAnam udDaret devam akAle ca api amantrakam /
   hutvā śrībhūmidaivatyaṃ catuṣkṛtvantu śāyayet // BhS_27.71 //	hutvA SrI BUmi dEvatyam catuzkRtvantu SAyayet // BhH _27.71 //
   hīne cādhyayane sārasvatamaṣṭādhikaṃ śatam /	hIne ca aDyayane sArasvatam azwa aDikam Satam /
   prāyaścittaṃ ca hutvaiva yathāśāstraṃ samācaret // BhS_27.72 //	prAyaScittam ca hutvA eva yaTASAstram samAcaret // BhH _27.72 //
   yathālābhaṃ ca gṛhṇīyādalābhe ṣoḍaśartvijām /	yaTAlABam ca gRhNIyAt alABe zoxaSa RtvijAm /
   tantreṇa kārayetsarvameṣa śāstravidhissmṛtaḥ // BhS_27.73 //	tantreNa kArayet sarvam eza SAstra viDi ssmRtaH // BhH _27.73 //
   pratiṣṭhāyāmutsavevā tathānyacchubhakarmaṇi /	pratizWAyAm utsava ivA taTA anyat SuBa karmaNi /
   kurvatāṃ tu puraścaryāmācāryasya rtvijāṃ tathā // BhS_27.74 //	kurvatAm tu puraScaryAm AcAryasya rtvijAm taTA // BhH _27.74 //
   āsnānāddīkṣitānāṃ tu nāśaucaḥparikīrtitaḥ /	AsnAnAt dIkzitAnAm tu na ASOcaH parikIrtitaH /
   mohādanuṣṭhitāśaucāḥpatantinarake 'śucau // BhS_27.75 //	mohAt anuzWita ASOca aHpatanti narake aSucO // BhH _27.75 //
   gṛhṇīyā tsaṃskṛtāṃstānvā punaranyānathāpi vā /	gRhNIyAH tsaMskRtAn= tAn vA punar anyAn aTA api vA /
   ācārya sthsāpakādīṃstu bhartsanādikamācaran // BhS_27.76 //	AcArya sTsApaka AdIn= tu Bartsana Adikam Acaran // BhH _27.76 //
