   kūrmapurāṇam 1	kUrmapurANam 1
   pulahasya mṛgāḥ putrāḥ sarve vyālāśca daṃṣṭriṇaḥ /	pulahasya mRgAH putrAH sarve vyAlAH ca daMzwriNaH /
   bhūtāḥ piśācāḥ sarpāśca śūkarā hastinastathā // KūrmP_1,18.15 //	BUtAH piSAcAH sarpAH ca SUkarAH hastinaH taTA // KUrmP_1,18.15 //
   anapatyaḥ kratustasmin smṛto vaivasvate 'ntare /	anapatyaH kratuH tasmin smRtaH vEvasvate antare /
   marīceḥ kaśyapaḥ putraḥ svayameva prajāpatiḥ // KūrmP_1,18.16 //	marIceH kaSyapaH putraH svayam eva prajApatiH // KUrmP_1,18.16 //
   bhṛgorapyabhavacchukro daityācāryo mahātapāḥ /	BRgoH api aBavat SukraH dEtya AcAryaH mahA tapAH /
   svādhyāyayoganirato harabhakto mahādyutiḥ // KūrmP_1,18.17 //	svADyAya yoga nirataH hara BaktaH mahA dyutiH // KUrmP_1,18.17 //
   atreḥ patnyo 'bhavan bahvyaḥ sodaryāstāḥ pativratāḥ /	atreH patnyaH aBavan bahvyaH sodaryAH tAH pativratAH /
   kṛśāśvasya tu viprendrā ghṛtācyāmiti me śrutam // KūrmP_1,18.18 //	kRSASvasya tu vipra indrAH GRtAcyAm iti me Srutam // KUrmP_1,18.18 //
   sa tāsu janayāmāsa svastyātreyān mahaujasaḥ /	sa tAsu janayAmAsa svastyAtreyAn mahA ojasaH /
   vedavedāṅganiratāṃstapasā hatakilbiṣān // KūrmP_1,18.19 //	veda vedAFga niratAn= tapasA hata kilbizAn // KUrmP_1,18.19 //
   nāradastu vasiṣṭhāya dadau devīmarundhatīm /	nAradaH tu vasizWAya dadO devIm arunDatIm /
   ūrdhvaretāstatra muniḥ śāpād dakṣasya nāradaḥ // KūrmP_1,18.20 //	UrDvaretAH tatra muniH SApAt dakzasya nAradaH // KUrmP_1,18.20 //
   haryaśveṣu tu naṣṭeṣu māyayā nāradasya tu /	haryaSvezu tu nazwezu mAyayA nAradasya tu /
   śaśāpa nāradaṃ dakṣaḥ krodhasaṃraktalocanaḥ // KūrmP_1,18.21 //	SaSApa nAradam dakzaH kroDa saMrakta locanaH // KUrmP_1,18.21 //
   yasmānmama sutāḥ sarve bhavato māyayā dvija /	yasmAt mama sutAH sarve BavataH mAyayA dvija /
   kṣayaṃ nītāstvaśeṣeṇa nirapatyo bhaviṣyati // KūrmP_1,18.22 //	kzayam nItAH tu aSezeNa nirapatyaH Bavizyati // KUrmP_1,18.22 //
   arundhatyāṃ vasiṣṭhastu śaktimutpādayat sutam /	arunDatyAm vasizWaH tu Saktim utpAdayat sutam /
   śakteḥ parāśaraḥ śrīmān sarvajñastapatāṃ varaḥ // KūrmP_1,18.23 //	SakteH parASaraH SrImAn sarvajQaH tapatAm varaH // KUrmP_1,18.23 //
   ārādhya devadeveśamīśānaṃ tripurāntakam /	ArADya devadeveSam ISAnam tripurAntakam /
   lebhe tvapratimaṃ putraṃ kṛṣṇādvaipāyanaṃ prabhum // KūrmP_1,18.24 //	leBe tu apratimam putram kRzNAt vEpAyanam praBum // KUrmP_1,18.24 //
   dvaipāyanācchrako jajñe bhagavāneva śaṅkaraḥ /	dvEpAyanAt SrakaH jajQe BagavAn eva SaFkaraH /
   aṃśāṃśenāvatīryorvyāṃ svaṃ prāpa paramaṃ padam // KūrmP_1,18.25 //	aMSa aMSena avatIrya urvyAm svam prApa paramam padam // KUrmP_1,18.25 //
   śukasyāpyabhavan putrāḥ pañcātyantatapasvinaḥ /	Sukasya api aBavan putrAH paQca atyanta tapasvinaH /
   bhūriśravāḥ prabhuḥ śaṃbhuḥ kṛṣṇo gauraśca pañcamaḥ /	BUriSravAH praBuH SaMBuH kRzNaH gOraH ca paQcamaH /
   kanyā kīrtimatī caiva yogamātā dhṛtavratā // KūrmP_1,18.26 //	kanyA kIrtimatI ca eva yoga mAtA DRta vratAH // KUrmP_1,18.26 //
   ete 'tra vaṃśyāḥ kathitā brāhmaṇā brahmavādinām /	ete atra vaMSyAH kaTitAH brAhmaNAH brahma vAdinAm /
   ata ūrdhvaṃ nibodhadhvaṃ kaśyapādrājasaṃtatim // KūrmP_1,18.27 //	atas UrDvam niboDaDvam kaSyapAt rAja saMtatim // KUrmP_1,18.27 //
   iti śrīkūrmapurāṇe ṣaṭsāhastryāṃ saṃhitāyāṃ pūrvavibhāge aṣṭādaśo 'dhyāyaḥ	iti SrI kUrmapurANe zawsAhastryAm saMhitAyAm pUrva viBAge azwAdaSaH aDyAyaH
   sūta uvāca	sUtaH uvAca
   aditiḥ suṣuve putramādityaṃ kaśyapāt prabhum /	aditiH suzuve putram Adityam kaSyapAt praBum /
   tasyādityasya caivasīd bhāryāṇāṃ tu catuṣṭayam /	tasya Adityasya ca evasIt BAryANAm tu catuzwayam /
   saṃjñā rājñī prabhā chāyā putrāṃstāsāṃ nibodhata // KūrmP_1,19.1 //	saMjQA rAjQI praBA CAyA putrAn= tAsAm niboData // KUrmP_1,19.1 //
   saṃjñā tvāṣṭrī ca suṣuve sūryānmanumanuttamam /	saMjQA tvAzwrI ca suzuve sUryAt manum anuttamam /
   yamaṃ ca yamunāṃ caiva rājñī raivatameva ca // KūrmP_1,19.2 //	yamam ca yamunAm ca eva rAjQI rEvatam eva ca // KUrmP_1,19.2 //
   prabhā prabhātamādityācchāyā sāvarṇamātmajam /	praBA praBAtam AdityAt CAyA sAvarNam Atmajam /
   śaniṃ ca tapatīṃ caiva viṣṭiṃ caiva yathākramam // KūrmP_1,19.3 //	Sanim ca tapatIm ca eva vizwim ca eva yaTAkramam // KUrmP_1,19.3 //
   manostu prathamasyāsan nava putrāstu saṃyamāḥ /	manoH tu praTamasya Asan nava putrAH tu saMyamAH /
   ikṣvākurnabhagaścaiva dhṛṣṭaḥ śaryātireva ca // KūrmP_1,19.4 //	ikzvAkuH naBagaH ca eva DRzwaH SaryAtiH eva ca // KUrmP_1,19.4 //
   nariṣyantaśca nābhāgo hyariṣṭaḥ kāruṣakastathā /	narizyantaH ca nABAgaH hi arizwaH kAruzakaH taTA /
   pṛṣadhraśca mahātejā navaite śakrasannibhāḥ // KūrmP_1,19.5 //	pRzaDraH ca mahA tejAH navA ete Sakra sanniBAH // KUrmP_1,19.5 //
   ilā jyeṣṭhā variṣṭhā ca somavaṃśavivṛddhaye /	ilA jyezWA varizWA ca soma vaMSa vivRdDaye /
   budhasya gatvā bhavanaṃ somaputreṇa saṃgatā // KūrmP_1,19.6 //	buDasya gatvA Bavanam somaputreNa saMgatAH // KUrmP_1,19.6 //
   asūta saumyajaṃ devī purūravasamuttamam /	asUta sOmya jam devI purUravasam uttamam /
   pitṝṇāṃ tṛptikartāraṃ budhāditi hi naḥ śrutam // KūrmP_1,19.7 //	pitLNAm tRpti kartAram buDAt iti hi naH Srutam // KUrmP_1,19.7 //
   saṃprāpya puṃstvamamalaṃ sudyumna iti viśrutaḥ /	saMprApya puMstvam amalam sudyumnaH iti viSrutaH /
   ilā putratrayaṃ lebhe punaḥ strītvamavindata // KūrmP_1,19.8 //	ilA putra trayam leBe punar strI tvam avindata // KUrmP_1,19.8 //
   utkalaśca gayaścaiva vinatāśvastathaiva ca /	utkalaH ca gayaH ca eva vinatASvaH taTA eva ca /
   sarve te 'pratimaprakhyāḥ prapannāḥ kamalodbhavam // KūrmP_1,19.9 //	sarve te apratima praKyAH prapannAH kamalodBavam // KUrmP_1,19.9 //
   ikṣvākoścābhavad vīro vikukṣirnāma pārthivaḥ /	ikzvAkoH ca aBavat vIraH vikukziH nAma pArTivaH /
   jyeṣṭhaḥ putraśatasyāpi daśa pañca ca tatsutāḥ // KūrmP_1,19.10 //	jyezWaH putra Satasya api daSa paQca ca tad sutAH // KUrmP_1,19.10 //
   teṣāñjyeṣṭhaḥ kakutstho 'bhūt kākutstho hi suyodhanaḥ /	tezAn jyezWaH kakutsTaH aBUt kAkutsTaH hi suyoDanaH /
   suyodhanāt pṛthuḥ śrīmān viśvakaśca pṛthoḥ sutaḥ // KūrmP_1,19.11 //	suyoDanAt pRTuH SrImAn viSvakaH ca pRToH sutaH // KUrmP_1,19.11 //
   viśvakādārdrako dhīmān yuvanāśvastu tatsutaḥ /	viSvakAt ArdrakaH DImAn yuvanASvaH tu tad sutaH /
   sa gokarṇamanuprāpya yuvanāśvaḥ pratāpavān // KūrmP_1,19.12 //	sa gokarNam anuprApya yuvanASvaH pratApavAn // KUrmP_1,19.12 //
   dṛṣṭvā tu gautamaṃ vipraṃ tapantamanalaprabham /	dRzwvA tu gOtamam vipram tapantam anala praBam /
   praṇamya daṇḍavad bhūmau putrakāmo mahīpatiḥ /	praNamya daNxa vat BUmO putra kAmaH mahIpatiH /
   apṛcchat karmaṇā kena dhārmikaṃ prāpnuyāt sutam // KūrmP_1,19.13 //	apRcCat karmaNA kena DArmikam prApnuyAt sutam // KUrmP_1,19.13 //
   gautama uvāca	gOtamaH uvAca
   ārādhya pūrvapuruṣaṃ nārāyaṇamanāmayam /	ArADya pUrva puruzam nArAyaNam anAmayam /
   anādinidhanaṃ devaṃ dhārmikaṃ prāpnuyāt sutam // KūrmP_1,19.14 //	anAdiniDanam devam DArmikam prApnuyAt sutam // KUrmP_1,19.14 //
   yasya putraḥ svayaṃ brahmā pautraḥ syānnīlalohitaḥ /	yasya putraH svayam brahmA pOtraH syAt nIlalohitaH /
   tamādikṛṣṇamīśānamārādhyāpnoti satsutam // KūrmP_1,19.15 //	tam Adi kRzNam ISAnam ArADyApnoti sat sutam // KUrmP_1,19.15 //
   na yasya bhagavān brahmā prabhāvaṃ vetti tattvataḥ /	na yasya BagavAn brahmA praBAvam vetti tattvataH /
   tamārādhya hṛṣīkeśaṃ prāpnuyāddhārmikaṃ sutam // KūrmP_1,19.16 //	tam ArADya hRzIkeSam prApnuyAt DArmikam sutam // KUrmP_1,19.16 //
   sa gautamavacaḥ śrutvā yuvanāśvo mahīpatiḥ /	sa gOtama vacaH SrutvA yuvanASvaH mahIpatiH /
   ārādhayanmahāyogaṃ vāsudevaṃ sanātanam // KūrmP_1,19.17 //	ArADayat mahA yogam vAsudevam sanAtanam // KUrmP_1,19.17 //
   tasya putro 'bhavad vīraḥ śrāvastiriti viśrutaḥ /	tasya putraH aBavat vIraH SrAvastiH iti viSrutaH /
   nirmitā yena śrāvastirgauḍadeśe mahāpurī // KūrmP_1,19.18 //	nirmitA yena SrAvastiH gOxa deSe mahA purI // KUrmP_1,19.18 //
   tasmācca bṛhadaśvo 'bhūt tasmāt kuvalayāśvakaḥ /	tasmAt ca bRhadaSvaH aBUt tasmAt kuvalaya aSvakaH /
   dhundhumāratvamagamad dhundhuṃ hatvā mahāsuram // KūrmP_1,19.19 //	DunDumAra tvam agamat DunDum hatvA mahA asuram // KUrmP_1,19.19 //
   dhundhumārasya tanayāstrayaḥ proktā dvijottamāḥ /	DunDumArasya tanayAH trayaH proktAH dvijottamAH /
   dṛḍhāśvaścaiva daṇḍāśvaḥ kapilāśvastathaiva ca // KūrmP_1,19.20 //	dRXASvaH ca eva daNxa aSvaH kapilASvaH taTA eva ca // KUrmP_1,19.20 //
   dṛḍhāśvasya pramodastu haryaśvastasya cātmajaḥ /	dRXASvasya pramodaH tu haryaSvaH tasya ca AtmajaH /
   haryaśvasya nikumbhastu nikumbhāt saṃhatāśvakaḥ // KūrmP_1,19.21 //	haryaSvasya nikumBaH tu nikumBAt saMhata aSvakaH // KUrmP_1,19.21 //
   kṛśāśvaśca raṇāśvaśca saṃhatāśvasya vai sutau /	kRSASvaH ca raNASvaH ca saMhatASvasya vE sutO /
   yuvanāśvo raṇāśvasya śakratulyabalo yudhi // KūrmP_1,19.22 //	yuvanASvaH raNASvasya Sakra tulya balaH yuDi // KUrmP_1,19.22 //
   kṛtvā tu vāruṇīmiṣṭimṛṣīṇāṃ vai prasādataḥ /	kRtvA tu vAruNIm izwim RzINAm vE prasAdataH /
   lebhe tvapratimaṃ putraṃ viṣṇubhaktamanuttamam /	leBe tu apratimam putram vizNu Baktam anuttamam /
   māndhātāraṃ mahāprājñaṃ sarvaśastrabhṛtāṃ varam // KūrmP_1,19.23 //	mAnDAtAram mahA prAjQam sarva SastraBRtAm varam // KUrmP_1,19.23 //
   māndhātuḥ purukutso 'bhūdambarīṣaśca vīryavān /	mAnDAtuH purukutsaH aBUt ambarIzaH ca vIryavAn /
   mucukundaśca puṇyātmā sarve śakrasamā yudhi // KūrmP_1,19.24 //	mucukundaH ca puNya AtmA sarve Sakra samAH yuDi // KUrmP_1,19.24 //
   ambarīṣasya dāyādo yuvanāśvo 'paraḥ smṛtaḥ /	ambarIzasya dAyAdaH yuvanASvaH aparaH smRtaH /
   harito yuvanāśvasya hāritastatsuto 'bhavat // KūrmP_1,19.25 //	haritaH yuvanASvasya hAritaH tad sutaH aBavat // KUrmP_1,19.25 //
   purukutsasya dāyādastrasadasyurmahāyaśāḥ /	purukutsasya dAyAdaH trasadasyuH mahA yaSAH /
   narmadāyāṃ samutpannaḥ saṃbhūtistatsuto 'bhavat // KūrmP_1,19.26 //	narmadAyAm samutpannaH saMBUtiH tad sutaH aBavat // KUrmP_1,19.26 //
   viṣṇuvṛddhaḥ sutastasya tvanaraṇyo 'bhavat paraḥ /	vizNuvRdDaH sutaH tasya tu anaraNyaH aBavat paraH /
   bṛhadaśavo 'naraṇyasya haryaśvastatsuto 'bhavat // KūrmP_1,19.27 //	bRhadaSavaH anaraNyasya haryaSvaH tad sutaH aBavat // KUrmP_1,19.27 //
   so 'tīva dhārmiko rājā kardamasya prajāpateḥ /	saH atIva DArmikaH rAjA kardamasya prajApateH /
   prasādāddhārmikaṃ putraṃ lebhe sūryaparāyaṇam // KūrmP_1,19.28 //	prasAdAt DArmikam putram leBe sUrya parAyaNam // KUrmP_1,19.28 //
   sa tu sūryaṃ samabhyarcya rājā vasumanāḥ śubham /	sa tu sUryam samaByarcya rAjA vasumanAH SuBam /
   lebhe tvapratimaṃ putraṃ tridhanvānamarindamam // KūrmP_1,19.29 //	leBe tu apratimam putram triDanvAnam arindamam // KUrmP_1,19.29 //
   ayajaccāśvamedhena śatrūn jitvā dvijottamāḥ /	ayajat ca aSvameDena SatrUn jitvA dvijottamAH /
   svādhyāyavān dānaśīlastitikṣurdharmatatparaḥ // KūrmP_1,19.30 //	svADyAyavAn dAna SIlaH titikzuH Darma tatparaH // KUrmP_1,19.30 //
   ṛṣayastu samājagmuryajñavāṭaṃ mahātmanaḥ /	RzayaH tu samAjagmuH yajQa vAwam mahAtmanaH /
   vasiṣṭhakaśyapamukhā devāścendrapurogamāḥ // KūrmP_1,19.31 //	vasizWa kaSyapa muKAH devAH ca indra purogamAH // KUrmP_1,19.31 //
   tān praṇamya mahārājaḥ papraccha vinayānvitaḥ /	tAn praNamya mahA rAjaH papracCa vinaya anvitaH /
   samāpya vidhivad yajñaṃ vasiṣṭhādīn dvijottamān // KūrmP_1,19.32 //	samApya viDivat yajQam vasizWa AdIn dvijottamAn // KUrmP_1,19.32 //
   vasumanā uvāca	vasumanAH uvAca
   kiṃsviccheyaskarataraṃ loke 'smin brāhmaṇarṣabhāḥ /	kiMsvicCeyaskarataram loke asmin brAhmaNa RzaBAH /
   yajñastapo vā saṃnyāso brūta me sarvavedinaḥ // KūrmP_1,19.33 //	yajQaH tapaH vA saMnyAsaH brUta me sarva vedinaH // KUrmP_1,19.33 //
   vasiṣṭha uvāca	vasizWaH uvAca
   adhītya vedān vidhivat putrānutpādya dharmataḥ /	aDItya vedAn viDivat putrAn utpAdya DarmataH /
   iṣṭvā yajñeśvaraṃ yajñair gaccheda vanamathātmavān // KūrmP_1,19.34 //	izwvA yajQeSvaram yajQEH gacCeda vanam aTa AtmavAn // KUrmP_1,19.34 //
   pulastya uvāca	pulastyaH uvAca
   ārādhya tapasā devaṃ yoginaṃ parameṣṭhinam /	ArADya tapasA devam yoginam paramezWinam /
   pravrajed vidhivad yajñairiṣṭvā pūrvaṃ surottamān // KūrmP_1,19.35 //	pravrajet viDivat yajQEH izwvA pUrvam sura uttamAn // KUrmP_1,19.35 //
   pulaha uvāca	pulahaH uvAca
   yamāhurekaṃ puruṣaṃ purāṇaṃ parameśvaram /	yam AhuH ekam puruzam purANam parameSvaram /
   tamārādhya sahastrāṃśuṃ tapasā mokṣamāpnuyāt // KūrmP_1,19.36 //	tam ArADya sa hastrAMSum tapasA mokzam ApnuyAt // KUrmP_1,19.36 //
   jamadagniruvāca	jamadagniH uvAca
   ajasya nābhāvadhyekamīśvareṇa samarpitam /	ajasya nABO= aDi ekam ISvareNa samarpitam /
   bījaṃ bhagavatā yena sa devastapasejyate // KūrmP_1,19.37 //	bIjam BagavatA yena sa devaH tapasA ijyate // KUrmP_1,19.37 //
   viśvāmitra uvāca	viSvAmitraH uvAca
   yo 'gniḥ sarvātmako 'nantaḥ svayaṃbhūrviśvatomukhaḥ /	yaH agniH sarva AtmakaH anantaH svayaMBUH viSvatomuKaH /
   sa rudrastapasogreṇa pūjyate netarairmakhaiḥ // KūrmP_1,19.38 //	sa rudraH tapasA ugreNa pUjyate na itarEH maKEH // KUrmP_1,19.38 //
   bharadvāja uvāca	BaradvAjaH uvAca
   yo yajñairijyate devo jātavedāḥ sanātanaḥ /	yaH yajQEH ijyate devaH jAtavedAH sanAtanaH /
   sa sarvadaivatatanuḥ pūjyate tapaseśvaraḥ // KūrmP_1,19.39 //	sa sarva dEvata tanuH pUjyate tapasA ISvaraH // KUrmP_1,19.39 //
   atriruvāca	atriH uvAca
   yataḥ sarvamidaṃ jātaṃ yasyāpatyaṃ prajāpatiḥ /	yatas sarvam idam jAtam yasya apatyam prajApatiH /
   tapaḥ sumahadāsthāya pūjyate sa maheśvaraḥ // KūrmP_1,19.40 //	tapaH su mahat AsTAya pUjyate sa maheSvaraH // KUrmP_1,19.40 //
   gautama uvāca	gOtamaH uvAca
   yataḥ pradhānapuruṣau yasya śaktimayaṃ jagat /	yatas praDAna puruzO yasya Sakti mayam jagat /
   sa devadevastapasā pūjanīyaḥ sanātanaḥ // KūrmP_1,19.41 //	sa devadevaH tapasA pUjanIyaH sanAtanaH // KUrmP_1,19.41 //
   kaśyapa uvāca	kaSyapaH uvAca
   sahastranayano devaḥ sākṣī sa tu prajāpatiḥ /	sa hastra nayanaH devaH sAkzI sa tu prajApatiH /
   prasīdati mahāyogī pūjitastapasā paraḥ // KūrmP_1,19.42 //	prasIdati mahA yogI pUjitaH tapasA paraH // KUrmP_1,19.42 //
   kraturuvāca	kratuH uvAca
   prāptādhyayanayajñas labdhaputrasya caiva hi /	prApta aDyayana yajQaH labDa putrasya ca eva hi /
   nāntareṇa tapaḥ kaściddharmaḥ śāstreṣu dṛśyate // KūrmP_1,19.43 //	na antareNa tapaH kaScid DarmaH SAstrezu dRSyate // KUrmP_1,19.43 //
   ityākarṇya sa rājarṣistān praṇamyātihṛṣṭadhīḥ /	iti AkarNya sa rAjarziH tAn praNamya ati hRzwa DIH /
   visarjayitvā saṃpūjya tridhanvānamathābravīt // KūrmP_1,19.44 //	visarjayitvA saMpUjya triDanvAnam aTa abravIt // KUrmP_1,19.44 //
   ārādhayiṣye tapasā devamekākṣarāhvayam /	ArADayizye tapasA devam ekAkzara Ahvayam /
   prāṇaṃ bṛhantaṃ puruṣamādityāntarasaṃsthitam // KūrmP_1,19.45 //	prANam bRhantam puruzam Aditya antara saMsTitam // KUrmP_1,19.45 //
   tvaṃ tu dharmarato nityaṃ pālayaitadatandritaḥ /	tvam tu Darma rataH nityam pAlaya etat atandritaH /
   cāturvarṇyasamāyuktamaśeṣaṃ kṣitimaṇḍalam // KūrmP_1,19.46 //	cAturvarNya samAyuktam aSezam kziti maNxalam // KUrmP_1,19.46 //
   evamuktvā sa tadrājyaṃ nidhāyātmabhave nṛpaḥ /	evam uktvA sa tat rAjyam niDAya AtmaBave nRpaH /
   jagāmāraṇyamanaghastapaścartumanuttamam // KūrmP_1,19.47 //	jagAma araNyam anaGaH tapaH cartum anuttamam // KUrmP_1,19.47 //
   himavacchikhare ramye devadāruvane śubhe /	himavat SiKare ramye devadAru vane SuBe /
   kandamūlaphalāhāro munyannairayajat surān // KūrmP_1,19.48 //	kanda mUla Pala AhAraH muni annEH ayajat surAn // KUrmP_1,19.48 //
   saṃvatsaraśataṃ sāgraṃ taponirdhūtakalmaṣaḥ /	saMvatsara Satam sAgram tapaH nirDUta kalmazaH /
   jajāpa manasā devīṃ sāvitrariṃ vedamātaram // KūrmP_1,19.49 //	jajApa manasA devIm sAvitrarim vedamAtaram // KUrmP_1,19.49 //
   tasyaivaṃ japato devaḥ svayaṃbhūḥ parameśvaraḥ /	tasya evam japataH devaH svayaMBUH parameSvaraH /
   hiraṇyagarbho viśvātmā taṃ deśamagamat svayam // KūrmP_1,19.50 //	hiraNyagarBaH viSvAtmA tam deSam agamat svayam // KUrmP_1,19.50 //
   dṛṣṭvā devaṃ samāyāntaṃ brahmāṇaṃ viśvatomukham /	dRzwvA devam samAyAntam brahmANam viSvatomuKam /
   nanāma śirasā tasya pādayornāma kīrtayan // KūrmP_1,19.51 //	nanAma SirasA tasya pAdayoH nAma kIrtayan // KUrmP_1,19.51 //
   namo devādhidevāya brahmaṇe paramātmane /	namaH deva aDidevAya brahmaNe paramAtmane /
   hirṇyamūrtaye tubhyaṃ sahastrākṣāya vedhase // KūrmP_1,19.52 //	hirNya mUrtaye tuByam sa hastrAkzAya veDase // KUrmP_1,19.52 //
   namo dhātre vidhātre ca namo vedātmamūrtaye /	namaH DAtre viDAtre ca namaH veda Atma mUrtaye /
   sāṃkhyayogādhigamyāya namaste jñānamūrtaye // KūrmP_1,19.53 //	sAMKya yoga aDigamyAya namaH te jQAna mUrtaye // KUrmP_1,19.53 //
   namastrimūrtaye tubhyaṃ straṣṭre sarvārthavedine /	namaH trimUrtaye tuByam strazwre sarva arTa vedine /
   puruṣāya purāṇāya yogināṃ gurave namaḥ // KūrmP_1,19.54 //	puruzAya purANAya yoginAm gurave namaH // KUrmP_1,19.54 //
   tataḥ prasanno bhagavān viriñco viśvabhāvanaḥ /	tatas prasannaH BagavAn viriQcaH viSvaBAvanaH /
   varaṃ varaya bhadraṃ te varado 'smītyabhāṣata // KūrmP_1,19.55 //	varam varaya Badram te vara daH asmi iti aBAzata // KUrmP_1,19.55 //
   rājovāca	rAjA uvAca
   japeyaṃ devadeveśa gāyatrīṃ vedamātaram /	japeyam devadeveSa gAyatrIm vedamAtaram /
   bhūyo varṣaśataṃ sāgraṃ tāvadāyurbhavenmama // KūrmP_1,19.56 //	BUyas varza Satam sAgram tAvat AyuH Bavet mama // KUrmP_1,19.56 //
   bāḍhamityāha viśvātmā samālokya narādhipam /	bAXam iti Aha viSvAtmA samAlokya narADipam /
   spṛṣṭvā karābhyāṃ suprītastatraivāntaradhīyata // KūrmP_1,19.57 //	spRzwvA karAByAm su prItaH tatra eva antaraDIyata // KUrmP_1,19.57 //
   so 'pi labdhavaraḥ śrīmān jajāpātiprasannadhīḥ /	saH api labDa varaH SrImAn jajApa ati prasanna DIH /
   śāntastriṣavaṇasnāyī kandamūlaphalāśanaḥ // KūrmP_1,19.58 //	SAntaH trizavaNa snAyI kanda mUla Pala aSanaH // KUrmP_1,19.58 //
   tasya pūrṇe varṣaśate bhagavānugradīdhitiḥ /	tasya pUrNe varza Sate BagavAn ugra dIDitiH /
   prādurāsīnmahāyogī bhānormaṇḍalamadhyataḥ // KūrmP_1,19.59 //	prAdurAsIt mahA yogI BAnoH maNxala maDyatas // KUrmP_1,19.59 //
   taṃ dṛṣṭvā vedaviduṣaṃ maṇḍalasthaṃ sanātanam /	tam dRzwvA veda viduzam maNxala sTam sanAtanam /
   svayaṃbhuvamanādyantaṃ brahmāṇaṃ vismayaṃ gataḥ // KūrmP_1,19.60 //	svayaMBuvam anAdyantam brahmANam vismayam gataH // KUrmP_1,19.60 //
   tuṣṭāva vaidikairmantraiḥ sāvitryā ca viśeṣataḥ /	tuzwAva vEdikEH mantrEH sAvitryA ca viSezataH /
   kṣaṇādapaśyat puruṣaṃ tameva parameśvaram // KūrmP_1,19.61 //	kzaNAt apaSyat puruzam tam eva parameSvaram // KUrmP_1,19.61 //
   caturmukhaṃ jaṭāmaulimaṣṭahastaṃ trilocanam /	caturmuKam jawA mOlim azwa hastam trilocanam /
   candrāvayavalakṣamāṇaṃ naranārītanuṃ haram // KūrmP_1,19.62 //	candra avayava lakzamANam nara nArI tanum haram // KUrmP_1,19.62 //
   bhāsayantaṃ jagat kṛtsnaṃ nīlakaṇṭhaṃ svaraśmibhiḥ /	BAsayantam jagat kRtsnam nIlakaNWam sva raSmiBiH /
   raktāmbaradharaṃ raktaṃ raktamālyānulepanam // KūrmP_1,19.63 //	rakta ambara Daram raktam rakta mAlya anulepanam // KUrmP_1,19.63 //
   tadbhāvabhāvito dṛṣṭvā sadbhāvena pareṇa hi /	tad BAva BAvitaH dRzwvA sadBAvena pareNa hi /
   nanāma śirasā rudraṃ sāvitryānena caiva hi // KūrmP_1,19.64 //	nanAma SirasA rudram sAvitryAnena ca eva hi // KUrmP_1,19.64 //
   namaste nīlakaṇṭhāya bhāsvate parameṣṭhine /	namaH te nIlakaNWAya BAsvate paramezWine /
   trayīmayāya rudrāya kālarūpāya hetave // KūrmP_1,19.65 //	trayI mayAya rudrAya kAla rUpAya hetave // KUrmP_1,19.65 //
   tadā prāha mahādevo rājānaṃ prītamānasaḥ /	tadA prAha mahAdevaH rAjAnam prIta mAnasaH /
   imāni me rahasyāni nāmāni śṛṇu cānagha // KūrmP_1,19.66 //	imAni me rahasyAni nAmAni SRNu ca anaGaH // KUrmP_1,19.66 //
   sarvavedeṣu gītāni saṃsāraśamanāni tu /	sarva vedezu gItAni saMsAra SamanAni tu /
   namaskuruṣva nṛpate ebhirmāṃ satataṃ śuciḥ // KūrmP_1,19.67 //	namaskuruzva nRpate eBiH mAm satatam SuciH // KUrmP_1,19.67 //
   adhyāyaṃ śatarudrīyaṃ yajuṣāṃ sāramuddhṛtam /	aDyAyam SatarudrIyam yajuzAm sAram udDRtam /
   japasvānanyacetasko mayyāsaktamanā nṛpa // KūrmP_1,19.68 //	japasva ananya cetaskaH mayi Asakta manAH nRpa // KUrmP_1,19.68 //
   brahmacārī mitāhāro bhasmaniṣṭhaḥ samāhitaḥ /	brahmacArI mita AhAraH Basma nizWaH samAhitaH /
   japedāmaraṇād rudraṃ sa yāti paramaṃ padam // KūrmP_1,19.69 //	japet AmaraNAt rudram sa yAti paramam padam // KUrmP_1,19.69 //
   ityuktvā bhagavān rudro bhaktānugrahakāmyayā /	iti uktvA BagavAn rudraH Bakta anugraha kAmyayA /
   punaḥ saṃvatsaraśataṃ rājñe hyāyurakalpayat // KūrmP_1,19.70 //	punar saMvatsara Satam rAjQe hi AyuH akalpayat // KUrmP_1,19.70 //
   dattvāsmai tat paraṃ jñānaṃ vairāgyaṃ parameśvaraḥ /	dattvA asmE tat param jQAnam vErAgyam parameSvaraH /
   kṣaṇādantardadhe rudrastadadbhutamivābhavat // KūrmP_1,19.71 //	kzaNAt antardaDe rudraH tat adButam iva aBavat // KUrmP_1,19.71 //
   rājāpi tapasā rudraṃ jajāpānanyamānasaḥ /	rAjA api tapasA rudram jajApa ananya mAnasaH /
   bhasmacchannastriṣavaṇaṃ snātvā śāntaḥ samāhitaḥ // KūrmP_1,19.72 //	Basma= CannaH trizavaNam snAtvA SAntaH samAhitaH // KUrmP_1,19.72 //
   japatastasya nṛpateḥ pūrṇe varṣaśate punaḥ /	japataH tasya nRpateH pUrNe varza Sate punar /
   yogapravṛttirabhavat kālāt kālātmakaṃ param // KūrmP_1,19.73 //	yoga pravRttiH aBavat kAlAt kAla Atmakam param // KUrmP_1,19.73 //
