   atha pañcamaṃ pūraṇam	aTa paQcamam pUraNam
   tasmāt tarhi na kevalāḥ sukhamayā vādya-svanās tāṃ purīm	tasmAt tarhi na kevalAH suKa-mayAH vAdya--svanAH tAm purIm
   āptāḥ kintu janāś ca kecid iha ye tad yaugapadyaṃ yayuḥ ||GC_2,5.52||	AptAH kintu janAH ca kecid iha ye tat yOgapadyam yayuH ||GC_2,5.52||
   (śārdūla)	(SArdUla)
   [59] tataś ca mṛta-priyatayānanusaṃhita-saṃhanana-kriyatām āpannāḥ	[59] tatas ca mRta-priya-tayA-ananu-saMhita--saMhanana--kriyatAm ApannAH
   kaṃsādi-striyas tatrāgatya gaty-antara-rahitāḥ sva-sva-paty-aṅgam āśliṣya	kaMsa-Adi--striyaH tatra-Agatya gati--antara--rahitAH sva-sva-pati--aFgam ASlizya
   dviṣyamāṇa-nija-prānā rodanaṃ	dvizyamANa--nija--prAnA rodanam
   kurvāṇā rodanaṃ vijahus tathā tan mātaraś ca kātaratām avāpuḥ | tatra ca-	kurvANA rodanam vijahuH taTA tat mAtaraH ca kAtara-tAm avApuH | tatra ca-
   cihnāni dayita-ghnāni nihnuvānāḥ purābhavan |	cihnAni dayita--GnAni nihnuvAnAH purA-aBavan |
   kaṃsa-striyaḥ śugārtyā tad vyaktyāmārjan hriyaṃ hareḥ ||GC_2,5.53||	kaMsa--striyaH SugArtyA tat vyaktyAm-Arjan hriyam hareH ||GC_2,5.53||
   (anuṣṭubh)	(anuzwuB)
   tathāpi-	taTA-api-
   rodanaṃ sapadi rodanaṃ tathā	rodanam sapadi rodanam taTA
   tan niśamya ca niśāmya cājitaḥ |	tat niSamya ca niSAmya ca-ajitaH |
   svaṃ sa-tāpam avamatya satya-kṛt	svam sa-tApam avamatya satya-kRt-
   tāḥ sa-sāntvam abhito'py asāntvayat ||GC_2,5.54|| (rathoddhatā)	tAH sa--sAntvam aBitas-api asAntvayat ||GC_2,5.54|| (raTa-udDatA)
   sāntvayann apy amūḥ kṛṣṇo na vipade sva-sāntvanam |	sAntvayan api amUH kRzNaH na vipade sva--sAntvanam |
   iti tatra niyujyānyān ninyus taṃ yadavaḥ puram ||GC_2,5.55|| (anuṣṭubh)	iti tatra niyujya-anyAt ninyuH tam yat-avaH puram ||GC_2,5.55|| (anuzwuB)
   [60] yatra ca puryantar-upaplavaṃ vyājam ācaritavantaḥ | yadā cākrūraṃ	[60] yatra ca puryantar--upaplavam vyAjam AcaritavantaH | yadA ca-akrUram
   sva-gṛhāya ninīṣantaṃ niṣidhyan nīti-vidhy-agraṇir nijāvaraja-gṛham eva	sva--gRhAya ninIzantam niziDyan nIti-viDy-agraNiH nija-avaraja--gRham eva
   vraja-rājaḥ sāgrajaṃ taṃ nināya, upaveśayāmāsa ca; yathā-	vraja-rAjaH sAgrajam tam ninAya, upaveSayAmAsa ca; yaTA-
   madhye kṛṣṇaṃ rāmam apy atra kṛtvā	maDye kRzNam rAmam api atra kRtvA
   pārśva-dvandve śauri-nandāvabhūtām |	pArSva-dvandve SOri-nandO=-aBUtAm |
   agre vyagrā yādava-prāgrya-lokās	agre vyagrA yAdava--prAgrya--lokAH-
   te saṅgataṃ suṣṭhu sammardam āpuḥ ||GC_2,5.56|| (anuṣṭubh)	te saFgatam suzWu sammardam ApuH ||GC_2,5.56|| (anuzwuB)
   dvayaṃ tan-melanāyāsīd aśeṣāṇāṃ tad-agrataḥ |	dvayam tan--melanAya-AsIt aSezANAm tad--agratas |
   jyāyasāṃ gopa-bhū-bhartā gāndineyaḥ kanīyasām ||GC_2,5.57|| (anuṣṭubh)	jyAyasAm gopa-BU-BartA gAndineyaH kanIyasAm ||GC_2,5.57|| (anuzwuB)
   [61] atha taṃ kaṃsa-dārādi-rodanaṃ santānataḥ santaptam eva santaṃ	[61] aTa tam kaMsa--dAra-Adi--rodanam santAnataH santaptam eva santam
   śrīmantaṃ	SrImantam
   putrāparādha-rāhu-kalita-mukha-vidhu-śri-rāhukaḥ saṅgatya	putra-aparADa--rAhu--kalita-muKa--viDu--Sri-rAhukaH saFgatya
   gaty-antara-rahitaḥ sva-	gati--antara--rahitaH sva--
   hita-sahitaḥ kanaka-daṇḍa-lakṣita-kṣitipa-maṇḍana-maṇdalam agrato nidhāya	hita--sahitaH kanaka--daNxa-lakzita--kziti-pa-maNxana--maNdalam agratas niDAya
   mūrdhānam avāgraṃ vidhāya tasthau |	mUrDAnam avAgram viDAya tasTO |
   [62] taṃ punar avadhāya śrīman-nanda-sahitānakadundubhir uttasthau |	[62] tam punar avaDAya SrIman-nanda--sahita-AnakadunduBiH uttasTO |
   utthitayoś ca tayo rāma-rāmānujāv api tādṛg-avasthau babhūvatur	utTitayoH ca tayoH rAma-rAma-anujO api tAdRS--avasTO baBUvatuH-
   anubabhūvatuś ca so'yam iti | anubhūya ca vidūya bhūya-sādareṇa sambhūya	anubaBUvatuH ca saH-ayam iti | anuBUya ca vidUya BUya--sA-AdareNa samBUya
   dareṇa dhūyamānam amūm ugrasena-nāmānaṃ praṇāma-puraḥsaratayā purata eva	dareNa DUyamAnam amUm ugrasena--nAmAnam praNAma--puraHsara-tayA puratas eva
   niveśanayā puraś cakratuḥ |	niveSanayA puras cakratuH |
   [63] sa tu suta-sutatāparādha-sambādha-saṅkocataḥ śocann idam avocata,-	[63] sa tu suta--suta-tA-parADa--sambADa--saFkocataH Socan idam avocata,-
   yadyapi mantu-vidhātuḥ	yadi-api mantu-viDAtuH
   svajanaḥ sujane'bhidhātum arhen na |	sva-janaH su-jane-aBiDAtum arhet na |
   tarhy apy ananya-gatitā	tarhi api ananya--gati-tA
   balavaty etaṃ pralāpayati ||GC_2,5.58|| (āryā)	balavatI etam pralApayati ||GS_2,5.58|| (AryA)
   [64] śrī-kṛṣṇa uvāca,- kāmam ādiśyatām |	[64] SrI--kRzNaH uvAca, kAmam AdiSyatAm |
   [65] ugrasena uvāca,-	[65] ugrasenaH uvAca,-
   sa evādhipatir bhūmyāṃ yas tāmasa-vināśanaḥ |	saH eva-aDipatiH BUmyAm yaH tAmasa--vinASanaH |
   vidhvasta-śārvarād bhānor anyaḥ kaḥ syād aharpatiḥ ? ||GC_2,5.59||	viDvasta--SArvarAt BAnoH anyaH kaH syAt aharpatiH ? ||GC_2,5.59||
   (anuṣṭubh)	(anuzwuB)
   vṛddho yaḥ sa tu vṛddhānām eva vartmānuvartatām |	vRdDaH yaH sa tu vRdDAnAm eva vartma-anuvartatAm |
   akula-kāla-javagaḥ kaḥ kuryāt pratikūlatām ? ||GC_2,5.60|| (anuṣṭubh)	akula-kAla-java-gaH kaH kuryAt pratikUla-tAm ? ||GC_2,5.60|| (anuzwuB)
   [66] tasmād idaṃ chatrādikaṃ svena satrā kriyatām iti |	[66] tasmAt idam Catra-Adikam svena satrA kriyatAm iti |
   [67] śrī-kṛṣṇa uvāca,- rājaṃs tava tanūjasya mad-vihita-vināśanatā sarvair	[67] SrI--kRzNaH uvAca, rAjan tava tanUjasya mad--vihita--vinASana-tA sarvEH-
   eva niśāmitā | katham iva tām anyathayāni ? kintu mama tan nāśanatāyām	eva niSA-mitAH | kaTam iva tAm anyaTayAni ? kintu mama tat na-aSanatAyAm
   upalakṣaṇatā paraṃ lakṣyate; yasmād bhavad-vidha-viṣayakāparādha-maya-kāla	upalakzaNa-tA param lakzyate; yasmAt Bavat--viDa--vizaya-ka-aparADa-maya-kAla
   eva tatra paraṃ kāraṇam | mayā tu labdha-buddhi-balatayā sva-vaśāyām api	eva tatra param kAraNam | mayA tu labDa---budDi-balatayA sva-vaSAyAm api
   daśāyāṃ jñātam api tad vairam avajñātam | bālya-daśāyāṃ tat kila na jñātam	daSAyAm jQAtam api tat vEram avajQAtam | bAlya-daSAyAm tat kila na jQAtam
   eva, tathāpi tena pūtanādi-yūthaṃ kramaśaḥ prasthāpitam, tādṛśa-kālenaiva	eva, taTA-api tena pUtanA-Adi--yUTam kramaSas prasTApitam, tAdRSa--kAlena-eva
   ca saṃsthāpitam | tathā hi-	ca saMsTApitam | taTA hi-
   stanyān māṃ tudatī bakī khala-marut karṣaṃś chalāt saṃharan	stanyAt mAm tudatI bakI Kala--marut karzan CalAt saMharan
   vatsākhyo nigiran bako mayaja-nirvicchedayan mitrakaiḥ |	vatsa-AKyaH nigiran bakaH mayaja--nirvicCedayat mitrakEH |
   bhuñjānaḥ sa-gaṇaṃ phaṇī hṛta-balaṃ kurvan pralambaḥ sa ca	BuQjAnaH sa--gaNam PaNI hRta-balam kurvan pralambaH sa ca
   ghnantu kṣmā-turago gilan svayam anaśyad dūṣaṇaṃ kiṃ mama? ||GC_2,5.61||	Gnantu kzmA-turagaH gilan svayam anaSyat dUzaNam kim mama? ||GC_2,5.61||
   (śārdūla)	(SArdUla)
   yo'yaṃ vā tanayas tava svayam asāv akrūrakaṃ preṣayan	yaH-ayam vA tanayaH tava svayam asO akrUrakam prezayan
   mām ānāyya nighātayan kuvalayāpīḍena mallaiḥ punaḥ |	mAm AnAyya niGAtayan kuvalaya-ApIxena mallEH punar |
   yuṣmat-kutsana-bhartsana-śravaṇa-jān mantor mayā bhīruṇā	yuzmat--kutsana--Bartsana--SravaNa--jAn mantoH mayA BIruNA
   prāyaścitta-kṛtā dhṛtaḥ kaca-taṭe tasmād akasmān mṛtaḥ ||GC_2,5.62||	prAyaScitta-kRtA DRtaH kaca--tawe tasmAt akasmAt mRtaH ||GC_2,5.62||
   (śārdūla)	(SArdUla)
   [68] tasmāt tasya sa-jātīya-vijātīya-bālaṅgilasya mātulāher māraṇam api	[68] tasmAt tasya sa-jAtIya--vijAtIya--bAlaFgilasya mAtulAheH mAraNam api
   tad-udyama-kāraṇam	tad--udyama-kAraNam
   eva jātam, na tu mad-īhāspadī-kṛtam | tathā ca sati katham iva rājyaṃ	eva jAtam, na tu mad--Iha-AspadI-kRtam | taTA ca sati kaTam iva rAjyam
   prājyatayā mahyaṃ rocatām?	prAjya-tayA mahyam rocatAm?
   [69] sa eṣa cāvyabhicāri-saṅkalpasya mama saṅkalpaḥ pratikalpaṃ	[69] saH eza ca-avyaBicAri--saFkalpasya mama saFkalpaH pratikalpam
   satya-vacasām api jalpa-	satya--vacasAm api jalpa-
   viṣayī-bhaviṣyati | yathā-	vizayI--Bavizyati | yaTA-
   ahaṃ sa eva go-madhye gopaiḥ saha vanecaraḥ |	aham saH eva go-maDye gopEH saha vanecaraH |
   prītimān vicariṣyāmi kāmacārī yathā gajaḥ ||GC_2,5.63||	prItimAn vicarizyAmi kAma-cArI yaTA gajaH ||GC_2,5.63||
   etāvac chataśopy evaṃ satyenaiva bravīmi te |	etAvat SataSopi evam satyena-eva bravImi te |
   na me kāryaṃ nṛpatvena vijñāpyaṃ kriyatām idam |	na me kAryam nRpa-tvena vijQApyam kriyatAm idam |
   bhavān mānyostu rājā me yadūnām agrajaḥ prabhuḥ [HV 78.35-37] iti	BavAn mAnyoH-tu rAjA me yadUnAm agrajaH praBuH [HV 78.35-37] iti
   ||GC_2,5.64||	||GC_2,5.64||
   [70] tad evam asya sarve'pi suśīlatām anuśīlayantas tad etan	[70] tat evam asya sarve-api suSIla-tAm anuSIlayantaH tat etat-
   mukha-mādhurya-puryamāṇa-	muKa--mADurya--puryamANa--
   salila-kalila-vilocanāḥ kṣaṇa-katipayaṃ tad-avastham eva tasthuḥ |	salila--kalila--vilocanAH kzaNa-katipayam tat--avasTam eva tasTuH |
   śrīmad-ānakadundubhy-ādayaḥ katipaye bibhyati sma | śrīman-nandādayas tu	SrImat--Anaka-dunduBi--a-AdayaH katipaye biByati sma | SrIman-nanda-AdayaH tu
   nandanti smeti sthite taṃ svataḥ parataś ca bhītam ālocayan punaḥ	nandanti sma-iti sTite tam svatas paratas ca BItam Alocayan punar-
   śrī-kṛṣṇaḥ prāha sma,- virāṭ-kulam idaṃ samprati virāḍ-jātam | tato yadi	SrI--kRzNaH prAha sma, virAw--kulam idam samprati virAj---jAtam | tatas yadi
   bhavān patitām imām urvīm urvī-patitām urīkurvīta, tadā dina-katipayaṃ	BavAn patitAm imAm urvIm urvI-patitAm urIkurvIta, tadA dina--kati-payam
   vayam api sāhāyakam āhariṣyāmaḥ | na cet sadya eva gokulaṃ prapadya	vayam api sAhAyakam AharizyAmaH | na ced sadyas eva gokulam prapadya
   tad-anavadya-sukham abhimukham ānayiṣyāmaḥ iti |	tad--anavadya--suKam aBimuKam AnayizyAmaH iti |
   [71] tad evaṃ keśavasyābhiniveśataḥ sarveṣām apy anyathā kleṣatas taṃ	[71] tat evam keSavasya-aBiniveSataH sarvezAm api anyaTA klezataH tam
   bhojeśaṃ tūṣñīkām	BojeSam tu-uzQIkAm
   eva puṣṇantaṃ śrī-gokula-prema-tṛṣṇaḥ so'yaṃ śrī-kṛṣṇaḥ svayam eva	eva puzNantam SrI--gokula--prema--tRzNaH saH-ayam SrI--kRzNaH svayam eva
   sa-nirbandhaṃ mukuṭa-bandha-bandhuraṃ karoti sma |	sa-nirbanDam mukuwa-banDa--banDuram karoti sma |
   [72] taṃ prati sarveṇa samam agarveṇa mūrdhānam ānamya svayam asāv	[72] tam prati sarveNa samam agarveNa mUrDAnam Anamya svayam asO=-
   āvedayāmāsa,-	AvedayAmAsa,-
   rājaṃs tasya vīra-gatiṃ gatasya satkāra-kāraṇaṃ bhavat-puraḥ-sarāḥ	rAjan tasya vIra--gatim gatasya satkAra--kAraNam Bavat--puraH-sarAH
   sarve'pi vayam anusarāmaḥ | śrīmat-pitarau tu labdha-śrama-visarau	sarve-api vayam anusarAmaH | SrImat--pitarO tu labDa--Srama--visarO
   nija-nijāvāsam evāsīdatām iti | śrīdāmādīn prati ca jagāda- āvāṃ tāvat	nija--nija-AvAsam eva-AsIdatAm iti | SrI-dAma-AdIn prati ca jagAda AvAm tAvat-
   krūra-karmaṇi pratiruddhāv iti bhavanta eva	krUra-karmaNi pratirudDO iti BavantaH eva
   śrīmat-pitṛ-caraṇānugatim anubhavantaḥ śakaṭāvaroha evaṃ rātriṃ kṣipantu |	SrImat--pitR-caraNa-anugatim anuBavantaH Sakawa-avarohaH evam rAtrim kzipantu |
   iti |	iti |
   [73] tatas tathā vidhāya punar viśrāntiṃ sannidhāya taraṇibhis	[73] tatas taTA viDAya punar viSrAntim sanniDAya taraNiBiH-
   taraṇi-duhitur uttara-tīre	taraNi-duhituH uttara--tIre
   mṛta-kāyān nidhāya teṣāṃ preta-kāryaṃ saṃvidhāya	mRta-kAyAn niDAya tezAm preta--kAryam saMviDAya
   śrīmad-ānakadundubhi-bhavanam	SrImat--AnakadunduBi--Bavanam
   eva saha-rāmaḥ samājagāma |	eva saha-rAmaH samAjagAma |
   [74] āgamya ca sarveṣām agamyaṃ tad-avarodham avarundhānaḥ sāvadhānam amū	[74] Agamya ca sarvezAm agamyam tat--avaroDam avarunDAnaH sa-avaDAnam amU
   mātara-	mAtara-
   pitarau namaś cakāra | kintu sva-prabhāvānubhavāl	pitarO namaH cakAra | kintu sva--praBAva-anuBavAl
   labdha-pitṛ-bhāvābhibhavāv ata	labDa--pitR-BAva-aBiBavO ata
   evāsambhavantau tatra-bhavantau tāv anubhūya dūyamāna iva tathā	eva-asamBavantO tatra-BavantO tO anuBUya dUyamAnaH iva taTA
   niveśayāmāsa |	niveSayAmAsa |
   yathāsmad vraja-rāja-dvandvavad eva nirdvandva-sadayatāmaya-hṛdayatayā taṃ	yaTA-asmat vraja-rAja--dvandva-vat eva nirdvandva--sadayatAmaya--hRdaya-tayA tam
   bala-	bala-
   valitaṃ tāv āliṅgantāv aliṅgavad bahu-samayam āsāte sma | yataḥ,	valitam tO AliFgantO aliFga-vat bahu-samayam AsAte sma | yatas-,
   rasayati na hi yāvan mādhurīm asya tāvan	rasayati na hi yAvat mADurIm asya tAvan
   nayati manasi bhaktas tīvra-bhāvaṃ prabhāvam |	nayati manasi BaktaH tIvra-BAvam praBAvam |
   sa katham itarathā vā śrī-śukaḥ śaśvad etat	sa kaTam itaraTA vA SrI-SukaH SaSvat etat-
   sphuṭa-madhurima-bhājaṃ śrī-vrajaṃ suṣṭhu nauti ||GC_2,5.65|| (mālinī)	sPuwa--maDurima--BAjam SrI-vrajam suzWu nOti ||GC_2,5.65|| (mAlinI)
   [75] atha śrīmad-ānakadundubhinā samaṃ bahir āgatya svayam evānusmṛtya	[75] aTa SrImat--Anaka-dunduBinA samam bahis Agatya svayam eva-anusmRtya
   bhṛtya-	BRtya-
   vatsalaḥ śrī-vatsa-lakṣmā didṛkṣayā nirnimiṣa-pakṣmāḥ sarva-śarmada-yaśāḥ	vatsalaH SrI-vat-sa-lakzmA didRkzayA nirnimiza--pakzmAH sarva-Sarma-da-yaSAH
   saṅkoca-	saFkoca-
   vaśāt pūrvaṃ dūrata eva labdha-nijālocana-pūram uddhava-māyād	vaSAt pUrvam dUratas eva labDa--nija-Alocana--pUram udDava--mAyAd
   anugṛhīta-jana-dvārā	anugRhIta-jana--dvArA
   sānugrahaṃ gṛhād ājuhāva | tataś ca-	sa-anugraham gRhAt AjuhAva | tatas ca-
   anyo'nyaṃ milati sma yarhy abhinavaṃ tarhi svayaṃ nāvidat	anyaH-anyam milati sma yarhi aBinavam tarhi svayam na-avidat-
   ko'haṃ kutra kadā ka eta iti sa preyān sa ca śrī-prabhuḥ |	kaH-aham kutra kadA kaH ete iti sa preyAn sa ca SrI--praBuH |
   kiṃ cādūra-gatāś ca tan na vividur yat tatra siddhāntitāṃ	kim ca-adUra--gatAH ca tat na vividuH yat tatra sidDAntitAm
   ko gacchen nija-tattvam etad anayoḥ premā paraṃ vetti hi? ||GC_2,5.66||	kaH gacCet nija--tattvam etat anayoH premA param vetti hi? ||GC_2,5.66||
   (śārdūla)	(SArdUla)
   [76] atha rāmeṇa samaṃ rāmānujaḥ sa-vyājam ānakadundubheḥ kiñcid antaritam	[76] aTa rAmeNa samam rAma-anujaH sa-vyAjam AnakadunduBeH kiQcid antaritam
   añcann	aQcan=-
   amuñca na muñcan nāsīt | añcitvā ca	amuQca na muQcan na-AsIt | aQcitvA ca
   śītalita-viraha-maya-sva-hṛdaya-vāpyākārayā nija-bāṣpa-dhārayā muhur api	SItalita-viraha-maya--sva--hRdaya-vA-api-AkArayA nija--bAzpa--DArayA muhur api
   tan mukha-nirīkṣaṇa-pūrvaka-tad-āliṅgana-parvaṇi tam	tat muKa--nirIkzaNa--pUrva-ka-tad-a-AliFgana-parvaNi tam
   antaraṅgatayābhiṣiñcann ivālokyata |	antaraFga-tayA-aBiziQcan iva-Alokyata |
   [77] atha saha-rāmoddhavaḥ śrī-śūrodbhavam anujñāpya bhoja-rāja-gṛhaṃ	[77] aTa saha-rAma-udDavaH SrI--SUra-udBavam anujQApya Boja--rAja--gRham
   prāpya kaṃsa-	prApya kaMsa-
   patnīnāṃ bāṣpaṃ nirvāpya rāja-sabhāyām ugrasenaṃ saha-yādava-senam ānāyya	patnInAm bAzpam nirvApya rAja--saBAyAm ugrasenam saha-yAdava-senam AnAyya
   tavaiva	tava-eva
   rājyaṃ nyāyyam iti pratyāyya siṃhāsanaṃ svīkārya punaḥ śrī-śūra-janikāyyam	rAjyam nyAyyam iti pratyAyya siMhAsanam svIkArya punar SrI--SUra-jani-kAyyam
   āgatavān |	AgatavAn |
   brahmāṇḍa-kotīśvaratāti-tucchā	brahmANxa-koti-ISvara-tA-ati-tucCA
   yasyekṣyate viṣṇūpadeśitā ca |	yasya-Ikzyate vizNu-upadeSitA ca |
   sā tasya goloka-mahendra-sūnoḥ	sA tasya goloka--mahA-indra--sUnoH
   kāmyā kathaṃ kaṃsaka-rājya-lakṣmīḥ? ||GC_2,5.67|| (indravajrā)	kAmyA kaTam kaMsaka-rAjya--lakzmIH? ||GC_2,5.67|| (indra-vajrA)
   [78] atha samuddhava-lasad-uddhava-sahitābhyāṃ tābhyāṃ saha	[78] aTa samudDava-la-sat--udDa-va--sahitAByAm tAByAm saha
   mahā-ratha-mūhyamāna-	mahA-raTa-mUhyamAna-
   manoratham āruhya sa punar ānakadundubhir vraja-mahī-patiṃ prati milanāya	manoraTam Aruhya sa punar AnakadunduBiH vraja--mahI--patim prati milanAya
   viśaṅkaṭaṃ tadīya-śakaṭa-vrajam ājagāma | āgamya ca gāḍhāliṅganatayā	viSaFkawam tadIya--Sakawa--vrajam AjagAma | Agamya ca gAXa-AliFgana-tayA
   saṅgamya ramya-svajana-saṃvalitena tena tena saha parasparaṃ	saFgamya ramya-sva-jana--saMvalitena tena tena saha parasparam
   labdha-dhvaṃsa-kaṃsa-kṛta-caropadrava-vārtāṃ vartayāmāsa | vartayitvā ca	labDa--DvaMsa--kaMsa-kRta--cara-upadrava--vArtAm vartayAmAsa | vartayitvA ca
   punaḥ prārthayāmāsa,- yāvat sthitis tāvad asmad-gṛha eva sva-gṛha iva	punar prArTayAmAsa, yAvat sTitiH tAvat asmad--gRhe eva sva-gRhe iva
   sarvaiḥ saha bhoktavyam iti |	sarvEH saha Boktavyam iti |
   [79] tataś ca pratidinam evaṃ nirvartamāne mahā-parvaṇi sa-rāmaḥ	[79] tatas ca pratidinam evam nirvartamAne mahA-parvaNi sa-rAmaH
   śrī-rāmānujaḥ	SrI-rAma-anujaH
   palāyita-yādava-caya-samācayana-maya-nava-rājya-prājya-sthāpana-karma-samaye	palAyita-yAdava-caya--samAcayana--maya-nava--rAjya--prAjya--sTApana--karma--samaye
   rāja-sabhāyāṃ śrī-vasudevasya sabhāyāṃ vā virājate sma | antarāntarā ca	rAja--saBAyAm SrI--vasudevasya saBAyAm vA virAjate sma | antarA-antarA ca
   śakaṭāvaroham āsādya śrīdāmādya-nija-mitraiḥ saha vicitraṃ krīḍati sma iti	Sakawa-avaroham AsAdya SrIdAma-Adi-a-nija-mitrEH saha vicitram krIxati smaH iti
   [80] atha dina-kathāṃ samāpayataḥ snigdhakaṇṭhasya vacanaṃ yathā,-	[80] aTa dina--kaTAm samApayataH snigDa-kaNWasya vacanam yaTA,-
   kaṃsaṃ nihatavān yaḥ prāk so'yaṃ kroḍa-gatas tava |	kaMsam nihatavAn yaH prAk saH-ayam kroxa--gataH tava |
   dvīpāt pratyāgataṃ vittam ivaitaṃ paśya gopate ||GC_2,5.68|| (anuṣṭubh)	dvIpAt pratyAgatam vittam iva-etam paSya gopate ||GC_2,5.68|| (anuzwuB)
   [81] atha tatra gatāyāṃ kathāyāṃ samāpta-prathāyāṃ paramānandinaḥ	[81] aTa tatra gatAyAm kaTAyAm samApta--praTAyAm parama-AnandinaH
   śrīmad-vraja-vandinas tad idaṃ paṭhanti sma,-	SrImat--vraja--vandinaH tat idam paWanti sma,-
   jaya kṛta-mathurā-praveśa-bhāvuka | māthura-janatā-subhagam bhāvuka	jaya kRta-maTurA--praveSa--BAvukaH | mATura-jana-tA-suBagam BAvuka
   ||GC_2,5.	||GC_2,5.
   nānā-vilasita-nandita-nāgara | nagara-vadhū-jana-mohana-nāgara |	nAnA--vilasita-nandita--nAgara | nagara-vaDU-jana--mohana--nAgara |
   sa-vrajaka-kaṃsaka-vasanā-dāyaka | kṛta-ruci-vāyini nija-ruci-dāyaka	sa-vrajaka--kaMsaka--vasanA--dAyaka | kRta--ruci-vAyini nija-ruci--dAyaka
   ||GC_2,5.	||GC_2,5.
   bhakta-gaṇe dhṛta-karuṇā-pūraka | mālākāra-manoratha-pūraka ||GC_2,5.	Bakta--gaNe DRta-karuNA--pUraka | mAlAkAra--manoraTa-pUrakaH ||GC_2,5.
   tanu-tata-kubjā-candana-citraka | kubjā-vakrima-hṛti-kṛta-citraka	tanu-tata-kubjA--candana--citrakaH | kubja-a-vakrima--hRti-kRta-citraka
   ||GC_2,5.	||GC_2,5.
   kaṃsa-makha-sthita-dhanur-anuyojaka | nagara-janānāṃ sukha-śata-yojaka	kaMsa--maKa--sTita-DanuH--anuyojaka | nagara-janAnAm suKa-Sata--yojaka
   ||GC_2,5.	||GC_2,5.
   kaṃsa-dhanur makha-dhanur anubhaṅgada | tad-asahanoddhata-yoddhṛṣu	kaMsa-DanuH maKa-DanuH anuBaFga-da | tad--a-sahana-udData-yodDRzu
   bhaṅgada ||GC_2,5.	BaFgadaH ||GC_2,5.
   hastipam anu nija-vartma-sa-mardaka | tasmin dhṛta-ruṣi hasti-vimardaka	hastipam anu nija-vartma-sa-mardaka | tasmin DRta-ruzi hasti-vimardaka
   ||GC_2,5.	||GC_2,5.
   bhrātrā saha kari-danta-vibhūṣaṇa | raṅgaṃ praviśan bhoja-vibhūṣaṇa	BrAtrA saha kari-danta--viBUzaNa | raFgam praviSan Boja--viBUzaNa
   ||GC_2,5.	||GC_2,5.
   gaja-raktādibhir aṅgaṃ paricita | bahu-vidha-bhāvair vividhaṃ paricita	gaja--rakta-AdiBiH aFgam paricitaH | bahu-viDa-BAvEH viviDam paricita
   ||GC_2,5.	||GC_2,5.
   jagati samantād apratimallaka | kaṃsāgre hata-tat-prati-mallaka ||GC_2,5.	jagati samantAt apratimallakaH | kaMsa-agre hata-tat--prati-mallakaH ||GC_2,5.
   sadasi samaste nāsti samohana | malla-naṭana-kṛta-viśva-vimohana ||GC_2,5.	sadasi samaste na-asti sa-mohanaH | malla-nawana--kRta-viSva-vimohana ||GC_2,5.
   kaṃsaja-guru-nindana-kampākula | dṛṣṭi-vikīrṇa-dyuti-śampākula ||GC_2,5.	kaMsa-ja--guru--nindana--kampa-Akula | dRzwi--vikIrNa--dyuti--Sampa-Akula ||GC_2,5.
   pluti-līlā-kṛta-mañca-kṣobhaka | krīḍā-vikrama-kaṃsa-kṣobhaka ||GC_2,5.	pluti--lIlA-kRta--maQca-kzoBaka | krIxA--vikrama--kaMsa-kzoBakaH ||GC_2,5.
   sahasā mañcāt kaṃsa-nipātaka | tena dhvasta-tri-jagat-pātaka ||GC_2,5.	sahasA maQcAt kaMsa-nipAtaka | tena Dvasta--tri-jagat--pAtakaH ||GC_2,5.
   akhila-janānāṃ duḥkha-vimokṣada | kaṃsasyāpi ca sahasā mokṣada ||GC_2,5.	aKila-janAnAm duHKa--vimokza-da | kaMsasya-api ca sahasA mokza-daH ||GC_2,5.
   mocita-vasudevādika-bandhaka | sādhu-sukhaṃ prati dhṛta-nirbandhaka	mocita--vasudeva-Adika-banDaka | sADu--suKam prati DRta-nirbanDaka
   ||GC_2,5.	||GC_2,5.
   viśrāntiṃ prati kaṃsākarṣaka | vyañjita-nija-bala-balayotkarṣaka ||GC_2,5.	viSrAntim prati kaMsa-AkarzakaH | vyaQjita-nija--bala--balayA-utkarzakaH ||GC_2,5.
   kaṃsa-pitari-jita-rājya-nidhāyaka | nija-yaśasākhila-śarma-vidhāyaka |	kaMsa-pitari--jita-rAjya-niDAyaka | nija--yaSasA-aKila--Sarma--viDAyaka |
   vrajataḥ poṣyākhila-nistāraka | punar api ca vraja-sukha-vistāraka	vrajataH pozya-aKila--nistAraka | punar api ca vraja--suKa-vistAraka
   ||GC_2,5.	||GC_2,5.
   jaya jaya jaya jaya jaya jaya jaya jaya | jaya jaya jaya jaya jaya jaya	jaya jaya jaya jaya jaya jaya jaya jaya | jaya jaya jaya jaya jaya jaya
   jaya jaya ||GC_2,5. vīra ||GC_2,5.69||	jaya jaya ||GC_2,5. vIra ||GC_2,5.69||
   [82] tad evaṃ kathakayoḥ kathayā vandināṃ vandana-prathayā ca	[82] tat evam kaTakayoH kaTayA vandinAm vandana--praTayA ca
   labdhāvadhāna-poṣāḥ	labDa-avaDAna---pozAH
   śrī-kṛṣṇa-lābha-santata-santoṣāḥ sarve yathāsvaṃ tad-ānukūlya-sukham	SrI-kRzNa--lABa--santata--santozAH sarve yaTAsvam tat--AnukUlya--suKam
   arjayāmāsuḥ |	arjayAmAsuH |
