   Kāśyapaparivarta Sūtra	KASyapa-parivarta SUtra
   śuddhehi dharmehi sadā vivardhate / //	SudDa-ihi Darma-ihi sadA vivarDate / //
   KP.35 tadyathāpi nāma kāśyapa sūryamaṇḍalam ekapramuktābhi sūryaraśmibhiḥ	KP.35 tat-yaTA-api nAma kASyapa sUrya-maNxalam eka-pramukta-aBi sUrya-raSmiBiH
   sattvānām avabhāsaṃ karoti / evameva kāśyapa bodhisattvam ekapramuktābhiḥ	sattvAnAm avaBAsam karoti / evam-eva kASyapa boDisattvam eka-pramuktABiH
   prajñāraśmibhiḥ sattvānām jñānāvabhāsaṃ karoti / tatredamucyate 7	prajQA-raSmiBiH sattvAnAm jQAna-avaBAsam karoti / tatra-idam-ucyate 7
   // mekapramuktābhi yatheva sūryo	// meka-pramukta-aBi yaTA-iva sUryaH-
   raśmībhi sattvānna sic karoti bhāsam	raSmIBi sattvAt-na sit karoti BAsam
   evaṃ jinānāṃ suta jñānaraśmibhi	evam jinAnAm suta jQAna-raSmiBi
   prajñāya sattvānavabhāsa kurvati //	prajQAya sattva-anavaBAsa kurvati //
   KP.36 tadyathāpi nāma kāśyapa siṅho mṛgarājā yato yata / eva prakramate	KP.36 tat-yaTA-api nAma kASyapa siFhaH mRgarAjA yatas yata / eva prakramate
   sarvatrābhito nutrasta evaṃ prakramati / evameva kāśyapa	sarvatra-aBitas nutraH-te evam prakramati / evam-eva kASyapa
   śīlaśrutaguṇadharmapratiṣṭhito bodhisattvo yato yata eva prakramate	SIla-Sruta-guNa-Darma-pratizWitaH boDisattvaH yatas yatas eva prakramate
   sarvatrābhīto nutrasta eva prakramate / tatredamucyate 8	sarvatra-aBItaH nutraH-te eva prakramate / tatra-idam-ucyate 8
   // yathā hi siṅho mṛgarāja kesarī yenecchakaṃ yāti asantrasanto /	// yaTA hi siFhaH mRgarAja kesarI yena-icCakam yAti asantrasantaH /
   evameva śīlaṃśrutajñānasusthito sic yenecchakaṃ gacchati bodhisattvo //	evam-eva SIlaMSruta-jQAna-su-sTitaH sit yena-icCakam gacCati boDisattvaH //
   KP.37 tadyathāpi nāma kāśyapa sudāntaḥ kuñjaro nāgassarvabhāravahanatayā	KP.37 tat-yaTA-api nAma kASyapa su-dAntaH kuQjaraH nAga-ssarva-BAra-vahana-tayA
   na parikhidyate / evameva kāśyapa sudāntacitto bodhisattva sarvasattvānāṃ	na pariKidyate / evam-eva kASyapa su-dAnta-cittaH boDisattva sarva-sattvAnAm
   sarvabhāravahanatā na parikhidyate / tatredamucyate	sarva-BAra-vahana-tA na pariKidyate / tatra-idam-ucyate
   yathāpi nāmago sic balavān sudānto bhāraṃ vahanto na dupeti khedaṃ /	yaTA-api nAmago sit balavAn su-dAntaH BAram vahantaH na dupeti Kedam /
   sudāntacitto tathā bodhisattvo sattvāna bhāreṇa na khedamaiti //	su-dAnta-cittaH taTA boDisattvaH sattvAna BAreNa na Kedam-Eti //
   KP.38 tadyathāpi nāma kāśyapa padmamudake jātamudakena na lipyate /	KP.38 tat-yaTA-api nAma kASyapa padmam-udake jAtam-udakena na lipyate /
   evameva kāśyapa bodhisattvo loke jāto lokadharme na lipyate /	evam-eva kASyapa boDisattvaH loke jAtaH loka-Darme na lipyate /
   tatredamucyate 10	tatra-idam-ucyate 10
   // padmaṃ yathā kokanadaṃ jaleruhaṃ jalena no lipyati kardamena vā /	// padmam yaTA kokanadam jaleruham jalena naH lipyati kardamena vA /
   loke smi jāto tathā bodhisattvo na lokadharmehi kadāci lipyate //	loke smi jAtaH taTA boDisattvaH na loka-Darma-ihi kadAci lipyate //
   KP.39 tadyathāpi nāma kāśyapa viṭapacchinno vṛkṣo mūle nupahate punareva	KP.39 tat-yaTA-api nAma kASyapa viwapa=-CinnaH vRkzaH mUle nupahate punar-eva
   virohati / evameva kāśyapa upāyakauśalyakleśacchinno bodhisattvaḥ	virohati / evam-eva kASyapaH upAya-kOSalya-kleSa=-CinnaH boDisattvaH
   sarvakuśalamūlasaṃyojane nupahate punareva traidhātuke virohati /	sarva-kuSala-mUla-saMyojane nupahate punar-eva trEDAtuke virohati /
   tatredamucyate 11	tatra-idam-ucyate 11
   // yathāpi vṛkṣo viṭapasmi cchinno virohate mūla dṛḍhe nupadrute /	// yaTA-api vRkzaH viwapasmi cCinnaH virohate mUla dRXe nupadrute /
   evam upāyopahato virohate mūlasmi saṃyojana suprahīṇe //	evam upAya-upahataH virohate mUlasmi saMyojana su-prahINe //
   KP.40 tadyathāpi nāma kāśyapa nānādigvidikṣu mahānadīṣvāpskandho	KP.40 tat-yaTA-api nAma kASyapa nAnA-diS-vidikzu mahAnadIzu-ApskanDaH-
   mahāsamudre praviṣṭaḥ sarvam ekaraso bhavati yaduta lavaṇarasaḥ evameva	mahA-samudre pravizwaH sarvam ekarasaH Bavati yat-uta lavaNarasaH evam-eva
   kāśyapa nānāmukhopacitaṃ kuśalamūlaṃ bodhisattvasya bodhāya pariṇāmitaṃ	kASyapa nAnA-muKa-upacitam kuSala-mUlam boDisattvasya boDAya pariNAmitam
   sarvam ekarasaṃ yadida vimuktirasaṃ / tatredamucyate 12	sarvam ekarasam yat-ida vimukti-rasam / tatra-idam-ucyate 12
   // nānānadīnām udakaṃ praviṣṭaṃ mahāsamudrekarasaṃ yathā syāt	// nAnA-nadInAm udakam pravizwam mahA-samudreka-rasam yaTA syAt-
   kuśalāni nānāmukhasañcitāni parināmitānyekarasāni bodhye //	kuSalAni nAnA-muKa-saQcitAni parinAmitAni-eka-rasAni boDye //
   KP.41 tadyathāpi nāma kāśyapa sumerupratiṣṭhitā	KP.41 tat-yaTA-api nAma kASyapa sumeru-pratizWitA
   caturmahārājakāyikāstrayastriṃśāśca devāḥ evameva kāśyapa	catur-mahA-rAja-kAyikAH-trayastriMSAH-ca devAH evam-eva kASyapa
   bodhicittākuśalamūlapratiṣṭhitā bodhisattvasya sarvajñatā tatredamucyate	boDi-citta-akuSala-mUla-pratizWitAH boDisattvasya sarvajQa-tA tatra-idam-ucyate
   // caturmahārājikas sic trāyastriñcā yath. sumerusthita devasaṅghā /	// catur-mahArAjikaH sit trAyaH-triQcAH yaT. sumeru-sTita deva-saFGAH /
   tatha bodhisattvā kuśale pratiṣṭhāḥ sarvajñatā prāpya vadanti dharmān //	taTa boDisattvAH kuSale pratizWAH sarvajQa-tA prApya vadanti DarmAn //
   KP.42 tadyathāpi nāma kāśyapa āmātyasaṅgṛhītā rājānaḥ sarvarājakāryāṇi	KP.42 tat-yaTA-api nAma kASyape AmAtya-saFgRhItAH rAjAnaH sarva-rAja-kAryANi
   kurvanti / evameva kāśyapa upāyasaṅgṛhītā bodhisattvasya prajñā	kurvanti / evam-eva kASyapaH upAya-saFgRhItA boDisattvasya prajQA
   sarvabuddhakāryāṇi karoti / tatredamucyate 14	sarva-budDa-kAryANi karoti / tatra-idam-ucyate 14
   // yathā hi rājāna āmātyasaṅgrahā sarvāṇi kāryāṇi karoti nityaṃ /	// yaTA hi rAjAnaH AmAtya-saFgrahA sarvANi kAryANi karoti nityam /
   tatha sic bodhisattvasya upāyasaṅgraho buddhārtha prajñāya karonti nitya	taTa sit boDisattvasya upAya-saFgrahaH budDa-arTa prajQAya karonti nitya
   KP.43 tadyathāpi nāma kāśyapa vyabhre deve vigatavalāhake nāsti	KP.43 tat-yaTA-api nAma kASyapa vyaBre deve vigata-valAhake na-asti
   varṣasyāyadvāram evameva kāśyapa alpaśrutasya bodhisattvasyāntikānāsti	varzasya-Aya-dvAram evam-eva kASyapa alpa-Srutasya boDisattvasya-antikAnA-asti
   saddharmavṛṣṭerāryadvaraṃ / tatredamucyate 15	sadDarma-vRzweH-Aryat-varam / tatra-idam-ucyate 15
   // vyabhre yathā vigatavalāhake nabhe varṣasya ā............ na kadāci	// vyaBre yaTA vigata-valAhake naBe varzasya A............ na kadAci
   vidyate /	vidyate /
   alpaśrutasyāntikad sic dharmadeśanā na bodhisattvasya kadāci labhyate //	alpa-Srutasya-antikat sit Darma-deSanA na boDisattvasya kadAci laByate //
   KP.44 tadyathāpi nāma kāśyapa.......... bhraghanameghasamutthitā	KP.44 tat-yaTA-api nAma kASyapa.......... BraGana-meGa-samutTitA
   varṣadhārā sasyānyabhivarṣati / evameva kāśyapa	varza-DArA sasyAni-aBivarzati / evam-eva kASyapa
   mahākaruṇādharmameghasamutth......... bodhisattvasya	mahA-karuNA-Darma-meGa-samutT......... boDisattvasya
   saddharmavṛṣṭissattvānām abhivarṣati / tatredamucyate 16	sadDarma-vRzwi-ssattvAnAm aBivarzati / tatra-idam-ucyate 16
   yathāpi megho vipulo savidyuto ...........	yaTA-api meGaH vipulaH sa-vidyutaH ...........
   syānuvarṣeṇa karoti tṛptim /	sya-anuvarzeNa karoti tRptim /
   saddharmameghotthitavarṣadhārā	sadDarma-meGa-utTita-varza-DArA
   tarpeti satvāstatha bodhisatvaḥ //	tarpa-iti satvAH-taTa boDisatvaH //
   KP.45 tadyathāpi nāma kāśyapa yatra rājā cakravarti utpadyate tatra	KP.45 tat-yaTA-api nAma kASyapa yatra rAjA cakravarti utpadyate tatra
   saptaratnānyutpadyante evam eva kāśyapa yatra bodhisattva utpadyate tatra	sapta-ratnAni-utpadyante evam eva kASyapa yatra boDisattvaH utpadyate tatra
   saptātriñcad bodhapakṣyā dharmā utpadyante / tatredamucyate 17	saptA-triQcat boDa-pakzyAH DarmAH utpadyante / tatra-idam-ucyate 17
   // utpadyate yatra hi cakravarti tatrāsya ratnāni bhavanti sapta	// utpadyate yatra hi cakravarti tatra-asya ratnAni Bavanti sapta
   utpadyate yatra ca bodhisattvas tatrāsya bodhyaṅga bhavanti sapta //	utpadyate yatra ca boDisattvaH tatra-asya boDi-aFga Bavanti sapta //
   KP.46 tadyathāpi nāma kāśyapa yatra maṇiratnāyadvāraṃ bhavati bahūnāṃ	KP.46 tat-yaTA-api nAma kASyapa yatra maNi-ratnAya-dvAram Bavati bahUnAm
   tatra kārṣāpaṇaśatasahasrāṇām āyadvāraṃ bhavati / evameva kāśyapa yatra	tatra kArzApaNa-Sata-sahasrANAm Aya-dvAram Bavati / evam-eva kASyapa yatra
   bodhisattvasyāyadvāraṃ bhavati / bahūnām tatra	boDisattvasya-aya-dvAram Bavati / bahUnAm tatra
   śrāvakapratyekabuddhahaśatasahasrāṇām āyadvāraṃ bhavati / tatredamucyate	SrAvaka-pratyekabudDa-haSata-sahasrANAm Aya-dvAram Bavati / tatra-idam-ucyate
   // yathāpi yasmiṃ maṇiratna bhoti /	// yaTA-api yasmim maNi-ratna Boti /
   karṣāpaṇāyo bahu............ tra bhoti	karza-ApaNAyaH bahu............ tra Boti
   sambodhicittasya ca yatra āyo	samboDi-cittasya ca yatra Ayo
   āyo bahū tatra ca śrāvakānām //	AyaH bahU tatra ca SrAvakAnAm //
   KP.47 tadyathāpi nāma kāśyapa miśrakāvanapratiṣṭhitānā trāyastriṃśānāṃ	KP.47 tat-yaTA-api nAma kASyapa miSraka-avana-pratizWitAnA trAyastriMSAnAm
   devānām upabhogaparibhogāḥ samāḥ santiṣṭhante / evameva kāśyapa	devAnAm upaBoga-pariBogAH samAH santizWante / evam-eva kASyapa
   āśayaśuddhasya bodhisattvasya sarvasattvānām antike samyakprayogo bhavati	ASaya-SudDasya boDisattvasya sarva-sattvAnAm antike samyak-prayogaH Bavati
   / tatredamucyate 19	/ tatra-idam-ucyate 19
   // yathāpi devāna samā prayogā miśrāvane saṃsthihate sthitānā	// yaTA-api devAna samA prayogAH miSrAvane saMsTi-hate sTitAnA
   evameva śuddhāsaya bodhisattvo satveṣu samyakkurute prayogam //	evam-eva SudDAsaya boDisattvaH satvezu samyak-kurute prayogam //
   KP.48 tadyathāpi nāma kāśyapa mantrauṣadhaparigṛhītaṃ viṣaṃ na	KP.48 tat-yaTA-api nAma kASyapa mantra-OzaDa-parigRhItam vizam na
   vinipātayati / evameva kāśyapa jñānopāyakauśalyaparigṛhīto bodhisattvasya	vinipAtayati / evam-eva kASyapa jQAna-upAya-kOSalya-parigRhItaH boDisattvasya
   kleśaviṣaṃ na śaknoti vinipātayitum / tatredamucyate 20	kleSa-vizam na Saknoti vinipAtayitum / tatra-idam-ucyate 20
   // yathā viṣam mantraparigraheṇa janasya doṣaṃ kriyayāsamarthaṃ	// yaTA vizam mantra-parigraheNa janasya dozam kriyayA-asamarTam
   evaṃ hi jñānī iha bodhisattvo kleśairna śakyaṃ vinipātanāya / //	evam hi jQAnI iha boDisattvaH kleSEH-na Sakyam vinipAtanAya / //
   KP.49 tadyathāpi nāma kāśyapa yaṃ mahānagareṣu saṅkarakūtaṃ bhavati sa	KP.49 tat-yaTA-api nAma kASyapa yam mahA-nagarezu saFkara-kUtam Bavati sa
   ikṣukṣetreṣu śālikṣetreṣu mṛdvīkākṣetreṣu copakārībhūte bhavati / evameva	ikzu-kzetrezu SAli-kzetrezu mRdvIkA-kzetrezu ca-upakArIBUte Bavati / evam-eva
   kāśyapa yo bodhisattvasya kleśaḥ sa sarvajñatāyām upakārībhuto bhavati /	kASyapa yaH boDisattvasya kleSaH sa sarvajQa-tAyAm upakArIButaH Bavati /
   tatredamucyate // 21	tatra-idam-ucyate // 21
   // nagareṣu saṅkāruryathā sucokṣo so ikṣukṣetreṣupakāra kurvati /	// nagarezu saFkAruH-yaTA sucokzaH saH ikzu-kzetra-izupakAra kurvati /
   evameva kleśo upakārā kurvati yo bodhisattvasya jināna dharme //	evam-eva kleSaH upakArA kurvati yaH boDisattvasya jinAna Darme //
   KP.50 tadyathāpi nāma kāśyapa iṣvastre aśikṣitasya śastragrahaṇam evameva	KP.50 tat-yaTA-api nAma kASyapaH izvastre aSikzitasya Sastra-grahaNam evam-eva
   kāśyapa alpaśrutasya bodhisattvasya	kASyapa alpa-Srutasya boDisattvasya
   dharmapravicayakauśalyamīmāsadarthagrahaṇajñānaṃ draṣṭavyaḥ 22 //	Darma-pravicaya-kOSalyamImAsad-arTa-grahaNa-jQAnam drazwavyaH 22 //
   KP.51 tadyathāpi nāma kāśyapa kumbhakārasya bālabhājaneṣūdārāgnidānām	KP.51 tat-yaTA-api nAma kASyapa kumBakArasya bAla-BAjanezu-udAra-agni-dAnAm
   evameva kāśyapa bālaprajñeṣu bodhisattvasyodāradharmadeśanā sic veditavyaḥ	evam-eva kASyapa bAla-prajQezu boDisattvasya-udAra-Darma-deSanA sit veditavyaH
   KP.52 tasmin tarhi kāśyapa iha mahāratnakūṭe dharmaparyāye śikṣitukāmena	KP.52 tasmin tarhi kASyapaH iha mahA-ratna-kUwe Darma-paryAye Sikzitu-kAmena
   bodhisattvena yoniśo dharmaprayuktena bhavitavyaṃ / tatra kāśyapa katamo	boDisattvena yoniSas Darma-prayuktena Bavitavyam / tatra kASyapa katamaH-
   yoniśadharmaprayogaḥ yaduta sarvadharmāṇāṃ bhutapratyavekṣā / katamā ca	yoni-SaDarma-prayogaH yat-uta sarva-DarmANAm Buta-pratyavekzA / katamA ca
   kāśyapa sarvadharmāṇāṃ bhutapratyavekṣā / yatra kāśyapa nātmapratyave	kASyapa sarva-DarmANAm Buta-pratyavekzA / yatra kASyapa na-Atma-pratyave
   kṣānasattvanajīvanapoṣanapudgalanamanujanamānavāpratyavekṣā / iyamucyate	kzAna-sattvana-jIvana-pozana-pudgalanam-anujana-mAnavA-pratyavekzA / iyam-ucyate
   kāśyapa madhyamā pratipad dharmāṇāṃ bhūtapratyavekṣā /	kASyapa maDyamA pratipad DarmANAm BUta-pratyavekzA /
   KP.53 punaraparaṃ kāśyapa maddhyamā pratipad dharmāṇāṃ bhūtapratyavekṣā yā	KP.53 punar-aparam kASyapa mad-hyamA pratipad DarmANAm BUta-pratyavekzA yA
   rūpasya na nityam iti pratyavekṣā nānityānīti pratyavekṣā / yā vedanāyāḥ	rUpasya na nityam iti pratyavekzA na-anityAni-iti pratyavekzA / yAH vedanAyAH
   sañjñāyāḥ saṃskārāṇāṃ vijñānasya na nityam iti pratyavekṣā / nānityam iti	saQjQAyAH saMskArANAm vijQAnasya na nityam iti pratyavekzA / na-anityam iti
   pratyavekṣā iyamucyate kāśyapa madhyamā pratipad dharmāṇāṃ	pratyavekzA iyam-ucyate kASyapa maDyamA pratipad DarmANAm
   bhūtapratyavekṣā	BUta-pratyavekzA
   KP.54 yā pṛthivīdhātorna nityam iti pratyavekṣā nānityam iti pratyavekṣā	KP.54 yA pRTivI-DAtoH-na nityam iti pratyavekzA na-anityam iti pratyavekzA
   yābdhātostejodhātorvāyudhāto na nityam iti pratyavekṣā nānityam iti	yAbDAtoH-tejaH-DAtoH-vAyu-DAtaH na nityam iti pratyavekzA na-anityam iti
   pratyavekṣā / yā ākāśadhātorvijñānadhāto na nityam iti pratyavekṣā	pratyavekzA / yA AkASa-DAtoH-vijQAna-DAtaH na nityam iti pratyavekzA
   nānityam iti pratyavekṣā iyamucyate kāśyapa madhyamā pratipad dharmāṇāṃ	na-anityam iti pratyavekzA iyam-ucyate kASyapa maDyamA pratipad DarmANAm
   bhūtapratyavekṣā /	BUta-pratyavekzA /
   KP.55 punaraparaṃ kāśyapa madhyamā pratipad dharmāṇāṃ bhūtapratyavekṣā /	KP.55 punar-aparam kASyapa maDyamA pratipad DarmANAm BUta-pratyavekzA /
   yā cakṣurāyatanasya na nityam iti pratyavekṣā nānityam iti pratyavekṣā	yA cakzuH-Ayatanasya na nityam iti pratyavekzA na-anityam iti pratyavekzA
   iyam ucyate kāśyapa madhyamā pratipad dharmāṇāṃ bhūtapratyavekṣā / evaṃ	iyam ucyate kASyapa maDyamA pratipad DarmANAm BUta-pratyavekzA / evam
   yāvacchrotraghrāṇajihvākāyamanāyatanasya na nityam ityam iti / pratyavekṣā	yAvat-Srotra-GrANa-jihvA-kAyam-anAyatanasya na nityam ityam iti / pratyavekzA
   iyamucyate kāśyapa madhyamā pratipad dharmāṇāṃ bhūtapratyavekṣā /	iyam-ucyate kASyapa maDyamA pratipad DarmANAm BUta-pratyavekzA /
   KP.56 nityam iti kāśyapa ayam eko 'ntaḥ anityam iti kāśyapa ayaṃ dvitīyo	KP.56 nityam iti kASyapa ayam ekaH antar anityam iti kASyapa ayam dvitIyaH-
   'ntaḥ yadetayordvayo nityānityayormadhyaṃ tadarūpyanidarśanam anābhāsam	antar yat-etayoH-dvayaH nitya-anityayoH-maDyam tat-arUpya-nidarSanam anABAsam
   avijñāptikam apratiṣṭham aniketam iyamucyate kāśyapa madhyamā pratipad	avijQAptikam apratizWam aniketam iyam-ucyate kASyapa maDyamA pratipad-
   dharmāṇāṃ bhūtapratyavekṣā /	DarmANAm BUta-pratyavekzA /
   KP.57 ātmeti kāśyapa ayam eko 'ntaḥ nairātmyam ityayaṃ dvitīyo 'ntaḥ	KP.57 AtmA-iti kASyapa ayam ekaH antar nErAtmyam iti-ayam dvitIyaH antar-
   yadātmanairātmyayormadhyaṃ tadarūpyanidarśanam anābhāsam avijñaptikam	yadA-AtmanErAtmyayoH-maDyam tad-arUpya-nidarSanam anABAsam avijQaptikam
   apratiṣṭham aniketam iyamucyate kāśyapa madhyamā pratipad dharmāṇāṃ	apratizWam aniketam iyam-ucyate kASyapa maDyamA pratipad DarmANAm
   bhūtapratyavekṣā /	BUta-pratyavekzA /
   KP.58 bhūtacittam iti kāśyapa ayam eko 'ntaḥ abhūtacittam iti kāśyapa ayaṃ	KP.58 BUta-cittam iti kASyapa ayam ekaH antar aBUta-cittam iti kASyapa ayam
   dvitīyo 'ntaḥ yatra kāśyapa na cetanā na mano na vijñānam iyamucyate	dvitIyaH antar yatra kASyapa na cetanA na manaH na vijQAnam iyam-ucyate
   kāśyapa madhyamā pratipad dharmāṇāṃ bhutapratyavekṣā	kASyapa maDyamA pratipad DarmANAm Buta-pratyavekzA
   KP.59 evaṃ sarvadharmāṇāṃ kuśalākuśalānāṃ lokikalokottarāṇāṃ	KP.59 evam sarva-DarmANAm kuSala-akuSalAnAm lokika-loka-uttarANAm
   sāvadyānavadyānāṃ sāsravānāsravānāṃ saṃskṛtāsaṃskṛtānāṃ saṅkleśa iti	sAvadyAnavadyAnAm sa-AsravAnAsravAnAm saMskRta-AsaMskRtAnAm saFkleSaH iti
   kāśyapa ayam eko 'ntaḥ vyavadānam ityayam kāśyapa dvitīyo 'ntaḥ yo	kASyapa ayam ekaH antar vyavadAnam iti-ayam kASyapa dvitIyaH antar yaH-
   syāntadvayasyānugamo nudāhāro pravyāhāra iyamucyate / kāśyapa madhyāmā	sya-anta-dvayasya-anugamaH nudAhAraH pravyAhAraH iyam-ucyate / kASyapa maDyAmA
   pratipad dharmāṇāṃ bhūtapratyavekṣā /	pratipad DarmANAm BUta-pratyavekzA /
   KP.60 astīti kāśyapa ayam eko 'ntaḥ nāstityayaṃ dvitīyo 'ntaḥ	KP.60 asti-iti kASyapa ayam ekaH antar na-astityayam dvitIyaH antar-
   yadetayordvayorantayormadhyam iyamucyate kāśyapa madhyamā pratipad	yat-etayoH-dvayoH-antayoH-maDyam iyam-ucyate kASyapa maDyamA pratipad-
   dharmāṇāṃ bhūtapratyavekṣat	DarmANAm BUta-pratyavekzat-
   KP.61 yadapi kāśyapa yuṣmākaṃ mayākhyāta / yaduta avidyāpratyayā saṃskārāḥ	KP.61 yat-api kASyapa yuzmAkam mayA-AKyAta / yat-uta avidyA-pratyayA saMskArAH
   saṃskārapratyayaṃ vijñānaṃ vijñānapratyayan nāmārūpannāmarūpapratyayaṃ	saMskAra-pratyayam vijQAnam vijQAna-pratyayat nAma-arUpat-nAma-rUpa-pratyayam
   ṣaḍāyatanaṃ ṣaḍāyatanapratyaya sparśaḥ saparśaprapratyayā vedanā	zaz-Ayatanam zaz-Ayatana-pratyaya sparSaH sa-parSa-prapratyayAH vedanA
   vedanāpratyayā tṛṣṇā tṛṣṇāpratyayam upādānam upādānapratyayo bhavaḥ	vedanA-pratyayA tRzNA tRzNA-pratyayam upAdAnam upAdAna-pratyayaH BavaH
   bhavapratyayā jātiḥ jātipratyayā	Bava-pratyayA jAtiH jAti-pratyayA
   jarāmaroṇaśokaparidevaduḥkhadaurmanasyopāyāsāḥ sambhavantyevam asya	jarA-maroNa-Soka-parideva-duHKa-dOrmanasya-upAyAsAH samBavanti-evam asya
   kevalasya mahato duḥkhaskandhasya samudayo bhavati /	kevalasya mahataH duHKa-skanDasya samudayaH Bavati /
   KP.62 avidyānirodhā saṃskāranirodhaḥ saṃskāranirodhādvijñānanirodhaḥ	KP.62 avidyA-niroDA saMskAra-niroDaH saMskAra-niroDAt-vijQAna-niroDaH
   vijñānanirodhānnāmarūpanirodhaḥ nāmarūpanirodhātṣaḍāyatanani	vijQAna-niroDAt-nAma-rUpa-niroDaH nAma-rUpa-niroDAt-zaz-a-Ayatanani
   cyate kāśyapa madhyamā pratipaddharmāṇāṃ bhūtapratyavekṣā //	cyate kASyapa maDyamA pratipad-DarmANAm BUta-pratyavekzA //
   KP.63 punaraparaṃ kāśyapa dharmāṇāṃ bhutapratyavekṣā yanna śunyatāyā	KP.63 punar-aparam kASyapa DarmANAm Buta-pratyavekzA yat-na SunyatAyA
   dharmā śūnyā karoti dharmā eva śūnyā / yannānimittena dharmān animittān	DarmA SUnyA karoti DarmAH eva SUnyAH / yat-na-animittena DarmAn animittAn
   karoti dharmā caivānimittāḥ yannāpraṇihitena dharmā / praṇihitān karoti	karoti DarmAH ca-eva-animittAH yat-na-apraNihitena DarmAH / praNihitAn karoti
   dharmā evāpraṇihitāḥ yannānabhisaṃskāreṇa dharmān abhisaṃskaroti dharmā	DarmAH eva-apraNihitAH yat-na-anaBisaMskAreNa DarmAn aBisaMskaroti DarmA
   cavānabhisaṃskṛtāḥ evaṃ nānutpadena dharmānnānutpādā karoti dharmā	cavAn-aBisaMskRtAH evam na-anutpadena DarmAt-na-anutpAdA karoti DarmA
   caivānutpannāḥ evaṃ najātā dharmān ajātīkaroti dharmā caivājātaḥ eva yanna	ca-eva-anutpannAH evam na-jAtA DarmAn ajAtIkaroti DarmA ca-eva-ajAtaH eva yat-na
   agrāhyā dharmānnagrāhyā karoti dharmā caivāgrāhyā / evam anāsravā dharmān	agrAhyAH Darma-anna-grAhyA karoti DarmA ca-eva-AgrAhyAH / evam anAsravAH DarmAn
   anāsravā karoti dharmā caivānāsravā / evaṃ yo nasvabhāvena dharmān	anAsravA karoti DarmA ca-eva-anAsravAH / evam yaH na-svaBAvena DarmAn
   asvabhāvikaroti dharmā caivāsvabhāvā / evaṃ yanna svabhāvena	asvaBAvikaroti DarmA ca-eva-asvaBAvAH / evam yat-na svaBAvena
   dharmāsvabhāvatā dharmāṇāṃ yatsvabhāvaṃ nopalabhate yā evaṃ pratyavekṣā	Darma-asvaBAva-tA DarmANAm yat-svaBAvam na-upalaBate yA evam pratyavekzA
   iyamucyate kāśyapa madhyamā pratipad dharmāṇāṃ bhūtapratyavekṣāḥ //	iyam-ucyate kASyapa maDyamA pratipad DarmANAm BUta-pratyavekzAH //
   KP.64 na khalu punaḥ kāśyapa pudgalabhāvavināśāya śūnyatā pudgalaścaiva	KP.64 na Kalu punar kASyapa pudgala-BAva-vinASAya SUnyatA pudgalaH-ca-eva
   śūnyatā śūnyatā caiva śūnyatā / atyantaśūnyatā / purvāntaśūnyatā /	SUnyatA SUnyatA ca-eva SUnyatA / atyanta-SUnyatA / purvAnta-SUnyatA /
   aparāntaśūnyatā pratyutpannaśūnyatā / śūnyatā kāśyapa pratisaratha mā	aparAnta-SUnyatA pratyutpanna-SUnyatA / SUnyatA kASyapa pratisaraTa mA
   pudgalam / ye khalu puna kāśyapaḥ śūnyatopalambhena śūnyatā pratisaranti /	pudgalam / ye Kalu puna kASyapaH SUnyatA-upalamBena SUnyatA pratisaranti /
   tān ahaṃ kāśyapa naṣṭapranaṣṭān iti vadāmi ito pravacanāt / varaṃ khalu	tAn aham kASyapa nazwa-pranazwAn iti vadAmi itas pravacanAt / varam Kalu
   puna kāśyapa sumerumātrā pudgaladṛṣṭirāśritā na tyevādhimānikasya	puna kASyapa sumeru-mAtrA pudgala-dRzwiH-ASritA na ti-eva-aDimAnikasya
   śūnyatādṛṣṭimālinā / tatkasmāddheto pudgaladṛṣṭigatānām kāśyapa śūnyatā	SUnyatA-dRzwi-mAlinA / tat-kasmAt-heto pudgala-dRzwi-gatAnAm kASyapa SUnyatA
   niḥsaraṇaṃ śunyatādṛṣṭi puna kāśyapa kena niḥsariṣyantiḥ //	niHsaraNam Sunyata-adRzwi puna kASyapa kena niHsarizyantiH //
   KP.65 tadyathāpi nāma kāśyapa kaścid eva puruṣo glāno bhavet / tasmai	KP.65 tat-yaTA-api nAma kASyapa kaScid eva puruzaH glAnaH Bavet / tasmE
   vaidyo bhaiṣajyaṃ dadyāt tasya tad bhaiṣajyaṃ sarvadoṣā ucālya koṣṭhagata	vEdyaH BEzajyam dadyAt tasya tat BEzajyam sarva-dozAH ucAlya kozWa-gata
   na nirgacchet tatkiṃ manyase kāśyapa api nu sa glānapuruṣastasmād glānyā	na nirgacCet tat-kim manyase kASyapa api nu sa glAna-puruzaH-tasmAt glAnyA
   parimukto bhavet / yasya tad bhaiṣajyaṃ sarvakoṣṭhagatā doṣān uccālya	parimuktaH Bavet / yasya tat BEzajyam sarva-kozWa-gatAH dozAn uccAlya
   koṣṭhagato na niḥsaret / āha no bhagavān / gāḍhataraśca tasya puruṣasya	kozWa-gataH na niHsaret / Aha naH BagavAn / gAXataraH-ca tasya puruzasya
   tadgelānyaṃ bhavet / yasya tad bhaiṣajyaṃ sarvadoṣān ucālya sakoṣṭhagataṃ	tat-gelA-anyam Bavet / yasya tat BEzajyam sarva-dozAn ucAlya sa-kozWa-gatam
