   akaṇṭakaṃ bhoktumanā Ram_2,84.13c	akaNwakam Boktu manAH Ram_2,84.13c
   pāṇḍurābhraghanaprakhyaṃ Ram_3,4. 8a	pANxura aBra Gana praKyam Ram_3,4. 8a
   pāṇḍurābhraghanaprabham Ram_2,5.4b	pANxura aBra Gana praBam Ram_2,5.4b
   pāṇḍurābhraprakāśeṣu Ram_2,82.6c	pANxura aBra prakASezu Ram_2,82.6c
   pāṇḍurāśvaś ca susthitaḥ Ram_2,13.10b	pANxurASvaH ca susTitaH Ram_2,13.10b
   pāṇḍureṇa virājitā Ram_3,46.11b	pANxureNa virAjitA Ram_3,46.11b
   pāṇḍurair upaśobhitam Ram_2,15.2b	pANxurEH upaSoBitam Ram_2,15.2b
   pātakair api te kṛtaiḥ Ram_2,33.15d	pAtakEH api te kRtEH Ram_2,33.15d
   pātayitvā ca tān balāt Ram_3,69.4b	pAtayitvA ca tAn balAt Ram_3,69.4b
   pātayitvā tu kaikeyyā Ram_2,38.5a	pAtayitvA tu kEkeyyAH Ram_2,38.5a
   pātayitvā śirodharām Ram_2,20.4d	pAtayitvA SiroDarAm Ram_2,20.4d
   pātayen nāśayeta vā Ram_3,54.11b	pAtayet nASayeta vE Ram_3,54.11b
   pātayeyaṃ nabhastalāt Ram_3,22.20b	pAtayeyam naBastalAt Ram_3,22.20b
   pātayeyaṃ rathottamāt Ram_3,48.27f	pAtayeyam raTa uttamAt Ram_3,48.27f
   pātito dharaṇītale Ram_3,63.16d	pAtitaH DaraNI tale Ram_3,63.16d
   pātito 'haṃ tadā tena Ram_3,36.17c	pAtitaH aham tadA tena Ram_3,36.17c
   pātu kāmeṣu vatseṣu Ram_2,38.16c	pAtu kAmezu vatsezu Ram_2,38.16c
   pātrīṇāṃ ca sahasrāṇi Ram_2,85.66a	pAtrINAm ca sahasrANi Ram_2,85.66a
   pādacchāyā viśiṣyate Ram_2,24.7d	pAda= CAyA viSizyate Ram_2,24.7d
   pādacchāyā sukhā bhartus Ram_2,42.14c	pAda= CAyA suKAH BartuH Ram_2,42.14c
   pādapapracyutāni ca Ram_2,85.18b	pAdapa pracyutAni ca Ram_2,85.18b
   pādapān atyavartata Ram_3,40.28b	pAdapAn atyavartate Ram_3,40.28b
   pādapān kāñcanān nūnaṃ Ram_3,45.33a	pAdapAn kAQcanAt nUnam Ram_3,45.33a
   pādapān vividhān api Ram_2,54.12d	pAdapAn viviDAn api Ram_2,54.12d
   pādapāḥ parvatāgreṣu Ram_2,42.12c	pAdapAH parvata agrezu Ram_2,42.12c
   pādapaiḥ pattrapuṣpāṇi Ram_2,89.8c	pAdapEH pattra puzpANi Ram_2,89.8c
   pādayor bharatas tadā Ram_2,104.14b	pAdayoH BarataH tadA Ram_2,104.14b
   pādāv aprāpya rāmasya Ram_2,93.36c	pAdO aprApya rAmasya Ram_2,93.36c
   pādāv āsādya jagrāha Ram_2,96.24c	pAdO AsAdya jagrAha Ram_2,96.24c
   pādukābhyāṃ nyavedayat Ram_2,107.22d	pAdukAByAm nyavedayat Ram_2,107.22d
   pāduke tv abhiṣicyātha Ram_2,107.22a	pAduke tu aBizicya aTa Ram_2,107.22a
   pāduke bharatas tadā Ram_2,105.1b	pAduke BarataH tadA Ram_2,105.1b
   pāduke hemabhūṣite Ram_2,104.21b	pAduke hema BUzite Ram_2,104.21b
   pāduke hemabhūṣite Ram_2,105.12b	pAduke hema BUzite Ram_2,105.12b
   pāduke hemabhūṣite Ram_2,107.14d	pAduke hema BUzite Ram_2,107.14d
   pāduke hemavikṛte Ram_2,105.13c	pAduke hema vikRte Ram_2,105.13c
   pāduke hy avaruhya ca Ram_2,104.22b	pAduke hi avaruhya ca Ram_2,104.22b
   pādukopānahāṃ caiva Ram_2,85.70c	pAdukA upAnahAm ca eva Ram_2,85.70c
   pādeṣv adya prasādayan Ram_2,93.16b	pAdezu adya prasAdayan Ram_2,93.16b
   pādair eva padātayaḥ Ram_2,86.32d	pAdEH eva padAtayaH Ram_2,86.32d
   pādau cāpy āyatāv ubhau Ram_2,9.32d	pAdO ca api AyatO uBO Ram_2,9.32d
   pādau jagrāha rāmasya Ram_3,70.6c	pAdO jagrAha rAmasya Ram_3,70.6c
   pādau tasyābhivanditum Ram_2,84.17d	pAdO tasya aBivanditum Ram_2,84.17d
   pādau paricaran vane Ram_2,54.6b	pAdO paricaran vane Ram_2,54.6b
   pādau paricariṣyanti Ram_2,9.39c	pAdO paricarizyanti Ram_2,9.39c
   pādau prakṣālya lakṣmaṇaḥ Ram_2,44.25b	pAdO prakzAlya lakzmaNaH Ram_2,44.25b
   pādyam arghyaṃ tathātithyaṃ Ram_2,85.2c	pAdyam arGyam taTA AtiTyam Ram_2,85.2c
   pādyenābhinimantrya ca Ram_3,44.32b	pAdyena aBinimantrya ca Ram_3,44.32b
   pānabhūmim asaṃskṛtām Ram_2,106.14d	pAna BUmim asaMskRtAm Ram_2,106.14d
   pānīyaṃ kṣipram ānaya Ram_2,58.5d	pAnIyam kzipram Anaya Ram_2,58.5d
   pāntu tvāṃ putra sarvataḥ Ram_2,22.4b	pAntu tvAm putra sarvatas Ram_2,22.4b
   pāpa eva niveśitaḥ Ram_3,57.15b	pApaH eva niveSitaH Ram_3,57.15b
   pāpakarmādhirohati Ram_3,69.26b	pApa karmA aDirohati Ram_3,69.26b
   pāpam ācaratāṃ ghoraṃ Ram_3,28.10a	pApam AcaratAm Goram Ram_3,28.10a
   pāpayos tu kathaṃ nāma Ram_2,20.8a	pApayoH tu kaTam nAma Ram_2,20.8a
   pāpaśīlasya mūrkhasya Ram_3,38.4c	pApa SIlasya mUrKasya Ram_3,38.4c
   pāpasaṃśamanaṃ rāmaś Ram_2,50.19c	pApa saMSamanam rAmaH Ram_2,50.19c
   pāpasvabhāvaś capalaḥ Ram_3,48.10a	pApa svaBAvaH capalaH Ram_3,48.10a
   pāpaṃ kartum ihecchasi Ram_2,84.13b	pApam kartum iha icCasi Ram_2,84.13b
   pāpaṃ kiṃcit kariṣyati Ram_2,8.21b	pApam kiMcid karizyati Ram_2,8.21b
   pāpaṃ kṛtveva kim idaṃ Ram_2,12.2a	pApam kRtvA iva kim idam Ram_2,12.2a
   pāpaṃ mayi na vidyate Ram_2,24.6d	pApam mayi na vidyate Ram_2,24.6d
   pāpaṃ lakṣmaṇa yad bhavet Ram_3,43.21b	pApam lakzmaNa yat Bavet Ram_3,43.21b
   pāpācārasamanvitaḥ Ram_2,101.3b	pApa AcAra samanvitaH Ram_2,101.3b
   pāpānāṃ karmaṇāṃ phalam Ram_3,28.9b	pApAnAm karmaNAm Palam Ram_3,28.9b
   pāpānubandho vai yasya Ram_3,49.27a	pApa anubanDaH vE yasya Ram_3,49.27a
   pāpā pāpānubandhinī Ram_2,43.5b	pApA pApa anubanDinI Ram_2,43.5b
   pāpābhijanabhāvayā Ram_2,53.15b	pApa aBijana BAvayA Ram_2,53.15b
   pāpāyā duḥkhabhāginaḥ Ram_2,46.12d	pApAyAH duHKa BAginaH Ram_2,46.12d
   pāpenānṛtasāntvena Ram_2,7.25a	pApena anRta sAntvena Ram_2,7.25a
   pāpenopādhinā vane Ram_3,41.5b	pApena upADinA vane Ram_3,41.5b
   pāpe pāpaṃ mayāpi vā Ram_2,10.33d	pApe pApam mayA api vE Ram_2,10.33d
   pāpe rāmavivāsanam Ram_2,33.15b	pApe rAma vivAsanam Ram_2,33.15b
   pāpo vā yadi vāśubhaḥ Ram_2,109.23b	pApaH vA yadi vA aSuBaH Ram_2,109.23b
   pāyayanti varāṅganāḥ Ram_2,85.51d	pAyayanti vara aFganAH Ram_2,85.51d
   pāyasaṃ kṛsaraṃ chāgaṃ Ram_2,69.22a	pAyasam kRsaram CAgam Ram_2,69.22a
   pāyasaṃ ca bubhukṣitāḥ Ram_2,85.49b	pAyasam ca buBukzitAH Ram_2,85.49b
   pārthivavyañjanānvitam Ram_3,16.6d	pArTiva vyaQjana anvitam Ram_3,16.6d
   pārthivavyañjanānvitau Ram_2,92.6b	pArTiva vyaQjana anvitO Ram_2,92.6b
   pārthivavyañjanānvitau Ram_3,18.12b	pArTiva vyaQjana anvitO Ram_3,18.12b
   pārthivasya mahātmanaḥ Ram_2,96.9b	pArTivasya mahAtmanaH Ram_2,96.9b
   pārthivebhyaḥ punaḥ punaḥ Ram_2,22.10b	pArTiveByaH punar punar Ram_2,22.10b
   pārvatīyais turaṃgamaiḥ Ram_2,65.10d	pArvatIyEH turaMgamEH Ram_2,65.10d
   pārśvataḥ pṛṣṭhataś cāpi Ram_2,35.18a	pArSvatas pRzWatas ca api Ram_2,35.18a
   pārśvasthena mahābala Ram_3,34.14b	pArSva sTena mahA balaH Ram_3,34.14b
   pārśvābhyām upaśobhitam Ram_3,41.1d	pArSvAByAm upaSoBitam Ram_3,41.1d
   pārśve nyaviśad āvṛtya Ram_2,91.16c	pArSve nyaviSat AvRtya Ram_2,91.16c
   pālayan kleśam āpnuhi Ram_2,98.57d	pAlayan kleSam Apnuhi Ram_2,98.57d
   pālayiṣyāmi tattvataḥ Ram_2,105.10b	pAlayizyAmi tattvataH Ram_2,105.10b
   pāvakasyāśramasthasya Ram_3,10.49c	pAvakasya ASrama sTasya Ram_3,10.49c
   pāvakaṃ visasarjatuḥ Ram_3,68.1d	pAvakam visasarjatuH Ram_3,68.1d
   pāśahasta ivāntakaḥ Ram_3,28.22d	pASa hastaH iva antakaH Ram_3,28.22d
   pāśahastam ivāntakam Ram_3,27.11d	pASa hastam iva antakam Ram_3,27.11d
   pāśahastam ivāntakam Ram_3,37.15d	pASa hastam iva antakam Ram_3,37.15d
   pāśāḥ kālakṛtā iva Ram_3,24.17d	pASAH kAla kRtAH iva Ram_3,24.17d
   pāśair iva mahāgajaḥ Ram_2,66.30d	pASEH iva mahA gajaH Ram_2,66.30d
   pāśair baddhaṃ mahājavaḥ Ram_3,53.24b	pASEH badDam mahA javaH Ram_3,53.24b
   pāsyāmi rudhiraṃ mṛdhe Ram_3,2.13f	pAsyAmi ruDiram mRDe Ram_3,2.13f
   pāhi cāsmān nararṣabha Ram_2,73.5d	pAhi ca asmAn nara RzaBaH Ram_2,73.5d
   pāṃśuguṇṭhitasarvāṅgīṃ Ram_2,17.18c	pAMSu guNWita sarva aFgIm Ram_2,17.18c
   pāṃśuguṇṭhitasarvāṅgīṃ Ram_2,110.28c	pAMSu guNWita sarva aFgIm Ram_2,110.28c
   pāṃsubhiḥ śvabhram āyatam Ram_2,74.9b	pAMsuBiH SvaBram Ayatam Ram_2,74.9b
   pāṃsurūṣitasarvāṅgaḥ Ram_3,29.7a	pAMsu rUzita sarva aFgaH Ram_3,29.7a
   piṅgākṣās tāṃ viśālākṣīṃ Ram_3,52.4a	piFga akzAH tAm viSAla akzIm Ram_3,52.4a
   piṇyākaṃ darbhasaṃstare Ram_2,95.30b	piNyAkam darBa saMstare Ram_2,95.30b
   pitaraś cāpi tarpitāḥ Ram_3,71. 4d	pitaraH ca api tarpitAH Ram_3,71. 4d
   pitaraṃ kartum icchasi Ram_2,16.23b	pitaram kartum icCasi Ram_2,16.23b
   pitaraṃ ca paraṃtapa Ram_2,64.15d	pitaram ca paraMtapaH Ram_2,64.15d
   pitaraṃ taṃ mahīpatim Ram_2,103.32d	pitaram tam mahIpatim Ram_2,103.32d
   pitaraṃ trāyate sutaḥ Ram_2,99.12b	pitaram trAyate sutaH Ram_2,99.12b
   pitaraṃ trāhi dharmajña Ram_2,99.10c	pitaram trAhi Darma jQaH Ram_2,99.10c
   pitaraṃ devasaṃkāśaṃ Ram_2,1.11c	pitaram deva saMkASam Ram_2,1.11c
   pitaraṃ dharmagauravāt Ram_2,30.7d	pitaram Darma gOravAt Ram_2,30.7d
   pitaraṃ narakāt prabho Ram_2,99.14d	pitaram narakAt praBo Ram_2,99.14d
   pitaraṃ pitur ālaye Ram_2,66.1b	pitaram pituH Alaye Ram_2,66.1b
   pitaraṃ mātaraṃ ca me Ram_2,41.5b	pitaram mAtaram ca me Ram_2,41.5b
   pitaraṃ mocayānṛtāt Ram_3,45.13d	pitaram mocaya anRtAt Ram_3,45.13d
   pitaraṃ yady avekṣase Ram_2,104.5d	pitaram yadi avekzase Ram_2,104.5d
   pitaraṃ yo na paśyāmi Ram_2,66.22c	pitaram yaH na paSyAmi Ram_2,66.22c
   pitaraṃ yauvarājyastho Ram_2,52.16c	pitaram yOvarAjya sTaH Ram_2,52.16c
   pitaraṃ rakṣa kilbiṣāt Ram_2,98.66d	pitaram rakza kilbizAt Ram_2,98.66d
   pitaraṃ vākyakovidaḥ Ram_2,31.24d	pitaram vAkya kovidaH Ram_2,31.24d
   pitaraṃ satyavādinam Ram_2,99.9b	pitaram satya vAdinam Ram_2,99.9b
   pitaraṃ satyavādinām Ram_2,39.3d	pitaram satya vAdinAm Ram_2,39.3d
   pitari svargam āpanne Ram_2,71.17a	pitari svargam Apanne Ram_2,71.17a
   pitarau vākyam abravīt Ram_2,58.40d	pitarO vAkyam abravIt Ram_2,58.40d
   pitā ca tridivaṃ gataḥ Ram_2,68.10d	pitA ca tridivam gataH Ram_2,68.10d
   pitā ca mama rāghavaḥ Ram_2,52.21d	pitA ca mama rAGavaH Ram_2,52.21d
   pitā ca rājā kākutsthaḥ Ram_2,35.26a	pitA ca rAjA kAkutsTaH Ram_2,35.26a
   pitā cāsyedam abravīt Ram_2,58.25d	pitA ca asya idam abravIt Ram_2,58.25d
   pitā tasya tutoṣa ha Ram_2,1.5d	pitA tasya tutoza ha Ram_2,1.5d
   pitā tāvan na te rāma Ram_2,16.42c	pitA tAvat na te rAmaH Ram_2,16.42c
   pitā te tat tathākarot Ram_2,66.42b	pitA te tat taTA akarot Ram_2,66.42b
   pitā tvāṃ draṣṭum icchati Ram_2,14.11b	pitA tvAm drazwum icCati Ram_2,14.11b
   pitā daśarathas tava Ram_2,105.17b	pitA daSaraTaH tava Ram_2,105.17b
   pitā daśarathaḥ prītyā Ram_2,5.9c	pitA daSaraTaH prItyA Ram_2,5.9c
   pitā daśaratho mama Ram_2,64.6b	pitA daSaraTaH mama Ram_2,64.6b
   pitā daśaratho mama Ram_2,103.11b	pitA daSaraTaH mama Ram_2,103.11b
   pitā nas tridivaṃ gataḥ Ram_2,98.32d	pitA naH tridivam gataH Ram_2,98.32d
   pitā naḥ pṛthivīpatiḥ Ram_2,98.31d	pitA naH pRTivIpatiH Ram_2,98.31d
   pitā putrān ivānvagāt Ram_2,49.2b	pitA putrAn iva anvagAt Ram_2,49.2b
   pitā putrān ivaurasān Ram_2,2.26d	pitA putrAn iva OrasAn Ram_2,2.26d
   pitā mama nareśvaraḥ Ram_2,23.27d	pitA mama nareSvaraH Ram_2,23.27d
   pitāmaham atoṣayam Ram_3,67.8b	pitAmaham atozayam Ram_3,67.8b
   pitāmahavacaḥ satyaṃ Ram_3,67.11c	pitAmaha vacaH satyam Ram_3,67.11c
   pitāmahaś cāpi samīkṣya taṃ dvijaṃ Ram_3,4. 36c	pitAmahaH ca api samIkzya tam dvijam Ram_3,4. 36c
   pitāmahaṃ sānucaraṃ dadarśa ha Ram_3,4. 36b	pitAmaham sa anucaram dadarSa ha Ram_3,4. 36b
   pitā mahātmā vibudhādhipopamaḥ Ram_2,97.24b	pitA mahAtmA vibuDa aDipa upamaH Ram_2,97.24b
   pitāmahair ācaritaṃ Ram_2,15.5a	pitAmahEH Acaritam Ram_2,15.5a
   pitā mātā gṛhaṃ vasu Ram_2,100.6b	pitA mAtA gRham vasu Ram_2,100.6b
   pitā mātā ca rāghava Ram_2,103.2d	pitA mAtA ca rAGavaH Ram_2,103.2d
   pitā me jagatīpatiḥ Ram_2,21.10b	pitA me jagatIpatiH Ram_2,21.10b
   pitā me nāvabuddhavān Ram_2,67.4d	pitA me na avabudDavAn Ram_2,67.4d
   pitā me mithilādhipaḥ Ram_2,27.3b	pitA me miTilA aDipaH Ram_2,27.3b
   pitā me mithilādhipaḥ Ram_2,110.31b	pitA me miTilA aDipaH Ram_2,110.31b
   pitā me vinaśiṣyati Ram_2,45.17d	pitA me vinaSizyati Ram_2,45.17d
   pitā me vinaśiṣyati Ram_2,80.17d	pitA me vinaSizyati Ram_2,80.17d
   pitā me satyavikramaḥ Ram_2,66.28b	pitA me satya vikramaH Ram_2,66.28b
   pitā yan māṃ na jānāti Ram_2,57.32c	pitA yat mAm na jAnAti Ram_2,57.32c
   pitā yāny āha sāntvayan Ram_2,95.17b	pitA yAni Aha sAntvayan Ram_2,95.17b
   pitā hi bhavati jyeṣṭho Ram_2,66.27a	pitA hi Bavati jyezWaH Ram_2,66.27a
   pitā hy enaṃ janayati Ram_2,103.3a	pitA hi enam janayati Ram_2,103.3a
   pitur ājñām anusmaran Ram_2,43.1d	pituH AjQAm anusmaran Ram_2,43.1d
   pitur ājñāṃ puraskṛtya Ram_2,1.12a	pituH AjQAm puraskRtya Ram_2,1.12a
   pitur ārtasya bhāṣitam Ram_2,31.28b	pituH Artasya BAzitam Ram_2,31.28b
   pitur āryasya śāsanam Ram_2,98.38d	pituH Aryasya SAsanam Ram_2,98.38d
   pitur iṅgudīpiṇyākaṃ Ram_2,96.6c	pituH iFgudI piNyAkam Ram_2,96.6c
   pitur eṣāṃ purohitaḥ Ram_2,71.21b	pituH ezAm purohitaH Ram_2,71.21b
   pitur grahīṣye caraṇau Ram_2,66.13a	pituH grahIzye caraNO Ram_2,66.13a
   pitur dattaṃ samīkṣya me Ram_2,96.12b	pituH dattam samIkzya me Ram_2,96.12b
   pitur daśarathasya ca Ram_3,35.11b	pituH daSaraTasya ca Ram_3,35.11b
   pitur daśarathasya me Ram_2,44.22b	pituH daSaraTasya me Ram_2,44.22b
   pitur nideśaṃ vidhivac cikīrṣuḥ Ram_2,30.22d	pituH nideSam viDivat cikIrzuH Ram_2,30.22d
   pitur nideśena tu dharmavatsalo Ram_2,30.24a	pituH nideSena tu Darma vatsalaH Ram_2,30.24a
   pitur nirdeśapālane Ram_2,21.1b	pituH nirdeSa pAlane Ram_2,21.1b
   pitur maraṇaduḥkhitaḥ Ram_2,66.16b	pituH maraNa duHKitaH Ram_2,66.16b
   pitur maraṇasaṃhitām Ram_2,95.8b	pituH maraNa saMhitAm Ram_2,95.8b
   pitur mahātmā pratihāraṇārtham Ram_2,30.23d	pituH mahAtmA pratihAraNa arTam Ram_2,30.23d
   pitur mahātmā praviveśa veśma Ram_2,65.27f	pituH mahAtmA praviveSa veSma Ram_2,65.27f
   pitur mātuś ca yantritaḥ Ram_3,16.15b	pituH mAtuH ca yantritaH Ram_3,16.15b
   pitur mātuś ca vaśyatā Ram_2,27.29b	pituH mAtuH ca vaSya tA Ram_2,27.29b
   pitur me śayanaṃ purā Ram_2,66.17b	pituH me Sayanam purA Ram_2,66.17b
   pitur vacanakāriṇā Ram_2,18.29d	pituH vacana kAriNA Ram_2,18.29d
   pitur vacanam uttamam Ram_2,18.33d	pituH vacanam uttamam Ram_2,18.33d
   pitur vacasi tiṣṭhati Ram_2,103.21b	pituH vacasi tizWati Ram_2,103.21b
   pitur vināśāt saumitre Ram_3,2.19c	pituH vinASAt sOmitre Ram_3,2.19c
   pitur hi mahiṣīṃ devīṃ Ram_2,86.20c	pituH hi mahizIm devIm Ram_2,86.20c
   pitur hi vacanaṃ kurvan Ram_2,18.31c	pituH hi vacanam kurvan Ram_2,18.31c
   pitur hi vacanād vīra Ram_2,18.35c	pituH hi vacanAt vIraH Ram_2,18.35c
   pitur hi śuśrāva sakhitvam ātmavāñ Ram_3,13.35c	pituH hi SuSrAva saKi tvam AtmavAn Ram_3,13.35c
   pitur hi samatikrāntaṃ Ram_2,98.53a	pituH hi samatikrAntam Ram_2,98.53a
   pituś cakāra tejasvī Ram_2,95.29c	pituH cakAra tejasvI Ram_2,95.29c
   pituś ca sakalām imām Ram_2,68.26b	pituH ca sakalAm imAm Ram_2,68.26b
   pituś cānṛṇatā dharme Ram_2,88.17c	pituH ca anRNatA Darme Ram_2,88.17c
   pitus tasyāś ca yā tava Ram_2,20.18b	pituH tasyAH ca yA tava Ram_2,20.18b
   pitus tvam eva me gatvā Ram_2,57.34a	pituH tvam eva me gatvA Ram_2,57.34a
   pituḥ pratijñāṃ tām eva Ram_2,105.10a	pituH pratijQAm tAm eva Ram_2,105.10a
   pituḥ śarīranirvāṇaṃ Ram_2,71.8c	pituH SarIra nirvANam Ram_2,71.8c
   pituḥ samīpaṃ gacchantaṃ Ram_2,3.14c	pituH samIpam gacCantam Ram_2,3.14c
   pitṛtvaṃ nopalakṣaye Ram_2,52.21b	pitR tvam na upalakzaye Ram_2,52.21b
   pitṛpaitāmahaṃ mahat Ram_2,73.5b	pitRpEtAmaham mahat Ram_2,73.5b
   pitṛpaitāmahaṃ mahat Ram_3,64.23b	pitRpEtAmaham mahat Ram_3,64.23b
   pitṛpaitāmahaṃ rājyam Ram_2,8.9c	pitRpEtAmaham rAjyam Ram_2,8.9c
   pitṛpaitāmahaṃ rājyaṃ Ram_3,48.19c	pitRpEtAmaham rAjyam Ram_3,48.19c
   pitṛpaitāmahāñ śucīn Ram_2,94.21b	pitRpEtAmahAn SucIn Ram_2,94.21b
   pitṛpaitāmahe sthitaḥ Ram_2,92.7b	pitRpEtAmahe sTitaH Ram_2,92.7b
   pitṛpaitāmaho dhruvaḥ Ram_2,98.29b	pitRpEtAmahaH DruvaH Ram_2,98.29b
   pitṛlokagatasyādya Ram_2,95.28c	pitR loka gatasya adya Ram_2,95.28c
   pitṛlokeṣu rāghava Ram_2,95.7b	pitR lokezu rAGavaH Ram_2,95.7b
   pitṛvat paripālitam Ram_2,51.12d	pitR vat paripAlitam Ram_2,51.12d
   pitṛvat pālayiṣyati Ram_2,8.8b	pitR vat pAlayizyati Ram_2,8.8b
   pitṛvan mātṛvac ca saḥ Ram_2,95.45d	pitR vat mAtR vat ca saH Ram_2,95.45d
   pitṛvratatvaṃ satyaṃ ca Ram_3,5.8c	pitR vrata tvam satyam ca Ram_3,5.8c
   pitṛśokabalārditaḥ Ram_2,66.15d	pitR Soka bala arditaH Ram_2,66.15d
   pitṛsnehaṃ nidarśayan Ram_3,63.25d	pitR sneham nidarSayan Ram_3,63.25d
   pitṝn devāṃś ca tarpayan Ram_2,101.26d	pitLn devAn ca tarpayan Ram_2,101.26d
   pitṝn yat pāti vā sutaḥ Ram_2,99.12d	pitLn yat pAti vA sutaH Ram_2,99.12d
   piteva parituṣyati Ram_2,2.28d	pitA iva parituzyati Ram_2,2.28d
   pitevābhipariṣvajan Ram_2,39.10b	pitA iva aBiparizvajan Ram_2,39.10b
   pitrā ca vividhāśrayam Ram_2,24.8b	pitrA ca viviDa ASrayam Ram_2,24.8b
   pitrā te mama rāghava Ram_2,16.21b	pitrA te mama rAGavaH Ram_2,16.21b
   pitrā dattaṃ yathābhāgam Ram_2,97.22c	pitrA dattam yaTABAgam Ram_2,97.22c
   pitrā daśarathena me Ram_2,23.20b	pitrA daSaraTena me Ram_2,23.20b
   pitrā niyuktā bhagavan Ram_2,48.15a	pitrA niyuktAH Bagavan Ram_2,48.15a
   pitrā nirastaḥ kruddhena Ram_3,34.10a	pitrA nirastaH krudDena Ram_3,34.10a
   pitrā pravrājyamānaṃ māṃ Ram_2,48.14a	pitrA pravrAjyamAnam mAm Ram_2,48.14a
   pitrā bhrātrā ca te dattaṃ Ram_2,76.6a	pitrA BrAtrA ca te dattam Ram_2,76.6a
   pitrā mātrā ca yat sādhur Ram_2,34.11c	pitrA mAtrA ca yat sADuH Ram_2,34.11c
   pitrā me bharataś cāpi Ram_2,23.22c	pitrA me BarataH ca api Ram_2,23.22c
   pitrā me sukṛtaṃ kṛtam Ram_2,103.29d	pitrA me sukRtam kRtam Ram_2,103.29d
   pitrā yo 'sau mahāyaśāḥ Ram_2,84.12b	pitrA yaH asO mahA yaSAH Ram_2,84.12b
   pitrā rājyād vivāsitam Ram_2,78.4b	pitrA rAjyAt vivAsitam Ram_2,78.4b
   pitrā satyābhisaṃdhinā Ram_2,110.48b	pitrA satya aBisaMDinA Ram_2,110.48b
   pitrā hīno 'si lakṣmaṇa Ram_2,95.19b	pitrA hInaH asi lakzmaNa Ram_2,95.19b
   pitryaṃ rājyam akaṇṭakam Ram_2,98.61b	pitryam rAjyam akaNwakam Ram_2,98.61b
   pitryaṃ rājyam avāpsyati Ram_2,8.23d	pitryam rAjyam avApsyati Ram_2,8.23d
   pitryaṃ rājyaṃ samutsṛjya Ram_2,100.7a	pitryam rAjyam samutsRjya Ram_2,100.7a
   pipāsita ivodakam Ram_3,49.20d	pipAsitaH iva udakam Ram_3,49.20d
   pippalīnāṃ ca pakvānāṃ Ram_3,10.47a	pippalInAm ca pakvAnAm Ram_3,10.47a
   pippalīvanaśobhite Ram_3,10.37b	pippalI vana SoBite Ram_3,10.37b
   pibann añjalinā tailaṃ Ram_2,63.9c	piban aQjalinA tElam Ram_2,63.9c
   pibaṃś cāraṇyakaṃ madhu Ram_2,32.5b	piban ca AraNyakam maDu Ram_2,32.5b
   pibāmi vā viṣaṃ tīkṣṇaṃ Ram_3,43.34a	pibAmi vA vizam tIkzNam Ram_3,43.34a
   pibeyam aham āhave Ram_3,18.16d	pibeyam aham Ahave Ram_3,18.16d
   piśācapatagoragāḥ Ram_3,46.3b	piSAca pataga uragAH Ram_3,46.3b
   piśācapatagoragaiḥ Ram_3,30.18b	piSAca pataga uragEH Ram_3,30.18b
   piśācavadanān kharān Ram_3,49.13b	piSAca vadanAn KarAn Ram_3,49.13b
   piśācavadanāḥ kharāḥ Ram_3,60.31b	piSAca vadanAH KarAH Ram_3,60.31b
   piśācavadanair yuktaṃ Ram_3,33.6c	piSAca vadanEH yuktam Ram_3,33.6c
   piśācavadanaiḥ kharaiḥ Ram_3,40.6d	piSAca vadanEH KarEH Ram_3,40.6d
   piśācīr ghoradarśanāḥ Ram_3,52.14b	piSAcIH Gora darSanAH Ram_3,52.14b
   pīṭhe kārṣṇāyase cainaṃ Ram_2,63.13a	pIWe kArzNAyase ca enam Ram_2,63.13a
   pīḍayan vākyam abravīt Ram_2,44.17d	pIxayan vAkyam abravIt Ram_2,44.17d
   pīḍayā pīḍitaṃ sarvaṃ Ram_2,30.14a	pIxayA pIxitam sarvam Ram_2,30.14a
   pīḍito 'tra pratijñayā Ram_2,32.1b	pIxitaH atra pratijQayA Ram_2,32.1b
   pītakauśeyakenāsi Ram_3,58.25a	pIta kOSeyakena asi Ram_3,58.25a
   pītakauśeyavāsanī Ram_3,50.13b	pIta kOSeya vAsanI Ram_3,50.13b
   pītakauśeyavāsini Ram_3,44.15b	pIta kOSeya vAsini Ram_3,44.15b
   pītakauśeyavāsinīm Ram_3,44.12b	pIta kOSeya vAsinIm Ram_3,44.12b
   pītakauśeyavāsinīm Ram_3,58.13b	pIta kOSeya vAsinIm Ram_3,58.13b
   pītamaṇḍāṃ surām iva Ram_2,32.10d	pIta maNxAm surAm iva Ram_2,32.10d
   pītamāñjiṣṭhavarṇāś ca Ram_2,88.5c	pIta mAQjizWa varNAH ca Ram_2,88.5c
   pītāmṛtasyāpi tavāsti mokṣaḥ Ram_3,46.23d	pIta amRtasya api tava asti mokzaH Ram_3,46.23d
   pītvā tu rudhiraṃ tayoḥ Ram_3,22.22b	pItvA tu ruDiram tayoH Ram_3,22.22b
   pītvāpaḥ parimṛjya ca Ram_2,85.10b	pItvA apaH parimRjya ca Ram_2,85.10b
   pītvā vāri mahāyaśāḥ Ram_2,81.17b	pItvA vAri mahA yaSAH Ram_2,81.17b
   pīnottuṅgapayodharām Ram_3,32.18b	pIna uttuFga payoDarAm Ram_3,32.18b
   pīnonnatamukhau kāntau Ram_3,44.19a	pIna unnata muKO kAntO Ram_3,44.19a
