   śrī bhakti sandarbhaḥ	SrI  Bakti sandarBaH
   tasya citraketoḥ | atrāpi tadaiva tasya sāmmukhyaṃ jāyam | kālāntare tu	tasya citraketoH | atra api tadA eva tasya sAmmuKyam jAyam | kAla antare tu
   prādurbhūtam iti mantavyam | ataeva tad vilāpa samaye śrīmatāṅgirasaiva  	prAdurBUtam iti mantavyam | ataeva tad  vilApa  samaye SrImatA aFgirasA eva  
   brahmaṇyo bhagavad bhakto nāvasīditum arhati [BhP 6.15.12] ity uktam |	brahmaNyaH Bagavat  BaktaH na avasIditum arhati [Bhj 6.15.12] iti uktam |
   || 6.14 || śrī śukaḥ || 182 ||	|| 6.14 || SrI  SukaH || 182 ||
   satāṃ kṛpā ca duravasthā darśana mātrodbhavā na svopāsanādy apekṣā,	satAm kRpA ca duravasTA  darSana  mAtrA udBavA na sva upAsana Adi  a pekzA,
   yathā śrī nāradasya nalakūvara maṇigrīvayoḥ | tad āha  	yaTA SrI nAradasya nala kUvara maNigrIvayoH | tat Aha  
   bhajanti ye yathā devān devā api tathaiva tān |	Bajanti ye yaTA devAn devAH api taTA eva tAn |
   chāyeva karma sacivāḥ sādhavo dīna vatsalāḥ || [BhP 11.2.6] iti |	CAyA iva karma sacivAH sADavaH dIna vatsalAH || [Bhj 11.2.6] iti |
   spaṣṭam || 11.2 || śrīmān ānakadundubhiḥ || 183 ||	spazwam || 11.2 || SrImAn AnakadunduBiH || 183 ||
   tad evaṃ sat saṅgamātrasya tat sāmmukhya mātre nidānatvam uktam | etad	tat evam sat saFga mAtrasya tat  sAmmuKya   mAtre nidAna tvam uktam | etat 
   eva vyaktirekeṇāha  	eva vyaktiH ekeNa Aha  
   na hy am mayāni tīrthāni na devā mṛc chilā mayāḥ |	na hi am mayAni tIrTAni na devAH mRc SilA  mayAH |
   te punanty uru kālena darśanād eva sādhavaḥ || [BhP 10.84.11]	te punanti uru   kAlena darSanAt eva sADavaH || [Bhj 10.84.11]
   te kathaṃ nādriyante gauṇatvād ity āha te punantīti |	te kaTam na Adriyante gONa tvAt iti Aha te punanti iti |
   || 10.84 || śrī bhagavān muni vargam || 184 ||	|| 10.84 || SrI  BagavAn muni vargam || 184 ||
   tad evaṃ satsaṅgamātrasya tat sāmmukhya mātre nidānatvam uktam | etad	tat evam sat saFga mAtrasya tat  sAmmuKya   mAtre nidAna tvam uktam | etat 
   eva vyatirekeṇāha   	eva vyatirekeNa Aha   
   jñānaṃ viśuddhaṃ paramārtham ekam	jQAnam viSudDam parama arTam ekam
   anantaraṃ tv abahir brahma satyam |	anantaram tu abahis brahma satyam |
   pratyak praśāntaṃ bhagavac chabda saṃjñaṃ	pratyak praSAntam Bagavac  Sabda  saMjQam
   yad vāsudevaṃ kavayo vadanti ||	yat vAsudevam kavayaH vadanti ||
   rahūgaṇaitat tapasā na yāti	rahU gaNa etat tapasA na yAti
   na cejyayā nirvapaṇād gṛhād vā | (page 93)	na ca ijyayA nirvapaNAt gRhAt vA | (page 93)
   na cchandasā naiva jalāgni sūryair	na cCandasA na eva jala agni  sUryEH 
   vinā mahat pāda rajo 'bhiṣekam || [BhP 5.12.12]	vinA mahat pAda  rajo  aBizekam || [Bhj 5.12.12]
   tarhi kiṃ satyam ? jñānaṃ satyam | vyāvahārika satyatvaṃ vyāvartayati |	tarhi kim satyam ? jQAnam satyam | vyAvahArika  satya tvam vyAvartayati |
   paramārtham | vṛtti jñāna vyavacchedārthāni ṣaḍ viśeṣaṇāni | viśuddhaṃ tat	parama arTam | vRtti jQAna  vyavacCeda arTAni zaz  viSezaNAni | viSudDam tat 
   tu āvidyakam | ekaṃ tat tu nānā rūpam | anantaraṃ tu bahir bāhyābhyantara 	tu Avidyakam | ekam tat tu nAnA  rUpam | anantaram tu bahis bAhya aByantara 
   śūnyaṃ tat tu viparītaṃ brahma paripūrṇaṃ tat tu paricchinnam | pratyak	SUnyam tat tu viparItam brahma paripUrNam tat tu paricCinnam | pratyak
   tat	tat 
   tu viṣayākāram | praśāntaṃ nirvikāraṃ, tat tu sa vikāram | tad evaṃ	tu vizaya AkAram | praSAntam nirvikAran, tat tu sa vikAram | tat evam
   svarūpaṃ	svarUpam
   jñānaṃ satyam ity uktam | kīdṛśaṃ tat ? aiśvaryādi ṣaḍ guṇatvena bhagavac 	jQAnam satyam iti uktam | kIdRSam tat ? ESvarya Adi zaz  guNa tvena Bagavac 
   chabdaḥ saṃjñā yasya | yac ca jñānaṃ vāsudevaṃ vadanti | tat prāptiś ca	CabdaH saMjQA yasya | yat ca jQAnam vAsudevam vadanti | tat prAptiH ca
   mahat sevāṃ vinā na bhavatīty āha he rahūgaṇa | etaj jñānaṃ tapasā puruṣo	mahat  sevAm vinA na Bavati iti Aha he rahU gaNa | etat jQAnam tapasA puruzaH 
   na yāti ijyayā vaidika karmaṇā nirvapaṇād annādi saṃvibhāgena gṛhād vā	na yAti ijyayA vEdika karmaNA nirvapaNAt anna Adi  saMviBAgena gRhAt vA
   tan nimitta paropakāreṇa chandasā vedābhyāsena jalāgny ādibhir upāsitair	tan  nimitta  para upakAreNa CandasA veda aByAsena jala agni  AdiBiH upAsitEH 
   ity eṣā |	iti ezA |
   atra brahmatvādinā jīva svarūpaṃ sūkṣmatvādi dharmakaṃ jñānam api	atra brahma tva AdinA jIva  svarUpam sUkzma tva Adi Darmakam jQAnam api
   nirastaṃ veditavyam ||	nirastam veditavyam ||
   || 5.12 || śrī brāhmaṇo rahūgaṇam || 185 ||	|| 5.12 || SrI  brAhmaNaH rahU gaNam || 185 ||
   tad evaṃ sat saṅga eva tat sāmmukhye dvāram ity uktam | te ca santas tat 	tat evam sat saFgaH eva tat  sAmmuKye dvAram iti uktam | te ca santaH tat 
   sammukhā evātra gṛhyante | na tu vaidikācāra mātra parā anupayogitvāt |	sammuKAH eva atra gRhyante | na tu vEdika AcAra  mAtra  parAH anupayogi tvAt |
   tatra yādṛśaḥ sat saṅgas tādṛśam eva sāmmukhyaṃ bhavatīti vaktuṃ teṣu	tatra yAdRSaH sat saFgaH tAdRSam eva sAmmuKyam Bavati iti vaktum tezu
   satsu ye mahāntas teṣāṃ dvaividhyam āha sārdhena |	satsu ye mahAntaH tezAm dvEviDyam Aha sArDena |
   mahāntas te sama cittāḥ praśāntā	mahAntaH te sama cittAH praSAntA
   vimanyavaḥ suhṛdaḥ sādhavo ye |	vimanyavaH suhRdaH sADavaH ye |
   ye vā mayīśe kṛta sauhṛdārthā	ye vA mayi ISe kRta sOhRdArTA
   janeṣu dehambhara vārtikeṣu ||	janezu dehamBara vArtikezu ||
   gṛheṣu jāyātmaja rātimatsu	gRhezu jAyA Atmaja  rAtimatsu
   na prīti yuktā yāvad arthāś ca loke || [BhP 5.5.2 3]	na prIti yuktAH yAvat  arTAH ca loke || [Bhj 5.5.2 3]
   ye sama cittā nirviśeṣa brahma niṣṭhās te mahāntas teṣāṃ śīlam āha	ye sama cittAH nirviSeza  brahma  nizWAH te mahAntaH tezAm SIlam Aha
   praśāntā ity ādi | mahad viśeṣam āha ye veti | vā śabdaḥ pakṣāntare |	praSAntAH iti Adi | mahat  viSezam Aha ye vA iti | vA SabdaH pakza antare |
   uttara pakṣatvād asyaiva śreṣṭhatvaṃ mayi kṛtaṃ siddhaṃ yat sauhṛdaṃ prema	uttara  pakza tvAt asya eva SrezWa tvam mayi kRtam sidDam yat sOhRdam prema
   tad eva arthaḥ puruṣārtho yeṣāṃ yathā bhūtā ye te mahānta iti	tat eva arTaH puruza arTaH yezAm yaTA BUtAH ye te mahAnte iti
   pūrveṇānvayaḥ | yato mayi sauhṛdārthās tata eva deambhaaravārtikeṣu	pUrveNa anvayaH | yatas mayi sOhRdArTAH tatas eva deamBaara vArtikezu
   viṣaya vārtā niṣṭheṣu janeṣu tathā geheṣu jāyātmaja bandhu varga yukteṣu	vizaya  vArtA  nizWezu janezu taTA gehezu jAyA Atmaja  banDu  varga  yuktezu
   na prīti yuktāḥ, kintu yāvad arthaḥ yāvān arthaḥ śrī bhagavad 	na prIti  yuktAH, kintu yAvat  arTaH yAvAn arTaH SrI  Bagavat  
   bhajanānurūpaṃ prayojanaṃ tāvān artho dhanaṃ yeṣāṃ tathābhūtā ity arthaḥ |	Bajana anurUpam prayojanam tAvAn arTaH Danam yezAm taTABUtAH iti arTaH |
   ubhayor mahattvaṃ ca mahā jñānitvān mahā bhāgavatatvāc ca, na tu dvayoḥ	uBayoH mahat tvam ca mahA  jQAni tvAt mahA BAgavata tvAt ca, na tu dvayoH
   sāmyābhiprāyeṇa | muktānām api siddhānāṃ nārāyaṇa parāyaṇaḥ [BhP	sAmya aBiprAyeNa | muktAnAm api sidDAnAm nArAyaNa  parAyaNaH [BhP
   6.14.5] ity ādy ukteḥ | atra jñāna mārge brahmānubhavino mahānto bhakti 	6.14.5] iti Adi  ukteH | atra jQAna  mArge brahma anuBavinaH mahAntaH Bakti 
   mārge labdha bhagavat premāṇo mahānta iti lakṣaṇa sāmānyam iti jñeyam |	mArge labDa  Bagavat  premANaH mahAnte iti lakzaNa  sAmAnyam iti jQeyam |
   || 5.5 || śrī ṛṣabhaḥ sva putrān || 186 ||	|| 5.5 || SrI  RzaBaH sva putrAn || 186 ||
   atra caivaṃ vivecanīyam | tat tan mārge siddhā mahānto dvividhā darśitāḥ |	atra ca evam vivecanIyam | tat tan  mArge sidDAH mahAntaH dviviDAH darSitAH |
   atra ca jñāna siddhāḥ | dehaṃ ca naśvaram avasthitam utthitaṃ vā siddho na	atra ca jQAna  sidDAH | deham ca naSvaram avasTitam utTitam vA sidDaH na
   paśyati yato'dhyagamat svarūpam [BhP 11.13.35] ity ādau varṇitāḥ | (page	paSyati yatas aDyagamat sva rUpam [Bhu 11.13.35] iti AdO varNitAH | (page
   atra bhakta siddhās trividhāḥ | prāpta bhagavat pārṣada dehā nirdhūta 	atra Bakta sidDAH triviDAH | prApta Bagavat  pArzada dehA nirDUta 
   kaṣāyā mūrcchita kaṣāyāś ca | yathā śrī nāradādayaḥ śrī śukādayaḥ prāg 	kazAyAH mUrcCita kazAyAH ca | yaTA SrI nArada AdayaH SrI  Suka AdayaH prAk  
   janma gata nāradādayaḥ |	janma  gata nArada AdayaH |
   prayujyamāne mayi tāṃ śuddhāṃ bhāgavatīṃ tanum |	prayujyamAne mayi tAm SudDAm BAgavatIm tanum |
   ārabdha karma nirvāṇo nyapatat pāñca bhautikaḥ || [BhP 1.6.29] ity ādau |	ArabDa   karma  nirvANaH nyapatat pAQca BOtikaH || [Bhj 1.6.29] iti AdO |
   sva sukha nibhṛta cetās tad vyudastānya bhāvo'py	sva  suKa niBRta  cetAH tat  vyudaH tAnya BAvaH api 
   ajita rucira līlākṛṣṭa sāraḥ	ajita ruciH a  lIlA AkRzwa   sAraH
   [BhP 12.12.52] ity ādau |	[Bhj 12.12.52] iti AdO |
   hantāsmin janmani bhavān	hantAsmin janmani BavAn
   mā māṃ draṣṭum ihārhati |	mA mAm drazwum iha arhati |
   avipakva kaṣāyāṇāṃ	avipa kva  kazAyANAm
   durdarśo'haṃ kuyoginām || [BhP 1.6.22] ity ādau ca prasiddheḥ |	durdarSaH aham ku yoginAm || [Bhj 1.6.22] iti AdO ca prasidDeH |
   śrī nāradasya pūrva janmani sthita kaṣāyasya prema varṇitaṃ svayam eva |	SrI nAradasya pUrva janmani sTita kazAyasya prema varNitam svayam eva |
   premātibhara nirbhinna  pulakāṅgo'tinirvṛtaḥ |	prema ati Bara  nirBinna pulaka aFgaH ati nirvRtaH |
   ānanda samplave līno nāpaśyam ubhayaṃ mune || [BhP 1.6.18] ity ādau |	Ananda  samplave lInaH na apaSyam uBayam mune || [Bhj 1.6.18] iti AdO |
   śrī bharata evātrodāharaṇīyaḥ | tasya ca bhūta pipālayiṣā rūpaḥ	SrI  BarataH eva atra udAharaNIyaH | tasya ca BUta  pipAlayizA   rUpaH
   prārabdhālambanaḥ sāttvika kaṣāyo nigūḍha āsīt premā ca varṇita iti | tad	prArabDa AlambanaH sAttvika kazAyaH nigUXaH AsIt premA ca varNitaH iti | tat 
   evaṃ ā̆samāna premṇi trividhe pūrva pūrvādhikyaṃ jñeyam | kvacit	evam ĂsamAna  premNi triviDe pUrva  pUrva ADikyam jQeyam | kvacid 
   sthtite'pi	sTtite api
   prākṛta dehāditve yadi premṇaḥ pariṇāmataḥ svarūpato vādhikyaṃ dṛśyate	prAkRta  deha Adi tve yadi premNaH pariNAmataH svarUpataH vA ADikyam dRSyate
   tadā premādhikyenaivādhikyaṃ jñeyam | tac ca bhajanīyasya	tadA prema ADikyena eva ADikyam jQeyam | tat ca BajanIyasya
   bhagavato'ṃśāṃśitva bhedena bhajataś ca dāsya sakhyādi bhedena	BagavataH aMSa aMSitva  Bedena BajataH ca dAsya  saKI Adi Bedena
   svarūpādhikyaṃ, premāṅkura premādi bhedena parimāṇādhikyaṃ ca prīti 	svarUpa ADikyaM, prema aFkura  prema Adi Bedena parimANa ADikyam ca prIti 
   sandarbhe vivṛtya darśayiṣyāmaḥ | sākṣātkāra mātrasyāpi yadyapi puruṣa 	sandarBe vivRtya darSayizyAmaH | sAkzAtkAra  mAtrasya api yadi api puruza 
   prayojanatvaṃ tathāpi tasminn api sākṣātkāre yāvān yāvān śrī bhagavataḥ	prayojana tvam taTA api tasmin api sAkzAtkAre yAvAn yAvAn SrI  BagavataH
   priyatva darmānubhavas tāvāṃs tāvān utkarṣaḥ | nirupādhi 	priya tva  darma anuBavaH tAvAn tAvAn utkarzaH | nirupADi 
   prītyāspadatāsvabhāvasya priyatva dharmānubhavaṃ vinā tu sākṣātkāro'py	prIti AspadatA svaBAvasya priya tva  Darma anuBavam vinA tu sAkzAtkAraH api 
   asākṣātkāra eva mādhuryaṃ vinā duṣṭa jihvayā khaṇḍasyeva | ataevoktaṃ	asAkzAtkAraH eva mADuryam vinA duzwa jihvayA KaNxasya iva | ataeva uktam
   śrī ṛṣabhadevena   	SrI  RzaBa devena   
   prītir na yāvan mayi vāsudeve; na mucyate deha yogena tāvat | [BhP 5.5.6]	prItiH na yAvat mayi vAsudeve; na mucyate deha  yogena tAvat | [Bhj 5.5.6]
   iti |	iti |
   tataḥ prema tāratamyenaiva bhakta mahattva tāratamyaṃ mukhyam | ataeva	tatas prema tAratamyena eva Bakta mahat tva  tAratamyam muKyam | ataeva
   mayīśe kṛta sauhṛdārthāḥ [BhP 5.5.3] ity eva tal lakṣaṇatvenoktam | yatra	mayi ISe kRta sOhRdArTAH [Bhu 5.5.3] iti eva tal  lakzaNa tvena uktam | yatra
   tu	tu
   premādhikyaṃ sākṣātkāraḥ kaṣāyādi rāhityādikam apy asti sa paramo	prema ADikyam sAkzAtkAraH kazAya Adi  rAhiti Adikam api asti sa paramaH 
   mukhyaḥ | tatraikaikāṅga vaikalye nyūna iti jñeyam | tad evaṃ ye vā mayīśe	muKyaH | tatra ekEka aFga vEkalye nyUnaH iti jQeyam | tat evam ye vA mayi ISe
   [BhP 5.5.3] ity ādinā ye uktās te tu prāpta pārṣada dehā na bhavanti,	[Bhj 5.5.3] iti AdinA ye uktAH te tu prApta  pArzada dehAH na Bavanti,
   tathā	taTA
   viṣaya vairāgye'pi gūḍha saṃskāravanto'pi sambhavanti | atas	vizaya vErAgye api gUXa  saMskAravantaH api samBavanti | atas 
   tad vivecanāya	tat  vivecanAya
   prakaraṇāntaram utthāpyate | yathā rājovāca   	prakaraNa antaram utTApyate | yaTA rAjA uvAca   
   atha bhāgavataṃ brūta yad dharmo yādṛśo nṛṇām |	aTa BAgavatam brUta yad DarmaH yAdRSaH nRNAm |
   yathārcarati yad brūte yair liṅgair bhagavat priyaḥ || [BhP 11.2.44]	yaTA arcarati yat brUte yEH liFgEH Bagavat  priyaH || [Bhj 11.2.44]
   athānantaraṃ bhāgavataṃ brūta taj jñānārtham | sa ca brūṇāṃ madhye yad 	aTa anantaram BAgavatam brUta taj  jQAna arTam | sa ca brUNAm maDye yat  
   dharmo yat svabhāvas taṃ svabhāvaṃ brūta | yathā ca sa ācarati anutiṣṭhati	DarmaH yat  svaBAvaH tam svaBAvam brUta | yaTA ca saH Acarati anutizWati
   tad anuṣṭhānaṃ brūta | yad brūte tad vacanaṃ ca brūteti mānasa kāyika 	tat  anuzWAnam brUta | yat brUte tat  vacanam ca brUta iti mAnasa kAyika 
   vācika liṅga pṛcchā |	vAcika  liFga  pRcCA |
   nanu pūrvaṃ śṛṇvan subhadrāṇi rathāṅga pāṇeḥ [BhP 11.2.37] ity ādinā	nanu pUrvam SRNvan suBadrANi raTAFga pANeH [Bhj 11.2.37] iti AdinA
   (page 95) granthena tat tal liṅgaṃ śrī kavir naivoktam | satyam | tathāpi	(page 95) granTena tat  tal  liFgam SrI  kaviH na eva uktam | satyam | taTA api
   punas tad anuvādena teṣu liṅgeṣu yair liṅgair bhagavat priyo yādṛśa	punar tad  anuvAdena tezu liFgezu yEH liFgEH Bagavat  priyaH yAdRSa
   uttama 	uttama 
   madhyamatādi bheda vivikto bhavati tāni liṅgāni vivicya brūtety arthaḥ |	maDya mata Adi Beda  viviktaH Bavati tAni liFgAni vivicya brUta iti arTaH |
   tatrottaraṃ śrī harir uvāca  	tatra uttaram SrI hariH uvAca  
   sarva bhūteṣu yaḥ paśyed bhagavad bhāvam ātmanaḥ |	sarva BUtezu yaH paSyet Bagavat  BAvam AtmanaH |
   bhūtāni bhagavaty ātmany eṣa bhāgavatottamaḥ || [BhP 11.2.45]	BUtAni Bagavati Atmani eza BAgavata uttamaH || [Bhj 11.2.45]
   tatra tat tad anubhava dvārāvagamyena mānasa liṅgena mahā bhāgavataṃ	tatra tat tad  anuBava  dvArO= agamyena mAna sa  liFgena mahA  BAgavatam
   lakṣayati sarva bhūteṣv ity ādi | evaṃvratiḥ sva priya nāma kīrtyā	lakzayati sarva BUtezu iti Adi | evaMvratiH sva  priya nAma   kIrtyA
   jātānurāgo	jAta anurAgaH 
   druta citta uccaiḥ [BhP 11.2.38] iti śrī kavi vākyokta rītyā yaś	druta  cittaH uccEs [Bhj 11.2.38] iti SrI ka vi vAkya ukta  rItyA yaH 
   citta drava 	citta drava 
   hāsa rodanādy anubhāvakānurāga vaśatvāt khaṃ vāyum agnim [BhP 11.2.39]	hAsa  rodana Adi  anuBAvaka anurAga vaSa tvAt Kam vAyum agnim [Bhj 11.2.39]
   ity ādi tad ukta prakāreṇaiva cetanā cetaneṣu sarva bhūteṣu ātmano	iti Adi tad  ukta  prakAreNa eva cetanA  cetanezu sarva BUtezu AtmanaH 
   bhagavad bhāvam ātmābhīṣṭo yo bhagavad ādy anubhavas tam evety arthaḥ	Bagavat  BAvam AtmA aBIzwaH yaH Bagavat  Ady anuBavaH tam eva iti arTaH
   paśyed anubhavati | atas tāni ca bhūtāni ātmani sva citte tathā sphurati	paSyet anuBavati | atas tAni ca BUtAni Atmani sva  citte taTA sPurati
   yo	yaH 
   bhagavān tasminn eva tad āśritatvenaiva anubhavati | eṣa bhāgavatottamo	BagavAn tasmin eva tad  ASrita tvena eva anuBavati | eza BAgavata uttamaH 
   bhavati | idam eva śrī vrajadevībhir uktam   vana latās tarava ātmani	Bavati | idam eva SrI vraja devIBiH uktam  vana  latAH taravaH Atmani
   viṣṇuṃ	vizNum
   vyañjayantya iva puṣpa phalāḍhyāḥ [BhP 10.35.5]	vyaQjayantyaH iva puzpa  Pala AXyAH [Bhj 10.35.5]
   yad vā ātmano yo bhagavati bhāvaḥ premā, tam eva cetanācetaneṣu bhūteṣu	yat vA AtmanaH yaH Bagavati BAvaH premA, tam eva cetana acetanezu BUtezu
   paśyati | śeṣaṃ pūrvavat | ataeva bhakta rūpādhiṣṭhāna buddhi jāta bhaktyā	paSyati | Sezam pUrvavat | ataeva Bakta  rUpa aDizWAna  budDi  jAta BaktyA
   tāni namaskarotīti khaṃ vāyum ity ādau pūrvam uktam iti bhāvaḥ | tathaiva	tAni namaskaroti iti Kam vAyum iti AdO pUrvam uktam iti BAvaH | taTA eva
   coktaṃ tābhir eva  	ca uktam tABiH eva  
   nadyas tadā tad upadhārya mukunda gītam	nadyaH tadA tat upaDArya mukunda gItam
   āvarta lakṣita mano bhava bhagna vegāḥ || [BhP 10.21.15] ity ādi |	Avarta  lakzita  mano  Bava  Bagna  vegAH || [Bhj 10.21.15] iti Adi |
   śrī paṭṭa mahiṣībhir api kurari vilapasi tvam [BhP 10.90.7] ity ādi | atra	SrI   pawwa  mahizIBiH api kurari vilapasi tvam [Bhj 10.90.7] iti Adi | atra
   na	na
   brahma jñānāny abhidhīyante bhāgavatais taj jñānasya tat phalasya ca	brahma  jQAnAni aBiDIyante BAgavatEH taj  jQAnasya tat Palasya ca
   heyatvena jīva bhagavad vibhāgābhāvena ca bhāgavatva virodhāt | ahaituky	heya tvena jIva  Bagavat  viBAga aBAvena ca BAgava tva  viroDAt | ahEtukI 
   avyavahitā [BhP 3.29.10] ity ādau hy aikāntika bhakti lakṣaṇānusāreṇa	avyavahitAH [Bhu 3.29.10] iti AdO hi EkAnti ka Bakti  lakzaNa anusAreNa
   sutarām uttamatva virodhāc ca | na ca nirākāreśvara jñānaṃ praṇaya 	sutarAm uttama tva  viroDAt ca | na ca nirAkAra ISvara  jQAnam praNaya 
   raśanayā dhṛtāṅghri padmaḥ [BhP 11.2.53] ity upasaṃhāra gata lakṣaṇa 	raSanayA DRta aFGri padmaH [Bhu 11.2.53] iti upasaMhAra  gata  lakzaNa 
   parama kāṣṭhā virodhād eveti vivecanīyam |	parama  kAzWA  viroDAt eva iti vivecanIyam |
   atha mānasa liṅga viśeṣaṇenaiva madhyama bhāgavataṃ lakṣayati   	aTa mAnasa liFga  viSezaNena eva maDyama  BAgavatam lakzayati   
   īśvare tad adhīneṣu bāliśeṣu dviṣatsu ca |	ISvare tad  aDInezu bAliSezu dvizatsu ca |
   prema maitrī kṛpopekṣā yaḥ karoti sa madhyamaḥ || [BhP 11.2.46]	prema  mEtrI  kRpA upekzAH yaH karoti sa maDyamaH || [Bhj 11.2.46]
   parameśvare prema karoti | tasmin bhakti yukto bhavatīty arthaḥ | tathā	parameSvare prema karoti | tasmin Bakti yuktaH Bavati iti arTaH | taTA
   tad 	tat  
   adhīneṣu bhakteṣu ca maitrīṃ bandhu bhāvam | bāliśeṣu tad bhaktim	aDInezu Baktezu ca mEtrIm banDu BAvam | bAliSezu tad  Baktim
   ajānatsu udāsīneṣu kṛpām | yathoktaṃ śrī prahlādena  	ajAnatsu udAsInezu kRpAm | yaToktam SrI  prahlAdena  
   śoce tato vimukha cetasa indriyārthā	Soce tatas vimuKa  cetasaH indriya arTA
   māyā sukhāya bharam udvahato vimūḍhān | [BhP 7.9.42] iti |	mAyA  suKAya Baram udvahataH vimUXAn | [Bhj 7.9.42] iti |
   ātmano dviṣatsu upekṣām | tadīya dveṣe cittākṣobhenodāsīnyam ity arthaḥ |	AtmanaH dvizatsu upekzAm | tadIya  dveze citta akzoBena udAsInyam iti arTaH |
   teṣv api bāliśatvena kṛpāṃśa sad bhāvāt | yathaiva śrī prahlādo	tezu api bAliSa tvena kRpA aMSa  sad BAvAt | yaTA eva SrI  prahlAdaH 
   hiraṇyakaśipau | bhagavato bhāgavatasya vā dviṣatsu tu saty api	hiraNyakaSipO | BagavataH BAgavatasya vA dvizatsu tu sati api
   citta kṣobhe	citta kzoBe
   tatrānabhiniveśa ity arthaḥ | asya bāliśeṣu kṛpāyāḥ sphuraṇaṃ	tatra anaBiniveSaH iti arTaH | asya bAliSezu kRpAyAH sPuraNam
   dviṣatsūpekṣāyā eva | na tu prāgvat sarvatra premṇā vā sphuraṇam | tato	dvizat su upekzAyAH eva | na tu prAgvat sarvatra premNA vA sPuraNam | tatas 
   madhyamatvam | athottamasyāpi (page 96) tad adhīna darśanena tat 	maDyama tvam | aTa uttamasya api (page 96) tad  aDIna  darSanena tat 
   sphuraṇānandodayo viśeṣata eva | tataś ca tasminn adhikaiva matrī yad	sPuraNa Ananda udayaH viSezataH eva | tatas ca tasmin aDikA eva matrI yat 
   bhavati tan na niṣidhyate kintu sarvatra tad bhāvāvaśyakatā vidhīyate |	Bavati tat na niziDyate kintu sarvatra tat  BAva avaSyaka tA viDIyate |
   paramottame'pi tathā dṛṣṭam   	parama uttame api taTA dRzwam   
   kṣaṇārdhenāpi tulaye na svargaṃ nāpunar bhavam |	kzaNa arDena api tulaye na svargam na apunar Bavam |
   bhagavat saṅgi saṅgasya martyānāṃ kim utāśiṣaḥ || [BhP 4.24.57]	Bagavat  saFgi saFgasya martyAnAm kim uta ASizaH || [Bhj 4.24.57]
   atha bhāgavatā yūyaṃ priyāḥ stha bhagavān yathā [BhP 4.25.30] iti ca	aTa BAgavatAH yUyam priyAH sTa BagavAn yaTA [Bhj 4.25.30] iti ca
   rudra 	rudra 
   gītāt |	gItAt |
   harer guṇākṣipta matir	hareH guNa Akzipta  matiH 
   bhagavān bādarāyaṇiḥ |	BagavAn bAdarAyaNiH |
   adhyagān mahad ākhyānaṃ	aDyagAt mahat AKyAnam
   nityaṃ viṣṇu jana priyaḥ || [BhP 1.7.11] iti sūta vākyāc ca |	nityam vizNu  jana priyaH || [Bhj 1.7.11] iti sUta  vAkyAt ca |
   evaṃ bhojānāṃ kulapāṃsanāḥ [BhP 10.1.24] ity ādau tatra bādarāyaṇi 	evam BojAnAm kula pAMsanAH [Bhu 10.1.24] iti AdO tatra bAdarAyaNi 
   prabhṛtīnāṃ dveṣo'pi dṛśyate | kintu madhyamānāṃ tatrānābhiniveśa eva	praBRtInAm dvezaH api dRSyate | kintu maDyamAnAm tatra ana aBiniveSaH eva
   sphurati | teṣāṃ tu tatrāpi tad vidha śāstṛtvena	sPurati | tezAm tu tatra api tat  viDa SAstR tvena
   nijābhīṣṭa deva parisphūrtir	nija aBIzwa  deva  parisPUrtiH 
   na vyāhanyeta iti viśeṣaḥ | tad dṛṣṭyaiva ca śrīmad uddhavādīnām api śrī 	na vyAhanyeta iti viSezaH | tad  dRzwyA eva ca SrImat  udDava AdInAm api SrI 
   duryodhanādau namaskāraḥ |	duryoDana AdO namaskAraH |
   sattvaṃ viśuddhaṃ vasudeva śabditaṃ	sattvam viSudDam vasudeva  Sabditam
   yad īyate tatra pumān apāvṛtaḥ | [BhP 4.3.21] ity ādi śrī śiva vākyavat |	yat Iyate tatra pumAn apAvRtaH | [Bhj 4.3.21] iti Adi SrI  Siva  vAkya vat |
   uktaṃ ca lakṣmaṇā haraṇe   so'bhivandyāmbikā putram [BhP 10.68.17] ity	uktam ca lakzmaNA haraNe  saH aBivandya ambikA  putram [Bhu 10.68.17] iti 
   ādau duryodhanaś ceti | yatra pakṣe ca svakīya bhāvasyaiva sarvatra	AdO duryoDanaH ca iti | yatra pakze ca svakIya BAvasya eva sarvatra
   parisphūrteḥ śrī bhagavad ādi dviṣatsv api sā paryavasyati, tatra ca	parisPUrteH SrI  Bagavat  Adi dvizatsu api sA paryavasyati, tatra ca
   nāyuktatā, yatas te nija prāṇa koṭi nirmañchanīya tac caraṇa paṅkaja 	na ayukta tA, yatas te nija  prANa  kowi  nirmaQCanIya tac caraNa  paFkaja 
   parāga leśās teṣāṃ durvyavahāra dṛṣṭyā kṣubhyanti | svīya bhāvānusāreṇa	parAga  leSAH tezAm durvyavahAra  dRzwyA kzuByanti | svIya  BAva anusAreNa
   tv evaṃ manyante   aho īdṛśaś cetano vā kaḥ syād yaḥ punar asmin	tu evam manyante  aho IdRSaH cetanaH vA kaH syAt yaH punar asmin
   sarvānanda kadambake nirupādhi parama premāspade sakala loka prasādaka 	sarva Ananda kadambake nirupADi  parama  prema Aspade sakala  loka  prasAdaka 
