   śāstrasaṃgrahaḥ prathamo 'dhyāyaḥ 1	SAstra-saMgrahaH praTamaH aDyAyaH 1
   śabdārthayoścābhidhānābhidheyavyāpārapraguṇatāmavabudhyeta /	Sabda-arTayoH-ca-aBiDAna-aBiDeya-vyApAra-praguNa-tAm-avabuDyeta /
   taduktam-	tat-uktam-
   eko 'rthaḥ saṃskṛtoktyā sa sukaviracanaḥ prākṛtenāparo 'smin anyo	ekaH arTaH saMskRta-uktyA sa sukavi-racanaH prAkRtena-aparaH asmin anyaH-
   'pabhraṃśagīrbhiḥ kimaparamaparo bhūtabhāṣākrameṇa /	apaBraMSa-gIrBiH kim-aparama-paraH BUta-BAzA-krameNa /
   dvitrābhiḥ ko 'pi vāgbhirbhavati catasṛbhiḥ kiñca kaścidvivektuṃ	dvitrABiH kaH api vAgBiH-Bavati catasRBiH kiQca kaScid-vivektum
   yasyetthaṃ dhīḥ prapannā snapayati sukavestasya kīrttirjaganti //	yasya-itTam DIH prapannA snapayati su-kaveH-tasya kIrttiH-jaganti //
   itthaṅkāraṃ ghanairathairvyutpannamanasaḥ kaveḥ /	itTaFkAram GanEraTEH-vyutpanna-manasaH kaveH /
   durgame 'pi bhavenmārge kuṇṭhitā na sarasvatī //	durgame api Bavet-mArge kuNWitA na sarasvatI //
   iti rājaśekharakṛtau kāvyamīmāṃsāyāṃ kavirahasye prathame 'dhikaraṇe	iti rAja-SeKara-kRtO kAvya-mImAMsAyAm kavi-rahasye praTame aDikaraNe
   arthānuśāsane (arthavyātpiḥ) navamo 'dhyāyaḥ //	arTa-anuSAsane (arTa-vyAtpiH) navamaH aDyAyaH //
   ____________________________ Adhyaya 10 _____________________________	____________________________ ADyayaH 10 _____________________________
   10 kavicaryā rājacaryā ca /	10 kavi-caryA rAja-caryA ca /
   gṛhītavidyopavidyaḥ kāvyakriyāyai prayateta /	gRhIta-vidyA-upavidyaH kAvya-kriyAyE prayateta /
   nāmadhātupārāyaṇe, abhidhānakośaḥ, chandovicitaḥ, alaṅkāratantraṃ ca	nAma-DAtu-pArAyaNe, aBiDAna-koSaH, CandaH-vicitaH, alaFkAra-tantram ca
   kāvyavidyāḥ /	kAvya-vidyAH /
   kalāstu catuḥṣaṣṭirupavidyāḥ /	kalAH-tu catuHzazwiH-upavidyAH /
   sujanopajīvyakavisannidhaḥ, deśavārtā, vidagdhavādo, lokayātrā,	su-jana-upajIvyaka-visanniDaH, deSa-vArtA, vidagDa-vAdaH-, lokayAtrA,
   vidvadgoṣṭhyaśca kāvyamātaraḥ purātanakavinibandhāśca /	vidvat-gozWyaH-ca kAvya-mAtaraH purAtanaka-vinibanDAH-ca /
   kiñca-	kiQca-
   svāsthyaṃ pratibhābhyāso bhaktirvidvatkathā bahuśrutatā /	svAsTyam pratiBA-aByAsaH BaktiH-vidvat-kaTA bahu-Sruta-tA /
   smṛtidāḍharyamanirvedaśca mātaro 'ṣṭau kavitvasya //	smRti-dAXaryam-anirvedaH-ca mAtaraH azwO kavi-tvasya //
   api ca nityaṃ śuciḥ syāt /	api ca nityam SuciH syAt /
   tridhā ca śaucaṃ vākśaucaṃ, manaḥ-śaucaṃ, kāyaśaucaṃ ca /	triDA ca SOcam vAc-SOcaM, manaH-SOcan, kAya-SOcam ca /
   prathame śāstrajanmanī /	praTame SAstra-janmanI /
   tārtīyīkaṃ tu sanakhacchedau pādau, satāmbūlaṃ mukhaṃ, savilepanamātraṃ	tArtIyIkam tu sa-naKa=-CedO pAdO, sa-tAmbUlam muKaM, sa-vilepana-mAtram
   vapuḥ, mahārhamanulbaṇaṃ ca vāsaḥ, sukusumaṃ śira iti /	vapuH, mahArham-anulbaNam ca vAsaH, sukusumam SiraH iti /
   śuciśīlanaṃ hi sarasvatyāḥ saṃvananamāmananti /	Suci-SIlanam hi sarasvatyAH saMvananam-Amananti /
   sa yatsvabhāvaḥ kavistakadanurupaṃ kāvyam /	sa yat-svaBAvaH kavistaka-danurupam kAvyam /
   yadṛśākāraścitrakārastādṛśākāramasya citramiti prāyovādaḥ /	yadRSa-AkAraH-citrakAraH-tAdRSa-AkAram-asya citram-iti prAyovAdaH /
   smitapūrvamabhibhāṣaṇaṃ, sarvatroktigarbhamabhidhānaṃ, sarvato	smita-pUrvam-aBiBAzaNaM, sarvatra-ukti-garBam-aBiDAnaM, sarvatas-
   rahasyānveṣaṇaṃ, parakāvyadṣaṇavaimukhyamanabhihitasya abhihitasya tu	rahasya-anvezaNan, paraka-avyat-zaNa-vEmuKyam-anaBihitasya aBihitasya tu
   yathārthamabhidhānam /	yaTArTam-aBiDAnam /
   tasya bhavanaṃ susaṃmṛṣṭaṃ, ṛtuṣaṭkocitavividhasthānam,	tasya Bavanam su-saMmRzwan, Rtu-zawka-ucita-viviDa-sTAnam,
   anekatarumūlakalpitāpāśrayavṛkṣavāṭikaṃ, sakrīḍāparvatakaṃ,	aneka-taru-mUla-kalpita-apASraya-vRkza-vAwikaM, sa-krIxA-parvata-kaM,
   sadīrdhikāpuṣkariṇīkaṃ, sasaritsamudrāvarttakaṃ, sakulyāpravāhaṃ,	sa-dIrDikA-puzkariNIkaM, sa-sarit-samudrAvarttakaM, sakulyA-pravAhaM,
   savirhiṇahariṇahāritaṃ, sasārasacakravākrahaṃsaṃ,	sa-virhiNa-hariNa-hAritaM, sa-sArasa-cakravAkra-haMsaM,
   sacakorakrauñcakuraraśukasārikaṃ, dharmaklānticauraṃ,	sa-cakora-krOQca-kurara-Suka-sArikaM, Darma-klAnti-cOraM,
   sabhū(ti)midhārāgṛhayantralatāmaṇḍapakaṃ,, sadolāpreṅkhaṃ ca syāt /	sa-BU(ti)miDArA-gRha-yantra-latA-maNxapa-kaM,, sa-dolA-preFKam ca syAt /
   kāvyābhiniveśakhinnasya manasastadvinirvedacchedāya ājñābhūkaparijanaṃ	kAvya-aBiniveSa-Kinnasya manasaH-tad-vinirveda=-CedAya AjQA-BUka-parijanam
   vijanaṃ vā tasya sthānam /	vijanam vA tasya sTAnam /
   apabhraṃśabhāṣaṇapravaṇaḥ paricārakavargaḥ, samāgadhabhāṣābhiniveśinyaḥ	apaBraMSa-BAzaNa-pravaNaH paricAraka-vargaH, sa-mAgaDa-BAzA-aBiniveSinyaH
   paricārikāḥ /	paricArikAH /
   prākṛtasaṃskṛtabhāṣāvida āntaḥpurikā, mitrāṇi cāsya sarvabhāṣāvindi	prAkRta-saMskRta-BAzA-avidaH AntaHpurikA, mitrANi ca-asya sarva-BAzA-avindi
   bhaveyuḥ /	BaveyuH /
   sadaḥsaṃskāraviśuddhyarthaṃ sarvabhāṣākuśalaḥ, śīghravāk, cārvakṣaraḥ,	sadaH-saMskAra-viSudDi-arTam sarva-BAzA-kuSalaH, SIGra-vAk, cAru-akzaraH,
   iṅgitākāravedī, nānālipijñaḥ, kaviḥ, lākṣaṇikaśca lekhakaḥ syāt /	iFgita-AkAra-vedI, nAnA-li-pijQaH, kaviH, lAkzaNikaH-ca leKakaH syAt /
   tadasannidhāvatirātrādiṣu pūrvoktanāmanyatamaḥ /	tat-asanniDO=-atirAtra-Adizu pUrvoktanAm-a-nyatamaH /
   svabhavane hi bhāṣāniyamaṃ yathā prabhurvidadhāti tathā bhavati /	sva-Bavane hi BAzA-niyamam yaTA praBuH-vidaDAti taTA Bavati /
   śrūyate hi magadheṣu śiśunāgo nāma rājā;tena duruñcārānaṣṭau varṇānapāsya	SrUyate hi magaDezu SiSunAgaH nAma rAja-A;tena duruQcArAn-azwO varNAn-apAsya
   svāntaḥpura eva pravarttato niyamaḥ, ṭakārādayaścatvāro	sva-antaHpuraH eva pravarttataH niyamaH, wakAra-AdayaH-catvAraH-
   mūrdhdanyāstṛtīyavarjamūṣmāṇastrayaḥ kṣakāraśceti /	mUrDdanyAH-tRtIya-varjam-UzmANaH-trayaH kzakAraH-ca-iti /
   śrūyate ca sūraseneṣu kuvindo nāma rājā; tena	SrUyate ca sUrasenezu kuvindaH nAma rAjA; tena
   paruṣasaṃyogākṣaravarjamantaḥpura eveti samānaṃ pūrveṇa /	paruza-saMyoga-akzara-varjam-antaHpure eva-iti samAnam pUrveNa /
   śrūyate ca kuntaleṣu sātavāhano nāma rājā; tena	SrUyate ca kuntalezu sAtavAhanaH nAma rAjA; tena
   prākṛtabhāṣātmakamantaḥpura eveti samānaṃ pūrveṇa /	prAkRta-BAzA-Atmakam-antaHpure eva-iti samAnam pUrveNa /
   śrūyate cojjayinyāṃ sāhasāṅko nāma rājā; tena ca	SrUyate ca-ujjayinyAm sAhasa-aFkaH nAma rAjA; tena ca
   saṃskṛtabhāṣātmakamantaḥpura eveti samānaṃ pūrveṇa /	saMskRta-BAzA-Atmakam-antaHpure eva-iti samAnam pUrveNa /
   tasya sampuṭikā saphalakakhaṭikā, samudgakaḥ, salekhanīkamaṣībhājanāni	tasya sampuwikA sa-Palaka-KawikA, samudgakaH, sa-leKanIka-mazI-BAjanAni
   tāḍipatrāṇi bhūrjatvaco vā, salohakaṇṭakāni tāladalāni susabhmṛṣṭā	tAxi-patrANi BUrja-tvacaH vA, sa-loha-kaNwakAni tAla-dalAni su-saBmRzwA
   bhittayaḥ, satatasannihitāḥ syuḥ /	BittayaH, satata-sannihitAH syuH /
   "taddhi kāvyavidyāyāḥ parikaraḥ"iti ācāryāḥ /	"tat-hi kAvya-vidyAyAH parikaraH"iti AcAryAH /
   "pratibhaiva parikaraḥ" iti yāyāvarīyaḥ /	"pratiBA-eva parikaraH" iti yAyAvarIyaH /
   kaviḥ prathamamātmānameva kalpayet /	kaviH praTamam-AtmAnam-eva kalpayet /
   kiyānme saṃskāraḥ, kva bhāṣāviṣaye śakto 'smi, kiṃ rucirlokaḥ, parivṛḍho	kiyAt-me saMskAraH, kva BAzA-vizaye SaktaH asmi, kim ruciH-lokaH, parivRXaH-
   vā, kīdṛśi goṣṭhyāṃ vinītaḥ, kvāsya vā cetaḥ saṃsajata iti buddhvā	vA, kIdRSi gozWyAm vinItaH, kva-asya vA cetaH saMsajate iti budDvA
   bhāṣāviśeṣamāśrayeta"iti ācāryāḥ /	BAzA-viSezam-ASrayeta"iti AcAryAH /
   "ekadeśakaveriyaṃ niyamatantraṇā, svatantraghasya punarekabhāṣāvatsarvā	"eka-deSa-kaveH-iyam niyama-tantraNA, svatantraGasya punar-eka-BAzA-vat-sarvA
   api bhāṣāḥ syuḥ" iti yāyāvarīyaḥ /	api BAzAH syuH" iti yAyAvarIyaH /
   deśaviśeṣavaśena ca bhāṣāśrayaṇaṃ dṛśyate /	deSa-viSeza-vaSena ca BAzA-ASrayaNam dRSyate /
   taduktam-	tat-uktam-
   "gauḍādyāḥ saṃskṛtasthāḥ paricitarucayaḥ prākṛte lāṭadeśyāḥ	"gOxa-AdyAH saMskRta-sTAH paricita-rucayaH prAkRte lAwa-deSyAH
   sāpabhraṃśaprayogāḥ sakalamarubhuvaṣṭakkabhādānakāśca /	sa-apaBraMSa-prayogAH sakala-maru-Buvazwakka-BAdAnakAH-ca /
   āvantyāḥ pāriyātrāḥ saha daśapurajairbhūtabhāṣāṃ bhajante yo	AvantyAH pAriyAtrAH saha daSa-purajEH-BUta-BAzAm Bajante yaH-
   madhyemadhyadeśaṃ nivasati sa kaviḥ sarvabhāṣāniṣaṇṇaḥ //	maDyemaDya-deSam nivasati sa kaviH sarva-BAzA-nizaNNaH //
   jānīyāllokasāṃmatyaṃ kaviḥ kutra mameti ca /	jAnIyAt-loka-sAMmatyam kaviH kutra mama-iti ca /
   asaṃmataṃ pariharenmate 'bhiniviśeta ca //	asaMmatam pariharet-mate aBiniviSeta ca //
   janāpavādamātreṇa na jugupseta cātmani /	jana-apavAda-mAtreNa na jugupseta ca-Atmani /
   jānīyātsvayamātmānaṃ yato loko niraṅkuśaḥ //	jAnIyAt-svayam-AtmAnam yatas lokaH niraFkuSaH //
   gītasūktiratikrānte stotā deśāntarasthite /	gIta-sUktiH-atikrAnte stotAH deSa-antara-sTite /
   pratyakṣe tu kavau lokaḥ sāvajñaḥ sumahatyapi //	pratyakze tu kavO lokaH sa-avajQaH su-mahati-api //
   pratyakṣakavikāvyaṃ ca rupaṃ ca kulayoṣitaḥ /	pratyakzaka-vi-kAvyam ca rupam ca kula-yozitaH /
   gṛhavaidyasya vidyā ca kasmaicidyadi rocate //	gRha-vEdyasya vidyA ca kasmEcid-yadi rocate //
   idaṃ mahāhāsakaraṃ viceṣṭitaṃ paroktipāṭaccaratārato 'pi yat /	idam mahA-hAsa-karam vicezwitam parokti-pAwa=-cara-tArataH api yat /
   saduktiratnākaratāṃ gatānkavīn kavitvamātragheṇa samena nindati //	sat-ukti-ratnAkara-tAm gatAn-kavIn kavi-tva-mAtra-GeNa samena nindati //
   vacaḥ svādu satāṃ lehyaṃ leśasvādvapi kautukāt /	vacaH svAdu satAm lehyam leSa-svAdu-api kOtukAt /
   bālastrīhīnajātīnāṃ kāvyaṃ yāti mukhānmukham //	bAla-strI-hIna-jAtInAm kAvyam yAti muKAt-muKam //
   kāryāvasarasajjānāṃ parivrājāṃ mahībhrujām /	kArya-avasara-sajjAnAm parivrAjAm mahIBrujAm /
   kāvyaṃ sadyaḥ kavīnāṃ ca bhramatyahnā diśo daśa //	kAvyam sadyas kavInAm ca Bramati-ahnA diSaH daSa //
   piturgurrernandrasya sutaśiṣyapadātayaḥ /	pituH-gurreH-nandrasya suta-Sizya-padAtayaH /
   avivicyaiva kāvyāni stuvanti ca paṭhanti ca" //	avivicya-eva kAvyAni stuvanti ca paWanti ca" //
   "kiñca nārddhakṛtaṃ paṭhedasamātpistasya phalam" iti kavirahasyam /	"kiQca na-ardDa-kRtam paWet-asamAtpiH-tasya Palam" iti kavi-rahasyam /
   na navīnamekākinaḥ purataḥ /	na navInam-ekAkinaH puratas /
   sa hi svīyaṃ bruvāṇaḥ katareṇa sākṣiṇā jīyeta /	sa hi svIyam bruvANaH katareNa sAkziNA jIyeta /
   na ca svakṛtiṃ bahumanyeta /	na ca sva-kRtim bahu-manyeta /
   pakṣupāto hi guṇadoṣau viparyāsayati /	pakzupAtaH hi guNa-dozO viparyAsayati /
   na ca dṛpyet /	na ca dRpyet /
   darpalavo 'pi sarvasaṃskārānucchinatti /	darpa-lavaH api sarva-saMskArAn-ucCinatti /
   paraiśca parīkṣayet /	parEH-ca parIkzayet /
   yadudāsūnaḥ paśyati na tadanuṣṭhāteti prāyovādaḥ /	yat-udAsUnaH paSyati na tat-anuzWAtA-iti prAyovAdaH /
   kavimāninaṃ tu chando 'nuvarttanena rañjayet /	kavi-mAninam tu CandaH anuvarttanena raQjayet /
   kaviṃmanyasya hi purataḥ sūktamaraṇyaruditaṃ syādviplaveta ca /	kaviMmanyasya hi puratas sUktam-araNya-ruditam syAt-viplaveta ca /
   tadāha-	tat-Aha-
   "idaṃ hi vaidagdhyarahasyamuttamaṃ paṭhenna sūktiṃ kavimāninaḥ puraḥ /	"idam hi vEdagDya-rahasyam-uttamam paWet-na sUktim kavi-mAninaH puras /
   na kevalaṃ tāṃ na vibhāvayatyasau svakāvyabandhena vināśayatyapi" //	na kevalam tAm na viBAvayati-asO sva-kAvya-banDena vinASayati-api" //
   aniyatakālāḥ pravṛttayo viplavante tasmāddivasaṃ niśāṃ ca yāmakrameṇa	aniyata-kAlAH pravRttayaH viplavante tasmAt-divasam niSAm ca yAma-krameNa
   caturddhā vibhajet /	caturdDA viBajet /
   sa prātarutthāpa kṛtasandhyāvarivasyāḥ sārasvataṃ sūktamadhīyīta /	sa prAtar-utTApa kRta-sanDyA-varivasyAH sArasvatam sUktam-aDIyIta /
   tato vidyāvasathe yathāsukhamāsīnaḥ kāvyasya vidyā	tatas vidyA-vasaTe yaTAsuKam-AsInaH kAvyasya vidyA
   upavidyāścānuśīlayedāpraharāt /	upavidyAH-ca-anuSIlayedA-praharAt /
   na hyevaṃvidhonyaḥ pratibhāheturyathā pratyagrasaṃskāraḥ /	na hi-evaMviDonyaH pratiBA-hetuH-yaTA pratyagra-saMskAraH /
   dvitīye kāvyakriyām /	dvitIye kAvya-kriyAm /
   upamadhyāhnaṃ snāyādaviruddhaṃ bhuñjīta ca /	upamaDyAhnam snAyAt-avirudDam BuQjIta ca /
   bhoganānte kāvyagoṣṭhīṃ pravarttayet /	Bogana-ante kAvya-gozWIm pravarttayet /
   kadācicca praśnottarāṇi bhindīta /	kadAcid-ca praSna-uttarANi BindIta /
   kāvyasamasyādhāraṇā, mātṛkābhyāsaḥ, citrā yogā ityāyāmatrayam /	kAvya-samasya-ADAraNA, mAtRkA-aByAsaH, citrAH yogAH iti-AyAma-trayam /
   caturtha ekākinaḥ parimitapariṣado vā pūrvāhnabhāgavihitasya kāvyasya	caturTaH ekAkinaH parimita-parizadaH vA pUrvAhna-BAga-vihitasya kAvyasya
   parīkṣā /	parIkzA /
   rasāveśataḥ kāvyaṃ viracayato na ca vivektrī dṛṣṭistasmādanuparīkṣeta /	rasa-AveSataH kAvyam viracayataH na ca vivektrI dRzwiH-tasmAt-anuparIkzeta /
   adhikasya tyāgo, nyūnasya pūraṇam, anyatāsthitasya parivarttanaṃ,	aDikasya tyAgo, nyUnasya pUraNam, anyatA-sTitasya parivarttanaM,
   prasmṛtasyānusandhānaṃ cetyahīnam /	prasmRtasya-anusanDAnam ca-iti-ahInam /
   sāyaṃ sandhyāmupāsīta sarasvatīṃ ca /	sAyam sanDyAm-upAsIta sarasvatIm ca /
   tato divā vihitaparīkṣakasyābhilekhanamāpradośāt /	tatas divA vihita-parIkzakasya-aBileKanam-ApradoSAt /
   yāvadārttaṃ striyamabhimanyeta /	yAvat-Arttam striyam-aBimanyeta /
   dvitīyatṛtīyau sādhu śayīta /	dvitIya-tRtIyO sADu SayIta /
   samyaksvāpo vapuṣaḥ paramārogyāya /	samyak-svApaH vapuzaH parama-ArogyAya /
   caturthe saprayantaṃ pratibudhyeta /	caturTe sa-prayantam pratibuDyeta /
   brāhme muhūrtte manaḥ prasīdattāṃstānarthānadhyakṣayatītyāhorātrikam /	brAhme muhUrtte manaH prasIdattAn=-tAn-arTAn-aDyakzayati-iti-AhorAtrikam /
   caturvidhaścāsau /asūryampaśyo, niṣaṇṇo, dattāvasaraḥ, prāyojanikaśca /	caturviDaH-ca-asO /a-sUryampaSyo, nizaNNo, datta-avasaraH, prAyojanikaH-ca /
   yo guhāgarbhabhūmigṛhādipraveśānnaiṣṭhakavṛttiḥ kavate,	yaH guhA-garBa-BUmi-gRha-Adi-praveSAt-nEzWaka-vRttiH kavate,
   asāvasūryampaśyastasya sarve kālāḥ /	asO=-asUryampaSyaH-tasya sarve kAlAH /
   yaḥkāvyakriyāyāmabhiniviṣṭaḥ kavate na ca nauṣṭhikavṛttiḥ, sa	yaH-kAvya-kriyAyAm-aBinivizwaH kavate na ca nOzWika-vRttiH, sa
   niṣāṇṇastasyāpi ta eva kālāḥ /	nizANNaH-tasya-api te eva kAlAH /
   yaḥ sevādikamavirundhānaḥ kavate, sa dattāvasarastasya katipaye kālāḥ /	yaH sevA-Adi-kamavirunDAnaH kavate, sa datta-avasaraH-tasya katipaye kAlAH /
   niśāyāsturīyayāmārddhaḥ, sa hi sārasvato muhūrttaḥ /	niSAyAH-turIyayA-am-ArdDaH, sa hi sArasvataH muhUrttaH /
   bhojanāntaḥ, sauhityaṃ hi svāsthyamupasthāpayati /	Bojana-antaH, sOhityam hi svAsTyam-upasTApayati /
   vyavāyoparamaḥ, yadarttivinivṛttirekamekāgratāyanam /	vyavAya-uparamaH, yad-artti-vinivRttiH-ekam-ekAgra-tAyanam /
   yāpyayānayātrā, viṣayāntaravinivṛttaṃ hi cittaṃ yatra yatra praṇidhīyate	yApya-yAna-yAtrA, vizaya-antara-vinivRttam hi cittam yatra yatra praNiDIyate
   tatra tatra guhūcīlāgaṃ lagati /	tatra tatra guhUcIlAgam lagati /
   yadā yadā cātmanaḥ kṣaṇikatāṃ manyate sa sa kāvyakaraṇakālaḥ /	yadA yadA ca-AtmanaH kzaNika-tAm manyate sa sa kAvya-karaNa-kAlaH /
   yastu prastutaṃ kiñcana saṃvidhānakamuddiśya kavate, sa prāyojanikastasya	yaH-tu prastutam kiQcana saMviDAnakam-uddiSya kavate, sa prAyojanikaH-tasya
   prayojanavaśātkālavyavasthā /	prayojana-vaSAt-kAla-vyavasTA /
   buddhimadāhāryabuddhayoriyaṃ niyamamudrā /aupadeśikasya punaricchaiva	budDimat-AhArya-budDayoH-iyam niyama-mudrA /a-OpadeSikasya punar-icCA-eva
   sarve kālāḥ, sarvāśca niyamamudrāḥ /	sarve kAlAH, sarvAH-ca niyama-mudrAH /
   paruṣavat yoṣito 'pi kavībhaveyuḥ /	paruza-vat yozitaH api kavIBaveyuH /
   saṃskāro hyātmani samavaiti, na straiṇaṃ pauruṣaṃ vā vibhāgamapekṣate /	saMskAraH hi-Atmani samavEti, na strENam pOruzam vA viBAgam-apekzate /
   śrūyante dṛśyante ca rājaputryo mahāmātraduhitaro gaṇikāḥ kautukibhāryāśca	SrUyante dRSyante ca rAja-putryaH mahAmAtra-duhitaraH gaNikAH kOtuki-BAryAH-ca
   śāstraprahatabuddhayaḥ kavayaśca /	SAstra-prahata-budDayaH kavayaH-ca /
   siddhaṃ ca prabandhamanekādarśagataṃ kuryāt /	sidDam ca prabanDam-aneka-AdarSa-gatam kuryAt /
   yaditthaṃ kathayanti-	yat-itTam kaTayanti-
   "nikṣepo vikrayo dānaṃ deśatyāgo 'lpajīvitā /	"nikzepaH vikrayaH dAnam deSa-tyAgaH alpa-jIvitA /
   truṭiko vahnirambhaśca prabandhocchedahetavaḥ //	truwikaH vahniH-amBaH-ca prabanDa-ucCeda-hetavaH //
   dāridrayaṃ vyasanāsaktiravajñā mandabhāgyatā /	dAridrayam vyasana-AsaktiH-avajQA mandaBAgya-tA /
   duṣṭe dviṣṭe ca viśvāsaḥ pañca kāvyamahāpadaḥ" //	duzwe dvizwe ca viSvAsaH paQca kAvya-mahA-padaH" //
   punaḥ samāpayiṣyāmi, punaḥ saṃskariṣyāmi, suhṛdbhiḥ saha vivecayiṣyāmīti	punar samApayizyAmi, punar saMskarizyAmi, suhRdBiH saha vivecayizyAmi-iti
   karturākulatā rāṣṭropaplavaśca prabandhavināśakāraṇāni /	kartuH-Akula-tA rAzwra-upaplavaH-ca prabanDa-vinASa-kAraNAni /
   "aharniśāvibhāgena ya itthaṃ kavate kṛtī /ekāvalīva tatkāvyaṃ satāṃ	"ahar-niSA-viBAgena yaH itTam kavate kRtI /eka-AvalI-iva tat-kAvyam satAm
   kaṇṭheṣu lambate //	kaNWezu lambate //
   yathā yathābhiyogaśca saṃskāraśca bhavetkaveḥ /	yaTA yaTA-aBiyogaH-ca saMskAraH-ca Bavet-kaveH /
   tathā tathā nibandhānāṃ tāratamyena ramyatā //	taTA taTA nibanDAnAm tAratamyena ramyatA //
   muktake kavayo 'nantāḥ saṅghāte kavayaḥ śatam /	muktake kavayaH anantAH saFGAte kavayaH Satam /
   mahāprabandhe tu kavireko dvau durlabhāstrayaḥ" //	mahA-prabanDe tu kaviH-ekaH dvO durlaBAH-trayaH" //
   atrāha sma-	atra-Aha sma-
   "bahvapi svecchayā kāmaṃ prakīrṇamabhidhīyate /	"bahu-api sva-icCayA kAmam prakIrNam-aBiDIyate /
   anujjhitārthasambandhaḥ prabandho durudāharaḥ //	anujJita-arTa-sambanDaH prabanDaH durudAharaH //
   rītiṃ vicintya vigaṇayya guṇānvigāhya śabdārthasārthamanusṛtya ca	rItim vicintya vigaNayya guNAn-vigAhya Sabda-arTa-sArTam-anusRtya ca
   sūktimudrāḥ /	sUkti-mudrAH /
   kāryo nibandhaviṣaye viduṣā prayatnaḥ ke potayantrarahitā jaladhau	kAryaH nibanDa-vizaye viduzA prayatnaH ke potayantra-rahitAH jalaDO
   plavante //	plavante //
   līḍhābhidhopaniṣadāṃ savidhe budhānām abhyasyataḥ pratidinaṃ bahudṛśvano	lIXa-aBiDA-upanizadAm saviDe buDAnAm aByasyataH pratidinam bahu-dRSvanaH-
   'pi /	api /
   kiñcitkadācana kathañcana sūktipākād vāk-tattvamunmiṣati kasyacideva	kiQcid-kadAcana kaTaQcana sUkti-pAkAt vAk-tattvam-unmizati kasyacid-eva
   puṃsaḥ //	puMsaH //
   ityananyamanovṛtteniḥśeṣe 'sya kriyākrame /	iti-ananya-manaH-vRtteniHSeze asya kriyA-krame /
   ekapatnīvrataṃ dhatte kaverdevī sarasvatī //	eka-patnI-vratam Datte kaveH-devI sarasvatI //
   siddhiḥ sūktiṣu sā tasya jāyate jagaduttarā /	sidDiH su-uktizu sA tasya jAyate jagat-uttarA /
   mūlacchāyāṃ na jānāti yasyāḥ so 'pi girāṃ guruḥ" //	mUla=-CAyAm na jAnAti yasyAH saH api girAm guruH" //
   rājā kaviḥ kavisamājaṃ vidadhīta /	rAjA kaviH kavi-samAjam vidaDIta /
   rājani kavau sarvo lokaḥ kaviḥ syāt /	rAjani kavO sarvaH lokaH kaviH syAt /
   sa kāvyaparīkṣāyai sabhāṃ kārayet /	sa kAvya-parIkzAyE saBAm kArayet /
   sā ṣoḍaśabhiḥ stambhaiścaturbhirdvārairaṣṭabhirmattavāraṇībhirupetā syāt /	sA zoxaSaBiH stamBEH-caturBiH-dvArEH-azwaBiH-matta-vAraNIBiH-upetA syAt /
   tadanulagnaṃ rājñaḥ keligṛham /	tad-anulagnam rAjQaH keli-gRham /
   madhyesabhaṃ catuḥstambhāntarā hastamātrotsedhā samaṇibhūmikā vedikā /	maDyesaBam catur-stamBa-antarA hasta-mAtra-utseDA sa-maNiBUmikA vedikA /
   tasyāṃ rājāsanam /	tasyAm rAja-Asanam /
   tasya cottarataḥ saṃskṛtāḥ kavayo niviśeran /	tasya ca-uttaratas saMskRtAH kavayaH niviSeran /
   bahubhāṣākavitve yo yatrādhikaṃ pravīṇaḥ sa tena vyapadiśyate /	bahu-BAzA-kavi-tve yaH yatra-aDikam pravINaH sa tena vyapadiSyate /
   yastvanekatra pravīṇaḥ sa saṅkramya tatra tatropaviśet /	yaH-tu-anekatra pravINaH sa saFkramya tatra tatra-upaviSet /
   tataḥ paraṃ vedavidyāvidaḥ prāmāṇikāḥ paurāṇikāḥ smārttā bhiṣajo	tatas param veda-vidyA-vidaH prAmANikAH pOrANikAH smArttAH BizajaH-
   mauhūrttakā anye 'pi tathāvidhāḥ /	mOhUrttakAH anye api taTAviDAH /
   pūrveṇa prākṛtāḥ kavayaḥ, tataḥ paraṃ	pUrveNa prAkRtAH kavayaH, tatas param
   naṭanarttakagāyanavādakavāgjīvanakuśīlavatālāpacarā anye 'pi tathāvidhāḥ /	nawa-narttaka-gAyana-vAdaka-vAc-jIvana-kuSIlavat-A-AlApa-carAH anye api taTAviDAH /
   paścimenāpabhraṃśinaḥ kavayaḥ, tataḥ paraṃ citralepyakṛto māṇikya vandhakā	paScimena-apaBraMSinaH kavayaH, tatas param citralepya-kRtaH mANikya vanDakA
   vaikaṭikāḥ svarṇakāravarddhakilohakārā anye 'pi tathāvidhāḥ /	vEkawikAH svarNa-kAra-vardDa-ki-lohakArAH anye api taTAviDAH /
   dakṣiṇato bhūtabhāṣākavayaḥ ; tataḥ paraṃ bhujaṅgaṇikāḥ	dakziNatas BUta-BAzA-kavayaH ; tatas param BujaFgaNikAH
   plavakaśaubhikajabhbhakamallāḥ śastropajīvino 'nye 'pi tathāvidhāḥ /	plavaka-SOBika-jaBBaka-mallAH Sastra-upajIvinaH anye api taTAviDAH /
   tatra yathāsukhamāsīnaḥ kāvyagoṣṭīṃ pravarttayed bhāvayet parīkṣeta ca /	tatra yaTAsuKam-AsInaH kAvya-gozwIm pravarttayet BAvayet parIkzeta ca /
