   // śrīmate nigamāntamahādeśikāya namaḥ //	// SrImate nigama-anta-mahA-deSikAya namaH //
   dvitīyamāhnikakam /	dvitIyam-Ahnikakam /
   śaśipaśunaramṛgapakṣisarīsṛpādīṃśca enamavehi, imaṃ cāvadhāraya,	SaSi-paSu-nara-mRga-pakzi-sarIsRpa-AdIn=-ca enam-avehi, imam ca-avaDAraya,
   ityabhiprāyeṇāṅgulyā nirdiśya nirdiśya taistaiḥ śabdaisteṣu teṣu bahuśaḥ	iti-aBiprAyeNa-aFgulyAH nirdiSya nirdiSya tEH-tEH SabdEH-tezu tezu bahuSas-
   śikṣitāḥ śanaiḥ śanaistaireva śabdaisteṣu teṣvartheṣu svātmanāṃ	SikzitAH SanEs SanEs-tEH-eva SabdEH-tezu tezu-arTezu sva-AtmanAm
   budhdyutpattiṃ dṛṣṭvā śabdārthayoḥ saṃbandhāntarādarśanāt	buDdi-utpattim dRzwvA Sabda-arTayoH saMbanDa-antara-adarSanAt-
   saṅketayitṛpuruṣājñānācca teṣvartheṣu teṣāṃ śabdānāṃ prayogo	saFketayitR-puruza-ajQAnAt-ca tezu-arTezu tezAm SabdAnAm prayogaH-
   bodhakatvanibandhana iti niścinvanti /	boDaka-tva-nibanDanaH iti niScinvanti /
   punaśca vyutpannetaraśabdeṣvasya śabdasyāyamartha iti pūrvavṛddhaiḥ	punar-ca vyutpanna-itara-Sabdezu-asya Sabdasya-ayam-arTaH iti pUrva-vRdDEH
   śikṣitāḥ sarvaśabdānāmarthamavagamya parapratyāyanāya tattadarthāvabodhi	SikzitAH sarva-SabdAnAm-arTam-avagamya para-pratyAyanAya tad-tad-arTa-avaboDi
   vākyajātaṃ prayuñjate /	vAkya-jAtam prayuQjate /
   prakārāntareṇāpi śabdārthasaṃbandhāvadhāraṇaṃ suśakam---kenacit puruṣeṇa	prakAra-antareNa-api Sabda-arTa-saMbanDa-avaDAraNam suSakam----kenacid puruzeNa
   hastaceṣṭādinā 'pitā te sukhamāste, iti devadattāya jñāpaya'" iti preṣitaḥ	hasta-cezwA-AdinA apitA te suKam-Aste, iti devadattAya jQApaya-a" iti prezitaH
   kaścit tajjñāpane pravaṛttaḥ 'pitā te sukhamāste' iti śabdaṃ prayuṅkte;	kaScid tad-jQApane pravaRttaH apitA te suKam-Aste-a iti Sabdam prayuFkte;
   pārśvasthonyo vyutpitsurmūkavacceṣṭāviśeṣajñaḥ tajjñāpane pravṛttamimaṃ	pArSva-sTonyaH vyutpitsuH-mUka-vat-cezwA-viSeza-jQaH tad-jQApane pravRttam-imam
   jñātvānugataḥ tajjñāpanāya prayuktamimaṃ śabdaṃ śrutvā, ayaṃ	jQAtvA-anugataH tat-jQApanAya prayuktam-imam Sabdam SrutvA, ayam
   śabdastadarthabuddhiheturiti niścinotīti kāryārtha eva vyutpattiriti	SabdaH-tad-arTa-budDi-hetuH-iti niScinoti-iti kArya-arTaH eva vyutpattiH-iti
   nirbandho nirnibandhanaḥ" iti //	nirbanDaH nirnibanDanaH" iti //
   nyā. pa. śa 35 atra pitā te sukhamāsta iti vākyasya sthāne apavarake	nyA. pa. SaH 35 atra pitA te suKam-Aste iti vAkyasya sTAne apavarake
   daṇḍaḥ sthitaḥ ityudāharaṇāntaramātramanyatroktam /	daNxaH sTitaH iti-udAharaNa-antara-mAtram-anyatra-uktam /
   ataḥ siddhāsiddhepyādyavyutpattiḥ /	atas sidDAsidDepya-Adi-a-vyutpattiH /
   bhavatu vā prathamavyutpattiḥ kārya eva, tathāpi	Bavatu vA praTama-vyutpattiH kAryaH eva, taTA-api
   prayogānvayavyatirekavaśādeva śabdaśaktirvivecanīyā /	prayoga-anvaya-vyatireka-vaSAt-eva Sabda-SaktiH-vivecanIyAH /
   prayujyante ca siddhaparā evāvivakṣitakartavyaiḥ śabdāḥ; yathā--- kosau	prayujyante ca sidDa-parAH eva-avivakzita-kartavyEH SabdAH; yaTA-- kosO
   rājā ? kauravaḥ /	rAjA ? kOravaH /
   kautukamātrādeva hyatra praśnaḥ, prativacanaṃ ca tadanuvidhāyyeva /	kOtuka-mAtrAt-eva hi-atra praSnaH, prativacanam ca tad-anuviDAyi-a-iva /
   ato yathā padānāṃ prātisvikī śaktiḥ siddhe kāryepīti yathāsaṃbhavaṃ	atas yaTA padAnAm prAtisvikI SaktiH sidDe kAryA-ipi-iti yaTAsaMBavam
   niṣkṛṣyate, tathā tātparyamapi, yathāyogameva vyutpattyupāyatvepi ca	nizkRzyate, taTA tAtparyam-api, yaTAyogam-eva vyutpatti-upAya-tvepi ca
   kāryasya sarvaśabdatātparyaviṣayatvāyukteḥ /	kAryasya sarva-Sabda-tAtparya-vizaya-tva-ayukteH /
   kāryavākyepi pravartakatvādilakṣaṇaṃ ca prādhānyamapūrvasya mṛgyam,	kArya-vAkyepi pravartaka-tva-Adi-lakzaNam ca prADAnyam-apUrvasya mRgyam,
   sukhaduḥkhābhāvābhyāmatiriktasya svataḥ svasmin pravartakatvāyogāt,	suKa-duHKa-aBAvAByAm-atiriktasya svatas svasmin pravartaka-tva-ayogAt,
   vyutpattidaśāyāmapyasukharūpasyānayanāderanyaśeṣatayaiva	vyutpatti-daSAyAm-api-asuKa-rUpasya-Anayana-AdeH-anyaSeza-tayA-eva
   pravṛttiśeṣatvāvagamāt /	pravRtti-Seza-tva-avagamAt /
   ataḥ sukhe duḥkhanivṛttau vā sākṣāt kāryatvabodhaḥ; tadarthatayā	atas suKe duHKa-nivRttO vA sAkzAt kAryatva-boDaH; tad-arTa-tayA
   tatsādhane /	tad-sADane /
   apekṣitatvena ca sādhanavat sādhanasādhanepi kāryatābodhopapattiḥ /	apekzita-tvena ca sADana-vat sADana-sADanepi kArya-tA-boDa-upapattiH /
   na ca sukhāditvamapūrvasya; na ca tatsādhanatayā	na ca suKa-Adi-tvam-apUrvasya; na ca tad-sADana-tayA
   tatpravartakatvamabhyupagatam /	tat-pravartaka-tvam-aByupagatam /
   abhyupagamepi laukikasevyaprītyeva devatāprītyaiva śrutyādisiddhayā	aByupagamepi lOkika-sevya-prItyA-iva devatA-prItyA-eva Sruti-Adi-sidDayA
   kālāntarabhāviphalasiddhauliṅvācyatayā svarūpeṇa vā tatkalpanāyogāt,	kAla-antara-BAvi-Pala-sidDOliFvAcyatayA svarUpeNa vA tad-kalpanA-yogAt,
   rātrisatrādinayācca /	rAtri-satra-AdinayAt-ca /
   pratiṣṭhādeśaviśeṣaśatayātanāsādhanatvaghṛtāñjanacchāgādiparigrahavat	pratizWA-deSa-viSeza-Sata-yAtanA-sA-Dana-tva-GRta-aQjana=-CAga-Adi-parigraha-vat
   vidhyapekṣitaṃ pratītaṃ ca devatāprītyātmakamevāpūrvaṃ liṅvācyatayā	viDi-apekzitam pratItam ca devatA-prIti-Atmakam-eva-apUrvam liFvAcyatayA
   svarūpeṇa vā dvāramupakalpyatām; kimanyena ? //	svarUpeNa vA dvAram-upakalpyatAm; kim-anyena ? //
   nyā. pa. śa. 36 yacca jalpantyardhalokāyatikāḥ--- "vigraho havirādānaṃ	nyA. pa. Sa. 36 yat-ca jalpanti-arDa-lokAyatikAH-- "vigrahaH haviH-AdAnam
   yugapat karmasannidhiḥ /	yugapad karma-sanniDiH /
   prītiḥ phalapradānaṃ ca devatānāṃ na vidyate" //	prItiH Pala-pradAnam ca devatAnAm na vidyate" //
   iti, tadapi jaiminihṛdayānabhijñatānibandhanam; na hi svataḥ	iti, tat-api jEmini-hRdaya-anaBijQa-tA-nibanDanam; na hi svatas-
   pramāṇāmnāyasmṛtipurāṇādisiddhāḥ sādhakabādhakapramāṇāgocarāḥ	pramANa-AmnAya-smRti-purANa-Adi-sidDAH sADaka-bADaka-pramANa-agocarAH
   devatāvigrahādayo hātuṃ yuktāḥ /	devatA-vigraha-AdayaH hAtum yuktAH /
   na cāyogyeṣvanupalambhamātreṇa bādhaḥ śaṅakyaḥ, atiprasaṅgitvāt,	na ca-ayogyezu-anupalamBa-mAtreNa bADaH SaFakyaH, ati-prasaFgi-tvAt,
   sākṣāllokāyatikavādaprasaṅgāt /	sAkzAt-lokAyatikavAda-prasaFgAt /
   stutyā vidhiśeṣabhūteṣvapyarthavādeṣu tadarthatayaiva	stutyAH viDi-Seza-BUtezu-api-arTa-vAdezu tad-arTa-tayA-eva
   svārthamabhidadhāneṣu na vākyabhedādidoṣaḥ /	sva-arTam-aBidaDAnezu na vAkya-Beda-Adi-dozaH /
   stutyādiparatvepi na mukhyārthabādhaḥ, svārthabādhakābhāvo	stuti-Adi-paratvepi na muKya-arTa-bADaH, sva-arTa-bADaka-aBAvaH-
   svārthaprahāṇāyogāt; na ca sarvā stutirayathārthā; na cāsatā guṇena	sva-arTa-prahANa-ayogAt; na ca sarvA stutiH-ayaTArTA; na ca-asatA guNena
   kathitena stutisiddhiḥ /	kaTitena stuti-sidDiH /
   yatra tu mukhyārthabādhaḥ, tatrāpyaipacārikaṃ kiñcidālambanamabhipretam;	yatra tu muKya-arTa-bADaH, tatra-api-EpacArikam kiQcid-Alambanam-aBipretam;
   anyathā viḍambanamātrameva syāt /	anyaTA vixambana-mAtram-eva syAt /
   na copacchandanamātratā, tajjñāne puṃsaḥ pravṛttyanupakārāt, nirūpakasya	na ca-upacCandana-mAtra-tA, tad-jQAne puMsaH pravRtti-anupakArAt, nirUpakasya
   ca tadajñānāyogāt, anyathā bhrāntimūlapravṛttitvaprasaṅgāt;	ca tad-ajQAna-ayogAt, anyaTA BrAnti-mUla-pravRtti-tva-prasaFgAt-;
   samanvayādhikaraṇanayācca siddhaikaparāḥ santi bhāgāḥ /	samanvaya-aDikaraNa-nayAt-ca sidDa-eka-parAH santi BAgAH /
   tadanudhāvinaścetihāsapurāṇādayaḥ //	tad-anuDAvinaH-ca-itihAsa-purANa-AdayaH //
   nyā. pa. śa. 37 nanvarthavādādhikaraṇe "vidhinā tvekavākyatvāt	nyA. pa. Sa. 37 nanu-arTa-vAda-aDikaraNe "viDinA tu-eka-vAkya-tvAt
   stutyarthena vidhīnāṃ syuḥ" iti sarveṣāmarthavādānāṃ	stuti-arTena viDInAm syuH" iti sarvezAm-arTa-vAdAnAm
   vidhyekavākyatvamuktam; samanvayasūtre tu kathaṃ tadviruddhoktiḥ ? maivam;	viDi-eka-vAkya-tvam-uktam; samanvaya-sUtre tu kaTam tad-virudDa-uktiH ? mA-evam;
   arthavādāprāmāṇyapūrvapakṣapratikṣepāya vidhyekavākyatayā prāmāṇyaṃ	arTavAda-aprAmANya-pUrva-pakza-pratikzepAya viDi-eka-vAkya-tayA prAmANyam
   saṃbhavatītyetāvanmātramarthavādādhikaraṇe sthāpitam /	saMBavati-iti-etAvat-mAtram-arTavAda-aDikaraNe sTApitam /
   vidhyekavākyatve brahmasvarūpatātparyābhāvapūrvapakṣastu	viDi-eka-vAkya-tve brahma-svarUpa-tAtparya-aBAva-pUrva-pakzaH-tu
   apavarakanidhisadbhāvādivākyavat svataḥprayojanabhūtārthaviṣayavākyānāṃ	apavaraka-niDi-sadBAva-Adi-vAkya-vat svatas-prayojana-BUta-arTa-vizaya-vAkyAnAm
   bhinnavākyatayāpi prāmāṇyamupapādya samanvayasūtre pratikṣipyata iti	Binna-vAkya-tayA-api prAmANyam-upapAdya samanvaya-sUtre pratikzipyate iti
   virodhābhāvāt /	viroDa-aBAvAt /
   api cautsargiṅkamāpavādikañca taṃ tamarthaṃ pratipādayatsu vākyeṣu	api ca-OtsargiFkam-ApavAdi-kaQca tam tam-arTam pratipAdayatsu vAkyezu
   viṣayavyavasthayā virodhaśamanaṃ vyākaraṇādiṣvapi dṛṣṭamiti /	vizaya-vyavasTayA viroDa-Samanam vyAkaraNa-Adizu-api dRzwam-iti /
   ata eva brāhmaṇaśeṣā arthavādā ityārṣamapi	atas eva brAhmaNa-SezAH arTa-vAdAH iti-Arzam-api
   vākyamautsargikaviṣayamavagantavyam /	vAkyam-Otsargika-vizayam-avagantavyam /
   yā tu śabdabhāvanaiva liṅādyartha iti kaumārilakusṛtiḥ, sā tu	yA tu Sabda-BAvanA-eva liFA-Adi-arTaH iti kOmArila-kusRtiH, sA tu
   pratītiviṃsavādādipratihatā; na hi vidhivākyaśrāvī puruṣaḥ, liṅādi	pratIti-viMsavAda-Adi-pratihatA; na hi viDi-vAkya-SrAvI puruzaH, liFa-Adi
   svavyāpāramabhidhatte, ato mayā pravartitavyamiti manyate /	sva-vyApAram-aBiDatte, atas mayA pravartitavyam-iti manyate /
   na ca yāgādisvarūpe liṅādivyāpāre ca kenacid vākyena samuccitya	na ca yAga-Adi-svarUpe liFa-Adi-vyApAre ca kenacid vAkyena samuccitya
   pratipāditepi kaścit pravartamāno dṛśyate /	pratipAditepi kaScid pravartamAnaH dRSyate /
   liṅādeśca jñāyamānatvalakṣaṇavyāpāramātrācchaktilakṣaṇavyāpārādvā	liFA-AdeH-ca jQAyamAna-tva-lakzaNa-vyApAra-mAtrAt-Sakti-lakzaNa-vyApArAt-vA
   pravartakatve vyutpatteḥ prāgapi tataḥ pravṛttiprasaṅgaḥ; vyutpatterapi	pravartaka-tve vyutpatteH prAk-api tatas pravRtti-prasaFgaH; vyutpatteH-api
   sahakāritve tatsāpekṣāyā nirviṣayāyāstasyā asaṃbhavāt tadviṣayo vācyaḥ /	sahakAri-tve tad-sApekzAyAH nirvizayAyAH-tasyAH asaMBavAt tad-vizayaH vAcyaH /
   na ca svavyāpāre liṅādiḥ kvacid vyutpannaḥ /	na ca sva-vyApAre liFA-AdiH kvacid vyutpannaH /
   sarveṣāmapi śabdānāṃ svavyāpārātirikta eva hyarthe vyutpatti /	sarvezAm-api SabdAnAm sva-vyApAra-atiriktaH eva hi-arTe vyutpatti /
   ye cābhidhādayaḥ śabdāḥ, tepi na śṛṅgagrāhikayā svavyāpāramabhidadhati;	ye ca-aBiDa-AdayaH SabdAH, tepi na SRFga-grAhikayA sva-vyApAram-aBidaDati;
   api tu śabdamātravyāpāre tatpravṛtteḥ sāmānyopādhikroḍīkāreṇa	api tu Sabda-mAtra-vyApAre tad-pravRtteH sAmAnya-upADi-kroxIkAreNa
   svavyāpārasyāpi niveśaḥ; ata evābhidhādiśabdābhidheyasya nimittasya ca	sva-vyApArasya-api niveSaH; atas eva-aBiDa-Adi-Sabda-aBiDeyasya nimittasya ca
   sāmānyataḥ pratipannatvād vyutpattyupapattiḥ /	sAmAnyatas pratipanna-tvAt vyutpatti-upapattiH /
   liṅādestu svavyāpāre pratīte tatra vyutpattiḥ syāt; tatpratītirvyutpannena	liFA-AdeH-tu sva-vyApAre pratIte tatra vyutpattiH syAt; tad-pratItiH-vyutpannena
   cet, anyonyāśrayaḥ; avyutpannena cet, atiprasaṅgaḥ, iti /	cet, anyonya-ASrayaH; avyutpannena cet, atiprasaFgaH, iti /
   na ceṣṭasādhanatvamātraṃ liṅādibodhyam, 'taveṣṭa sādhanamidam, ateḥ kuru'	na ca-izwa-sA-aDana-tva-mAtram liFA-Adi-boDyam, atavezwa sADanam-idam, ateH kuru-a
   iti sahaprayogadarśanāt /	iti saha-prayoga-darSanAt /
   na cādarādinibandhanā punaruktiriyam, pratīteratathātvāt,	na ca-Adara-Adi-nibanDanA punar-uktiH-iyam, pratIteH-ataTAtvAt,
   hetusādhyanirdeśāyogācca /	hetu-sADya-nirdeSa-ayogAt-ca /
   'kartavyamidam, ataḥ kuru ityapi dṛśyate, iti cenna, brāhmaṇasya	akartavyam-idam, atas kuru iti-api dRSyate, iti ca-id-na, brAhmaNasya
   kartavyamidam, atastavāpi kartavyamitivat sāmanyaviśeṣādivivakṣāyā	kartavyam-idam, atas-tava-api kartavyam-iti-vat sAmanya-viSeza-Adi-vivakzAyA
   avirodhāt, atyantaikārthavivakṣāyāṃ tu tatrāpi prayogāyogāt /	aviroDAt, atyanta-eka-arTa-vivakzAyAm tu tatra-api prayoga-ayogAt /
   ata eva āptasya vakturicchāmātraṃ liṅādyarthaḥ, iti pratyuktam;	atas eva Aptasya vaktuH-icCA-mAtram liFA-Adi-arTaH, iti pratyuktam;
   āptasyeṣṭamidam, atā mamedaṃ kāryam iti	Aptasya-izwam-idam, atA mama-idam kAryam iti
   pravartamānapuruṣābhilāpaviśeṣadarśanāt /	pravartamAna-puruza-aBilApa-viSeza-darSanAt /
   na ca liṅārthatvādeva nimantraṇādivad vidhirapi vaktrabhiprāyamātramiti	na ca liFA-arTa-tvAt-eva nimantraNa-Adi-vat viDiH-api vaktraBiprAya-mAtram-iti
   vācyam, saṃbhāvanādibhirviśeṣavihitaiścānaikāntyāt;	vAcyam, saMBAvanA-AdiBiH-viSeza-vihitEH-ca-anEkAntyAt;
   ekaśabdavācyatāmātreṇaikatve cānekārthaśabdabhaṅgaprasaṅge dṛṣṭāntopi na	eka-Sabda-vAcya-tA-mAtreNa-eka-tve ca-aneka-arTa-Sabda-BaFga-prasaFge dRzwAnta-upi na
   sidhyet /	siDyet /
   yadyapi paramate hyudayanoktā niṣedhānupapattiḥ, tathāpi na	yadi-api para-mate hi-udayana-uktA nizeDa-anupapattiH, taTA-api na
   sāsmatpakṣamavagāhate, kartavyatāyā vidhyarthatve na kartavya iti	sA-asmat-pakzam-avagAhate, kartavyatAyAH viDi-arTa-tve na kartavyaH iti
   nañanvayāvirodhāt; kartṛvyāpārasādhyatvameva ca kartavyatvam; tathāhi	naQanvaya-aviroDAt; kartR-vyA-pAra-sADya-tvam-eva ca kartavya-tvam; taTA-hi
   vedārthasaṅgahe "liṅādeḥ koyamarthaḥ parigṛhītaḥ"' iti praśnapūrvakaṃ	veda-arTa-saFgahe "liFA-AdeH koyam-arTaH parigRhItaH"-a iti praSna-pUrvakam
   pratyuktam--- "yaja devapūjāyām, iti devatārādhanabhūtayāgādeḥ	pratyuktam--- "yaja deva-pUjA-AyAm, iti devatA-ArADana-BUta-yAga-AdeH
   prakṛtyarthasya kartṛvyāpārasādhyatāṃ vyutpattisiddhāṃ	prakRti-arTasya kartR-vyApAra-sADyatAm vyutpatti-sidDAm
   liṅādayobhidadhatīti na kiñcidanupapannam, kartṛvācināṃ pratyayānāṃ	liFAdayoBidaDati-iti na kiQcid-anupapannam, kartR-vAcinAm pratyayAnAm
   prakṛtyarthasya kartṛvyāpārasaṃbandhaprakāro hi vācyaḥ;	prakRti-arTasya kartR-vyApAra-saMbanDa-prakAraH hi vAcyaH;
   bhūtavartamānatādimanye vadanti, liṅādayastu kartṛvyāpārasādhyatāṃ	BUta-vartamAnatA-Adi-manye vadanti, liFA-AdayaH-tu kartR-vyApAra-sADyatAm
   vadanti" iti /	vadanti" iti /
   bhāṣye cādyasūtre---"ato vidhivākyeṣvapi dhātvarthasya	BAzye ca-Adya-sUtre---"atas viDi-vAkyezu-api DAtu-arTasya
   kartṛvyāpārasādhyatāmātraṃ śabdānuśāsanasiddhameva	kartR-vyA-pAra-sADya-tA-mAtram Sabda-anuSAsana-sidDam-eva
   liṅādervācyamityadhyavasīyate, dhātvarthasya ca	liFA-AdeH-vAcyam-iti-aDyavasIyate, DAtu-arTasya ca
   yāgāderagnyādidevatāntaryāmiparamapuruṣasamārādhanarūpatā, samārādhitāt	yAga-AdeH-agni-Adi-devatA-antaryAmi-parama-puruza-samArADana-rUpa-tA, samArADitAt-
   paramapuruṣāt phalasiddhiśceti 'phalamata upapatteḥ' iti pratipādayiṣyate"	parama-puruzAt Pala-sidDiH-ca-iti aPalam-atas upapatteH-a iti pratipAdayizyate"
   iti /	iti /
   atra kartṛvyāpārasādhyatāmātramiti niṣkṛṣṭārthapradarśanāyoktam;	atra kartR-vyA-pAra-sADya-tA-mAtram-iti nizkRzwa-arTa-pradarSanAya-uktam;
   pratipattiprakārastu yajetetyādau svavyāpārasādhyayāgādiviśiṣṭaḥ iti	pratipatti-prakAraH-tu yajeta-ityAdO sva-vyApAra-sADya-yAga-Adi-viSizwaH iti
   kartṛprādhānyenaiva /	kartR-prADAnyena-eva /
   yathoktaṃ dīpe kartradhikaraṇai--- "yajeta, upāsīta, iti hi kartari	yaTA-uktam dIpe kartR-aDi-karaNE-- "yajeta, upAsIta, iti hi kartari
   lakāraḥ, ataḥ kartārameva bodhayati śāstram" iti /	lakAraH, atas kartAram-eva boDayati SAstram" iti /
   uktaṃ ca vedārthasaṃgrahepi-- "svargakāmo yajeta, ityevamādiṣu	uktam ca veda-arTa-saMgraha-Ipi- "svarga-kAmaH yajeta, iti-evamAdizu
   lakāravācyakartṛviśeṣasamarpakāṇāṃ svargakāmādipadānāṃ	lakAra-vAcya-kartR-viSeza-samarpakANAm svarga-kAma-Adi-padAnAm
   niyojyaviśeṣasamarpakatvaṃ śabdānuśāsanāviruddham" iti /	niyojya-viSeza-samarpaka-tvam Sabda-anuSAsana-avirudDam" iti /
   yadyapi dīpagranthaḥ puṃsaḥ kartṛtvaṃ śrutisiddhamityatraiva tatparaḥ,	yadi-api dIpa-granTaH puMsaH kartR-tvam Sruti-sidDam-iti-atra-eva tad-paraH,
   tathāpi dhātvarthasādhyatāparaliṅādiṣvapi kartapradhānatayā vṛttiṃ	taTA-api DAtu-arTa-sADya-tA-paraliFA-Adizu-api karta-praDAna-tayA vRttim
   pradarśya sāṃravyān pratikṣipatīti tādarthyāt tatrāpi tatparatvameva	pradarSya sAMravyAn pratikzipati-iti tAdarTyAt tatra-api tat-paratvam-eva
   grāhyam /	grAhyam /
   pacatītyādau pākaṃ karotītyādinipuṇavyākriyāśca kṛtikarmatayaiva	pacati-ityAdO pAkam karoti-ityAdi-nipuNa-vyAkriyAH-ca kRti-karma-tayA-eva
   dhātvarthasyānvayaṃ vyañjayanti //	DAtu-arTasya-anvayam vyaQjayanti //
   nyā. pa. śa. 38 śrīgītābhāṣye caitad vyañjitam--- 'yudhyasva' ityatra	nyA. pa. Sa. 38 SrI-gIta-ABAzye ca-etat vyaQjitam---- ayuDyasva-a iti-atra
   'yuddhākhyaṃ karmārabhasva' iti vyākhyānāt /	ayudDa-AKyam karma-AraBasva-a iti vyAKyAnAt /
   vyākaraṇāt karaṇatayā ca dhātvarthasyānvaye kathaṃ kriyāviśeṣaṇasya	vyAkaraNAt karaNa-tayA ca DAtu-arTasya-anvaye kaTam kriyA-viSezaNasya
   karmavibhaktyantatā ? na hi viśeṣyeṇa viśeṣaṇaṃ bhāvayedityanveti,	karma-viBakti-anta-tA ? na hi viSezyeNa viSezaNam BAvayet-iti-anveti,
   phalasyāpūrvasya vā bhavadbhirbhāvyatvābhyupagamāt; vartamānavyapadeśādiṣu	Palasya-apUrvasya vA BavadBiH-BAvya-tva-aByupagamAt; vartamAna-vyapadeSa-Adizu
   ca sādhyāntarābhāvepi na viśeṣaṇamātraṃ sādhyam, na ca prathamāntaṃ	ca sADya-antara-aBAvepi na viSezaNa-mAtram sADyam, na ca praTama-antam
   kiyāviśeṣaṇam; karaṇapakṣepi dhātvarthenānanvayaprasaṅgāt,	kiyA-viSezaNam; karaNa-pakzepi DAtu-arTena-ananvaya-prasaFgAt,
   ananvitaviśeṣaṇatādyanupapatteḥ /	ananvita-viSezaNa-tA-Adi-anupapatteH /
   na cākarmavibhaktyantena dhātunā karmavibhaktyantasya kathaṃ	na ca-akarma-viBakti-antena DAtunA karma-viBakti-antasya kaTam
   sāmānādhikaraṇyamiti vācyam,	sAmAnADikaraNyam-iti vAcyam,
   karaṇavibhaktyantenāpyasāmānādhikaraṇyaprasaṅgāt, na ca prapavatīyamāne	karaNa-viBakti-antena-api-asAmAna-ADikaraNya-prasaFgAt, na ca prapavatIyamAne
   karmatvenānvaye kaściddoṣo dṛśyate, priyaṅgukāmaḥ kṛṣiṃ kuryāditivat	karma-tvena-anvaye kaScid-dozaH dRSyate, priyaFgu-kAmaH kRzim kuryAt-iti-vat-
   svargakāmo yāgaṃ kuryāditi vākyārthepi virodhābhāvāt,	svarga-kAmaH yAgam kuryAt-iti vAkya-arTepi viroDa-aBAvAt,
   tadvadevārthatastasya tadupāyatvasiddheḥ keneti karaṇākāṅkṣāyā api śamanāt	tadvat-eva-arTataH-tasya tad-upAya-tva-sidDeH kena-iti karaNa-AkAFkzAyAH api SamanAt-
   nāmadheyagatatṛtīyānvayopi nāvaśyaṃ sāmānādhikaraṇyena, tattannāmakaiḥ	nAmaDeya-gata-tRtIya-anvayopi na-avaSyam sAmAnADikaraNyena, tad-tad-nAmakEH
   karmaviśeṣaiḥ devatāpūjāṃ kuryādityevaṃparatvepi svarasānvayāt,	karma-viSezEH devatA-pUjAm kuryAt-iti-evaMpara-tvepi svarasa-anvayAt,
   sāmānyaviśeṣarūpeṇa vyadhikaraṇanirdeśopapatteḥ /	sAmAnya-viSeza-rUpeNa vyaDikaraNa-nirdeSa-upapatteH /
   cāṭuvādena rājānaṃ prīṇayeditivād yāgaṃ kuruṣvetyādau na kṛñarthasyāpi	cAwu-vAdena rAjAnam prINayet-itivAt yAgam kuruzva-ityAdO na kRQarTasya-api
   sādhyatvaprasaṅgaḥ, tasyaiva kartṛvyāpārarūpatve tatsādhyatvāyogāt,	sADya-tva-prasaFgaH, tasya-eva kartR-vyApAra-rUpa-tve tad-sADya-tva-ayogAt,
   prakṛtipratyayoranyatarasya kṛtāvudāsīnatvāt, ekaḥ, dvau, bahavaḥ,	prakRti-pratyayoH-anyatarasya kRtO=-udAsIna-tva-at, ekaH, dvO, bahavaH,
   ityādivat /	ityAdi-vat /
   tatrāpi yadā karmatāṃ vivakṣati, tadāpi kartṛvyāpārāntaramabhipretya vā,	tatra-api yadA karma-tAm vivakzati, tadA-api kartR-vyApAra-antaram-aBipretya vA,
   bhedopacāreṇa vā nirvāhaḥ; yathā---udakāharaṇakriyāṃ karotītyādau /	Beda-upacAreNa vA nirvAhaH; yaTA---udaka-AharaNa-kriyAm karoti-ityAdO /
   na ca tāvatānavasthā, pratītyanāroheṇa vyavahārasya paryavasitatvāt /	na ca tAvatA-anavasTA, prati-iti-anAroheNa vyavahArasya paryavasita-tvAt /
   agnihotraṃ juhotītyādiprayogaścāsmatpakṣānukūlaḥ /	agnihotram juhoti-iti-Adi-prayogaH-ca-asmad-pakza-anukUlaH /
   ataḥ, kiṃ, kena, kathamiti bhavatproktavat, kimarthaṃ, kiṃ, kena,	atas-, kiM, kena, kaTam-iti Bavat-proktavat, kimarTaM, kiM, kena,
   kathamityākāṅkṣācatuṣṭaye svargādinā kimarthamityākāṅkṣāpūraṇam, devatāṃ	kaTam-iti-AkAFkzA-catuzwaye svarga-AdinA kim-arTam-iti-AkAFkzA-pUraNam, devatAm
   prīṇayediti kimityākāṅkṣānaśāntiḥ, jyotiṣṭomenetyādināmadheyādibhiḥ	prINayet-iti kim-iti-AkAFkzAna-SAntiH, jyotizwomena-ityAdi-nAmaDeya-AdiBiH
   kenetyākāṅkṣā pūryate, kathamityākāṅkṣāpūraṇaṃ tu bhavatāmasmākaṃ ca	kena-iti-AkAFkzA pUryate, kaTam-iti-AkAFkzA-pUraNam tu BavatAm-asmAkam ca
   tulyameveti śābdoyaṃ panthāḥ /	tulyam-eva-iti SAbdoyam panTAH /
   atastattadadhikāriṇaḥ svasādhyadhātvarthaviśiṣṭatābodhini yajetetyādau	atas-tat-tad-aDikAriNaH sva-sADya-DAtu-arTa-viSizwa-tA-boDini yajeta-iti-AdO
   tattaddhātvarthānuṣṭhāne phalam ananuṣṭhāne pratyavāyaśca sarvapraśāsituḥ	tad-tad-DAtu-arTa-anuzWAne Palam ananuzWAne pratyavAyaH-ca sarva-praSAsituH
   saṅkalpād bhavatītyapi vākyādavagatam /	saFkalpAt Bavati-iti-api vAkyAt-avagatam /
   avāntaradevatābuddhivṛttiviśeṣastu sadvārakayajate	avAntara-devatA-budDi-vRtti-viSezaH-tu sa-dvAraka-yajate
