   agnau vahnir ivārpitaḥ GorS(1)_100b	agnO vahniH iva-arpitaH GorS(1)_100b
   prāṇaṃ tatra vinīya pañca-ghaṭikāś cittānvitaṃ dhārayed GorS(1)_70c	prANam tatra vinIya paQca--GawikAH citta-anvitam DArayet GorS(1)_70c
   prāṇaṃ tatra vinīya pañca-ghaṭikāś cittānvitaṃ dhārayed GorS(1)_71c	prANam tatra vinIya paQca--GawikAH citta-anvitam DArayet GorS(1)_71c
   prāṇaṃ tatra vinīya pañca-ghaṭikāś cittānvitaṃ dhārayed GorS(1)_72c	prANam tatra vinIya paQca--GawikAH citta-anvitam DArayet GorS(1)_72c
   prāṇaṃ tatra vinīya pañca-ghaṭikāś cittānvitaṃ dhārayed GorS(1)_73c	prANam tatra vinIya paQca--GawikAH citta-anvitam DArayet GorS(1)_73c
   prāṇaṃ sūryeṇa cākṛṣya GorS(1)_45a	prANam sUryeNa ca-AkRzya GorS(1)_45a
   prāṇādyāḥ pañca vāyavaḥ GorS(1)_25b	prANa-AdyAH paQca vAyavaH GorS(1)_25b
   prāṇāpāna-vaśo jīvo hy GorS(1)_26a	prANa-apAna-vaSaH jIvaH hi GorS(1)_26a
   prāṇāpāna-vaśo jīvo hy GorS(2)_39 (=1|26)a	prANa-apAna-vaSaH jIvaH hi GorS(2)_39 (=1|26)a
   prāṇāpāna-samākṣiptas GorS(1)_27c	prANa-apAna--samAkziptaH GorS(1)_27c
   prāṇāpāna-samākṣiptas GorS(2)_38 (=1|27)c	prANa-apAna--samAkziptaH GorS(2)_38 (=1|27)c
   prāṇāpānena kṛṣyate GorS(1)_28d	prANa-apAnena kRzyate GorS(1)_28d
   prāṇāpānena kṛṣyate GorS(2)_40 (=1|28)d	prANa-apAnena kRzyate GorS(2)_40 (=1|28)d
   prāṇāpānau samānaś ca hy GorS(1)_24a	prANa-apAnO samAnaH ca hi GorS(1)_24a
   prāṇāyāma-parāyaṇaḥ GorS(1)_38b	prANAyAma--parAyaNaH GorS(1)_38b
   prāṇāyāma-parāyaṇaḥ GorS(2)_93b	prANAyAma--parAyaNaH GorS(2)_93b
   prāṇāyāma-vibhedanaiḥ GorS(1)_82b	prANAyAma--viBedanEH GorS(1)_82b
   prāṇāyāmasya nirṇayaḥ GorS(1)_48d	prANAyAmasya nirNayaH GorS(1)_48d
   prāṇāyāmaṃ samabhyaset GorS(1)_41d	prANAyAmam samaByaset GorS(1)_41d
   prāṇāyāmī sukhī bhavet GorS(2)_97 (=1|44)d	prANAyAmI suKI Bavet GorS(2)_97 (=1|44)d
   prāṇāyāmena pātakam GorS(1)_54b	prANAyAmena pAtakam GorS(1)_54b
   prāṇāyāmena saṃyutaḥ GorS(1)_67b	prANAyAmena saMyutaH GorS(1)_67b
   prāṇāyāme sukhī bhavet GorS(1)_44d	prANAyAme suKI Bavet GorS(1)_44d
   prāṇāyāme sukhī bhavet GorS(1)_46d	prANAyAme suKI Bavet GorS(1)_46d
   prāṇāyāme sukhī bhavet GorS(2)_99 (=1|46)d	prANAyAme suKI Bavet GorS(2)_99 (=1|46)d
   prāṇāyāmo bhavaty evaṃ GorS(1)_53a	prANAyAmaH Bavati evam GorS(1)_53a
   prāṇāyāmo bhavet tredhā GorS(1)_47c	prANAyAmaH Bavet treDA GorS(1)_47c
   prāṇo deha-sthito vāyur GorS(1)_42a	prANaH deha--sTitaH vAyuH GorS(1)_42a
   prāṇo'pānaṃ ca karṣati GorS(1)_29b	prANaH-apAnam ca karzati GorS(1)_29b
   prāṇo'pānaṃ ca karṣati GorS(2)_41 (=1|29)b	prANaH-apAnam ca karzati GorS(2)_41 (=1|29)b
   prāṇo'pānaḥ samānaś ca GorS(2)_33 (=1|24)a	prANaH-apAnaH samAnaH ca GorS(2)_33 (=1|24)a
   prādhānyāt prāṇa-vāhinyo GorS(1)_17c	prADAnyAt prANa--vAhinyaH GorS(1)_17c
   prāpte prāṇaṃ mahāpadmaṃ GorS(1)_61c	prApte prANam mahA-padmam GorS(1)_61c
   prāpyate paramaṃ padam GorS(2)_74d	prApyate paramam padam GorS(2)_74d
   preritaṃ tu mahā-rajaḥ GorS(2)_75b	preritam tu mahA-rajaH GorS(2)_75b
   procyate maṇi-pūrakam GorS(1)_15d	procyate maNi-pUrakam GorS(1)_15d
   procyate maṇi-pūrakam GorS(2)_23 (=1|15)d	procyate maNi-pUrakam GorS(2)_23 (=1|15)d
   procyate yogibhiḥ sadā GorS(1)_53d	procyate yogiBiH sadA GorS(1)_53d
   baddha-padmāsano muhuḥ GorS(1)_49d	badDa--padmAsanaH muhur GorS(1)_49d
   baddha-padmāsano yogī GorS(1)_41a	badDa--padmAsanaH yogI GorS(1)_41a
   baddha-padmāsano yogī GorS(1)_43a	badDa--padmAsanaH yogI GorS(1)_43a
   baddha-padmāsano yogī GorS(2)_96 (=1|43)a	badDa--padmAsanaH yogI GorS(2)_96 (=1|43)a
   badhnāti hi sirājālam GorS(2)_79 (=HYP 3.71)a	baDnAti hi sirA-jAlam GorS(2)_79 (=HYc 3.71)a
   bandhanāya ca mūḍhānāṃ GorS(2)_56 (=HYP 3.107)c	banDanAya ca mUXAnAm GorS(2)_56 (=HYc 3.107)c
   bādhyate na ca karmaṇā GorS(1)_98b	bADyate na ca karmaNA GorS(1)_98b
   bādhyate na sa kālena GorS(2)_66 (=HYP 3.40)c	bADyate na sa kAlena GorS(2)_66 (=HYc 3.40)c
   bindunaiti sahaikatvaṃ GorS(2)_75c	bindunA-eti saha-ekatvam GorS(2)_75c
   bindum indū rajo raviḥ GorS(2)_74b	bindum induH rajaH raviH GorS(2)_74b
   bindu-mūlaṃ śarīraṃ tu GorS(2)_68a	bindu--mUlam SarIram tu GorS(2)_68a
   binduḥ śivo rajaḥ śaktir GorS(2)_74a	binduH SivaH rajaH SaktiH GorS(2)_74a
   brahmacārī mitāhārī GorS(2)_54 (=HYP 1.59)a	brahmacArI mita-AhArI GorS(2)_54 (=HYc 1.59)a
   brahma-dvāra-mukhaṃ nityaṃ GorS(1)_30c	brahma-dvAra--muKam nityam GorS(1)_30c
   brahma-dvāra-mukhaṃ nityaṃ GorS(2)_47 (=1|30)c	brahma-dvAra--muKam nityam GorS(2)_47 (=1|30)c
   brahma brahma-vido viduḥ GorS(1)_99d	brahma brahma--vidaH viduH GorS(1)_99d
   brahma-randhre mahā-pathe GorS(2)_16d	brahma-ranDre mahA--paTe GorS(2)_16d
   brahma-sthānam anāmayam GorS(2)_48b	brahma-sTAnam anAmayam GorS(2)_48b
   brāhmī raudrī ca vaiṣṇavī GorS(2)_86b	brAhmI rOdrI ca vEzNavI GorS(2)_86b
   bhava-pāśa-vimuktaye GorS(1)_1b	Bava--pASa--vimuktaye GorS(1)_1b
   bhava-bhaya-vane vahnir GorS(1)_101a	Bava--Baya-vane vahniH GorS(1)_101a
   bhaved divyaṃ vapus tadā GorS(2)_75d	Bavet divyam vapuH tadA GorS(2)_75d
   bhāvayanti śarīraṃ yā GorS(2)_68c	BAvayanti SarIram yAH GorS(2)_68c
   bhāskaro dahanātmakaḥ GorS(1)_57b	BAskaraH dahana-AtmakaH GorS(1)_57b
   bhujyate sura-samprītyai GorS(2)_55 (=HYP 1.60)c	Bujyate sura--samprItyE GorS(2)_55 (=HYc 1.60)c
   bhūtānāṃ pañca dhāraṇāḥ GorS(1)_74d	BUtAnAm paQca DAraNAH GorS(1)_74d
   bhūyaś candreṇa recayet GorS(1)_45d	BUyas candreNa recayet GorS(1)_45d
   bhūyas tatra daśa smṛtāḥ GorS(1)_17d	BUyas tatra daSa smRtAH GorS(1)_17d
   bhūyas tatra daśa smṛtāḥ GorS(2)_26 (=1|17)d	BUyas tatra daSa smRtAH GorS(2)_26 (=1|17)d
   bhūyaḥ sūryeṇa recayet GorS(1)_43d	BUyas sUryeNa recayet GorS(1)_43d
   bhūyaḥ sūryeṇa recayet GorS(2)_96 (=1|43)d	BUyas sUryeNa recayet GorS(2)_96 (=1|43)d
   bhūr bhuvaḥ svar ime lokāḥ GorS(2)_84a	BUH BuvaH svar ime lokAH GorS(2)_84a
   bhramante jīva-rūpiṇaḥ GorS(2)_36 (=1|25)d	Bramante jIva--rUpiNaH GorS(2)_36 (=1|25)d
   bhruvor antargatā dṛṣṭir GorS(1)_34c	BruvoH antargatA dRzwiH GorS(1)_34c
   bhruvor antargatā dṛṣṭir GorS(2)_64 (=1|34)c	BruvoH antargatA dRzwiH GorS(2)_64 (=1|34)c
   bhruvor madhye sthitaṃ devaṃ GorS(1)_84a	BruvoH maDye sTitam devam GorS(1)_84a
   bhrū-madhye dvidalaṃ tathā GorS(2)_16b	BrU--maDye dvi-dalam taTA GorS(2)_16b
   bhrū-madhye parameśvaram GorS(1)_86d	BrU--maDye parameSvaram GorS(1)_86d
   ma-kāro bindu-saṃjñakaḥ GorS(2)_87b	ma-kAraH bindu--saMjQakaH GorS(2)_87b
   madhyame dviguṇās tataḥ GorS(1)_48b	maDyame dviguNAH tatas GorS(1)_48b
   manasā tat smaren nityaṃ GorS(2)_88c	manasA tat smaret nityam GorS(2)_88c
   manasā mārutā hatā GorS(1)_31b	manasA mArutA hatA GorS(1)_31b
   manasā mārutā hatā GorS(2)_49 (=1|31)b	manasA mArutA hatAH GorS(2)_49 (=1|31)b
   manaso niścalatvena GorS(1)_68c	manasaH niScala-tvena GorS(1)_68c
   mandaṃ mandaṃ pibed vāyuṃ GorS(1)_51a	mandam mandam pibet vAyum GorS(1)_51a
   mandaṃ mandaṃ viyojayet GorS(1)_51b	mandam mandam viyojayet GorS(1)_51b
   maraṇaṃ tasya niṣkrāntis GorS(2)_91 (=HYP 2.3)c	maraNam tasya nizkrAntiH GorS(2)_91 (=HYc 2.3)c
   marīci-jala-sannibham GorS(1)_87b	marIci--jala--sanniBam GorS(1)_87b
   mastake maṇivad bimbaṃ GorS(2)_19 (=1|12)c	mastake maNi-vat bimbam GorS(2)_19 (=1|12)c
   mastake maṇivad bhinnaṃ GorS(1)_12c	mastake maNi-vat Binnam GorS(1)_12c
   mahā-mudrābhidhīyate GorS(2)_58d	mahA-mudrA-aBiDIyate GorS(2)_58d
   mahāmudrāṃ tu yo'bhyaset GorS(2)_62 (=HYP 3.17)d	mahAmudrAm tu yaH-aByaset GorS(2)_62 (=HYc 3.17)d
   mahāmudrāṃ namo-mudrām GorS(1)_32a	mahAmudrAm namaH--mudrAm GorS(1)_32a
   mahāmudrāṃ namo-mudrām GorS(2)_57 (=1|32)a	mahAmudrAm namaH--mudrAm GorS(2)_57 (=1|32)a
   mahā-siddhi-karā nṝṇām GorS(2)_63 (=HYP 3.18)b	mahA--sidDi-karAH nLNAm GorS(2)_63 (=HYc 3.18)b
   mātrā dvādaśa-saṃyutaḥ GorS(1)_47d	mAtrA dvAdaSa--saMyutaH GorS(1)_47d
   mānasaṃ ca vilīyate GorS(1)_94b	mAnasam ca vilIyate GorS(1)_94b
   māsena na kṣayaṃ yāti GorS(1)_63c	mAsena na kzayam yAti GorS(1)_63c
   mitāhāraḥ sa ucyate GorS(2)_55 (=HYP 1.60)d	mita-AhAraH saH ucyate GorS(2)_55 (=HYc 1.60)d
   mukti-sopāna-mārgataḥ GorS(1)_101b	mukti--sopAna--mArgataH GorS(1)_101b
   mukto yaḥ śakti-bhedena GorS(1)_91c	muktaH yaH Sakti-Bedena GorS(1)_91c
   mukhenācchādya tad-dvāraṃ GorS(2)_48c	muKena-AcCAdya tad--dvAram GorS(2)_48c
   mukhenācchādya tiṣṭhati GorS(2)_47 (=1|30)d	muKena-AcCAdya tizWati GorS(2)_47 (=1|30)d
   mukhenāvṛtya tiṣṭhati GorS(1)_30d	muKena-AvRtya tizWati GorS(1)_30d
   muñcan prāṇam upaiti bodham atulaṃ śakti-prabodhān naraḥ GorS(2)_52 (=HYP	muQcan prANam upEti boDam atulam Sakti-praboDAt naraH GorS(2)_52 (=HYP
   1.50)d	1.50)d
   mudrā bhavati khecarī GorS(1)_34d	mudrA Bavati KecarI GorS(1)_34d
   mudrā bhavati khecarī GorS(2)_64 (=1|34)d	mudrA Bavati KecarI GorS(2)_64 (=1|34)d
   mudrā siddhair nirūpitā GorS(2)_67 (=HYP 3.41)d	mudrA sidDEH nirUpitAH GorS(2)_67 (=HYc 3.41)d
   mūrdhānaṃ nīyate śaktyā GorS(1)_52c	mUrDAnam nIyate SaktyAH GorS(1)_52c
   mūla-bandhaṃ ca yo vetti GorS(1)_32c	mUla-banDam ca yaH vetti GorS(1)_32c
   mūla-bandhaṃ ca yo vetti GorS(2)_57 (=1|32)c	mUla-banDam ca yaH vetti GorS(2)_57 (=1|32)c
   mūla-bandho nigadyate GorS(1)_37d	mUla-banDaH nigadyate GorS(1)_37d
   mūla-bandho'bhidhīyate GorS(2)_81 (=1|37, HYP 3.61)d	mUla-banDaH-aBiDIyate GorS(2)_81 (=1|37, HYc 3.61)d
   mūla-sthāne ca śaṅkhinī GorS(1)_22b	mUla-sTAne ca SaFKinI GorS(1)_22b
   mūla-sthāne ca śaṅkhinī GorS(2)_31 (=1|22)b	mUla-sTAne ca SaFKinI GorS(2)_31 (=1|22)b
   mṛtyu-mātaṅga-kesarī GorS(1)_35d	mRtyu--mAtaFga-kesarI GorS(1)_35d
   meḍhram evābhidhīyate GorS(1)_14d	meXram eva-aBiDIyate GorS(1)_14d
   meḍhram evābhidhīyate GorS(2)_22 (=1|14)d	meXram eva-aBiDIyate GorS(2)_22 (=1|14)d
   meḍhre pādam athaikam eva niyataṃ kṛtvā samaṃ vigraham GorS(1)_8b	meXre pAdam aTa-ekam eva niyatam kRtvA samam vigraham GorS(1)_8b
   meḍhre pādam athaikam eva niyataṃ kṛtvā samaṃ vigraham GorS(2)_11 (=1|8)b	meXre pAdam aTa-ekam eva niyatam kRtvA samam vigraham GorS(2)_11 (=1|8)b
   mokṣa-dvāraṃ prabhedayet GorS(2)_51d	mokza-dvAram praBedayet GorS(2)_51d
   yataḥ kāla-bhayāt brahmā GorS(1)_38a	yatas kAla-BayAt brahmA GorS(1)_38a
   yat tattve niścitaṃ cetas GorS(1)_76c	yat tattve niScitam cetaH GorS(1)_76c
   yat tāla-sthitam indra-gopa-sadṛśaṃ tattvaṃ trikoṇojjvalaṃ GorS(1)_71a	yat tAla--sTitam indra-gopa--sadRSam tattvam trikoNa-ujjvalam GorS(1)_71a
   yat pīyūṣa-va-kāra-bīja-sahitaṃ yuktaṃ sadā viṣṇunā GorS(1)_70b	yat pIyUza-va-kAra--bIja--sahitam yuktam sadA vizNunA GorS(1)_70b
   yatra kandaḥ suṣumṇayā GorS(1)_15b	yatra kandaH suzumNayA GorS(1)_15b
   yatra kandaḥ suṣumṇayā GorS(2)_23 (=1|15)b	yatra kandaH suzumNayA GorS(2)_23 (=1|15)b
   yat samādhau paraṃ jyotir GorS(2)_21a	yat samADO param jyotiH GorS(2)_21a
   yathā kuñcikayā haṭhāt GorS(2)_51b	yaTA kuQcikayA haWAt GorS(2)_51b
   yatheṣṭhaṃ dhāraṇaṃ vāyor GorS(2)_101a	yaTezWam DAraNam vAyoH GorS(2)_101a
   yathoccalati kandukaḥ GorS(1)_27b	yaTA-uccalati kandukaH GorS(1)_27b
   yathoccalati kandukaḥ GorS(2)_38 (=1|27)b	yaTA-uccalati kandukaH GorS(2)_38 (=1|27)b
   yadā saṃkṣīyate prāṇo GorS(1)_94a	yadA saMkzIyate prANaH GorS(1)_94a
   yad bhinnāñjana-puñja-sānnibham idaṃ tattvaṃ bhruvor antare GorS(1)_72a	yat BinnAQjana--puQja--sAnniBam idam tattvam BruvoH antare GorS(1)_72a
   yad vyāvṛttaṃ mano mohād GorS(1)_2c	yat vyAvRttam manaH mohAt GorS(1)_2c
   yad vyāvṛttaṃ mano mohād GorS(2)_5 (=1|2)c	yat vyAvRttam manaH mohAt GorS(2)_5 (=1|2)c
   yaśasvinī vāma-karṇe GorS(1)_21c	yaSasvinI vAma-karNe GorS(1)_21c
   yaśasvinī vāma-karṇe GorS(2)_30 (=1|21)c	yaSasvinI vAma-karNe GorS(2)_30 (=1|21)c
   yas tāṃ vetti sa yogavit GorS(2)_46d	yaH tAm vetti sa yoga-vid GorS(2)_46d
   yasya saṃnidhya-mātreṇa GorS(2)_1c	yasya saMniDya--mAtreNa GorS(2)_1c
   yasyā mātrāsu tiṣṭhanti GorS(2)_84c	yasyAH mAtrAsu tizWanti GorS(2)_84c
   yātāyātaṃ na vidyate GorS(2)_21d	yAta-AyAtam na vidyate GorS(2)_21d
   yā pṛthvī hari-tāla-deśa-rucirā pītā lakārānvitā GorS(1)_69a	yA pRTvI hari-tAla--deSa--rucirA pItAH lakAra-anvitAH GorS(1)_69a
   yāvac cittaṃ nirākulam GorS(2)_92 (=HYP 2.40)b	yAvat cittam nirAkulam GorS(2)_92 (=HYc 2.40)b
   yāvat karṇādiṣu smṛtāḥ GorS(1)_93b	yAvat karNa-Adizu smRtAH GorS(1)_93b
   yāvat tattvaṃ na vindati GorS(2)_24d	yAvat tattvam na vindati GorS(2)_24d
   yāvat tulyā bhavet saṅkhyā GorS(2)_60 (=HYP 3.15)c	yAvat tulyA Bavet saFKyA GorS(2)_60 (=HYc 3.15)c
   yāvatyo jīva-jātayaḥ GorS(1)_5b	yAvatyaH jIva--jAtayaH GorS(1)_5b
   yāvatyo jīva-jātayaḥ GorS(2)_8 (=1|5)b	yAvatyaH jIva--jAtayaH GorS(2)_8 (=1|5)b
   yāvad dṛṣṭir bhruvor madhye GorS(2)_92 (=HYP 2.40)c	yAvat dRzwiH BruvoH maDye GorS(2)_92 (=HYc 2.40)c
   yāvad baddhā nabho-mudrā GorS(2)_70c	yAvat badDAH naBo-mudrA GorS(2)_70c
   yāvad baddho marud dehe GorS(2)_92 (=HYP 2.40)a	yAvat badDaH marut dehe GorS(2)_92 (=HYc 2.40)a
   yāvad binduḥ sthito dehe GorS(2)_70a	yAvat binduH sTitaH dehe GorS(2)_70a
   yāvad vāyuḥ sthito dehe GorS(2)_91 (=HYP 2.3)a	yAvat vAyuH sTitaH dehe GorS(2)_91 (=HYc 2.3)a
   yuvā bhavati vṛddho'pi GorS(2)_82 (=1|38, HYP 3.65)c	yuvA Bavati vRdDaH-api GorS(2)_82 (=1|38, HYc 3.65)c
   yena dvāreṇa gantavyaṃ GorS(2)_48a	yena dvAreNa gantavyam GorS(2)_48a
   yena pīyūṣam āpyate GorS(1)_58d	yena pIyUzam Apyate GorS(1)_58d
   yogavit parame pade GorS(1)_100d	yoga-vid parame pade GorS(1)_100d
   yogavit parame pade GorS(1)_101d	yoga-vid parame pade GorS(1)_101d
   yogaṃ bhajati sajjanaḥ GorS(1)_3d	yogam Bajati sat-janaH GorS(1)_3d
   yogaṃ bhajati sajjanaḥ GorS(2)_6 (=1|3)d	yogam Bajati sat-janaH GorS(2)_6 (=1|3)d
   yogāṅgāni bhavanti ṣaṭ GorS(1)_4d	yoga-aFgAni Bavanti zax GorS(1)_4d
   yogāṅgāni bhavanti ṣaṭ GorS(2)_7 (=1|4)d	yoga-aFgAni Bavanti zax GorS(2)_7 (=1|4)d
   yogitvam amṛtāyate GorS(1)_61d	yogi-tvam amRtAyate GorS(1)_61d
   yogināṃ mokṣa-dāyinī GorS(2)_44b	yoginAm mokza--dAyinI GorS(2)_44b
   yogināṃ mokṣadā smṛtā GorS(2)_56 (=HYP 3.107)d	yoginAm mokza-dA smRtAH GorS(2)_56 (=HYc 3.107)d
   yogināṃ hita-kāmyayā GorS(2)_4b	yoginAm hita--kAmyayA GorS(2)_4b
   yogino dvi-tri-vatsarāt GorS(1)_65b	yoginaH dvi--tri-vatsarAt GorS(1)_65b
   yogino munayaś caiva GorS(1)_38c	yoginaH munayaH ca-eva GorS(1)_38c
   yogino munayaś caiva GorS(2)_93c	yoginaH munayaH ca-eva GorS(2)_93c
   yogino hṛdi vartate GorS(1)_76b	yoginaH hRdi vartate GorS(1)_76b
   yogī yuktaḥ samādhinā GorS(1)_97d	yogI yuktaH samADinA GorS(1)_97d
   yogī yuktaḥ samādhinā GorS(1)_98d	yogI yuktaH samADinA GorS(1)_98d
   yogī yogam avāpnuyāt GorS(1)_87d	yogI yogam avApnuyAt GorS(1)_87d
   yogī sthāṇutvam āpnoti GorS(1)_39c	yogI sTANu-tvam Apnoti GorS(1)_39c
   yogī sthāṇutvam āpnoti GorS(2)_90 (=1|39, HYP 2.2)c	yogI sTANu-tvam Apnoti GorS(2)_90 (=1|39, HYc 2.2)c
   yo japet praṇavaṃ sadā GorS(2)_89b	yaH japet praNavam sadA GorS(2)_89b
   yo jānāti sa yogavit GorS(1)_12d	yaH jAnAti sa yoga-vid GorS(1)_12d
   yo jānāti sa yogavit GorS(1)_29d	yaH jAnAti sa yoga-vid GorS(1)_29d
   yo jānāti sa yogavit GorS(2)_19 (=1|12)d	yaH jAnAti sa yoga-vid GorS(2)_19 (=1|12)d
   yojānāti sa yogavit GorS(2)_76d	yojAnAti sa yoga-vid GorS(2)_76d
   yoni-madhye mahāliṅgaṃ GorS(1)_12a	yoni--maDye mahA-liFgam GorS(1)_12a
   yoni-madhye mahā-liṅgaṃ GorS(2)_19 (=1|12)a	yoni--maDye mahA--liFgam GorS(2)_19 (=1|12)a
   yonim ākuñcayed gudam GorS(1)_37b	yonim AkuQcayet gudam GorS(1)_37b
   yonim ākuñcayed gudam GorS(2)_81 (=1|37, HYP 3.61)b	yonim AkuQcayet gudam GorS(2)_81 (=1|37, HYc 3.61)b
   yoni-sthānakam aṅghri-mūla-ghaṭitaṃ kṛtvā dṛḍhaṃ vinyasen GorS(1)_8a	yoni-sTAnakam aFGri--mUla--Gawitam kRtvA dRXam vinyaset GorS(1)_8a
   yoni-sthānakam aṅghri-mūla-ghaṭitaṃ kṛtvā dṛḍhaṃ vinyasen GorS(2)_11	yoni-sTAnakam aFGri--mUla--Gawitam kRtvA dRXam vinyaset GorS(2)_11
   (=1|8)a	(=1|8)a
   yoni-sthānaṃ dvayor madhye GorS(1)_10c	yoni-sTAnam dvayoH maDye GorS(1)_10c
   yoni-sthānaṃ dvayor madhye GorS(2)_17 (=1|10)c	yoni-sTAnam dvayoH maDye GorS(2)_17 (=1|10)c
   yo mudrāṃ vetti khecarīm GorS(2)_65 (=HYP 3.39)d	yaH mudrAm vetti KecarIm GorS(2)_65 (=HYc 3.39)d
   yo mudrāṃ vetti khecarīm GorS(2)_66 (=HYP 3.40)d	yaH mudrAm vetti KecarIm GorS(2)_66 (=HYc 3.40)d
   yo yogī yuga-kalpa-kāla-kalanāt tvaṃ jajegīyate GorS(2)_2b	yaH yogI yuga-kalpa--kAla--kalanAt tvam jajegIyate GorS(2)_2b
   rajaḥ sūryeṇa saṃyutam GorS(2)_76b	rajaH sUryeNa saMyutam GorS(2)_76b
   rajju-baddho yathā GorS(2)_40 (=1|28)a	rajju--badDaH yaTA GorS(2)_40 (=1|28)a
   rajju-baddho yathā śyeno GorS(1)_28a	rajju--badDaH yaTA SyenaH GorS(1)_28a
   ravi-sthāne sthitaṃ rajaḥ GorS(2)_73b	ravi-sTAne sTitam rajaH GorS(2)_73b
   rasānāṃ śoṣaṇaṃ caiva GorS(2)_58c	rasAnAm SozaNam ca-eva GorS(2)_58c
   rasāḥ sarve'pi nīrasāḥ GorS(2)_61 (=HYP 3.16)b	rasAH sarve-api nIrasAH GorS(2)_61 (=HYc 3.16)b
   rāja-danta-bilaṃ mahat GorS(1)_64b	rAja--danta--bilam mahat GorS(1)_64b
   recakaḥ pūrakaś caiva GorS(1)_47a	recakaH pUrakaH ca-eva GorS(1)_47a
   rauravīti mahāsvanam GorS(1)_60b	rOravI-iti mahA-svanam GorS(1)_60b
   lipyate na ca karmaṇā GorS(2)_66 (=HYP 3.40)b	lipyate na ca karmaNA GorS(2)_66 (=HYc 3.40)b
   lipyate na sa pāpena GorS(2)_89c	lipyate na sa pApena GorS(2)_89c
   lohitaṃ tu mahārājaḥ GorS(2)_72d	lohitam tu mahA-rAjaH GorS(2)_72d
   vakṣo-nyasta-hanur nipīḍya suciraṃ yoniṃ ca vāmāṅghriṇā GorS(1)_33a	vakzo-nyasta-hanuH nipIxya su-ciram yonim ca vAma-aFGriNA GorS(1)_33a
   vakṣo-nyasta-hanur nipīḍya suciraṃ yoniṃ ca vāmāṅghriṇā GorS(2)_59	vakzo-nyasta-hanuH nipIxya su-ciram yonim ca vAma-aFGriNA GorS(2)_59
   (=1|33)a	(=1|33)a
   vacasā taj jayed bījaṃ GorS(2)_88a	vacasA tat jayet bIjam GorS(2)_88a
   vañcayitvā mukhaṃ raveḥ GorS(1)_63d	vaQcayitvA muKam raveH GorS(1)_63d
   vande svānanda-vigraham GorS(2)_1b	vande sva-Ananda-vigraham GorS(2)_1b
   vapuṣā tat samabhyaset GorS(2)_88b	vapuzA tat samaByaset GorS(2)_88b
   vartante jīva-rūpiṇaḥ GorS(1)_25d	vartante jIva--rUpiNaH GorS(1)_25d
   varṣaty adhomukhaś candro GorS(1)_58a	varzati aDomuKaH candraH GorS(1)_58a
   vātaṃ prāṇe niyojayet GorS(1)_52b	vAtam prANe niyojayet GorS(1)_52b
   vāma-dakṣiṇa-mārgeṇa GorS(1)_26c	vAma-dakziNa--mArgeNa GorS(1)_26c
   vāma-dakṣiṇa-mārgeṇa GorS(1)_40c	vAma-dakziNa--mArgeNa GorS(1)_40c
   vāma-dakṣiṇa-mārgeṇa GorS(2)_39 (=1|26)c	vAma-dakziNa--mArgeNa GorS(2)_39 (=1|26)c
   vāma-dakṣiṇa-mārgeṇa GorS(2)_94 (=1|40)c	vAma-dakziNa--mArgeNa GorS(2)_94 (=1|40)c
   vāmorūpari dakṣiṇaṃ hi caraṇaṃ saṃsthāpya vāmaṃ tathā GorS(1)_9a	vAma-Uru-upari dakziNam hi caraNam saMsTApya vAmam taTA GorS(1)_9a
   vāmorūpari dakṣiṇaṃ hi caraṇaṃ saṃsthāpya vāmaṃ tathā GorS(2)_12 (=1|9)a	vAma-Uru-upari dakziNam hi caraNam saMsTApya vAmam taTA GorS(2)_12 (=1|9)a
   vāyunā śakti-cāreṇa GorS(2)_75a	vAyunA Sakti-cAreNa GorS(2)_75a
   vāraṃ vāram apānam ūrdhvam anilaṃ proccārayet pūritaṃ GorS(2)_52 (=HYP	vAram vAram apAnam UrDvam anilam proccArayet pUritam GorS(2)_52 (=HYP
   1.50)c	1.50)c
   vikāraṃ mānasaṃ yogī GorS(1)_54c	vikAram mAnasam yogI GorS(1)_54c
   vijānāti maheśvaraḥ GorS(1)_5d	vijAnAti maheSvaraH GorS(1)_5d
   vijānāti maheśvaraḥ GorS(2)_8 (=1|5)d	vijAnAti maheSvaraH GorS(2)_8 (=1|5)d
   vidyut-prabhāvaṃ hṛt-padme GorS(1)_82a	vidyut--praBAvam hRt--padme GorS(1)_82a
   vidhāya satataṃ yogī GorS(1)_75c	viDAya satatam yogI GorS(1)_75c
   vivaraṃ lambikordhvataḥ GorS(2)_69b	vivaram lambikA-UrDvatas GorS(2)_69b
   viveka-dvāra-kuñcikām GorS(1)_1d	viveka--dvAra--kuQcikAm GorS(1)_1d
   viśabdaḥ saṃsmṛto haṃso GorS(1)_62a	viSabdaH saMsmRtaH haMsaH GorS(1)_62a
   viśuddhaṃ cāmṛtodbhavam GorS(1)_83b	viSudDam ca-amRta-udBavam GorS(1)_83b
   viśuddhe parame cakre GorS(1)_63a	viSudDe parame cakre GorS(1)_63a
   vṛttaṃ vāyumayaṃ ya-kāra-sahitaṃ yatreśvaro devatā GorS(1)_72b	vRttam vAyu-mayam ya-kAra--sahitam yatra-ISvaraH devatA GorS(1)_72b
   vyaktāvyakta-guṇādhikaṃ tam aniśaṃ śrī-mīnanāthaṃ bhaje GorS(2)_2d	vyakta-avyakta--guNa-aDikam tam aniSam SrI--mIna-nATam Baje GorS(2)_2d
