   namo buddhāya	namaH budDAya
   pṛthupaṅkapīṭhaluṭhanād asmin muhur mūrchitam /	pRTu paFka pIWa luWanAt asmin muhur mUrCitam /
   tasminn eva sarasy akālajaladenāgatya tacceṣṭitaṃ	tasmin eva sarasi akAla jaladena Agatya tat cezwitam
   yenākumbhanimagnavanyakariṇāṃ yūthaiḥ payaḥ pīyate // VidSrk_33.41 *(1059)	yena akumBa nimagna vanya kariNAm yUTEH payaH pIyate // Vit Srj _33.41 *(1059)
   dvandūkasya	dvandUkasya
   haṃho siṃhakiśoraka tyajasi cet kopaṃ vadāmas tadā hatvainaṃ kariṇāṃ	haMho siMhakiSoraka tyajasi ced kopam vadAmaH tadA hatvA enam kariNAm
   sahasram akhilaṃ kiṃ labdham āyuṣmatā /	sahasram aKilam kim labDam AyuzmatA /
   evaṃ kartum ahaṃ samartha iti ced dhiṅ mūrkha kiṃ sarvato nālaṃ plāvayituṃ	evam kartum aham samarTaH iti ced Dik mUrKa kim sarvatas na alam plAvayitum
   jagaj jalanhidhir dhairyaṃ yad ālambate // VidSrk_33.42 *(1060) //.	jagat jalanhiDiH DEryam yat Alambate // Vit Srj _33.42 *(1060) //.
   satyaṃ pippala pādapottama ghanacchāyonnatena tvayā sanmārgo 'yam	satyam pippala pAdapa uttama Gana= CAyA unnatena tvayA sat mArgaH ayam
   alaṃkṛtaḥ kim aparaṃ tvaṃ mūrtibhedo hareḥ /	alaMkRtaH kim aparam tvam mUrti BedaH hareH /
   kiṃ cānyat phalabhogahṛṣṭamukharās tvām āśritāḥ patriṇo yat	kim ca anyat Pala Boga hRzwa muKarAH tvAm ASritAH patriNaH yat 
   puṃskokilakūjitaṃ vidadhate tan nānurūpaṃ param // VidSrk_33.43 *(1061)	puMskokila kUjitam vidaDate tat na anurUpam param // Vit Srj _33.43 *(1061)
   nyagrodhe phalaśālini sphuṭarasaṃ kiṃcit phalaṃ pacyate / bījāny	nyagroDe Pala SAlini sPuwa rasam kiMcid Palam pacyate / bIjAni 
   aṅkuragocarāṇi katicit sidhyanti tasminn api /	aFkura gocarANi katicid siDyanti tasmin api /
   ekas teṣv api kaścid aṅkuravaro badhnāti tām unnatiṃ yām adhvanyajanaḥ	ekaH tezu api kaScid aFkura varaH baDnAti tAm unnatim yAm aDvanyajanaH
   svamātaram iva klāntacchide dhāvati // VidSrk_33.44 *(1062) //.	sva mAtaram iva klAnta= Cide DAvati // Vit Srj _33.44 *(1062) //.
   śālikasya	SAlikasya
   etasmin kusume svabhāvamahati prāyo mahīyaḥ phalaṃ ramyaṃ svādu sugandhi	etasmin kusume svaBAva mahati prAyas mahIyaH Palam ramyam svAdu suganDi
   śītalam alaṃ prāptavyam ity āśayā /	SItalam alam prAptavyam iti ASayA /
   śālmalyāḥ paripākakālakalanābodhena kīraḥ sthito yāvat	SAlmalyAH paripAka kAla kalanA boDena kIraH sTitaH yAvat 
   tatpuṭasaṃdhinirgatapatattūlaṃ phalāt paśyati // VidSrk_33.45 *(1063) //.	tad puwa saMDi nirgata patat tUlam PalAt paSyati // Vit Srj _33.45 *(1063) //.
   mādhuryād atiśaityataḥ śucitayā saṃtāpaśāntyā dvayoḥ sthāne maitryam idaṃ	mADuryAt atiSEtyataH Suci tayA saMtApa SAntyA dvayoH sTAne mEtryam idam
   payaḥ paya iti kṣīrasya nīrasya ca /	payaH payaH iti kzIrasya nIrasya ca /
   tatrāpy arṇasi varṇanā sphurati me yatsaṃgatau vardhate dugdhaṃ yena	tatra api arNasi varNanA sPurati me yat saMgatO varDate dugDam yena
   puraiva cāsya suhṛdaḥ kvāthe svayaṃ kṣīyate // VidSrk_33.46 *(1064) //.	purA eva ca asya suhRdaH kvATe svayam kzIyate // Vit Srj _33.46 *(1064) //.
   dāraiḥ krīḍitam unmadaiḥ suraguros tenaiva naivāmunā bhagnaṃ bhūri	dArEH krIxitam unmadEH sura guroH tena eva na eva amunA Bagnam BUri
   surāsuravyatikare tenaiva naivāmunā /	sura asura vyatikare tena eva na eva amunA /
   naivāyaṃ sa imaṃ nṛjaḥ sa iva vā naivaiṣa doṣākaraḥ ko 'yaṃ bhoḥ śaśinīva	na eva ayam saH imam nRjaH saH iva vA na eva eza doza AkaraH kaH ayam BoH SaSinI iva
   locanavatām arke kalaṅkaḥ samaḥ // VidSrk_33.47 *(1065) //.	locanavatAm arke kalaFkaH samaH // Vit Srj _33.47 *(1065) //.
   madhukūṭasya	maDukUwasya
   āyānti yānti satataṃ nīraṃ śiśiraṃ kharaṃ na gaṇayanti /*	AyAnti yAnti satatam nIram SiSiram Karam na gaNayanti /*
   vidmo na hanta divasāḥ kasya kim ete kariṣyanti // VidSrk_33.48 *(1066)	vidmaH na hanta divasAH kasya kim ete karizyanti // Vit Srj _33.48 *(1066)
   upālabhyo nāyaṃ sakalabhuvanāścaryamahimā harer nābhīpadmaḥ prabhavati hi	upAlaByaH na ayam sakala Buvana AScarya mahimA hareH nABI padmaH praBavati hi
   sarvatra niyatiḥ /	sarvatra niyatiH /
   yad atraiva brahmā pibati nijam āyur madhu punar vilumpanti svedādhikam	yat atra eva brahmA pibati nijam AyuH maDu punar vilumpanti sveda aDikam
   amṛtahṛdyaṃ madhulihaḥ // VidSrk_33.49 *(1067) //.	amRta hRdyam maDu lihaH // Vit Srj _33.49 *(1067) //.
   yadā hatvā kṛtsnāṃ timirapaṭalīṃ jātamahimā jagannetraṃ mitraḥ prabhavati	yadA hatvA kRtsnAm timira pawalIm jAta mahimA jagat netram mitraH praBavati
   gato 'sāv avasaraḥ /	gataH asO avasaraH /
   idānīm astādriṃ śrayati galitālokavibhavaḥ piśācā valgantu sthagayatu	idAnIm astAdrim Srayati galita Aloka viBavaH piSAcAH valgantu sTagayatu
   tamisraṃ ca kakubhaḥ // VidSrk_33.50 *(1068) //.	tamisram ca kakuBaH // Vit Srj _33.50 *(1068) //.
   kuśalanāthasya	kuSala nATasya
   upādhvaṃ tatpānthāḥ punar api saro mārgatilakaṃ yad āsādya svacchaṃ	upADvam tat pAnTAH punar api saraH mArga tilakam yat AsAdya svacCam
   vilasatha vinītaklamabharāḥ /	vilasaTa vinIta klama BarAH /
   itas tu kṣārābdher jaraṭhamakarakṣuṇṇapayaso nivṛttiḥ kalyāṇī na punar	itas tu kzAra abDeH jaraWa makara kzuNNa payasaH nivRttiH kalyANI na punar 
   avatāraḥ katham api // VidSrk_33.51 *(1069) //.	avatAraH kaTam api // Vit Srj _33.51 *(1069) //.
   yaṃpyākasya	yaMpyAkasya
   salīlaṃ haṃsānāṃ pibati nivaho yatra vimalaṃ jalaṃ tasmin mohāt sarasi	sa lIlam haMsAnAm pibati nivahaH yatra vimalam jalam tasmin mohAt sarasi
   rucire cātakayuvā /	rucire cAtaka yuvA /
   svabhāvād garvād vā na pibati payas tasya śakuneḥ kim etenoccais tvaṃ	svaBAvAt garvAt vA na pibati payaH tasya SakuneH kim etena uccEs tvam
   bhavati laghimā vāpi sarasaḥ // VidSrk_33.52 *(1070) //.	Bavati laGimA vA api sarasaH // Vit Srj _33.52 *(1070) //.
   prasīra prārambhād virama vinayethāḥ krudham imāṃ hare jīmūtānāṃ dhvanir	prasIra prAramBAt virama vinayeTAH kruDam imAm hare jImUtAnAm DvaniH 
   ayam udīrṇo na kariṇām /	ayam udIrNaH na kariNAm /
   asaṃjñāḥ khalv ete jalaśikharamaruddhūmanicayāḥ prakṛtyā garjanti tvayi tu	asaMjQAH Kalu ete jala SiKara marut DUma nicayAH prakRtyAH garjanti tvayi tu
   bhuvanaṃ nirmadam idam // VidSrk_33.53 *(1071) //.	Buvanam nirmadam idam // Vit Srj _33.53 *(1071) //.
   amarasiṃhasya	amara siMhasya
   akasmād unmatta praharasi kim adhvakṣitiruhaṃ hradaṃ hastāghātair vidalasi	akasmAt unmatta praharasi kim aDva kzitiruham hradam hasta AGAtEH vidalasi
   kim utphullanalinam /	kim utPulla nalinam /
   tadā jānīmas te karivara balodgāram asamaṃ saṭāṃ suptasyāpi spṛśasi yadi	tadA jAnImaH te kari vara bala udgAram asamam sawAm suptasya api spRSasi yadi
   pañcānanaśiśoḥ // VidSrk_33.54 *(1072) //.	paQcAnana SiSoH // Vit Srj _33.54 *(1072) //.
   samudreṇāntaḥsthataṭabhuvi taraṅgair akaruṇaiḥ samutkṣipto 'smīti tvam iha	samudreNa antar sTa tawa Buvi taraFgEH akaruNEH samutkziptaH asmi iti tvam iha
   paritāpaṃ tyaja maṇe /	paritApam tyaja maNe /
   avaśyaṃ ko 'pi tvadguṇaparicayākṛṣṭahṛdayo narendras tvāṃ kuryān	avaSyam kaH api tvad guNa paricaya AkRzwa hRdayaH narendraH tvAm kuryAt 
   mukuṭamakarīcumbitarucim // VidSrk_33.55 *(1073) //.	mukuwa makarIcumbita rucim // Vit Srj _33.55 *(1073) //.
   aśoke śokārtaḥ kim asi bakule 'py ākulamanā nirānandaḥ kunde saha ca	aSoke Soka ArtaH kim asi bakule api Akula manAH nirAnandaH kunde saha ca
   sahakārair na ramase /	sahakArEH na ramase /
   kusumbhe viśrambhaṃ yad iha bhajase kaṇṭakaśatair asaṃdigdhaṃ	kusumBe viSramBam yat iha Bajase kaNwaka SatEH asaMdigDam
   dagdhabhramara bhavitāsi kṣatavapuḥ // VidSrk_33.56 *(1074) //.	dagDa Bramara BavitAsi kzata vapuH // Vit Srj _33.56 *(1074) //.
   pātaḥ pūṣṇo bhavati mahate naiva khedāya yasmāt kālenāstaṃ ka iha na gatā	pAtaH pUzNaH Bavati mahate na eva KedAya yasmAt kAlena astam kaH iha na gatA
   yānti yāsyanti cānye /	yAnti yAsyanti ca anye /
   etāvat tu vyathayati yadālokabāhyais tamobhis tasminn eva prakṛtimahati	etAvat tu vyaTayati yadAloka bAhyEH tamoBiH tasmin eva prakRti mahati
   vyomni labdho 'vakāśaḥ // VidSrk_33.57 *(1075) //.	vyomni labDaH avakASaH // Vit Srj _33.57 *(1075) //.
   kaścit kaṣṭaṃ kirati karakājālam eko 'timātraṃ garjaty eva kṣipati viṣamaṃ	kaScid kazwam kirati karakA jAlam ekaH atimAtram garjati eva kzipati vizamam
   vaidyutaṃ vahnim anyaḥ /	vEdyutam vahnim anyaH /
   sūte vātaṃ javanam aparas tena jānīhi tāvat kiṃ vyādatse vihaga vadanaṃ	sUte vAtam javanam aparaH tena jAnIhi tAvat kim vyAdatse vihaga vadanam
   tatra tatrāmbuvāhe // VidSrk_33.58 *(1076) //.	tatra tatra ambuvAhe // Vit Srj _33.58 *(1076) //.
   mā saṃcaiṣīḥ phalasamudayaṃ mā ca patraiḥ pidhās tvaṃ rodhaḥśākhin vitara	mA saMcEzIH Pala samudayam mA ca patrEH piDAH tvam roDaH SAKin vitara
   tad idaṃ dānam evānukūlam /	tat idam dAnam eva anukUlam /
   nūnaṃ prāvṛtsamayakaluṣair ūrmibhis tālatuṅgair adya śvo vā sarid akaruṇā	nUnam prAvRt samaya kaluzEH UrmiBiH tAla tuFgEH adya Svas vA sarit akaruNA
   tvāṃ śriyā pātayitrī // VidSrk_33.59 *(1077) //.	tvAm SriyA pAtayitrI // Vit Srj _33.59 *(1077) //.
   āmodais te diśi diśi gatair dūram ākṛṣyamāṇāḥ sākṣāl lakṣmyā tava malayaja	AmodEH te diSi diSi gatEH dUram AkRzyamANAH sAkzAt lakzmyA tava malayaja
   draṣṭum abhyāgatāḥ smaḥ /	drazwum aByAgatAH smaH /
   kiṃ paśyāmaḥ subhaga bhavataḥ krīḍati kroḍa eva vyāḍas tubhyaṃ bhavatu	kim paSyAmaH suBaga BavataH krIxati kroxaH eva vyAxaH tuByam Bavatu
   kuśalaṃ muñca naḥ sādhu yāmaḥ // VidSrk_33.60 *(1078) //.	kuSalam muQca naH sADu yAmaH // Vit Srj _33.60 *(1078) //.
   aṇur api nanu naiva kroḍabhūṣāsya kācit paribhajasi yad etat tadvibhūtis	aNuH api nanu na eva kroxa BUzA asya kAcid pariBajasi yat etat tad viBUti s
   tathaiva /	taTA eva /
   iha sarasi manojñe saṃtataṃ pātum ambhaḥ śramaparibhavamagnāḥ ke na magnāḥ	iha sarasi manojQe saMtatam pAtum amBaH Srama pariBava magnAH ke na magnAH
   karīndrāḥ // VidSrk_33.61 *(1079) //	karIndrAH // Vit Srj _33.61 *(1079) //
   śrīdharmakarasya	SrI Darmakarasya
   nabhasi niravalambe sīdatā dīrghakālaṃ	naBasi niravalambe sIdatA dIrGa kAlam
   tvadabhimukhanisṛṣṭottānacañcapuṭena /	tvad aBimuKa nisRzwa uttAna caQca puwena /
   jaladhara jaladhārā dūratas tāvad āstāṃ dhvanir api madhuras te na śrutaś	jalaDara jala DArA dUratas tAvat AstAm DvaniH api maDuraH te na SrutaH 
   cātakena // VidSrk_33.62 *(1080) //	cAtakena // Vit Srj _33.62 *(1080) //
   śramaparigatair vistīrṇaśrīr asīti payaḥ paraṃ katipayam api tvatto	Srama parigatEH vistIrNa SrIH asi iti payaH param katipayam api tvad taH 
   'smābhiḥ samudra samīhitam /	asmABiH samudra samIhitam /
   kim asi nitarām utkṣubdhormiḥ prasīda namo 'stu te diśi diśi śivāḥ santy	kim asi nitarAm utkzubDa UrmiH prasIda namaH astu te diSi diSi SivAH santi 
   asmākaṃ śataṃ kamalākarāḥ // VidSrk_33.63 *(1081) //	asmAkam Satam kamala AkarAH // Vit Srj _33.63 *(1081) //
   acalasyaitau	acalasya etO
   kakubhi kakubhi bhrāntvā bhrāntvā vilokya vilokitaṃ malayajasamo dṛṣṭo	kakuBi kakuBi BrAntvA BrAntvA vilokya vilokitam malayaja samaH dRzwaH 
   'smābhir na ko 'pi mahīruhaḥ /	asmABiH na kaH api mahIruhaH /
   upacitaraso dāhe cchede śilātalagharṣaṇe 'py adhikam adhikaṃ yat	upacita rasaH dAhe cCede SilA tala GarzaNe api aDikam aDikam yat 
   saurabhyaṃ tanoti manoharam // VidSrk_33.64 *(1082) //	sOraByam tanoti manoharam // Vit Srj _33.64 *(1082) //
   taraṇinandinaḥ	taraNi nandinaH
   abhipatati ghanaṃ śṛṇoti garjāḥ sahati śilāḥ sahate taḍittaraṅgān /	aBipatati Ganam SRNoti garjAH sahati SilAH sahate taxit taraFgAn /
   vidhuvati garutaṃ rutaṃ vidhatte jalapṛṣate kiyate 'pi cātako 'yam //	viDuvati garutam rutam viDatte jala pRzate kiyate api cAtakaH ayam //
   VidSrk_33.65 *(1083) //	Vit Srj _33.65 *(1083) //
   acalasya	acalasya
   baddho 'si viddhi tāvan madhurasana vyasanam īdṛg etad iti /*	badDaH asi vidDi tAvat maDu rasana vyasanam IdRS etat iti /*
   anavahitakamalamīlana madhukara kiṃ viphalam utphalasi // VidSrk_33.66	anavahita kamala mIlana maDukara kim viPalam utPalasi // Vit Srj _33.66
   tasyaiva	tasya eva
   hṛtvāpi vasusarvasvam amī te jaladāḥ sakhi /*	hRtvA api vasu sarvasvam amI te jaladAH saKi /*
   mitrāpy apakurvanti vipriyāṇāṃ tu kā kathā // VidSrk_33.67 *(1085) //*	mitra api apakurvanti vipriyANAm tu kA kaTA // Vit Srj _33.67 *(1085) //*
   śrīphalenāmunaivāyaṃ kurute kiṃ na vānaraḥ /	SrIPalena amunA eva ayam kurute kim na vAnaraH /
   hasaty ullasati preṅkhaty adhastād īkṣate janam // VidSrk_33.68 *(1086) //	hasati ullasati preFKati aDastAt Ikzate janam // Vit Srj _33.68 *(1086) //
   taraṇinandinaḥ	taraNi nandinaH
   anyo 'pi candanataror mahanīyamūrteḥ sekārtham utsahati	anyaH api candana taroH mahanIya mUrteH seka arTam utsahati
   tadguṇabaddhatṛṣṇaḥ /	tad guNa badDa tRzNaH /
   śākhoṭakasya punar asya mahāśayo 'yam ambhoda eva śaraṇaṃ yadi nirguṇasya	SAKowakasya punar asya mahA ASayaH ayam amBodaH eva SaraNam yadi nirguNasya
   // VidSrk_33.69 *(1087) //	// Vit Srj _33.69 *(1087) //
   tvaṃ garja nāma visṛjāmbuda nāmbu nāma vidyullatābhir abhitarjaya nāma	tvam garja nAma visRja ambuda na ambu nAma vidyut latABiH aBitarjaya nAma
   bhūyaḥ /	BUyas /
   prācīnakarmaparatantranijapravṛtter etasya paśya vihagasya gatis tvam eva	prAcIna karma paratantra nija pravRtteH etasya paSya vihagasya gatiH tvam eva
   // VidSrk_33.70 *(1088) //	// Vit Srj _33.70 *(1088) //
   āmanthinīkalaśa eṣa sadugdhasindhur vetraṃ ca vāsukir ayaṃ girir eṣa	AmanTinI kalaSaH eza sa dugDa sinDuH vetram ca vAsukiH ayam giriH eza
   manthaḥ /	manTaH /
   sampraty upoḍhamadamantharabāhudaṇḍa  kaṇḍūyanāvasara eva surāsurāṇām //	samprati upoXa mada manTara bAhu daNxa kaNxUyana avasaraH eva sura asurANAm //
   VidSrk_33.71 *(1089) //	Vit Srj _33.71 *(1089) //
   bhaṭṭagaṇapateḥ	Bawwa gaNa pateH
   vyākurmahe bahu kim asya taroḥ sadaiva naisargiko 'yam upakārarasaḥ pareṣu	vyAkurmahe bahu kim asya taroH sadA eva nEsargikaH ayam upakAra rasaH parezu
   unmūlito 'pi marutā bata vāridurga  mārge yad atra janasaṃkramatām upetaḥ	unmUlitaH api marutA bata vAri durga mArge yat atra jana saMkramatAm upetaH
   // VidSrk_33.72 *(1090) //	// Vit Srj _33.72 *(1090) //
   visraṃ vapuḥ paravadhapravaṇaṃ ca karma tiryaktayaiva kathitaḥ	visram vapuH para vaDa pravaNam ca karma tiryak tayA eva kaTitaH
   sadasadvivekaḥ /	sat asat vivekaH /
   itthaṃ na kiṃcid api cāru mṛgādhipasya tejas tu tat kim api yena jagad	itTam na kiMcid api cAru mRgADipasya tejaH tu tat kim api yena jagad
   varākam // VidSrk_33.73 *(1091) //	varAkam // Vit Srj _33.73 *(1091) //
   kasya tṛṣaṃ na kṣapayasi na payasi tava kathaya ke nimajjanti /*	kasya tRzam na kzapayasi na payasi tava kaTaya ke nimajjanti /*
   yadi sanmārgajalāśaya nakro na kroḍam adhivasati // VidSrk_33.74 *(1092)	yadi sat mArga jalASaya nakraH na kroxam aDivasati // Vit Srj _33.74 *(1092)
   vīrasya	vIrasya
   na sphūrjati na ca garjati na ca karakāḥ kirati sṛjati na ca taḍitaḥ /*	na sPUrjati na ca garjati na ca karakAH kirati sRjati na ca taxitaH /*
   na ca vinimuñcati vātyāṃ varṣati nibhṛtaṃ mahāmeghaḥ // VidSrk_33.75	na ca vinimuQcati vAtyAm varzati niBRtam mahA meGaH // Vit Srj _33.75
   na bhavatu kathaṃ kadambaḥ pratipratīkaprarūḍhaghanapulakaḥ /*	na Bavatu kaTam kadambaH pratipratIka prarUXa Ga napulakaH /*
   viśvaṃ dhinoti jaladaḥ pratyupakāraspṛhārahitaḥ // VidSrk_33.76 *(1094)	viSvam Dinoti jaladaH pratyupakAra spRhA rahitaH // Vit Srj _33.76 *(1094)
   acalasiṃhasya	acala siMhasya
   karaṃ prasārya sūryeṇa dakṣiṇāśāvalambinā /	karam prasArya sUryeNa dakziNa ASa avalambinA /
   na kevalam anenātmā divaso 'pi laghūkṛtaḥ // VidSrk_33.77 *(1095) //	na kevalam anena AtmA divasaH api laGUkRtaH // Vit Srj _33.77 *(1095) //
   na śakyaṃ snehapātrāṇāṃ vitānaṃ ca virūkṣaṇam /	na Sakyam sneha pAtrANAm vitAnam ca virUkzaNam /
   dahyamānāny api sneha  vyaktiṃ kṛtvā sphuṭanti yat // VidSrk_33.78 *(1096)	dahyamAnAni api sneha vyaktim kRtvA sPuwanti yat // Vit Srj _33.78 *(1096)
   nālambanāya dharaṇir na tṛṣārtiśāntyai saptāpi vārinidhayo na dhanāya	na AlambanAya DaraNiH na tRzA Arti SAntyE sapta api vAri niDayaH na DanAya
   meruḥ /	meruH /
   pūrvārjitāśubhavaśīkṛtapauruṣasya kalpadrumo 'pi na samīhitam ātanoti //	pUrva arjita aSuBa vaSIkRta pOruzasya kalpadrumaH api na samIhitam Atanoti //
   VidSrk_33.79 *(1097) //	Vit Srj _33.79 *(1097) //
   āśvāsya parvatakulaṃ tapanoṣmataptaṃ nirvāpya dāvavidhurāṇi ca kānanāni /	ASvAsya parvata kulam tapana Uzma taptam nirvApya dAva viDurANi ca kAnanAni /
   nānānadīnadaśatāni ca pūrayitvā rikto 'si yaj jalada saiva tavonnataśrīḥ	nAnA nadInada SatAni ca pUrayitvA riktaH asi yat jalada sA eva tava unnata SrIH
   // VidSrk_33.80 *(1098) //	// Vit Srj _33.80 *(1098) //
   ye pūrvaṃ paripālitāḥ phaladalacchāyādibhiḥ prāṇino viśrāmadruma kathyatāṃ	ye pUrvam paripAlitAH Pala dala= CAyA AdiBiH prANinaH viSrAma druma kaTyatAm
   tava vipatkāle kva te sāmpratam /	tava vipad kAle kva te sAmpratam /
   etāḥ saṃnidhimātrakalpitapuraskārās tu dhanyās tvaco yāsāṃ chedanam	etAH saMniDi mAtra kalpita puraskArAH tu DanyAH tvacaH yAsAm Cedanam
   antareṇa patito nāyaṃ kuṭhāras tvayi // VidSrk_33.81 *(1099) //.	antareNa patitaH na ayam kuWAraH tvayi // Vit Srj _33.81 *(1099) //.
   vittokasya	vittokasya
   dūraṃ yadi kṣipasi bhīmajavair marudbhiḥ saṃcūrṇayasy api dṛḍhaṃ yadi vā	dUram yadi kzipasi BIma javEH marudBiH saMcUrNayasi api dRXam yadi vA
   śilābhiḥ /	SilABiH /
   saudāminībhir asakṛd yadi haṃsi cakṣur nānyā gatis tad api vārida	sOdAminIBiH asakRt yadi haMsi cakzuH na anyA gatiH tat api vArida
   cātakasya // VidSrk_33.82 *(1100) //	cAtakasya // Vit Srj _33.82 *(1100) //
   yasyodaye bahumanorathamanthareṇa saṃcintitaṃ kim api cetasi cātakena /	yasya udaye bahu manoraTa manTareNa saMcintitam kim api cetasi cAtakena /
   hā kaṣṭam iṣṭaphaladānavidhānahetor ambhodharāt patati samprati	hA kazwam izwa Pala dAna viDAna hetoH amBoDarAt patati samprati
   vajraghātaḥ // VidSrk_33.83 *(1101) //	vajra GAtaH // Vit Srj _33.83 *(1101) //
   laḍahacandrasya	laxaha candrasya
   deve kālavaśaṃ gate savitari prāpyāntarāsaṃgatiṃ hanta dhvānta kim edhase	deve kAla vaSam gate savitari prApya antara asaMgatim hanta DvAnta kim eDase
   diśi diśi vyomnaḥ pratispardhayā /	diSi diSi vyomnaH pratisparDayA /
   tasyaivāstam upeyuṣaḥ karaśatāny ādāya vidhvaṃsayann eṣa tvāṃ kalitaḥ	tasya eva astam upeyuzaH kara SatAni AdAya viDvaMsayan eza tvAm kalitaH
   kalābhir udayaty agre śaśī pārvaṇaḥ // VidSrk_33.84 *(1102) //.	kalABiH udayati agre SaSI pArvaNaH // Vit Srj _33.84 *(1102) //.
   dhanyas tvaṃ sahakāra samprati phalaiḥ kākāñ śukān pūrayan pūrvaṃ tu tvayi	DanyaH tvam sahakAra samprati PalEH kAkAn SukAn pUrayan pUrvam tu tvayi
   muktamañjaribharonnidre ya indindiraḥ /	mukta maQjari Bara unnidre yaH indindiraH /
   akrīḍan nimiṣaṃ sa naiti phalinaṃ yat tvāṃ vikāśaikamut taddharmo 'sya	akrIxan nimizam sa na eti Palinam yat tvAm vikASa ekam ud tad DarmaH asya
   phalāśayā paricayaḥ kalpadrume 'py asti kim // VidSrk_33.85 *(1103) //.	Pala ASayA paricayaH kalpadrume api asti kim // Vit Srj _33.85 *(1103) //.
   yaḥ pūrvasphuṭadasthisampuṭamukhe dṛṣṭaḥ pravālāṅkuraḥ prāyaḥ sa	yaH pUrva sPuwat asTi sampuwa muKe dRzwaH pravAla aFkuraH prAyas sa
   dvidalādikakramavaśād ārabdhaśākhāsanaḥ /	dvi dala Adika krama vaSAt ArabDa SAKA AsanaH /
   snigdhaṃ pallavito ghanaṃ mukulitaḥ sphāracchaṭaṃ puṣpitaḥ sotkarṣaṃ	snigDam pallavitaH Ganam mukulitaH sPArat Sawam puzpitaH sa utkarzam
   phalito bhṛśaṃ ca vinataḥ ko 'py eṣa cūtadrumaḥ // VidSrk_33.86 *(1104)	PalitaH BRSam ca vinataH kaH api eza cUta drumaH // Vit Srj _33.86 *(1104)
   jāyante bahavo 'tra kacchapakule kiṃ tu kvacit kacchapī naikāpy ekam asūta	jAyante bahavaH atra kacCapa kule kim tu kvacid kacCapI na ekA api ekam asUta
   nāpi ca punaḥ sūte na vā soṣyate /	na api ca punar sUte na vA sozyate /
   ākalpaṃ dharaṇībharodvahanataḥ saṃkocakhinnātmano yaḥ kūrmasya dināni nāma	Akalpam DaraNI Bara udvahanataH saMkoca Kinna AtmanaH yaH kUrmasya dinAni nAma
   katicid viśrāmadānakṣamaḥ // VidSrk_33.87 *(1105) //.	katicid viSrAma dAna kzamaH // Vit Srj _33.87 *(1105) //.
   hanūmataḥ	hanUmataH
   bhavakāṣṭhamayī nāma nauke hṛdayavaty asi /	Bava kAzWa mayI nAma nOke hRdayavatI asi /
   parakīyair aparathā katham ākṛṣyase guṇaiḥ // VidSrk_33.88 *(1106) //	parakIyEH aparaTA kaTam AkRzyase guNEH // Vit Srj _33.88 *(1106) //
   bhagavati yāmini vande tvayi bhuvi dṛṣṭaḥ pativratādharmaḥ /*	Bagavati yAmini vande tvayi Buvi dRzwaH pativratA DarmaH /*
   gatavati rajanīnāthe kajjalamalinaṃ vapur vahasi // VidSrk_33.89 *(1107)	gatavati rajanI nATe kajjala malinam vapuH vahasi // Vit Srj _33.89 *(1107)
   dhig etad gāmbhīryaṃ dhig amṛtamayatvaṃ ca jaladher dhig etāṃ drāghīyaḥ	Dik etat gAmBIryam Dik amRta maya tvam ca jalaDeH Dik etAm drAGIyaH
   pracalatarakallolabhujatām /	pracalatara kallola BujatAm /
   yad etasyaivāgre kavalitatanur dāvadahanair na tīrāraṇyānī	yat etasya eva agre kavalita tanuH dAva dahanEH na tIrAraNyAnI
   salilacukulenāpy upakṛtā // VidSrk_33.90 *(1108) //.	salila cukulena api upakRtA // Vit Srj _33.90 *(1108) //.
   kaṇikākārasya	kaNikA AkArasya
   ambhonidher anavagītaguṇaikarāśer uccaiḥśravaprabhṛtiṣu prasabhaṃ hṛteṣu /	amBoniDeH anavagIta guNa eka rASeH uccEHSrava praBRtizu prasaBam hRtezu /
   āśvāsanaṃ yad avakṛṣṭam abhūn maharṣe toyaṃ tvayā tad api niṣkaruṇena	ASvAsanam yat avakRzwam aBUt mahA Rze toyam tvayA tat api nizkaruNena
   pītam // VidSrk_33.91 *(1109) //	pItam // Vit Srj _33.91 *(1109) //
   vanārohasya	vana Arohasya
   katipayadivasasthāyī pūro dūronnato 'pi bhavitā te /*	katipaya divasa sTAyI pUraH dUra unnataH api BavitA te /*
   taṭini taṭadrumapātanapātakam ekaṃ cirasthāyi // VidSrk_33.92 *(1110) //*	tawini tawa druma pAtana pAtakam ekam cira sTAyi // Vit Srj _33.92 *(1110) //*
   praśāntāḥ kallolāḥ stimitamasṛṇaṃ vāri vimalaṃ vinīto 'yaṃ veśaḥ śamam iva	praSAntAH kallolAH stimita masRNam vAri vimalam vinItaH ayam veSaH Samam iva
   nadīnāṃ kathayati /	nadInAm kaTayati /
   tathāpy āsāṃ tais tais tarubhir abhitas tīrapatitaiḥ sa evāgre buddhau	taTA api AsAm tEH tEH taruBiH aBitas tIra patitEH saH eva agre budDO
   pariṇamati ruddho 'py avinayaḥ // VidSrk_33.93 *(1111) //.	pariNamati rudDaH api avinayaH // Vit Srj _33.93 *(1111) //.
   satataṃ yā madhyasthā prathayati yaṣṭiḥ pratiṣṭhitāsīti /*	satatam yA maDyasTA praTayati yazwiH pratizWitA asi iti /*
