   Aśokāvadānaṃ	ASoka-avadAnam
   viṣayāṇi kṛtsnaṃ ca traidhātukamanityāgninā pradīptaṃ paśyanti / teṣāṃ	vizayANi kRtsnam ca trEDAtukam-anitya-agninA pradIptam paSyanti / tezAm
   rāgaḥ kathamutpadyate / āha ca /	rAgaH kaTam-utpadyate / Aha ca /
   tāvadekajanmikasya maraṇabhayāttava na jāyate harṣaḥ /	tAvat-eka-janmikasya maraNa-BayAt-tava na jAyate harzaH /
   manasi viṣayairmanojñaiḥ satataṃ khalu pacyamānasya //	manasi vizayEH-manojQEH satatam Kalu pacyamAnasya //
   kiṃ punarjanmaśatānāṃ maraṇabhayamanāgataṃ vicintayatāṃ /	kim punar-janma-SatAnAm maraNa-Bayam-anAgatam vicintayatAm /
   manasi bhaviṣyati harṣo bhikṣūṇāṃ bhojanādyeṣu //	manasi Bavizyati harzaH BikzUNAm Bojana-Adyezu //
   (A-av 61)	(a-a-au 61)
   teṣāṃ na vastraśayanāsanabhojanādi mokṣe 'bhiyuktamanasāṃ janayeta saṅgaṃ	tezAm na vastra-Sayana-Asana-Bojana-Adi mokze aBiyukta-manasAm janayeta saFgam
   paśyanti ye vadhakaśatrunibhaṃ śarīramādīptaveśmasadṛśāṃśca bhavānanityān	paSyanti ye vaDaka-Satru-niBam SarIram-AdIpta-veSma-sadRSAn=-ca BavAn-anityAn
   kathaṃ ca teṣāṃ na bhaved vimokṣo mokṣārthināṃ janmaparāṅamukhāṇāṃ /	kaTam ca tezAm na Bavet vimokzaH mokza-arTinAm janma-parAFa-muKANAm /
   yeṣāṃ manaḥ sarvasukhāśrayeṣu vyāvartate padmadalādivāmbhaḥ //	yezAm manaH sarva-suKa-ASrayezu vyAvartate padma-dalAt-iva-amBaH //
   yadā vītaśoko rājñāśokenopāyena bhagavacchāsane 'bhiprasāditaḥ sa	yadA vIta-SokaH rAjQA-aSokena-upAyena Bagavat-SAsane aBiprasAditaH sa
   kṛtakarapuṭa uvāca / deva eṣo 'haṃ taṃ bhagavantaṃ tathāgatamarhantaṃ	kRta-kara-puwaH uvAca / devaH ezaH aham tam Bagavantam taTAgatam-arhantam
   samyaksaṃbuddhaṃ śaraṇaṃ gacchāmi / dharmaṃ ca bhikṣusaṃṅghaṃ ceti / āha	samyaksaMbudDam SaraNam gacCAmi / Darmam ca Bikzu-saMFGam ca-iti / Aha
   ca /	ca /
   eṣa vrajāmi śaraṇaṃ vibuddhanavakamalavimalanibhanetraṃ /	eza vrajAmi SaraNam vibudDa-nava-kamala-vimala-niBa-netram /
   budhavibudhamanujamahitaṃ jinaṃ virāgaṃ saṅghaṃ ceti //	buDa-vibuDam-anujam-ahitam jinam virAgam saFGam ca-iti //
   atha rājāśoko vītaśokaṃ kaṇṭhe pariṣvajyovāca / na tvaṃ mayā parityaktaḥ /	aTa rAja-aSokaH vIta-Sokam kaNWe parizvajya-uvAca / na tvam mayA parityaktaH /
   api tu buddhaśāsanābhiprasādārthaṃ tava mayā eṣa upāyaḥ pradarśitaḥ /	api tu budDa-SAsana-aBiprasAda-arTam tava mayA ezaH upAyaH pradarSitaH /
   tato vītaśoko gandhapuṣpamālyādivāditrasamudayena	tatas vIta-SokaH ganDa-puzpa-mAlya-Adi-vAditra-samudayena
   bhagavataścaityānarcayati / saddharmaṃ ca śrṛṇoti / saṅghe ca kārāṃ kurute	BagavataH-cEtyAn-arcayati / sadDarmam ca SrRNoti / saFGe ca kArAm kurute
   sa kukkuṭārāmaṃ gataḥ / tatra yaśo nāma sthaviraḥ arhan ṣaḍabhijñaḥ / sa	sa kukkuwa-ArAmam gataH / tatra yaSaH nAma sTaviraH arhan zaxaBijQaH / sa
   tasya purato niṣaṇṇo dharmaśravaṇāya / sthaviraśca tamavalokayitumārabdhaḥ	tasya puratas nizaNNaH Darma-SravaNAya / sTaviraH-ca tam-avalokayitum-ArabDaH
   sa paśyati vītaśokamupacitahetukaṃ caramabhavikaṃ tenaivāśrayenārhattvaṃ	sa paSyati vIta-Sokam-upacita-hetukam carama-Bavikam tena-eva-ASrayena-arhat-tvam
   prāptavyaṃ / tena tasya pravrajyāyā varṇo bhāṣitaḥ / tasya śrutvā (A-av	prAptavyam / tena tasya pravrajyAyAH varNaH BAzitaH / tasya SrutvA (a-a-av
   62) spṛhā jātā / pravrajeyaṃ bhagavacchāsane / tata utthāya kṛtāñjaliḥ	62) spRhA jAtAH / pravrajeyam Bagavat-SAsane / tatas utTAya kRtAQjaliH
   sthaviramuvāca / labheyamahaṃ svākhyāte dharmavinaye pravrajyāmupasaṃpadaṃ	sTaviram-uvAca / laBeyam-aham su-AKyAte Darma-vinaye pravrajyAm-upasaMpadam
   bhikṣubhāvaṃ careyamahaṃ bhavato 'ntike brahmacaryaṃ / sthavira uvāca /	Bikzu-BAvam careyam-aham BavataH antike brahmacaryam / sTaviraH uvAca /
   vatsa / rājānamaśokamanujñāpayasveti /	vatsa / rAjAnam-aSokam-anujQApayasva-iti /
   tato vītaśoko yena rājāśokastenopasaṃkramya kṛtāñjaliruvāca / deva	tatas vIta-SokaH yena rAja-aSokaH-tena-upasaMkramya kRtAQjaliH-uvAca / deva
   anujānīhi māṃ / pravrajiṣyāmi svākhyāte dharmavinaye samyageva	anujAnIhi mAm / pravrajizyAmi su-AKyAte Darma-vinaye samyak-eva
   śraddhayāgārādanāgārikāṃ / āha ca /	SradDayA-AgArAt-anAgArikAm / Aha ca /
   ubhdānto 'smi niraṃkuśo gaja iva vyāvartito vibhramāt	uBda-antaH asmi niraMkuSaH gajaH iva vyAvartitaH viBramAt-
   tvadbuddhiprabhavāṃkuśena vidhivad buddhopadeśair ahaṃ /	tvad-budDi-praBava-aMkuSena viDivat budDa-upadeSEH aham /
   ekaṃ tvarhasi me varaṃ pravarituṃ tvaṃ pārthivānāṃ pate	ekam tu-arhasi me varam pravaritum tvam pArTivAnAm pate
   lokālokavarasya śāsanavare liṅgaṃ śubhaṃ dhāraye //	loka-aloka-varasya SAsana-vare liFgam SuBam DAraye //
   śrutvā ca rājā sāśrukaṇṭho vītaśokaṃ kaṇṭhe pariṣvajyovāca / vītaśoka /	SrutvA ca rAjA sa-aSru-kaNWaH vIta-Sokam kaNWe parizvajya-uvAca / vIta-SokaH /
   alamanena vyavasāyena / pravrajyā khalu vaivarṇīkābhyupagatā vāsa	alam-anena vyavasAyena / pravrajyA Kalu vEvarNIka-aByupagatAH vAsa
   pāṃśukūlaṃ /	pAMSu-kUlam /
   prāvaraṇaṃ parijanojjhitam / āhāroṃ bhaikṣaṃ parakule / śayanāsanaṃ	prAvaraNam parijana-ujJitam / AhArom BEkzam para-kule / Sayana-Asanam
   vṛkṣamūle tṛṇasaṃstaraḥ parṇasaṃstaraḥ / byābādhe khalvapi	vRkza-mUle tRNa-saMstaraH parNa-saMstaraH / byAbADe Kalu-api
   bhaiṣajyamasulabhaṃ / pūtimuktaṃ ca bhojanaṃ / tvaṃ ca sukumāraḥ	BEzajyam-asulaBam / pUtimuktam ca Bojanam / tvam ca sukumAraH
   śītoṣṇakṣitpipāsānāṃ duḥkhānāmasahiṣṇuḥ / prasīda nivartaya mānasaṃ /	SIta-uzNa-kziD-pipAsAnAm duHKAnAm-asahizNuH / prasIda nivartaya mAnasam /
   vītaśoka uvāca / deva /	vIta-SokaH uvAca / deva /
   (A-av 63)	(a-a-au 63)
   naivāhaṃ tanna jāne na viṣayatṛṣito nāyāsavihataḥ	na-eva-aham tat-na jAne na vizaya-tRzitaH na-AyAsa-vihataH
   pravrajyāṃ prāptukāmo na ripuhṛtabalo naivāryakṛpaṇaḥ /	pravrajyAm prAptu-kAmaH na ripu-hRta-balaH na-eva-Arya-kRpaNaH /
   duḥkhārta mṛtyuneṣṭaṃ vyasanaparigataṃ dṛṣṭvā jagadidaṃ	duHKa-Arta mRtyunA-izwam vyasana-parigatam dRzwvA jagat-idam
   panthānaṃ janmabhīruḥ śivamabhayamahaṃ gantuvyavasitaḥ //	panTAnam janma-BIruH Sivam-aBayam-aham gantu-vyavasitaH //
   śrutvā rājāśokaḥ saśabdaṃ praruditumārabdhaḥ / atha vītaśoko	SrutvA rAja-aSokaH sa-Sabdam praruditum-ArabDaH / aTa vIta-SokaH-
   rājānamanunayannuvāca / deva /	rAjAnam-anunayan=-uvAca / deva /
   saṃsāradolāmabhiruhya lolāṃ yadā nipāto niyataḥ prajānāṃ /	saMsAra-dolAm-aBiruhya lolAm yadA nipAtaH niyataH prajAnAm /
   kimārthamāgacchati vikriyā te sarveṇa sarvasya yadā viyogaḥ //	kimArTam-AgacCati vikriyA te sarveNa sarvasya yadA viyogaH //
   rājāha / vītaśoka / bhaikṣe tāvadabhyāsaḥ kriyatāṃ / rājakule	rAjA-Aha / vIta-SokaH / BEkze tAvat-aByAsaH kriyatAm / rAja-kule
   vṛkṣavāṭikāyāṃ tasya tṛṇasaṃstaraḥ saṃstṛtaḥ / bhojanaṃ cāsya dattaṃ / so	vRkza-vAwikAyAm tasya tRNa-saMstaraH saMstRtaH / Bojanam ca-asya dattam / saH-
   'ntaḥpuraṃ paryaṭati mahārhaṃ cāhāraṃ labhate /	antaHpuram paryawati mahArham ca-AhAram laBate /
   tato rājñāntaḥpurikābhihitā / pravrajitasārūpyamasyāhāramanuprayaccheti /	tatas rAjQA-antaHpurikA-aBihitA / pravrajita-sArUpyam-asya-AhAram-anuprayacCa-iti /
   tena yāvadabhidūṣitā pūtikamāṣā labdhāḥ / tāṃśca (A-av 64)	tena yAvat-aBidUzitA pUtika-mAzAH labDAH / tAn=-ca (A-au 64)
   paribhoktumārabdhaḥ / dṛṣṭvā rājñāśokena nivāritaḥ / anujñātaśca pravraja,	pariBoktum-ArabDaH / dRzwvA rAjQA-aSokena nivAritaH / anujQAtaH-ca pravraja,
   kintu pravrajitvā upadarśayiṣyasi /	kintu pravrajitvA upadarSayizyasi /
   sa yāvat kukkuṭārāmaṃ gataḥ / tasya buddhirutpannā / yadi iha	sa yAvat kukkuwa-ArAmam gataH / tasya budDiH-utpannA / yadi iha
   pravrajiṣyāmi ākīrṇo bhaviṣyāmi / tato videheṣu janapadeṣu gatvā	pravrajizyAmi AkIrNaH BavizyAmi / tatas videhezu janapadezu gatvA
   pravrajitaḥ / tatastena yujyatā yāvadarhattvaṃ prāptaṃ /	pravrajitaH / tatas-tena yujyatA yAvat-arhat-tvam prAptam /
   athāyuṣmato vītaśokasya arhattvaṃ prāptasya vimuktiprītisukhasaṃvedina	aTa-AyuzmataH vIta-Sokasya arhat-tvam prAptasya vimukti-prIti-suKa-saMvedina
   etadabhavat / asti khalu me [draṣṭukāmo bhrātā / tataḥ pāṭaliputrāya	etat-aBavat / asti Kalu me [drazwu-kAmaH BrAtA / tatas pAwaliputrAya
   prasthitaḥ /] pūrvaṃ rājño 'śokasya gṛhadvāramanuprāptaḥ / tato	prasTitaH /] pUrvam rAjQaH aSokasya gRha-dvAram-anuprAptaH / tatas-
   dauvārikamuvāca / gaccha rājño 'śokasya nivedaya vītaśoko dvāritiṣṭhati	dOvArikam-uvAca / gacCa rAjQaH aSokasya nivedaya vIta-SokaH dvAri-tizWati
   devaṃ draṣṭukāma iti /	devam drazwu-kAmaH iti /
   tato dauvāriko rājānamaśokamabhigamyovāca / deva, diṣṭyā vṛddhi rvītaśoko	tatas dOvArikaH rAjAnam-aSokam-aBigamya-uvAca / deva, dizwyA vRdDi rvIta-SokaH-
   'bhyāgato dvāri tiṣṭhati devaṃ draṣṭukāmaḥ / tato rājñābhihitaṃ / gaccha	aByAgataH dvAri tizWati devam drazwu-kAmaH / tatas rAjQA-aBihitam / gacCa
   śīghraṃ praveśayeti /	SIGram praveSaya-iti /
   yāvad vītaśoko rājakulaṃ praviṣṭaḥ / dṛṣṭvā ca rājāśokaḥ siṃhāsanādutthāya	yAvat vIta-SokaH rAja-kulam pravizwaH / dRzwvA ca rAja-aSokaH siMhAsanAt-utTAya
   mūlanikṛtta iva drumaḥ sarvaśarīreṇa [bhūmau nipatitaḥ / tataḥ sa]	mUla-nikRttaH iva drumaH sarva-SarIreNa [BUmO nipatitaH / tatas sa]
   āyuṣmantaṃ vītaśokaṃ nirīkṣamāṇaḥ prarudannuvāca /	Ayuzmantam vIta-Sokam nirIkzamANaH prarudan=-uvAca /
   bhūteṣu saṃsargagateṣu nityaṃ dṛṣṭvāpi māṃ naiti yathā vikāraṃ /	BUtezu saMsarga-gatezu nityam dRzwvA-api mAm na-eti yaTA vikAram /
   vivekavegādhigatasya śaṅke prajñārasasyatirasasya tṛptaḥ //	viveka-vega-aDigatasya SaFke prajQA-rasasyati-rasasya tRptaH //
   (A-av 65)	(a-a-au 65)
   atha rājño 'śokasya rāghagupto nāmāgrāmātyaḥ / sa paśyatyāyuṣmato	aTa rAjQaH aSokasya rAGaguptaH nAma-agra-amAtyaH / sa paSyati-AyuzmataH-
   vītaśokasya pāṃśukūlaṃ ca cīvaraṃ mṛnmayaṃ pātraṃ yāvadannabhakṣaṃ	vIta-Sokasya pAMSu-kUlam ca cIvaram mRd-mayam pAtram yAvat-anna-Bakzam
   lūhapraṇītaṃ / dṛṣṭvā ca rājñaḥ pādayornipatya kṛtāñjaliruvāca / deva	lUha-praNItam / dRzwvA ca rAjQaH pAdayoH-nipatya kRtAQjaliH-uvAca / deva
   yathāyamalpecchaḥ santuṣṭaśca niyatamayaṃ kṛtakaraṇīyo bhaviṣyati /	yaTA-ayam-alpa-icCaH santuzwaH-ca niyata-mayam kRta-karaNIyaH Bavizyati /
   prītirutpādyeta / kutaḥ /	prItiH-utpAdyeta / kutas /
   bhaikṣānnabhojanaṃ yasya pāṃśukūlaṃ ca cīvaraṃ /	BEkza-anna-Bojanam yasya pAMSu-kUlam ca cIvaram /
   nivāso vṛkṣamūlaṃ ca tasya hyaniyataṃ kathaṃ //	nivAsaH vRkza-mUlam ca tasya hi-aniyatam kaTam //
   nirāsravaṃ yasya mano viśālaṃ nirāmayaṃ copacitaṃ śarīraṃ /	nirAsravam yasya manaH viSAlam nirAmayam ca-upacitam SarIram /
   svacchandato jīvitasādhanaṃ ca nityotsavaṃ tasya manuṣyaloke //	svacCandataH jIvita-sADanam ca nitya-utsavam tasya manuzya-loke //
   śrutvā tato rājā prītamanā uvāca /	SrutvA tatas rAjA prIta-manAH uvAca /
   apahāya mauryavaṃśaṃ magadhapuraṃ sarvaratnanicayaṃ ca /	apahAya mOrya-vaMSam magaDa-puram sarva-ratna-nicayam ca /
   dṛṣṭvā vaśaṃnivahaṃ [nu]prahīṇamadamānamohasārambhaṃ //	dRzwvA vaSaMnivaham [nu]-prahINa-mada-mAna-moha-sa-AramBam //
   atyuddhatamiva manye yaśasā pūtaṃ puramiva gehaṃ ca /	ati-udDatam-iva manye yaSasA pUtam puram-iva geham ca /
   pratipadyatāṃ tvayā [vai] daśabaladharaśāsanamudāraṃ //	pratipadyatAm tvayA [vE] daSa-balaDara-SAsanam-udAram //
   atha rājāśokaḥ sarvāṅgeṇa parigṛhya prajñapta evāsane niṣādayāmāsa /	aTa rAja-aSokaH sarva-aFgeNa parigRhya prajQapte eva-Asane nizAdayAmAsa /
   praṇītena cāhāreṇa svahastaṃ santarpayati / bhuktavantaṃ (A-av 66) viditvā	praNItena ca-AhAreNa sva-hastam santarpayati / Buktavantam (A-au 66) viditvA
   ghautahastamapanītapātramāyuṣmato vītaśokasya purato niṣaṇṇo	GOta-hastam-apanIta-pAtram-AyuzmataH vIta-Sokasya puratas nizaNNaH-
   dharmaśravaṇāya /	Darma-SravaNAya /
   athāyuṣmān vītaśoko rājānamaśokaṃ dharmyayā kathayā saṃdarśayannuvāca /	aTa-AyuzmAn vIta-SokaH rAjAnam-aSokam DarmyayA kaTayA saMdarSayan=-uvAca /
   apramādena sampādya rājaiśvaryaṃ pravartatāṃ /	apramAdena sampAdya rAja-ESvaryam pravartatAm /
   durlabhatrīṇi ratnāni nityaṃ pūjaya pārthiva //	durlaBa-trINi ratnAni nityam pUjaya pArTiva //
   sa yāvad dharmyayā kathayā saṃpraharṣayitvā saṃprasthitaḥ / atha rājāśokaḥ	sa yAvat DarmyayA kaTayA saMpraharzayitvA saMprasTitaH / aTa rAja-aSokaH
   kṛtakarapuṭaḥ pañcabhiramātyaśataiḥ parivṛto 'nekaiśca paurajanasahasraiḥ	kRta-kara-puwaH paQcaBiH-amAtya-SatEH parivRtaH anekEH-ca pOra-jana-sahasrEH
   parivṛtaḥ puraskṛta āyuṣmantaṃ vītaśokamanuvrajitumārabdhaḥ / vakṣyati hi	parivRtaH puraskRtaH Ayuzmantam vIta-Sokam-anuvrajitum-ArabDaH / vakzyati hi
   bhrātā jyeṣṭhena rājñā tu gauraveṇānugamyate /	BrAtA jyezWena rAjQA tu gOraveNa-anugamyate /
   pravrajyāyāḥ khalu ślādhyaṃ saṃdṛṣṭikamidaṃ phalaṃ //	pravrajyAyAH Kalu SlADyam saMdRzwikam-idam Palam //
   tata āyusmān vītaśokaḥ svaguṇānubhdāvayan paśyataḥ sarvajanakāyasya ṛddhyā	tatas AyusmAn vIta-SokaH sva-guNAnuBdAvayan paSyataH sarva-jana-kAyasya RdDyA
   vaihāyasamutpatya prakrāntaḥ / atha rājāśokaḥ kṛtakarapuṭaḥ	vEhAyasamutpatya prakrAntaH / aTa rAja-aSokaH kRta-kara-puwaH
   prāṇikaśatasahasraiḥ parivṛtaḥ puraskṛto gaganatalāvasaktadṛṣṭirāyuṣmantaṃ	prANika-Sata-sahasrEH parivRtaH puraskRtaH gagana-tala-avasakta-dRzwiH-Ayuzmantam
   vītaśokaṃ nirīkṣamāṇa uvāca /	vIta-Sokam nirIkzamANaH uvAca /
   svajanasnehaniḥsaṅgo vihaṅga iva gacchasi /	sva-jana-sneha-niHsaFgaH vihaFgaH iva gacCasi /
   śrīrāganigaḍairbaddhānasmān pratyādiśanniva //	SrI-rAgani-gaxEH-badDAn-asmAn pratyAdiSan=-iva //
   (A-av 67)	(a-a-au 67)
   ātmāyattasya śāntasya manaḥsaṃketacāriṇaḥ /	Atma-Ayattasya SAntasya manaH-saMketa-cAriNaH /
   dhyānasya phalametacca rāgāndhairyan na dṛśyate //	DyAnasya Palam-etat-ca rAgAnDEryat na dRSyate //
   api ca /	api ca /
   ṛddhayā khalvavabhartsitāḥ paramayā śrīgarvitāste vayaṃ	RdDayA Kalu-avaBartsitAH paramayA SrI-garvitAH-te vayam
   buddhyā khalvapi nāmitāḥ śirasitāḥ prajñābhimānodayāḥ /	budDyA Kalu-api nAmitAH SirasitAH prajQA-aBimAna-udayAH /
   prāptārthena phalāndhabuddhimanasaḥ saṃvejitāste vayaṃ	prApta-arTena Pala-anDa-budDi-manasaH saMvejitAH-te vayam
   saṃkṣepeṇa sabāspadurdinamukhāḥ sthāne vimuktā vayaṃ //	saMkzepeNa sa-bAspa-duH-dina-muKAH sTAne vimuktAH vayam //
   tatrāyuṣmān vītaśokaḥ pratyantikeṣu janapadeṣu śayyāśanāya nirgataḥ /	tatra-AyuzmAn vIta-SokaH pratyantikezu janapadezu SayyA-aSanAya nirgataH /
   tasya ca mahāvyādhirutpannaḥ / śrutvā ca rājñāśokena	tasya ca mahAvyADiH-utpannaH / SrutvA ca rAjQA-aSokena
   bhaiṣajyamupasthāyakāśca visarjitāḥ / tasya tena vyādhinā spṛṣṭasya śiraḥ	BEzajyam-upasTAyakAH-ca visarjitAH / tasya tena vyADinA spRzwasya SiraH
   khustamabhavat / yadā ca vyādhirnirgatastasya viruḍhāni śirasi romāṇi /	KuH-tam-aBavat / yadA ca vyADiH-nirgataH-tasya viruXAni Sirasi romANi /
   tena vaidyopasthāyakāśca visarjitāḥ / tasya ca gorasaḥ prāya	tena vEdya-upasTAyakAH-ca visarjitAH / tasya ca gorasaH prAya
   āhāronusevyate / sa ghoṣaṃ gatvā bhaikṣaṃ paryaṭati /	AhAra-unusevyate / sa Gozam gatvA BEkzam paryawati /
   tasmiṃśca samaye puṇḍavardhananagare nirgranthopāsakena buddhapratimā	tasmin=-ca samaye puNxa-varDana-nagare nirgranTa-upAsakena budDa-pratimA
   nirgranthasya pādayornipatitā citrārpitā / upāsakenāśokasya rājño	nirgranTasya pAdayoH-nipatitA citra-arpitA / upAsakena-aSokasya rAjQaH-
   niveditaṃ / śrutvā ca rājñābhihitaṃ śīghramānīyatāṃ /	niveditam / SrutvA ca rAjQA-aBihitam SIGram-AnIyatAm /
   (A-av 68)	(a-a-au 68)
   tasyordhvaṃ yojanaṃ yakṣāḥ śruṇvanti / adho yojanaṃ nāgāḥ / yāvattaṃ	tasya-UrDvam yojanam yakzAH SruNvanti / aDas yojanam nAgAH / yAvat-tam
   tatkṣaṇena yakṣairupanītaṃ / dṛṣṭvā ca rājñā ruṣitenābhihitaṃ /	tad-kzaNena yakzEH-upanItam / dRzwvA ca rAjQA ruzitena-aBihitam /
   puṇḍavardhane sarve ājīvikāḥ praghātayitavyāḥ / yāvadekadivase	puNxa-varDane sarve AjIvikAH praGAtayitavyAH / yAvat-eka-divase
   'ṣṭādaśasahasrāṇi ājīvikānāṃ praghātitāni /	azwAdaSa-sahasrANi AjIvikAnAm praGAtitAni /
   tataḥ pāṭaliputre bhūyo 'nyena nirgranthopāsakena buddhapratimā	tatas pAwaliputre BUyas anyena nirgranTa-upAsakena budDa-pratimA
   nirgranthasya pādayornipatitā citrārpitā / śrutvā ca rājñāmarṣitena sa	nirgranTasya pAdayoH-nipatitA citra-arpitA / SrutvA ca rAjQA-amarzitena sa
   nirgranthopāsakaḥ sabandhuvargo gṛhaṃ praveśayitvāgninā dagdhaḥ / ājñaptaṃ	nirgranTa-upAsakaH sa-banDu-vargaH gRham praveSayitvA-agninA dagDaH / AjQaptam
   ca yo me nirgranthasya śiro dāsyati tasya dīnāraṃ dāsyāmi / iti ghoṣitaṃ /	ca yaH me nirgranTasya SiraH dAsyati tasya dInAram dAsyAmi / iti Gozitam /
   sa cāyuṣmān vītaśoka ābhīrasya gṛhe rātrivāsamupagataḥ / tasya ca vyādhinā	sa ca-AyuzmAn vIta-SokaH ABIrasya gRhe rAtri-vAsam-upagataH / tasya ca vyADinA
   kliṣṭasya lūhāni cīvarāṇi dīrghakeśanakhaśmaśru / ābhīryā buddhirutpannā	klizwasya lUhAni cIvarANi dIrGa-keSa-naKa-SmaSru / ABIryA budDiH-utpannA
   nirgrantho 'yamasmākaṃ gṛhe rātrivāsamupagataḥ / svāminamuvāca / āryaputra	nirgranTaH ayam-asmAkam gRhe rAtri-vAsam-upagataH / svAminam-uvAca / Arya-putra
   sampanno 'yamasmākaṃ dīnāraḥ / imaṃ nirgranthaṃ praghātayitvā śiro rājño	sampannaH ayam-asmAkam dInAraH / imam nirgranTam praGAtayitvA SiraH rAjQaH-
   'śokasyopanāmayeyamiti /	aSokasya-upanAmayeyam-iti /
   tataḥ sa ābhīro 'siṃ niṣkoṣaṃ kṛtvā āyuṣmantaṃ vītaśokamabhigataḥ /	tatas saH ABIraH asim nizkozam kRtvA Ayuzmantam vIta-Sokam-aBigataH /
   āyuṣmatā ca vītaśokena pūrvāntaṃ jñānaṃ kṣiptaṃ / paśyati svayaṃkṛtānāṃ	AyuzmatA ca vIta-Sokena pUrva-antam jQAnam kziptam / paSyati svayaMkRtAnAm
   karmaṇāṃ phalamidamupasthitaṃ / tataḥ karmapratiśaraṇo bhūtvāvasthitaḥ /	karmaNAm Palam-idam-upasTitam / tatas karma-pratiSaraNaH BUtvA-avasTitaH /
   tena tathāsyābhīreṇa śiraśchinnaṃ / rājño 'śokasyopanītaṃ / dīnāraṃ	tena taTA-asya-ABIreNa SiraH-Cinnam / rAjQaH aSokasya-upanItam / dInAram
   prayaccheti /	prayacCa-iti /
   (A-av 69)	(a-a-au 69)
   dṛṣṭvā ca rājñāśokena na parijñātaṃ / viralāni cāsya śirasi romāṇi na	dRzwvA ca rAjQA-aSokena na parijQAtam / viralAni ca-asya Sirasi romANi na
   vyaktimupagacchanti / tato vaidyā upasthāyakā ānītāḥ / tairdṛṣṭvābhihitaṃ	vyaktim-upagacCanti / tatas vEdyAH upasTAyakAH AnItAH / tEH-dRzwvA-aBihitam
   / deva vītaśokasyait śiraḥ / śrutvā rājā murcchito bhūmau patitaḥ / yāvaj	/ deva vIta-SokasyEt SiraH / SrutvA rAjA murcCitaH BUmO patitaH / yAvat-
   jalasekaṃ dattvā sthāpitaḥ / amātyaiścābhihitaṃ / deva vītarāgāṇāmapi atra	jala-sekam dattvA sTApitaH / amAtyEH-ca-aBihitam / deva vIta-rAgANAm-api atra
   pīḍā jātā / dīyatāṃ sarvasattveṣvabhayapradānaṃ /	pIxA jAtAH / dIyatAm sarva-sattvezu-aBaya-pradAnam /
   yāvadrājñābhayapradānaṃ dattaṃ, na bhūyaḥ kaścit praghātayitavyaḥ /	yAvat-rAjQA-aBaya-pradAnam dattaM, na BUyas kaScid praGAtayitavyaH /
   tato bhikṣavaḥ saṃśayajātāḥ sarvasaṃśayachettāram āyuṣmantamupaguptaṃ	tatas BikzavaH saMSaya-jAtAH sarva-saMSaya-CettAram Ayuzmantam-upaguptam
   pṛcchanti / kiṃ karma kṛtamāyuṣmatā vītaśokena yasya karmaṇo vipākena	pRcCanti / kim karma kRtam-Ayuzma-tA vIta-Sokena yasya karmaNaH vipAkena
   śastreṇa praghātitaḥ / sthavira uvāca / tena hyāyuṣmantaḥ karmāṇi kṛtāni	SastreNa praGAtitaH / sTaviraH uvAca / tena hi-AyuzmantaH karmANi kRtAni
   pūrvamanyāsu jātiṣu / śūyatāṃ /	pUrvam-anyAsu jAtizu / SUyatAm /
   bhūtapūrvaṃ bhikṣavo 'tīte 'dhvani anyatamo lubdho mṛgān praghātayitvā	BUta-pUrvam BikzavaH atIte aDvani anyatamaH lubDaH mRgAn praGAtayitvA
   jīvikāṃ kalpayati / aṭavyāmudapānaṃ / sa tatra lubdho gatvā paśān	jIvikAm kalpayati / awavyAm-udapAnam / sa tatra lubDaH gatvA paSAn
   yantrāṃśca sthāpayitvā mṛgān praghātayati /	yantrAn=-ca sTApayitvA mRgAn praGAtayati /
   asati buddhānāmutpāde pratyekabuddhā loke utpadyante / vistaraḥ /	asati budDAnAm-utpAde pratyekabudDAH loke utpadyante / vistaraH /
   anyataraḥ pratyekabuddhas tasminnudapāne āhārakṛtyaṃ kṛtvodapānāduttīrya	anyataraH pratyekabudDaH tasmin=-udapAne AhAra-kRtyam kRtvA-uda-pAnAt-uttIrya
   vṛkṣamūle paryaṅkeṇa niṣaṇṇaḥ / tasya gandhena mṛgāstasminnudapāne (A-av	vRkza-mUle paryaFkeNa nizaNNaH / tasya ganDena mRgAH-tasmin=-udapAne (a-a-av
   70) nābhyāgatāḥ / sa lubdha āgatya paśyati naiva mṛgā udapānamabhyāgatāḥ /	70) na-aByAgatAH / sa lubDaH Agatya paSyati na-eva mRgAH udapAnam-aByAgatAH /
   padānusāreṇa ca taṃ pratyekabuddhamabhigataḥ / dṛṣṭvā cāsya buddhirutpannā	pada-anusAreNa ca tam pratyekabudDam-aBigataH / dRzwvA ca-asya budDiH-utpannA
   / anenaiṣa ādīnava utpāditaḥ / tenāsiṃ niṣkoṣaṃ kṛtvā sa pratyekabuddhaḥ	/ anena-ezaH AdInavaH utpAditaH / tena-asim nizkozam kRtvA sa pratyekabudDaH
   praghātitaḥ /	praGAtitaH /
   kiṃ manyadhve āyuṣmantaḥ / yo 'sau lubdhaḥ sa eṣa vitaśokaḥ / yatrānena	kim manyaDve AyuzmantaH / yaH asO lubDaH saH eza vita-SokaH / yatra-anena
   mṛgāḥ praghātitās tasya karmaṇo vipākena mahān vyādhirutpannaḥ /	mRgAH praGAtitAH tasya karmaNaH vipAkena mahAn vyADiH-utpannaH /
