   uttarabhāgaḥ	uttara BAgaH
   hā kaṣṭamityasradṛgādiceṣṭaḥ pārthograsanādikabhṛtyakṛtyaḥ // NarP_2,28.31	hA kazwam iti asra dRS Adi cezwaH pArTa ugrasana Adika BRtya kRtyaH // NA rP_2,28.31
   īśasya kṛtyaṃ dvija durvibhāvyaṃ dharmānukūlyena samāsthitasya /	ISasya kRtyam dvija durviBAvyam Darma AnukUlyena samAsTitasya /
   vyāsaḥ svayaṃ vedavibhāgakarttā pārāśaristattvadṛgijyamūrtiḥ /	vyAsaH svayam veda viBAga karttA pArASariH tattva dRS ijya mUrtiH /
   kanyātvavidhvasakavīryajanmā kānīnasaṃjño 'nujadāragāmī // NarP_2,28.32 //	kanyA tva viDvasaka vIrya janmA kAnIna saMjQaH anujadAra gAmI // NA rP_2,28.32 //
   parivettā ca didhiṣūḥ śantanuḥ svaḥsaritpattiḥ /	parivettA ca diDizUH SantanuH svaHsaritpattiH /
   didhiṣū tanayaḥ sākṣādvasuḥ strīvādamṛtyubhāk // NarP_2,28.33 //	diDizU tanayaH sAkzAt vasuH strI vAda mRti u BAj // NA rP_2,28.33 //
   ye golakasutāḥ kuṇḍāḥ pāṇḍavāḥ samayonigāḥ /	ye golaka sutAH kuNxAH pANxavAH sama yaH nigAH /
   teṣāṃ saṃkīrtanaṃ puṇyaṃ pavitraṃ pāpanāśanam // NarP_2,28.34 //	tezAm saMkIrtanam puNyam pavitram pApa nASanam // NA rP_2,28.34 //
   yaṃ dhyāyanti smarantyaddhā yogamūrtiḥ sanātanaḥ // NarP_2,28.35 //	yam DyAyanti smarantyadDA yoga mUrtiH sanAtanaH // NA rP_2,28.35 //
   viṣṇurveśyāsamāsaktaḥ prahlādādyupadeśakṛt /	vizNuH veSyA samAsaktaH prahlAda Adi upadeSa kRt /
   śrīnṛsiṃho 'suradhvaṃsī devadevādhidaivatam // NarP_2,28.36 //	SrI nRsiMhaH asura DvaMsI devadeva aDidEvatam // NA rP_2,28.36 //
   saṃsāravāsanādhvaṃsī devadevādhidaivatam /	saMsAra vAsanA aDvaMsI devadeva aDidEvatam /
   saṃsāravāsanādhvaṃsī svarṇākṣabhavanasthitiḥ // NarP_2,28.37 //	saMsAra vAsanA aDvaMsI svarNa akza Bavana sTitiH // NA rP_2,28.37 //
   jāmadagnyaḥ svayaṃ siddhastapasā dagdhakilbiṣaḥ /	jAmadagnyaH svayam sidDaH tapasA dagDa kilbizaH /
   īśvaraḥ kṣatrasaṃhārabhrūṇahatyādikarmakṛt // NarP_2,28.38 //	ISvaraH kzatra saMhAra BrUNa hatyA Adi karma kRt // NA rP_2,28.38 //
   svayamevarṣabho yogī lokaśikṣāparo dvijaḥ /	svayam eva RzaBaH yogI loka SikzA paraH dvijaH /
   lokaglānikaro jātaḥ kurvandharmānurodhataḥ // NarP_2,28.39 //	loka glAni karaH jAtaH kurvan Darma anuroDataH // NA rP_2,28.39 //
   nārado nārado bhūyo bhūyo bhūyo 'pi nāradaḥ /	nAradaH nAradaH BUyas BUyas BUyas api nAradaH /
   nārāyaṇaparo nāro naro narahito 'maraḥ // NarP_2,28.40 //	nArAyaNa paraH nAraH naraH na rahitaH amaraH // NA rP_2,28.40 //
   gautamo gautamo vipra gopaceṣṭāparāyaṇaḥ /	gOtamaH gOtamaH vipra gopa cezwA parAyaNaH /
   vedabāhyārthasaṃyuktaśāstrī vedopakāra kṛt // NarP_2,28.41 //	veda bAhya arTa saMyukta SAstrI veda upakAra kRt // NA rP_2,28.41 //
   vasuṣṭhaścorvaśījāto 'gastyo 'pi svayamīśvarau /	vasuzWaH ca urvaSI jAtaH agastyaH api svayam ISvarO /
   yena lokopakārārthaṃ vāsiṣṭhaṃ śāstramuttamam // NarP_2,28.42 //	yena loka upakAra arTam vAsizWam SAstram uttamam // NA rP_2,28.42 //
   kṛtaṃ yasminpurāṇāni vedāḥ sāmyatvamāgatāḥ /	kRtam yasmin purANAni vedAH sAmya tvam AgatAH /
   yaḥ svayaṃ rāmacandrasya guruḥ sarveśvarasya ca // NarP_2,28.43 //	yaH svayam rAmacandrasya guruH sarva ISvarasya ca // NA rP_2,28.43 //
   sa kathaṃ gādhijāśaptastiryagyonimupāgamat /	sa kaTam gADijA SaptaH tiryagyonim upAgamat /
   yo damitvā vibhurvindhyaṃ vātāpiṃ sāgaraṃ sthitaḥ // NarP_2,28.44 //	yaH damitvA viBuH vinDyam vAtApim sAgaram sTitaH // NA rP_2,28.44 //
   sa kathaṃ mṛtakādātā duṣkaraṃ samupāsate /	sa kaTam mRta kAdAtAH duzkaram samupAsate /
   yo vidhiḥ karmasākṣyādivandyo mānyaḥ pitāmahaḥ // NarP_2,28.45 //	yaH viDiH karma sAkzya Adi vandyaH mAnyaH pitAmahaH // NA rP_2,28.45 //
   mohinīmohito dehamutsasarja kathaṃ sa ca /	mohinI mohitaH deham utsasarja kaTam sa ca /
   yaḥ śivaḥ śivadaḥ sākṣātprakṛtīśaḥ parātparaḥ // NarP_2,28.46 //	yaH SivaH Siva daH sAkzAt prakRtI ISaH parAtparaH // NA rP_2,28.46 //
   sa kathaṃ devapatnīgaḥ śmaśānāśubhaceṣṭitaḥ /	sa kaTam deva patnI gaH SmaSAna aSuBa cezwitaH /
   tasmāddvija sadācāro niṣevyo vidhinā vidhiḥ // NarP_2,28.47 //	tasmAt dvija sat AcAraH nizevyaH viDinA viDiH // NA rP_2,28.47 //
   tamahaṃbhāvanāyukto no heyādyo vidāṃ varaḥ /	tam ahaMBAvanA yuktaH naH heyAdyaH vidAm varaH /
   sa śāntimāpnuyādagryāṃ dhamyāmubhayasaṃsthitām // NarP_2,28.48 //	sa SAntim ApnuyAt agryAm DamyAm uBaya saMsTitAm // NA rP_2,28.48 //
   āpavargyaḥ smṛto dharmo dhanaṃ dharmaikasādhanam /	ApavargyaH smRtaH DarmaH Danam Darma eka sADanam /
   tanmayā sādhito dharmaḥ sarvottamadhanātmanā // NarP_2,28.49 //	tat mayA sADitaH DarmaH sarva uttama Dana AtmanA // NA rP_2,28.49 //
   śṛṇu viprātra dharmasya gatiṃ sūkṣmāṃ vadāmyaham /	SRNu vipra atra Darmasya gatim sUkzmAm vadAmi aham /
   yadā samāgato bhartā mama kanyāṃ samāharan // NarP_2,28.50 //	yadA samAgataH BartA mama kanyAm samAharan // NA rP_2,28.50 //
   tvāṃ paśyan nijakarmasthaṃ ko 'pi doṣo na tasya vai /	tvAm paSyan nija karma sTam kaH api dozaH na tasya vE /
   mayā pṛṣṭaḥ kathaṃ nāma kanyeyaṃ samupāhṛtā // NarP_2,28.51 //	mayA pRzwaH kaTam nAma kanyA iyam samupAhRtAH // NA rP_2,28.51 //
   tadā tena mṛṣā vākyamuktaṃ madbhakṣaṇārthakam /	tadA tena mRzA vAkyam uktam mad BakzaNa arTakam /
   tanniśamyāha māṃ baddhā svayaṃ cāsthāni darśanāt // NarP_2,28.52 //	tat niSamya Aha mAm badDA svayam ca asTAni darSanAt // NA rP_2,28.52 //
   ye vadanti ca dāṃpatye bhāryā mokṣavirodhinī /	ye vadanti ca dAMpatye BAryA mokza viroDinI /
   na te tattvadṛśo jñeyā na sā bhāryā virodhinī // NarP_2,28.53 //	na te tattva dRSaH jQeyA na sA BAryA viroDinI // NA rP_2,28.53 //
   bhāryā samuddharetpāpātpatantaṃ niraye patim /	BAryA samudDaret pApAt patantam niraye patim /
   sā bhāryānyā karmavallīrūpā saṃsāradāyīnī // NarP_2,28.54 //	sA BAryA anyA karma vallI rUpA saMsAra dAyInI // NA rP_2,28.54 //
   pāpaṃ kimatra tanmattaḥ samyakchṛṇu svayaṃ vara /	pApam kim atra tat mattaH samyak SRNu svayam varaH /
   alīkaṃ naiva vaktavyaṃ prāṇaiḥ kaṇṭhagatairapi // NarP_2,28.55 //	alIkam na eva vaktavyam prANEH kaNWa gatEH api // NA rP_2,28.55 //
   satyamevācaretsatye sākṣāddharme vyavasthitaḥ /	satyam eva Acaret satye sAkzAt Darme vyavasTitaH /
   satye samāsthito brahmā satye santaḥ samāsthitāḥ // NarP_2,28.56 //	satye samAsTitaH brahmA satye santaH samAsTitAH // NA rP_2,28.56 //
   satye samāsthitaṃ viśvaṃ sarvadā sacarācaram /	satye samAsTitam viSvam sarvadA sacarAcaram /
   satyaṃ brūyāditi vaco vedānteṣu pragīyate // NarP_2,28.57 //	satyam brUyAt iti vacaH vedAntezu pragIyate // NA rP_2,28.57 //
   satyaṃ brahmasvarūpaṃ hi tatsatyamabhidhīmahi /	satyam brahma svarUpam hi tat satyam aBiDImahi /
   satyaṃ tu sarvadā vipra maṅgalaṃ maṅgalapradam // NarP_2,28.58 //	satyam tu sarvadA vipra maFgalam maFgala pradam // NA rP_2,28.58 //
   asatyamātmakṣayadaṃ sadyaḥ pratyayakārakam /	asatyam Atma kzaya dam sadyas pratyaya kArakam /
   strīṣu satyaṃ na vaktavyaṃ tatrāpi śṛṇu kāraṇam // NarP_2,28.59 //	strIzu satyam na vaktavyam tatra api SRNu kAraNam // NA rP_2,28.59 //
   nidhiṃ striyai na kathayedityādau doṣavāraṇam /	niDim striyE na kaTayet ityAdO doza vAraNam /
   uktaṃ taddharmajanakaṃ dharmasūkṣmatvadarśakam // NarP_2,28.60 //	uktam tat Darma janakam Darma sUkzma tva darSakam // NA rP_2,28.60 //
   kuśā dvijā jalaṃ vahnirvedā bhūkāladiksurāḥ /	kuSAH dvijAH jalam vahniH vedAH BU kAla diS surAH /
   sākṣye yatra vivāheṣu dāṃpatyaṃ tadudīritam // NarP_2,28.61 //	sAkzye yatra vivAhezu dAMpatyam tat udIritam // NA rP_2,28.61 //
   samaṅgīkaraṇaṃ karma vivāhe tu vidhīyate /	samaFgIkaraNam karma vivAhe tu viDIyate /
   strīpuṃsordvijasaṃskāre nirdiṣṭaṃ guruśiṣyayoḥ // NarP_2,28.62 //	strIpuMsoH dvija saMskAre nirdizwam guru SizyayoH // NA rP_2,28.62 //
   tasmātparasparaṃ jñeyo guruśiṣyau vadhūvarau /	tasmAt parasparam jQeyaH guru SizyO vaDU varO /
   nānayoraṇumātro 'pi bhedo bodhyo vijānatā // NarP_2,28.63 //	nAnayoH aNu mAtraH api BedaH boDyaH vijAnatA // NA rP_2,28.63 //
   tattatkarmānurūpatvātprādhānyastrīniyojyayoḥ /	tad tad karma anurUpa tvAt prADAnya strI niyojyayoH /
   kvacidvyatyayadoṣaśceddaivamevātra kāraṇam // NarP_2,28.64 //	kvacid vyatyaya dozaH ced dEvam eva atra kAraNam // NA rP_2,28.64 //
   daivādhīnaṃ jagatsarvaṃ sadevāsuramānuṣam /	dEva aDInam jagat sarvam sa deva asura mAnuzam /
   daivaṃ tatpūrvajanmāni saṃcitāḥ karmavāsanāḥ // NarP_2,28.65 //	dEvam tat pUrva janmAni saMcitAH karma vAsanAH // NA rP_2,28.65 //
   prāptaṃ niṣevannanyonyaṃ vartate kāmakārakam /	prAptam nizevan= anyonyam vartate kAma kArakam /
   śubhaṃ vāpyaśubhaṃ vipra taṃ tu śāntaṃ vidurbudhāḥ // NarP_2,28.66 //	SuBam vA api aSuBam vipra tam tu SAntam viduH buDAH // NA rP_2,28.66 //
   śāntaḥ satyasamācāro janturlokapratārakaḥ /	SAntaH satya samAcAraH jantuH loka pratArakaH /
   evamādi viditvā tu nāyaṃ bhartā nipātitaḥ // NarP_2,28.67 //	evamAdi viditvA tu na ayam BartA nipAtitaH // NA rP_2,28.67 //
   kanyātvadhvaṃsakātpāpātpūto madupakārataḥ /	kanyA tva DvaMsakAt pApAt pUtaH mad upakArataH /
   gatiṃ prayātaḥ kṛtināṃ tvaddhastavinipātitaḥ // NarP_2,28.68 //	gatim prayAtaH kRtinAm tvad hasta vinipAtitaH // NA rP_2,28.68 //
   mayā tūpakṛtaṃ patye jānantyā dharmasūkṣyatām /	mayA tu upakRtam patye jAnantyAH Darma sUkzyatAm /
   tvatprāṇarakṣaṇe dharmo mamābhūddvijasattama // NarP_2,28.69 //	tvad prANa rakzaNe DarmaH mama aBUt dvijasattamaH // NA rP_2,28.69 //
   tena dharmeṇa kiṃ prāptamiti samyaṅnibodha me /	tena DarmeNa kim prAptam iti samyak niboDa me /
   rākṣasīṃ yonimāpannā rākṣasasya priyā hyaham // NarP_2,28.70 //	rAkzasIm yonim ApannAH rAkzasasya priyA hi aham // NA rP_2,28.70 //
   kāmarūpā brāhmaṇī tu saṃjātā dharmakāraṇāt /	kAmarUpA brAhmaNI tu saMjAtAH Darma kAraNAt /
   dharmakāmadughā dhenuḥ saṃtoṣo nandanaṃ vanam // NarP_2,28.71 //	DarmakAma duGAH DenuH saMtozaH nandanam vanam // NA rP_2,28.71 //
   vidyā mokṣakarī proktā tṛṣṇā vaitaraṇī nadī /	vidyA mokza karI proktA tRzNA vEtaraNI nadI /
   vaitaraṇyāṃ patanbhartā mayoddhṛta ihābhavat // NarP_2,28.72 //	vEtaraNyAm patan BartA mayA udDRtaH iha aBavat // NA rP_2,28.72 //
   asyāścopakṛtaṃ vipra varṇottamaniveśanāt /	asyAH ca upakRtam vipra varNa uttama niveSanAt /
   iyaṃ tvasaṃginī bhāryā bhaviṣyati piturgṛhe // NarP_2,28.73 //	iyam tu asaMginI BAryA Bavizyati pituH gRhe // NA rP_2,28.73 //
   ahaṃ tavāsyāśca sadā rakṣikā dharmabodhinī /	aham tava asyAH ca sadA rakzikA Darma boDinI /
   matsaṃgamātpūrvameva yā bhāryā vipra te 'bhavat // NarP_2,28.74 //	mad saMgamAt pUrvam eva yA BAryA vipra te aBavat // NA rP_2,28.74 //
   iyaṃ tvatsaṃginī bhāryā bhaviṣyati varānanā /	iyam tvad saMginI BAryA Bavizyati varAnanAH /
   sāpi tiryaggatiṃ prāpya mucyate madanugrahāt // NarP_2,28.75 //	sA api tiryak gatim prApya mucyate mad anugrahAt // NA rP_2,28.75 //
   ahaṃ purā bhave 'bhūvaṃ ramaṇī lokasundarī /	aham purA Bave aBUvam ramaNI lokasundarI /
   kandalīti ca vikhyātā tanayaurvamunerdvija // NarP_2,28.76 //	kandalI iti ca viKyAtA tanayOH vamuneH dvija // NA rP_2,28.76 //
   tapaḥ prabhāvātsaṃjātā yamalā mithunandharā /	tapaH praBAvAt saMjAtA yamalA miTunanDarA /
   puruṣo me sahabhavo damito dharmakāraṇāt // NarP_2,28.77 //	puruzaH me sahaBavaH damitaH Darma kAraNAt // NA rP_2,28.77 //
   tenaivaurveṇa śiṣṭāhaṃ dattā durvāsase bhavam /	tena eva OrveNa SizwA aham dattA durvAsase Bavam /
   taṃ patiṃ prāpya viprendra prākkarmavaśāgā hyaham // NarP_2,28.78 //	tam patim prApya vipra indra prAk karma vaSAgAH hi aham // NA rP_2,28.78 //
   kalahābhiratā patyā śaptā bhasmatvamāgatā /	kalaha aBiratA patyA SaptAH Basma tvam AgatAH /
   kiñcitpāpāvaśeṣeṇa rākṣasīṃ yonimāgatā // NarP_2,28.79 //	kiQcid pApa avaSezeNa rAkzasIm yonim AgatAH // NA rP_2,28.79 //
   tatra yonau mayā labdho bhartāyaṃ rākṣasādhipaḥ /	tatra yonO mayA labDaH BartA ayam rAkzasa aDipaH /
   gobhilo nāma tejasvī sa tvayā vinipātitaḥ // NarP_2,28.80 //	goBilaH nAma tejasvI sa tvayA vinipAtitaH // NA rP_2,28.80 //
   śopo 'sya pūrvavayasibabhūva dvijasattama /	SopaH asya pUrva vayasi baBUva dvijasattamaH /
   kasyāścidrājakanyāyāḥ striyā'rabdhā mṛtistava // NarP_2,28.81 //	kasyAScid rAja kanyAyAH striyA arabDA mRtiH tava // NA rP_2,28.81 //
   ahaṃ tu rākṣasībhāvarahitā pūrvakarmaṇaḥ /	aham tu rAkzasI BAva rahitA pUrva karmaNaH /
   śubhasya balamāpannā jātā tava sahāyinī // NarP_2,28.82 //	SuBasya balam ApannA jAtA tava sahAyinI // NA rP_2,28.82 //
   duḥkhitāhaṃ kṛtā bhartrā kumāryāharaṇātpurā /	duHKitA aham kRtA BartrA kumArI AharaNAt purA /
   bhāryātha pāpinā brahmaṃstena vyāpādito mayā // NarP_2,28.83 //	BAryA aTa pApinA brahman= tena vyApAditaH mayA // NA rP_2,28.83 //
   viśvasto hi yatastvaṃ vai mama sarveṇa cetasā /	viSvastaH hi yatas tvam vE mama sarveNa cetasA /
   tatastvāṃ gopayiṣyāmi sarvabhāvena kāmuka // NarP_2,28.84 //	tatas tvAm gopayizyAmi sarva BAvena kAmukaH // NA rP_2,28.84 //
   eṣa te śapathaḥ satyaḥ pañcabhūtopasākṣikaḥ /	eza te SapaTaH satyaH paQcaBUta upasAkzikaH /
   kṛtsnasya puruṣasyeha sannidhau vyāhṛto mayā // NarP_2,28.85 //	kRtsnasya puruzasya iha sanniDO vyAhRtaH mayA // NA rP_2,28.85 //
   na karoṣi dvijaśreṣṭha saṃvidaṃ hyanyathā kvacit /	na karozi dvijaSrezWa saMvidam hi anyaTA kvacid /
   madvākye bhavatā stheyaṃ sarvakṛtyeṣu mānada // NarP_2,28.86 //	mad vAkye BavatA sTeyam sarva kRtyezu mAnada // NA rP_2,28.86 //
   etacchrutvā tu vacanaṃ rākṣasyā paribhāṣitam /	etat SrutvA tu vacanam rAkzasyA pariBAzitam /
   pratipede vacaḥ sarvaṃ yatkṛtaṃ hi tayā tadā // NarP_2,28.87 //	pratipede vacaH sarvam yat kRtam hi tayA tadA // NA rP_2,28.87 //
   tataḥ sā rākṣasī sarvaṃ saṃpragṛhya guhādhanam /	tatas sA rAkzasI sarvam saMpragRhya guhADanam /
   kareṇurūpiṇī bhūtvā pṛṣṭhe kṛtvā patiṃ mama // NarP_2,28.88 //	kareNu rUpiNI BUtvA pRzWe kRtvA patim mama // NA rP_2,28.88 //
   tayā saha viśālākṣyā ratnāvalyā mudānvitā /	tayA saha viSAla akzyAH ratna AvalyA mudA anvitA /
   yayāvākāśamārgeṇa kāśīmabhi mulocane // NarP_2,28.89 //	yayO= AkASa mArgeNa kASIm aBi mulocane // NA rP_2,28.89 //
   iti śrībṛhannāradīyapurāṇottarabhāge mohinīcarite kāṣṭhīlopākhyānaṃ	iti SrI bRhat nAradIyapurANa uttara BAge mohinI carite kAzWIlA upAKyAnam
   nāmāṣṭāviṃśo 'dhyāyaḥ	nAma azwAviMSaH aDyAyaH
   kāṣṭhīlovāca	kAzWIlA uvAca
   evaṃ sā rākṣasī subhru hastinīrūpadhāriṇī /	evam sA rAkzasI suBru hastinI rUpa DAriNI /
   tribhirmuhūrtaiḥ saṃprāptā kāśīṃ viśveśamandiram // NarP_2,29.1 //	triBiH muhUrtEH saMprAptA kASIm viSveSa mandiram // NA rP_2,29.1 //
   uvāca tāṃ purīṃ prāpya bhartāramasitekṣaṇā /	uvAca tAm purIm prApya BartAram asita IkzaNA /
   iyaṃ pāpataroḥ kānta kuṭhārā parikīrtitā // NarP_2,29.2 //	iyam pApa taroH kAnta kuWArA parikIrtitAH // NA rP_2,29.2 //
   ṣaḍūrmikāñcanasyaiṣā kānta proktā durodarī /	zaz Urmi kAQcanasya ezA kAnta proktA durodarI /
   karmabījopaśamanī sarveṣāṃ gatidāyikā // NarP_2,29.3 //	karma bIja upaSamanI sarvezAm gati dAyikAH // NA rP_2,29.3 //
   ādyaṃ hi vaiṣṇavaṃ sthānaṃ purāṇāḥ saṃpracakṣate /	Adyam hi vEzNavam sTAnam purANAH saMpracakzate /
   nāvaiṣṇave sthale muktiḥ sarvasya tu kadācana // NarP_2,29.4 //	na avEzNave sTale muktiH sarvasya tu kadAcana // NA rP_2,29.4 //
   mādhavasya purī ceyaṃ pūrvamāsīddvijottama /	mADavasya purI ca iyam pUrvam AsIt dvijottamaH /
   muktidā sarvajantūnāṃ sarvapāpapraṇāśinī // NarP_2,29.5 //	mukti dA sarva jantUnAm sarva pApa praNASinI // NA rP_2,29.5 //
   ekadā śaṅkaro devo draṣṭuṃ prāgātpitāmaham /	ekadA SaFkaraH devaH drazwum prAgAt pitAmaham /
   sarvalokaikakartāraṃ bhrājamānaṃ svatejasā // NarP_2,29.6 //	sarva loka eka kartAram BrAjamAnam sva tejasA // NA rP_2,29.6 //
   gatvā tatra mahādevo brahmāṇaṃ jagatāṃ gurum /	gatvA tatra mahAdevaH brahmANam jagatAm gurum /
   namaskṛtya sthito hyagre vedapāṭhaṃ niśāmayan // NarP_2,29.7 //	namaskRtya sTitaH hi agre veda pAWam niSAmayan // NA rP_2,29.7 //
   caturbhiradbhutaivaktraiścaturo nigamānmudā /	caturBiH adButA evaktrEH caturaH nigamAt mudA /
   udgirantaṃ jagannāthaṃ dṛṣṭvā prīto 'bhavattadā // NarP_2,29.8 //	udgirantam jagannATam dRzwvA prItaH aBavat tadA // NA rP_2,29.8 //
   atha tatpañcamaṃ vaktraṃ brahmaṇo bhūtanāyakaḥ /	aTa tat paQcamam vaktram brahmaNaH BUtanAyakaH /
   pragalbhaṃ tamupālakṣya kṣaṇājjātaḥ samatsaraḥ // NarP_2,29.9 //	pragalBam tam upAlakzya kzaNAt jAtaH sa matsaraH // NA rP_2,29.9 //
   sa krodhajanmā viprendra tasya prāgalbhyamakṣaman /	sa kroDa janmA vipra indra tasya prAgalByam akzaman /
   cakarta tannakhāgreṇa khasthaṃ vaktraṃ trilocanaḥ // NarP_2,29.10 //	cakarta tad naKa agreNa Ka sTam vaktram trilocanaH // NA rP_2,29.10 //
   tacchinnaṃ brahmaṇaḥ śīrṣaṃ saṃlagnaṃ karapallave /	tat Cinnam brahmaNaH SIrzam saMlagnam karapallave /
   vāme nirdhūtamāniśaṃ na nivṛttaṃ dvijottama // NarP_2,29.11 //	vAme nirDUtam AniSam na nivRttam dvijottamaH // NA rP_2,29.11 //
   brahmā tu duḥkhito bhūtvā tasthau sthāṇuṃ vyalokayan /	brahmA tu duHKitaH BUtvA tasTO sTANum vyalokayan /
   rudro 'pi lajjito bhūtvā nirjjagāma tvarānvitaḥ // NarP_2,29.12 //	rudraH api lajjitaH BUtvA nirjjagAma tvarA anvitaH // NA rP_2,29.12 //
   bahudhā yatamāno 'pi tacchiraḥ kṣeptumāturaḥ /	bahuDA yatamAnaH api tat SiraH kzeptum AturaH /
   na śaśāka parityaktuṃ tadadbhutamabhūnmahat // NarP_2,29.13 //	na SaSAka parityaktum tat adButam aBUt mahat // NA rP_2,29.13 //
   cintayā vyākulo bhūtvā sasmāra garuḍadhvajam /	cintayA vyAkulaH BUtvA sasmAra garuxaDvajam /
   tena saṃsmṛtamātrastu śīghramāvirabhūcca saḥ // NarP_2,29.14 //	tena saMsmRta mAtraH tu SIGram AviraBUt ca saH // NA rP_2,29.14 //
   taṃ dṛṣṭvā devadeveśaṃ viṣṇuṃ sarvagataṃ dvija /	tam dRzwvA devadeveSam vizNum sarva gatam dvija /
   nanāma śirasā namro niṣprabho vṛṣabhadhvajaḥ // NarP_2,29.15 //	nanAma SirasA namraH nizpraBaH vRzaBaDvajaH // NA rP_2,29.15 //
   taṃ tathāturamālakṣya bhītaṃ brahmadruhaṃ hariḥ /	tam taTA Aturam Alakzya BItam brahma druham hariH /
   samāśvāsyā bravīdvākyaṃ tattoṣaparikārakam // NarP_2,29.16 //	samASvAsyA bravIt vAkyam tad toza parikArakam // NA rP_2,29.16 //
   śaṃbho tvayā kṛtaṃ pāpaṃ yaccinnaṃ brahmaṇaḥ śiraḥ /	SaMBo tvayA kRtam pApam yat cinnam brahmaNaH SiraH /
   tatphalaṃ bhuṅkṣva sarṃvajña kiyatkālaṃ kṛtaṃ svayam // NarP_2,29.17 //	tat Palam BuFkzva sarMva jQa kiyat kAlam kRtam svayam // NA rP_2,29.17 //
   avaśyameva bhoktavyaṃ kṛtaṃ karma śubhāśubham /	avaSyam eva Boktavyam kRtam karma SuBa aSuBam /
   nābhuktaṃ kṣīyate karma hyapi janmaśataiḥ priya // NarP_2,29.18 //	na aBuktam kzIyate karma hi api janma SatEH priya // NA rP_2,29.18 //
   kiṃ karomi kva gacchāmi tvāṃ dṛṣṭvā duḥkhitaṃ haram /	kim karomi kva gacCAmi tvAm dRzwvA duHKitam haram /
   prāṇā vikalatāṃ yānti mama tvadduḥkhadarśanāt // NarP_2,29.19 //	prANAH vikala tAm yAnti mama tvad duHKa darSanAt // NA rP_2,29.19 //
   yāni kāni ca pāpāni mahānti mahatāṃ gate /	yAni kAni ca pApAni mahAnti mahatAm gate /
   na tāni brahmahatyāyāḥ samānīti matirmama // NarP_2,29.20 //	na tAni brahmahatyAyAH samAni iti matiH mama // NA rP_2,29.20 //
   yastvaṃ sarvasya lokasya gururdharmopadeśakaḥ /	yaH tvam sarvasya lokasya guruH Darma upadeSakaH /
   brahmahatyābhibhūtastu kṣaṇaṃ sthātuṃ na ca kṣamaḥ // NarP_2,29.21 //	brahmahatyA aBiBUtaH tu kzaNam sTAtum na ca kzamaH // NA rP_2,29.21 //
   eṣā ghoratarā hatyā mīnagandhyā jarāturā /	ezA GoratarA hatyA mIna ganDyA jarA AturAH /
   lelihānā sureśāna grahītuṃ tvānudhāvati // NarP_2,29.22 //	lelihAnA sureSAna grahItum tvA anuDAvati // NA rP_2,29.22 //
   tasmānnaikatra bhavatā stheyaṃ dvādaśabatsaram /	tasmAt na ekatra BavatA sTeyam dvAdaSa batsaram /
   aṭanīyaṃ hitārthāya pāpanāśābhikāmyayā // NarP_2,29.23 //	awanIyam hita arTAya pApa nASa aBikAmyayA // NA rP_2,29.23 //
   aṭitvā dvādaśābdāni tīrtheṣu sakaleṣu ca /	awitvA dvAdaSa abdAni tIrTezu sakalezu ca /
   prakṣālayankaraṃ vāmaṃ bhikṣāṃ gṛhṇankapālake // NarP_2,29.24 //	prakzAlayan karam vAmam BikzAm gRhNan kapAlake // NA rP_2,29.24 //
   śuddhiṃ yāsyasi deveśa pāpādasmātsudāruṇāt /	SudDim yAsyasi deveSa pApAt asmAt su dAruNAt /
   ityukto viṣṇunā vipra sthāṇuḥ sarvagato 'bhavat // NarP_2,29.25 //	iti uktaH vizNunA vipra sTANuH sarva gataH aBavat // NA rP_2,29.25 //
   kapālamocanārthaṃ hi pāṇiṃ prakṣālayan jale /	kapAla mocana arTam hi pANim prakzAlayan jale /
   varṣatrayaṃ bhramitvā tu prāpto badarikāśramam // NarP_2,29.26 //	varza trayam BramitvA tu prAptaH badarikASramam // NA rP_2,29.26 //
   bhikṣārthaṃ devadevasya dharmaputrasya mānada /	BikzA arTam devadevasya Darmaputrasya mAnada /
   dvārastho dehi bhikṣāṃ me viṣṇo ityavadanmuhuḥ // NarP_2,29.27 //	dvAra sTaH dehi BikzAm me vizNo iti avadat muhur // NA rP_2,29.27 //
   tato nārāyaṇo devo dṛṣṭvā dvāri sthitaṃ haram /	tatas nArAyaNaH devaH dRzwvA dvAri sTitam haram /
   gṛhāṇa bhikṣāmityuktvā pradadau dakṣiṇaṃ karam // NarP_2,29.28 //	gRhANa BikzAm iti uktvA pradadO dakziNam karam // NA rP_2,29.28 //
   tato haro hariṃ dṛṣṭvā bhikṣāṃ dātuṃ samudyatam /	tatas haraH harim dRzwvA BikzAm dAtum samudyatam /
   prāharaddakṣiṇaṃ pāṇiṃ triśūlena dvijottama // NarP_2,29.29 //	prAharat dakziNam pANim triSUlena dvijottamaH // NA rP_2,29.29 //
   tattriśūlakṣatāddhārāstisro lokabhayaṅkarāḥ /	tad triSUla kzatAt hArAH tisraH loka BayaFkarAH /
   prasthadvādaśahastāśca nirgatāścitravarṇikāḥ // NarP_2,29.30 //	prasTa dvAdaSa hastAH ca nirgatAH citravarNikAH // NA rP_2,29.30 //
   ekā kṣatajadhārā tu kapāle nyapatattadā /	ekA kzataja DArA tu kapAle nyapatat tadA /
