   (Dhs, Vaidya 329)	(Dhs, VEdyaH 329)
   110. prajñā trividhā / tadyathā   śrutamayī, cintāmayī, bhāvanāmayī ceti	110. prajQA triviDA / tat yaTA  Sruta mayI, cintA mayI, BAvanA mayI ca iti
   111. upāyastrividhaḥ / tadyathā   sarvasattvāvabodhakaḥ,	111. upAyaH triviDaH / tat yaTA  sarva sattva avaboDakaH,
   sattvārthābhāvakaḥ, kṣiprasukhābhisaṃbodhiśceti //	sattva arTa aBAvakaH, kzipra suKa aBisaMboDiH ca iti //
   112. praṇidhānaṃ trividham / tadyathā   susthānaprābandhikam,	112. praNiDAnam triviDam / tat yaTA  su sTAna prAbanDikam,
   sattvārthaprabandhikam, buddhakṣetrapariśodhakaṃ ceti //	sattva arTa prabanDikam, budDa kzetra pariSoDakam ca iti //
   113. balaṃ trividham / tadyathā   karmavyāvartakam, kleśāpakarṣakam,	113. balam triviDam / tat yaTA  karma vyAvartakam, kleSa apakarzakam,
   mānapramādādivyāvartakaṃ ceti //	mAna pramAda Adi vyAvartakam ca iti //
   114. jñānaṃ trividham / tadyathā   avikalpakam, vikalpasamabhāvabodhakam,	114. jQAnam triviDam / tat yaTA  avikalpa kam, vikalpa sama BAva boDakam,
   satyārthopāyaparokṣaṃ ceti //	satya arTa upAya parokzam ca iti //
   115. tatrāvaraṇe dve / tadyathā   kleśavaraṇam, jñeyāvaraṇaṃ ceti //	115. tatra AvaraNe dve / tat yaTA  kleSa varaNam, jQeya AvaraNam ca iti //
   116. nairātmyaṃ dvividham / tadyathā   dharmanairātmyam, pugdalanairātmyaṃ	116. nErAtmyam dviviDam / tat yaTA  Darma nErAtmyam, pugdala nErAtmyam
   ceti //	ca iti //
   117. saṃbhāro dvividhaḥ / tadyathā   puṇyasaṃbhāraḥ, jñānasaṃbhāraśceti //	117. saMBAraH dviviDaH / tat yaTA  puNya saMBAraH, jQAna saMBAraH ca iti //
   118. tatra ṣaṭ samādhyāvaraṇāni / tadyathā   kausīdyam, mānam, śāṭhyam,	118. tatra zaw samADi AvaraNAni / tat yaTA  kOsIdyam, mAnam, SAWyam,
   auddhatyam, anābhogaḥ, satyābhogaśceti //	OdDatyam, anABogaH, satya ABogaH ca iti //
   119. tatra pratipattyāṣṭau prahāṇasaṃskārāḥ / tadyathā   śraddhā,	119. tatra pratipattyA azwO prahANa saMskArAH / tat yaTA  SradDA,
   buddhaḥ(ddhiḥ), vyāyāmaḥ, prasrabdhiḥ, smṛtiḥ, saṃprajanyam, cetanā,	budDaH(dDiH), vyAyAmaH, prasrabDiH, smRtiH, saMprajanyam, cetanA,
   upekṣā ceti //	upekzA ca iti //
   120. tatra catvāro dvīpāḥ / tadyathā   pūrvavidehaḥ, jambudvīpaḥ,	120. tatra catvAraH dvIpAH / tat yaTA  pUrva videhaH, jambudvIpaH,
   aparagodāniḥ(nīyaḥ), uttarakurudvīpaśceti //	apara godAniH(nIyaH), uttarakuru dvIpaH ca iti //
   121. aṣṭāvuṣṇanarakāḥ / tadyathā   saṃjīvaḥ, kālasūtraḥ, saṃghātaḥ,	121. azwO= uzNa narakAH / tat yaTA  saMjIvaH, kAlasUtraH, saMGAtaH,
   rauravaḥ, mahārauravaḥ, tapanaḥ, pratāpanaḥ, avīciśceti //	rOravaH, mahArOravaH, tapanaH, pratApanaH, avIciH ca iti //
   122. aṣṭau śītanarakāḥ / tadyathā   arbudaḥ, nirarbudaḥ, aṭaṭaḥ, apapaḥ,	122. azwO SIta narakAH / tat yaTA  arbudaH, nirarbudaH, awawaH, apapaH,
   hāhādharaḥ, utpalaḥ, padmaḥ, mahāpadmaśceti //	hAhADaraH, utpalaH, padmaH, mahApadmaH ca iti //
   123. sapta pātālāni / tadyathā   dharaṇītalaḥ, acalaḥ, mahācalaḥ, āpaḥ,	123. sapta pAtAlAni / tat yaTA  DaraNI talaH, acalaH, mahA acalaH, ApaH,
   kāñcanaḥ, saṃjīvaḥ, narakaśceti /	kAQcanaH, saMjIvaH, narakaH ca iti /
   124. dvau cakravālau / tadyathā   cakravālamahācakravālau ceti //	124. dvO cakravAlO / tat yaTA  cakravAla mahA cakravAlO ca iti //
   125. aṣṭāṅgaparvatāḥ / tadyathā   yugaṃdharaḥ, īśādharaḥ, khadirakaḥ,	125. azwAFga parvatAH / tat yaTA  yugaMDaraH, ISa aDaraH, KadirakaH,
   sudarśanaḥ, vinatakaḥ, aśvakarṇaḥ, nemiṃdharagiriḥ, sumeruśceti //	sudarSanaH, vinatakaH, aSvakarNaH, nemiMDara giriH, sumeruH ca iti //
   126. sapta sāgarāḥ / tadyathā   kṣāraḥ, kṣīraḥ, dadhi, udadhiḥ, ghṛtam,	126. sapta sAgarAH / tat yaTA  kzAraH, kzIraH, daDi, udaDiH, GRtam,
   madhuḥ, surā ceti //	maDuH, surA ca iti //
   (Dhs, Vaidya 339)	(Dhs, VEdyaH 339)
   127. tatra ṣaṭ kāmāvacarā devāḥ / tadyathā   cāturmahārājakāyikāḥ,	127. tatra zaw kAmAvacarAH devAH / tat yaTA  cAturmahArAja kAyikAH,
   trāyastriṃśāḥ, tuṣitāḥ, yāmāḥ, nirmāṇaratayaḥ, paranirmitavaśavartinaśceti	trAyastriMSAH, tuzitAH, yAmAH, nirmANa ratayaH, paranirmitavaSavartinaH ca iti
   128. aṣṭādaśa rūpāvacarā devāḥ / tadyathā   brahmakāyikāḥ,	128. azwAdaSa rUpAvacarAH devAH / tat yaTA  brahmakAyikAH,
   brahmapurohitāḥ, brahmapārṣadyāḥ, mahābrahmāṇaḥ, parīttābhāḥ,	brahma purohitAH, brahmapArzadyAH, mahA brahmANaH, parItta ABAH,
   apramāṇābhāḥ, ābhāsvarāḥ, parīttaśubhāḥ, śubhakṛtsnāḥ, anabhrakāḥ,	apramANa ABAH, ABAsvarAH, parItta SuBAH, SuBa kRtsnAH, anaBrakAH,
   puṇyaprasavāḥ, bṛhatphalāḥ, asaṃjñisattvāḥ, avṛhāḥ, atapāḥ, sudṛśāḥ,	puNya prasavAH, bRhat PalAH, asaMjQi sattvAH, avRhAH, atapAH, sudRSAH,
   sudarśanāḥ, akaniṣṭhāśceti //	sudarSanAH, akanizWAH ca iti //
   129. catvāro 'rūpāvacarā devāḥ / ākāśānantyāyatanopagāḥ,	129. catvAraH arUpAvacarAH devAH / AkASa Anantya Ayatana upagAH,
   vijñānānantyāyatanopagāḥ, ākiṃcanyāyatanopagāḥ,	vijQAna AnantyAyatana upagAH, AkiMcanyAyatana upagAH,
   naivasaṃjñānāsaṃjñāyatanopagāśceti //	na eva saMjQAna asaMjQAyatana upagAH ca iti //
   130. trividhā ālaṅghanāḥ / tadyathā   satyālaṅghanā, dharmālaṅghanā,	130. triviDAH AlaFGanAH / tat yaTA  satya alaFGanA, Darma alaFGanA,
   anālaṅghanā ceti //	anAlaFGanA ca iti //
   131. trividhā mahāmaitrī / tadyathā   satyālaṅgha(mba)nā,	131. triviDA mahA mEtrI / tat yaTA  satya alaFGa (mba)nA,
   dharmalaṅgha(rmālamba)nā, anālaṅgha(mba)nā ceti //	Darma laFGa (rma Alamba)nA, anAlaFGa(mba)nA ca iti //
   132. trividhaṃ karma / tadyathā   dṛṣṭadharmavedanīyam, utpadyavedanīyam,	132. triviDam karma / tat yaTA  dRzwa Darma vedanIyam, utpadya vedanIyam,
   aparavedanīyaṃ ceti //	apara vedanIyam ca iti //
   133. trividhaṃ prātihāryam / tadyathā   ṛddhiprātihāryam,	133. triviDam prAtihAryam / tat yaTA  RdDi prAtihAryam,
   ādeśanāprātihāryam, anuśāsanīprātihāryaṃ ceti //	AdeSana aprAtihAryam, anuSAsanI prAtihAryam ca iti //
   134. aṣṭāvakṣaṇāḥ / tadyathā   narakopapattiḥ, tiryagupapattiḥ,	134. azwO= akzaNAH / tat yaTA  naraka upapattiH, tiryak upapattiH,
   yamalokopapattiḥ, pratyantajanapadopapattiḥ, dīrghāyuṣadevopapattiḥ,	yama loka upapattiH, pratyanta janapada upapattiH, dIrGa Ayuza deva upapattiH,
   indriyavikalatā, mithyādṛṣṭiḥ, cittotpādavirāgitatā ceti //	indriya vikalatA, miTyAdRzwiH, citta utpAda virAgita tA ca iti //
   135. trividhā vikalpāḥ / tadyathā   anusmaraṇavikalpaḥ,	135. triviDAH vikalpAH / tat yaTA  anusmaraNa vikalpaH,
   saṃtirana(tīraṇa)vikalpaḥ, sahajavikalpaśceti //	saMtirana(tIraNa) vikalpaH, sahaja vikalpaH ca iti //
   136. catvāraḥ samādhayaḥ / tadyathā   śūraṃgamaḥ, gaganagañjaḥ	136. catvAraH samADayaH / tat yaTA  SUraMgamaH, gagana gaQjaH
   vimalaprabhaḥ, siṃhavikrīḍitaśceti /	vimala praBaH, siMha vikrIxitaH ca iti /
   137. caturdaśāvyākṛtavastūni / tadyathā   śāśvato lokaḥ, aśāśvato lokaḥ,	137. caturdaSa avyAkRta vastUni / tat yaTA  SASvataH lokaH, aSASvataH lokaH,
   śāśvataścāśāśvataśca, naiva śāśvato nāśāśvataśca / antavāṃllokaḥ,	SASvataH ca aSASvataH ca, na eva SASvataH na aSASvataH ca / antavAn= lokaH,
   anantavāṃllokaḥ, antavāṃścānantavāṃllokaśca, naivāntavānnānantavāṃśca /	anantavAn= lokaH, antavAn= ca anantavAn= lokaH ca, na eva antavAn na anantavAn= ca /
   bhavati tathāgataḥ paraṃ maraṇāt, na bhavati tathāgataḥ paraṃ maraṇāt,	Bavati taTAgataH param maraNAt, na Bavati taTAgataH param maraNAt ,
   bhavati na ca bhavati ca tathāgataḥ paraṃ maraṇāt, naiva bhavati na	Bavati na ca Bavati ca taTAgataH param maraNAt, na eva Bavati na
   bhavati tathāgataḥ paraṃ maraṇāt / sa jīvastaccharīram, anyo jīvo	Bavati taTAgataH param maraNAt / sa jIvaH tat SarIram, anyaH jIvaH 
   'nyaccharīraṃ ceti //	anyat SarIram ca iti //
   138. trīṇi kuśalamūlāni / tadyathā   adveṣaḥ, alobhaḥ, amohaśceti //	138. trINi kuSala mUlAni / tat yaTA  advezaH, aloBaH, amohaH ca iti //
   139. etadviparyayāntrīṇyakuśalamūlāni / tadyathā   lobhaḥ, mohaḥ,	139. etad viparyayAntrINi akuSala mUlAni / tat yaTA  loBaH, mohaH,
   dveṣaśceti //	dvezaH ca iti //
   140. tisraḥ śikṣāḥ / tadyathā   adhicittaśikṣā, adhiśīlaśikṣā,	140. tisraH SikzAH / tat yaTA  aDicitta SikzA, aDiSIla SikzA,
   adhiprajñāśikṣā ceti //	aDiprajQA SikzA ca iti //
   iti nāgārjunapādaviracito 'yaṃ dharmasaṃgrahaḥ samāptaḥ //	iti nAgArjuna pAda viracitaH ayam Darma saMgrahaH samAptaH //
