   mālinīvijayottaratantram	mAlinIvijaya-uttaratantram
   12.41cd: tatphalaṃ sarvam āsādya śivayukto 'pavṛjyate	12.41cd: tad-Palam sarvam AsAdya Siva-yuktaH apavRjyate
   12.42ab: ayukto 'py adhvasaṃśuddhiṃ saṃprāpya bhuvaneśataḥ	12.42ab: ayuktaH api aDva-saMSudDim saMprApya BuvaneSataH
   12.42cd: śuddhaḥ śivatvam āyāti dagdhasaṃsārabandhanaḥ	12.42cd: SudDaH Siva-tvam AyAti dagDa-saMsAra-banDanaH
   iti śrīmālinīvijayottare tantre prathamadhāraṇādhikāro dvādaśaḥ	iti SrI-mAlinI-vijaya-uttare tantre praTama-DAraNa-aDikAraH dvAdaSaH
   samāptaḥ	samAptaH
   jalādimahābhūtajayādhikāras trayodaśaḥ	jala-Adi-mahABUta-jaya-aDikAraH trayodaSaH
   13.1ab: athātaḥ sampravakṣyāmi dhāraṇāṃ vāruṇīm imām	13.1ab: aTa-atas sampravakzyAmi DAraNAm vAruNIm imAm
   13.1cd: yayā saṃsiddhayogena jalāntādhipatir bhavet	13.1cd: yayA saMsidDa-yogena jala-anta-aDipatiH Bavet-
   13.2ab: jalāntaḥsthaṃ smared dehaṃ sitaṃ śītaṃ suvartulam	13.2ab: jala-antaHsTam smaret deham sitam SItam su-vartulam
   13.2cd: sabāhyābhyantaraṃ yogī nānyad astīti cintayet	13.2cd: sa-bAhya-aByantaram yogI na-anyat asti-iti cintayet-
   13.3ab: evam abhyasyatas tasya saptāhāt klinnatā bhavet	13.3ab: evam aByasyataH tasya sapta-ahAt klinna-tA Bavet-
   13.3cd: pittavyādhiparityakto māsena bhavati dhruvam	13.3cd: pitta-vyADi-parityaktaH mAsena Bavati Druvam
   13.4ab: snigdhāṅgaḥ snigdhadṛṣṭiś ca nīlakuñcitamūrdhajaḥ	13.4ab: snigDa-aFgaH snigDa-dRzwiH ca nIla-kuQcita-mUrDajaH
   13.4cd: bhavaty abdena yogīndras tribhir varṣati meghavat	13.4cd: Bavati abdena yogi-indraH triBiH varzati meGa-vat-
   13.5ab: ity eṣā vāruṇī proktā prathamā śuddhadhāraṇā	13.5ab: iti ezA vAruNI proktA praTamA SudDa-DAraNA
   13.5cd: adhunā saṃpravakṣyāmi bhedair bhinnām imāṃ punaḥ	13.5cd: aDunA saMpravakzyAmi BedEH BinnAm imAm punar-
   13.6ab: pūrvavac cintayed dehaṃ savyāpāraṃ sitaṃ svakam	13.6ab: pUrvavat cintayet deham sa-vyApAram sitam svakam
   13.6cd: jalopari sthitaṃ devi tadgatenāntarātmanā	13.6cd: jala-upari sTitam devi tad-gatena-antarAtmanA
   13.7ab: saptāhān mucyate rogaiḥ sarvaiḥ pittasamudbhavaiḥ	13.7ab: sapta-ahAt mucyate rogEH sarvEH pitta-samudBavEH
   13.7cd: ṣaṇmāsāj jāyate sthairyaṃ yadi tanmayatāṃ gataḥ	13.7cd: zaz-mAsAt jAyate sTEryam yadi tad-maya-tAm gataH
   13.8ab: jalāvaraṇavijñānam abdair asya tribhir bhavet	13.8ab: jala-AvaraNa-vijQAnam abdEH asya triBiH Bavet-
   13.8cd: nirvyāpāraprabhede 'pi sarvatra varuṇopamaḥ	13.8cd: nirvyApAra-praBede api sarvatra varuNa-upamaH
   13.9ab: sa yāti vāruṇaṃ tattvaṃ bhūmikāḥ kramaśo 'bhyaset	13.9ab: sa yAti vAruNam tattvam BUmikAH kramaSas aByaset-
   13.9cd: pūrvavat kaṇṭhamadhyastham ātmānaṃ dvādaśāṅgulam	13.9cd: pUrvavat kaNWa-maDya-sTam AtmAnam dvAdaSa-aFgulam
   13.10ab: saṃsmarañ jalatattveśaṃ prapaśyaty acirād dhruvam	13.10ab: saMsmaran jala-tattva-ISam prapaSyati acirAt Druvam
   13.10cd: taddṛṣṭiḥ sthiratām eti svarūpe pañcame sthire	13.10cd: tat-dRzwiH sTira-tAm eti svarUpe paQcame sTire
   13.11ab: dvibhede 'pi sthirībhūte candrabimbe ghanāvṛte	13.11ab: dvi-Bede api sTirIBUte candra-bimbe Gana-AvRte
   13.11cd: tatsamānatvam abhyeti tataḥ sakalarūpiṇī	13.11cd: tad-samAna-tvam aByeti tatas sakala-rUpiNI
   13.12ab: cintyate deham āpūrya sitavarṇena tejasā	13.12ab: cintyate deham ApUrya sita-varNena tejasA
   13.12cd: tad eva sthiratām eti tatra susthiratāṃ gate	13.12cd: tat eva sTira-tAm eti tatra susTira-tAm gate
   13.13ab: ghanamuktendubimbābhaṃ tataḥ samanucintayet	13.13ab: Gana-muktA-indu-bimba-ABam tatas samanucintayet-
   13.13cd: tatpatitvaṃ samabhyeti dvitīye sthiratāṃ vrajet	13.13cd: tad-pati-tvam samaByeti dvitIye sTira-tAm vrajet-
   13.14ab: adhaḥprakāśakaṃ śuklaṃ tatas tejo vicintayet	13.14ab: aDas-prakASakam Suklam tatas tejaH vicintayet-
   13.14cd: vidyeśvaratvam āpnoti jalāvaraṇasaṃbhavam	13.14cd: vidyeSvara-tvam Apnoti jala-AvaraNa-saMBavam
   13.15ab: svadehavyāpini dhyāte tatrasthe śuklatejasi	13.15ab: sva-deha-vyApini DyAte tatrasTe Sukla-tejasi
   13.15cd: sarvādhipatyam āpnoti susthire tatra susthiram	13.15cd: sarva-ADipatyam Apnoti susTire tatra su-sTiram
   13.16ab: dhyeyatattvasamānatvam avasthātritaye sthire	13.16ab: Dyeya-tattva-samAna-tvam avasTA-tritaye sTire
   13.16cd: dvitaye ca tadīśāna saṃvittir upajāyate	13.16cd: dvitaye ca tad-ISAna saMvittiH upajAyate
   13.17ab: dvitaye 'nyatra tattulyaḥ sthiro bhavati yogavit	13.17ab: dvitaye anyatra tad-tulyaH sTiraH Bavati yoga-vid-
   13.17cd: ṣaṭke sarveśatām eti dvitaye 'nyatra tu cyutiḥ	13.17cd: zawke sarva-ISa-tAm eti dvitaye anyatra tu cyutiH
   13.18ab: ity ayaṃ sarvatattveṣu bhede pañcadaśātmake	13.18ab: iti ayam sarva-tattvezu Bede paQcadaSa-Atmake
   13.18cd: jñeyo vidhir vidhānajñaiḥ phalapañcakasiddhidaḥ	13.18cd: jQeyaH viDiH viDAna-jQEH Pala-paQcaka-sidDi-daH
   13.19ab: tat phalāntaram etasmād uktaṃ yac cāpi vakṣyate	13.19ab: tat Pala-antaram etasmAt uktam yat ca-api vakzyate
   13.19cd: anuṣaṅgaphalaṃ jñeyaṃ tat sarvam avicārataḥ	13.19cd: anuzaFga-Palam jQeyam tat sarvam avicArataH
   13.20ab: itīyaṃ vāruṇī proktā prabhedair daśapañcabhiḥ	13.20ab: iti-iyam vAruNI proktA praBedEH daSa-paQcaBiH
   13.20cd: yogināṃ yogasiddhyartham āgneyīm adhunā śṛṇu	13.20cd: yoginAm yoga-sidDi-arTam AgneyIm aDunA SRNu
   13.21ab: trikoṇaṃ cintayed dehaṃ raktajvālāvalīdharam	13.21ab: tri-koNam cintayet deham rakta-jvAlA-AvalI-Daram
   13.21cd: svaśarīrotthito vahnir jvalan vai sarvadāhakaḥ	13.21cd: sva-SarIra-utTitaH vahniH jvalan vE sarva-dAhakaH
   13.22ab: saptabhir divasair devi taikṣṇyam asyopajāyate	13.22ab: saptaBiH divasEH devi tEkzNyam asya-upajAyate
   13.22cd: vātaśleṣmabhavaiḥ sarvair māsān mucyati sādhakaḥ	13.22cd: vAta-Slezma-BavEH sarvEH mAsAt mucyati sADakaH
   13.23ab: nidrāhīnaś ca bahvāśī svalpaviṇmūtrakṛd bhavet	13.23ab: nidrA-hInaH ca bahu-ASI su-alpa-viz-mUtra-kRt Bavet-
   13.23cd: icchayā nirdahed yad yat spṛṣṭaṃ vastu ṛtukṣayāt	13.23cd: icCayA nirdahet yat yat spRzwam vastu Rtu-kzayAt-
   13.24ab: tryabdād agnisamo bhūtvā krīḍaty agnir yathecchayā	13.24ab: tri-abdAt agni-samaH BUtvA krIxati agniH yaTA-icCayA
   13.24cd: sarvaṃ nirdahati kruddhaḥ saśailavanakānanam	13.24cd: sarvam nirdahati krudDaH sa-SEla-vana-kAnanam
   13.25ab: trikoṇamaṇḍalārūḍham ātmānam anucintayet	13.25ab: trikoNa-maNxala-ArUXam AtmAnam anucintayet-
   13.25cd: savyāpārādibhedena sarvatrāpi vicakṣaṇaḥ	13.25cd: sa-vyApAra-Adi-Bedena sarvatra-api vicakzaNaH
   13.26ab: saptāhād vyādhibhir hīnaḥ ṣaṇmāsād agnivad bhavet	13.26ab: sapta-ahAt vyADiBiH hInaH zaz-mAsAt agni-vat Bavet-
   13.26cd: tribhir abdaiḥ sa saṃpūrṇaṃ tejastattvaṃ prapaśyati	13.26cd: triBiH abdEH sa saMpUrNam tejaH-tattvam prapaSyati
   13.27ab: yacchaktibhede yad dṛṣṭaṃ tat tadbhede sthirībhavet	13.27ab: yat-Sakti-Bede yat dRzwam tat tad-Bede sTirIBavet-
   13.27cd: pūrvavat tālumadhyastham ātmānaṃ jvalanaprabham	13.27cd: pUrvavat tAlu-maDya-sTam AtmAnam jvalana-praBam
   13.28ab: dhyāyan prapaśyate tejas tattveśān akhilān kramāt	13.28ab: DyAyan prapaSyate tejaH tattva-ISAn aKilAn kramAt-
   13.28cd: dhūmākrāntāgnisaṃkāśaṃ ravibimbasamākṛtim	13.28cd: DUma-AkrAnta-agni-saMkASam ravi-bimba-sama-AkRtim
   13.29ab: dhyāyaṃs tanmadhyatas tejas tattveśasamatāṃ vrajet	13.29ab: DyAyan tad-maDyatas tejaH tattva-ISa-sama-tAm vrajet-
   13.29cd: prabhāhatatamojālaṃ vidhūmāgnisamaprabham	13.29cd: praBA-hatatamaH-jAlam viDUma-agni-sama-praBam
   13.30ab: tatraiva sakalaṃ dhyāyet tatpatitvam avāpnuyāt	13.30ab: tatra-eva sakalam DyAyet tad-pati-tvam avApnuyAt-
   13.30cd: divasāgniprabhākāraṃ tatra tejo vicintayet	13.30cd: divasa-agni-praBA-AkAram tatra tejaH vicintayet-
   13.31ab: tanmantreśvaratām eti tatra susthiratām gataḥ	13.31ab: tad-mantreSvara-tAm eti tatra susTira-tAm gataH
   13.31cd: maṇipradīpasaṃkāśaṃ tejas tatra prakāśayet	13.31cd: maNi-pradIpa-saMkASam tejaH tatra prakASayet-
   13.32ab: mantreśeśatvam abhyeti yogī tanmayatāṃ gataḥ	13.32ab: mantreSa-ISa-tvam aByeti yogI tad-maya-tAm gataH
   13.32cd: sabāhyābhyantaraṃ tejo dhyāyan sarvatra tadgataḥ	13.32cd: sa-bAhya-aByantaram tejaH DyAyan sarvatra tad-gataH
   13.33ab: tasmān na cyavate sthānād āsaṃhāram akhaṇḍitaḥ	13.33ab: tasmAt na cyavate sTAnAt AsaMhAram aKaNxitaH
   13.33cd: saṃhāre tu paraṃ śāntaṃ padam abhyeti śāṅkaram	13.33cd: saMhAre tu param SAntam padam aByeti SAFkaram
   13.34ab: ity eṣā pañcadaśadhā kathitā vahnidhāraṇā	13.34ab: iti ezA paQcadaSaDA kaTitA vahni-DAraNA
   13.34cd: svadehaṃ cintayet kṛṣṇaṃ vṛttaṃ ṣaḍbindulāñchitam	13.34cd: sva-deham cintayet kRzNam vRttam zaz-bindu-lAQCitam
   13.35ab: calaṃ sacūcūśabdaṃ ca vāyavīṃ dhāraṇāṃ śritaḥ	13.35ab: calam sa-cUcU-Sabdam ca vAyavIm DAraNAm SritaH
   13.35cd: calatvaṃ kaphajavyādhivicchedād vāyuvad bhavet	13.35cd: cala-tvam kaPa-ja-vya-aDi-vicCedAt vAyu-vat Bavet-
   13.36ab: ṣaṇmāsam abhyased yogī tadgatenāntarātmanā	13.36ab: zaz-mAsam aByaset yogI tad-gatena-antarAtmanA
   13.36cd: yojanānāṃ śataṃ gatvā muhūrtād ety akhedataḥ	13.36cd: yojanAnAm Satam gatvA muhUrtAt eti aKedataH
   13.37ab: vatsarais tu tribhiḥ sākṣād vāyurūpadharo bhavet	13.37ab: vatsarEH tu triBiH sAkzAt vAyu-rUpa-DaraH Bavet-
   13.37cd: cūrṇayaty adrisaṃghātaṃ vṛkṣān unmūlayaty api	13.37cd: cUrNayati adri-saMGAtam vRkzAn unmUlayati api
   13.38ab: kruddhaś cālayate śakraṃ sabhṛtyabalavāhanam	13.38ab: krudDaH cAlayate Sakram sa-BRtya-bala-vAhanam
   13.38cd: nīlāñjananibhaṃ deham ātmīyam anucintayet	13.38cd: nIlAQjana-niBam deham AtmIyam anucintayet-
   13.39ab: pūrvoktaṃ sarvam āpnoti ṣaṇmāsān nātra saṃśayaḥ	13.39ab: pUrva-uktam sarvam Apnoti zaz-mAsAt na-atra saMSayaH
   13.39cd: tryabdāt prapaśyate vāyu tattvaṃ tanmayatāṃ gataḥ	13.39cd: tri-abdAt prapaSyate vAyu tattvam tad-maya-tAm gataH
   13.40ab: bhruvor madhye smared rūpam ātmano 'ñjanasaṃnibham	13.40ab: BruvoH maDye smaret rUpam AtmanaH aQjana-saMniBam
   13.40cd: paśyate vāyutattveśān āśugān akhilān api	13.40cd: paSyate vAyu-tattva-ISAn ASugAn aKilAn api
   13.41ab: ghanāvṛtendranīlābharavibimbasamākṛtim	13.41ab: Gana-AvRta-indranIla-aBara-vibimba-sama-AkRtim
   13.41cd: dhyāyaṃs tatsamatām eti tatsaṃlīno yadā bhavet	13.41cd: DyAyan tad-sama-tAm eti tad-saMlInaH yadA Bavet-
   13.42ab: bhinnendranīlasaṃkāśaṃ sakalaṃ tatra cintayet	13.42ab: Binna-indranIla-saMkASam sakalam tatra cintayet-
   13.42cd: tanmantreśatvam āpnoti tatas tasyeśatām api	13.42cd: tad-mantreSa-tvam Apnoti tatas tasya-ISatAm api
   13.43ab: sarvavyāpini tadvarṇe dhyāte tejasy avāpnuyāt	13.43ab: sarva-vyApini tad-varNe DyAte tejasi avApnuyAt-
   13.43cd: tadāpradhṛṣyatām eti tatrādhordhvavisarpiṇi	13.43cd: tadA-praDRzya-tAm eti tatra-aDorDva-visarpiNi
   13.44ab: itīyaṃ kathitā divyā dhāraṇā vāyusambhavā	13.44ab: iti-iyam kaTitA divyA DAraNA vAyusamBavA
   13.44cd: svadehaṃ vāyuvad dhyātvā tadabhāvam anusmaran	13.44cd: sva-deham vAyu-vat DyAtvA tad-aBAvam anusmaran
   13.45ab: divasaiḥ saptabhir yogī śūnyatāṃ pratipadyate	13.45ab: divasEH saptaBiH yogI SUnyatAm pratipadyate
   13.45cd: māsamātreṇa bhogīndrair api daṣṭo na muhyati	13.45cd: mAsa-mAtreNa Bogi-indrEH api dazwaH na muhyati
   13.46ab: sarvavyādhiparityakto valīpalitavarjitaḥ	13.46ab: sarva-vyADi-parityaktaH valI-palita-varjitaH
   13.46cd: ṣaṇmāsād gaganākāraḥ sūkṣmarandhrair api vrajet	13.46cd: zaz-mAsAt gagana-AkAraH sUkzma-ranDrEH api vrajet-
   13.47ab: vatsaratritayāt sākṣād vyomavac ca bhaviṣyati	13.47ab: vatsara-tritayAt sAkzAt vyoma-vat ca Bavizyati
   13.47cd: icchayaiva mahākāyaḥ sūkṣmadehas tathecchayā	13.47cd: icCayA-eva mahA-kAyaH sUkzma-dehaH taTA-icCayA
   13.48ab: acchedyaś cāpy abhedyaś ca cchidrāṃ paśyati medinīm	13.48ab: acCedyaH ca-api aBedyaH ca cCidrAm paSyati medinIm
   13.48cd: śatapuṣparasocchiṣṭam ūṣāgarbhakhavan nijam	13.48cd: Satapuzpa-rasa-ucCizwam UzA-garBa-Ka-van nijam
   13.49ab: dehaṃ cintayatas tryabdād vyomajñānaṃ prajāyate	13.49ab: deham cintayataH tri-abdAt vyoma-jQAnam prajAyate
   13.49cd: pūrvoktaṃ ca phalaṃ sarvaṃ saptāhādikam āpnuyāt	13.49cd: pUrva-uktam ca Palam sarvam sapta-aha-Adikam ApnuyAt-
   13.50ab: lalāṭe cintayet tadvad dvādaśāṅgulam āyatam	13.50ab: lalAwe cintayet tadvat dvAdaSa-aFgulam Ayatam
   13.50cd: tattattveśān kramāt sarvān prapaśyaty agrataḥ sthitān	13.50cd: tad-tattva-ISAn kramAt sarvAn prapaSyati agratas sTitAn
   13.51ab: rāhugrastendubimbābhaṃ dhyāyaṃs tatsamatāṃ vrajet	13.51ab: rAhu-grasta-indu-bimba-ABam DyAyan tad-sama-tAm vrajet-
   13.51cd: sakalaṃ candrabimbābham tatrastham anucintayet	13.51cd: sakalam candra-bimba-ABam tatrasTam anucintayet-
   13.52ab: tanmantreśatvam āpnoti jyotsnayā cendratām api	13.52ab: tad-mantreSa-tvam Apnoti jyotsnayA ca-indra-tAm api
   13.52cd: tayaivādhovisarpiṇyā sabāhyābhyantaraṃ budhaḥ	13.52cd: tayA-eva-aDas-visarpiNyA sa-bAhya-aByantaram buDaH
   13.53ab: mantreśvareśatām āpya vijñānam atulaṃ labhet	13.53ab: mantreSvara-ISa-tAm Apya vijQAnam atulam laBet-
   13.53cd: tayā cordhvavisarpiṇyā jyotsnayāmṛtarūpayā	13.53cd: tayA ca-UrDva-visarpiNyA jyotsnayA-amRta-rUpayA
   13.54ab: svatantratvam anuprāpya na kva cit pratihanyate	13.54ab: svatantra-tvam anuprApya na kva cit pratihanyate
   13.54cd: ity evaṃ pañcatattvānāṃ dhāraṇāḥ parikīrtitāḥ	13.54cd: iti evam paQca-tattvAnAm DAraNAH parikIrtitAH
   13.55ab: śuddhādyasthā tu saṃvittir bhūtāveśo 'tra pañcadhā	13.55ab: SudDa-Adi-asTA tu saMvittiH BUta-AveSaH atra paQcaDA
   13.55cd: tāsv eva saṃdadhac cittaṃ viṣādikṣaya ātmanaḥ	13.55cd: tAsu eva saMdaDat cittam viza-Adi-kzayaH AtmanaH
   13.56ab: anyasyām api saṃvittau yasyām eva nijecchayā	13.56ab: anyasyAm api saMvittO yasyAm eva nija-icCayA
   13.56cd: cetaḥ samyak sthirīkuryāt tayā tatphalam aśnute	13.56cd: cetaH samyak sTirIkuryAt tayA tad-Palam aSnute
   13.57ab: ekāpi bhāvyamāneyam avāntaravibhedataḥ	13.57ab: ekA-api BAvyamAnA-iyam avAntara-viBedataH
   13.57cd: antarāyatvam abhyeti tatra kuryān na saṃsthitim	13.57cd: antarAya-tvam aByeti tatra kuryAt na saMsTitim
   13.58ab: saṃsthitiṃ tatra kurvanto na prāpsyanty uttamaṃ phalam	13.58ab: saMsTitim tatra kurvantaH na prApsyanti uttamam Palam
   13.58cd: dhāraṇāpañcake siddhe piśācādyā guṇāṣṭakāḥ	13.58cd: DAraNA-paQcake sidDe piSAca-AdyAH guNa-azwakAH
   13.59ab: aindrāntāḥ pañca siddhyanti yogināṃ bhedato 'pi vā	13.59ab: Endra-antAH paQca sidDyanti yoginAm BedataH api vA
   13.59cd: iṣṭāḥ pañcadaśāvasthāḥ krameṇaiva samabhyasan	13.59cd: izwAH paQcadaSa-avasTAH krameNa-eva samaByasan
   13.60ab: tryabdād ādyāṃ prasādhyānyāṃ dvābhyām ekena cāparām	13.60ab: tri-abdAt AdyAm prasADya-anyAm dvAByAm ekena ca-aparAm
   13.60cd: ṣaṇmāsāt pañcabhiś cānyāṃ caturbhis tribhir eva ca	13.60cd: zaz-mAsAt paQcaBiH ca-anyAm caturBiH triBiH eva ca
   13.61ab: dvābhyām ekena pakṣeṇa daśabhiḥ pañcabhir dinaiḥ	13.61ab: dvAByAm ekena pakzeNa daSaBiH paQcaBiH dinEH
   13.61cd: tribhir dvābhyām athaikena vyastecchoḥ pūrvavat kramaḥ	13.61cd: triBiH dvAByAm aTa-ekena vyasta-icCoH pUrvavat kramaH
   13.62ab: śāśvataṃ padam āpnoti bhuktvā siddhiṃ yathepsitām	13.62ab: SASvatam padam Apnoti BuktvA sidDim yaTA-IpsitAm
   iti śrīmālinīvijayottare tantre bhūtajayādhikāras trayodaśaḥ samāptaḥ	iti SrI-mAlinI-vijaya-uttare tantre BUta-jaya-aDikAraH trayodaSaH samAptaH
   tanmātradhāraṇādhikāraś caturdaśaḥ	tanmAtra-DAraNa-aDikAraH caturdaSaH
   14.1ab: atha gandhādipūrvāṇāṃ tanmātrāṇām anukramāt	14.1ab: aTa ganDa-Adi-pUrvANAm tanmAtrANAm anukramAt-
   14.1cd: dhāraṇāḥ saṃpravakṣyāmi tatphalānāṃ prasiddhaye	14.1cd: DAraNAH saMpravakzyAmi tad-PalAnAm prasidDaye
   14.2ab: pītakaṃ gandhatanmātraṃ turyāśraṃ parvasaṃmitam	14.2ab: pItakam ganDa-tanmAtram turya-ASram parva-saMmitam
   14.2cd: nāsārandhrāgragaṃ dhyāyed vajralāñchanalāñchitam	14.2cd: nAsA-ranDra-agra-gam DyAyet vajra-lAQCana-lAQCitam
   14.3ab: daśamād divasād ūrdhvaṃ yogino 'nanyacetasaḥ	14.3ab: daSamAt divasAt UrDvam yoginaH ananya-cetasaH
   14.3cd: kvāpi gandhaḥ samāyāti dvidhābhūto 'py anekadhā	14.3cd: kvApi ganDaH samAyAti dviDA-BUtaH api anekaDA
   14.4ab: tato 'sya ṛtumātreṇa śuddho gandhaḥ sthirībhavet	14.4ab: tatas asya Rtu-mAtreNa SudDaH ganDaH sTirIBavet-
   14.4cd: ṣaḍbhir māsaiḥ svayaṃ gandha maya eva bhaviṣyati	14.4cd: zaxBiH mAsEH svayam ganDa mayaH eva Bavizyati
   14.5ab: yo yatra rocate gandhas taṃ tatra kurute bhṛśam	14.5ab: yaH yatra rocate ganDaH tam tatra kurute BRSam
   14.5cd: tryabdāt siddhim avāpnoti prepsitāṃ pāñcabhautikīm	14.5cd: tri-abdAt sidDim avApnoti prepsitAm pAQcaBOtikIm
   14.6ab: tadūrdhvam ātmano rūpaṃ tatra saṃcintayed yadi	14.6ab: tad-UrDvam AtmanaH rUpam tatra saMcintayet yadi
   14.6cd: gandhāvaraṇavijñānaṃ tribhir abdair avāpnuyāt	14.6cd: ganDa-AvaraNa-vijQAnam triBiH abdEH avApnuyAt-
   14.7ab: īṣaddīptiyutaṃ tatra tanmaṇḍalavivarjitam	14.7ab: Izat-dIpti-yutam tatra tad-maNxala-vivarjitam
   14.7cd: dhyāyan prapaśyate sarvān gandhāvaraṇavāsinaḥ	14.7cd: DyAyan prapaSyate sarvAn ganDa-AvaraNa-vAsinaH
   14.8ab: dharātattvoktabimbābhaṃ tatraivam anucintayan	14.8ab: DarA-tattva-ukta-bimba-ABam tatra-evam anucintayan
   14.8cd: tatsamānatvam abhyeti pūrvavad dvitaye sthire	14.8cd: tad-samAna-tvam aByeti pUrvavat dvitaye sTire
   14.9ab: svarūpaṃ tatra saṃcintya bhāsayantam adhaḥsthitam	14.9ab: svarUpam tatra saMcintya BAsayantam aDas-sTitam
   14.9cd: tadīśatvam avāpnoti pūrvoktenaiva vartmanā	14.9cd: tad-ISa-tvam avApnoti pUrva-uktena-eva vartmanA
   14.10ab: dharātattvoktavat sarvam ata ūrdhvam anusmaran	14.10ab: DarA-tattva-ukta-vat sarvam atas UrDvam anusmaran
   14.10cd: tadrūpaṃ phalam āpnoti gandhāvaraṇasaṃsthitam	14.10cd: tad-rUpam Palam Apnoti ganDa-AvaraNa-saMsTitam
   14.11ab: rasarūpām ato vakṣye dhāraṇāṃ yogisevitām	14.11ab: rasa-rUpAm atas vakzye DAraNAm yogi-sevitAm
   14.11cd: yayā sarvarasāvāptir yoginaḥ saṃprajāyate	14.11cd: yayA sarva-rasa-avAptiH yoginaH saMprajAyate
   14.12ab: jalabudbudasaṃkāśaṃ rājanāḍyagrasaṃsthitaṃ	14.12ab: jala-budbuda-saMkASam rAjanAxI-agra-saMsTitam
   14.12cd: cintayed rasatanmātraṃ jihvāgrādhāram ātmanaḥ	14.12cd: cintayet rasa-tanmAtram jihvA-agra-ADAram AtmanaH
   14.13ab: suśītaṃ ṣaḍrasaṃ snigdhaṃ tadgatenāntarātmanā	14.13ab: suSItam zaz-rasam snigDam tad-gatena-antarAtmanA
   14.13cd: tato 'sya māsamātreṇa rasāsvādaḥ pravartate	14.13cd: tatas asya mAsa-mAtreNa rasa-AsvAdaH pravartate
   14.14ab: lavaṇādīn parityajya yadā madhuratāṃ gataḥ	14.14ab: lavaNa-AdIn parityajya yadA maDura-tAm gataH
   14.14cd: tadā tan nigiran yogī ṣaṇmāsān mṛtyujid bhavet	14.14cd: tadA tat nigiran yogI zaz-mAsAt mRtyu-jit Bavet-
   14.15ab: jarāvyādhivinirmuktaḥ kṛṣṇakeśo 'cyutadyutiḥ	14.15ab: jarA-vyADi-vinirmuktaH kRzNa-keSaH acyuta-dyutiH
   14.15cd: jīved ācandratārārkam abhyasyaṃś ca kva cit kva cit	14.15cd: jIvet AcandratArA-arkam aByasyan ca kva cit kva cit-
   14.16ab: pūrvoktabudbudākāraṃ svarūpam anucintayan	14.16ab: pUrva-ukta-budbuda-AkAram sva-rUpam anucintayan
   14.16cd: nīrāvaraṇavijñānam āpnotīti kim adbhutam	14.16cd: nIrAvaraNa-vijQAnam Apnoti-iti kim adButam
   14.17ab: tam eva dyutisaṃyuktaṃ dhyāyann ādhāravarjitam	14.17ab: tam eva dyuti-saMyuktam DyAyan ADAra-varjitam
   14.17cd: paśyate vatsaraiḥ sarvaṃ rasāvaraṇam āśritam	14.17cd: paSyate vatsarEH sarvam rasa-AvaraNam ASritam
   14.18ab: jalatattvoktabimbādi tadūrdhvam anucintayan	14.18ab: jala-tattva-ukta-bimba-Adi tad-UrDvam anucintayan
   14.18cd: pūrvoktaṃ sarvam āpnoti rasāvaraṇajaṃ sphuṭam	14.18cd: pUrva-uktam sarvam Apnoti rasa-AvaraNa-jam sPuwam
   14.19ab: ato rūpavatīṃ vakṣye divyadṛṣṭipradāṃ śubhām	14.19ab: atas rUpavatIm vakzye divya-dRzwi-pradAm SuBAm
   14.19cd: dhāraṇāṃ sarvasiddhyarthaṃ rūpatanmātram āśritām	14.19cd: DAraNAm sarva-sidDi-arTam rUpa-tanmAtram ASritAm
   14.20ab: ekāntastho yadā yogī bahirmīlitalocanaḥ	14.20ab: ekAnta-sTaH yadA yogI bahis-mIlita-locanaH
   14.20cd: śaratsaṃdhyābhrasaṃkāśaṃ yat tat kiṃ cit prapaśyati	14.20cd: Sarad-saMDyA-aBra-saMkASam yat tat kim cit prapaSyati
   14.21ab: tatra cetaḥ samādhāya yāvad āste daśāhnikam	14.21ab: tatra cetaH samADAya yAvat Aste daSa-Ahnikam
   14.21cd: tāvat sa paśyate tatra bindūn sūkṣmatamān api	14.21cd: tAvat sa paSyate tatra bindUn sUkzmatamAn api
   14.22ab: ke cit tatra sitā raktāḥ pītā nīlās tathāpare	14.22ab: ke cit tatra sitAH raktAH pItAH nIlAH taTA-apare
   14.22cd: tān dṛṣṭvā teṣu saṃdadhyān mano 'tyantam ananyadhīḥ	14.22cd: tAn dRzwvA tezu saMdaDyAt manaH atyantam ananyaDIH
   14.23ab: ṣaṇmāsāt paśyate teṣu rūpāṇi subahūni ca	14.23ab: zaz-mAsAt paSyate tezu rUpANi su-bahUni ca
   14.23cd: tryabdāt tāny eva tejobhiḥ pradīptāni sthirāṇi ca	14.23cd: tri-abdAt tAni eva tejoBiH pradIptAni sTirANi ca
   14.24ab: tāny abhyasyaṃs tato dvyabdād bimbākārāṇi paśyati	14.24ab: tAni aByasyan tatas dvi-abdAt bimba-AkArANi paSyati
   14.24cd: tato 'bdāt paśyate tejaḥ ṣaṇmāsāt puruṣākṛti	14.24cd: tatas abdAt paSyate tejaH zaz-mAsAt puruza-AkRti
   14.25ab: trimāsād vyāpakaṃ tejo māsāt sarvaṃ visarpitam	14.25ab: tri-mAsAt vyApakam tejaH mAsAt sarvam visarpitam
   14.25cd: kālakramāc ca pūrvoktaṃ rūpāvaraṇam āśritam	14.25cd: kAla-kramAt ca pUrva-uktam rUpa-AvaraNam ASritam
