   || śrīḥ ||	|| SrIH ||
   saṃyogaśabdasparśarasarūpagandhasaṅkalpasmṛtidharmaphalatyāgādyaṣṭāṅgaṃ	saMyoga-Sabda-sparSa-rasa-rUpa-ganDa-saFkalpa-smRti-Darma-Pala-tyAga-Adi-azwa-aFgam
   brahmacaryam iti | anyac ca | brahmabījaṃ retas tac carati na muñcatīti	brahmacaryam iti | anyat ca | brahma-bIjam retaH tat carati na muQcati-iti
   brahmacārī | brahma vedaṃ vā guruṇā pradattaṃ caratīti | brahmā svayambhūs	brahmacArI | brahma vedam vA guruNA pradattam carati-iti | brahmA svayamBU-H-
   tasyāyaṃ daṇḍakamaṇḍaludhāraṇādirūpa ākāro brahmavac caratīti vā | evam	tasya-ayam daNxaka-maNxalu-DAraNa-Adi-rUpaH AkAraH brahma-vat carati-iti vA | evam
   arjanakrayavikrayādikalpanābhedānām anupādānaṃ sarvathā sarvasyāsvīkaraṇam	arjana-kraya-vikraya-Adi-kalpanA-BedAnAm anupAdAnam sarvaTA sarvasya-asvIkaraNam
   aparigrahaḥ | iti pañca yamāḥ | yaś cendriyāṇām antaḥkaraṇoparamas tac	aparigrahaH | iti paQca yamAH | yaH ca-indriyANAm antaHkaraNa-uparamaH tat-
   chaucaṃ bāhyaṃ mṛjjalādinā |	COcam bAhyam mRd-jala-AdinA |
   "abhakṣyaparihāras tu saṃsargaś cāpy acintitaiḥ /	"aBakzya-parihAraH tu saMsargaH ca-api acintitEH /
   svadharme ca vyavasthānaṃ śaucam etat prakīrtitam" //	svaDarme ca vyavasTAnam SOcam etat prakIrtitam" //
   tathā yad bhaikṣārjitena haviṣā prāṇayātrā | ādhyātmikasyāgner	taTA yat BEkza-arjitena havizA prANa-yAtrA | ADyAtmikasya-agneH-
   mantragṛhītena homaḥ kartavyaḥ | ahany ahani yajñaśeṣāśanārtham etad	mantra-gRhItena homaH kartavyaH | ahani ahani yajQa-Seza-aSana-arTam etat-
   āhāralāghavaṃ santoṣaḥ | "sa yāṃ prathamām āhutiṃ juhuyāt prāṇāya	AhAra-lAGavam santozaH | "sa yAm praTamAm Ahutim juhuyAt prANAya
   svāhā"(chāndogyopaniṣad 5 |19 |1) ity ārabhya "sa ya idam avidvān	svAhA"(-CAnda-ugya-upanizad 5 |19 |1) iti AraBya "sa yaH idam avidvAn
   agnihotraṃ juhoti yathāṅgārān apohya bhasmani hutaṃ(juhuyāt?) tādṛk tat	agnihotram juhoti yaTA-aFgArAn apohya Basmani hutan(juhuyAt?) tAdRS tat-
   syāt" (chāndogyopaniṣad 5 |24 |1) iti śruteḥ | tapaḥ kṛcchracāndrāyaṇādi	syAt" (CAnda-ugya-upanizad 5 |24 |1) iti SruteH | tapaH kRcCra-cAndrAyaNa-Adi
   śarīraśoṣaṇarūpam |	SarIra-SozaNa-rUpam |
   "viṣayā vinivartante nirāhārasya dehinaḥ |" (bhagavadgītā 2 |59)	"vizayAH vinivartante nirAhArasya dehinaH |" (Bagavat-gItAH 2 |59)
   iti smaraṇāt | nātapasvino yogaḥ siddhyati | anādivāsanāvicitrā	iti smaraNAt | na-atapasvinaH yogaH sidDyati | anAdi-vAsanA-vicitrA
   pratyupasthitaviṣayajālā cāśuddhir nāntareṇa tapaḥ sambhedam āpadyata iti	pratyupasTita-vizaya-jAlA ca-aSudDiH na-antareNa tapaH samBedam Apadyate iti
   tapasa upādānam | tac ca cittaprasādanam abādhamānam āsevyam iti manyante	tapasaH upAdAnam | tat ca citta-prasAdanam abADamAnam Asevyam iti manyante
   | svādhyāyaḥ praṇavādipavitrāṇāṃ japaḥ | īśvarapraṇidhānaṃ kriyāṇāṃ	| svADyAyaH praNava-Adi-pavitrANAm japaH | ISvara-praNiDAnam kriyANAm
   paramagurāv arpaṇaṃ tatphalasaṃnyāso vā | "brahmārpaṇaṃ	parama-gurO arpaNam tad-Pala-saMnyAsaH vA | "brahma-arpaNam
   brahmahaviḥ(bhagavadgītā 4 |24)" iti, "anāśritaḥ karmaphalam(bhagavadgītā	brahma-haviH(Bagavat-gItA 4 |24)" iti, "ana-ASritaH karma-Palam-(BagavadgItA
   6 |1)" iti śravaṇāt | ity amīṣāṃ yamaniyamādīnāṃ sevanāt	6 |1)" iti SravaNAt | iti amIzAm yama-niyama-AdInAm sevanAt-
   "ahiṃsāpratiṣṭhāyāṃ tatsannidhau vairatyāgaḥ"(pātañjalayogasūtra 2 |35)	"ahiMsA-pratizWAyAm tad-sanniDO vEra-tyAgaH-"(pAtaQjala-yoga-sUtraH 2 |35)
   ityādyāḥ siddhayaḥ | vaiparītye tu "vitarkabādhane	ityAdyAH sidDayaH | vEparItye tu "vitarka-bADane
   pratipakṣabhāvanam"(pātañjalayogasūtra 2 |33), "vitarkā hiṃsādayaḥ	pratipakza-BAvanam"(-pAtaQjala-yoga-sUtraH 2 |33), "vitarkAH hiMsA-AdayaH
   kṛtakāritānumoditā lobhakrodhamohapūrvakā duḥkhājñānānantaphalā iti	kRta-kArita-anumoditAH loBa-kroDa-moha-pUrvakAH duHKa-ajQAna-ananta-PalAH iti
   pratipakṣabhāvanam"(pātañjalayogasūtra 2 |34)(p.29) evaṃ ca vartamānasya	pratipakza-BAvanam"(-pAtaQjala-yoga-sUtraH 2 |34)(p.29) evam ca vartamAnasya
   yoginaḥ "sthānyupanimantraṇe saṅgasmayākaraṇaṃ punar	yoginaH "sTAni-upanimantraNe saFga-smayA-karaNam punar-
   aniṣṭaprasaṅgāt"(pātañjalayogasūtra 3 |51) iti bhikṣor ete yamaniyamāḥ |	anizwa-prasaFga-at"(-pAtaQjala-yoga-sUtraH 3 |51) iti BikzoH ete yama-niyamAH |
   ebhir yamaniyamair vā sādhyate sa dharmo vyākhyātaḥ | adhunā jñānam āha	eBiH yama-niyamEH vA sADyate sa DarmaH vyAKyAtaH | aDunA jQAnam Aha
   --- jñānaṃ dvividham | bāhyam ābhyantaraṃ ca | tatra bāhyam ---	-- jQAnam dviviDam | bAhyam AByantaram ca | tatra bAhyam ---
   vīṇāpaṇavagandharvacitrakathāgaṇitavyākaraṇaśāstrāṇi | ābhyantaram ---	vINA-paNava-ganDarva-citra-kaTA-gaNita-vyAkaraNa-SAstrANi | AByantaram ---
   guṇapuruṣāntaropalabdhilakṣaṇam | anye guṇāḥ sattvarajastamāṃsi anyaḥ	guNa-puruza-antara-upalabDi-lakzaNam | anye guNAH sattva-rajaH-tamAMsi anyaH
   puruṣa iti | bāhyena jñānena lokopapattir ābhyantareṇa mokṣa iti | etat	puruzaH iti | bAhyena jQAnena loka-upapattiH AByantareNa mokzaH iti | etat-
   jñānaṃ viṣayoparamāt | vairāgyam āha ---	jQAnam vizaya-uparamAt | vErAgyam Aha ---
   arjanarakṣaṇakṣayātṛptihiṃsādidoṣān dṛṣṭvā yo viṣayebhyo viraktas tasya	arjana-rakzaNa-kzaya-atRpti-hiMsA-Adi-dozAn dRzwvA yaH vizayeByaH viraktaH tasya
   mokṣo nāstīti | ābhyantareṇa jñānapūrvakeṇa vairāgyeṇa mokṣo bhavati	mokzaH na-asti-iti | AByantareNa jQAna-pUrvakeNa vErAgyeNa mokzaH Bavati
   bāhyena saṃsāra iti | aiśvaryaṃ īśvarabhāvenety aṣṭavidham | aṇimā laghimā	bAhyena saMsAraH iti | ESvaryam ISvara-BAvena-iti azwaviDam | aNimA laGimA
   garimā mahimā prāptiḥ prākāmyam īśitvaṃ vaśitvaṃ yatrakāmāvasāyitvam iti |	garimA mahimA prAptiH prAkAmyam ISitvam vaSitvam yatra-kAma-AvasAyi-tvam iti |
   etāni dharmādīni catvāri sāttvikarūpāṇi buddheḥ | yadā sattvena	etAni Darma-AdIni catvAri sAttvika-rUpANi budDeH | yadA sattvena
   rajastamasī abhibhūte stas tadā sattvodriktaḥ pumān etān guṇān āpnoti |	rajaH-tamasI aBiBUte staH tadA sattva-udriktaH pumAn etAn guNAn Apnoti |
   kiṃ cānyat | tāmasam asmāt viparyastam | asmāt sāttvikād dharmāder	kim ca-anyat | tAmasam asmAt viparyastam | asmAt sAttvikAt Darma-AdeH-
   viparyastaṃ viparītam adharmājñānādyaṃ caturdhā buddhe rūpaṃ tāmasam | ye	viparyastam viparItam aDarma-ajQAna-Adyam caturDA budDe rUpam tAmasam | ye
   hiṃsādayo vitarkā ekāśītibhedāḥ | pṛthag daśāpi yamaniyamādyāḥ | tathā	hiMsA-AdayaH vitarkAH ekASIti-BedAH | pRTak daSA-api yama-niyama-AdyAH | taTA
   adharmo 'jñānam avairāgyam anaiśvaryam ity aṣṭadhā sāttvikatāmasabhedā	aDarmaH ajQAnam avErAgyam anESvaryam iti azwaDA sAttvika-tAm-asa-BedA
   buddhiḥ | asyā evam vidhāyā buddher ahaṅkāro jāyate // SkMv_23 //	budDiH | asyAH evam viDAyAH budDeH ahaFkAraH jAyate // SkMu-_23 //
   idānīm ahaṅkārasya lakṣaṇaṃ vyākhyāsyāmaḥ | tad ucyate ---	idAnIm ahaFkArasya lakzaNam vyAKyAsyAmaH | tat ucyate ---
   abhimāno 'haṅkāras tasmād dvividhaḥ pravartate sargaḥ /	aBimAnaH ahaFkAraH tasmAt dviviDaH pravartate sargaH /
   aindriya ekādaśakas tanmātrapañcakaś caiva // ISk_24 //	EndriyaH ekAdaSakaH tanmAtra-paQcakaH ca-eva // ISc-_24 //
   (p.30)	(p.30)
   abhimāno 'haṅkāra iti | rūpe aham rase aham gandhe aham, ahaṃ vidvān, ahaṃ	aBimAnaH ahaFkAraH iti | rUpe aham rase aham ganDe aham, aham vidvAn, aham
   darśanīya ityevamādy abhimāno 'haṅkāraḥ | tasmāt abhimānalakṣaṇād	darSanIyaH iti-evamAdi aBimAnaH ahaFkAraH | tasmAt aBimAna-lakzaNAt-
   ahaṅkārād dvividhaḥ pravartate sargaḥ | sarga iti sṛṣṭeḥ paryāyaḥ | kaś	ahaFkArAt dviviDaH pravartate sargaH | sargaH iti sRzweH paryAyaH | kaS
   cāsau sargaḥ? tad ucyate | aindriya ekādaśakaḥ | śrotrādīnīndriyāṇi	ca-asO sargaH? tat ucyate | EndriyaH ekAdaSakaH | Srotra-AdIni-indriyANi
   manaḥparyantāni | tanmātrapañcakaś caiva | tanmātrāṇy atra śabdādīni	manaH-paryantAni | tanmAtra-paQcakaH ca-eva | tanmAtrANi atra Sabda-AdIni
   gandhaparyantāni | evam ekādaśendriyāṇi pañcatanmātrāṇi cotpannāni //	ganDa-paryantAni | evam ekAdaSa-indriyANi paQca-tanmAtrANi ca-utpannAni //
   SkMv_24 //	SkMu-_24 //
   atrāha --- trividho 'haṅkāras taṃ vyākhyāsyāmaḥ | tatra katarasmād	atra-Aha -- triviDaH ahaFkAraH tam vyAKyAsyAmaH | tatra katarasmAt-
   ahaṅkārād indriyāṇy utpadyante, katarasmād vā tanmātrāṇīti | atrocyate ---	ahaFkArAt indriyANi utpadyante, katarasmAt vA tanmAtrANi-iti | atra-ucyate ---
   sāttvika ekādaśakaḥ pravartate vaikṛtād ahaṅkārāt /	sAttvikaH ekAdaSakaH pravartate vEkRtAt ahaFkArAt /
   bhūtādes tanmātraḥ sa tāmasas taijasād ubhayam // ISk_25 //	BUtAdeH tanmAtraH sa tAmasaH tEjasAt uBayam // ISc-_25 //
   sāttvika iti | yadā sattvam utkaṭaṃ bhavati ahaṅkāre tena ca sattvena	sAttvikaH iti | yadA sattvam utkawam Bavati ahaFkAre tena ca sattvena
   rajastamasī abhibhūte syātāṃ tadā sāttviko 'haṅkāra ucyate | tasya	rajaH-tamasI aBiBUte syAtAm tadA sAttvikaH ahaFkAraH ucyate | tasya
   sāttvikasya vaikṛtika iti pūrvācāryaiḥ saṃjñā kṛtā | sa vaikṛtiko bhūtvā	sAttvikasya vEkRtikaH iti pUrva-AcAryEH saMjQA kRtA | sa vEkRtikaH BUtvA
   ahaṅkāra ekādaśendriyāṇi utpādayati | tasmāt sāttvikānīmāni viśuddhāni	ahaFkAraH ekAdaSa-indriyANi utpAdayati | tasmAt sAttvikAni-imAni viSudDAni
   svaviṣayagrahaṇasamarthāni bhavanti | tasmād ucyate --- "sāttvika	sva-vizaya-grahaNa-samarTAni Bavanti | tasmAt ucyate -- "sAttvika
   ekādaśakaḥ pravartate vaikṛtād ahaṅkārāt" iti | bhūtādes tanmātrāḥ |	ekAdaSakaH pravartate vEkRtAt ahaFkAra-at" iti | BUtAdeH tanmAtrAH |
   bhūtādes tamobāhulyād gauṇībhūtasattvarajaso bhūtādināmnaḥ pūrvācāryair	BUtAdeH tamaH-bAhulyAt gONIBUta-sattva-rajasaH BUtAdi-nAmnaH pUrva-AcAryEH-
   nirūpitād ahaṅkārāt tanmātraḥ śabdādipañcako gaṇo jāyate |	nirUpitAt ahaFkArAt tanmAtraH Sabda-Adi-paQcakaH gaNaH jAyate |
   abhibhūtasattvatamaso rājasāt taijasābhidhānād ahaṅkārāt pravṛttikarmaṇa	aBiBUta-sattva-tamasaH rAjasAt tEjasa-aBiDAnAt ahaFkArAt pravRtti-karmaNa
   ubhayaṃ prakāśātmakam ekādaśendriyakaṃ mohātmakaṃ tanmātrikaṃ cāsīd iti	uBayam prakASa-Atmakam ekAdaSa-indriyakam moha-Atmakam tat-mAtrikam ca-AsIt iti
   sambandhaḥ | taijasa eva rājase 'haṅkāre kriyāśaktir asti | sattvaṃ	sambanDaH | tEjasaH eva rAjase ahaFkAre kriyASaktiH asti | sattvam
   niṣkriyam ekāki na śaknoty utpādayitum | tamaś ca mūḍhatvād akriyam	nizkriyam ekAki na Saknoti utpAdayitum | tamaH ca mUXa-tvAt akriyam
   asamarthaṃ vinā rajaḥ sṛṣṭim utpādayitum | ata ubhe sattvatamasī	asamarTam vinA rajaH sRzwim utpAdayitum | atas uBe sattva-tamasI
   sṛṣṭiviṣaye rajasānugṛhīte aindriyakaṃ tānmātrikaṃ ca gaṇadvayaṃ janayata	sRzwi-vizaye rajasA-anugRhIte Endriyakam tAn-mAtrikam ca gaNa-dvayam janayata
   iti tātparyārthaḥ // SkMv_25 //	iti tAtparya-arTaH // SkMu-_25 //
   tatra kāni buddhīndriyāṇi kāni karmendriyāṇīti? ucyate ---	tatra kAni budDIndriyANi kAni karmendriyANi-iti? ucyate ---
   buddhīndriyāṇi śrotratvakcakṣūrasananāsikākhyāni /	budDIndriyANi Srotra-tvac-cakzU-rasana-nAsikA-AKyAni /
   (p.31)	(p.31)
   vākpāṇipādapāyūpasthān karmendriyāṇy āhuḥ // ISk_26 //	vAc-pANi-pAda-pAyu-upasTAn karmendriyANi AhuH // ISc-_26 //
   śrotrādīni buddhīndriyāṇīti ucyante | śabdasparśarūparasagandhān	Srotra-AdIni budDIndriyANi-iti ucyante | Sabda-sparSa-rUpa-rasa-ganDAn
   buddhyanta iti buddhīndriyāṇi | indriyāṇy eva tānīndriyāṇi | in iti	budDi-ante iti budDIndriyANi | indriyANi eva tAni-indriyANi | id iti
   viṣayāṇāṃ nāma, tāninaḥ viṣayān prati dravantīti indriyāṇi |	vizayANAm nAma, tAninaH vizayAn prati dravanti-iti indriyANi |
   vākpāṇipādapāyūpasthān karmendriyāṇy āhuḥ | karma kurvanti kārayanti ca |	vAc-pANi-pAda-pAyu-upasTAn karmendriyANi AhuH | karma kurvanti kArayanti ca |
   karmendriyāṇāṃ vṛttiḥ | vāk vadatikarma, hastau grahaṇakarmāṇau, pādau	karmendriyANAm vRttiH | vAc vadati-karma, hastO grahaNa-karmANO, pAdO
   viṣamasamanimnonnatabhūpradeśeṣu krāmataḥ, pāyur yathābhuktānnodakamalam	vizama-sama-nimna-unnata-BU-pradeSezu krAmataH, pAyuH yaTA-aBuktAn-na-udaka-malam
   utsṛjati, upastha ānandaṃ karoti putram utpādayatīty arthaḥ | evam etāḥ	utsRjati, upasTaH Anandam karoti putram utpAdayati-iti arTaH | evam etAH
   karmendriyāṇāṃ vṛttayo vyākhyātāḥ // SkMv_26 //	karmendriyANAm vRttayaH vyAKyAtAH // SkMu-_26 //
   atrāha --- mana indriyaṃ tat kiṃ lakṣaṇam iti | atrocyate ---	atra-Aha -- manaH indriyam tat kim lakzaNam iti | atra-ucyate ---
   ubhayātmakam atra manaḥ saṅkalpakam indriyaṃ ca sādharmyāt /	uBaya-Atmakam atra manaH saFkalpakam indriyam ca sADarmyAt /
   guṇapariṇāmaviśeṣān nānātvaṃ grāhyabhedāc ca // ISk_27 //	guNa-pariNAma-viSezAt nAnAtvam grAhya-BedAt ca // ISc-_27 //
   ubhayātmakam atra manaḥ | karmendriyeṣu karmendriyam, buddhīndriyeṣu	uBaya-Atmakam atra manaH | karmendriyezu karmendriyam, budDIndriyezu
   buddhīndriyam | yathā devadatto gopālamadhye sthito gopālatvaṃ kurute	budDIndriyam | yaTA devadattaH gopAla-maDye sTitaH gopAla-tvam kurute
   mallamadhye sthito mallatvaṃ kurute | kasmāt? yasmād buddhīndriyāṇāṃ	malla-maDye sTitaH malla-tvam kurute | kasmAt? yasmAt budDIndriyANAm
   vṛttiṃ saṅkalpayati karmendriyāṇāṃ ca | tasmād ubhayātmakaṃ manaḥ | kiṃ	vRttim saFkalpayati karmendriyANAm ca | tasmAt uBaya-Atmakam manaH | kim
   cānyat | indriyaṃ ca sādharmyāt | sahadharmasya bhāvaḥ sādharmyam | yasmāt	ca-anyat | indriyam ca sADarmyAt | saha-Darmasya BAvaH sADarmyam | yasmAt-
   karmendriyāṇi buddhīndriyāṇi ca sāttvikād ahaṅkārād utpadyante, mano 'pi	karmendriyANi budDIndriyANi ca sAttvikAt ahaFkArAt utpadyante, manaH api
   tasmād eva utpadyate | tasmād indriyaṃ manaḥ | tatra manasaḥ kā vṛttiḥ?	tasmAt eva utpadyate | tasmAt indriyam manaH | tatra manasaH kA vRttiH?
   saṅkalpo vṛttiḥ | buddhīndriyāṇāṃ śabdādayo vṛttayaḥ, karmendriyāṇāṃ	saFkalpaH vRttiH | budDIndriyANAm Sabda-AdayaH vRttayaH, karmendriyANAm
   vacanādayaḥ | evam ekādaśendriyāṇi saha vṛttibhir vyākhyātāni | atrāha ---	vacana-AdayaH | evam ekAdaSa-indriyANi saha vRttiBiH vyAKyAtAni | atra-Aha ---
   ekādaśendriyāṇi kena kṛtāni puruṣeṇa īśvareṇa āhosvit svabhāveneti kuta	ekAdaSa-indriyANi kena kRtAni puruzeNa ISvareNa Ahosvit svaBAvena-iti kuta
   iyam āśaṅketi cet, imāny ekādaśendriyāṇi ekādaśaviṣayagrāhakāṇi bhavanti |	iyam ASaFka-iti cet, imAni ekAdaSa-indriyANi ekAdaSa-vizaya-grAhakANi Bavanti |
   tatrāntaḥkaraṇapradhānabuddhyahaṅkārādyacetanam | tataś ca nūnaṃ cetanena	tatra-antaHkaraNa-praDAna-budDi-ahaFkAra-Adi-acetanam | tatas ca nUnam cetanena
   puruṣeṇeśvareṇa vā svabhāveneti | atrocyate --- guṇapariṇāmaviśeṣān	puruzeNa-ISvareNa vA svaBAvena-iti | atra-ucyate -- guNa-pariNAma-viSezAn
   nānātvaṃ grāhyabhedāc ca | sattvādayas trayo guṇās te yathā pariṇamanti	nAnAtvam grAhya-BedAt ca | sattva-AdayaH trayaH guNAH te yaTA pariNamanti
   tasmād guṇapariṇāmaviśeṣād imāny ekādaśendriyāṇi nānā | tadarthāni	tasmAt guNa-pariNAma-viSezAt imAni ekAdaSa-indriyANi nAnA | tad-arTAni
   bhinnāni | śabdasparśarūparasagandhāḥ pañcānāṃ,	BinnAni | Sabda-sparSa-rUpa-rasa-ganDAH paQcAnAM,
   vacanādānaviharaṇotsargānandāḥ pañcānāṃ, saṅkalpaś ca manasaḥ | eteṣām eva	vacana-AdAna-viharaNa-utsarga-AnandAH paQcAnAM, saFkalpaH ca manasaH | etezAm eva
   ekādaśānām indriyāṇi grāhakāṇī bhaviṣyanti |(p.32) athaitan nānātvaṃ	ekAdaSAnAm indriyANi grAha-kANI Bavizyanti |(p.32) aTa-etat nAnA-tvam
   neśvareṇa na buddhyā nāhaṅkāreṇa na pradhānena na puruṣeṇa na svabhāvena	na-ISvareNa na budDyA na-ahaFkAreNa na praDAnena na puruzeNa na svaBAvena
   kṛtam, guṇapariṇāmeneti | yady api uktam acetanānāṃ guṇānāṃ vṛttir	kRtam, guNa-pariNAmena-iti | yadi api uktam acetanAnAm guNAnAm vRttiH-
   ayukteti | tan na | kasmād iti cet, tad ucyate | acetanānām api pravṛttir	ayuktA-iti | tat na | kasmAt iti cet, tat ucyate | acetanAnAm api pravRttiH-
   dṛṣṭā | vakṣyati hi ---	dRzwAH | vakzyati hi ---
   "vatsavivṛddhinimittaṃ kṣīrasya yathā pravṛttir ajñasya /	"vatsa-vivRdDi-nimittam kzIrasya yaTA pravRttiH ajQasya /
   puruṣasya vimokṣārthaṃ tathā pravṛttiḥ pradhānasya" //	puruzasya vimokza-arTam taTA pravRttiH praDAnasya" //
   (sāṅkhyakārikā 57) iti |	(sA-aFKya-kArikAH 57) iti |
   tasmād acetanā api guṇā ekādaśendriyabhāvena pariṇamanti | atrāha ---	tasmAt acetanAH api guNAH ekAdaSa-indriya-BAvena pariNamanti | atra-Aha ---
   gṛhṇīmas tāvad ekādaśendriyāṇy ahaṅkārād utpannānīti | eteṣām indriyāṇāṃ	gRhNImaH tAvat ekAdaSa-indriyANi ahaFkArAt utpannAni-iti | etezAm indriyANAm
   yathāsthānanikṣepaḥ kena kṛtaḥ | cakṣur uccaiḥ sanniviṣṭaṃ dūrālokane	yaTAsTAna-nikzepaH kena kRtaH | cakzuH uccEs sannivizwam dUra-Alokane
   samarthaṃ bhaviṣyatīti | śiraḥpradeśe śrotraṃ sanniviṣṭaṃ dūrāc	samarTam Bavizyati-iti | SiraH-pradeSe Srotram sannivizwam dUrAt-
   śravaṇasamarthaṃ bhaviṣyatīti | tvak śarīrābhyantare bahiś ca sanniviṣṭā	SravaNa-samarTam Bavizyati-iti | tvac SarIra-aByantare bahis ca sannivizwA
   nānāsparśagrahaṇasamarthā bhaviṣyatīti | jihvā antarmukhaṃ sanniviṣṭā	nAnA-sparSa-grahaNa-samarTA Bavizyati-iti | jihvA antarmuKam sannivizwA
   nānārasagrahaṇasamarthā bhaviṣyatīti | evaṃ nāsikā vāk | evam indriyāṇāṃ	nAnA-rasa-grahaNa-samarTA Bavizyati-iti | evam nAsikA vAc | evam indriyANAm
   nikṣepaḥ puruṣeṇa vā kṛta īśvareṇa vā svabhāvena veti | atrocyate --- iha	nikzepaH puruzeNa vA kRtaH ISvareNa vA svaBAvena vA-iti | atra-ucyate -- iha
   sāṅkhye puruṣeśvarasvabhāvā na kāraṇam | kiṃ tarhi --- asminn ahaṅkāre	sAFKye puruza-ISvara-svaBAvAH na kAraNam | kim tarhi -- asmin ahaFkAre
   sthitaiḥ sattvarajastamobhis tribhir guṇair nikṣepaḥ kṛtaḥ | tasmād brūmaḥ	sTitEH sattva-rajaH-tamoBiH triBiH guNEH nikzepaH kRtaH | tasmAt brUmaH
   --- "guṇapariṇāmaviśeṣān nānātvaṃ grāhyabhedāc ca" | guṇapariṇāmaviśeṣād	-- "guNa-pariNAma-viSezAt nAnAtvam grAhya-BedAt ca" | guNa-pariNAma-viSezAt-
   ekādaśendriyāṇāṃ bhedaḥ | grāhyabhedāc ca | grāhyā ekādaśendriyārthās	ekAdaSa-indriyANAm BedaH | grAhya-BedAt ca | grAhyA ekAdaSa-indriya-arTAH-
   teṣāṃ bhedād apīndriyāṇāṃ bhedaḥ // SkMv_27 //	tezAm BedAt api-indriyANAm BedaH // SkMu-_27 //
   atrāha --- kā kasya vṛttiḥ? ucyate ---	atra-Aha -- kA kasya vRttiH? ucyate ---
   rūpādiṣu pañcānām ālocanamatram iṣyate vṛttiḥ /	rUpa-Adizu paQcAnAm Alocana-m-atram izyate vRttiH /
   vacanādānaviharaṇotsargānandās tu pañcānām // ISk_28 //	vacana-AdAna-viharaNa-utsarga-AnandAH tu paQcAnAm // ISc-_28 //
   mātraśabdo viśeṣārthaḥ | yathā bhikṣāmātraṃ labhyate nānyo viśeṣaḥ | tathā	mAtra-SabdaH viSeza-arTaH | yaTA BikzA-mAtram laByate na-anyaH viSezaH | taTA
   cakṣuḥ | gatārthe ālocanamātram iti | ekaikasya pratīndriyaṃ	cakzuH | gata-arTe Alocana-mAtram iti | ekEkasya pratIndriyam
   svaviṣayagrahaṇasāmarthyam eva | na hi cakṣuḥ śravaṇasamarthaṃ	sva-vizaya-grahaNa-sAmarTyam eva | na hi cakzuH SravaNa-samarTam
   dānādānasamarthaṃ vā // SkMv_28 //	dAna-AdAna-samarTam vA // SkMu-_28 //
   ata ūrdhvaṃ buddhyahaṅkāramanovṛttiṃ vakṣyāmaḥ | tad ucyate ---	atas UrDvam budDi-ahaFkAra-manaH-vRttim vakzyAmaH | tat ucyate ---
   svālakṣaṇyā vṛttis trayasya saiṣā bhavaty asāmānyā /	svAlakzaNyA vRttiH trayasya sA-ezA Bavati asAmAnyA /
   (p.33)	(p.33)
   sāmānyakaraṇavṛttiḥ prāṇādyā vāyavaḥ pañca // ISk_29 //	sAmAnya-karaNa-vRttiH prANa-AdyAH vAyavaH paQca // ISc-_29 //
   svālakṣaṇyeti | buddher adhyavasāya uktaḥ prāk lakṣaṇam | tasyāḥ sa	svAlakzaNya-iti | budDeH aDyavasAyaH uktaH prAk lakzaNam | tasyAH sa
   evādhyavasāyo vṛttiḥ | evam abhimāno 'haṅkāralakṣaṇam | tasya vṛttir api	eva-aDyavasAyaH vRttiH | evam aBimAnaH ahaFkAra-lakzaNam | tasya vRttiH api
   sa eva | manasaḥ saṅkalpo lakṣaṇam | tasyāpi sa eva vṛttiḥ | yena yena	saH eva | manasaH saFkalpaH lakzaNam | tasya-api saH eva vRttiH | yena yena
   lakṣaṇenāmī lakṣyante teṣāṃ sa eva vṛttiḥ | evaṃ yā buddhīndriyāṇāṃ na sā	lakzaNena-amI lakzyante tezAm saH eva vRttiH | evam yA budDIndriyANAm na sA
   karmendriyāṇām | yā ca karmendriyāṇāṃ na sā buddhīndriyāṇām |	karmendriyANAm | yA ca karmendriyANAm na sA budDIndriyANAm |
   buddhyahaṅkāramanasāṃ vṛttir abhihitā | sāpy asāmānyā |	budDi-ahaFkAra-manasAm vRttiH aBihitA | sA-api asAmAnyA |
   adhyavasāyābhimānasaṅkalpalakṣaṇā | saiṣā bhavaty asāmānyā asādhāraṇā evam	aDyavasAya-aBimAna-saFkalpa-lakzaNA | sA-ezA Bavati asAmAnyA asADAraNAH evam
   ukte 'rthāt gamyate sāmānyāpi sādhāraṇāpi vṛttir asti |	ukte arTAt gamyate sAmAnyA-api sADAraNA-api vRttiH asti |
   yadapekṣayāsāmānyety ucyate | evam indriyāṇām asāmānyā vṛttir ākhyātā	yad-apekzayA-sAmAnya-iti ucyate | evam indriyANAm asAmAnyA vRttiH AKyAtA
   kulastrīsaṃsthānīyā | ata ūrdhvaṃ sāmānyā vṛttir ucyate |	kula-strI-saMsTAnIyAH | atas UrDvam sAmAnyA vRttiH ucyate |
   sāmānyakaraṇavṛttiḥ prāṇādyā vāyavaḥ pañca | sāmānyakaraṇavṛttiḥ ---	sAmAnya-karaNa-vRttiH prANa-AdyAH vAyavaH paQca | sAmAnya-karaNa-vRttiH ---
   samastasyāntaḥkaraṇasyety arthaḥ | prāṇādyā vāyavaḥ pañceti	samastasya-antaHkaraNasya-iti arTaH | prANa-AdyAH vAyavaH paQca-iti
   prāṇāpānodānasamānavyānāḥ sarveṣām indriyāṇām sāmānyaṃ kurvanti | sa prāṇo	prANa-apAna-udAna-samAna-vyAnAH sarvezAm indriyANAm sAmAnyam kurvanti | sa prANaH-
