   daśamaḥ paricchedaḥ	daSamaH paricCedaH
        etad bimbam arthāccandrasya /	etat bimbam arTAt candrasya /
        hiṇḍīraṃ karpūraḥ /	hiNxIram karpUraH /
        ujjvālitasyeti /	ujjvAlitasya iti /
        nirvāpitasyetyartaḥ /	nirvApitasya iti artaH /
        nirbharasvakāntasambhogena rajanyā madanānalanirvāṇād dhūmodramaḥ /	nirBara sva ka anta samBogena rajanyA madana anala nirvANAt DUma udramaH /
        kaitaveneti /	kEtavena iti /
        nāyaṃ lāñchanaḥ kintu yathoktadhūma iti niṣedhapratītiḥ paścāt	na ayam lAQCanaH kintu yaTA ukta DUmaH iti nizeDa pratItiH paScAt 
   kaitavapadena /	kEtava padena /
        Locanā:	LocanA:
        (lo, ṝ) hiṇḍīraḥ phenaḥ /	(lo, L) hiNxIraH PenaH /
        atra kaitavapadena kapaṭārthena na prakaṭalāñchanamiti	atra kEtava padena kapawa arTena na prakawa lAQCanam iti
   pratīterapahnava ārthaḥ /	pratIteH apahnavaH ArTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   idaṃ padyaṃ mama /	idam padyam mama /
   evam  	evam  
   "virājati vyomavapuḥ payodhistārāmayāstatra ca phenabhaṅgāḥ"	"virAjati vyoma vapuH payoDiH tAra AmayAH tatra ca Pena BaFgAH"
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, jha) bhaṅgyantareṇāpi niṣedhapratītāvāha   virājatīti /	(vi, Ja) BaFgi antareNa api nizeDa pratIta AvAha   virAjati iti /
        atra vapuḥ padamayaṭpratyayābhyāṃ vyomādiniṣedhapratītiḥ /	atra vapuH pada mayaw pratyayAByAm vyoma Adi nizeDa pratItiH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   ityādyākāreṇa ca prakṛtaniṣedho bodhyaḥ /	ityAdi a AkAreNa ca prakRta nizeDaH boDyaH /
   gopanīyaṃ kalapyarthaṃ dyotayitvā kathañcana // VisSd_10.38 //	gopanIyam kalapi arTam dyotayitvA kaTaQcanaH // VisSd _10.38 //
   yadi śleṣeṇānyathā vānyathayetsāpyahnutiḥ /	yadi SlezeNa anyaTA vA anyaTayet sa api ahnutiH /
   Locanā:	LocanA:
   (lo, ḷ) anyathayediti /	(lo, ?) anyaTayet iti /
   anyārthe ghaṭayet /	anya arTe Gawayet /
   kaściditi śeṣaḥ /	kaScid iti SezaH /
   sapīti /	sapi iti /
   apiśabdena samanantaroktaprakārabhinnāpahnutiḥ ityarthaḥ /	api Sabdena samanantara ukta prakAra Binna apahnutiH iti arTaH /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   śleṣeṇa yathā  	SlezeNa yaTA  
   "kāle vāridharāṇāmapatitayā naiva śakyate sthātum /	"kAle vAriDarANAm apatitayA na eva Sakyate sTAtum /
   utkaṇṭhitāsi tarale ! nahi nahi sakhi ! picchilaḥ panthāḥ" //	utkaNWitA asi tarale ! na hi na hi saKi ! picCilaH panTAH" //
   atra "apatitayā" ityatra patiṃ vinetyuktvā paścātpatanābhāvena ityanyathā	atra "apatitayA" iti atra patim vinA iti uktvA paScAt patana aBAvena iti anyaTA
   kṛtam /	kRtam /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ña) dvitīyāpahnutimāha   gopanīyamiti /	(vi, Qa) dvitIya apahnuti mAha   gopanIyam iti /
        śleṣeṇa dyotanaṃ śaktyaiva /	SlezeNa dyotanam SaktyA eva /
        anyathādyotanantu vyañjanayā /	anyaTA adya utanantu vyaQjanayA /
        anyakathanantu śleṣeṇa śliṣṭapadavācyārthena ceti bodhyam /	anyakaTanantu SlezeNa Slizwa pada vAcya arTena ca iti boDyam /
        kāle iti /	kAle iti /
        atra vāridhārāṇāṃ kālasya kāmoddīpakatvena patiśūnyatayā	atra vAri DArANAm kAlasya kAma uddIpaka tvena pati SUnyatayA
   sthityaśakyatvaṃ gopanīyamarthamuktvā tad boddhyāḥ saṃkhyāḥ praśrānantaraṃ	sTiti aSakya tvam gopanIyam arTam uktvA tat bodDyAH saMKyAH praSra anantaram
   tadanyathayatinahi nahīti /	tat anyaTayatinahi na hi iti /
        varṣākāle pathaḥ picchilatvena patitabhinnatayā ityuktavākyaśleṣaṇa	varzA kAle paTaH picCila tvena patita Binna tayA iti ukta vAkya SlezaNa
   anyathā kṛtaṃ tadāhātreti /	anyaTA kRtam tat Aha atrA iti /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   aśleṣeṇa yathā  	aSlezeNa yaTA  
   "iha puro 'nilakampitavigrahā milati kā na vanaspatinā latā /	"iha puras anila kampita vigrahA milati kA na vanaspatinA latA /
   smarasi kiṃ sakhi ! kāntaratotsavaṃ nahi ghanāgamarītirudāhṛtā" //	smarasi kim saKi ! kAntara tA utsavam na hi Gana Agama rItiH udAhRtA" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṭa) iha puronileti /	(vi, wa) iha puronilA iti /
        iha deśe puraḥ sammukhe kā latā /	iha deSe puras sammuKe kA latA /
        vanaspatipadamahimnā vyañjanayā sādhvasavannāyikāyāṃ	vanaspati pada mahimnA vyaQjanayA sADvasa vat nAyikAyAm
   saṅgatanāyakapratītiḥ samāsoktirūpā saṃkhyā tatpratītyā smarasītyādipraśre	saFgata nAyaka pratItiH samAsokti rUpA saMKyA tad pratItyA smarasi iti Adi praSre
   kṛte vaktrī vācyārtheneva tadanyathayati   nahi ghanāgameti /	kRte vaktrI vAcya arTena iva tat anyaTayati   nahi Gana Agama iti /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   vakroktau parokteranyathākāraḥ, iha tu svauktereveti bhedaḥ /	vakra uktO parokteH anyaTAkAraH, iha tu svOkteH eva iti BedaH /
   gopanakṛtā gopanīyasyāpi prathamamabhihitatvācca vyājokteḥ /	gopana kRtA gopanIyasya api praTamam aBihita tvAt ca vyAja ukteH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṭha) asyā vakroktito bhedamāha  vakroktāviti /	(vi, Wa) asyAH vakra uktitaH Bedam Aha   vakra uktO= iti /
        vyājoktito 'pyasyā bhedamāha   gopaneti /	vyAja uktitaH api asyAH Bedam Aha    gopanA iti /
        gopanīyārtho vaktā vyājoktau prathamaṃ nocyate /	gopanIyA arTaH vaktA vyAja uktO praTamam na ucyate /
        yathā    "pṛthunā jalakumbhena śramo 'yaṃ śvāsakṛnmama /	yaTA   "pRTunA jala kumBena SramaH ayam SvAsa kRt mama /
        viśrāmyāmi kṣaṇaṃ tasmād vayasye ! tava sannidhau //	viSrAmyAmi kzaNam tasmAt vayasye ! tava sanniDO //
        "ityatra jalāharaṇasya pathi upanāyakasambhagajanyaḥ śramo vaktryā	"iti atra jala AharaNasya paTi upanAyaka samBaga janyaH SramaH vaktryA
   prathamamanukto 'pi sakhipratītibhiyā nigūhitaḥ /	praTamam anuktaH api saKi pratItiBiyA nigUhitaH /
        vyājokteriti bheda ityanvayaḥ /	vyAja ukteH iti BedaH iti anvayaH /
        Locanā:	LocanA:
        (lo, e) apatitayā na vidyate patiryasyāḥ sā apatiḥ tasyā bhāvastattā	(lo, e) apatitayA na vidyate patiH yasyAH sA apatiH tasyAH BAvaH tat tA
   patanarahitayetyarthaḥ /	patana rahitayA iti arTaH /
        anyathākaraṇametadevāha /	anyaTAkaraNam etat eva Aha /
        vakroktau "ke yūyaṃ sthala eva " ityādau /	vakra uktO "ke yUyam sTalaH eva " ityAdO /
        vyājoktau śelendrapratipādyamānetyādau girijākarasparśajanyasya	vyAja uktO Sela indra pratipAdyamAna ityAdO girija Akara sparSa janyasya
   romāñcādernābhidhānam /	romAQca AdeH na aBiDAnam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   anyanniṣidhya prakṛtasthāpanaṃ niścāyaḥ punaḥ // VisSd_10.39 //	anyat niziDya prakRta sTApanam niScAyaH punar // VisSd _10.39 //
   Locanā:	LocanA:
   (lo, ai) niścayākhyaḥ /	(lo, E) niScaya AKyaH /
   apahnutivaidharmyāt //	apahnuti vEDarmyAt //
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   niścayākhyo 'yamalaṅkāraḥ /	niScaya AKyaH ayam alaFkAraH /
   anyadityāropyamāṇam /	anyat iti AropyamANam /
   yathā mama  "vadanamidaṃ na sarojaṃ nayane nendīvare ete /	yaTA mama  "vadanam idam na sarojam nayane na indIvare ete /
   iva savidhe mugdhadṛśo bhramara ! mudā kiṃ paribhramasi" //	iva saviDe mugDa dRSaH Bramara ! mudA kim pariBramasi" //
   yathā vā  	yaTA vA  
   "hṛdi visalatāhāro nāyaṃ bhujaṅgamanāyakaḥ kuvalayadalaśreṇī kaṇṭhe na sā	"hRdi visalatA AhAraH na ayam BujaFgama nAyakaH kuvalaya dala SreNI kaNWe na sA
   garaladyutiḥ /	garala dyutiH /
   malayajarajo nedaṃ bhasma priyārahite mayi prahara na harabhrāntyānaṅga !	malayaja rajaH na idam Basma priyA rahite mayi prahara na hara BrAntyA anaFga !
   krudhā kimu dhāvasi" //	kruDA kimu DAvasi" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ḍa) niścayālaṅkāramāha   anyanniṣidhyeti /	(vi, xa) niScaya alaFkAram Aha   anyat niziDya iti /
        apahnutau prakṛtaniṣedhena anyasthāpanam, iha tu	apahnutO prakRta nizeDena anya sTApanam, iha tu
   tadvaiparītyamityarthaḥ /	tat vEparItyam iti arTaH /
        vadanamidamiti /	vadanam idam iti /
        he madhukara iha mugdhadṛśaḥ savidhe mudhā na paribhrāmya /	he maDukaraH iha mugDa dRSaH saviDe muDA na pariBrAmya /
        bhrāmyetyatra vaikalpikadivādiśyannantatā /	BrAmya iti atra vEkalpika diva AdiSyan= anta tA /
        padmādibuddhyā yad bhrāmyasi tanmudhetyarthaḥ /	padma Adi budDyA yat BrAmyasi tat muDA iti arTaH /
        mudhātvamupapādayati   vadanamidamiti /	muDA tvam upapAdayati    vadanam idam iti /
        hṛdi bisalatāhāra ityādikā virahiṇa uktiḥ /	hRdi bisa latA AhAraH iti AdikA virahiNaH uktiH /
        evam   "navajaladharaḥ sannaddho 'yaṃ na dṛptaniśācaraḥ,	evam   "nava jala DaraH sannadDaH ayam na dRpta niSAcaraH,
   suradhanuridaṃ dūrākṛṣṭaṃ na tasya śarāsanam /	suraDanuH idam dUrAkRzwam na tasya SarAsanam /
        ayamapi paṭudhārasāro na vāṇaparamparā, kanakanikaṣasnigdhā	ayam api pawu DArasAraH na vANa paramparA, kanaka nikaza snigDA
   vidyutpriyā na mamorvaśī /	vidyutpriyA na mama urvaSI /
        "ityādāvapyayamalaṅkāro bodhyaḥ /	"iti AdO= api ayam alaFkAraH boDyaH /
        Locanā:	LocanA:
        (lo, o) mugdhadṛśo manoharākṣyāḥ /	(lo, o) mugDa dRSaH manohara akzyAH /
        asyālaṅkārasya pūrvācāryyāprakāśitatvād viṣayavyāptaye	asya alaFkArasya pUrva AcAryya aprakASita tvAt vizaya vyAptaye
   punarudāharati   yathā veti /	punar udAha rati    yaTA vA iti /
        bhujaṅgamanāyako vāsukiḥ /	BujaFgama nAyakaH vAsukiH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   na hyayaṃ niścayāntaḥ saṃdehaḥ, tatra	na hi ayam niScaya antar saMdehaH, tatra
   saṃśayaniścayayorekāśrayatvenāvasthānāt /	saMSaya niScayayoH eka ASraya tvena avasTAnAt /
   atra tu bhramarādeḥ saṃśayo nāyakāderniścayaḥ /	atra tu Bramara AdeH saMSayaH nAyaka AdeH niScayaH /
   kiñca na bhramarāderapi saṃśayaḥ ekakoṭyadhike jñāne, tathā	kiQca na Bramara AdeH api saMSayaH eka kowI aDike jQAne, taTA
   samīpāgamanāsaṃbhāvat /	samIpa AgamanA saMBAvat /
   tarhi bhrāntimānastu, astu nāma bhramārāder bhrāntiḥ /	tarhi BrAntimAnastu, astu nAma BramAra AdeH BrAntiH /
   na ceha tasyāścamatkāravidhāyitvam, api tu tathāvidhanāyakādyuktereveti	na ca iha tasyAH camatkAra viDAyi tvam, api tu taTAviDa nAyaka Adi ukteH eva iti
   sahṛdayasaṃvedyam /	sahRdaya saMvedyam /
   kiñcāvivakṣite 'piṃ bhramarādeḥ patanādau bhrāntau vā	kiQca avivakzite apim Bramara AdeH patana AdO BrAntO vA
   nāyikācāṭvādirūpeṇaiva saṃbhavati tathāvidhoktiḥ /	nAyikA cAwvAdi rUpeNa eva saMBavati taTAviDa uktiH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ḍha) na hyayamiti /	(vi, Xa) na hi ayam iti /
        vārtho hikāraḥ /	vA arTaH hikAraH /
        navāyamityarthaḥ /	nava ayam iti arTaH /
        bhramarāderityādipadādanaṅgasya nāyikāderityādipadāt	Bramara AdeH iti Adi padAt anaFgasya nAyikA AdeH iti Adi padAt 
   tatadvodhakapuruṣasya ca parigrahaḥ /	tatat voDaka puruzasya ca parigrahaH /
        nanu niścayāntasandehe tadaikyaṃ na vivakṣitamityata	nanu niScaya antasan dehe tat A Ekyam na vivakzitam iti ata
   āha   ekakoṭyanadhike jñāne ityarthaḥ /	Aha   eka kowI anaDike jQAne iti arTaH /
        taj jñānaṃ ca ekakoṭau utkaṭatvena tadvṛtitakoṭereva niścaye ca	tat jQAnam ca eka kowO utkawa tvena tad vRtita koweH eva niScaye ca
   bhavati, tādṛśaniścayaśca bhrama eveti tāṃ koṭimādāyāśaṅkate   tarhīti /	Bavati, tAdRSa niScayaH ca BramaH eva iti tAm kowim AdAya ASaFkate   tarhi iti /
        astu nāmeti samādhānam /	astu nAma iti samADAnam /
        tathāvidhanāyakādyuktereveti /	taTAviDa nAyakAt yukteH eva iti /
        nāyikāsukhotkarṣasya dvitīyaśloke vakturvipralambhotkarṣasya ca	nAyikA suKa utkarzasya dvitIya Sloke vaktuH vipralamBa utkarzasya ca
   pratipādanādeva camatkārāditi bhāvaḥ /	pratipAdanAt eva camatkArAt iti BAvaH /
        tasminnarthe sahṛdayāḥ pramāṇamityāha   sahṛyeti /	tasmin= arTe sahRdayAH pramANam iti Aha    sahRyA iti /
        mugdhā dugdhadhiyā" ityādau api candrotkarṣapratipādanādeva camatkāra	mugDAH dugDa DiyA" ityAdO api candra utkarza pratipAdanAt eva camatkAra
   iti tulyamityata āha   kiñceti /	iti tulyam iti atas Aha   kiQcA iti /
        tatra tu bhrāntimiti bhramādhīnakumbhapātādikriyā, atra tu	tatra tu BrAntim iti Brama aDIna kumBa pAta Adi kriyA, atra tu
   bhramarasya natu bhramādhīnapātakriyeti samādhānasambhave 'pi	Bramarasya na tu Brama aDIna pAtakriyA iti samADAna samBave api
   tādṛśakriyābhāve 'pi bhrāntimadalaṅkārādityupapattṝn pratyāha /	tAdRSa kriyA aBAve api BrAntimat alaFkArAt iti upapattLn pratyAha /
        avivakṣite 'pīti /	avivakzite api iti /
        tuṣyatu iti nyāyāt /	tuzyatu iti nyAyAt /
        tathātvābhyupapattau āha  nāyikācāṭviti /	taTA tva aByupapattO Aha  nAyikA cAwu iti /
        tathāca bhrāntimadalaṅkārasaṅkīrṇa eva niścayālaṅkāra iti svīkṛtam /	taTA ca BrAntimat alaFkAra saFkIrNaH eva niScaya alaFkAraH iti svIkRtam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   na ca rūpakadhvanirayam, mukhasya kamalatvenānirdhāraṇāt /	na ca rUpaka DvaniH ayam, muKasya kamala tvena anirDAraNAt /
   na cāpahnutiḥ,	na ca apahnutiH,
   prastutasyāniṣedhāditipṛthagevāyamalaṅkāraścirantanoktālaṅkārebhyaḥ /	prastutasya anizeDa at iti pRTak evAyam alaFkAraH cirantana ukta alaFkAreByaH /
   śuktikāyāṃ rajatadhiyā patati puruṣe śuktikeyaṃ na rajatamiti	SuktikAyAm rajata DiyA patati puruze SuktikA iyam na rajatam iti
   kasyāciduktirnāyamalaṅkāro vaicitryābhāvāt /	kasyAcid uktiH na ayam alaFkAraH vEcitrya aBAvAt /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṇa) aprasaktamapi rūpakadhvanitvaṃ spaṣṭatvāya niṣidhyati  naca	(vi, Na) aprasaktam api rUpaka Dvani tvam spazwa tvAya niziDyati  naca
   rūpaketi /	rUpaka iti /
        kamalatvenānirddhāraṇāditi /	kamala tvena anirdDAraNAt iti /
        na sarojamiti tadvirodhinirdeśādanirddhāraṇam /	na sarojam iti tad viroDi nirdeSAt anirdDAraNam /
        apahnutistu na sambhavatyeva ityāha   naceti /	apahnutiH tu na samBavati eva iti Aha   nacA iti /
        cirantaneti /	cirantanA iti /
        na kevalamayamalaṅkāraḥ kintu    "daśaraśmiśatopamadyutiṃ yaśasā	na kevala mayam alaFkAraH kintu   "da Sa raSmi Sata upama dyutim yaSasA
   dikṣu daśasvapi śrutam /	dikzu daSasu api Srutam /
        daśapūrvarathaṃ yamākhyayā daśakaṇṭhariguruṃ vidurbudhāḥ" //	daSa pUrva raTam yama AKyayA daSa kaNWari gurum viduH buDAH" //
        ityekasaṃkhyālaṅkāraḥ /	iti eka saMKyA alaFkAraH /
        ekaṃ viṣṇuṃ dve tadīye ca netre trīṃstān devān doścatuṣkaṃ ca viṣṇoḥ	ekam vizNum dve tadIye ca netre trIn= tAn devAn dos catuzkam ca vizNoH
   pañceśāsyānyagnibhūṣarāmukhāni saptārciṣkaṃ naumi sāṣṭāṅgapātam //	paQca ISa AsyAni agni BUzarA muKAni saptArcizkam nOmi sa azwAFga pAtam //
        iti kramikasaṃkhyālaṅkāraḥ /	iti kramika saMKyA alaFkAraH /
        anye 'pi vaicitryāvahā alaṅkāra anuktā api svayamūhyāḥ /	anye api vEcitrya AvahAH alaFkAra anuktAH api svayam UhyAH /
        prayāśaḥ sarveṣāmeva alaṅkāraṇāmāhāryyāropabuddhiviṣayatve	prayASaH sarvezAm eva alaFkAraNAm AhAryyAra upabudDi vizaya tve
   evālaṅkāratvaṃ natu vāstavatve ityata āha   śuktikāyāmiti /	eva alaFkAra tvam na tu vAstava tve iti atas Aha   SuktikAyAm iti /
        Locanā:	LocanA:
        (lo, au) ekāśrayatvenāvasthānāt saṃśayitureva niścetṛtvādyathā   kiṃ	(lo, O) eka ASraya tvena avasTAnAt saMSayituH eva niScetR tvAt yaTA    kim
   tāvat sarasītyādau /	tAvat sarasi ityAdO /
        ekakoṭiḥ sarojādiḥ /	eka kowiH saroja AdiH /
        tathā samīpagamanādisambhavaśca śāstrayuktisiddha eva /	taTA samIpa gamana Adi samBavaH ca SAstra yukti sidDaH eva /
        ādiśabdena hṛdi bisalatāhāra ityādau prahārādeḥ saṃgrahaḥ /	Adi Sabdena hRdi bisa latA AhAraH iti AdO prahAra AdeH saMgrahaH /
        tarheti /	tarhA iti /
        yadyekaṃ koṭyanadhikaṃ mithyājñānamityarthaḥ /	yadi ekam kowI anaDikam miTyAjQAnam iti arTaH /
        tasyāḥ yathākathañcid aṅgīkṛtāyā bhrāntestathāvidhāyāḥ "tava vadanaṃ	tasyAH yaTA kaTaQcit aFgIkRtAyAH BrAnteH taTAviDAyAH "tava vadanam
   sarojasadṛśameva'; ityādernāyikādyukterviśeṣaṇaṃ, tatra kiṃ	saroja sadRSam eva a; iti AdeH nAyikA Adi ukteH viSezaNan, tatra kim
   pramāṇamityāha  sahṛdayasaṃvedyaṃ sahṛdayānāmanubhava ityarthaḥ /	pramANam iti Aha   sahRdaya saMvedyam sahRdayAnAm anuBavaH iti arTaH /
        bhramarādeḥ patanādisadbhāve tadabhāve 'pi vā bhrāntijñānasya teṣāṃ	Bramara AdeH patana Adi sadBAve tad aBAve api vA BrAnti jQAnasya tezAm
   hṛdayagrāhyatve bhrāntimadalaṅkāro vaktuṃ yuktaḥ /	hRdaya grAhya tve BrAntimat alaFkAraH vaktum yuktaH /
        naca tatheti /	na ca taTA iti /
        yuktyantaradarśanenāpi tadabhāvaṃ dṛḍhayati   kiñceti /	yukti antara darSanena api tad aBAvam dRXayati   kiQcA iti /
        tathāvidhavadanamidaṃ sarojarūpam /	taTAviDa vadanam idam saroja rUpam /
        evaṃ ca bhrānteḥ svarūpasyābhāvāt /	evam ca BrAnteH svarUpasya aBAvAt /
        tadabhāve ca kathaṃ bhrāntimadalaṅkāra ityarthaḥ /	tad aBAve ca kaTam BrAntimat alaFkAraH iti arTaH /
        kamalatvena anirddhāraṇādityataḥ pūrvaṃ vyaṅgyayorapīti śeṣaḥ /	kamala tvena anirdDAraNAt ityataH pUrvam vyaFgyayoH api iti SezaH /
        ayamasmābhiḥ prakāśito niścayākhyo 'laṅkāraḥ /	ayam asmABiH prakASitaH niScaya AKyaH alaFkAraH /
        vaicitryamalaṅkārabījabhūtā lokottarā vicchittiḥ //	vEcitryam alaFkAra bIja BUtA lokottarA vicCittiH //
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   bhavetsaṃbhāvanotprekṣā prakṛtasya parātmanā /	Bavet saMBAvanA utprekzA prakRtasya para AtmanA /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ta) utprekṣālaṅkāramāha   bhavediti /	(vi, ta) utprekzA alaFkAram Aha    Bavet iti /
        prakṛtasya parātmanāprakṛta   tādātmyena sambhāvanamutkaṭakoṭikaḥ	prakRtasya para AtmanA prakRta    tAdAtmyena samBAvanam utkawa kowikaH
   saṃśaya ityarthaḥ /	saMSayaH iti arTaH /
        tenānutkaṭakoṭikasandehaniścayayoḥ rūpakādau ca nātiprasaṅgaḥ /	tena anutkawa kowika sandeha niScayayoH rUpaka AdO ca na ati prasaFgaH /
        Locanā:	LocanA:
        (lo, a) evamabhedaprādhānyenāropagarbhālaṅkārān	(lo, a) evam aBeda prADAnyena Ara upagarBa alaFkArAn
   lakṣayitvādhyavasāyagarbhān lakṣayati   bhavediti /	lakzayitvA aDyavasAya garBAn lakzayati    Bavet iti /
        prakṛtasya sambhavino varṇanīyasya paraḥ sadṛśatayopakalpitaḥ /	prakRtasya samBavinaH varNanIyasya paraH sadRSa tayA upakalpitaH /
        arthād asambhavī yor'thaḥ tadātmanā tatsvarūpeṇa sambhāvanā /	arTAt asamBavI yor aTaH tad AtmanA tad svarUpeNa samBAvanA /
        mithyājñānaviśeṣa utprekṣālaṅkāra ityarthaḥ /	miTyAjQAna viSezaH utprekzA alaFkAraH iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   vācyā pratīyamānā sā prathamaṃ dvividhā matā // VisSd_10.40 //	vAcyA pratIyamAnA sA praTamam dviviDAH matA // VisSd _10.40 //
   vācyevādiprayoge syādaprayoge parā punaḥ /	vAci eva Adi prayoge syAt aprayoge parA punar /
   jātiguṇaḥ kriyā dravyaṃ yadutprekṣyaṃ dvayorapi // VisSd_10.41 //	jAti guNaH kriyA dravyam yat utprekzyam dvayoH api // VisSd _10.41 //
   tadaṣṭadhāpi pratyekaṃ bhāvābhāvābhimānataḥ /	tat azwaDA api pratyekam BAva aBAva aBimAnataH /
   guṇakriyāsvarūpatvānnimittasya punaśca tāḥ // VisSd_10.42 //	guNa kriyA svarUpa tvAt nimittasya punar ca tAH // VisSd _10.42 //
   dvātriṃśadvidhatāṃ yānti  	dvAtriMSat viDa tAm yAnti  
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, tha) asyā vibhaktavibhāgabāhulyena	(vi, Ta) asyAH viBakta viBAga bAhulyena
   ṣaṭsaptatyuttaraikaśatavidhatāṃ paryavasthāpayitumādau	zawsaptati uttara eka SataviDa tAm paryavasTApayitum AdO
   dvaividhyamāha   vācyeti /	dvEviDyam Aha   vAcya iti /
        pratīyamānā cātra na vyaṅgyā, tadā utprekṣādhvanitvāpatteḥ, yathā	pratIyamAnA ca atra na vyaFgyA, tadA utprekzA Dvanitva ApatteH, yaTA
   darśayiṣyamāṇe mahilāsahastretyādau, kintu adhyāhriyamāṇā ityevetyarthaḥ /	darSayizyamANe mahilAsa hastra ityAdO, kintu aDyAhriyamANAH iti eva iti arTaH /
        parā adhyāhriyamāṇā dvayorapīti	parA aDyAhriyamANA dvayoH api iti
   vācyotprekṣāyāmadhyāhriyamāṇotprekṣāyāṃ cetyarthaḥ /	vAcya utprekzAyAmaDyAhriyamANa utprekzAyAm ca iti arTaH /
        tena jātyādicatuṣkotprekṣā vācyā adhyāhriyamāṇā ca ityaṣṭadhetyarthaḥ	tena jAti Adi catuzka utprekzA vAcyA aDyAhriyamANA ca iti azwaDA iti arTaH
        jātyādicatuṣkābhāvotprekṣāpyevamaṣṭadhetyāha   tadaṣṭadhāpīti /	jAti Adi catuzka aBAva utprekzA api evam azwaDA iti Aha   tat azwaDA api iti /
        bhāvasya jātyādibhāvacatuṣkasya pratyekamabhāvābhimānato	BAvasya jAti Adi BAva catuzkasya pratyekam aBAva aBimAna taH 
   'bhāvotprekṣaṇādapi tadaṣṭadhā tasyā utprekṣāyāḥ aṣṭadhā aṣṭaprakārabhāva	aBAva utprekzaNAt api tat azwaDA tasyAH utprekzAyAH azwaDA azwa prakAra BAva
   ityarthaḥ /	iti arTaH /
        apikārasya darśitarītyā bhinnakrameṇa yojanā /	apikArasya darSita rItyA BinnakrameNa yojanA /
        evaṃ ca jātyādibhāvotprekṣāṣṭakaṃ tadabhāvotprekṣāṣṭakaṃ ceti	evam ca jAti Adi BAva utprekzA azwakam tad aBAva utprekzA azwakam ca iti
   ṣoḍaśaprakārāḥ ṣoḍaśatvānuktāvapi paryyavasitāḥ, taddvaiguṇyena	zoxaSa prakArAH zoxaSa tva anuktO= api paryyavasitAH, tat dvEguNyena
   dvātriṃśatvamāha   guṇākriyeti /	dvAtriMSa tvam Aha   guNA kriyA iti /
        nimittasya utprekṣāyā hetorguṇakriyāsvarūpatvāt tāḥ ṣoḍaśavidhāḥ	nimittasya utprekzAyAH hetoH guNa kriyA svarUpa tvAt tAH zoxaSaviDAH
   utprekṣāḥ punardvātriṃśadvidhatāṃ yāntītyarthaḥ /	utprekzAH punar dvAtriMSadviDa tAm yAnti iti arTaH /
        te vācyapratīyamānatvabhedādaṣṭau jātyādibhāvotprekṣā aṣṭau ca	te vAcya pratIyamAna tva BedAt azwO jAti Adi BAva utprekzAH azwO ca
   tadabhāvotprekṣāśca iti ṣoḍaśaiva guṇakriyāhetuvattvena dvaiguṇyād	tad aBAva utprekzAH ca iti zoxaSa eva guNa kriyA hetuvat tvena dvEguNyAt 
   dvātriṃśadityarthaḥ /	dvAtriMSat iti arTaH /
        hetuśca utprekṣājanakaḥ /	hetuH ca utprekzA janakaH /
        Locanā:	LocanA:
        (lo, ā) tadbhedānāha   vācyeti /	(lo, A) tad Beda AnAha   vAcyA iti /
        vācyā ivādidyotakapadanibandhanād jhaṭiti pratyeyā /	vAcyAH iva Adidyotaka pada nibanDanAt Jawiti pratyeyAH /
        pratīyamānā dyetakapadaviraheṇa vācyārthaparyyālocanānusandheyā /	pratIyamAnA dyetaka pada viraheNa vAcya arTa paryya Alocana anusanDeyAH /
        tadevāha   vācye vāderiti /	tat eva aha   vAcye vA AdeH iti /
        ekadharmmavannānādharmavācakopameyor'tho jātiḥ /	eka Darmma vat nAnA Darma vAcaka upameyor aTo jAtiH /
