   śrīHarṣadeva-viracitā |	SrIHarza-deva--viracitAH |
   apare parityajya kamalinīṃ nīlotpala-vanāni samāpatanto nipuṇataraṃ	apare parityajya kamalinIm nIlotpala--vanAni samApatantaH nipuNataram
   bādhamānā āyāsayanti māṃ (uttarīyeṇa mukhaṃ pidhāya sa-bhayam) halā	bADamAnAH AyAsayanti mAm (uttarIyeNa muKam piDAya sa-Bayam) halA
   Indīvarike paritrāyasva māṃ paritrāyasva mām | ete khalu duṣṭa-madhukarāḥ	IndIvarike paritrAyasva mAm paritrAyasva mAm | ete Kalu duzwa--maDukarAH
   paribhaviṣyanti |]	pariBavizyanti |]
   vidūṣakaḥ - bho vaassa puṇṇā de maṇorahā | jāva evva gabbha-dāsīe sudā ṇa	vidUzakaH  Bo vaassa puNNAH de maNorahA | jAvaH evva gabBa-dAsIe sudA Na
   āacchadi dāva evva tumaṃ vi tuṇhīko bhavia uvasappa | esā vi	AacCadi dAvaH evva tumam vi tuNhIkaH BaviaH uvasappaH | esA vi
   salila-sadda-sūideṇa paa-saṃcāreṇa Indīvariā āacchadi tti jāṇia tumaṃ evva	salila--sat-da-sUideNa paa--saMcAreNa IndIvariAH AacCadi tti jANia tumam evva
   olambissadi | [bho vayasya pūrṇās te manorathāḥ | yāvad eva garbha-dāsyāḥ	olambissadi | [BaH vayasya pUrNAH te manoraTAH | yAvat eva garBa-dAsyAH
   sutā nāgacchati tāvad eva tvam api tūṣṇīko bhūtvopasarpa | eṣāpi	sutA na-AgacCati tAvat eva tvam api tUzNIkaH BUtvA-upasarpa | ezA-api
   salila-śabda-sūcitena pada-saṃcāreṇendīvarikāgacchatīti jñātvā tvām	salila--Sabda-sUcitena pada--saMcAreNa-indIvarikA-AgacCati-iti jQAtvA tvAm
   evāvalambiṣyate |]	eva-avalambizyate |]
   rājā - sādhu vayasya sādhu | kālānurūpam upadiṣṭam | (ity Āraṇyikā-samīpam	rAjA  sADu vayasya sADu | kAla-anurUpam upadizwam | (itI ĀraNyikA--samIpam
   upasarpati)	upasarpati)
   [p. 20]	[p. 20]
   Āraṇyikā - (pada-śabdākarṇanaṃ nāṭayantī) Indīvarie | lahu uvasappa lahu	ĀraNyikA  (pada--Sabda-AkarNanam nAwayantI) IndIvarie | lahu uvasappa lahu
   uvasappa | āulī-kida mhi duṭṭha-mahuarehiṃ (rājānam avalambate) |	uvasappa | AulI-kida mhi duwWa--mahua-rehim (rAjAnam avalambate) |
   [Indīvarike laghūpasarpa laghūpasarpa | akulī-kṛtāsmi duṣṭa-madhukaraiḥ |]	[IndIvarike laGu-upasarpa laGu-upasarpa | akulI-kRtA-asmi duzwa--maDukarEH |]
   (rājā kaṇṭhe gṛhṇāti | Āraṇyikottarīyaṃ mukhād apanīya rājānam a-paśyantī	(rAjA kaNWe gRhNAti | ĀraNyikA-uttarIyam muKAt apanIya rAjAnam a-paSyantI
   bhramarāvalokanaṃ nāṭayati)	Bramara-avalokanam nAwayati)
   rājā - (svottarīyeṇa bhramarān nivārayan)	rAjA  (sva-uttarIyeNa BramarAn nivArayan)
   ayi visṛja viṣādaṃ bhīru bhṛṅgās tavaite	ayi visRja vizAdam BIru BRFgAH tava-ete
   parimala-rasa-lubdhā vaktra-padme patanti /	parimala--rasa-lubDAH vaktra--padme patanti /
   vikirasi yadi bhūyas trāsa-lolāyatākṣī	vikirasi yadi BUyas trAsa--lola-Ayata-akzI
   kuvalaya-vana-lakṣmīṃ tat kutas tvāṃ tyajanti // HPri_2.8 //	kuvalaya-vana--lakzmIm tat kutas tvAm tyajanti // HPri_2.8 //
   Āraṇyikā - (rājānaṃ dṛṣṭvā sādhvasaṃ nāṭayantī) kahaṃ ṇa esā Indīvariā |	ĀraNyikA  (rAjAnam dRzwvA sADvasam nAwayantI) kaham NaH esA IndIvariAH |
   (sa-bhayaṃ rājānaṃ tyaktvāpasarantī) Indīvarie lahu āaccha lahu āaccha |	(sa-Bayam rAjAnam tyaktvA-apasarantI) IndIvarie lahu AacCa lahu AacCa |
   parittāehi māṃ | [kathaṃ naiṣendīvarikā | (sa-bhayaṃ rājānaṃ	parittAehi mAm | [kaTam nEzA-indI-varikA | (sa-Bayam rAjAnam
   tyaktvāpasarantī) Indīvarike | laghv āgaccha laghv āgaccha | paritrāyasva	tyaktvA-apasarantI) IndIvarike | laGu AgacCa laGu AgacCa | paritrAyasva
   mām |]	mAm |]
   vidūṣakaḥ - hodi saala-puḍhavī-parittāṇa-samattheṇa Vaccha-rāeṇa	vidUzakaH  hodi saala--puXa-vI--parittANa--samatTeNa VacCa-rAeNa
   parittāantī ceḍiṃ Indīvariaṃ akkandasi | [bhavati	parittAantI cexim IndIvariam akkandasi | [Bavati
   sakala-pṛthvī-paritrāṇa-samarthena Vatsa-rājena paritrāyamāṇā ceṭīm	sakala--pRTvI--paritrANa--samarTena Vatsa-rAjena paritrAyamANA cewIm
   Indīvarikām ākrandasi |]	IndIvarikAm Akrandasi |]
   (rājā ayi visṛja ityādi punaḥ paṭhati)	(rAjA ayi visRjaH ityAdi punar paWati)
   Āraṇyikā - (rājānam avalokya sa-spṛhaṃ sa-lajjaṃ cātma-gatam) aaṃ kkhu so	ĀraNyikA  (rAjAnam avalokya sa-spRham sa-lajjam ca-Atma--gatam) aam kKu saH-
   mahā-rāo jassa ahaṃ tādeṇa diṇṇā | ṭhāṇe kkhu tādassa pakkha-vādo	mahA-rAaH jassa aham tAdeNa diNNA | WANe kKu tAdassa pakKa-vAdaH-
   (ākulatāṃ nāṭayati) | [ayaṃ khalu sa mahā-rājo yasyāhaṃ tātena dattā |	(a-Akula-tAm nAwayati) | [ayam Kalu sa mahA--rAjaH yasya-aham tAtena dattA |
   sthāne khalu tātasya pakṣa-pātaḥ |]	sTAne Kalu tAtasya pakza-pAtaH |]
   [p. 21]	[p. 21]
   ceṭī - āāsiā kkhu Āraṇṇiā duṭṭha-mahuarehiṃ | tā jāva uvasappia	cewI  AAsiA kKu ĀraNNiA duwWa--mahua-rehim | tAH jAvaH uvasappia
   samassāsemi | Āraṇṇie mā bhaāhi | esā uvaada mhi | [āyāsitā khalu Āraṇyikā	samassAsemi | ĀraNNie mA BaAhi | esA uvaada mhi | [AyAsitA Kalu ĀraNyikA
   duṣṭa-madhukaraiḥ | tad yāvad upasarpya samāśvāsayāmi | Āraṇyike mā	duzwa--maDukarEH | tat yAvat upasarpya samASvAsayAmi | ĀraNyike mA
   bibhihi | eṣopagatāsmi |]	biBihi | ezA-upagatA-asmi |]
   vidūṣakaḥ - bho osara osara | esā kkhu Indīvarīā āadā | edaṃ uttantaṃ	vidUzakaH  Bo osaraH osaraH | esA kKu IndIvarIAH AadAH | edam uttantam
   pekkhia devīe ṇivedaissadi | (aṅgulyā nirdiśya) tā imaṃ evva kadalī-gharaṃ	pekKia devIe Ni-vedEH-sadi | (aFgulyA nirdiSya) tAH imam evva kadalI--Garam
   pavisia muhuttaṃ ciṭṭamha | [bhoḥ apasarāpasara | eṣā khalv Indīvarikāgatā	pavisia muhuttam ciwwam-ha | [BoH apasara-apasara | ezA Kalu IndI-varikA-gatA
   | etaṃ vṛttāntaṃ prekṣya devyai nivedayiṣyati | (aṅgulyā nirdiśya) tad	| etam vRttAntam prekzya devyE nivedayizyati | (aFgulyA nirdiSya) tat-
   idam eva kadalī-gṛhaṃ praviśya muhūrtaṃ tiṣṭhāvaḥ |]	idam eva kadalI--gRham praviSya muhUrtam tizWAvaH |]
   (ubhau tathā kurutaḥ)	(uBO taTA kurutaH)
   ceṭī -(upasṛtya kapolau spṛśantī) hanje Āraṇṇie kamala-sarisassa tuha	cewI -(upasRtya kapolO spRSantI) hanje ĀraNNie kamala--sarisaH-sa tuha
   vaaṇassa aaṃ doso jaṃ mahuarā evvaṃ avarajjhanti | (haste gṛhītvā) tā ehi	vaaNassa aam dosaH jam mahuarAH evvam avarajJanti | (haste gRhItvA) tAH ehi
   gacchamha | pariṇado diaho | [hañje Āraṇyike | kamala-sadṛśasya tava	gacCam-ha | pariNadaH diahaH | [haQje ĀraNyike | kamala--sadRSasya tava
   vadanasyāhaṃ doṣo yan madhukarā evam aparādhyanti (haste gṛhītvā) tad ehi	vadanasya-aham dozaH yat maDukarAH evam aparADyanti (haste gRhItvA) tat ehi
   gacchāvaḥ | pariṇato divasaḥ |]	gacCAvaH | pariNataH divasaH |]
   (gamanaṃ nāṭayataḥ)	(gamanam nAwayataH)
   Āraṇyikā - (kadalī-grhābhimukham avalokya) hanje Indīvarie adi-sisiradāe	ĀraNyikA  (kadalI-grha-aBimuKam avalokya) hanje IndIvarie adi-si-si-radAe
   salilassa ūrū-tthambho via samuppaṇṇo | tā saṇiaṃ saṇiaṃ gacchamha |	salilassaH UrU-tTamBaH via samuppaNNaH | tA saNiam saNiam gacCam-ha |
   [hañje Indīvarike ati-śiśiratayā salilasyoru-stambha iva samutpannaḥ | tac	[haQje IndIvarike ati-SiSira-tayA salilasya-Uru--stamBaH iva samutpannaH | tat-
   chanaiḥ śanair gacchāvaḥ |]	CanEs SanEs gacCAvaH |]
   ceṭī - taha | taha |	cewI  taha | taha |
   (iti niṣkrānte)	(iti nizkrAnte)
   vidūṣakaḥ - bho ehi ṇikkamamha | taṃ geṇhia esā dāsīe sudā Indīvariā gadā	vidUzakaH  Bo ehi Nikkamamha | tam geNhiaH esA dAsIe sudA IndIvariA gadA
   | [bhoḥ ehi niṣkrāmāvaḥ | tāṃ gṛhītvaiṣā dāsyāḥ sutendīvarikā gatā |]	| [BoH ehi nizkrAmAvaH | tAm gRhItvA-ezA dAsyAH suta-indIvarikA gatAH |]
   rājā -(niḥśvasya) kathaṃ gatā | sakhe Vasantaka| na khalv a-vighnam	rAjA -(niHSvasya) kaTam gatA | saKe Vasantaka| na Kalu a-viGnam
   abhilaṣitam a-dhanyaiḥ prāpyate | (vilokya) sakhe paśya paśya |	aBilazitam a-DanyEH prApyate | (vilokya) saKe paSya paSya |
   [p. 22]	[p. 22]
   ābaddha-mukham apīdam kaṇṭakitaṃ kamala-kānanaṃ tasyāḥ /	AbadDa--muKam api-idam kaNwakitam kamala--kAnanam tasyAH /
   sukumāra-pāṇi-pallava-saṃsparśa-sukhaṃ kathayatīva // HPri_2.9 //	sukumAra--pANi--pallava--saMsparSa--suKam kaTayati-iva // HPri_2.9 //
   (niḥśvasya) sakhe | ka idānīm upāyaḥ punas tāṃ draṣṭum |	(niHSvasya) saKe | kaH idAnIm upAyaH punar tAm drazwum |
   vidūṣakaḥ - bho tume evva puttaliaṃ bhañjia dāṇiṃ rodisi | ṇa maha kkhu	vidUzakaH  Bo tume evva puttaliam BaQjia dANim rodisi | Na maha kKu
   bamhaṇassa vaaṇaṃ karesi | [bhoḥ tvam eva puttalikāṃ bhaṅktvedānīṃ rodiṣi	bamhaNaH-sa vaaNam karesi | [BoH tvam eva puttalikAm BaFktvA-idAnIm rodizi
   | na mama khalu brāhmaṇasya vacanaṃ karoṣi |]	| na mama Kalu brAhmaNasya vacanam karozi |]
   rājā - kiṃ mayā na kṛtam |	rAjA  kim mayA na kRtam |
   vidūṣakaḥ - taṃ dāṇiṃ visumaridaṃ | jaha tuṇhīko bhavia uvasappetti mae	vidUzakaH  tam dANim visumaridam | jaha tuNhIkaH BaviaH uvasappetti mae
   bhaṇidaṃ | adi-saṃkaḍe jaṃ bhavaṃ pavisia alia-paṃḍicca-du-vvidaddhadāe ai	BaNidam | adi-saMkaxe jam Bavam pavisia alia-paMxit-ca--du-vvidat-hadAe E
   visija visādetti edehiṃ aṇṇehiṃ a kaḍua-vaaṇehiṃ ṇibbhacchia (Kale :	visija visAda-it-ti edehim aNNehim a kaxua-vaaNa-Ihim NibBacCia (Kale :
   -ccia) saṃpadaṃ kiṃ rodisi | puṇo vi uvāaṃ pucchasi | [tad idāniṃ vismṛtam	-ccia) saMpadam kim rodisi | puNaH vi uvAam pucCasi | [tat idAnim vismRtam
   | yathā tuṣṇīko bhūtvopasarpeti mayā bhaṇitam | ati-saṃkaṭe yad bhavān	| yaTA tuzNIkaH BUtvA-upasarpa-iti mayA BaNitam | ati-saMkawe yat BavAn
   praviśyālīka-pāṇḍitya-dur-vidagdhatayā ayi visṛja viṣādaṃ ity etair anyaiś	praviSya-alIka--pANxitya--dur-vidagDa-tayA ayi visRja vizAdam iti etEH anyEH-
   ca kaṭu-vacanair nirbhartsya sāṃprataṃ kiṃ rodiṣi | punar apy upāyaṃ	ca kawu-vacanEH nirBartsya sAMpratam kim rodizi | punar api upAyam
   pṛcchasi |]	pRcCasi |]
   rājā - kathaṃ samāśvāsanam api nirbhartsitam iti bhaṇitaṃ mūrkheṇa |	rAjA  kaTam samASvAsanam api nirBartsitam iti BaNitam mUrKeNa |
   vidūṣakaḥ - jāṇidaṃ evva ko ettha mukkho tti | tā kiṃ edeṇa |	vidUzakaH  jANidam evva kaH etTa mukKaH tti | tA kim edeNa |
   atthama-āhilāsī bhaavaṃ sahassa-rassī | tā ehi abbhantaraṃ evva pavisamha	atTam-a-a-ahi-lAsI Baavam sahassa-rassI | tAH ehi abBantaram evva pavi-samha
   | [jñātam eva ko 'tra mūrkha iti | tat kim anena astamayābhilāṣī bhagavān	| [jQAtam eva kaH atra mUrKaH iti | tat kim anena astamaya-aBilAzI BagavAn
   sahasra-raśmiḥ | tad ehy abhyantaram eva praviśāvaḥ |]	sahasra-raSmiH | tat ehi aByantaram eva praviSAvaH |]
   rājā - (vilokya) aye pariṇata-prāyo divasaḥ | ahaha | saṃprati hi	rAjA  (vilokya) aye pariNata--prAyaH divasaH | ahaha | saMprati hi
   hṛtvā padma-vana dyutiṃ priyatameveyaṃ dina-śrīr gatā	hRtvA padma-vana dyutim priyatam-eva-iyam dina--SrIH gatA
   rāgo 'smin mama cetasīva savitur bimbe 'dhikaṃ lakṣyate /	rAgaH asmin mama cetasi-iva savituH bimbe aDikam lakzyate /
   [p. 23]	[p. 23]
   cakrāhvo 'ham iva stithaḥ saha-carīṃ dhyāyan nalinyāṣ taṭe	cakra-AhvaH aham iva stiTaH saha-carIm DyAyan nalinyAH tawe
   saṃjātā sahasā mameva bhuvanasyāpy andhakārā diśaḥ // HPri_2.10 //	saMjAtA sahasA mama-iva Buvanasya-api anDakArAH diSaH // HPri_2.10 //
   (iti niṣkrāntāḥ sarve |)	(iti nizkrAntAH sarve |)
   (iti dvitīyo 'ṅkaḥ) ||	(iti dvitIyaH aFkaH) ||
   tṛtīyo 'ṅkaḥ |	tRtIyaH aFkaH |
   (tataḥ praviśati Manoramā |)	(tatas praviSati ManoramAH |)
   Manoramā - āṇatta mhi devīe Vāsavadattāe hanje Maṇorame jaṃ taṃ	ManoramAH  ANatta mhi devIe VAsavadattAe hanje MaNa-urame jam tam
   Saṃkiccāyaṇīe ajja-uttassa mama a uttantaṃ ṇāḍaovaṇibaddhaṃ tassa	SaMkit-cAyaNIe ajja--uttassa mama a uttantam NAxaaH-vaNi-badDam tassa
   ṇaccidavva-sesaṃ [p. 24] ajja tumhehiṃ komudī-mahūsave ṇaccidavvaṃ ti |	Naccit-avva-sesam [p. 24] ajja tumhehim komudI--mahUsave Naccit-avvam ti |
   hio kkhu Āraṇṇiāe pia-sahīe suṇṇa-hiaāe aṇṇahā evva ṇaccidaṃ | ajja uṇa	hio kKu ĀraNNiAe pia-sahIe suNNa-hiaAe aNNa-hA evva Naccit-am | ajjaH uNa
   Vāsavadattā-bhūmiāe tāe jai taha karīadi tado avassaṃ devī kuppadi | tā	VAsavadattA--BUmiAe tAe jE taha karIadi tadaH avassam devI kuppadi | tA
   kahiṃ dāva tāṃ pekkhia uvālambhissaṃ | (vilokya |)esā Āraṇṇiā appaṇā evva	kahim dAva tAm pekKie uvAlamBiH-sam | (vilokya |)esA ĀraNNiA appaNAH evva
   kiṃ vi kiṃ vi mantaantī digghiā-tīle kadalī-gharaaṃ pavisadi | tā	kim vi kim vi mantaantI diS-hiA--tIle kadalI-Garaam pavi-sadi | tA
   gumm'-antariā bhavia suṇissaṃ dāva se vīsaddha-jappidāṇiṃ | [ājñaptāsmi	gumm-a-antariA Bavia suNissam dAva se vIsat-ha-jappi-dANim | [a-AjQaptA-asmi
   devyā Vāsavadattayā hañje Manorame yaḥ sa Sāṅkṛtyāyany ārya-putrasya mama	devyAH VAsavadattayA haQje Manorame yaH sa SAFkRtyAyani Arya-putrasya mama
   ca vṛttānto nāṭakopanibaddhas tasya nartitavya-śeṣam adya yuṣmābhiḥ	ca vRttAntaH nAwakopanibadDaH tasya nartitavya--Sezam adya yuzmABiH
   kaumudī-mahotsave nartitavyam iti | hyaḥ khalv Āraṇyikayā priya-sakhyā	kOmudI--mahA-utsave nartitavyam iti | hyaH Kalu ĀraNyikayA priya--saKyA
   śūnya-hṛdayayānyathaiva nartitam | adya punar Vāsavadattā-bhūmikayā tayā	SUnya--hRdayayA-anyaTA-eva nartitam | adya punar VAsavadattA--BUmikayA tayA
   yadi tathā kriyate tato 'vaśyaṃ devī kupyati | tat kutra tāvat tāṃ	yadi taTA kriyate tatas avaSyam devI kupyati | tat kutra tAvat tAm
   prekṣyopālapsye | (vilokya |) eṣāraṇyikātmanaiva kim api kim api	prekzya-upAlapsye | (vilokya |) ezA-AraNyika-AtmanA-eva kim api kim api
   mantrayamāṇā dīrghikā-tīre kadalī-gṛhaṃ praviśati | tad gulmāntaritā	mantrayamANA dIrGikA--tIre kadalI--gRham praviSati | tat gulma-antaritA
   bhūtvā śroṣyāmi tāvad asyā viśrabdha-jalpitāni |]	BUtvA SrozyAmi tAvat asyAH viSrabDa--jalpitAni |]
   (tataḥ praviśaty āsana-sthā kāmāvasthāṃ nāṭayanty Āraṇyikā |)	(tatas praviSati Asana---sTA kAma-avasTAm nAwayanti ĀraNyikA |)
   Āraṇyikā - (niḥśvasya |) hiaa dullaha-jaṇaṃ patthaanto tumaṃ kīsa maṃ	ĀraNyikA  (niHSvasya |) hiaa dullaha--jaNam patTaantaH tumam kIsa mam
   dukkhidaṃ karesi | [hṛdaya durlabha-janaṃ prārthayamānaṃ tvaṃ kasmān māṃ	dukKidam karesi | [hRdaya durlaBa-janam prArTayamAnam tvam kasmAt mAm
   duḥkhitāṃ karoṣi |]	duHKitAm karozi |]
   Manoramā - taṃ edaṃ edassa suṇṇa-hiaattaṇassa kāraṇaṃ | kiṃ uṇa esā	ManoramAH  tam edam edaH-sa suNNa-hiaat-taNassa kAraNam | kim uNaH esA
   patthedi | avahidā dāva suṇissaṃ | [tad etad asyāḥ śūnya-hṛdayatvasya	patTedi | avahidAH dAva suNissam | [tat etat asyAH SUnya--hRdaya-tvasya
   kāraṇam | kiṃ punar eṣā prārthayate | avahitā tāvac chroṣyāmi |]	kAraNam | kim punar ezA prArTayate | avahitA tAvat SrozyAmi |]
   Āraṇyikā - (sāsram |) kahaṃ taha ṇāma somma-daṃsaṇo bhavia mahā-rāo evvaṃ	ĀraNyikA  (sA-asram |) kaham taha NAma somma-daMsaNaH Bavia mahA--rAaH evvam
   saṃdāvedi maṃ | acchariaṃ acchariam | ahavā maha evva esā a-bhāa-headā |	saMdAvedi mam | acCariam acCariam | ahavAH mahe evva esA a-BAa--headA |
   ṇa uṇa mahā-rāassa doso | [kathaṃ tathā nāma saumya-darśano bhūtvā	NaH uNa mahA--rAaH-sa dosaH | [kaTam taTA nAma sOmya-darSanaH BUtvA
   mahā-rāja evaṃ saṃtāpayati mām | āścaryam āścaryam | (niḥśvasya |) athavā	mahA-rAjaH evam saMtApayati mAm | AScaryam AScaryam | (niHSvasya |) aTavA
   mamaivaiṣā 'bhāgadheyatā | na punar mahā-rājasya doṣaḥ |]	mama-eva-ezA aBAga-Deya-tA | na punar mahA--rAjasya dozaH |]
   Manoramā - (sa-bāṣpam |) kaham mahā-rāo evva se patthaṇijjo | sāhu	ManoramAH  (sa-bAzpam |) kaham mahA--rAaH evva se patTaNijjaH | sAhu
   pia-sahī sāhu | abhijāa-sariso de ahilāso | [kathaṃ mahā-rāja evāsyāḥ	pia-sahI sAhu | aBijAa-sarisaH de ahilAsaH | [kaTam mahA--rAjaH eva-asyAH
   prārthanīyaḥ | sādhu priya-sakhi sādhu | ābhijātya-sadṛśas te 'bhilāṣaḥ |]	prArTanIyaH | sADu priya--saKi sADu | ABijAtya--sadRSaH te aBilAzaH |]
   Āraṇyikā - kassa dāva edaṃ uttantaṃ ṇivedia sajjha-veaṇaṃ via dukkhaṃ	ĀraNyikA  kassa dAvaH edam uttantam Nivedia sajJa-veaNam via dukKam
   kāraissaṃ | (vicintya |) ahavā atthi me hiaa-ṇivvisesa pia-sahī Manoramā |	kArEH-sam | (vicintya |) ahavAH atTi me hiaa-Ni-vvisesa pia-sahI ManoramAH |
   tāe vi edaṃ lajjāe ṇa pāremi kahiduṃ | savvahā maraṇaṃ vajjia kudo me	tAe vi edam lajjAe Na pAremi kahidum | sa-vvahA maraNam vajjia kudaH me
   hiaassa aṇṇa ṇivvudī | [kasmai tāvad etaṃ vṛttāntaṃ nivedya sahya-vedanam	hiaassa aNNa NivvudI | [kasmE tAvat etam vRttAntam nivedya sahya--vedanam
   iva duḥkhaṃ kariṣyāmi | (vicintya |) athavā asti me hṛdaya-nirviśeṣā	iva duHKam karizyAmi | (vicintya |) aTavA asti me hRdaya--nirviSezA
   priya-sakhī Manoramā | tasyā apy etal lajjayā na pārayāmi kathayitum |	priya--saKI ManoramAH | tasyAH api etat lajjayA na pArayAmi kaTayitum |
   sarvathā maraṇaṃ varjayitvā kuto me hṛdayasyānyā nirvṛtiḥ |]	sarvaTA maraNam varjayitvA kutas me hRdayasya-anyA nirvRtiH |]
   [p. 25]	[p. 25]
   Manoramā - (sāsram |) haddhi haddhi | adibhūmiṃ gado se tavassiṇīe aṇurāo	ManoramAH  (sA-asram |) hadDi hadDi | adiBUmim gadaH se tavassiNIe aNurAaH-
   | tā kiṃ dāṇiṃ ettha karissaṃ [hā dhik hā dhik | atibhūmiṃ gato 'syās	| tA kim dANim etTa karissam [hA Dik hA Dik | ati-BUmim gataH asya-as
   tapasvinyā anurāgaḥ | tat kim idānīm atra kariṣyāmi |]	tapasvinyAH anurAgaH | tat kim idAnIm atra karizyAmi |]
   Āraṇyikā - (sābhilāṣam |) aaṃ so uddeso jassiṃ mahuarehiṃ āāsijjantī	ĀraNyikA  (sA-aBilAzam |) aam saH uddesaH jassim mahuarehim AAsijjantI
   olambia mahā-rāeṇa samassāsida mhi bhīru mā bhaāhi tti | [ayaṃ sa uddeśo	olambia mahA--rAeNa samassAsida mhi BIru mA BaAhi tti | [ayam saH uddeSaH-
   yasmin madhukarair āyāsyamānāvalambya mahā-rājena samāśvāsitāsmi bhiru mā	yasmin maDukarEH AyAsyamAna-avalambya mahA--rAjena samASvAsitA-asmi Biru mA
   bibhīhīti |]	biBIhi-iti |]
   Manoramā - (sa-harṣam |) kahaṃ esā vi diṭṭhā mahā-rāeṇa | savvahā atthi se	ManoramAH  (sa-harzam |) kaham esA vi diwWA mahA--rAeNa | sa-vvahAH atTi se
   jīvidassa uvāo | jāva uvasappia samassāsemi ṇaṃ | (sahasopasṛtya |) juttaṃ	jIvi-dassaH uvAaH | jAvaH uvasappia samassAsemi Nam | (sahasA-upasRtya |) juttam
   ṇāma hiaassa vi lajjiduṃ | [katham eṣāpi dṛṣṭā mahā-rājena | sarvathāsty	NAma hiaassa vi lajjidum | [kaTam ezA-api dRzwA mahA--rAjena | sarvaTA-asti-
   asyā jīvitasyopāyaḥ | yāvad upasṛtya samāśvāsayāmy enām | (sahasopasṛtya	asyAH jIvitasya-upAyaH | yAvat upasRtya samASvAsayAmi enAm | (sahasA-upasRtya
   |) yuktaṃ nāma hṛdayasyāpi lajjitum |]	|) yuktam nAma hRdayasya-api lajjitum |]
   Āraṇyikā - (sa-lajjam ātma-gatam |) haddhi haddhi | savvaṃ sudaṃ edāe | tā	ĀraNyikA  (sa-lajjam Atma--gatam |) hadDi hadDi | savvam su-dam edAe | tA
   ettha juttaṃ evva paāsaiduṃ | (prakāśaṃ haste gṛhītvā |) pia-sahi mā kuppa	etTa juttam evva paAsa-edum | (prakASam haste gRhItvA |) pia-sahi mA kuppa
   mā kuppa | lajjā evva ettha avarajjhadi | [hā dhik hā dhik | sarvaṃ śrutam	mA kuppa | lajjA evva etTa avarat-Jadi | [hA Dik hA Dik | sarvam Srutam
   etayā | tad atra yuktam eva prakāśayitum | (prakāśaṃ haste gṛhītvā |)	etayA | tat atra yuktam eva prakASayitum | (prakASam haste gRhItvA |)
   priya-sakhi mā kupya mā kupya | lajjaivātrāparādhyati |]	priya--saKi mA kupya mA kupya | lajjA-eva-atra-aparADyati |]
   Manoramā - (sa-harṣam |) sahi alaṃ saṃkāe | edaṃ me āakkha | saccaṃ evva	ManoramAH  (sa-harzam |) sahi alam saMkAe | edam me AakKa | sat-cam evva
   tumaṃ mahā-rāeṇa diṭṭhā ṇa vetti | [sakhi alaṃ śaṅkayā | etan ma ācakṣva |	tumam mahA--rAeNa diwWA Na vetti | [saKi alam SaFkayA | etat me Acakzva |
   satyam eva tvaṃ mahā-rājena dṛṣṭā na veti |]	satyam eva tvam mahA--rAjena dRzwA na vA-iti |]
   Āraṇyikā - (sa-lajjam adho-mukhī |) sudaṃ evva pia-sahīe savvaṃ | [śrutam	ĀraNyikA  (sa-lajjam aDo-muKI |) sudam evva pia-sahIe savvam | [Srutam
   eva priya-sakhyā sarvam |]	eva priya-saKyA sarvam |]
   Manoramā - jai diṭṭhā mahā-rāeṇa tumaṃ tā alaṃ saṃtappideṇa | so evva	ManoramAH  jEH diwWAH mahA--rAeNa tumam tAH alam saMtappideNa | saH evva
   dāṇiṃ daṃsaṇovāa-pajjāulo bhavissadi | [yadi dṛṣṭā mahā-rājena tvaṃ tad	dANim daMsaNaH-vAa-pajjAulaH Bavissadi | [yadi dRzwA mahA--rAjena tvam tat-
   alaṃ saṃtāpitena | sa evedānīṃ darśanopāya-paryākulo bhaviṣyati |]	alam saMtApitena | saH eva-idAnIm darSana-upAya--paryAkulaH Bavizyati |]
   [p. 26]	[p. 26]
   Āraṇyikā - ahaṃ sahī-aṇo pakkha-vādeṇa mantedi | ai sahi-pakkha-vādiṇi |	ĀraNyikA  aham sahI-aNaH pakKa-vAdeNa mantedi | E sa-hi-pakKa-vAdiNi |
   devī-guṇa-ṇiala-ṇibaddhe kkhu tassiṃ jaṇe kudo edaṃ | [ayaṃ sakhī-janaḥ	devI--guNa--Niala--NibadDe kKu tassim jaNe kudaH edam | [ayam saKI--janaH
   pakṣa-pātena mantrayate | ayi sakhi-pakṣa-pātini |	pakza-pAtena mantrayate | ayi saKi--pakza--pAtini |
   devī-guṇa-nigaḍa-nibaddhe khalu tasmiñ jane kuta etat |]	devI--guNa--nigaxa--nibadDe Kalu tasmin jane kutas etat |]
   Manoramā - (vihasya |) halā a-paṇḍide kamaliṇī-baddhāṇurāo vi mahuaro	ManoramAH  (vihasya |) halAH a-paNxide kamaliNI--badDa-aNurAaH vi mahuaraH-
   māladīṃ pekkhia ahiṇava-rasāssāda-lampaḍo kudo taṃ aṇ-āsādia ṭṭhidiṃ	mAladIm pekKia ahiNava--rasa-AssAt-a-lampaxaH kudaH tam aN-Asa-Adia wWidiM
   karedi | [halā a-paṇḍite kamalinī-baddhānurāgo 'pi madhu-karo mālatīṃ	karedi | [halAH a-paNxite kamalinI--badDa-anurAgaH api maDu-karaH mAlatIm
   prekṣyābhinava-rasāsvāda-lampaṭaḥ kutas tām an-āsādya sthitiṃ karoti |]	prekzya-aBinava--rasa-AsvAda--lampawaH kutas tAm an-AsAdya sTitim karoti |]
