   Upāyahṛdayam /	UpAya hRdayam /
   vādasya mahākaṇṭakāni gambhīraduḥkhāni jñeyāni, drutañca heyāni /	vAdasya mahA kaNwakAni gamBIra duHKAni jQeyAni, drutaQca heyAni /
   nanu praśnāḥ katividhāḥ / ucyate / trividhāḥ / yathā vacanasamaḥ,	nanu praSnAH kativiDAH / ucyate / triviDAH / yaTA vacana samaH,
   arthasamaḥ, hetusamaśca / yadi vādinastaistribhiḥ (# Uh 20.#)	arTa samaH, hetu samaH ca / yadi vAdinaH tEH triBiH (# Uh 20.#)
   praśnottarāṇi na kurvanti tadvibhrāntam / yadyeteṣāṃ	praSna uttarANi na kurvanti tad viBrAntam / yadi etezAm
   trayāṇāmuttarāṇāmanyatamaṃ nyūnaṃ syāttadasampannam /	trayANAm uttarANAm anyatamam nyUnam syAt tat asampannam /
   yadi vadedahamevamprakārān trīn praśnānnāvagacchāmi mama	yadi vadet aham evamprakArAn trIn praSnAn na avagacCAmi mama
   yathājñānamanyonyaṃ praṣṭavyaṃ, tadādoṣaḥ /	yaTAjQAnam anyonyam prazwavyan, tadAdozaH /
   vākyasamaḥ yathā / ātmā nāstītyukte tadvākyāśrayeṇa praśnaḥ / ayaṃ	vAkya samaH yaTA / AtmA na asti iti ukte tad vAkya ASrayeNa praSnaH / ayam
   vākyasama ityucyate /	vAkya samaH iti ucyate /
   arthasamaḥ tanmatopādānamevāyamarthasama ityucyate /	arTa samaH tad mata upAdAnam eva ayam arTa samaH iti ucyate /
   hetusamaḥ / paramanogaterutpādakasya hetorjñāmayaṃ hetusama ityucyate /	hetu samaH / para manogateH utpAdakasya hetoH jQA mayam hetu samaH iti ucyate /
   evaṃ sāmarthye satye nigrahasthānamityucyate /	evam sAmarTye satye nigraha sTAnam iti ucyate /
   yadyatidrutaṃ vadecchrotāraśca nāvagaccheyustadapi nigrahasthānam /	yadi atidrutam vadet SrotAraH ca na avagacCeyuH tat api nigraha sTAnam /
   athaitāvamātramaparāṇi vā santi / atrocyate / santyeva yathā nyūnaṃ,	aTa etAva mAtram aparANi vA santi / atra ucyate / santi eva yaTA nyUnaM,
   adhikam nirarthakaṃ, aprāptakālaṃ, punaruktaṃ pratijñāsannyāsa ityādīni	aDikam nirarTakaM, aprApta kAlaM, punaruktam pratijQAsannyAsaH ityAdIni
   nigrahasthānānītyucyante /	nigraha sTAnAni iti ucyante /
   yadyevamādi pūrvapakṣī vadet, tadā nigrahasthānāpattiḥ /	yadi evamAdi pUrva pakzI vadet, tadA nigraha sTAna ApattiH /
   atha pratijñāvirodhaḥ / yathā vijñānaṃ nityam / kasmāt / vijñānasya hi	aTa pratijQA viroDaH / yaTA vijQAnam nityam / kasmAt / vijQAnasya hi
   dvaividhyam / vijñānotpāttirvijñākriyā ca /	dvEviDyam / vijQAna utpAttiH vijQA kriyA ca /
   ghaṭasyāpi dvaividhyam, ghaṭotpattirghaṭakriyā ca / evaṃ	Gawasya api dvEviDyam, Gawa utpattiH Gawa kriyA ca / evam
   vijñānamutpādyamānameva sakriyaṃ tasmānnityam / ghaṭasya tūtpattyanantaraṃ	vijQAnam utpAdyamAnam eva sa kriyam tasmAt nityam / Gawasya tu utpatti anantaram
   sakriyatvam, tasmādanityatvam /	sa kriya tvam, tasmAt anitya tvam /
   atra dūṣaṇam / utpattāveva sakriyatvānnityamiti ceddīpasyāpyutpattāveva	atra dUzaNam / utpattO= eva sa kriyatvAt nityam iti ced dIpasya api utpattO= eva
   sakriyatvānnityatvaprasaṅgaḥ / atha dīpaścakṣuṣā dṛṣṭaḥ syāt, śabdaśca	sa kriya tvAt nitya tva prasaFgaH / aTa dIpaH cakzuzA dRzwaH syAt, SabdaH ca
   śravaṇena śrūyata iti kathaṃ dṛṣṭāntopapattiḥ /	SravaNena SrUyate iti kaTam dRzwAnta upapattiH /
   etatpratijñāsannyāsanigrahasthānam /	etad pratijQAsannyAsa nigraha sTAnam /
   (# Uh 21.#)	(# Uh 21.#)
   aparañca / kecidvadantyātmā nitya iti / kathaṃ jñātam / anaindriyakatvāt /	aparaQca / kecid vadanti AtmA nityaH iti / kaTam jQAtam / anEndriyaka tvAt /
   yathā ākāśo 'naindriyakatvānnityaḥ /	yaTA AkASaH anEndriyaka tvAt nityaH /
   atra dūṣaṇam / paramāṇavo 'nindriyakā api tvanityāḥ /	atra dUzaNam / paramANavaH anindriyakAH api tu anityAH /
   atrocyate / ātmākṛtakatvānnityaḥ paramāṇavastu kṛtakatvādanityāḥ /	atra ucyate / Atma akRtaka tvAt nityaH paramANavaH tu kRtaka tvAt anityAH /
   atra dūṣaṇam / anupalabdheriti bhavatā pūrvamuktam / adhunā	atra dUzaNam / anupalabDeH iti BavatA pUrvam uktam / aDunA
   cākṛtakatvādibyucyate / ayaṃ pratijñāvirodhaḥ /	ca akRtaka tva Adi bi ucyate / ayam pratijQA viroDaH /
   nanūcyate 'haṃ virodhīti cedbhavāṃstu mama vacanaṃ pratikūlayan katham	nanu ucyate aham viroDi iti ced BavAn= tu mama vacanam pratikUlayan kaTam
   virodhau na syāt /	viroDO na syAt /
   kiñca kathametadyuktisaham / yadvi viruddhamityucyate mayā, sā bhavata eva	kiQca kaTam etat yukti saham / yat vi virudDam iti ucyate mayA, sA BavataH eva
   vacanasya pūrvoktenārthan pratikūlatā / tasmādviruddhamityuktam /	vacanasya pUrva uktena arTan pratikUla tA / tasmAt virudDam iti uktam /
   anyacca / bhavatā pūrvamuktamaspaṣṭatvānme saṃśaya utpanna iti / nāhaṃ	anyat ca / BavatA pUrvam uktam aspazwa tvAt me saMSayaH utpannaH iti / na aham
   bhavadvirodhītyevaṃ saṃśayena virodhaḥ / etadapi nigrahasthānamiti /	Bavat viroDI iti evam saMSayena viroDaH / etat api nigraha sTAnam iti /
   // iti dvitīyaṃ prakaraṇam //	// iti dvitIyam prakaraNam //
   (# Uh 22.#)	(# Uh 22.#)
   atha tṛtīyaṃ prakaraṇam /	aTa tRtIyam prakaraNam /
   vādī prāha / yadi kaścidvadedasti sattvo yāvatsanti prāṇā asti jīva ityādi	vAdI prAha / yadi kaScid vadet asti sattvaH yAvat santi prANAH asti jIvaH ityAdi
   / kathaṃ jñātam / aindriyakatvāt / yathā	/ kaTam jQAtam / Endriyaka tvAt / yaTA
   nirupadhiśeṣanirvāṇasyendriyairanupalabdherabhāvaḥ sattvānāntu na tathā /	nirupaDi Seza nirvANasya indriyEH anupalabDeH aBAvaH sattva anAntu na taTA /
   tasmātsantyeva iti jñātam /	tasmAt santi eva iti jQAtam /
   atmā nityaḥ / yathārhattvaphalaṃ kasmiṃścideva kāle vidyamānamapi pūrvaṃ	atmA nityaH / yaTArhat tva Palam kasmiMScid eva kAle vidyamAnam api pUrvam
   paścāccāvidyamānatvādabhāva iti jñāyate / yathā ca dvītīyo mūrdhā tṛtīyo	paScAt ca avidyamAna tvAt aBAvaH iti jQAyate / yaTA ca dvItIyaH mUrDA tRtIyaH 
   hastaśca / abhūtvā bhāvāt prāgabhāvaḥ / bhūtvā tu vināśātpradhvaṃsābhāva	hastaH ca / aBUtvA BAvAt prAc aBAvaH / BUtvA tu vinASAt praDvaMsa aBAva
   iti jñāyate / ātmā tu na tathā tasmānnityaḥ /	iti jQAyate / AtmA tu na taTA tasmAt nityaH /
   atra dūṣaṇam / yathā mūla[kīla]odakānyadṛśyatvānna sadityuktam /	atra dUzaNam / yaTA mUla[kIla]a udakAni adRSya tvAt na sat iti uktam /
   arhattva[phalasyāpi] tathātvameva na tvabhāvaḥ / etattu na bhavatā	arhat tva[ Palasya api] taTA atvam eva na tu aBAvaH / etat tu na BavatA
   sākṣātkriyate /	sAkzAtkriyate /
   nanu maivam / udakasya pṛthivyāvaraṇādadṛśyatvam / arhattva[phalasya tu]	nanu mA evam / udakasya pRTivI AvaraNAt adRSya tvam / arhat tva[ Palasya tu]
   kenāvaraṇenādṛśyatvam / tasmāttadasaditi jñāyate /	kena AvaraNena adRSya tvam / tasmAt tat asat iti jQAyate /
   atra dūṣaṇam / yadbhavatoktaṃ [yathā] dvitīyasya mūrdhnastṛtīyasya	atra dUzaNam / yat BavatA uktam [yaTA] dvitIyasya mUrDnaH tRtIyasya
   hastasya cādṛśyatvāda[bhāvaḥ] arhattva[phalasyāpya]bhāvaḥ iti spaṣṭam /	hastasya ca adRSya tvAt a[BAvaH] arhat tva[ Palasya api a]BAvaH iti spazwam /
   tadayuktam / dvitīyasya mūrdhno nāstitve 'pi tarhi na prathamasya	tat ayuktam / dvitIyasya mUrDnaH na astitve api tarhi na praTamasya
   nāstitvam / arhattva[phalaṃ] tu nāstyeveti tasyaivātyantābhāvaḥ / kathaṃ	nAstitvam / arhat tva[ PalaM] tu na asti eva iti tasya eva atyanta aBAvaH / kaTam
   dṛṣṭāntatopapattiḥ / yacca bhavatoktamanupalabdhernirvāṇābhāvaḥ siddha iti	dRzwAntatA upapattiH / yat ca BavatA uktam anupalabDeH nirvANa aBAvaH sidDaH iti
   tadapyayuktam / kiṃ nāma (mahā)śāgarodakasya	tat api ayuktam / kim nAma (mahA)SAgara udakasya
   binduparimāṇasyāśakyajñānatvāttadasaditi (# Uh 23.#) vaktuṃ śakyate /	bindu parimANasya aSakya jQAna tvAt tat asat iti (# Uh 23.#) vaktum Sakyate /
   yadyapi binduparimāṇaṃ na jñāyate tathāpyastyeva sāgaraḥ / nirvāṇasyāpi	yadi api bindu parimANam na jQAyate taTA api asti eva sAgaraH / nirvANasya api
   tathātvam / anupalabdhāvapi tattattvataḥ sadeva / asaditi cedvaktavyam	taTAtvam / anupalabDO= api tat tattvataH sat eva / asat iti ced vaktavyam
   tasya kāraṇam / yadi na śakyate vaktaṃ tadā bhavata evārthahāniḥ /	tasya kAraNam / yadi na Sakyate vaktam tadA BavataH eva arTa hAniH /
   ayamucyate yathādharmavādaḥ /	ayam ucyate yaTA Darma vAdaH /
   anyacca yadyanupalabdhernirvāṇasyāsattvaṃ, tadā parasya saṃśayaḥ / yathā	anyat ca yadi anupalabDeH nirvANasya asattvaM, tadA parasya saMSayaH / yaTA
   rātrau taruṃ dṛṣṭvā citte saṃśayaḥ / eṣa sthāṇurvā manuṣyo veti / na khalū	rAtrO tarum dRzwvA citte saMSayaH / eza sTANuH vA manuzyaH vA iti / na KalU
   taruḥ sthāṇoḥ puruṣasya vo[palabdhau] niyato hetuḥ / anupalabdhireva	taruH sTANoH puruzasya vA u[palabDO] niyataH hetuH / anupalabDiH eva
   nirvāṇasyābhāve niyato heturiti cennātra saṃśayasambhavaḥ /	nirvANasya aBAve niyataH hetuH iti ced na atra saMSaya samBavaH /
   anyacca karmavipākāvināśāt, sadeva nirvāṇam / kuta iti cet / yathā davena	anyat ca karma vipAka avinASAt, sat eva nirvANam / kutas iti ced / yaTA davena
   girestarudāhe 'gnistadvināśahetuḥ / kaḥ punastasya karmavipākasya	gireH taru dAhe agniH tad vinASa hetuH / kaH punar tasya karma vipAkasya
   vināśaheturyena tadvinaśyate / nirvāṇalābhe tadā prahāniḥ /	vinASa hetuH yena tat vinaSyate / nirvANa lABe tadA prahAniH /
   atrocyate / asti tattvato vināśahetuḥ / āvaraṇāttvanupalabdhaḥ /	atra ucyate / asti tattvataH vinASa hetuH / AvaraNAt tu anupalabDaH /
   atra dūṣaṇam / nirvāṇamapi sadāvaraṇāttvanupalabdham /	atra dUzaNam / nirvANam api sat AvaraNAt tu anupalabDam /
   kiñca yadi vipākasya vināśaheturvartata iti cennocyate / tadā bhavato	kiQca yadi vipAkasya vinASa hetuH vartate iti ced na ucyate / tadA BavataH 
   'rthahāniḥ / yadyabhāvādvināśaheturanuktastadāvaraṇābhāvo 'pi kathamuktaḥ	arTa hAniH / yadi aBAvAt vinASa hetuH anuktaH tad AvaraNa aBAvaH api kaTam uktaH
   / evaṃ kāraṇairkarmāṇāmavināśo jñāyate /	/ evam kAraNEH karmANAm avinASaH jQAyate /
   eṣa yathādharmavāda ityucyate /	eza yaTADarma vAdaH iti ucyate /
   pūrvapakṣī vadati / yadi sāgarodakasadbhāvānnirvāṇasadbhāvaḥ siddhastadā	pUrva pakzI vadati / yadi sAgara udaka sadBAvAt nirvANa sadBAvaH sidDaH tadA
   kiṃ dvitīyasyāpi mūrdhnaḥ sadbhāvo na sidhyati / dvitīyasyāpi mūrdhnaḥ	kim dvitIyasya api mUrDnaH sadBAvaH na siDyati / dvitIyasya api mUrDnaH
   sadbhāvo na siddha iti cet (# Uh 24.#) kathaṃ nirvāṇasya sadbhāvaḥ /	sadBAvaH na sidDaH iti ced (# Uh 24.#) kaTam nirvANasya sadBAvaH /
   tasmādbhavatoktaḥ sāgarodakadṛṣṭāntaḥ nirvāṇasadbhāvaṃ sādhayituṃ na	tasmAt BavatA uktaH sAgara udaka dRzwAntaH nirvANa sadBAvam sADayitum na
   samarthaḥ / kiṃ dvitīyasya mūrdhnaḥ sadbhāvaṃ sādhayet /	samarTaH / kim dvitIyasya mUrDnaH sadBAvam sADayet /
   atra dūṣaṇam / kiṃ nirvāṇamasaditi bhavadabhipretam / asataḥ sattā vāsato	atra dUzaNam / kim nirvANam asat iti Bavat aBipretam / asataH sattA vAsataH 
   'sattā vā / asato 'satteti cet kathaṃ nirvāṇamasaditi pratijñāyate / yadi	asattA vA / asataH asatta iti ced kaTam nirvANam asat iti pratijQAyate / yadi
   tvasataḥ sattā kathaṃ bhavatāsattocyate /	tvasataH sattA kaTam BavatA asattA ucyate /
   yadyasato nirvāṇasya sattā tadā svato 'sato 'sattvamapi saditi cet, kathaṃ	yadi asataH nirvANasya sattA tadA svatas asataH asattvam api sat iti cet, kaTam
   na nirvāṇasadbhāvalāba ityatra heturvaktavyaḥ / yadi vaktuṃ na śakyate,	na nirvANa sadBAva lAbaH iti atra hetuH vaktavyaH / yadi vaktum na Sakyate,
   tadā niścitameva nirvāṇaṃ saditi jñeyam / etadapi yathādharmavāda	tadA niScitam eva nirvANam sat iti jQeyam / etat api yaTADarma vAda
   ityucyate /	iti ucyate /
   nanvātmā nityo 'nityo vā / atmā 'kṛtakatvānnityaḥ, ghaṭādiṣṭu	nanu AtmA nityaH anityaH vA / atmA akRtaka tvAt nityaH, Gawa At izwu
   kṛtakatvādanityaḥ /	kRtaka tvAt anityaH /
   atra dūṣaṇam / akṛtakatvādātmā nitya iti cettadayuktam / kasmāt /	atra dUzaNam / akRtaka tvAt AtmA nityaH iti ced tat ayuktam / kasmAt /
   puruṣāṇāṃ saṃśayajanakatvāt / yadyakṛtakatvānnitya evātmeti tadā nityo	puruzANAm saMSaya janaka tvAt / yadi akRtaka tvAt nityaH eva AtmA iti tadA nityaH 
   'nitya veti saṃśayasyāsambhavaḥ / saṃśayajanakatvāddoṣaḥ /	anitya vA iti saMSayasya asamBavaH / saMSaya janaka tvAt dozaH /
   vādī / iyaṃ doṣāpattirna mamaivāpi tu sarveṣāmeva vādināṃ yathā śabdo	vAdI / iyam doza ApattiH na mama eva api tu sarvezAm eva vAdinAm yaTA SabdaH 
   nityo 'mūrtatvāt / atītaḥ kāyo 'styeva pūrvanivāsānusmaraṇādityādipratijñā	nityaH amUrta tvAt / atItaH kAyaH asti eva pUrva nivAsa anusmaraNAt itya Adi pratijQA
   pūrvavatsaṃśayamutpādayatīti / tasmatsarvatraiva doṣāpattiḥ /	pUrvavat saMSayam utpAdayati iti / tasmat sarvatra eva doza ApattiH /
   atra dūṣaṇam / dṛṣṭānta eva saṃśayaṃ nirdhārayati / bhavatāṃ tūdāhṛto	atra dUzaNam / dRzwAntaH eva saMSayam nirDArayati / BavatAm tu udAhRtaH 
   dṛṣṭānto mama saṃśayamutpādayati tasmādasiyo 'yaṃ dṛṣṭāntaḥ / dṛṣṭānte	dRzwAntaH mama saMSayam utpAdayati tasmAt asiyaH ayam dRzwAntaH / dRzwAnte
   'siddhe 'rthahāniḥ / tadeva nigrahasthānam /	asidDe arTa hAniH / tat eva nigraha sTAnam /
   yatpunarbhavatoktaṃ sarveṣāmeva doṣāpattirna tu mamaivetyeṣa (# Uh 25.#)	yat punar BavatA uktam sarvezAm eva doza ApattiH na tu mama eva iti eza (# Uh 25.#)
   svadoṣa eva na tu paradoṣaḥ / kuta iti cet / yathā kaścidabhiyukta	sva dozaH eva na tu para dozaH / kutas iti ced / yaTA kaScid aBiyukta
   ātmānamaprakāśya sarva eva taskarā iti vadettadāsau puruṣa ātmānamapi	AtmAnam aprakASya sarve eva taskarAH iti vadet tadA asO puruzaH AtmAnam api
   taskaraṃ manyata iti jñeyam / bhavānapi tathā tasmānnigrāhyaḥ /	taskaram manyate iti jQeyam / BavAn api taTA tasmAt nigrAhyaH /
   idānīṃ yadi bhavānātmānaṃ prakāśayitumiḥcchu pūrvayuktimatikramya	idAnIm yadi BavAn AtmAnam prakASayitum iHcCu pUrva yuktim atikramya
   punarvaktumicchennūnaṃ bahudoṣāpattiḥ syāt / bhavataḥ prathamaḥ pakṣo	punar vaktum icCet nUnam bahu doza ApattiH syAt / BavataH praTamaH pakzaH 
   dvitīyena [pakṣeṇa] dūṣitaḥ / tṛtīyaścārtho mayā dūṣitaḥ / pañcamena	dvitIyena [pakzeNa] dUzitaH / tRtIyaH ca arTaH mayA dUzitaH / paQcamena
   doṣāvadhimicchan pūrvaṃ nātikrāmedataḥ bhavato 'ntyaḥ pakṣaḥ punaruktaṃ	doza avaDim icCan pUrvam na atikrAmet atas BavataH antyaH pakzaH punaruktam
   bhavet / punaruktaṃ ca nigrahasthānam /	Bavet / punaruktam ca nigraha sTAnam /
   nanvanuyojyaḥ ṣaṣṭho 'pi?	nanu anuyojyaH zazWaH api?
   atrocyate / sidvastāvatpañcamasya doṣaḥ / tatkathaṃ ṣaṣṭho 'nuyojyaḥ /	atra ucyate / sidvaH tAvat paQcamasya dozaH / tat kaTam zazWaH anuyojyaH /
   asmin hi pratyukte pūrvadoṣatulyatā / anuyoktuḥ sadoṣatve pratipakṣeṇa	asmin hi pratyukte pUrva doza tulya tA / anuyoktuH sa doza tve pratipakzeNa
   tūṣṇīmbhaviṃtavyam /	tUzNImBaviMtavyam /
   aparañca / ṣaṣṭhasya doṣaḥ pañcamenāparyanuyojyaḥ / kuta iti cet /	aparaQca / zazWasya dozaH paQcamena aparyanuyojyaH / kutas iti ced /
   pañcamenaiva hyeṣa ṣaṣṭho 'nuyuktaḥ / ato 'yaṃ svayame sadoṣaḥ kathaṃ taṃ	paQcamena eva hi eza zazWaH anuyuktaH / atas ayam svayame sa dozaH kaTam tam
   dūṣayet / evaṃ saddharmavādaḥ /	dUzayet / evam sat Darma vAdaH /
   // iti tṛtīyaṃ prakaraṇam //	// iti tRtIyam prakaraNam //
   (# Uh 26.#)	(# Uh 26.#)
   athe caturthaṃ prakaraṇam /	aTe caturTam prakaraNam /
   nanu bhavatā vyākhyāto yathādharmasadvādaḥ / kaḥ punaḥ sambandhaḥ /	nanu BavatA vyAKyAtaH yaTADarma sadvAdaH / kaH punar sambanDaH /
   atrocyate / praśnottarasambandho viṃśatividhaḥ / yadi kaścittena	atra ucyate / praSna uttara sambanDaH viMSativiDaH / yadi kaScid tena
   viṃśatividhenārthena samyagnyāyamārabhate sa sadvādasya jñātetyucyate /	viMSati viDena arTena samyak nyAyam AraBate sa sadvAdasya jQAtA iti ucyate /
   yadi naivaṃ tadā nāyaṃ vivādadharmāvagantā / eṣāṃ viṃśatividhānāṃ sāro	yadi na evam tadA na ayam vivAda Darma avagantA / ezAm viMSati viDAnAm sAraH 
   dvividhaḥ / vaidharmyaṃ sādharmyañca / sajātīyatvātsādharmyaṃ	dviviDaH / vEDarmyam sADarmyaQca / sajAtIya tvAt sADarmyam
   vijātīyatvādvaidharmyam / arthasya hi tatsamāśrayatvātte viṃśatidharmān	vijAtIya tvAt vEDarmyam / arTasya hi tad samASraya tvAt te viMSati DarmAn
   vyāpnuvataḥ /	vyApnuvataH /
   kiṃ sādharmyam / yathā kleśakṣayo nirābhāsa eva, ākāśabhāvo 'pi nirābhāsa	kim sADarmyam / yaTA kleSa kzayaH nirABAsaH eva, AkASa BAvaH api nirABAsa
   iti sādharmyam /	iti sADarmyam /
   kiṃ vaidharmyam / yathā nirvāṇamakṛtakatvānnityaṃ tathā sarve saṃskārāḥ	kim vEDarmyam / yaTA nirvANam akRtaka tvAt nityam taTA sarve saMskArAH
   kṛtakatvādanityāḥ / iti vaidharmyam /	kRtaka tvAt anityAH / iti vEDarmyam /
   nanu sādharmyavaidharmyābhyāṃ kathaṃ dūṣaṇam /	nanu sADarmya vEDarmyAByAm kaTam dUzaNam /
   atrocyate / sādharmyadūṣaṇamicchatā evaṃ vaktavyam / rūpaṃ cakṣuṣā dṛṣṭaṃ,	atra ucyate / sADarmya dUzaNam icCatA evam vaktavyam / rUpam cakzuzA dRzwaM,
   śabdastu śravaṇena śruta iti, kathaṃ tayoḥ sādharmyam / yadi rūpādbhinnaḥ	SabdaH tu SravaNena SrutaH iti, kaTam tayoH sADarmyam / yadi rUpAt BinnaH
   śabdastadā rūpasyānityatvācchabdo nityo bhavet /	SabdaH tadA rUpasya anitya tvAt SabdaH nityaH Bavet /
   vaidharmyadūṣaṇam / yatha rūpasyaindriyakatvādanityatā, ātmano	vEDarmya dUzaNam / yaTa rUpasya Endriyaka tvAt anitya tA, AtmanaH 
   'naindriyakatvānnityatā /	anEndriyaka tvAt nitya tA /
   ghaṭasyātmanaśca sadbhāvaḥ / sadbhāvasādharmye ghaṭasyānityatvādātmano 'pi	Gawasya AtmanaH ca sadBAvaH / sadBAva sADarmye Gawasya anitya tvAt AtmanaH api
   tathātvāpattiḥ / ghaṭasadbhāva ātmasadbhāvādbhinnastataścātmā (# Uh 27.#)	taTA tva ApattiH / Gawa sadBAvaH Atma sadBAvAt BinnaH tatas ca AtmA (# Uh 27.#)
   nityo ghātastvanitya iti cet / nityatāsādharmyada[pya]ātmanā nityena	nityaH GAtaH tu anityaH iti ced / nitya tA sADarmyat a[pya]a AtmanA nityena
   bhavitavyam /	Bavitavyam /
   evaṃ dūṣaṇaṃ viṃśatividhaṃ yathā 1 utkarṣa[sama]m, 2 apakarṣa[sama]m, 3	evam dUzaNam viMSativiDam yaTA 1 utkarza[ sama]m, 2 apakarza[ sama]m, 3
   bhedābheda[sama]m, 4 praśnabāhulyamuttarālpatā, 5	Beda aBeda[ sama]m, 4 praSna bAhulyam uttara alpatA, 5
   praśnālpatottarabāhulyam, 6 hetusamam, 7 kāryasamam, 8 vyāptisamam, 9	praSna alpatA uttara bAhulyam, 6 hetu samam, 7 kArya samam, 8 vyApti samam, 9
   avyāptisamam, 10 kālasamam, 11 prāptisamam, 12 aprāptisamam, 13 viruddham,	avyApti samam, 10 kAla samam, 11 prApti samam, 12 aprApti samam, 13 virudDam,
   14 aviruddham, 15 saṃśaya[sama]m, 16 asaṃśaya[sama]m, 17	14 avirudDam, 15 saMSaya[ sama]m, 16 asaMSaya[ sama]m, 17
   pratidṛṣṭānta[sama]m, 18 śrutisamam, 19 śrutibhinnam, 20	pratidRzwAnta[sama]m, 18 Sruti samam, 19 Sruti Bid nam, 20
   anupapatti[sama]ñceti praśnottaradharmā viṃśatidhā /	anupapatti[ sama]Qca iti praSna uttara DarmA viMSatiDA /
   1. utkarṣa[sama]m / yathā (kaścidvaded), ātmā nitya indriyānupalabdheḥ /	1. utkarza[ sama]m / yaTA (kaScid vadet ), AtmA nityaH indriya anupalabDeH /
   ākāśo hyanupalabdhernityaḥ / sarvamanupalabhyaṃ nityameva /	AkASaH hi anupalabDeH nityaH / sarvam anupalaByam nityam eva /
   ātmāpyanupalabhyaḥ kathaṃ tadanityatāprāptiḥ /	AtmA api anupalaByaH kaTam tat anitya tA prAptiH /
   atra dūṣaṇam / ākāśo 'cetanatvānnityaḥ / ātmā tu cetanaḥ kathaṃ nityaḥ /	atra dUzaNam / AkASaH acetana tvAt nityaH / AtmA tu cetanaH kaTam nityaH /
   ākāśaścetana ityanyāyyam / yadyātmācetanastadaivākāśena sadharmā / evaṃ	AkASaH cetanaH iti anyAyyam / yadi Atma acetanaH tadA eva AkASena saDarmA / evam
   vidvāṃsaḥ so 'nitya iti manyante / etadutkarṣa[sama]m /	vidvAMsaH saH anityaH iti manyante / etad utkarza[ sama]m /
   2. apakarṣa[sama]m / yathākāśo 'cetana ātmā tu cetanaḥ / kathamākāśa	2. apakarza[ sama]m / yaTA AkASaH acetanaH AtmA tu cetanaH / kaTam AkASa
   ātmano dṛṣṭāntaḥ / etadapakarṣa[sama]m /	AtmanaH dRzwAntaH / etad apakarza[ sama]m /
   3. bhedābheda[sama]m / yathātmanityatāsthāpana ākāśa udāharaṇam / [atra	3. Beda aBeda[ sama]m / yaTA Atma nitya tA sTApanaH AkASaH udAharaNam / [atra
   dūṣaṇaṃ] ātmā ākāśaścābhinnau iti cedaikadharmyāt kathamākāśasyātmano	dUzaNan] AtmA AkASaH ca aBinnO iti ceda eka DarmyAt kaTam AkASasya AtmanaH 
   dṛṣṭāntatā / (# Uh 28.#) bhinnau iti cedanyānyasādharmyāprāptiḥ /	dRzwAnta tA / (# Uh 28.#) BinnO iti ced anyAni asADarmyA prAptiH /
   etaducyate bhedābheda[sama]m /	etat ucyate Beda aBeda[ sama]m /
   4. anyacca / ātmā nityo 'naindriyakatvāt / yathākāśo 'nindriyakatvānnitya	4. anyat ca / AtmA nityaH anEndriyaka tvAt / yaTA AkASaH anindriyaka tvAt nitya
   iti bhavataḥ sthāpanā /	iti BavataH sTApanA /
   atha yadanaindriyakaṃ tannāvaśyaṃ nityam / tatkathaṃ siddham / etaducyate	aTa yat anEndriyakam tat na avaSyam nityam / tat kaTam sidDam / etat ucyate
   praśnabāhulyamuttarālpatā ca /	praSna bAhulyam uttara alpa tA ca /
   5. anyacca / ātmā nityonaindriyakatvāditi bhavatsthāpanā / anaindriyakasya	5. anyat ca / AtmA nityonEndriyaka tvAt iti Bavat sTApanA / anEndriyakasya
   dvaividhyam / yathā paramāṇavo 'nupalabhyā anityāḥ /	dvEviDyam / yaTA paramANavaH anupalaByAH anityAH /
   ākāśastvindriyānupalabhyo nityaśca / kathaṃ bhavatocyate	AkASaH tu indriya anupalaByaH nityaH ca / kaTam BavatA ucyate
   yadanupalabhyatvānnitya ityucyate praśnālpatottarabāhulyañca /	yat anupalaBya tvAt nityaH iti ucyate praSna alpatA uttara bAhulyaQca /
   6. anyacca / anupalabdhihetunātmā nitya iti bhavatā pratijñātam /	6. anyat ca / anupalabDi hetunA AtmA nityaH iti BavatA pratijQAtam /
   ākāśaścātmā ca bhinnauḥ kathamubhayoranupalabhyatvaṃ heturbhavet / iti	AkASaH ca AtmA ca BinnOH kaTam uBayoH anupalaBya tvam hetuH Bavet / iti
   hetusamam /	hetu samam /
   7. anyacca / yatpañcamahābhūtamayaṃ tadanityam / ākāśa ātmā ca	7. anyat ca / yat paQca mahABUta mayam tat anityam / AkASaH AtmA ca
   pañcamahābhūtamayau kathaṃ nityāvuktau / iti kāryasamam /	paQca mahABUta mayO kaTam nityO= uktO / iti kArya samam /
   8. anyacca / anupalabhyatvānnitya ākāśa iti bhavataḥ sthāpanā / ākāśaśca	8. anyat ca / anupalaBya tvAt nityaH AkASaH iti BavataH sTApanAH / AkASaH ca
   sarvavyāpī [tataśca] kiṃ sarvāṇi bastūnyanupalabhyāni / etadyāptisamam /	sarva vyApI [tataH ca] kim sarvANi bastUni anupalaByAni / etat i Apti samam /
   9. anyacca / paramāṇuravyāpyanaindriyako 'pyanityaḥ / ātmā tvanaindriyakaḥ	9. anyat ca / paramANuH avyApi anEndriyakaH api anityaH / AtmA tu anEndriyakaH
   kathaṃ nityaḥ / iti avyāptisamam /	kaTam nityaH / iti avyApti samam /
