   Govind Kaul: Pradeśasaṃgraha	Govind KOl: PradeSa-saMgraha
   atas tadrājyakāle ye tatkṛtalolaranāmni nagare nivasamānā janapadā āsaṃs	atas tad-rAjya-kAle ye tad-kRta-lolara-nAmni nagare nivasamAnAH janapadAH AsaM=-
   te tṛptasya rājño gānapriyatvam eva sarvathā samākalayya gāyanaśikṣāyām	te tRptasya rAjQaH gAnapriya-tvam eva sarvaTA samAkalayya gAyana-SikzAyAm
   evāniścayaṃ kurvāṇās sarva eva gītividyākuśalā babhūvuḥ |	eva-aniScayam kurvANAH sarve eva gIti-vidyA-kuSalAH baBUvuH |
   ata eva kaśmīrabhāṣāgānaviṣaye tasyaiva rājño lavalaveti nāma prathamaṃ	atas eva kaSmIra-BAzA-gAna-vizaye tasya-eva rAjQaH lavalava-iti nAma praTamam
   gānārambha evākarayamāṇās tasthuḥ |	gAna-AramBaH eva-akarayamANAH tasTuH |
   yasya lavalaveti bhūpanāmnaḥ kālena mahatā lolo iti śabdo 'pabhraṃśavaśāt	yasya lavalava-iti BUpa-nAmnaH kAlena mahatA lolaH iti SabdaH apaBraMSa-vaSAt-
   sphuṭībhūtaḥ tenaiva lolośabdena deśo 'pi saḥ khyātiṃ prāptaḥ |	sPuwIBUtaH tena-eva lolaH-Sabdena deSaH api saH KyAtim prAptaH |
   ato lolav iti nāmāsya sthānasya ityādi svapustakeṣu likhanti |	atas lolau iti nAma-asya sTAnasya ityAdi sva-pustakezu liKanti |
   vartate cādhunike kāle 'pi kaśmīrabhāṣāyāṃ ayaṃ luḥluḥśabdo gānamadhye	vartate ca-aDunike kAle api kaSmIra-BAzAyAm ayam luHluH-SabdaH gAna-maDye
   pādapūraṇārtho gāne varṇanīyasya priyasya sambodhanārthaś ceti	pAda-pUraNa-arTaH gAne varNanIyasya priyasya samboDana-arTaH ca-iti
   sarvajanaviditaṃ bhavati |	sarva-jana-viditam Bavati |
   asmin puragaṇe eko grāmas tādṛśo 'pi bhavati |	asmin pura-gaNe ekaH grAmaH tAdRSaH api Bavati |
   yasyādhunike kāle sarve janā lulur iti nāma vadanti |	yasya-aDunike kAle sarve janAH luluH iti nAma vadanti |
   ato hetor api grāmasyāsya nāmnaivāyaṃ sarvaḥ puragaṇo 'pi	atas hetoH api grAmasya-asya nAmnA-eva-ayam sarvaH pura-gaNaH api
   lolavśabdābhidheyaḥ sajjāta ity api |	lolavSabda-aBiDeyaH sat-jAtaH iti api |
   kecid grāmīṇā nāgarikāś ca svamataṃ sthāpayanti |	kecid grAmINAH nAgarikAH ca sva-matam sTApayanti |
   ekena madhyasthitena grāmeṇāpi puragaṇaḥ sarvas tacchabdābhidheyo	ekena maDya-sTitena grAmeNa-api pura-gaNaH sarvaH tad-Sabda-aBiDeyaH-
   bhavatīty anyeṣu sthāneṣv api jñāyate |	Bavati-iti anyezu sTAnezu api jQAyate |
   tathā hi nāgām ityākhyapuragaṇa ekenaiva madhyasthitena kasavanāgām ity	taTA hi nAgAm iti-AKya-pura-gaNaH ekena-eva maDya-sTitena kasavanAgAm iti-
   ākhyena grāmenaiva nāgāmpadavācyo bhavati |	AKyena grAmena-eva nAgAmpada-vAcyaH Bavati |
   grāmīṇās tu etarhi asya lolarākhyapradeśasya lolavpargaṇa iti nāmaiva	grAmINAH tu etarhi asya lola-ra-AKya-pradeSasya lolavpargaNaH iti nAma-eva
   prakhyāpayanto bhavanti |	praKyApayantaH Bavanti |
   aparaṃ ca asya grāmasya lulur iti khyātasya yat nāma puragaṇo 'pi sarvo	aparam ca asya grAmasya luluH iti KyAtasya yat nAma pura-gaNaH api sarvaH-
   bibharti |	biBarti |
   tasya lālpor iti nāma kathayanti |	tasya lAlpoH iti nAma kaTayanti |
   asmiṃl lolarapradeśa-gamanāgamane madhya ekaḥ parvato 'pi bhavati |	asmin lolara-pradeSa--gamana-Agamane maDye ekaH parvataH api Bavati |
   yam āruhyaiva sarvadā janānāṃ gamāgamau bhavataḥ |	yam Aruhya-eva sarvadA janAnAm gama-AgamO BavataH |
   ayaṃ puragaṇaḥ kramarājyasthapuragaṇayor utar khuyahom ityākhyayor madhye	ayam pura-gaNaH krama-rAjya-sTa-pura-gaNayoH utar Kuyahom iti-AKyayoH maDye
   bhavati |	Bavati |
   yata uktapuragaṇadvaya-mārgeṇāpi yiyāsūnāṃ mārgalābho bhavati |	yatas ukta-pura-gaNa-dvaya--mArgeNa-api yiyAsUnAm mArga-lABaH Bavati |
   ayaṃ pradeśaḥ kramarājyasyāpi prāntabhūmau yataḥ sthito 'sty ato 'sya	ayam pradeSaH krama-rAjyasya-api prAnta-BUmO yatas sTitaH asti atas asya
   niruktau śeṣatayā sthityādikathanam api samīcīnam eva saṃgacchate |	niruktO Seza-tayA sTiti-Adi-kaTanam api samIcInam eva saMgacCate |
   paraṃ tu ṣoḍaśalakṣyavihīnā yā koṭir arthāc caturaśītilakṣyāṇy	param tu zoxaSa-lakzya-vihInA yA kowiH arTAt caturaSIti-lakzyANi-
   aśmamayagṛhāṇāṃ sampādya nagaraṃ lavena rājñā niramāyītyādi kalhaṇena yat	aSma-maya-gRhANAm sampAdya nagaram lavena rAjQA niramAyi-ityAdi kalhaNena yat-
   svapustake likhitam astīti |	sva-pustake liKitam asti-iti |
   tāni gṛhāṇy ādhunike kāle 'tiyātacirakālavaśād vinaṣṭāny ato naiva	tAni gRhANi ADunike kAle atiyAta-cira-kAla-vaSAt vinazwAni atas na-eva
   dṛśyante |	dRSyante |
   kiṃ tu pāṣāṇagaṇāḥ sarvatra bahavo darīdṛśyante 'to jñāyate te pāṣāṇās	kim tu pAzANa-gaNAH sarvatra bahavaH darIdRSyante atas jQAyate te pAzANAH-
   teṣām eva gṛhāṇāṃ śeṣībhūtopalakṣaṇībhūtāś ca syuḥ |	tezAm eva gRhANAm SezIBUta-upalakzaNIBUtAH ca syuH |
   asya lolavpuragaṇasyādyo yo grāmaḥ saḥ khumariyāl ityākhyayā yaś cāsyānte	asya lolavpura-gaNasya-AdyaH yaH grAmaH saH KumariyAt iti-AKyayA yaH ca-asya-ante
   grāmaḥ sa lālporākhyayā prakhyāto bhavati |	grAmaH sa lAlpora-AKyayA praKyAtaH Bavati |
   asya khumariyālgrāmasya madhye 'tiśītalajalo jalāśayo vartate |	asya KumariyAt-grAmasya maDye ati-SItala-jalaH jalASayaH vartate |
   punaś cāsya nikaṭa eva caṇḍīgrāmaś caṇḍīdevyāspadībhūtajalāśayayuto	punar ca-asya nikawaH eva caNxI-grAmaH caNxI-devI-AspadIBUta-jalASaya-yutaH-
   bhavati |	Bavati |
   tasya caṇḍīgrāmasya grāmīṇabhāṣāyāṃ caṇāgom iti nāma |	tasya caNxI-grAmasya grAmINa-BAzAyAm caNAgom iti nAma |
   īdṛśā evānye bahavo grāmā devatāspadībhūtāḥ satīti śam ||	IdRSAH eva-anye bahavaH grAmAH devatA-AspadIBUtAH sati-iti Sam ||
   15. Ledarī	15. LedarI
   ślokasaṃ 87 nambara 15 lavasyaiva rājñaś caritre ledarī |	Slokasam 87 nambara 15 lavasya-eva rAjQaH caritre ledarI |
   atra niruktiḥ |	atra niruktiH |
   laḥ śeṣe ca bhaye khyāta iti śivaproktaikākṣarakośoktyā lo bhayaṃ tasmin	laH Seze ca Baye KyAtaH iti Siva-prokta-eka-akzara-koSa-uktyA laH Bayam tasmin
   le bhaye bhayotpādanavelāyām iti yāvat darī guhā vadati |	le Baye Baya-utpAdana-velAyAm iti yAvat darI guhA vadati |
   gabhīrā gahanā dustarā ca yā dṛśyate sā ledarī |	gaBIrA gahanA dustarA ca yA dRSyate sA ledarI |
   atha vā daḥ kalattrebudhaiḥ prokto dānacchedanadātṛṣu ity	aTa vA daH kalattrebuDEH proktaH dAna=-Cedana-dAtRzu iti-
   ekākṣarakośamatena |	eka-akzara-koSa-matena |
   le bhaye daṃ chedanaṃ bhayacchedanaṃ rāti dadāti yā sārī |	le Baye dam Cedanam Baya=-Cedanam rAti dadAti yA sArI |
   arthāt bhaye saṃjāte tacchedanadātrī bhayacchettrīty arthaḥ |	arTAt Baye saMjAte tad-Cedana-dAtrI Baya=-CettrI-iti arTaH |
   etādṛśī yā nadī |	etAdRSI yA nadI |
   asyā ledarīnadyā bhṛṅgīśasaṃhitām atāvalambanena lambodarīti nāmāpi kecid	asyAH ledarI-nadyA BRFgISa-saMhitAm atA-avalambanena lambodarI-iti nAma-api kecid-
   vadanti |	vadanti |
   tatra lambam udaṃ rayasya sa lambodaro gaṇeśas tanmukhāt niḥsṛtāyā nadī	tatra lambam udam rayasya sa lambodaraH gaNeSaH tad-muKAt niHsRtAyAH nadI
   tasyā lambodarīśabdena vyapadeśaḥ vartate |	tasyAH lambodarI-Sabdena vyapadeSaH vartate |
   cāmareśvarayātrāmārge gaṇeśabalābhidhe pradeśe mahaty ekā nadīmadhyasthitā	cAmara-ISvara-yAtrA-mArge gaNeSa-bala-aBiDe pradeSe mahatI ekA nadI-maDya-sTitA
   gaṇeśasyāśmamayī pūjyatamā prakhyātamūrtiḥ |	gaNeSasya-aSma-mayI pUjyatamA praKyAta-mUrtiH |
   yasyā mūrtes sākṣād gajīkṛtitvaṃ dhārayantyāḥ puṣkarāt nirgacchantī	yasyAH mUrteH sAkzAt gajIkRti-tvam DArayantyAH puzkarAt nirgacCantI
   pītojjhitevaiṣā nadī bhāti |	pIta-ujJitA-iva-ezA nadI BAti |
   paraṃ tu ledarīti nāmnāpy asyā nadyāḥ sopapattikaṃ saṃhitāsaṃgataṃ cāpy	param tu ledarI-iti nAmnA-api asyAH nadyAH sa-upapattikam saMhitA-saMgatam ca-api-
   asti |	asti |
   yato 'smin dakṣiṇapārśvākhyapuragaṇe yasminn eṣā nadī pravahati tatra	yatas asmin dakziNa-pArSva-AKya-pura-gaNe yasmin ezA nadI pravahati tatra
   lidar ityākhyo grāmo 'syā nadyās taṭapradeśasthito 'sty atas tadākhyayāpy	lidar iti-AKyaH grAmaH asyAH nadyAH tawa-pradeSa-sTitaH asti atas tadAKya-yA-api-
   eṣā nadī prakhyātiṃ prāptā |	ezA nadI praKyAtim prAptA |
   yato lidare grāme yā pravahati sā ledarī nadī |	yatas lidare grAme yA pravahati sA ledarI nadI |
   bhṛṅgīśasaṃhitāyāṃ mārtāṇḍamāhātmyavarṇane 'py anenaiva nāmnāsyā nadyā	BRFgISa-saMhitAyAm mArta-aNxa-mAhAtmya-varNane api anena-eva nAmnA-asyAH nadyA
   nāmagrahaṇam |	nAma-grahaNam |
   tathā hi yāvac cākā pravahati nadī ledarī toyapūrṇā yāvan nāgau	taTA hi yAvat ca-akA pravahati nadI ledarI toya-pUrNA yAvat nAgO
   yamalakamalau tiṣṭhato matsyam uktau yāvad bhāsvāṃs tapati gagane nityaśaḥ	yamala-kamalO tizWataH matsyam uktO yAvat BAsvAn tapati gagane nityaSas-
   kālaśaktyā tāvat svarge vasati |	kAla-SaktyA tAvat svarge vasati |
   satataṃ śrāddhakṛtsūryakṣetre itīdṝṃśi sthalāni ledarīnāmadyotakāni	satatam SrAdDa-kRt-sUrya-kzetre iti-IdLMSi sTalAni ledarI-nAm-adyotakAni
   bhavanty eva asyā eva nadyā dakṣiṇapārśvau yo dvau pradeśo tayor madhye	Bavanti eva asyAH eva nadyAH dakziNa-pArSvO yaH dvO pradeSaH tayoH maDye
   nady eṣā pravahati |	nadI ezA pravahati |
   grāmīṇās tu ādhunike kāle 'syā lambodarī ledarīnadyā vā lidar āra iti nāma	grAmINAH tu ADunike kAle asyAH lambodarI ledarI-nadyAH vA lidar AraH iti nAma
   vadanti |	vadanti |
   tatra yā nadī bṛhatpāṣāṇair madhye pūrṇātivegena calantī dustarā ca bhavet	tatra yA nadI bRhat-pAzANEH maDye pUrNa-ati-vegena calantI dustarA ca Bavet-
   tasyāḥ kaśmīrabhāṣāyāṃ ār iti nāma vadanti |	tasyAH kaSmIra-BAzAyAm Ar iti nAma vadanti |
   ayaṃ ca lidarākhyo grāmo 'syā nadyā āspadībhūto yo 'sti tasya	ayam ca lidara-AKyaH grAmaH asyAH nadyAH AspadIBUtaH yaH asti tasya
   grāmīṇabhāṣāyām api lidar ity eva nāma vartate |	grAmINa-BAzAyAm api lidar iti eva nAma vartate |
   ayaṃ grāmo 'sya dakṣiṇapārśvasya dacchunporpargaṇa iti prasiddhasya madhye	ayam grAmaH asya dakziNa-pArSvasya dacCunporpargaNaH iti prasidDasya maDye
   ledarīnadyās taṭe vartamānaḥ kathyate |	ledarI-nadyAH tawe vartamAnaH kaTyate |
   asyā lambodaryā api grāmīṇamatena lidar ity eva nāma bhavati yasmād	asyAH lambodaryAH api grAmINa-matena lidar iti eva nAma Bavati yasmAt-
   gaṇeśabalākhyapradeśād āgacchantī nady eṣāsti |	gaNeSa-bala-AKya-pradeSAt AgacCantI nadI ezA-asti |
   tasya kaśmīrabhāṣāyāṃ gaṇiśabal iti nāma khyātaṃ vartate |	tasya kaSmIra-BAzAyAm gaNiSabal iti nAma KyAtam vartate |
   tatra gaṇiśasya gaṇeśasya bal sthānam ity arthaḥ |	tatra gaNiSasya gaNeSasya bat sTAnam iti arTaH |
   ayaṃ gaṇeśabalākhyaḥ pradeśo 'mareśvarayātrāyāṃ prathamaḥ prayāṇakaḥ |	ayam gaNeSa-bala-AKyaH pradeSaH amareSvara-yAtrAyAm praTamaH prayANakaH |
   asmāt tribhiḥ krośair dūrastham adhvānam ullaṅghya pahalgāmākhyaḥ pradeśo	asmAt triBiH kroSEH dUra-sTam aDvAnam ullaFGya pahalgAma-AKyaH pradeSaH-
   dvitīyaḥ prayāṇako 'mareśvarayātrā bhavati yaḥ samāyāti |	dvitIyaH prayANakaH amareSvara-yAtrA Bavati yaH samAyAti |
   ayaṃ lidarākhyo grāmo 'nantanāgāt pāścime sthāne dvādaśakrośadūratāyām	ayam lidara-AKyaH grAmaH ananta-nAgAt pAScime sTAne dvAdaSa-kroSa-dUra-tAyAm
   asti |	asti |
   atra mandirākhyaṃ devāgāraṃ vinaṣṭaprāyaṃ bṛhatpāṣāṇanirmitaṃ bhavati |	atra mandira-AKyam devAgAram vinazwa-prAyam bRhat-pAzANa-nirmitam Bavati |
   tat sthānaṃ vikramādityasya navatitame varṣe meghavāhanarājñā	tat sTAnam vikramAt-iti-asya navatitame varze meGavAhana-rAjQA
   tṛtīyataraṅge varṇyamānena nirmitam ityādi |	tRtIya-taraFge varNyamAnena nirmitam ityAdi |
   mandirasaṃgrahāl labdham atra sthāpitam ||	mandira-saMgrahAt labDam atra sTApitam ||
   16. Levāraḥ	16. LevAraH
   ślokasaṃ 87 nambara 16 lavasya caritre levāraṃ |	Slokasam 87 nambara 16 lavasya caritre levAram |
   yasya levārasya niruktiḥ |	yasya levArasya niruktiH |
   laḥ śeṣe ca bhaye khyāta iti |	laH Seze ca Baye KyAtaH iti |
   tathā vaḥ sāntvane rasevāte ity ekākṣarakośokteś ca levighnāde bhaye vaṃ	taTA vaH sAntvane rasevAte iti eka-akzara-koSa-ukteH ca leviGna-Ade Baye vam
   sāntvanaṃ tatnivāraṇarūpamāsam antāt rāti dadāti yaḥ sa levāraḥ |	sAntvanam tad-nivAraNa-rUpa-mAsam antAt rAti dadAti yaH sa levAraH |
   vighnanivārako gaṇeśaḥ |	viGna-nivArakaH gaNeSaH |
   tathā ca nīlamatavarṇyaṃ mānadevāyatanakīrtanākhye prastāve	taTA ca nIla-mata-varNyam mAnadeva-Ayatana-kIrtana-AKye prastAve
        bhūrjasvāmī hiḍambeśo levāraḥ śrīvināyakaḥ |	BUrjasvAmI hixamba-ISaH levAraH SrI-vinAyakaH |
        utaṅkeśo guhāvāsī bhīmeśaḥ saumukhas tathā ||	utaFka-ISaH guhA-vAsI BIma-ISaH sOmuKaH taTA ||
        bhadreśvaro mahāsyaś ca mahāśanagaveṣaṇau |	BadreSvaraH mahAsyaH ca mahA-aSana-gavezaNO |
        paulastyo girivāsī ca jayeśvaramaheśvarau ||	pOlastyaH giri-vAsI ca jaya-ISvara-maheSvarO ||
        ekaikam ebhyo dṛṣṭvā tu gaṇeśaṃ susamāhitaḥ |	ekEkam eByaH dRzwvA tu gaNeSam su-samAhitaH |
        kāryasiddhim avāpnoti puṇyaṃ phalam upāśnute ||	kArya-sidDim avApnoti puNyam Palam upASnute ||
   ity ādau |	iti AdO |
   asya levārākhyagaṇeśasya kaśmīrasthagaṇeśamūrtiṣu varṇyamānatvaṃ	asya levAra-AKya-gaNeSasya kaSmIra-sTa-gaNeSa-mUrtizu varNyamAna-tvam
   sphuṭatayā bhavati |	sPuwa-tayA Bavati |
   eṣā gaṇeśamūrtiḥ pūrvoktaledarīnadyā vāmapārśve yo 'dhunā	ezA gaNeSa-mUrtiH pUrva-ukta-ledarI-nadyAH vAma-pArSve yaH aDunA
   grāmīṇabhāṣāvyavahṛtau khourporpargaṇa iti nāma dhārayati tasminn eva	grAmINa-BAzA-vyavahRtO KourporpargaNaH iti nAma DArayati tasmin eva
   pradeśe sarvaviditā vartate |	pradeSe sarva-viditA vartate |
   asya gaṇeśasya nāmnevāyaṃ gaṇeśamūrtyāśrayavān grāmo levar iti nāmnaiva	asya gaNeSasya nAmnA-iva-ayam gaNeSa-mUrti-ASrayavAn grAmaH levar iti nAmnA-eva
   prakhyāta[...]ḥ sampannaḥ vartate |	praKyAta[...]H sampannaH vartate |
   cāyaṃ grāmo 'smin puragaṇe levarśabdābhidheyo grāmīṇaiḥ kathyamānaḥ |	ca-ayam grAmaH asmin pura-gaNe levar-Sabda-aBiDeyaH grAmINEH kaTyamAnaH |
   asya grāmasya nikaṭe 'nyo 'pi grāmaḥ sarvaviditaḥ sīr ityākhyo bhavati |	asya grAmasya nikawe anyaH api grAmaH sarva-viditaH sIH iti-AKyaH Bavati |
   tasyaivaṃ kiṃcid dūratāyām ayaṃ grāmaḥ pūrvam eva levārākhyasya gaṇapater	tasya-evam kiMcid dUra-tAyAm ayam grAmaH pUrvam eva levArAKyasya gaNapateH-
   āśrayatayaiva tādṛśanāmayuta eva tena varṇyamānena lavarājñā	ASraya-tayA-eva tAdRSanAma-yutaH eva tena varNyamAnena lava-rAjQA
   agrahāratvavyapadeśavān samapādi |	agrahAra-tva-vyapadeSavAn samapAdi |
   ata eva paṇḍitakalhaṇenāpi prathame taraṅge	atas eva paNxita-kalhaNena-api praTame taraFge
        dattvāgrahāraṃ ledaryāṃ levāraṃ dvijaparṣade |	dattvA-agrahAram ledaryAm levAram dvija-parzade |
        sa dyāmanindyaśauryaśrīr āruroha mahābhujaḥ ||	sa dyAma-nindya-SOrya-SrIH Aruroha mahA-BujaH ||
   ity ādyuktam |	iti Adi-uktam |
   anayaiva vidhayā yo 'yaṃ grāmo levārākhyaḥ pūrvam eva babhūva |	anayA-eva viDayA yaH ayam grAmaH levAra-AKyaH pUrvam eva baBUva |
   sa eva rājñāpi brāhmaṇebhyo 'grahārasamarpaṇakāle ca	saH eva rAjQA-api brAhmaNeByaH agrahAra-samarpaNa-kAle ca
   pūrvaprakhyātanāmnaiva saṃsthāpitaḥ |	pUrva-praKyAta-nAmnA-eva saMsTApitaH |
   dānavelāyām api gaṇeśamūrtyāśrayatvavyapadiṣṭaṃ levārākhyaṃ nāmaiva	dAna-velAyAm api gaNeSa-mUrti-ASraya-tva-vyapadizwam levAra-AKyam nAma-eva
   rājñāpy asyāpi tamasyeti budhyate |	rAjQA-api asya-api tam-asya-iti buDyate |
   kathayanti ca tatratyāḥ |	kaTayanti ca tatratyAH |
   asmin grāme eko mahāvṛkṣo yaṃ vṛkṣaṃ kāśmīrikā braṇ iti śabdenākārayanti |	asmin grAme ekaH mahA-vRkzaH yam vRkzam kASmIrikAH braw iti Sabdena-AkArayanti |
   tenāpy upalakṣaṇībhūto bhavati sa eva vṛkṣo 'py	tena-api upalakzaNIBUtaH Bavati saH eva vRkzaH api-
   asyoktagaṇeśasyādhiṣṭhānībhūto bhavati |	asya-ukta-gaNa-ISasya-aDizWAnIBUtaH Bavati |
   yato bahavo vṛkṣāḥ anena braṇvṛkṣena kathyamānāḥ kaśmīradeśe	yatas bahavaH vRkzAH anena braNu-Rkzena kaTyamAnAH kaSmIra-deSe
   devatāmūrtīnām adhiṣṭhānībhūtāḥ sarvato darīdṛśyante iti śam ||	devatA-mUrtInAm aDizWAnIBUtAH sarvatas darIdRSyante iti Sam ||
   17. Kuruhāraḥ	17. Kuru-hAraH
   ślokasaṃ 88 nambara 17 kuśasya rājṇo varṇane kuruhār |	Slokasam 88 nambara 17 kuSasya rAjNaH varNane kuruhAr |
   asya nirvacanam |	asya nirvacanam |
   kaś cātmāpi samākhyātaḥ kaḥ pradeśa udāhṛta iti kośamatena |	kaH ca-AtmA-api samAKyAtaH kaH pradeSaH udAhRtaH iti koSa-matena |
   kair nānāvidhajalasthalādipradeśaiḥ urur mahān ata eva hāro manoharaś ca	kEH nAnAviDa-jala-sTala-Adi-pradeSEH uruH mahAn atas eva hAraH manoharaH ca
   yaḥ sa kuruhāraḥ |	yaH sa kuru-hAraH |
   nānāvidhapradeśamattayāntyā ledarīnadyā hāro muktāhāra iva yaḥ so 'pi	nAnAviDa-pradeSa-matta-yA-antyAH ledarI-nadyAH hAraH mukta-AhAraH iva yaH saH api
   kuruhāraḥ |	kuruhAraH |
   atha vā kurunāmakair janapadair etaddeśanivāsibhir hriyate yo	aTa vA kuru-nAmakEH janapadEH etad-deSa-nivAsiBiH hriyate yaH-
   'grahāratayāgra eva so 'pi kuruhāraḥ |	agrahAra-tayA-agre eva saH api kuru-hAraH |
   pūrvam etan nāmni pradeśe kuru ityākhyāṃ bibhrāṇā vāstavyā babhūvuḥ |	pUrvam etat nAmni pradeSe kuru iti-AKyAm biBrANAH vAstavyAH baBUvuH |
   tair yato 'sya grāmasya sasyādisampattir ādāv eva hriyate smāto 'pi	tEH yatas asya grAmasya sasya-Adi-sampattiH AdO eva hriyate sma-atas api
   kuruhāraḥ |	kuruhAraH |
   ata eva paṇḍitakalhaṇenāpi	atas eva paNxita-kalhaNena-api
        kuruhārāgrahārasya dātābhūt tadanantaram |	kuru-hAra-agrahArasya dAtA-aBUt tad-anantaram |
   iti kathanavaśād asya kuruhārāgrahāra iti samastaṃ nāma likhitam |	iti kaTana-vaSAt asya kuru-hAra-agrahAraH iti samastam nAma liKitam |
   yataḥ sarveṣām evāgrahārāṇāṃ sasyādisampatte rājagrāhya bhāgāt pūrvam eva	yatas sarvezAm eva-agrahArANAm sasya-Adi-sampatte rAjagrAhya BAgAt pUrvam eva
   nayanenāgrahāratvena vyapadeśaḥ |	nayanena-agrahAra-tvena vyapadeSaH |
   asya kuruhārapradeśasyādhunike kāle sarve grāmīṇāḥ svabhāṣāyāṃ kular iti	asya kuru-hAra-pradeSasya-aDunike kAle sarve grAmINAH sva-BAzAyAm kular iti
   sarvakāśmīrakaviditaṃ nāma kathayanti |	sarvakASmIraka-viditam nAma kaTayanti |
   ayaṃ kuruhāra vā kularākhyo grāmo dakṣiṇapārśve dacchunporpargaṇa	ayam kuruhAra vA kulara-AKyaH grAmaH dakziNa-pArSve dacCunporpargaNa
   ityākhyayā janaiḥ sarvataḥ kathyamāno vartate |	iti-AKyayA janEH sarvatas kaTyamAnaH vartate |
   asya kular grāmasya nikaṭe anyo 'pi grāmo 'tiprasiddho bhavati 'yam adhunā	asya kular grAmasya nikawe anyaH api grAmaH ati-prasidDaH Bavati ayam aDunA
   salar ityākhyayā janāḥ samastapuragaṇaprasiddhaṃ nāma vadanto dṛśyante |	salar iti-AKyayA janAH samasta-pura-gaNa-prasidDam nAma vadantaH dRSyante |
   ubhāv evaitau kularsalar ityākhyau grāmau yātrikāṇām amareśvarayātrāyāṃ	uBO eva-etO kularsalar iti-AKyO grAmO yAtrikANAm amareSvara-yAtrAyAm
   madhye mārgaṃ dṛggocaram āgacchataḥ |	maDye mArgam dRS-gocaram AgacCataH |
   pratyutobhayor eva tīrthibhūtayor grāmayos teṣāṃ snānapūjādikartavyatāpy	pratyutoBayoH eva tIrTi-BUtayoH grAmayoH tezAm snAna-pUjA-Adi-kartavya-tA-api-
   amareśvarayātrām atāśrayaṇenāsti |	amareSvara-yAtrAm ata-ASrayaNena-asti |
   asyaiva kuruhārapradeśasyāpabhraṃśavaśāc cirakālāgatāt kular iti nāma	asya-eva kuru-hAra-pradeSasya-apaBraMSa-vaSAt cira-kAla-AgatAt kular iti nAma
   sajjātam |	sat-jAtam |
   kecit tu asya kuruhārākhyasya pradeśasya kāṭhus iti nāma kathayanti |	kecid tu asya kuruhAra-AKyasya pradeSasya kAWuH iti nAma kaTayanti |
   tanmatena kāṭhus iti kular ity asyaiva cirakālāgatam apabhraṃśadoṣotthaṃ	tad-matena kAWuH iti kular iti asya-eva cira-kAla-Agatam apaBraMSa-doza-utTam
   nāma bhavati |	nAma Bavati |
   vastutas tu kuruhāraśabdasya kāṭhusśabdena tādṛśyaṃ sāmyam uccaraṇena	vastutas tu kuru-hAra-Sabdasya kAWusSabdena tAdRSyam sAmyam uccaraNena
   jñāyate yādṛśaṃ tasya kularśabde na bhāti |	jQAyate yAdRSam tasya kular-Sabde na BAti |
   atas samīcīnaṃ kular ity evāsya kuruhārasyāpabhraṃśadoṣotthaṃ nāma paraṃ	atas samIcInam kular iti eva-asya kuru-hArasya-apaBraMSa-doza-utTam nAma param
   tu ayaṃ kāṭhusākhyo grāmo 'py asminn eva dacchunporpargaṇe	tu ayam kAWusa-AKyaH grAmaH api asmin eva dacCunporpargaNe
   'mareśvarayātrāmārgamadhye bhavati |	amara-ISvara-yAtrA-mArga-maDye Bavati |
   yātrikāṇāṃ tatrāpy uktagrāmadvayaravasnānādikartavyatā bhavati |	yAtrikANAm tatra-api ukta-grAma-dvaya-rava-snAna-Adi-kartavyatA Bavati |
   ataḥ salarkularākhyagrāmadvayanaikaṭyabhāg ayaṃ tṛtīyo grāmaḥ kuruhār iti	atas salarkulara-AKya-grAma-dvaya-nEkawya-BAj ayam tRtIyaH grAmaH kuruhAH iti
   vyapadiṣṭo bhrameṇaivāsti ||	vyapadizwaH BrameNa-eva-asti ||
   18. Khāgi	18. KhAgi
   ślokasaṃ 90 namba 18 khagendrasya rājyavarṇane khāginirvacanam |	Slokasam 90 nambaH 18 Kaga-indrasya rAjya-varNane KAgi-nirvacanam |
   atra khe ākāśe gacchatīti khagaḥ |	atra Ke AkASe gacCati-iti KagaH |
   khaga e[...]gaḥ |	KagaH e[...]gaH |
   atha vā khe ākāśe āsamantād gacchatīti khāgaḥ |	aTa vA Ke AkASe AsamantAt gacCati-iti KAgaH |
   garuḍābhidho viṣṇor yānaṃ pakṣī khāgo vidyate yasya saḥ khāgī viṣṇuḥ |	garuxa-aBiDaH vizNoH yAnam pakzI KAgaH vidyate yasya saH KAgI vizNuH |
   ayaṃ pradeśo viṣṇor murter adhiṣṭhanitvaṃ yato bibhārti |	ayam pradeSaH vizNoH murteH aDizWani-tvam yatas biBArti |
   ata eva khāgīti tasya viṣṇor eva nāmnā prakhyātiṃ samāgataḥ |	atas eva KAgI-iti tasya vizNoH eva nAmnA praKyAtim samAgataH |
   anyac ca etat pradeśanikaṭavartino garuḍanāmāṅkitasya garuḍāśramābhidhasya	anyat ca etat pradeSa-nikawavartinaH garuxa-nAma-aFkitasya garuxa-ASrama-aBiDasya
   sthānasya sāmīpyena garuḍasya sadaiva viṣṇor vāhanatvena ca tatnāmnāpy	sTAnasya sAmIpyena garuxasya sadA-eva vizNoH vAhana-tvena ca tad-nAmnA-api-
   ayaṃ prathāṃ prāpto 'taḥ khāgīti nāmāsya pradeśasya yuktatamaṃ bhāti |	ayam praTAm prAptaH atas KAgI-iti nAma-asya pradeSasya yuktatamam BAti |
