   Rāṣṭrapālaparipṛcchā	RAzwrapAla-paripRcCA
   pratijñāsyanti / nāhaṃ rāṣṭrapāla teṣāṃ tathārūpāṇāṃ (Vaidya, RP 141)	pratijQAsyanti / na-aham rAzwrapAla tezAm taTArUpANAm (VEdya, RS 141)
   pudgalānāmānulomikāmapi kṣāntiṃ vadāmi kutaḥ punarbuddhajñānam /	pudgalAnAm-AnulomikAm-api kzAntim vadAmi kutas punar-budDa-jQAnam /
   sugatisteṣāṃ dūre, kiṃ punarbodhiḥ / teṣāṃ punā rāṣṭrapāla tathārūpāṇāṃ	sugatiH-tezAm dUre, kim punar-boDiH / tezAm punA rAzwrapAla taTArUpANAm
   pudgalānāmaṣṭau bodheḥ paripanthakarān dharmān vadāmi / katamānaṣṭau ?	pudgalAnAm-azwO boDeH paripanTa-karAn DarmAn vadAmi / katamAn-azwO ?
   apāyopapattiḥ daridrakulopapattiḥ pratyantajanapadopattiḥ	apAya-upapattiH daridra-kula-upapattiH pratyanta-janapada-upattiH
   nīcalukopapattirdurvarṇatāndhatvagatikāḥ pāpamitrasamavadhānaṃ bahumānyatā	nIcalukA-upapattiH-durvarNatA-anDa-tva-gatikAH pApa-mitra-samavaDAnam bahu-mAnyatA
   viṣamāparihāreṇa kālakriyāḥ / imān rāṣṭrapāla aṣṭau dharmān bodheḥ	vizama-aparihAreNa kAla-kriyAH / imAn rAzwrapAla azwO DarmAn boDeH
   paripanthakarān vadāmi / tatkasya hetoḥ ? nāhaṃ rāṣṭrapāla	paripanTa-karAn vadAmi / tat-kasya hetoH ? na-aham rAzwrapAla
   vacanapratijñasya bodhimiti vadāmi / na kuhakasya caryāpariśuddhiṃ vadāmi	vacana-pratijQasya boDim-iti vadAmi / na kuhakasya caryA-pariSudDim vadAmi
   / na śaṭhasya bodhicaryāṃ vadāmi / nāmiṣagurukasya buddhapūjāṃ vadāmi /	/ na SaWasya boDi-caryAm vadAmi / na-Amiza-gurukasya budDa-pUjAm vadAmi /
   nābhimāninaḥ prajñāpariśuddhiṃ vadāmi / nāhaṃ duṣprajñasamanvāgatasya	na-aBimAninaH prajQApariSudDim vadAmi / na-aham duzprajQa-samanvAgatasya
   saṃśayacchedanaṃ vadāmi / nāhaṃ matsariṇa āśayapariśuddhiṃ vadāmi /	saMSaya=-Cedanam vadAmi / na-aham matsariNaH ASaya-pariSudDim vadAmi /
   nāhamanadhimuktibahulasya dhāraṇīpratilābhaṃ vadāmi /	na-aham-anaDi-mukti-bahulasya DAraNI-pratilABam vadAmi /
   nāhamasadguṇaparyeṣakasya sugatipratilābhaṃ vadāmi / na kulamatsarasya	na-aham-asat-guNa-paryezakasya sugati-pratilABam vadAmi / na kula-matsarasya
   kāyapariśuddhiṃ vadāmi / nāhamakalpitāryapathasya buddhasamavadhānaṃ	kAya-pariSudDim vadAmi / na-aham-akalpita-AryapaTasya budDa-samavaDAnam
   vadāmi / na kulādhyavasitasya vākpariśuddhiṃ vadāmi / na gauravasya	vadAmi / na kula-aDyavasitasya vAc-pariSudDim vadAmi / na gOravasya
   cittapariśuddhiṃ vadāmi / nāhamamātrajñasya dharmakāmatāṃ vadāmi / na	citta-pariSudDim vadAmi / na-aham-amAtra-jQasya Darma-kAma-tAm vadAmi / na
   kāyajīvitasāpekṣasya dharmaveṣṭiṃ vadāmi / nāhaṃ rāṣṭrapāla	kAya-jIvita-sApekzasya Darma-vezwim vadAmi / na-aham rAzwrapAla
   ṣaṭaśāstṝṃstathā vigarhāmi yathā tān mohapuruṣān vigarhāmi / tatkasya	zawaSAstLn=-taTA vigarhAmi yaTA tAn moha-puruzAn vigarhAmi / tat-kasya
   hetoḥ ? anyathāvādinaste anyathākāriṇaḥ, visaṃvādakāḥ sadevakasya lokasya	hetoH ? anyaTA-vAdinaH-te anyaTA-kAriNaH, visaMvAdakAH sa-devakasya lokasya
   atha khalu bhagavaṃstasyāṃ velāyāmimā gāthā abhāṣata -	aTa Kalu Bagavan=-tasyAm velAyAm-imAH gATAH aBAzata -
   asaṃyatā uddhata unnatāśca agauravā mānina lābhautsadā /	asaMyatAH udDataH unnatAH-ca agOravAH mAnina lABa-OtsadA /
   kleśābhibhūtāḥ sakhilāḥ sakiṃcanāḥ sudūra te tādṛśa agrabodhaye // 217 //	kleSa-aBiBUtAH saKilAH sa-kiMcanAH su-dUra te tAdRSa agra-boDaye // 217 //
   lābhābhibhūtasya kusīda vardhate kusīdabhūtasya pranaṣṭa śraddhā /	lABa-aBiBUtasya kusIda varDate kusIda-BUtasya pranazwa SradDA /
   śraddhāvipannasya pranaṣṭa śīla duḥśīlabhūtasya pranaṣṭa saṃgatiḥ // 218	SradDA-vipannasya pranazwa SIla duHSIla-BUtasya pranazwa saMgatiH // 218
   daridrabhūtāśca hi pravrajitvā dāridyramuktāṃ samavāpya pūjām /	daridra-BUtAH-ca hi pravrajitvA dAridyra-muktAm samavApya pUjAm /
   taiḥ kāñcano bhāramivāpaviddhaḥ sa sasyabhāraḥ punarudgṛhītaḥ // 219 //	tEH kAQcanaH BAram-iva-apavidDaH sa sasya-BAraH punar-udgRhItaH // 219 //
   lābhārthikoaraṇyamupaiti vastuṃ gaveṣate tatra gataśca jñātīn /	lABa-arTikoaraNyam-upEti vastum gavezate tatra gataH-ca jQAtIn /
   abhijñavidyāpratibhānasaṃpado vihāya gṛhṇāti sa cāpi jñātīn // 220 //	aBijQa-vidyA-pratiBAna-saMpadaH vihAya gRhNAti sa ca-api jQAtIn // 220 //
   apāyabhūmiṃ gatimakṣaṇeṣu daridratāṃ nīcakulopapattim /	apAya-BUmim gatim-akzaNezu daridra-tAm nIca-kula-upapattim /
   jātyandhadaurbalyamathālpasthāmatāṃ gṛhṇanti te mānavaśena mūḍhāḥ // 221	jAti-anDa-dOrbalyam-aTa-alpa-sTAma-tAm gRhNanti te mAna-vaSena mUXAH // 221
   te vṛtticaryāparihīnabhāvāḥ pramādalābhena smṛtipranaṣṭāḥ /	te vRtti-caryA-parihIna-BAvAH pramAda-lABena smRti-pranazwAH /
   ghoraṃ prayāsyanti mahāprapātaṃ yato na mokṣo 'styapi kalpakoṭibhiḥ // 222	Goram prayAsyanti mahA-prapAtam yatas na mokzaH asti-api kalpa-kowiBiH // 222
   yadīha lābhina bhaveta bodhistaddevadatto 'pi labheta bodhim /	yadi-iha lABina Baveta boDiH-tat-devadattaH api laBeta boDim /
   vairambhavātena yathaiva pakṣī kṣipyanti lābhena tathā ayuktāḥ // 223 //	vEramBa-vAtena yaTA-eva pakzI kzipyanti lABena taTA ayuktAH // 223 //
   puṇyairvihīnāḥ paradāragṛddhā aśuddhaśīlāḥ kuśaleṣu boddaraḥ /	puNyEH-vihInAH para-dAra-gRdDAH aSudDa-SIlAH kuSalezu boddaraH /
   te śāsane 'narthaśmaśānadāruvat ye bodhicittena alabdhajñānāḥ // 224 //	te SAsane anarTa-SmaSAna-dAru-vat ye boDi-cittena alabDa-jQAnAH // 224 //
   bodhyarthiko 'nveṣati buddhadharmān na tiṣṭhate cāpi yathā samokṣaḥ /	boDi-arTikaH anvezati budDa-DarmAt na tizWate ca-api yaTA sa-mokzaH /
   dṛḍhāḥ sa lepena kṛtaḥ kapirvā mānābhibhūtasya tathaiva bodhiḥ // 225 //	dRXAH sa lepena kRtaH kapiH-vA mAna-aBiBUtasya taTA-eva boDiH // 225 //
   (Vaidya, RP 142)	(VEdya, RS 142)
   bodhyarthikenāpi mayā svajīvaṃ tyaktaḥ priyaḥ dharmapadasya hetoḥ /	boDi-arTikena-api mayA svajIvam tyaktaH priyaH Darma-padasya hetoH /
   tyaktvā ca dharmāṃsta ayuktayogāḥ nirarthabhūtā nipatanti śāsanam // 226	tyaktvA ca DarmAn=-te ayukta-yogAH nirarTa-BUtAH nipatanti SAsanam // 226
   mahāprapātaṃ jvalitaṃ hutāśanaṃ subhāṣitārthe patito 'smi pūrve /	mahA-prapAtam jvalitam hutASanam su-BAzita-arTe patitaH asmi pUrve /
   śrutvā ca tasmin pratipattiye sthito vihāya sarvāṇi priyāpriyāṇi // 227 //	SrutvA ca tasmin pratipattiye sTitaH vihAya sarvANi priya-apriyANi // 227 //
   śrutvā guṇāḍhyaṃ ca vicitraśāsanaṃ teṣāṃ spṛhā naikapade 'pi jāyate /	SrutvA guNa-AXyam ca vicitra-SAsanam tezAm spRhA na-eka-pade api jAyate /
   adharmakāmasya kuto 'sti bodhiḥ yathaiva cāndhasya pathi prakāśanam // 228	aDarma-kAmasya kutas asti boDiH yaTA-eva ca-anDasya paTi prakASanam // 228
   iti //	iti //
   bhūtapūrvaṃ rāṣṭrapāla atīte 'dhvanyasaṃkhyaeyaiḥ	BUta-pUrvam rAzwrapAla atIte aDvanya-saMKyaeyEH
   kalpairasaṃkhyeyatarairacintyairatulyairapramāṇairvipulairaprameyairyadāsīt	kalpEH-asaMKyeyatarEH-acintyEH-atulyEH-apramANEH-vipulEH-aprameyEH-yadA-AsIt-
   / tena kālena tena samayena siddhārthabuddhirnāma tathāgato 'rhan	/ tena kAlena tena samayena sidDArTabudDiH-nAma taTAgataH arhan
   samyaksaṃbuddho loka udapādi vidyācaraṇasaṃpannaḥ sugato lokavidanuttaraḥ	samyaksaMbudDaH loke udapAdi vidyA-caraNa-saMpannaH sugataH loka-vid-anuttaraH
   puruṣadamyasārathiḥ śāstā devamanuṣyāṇāṃ ca buddho bhagavān / tena ca	puruza-damya-sAraTiH SAstA deva-manuzyANAm ca budDaH BagavAn / tena ca
   samayena arciṣmānnāma rājābhūt / arciṣmataḥ punā rāṣṭrapāla rājño	samayena arcizmAn-nAma rAjA-aBUt / arcizmataH punA rAzwrapAla rAjQaH-
   jambūdvīpe rājyamabhūtṣoḍaśayojanasahasrāṇi / tena ca rāṣṭrapāla kālena	jambUdvIpe rAjyam-aBUt-zoxaSa-yojana-sahasrANi / tena ca rAzwrapAla kAlena
   tasmin jambūdvīpe viṃśatinagarasahasrāṇyabhūvan sarvāṇi	tasmin jambUdvIpe viMSati-nagara-sahasrANi-aBUvan sarvANi
   kulakoṭisahasrikāṇi / tasya khalu punā rāṣṭrapāla rājño 'rciṣmato	kula-kowi-sahasrikANi / tasya Kalu punA rAzwrapAla rAjQaH arcizmataH-
   ratnaprabhāsaṃ nāma nagaramabhūdrājadhānī yatra sa rājā arciṣmān	ratnapraBAsam nAma nagaram-aBUt-rAjaDAnI yatra sa rAjA arcizmAn
   prativasati dvādaśayojanānyāyāmena pūrveṇa paścimena ca, sapta yojanāni	prativasati dvAdaSa-yojanAni-AyAmena pUrveNa paScimena ca, sapta yojanAni
   vistareṇa dakṣiṇenottareṇa ca, saptānāṃ ratnānāṃ ca	vistareNa dakziNena-uttareNa ca, saptAnAm ratnAnAm ca
   saptaprākāramaṣṭāpadasukṛtam / tena ca samayena daśavarṣakoṭiniyutāni	sapta-prAkAram-azwa-Apada-sukRtam / tena ca samayena daSa-varza-kowi-niyutAni
   sattvānāmāyuḥpramāṇamabhūt / rājñaḥ punā rāṣṭrapāla arciṣmataḥ	sattvAnAm-AyuH-pramANam-aBUt / rAjQaH punA rAzwrapAla arcizmataH
   puṇyaraśmirnāma putro 'bhūdabhirūpaḥ prāsādiko darśanīyaḥ	puNyaraSmiH-nAma putraH aBUt-aBirUpaH prAsAdikaH darSanIyaH
   paramaśubhavarṇapuṣkalatayā samanvāgataḥ / tasya jātamātrasyaiva	parama-SuBa-varNa-puzkala-tayA samanvAgataH / tasya jAta-mAtrasya-eva
   nidhānasahasraṃ prādurbhūtam / saptānāṃ ratnānāmekaṃ cātra nidhānaṃ rājñaḥ	niDAna-sahasram prAdurBUtam / saptAnAm ratnAnAm-ekam ca-atra niDAnam rAjQaH
   prāsāde prādurbhūtaṃ daśapauruṣapramāṇaṃ saptānāṃ ratnānām / tasya khalu	prAsAde prAdurBUtam daSa-pOruza-pramANam saptAnAm ratnAnAm / tasya Kalu
   punā rāṣṭrapāla puṇyaraśme rājakumārasya jātāmātrasyaiva sarve	punA rAzwrapAla puNya-raSme rAja-kumArasya jAtA-mAtrasya-eva sarve
   jāmbūdvīpakāḥ sattvā āttamanaso 'bhūvan / ye ca sattvā bandhanagatāsteṣāṃ	jAmbUdvIpakAH sattvAH Atta-manasaH aBUvan / ye ca sattvAH banDana-gatAH-tezAm
   bandhanamokṣo 'bhūt / tena khalu punā rāṣṭrapāla puṇyaraśminā rājakumāreṇa	banDana-mokzaH aBUt / tena Kalu punA rAzwrapAla puNya-raSminA rAja-kumAreNa
   saptabhirdivasaiḥ sarvaśilpānyadhigatāni yāvanti laukikāni //	saptaBiH-divasEH sarva-SilpAni-aDigatAni yAvanti lOkikAni //
   atha khalu rāṣṭrapāla puṇyaraśme rājakumārasya śuddhāvāsakāyikā devatā	aTa Kalu rAzwrapAla puNya-raSme rAja-kumArasya SudDAvAsa-kAyikA devatA
   ardharātrakālasamaye saṃcodayanti sma - apramattena te kumāra sadā	arDarAtra-kAla-samaye saMcodayanti sma  apramattena te kumAra sadA
   bhavitavyam / anityatāpratyavekṣaṇakuśalena bhavitavyam / alpaṃ hi kumāra	Bavitavyam / anitya-tA-pratyavekzaNa-kuSalena Bavitavyam / alpam hi kumAra
   jīvitaṃ manuṣyāṇām / gamanīyaḥ saṃparāyaḥ / paralokabhayadarśinā ca te	jIvitam manuzyANAm / gamanIyaH saMparAyaH / para-loka-Baya-darSinA ca te
   bhavitavyaṃ na sarmakriyoddhureṇa / tasyāṃ velāyāmimā gāthā abhāṣata -	Bavitavyam na sarma-kriyA-udDureNa / tasyAm velAyAm-imAH gATAH aBAzata -
   mā kumāra bhava supramattako mā pramādavaśamabhyupeṣyase /	mA kumAra Bava supramattakaH mA pramAda-vaSam-aByupezyase /
   apramāda sugatena varṇito ninditā hi sugataiḥ pramattakāḥ // 229 //	apramAda sugatena varNitaH ninditAH hi sugatEH pramattakAH // 229 //
   apramatta iha ye ca sūratā dānasaṃyamaratā amatsarāḥ /	apramattaH iha ye ca sUratA dAna-saMyama-ratAH amatsarAH /
   sarvasattvakṛpamaitramānasā te bhavanti nacirānnarottamāḥ // 230 //	sarva-sattva-kRpa-mEtra-mAnasA te Bavanti nacirAt-nara-uttamAH // 230 //
   ye 'prameya sugatā atītāḥ sāṃprataṃ ca hi ye 'pyanāgatāḥ /	ye aprameya sugatAH atItAH sAMpratam ca hi ye api-anAgatAH /
   sarvaeva kuśalaista udgatā apramādapatha eva susthitāḥ // 231 //	sarvaA-iva kuSalEH-te udgatAH apramAda-paTaH eva susTitAH // 231 //
   annapānamatha vastrabhojanaṃ hemarūpyamaṇibhūṣaṇam /	anna-pAnam-aTa vastra-Bojanam hema-rUpya-maNi-BUzaNam /
   dattaṃ tairapi ca kalpakoṭiyaḥ prārthayadbhiriha bodhimuttamām // 232 //	dattam tEH-api ca kalpa-kowiyaH prArTayadBiH-iha boDim-uttamAm // 232 //
   (Vaidya, RP 143)	(VEdya, RS 143)
   hastapādamatha karṇanāsikā yācitā dadati saṃpraharṣitāḥ /	hasta-pAdam-aTa karNa-nAsikA yAcitAH dadati saMpraharzitAH /
   sarvabodhiguṇapūritāśayāḥ te bhavanti nacirānnarottamāḥ // 233 //	sarva-boDi-guNa-pUrita-ASayAH te Bavanti nacirAt-nara-uttamAH // 233 //
   rajyasaukhyavibhavāṃśca sarvaśo viprahāya dayitāḥ sriyo 'pi ca /	rajya-sOKya-viBavAn=-ca sarvaSas viprahAya dayitAH sriyaH api ca /
   raṅgamāyasadṛśaṃ hi saṃskṛtaṃ saṃśrayasva vanameva niḥspṛhaḥ // 234 //	raFga-mAya-sadRSam hi saMskRtam saMSrayasva vanam-eva niHspRhaH // 234 //
   jīvitaṃ capalamadhruvaṃ sadā mṛttikāghaṭaka eva bhedi ca /	jIvitam capalam-aDruvam sadA mRttikA-GawakaH eva Bedi ca /
   yācitopamamaśāśvataṃ sadā nātra nityamaśubhaṃ kumāraka // 235 //	yAcita-upamam-aSASvatam sadA na-atra nityam-aSuBam kumArakaH // 235 //
   neha mātra na pitā na bāndhavā dhārayanti yatamāna durgatim /	na-iha mA-atra na pitA na bAnDavAH DArayanti yatamAna durgatim /
   yatkṛtaṃ hi śubhāśubhaṃ tatprāyantamanuyāti pṛṣṭhataḥ // 236 //	yat-kRtam hi SuBa-aSuBam tat-prAyantam-anuyAti pRzWatas // 236 //
   kāmahetu bahukalpasāgarā anyamanyavadhitā nirarthakāḥ /	kAma-hetu bahu-kalpa-sAgarAH anyam-anya-vaDitAH nirarTakAH /
   kasyacinna ca kṛtaṃ tvayā hitaṃ vyartha eva ca niveśitaḥ śramaḥ // 237 //	kasyacid-na ca kRtam tvayA hitam vyarTaH eva ca niveSitaH SramaH // 237 //
   adya te jagata eṣato hitaṃ bodhiśāntamatulaṃ padottamam /	adya te jagataH ezataH hitam boDi-SAntam-atulam pada-uttamam /
   majjamāṃsamapi carma śuṣyate yadyapi tvamapi mā kṛthā śramam // 238 //	majja-mAMsam-api carma Suzyate yadi-api tvam-api mA kRTAH Sramam // 238 //
   durlabho hi sugatasya saṃbhavaḥ śāntadharmaśravaṇaṃ sudurlabham /	durlaBaH hi sugatasya saMBavaH SAnta-Darma-SravaNam su-durlaBam /
   mārapakṣamavadhūya yatnato buddhajñāna nacireṇa lapsyase // 239 //	mAra-pakzam-avaDUya yatnataH budDa-jQAna nacireNa lapsyase // 239 //
   bhadramitraparisevakaḥ sadā pāpamitraparivarjako bhava /	Badra-mitra-parisevakaH sadA pApa-mitra-parivarjakaH Bava /
   satpathe upanayanti te sadā duṣpathā ca satataṃ nivārakāḥ // 240 //	sat-paTe upanayanti te sadA duzpaTA ca satatam nivArakAH // 240 //
   sādhu vīryamapi kṛtva susthiraṃ kāyajīvitaspṛhāṃ vihāya ca /	sADu vIryam-api kRtva su-sTiram kAya-jIvita-spRhAm vihAya ca /
   vajrakalpahṛdayā dṛḍhāśrayā buddhamārgamimameva suśrutam // 241 //	vajra-kalpa-hRdayA dRXa-ASrayAH budDa-mArgam-imam-eva suSrutam // 241 //
   durlabhaṃ padavaraṃ hyanuttaraṃ sarva eva purimā narottamā /	durlaBam pada-varam hi-anuttaram sarve eva purimA nara-uttamA /
   araṇyagocararatāḥ prabhaṃkarāḥ teṣa tvaṃ cara pathe 'nuvartakaḥ // 242 //	araNya-gocara-ratAH praBaMkarAH teza tvam cara paTe anuvartakaH // 242 //
   araṇyavāsanirataḥ sadā bhava mātṛputrapitṛbāndhavān priyān /	araNya-vAsa-nirataH sadA Bava mAtR-putra-pitR-bAnDavAn priyAn /
   viprahāya sakalaṃ suhṛjjanaṃ kāyajīvitakṛtāmapi tṛṣṇām /	viprahAya sakalam suhRd-janam kAya-jIvita-kRtAm-api tRzNAm /
   eṣatādya vipulaṃ sugatajñānasaṃcayam eṣatā padavaraṃ hyanuttaram // 243 //	ezatA-adya vipulam sugata-jQAna-saMcayam ezatA pada-varam hi-anuttaram // 243 //
   atha khalu rāṣṭrapāla puṇyaraśmī rājakumārastata upādāya daśabhirvarṣairna	aTa Kalu rAzwrapAla puNya-raSmI rAja-kumAraH-tatas upAdAya daSaBiH-varzEH-na
   jātu styānamiddhamavakrāmitavān, na jātu hasitavān, na krīḍito na ramitaḥ,	jAtu styAnam-idDam-avakrAmitavAn, na jAtu hasitavAn, na krIxitaH na ramitaH,
   na paricārito na jātūdyānabhūmiṃ gato na jātu sakhāyān dṛṣṭvā vismitaḥ /	na paricAritaH na jAtu-udyAna-BUmim gataH na jAtu saKAyAn dRzwvA vismitaH /
   na jātu gītābhilāṣyabhūt / na rājyadhanagṛhanagareṣu spṛhāmutpāditavān /	na jAtu gIta-aBilAzya-BUt / na rAjya-Dana-gRha-nagarezu spRhAm-utpAditavAn /
   evaṃ sarvavastuṣu anapekṣo 'bhūt / ekaḥ pradhyāyamānaḥ sthito 'bhūt	evam sarva-vastuzu anapekzaH aBUt / ekaH praDyAyamAnaH sTitaH aBUt-
   pratisaṃlīnaḥ paramadaurbalyabhāvaṃ vicintayan / asāramitvaraṃ ca	pratisaMlInaH parama-dOrbalya-BAvam vicintayan / asAram-itvaram ca
   lokamanāśvasan / apriyasamavadhānaṃ priyavinābhāvaṃ bālollāpanaṃ	lokam-anASvasan / apriya-samavaDAnam priya-vinABAvam bAla-ullApanam
   saṃsāraratinirāsvādaṃ rājyasukhaṃ vimoghadharmaṃ (Vaidya, RP 144)	saMsAra-rati-nirAsvAdam rAjya-suKam vimoGa-Darmam (VEdya, RS 144)
   bhavābhīṣṭaṃ śamatṛptaṃ pṛthagjanatvaṃ sadā viruddham /	Bava-aBIzwam Sama-tRptam pRTagjana-tvam sadA virudDam /
   bālāyuktajanamadhyagato 'smi yannvahaṃ tūṣṇībhāvenātināmadhyeyam / sa	bAlA-yukta-jana-maDya-gataH asmi yat-nu-aham tUzNIBAvena-ati-nAma-Dyeyam / sa
   ekānte tūṣṇībhūtaḥ apramādaṃ vicintayan priyavinābhāvamekākī viharati sma	ekAnte tUzNIBUtaH apramAdam vicintayan priya-vinABAvam-ekAkI viharati sma
   atha khalu rāṣṭrapāla rājñārciṣmatā anyatarasmin pṛthivīpradeśe	aTa Kalu rAzwrapAla rAjQA-arcizmatA anyatarasmin pRTivI-pradeSe
   ratipradhānaṃ nāma nagaraṃ māpitamabhūt kumārasya paribhogārtham /	ratipraDAnam nAma nagaram mApitam-aBUt kumArasya pariBoga-arTam /
   dakṣiṇenottareṇa ca sapta vīthīśatāni, saptabhiḥ prākāraiḥ samantato	dakziNena-uttareNa ca sapta vITI-SatAni, saptaBiH prAkArEH samantataH-
   'nuparikṣiptamabhūtsaptaratnamayaiḥ	anuparikziptam-aBUt-sapta-ratna-mayEH
   kiṅkiṇījālasamucchritairmuktājālaratnayaṣṭivitānaiḥ / sarveṣu ca	kiFkiNI-jAla-samucCritEH-muktA-jAla-ratna-yazwi-vitAnEH / sarvezu ca
   vīthīmukheṣu aśītiratnayaṣṭisahasrāṇi sthāpitānyabhūvan / sarvasyā ca	vITI-muKezu aSIti-ratna-yazwi-sahasrANi sTApitAni-aBUvan / sarvasyA ca
   ratnayaṣṭayāṃ yaṣṭiratnasūtrasahasrāṇi nibaddhānyabhūvan / sarvatra ca	ratna-yazwayAm yazwi-ratna-sUtra-sahasrANi nibadDAni-aBUvan / sarvatra ca
   ratnasūtre caturdaśa tālapaṅktikoṭyo nibaddhānyabhūvan, yāsāṃ	ratna-sUtre caturdaSa tAla-paFkti-kowyaH nibadDAni-aBUvan, yAsAm
   vāteneritānāṃ vātasaṃghaṭṭitānāṃ tadyathāpi nāma tūryaśatasahasrasya	vAtena-IritAnAm vAta-saMGawwitAnAm tat-yaTA-api nAma tUrya-Sata-sahasrasya
   ghoṣaśabdaḥ syāt / sarveṣu ca vīthīmukheṣu pañca pañca kanyāśatāni	Goza-SabdaH syAt / sarvezu ca vITI-muKezu paQca paQca kanyA-SatAni
   sthāpitānyabhūvan gītakuśalāni nṛttakuśalāni prathamayauvanaprāptāni	sTApitAni-aBUvan gIta-kuSalAni nRtta-kuSalAni praTama-yOvana-prAptAni
   sarvajagatparibhogyāni / tāsāṃ ca rājñārciṣmatā ājñā dattābhūt -	sarva-jagat-pariBogyAni / tAsAm ca rAjQA-arcizmatA AjQA dattA-aBUt -
   rātridivaṃ bhavantībhirnānyā kthā kāryāṃ anyatra nṛttagītavāditena / sarve	rAtri-divam BavantIBiH-na-anyA kTA kAryAm anyatra nRtta-gIta-vAditena / sarve
   rañjayitavyā ye keciccaturṣu dikṣvāgacchanti / apyevaṃ nāma kumārasya	raQjayitavyAH ye kecid-caturzu dikzu-AgacCanti / api-evam nAma kumArasya
   raticittamutpadyeta / na ca kasyacit sattvasyāpanāyaṃ vaktavyam / teṣu ca	rati-cittam-utpadyeta / na ca kasyacid sattvasya-apanAyam vaktavyam / tezu ca
   punaḥ sarvavīthīmukheṣu annamannārthikebhyo dīyate, pānaṃ pānārthikebhyaḥ,	punar sarva-vITI-muKezu annam-anna-arTikeByaH dIyate, pAnam pAna-arTikeByaH,
   yānaṃ yānārthikebhyo	yAnam yAna-arTikeByaH-
   yāvadvadvastragandhamālyavilepanaśayyopāśrayajīvitapariṣkāraṃ	yAvadvat-vastra-ganDa-mAlya-vilepana-SayyA-upASraya-jIvita-parizkAram
   suvarṇarūpyamaṇimuktāvaiḍūrya śaṅkhaśilāpravālajātarūparajata	suvarNa-rUpya-maNi-muktA-vExUrya SaFKa-SilA-pravAla-jAta-rUpa-rajata
   hastyaśvaśodhanaṃ sarvābharaṇaṃ ratnarāśayaśca sthāpitā abhūvan	hasti-aSva-SoDanam sarva-ABaraNam ratna-rASayaH-ca sTApitAH aBUvan
   sarvajanaparibhogārtham / tena ca samayena madhye nagarasya samantato	sarva-jana-pariBoga-arTam / tena ca samayena maDye nagarasya samantataH-
   yojanaṃ gṛhaṃ kumārasya māpitamabhūtparibhogāya saptānāṃ	yojanam gRham kumArasya mApitam-aBUt-pariBogAya saptAnAm
   ratnānāmaṣṭāpadanibaddhaṃ toraṇasaptapratimaṇḍitam / tatra caikaḥ prāsādaḥ	ratnAnAm-azwApada-nibadDam toraNa-sapta-pratimaNxitam / tatra ca-ekaH prAsAdaH
   kārito 'bhūt, yatra catasraḥ śayanakoṭyaḥ prajñaptamabhūtkumārasya	kAritaH aBUt, yatra catasraH Sayana-kowyaH prajQaptam-aBUt-kumArasya
   paribhogārtham / tatra ca madhye udyānaṃ	pariBoga-arTam / tatra ca maDye udyAnam
   māpitamabhūtsarvapuṣpavṛkṣasarvaphalavṛkṣasarvaratnavṛkṣapratisphuṭaṃ	mApitam-aBUt-sarva-puzpa-vRkza-sarva-Pala-vRkza-sarva-ratna-vRkza-pratisPuwam
   saṃchāditamabhūta / tasya khalu punā rāṣṭrapāla udyānasya madhye puṣkariṇi	saMCAditam-aBUta / tasya Kalu punA rAzwrapAle udyAnasya maDye puzkariNi
   kāritābhūt saptaratnamayī catūratnasopānī, tadyathā suvarṇasya rūpyasya	kAritA-aBUt sapta-ratna-mayI catU-ratna-sopAnI, tat-yaTA suvarNasya rUpyasya
   vaiḍūryasya sphaṭikasya / aṣṭottaraṃ ca siṃhamukhaśataṃ yena gandhodakaṃ	vExUryasya sPawikasya / azwa-uttaram ca siMha-muKa-Satam yena ganDa-udakam
   praviśati tasyāḥ khalu punaḥ puṣkariṇyāḥ / aṣṭaśatameva siṃhamukhānāṃ yena	praviSati tasyAH Kalu punar puzkariNyAH / azwaSatam-eva siMha-muKAnAm yena
   punareva tadvāri nirvahati / utpalapadmakumudapuṇḍarīkaiḥ satatasamitaṃ	punar-eva tat-vAri nirvahati / utpala-padma-kumuda-puNxarIkEH satata-samitam
   saṃpuṣpitā samantataśca ratnavṛkṣaparivāritā sarvakālikaiśca	saMpuzpitA samantataH-ca ratna-vRkza-parivAritA sarva-kAlikEH-ca
   puṣpaphalavṛkṣaiḥ parisphuṭā / tasyāḥ puṣkariṇyāḥ tīre aṣṭaśataṃ	puzpa-Pala-vRkzEH parisPuwAH / tasyAH puzkariNyAH tIre azwa-Satam
   ratnavṛkṣāṇāṃ māpitamabhūt / sarvasmin ratnavṛkṣe ṣaṣṭiṣaṣṭi ratnasūtrāṇi	ratna-vRkzANAm mApitam-aBUt / sarvasmin ratna-vRkze zazwizazwi ratna-sUtrANi
   nibaddhāni / sarvatra ca tālapaṅktikoṭyo nibaddhāḥ / tāsāṃ ca	nibadDAni / sarvatra ca tAla-paFkti-kowyaH nibadDAH / tAsAm ca
   vāteneritānāṃ vātasaṃghaṭṭitānāṃ śabdo niścarati tadyathāpi nāma	vAtena-IritAnAm vAta-saMGawwitAnAm SabdaH niScarati tat-yaTA-api nAma
   tūryaśatasahasrasya saṃpravāditasya / sā ca puṣkariṇi	tUrya-Sata-sahasrasya saMpravAditasya / sA ca puzkariNi
