   jaiminīyagṛhyasūtram	jEminIya-gRhya-sUtram
   nānupaspṛśya bhojanaṃ prātaḥ sāyamupaspṛśyā	na-anupaspRSya Bojanam prAtar sAyam-upaspRSyA
   samidādhānādaraṇyātsamidhamāhṛtyādadhyādādityavrātikaḥ saṃvatsara ekavāsā	samiD-ADAnAt-araNyAt-samiDam-AhRtyAt-aDyAda-Aditya-vrAtikaH saMvatsaraH eka-vAsA
   na yuktamārohedādityaṃ nāntardadhīta chatreṇa	na yuktam-Arohet-Adityam na-antar-daDIta CatreNa
   mahīmāsanaśayānābhyāmupānadbhyāṃ ca nordhvaṃ jānvorapaḥ	mahIm-Asana-SayAnAByAm-upAnadByAm ca na-UrDvam jAnvoH-apaH
   prasnāyādanyatrācāryavacanāhrātike vrataparvādityavrātike	prasnAyAt-anyatra-AcArya-vacana-AhrAtike vrata-parva-Aditya-vrAtike
   śukriyāṇyaupaniṣada upaniṣadaṃ śrāvayet // JaimGS_1.16 //	SukriyANi-OpanizadaH upanizadam SrAvayet // JEmGS_1.16 //
   JaimGS 1.17:	JEmGS 1.17:
   dvādaśa mahānāmnikāḥ saṃvatsarā nava ṣaṭ traya iti vikalpāḥ	dvAdaSa mahAnAmnikAH saMvatsarAH nava zaw trayaH iti vikalpAH
   saṃvatsaramityeke pitrā cecchrutā mahānāmnyaḥ saṃvatsaraṃ brahmacaryaṃ	saMvatsaram-iti-eke pitrA ced-SrutAH mahAnAmnyaH saMvatsaram brahmacaryam
   carecchuklaikavāsā vrataṃ tu bhūyastiṣṭheddivāthāsīta naktaṃ tasya kṛṣṇe	caret-Sukla-eka-vAsAH vratam tu BUyas-tizWet-divATa-AsIta naktam tasya kRzNe
   bhojanācchādane bhavata ityeke śuklaṃ caiva paridadhyādrāgadoṣānna kṛṣṇaṃ	Bojana-AcCAdane BavataH iti-eke Suklam ca-eva paridaDyAt-rAga-dozAt-na kRzNam
   sarvāsvapsūpaspṛśedabuktāḥ śakvarya iti nāvā na prasnāyātprāṇasaṃśaye	sarvAsu-apsu-upaspRSet-abuktAH SakvaryaH iti nAvA na prasnAyAt-prANa-saMSaye
   tūpaspṛśedubhayata api vā gāḥ pāyayetpaśuktāḥ śakvarya iti varṣaṃ	tu-upaspRSet-uBayatas api vA gAH pAyayet-paSuktAH SakvaryaH iti varzam
   nāntardadhīta chatreṇa prati varṣaṃ niṣkrāmedevamasya carataḥ kāmavarṣī	na-antar-daDIta CatreNa prati varzam nizkrAmet-evam-asya carataH kAma-varzI
   parjanyo bhavati brahmacaryānta ekarātramupoṣita araṇyaṃ gatvā	parjanyaH Bavati brahmacarya-ante eka-rAtram-upozita araNyam gatvA
   śaivalamiśrāṇāmapāṃ kāṃsaṃ pūrayitvā tamupaveśya samanuparigṛhya nimīlitaṃ	SEvala-miSrANAm-apAm kAMsam pUrayitvA tam-upaveSya samanuparigRhya nimIlitam
   tisra stotriyā upagāyetsapurīṣā upotthāyācāryo 'hatena vāsasā mukhamasya	tisra stotriyAH upagAyet-sa-purIzAH upotTAya-AcAryaH ahatena vAsasA muKam-asya
   pariṇahyetpradakṣiṇamudapātraṃ dhārayaṃstiṣṭhedahaḥśeṣaṃ rātrimāsīta	pariNahyet-pradakziNam-uda-pAtram DArayan=-tizWet-ahar-Sezam rAtrim-AsIta
   vāgyataḥ śvo bhate 'raṇyaṃ gatvāgnimupasamādhāya vatsamupānvānīye vāsa	vAgyataH Svas Bate araNyam gatvA-agnim-upasamADAya vatsam-upAnvAnIye vAsa
   udveṣṭayedudyamya kāṃsamapo 'bhivīkṣa iti vīkṣetsvarabhivīkṣa ityādityaṃ	udvezwayet-udyamya kAMsam-apaH aBivIkzaH iti vIkzet-svar-aBivIkzaH iti-Adityam
   jyotirabhivīkṣa ityagniṃ paśumabhivīkṣa iti vatsaṃ samanyā yantītyapaḥ	jyotiH-aBivIkzaH iti-agnim paSum-aBivIkzaH iti vatsam samanyAH yanti-iti-apaH
   prasicya vāsaḥ kāṃsaṃ vatsamityacāryāyopaharetsthālīpākādviśvāmitrendrau	prasicya vAsaH kAMsam vatsam-iti-acAryAya-upaharet-sTAlI-pAkAt-viSvAmitra-indrO
   mahānāmnīśca yajata ityācāryaṃ sapariṣaṭkaṃ bhojayedgaurdakṣiṇā //	mahAnAmnIH-ca yajate iti-AcAryam sa-parizawkam Bojayet-gOH-dakziNAH //
   JaimGS_1.17 //	JEmGS_1.17 //
   JaimGS 1.18:	JEmGS 1.18:
   dvādaśa varṣāṇi vedabrahmacaryaṃ jananātprabhṛtītyeke yāvadadhyayanaṃ vā	dvAdaSa varzANi veda-brahmacaryam jananAt-praBRti-iti-eke yAvat-aDyayanam vA
   sadā sāye samidādhānaṃ sāyaṃprātarbhaikṣacaraṇaṃ dve trivṛtī	sadA sAye samiD-ADAnam sAyaMprAtar-BEkza-caraNam dve trivRtI
   varjayetrivṛtaṃ ca maṇiṃ triguṇe copānahau ṣoḍaśe godānakaraṇaṃ	varjayetrivRtam ca maNim triguNe ca-upAnahO zoxaSe go-dAna-karaNam
   tatkeśāntakaraṇamityācakṣate cauḍakaraṇena mantrā vyākhyātā upanayanena	tad-keSa-anta-karaNam-iti-Acakzate ca-oxa-karaNena mantrAH vyAKyAtAH upanayanena
   vratādeśanaṃ na tviha niyuktamahataṃ vāsaḥ sarvāṇi lomanakhāni	vrata-AdeSanam na tu-iha niyuktam-ahatam vAsaH sarvANi loma-naKAni
   vāpayecchikhāvarjamityaudgāhamaniruptakeśaḥ snāyādvanaspateriti	vApayet-SiKA-varjamiti-Odga-aham-anirupta-keSaH snAyAt-vanaspateH-iti
   vanaspatīnāṃ snānīyena tvacamunmṛdgīte vanaspatestvagasi śodhani śodhaya	vanaspatInAm snAnIyena tvacam-ut-mRd-gIte vanaspateH-tu-ac-asi SoDani SoDaya
   mā tāṃ tvābhiharaṃ dīrghāyuṣṭvā varcasa iti vanaspatīnāṃ gandho 'sīti	mA tAm tvA-aBiharam dIrGa-AyuzwvA varcasaH iti vanaspatInAm ganDaH asi-iti
   snātvānulepanena kurute vanaspatīnāṃ gandho 'si puṇyagandha puṇyaṃ me	snAtvA-anulepanena kurute vanaspatInAm ganDaH asi puNya-ganDa puNyam me
   gandhaṃ kuru devamanuṣyeṣu taṃ tvābhihare dīrghāyuṣṭvāya varcasa iti	ganDam kuru deva-manuzyezu tam tvA-aBihare dIrGa-AyuzwvAya varcasaH iti
   vanaspatīnāṃ puṣpamasīti srajamābadhnīte vanaspatīnāṃ puṣpamasi	vanaspatInAm puzpam-asi-iti srajam-AbaDnIte vanaspatInAm puzpam-asi
   puṇyagandha puṇyaṃ me gandhaṃ kuru devamanuṣyeṣu taṃ tvābhihare	puNya-ganDa puNyam me ganDam kuru deva-manuzyezu tam tvA-aBihare
   dīrghāyuṣṭvāya varcasa ityādarśo 'sītyādarśa ātmānaṃ vīkṣetādarśo 'syā mā	dIrGa-AyuzwvAya varcasaH iti-AdarSaH asi-iti-AdarSe AtmAnam vIkzeta-AdarSaH asyAH mA
   dṛśyāsandevamanuṣyā ubhaye śobho 'si śobhāsamahaṃ devamanuṣyeṣu roco 'si	dRSya-Asandeva-manuzyAH uBaye SoBaH asi SoBA-samaham deva-manuzyezu rocaH asi
   rocāsamahaṃ devamanuṣyeṣvityapoddhṛtya srajamādeśayetoktā dharmāḥ	rocAsam-aham deva-manuzyezu-iti-apodDRtya srajam-AdeSayeta-uktAH DarmAH
   saṃvatsareṣu gaurdakṣiṇā // JaimGS_1.18 //	saMvatsarezu gOH-dakziNAH // JEmGS_1.18 //
   JaimGS 1.19:	JEmGS 1.19:
   vedamadhītya vratāni caritvā brāhmaṇaḥ snāsyansaṃbhārānupakalpayate 'hataṃ	vedam-aDItya vratAni caritvA brAhmaNaH snAsyan-saMBArAn-upakalpayate ahatam
   vāsa erakāṃ snānamanulepanaṃ sumanasa āñjanamādarśamahate vāsasī trivṛtaṃ	vAsaH erakAm snAnam-anulepanam sumanasaH AQjanam-AdarSam-ahate vAsasI trivRtam
   maṇiṃ vaiṇavaṃ daṇḍaṃ śukle upānahau nāpita upakḷpta uttarata	maNim vENavam daNxam Sukle upAnahO nApitaH upak?ptaH uttarata
   upatiṣṭhatyerakāmāstīryāhatena vāsasodagdaśena pracchādya tatrainaṃ	upatizWati-erakAmAH-tIrya-Ahatena vAsasA-udagdaSena pracCAdya tatra-enam
   prāṅmukhamupaveśya daṇḍamapsu ṣādayeddaviṣatāṃ vajro 'sīti mekhalāṃ	prAFmuKam-upaveSya daNxam-apsu zAdayet-davizatAm vajraH asi-iti meKalAm
   visraṃsayeduduttamamiti tāṃ caivāpsu ṣādayetkeśāntakaraṇena mantrā	visraMsayet-uduttamam-iti tAm ca-eva-apsu zAdayet-keSa-anta-karaNena mantrA
   vyākhyātāḥ parivāpanaṃ ca śiro 'gre vapate tataḥ śmaśrūṇi tata	vyAKyAtAH parivApanam ca SiraH agre vapate tatas SmaSrUNi tata
   itarāṇyaṅgānyānupūrveṇa keśaśmaśrulomanakhānyaśvanthasya mūle	itarANi-aFgAni-AnupUrveNa keSa-SmaSru-loma-naKAni-aSvanTasya mUle
   nikhanedudumbarasya vāpahato me pāpmeti	niKanet-udumbarasya vA-apahataH me pApmA-iti
   śītoṣṇābhiradbhirhiraṇyāntarhitābhirenaṃ srāpayecchivā naḥ śaṃtamā bhava	SIta-uzNABiH-adBiH-hiraNya-antarhitABiH-enam srApayet-SivA naH SaMtamA Bava
   sumaḍīkā sarasvati mā te vyoma saṃdṛśīti rohiṇyāṃ srāyātprajāpatervā	sumaxIkA sarasvati mA te vyoma saMdRSI-iti rohiNyAm srAyAt-prajApateH-vA
   etannakṣatraṃ prajāvānbhūyāsamiti mṛgaśirasi srāyātsomasya vā	etat-nakzatram prajAvAn-BUyAsam-iti mRgaSirasi srAyAt-somasya vA
   etannakṣatraṃ somejyā mopanamediti tiṣye srāyābṛhaspatervā etannakṣatraṃ	etat-nakzatram soma-ijyA mA-upanamet-iti tizye srAyA-bRhaspateH-vA etat-nakzatram
   brahma bṛhaspatirbrahmavarcasī bhūyāsamiti haste snāyātsaviturvā	brahma bRhaspatiH-brahmavarcasI BUyAsam-iti haste snAyAt-savituH-vA
   etannakṣatraṃ savitṛprasūto bhūyāsamityanūrādhāsu snāyānmitrasya vā	etat-nakzatram savitR-prasUtaH BUyAsam-iti-anUrADAsu snAyAt-mitrasya vA
   etannakṣatraṃ mitrāṇāṃ priyo bhūyāsamiti śravaṇe snāyādviṣṇorvā	etat-nakzatram mitrANAm priyaH BUyAsam-iti SravaNe snAyAt-vizNoH-vA
   etannakṣatraṃ yajño vai viṣṇuryajño mopanamediti tamahatena vāsasā	etat-nakzatram yajQaH vE vizNuH-yajQaH mA-upanamet-iti tam-ahatena vAsasA
   paridadhīta parīmaṃ someti savyamagre 'kṣyañjīta yaśasā metyatha dakṣiṇaṃ	paridaDIta pari-imam soma-iti savyam-agre akzyaQjIta yaSasA mA-iti-aTa dakziNam
   trivṛtaṃ maṇiṃ kaṇṭhe pratimuñcate pālāśaṃ svastyayanakāmaḥ svastyayano	trivRtam maNim kaNWe pratimuQcate pAlASam svastyayana-kAmaH svastyayanaH-
   'sīti bailvaṃ brahvavarcasakāmo brahmavarcasī	asi-iti bElvam brahvavarcasa-kAmaH brahmavarcasI
   bhūyāsamityarkhamannādyakāmor'kavānannādo bhūyāsamiti gandharvo 'si	BUyAsam-iti-arKam-annAdya-kAmor-akavAn-anna-AdaH BUyAsam-iti ganDarvaH asi
   viśvāvasuḥ sa mā pāhi sa mā gopāyeti vaiṇavaṃ daṇḍamupādatta	viSvAvasuH sa mA pAhi sa mA gopAya-iti vENavam daNxam-upAdatta
   upānahāvādadhīta netre stho nayataṃ māmiti dakṣiṇamagre pratimuñcate tasya	upAnahAvAt-aDIta netre sTaH nayatam mAm-iti dakziNam-agre pratimuQcate tasya
   vratāni bhavanti nājātalomnyopahāsamicchedvarṣati na dhāvennopānahau	vratAni Bavanti na-ajAtalomnya-upahAsam-icCet-varzati na DAvet-na-upAnahO
   svayaṃ harenna phalāni svayaṃ pracinvīta na pratisāyaṃ grāmāntaraṃ	svayam haret-na PalAni svayam pracinvIta na pratisAyam grAma-antaram
   vrajennaiko na vṛṣalaiḥ saha nodapānamavekṣenna vṛkṣamārohenna	vrajet-na-ekaH na vRzalEH saha na-udapAnam-avekzet-na vRkzam-Arohet-na
   saṃkramamārohennānantardhāyāsīta nāparayā dvārā prapannamannamaśnīyānna	saMkramam-Arohet-na-anantarDAya-AsIta na-aparayA dvArA prapannam-annam-aSnIyAt-na
   śuktaṃ na dviḥpakvaṃ na paryuṣitamanyatra	Suktam na dvis-pakvam na paryuzitam-anyatra
   śākamāṃsayavapiṣṭānnapṛthukaphāṇitadadhimadhughṛtebhyo nānarmaṇi hasenna	SAka-mAMsa-yava-pizwa-anna-pRTuka-PANi-ta-daDi-maDu-GRteByaH na-anarmaNi haset-na
   nagraḥ snāyācchukrā vāco na bhāṣeta janavādaṃ kalahāṃśca varjayettryaḥ	nagraH snAyAt-SukrAH vAcaH na BAzeta janavAdam kalahAn=-ca varjayet-tryaH
   snātakā bhavantīti ha smāhāruṇirgautamo vidyāsnātako vratasnātako	snAtakAH Bavanti-iti ha sma-Aha-aruNiH-gOtamaH vidyA-snAtakaH vrata-snAtakaH-
   vidyāvratasnātaka iti teṣāmuttamaḥ śreṣṭhastulyau pūrvau snātvācāryaṃ	vidyA-vrata-snAtakaH iti tezAm-uttamaH SrezWaH-tulyO pUrvO snAtvA-AcAryam
   brūyānmadhuparkaṃ me bhavānānayatvityācāryakalpo vā tasmai	brUyAt-maDuparkam me BavAn-Anayatu-iti-AcArya-kalpaH vA tasmE
   prāṅmukhāyāsīnāya	prAFmuKAya-AsInAya
   madhuparkamāharedviṣṭarapādyārdhyācamanīyānyekaikamanupūrveṇa	maDuparkam-Aharet-vizwara-pAdya-ArDya-AcamanIyAni-ekEkam-anupUrveNa
   viṣṭaramadhyāste pādyena pādau prakṣālayate mayi śrīḥ śrayatāmiti savyaṃ	vizwaram-aDyAste pAdyena pAdO prakzAlayate mayi SrIH SrayatAm-iti savyam
   pādamagre śūdrā cenmayi padyāvirāḍityatha dakṣiṇaṃ mayi varca ityardhyaṃ	pAdam-agre SUdrA ced-mayi padyA-virAj-iti-aTa dakziNam mayi varcaH iti-arDyam
   pratigṛhṇīyādācamanīyābhirācāmet pātracamasaṃ	pratigRhNIyAt-AcamanIyABiH-AcAmet pAtra-camasam
   viṣṭaropahitamadhastādviṣṭarau saṃhitāgrau bhavata ekaviṣṭara	vizwara-upahitam-aDastAt-vizwarO saMhita-agrO BavataH eka-vizwara
   uttaratastayormadhye dadhi madhu saṃnihite bhavato dadhnā ceddadhimantho	uttaratas-tayoH-maDye daDi maDu saMnihite BavataH daDnA ced-daDi-manTaH-
   'dbhiścedidamanthaḥ payasā cetpayasyastaṃ pratigṛhṇīyāddevasya tveti taṃ	adBiH-ced-idamanTaH payasA ced-payasyaH-tam pratigRhNIyAt-devasya tvA-iti tam
   pratigṛhya bhūmau pratiṣṭhāpyāvadhṛṣyāṅguṣṭhenopakaniṣṭhakayā ca mahyaṃ	pratigRhya BUmO pratizWApya-avaDRzya-aFguzWena-upakanizWakayA ca mahyam
   tvā yaśase śriyai'nnādyāpya brahmavarcasāyeti triḥ	tvA yaSase SriyE-annAdyApya brahmavarcasAya-iti tris-
   prāśnīyāccheṣamuttarataḥ pratigṛhya brāhmaṇāya dadyādabhyukṣya vā	prASnIyAt-Sezam-uttaratas pratigRhya brAhmaNAya dadyAt-aByukzya vA
   brāhmaṇāya garte vā nikhanetparaḥ svadhitipāṇirgāṃ dṛṣṭvāha gaurgauriti	brAhmaNAya garte vA niKanet-paraH svaDiti-pANiH-gAm dRzwvA-Aha gOH-gOH-iti
   tāmabhimantrayate gaurdhenurityomutsṛjateti brūyātkartavyā cetkuruteti	tAm-aBimantrayate gOrDenuH-iti-om-utsRjata-iti brUyAt-kartavyA ced-kuruta-iti
   brūyādgordhanurhavyā /	brUyAt-goH-DanuH-havyA /
   mātā rudrāṇāṃ duhitā vasūnāṃ svasādityānāmamṛtasya nābhiḥ /	mAtA rudrANAm duhitA vasUnAm svasA-AdityAnAm-amRtasya nABiH /
   pra nu vocaṃ cikituṣe janāya mā gāmanāgāmaditiṃ vadhiṣṭa pibatūdakaṃ	pra nu vocam cikituze janAya mA gAm-anAgAma-ditim vaDizwa pibatu-udakam
   tṛṇānyattvityatha ṣaḍardhyārhā bhavantyṛtvigācāryaḥ snātako rājābhiṣiktaḥ	tRNa-anyat-tu-iti-aTa zaz-arDyA-arhAH Bavanti-Rtvij-AcAryaH snAtakaH rAjA-aBiziktaH
   priyaḥ sakhā śrotriyaśceti tebhya ātithyaṃ gāṃ kuryāttāmatithaya iti	priyaH saKA SrotriyaH-ca-iti teByaH AtiTyam gAm kuryAt-tAm-atiTayaH iti
   prokṣet // JaimGS_1.19 //	prokzet // JEmGS_1.19 //
   JaimGS 1.20:	JEmGS 1.20:
   snātvā mātāpitarau paricarettadadhīnaḥ syāttābhyāmanujñāto jāyāṃ	snAtvA mAtA-pitarO paricaret-tat-aDInaH syAt-tAByAm-anujQAtaH jAyAm
   vindetānagnikāṃ samānajātīyāmasagotrāṃ māturasapiṇḍāṃ jyāyasaḥ kanīyasīṃ	vindeta-anagnikAm samAna-jAtIyAm-a-sagotrAm mAtuH-asapiNxAm jyAyasaH kanIyasIm
   dūtamanumantrayate 'nṛkṣarā ṛjavaḥ santu panthā ebhiḥ sakhāyo yanti no	dUtam-anumantrayate anRkzarAH RjavaH santu panTAH eBiH saKAyaH yanti na-u
   vareyam /	vareyam /
   samaryamā saṃ bhago no 'nunīyātsaṃ jāspatyaṃ suyamamastu devā iti	samaryamA sam BagaH naH anunIyAt-sam jAspatyam suyamam-astu devAH iti
   pāṇigrahaṇe 'gnimāhriyamāṇamanumantrayate 'gniraitu prathamo devatānāṃ so	pANigrahaNe agnim-AhriyamANam-anumantrayate agniH-Etu praTamaH devatAnAm saH-
   'syai prajāṃ muñcatu mṛtyupāśāt /	asyE prajAm muQcatu mRtyu-pASAt /
   tadayaṃ rājā varuṇo 'numanyatāṃ yatheyaṃ strī pautramaghaṃ na rodāditi	tat-ayam rAjA varuNaH anumanyatAm yaTA-iyam strI pOtram-aGam na rodAt-iti
   prajvalitamupatiṣṭhata imāmagnistrāyatāṃ gārhapatyaḥ prajāmasyai nayatu	prajvalitam-upatizWate imAm-agniH-trAyatAm gArhapatyaH prajAm-asyE nayatu
   dīrghamāyuḥ /	dIrGam-AyuH /
   aśūnyopasthā jīvatāmastu mātā pautramānandamabhi prabudhyatāmiyamiti	aSUnya-upasTA jIvatAm-astu mAtA pOtram-Anandam-aBi prabuDyatAm-iyam-iti
   purastādagrerbrāhmaṇo vāgyataḥ pratyaṅmukha udakumbhaṃ	purastAt-agreH-brAhmaNaH vAgyataH pratyaFmuKaH uda-kumBam
   dhārayaṃstiṣṭheddakṣiṇato 'gneḥ śamīpalāśamiśrānlājāñchūrpe mātā	DArayan=-tizWet-dakziNatas agneH SamI-palASa-miSrAn-lAjAn-SUrpe mAtA
   dhārayenmāturabhāve tanmātrī pratyagagnererakāṃ tejanīṃ	DArayet-mAtuH-aBAve tanmAtrI pratyak-agneH-erakAm tejanIm
   vānyadvaivaṃjātīyaṃ saṃveṣṭya nidadhyādyathā prasāryamāṇaṃ paścārdhaṃ	vA-anyat-vEvaMjAtIyam saMvezwya nidaDyAt-yaTA prasAryamANam paSca-arDam
   barhiṣaḥ prāpnotyathāsyai vāsasī prokṣyānumanvya dadāti yā	barhizaH prApnoti-aTa-asyE vAsasI prokzya-anumanvyaH dadAti yA
   akṛntannavayanyā atanvata yāśca devīrantāmabhito 'dadanta /	akRntat-navayanyAH atanvata yAH-ca devIrantAm-aBitas adadanta /
   tāstvā devīrjarasā saṃvyayantvāyuṣmatīdaṃ paridhatsva vāsa iti tāṃ	tAH-tvA devIH-jarasA saMvyayantu-Ayuzmati-idam pariDatsva vAsaH iti tAm
   brūyādimāmerakāṃ dakṣiṇena pādenābhijahīti pra me patiyānaḥ panthāḥ	brUyAdimAm-erakAm dakziNena pAdena-aBijahi-iti pra me pati-yAnaH panTAH
   kalpatāmityajapatyāṃ svayaṃ japetprāsyā iti dakṣiṇata erakāyāṃ	kalpatAm-iti-ajapatyAm svayam japet-prAsyAH iti dakziNatas erakAyAm
   bhāryāmupaveśyottarataḥ patirubhāvanvārabheyātāṃ	BAryAm-upaveSya-uttaratas patiH-uBO=-anvAra-BeyAtAm
   svayamuccairjuhuyāñjāyāyāmanvārabdhāyāṃ mahāvyāhṛtibhirhutvā yā tiraścīti	svayam-uccEs-juhuyAn-jAyAyAm-anvArabDAyAm mahAvyAhRtiBiH-hutvA yA tiraScI-iti
   saptabhirjuhoti saṃpātaṃ prathamayā mūrdhanyāsiñcedyā tiraścī nipadyase	saptaBiH-juhoti saMpAtam praTamayA mUrDani-AsiQcedyA tiraScI nipadyase
   'haṃ vidharaṇī iti /	aham viDaraNI iti /
   tāṃ tvā dhṛtasya dhārayā saṃrādhā rādhayāmasi saṃrādhāyai svāhā //	tAm tvA DRtasya DArayA saMrADAH rADayAmasi saMrADAyE svAhA //
   mā te gṛhe niśi ghoṣa utthādanyatra tvadrudatyaḥ saṃviśantu /	mA te gRhe niSi GozaH utTAt-anyatra tvad-rudatyaH saMviSantu /
   mā tvaṃ vikeśyura āvadhiṣṭhā jīvapatnī patiloke virāja prajāṃ paśyantī	mA tvam vikeSI-uraH AvaDizWA jIva-patnI pati-loke virAja prajAm paSyantI
   sumanasyamānā svāhā /	sumanasyamAnA svAhA /
   anvadya no 'numatiryajñaṃ deveṣu manyatām /	anu-adya naH anumatiH-yajQam devezu manyatAm /
   agniśca havyavāhanastatkarotu samṛdhyatāṃ svāhā //	agniH-ca havyavAhanaH-tat-karotu samRDyatAm svAhA //
   dyauste pṛṣṭhaṃ rakṣatu vāyurūrū aśvinau ca stanaṃ dhayataste	dyOH-te pRzWam rakzatu vAyuH-UrU aSvinO ca stanam DayataH-te
   putrānsavitābhirakṣantu /	putrAn-savitA-aBirakzantu /
   ā vāsasaḥ paridhānādbṛhaspatirviśve devā abhirakṣantu paścātsvāhā //	A vAsasaH pariDAnAt-bRhaspatiH-viSve devAH aBirakzantu paScAt-svAhA //
   aprajastāṃ pautramṛtyuṃ pāpmānamuta vādham /	aprajastAm pOtra-mRtyum pApmAnam-uta vADam /
   śīrṣṇaḥ srajamivonmucya dviṣadbhya pratimuñcāmi pāśaṃ svāhā //	SIrzNaH srajam-iva-unmucya dvizadByaH pratimuQcAmi pASam svAhA //
   yāni kāni ca pāpāni sarvāṅgeṣu tavābhavan /	yAni kAni ca pApAni sarva-aFgezu tava-aBavan /
   pūrṇāhutibhirājyasya sarvāṇi tānyaśīśamaṃ svāhā //	pUrNAhutiBiH-Ajyasya sarvANi tAni-aSISamam svAhA //
   prajāpata ityekā // JaimGS_1.20 //	prajApate iti-ekA // JEmGS_1.20 //
   JaimGS 1.21:	JEmGS 1.21:
   athāsyā dakṣiṇena pāṇinā dakṣiṇaṃ pāṇiṃ gṛhṇāti prahastaṃ puṃsa aṅgulī	aTa-asyAH dakziNena pANinA dakziNam pANim gRhNAti prahastam puMsa aFgulI
   striyaḥ sāṅguṣṭhaṃ mithunakāmo gṛhṇāmi te saubhagatvāya hastaṃ mayā patyā	striyaH sa-aFguzWam miTuna-kAmaH gRhNAmi te sOBaga-tvAya hastam mayA patyA
   jaradaṣṭiryathāsat /	jara-dazwiH-yaTA-asat /
   bhago 'yemā savitā purandhirmahyaṃ tvādurgārhapatyāya devāḥ //	BagaH ayemA savitA puranDiH-mahyam tvA-durgArha-patyAya devAH //
   somo 'dadadgandharvāya gandharvo 'dadagnaye /	somaH adadat-ganDarvAya ganDarvaH adat-agnaye /
   rayiṃ ca putrāṃścādādagnirmahyamatho imām //	rayim ca putrAn=-ca-adAt-agniH-mahyam-aTo imAm //
   somaḥ prathamo vivide gandharvo vivida uttaraḥ /	somaH praTamaH vivide ganDarvaH vivide uttaraH /
   tṛtīyo 'gniṣṭe patisturīyo 'haṃ manuṣyajā	tRtIyaH agnizwe patiH-turIyaH aham manuzya-jA
   ityupanayanāvṛtāśmānamadhiṣṭhāpayetsrīvat uttarapurastādagnerbhāryayā	iti-upanayana-AvRta-aSmAnam-aDizWApayet-srIvat uttara-purastAt-agneH-BAryayA
   saṃprekṣyamāṇo japatyaghoracakṣurapatighnī ma edhi śivā patibhyaḥ sumanāḥ	saMprekzyamANaH japati-aGora-cakzuH-apati-GnI me eDi SivAH patiByaH sumanAH
   suvarcāḥ /	suvarcAH /
   jīvasūrdevakāmā syonā śaṃ no bhava dvipade śaṃ catuṣpade //	jIvasUH-deva-kAmA syonA Sam naH Bava dvipade Sam catuzpade //
   ā naḥ prajāṃ janayatu prajāpatirājarasāya samanatkaryamā /	A naH prajAm janayatu prajApati-rAjarasAya samanatkaryamA /
   adurmaṅgalīḥ patilokamāviśa śaṃ na edhi dvipade śaṃ catuṣpade //	adurmaFgalIH pati-lokam-AviSa Sam naH eDi dvipade Sam catuzpade //
   tāṃ pūṣañchivatamāmerayasva yasyāṃ bījaṃ manuṣyā vapanti /	tAm pUzan-SivatamAm-erayasva yasyAm bIjam manuzyAH vapanti /
   yā na ūrū uśatī vistrayātai yasyāmuśantaḥ praharema śepham //	yA naH UrU uSatI vistra-yAtEH yasyAm-uSantaH praharema SePam //
   amo 'hamasmi sā tvaṃ sāmāhamasmyṛtkaṃ mano 'hamasmi vāktvaṃ dyaurahaṃ	amaH aham-asmi sA tvam sAma-aham-asmi-Rt-kam manaH aham-asmi vAc-tvam dyOH-aham
   pṛthivī tvaṃ tāvehi saṃbhavāva saha reto dadhāvahai puṃse putrāya vettavai	pRTivI tvam tO=-ehi saMBavAva saha retaH daDAvahE puMse putrAya vettavE
   māmanuvratā bhava sadṛśayyā mayā bhavāsāvityathāsyā nāma gṛhītvāgniṃ	mAm-anuvratA Bava sadRSayyAH mayA Bava-asO=-iti-aTa-asyAH nAma gRhItvA-agnim
   parikrameyātāmīrtvamasyūkte mātā nāma sā māmehi saha prajayā saha	parikrameya-AtAmIH-tvam-asi-Ukte mAtA nAma sA mAm-ehi saha prajayA saha
   rāyaspopeṇeti tasyāṃ pratyāvrajitāyāṃ bhrātānyo vā	rAyaspopeNa-iti tasyAm pratyAvrajitAyAm BrAtA-anyaH vA
   sūhṛdabhidhāritānlājāñchūrpādañjalinopaghātamañjalāvāvapedupastīrṇābhidhāritānkṛtvā	sUhRd-aBi-DAritAn-lAjAn-SUrpAt-aQjalinA-upaGAtam-aQjalO=-Avapet-upastIrNa-aBiDAritAn-kRtvA
   tānitarāgnau juhuyātkanyaleyaṃ nāryaryamṇamiti kanyalā pitṛbhyaḥ patilokaṃ	tAn-itara-agnO juhuyAt-kanyalA-iyam nArI-aryamNam-iti kanyalA pitRByaH pati-lokam
   yatīyamava dīkṣāmayakṣata svāhā //	yati-iyam-ava dIkzAm-ayakzata svAhA //
   iyaṃ nāryupabrūte 'gnau lājānāvapantī /	iyam nArI-upabrUte agnO lAjAnAvapantI /
   dīrghāyurastu me patiredhantāṃ jñātayo mama svāhā //	dIrGa-AyuH-astu me patiH-eDantAm jQAtayaH mama svAhA //
   aryamṇaṃ nu devaṃ kanyāgnimayakṣata /	aryamNam nu devam kanyA-agnim-ayakzata /
   sa imāṃ devo aryamā preto muñcātu māmutaḥ svāheti homānteṣu japati	saH imAm devaH aryamA pretaH muQcAtu mA-amutas svAhA-iti homa-antezu japati
   caturviśvā uta tvayā vayaṃ dhārā udanyā iva /	catur-viSvAH uta tvayA vayam DArAH udanyAH iva /
