   sphuṭārthā	sPuwa arTA
   padiḥ sattārtha iti. padiḥ sattāyām iti. teneti kāraṇena. pūrvakālāyāṃ	padiH satta arTaH iti. padiH sattAyAm iti. tena iti kAraNena. pUrva kAlAyAm
   kriyāyāṃ ktvāvidher iti. samānakartṛkayoḥ pūrvakāla iti vacanāt. na cāsau	kriyAyAm ktvA viDeH iti. samAna kartRkayoH pUrva kAlaH iti vacanAt. na ca asO
   pūrvam utpādāt [Tib. 284a] kaścid astīti sautrāṃtikamatena. na cāpy	pUrvam utpAdAt [Ti b. 284a] kaScid asti iti sOtra aMtika matena. na ca api 
   akartṛkāsti kriyeti. kartari sati kriyāyā vyavasthāpanāt. āha cātreti.	akartRkA asti kriyA iti. kartari sati kriyAyAH vyavasTApanAt. Aha ca atra iti.
   etad vaiyākaraṇacodyaṃ ślokenopanibadhnāty ācāryaḥ.	etat vEyAkaraNa codyam Slokena upanibaDnAti AcAryaH.
   yadi pūrvam utpādāt pratyeti	yadi pUrvam utpAdAt pratyeti
   prāpnoty	prApnoti 
   asattvān na yujyate.	asattvAt na yujyate.
   na hy avidyamānaḥ kartā snānādikriyāṃ kurvan dṛṣṭa iti.	na hi avidyamAnaH kartA snAna Adi kriyAm kurvan dRzwaH iti.
   (Abhidh k vy 295)	(a aBiD k vi 295)
   saha ced	saha ced 
   atha manyase pratītyakriyāṃ samutpādakriyāṃ ca saha karotīty evaṃ.	aTa manyase pratItyakriyAm samutpAda kriyAm ca saha karoti iti evaM.
   ktvā na siddho 'tra	ktvA na sidDaH atra
   ktvāpratyayaḥ. kasmāt.	ktvA apratyayaH. kasmAt .
   pūrvakālavidhānataḥ	pUrva kAla viDAnataH
   pūrvasmiṃ kāle vidhānaṃ ktvāpratyayasya. samānakartṛkayoḥ pūrvakāla iti	pUrvasmim kAle viDAnam ktvA apratyayasya. samAna kartRkayoH pUrva kAle iti
   vacanāt ktvāpratyayo na siddho bhavet. punar utpattāv iti. utpannasya	vacanAt ktvA apratyayaH na sidDaH Bavet. punar utpattO iti. utpannasya
   punar utpattau kalpyamānāyām anavasthāprasaṃgaḥ. dvitīye tṛtīye kṣaṇe	punar utpattO kalpyamAnAyAm anavasTA prasaMgaH. dvitIye tRtIye kzaNe
   punaḥpunar utpadyata ity aniṣṭhāprasaṃgaḥ. athānāgata iti vistaraḥ.	punar punar utpadyate iti anizWA prasaMgaH. aTa anAgataH iti vistaraH.
   alabdhātmako 'nāgata iti katham asato 'labdhātmabhāvasya kartṛtvaṃ	alabDa AtmakaH anAgataH iti kaTam asataH alabDa Atma BAvasya kartR tvam
   sidhyati. akartṛkā vā kriyā kathaṃ sidhyati. yata evam ato yadavastha	siDyati. akartRkA vA kriyA kaTam siDyati. yatas evam atas yad avasTa
   utpadyate śābdikasya śabdavidaḥ. tadavastha eva mama pratyeti. kimavasthaś	utpadyate SAbdikasya Sabda vidaH. tad avasTaH eva mama pratyeti. kim avasTaH 
   ceti. kāvasthāsyeti kimavasthaḥ. utpādābhimukho 'nāgata iti. na sarvo	ca iti. kA avasTAsya iti kim avasTaH. utpAda aBimuKaH anAgataH iti. na sarvaH 
   'nāgata utpadyate. kiṃ tarhi. utpādābhimukhaḥ. utpāde 'bhimukhaḥ. utpitsur	anAgataH utpadyate. kim tarhi. utpAda aBimuKaH. utpAde aBimuKaH. utpitsuH 
   ity arthaḥ. tadavastha eva [Tib. 284b] utpādābimukhāvastha eva. pratyetīty	iti arTaH. tad avasTaH eva [Ti b. 284b] utpAda abi muKa avasTaH eva. pratyeti iti 
   ucyate. aniṣpannaṃ cedam iti vistaraḥ. śābdikānām idam śābdakīyaṃ kartuḥ	ucyate. anizpannam ca idam iti vistaraH. SAbdikAnAm idam SAbdakIyam kartuH
   kriyāyāś ca vyavasthānaṃ. kasmāt. bhavituḥ kartṛrūpakalpitād arthāt	kriyAyAH ca vyavasTAnaM. kasmAt. BavituH kartR rUpa kalpitAt arTAt 
   kriyārūpakalpitāyā bhūter anyatvadarśanāt. tasmād acchalaṃ bhavaty	kriyA rUpa kalpitAyAH BUteH anya tva darSanAt. tasmAt acCalam Bavati 
   utpadyate pratyetīty evamādiṣu.	utpadyate pratyeti iti evamAdizu.
   āha cātreti. tatsiddhāntena prakriyāṃ darśayati.	Aha ca atra iti. tad sidDAntena prakriyAm darSayati.
   asann utpadyate yadvad	asan utpadyate yadvat 
   iti vistaraḥ. asann abhāvaḥ alabdhātmakaḥ utpadyate yathā.	iti vistaraH. asan aBAvaH alabDa AtmakaH utpadyate yaTA.
   pratyety api tathā.	pratyeti api taTA.
   asann ity arthaḥ.	asan iti arTaH.
   atha san	aTa san
   atha labdhātmaka utpadyata iti kalpyate.	aTa labDa AtmakaH utpadyate iti kalpyate.
   utpanna utpadyata ity aniṣṭhā.	utpannaH utpadyate iti anizWA.
   utpanno 'pi punar utpadyate ity anavasthānād anyadaniṣṭhā prāpnoti. tathā	utpannaH api punar utpadyate iti anavasTAnAt anyat anizWA prApnoti. taTA
   hi sāṃkhyamatānusāreṇa sata evotpādā nāsata iti tad etad adhikṛtya	hi sAMKya mata anusAreNa sataH eva utpAdAH na asataH iti tat etat aDikRtya
   bravīti.	bravIti.
   san purāpi veti.	san purA api vA iti.
   vāśabdo matavikalpārthaḥ. yadi bhavatāṃ sann utpadyata iti pakṣaḥ. asmākam	vA SabdaH mata vikalpa arTaH. yadi BavatAm san utpadyate iti pakzaH. asmAkam
   api sann utpadyate. vaibhāṣikanayenānāgatānām astitvāt. sautrāntikanayena	api san utpadyate. vEBAzika nayena anAgatAnAm astitva at. sOtra antika nayena
   ca janakadharmabījasadbhāvāt. tataḥ kim idam ucyate. na cāsau pūrvam	ca janaka Darma bIja sadBAvAt. tatas kim idam ucyate. na ca asO pUrvam
   utpādāt kaścid asti. yaḥ pratītyottarakālam utpadyata iti. atha vā yadi	utpAdAt kaScid asti. yaH pratItya uttara kAlam utpadyate iti. aTa vA yadi
   tarhi sann evotpadyate. pūrvam eva ghaṭo mṛtpiṇḍādīn anapekṣya svataḥ	tarhi san eva utpadyate. pUrvam eva GawaH mRd piNxa AdIn anapekzya svatas 
   (Abhidh k vy 296) prasiddho 'stīti prāpnoti. apare punar vyācakṣate.	(a aBiD k vi 296) prasidDaH asti iti prApnoti. apare punar vyAcakzate.
   aniṣṭhā [Tib. 285a] san purāpi veti.	anizWA [Tib. 285a] san purA api vA iti.
   atha mā bhūd aniṣṭheti. asann utpadyate iti pratipadyate. punas tad	aTa mA BUt anizWA iti. asan utpadyate iti pratipadyate. punar tat 
   evopatiṣṭhate.	eva upatizWate.
   asann utpadyate yadvat pratyety api tatheti	asan utpadyate yadvat pratyeti api taTA iti
   siddho naḥ pakṣa iti pūrvavad vācyaṃ. yad apy uktam ekasya hi kartur	sidDaH naH pakzaH iti pUrvavat vAcyaM. yat api uktam ekasya hi kartuH 
   dvayoḥ kriyayoḥ pūrvakālāyāṃ kriyāyāṃ ktvāvidhir bhavatīti tad	dvayoH kriyayoH pUrva kAlAyAm kriyAyAm ktvA viDiH Bavati iti tat 
   vyabhicārayann āha.	vyaBicArayan Aha.
   sahabhāve 'pi ca ktvāstīti	sahaBAve api ca ktvA asti iti
   vistaraḥ. samānakālāyām api kriyāyāṃ ktvāvidhir dṛṣṭaḥ. tadyathā	vistaraH. samAna kAlAyAm api kriyAyAm ktvA viDiH dRzwaH. tat yaTA
   dīpaṃ prāpya tamo gatam	dIpam prApya tamaH gatam
   iti. atra na pūrvaṃ tamo dīpaṃ prāpnoti paścād gacchati vinaśyati ity	iti. atra na pUrvam tamaH dIpam prApnoti paScAt gacCati vinaSyati iti 
   arthaḥ. kiṃ tarhi. tasminn eva kāle tamo dīpaṃ prāpnuvad vinaśyati. atha	arTaH. kim tarhi. tasmin eva kAle tamaH dIpam prApnuvat vinaSyati. aTa
   mataṃ. samanaṃtaram eva tan na yugapad iti. ataḥ punar idam ucyate.	mataM. samanaMtaram eva tat na yugapad iti. atas punar idam ucyate.
   āsyaṃ vyādāya śete veti.	Asyam vyAdAya Sete vA iti.
   na hy asau pūrvaṃ mukhaṃ vyādadāti vidārayati paścāc chete. kiṃ tarhi. yo	na hi asO pUrvam muKam vyAdadAti vidArayati paScAt Sete. kim tarhi. yaH 
   mukhaṃ vyādadac chete. sa mukhaṃ vyādāya śeta ity ucyate. atha mataṃ.	muKam vyAdadat Sete. sa muKam vyAdAya SetaH iti ucyate. aTa mataM.
   pūrvam asau mukhaṃ vyādadāti. paścāc chete iti. ata āha.	pUrvam asO muKam vyAdadAti. paScAt Sete iti. atas Aha.
   paścāc cet kiṃ na samvṛte.	paScAt ced kim na samvRte.
   yaḥ kaścin mukhaṃ vyādāpānaṃtaraṃ ca saṃvṛtya śete. sa mukhaṃ vyādāya śeta	yaH kaScid muKam vyAda apAnaMtaram ca saMvRtya Sete. sa muKam vyAdAya Seta
   ity ucyeta na cocyate. tena jñāyate. yo mukhaṃ vyādadac chete. sa mukhaṃ	iti ucyeta na ca ucyate. tena jQAyate. yaH muKam vyAdadat Sete. sa muKam
   vyādāya śete ity ucyate iti.	vyAdAya Sete iti ucyate iti.
   anye punar iti. bhadantaśrīlātaḥ pratir vīpsārtha iti. nānāvācinām	anye punar iti. Badanta SrI lAtaH pratiH vIpsA arTaH iti. nAnA vAcinAm
   adhikaraṇānāṃ sarveṣāṃ kriyāguṇābhyāṃ vyāptum icchā vīpsā. tām ayaṃ pratir	aDikaraNAnAm sarvezAm kriyA guNAByAm vyAptum icCA vIpsA. tAm ayam pratir
   dyotayati. [Tib. 285b] itau gatau sādhava ityāḥ. tatra sādhur iti	dyotayati. [Ti b. 285b] itO gatO sADavaH ityAH. tatra sADuH iti
   yatpratyayaḥ. itau vinaṣṭau sādhavaḥ. anavasthāyina ity arthaḥ.	yat pratyayaH. itO vinazwO sADavaH. anavasTAyinaH iti arTaH.
   samupasargaḥ samavāyārthaṃ dyotayati. utpūrvaḥ padiḥ prādurbhāvārthaḥ.	samupasargaH samavAya arTam dyotayati. utpUrvaH padiH prAdurBAva arTaH.
   dhātvarthapariṇāmāt. tāṃ tāṃ sāmagrīṃ pratīti. prater vīpsārthatāṃ	DAtu arTa pariNAma at. tAm tAm sAmagrIm pratIti. prateH vIpsA arTa tAm
   darśayati. ityānāṃ vinaśvarāṇāṃ samavāyenotpādaḥ pratītyasamutpādaḥ. na	darSayati. ityAnAm vinaSvarANAm samavAyena utpAdaH pratItyasamutpAdaH. na
   kaścid dharma eka utpadyate sahotpādaniyamāt. rūpādīnāṃ	kaScid DarmaH ekaH utpadyate saha utpAda niyamAt. rUpa AdInAm
   kāme 'ṣṭadravyako 'śabdaḥ paramāṇuḥ	kAme azwa dravyakaH aSabdaH paramANuH
   yāvac	yAvat 
   cittacaittāḥ sahavaśyam	citta cEttAH saha vaSyam
   iti niyamāt. eṣā tu kalpaneti vistaraḥ. pratir vīpsārtha ity evamādikā	iti niyamAt. ezA tu kalpanA iti vistaraH. pratiH vIpsA arTaH iti evamAdikA
   kalpanātraiva (Abhidh k vy 297) pratītyasamutpādasūtre yujyate. iha kathaṃ	kalpanA atrA eva (a aBiD k vI 297) pratItyasamutpAda sUtre yujyate. iha kaTam
   bhaviṣyati cakṣuḥ pratītya rūpāṇi cotpadyate cakṣurvijñānam iti. na hi	Bavizyati cakzuH pratItya rUpANi ca utpadyate cakzuH vijQAnam iti. na hi
   pratītyānāṃ cakṣūṃṣi pratītyacakṣūṃṣīti samāsaḥ saṃbhavaty arthāyogāt.	pratItyAnAm cakzUMzi pratItyacakzUMzi iti samAsaH saMBavati arTa ayogAt.
   cākṣur hi pratītya prāpya rūpāṇi cotpadyate cakṣurvijñānam ity ayam artho	cAkzuH hi pratItya prApya rUpANi ca utpadyate cakzuH vijQAnam iti ayam arTaH 
   gamyate. tena tadavastham eva tac codyaṃ na yukta eṣa padārtha iti	gamyate. tena tad avasTam eva tat codyam na yuktaH eza padArTaH iti
   vistareṇa yad uktaṃ. katham. ekasya hi kartur dvayoḥ kriyayoḥ pūrvakālāyāṃ	vistareNa yat uktan. kaTam. ekasya hi kartuH dvayoH kriyayoH pUrva kAlAyAm
   kriyāyāṃ ktvāvidhir bhavati. snātvā bhuṃkte iti. na ca pūrvam utpādāc	kriyAyAm ktvA aviDiH Bavati. snAtvA BuMkte iti. na ca pUrvam utpAdAt 
   cakṣurvijñānam asti. yac cakṣuḥ pūrvaṃ pratītya rūpāṇi cottarakālam	cakzuH vijQAnam asti. yat cakzuH pUrvam pratItya rUpANi ca uttara kAlam
   utpadyate. na cāpy akartṛkā kriyeti.	utpadyate. na ca api akartRkA kriyA iti.
   avadhāraṇārthaṃ paryāyadvayam āha. asmin satīty etāvaty [Tib. 286a]	avaDAraNa arTam paryAya dvayam Aha. asmin sati iti etAvatI [Ti b. 286a]
   ucyamāne. na kevalam avidyāyāṃ satyāṃ saṃskārā bhavaṃti. anyasminn api	ucyamAne. na kevalam avidyAyAm satyAm saMskArA BavaMti. anyasmin api
   satīti gamyeta. yathā cakṣuṣi sati cakṣurvijñānaṃ bhavatīti. na cakṣuṣy	satI iti gamyeta. yaTA cakzuzi sati cakzuH vijQAnam Bavati iti. na cakzuzy
   eva satīty avadhāryate. tena rūpe 'pi satīti gamyate. dvitīyena tu	eva sati iti avaDAryate. tena rUpe api satI iti gamyate. dvitIyena tu
   paryāyeṇasyotpādād idam utpadyate ity anena pūrvaparyāyam evāvadhārayati.	paryAyeNasya utpAdAt idam utpadyate iti anena pUrva paryAyam eva avaDArayati.
   asyaivotpādād idam utpadyate. nānyasmād iti. aṃgaparaṃparāṃ vā darśayitum	asya eva utpAdAt idam utpadyate. na anyasmAt iti. aMga paraMparAm vA darSayitum
   iti. asminn aṃge sati. avidyāṃge satīdaṃ saṃskārāṃgaṃ bhavati. asya punar	iti. asmin aMge sati. avidyA aMge sati idam saMskAra aMgam Bavati. asya punar 
   aṃgasya saṃskārāṃgasyotpādād idaṃ vijñānāṃgam utpadyata iti. evam itareṣām	aMgasya saMskAra aMgasya utpAdAt idam vijQAna aMgam utpadyate iti. evam itarezAm
   apy aṃgānāṃ paraṃparā vaktavyā. janmaparaṃparāṃ vā. kiṃ. darśayituṃ	api aMgAnAm paraMparA vaktavyA. janma paraMparAm vA. kiM. darSayitum
   paryāyadvayam āheti vartate. sākṣād iti vistaraḥ. sākṣāt pāraṃparyeṇa	paryAya dvayam Aha iti vartate. sAkzAt iti vistaraH. sAkzAt pAraMparyeNa
   saṃtatyāvidyādīnāṃ pratyayabhāvaṃ darśayituṃ paryāyadvayam āha. asmin	saMtatya avidyA AdInAm pratyaya BAvam darSayitum paryAya dvayam Aha. asmin
   satīdaṃ bhavatīti sākṣāt pratyayabhāvaṃ darśayati. asyotpādād idam	sati idam Bavati iti sAkzAt pratyaya BAvam darSayati. asya utpAdAt idam
   utpadyata iti pāraṃparyeṇa. tatra sākṣād yadāvidyāyāḥ samanaṃtaraṃ kliṣṭāḥ	utpadyate iti pAraMparyeNa. tatra sAkzAt yadA avidyAyAH samanaMtaram klizwAH
   saṃskārā utpadyante. pāraṃparyeṇa tu yadā kuśalā utpadyaṃte.	saMskArAH utpadyante. pAraMparyeNa tu yadA kuSalAH utpadyaMte.
   kuśalāvasthāyām avidyāyā abhāvāt. kiṃ ca. avidyā saṃskārāṇāṃ sākṣāt	kuSala avasTAyAm avidyAyAH aBAvAt. kim ca. avidyA saMskArANAm sAkzAt 
   pratyayo vijñānādīnāṃ pāraṃparyeṇa. tad uktaṃ bhavati. avidyāṃge sati	pratyayaH vijQAna AdInAm pAraMparyeNa. tat uktam Bavati. avidyA aMge sati
   saṃskārāṃgaṃ bhavaty asya saṃskārāṃgasyotpādād idam utpadyate vijñānāṃgaṃ	saMskAra aMgam Bavati asya saMskAra aMgasya utpAdAt idam utpadyate vijQAna aMgam
   sākṣād avidyāpratyayaṃ pāraṃparyeṇeti. [Tib. 286b] etat sarvam	sAkzAt avidyA pratyayam pAraMparyeNa iti. [Ti b. 286b] etat sarvam
   ācāryamataṃ. pratiṣedhārtham ity apara iti sthaviravasuvarmā. nāsati hetau	AcArya mataM. pratizeDa arTam iti aparaH iti sTaviravasuvarmA. na asati hetO
   bhāvo bhavatīty ahetuvādapratiṣedhārthaṃ prathamena paryāyeṇa.	BAvaH Bavati iti ahetuvAda pratizeDa arTam praTamena paryAyeNa.
   nityahetuvādapratiṣedhārthaṃ na cānutpattimato nityāt prakṛtipuruṣādikāt	nitya hetu vAda pratizeDa arTam na ca anutpattimataH nityAt prakRti puruza AdikAt
   kiṃcid utpadyata iti dvitīyena. ācārya āha. asyāṃ tu kalpanāyām iti	kiMcid utpadyate iti dvitIyena. AcAryaH Aha. asyAm tu kalpanAyAm iti
   vistaraḥ. pūrvapadasya grahaṇam anarthakam iti. asmin satīdaṃ bhavatīty	vistaraH. pUrva padasya grahaNam anarTakam iti. asmin sati idam Bavati iti 
   asya. ubhayavādapratiṣedhasiddher iti. asyotpādād idam utpadyate ity	asya. uBayavAda pratizeDa sidDeH iti. asya utpAdAt idam utpadyate iti 
   anenaiva paryāyeṇa. hetor astitvam utpattimataś ca hetutvam ity	anena eva paryAyeNa. hetoH astitvam utpattimataH ca hetu tvam iti 
   ubhayasyāhetutvanityahetutvalakṣaṇasya vādasya pratiṣedhasiddhitaḥ	uBayasya ahetu tva nitya hetutva lakzaNasya vAdasya pratizeDa sidDitaH
   pūrvaparyāyasyānarthakyaṃ prāpnoti. saṃti tarhi kecid iti vistaraḥ. santi	pUrva paryAyasya AnarTakyam prApnoti. saMti tarhi kecid iti vistaraH. santi
   kecid (Abhidh k vy 298) vādinaḥ. ya ātmani saty āśrayabhūte avidyāyā	kecid (a aBiD k vI 298) vAdinaH. yaH Atmani sati ASraya BUte avidyAyA
   āśrayabhūte saṃskārādīnāṃ saṃskāravijñānanāmarūpādīnāṃ bhāvam utpādaṃ	ASraya BUte saMskAra AdInAm saMskAra vijQAna nAma rUpa AdInAm BAvam utpAdam
   kalpayaṃti. avidyādīnāṃ cāvidyāsaṃskārādīnāṃ utpādāt tadutpattiṃ	kalpayaMti. avidyA AdInAm ca avidyA saMskAra AdInAm utpAdAt tad utpattim
   saṃskārādyutpattiṃ kalpayantīty adhikṛtaṃ. ataḥ kāraṇāt teṣāṃ vādināṃ	saMskAra Adi utpattim kalpayanti iti aDikRtan. atas kAraNAt tezAm vAdinAm
   kalpanāṃ paryudāsayituṃ pratiṣeddhum idaṃ nirdhārayāṃ babhūvāmredayāṃ	kalpanAm paryudAsayitum pratizedDum idam nirDArayAm baBUva AmredayAm
   babhūva. kim ity āha. yasyaivotpādāt yāvat skaṃdhasya samudayo bhavatīti.	baBUva. kim iti Aha. yasya eva utpAdAt yAvat skaMDasya samudayaH Bavati iti.
   yasyaivotpādād yad utpadyate. tasminn eva sati tad bhavati. nānyasminn	yasya eva utpAdAt yat utpadyate. tasmin eva sati tat Bavati. na anyasmin= 
   ātmani. yad utāvidyāpratyayāḥ saṃskārāḥ. [Tib. 287a] avidyāyām eva satyāṃ	Atmani. yat uta avidyA pratyayAH saMskArAH. [Tib. 287a] avidyAyAm eva satyAm
   saṃskārā bhavaṃti. nānyasmin yāvad evam asya kevalasya mahato	saMskArA BavaMti. na anyasmin yAvat evam asya kevalasya mahataH 
   duḥkhaskaṃdhasya samudayo bhavati. kathaṃ. jātipratyayā	duHKa skaMDasya samudayaH Bavati. kaTaM. jAti pratyayA
   jarāmaraṇaśokaparidevaduḥkhadaurmanasyopāyāsāḥ saṃbhavaṃti. evam asya	jarA maraNa Soka parideva duHKa dOrmanasya upAyAsAH saMBavaMti. evam asya
   kevalasya mahato duḥkhaskandhasya samudayo bhavati. jātyām eva satyāṃ	kevalasya mahataH duHKa skanDasya samudayaH Bavati. jAtyAm eva satyAm
   jarāmaraṇādayaḥ saṃbhavaṃti. nānyasminn ātmani. anyathā hy asmin satīdaṃ	jarA maraNa AdayaH saMBavaMti. na anyasmin Atmani. anyaTA hi asmin sati idam
   bhavatīty ucyamāne vaktāras syuḥ. ātmani saty āśrayabhūte avidyādiṣu satsu	Bavati iti ucyamAne vaktAraH syuH. Atmani sati ASraya BUte avidyA Adizu satsu
   saṃskārādayo bhavantīti. atha punar dvitīyam eva paryāyaṃ brūyād	saMskAra AdayaH Bavanti iti. aTa punar dvitIyam eva paryAyam brUyAt 
   asyotpādād idam utpadyata iti. evam api tathaiva kalpeyuḥ. satyam	asya utpAdAt idam utpadyate iti. evam api taTA eva kalpeyuH. satyam
   avidyādīnām utpādāt saṃskārādaya utpadyante. ātmani tu saty āśrayabhūta	avidyA AdInAm utpAdAt saMskAra AdayaH utpadyante. Atmani tu sati ASraya BUta
   iti. ataḥ paryāyadvayena nirdhārayati. yasyotpādād yad utpadyate. tasminn	iti. atas paryAya dvayena nirDArayati. yasya utpAdAt yat utpadyate. tasmin= 
   eva sati tad bhavati. nānyasmin ātmani saty āśrayabhūta iti. ācāryā iti	eva sati tat Bavati. na anyasmin Atmani sati ASraya BUtaH iti. AcAryAH iti
   pūrvācāryāḥ. aprahīṇajñāpanārtham utpattijñāpanārthaṃ ca. avidyāyāṃ satyām	pUrva AcAryAH. aprahINa jQApana arTam utpatti jQApana arTam ca. avidyAyAm satyAm
   aprahīṇāyāṃ saṃskārā bhavaṃti. na prahīyanta iti prathamena paryāyeṇa	aprahINAyAm saMskArAH BavaMti. na prahIyante iti praTamena paryAyeNa
   darśayati. tasyā evotpādād utpadyanta iti dvitīyena darśayati. evaṃ yāvaj	darSayati. tasyAH eva utpAdAt utpadyante iti dvitIyena darSayati. evam yAvat 
   jātyāṃ satyāṃ aprahīṇāyāṃ jarāmaranādayo bhavaṃti. na prahīyaṃte. tasyā	jAtyAm satyAm aprahINAyAm jarA amarana AdayaH BavaMti. na prahIyaMte. tasyAH 
   evotpādād utpadyanta iti. sthityutpattisaṃdarśanārtham ity apara [Tib.	eva utpAdAt utpadyante iti. sTiti utpatti saMdarSana arTam iti apara [Tib.
   287b] iti bhadantaśrīlātaḥ. tadarthaṃ paryāyadvayam āheti. yāvat	287b] iti Badanta SrI lAtaH. tad arTam paryAya dvayam Aha iti. yAvat 
   kāraṇasrotas tāvat kāryasroto bhavatīti prathamena paryāyeṇa.	kAraNa srotaH tAvat kArya srotaH Bavati iti praTamena paryAyeNa.
   kāraṇasyaivotpādāt kāryam utpadyata iti dvitīyena. utpāde tv adhikṛta iti.	kAraNasya eva utpAdAt kAryam utpadyate iti dvitIyena. utpAde tu aDikRtaH iti.
   pratītyasamutpādaṃ vo bhikṣavo deśayiṣyāmīty adhikṛte. kaḥ prasaṃgaḥ kaḥ	pratItyasamutpAdam vaH BikzavaH deSayizyAmi iti aDikRte. kaH prasaMgaH kaH
   prastāvaḥ sthitivacanasya. asmin satīdaṃ bhavatīty anena yāvat	prastAvaH sTiti vacanasya. asmin sati idam Bavati iti anena yAvat 
   kāraṇasrotas tiṣṭhati tāvat kāryasrotas tiṣṭhatīti evam asya sthityartho	kAraNa srotaH tizWati tAvat kArya srotaH tizWati iti evam asya sTiti arTaH 
   varṇyata iti. bhinnakramaṃ ca bhagavān kim arthaṃ ācakṣīt. utpattir hi	varNyate iti. Binnakramam ca BagavAn kim arTam AcakzIt. utpattiH hi
   prathamaṃ bhavati. paścāt sthitiḥ. utpattipratibaddhā sthitir iti kṛtvā.	praTamam Bavati. paScAt sTitiH. utpatti pratibadDA sTitiH iti kRtvA.
   asyotpādād idam utpadyata iti pūrvaṃ vaktavyaṃ syāt. paścād idam asmin	asya utpAdAt idam utpadyate iti pUrvam vaktavyam syAt. paScAt idam asmin
   satīdaṃ bhavati. na tv evam. ato nāyam artha iti. punar āheti. sa eva	sati idam Bavati. na tu evam. atas na ayam arTaH iti. punar Aha iti. saH eva
   bhadantaśrīlātaḥ. ācāryaḥ pratyāha. eṣa ced iti vistaraḥ. asmin satīdaṃ na	Badanta SrI lAtaH. AcAryaH pratyAha. eza ced iti vistaraH. asmin sati idam na
   bhavatīty evāvakṣyad iti. nātraivābhāvanirdeśo yuktarūpa iti darśayati.	Bavati iti eva avakzyat iti. na atra eva aBAva nirdeSaH yukta rUpaH iti darSayati.
   pūrvaṃ ca kāryasyotpādam iti. asyotpādād idam utpadyata iti pūrvam	pUrvam ca kAryasya utpAdam iti. asya utpAdAt idam utpadyate iti pUrvam
   avakṣyat. utpādapūrvakatvād (Abhidh k vy 299) vināśasya.	avakzyat. utpAda pUrvaka tvAt (a aBiD k vi 299) vinASasya.
   sūtra uktaṃ jātipratyayā jarāmaraṇaśokaparidevaduḥkhadaurmanasyopāyāsāḥ	sUtre uktam jAti pratyayAH jarA maraNa Soka parideva duHKa dOrmanasya upAyAsAH
   saṃbhavantīti jarāmaraṇasaṃgṛhītā evaṃ te. nāṃgāṃtaram ity avagantavyaṃ.	saMBavanti iti jarA maraNa saMgRhItAH evam te. na aMgAMtaram iti avagantavyaM.
   [Tib. 288a] tatra sattvāsattvasaṃkhyātasya viṣayasya pariṇāmād	[Tib. 288a] tatra sattva asattva saMKyAtasya vizayasya pariNAmAt 
   ātmabhāvapariṇāmāc caite bhavaṃti. daurmanasyasaṃprayukto vitarkaḥ śokaḥ.	Atma BAva pariNAmAt ca ete BavaMti. dOrmanasya saMprayuktaH vitarkaH SokaH.
   śokasamutthitapralāpaḥ paridevaḥ. duḥkhadaurmanasye vyākhyāte.	Soka samutTita pralApaH paridevaH. duHKa dOrmanasye vyAKyAte.
   vicchinnavegaṃ daurmanasyam upāyāsaḥ. śokaparidevapūrvakaḥ śrama upāyāsa	vicCinna vegam dOrmanasyam upAyAsaH. Soka parideva pUrvakaH SramaH upAyAsa
   ity apare. bālo hīti vistaraḥ. bālaḥ pṛthagjanaḥ saṃskāramātram iti.	iti apare. bAlaH hi iti vistaraH. bAlaH pRTagjanaH saMskAra mAtram iti.
   mātragrahaṇam ātmapratiṣedhārtham. aprajānann ity āveṇikīm avidyāṃ	mAtra grahaNam Atma pratizeDa arTam. aprajAnan iti AveNikIm avidyAm
   darśayati. ātmadṛṣṭy asmimānābhiniviṣṭaḥ pratiṣṭhitaḥ kāyādibhiḥ	darSayati. Atma dRzwi asmimAnABinivizwaH pratizWitaH kAya AdiBiH
   kāyavāṅmanobhis trividhaṃ karma puṇyāpuṇyāniṃjyalakṣaṇam ārabhate.	kAya vAc manoBiH triviDam karma puNya apuNyA niMjya lakzaNam AraBate.
   āniṃjyam iti. igiḥ prakṛtyantaraṃ tasyaivaitad rūpaṃ. ejater etat rūpam	AniMjyam iti. igiH prakRti antaram tasya eva etat rUpaM. ejateH etat rUpam
   āneṃjyam iti vā pāṭhaḥ. āyatisukhārthaṃ puṇyam iti.	AneMjyam iti vA pAWaH. Ayati suKa arTam puNyam iti.
   anāgatajanmasukhārthaṃ. kiṃ. kāmāvacaraṃ kuśalaṃ karma.	anAgata janma suKa arTaM. kiM. kAma avacaram kuSalam karma.
   sukhaduḥkhāsukhārtham āniṃjyam iti. rūpārūpyāvacaraṃ kuśalaṃ. sukhārtham ā	suKa duHKa asuKa arTam AniMjyam iti. rUpArUpya avacaram kuSalaM. suKa arTam A
   tṛtīyād dhyānāt. tasmād ūrdhvam aduḥkāsukhārthaṃ. aihikasukhārtham apuṇyam	tRtIyAt DyAnAt. tasmAt UrDvam aduHka asuKa arTaM. Ehika suKa arTam apuNyam
   iti. ihasukhāpekṣayā tat kṛtaṃ nāyatisukhāpekṣayety arthaḥ.	iti. iha suKa apekzayA tat kRtam na Ayati suKa apekzayA iti arTaH.
   karmākṣepavaśād yathoktaṃ karmāvedhavaśāt. tāṃtāṃ gatiṃ narakādikāṃ	karma Akzepa vaSAt yaToktam karma AveDa vaSAt. tAMtAm gatim naraka AdikAm
